-0.00091284+0.00055157i,-1.7949e-05-9.2672e-05i,-0.0010238-0.00023928i,-0.0018311+0.0006809i,-0.0025506+0.002016i,-0.0022717+0.0017257i,-0.0017555+0.00083183i,-0.00082638+0.0011048i,0.0002086+0.001131i,0.00083146-0.00011452i,0.00076606-0.0012243i,0.00025742-0.0015774i,0.00016247-0.00062384i,0.00042116+0.00057885i,0.00026429+0.00078968i,-0.00010835+0.000298i,-0.00091351+3.2951e-05i,-0.0009885+0.00055215i,-0.00063774+0.00063785i,-0.00057583-0.00037448i,-0.00049553-0.00077519i,-0.00010165-0.00019743i,0.0004165+0.00061386i
-0.0052942-0.0060682i,-0.0031302-0.0037036i,-0.0025209-0.00095907i,-0.0030404+0.00041585i,-0.0036666+0.0014189i,-0.002239+0.0024992i,-0.00062286+0.0015283i,-0.0015245+0.00046534i,-0.0017584+0.00050236i,-0.00017096+0.0010881i,0.00037769+0.0010065i,0.00023195+0.00081062i,0.00055432+0.00077725i,0.00078297+0.00029722i,0.0002975+0.00037688i,-0.00041119+0.0012033i,-0.00088004+0.0014476i,-0.00084474+0.00078504i,7.009e-05+0.00070875i,8.0584e-05+0.0013916i,-0.00030685+0.00078519i,-0.00021577+0.00016613i,-0.00071123+0.00037108i
-0.0057106+0.00085222i,-0.0032598-0.0032384i,-0.0024847-0.0040754i,-0.0031526-0.0021915i,-0.002291+0.00031869i,-0.00067423+0.0017267i,-0.00020352+0.00081609i,-0.00086049-5.3137e-05i,-0.00093596+0.00044025i,-0.00037425+0.00061571i,-0.00053765+0.00021634i,-0.00046825+0.00079144i,-0.00022701+0.0010972i,-0.00098829+0.00062206i,-0.00065994+0.00058867i,-1.0141e-05+0.00050973i,0.00046308+1.704e-05i,0.0008314-0.00039748i,0.00059004-0.00011522i,0.00030394+2.1305e-05i,0.00063975+9.0618e-05i,0.00080036+0.00051369i,0.00084243+0.0004465i
0.00070923+0.0086862i,0.00019912+0.0034856i,0.0006117-0.00038994i,0.00061343-0.00095855i,0.00098327-0.0012364i,0.0016263-0.0019689i,0.00087874-0.0023694i,-0.00030461-0.0015829i,-7.309e-05-0.00014596i,0.00031637+8.6639e-05i,-0.0001676-0.00041644i,3.7395e-05-0.00036732i,0.00034168+1.2296e-06i,-0.00029999+0.0003097i,-0.00034133+0.00016539i,0.00027558-0.00023534i,0.00020885-0.00035151i,-0.00062797+0.00015771i,-0.0012741+0.00096923i,-0.00081991+0.0010683i,-5.1836e-05+0.00049505i,0.0008624-0.00047425i,0.0016674-0.00026047i
0.0090943+0.0016889i,0.0028731+0.0017171i,-0.00038435-3.7344e-05i,-0.0011489-0.0016528i,-0.0019523-0.0027637i,-0.0026071-0.0023642i,-0.0024854-0.0012366i,-0.0019156+0.00014766i,-0.00076814-0.00038887i,-0.00038077-0.00095632i,-0.0008519+2.6459e-05i,-0.00081736+0.0006253i,-0.00059953+0.00056523i,-0.00011153+6.2578e-05i,0.00058213-0.00061196i,0.0002434-0.00079553i,-0.00038677-0.00021932i,2.7699e-05+4.1203e-05i,-0.00021906+0.00022911i,-0.00025813-0.00034053i,0.00059368-0.00011875i,0.00039157+0.00041712i,6.4347e-05-0.00068636i
0.0063449-0.0098212i,0.004763-0.0063219i,0.0014849-0.004831i,-0.0015848-0.0040877i,-0.0033689-0.0021518i,-0.0038387+0.00046628i,-0.0025493+0.001476i,-0.00091268+0.00032261i,-0.00065023-0.00026184i,-0.00099814+0.00040771i,-0.00064589+0.0012698i,-0.0005896+0.0013508i,-0.0011819+0.00099962i,-0.00057967+0.0011672i,6.2794e-06+0.00080702i,-9.4833e-05-0.00040758i,-0.0003754-0.00050197i,-0.00019834-1.8366e-05i,0.00064941+0.00048479i,0.00058333+0.00079443i,0.00043951+0.00071247i,-9.5533e-05+0.00046713i,-0.00081085-0.00038495i
-0.0052109-0.0071301i,-0.0025638-0.0040657i,-0.0020365-0.0016467i,-0.0017316-0.0014045i,-0.0022962-0.00071837i,-0.0018794+0.0011403i,-0.00061986+0.000987i,-0.00074956+0.00027342i,-0.00097341+0.00027713i,-0.00015972+0.00098022i,8.9785e-05+0.0012678i,0.00027268+0.00064023i,-0.0002758-0.0002083i,-0.00090832-0.0013328i,-0.000497-0.0011901i,-0.00027532-0.00054337i,-0.00033992-0.00054736i,0.00031612-0.0004344i,0.00093612+0.0003099i,0.00026649+0.00038207i,0.00014296+1.8191e-05i,0.00063296+0.00045931i,0.00045298+0.00037311i
-0.010684+0.0027566i,-0.0058094+0.0010372i,-0.0022295+0.0012351i,-0.00087509+0.0013795i,0.00050092+0.001284i,0.0018136+0.00070486i,0.0018022+0.00035313i,0.0002619+0.00024211i,-0.0010142+0.00060819i,-0.00039707+0.0012568i,0.00064855+0.0006804i,0.00067675-0.00025311i,-0.00040208+9.2895e-05i,-0.00027433+0.00073056i,0.00051724+0.00016308i,0.00093677+0.00037984i,0.00060695+0.00092i,8.6184e-05+0.00031791i,0.00021242-0.00015911i,0.00039639-1.1111e-05i,0.0010389+3.048e-05i,0.0010299+0.00058231i,0.00041038+0.00064841i
-0.0018045+0.009617i,-0.0021533+0.0058217i,-0.0015125+0.0029537i,-0.00099928+0.00050729i,0.00027352-0.0008253i,0.0013032-0.0013561i,0.00012316-0.0012477i,-0.00075737-0.0002118i,-0.00041501+0.00057581i,0.00058164+0.0010071i,0.0011016+0.0010283i,0.00031765+0.00043576i,0.00059856-0.00055483i,0.00084108-0.00061711i,0.00039824-0.00060236i,0.0007137-0.00040165i,8.3504e-05-0.00054748i,-0.0003097-0.00054296i,0.0004259+7.7971e-06i,0.00020455+0.00033225i,-3.1135e-05+0.00039085i,0.00041316-2.3102e-05i,0.00061554-0.0001202i
0.011047+0.0026536i,0.0050416+0.0002435i,0.0029146-0.001847i,0.0013258-0.0037742i,-0.00081855-0.0044125i,-0.0019954-0.0031884i,-0.0022689-0.0015577i,-0.0014197-0.00034058i,0.00026961-8.0854e-06i,0.00048985+0.00037466i,-0.0002861+0.00023775i,-0.00135+0.00025983i,-0.0014245+0.0002275i,-0.00046037+2.1506e-05i,0.0001474+0.00013591i,-0.0001798-0.00070678i,-0.00069258-0.00068441i,-0.00024642+9.1975e-05i,-0.00018316-5.6193e-05i,-2.6257e-05-0.00047871i,0.0008943-0.00068237i,0.0010458-0.00025437i,0.00058792-0.00017695i
0.0096475-0.0083237i,0.0057413-0.0038747i,0.0028771-0.0021688i,0.00059229-0.0026437i,-0.0019315-0.0015831i,-0.0037764+0.00026422i,-0.0034019+0.00063447i,-0.00086995-1.8779e-05i,0.00045084-0.0010776i,-1.1108e-05-0.00026958i,-5.1531e-05+0.0012748i,0.00035604+0.00092886i,0.00053749-6.9675e-05i,0.0005012-0.00020603i,-0.00021444-0.00034047i,-0.00079421-0.00034416i,-0.00089906-0.00022534i,-0.00084345-0.00017383i,-0.00057248-0.00024891i,-0.00073229+5.7916e-05i,-0.00045546-9.5317e-05i,-0.00020921-0.00092365i,-0.00078654-0.00074207i
-0.0031859-0.011971i,-0.0024079-0.0070769i,-0.0035643-0.0043885i,-0.0040811-0.0031332i,-0.0039287-0.00043156i,-0.0025187+0.0021865i,-0.0004393+0.0020752i,-9.9595e-06+0.00040482i,-0.00084666-0.0011514i,-0.0010795-0.00027457i,-0.00099568+0.00055508i,-0.0010403+0.00010379i,-0.00081062+0.00053979i,-0.00072659+0.00057944i,-0.00051121+0.00074639i,-0.00015755+0.0007946i,5.2016e-05+0.00021362i,-2.7245e-05+6.8925e-05i,0.00028894+0.0001832i,6.2714e-05+7.1531e-05i,-0.0010622-9.9537e-05i,-0.0015024-0.00028421i,-0.00096536-7.1763e-05i
-0.010628-0.00066642i,-0.0032474-0.0020233i,0.00025061-0.0011063i,0.00083877+0.00081394i,0.00063964+0.002069i,0.00048978+0.0016123i,-0.00022902+0.00032865i,-0.0011868+0.00060309i,-0.0017085+0.0017787i,-0.0015352+0.0017701i,-0.00046689+0.0014327i,-3.8799e-05+0.0013476i,-0.00023563+0.0011514i,0.00041139+0.0010129i,0.00082082+0.0005989i,0.00083294+0.00049656i,0.00074565+0.00013713i,0.00081835-0.00044131i,0.00074261-8.095e-05i,0.00043873-0.00041949i,0.00024211-0.00074709i,-0.00013378-0.00065993i,-0.00040787-0.00023841i
-0.0046359+0.011972i,-0.003088+0.0057767i,-0.00021916+0.0014773i,0.00073984+1.5006e-05i,0.00064843-0.0010518i,0.00069451-0.0017819i,-0.00017536-0.0017042i,-0.0010022-0.00064713i,-0.00071405+0.0010079i,9.6754e-05+0.0013322i,0.00031297+0.00030802i,1.5636e-05+0.00057909i,-0.00013366+0.0018459i,0.00096453+0.0012957i,0.0016408+0.00014661i,0.00062981+0.00026609i,-0.00057819+0.00067531i,-0.00047218+0.00067088i,0.00021581+6.6873e-05i,0.00065063-0.00044143i,0.00041405-0.00036923i,0.00071608-0.0002222i,0.00065751+1.15e-05i
0.010784+0.010313i,0.0057016+0.0051388i,0.0032632+0.00089708i,0.0018535-0.0015975i,0.00034616-0.0031265i,-0.0012633-0.0042887i,-0.0018697-0.0039613i,-0.0009993-0.0014711i,0.00060807+0.00054335i,0.00096555+0.00034904i,0.00028878-0.00075054i,0.00059224-0.00074916i,0.0011923+0.00015014i,0.0014118-0.00012992i,0.0011169-0.00088043i,0.00054839-0.00090973i,0.00028971+0.00035358i,9.8368e-05+0.00045801i,6.0402e-05+0.00036648i,-0.00011516+0.0010203i,0.00023494+0.00043117i,0.00079783-6.6278e-06i,0.00079862-3.5812e-05i
0.013056-0.0049935i,0.0090482-0.0015479i,0.0046459-0.00063667i,0.0010171-0.0020026i,-0.0014495-0.0018433i,-0.0033202-0.00045864i,-0.0032704-0.0001836i,-0.0017002-3.3261e-05i,0.00027455-0.00052422i,0.00064642-0.0013523i,-0.00043076-0.00054868i,0.0001052-0.00015377i,0.00049946-0.00018224i,0.00016623-0.00022082i,1.5622e-05-0.00077261i,-0.00051468-0.00081319i,-0.00057115-0.0005158i,4.5047e-06-0.00050288i,0.0002892-2.7364e-06i,0.00063437+1.6021e-05i,0.00034352-0.0005921i,-0.00065945-0.00036688i,-0.00092487-2.6914e-05i
-0.0021596-0.01433i,-0.00081006-0.0084928i,-0.00011214-0.0047781i,-0.00050206-0.0024689i,-0.0014652-8.8874e-05i,-0.0016556+0.0017339i,-0.000749+0.0021595i,-0.00063032+0.00052694i,-0.001541+5.3832e-05i,-0.0018484+0.00036595i,-0.0017262+0.0006467i,-0.0021714+0.0009498i,-0.0018735+0.00039182i,-0.0014027+0.00018618i,5.3251e-05+0.00048072i,0.00056217+0.00036612i,-0.00033992+0.00052854i,-0.00022073+0.00022918i,-0.00018383-0.00029903i,-0.00013686-0.00024626i,-0.00039946+6.4941e-05i,-0.00049057+0.00032253i,-3.3538e-05-0.00015745i
-0.013762-0.0034146i,-0.005757-0.00186i,-0.00038959+0.00024217i,0.0011582+0.00086022i,0.0015022+0.001081i,0.0021582+0.0014826i,0.0018306+0.0010119i,-0.00061569+0.00096106i,-0.0024335+0.0018569i,-0.0013931+0.0025431i,-0.0003145+0.0018795i,0.00028663+0.0013731i,0.00036711+0.0016519i,0.00088308+0.00064028i,0.0014822-0.0002558i,0.0009297-0.00037537i,0.00031552-0.00086077i,-1.0658e-05-0.00070561i,-3.3558e-05-0.00045364i,0.00014139+0.00010709i,-0.00015399+0.0007582i,-0.00045568+0.00083349i,-0.00026089+0.00091161i
-0.0093517+0.010373i,-0.0077429+0.0055991i,-0.0049543+0.0027706i,-0.0019861+0.0012745i,0.00059766-0.00012748i,0.0021096-0.0011582i,0.0021995-0.0019496i,0.00123-0.0010367i,0.00025182+0.00065653i,0.00096623+0.0014917i,0.0018607+0.0011266i,0.00097965+0.0016173i,0.00073291+0.0017418i,0.00084324+0.00093935i,0.00013503+0.00092485i,-0.00015706+0.0011395i,-4.4955e-06+0.000555i,0.00034993-0.00052923i,0.00043369-0.0011117i,9.7545e-06-0.00071433i,0.00032669-3.9243e-05i,0.00070912+0.00057857i,0.00053672+0.00042137i
0.0078944+0.0104i,0.002618+0.0048683i,-0.00061263+0.0013583i,-0.0016511-0.0010666i,-0.001481-0.0030288i,-0.00065102-0.0035834i,-0.00051531-0.0028131i,-0.00066729-0.0014869i,0.00017436-0.00079055i,0.0011006-0.00064432i,0.0014539-0.00073632i,0.0015412-0.001042i,0.00097059-0.0012412i,0.00059616-0.00068207i,0.00041526+7.056e-05i,-3.9262e-05-0.00020451i,-1.0119e-05-0.00073767i,-0.00049946-7.3379e-05i,-0.00091277+0.00062277i,-0.00030447+0.00069949i,0.00025483+0.00059234i,0.00041957+0.00011973i,0.0004843-9.4395e-05i
0.015709-0.001514i,0.0091323+0.002567i,0.0043923+0.0016407i,0.0012834-0.00076964i,-0.0018627-0.00068782i,-0.0040591-0.00069279i,-0.0036619-0.0014378i,-0.0014428-0.0018735i,0.00028109-0.0014293i,0.00012845-0.0011576i,-0.00011856-0.0018463i,-0.00029476-0.0017875i,-0.00025934-0.0012185i,-4.0599e-05-0.00031072i,-0.0002699+0.0003762i,-0.0005341-0.00017971i,-0.00074952-0.00031204i,-0.0003725+0.00062447i,0.00026268+0.00032441i,0.00045181-0.00053784i,0.00030501-0.00064658i,0.0001041-0.00057117i,1.408e-05-0.00037488i
0.0023852-0.014391i,0.0010421-0.0075611i,0.00099671-0.0032286i,3.0097e-05-0.0013468i,-0.0017213+0.00090353i,-0.0020139+0.002263i,-0.0017161+0.0019557i,-0.0018566+0.00083342i,-0.0020394-0.00047534i,-0.0022577-0.00036092i,-0.0027633+0.00014479i,-0.0026819+0.00021973i,-0.00188-3.1658e-05i,-0.00033743-0.00057485i,0.00024322-0.00095835i,-0.00044514-0.00074964i,-0.00022462-0.00073286i,0.00010971-0.0010893i,0.00032528-0.00085006i,0.00043427+0.00011244i,0.00057025+0.00051355i,0.00075599-4.7301e-05i,0.0010644-0.00024695i
-0.012518-0.0084685i,-0.0047796-0.0065856i,-0.0010708-0.0049297i,-9.2668e-05-0.0032885i,0.00089528-0.0016666i,0.0013295-4.2889e-05i,0.00068502+0.0012841i,-0.0007787+0.0010005i,-0.0023402+0.00021162i,-0.0027126+0.00061555i,-0.0013053+0.0009554i,-0.00026254+0.00066187i,-0.00080273+0.00046865i,-0.00099696+0.00055708i,-0.00021173+0.00041761i,3.7642e-05-0.00048622i,-7.2525e-05-0.00080836i,0.00037915-0.00028987i,0.00056475+0.00016129i,0.00019018+0.00016128i,0.00016599-0.00022753i,0.00070768-0.00046934i,0.0008994-0.00023259i
-0.0146+0.010694i,-0.008244+0.0042772i,-0.0047008+0.00036114i,-0.0027015-0.00072947i,-0.00058314-0.0012708i,0.00082609-0.0012275i,0.0017924-0.00059919i,0.0008224+0.00047493i,-0.00057253+0.0015328i,-0.00014256+0.0019552i,0.00077296+0.0017057i,0.0010686+0.0012301i,0.001011+0.00087251i,0.00099561+0.0012023i,0.00074377+0.0011168i,0.00025067+0.00058292i,-0.00028312+0.00016074i,-0.00040068-3.2257e-05i,-0.00054475-0.00026158i,-0.00079367+0.00029723i,-0.00072597+0.00044312i,-0.00058341+5.7543e-05i,-0.00098917-0.00040383i
0.0036281+0.017932i,-1.0208e-05+0.011283i,-0.0019593+0.0062479i,-0.0011022+0.0018917i,0.00059497-0.00098946i,0.00053602-0.0031917i,-5.952e-05-0.0032785i,-0.00023819-0.00063015i,0.00012534+0.0010799i,0.0010792+0.00095778i,0.0014515-3.5596e-05i,0.00061283-0.00057807i,-3.8811e-05-0.00052326i,0.00062874-0.00053299i,0.00087791-0.00023809i,0.00073654-0.00036853i,0.00075797-0.00034698i,-0.00018166+0.00073074i,-0.00050717+0.001154i,-0.00035671+0.00018673i,-0.00055836-0.0001927i,-0.00044194-0.00015592i,-0.00046679-9.6191e-05i
0.019118+0.00086565i,0.011473+0.0019108i,0.0052775+0.0030522i,0.0017832+0.00215i,-0.0010996-0.00020589i,-0.0026992-0.0016298i,-0.0022548-0.0020757i,-0.00068145-0.0016753i,0.00051359-0.0013044i,0.00059639-0.00081041i,0.00050393-0.00051767i,0.00042805-0.00076914i,8.0868e-05-0.001168i,-0.00024159-0.0010055i,-0.00019045-0.00063292i,0.00029267-0.00069114i,5.6063e-06-0.00019572i,-0.00051595+0.00033568i,-0.00069015+0.00024177i,-0.00058834+5.42e-06i,0.00038135+0.00018406i,0.001056+0.00099921i,0.00058192+0.0014821i
0.0034011-0.020225i,0.0010089-0.0099382i,0.00043557-0.0029313i,-3.7778e-05-0.00012574i,-0.0010987+0.0018382i,-0.00161+0.0024057i,-0.0013706+0.00056577i,-0.00087092-0.0021351i,-0.001471-0.0023464i,-0.0023029-0.00031108i,-0.0024402+0.00080509i,-0.0020193+0.0014477i,-0.0015992+0.0014155i,-0.00079581-1.2908e-05i,0.00019659-0.00049521i,0.00024297-0.00053901i,0.00033364+0.00032223i,0.00053625+0.00071897i,0.000233+0.00052085i,-0.00034075+0.00068602i,-0.0002115+0.0010022i,-8.3112e-05+0.00062806i,0.00014617+0.00023346i
-0.013068-0.012304i,-0.0069977-0.0081957i,-0.0035033-0.0055634i,-0.0031217-0.0026742i,-0.0022916+0.00030744i,-0.00082103+0.0019167i,0.00011943+0.0012073i,0.00032294-0.00016179i,-0.00089828+0.00044178i,-0.0022597+0.0012792i,-0.001428+0.0012863i,-0.00025447+0.0012812i,0.00054587+0.00064632i,0.00044665+6.5752e-05i,0.00025334-0.00039566i,-0.00033083-0.00039833i,-0.00013156+3.1744e-05i,0.0010879-0.0001779i,0.00038107-0.00052603i,-0.00010067-0.00025575i,0.00033488-0.000128i,0.00025075-0.00051538i,-0.00030525-0.00021558i
-0.016517+0.010202i,-0.0091877+0.0060329i,-0.0039247+0.0025098i,-0.0014637-6.9869e-05i,0.00040532-0.0015023i,0.0017872-0.0017453i,0.00039972-0.0011739i,-0.001378-0.00049261i,-0.0010334+0.00087775i,0.00096552+0.0023994i,0.0022542+0.0021444i,0.002115+0.00082453i,0.0014587+0.00013291i,0.00030298+0.00047542i,-0.00070566+0.00024883i,-0.0013265+0.00015121i,-0.0011434-9.4826e-05i,0.00027594-0.0004393i,0.00062737-0.00097724i,0.0002467-0.00092195i,-0.00063908+0.00048791i,-0.0011157+0.0009088i,-0.00071216+0.00058798i
0.0047253+0.018088i,0.0034702+0.0073819i,0.0022353+0.0026087i,0.00039257+0.00071999i,-0.00036651-0.0015953i,-0.00013606-0.0029621i,-0.0010541-0.0021692i,-0.0019846-1.4717e-05i,-0.00057477+0.0015614i,0.0012049+0.0017087i,0.00084268-0.00022312i,0.00053458-0.0018031i,0.00051048-0.00092985i,0.00047281+0.00010427i,0.00023738+0.00078283i,-0.00062369+0.0013478i,-0.00083158+0.0010209i,-0.00050086+0.00033892i,-0.00031747-0.00097841i,0.00037783-0.00097713i,0.00097692+0.00029742i,0.00073715+0.0011042i,-8.914e-05+0.0016868i
0.018071+0.0042276i,0.010029+0.0032726i,0.0046604+0.0018608i,0.0013604-0.00026283i,-0.0011579-0.0014916i,-0.0027152-0.0014897i,-0.0024583-0.0008054i,-0.00031821-0.00020226i,0.0011196+0.00030076i,0.00061444+0.00045304i,-0.00085861-0.00019066i,-0.0019014-0.00014275i,-0.0016473+0.0010775i,-0.0010681+0.0012519i,-0.00072434+0.0001843i,-0.00015926-9.4309e-05i,-0.00031662+0.00066241i,-0.00059198+0.00091527i,-0.00048683+0.00040222i,-0.00043101+0.00058827i,-0.00020803+0.00073918i,9.1283e-05+4.1412e-05i,0.00035936-0.00094102i
0.0082482-0.014649i,0.001932-0.0066095i,-0.00022224-0.001499i,-0.0010347-0.00027965i,-0.0032213+7.1738e-05i,-0.0036701+0.0006473i,-0.0021222-0.00032167i,-0.00057635-0.00059879i,-0.00026285+0.00035056i,-0.0012608+0.00033149i,-0.001779+6.0991e-05i,-0.0011199+0.00010205i,-0.00048527+0.00052923i,-1.2824e-05+0.00053681i,0.00049491+0.00088679i,0.00043209+0.0012301i,-0.00046108+0.0014055i,-0.00047427+0.0010423i,0.00018703+0.00034226i,0.00046347+0.00019013i,0.00096573+8.2793e-06i,0.0014568+0.00055888i,0.001282+0.00013603i
-0.0093589-0.016789i,-0.002302-0.0088584i,6.0372e-05-0.0035601i,-0.00086926-0.0014771i,-0.00063857+0.00021236i,0.001113+0.0011678i,0.00096456+0.0014938i,-0.00054332-0.00013783i,-0.0014234-0.00076383i,-0.00090164+0.00051597i,0.00032416+0.0013792i,0.0011228+0.0014451i,0.0013024+0.0012194i,0.0013521+0.00021383i,0.00075304+0.00011607i,-2.8015e-05+0.00032252i,-0.00051178+4.805e-05i,-0.00079646+0.00045571i,-0.00067957+0.00097917i,-9.995e-05+0.00071096i,0.00042737-3.552e-05i,0.00084626-0.00066303i,0.0011373-0.0014207i
-0.020745+0.0028319i,-0.01088+0.0012923i,-0.0049193-0.00058081i,-0.0015817-0.00076267i,0.00022043-0.00064003i,0.00092835-0.0010044i,0.00069897-0.0013904i,-0.00037704-0.0016618i,-0.00071906-8.176e-05i,-0.00017594+0.0014523i,0.00026425+0.0016032i,0.00041844+0.00073785i,0.00060762-0.0002958i,2.2133e-05-0.00076663i,-0.0007557-0.00071355i,-0.00072095-1.1053e-06i,0.00012367+0.00036988i,0.00097185+1.8575e-05i,0.001101-0.00057384i,0.00068322-0.00059826i,-2.4518e-05-0.00048349i,-0.00076496-0.00080969i,-0.0012361-0.00045731i
-0.0060324+0.019704i,-0.0046135+0.0087394i,-0.0029113+0.0032425i,-0.001234+0.0018023i,-0.00054178+0.00029323i,-0.00011305-0.0007975i,-0.00081525-0.00099018i,-0.0010588-0.0003517i,-0.0010783+0.00047087i,-0.00029293+0.0011094i,0.00086705+0.0007192i,0.00075075-0.00060333i,-0.00041479-0.0017388i,-0.00097846-0.0010353i,-0.00019067+8.2916e-05i,-1.7634e-05+0.00026431i,-0.00040751+0.00022122i,-0.00021447-6.9852e-05i,-0.00014274-0.00057631i,-0.00068089-0.00046413i,-0.0013498-0.00040785i,-0.0017834-0.00021473i,-0.0018883+0.00071647i
0.020013+0.011893i,0.012152+0.0085707i,0.0056708+0.0056859i,0.0022356+0.0016565i,0.00070177-0.001624i,-0.0008622-0.0021418i,-0.0011314-0.0017879i,-0.00070182-0.001192i,-0.00090458-0.00024773i,-0.0010033+0.00015409i,-0.0014936-0.00013336i,-0.0021754+8.1003e-05i,-0.0019492+0.0006196i,-0.00088272+0.00055795i,0.00019384+0.00034365i,1.8944e-05-0.000104i,-0.00010074-0.00026209i,-0.00011758-0.00017325i,-0.00050471-0.00039172i,-0.00060733+0.00024618i,-0.00034848+0.0011227i,0.00031912+0.0022465i,0.0011725+0.0025676i
0.015806-0.016037i,0.0086799-0.0098334i,0.0042699-0.0044364i,0.0019618-0.0019935i,-0.00071133-0.0013787i,-0.0021503-0.0012186i,-0.0019525-0.0013353i,-0.0012684-0.0010331i,-0.0010939+0.00019615i,-0.00075965+0.00015975i,-0.00013733-0.00074104i,4.9855e-05-0.00035565i,0.0013268+0.0003657i,0.0023389-4.5094e-05i,0.0011431-0.0008209i,-0.00016184-0.0010859i,6.072e-05-0.00057438i,0.00048127-0.00024877i,0.00078176+0.00032266i,0.0011702+0.0014813i,0.0016537+0.0019225i,0.0022861+0.0013233i,0.0019655+0.00059857i
-0.0076781-0.019968i,-0.0042102-0.010801i,-0.0015055-0.0039411i,-0.00067661-0.0012796i,-0.00088965+7.7041e-05i,-0.00019057+0.00093006i,0.00024725-3.1337e-05i,-0.00064617-0.0010426i,-0.0003239-0.0006516i,0.00030013+0.00031005i,-4.1172e-05+0.00025074i,-0.00072883+0.00024005i,-0.00075859+0.00024467i,-0.00017684-0.00036648i,-0.00024519-0.0017496i,-0.00068179-0.0016702i,-0.00085389-0.00075054i,-0.00089411-0.00042964i,-0.00085822+0.00041748i,-0.00018374+0.00083947i,0.00040012-0.00035195i,0.00067644-0.0015567i,0.00038833-0.001531i
-0.019676+0.0019649i,-0.0094494+0.0015078i,-0.0030125-0.00090754i,-0.0015651-0.0012595i,-0.00082257-0.00037515i,-6.8645e-05-0.00047063i,-0.00024704-0.00045137i,-0.0015208+0.00051867i,-0.0021096+0.001295i,-0.0014836+0.00037595i,-0.00089649-0.0006892i,-0.00086816-0.00031031i,-0.0011591+6.3909e-05i,-0.0010503+9.4982e-06i,-0.00010951-0.00040814i,0.00040945-8.4129e-05i,0.00049049+0.000477i,0.00076193+0.00055494i,0.001091+0.00032343i,0.00093203-0.0008423i,0.00017229-0.0019289i,-0.0003981-0.0017819i,-0.00072908-0.0013749i
-0.0079026+0.02173i,-0.0016243+0.012772i,2.7078e-05+0.0063954i,0.00036864+0.0031305i,0.00015452+0.00017419i,-0.00071715-0.0016465i,-0.0011653-0.0016449i,-0.0017517-0.00055835i,-0.0018172+0.00079007i,-0.00078476+0.001896i,-0.00046652+0.0013913i,-0.00058846+0.00058432i,-0.00089544+0.00043642i,-0.00093008+0.0012217i,-0.00017232+0.001591i,0.00059514+0.00099899i,0.00052337+0.00061858i,0.00018697-4.3857e-06i,0.00079244-0.00042856i,0.00027158-0.00041335i,-0.00076516-0.00022979i,-0.0013601+0.00078064i,-0.0010785+0.0012531i
0.017429+0.011231i,0.0093125+0.0029326i,0.0032728-0.001001i,0.0012407-0.0020807i,-0.00019525-0.0026248i,-0.0013185-0.0016008i,-0.0010959-0.00014758i,0.00031483-0.00019632i,0.0013+0.00032996i,0.00079182+0.0010666i,0.00046224+0.0011807i,0.00094185+0.0011878i,0.00045581+0.0012928i,0.00026982+0.0019816i,0.00067055+0.001599i,0.00051077+0.00036034i,0.00046555-0.0007878i,4.2647e-07-0.0012608i,-0.00068706-0.0005815i,-0.0011966+0.00031819i,-0.00076203+0.0011155i,9.275e-05+0.0018709i,0.00031428+0.0014313i
0.019399-0.012098i,0.009503-0.0074153i,0.004076-0.0048083i,0.0011181-0.0032577i,-0.0020268-0.0010829i,-0.0021236+0.00061228i,-0.0010842+0.00074165i,-0.0004505-0.00031784i,8.7561e-05-0.0010622i,0.00030304-0.00076293i,0.00012091+0.00039123i,3.3833e-06+0.0006369i,0.00026045-2.4869e-05i,0.0014123+0.00011086i,0.0021187+0.00017654i,0.00095634+1.4955e-05i,0.00014137+0.00024521i,-0.00032142+0.00076478i,-0.00095583+0.0013362i,4.1171e-05+0.00099861i,0.0014511+0.00058971i,0.0024858-0.00032041i,0.0028794-0.00039686i
-0.0061404-0.019796i,-0.0050892-0.0089379i,-0.0025188-0.0017617i,-0.00080526+0.00059615i,-2.3933e-05+0.00057292i,0.00080279-0.0010706i,0.00090377-0.0017577i,4.2074e-05-0.001165i,-0.0011347-0.00090836i,-0.0015742-0.0015316i,-0.00072454-0.0017522i,5.6663e-05-0.001889i,0.00016631-0.0017688i,-0.00017567-0.0018039i,-0.00035227-0.0017924i,-0.00090805-0.00093749i,-0.001637+0.00016458i,-0.00051292+0.00099418i,0.00056366+0.00050608i,0.000857+8.8494e-07i,0.00089548+0.00030391i,-0.00015933-0.00033392i,-0.00075993-0.0013137i
-0.021037-0.0051224i,-0.010691-0.0026276i,-0.0037556-0.0024325i,-0.0014469-0.0019167i,-0.00032658-0.0014162i,0.00032915-0.0016145i,0.00028796-0.002024i,-0.0015571-0.0012361i,-0.0025571+0.00062265i,-0.0017523+0.0014237i,-0.0010367+0.00049321i,-0.0004781+3.0937e-05i,-0.00078515+0.00013842i,-0.0025931+0.00041734i,-0.0032528-0.0001723i,-0.0017496-0.0011973i,-0.00055903-0.00098169i,0.00010437+2.9722e-05i,0.00050898+0.00038483i,0.00034796+0.00017271i,-0.000279-0.00019328i,-0.0011716-0.001125i,-0.0011798-0.0020881i
