-0.00037866-0.00047933i,-0.00010789-0.00058731i,0.00048797-3.9045e-05i,4.0655e-05+0.00098989i,-0.00024235+0.0013928i,-0.00046952+0.00076466i,-0.0012077-0.00021i,-0.0014873-0.00037644i,-0.00052255-4.4907e-05i,0.00037839-4.2964e-05i,0.00024415-0.00030722i,-7.7914e-05-0.00033657i,-0.00019769-0.00041475i,-8.927e-05-0.00079893i,-0.00036305-2.6642e-06i,-0.00074194+0.001308i,-0.00075838+0.00059306i,-0.00020182-0.0010341i,0.00065772-0.00095664i,0.00083499-0.00042993i,-0.00020283-0.00055764i,-0.00065007-0.00061608i,-5.2477e-05-0.00072839i
-0.0010315-0.00057767i,-0.00090723+0.00016576i,-0.00011141+0.00052599i,0.0012881+0.0012251i,0.0019596+0.0025867i,0.0013278+0.0018892i,0.00031076+0.0011956i,-0.00017584+0.00037368i,-0.00034157-0.00011304i,-0.00014093+0.00036979i,0.00040634-9.3059e-06i,6.5619e-05-0.00043923i,-0.00037101-0.0001133i,-5.5772e-05+2.0863e-06i,-0.00019165+0.00013886i,-0.00036301+0.00029952i,-0.00018942+7.519e-05i,-0.00016848+0.00012685i,-0.00013112+0.00050386i,-0.0001142+0.00024633i,0.00030983-0.00028819i,0.0008108-0.00059314i,0.00054803-0.00024647i
-0.002079+0.00061769i,-0.00038358+0.00038466i,-0.00010191+0.0010451i,0.00019542+0.0015318i,0.0017831+0.0016081i,0.0024084+0.0014426i,0.0017346+0.00066055i,0.0010466+0.00097655i,0.00050122+0.0011462i,7.0801e-05-0.00047758i,0.00055423-0.00091324i,0.0013905-0.00053305i,0.00030739-0.00084736i,-0.00067659-0.00085175i,-8.5981e-05-0.00045518i,-3.8791e-05-0.00037246i,-0.00095011-0.00073228i,-0.0012902-0.00090419i,-0.00062457-0.00078381i,-0.00075612-0.00050624i,-0.00095952-0.00058386i,-0.00091006-0.00068937i,-0.00053473-0.00036195i
0.00032992-0.00095012i,0.00017277-0.0015463i,-0.00016648-0.0012008i,-0.00033787-0.00047856i,-0.00060018+5.8211e-05i,-0.00023875+0.0007353i,0.00051952+0.00056531i,0.00048302+0.000425i,-4.1913e-05+0.00016753i,-0.00042487+0.00013371i,-0.00084121+0.0007414i,-0.00092026+0.00062291i,-0.00043627+0.00031362i,0.00045851+0.00067889i,0.00066047+0.00047025i,0.0006439+0.00043206i,0.00032396+0.00014834i,-0.00045719-0.00018605i,-0.00070113-0.00017981i,-0.00053934-0.0002463i,-0.0010434+0.00011791i,-0.00069862+0.00037477i,-0.00026951-6.5188e-05i
0.0012814-0.00067101i,0.001435-0.0012656i,0.0010056-0.0018347i,0.0014555+8.847e-05i,0.0014229+0.0019072i,0.00041753+0.00155i,-0.00069832+0.00047021i,-0.0014005+0.00018223i,-0.0010388+9.2762e-05i,-7.3956e-05+0.00035676i,0.00046335+0.00089159i,0.00072543+0.00075265i,0.0010247+0.00037021i,0.0008232+0.00030276i,5.6562e-05+0.00019236i,-7.1036e-05-1.3088e-05i,0.00024933+2.4631e-05i,0.00044371+9.0331e-05i,6.3253e-05+0.00032609i,-0.00039026-0.00024328i,-0.00075915-0.00040672i,-0.00068575-0.00051817i,-9.3729e-05-0.00013654i
0.00038801-0.0020116i,0.00095771-0.0017202i,0.00078068-0.0011704i,2.9276e-05-0.00027425i,0.00021767+0.00066624i,0.00029365+0.0013274i,-8.4349e-05+0.0010461i,-0.00037929+0.00036004i,-0.00032588+0.00030154i,0.00023855-0.00032181i,0.00073569-0.00050171i,0.00020735-0.00018108i,-0.00053401-0.00048917i,-3.8828e-06-0.00041991i,0.00072116-5.2374e-05i,-4.6099e-05+0.00042181i,-0.00023679+0.00083148i,-0.00012685+0.00099191i,-0.00038364+0.00070752i,-0.00032396+0.00012801i,-0.00060304-0.00012959i,-0.00097429-0.00015045i,-0.0009167-9.4623e-05i
0.0004794+0.00098919i,0.00055656+0.00074416i,-0.00027377-0.00038035i,-0.00095819-0.00025003i,4.3211e-05+0.0010472i,0.0012397+0.0016287i,0.00090696+0.0010577i,0.00059463+0.00025517i,0.00076235+0.00031654i,0.00052982+0.00053283i,0.00052769-1.2116e-05i,0.00032994-0.0010036i,-0.00036096-0.0011952i,-0.00012774-0.00045818i,0.00068+0.00033962i,0.0013076-0.00030018i,0.00054227-0.00037076i,-0.00071361+0.0006217i,-0.00027833+0.00044192i,0.00054817-0.00023322i,0.00012422-0.00051002i,0.00013906-0.00066248i,0.00043121+0.0001322i
-0.00039809+0.001283i,2.9082e-05+0.0014317i,0.00057287+0.0007752i,0.00071398+0.00043606i,0.00013714+0.00031948i,-0.00012998+0.00023048i,0.00043001+0.00095945i,0.00048841+0.0020454i,-0.00020641+0.0016849i,-0.00067728+0.0010439i,-0.00061781+0.00086446i,-6.8695e-05+0.00038587i,0.00020116+0.00040943i,-9.7697e-05+0.00017297i,2.221e-05+0.00046379i,-1.7996e-05+0.00098652i,-0.00020636+0.0004088i,-0.00061736-0.00012688i,-0.00013338-0.00055124i,3.6372e-05-0.00042274i,-0.00083794-0.00048869i,-0.00054667+8.3244e-05i,6.37e-05+0.00046526i
0.0021743-0.0016617i,0.0024183-0.0018229i,0.0022123-0.00083128i,0.001495-0.0002761i,0.00079795+0.00053327i,0.00058878+0.0011465i,-0.00012111+0.0005112i,-0.00024892+0.00019219i,0.00038686+0.0001286i,0.0003073-0.00047758i,1.9937e-05-0.00025313i,0.00010536+0.00019249i,0.00056691+0.00023228i,0.0011246+0.00028915i,0.00091306-2.112e-05i,0.00013236-0.00024145i,-0.00069115-0.00017199i,-0.0006327+4.5529e-05i,-0.00016442-0.00042816i,-0.00020429-0.0004137i,-0.00031696+0.00015252i,-6.8175e-05-0.0002998i,8.411e-05-0.00063252i
-0.00030174+0.001423i,0.00012993+0.002059i,0.0013317+0.00084025i,0.0016434+0.00016803i,0.001902+0.00028388i,0.0016512+0.0007182i,0.00077028+0.00091534i,0.00028192+0.00034136i,-7.7119e-05-0.00040589i,5.4811e-05-0.00033085i,6.5591e-06+0.00030266i,-0.00045246-0.00014451i,-0.00045971-0.00079761i,-0.00037131-0.00020204i,0.00043611+0.00042014i,0.00095549+0.00024262i,6.7914e-05+0.00086546i,-0.00072521+0.0014821i,-0.00073942+0.0010892i,1.5354e-05+0.00049043i,-0.00014125-4.9154e-05i,-0.00021505-0.00054604i,-0.00013135-0.00071793i
