-0.0026099+0.0011001i,-0.0011436-0.0013677i,-0.0025915-0.0021024i,-0.0022352-0.00035285i,-0.00023577+0.0019965i,0.0017627+0.0019378i,0.0015496+0.0010077i,0.00024668+0.00080581i,0.00083702+0.00086799i,0.0015106-6.7192e-05i,0.00065462-0.0011236i,-0.00029776-0.0011889i,-0.00071564-0.0010598i,-0.00057688-0.0011608i,2.508e-05-0.000339i,0.00030549+0.00046151i,0.00064998+0.00037057i,0.0001707-0.00044534i,-0.0004253-0.0012245i,-0.00023034-0.0010751i,0.00013878-0.00038922i,0.00036593+2.1834e-05i,0.00029931+0.00023725i
-0.18069-0.030218i,-0.37508-0.067039i,-0.5213-0.094005i,-0.46417-0.13218i,-0.27544-0.19516i,-0.18571-0.2097i,-0.20624-0.13121i,-0.20172-0.020419i,-0.12342+0.04802i,-0.04296+0.053849i,-0.019345+0.048526i,-0.014685+0.055353i,0.0022433+0.041428i,0.011921+0.0061495i,0.0073429-0.025573i,0.00030081-0.03868i,0.0038591-0.034786i,0.0158-0.02571i,0.02259-0.02031i,0.020872-0.021884i,0.016261-0.026156i,0.013206-0.025441i,0.011176-0.019255i
0.072416-0.11263i,0.075868-0.26656i,0.010176-0.43829i,-0.036051-0.49885i,0.027605-0.40394i,0.13186-0.29245i,0.13756-0.24266i,0.063879-0.17628i,0.032103-0.085611i,0.041304-0.048543i,0.020127-0.053202i,-0.014448-0.035419i,-0.020592-0.0049643i,-0.013873+0.015331i,0.00074937+0.029258i,0.018874+0.025642i,0.020886+0.006631i,0.0091428-0.0096644i,-0.0060755-0.011987i,-0.0095683+0.00080866i,0.0016266+0.015267i,0.0077056+0.021324i,0.0042462+0.020167i
0.091184+0.13045i,0.30217+0.22907i,0.62158+0.25932i,0.77952+0.22332i,0.60697+0.21648i,0.32843+0.2005i,0.16307+0.075961i,0.057754-0.067209i,-0.023325-0.083008i,-0.035323-0.030153i,-0.0249-0.020019i,-0.037878-0.026221i,-0.046608-0.010722i,-0.03289+0.014646i,-0.0061749+0.032735i,0.015824+0.03697i,0.021401+0.040477i,0.018594+0.045829i,0.014138+0.038575i,0.002458+0.022783i,-0.011251+0.012704i,-0.014442+0.0061939i,-0.0092333-0.0009763i
-0.12239-0.04625i,-0.20811-0.0078205i,-0.20407+0.13618i,-0.092808+0.26405i,-0.028228+0.21615i,-0.060563+0.077175i,-0.066937+0.0095929i,-0.034849-0.011873i,-0.03484-0.0080766i,-0.026705+0.03032i,0.014763+0.038847i,0.03518+0.003235i,0.020448-0.035445i,-0.018431-0.05251i,-0.060158-0.032399i,-0.068847+0.00051716i,-0.050644+0.0074291i,-0.02803-0.0071521i,-0.0094455-0.023856i,-0.0034113-0.031561i,-0.0080168-0.027057i,-0.011507-0.017005i,-0.005572-0.010692i
0.066955-0.029081i,-0.0011151-0.033304i,-0.23591+0.029987i,-0.42671+0.13607i,-0.35046+0.12861i,-0.15358-0.00071288i,-0.012324-0.095756i,0.068847-0.11291i,0.065319-0.10965i,0.010303-0.083079i,-0.0089351-0.045339i,-0.0013825-0.030116i,0.0076604-0.016404i,0.021335-0.0076653i,0.021339-0.013388i,0.003644-0.013329i,-0.014583-0.0063241i,-0.026473-0.0014109i,-0.026615+0.0037211i,-0.011945+0.007798i,0.0071122+0.0040396i,0.01393+0.0013862i,0.010507+0.0087672i
0.0041975+0.095264i,0.083481+0.11967i,0.22103+0.057754i,0.2657-0.022664i,0.18981+0.0071431i,0.18316+0.10986i,0.23869+0.15264i,0.23176+0.11024i,0.16004+0.043753i,0.075151+0.011887i,0.027974+0.011689i,0.012604+0.011605i,0.010529+0.010446i,0.016443-0.00029507i,0.0083234-0.029054i,-0.010355-0.049973i,-0.01587-0.050825i,-0.0058983-0.036086i,0.0043954-0.015397i,0.0058783-0.0046414i,0.00070712-0.0032842i,-0.0070615-0.0077859i,-0.011943-0.013069i
-0.066299-0.089303i,-0.099483-0.12033i,-0.10666-0.074505i,-0.10959-4.2151e-05i,-0.11553+0.04687i,-0.11583+0.11447i,-0.085243+0.20354i,-0.034412+0.21313i,-0.0026073+0.14092i,0.014585+0.063253i,0.030371+0.019037i,0.041069-0.0021522i,0.02804-0.011031i,0.0020977-0.0042527i,-0.0011036+0.009174i,0.016974+0.0098025i,0.029234-0.010025i,0.025099-0.033516i,0.01232-0.038649i,0.0035187-0.029205i,0.0057953-0.02038i,0.012801-0.012696i,0.017339-0.003673i
0.063393+0.043547i,-0.028887+0.093015i,-0.28519+0.12566i,-0.48632+0.096477i,-0.4226+0.013197i,-0.27704-0.051839i,-0.23923-0.030801i,-0.20011+0.056775i,-0.10433+0.069354i,-0.061779+0.009044i,-0.066908+0.00014035i,-0.050471+0.025867i,-0.024685+0.033658i,0.0071425+0.028444i,0.046722+0.0092446i,0.068787-0.0082098i,0.07905-0.0037463i,0.08025+0.0086929i,0.06223+0.0087204i,0.038123+0.0031075i,0.023232+0.0039919i,0.018088+0.0063619i,0.0096394+0.0094334i
-0.071185+0.037306i,-0.076374-0.041059i,-0.022851-0.26205i,0.018567-0.47657i,0.0081366-0.44886i,-0.014622-0.22934i,-0.043709-0.062187i,-0.06286+0.0051615i,-0.033419+0.034906i,0.0056389+0.022758i,-0.0014225+0.0040489i,-0.021058+0.0009378i,-0.034981-0.010478i,-0.053656-0.0081646i,-0.057684+0.018905i,-0.043786+0.044361i,-0.022324+0.057154i,-0.00064668+0.052457i,0.0092606+0.032391i,0.0058152+0.018702i,-0.00076848+0.01964i,-0.0063942+0.020692i,-0.011834+0.010424i
0.023654-0.15653i,0.12807-0.30197i,0.33109-0.43781i,0.48757-0.47241i,0.40704-0.31252i,0.17419-0.084026i,-0.024609+0.0031865i,-0.15598+0.0015625i,-0.1715+0.037151i,-0.063555+0.05235i,0.018383+0.0015565i,0.026895-0.039391i,0.027086-0.047024i,0.025011-0.035644i,0.017936-0.0044695i,0.012003+0.024288i,-0.0048589+0.04028i,-0.02796+0.045173i,-0.03522+0.03885i,-0.025259+0.024379i,-0.018399+0.0081511i,-0.013093+0.0030902i,0.0024025+0.0037649i
0.080855+0.13117i,0.11265+0.26714i,0.12194+0.37396i,0.1587+0.34442i,0.15667+0.15496i,-0.0023387-0.075322i,-0.12926-0.1941i,-0.12606-0.19745i,-0.096799-0.13232i,-0.054514-0.052132i,-0.0077105-0.011327i,0.017759+0.0083628i,0.04212+0.013407i,0.048034-0.015278i,0.010734-0.042219i,-0.037268-0.041473i,-0.058794-0.025761i,-0.048172-0.013012i,-0.023639-0.0087855i,-0.0047805-0.0082826i,0.0025909-0.014785i,-0.0062883-0.018757i,-0.019141-0.0063457i
-0.1067+0.020147i,-0.13838+0.041525i,-0.052461+0.12305i,0.083452+0.21738i,0.12979+0.21069i,0.16003+0.094118i,0.19395-0.056517i,0.1491-0.15383i,0.056321-0.15719i,0.00055749-0.097155i,-0.011708-0.041633i,-0.019249-0.0094954i,-0.030891+0.017943i,-0.034807+0.04279i,-0.020371+0.049288i,-0.00022238+0.024064i,0.00068993-0.015988i,-0.0093237-0.040106i,-0.012702-0.037012i,-0.0076458-0.017378i,0.0024886-0.0034924i,0.0069806-0.0055553i,0.0041347-0.013327i
0.087058-0.15193i,0.20429-0.27857i,0.32272-0.36409i,0.36525-0.30072i,0.34484-0.10973i,0.3275+0.058378i,0.28379+0.12799i,0.16182+0.098774i,0.03375+0.054043i,-0.014514+0.047641i,-0.013218+0.038746i,-0.016838+0.022222i,-0.015594+0.019938i,0.003786+0.01967i,0.032836+0.0049989i,0.058412-0.021728i,0.067602-0.042376i,0.057326-0.044947i,0.03183-0.037692i,0.0065789-0.024655i,-9.2479e-05-0.008653i,0.0079442-0.0031871i,0.010443-0.006113i
0.024741+0.19324i,-0.018778+0.40453i,-0.094214+0.58448i,-0.16222+0.57547i,-0.25196+0.40629i,-0.36141+0.25657i,-0.33319+0.20144i,-0.14905+0.12052i,-0.023036+0.010706i,-0.0058461-0.011881i,0.0016946+0.010787i,0.0031954+0.0089001i,-0.014082-0.0019881i,-0.037728-0.0073016i,-0.061034+0.0077786i,-0.055446+0.046317i,-0.017186+0.068579i,0.021781+0.05119i,0.03312+0.013803i,0.015772-0.0081556i,-0.00078114-0.0085748i,-0.002201-0.0044604i,0.0012491+0.0006783i
-0.13066-0.018652i,-0.20192+0.032611i,-0.24424+0.23186i,-0.21389+0.43506i,-0.14798+0.3779i,-0.15312+0.19261i,-0.16882+0.087791i,-0.085461+0.037097i,0.0059367-0.020237i,0.013425-0.052916i,0.0034342-0.051658i,0.0034588-0.052201i,-0.0067625-0.045496i,-0.012437-0.02817i,-0.010502-0.016173i,-0.010149-0.0048678i,-0.01448+0.011773i,-0.020027+0.031975i,-0.0084771+0.042527i,0.0121+0.033267i,0.017971+0.021965i,0.014851+0.019037i,0.011105+0.011352i
0.10471-0.1507i,0.11665-0.36006i,0.038383-0.61164i,-0.086905-0.71698i,-0.098919-0.62798i,0.014219-0.52639i,0.042409-0.4094i,0.010902-0.19571i,0.032081-0.032667i,0.037064-0.010006i,0.0090178-0.0095668i,0.0048937+0.0008446i,0.016461-0.016185i,0.017549-0.038i,0.002151-0.044355i,-0.020772-0.035854i,-0.035171-0.021452i,-0.034101-0.007113i,-0.022798+0.0056296i,-0.014366+0.0063893i,-0.014945-0.0014763i,-0.016466-0.0021983i,-0.010152+0.0043832i
-0.0494+0.20005i,-0.1439+0.33869i,-0.29054+0.36736i,-0.37048+0.24645i,-0.27916+0.1229i,-0.13308+0.071914i,-0.055095+0.032677i,-0.04643+0.028711i,-0.028304+0.055786i,0.0063209+0.041232i,-0.0013265+0.011595i,-0.025646+0.015933i,-0.030564+0.030445i,-0.023732+0.033683i,-0.0075575+0.027634i,0.0053142+0.009679i,0.00018899-0.012283i,-0.015425-0.029856i,-0.028681-0.032312i,-0.029224-0.019675i,-0.019329-0.0099004i,-0.01075-0.0088779i,-0.0016633-0.014266i
-0.070165-0.11243i,-0.029513-0.15522i,0.086744-0.14101i,0.2164-0.074142i,0.32726+0.040964i,0.38531+0.16912i,0.34527+0.21403i,0.19295+0.18075i,0.04455+0.1547i,0.010666+0.11552i,0.021183+0.033078i,0.0017082-0.030274i,-0.015004-0.038926i,-0.0049101-0.030203i,0.0057601-0.037932i,0.0035669-0.056517i,0.0056591-0.067283i,0.011384-0.062027i,0.01506-0.047307i,0.022909-0.037038i,0.025344-0.035184i,0.013404-0.023938i,0.0033141+0.0045667i
0.1301-0.097918i,0.15012-0.34577i,0.078217-0.71142i,-0.077113-0.88185i,-0.2218-0.63478i,-0.22493-0.27552i,-0.16829-0.097445i,-0.14925-0.015177i,-0.13267+0.038089i,-0.08491+0.055982i,-0.012785+0.056524i,0.046169+0.027539i,0.052141-0.010707i,0.030485-0.013034i,0.018874+0.0051527i,0.0275+0.020281i,0.044227+0.024999i,0.042807+0.011392i,0.016037+0.0017724i,-0.005402+0.019399i,-0.0046724+0.04018i,0.0012313+0.038996i,0.0024994+0.030081i
-0.093647+0.17414i,-0.082462+0.31766i,0.011599+0.35638i,0.055294+0.2156i,-0.09943+0.1088i,-0.30886+0.21108i,-0.33907+0.29687i,-0.27218+0.19515i,-0.2141+0.066751i,-0.1346+0.0039909i,-0.068382-0.019269i,-0.026262-0.014259i,-0.002194-0.0090862i,0.0019946-0.0057786i,0.017092-0.0043371i,0.027149-0.017936i,0.013072-0.026634i,-0.0067975-0.020396i,-0.020001-0.012086i,-0.022011-0.0056773i,-0.014196-0.0064823i,-0.0086708-0.019986i,-0.016602-0.031126i
0.058928-0.14249i,0.25957-0.16392i,0.60688-0.13558i,0.81099-0.18958i,0.60189-0.275i,0.22529-0.15724i,0.063839+0.027292i,0.035854+0.022231i,-0.02131-0.047157i,-0.045337-0.051384i,-0.036367-0.039874i,-0.037181-0.026354i,-0.037268-0.020791i,-0.048469-0.013913i,-0.049272+0.019373i,-0.021161+0.041725i,0.0060398+0.032931i,0.025081+0.01115i,0.034695-0.014904i,0.021883-0.031381i,-0.0018152-0.030993i,-0.01353-0.019257i,-0.0091615-0.0041564i
0.074081+0.068225i,0.021147+0.065884i,-0.073066+0.055771i,-0.019746-0.02334i,0.062451-0.2633i,-0.10059-0.47038i,-0.31707-0.42584i,-0.28782-0.24664i,-0.13447-0.139i,-0.039448-0.082224i,0.010042-0.022647i,0.039337+0.020289i,0.049596+0.02846i,0.040193+0.013403i,0.023232+0.0016234i,0.01827-0.0021509i,0.021414-0.0073611i,0.014473-0.01153i,0.0026083-0.0037507i,0.00791+0.013241i,0.02714+0.023966i,0.037372+0.024113i,0.028999+0.017253i
-0.1756+0.093424i,-0.26345+0.26061i,-0.20548+0.4546i,0.036797+0.52914i,0.29671+0.37023i,0.32891+0.042i,0.15891-0.14183i,0.0074306-0.092651i,-0.023496+0.0085416i,0.018362+0.028072i,0.025127-0.013279i,-0.0087578-0.015634i,-0.0085477+0.013409i,0.0081954+0.016507i,-0.0013508+0.010997i,-0.014189+0.012697i,-0.0085509+0.0047909i,0.0014782-0.019253i,-0.0045622-0.039939i,-0.023881-0.038863i,-0.042348-0.022476i,-0.046949-0.006093i,-0.031861-0.0021481i
0.11387-0.17448i,0.2016-0.30185i,0.22316-0.33992i,0.19829-0.18133i,0.29583+0.098601i,0.48947+0.25774i,0.52328+0.19385i,0.32279+0.072932i,0.10229+0.039664i,0.024525+0.053215i,0.022429+0.040976i,0.011306+0.0067551i,-0.0061676-0.021235i,-0.025104-0.023152i,-0.032599+0.0034808i,-0.013191+0.030194i,0.012561+0.044474i,0.026533+0.051159i,0.027876+0.047765i,0.021677+0.038931i,0.018408+0.029011i,0.021462+0.018779i,0.022053+0.010649i
0.0069904+0.1492i,-0.10397+0.17405i,-0.33025+0.10853i,-0.51543+0.013646i,-0.56651+0.018432i,-0.57161+0.17893i,-0.49332+0.34265i,-0.28863+0.29181i,-0.14086+0.087083i,-0.11478-0.015356i,-0.08768-0.00013648i,-0.04595+0.005252i,-0.027791-0.011995i,-0.031775-0.041052i,-0.050666-0.069675i,-0.073672-0.067678i,-0.090707-0.044615i,-0.09291-0.020707i,-0.077553-0.0072517i,-0.046093-0.014978i,-0.016282-0.039338i,-0.010103-0.055205i,-0.012803-0.043866i
-0.15029-0.070227i,-0.16998-0.16645i,-0.045831-0.35447i,0.033631-0.53898i,-0.12298-0.48975i,-0.31236-0.25164i,-0.33449-0.084333i,-0.24105-0.02404i,-0.11077+0.027472i,0.0045325+0.038166i,0.041568-0.0018452i,0.011877-0.00368i,-0.0079952+0.0438i,0.011405+0.076775i,0.038197+0.07656i,0.051584+0.051055i,0.050586+0.0096762i,0.033095-0.032765i,0.0077744-0.054459i,-0.0030942-0.033447i,0.0052418+0.0081413i,0.013265+0.031886i,0.012115+0.032032i
0.20089-0.12016i,0.37496-0.28001i,0.50903-0.50558i,0.53129-0.67666i,0.48246-0.71015i,0.37966-0.66087i,0.1923-0.53818i,0.027594-0.27039i,-0.00032608-0.016195i,0.0060666+0.050685i,-0.011757+0.036528i,-0.0065391+0.020046i,0.0028038-0.0060496i,0.0076459-0.021643i,0.0013553-0.036209i,-0.03361-0.034678i,-0.048887-0.0036507i,-0.014887+0.015367i,0.028729+0.0053168i,0.042069-0.012209i,0.033207-0.017757i,0.031819-0.0078256i,0.042855+0.0063876i
-0.0093363+0.2301i,0.12246+0.49463i,0.40037+0.77648i,0.63505+0.79982i,0.58383+0.48361i,0.37681+0.22302i,0.29091+0.17136i,0.22925+0.13066i,0.081944+0.08574i,-0.021178+0.069086i,-0.052521+0.049031i,-0.060926+0.032069i,-0.057063+0.01892i,-0.059062+0.023344i,-0.052696+0.034115i,-0.034829+0.023603i,-0.027449+0.0094936i,-0.035368+0.014018i,-0.038355+0.030948i,-0.023135+0.037841i,-0.011619+0.031566i,-0.01318+0.022777i,-0.010439+0.015556i
-0.124-0.11573i,-0.29715-0.079683i,-0.48076+0.1158i,-0.54722+0.36764i,-0.38502+0.54569i,-0.080893+0.58738i,0.12108+0.46736i,0.14642+0.25209i,0.090977+0.081969i,0.050827-0.013067i,0.016567-0.069764i,-0.031439-0.083747i,-0.071958-0.063611i,-0.089582-0.030827i,-0.072807-0.013849i,-0.055865-0.0281i,-0.070657-0.028925i,-0.066619+0.012449i,-0.019235+0.047127i,0.026259+0.043462i,0.046077+0.022422i,0.03871+0.0048141i,0.0085833+0.0067034i
0.060617+0.031029i,-0.18512-0.0071963i,-0.80218-0.089662i,-1.3354-0.092397i,-1.2354+0.060826i,-0.80457+0.27393i,-0.45765+0.43221i,-0.1482+0.43507i,0.070446+0.26748i,0.10061+0.10102i,0.06547+0.024517i,0.047323-0.031289i,0.025283-0.07646i,0.004982-0.090996i,0.00081908-0.078956i,0.0030983-0.06105i,-0.016149-0.055074i,-0.05938-0.047109i,-0.090783-0.021056i,-0.08805+0.0089977i,-0.063899+0.025268i,-0.029279+0.024935i,0.0043647+0.0095544i
-0.058799+0.04713i,0.068069-0.17181i,0.25871-0.68947i,0.1482-1.1968i,-0.26737-1.1216i,-0.41232-0.55569i,-0.18759-0.15083i,0.0090387+0.017484i,0.1121+0.14846i,0.1843+0.13837i,0.16319+0.028449i,0.10856-0.01753i,0.086807-0.014204i,0.067582+0.0044388i,0.048964+0.034195i,0.045751+0.043816i,0.043712+0.020468i,0.015224+0.0025493i,-0.012207+0.012561i,-0.0064408+0.019933i,-7.4988e-05+0.019366i,0.00097203+0.029593i,0.018891+0.038401i
-0.036776-0.24639i,-0.057354-0.48096i,-0.066934-0.88686i,-0.19875-1.2896i,-0.45806-1.2199i,-0.54083-0.59578i,-0.3347+0.0043746i,-0.10059+0.2549i,0.0094235+0.28116i,0.022718+0.17485i,-0.020851+0.061256i,-0.053771+0.0013075i,-0.090349-0.047291i,-0.12673-0.045456i,-0.10724-0.012004i,-0.072186+0.00032387i,-0.048802+0.0047793i,-0.011151+0.0036717i,0.020782-0.0076343i,0.014011-0.01704i,-0.011153-0.020699i,-0.014547-0.017644i,-0.0020704-0.011682i
0.14742+0.24067i,0.23819+0.4794i,0.22854+0.60097i,0.042106+0.37042i,-0.25761+0.030927i,-0.34575+0.10464i,-0.086744+0.31647i,0.088185+0.23548i,0.016146+0.10046i,-0.025299+0.03515i,-0.0065223-0.035399i,0.001881-0.071429i,-0.0058449-0.090806i,-0.046766-0.069451i,-0.052256+0.0054273i,-0.0029505+0.049014i,0.032756+0.056947i,0.025988+0.082258i,0.010041+0.12112i,0.010021+0.11447i,-0.0061428+0.063968i,-0.0387+0.037749i,-0.044441+0.034695i
-0.18418-0.023344i,-0.22797-0.085439i,-0.18516-0.27364i,-0.30799-0.53339i,-0.64741-0.55563i,-0.75021-0.20045i,-0.37073+0.19635i,0.16722+0.31046i,0.4606+0.17057i,0.4112-0.0096867i,0.23274-0.075617i,0.13261-0.075411i,0.07182-0.10748i,-0.0054913-0.11839i,-0.037491-0.078974i,-0.024451-0.045471i,-0.028753-0.046568i,-0.060518-0.039798i,-0.085453-0.0041594i,-0.091411+0.018815i,-0.080766+0.028803i,-0.041644+0.028413i,0.0041246-0.0012584i
0.0359-0.20175i,-0.27206-0.35088i,-0.88039-0.37795i,-1.4188-0.11052i,-1.3409+0.31729i,-0.7032+0.59579i,-0.069414+0.66822i,0.27457+0.66386i,0.43218+0.58738i,0.46249+0.36734i,0.35202+0.11265i,0.19187+0.0078005i,0.092434+0.052139i,0.059555+0.13141i,0.055833+0.20407i,0.090153+0.26335i,0.145+0.26136i,0.13219+0.20075i,0.076894+0.1361i,0.03979+0.054799i,-0.03127-0.02694i,-0.098012-0.033911i,-0.071083-0.0045625i
-0.96555+4.7796i,-1.2709+3.0128i,1.708+2.7746i,3.856+0.69616i,3.6643-1.834i,1.6313-3.347i,-0.41748-2.4925i,-0.70095-0.55689i,0.4186+0.50742i,1.2069+0.15604i,0.73832-0.58389i,-0.17025-0.79093i,-0.93454-0.503i,-1.3982+0.14783i,-1.2658+0.67513i,-0.82353+0.73509i,-0.39251+0.52686i,-0.11924+0.20548i,-0.093294-0.11393i,-0.1934-0.30207i,-0.23594-0.36769i,-0.17115-0.3186i,-0.055808-0.25242i
-0.12603-0.16876i,-0.14091-0.19063i,-0.055899-0.13683i,0.098441+0.03901i,0.2906+0.20538i,0.39863+0.22635i,0.3415+0.14032i,0.2026+0.086898i,0.11993+0.057354i,0.083796-0.0018097i,0.025596-0.028609i,-0.012005+0.0041105i,0.0042825+0.049222i,0.025767+0.05964i,0.028771+0.047182i,0.045831+0.04192i,0.071612+0.030522i,0.050967+0.010397i,0.0013597+0.0045025i,-0.032444+0.018254i,-0.047978+0.056893i,-0.034886+0.083455i,-0.020039+0.059502i
0.24163-0.063357i,0.36271-0.083372i,0.47646-0.0018205i,0.68642+0.12891i,0.8146+0.092088i,0.56933-0.078867i,0.14076-0.1281i,-0.12371-0.077596i,-0.20789-0.051677i,-0.18825-0.0089466i,-0.11422+0.030775i,-0.059016+0.034023i,-0.016328+0.042477i,0.038314+0.010429i,0.062226-0.070314i,0.037592-0.11838i,0.012475-0.10709i,0.029432-0.077558i,0.062588-0.06936i,0.067268-0.05943i,0.057404-0.021568i,0.048836+0.0017903i,0.01745+0.0032558i
-0.18341+0.22143i,-0.2936+0.28122i,-0.28521+0.12471i,-0.086845-0.25113i,0.17293-0.59364i,0.20441-0.68081i,0.026184-0.47768i,-0.067066-0.23504i,-0.051954-0.15181i,-0.057492-0.11424i,-0.063386-0.037096i,-0.038462+0.019058i,0.0039893+0.023013i,0.040045-0.013292i,0.0342-0.042453i,-0.0017523-0.036344i,-0.025052-0.015805i,-0.032398-0.012306i,-0.046273-0.01588i,-0.051004-0.0042029i,-0.03013-0.0026995i,-0.010976-0.0132i,-0.010378-0.0064842i
0.044766-0.24984i,0.16004-0.32919i,0.39641-0.26612i,0.50976-0.24572i,0.23061-0.34161i,-0.21617-0.25818i,-0.37033-0.043586i,-0.27365+0.013913i,-0.19298-6.5827e-06i,-0.10289+0.049237i,0.014824+0.053899i,0.069199-0.027429i,0.056475-0.10402i,0.028865-0.11188i,0.041597-0.059934i,0.093983-0.020535i,0.11886-0.015794i,0.083502+0.0025965i,0.036022+0.039931i,0.012854+0.05214i,-0.0088169+0.03943i,-0.023543+0.038027i,-0.011022+0.036449i
0.215+0.053055i,0.37413-0.15584i,0.46123-0.58561i,0.41776-0.9065i,0.27971-0.78387i,0.15744-0.4309i,0.011472-0.23076i,-0.14413-0.11894i,-0.13599-0.0069564i,-0.027626-0.010003i,-0.0098632-0.035086i,-0.026726+0.0098736i,-0.010884+0.033812i,-0.011691+0.011408i,-0.041385-0.014815i,-0.086509-0.018728i,-0.11145-0.0025034i,-0.095493-0.0083985i,-0.07358-0.0366i,-0.064384-0.04614i,-0.051116-0.030934i,-0.027746-0.02081i,-0.008117-0.025392i
-0.33851+0.15654i,-0.61228+0.43407i,-0.738+0.82153i,-0.50721+0.978i,-0.10965+0.6793i,0.072437+0.31938i,0.14488+0.25265i,0.27751+0.24049i,0.30067+0.083463i,0.1662-0.053436i,0.0549-0.055856i,0.046288-0.011613i,0.058262+0.0057929i,0.039052+0.024801i,0.032183+0.069501i,0.065958+0.097364i,0.10257+0.081453i,0.097507+0.05257i,0.056362+0.039154i,0.018356+0.027508i,-0.0052118+0.0040844i,-0.02502-0.012124i,-0.030417-0.00686i
0.27394-0.22026i,0.61522-0.21455i,0.93486+0.0076089i,1.0025+0.27872i,0.74545+0.28649i,0.32454+0.04364i,-0.013316-0.17058i,-0.14379-0.21057i,-0.12265-0.14065i,-0.059768-0.049948i,-0.028039-0.0025539i,-0.0306+0.011655i,-0.023695+0.017153i,0.0063639-0.0044i,0.02867-0.044514i,0.021958-0.081401i,0.0066002-0.097334i,0.012759-0.0873i,0.032786-0.072858i,0.031156-0.057061i,0.013591-0.030886i,0.011468-0.0085086i,0.016127-0.0084973i
-0.043368+0.22453i,-0.22239+0.16953i,-0.50737-0.1293i,-0.68025-0.33609i,-0.51992-0.22401i,-0.20583-0.11282i,-0.079391-0.11036i,-0.09137-0.089263i,-0.071761-0.077734i,-0.029124-0.073528i,-0.00023512-0.052419i,-0.005277-0.019853i,-0.0087119+0.026331i,0.0010472+0.047218i,-0.016634+0.049337i,-0.034772+0.071773i,-0.026151+0.093366i,-0.013714+0.080291i,-0.013956+0.038233i,-0.018827-0.0010274i,-0.018301-0.020183i,-0.022317-0.022432i,-0.033159-0.0078309i
-0.28494-0.18546i,-0.53389-0.23373i,-0.67293-0.12772i,-0.56105-0.016632i,-0.34432-0.033432i,-0.20054-0.039673i,-0.12083+0.010455i,-0.09092+0.047424i,-0.066015+0.068103i,-0.014161+0.048024i,0.013716+0.0086043i,0.016644-0.0043324i,0.022236-0.020975i,0.026155-0.047607i,0.038502-0.063862i,0.046893-0.077484i,0.036922-0.082382i,0.022303-0.066269i,0.012477-0.033934i,0.0079007-0.0042934i,0.0016436+0.008588i,-0.0018561+0.011595i,0.0045436+0.005626i
0.43411+0.051906i,0.85966+0.088879i,1.1824-0.025091i,1.1001-0.28457i,0.69324-0.40554i,0.33072-0.28113i,0.15332-0.17123i,0.046587-0.16742i,-0.046071-0.13606i,-0.084182-0.048201i,-0.071011+0.015525i,-0.063059+0.020072i,-0.084497+0.015522i,-0.094298+0.036835i,-0.071797+0.058868i,-0.042796+0.061706i,-0.023396+0.050114i,-0.011946+0.030218i,-0.008181+0.01094i,-0.011521-0.003938i,-0.016148-0.018111i,-0.020328-0.022913i,-0.018933-0.016624i
-0.25579+0.098318i,-0.34372+0.035252i,-0.1425-0.15867i,0.18719-0.32965i,0.24558-0.30377i,0.091579-0.11475i,0.015225+0.066382i,0.011125+0.14754i,0.015838+0.16082i,0.049364+0.10958i,0.061498+0.030633i,0.044191-0.0053132i,0.033721-0.008324i,0.027379+0.0013289i,0.031094+0.014735i,0.042393+0.017351i,0.042792+0.017985i,0.031956+0.030983i,0.020816+0.04003i,0.011316+0.03231i,0.0039301+0.029118i,0.0090431+0.03202i,0.020078+0.02565i
0.021614-0.29761i,-0.10481-0.4233i,-0.42496-0.22912i,-0.58363+0.21501i,-0.34205+0.3772i,-0.10277+0.13392i,-0.1005-0.014566i,-0.048969+0.056374i,0.062279+0.05642i,0.048685+0.0072581i,0.0035949+0.0088924i,0.010337+0.0098296i,0.031201-0.0080631i,0.032605-0.033787i,-0.00043619-0.046667i,-0.036404-0.030969i,-0.039262-0.010247i,-0.019437-0.0027797i,0.0041985-0.0041739i,0.022995-0.0086652i,0.028843-0.019986i,0.01605-0.035704i,-0.0059939-0.038953i
0.14948+0.48089i,0.29364+1.1096i,0.4902+1.6624i,0.56047+1.6183i,0.3701+1.0314i,0.14848+0.43812i,0.11176+0.076679i,0.11444-0.14248i,0.046218-0.2162i,-0.01734-0.14613i,-0.027316-0.058421i,-0.014489-0.013807i,0.0016682+0.0039627i,0.0079294+0.001297i,0.0010771-0.0054292i,-0.0038217-0.0070315i,-0.011748-0.0095898i,-0.028862-0.01003i,-0.0395-0.0077143i,-0.038384-0.01156i,-0.034381-0.015642i,-0.030023-0.0026152i,-0.015782+0.016176i
-0.21216-0.37184i,-0.31806-0.97549i,-0.36042-1.5151i,-0.33082-1.424i,-0.19535-0.82049i,-0.03392-0.36267i,-0.06269-0.24295i,-0.21756-0.16875i,-0.23847-0.033553i,-0.12002+0.035821i,-0.029401+0.032452i,-4.4656e-05+0.025609i,0.014553+0.025136i,0.026364+0.021961i,0.028238+0.018417i,0.02399+0.018814i,0.017316+0.021847i,0.011306+0.025698i,0.011689+0.029388i,0.010959+0.028443i,0.0021206+0.023928i,-0.0052975+0.014779i,-0.011636-0.0026312i
