-0.001223-0.00031605i,0.00029728-0.0013666i,0.00070859-0.00028537i,0.001096+0.0015366i,0.0011808+0.002714i,0.00090916+0.0022318i,0.0010709+0.0014324i,0.0008631+0.0012789i,0.00058865+0.0012709i,0.00060668+0.00079512i,0.00018154+0.00018045i,0.00072738-0.00021525i,0.00097333-0.00027548i,0.00053142+0.00016805i,0.0002828+0.00087474i,-6.5981e-05+0.0011715i,-9.0702e-05+0.0007094i,0.00011046-0.00013449i,0.00033064-0.00047223i,0.00049505-0.00039116i,-0.00034244-0.0004204i,-0.00074025-0.00098377i,0.00011595-0.0012392i
-0.00076754-0.00042599i,-0.00095842-0.0018006i,0.0012652-0.00074229i,0.0025831+0.0013686i,0.0025141+0.0024099i,0.0017462+0.0010497i,0.00053686+2.488e-05i,-0.00060682+0.0010088i,-0.0007642+0.0015748i,0.00013793+0.00072191i,3.7921e-05-0.00068284i,-0.00068524-0.00087475i,-0.0011777-0.00028256i,-0.0012298-2.1895e-05i,-0.00021761-0.00012446i,0.00077815-0.00059177i,0.00090083-0.00083666i,0.00065096-0.00058061i,0.00094622-0.00017108i,0.00051611-0.00019943i,0.00029278-0.00065424i,0.00088827-0.00013446i,0.00085794+0.00066i
0.00068454-1.2116e-05i,-0.00029906+0.0010063i,-0.0016328+0.0022819i,-0.00062283+0.0029744i,0.0011746+0.0034709i,0.0015901+0.0023104i,0.0015078+0.0012076i,0.0012988+0.001543i,0.0011026+0.00052638i,0.00083064-0.00027507i,0.00049257+0.00075578i,0.00014484+0.00082929i,-0.00013221+0.0002266i,1.782e-05+0.00034406i,0.00014678+0.00062054i,0.00062362+0.00053528i,0.00078676+1.2376e-05i,0.00056022+4.6493e-05i,0.00014767+0.00046863i,1.4297e-05+0.00076565i,-4.4694e-05+0.0010887i,-0.00038604+0.00053491i,-0.00051665-0.0002615i
-0.00076363+0.0012626i,-0.0019588+0.0019864i,-0.0011778+0.003166i,-0.00037737+0.0040828i,0.00029361+0.0027615i,0.001643+0.0012241i,0.0021478+0.00020166i,0.0009065-0.00052248i,0.00013022-0.00050494i,-4.9573e-05-0.00031381i,-0.00026717+0.00023271i,-0.00044358-0.00026435i,-0.00017174-0.00070972i,0.00064094+0.00021576i,0.00046481+0.00089573i,0.00033987+0.00031807i,0.00043585-0.00026027i,-6.9546e-05-0.00063294i,-0.00076336+9.561e-06i,-0.00052918+0.0010852i,0.00061567+0.00060292i,0.00049231+6.8136e-05i,-0.00062579-0.00055857i
0.00035942-0.0012923i,0.00063505-0.00070671i,0.0010297+0.00078935i,0.0010019+0.0017884i,0.0013242+0.0017025i,0.0013092+0.00086675i,0.00081183-0.00020974i,-0.00090327+6.3696e-05i,-0.0024258+0.00017009i,-0.0018291-0.00032117i,-0.00077057-0.0001246i,-0.00025384+0.00065857i,-0.00098415+0.00097766i,-0.00073133+0.00030196i,0.00012293-0.00010186i,0.00034003-0.00050655i,0.00052177-0.00059721i,0.00061118-0.0006911i,-3.4166e-05-0.00054277i,-0.00059376-4.3659e-05i,-0.00020684-0.00031536i,-0.00054076-0.00052262i,-0.00019862-0.00043426i
0.0003698+0.00052428i,-0.00021286+0.00075772i,-0.00087416+0.00080497i,0.00012955+0.001583i,0.0005954+0.0026401i,0.00018798+0.0018467i,-0.00038932+0.0010834i,-0.0017755+0.0010359i,-0.0021826+0.0015087i,-0.0016191+0.0017982i,-0.00070582+0.00078023i,-0.00016289+0.00029165i,-0.00053956-0.00014273i,-0.00049124-0.00010819i,-0.00039673+0.00046575i,-0.00049185+0.00026569i,3.4314e-05-7.1058e-05i,6.2125e-05+0.00045194i,-0.00057721+0.0010183i,-0.00066464+0.00096926i,-0.00071433+0.00070512i,-0.00074948+0.00018246i,-0.00021036-0.00035528i
-0.001951-0.0018857i,-0.0030199-0.00028753i,-0.0030426+0.0031878i,-0.0017547+0.0060047i,0.00032557+0.0055688i,0.0012812+0.0032529i,-3.6576e-05+0.00081764i,7.8258e-05+0.00066895i,0.0013511+0.0017784i,0.0014403+0.0018226i,0.00052098+0.0015902i,-0.00015136+0.0012136i,-0.00050772+0.00015683i,-0.00080458-0.00072597i,-0.00032296-7.7018e-05i,0.00044572+0.00018758i,0.0005188-0.0008118i,-0.00015486-0.00055092i,-0.00013527+0.00047391i,0.00032768+0.00044733i,0.00036442+2.4328e-05i,0.00094765+0.00019812i,0.00073066-0.00020737i
0.0025521+0.0013804i,0.0031404+0.0025821i,0.0031893+0.0034244i,0.0034273+0.0033112i,0.0039519+0.0025989i,0.0030182+0.0014233i,0.0010106+0.00033738i,0.00025084-3.7461e-06i,0.00019004-0.0012329i,6.8591e-05-0.0020379i,-6.9893e-06-0.001283i,2.7986e-05-0.0002019i,0.00044563+0.0006403i,-1.5767e-05+0.00037288i,0.00034889-0.0003456i,0.0011219-0.00043857i,0.00096994-6.0735e-05i,0.00088944-0.00045943i,0.0005146-0.0011499i,-0.00023246-0.0011096i,-0.00016458-0.00055587i,0.00037655-6.3299e-05i,0.00049312+0.00028201i
0.00022196-0.0008696i,-0.0010455-0.00069938i,-0.00040585-2.5024e-06i,0.001096+0.00058194i,0.0021059-0.0002917i,0.0026266+0.00032997i,0.0026699+0.0012074i,0.0020073+0.00034613i,0.00070686-0.0012631i,-0.0012062-0.00090147i,-0.0018201-0.00024965i,-0.00085279-0.00038612i,-0.00043082-3.5886e-05i,0.00033423+0.00061447i,0.00056743+0.00070918i,1.235e-06+0.00052924i,0.00012449+0.00098013i,0.00011702+0.00034431i,-0.00024569-0.00070516i,-0.00083906+0.0001897i,-0.00030385+0.00036811i,0.0006871-0.00049015i,0.00055384-0.0011186i
-3.6076e-05-0.0017572i,0.0003242-0.0015302i,0.0010166-0.00047595i,0.0011377+0.0016047i,0.0012451+0.0016912i,0.0020755-0.00032129i,0.00093515-0.0015963i,-0.001745-0.0013265i,-0.0017582-0.0010495i,-0.0009553-0.00086358i,-0.00014772-0.00050596i,0.00012682+0.00050771i,-0.00032497+0.0008967i,0.00031568+0.00012988i,0.00021867+0.00013801i,-0.00027895+0.00043213i,-0.00039161+0.00010068i,-0.00080735-0.0006503i,-0.0013396-0.00071308i,-0.00079547-0.00022443i,0.00011237+0.0004076i,0.00027422+0.00032117i,-1.8497e-05+8.115e-06i
0.000363-0.0014369i,-0.00022819-0.00018375i,-0.001735+0.00039662i,-0.0021392+0.0012966i,-0.0012948+0.0021765i,-0.00043138+0.0011693i,-0.00025346+0.00034245i,-0.0012337+0.00073705i,-0.0024535+0.001033i,-0.0020115+0.00064482i,-0.001389+0.00017339i,-0.0015536-0.00048255i,-0.001165-0.00073195i,-0.00074615-0.00037645i,-0.00030385+0.00020985i,-0.00019394+0.001041i,-0.00012855+0.001397i,-0.00024464+0.00079971i,-4.1224e-05-0.00054379i,-0.00020247-0.0010366i,-0.00031648-0.00015876i,-0.00041475+0.00060683i,-0.00077117+0.00039194i
0.000565+0.0019173i,-0.00010968+0.0022284i,0.00050496+0.0031561i,0.0014997+0.0040398i,0.0017594+0.0023334i,-5.6822e-05+0.00039766i,-0.0014401+0.00078115i,-0.0007889+0.0022474i,0.00043377+0.0029755i,0.00091336+0.0023831i,2.831e-05+0.0010705i,-0.00074976-0.00043741i,-0.00045136-0.0010542i,1.6197e-05-0.00078138i,-1.6226e-06-0.00044191i,-0.00042505-0.0007107i,0.00013247-0.00028796i,0.0014388+0.00072256i,0.0014235+0.00081193i,0.0013137+0.00041463i,0.00087973+0.00051843i,-8.2257e-05+0.00038157i,0.00033083-0.00011825i
0.0024674+0.00051635i,0.0022093+0.00057103i,0.0021646+0.0021158i,0.0017147+0.0044175i,0.00058738+0.0043479i,0.0004766+0.0028279i,0.001304+0.0017012i,0.0014627+0.00059572i,0.0012858-0.00023135i,0.00084895-0.00041871i,0.00032427-0.00083421i,-0.00038857-0.0010491i,-0.00067677-0.00010657i,-0.00058174-2.4241e-05i,-0.00014762-0.00029557i,0.00037349-0.00018004i,0.0007708-0.0002341i,0.00096412-0.0004941i,0.0005318-0.0006873i,0.00012164-9.5812e-05i,0.00035597+0.00055339i,0.00014585+0.00055722i,-8.9346e-05+3.4635e-05i
0.0028188-0.0011469i,0.00098612-0.0012506i,0.0014993-0.0011484i,0.0018439+0.00056538i,0.0017858+0.0019243i,0.0019346+0.0016575i,0.0018006+0.0015684i,0.000757+0.0007762i,-6.1042e-05-0.00061185i,-0.00033555-0.0017838i,-0.00036134-0.0015763i,-0.0006532-0.00028735i,-0.00081937+0.0004753i,-0.00099254+0.00065132i,-0.00071112+0.00030017i,0.00015864-4.0777e-05i,-0.00022764-0.00019825i,-0.00076941-0.00027836i,0.0001135-0.00019189i,0.00023201-0.00022261i,4.2311e-05-0.00020932i,0.00011778-0.00042341i,3.6851e-05-0.00037381i
-0.0020259-0.0033265i,-0.0043038-0.0028905i,-0.0043818-0.00096398i,-0.0018017+0.0018214i,0.0017436+0.0032352i,0.0035532+0.0024973i,0.0028469+0.00080973i,0.00020863+0.00025984i,-0.0018534+0.00019826i,-0.001803+0.00065031i,-0.0015807+0.00076918i,-0.00080078+0.00078148i,-0.00048406+0.0011067i,0.00024711+0.00032383i,0.0011242-0.00025939i,0.0012038-0.00060891i,0.0010454-0.00060479i,0.00038797+0.00023214i,-0.0003648+0.00085794i,-0.0005975+0.00040919i,-0.00048573+0.0001289i,0.00010985+0.00038589i,0.00029196+0.00013732i
0.00039393+0.0029i,0.00075884+0.0029075i,-0.0010208+0.0036711i,-0.00058692+0.0039491i,0.0014392+0.0027072i,0.0027742+0.0004362i,0.0023492-0.0011408i,0.00049095-0.0011772i,-0.00046005+0.00014082i,0.00033973+0.0010967i,0.0013049+0.00022096i,0.0013104-0.0004695i,0.00071418-0.00037665i,0.00076264-0.00048519i,0.00073431-0.00022446i,0.00063984-0.00010618i,0.00045204+0.00041595i,9.0043e-05+0.00091137i,-0.00016426+0.00038399i,-0.00081649-0.00014234i,-0.00050966-0.00013182i,0.00010585+3.9215e-05i,-0.00016737+0.00032325i
0.0013777-0.00073702i,-6.8288e-05-0.00042091i,-0.00017579+0.001173i,0.00023977+0.002914i,0.00045331+0.0021935i,-0.0001178+6.0942e-05i,-0.0011001-0.00030777i,-0.0012686-9.1422e-05i,-0.0006358+0.00010737i,-0.0008136-0.00069981i,-0.00064578-0.0014896i,-0.00067847-0.00095389i,-0.00052454-0.00094533i,-0.00057494-0.0010121i,-0.00068339-0.00083293i,-0.00031544-0.00065723i,0.00018616+1.3606e-05i,0.00027728+0.00012691i,0.00044698-0.00069073i,0.00010719-0.0013462i,0.00032547-0.00070628i,0.00048148-2.5783e-05i,-0.0003642-4.2408e-05i
0.003539-0.0017659i,0.0017099-0.001206i,-6.0246e-06+0.0010533i,-0.00022767+0.0030952i,0.00023774+0.0033188i,-4.2771e-05+0.0028587i,-0.00061083+0.0016316i,-0.00035331+0.00094182i,0.00015838+0.00073821i,0.00034789-3.3251e-05i,-0.000436-0.00026509i,-0.0011762+6.2e-05i,-0.00063202+0.00051862i,0.00030714+0.00064602i,0.00033906+6.4258e-05i,0.00031259+6.8697e-05i,0.00095193+0.00027296i,0.00075327-0.00050227i,-8.2098e-06-0.00053147i,-0.00012822+0.00031178i,0.00022822+0.00054979i,0.00019497+2.0449e-05i,7.0846e-06+0.00038113i
-0.0019803-5.7883e-05i,-0.0024504+0.00080873i,-0.0010386+0.0019734i,0.0013221+0.0034611i,0.0025152+0.0043577i,0.0015216+0.0032876i,0.00010527+0.0014046i,-4.299e-05-0.00039891i,0.00039649-0.0014106i,0.0004558-0.0013994i,0.00078105-0.00081542i,0.00089768+0.00016705i,0.00069241+0.0011882i,-6.006e-05+0.0010605i,-0.00051401+0.0008391i,7.4458e-05+0.00097043i,0.00040376-0.00013736i,-0.00031618-0.00097196i,-0.00043349-0.00061909i,-0.00019257-0.00017929i,-0.00020421-0.00033937i,-5.1791e-05-0.00031794i,-0.00045725+0.0007675i
-0.0027435+0.0026582i,-0.0023167+0.0032769i,-0.0001166+0.004801i,0.0018995+0.006113i,0.0032219+0.0051925i,0.0033896+0.0030817i,0.0016574+0.0011818i,-0.00063233+0.00037212i,-0.0014648+0.00070343i,-0.0011604+0.0010658i,-0.00082738+0.0004123i,-0.00067141-0.00035341i,-0.00060932-0.00032826i,-0.00054941+0.00037169i,-0.00013752+0.00088605i,0.00032798+0.00034359i,-3.4027e-05-0.00077633i,-0.00063072-0.00040308i,-0.00054242+0.00085028i,-0.00038175+0.00090622i,-0.000333+0.0002897i,-0.00040044+0.00012446i,2.6401e-05+0.00051373i
0.001491+0.00071139i,0.00078463+0.0025158i,0.00026817+0.0030562i,0.00097378+0.0028926i,0.0017758+0.0019201i,0.0029365+0.0001946i,0.002881-0.00077357i,0.0009135-0.00047919i,-0.00082923+0.00041292i,-0.0009488+0.00069509i,0.0002952+0.00080256i,0.001191+0.00091393i,0.0016009+0.00078867i,0.0018974+0.00051042i,0.0010301-0.00031519i,0.00019266-0.00087507i,0.00015169-0.00044816i,0.00021797+0.0005517i,-0.00024666+0.00088027i,-0.00066452+0.00041801i,-0.00080002+0.00012491i,-0.00060735-0.00020783i,4.9407e-05-9.9269e-05i
-0.0010347-0.00016208i,-0.0015523+0.0013802i,-0.0014947+0.0032363i,-0.00018318+0.0041815i,0.00096882+0.0025014i,0.0016469-0.00015732i,0.0011292-0.0008904i,-0.00033024-0.00091675i,-0.00050604-0.001341i,0.00036621-0.0020448i,0.0011356-0.0020463i,0.0013459-0.0014379i,0.0003301-0.00099458i,-3.9229e-05-0.00049822i,8.2302e-05-0.00074591i,-0.00040325-0.00059245i,0.00023487+0.00028484i,0.00093521+0.0003422i,-0.00011939-4.3364e-05i,-0.00037994-0.00038807i,-7.4165e-05-0.0003271i,-0.00059371+0.00015331i,-0.0011517+0.00044089i
0.0011908-0.0016249i,0.0004015-0.00095194i,-0.00032978+0.0012891i,-0.00093311+0.002844i,-0.0015724+0.0025481i,-0.0020029+0.0022219i,-0.0012434+0.0019783i,-0.0011816+0.00073471i,-0.0024601-0.00030325i,-0.0033334-0.00059674i,-0.0032377-0.00053855i,-0.0026483-0.00016435i,-0.0023136+0.00058402i,-0.0020328+0.00093244i,-0.0014919+0.0006353i,-0.00075835+5.624e-05i,0.00017783-0.00018059i,0.0010149+1.2232e-05i,0.00044595-4.8897e-05i,-0.00040133-0.00027155i,-0.00059683-0.00035185i,-0.00069488+0.00034893i,-0.0011345+0.0011224i
0.00068849-0.00086591i,-6.4509e-05+0.0012232i,-0.00024912+0.0022684i,4.2968e-05+0.0036516i,-3.6584e-05+0.0046033i,8.3727e-05+0.0030164i,-0.00024311+0.0014775i,-0.00067547+0.0018339i,-0.0012934+0.0026439i,-0.00079855+0.002944i,6.2029e-05+0.0030633i,0.00037031+0.0028752i,0.00041023+0.0021998i,0.0005617+0.0016216i,0.00052546+0.00095529i,0.00025831-5.9105e-05i,-6.4139e-05-0.00047662i,-0.00097234+0.00016907i,-0.00087442+0.00058625i,-0.00058982+0.00021125i,-0.00011164+0.00025325i,0.00080262+0.00046362i,0.0016252+0.00062166i
-0.0030081+0.0015622i,-0.00090797+0.0012236i,0.00025469+0.0021393i,0.0012546+0.004103i,0.0031734+0.0044471i,0.0042173+0.0024034i,0.0035625+0.001468i,0.0009726+0.0017006i,-0.00034812+0.001456i,0.0015019+0.0012355i,0.0028588+0.00099997i,0.0022529+0.00073848i,0.0012681-0.00025994i,0.00080211-0.00055856i,6.5171e-05-1.9732e-05i,-0.00074927-0.0004221i,-0.00076394-0.00014066i,-0.00032727+0.00042854i,0.00030067+0.00027498i,-0.00033499+0.00067452i,-0.0002983+0.00085654i,0.00079127-1.4078e-05i,0.00083319-0.00078579i
0.00071842+0.00089306i,0.00069668+0.0011271i,0.0010177+0.002448i,0.0024168+0.0036705i,0.0040158+0.0032959i,0.0040251+0.00095526i,0.0024429-0.00056113i,0.00026105-0.0005041i,-0.0011993+0.00020892i,-0.0017196+0.00020658i,-0.0011279-0.0013751i,-0.00053057-0.0023396i,-0.00036082-0.0011631i,-0.00068291+0.00054562i,-0.00074092+0.00078632i,7.2784e-06+9.9661e-05i,0.00046574+8.8432e-05i,0.00079782+0.00080419i,0.00080547+0.00038379i,0.00076509-0.00051873i,0.00047603-0.00064139i,0.00026971-0.00081571i,0.00025629-0.00098017i
-0.00089539+0.0023736i,-0.0017712+0.0041348i,-0.00072307+0.0049831i,0.001368+0.0044912i,0.0031379+0.0027613i,0.0027405+0.0006373i,0.00048523-0.00041037i,-0.0011409-0.00064497i,-0.0015712-0.00060109i,-0.00098606-0.00010617i,-0.0002744-0.00030932i,-0.00026446-0.00028741i,-0.00039787+9.7471e-05i,0.00052816+0.00048241i,0.00079614+0.0010055i,0.00013111+0.00088592i,0.00024743+6.2725e-05i,0.00038768-0.00055162i,0.0010021-0.00077884i,0.0011172-0.00070757i,0.0003123-8.2209e-05i,-0.00015925+0.00014146i,-0.00020949-0.00038919i
0.00042889-0.0019048i,-0.00090764-0.0012402i,-0.001654+0.00071774i,-0.00085119+0.0019971i,-0.00010227+0.0015598i,0.00016298+0.0011122i,-0.00051943+0.00073486i,-0.00083624-0.00051494i,-0.001311-0.0018655i,-0.0016988-0.002215i,-0.0020184-0.0021303i,-0.0028659-0.0019382i,-0.0019633-0.0010129i,-0.0012321-0.00058517i,-0.00060225-0.00089344i,0.00034728-0.0014203i,0.0006788-0.0018742i,0.00028973-0.0015548i,-0.00076129-0.00067812i,-0.0016886+0.0001859i,-0.0012897+0.00061461i,-9.8151e-05+0.00011971i,0.00069794-2.187e-05i
0.00081097+0.00037681i,0.0015918+0.0018819i,0.00070751+0.0029491i,0.00064877+0.003625i,0.001279+0.0035299i,0.00038296+0.0015938i,-2.3145e-05-0.00044325i,3.9138e-06+0.00041276i,-0.0013299+0.0023158i,-0.0022773+0.0028448i,-0.0021839+0.0023408i,-0.0015324+0.0015834i,-0.00040781+0.0016854i,0.0002373+0.0020794i,0.00050811+0.0016447i,0.00054546+0.00034708i,-0.00011024-0.00025865i,-0.00069331-9.2758e-05i,-0.00080125-0.00030983i,0.00012277+5.4488e-05i,0.00083826+0.00064905i,0.00080414+0.0012354i,0.00059901+0.001236i
-0.002456+9.15e-05i,-0.0027848-0.00014076i,-0.0022352+0.0013053i,-0.00078659+0.0040554i,2.0961e-05+0.0046169i,-0.00052466+0.0030655i,4.1853e-05+0.0013501i,0.001371+0.00065812i,0.0019565+0.00097255i,0.0020102+0.0026762i,0.0018895+0.0032307i,0.0013603+0.0019834i,0.0013991+0.00044247i,0.00149-0.00073853i,0.00062684-0.00056608i,0.00049144-0.00034063i,0.0001892-0.00084014i,0.00033732-0.00133i,0.00091914-0.0003852i,3.9128e-05+0.00078772i,0.00015358+0.0012738i,0.00099118+0.00085904i,0.00094532-0.00027276i
0.0022065-0.003672i,0.0013781-0.0050343i,0.0011932-0.0024781i,0.0012478+0.0014599i,0.001139+0.0043067i,0.00045564+0.0039128i,-0.00090155+0.0020824i,-0.0014358+0.00032434i,-0.00024604-0.0012867i,0.00066125-0.002809i,0.00038514-0.0035272i,-0.00064031-0.0025088i,-0.0010369-0.0017013i,-0.00078012-0.001248i,-0.00067197-0.00087055i,-0.00049355-0.00071598i,4.7061e-07-8.8244e-05i,0.00017076+0.00082709i,0.00020199+0.00071729i,0.00015442+0.00044908i,0.00024319-0.00024781i,0.00027788-0.00085115i,-0.00030692-0.00087648i
0.0023359+0.0025262i,-0.00072393+0.0030344i,-0.0010914+0.0022818i,0.00083662+0.0013573i,0.0030416+0.0010548i,0.0031534+0.0012089i,0.00095893+0.0011989i,-0.00084821+0.00074638i,-0.0013878+0.00038679i,-0.0018687-0.00058879i,-0.0023102-0.0012859i,-0.0030184-0.00070619i,-0.0021131+0.00020861i,-0.00099457+0.00036787i,0.00016072+0.00070822i,0.00058925+0.0014679i,0.00044167+0.0012956i,0.0012718-0.00012223i,0.0010858-0.00028567i,9.4156e-05+0.0002038i,-0.00031766-0.00030181i,-0.0010704-0.0003835i,-0.0012615+0.00029294i
0.00098916-0.0025596i,-0.00081004-0.0017486i,-0.0010113+9.6837e-05i,-0.00038165+0.0019721i,0.0013836+0.0013061i,0.0030146-9.073e-05i,0.0032509+0.0008601i,0.0012496+0.0023728i,-0.00046778+0.0015964i,-3.8777e-05+0.0010986i,0.00078533+0.0020208i,0.00099843+0.0018366i,0.0008841+0.00097746i,0.00064131+0.00025113i,0.00088697-8.638e-05i,0.00065047+0.00012248i,-9.5838e-05-0.00016937i,0.00066071-0.00046158i,0.00072142-0.00016794i,-0.00028927-0.00024882i,-0.00055003+0.0001009i,-0.00015059+0.00051662i,-0.0001588+6.5521e-05i
0.0031057+0.0016355i,0.0042043+0.0028076i,0.0044269+0.0035091i,0.002985+0.0025658i,0.0011309-0.00060857i,0.00042952-0.0025064i,0.00083333-0.0017014i,0.001282-0.0001168i,5.8824e-05+0.00096307i,-0.0010605+0.00063549i,-0.00080504-0.00077493i,-0.00020985-0.0018673i,0.00038346-0.0012316i,0.00060903-0.00049709i,0.00049912-0.00014632i,9.291e-05-3.0403e-05i,0.00024121+0.00014904i,0.00011465+0.00045741i,-0.00035903+0.0001228i,0.00034565+0.00024901i,0.00086179+0.00039388i,0.00021403+0.00014816i,0.00079766+0.00021373i
-0.003583-0.0016467i,-0.0031867-0.00017345i,-0.0016763+0.0028912i,-0.00027846+0.0038632i,-0.00098275+0.0033433i,-0.0022336+0.0014477i,-0.0024317-0.00077189i,-0.0016477-0.0013838i,-0.00089652-2.3017e-05i,-0.0011429+0.0016736i,-0.001708+0.0021101i,-0.0013242+0.0011691i,-0.00022984+0.00090589i,0.00071772+0.0014628i,0.00021799+0.0013302i,-9.2681e-05+0.001131i,0.00016432+0.00088176i,-7.9927e-05+5.1481e-05i,-4.1902e-05-0.00054894i,-2.6736e-05-0.00037609i,0.00018109+0.00045036i,0.00033764+0.00061283i,-5.5903e-05+0.00091364i
0.00013891-0.00057801i,-0.0007674-0.0015219i,-0.00067666+0.00022388i,-0.00091818+0.0040003i,-0.0018019+0.0060627i,-0.0020469+0.0054752i,-0.0018475+0.0035627i,-0.0010813+0.0012733i,7.9251e-06+9.0921e-05i,0.00076307-0.0003042i,0.0019201-0.00074226i,0.0018107-0.0008363i,0.00093378-0.00041243i,0.00062626+1.3786e-05i,0.00081062-0.00025739i,0.0013345-0.00022018i,0.0014293-0.00022926i,0.00088819-0.0007362i,-0.0001725-0.00037767i,-0.0003544-2.9711e-06i,-0.00034109-0.0007545i,-0.00041689-0.00083006i,-0.00039489+6.1042e-05i
-0.00031793+0.0036919i,-0.0034756+0.0052159i,-0.0035212+0.0040185i,-0.00068269+0.0044526i,0.0030312+0.0075649i,0.0048309+0.0078977i,0.0032133+0.004753i,0.00074395+0.0016358i,-0.00034607-0.00053052i,-0.00076975-0.001361i,-0.0013311-0.0020468i,-0.002285-0.001911i,-0.0019524-0.00061919i,-0.0006156-9.4838e-05i,-0.00054345-0.00037912i,-0.00073012-0.00033102i,-0.00022771-0.00067648i,4.7386e-05-0.00099097i,0.00044611-0.00052873i,0.0013833-7.3884e-05i,0.0012888-0.00039048i,0.00066059-0.00062245i,0.00033113-0.000661i
0.0052953-0.00073321i,0.0043652-5.8161e-05i,0.0037261+0.002081i,0.0048168+0.0034072i,0.0073935+0.0013195i,0.0080953-0.0011463i,0.0052558-0.00085159i,0.0010461+0.00041128i,-0.0009293+0.00078287i,-0.0011659+0.00058797i,-0.0010019+0.00087695i,-0.00092404+0.0014652i,-0.00055644+0.0019817i,0.00024071+0.0020576i,0.00045265+0.0014565i,-0.00025023+0.00050172i,-0.00078652+0.00032508i,-0.00083935+0.0002899i,-0.00055508-0.00024129i,-0.0005473-1.7887e-06i,-0.00044032+0.0012664i,-0.0002599+0.0014213i,-0.00079048+0.00067922i
0.0035541-0.0049304i,0.0024747-0.0035066i,-0.00073836-0.0021598i,-0.0013107-0.00085623i,1.109e-05-0.0017603i,0.0015008-0.0035534i,0.0017272-0.0026324i,0.0011521+0.00015298i,0.00083033+0.0010444i,0.00057084-2.3429e-05i,0.00060743-0.0006611i,0.00079605-0.00039078i,0.00055955+0.00057503i,0.00028832+0.00073468i,0.00068277+0.00033074i,0.00082644-7.7779e-06i,-6.5027e-05-7.2961e-05i,-0.00084083+0.00010338i,-0.00063455-3.0853e-05i,-0.00010719-0.00061715i,0.00041346-0.00063255i,0.00014692-0.00052566i,-0.00020603-0.00026112i
-0.0051045-0.0032106i,-0.0042571-0.0006036i,-0.0026326+0.0034286i,-0.0019386+0.0040153i,-0.0036011+0.0016748i,-0.0055182-0.00074323i,-0.0043623-0.0019626i,-0.0018552-0.00092441i,-0.00090186+0.00046243i,-0.0016274-0.00044334i,-0.0023594-0.0012208i,-0.0021157-0.00093301i,-0.0015413-0.0012834i,-0.00058538-0.0012518i,0.00019708-0.00064776i,0.00035576-3.4685e-05i,0.00049488-0.0001128i,0.00061014-0.001226i,0.00059976-0.0015703i,0.00057403-0.00056749i,0.00018409-0.00018264i,-0.00029835-0.0007625i,0.00038739-0.00084415i
-0.0028242+0.0018126i,-0.0019298+0.0015783i,-0.0014733+0.0023975i,-0.0022205+0.004227i,-0.0035061+0.0065174i,-0.0050736+0.0062351i,-0.0050787+0.0038831i,-0.0025303+0.0017754i,-0.0013313+0.0010862i,-0.0015403+0.0017346i,-0.00076261+0.0024404i,0.00011397+0.0021178i,0.00042426+0.0016532i,0.00027345+0.00131i,9.0502e-05+0.00089306i,0.00048122+0.0007358i,0.0010756+0.00088567i,0.0003715+0.00015938i,-0.00017019-7.9509e-05i,-0.00086068+0.00013186i,-0.0016693-0.00076972i,-0.0012667-0.00087256i,-0.00058503+4.8742e-06i
0.001249+0.0042327i,0.00043066+0.0039762i,0.0003238+0.0045107i,0.00097797+0.0068677i,0.0035558+0.0093813i,0.0043009+0.0095988i,0.0029083+0.0063992i,0.0012476+0.002222i,0.00025628+0.00068807i,0.0012733+5.9359e-05i,0.0023703-0.00085391i,0.0015524-0.0012808i,0.00083242-0.0007743i,0.0010689+4.7563e-05i,0.00097042-0.00071221i,0.0004553-0.0015179i,-0.00023386-0.0018112i,-0.00094899-0.0012801i,-0.0014079+5.7684e-05i,-0.0011033+0.00030268i,-0.00025716+0.0009107i,0.00017956+0.0015017i,0.00028837+0.00085404i
0.0023599-0.0011744i,-0.0026229+0.00097184i,-0.0034127+0.0034522i,0.00073487+0.0062801i,0.0062424+0.0075348i,0.009669+0.0049162i,0.0075092+0.0014836i,0.0026519+0.00023927i,0.00040494-0.00069077i,-0.00019595-0.0013868i,-0.0011916-0.0014173i,-0.0014743-0.0014993i,-0.00091805-0.00030441i,-0.00089739+0.00086336i,-0.0011668+0.00054032i,-0.00047628-0.00017923i,0.00029935-0.00011174i,0.00077321+0.00012255i,0.00091804-0.00051239i,0.00091831-0.00027628i,0.00096201+0.00072954i,0.00083241+0.00063701i,0.00071199+0.00091274i
0.0014443+0.00018292i,0.0023487+0.0045096i,0.0032612+0.0058522i,0.0035689+0.0028711i,0.0049542-0.0024277i,0.0062634-0.0059214i,0.0036479-0.0060048i,-0.0004626-0.0030139i,-0.0022482-0.00049043i,-0.0014832-6.3127e-05i,-0.00045295+4.9727e-05i,-0.00056695+5.7002e-05i,-0.0005622+2.9727e-05i,9.1025e-05+0.00071658i,0.00046494+0.0013308i,3.7814e-05+0.00099687i,-0.0003148-1.3224e-05i,-0.00033072-0.00058631i,-0.00024847-0.00037995i,5.7571e-05-0.00018321i,0.00087759-0.00081376i,0.0012433-0.00079367i,0.0010385-0.00038113i
