-0.0018932+0.0010035i,-0.0018059+0.0014779i,-0.0032185+0.00027198i,-0.0025628-0.0010888i,-0.0012814-0.0009513i,-0.00058345+0.00016555i,-0.0005625+0.0001211i,-0.00020485-7.3402e-05i,0.00094547+0.0005002i,0.0016579+0.00069403i,0.00094941+0.00039539i,0.00038233+0.0010407i,0.00084582+0.001705i,0.0010887+0.0013998i,0.00048675+0.00086592i,-0.00018469+0.00049179i,-0.00024514+0.00044718i,0.00028293+0.00028323i,5.549e-05-0.00036137i,-0.00022773-0.0003511i,0.00016138-0.00034122i,0.00017007-0.00050824i,0.0005371-4.9759e-05i
0.0013647+0.00031669i,0.0020027+0.0012418i,0.00153+0.0027253i,0.0012076+0.0023228i,0.0010273+0.0011163i,0.00012398+0.00029011i,-0.00065373-0.00047868i,-0.00052807-0.00086992i,-4.1361e-05+0.00024963i,4.6262e-05+0.0014425i,-0.00011537+0.0019091i,0.00078151+0.0019356i,0.0012755+0.0018425i,0.00091882+0.0014109i,0.00082956+0.00025848i,0.00042294-0.00038015i,0.00023174-0.00065005i,0.00020387-0.00090081i,0.0001637-0.00042078i,0.00066329+0.00011936i,0.0007355+0.00049947i,0.00017563+0.0005687i,-0.00059436+0.00031869i
4.7262e-05-0.0007198i,-0.0004066-3.7309e-05i,-0.00038704-0.00023275i,0.00059585-0.0010764i,0.00020401-0.00066525i,-0.00078567-0.00018387i,-0.0015126-0.00081498i,-0.0015738-0.0008112i,-0.0010683-0.0007964i,-0.00042678-6.997e-05i,0.00045131+0.0012974i,0.00035041+0.0019693i,-0.00019003+0.0016381i,0.00051823+0.00025181i,0.00075461-0.00037324i,-0.00019693+0.00023045i,1.2568e-05-0.00045947i,0.00038883-0.0012136i,0.00014167-0.00074865i,0.00043436+0.00024017i,0.00015811+0.00096903i,-9.6779e-05+0.00056854i,0.00020399+0.00016472i
-0.00066989-0.00027898i,-0.00082384+0.00049474i,-0.001197+0.0010295i,-0.00080933-0.00046448i,0.00017344-0.001265i,0.00071929-0.0014826i,0.00038412-0.0017727i,1.4737e-05-0.0016517i,0.00058827-0.0011569i,0.00040392-0.00041439i,-0.00074422+0.00039701i,-0.00093359+0.0013099i,-7.0382e-06+0.0012938i,0.00045362+0.00084563i,0.00024497+0.00082813i,0.00013012+0.00014381i,0.00066416-0.00032046i,0.00080324-0.00021676i,0.00050354+5.8089e-05i,5.7349e-05+0.00033758i,-0.00018265+0.00054535i,-3.0139e-05-0.00019753i,0.00054873-0.00074113i
-0.00077145-0.00025641i,-0.00082679-0.0017557i,-0.0010951-0.0027517i,-0.00068599-0.0013154i,-4.2628e-05-0.00014636i,3.5202e-05-0.0011213i,0.00049171-0.0017996i,0.00058774-0.00043727i,-4.7636e-05+0.0006271i,-0.00073005+0.00099839i,-0.0018215+0.0013885i,-0.0016476+0.0015423i,-0.00098214+0.0018817i,-0.0013564+0.0012577i,-0.0010031+0.00020568i,-6.8593e-05-0.00084956i,9.9095e-05-0.0012269i,-8.3387e-05-0.0013139i,-0.00050792-0.0015716i,-6.2378e-05-0.00092363i,-0.00020957-2.6759e-05i,-0.0010277-0.00014799i,-0.00088355-0.00015695i
0.00013598-0.00063346i,0.0012704+9.0005e-05i,0.001003+0.00047175i,0.00012471+0.00041573i,7.0199e-06+0.00077832i,0.00038389-0.00031322i,0.00045999-0.0014458i,-7.6578e-05-0.0011631i,-2.6683e-05-0.00058089i,-7.6916e-05+0.00033112i,-0.0007372+0.0010205i,-0.0010178+0.00066279i,-0.0001572+0.00085001i,-5.0255e-05+0.0014473i,-0.00069258+0.00072334i,-0.0006787-0.00010637i,-3.702e-05-0.00030047i,0.00023069-0.00067574i,0.00017761-0.00052574i,4.6105e-05-0.00026181i,0.00069383+7.5828e-05i,6.4051e-05-9.5424e-05i,-0.00075601-0.00063405i
-0.0015223-0.0017584i,-0.0016247-0.0015937i,-0.0018686-0.00081276i,-0.0015094-0.00071152i,-0.00055713-0.00049909i,0.0002875-0.00049055i,-0.00039307-0.00042267i,-0.0011668-0.00033856i,-0.0008382-0.00067047i,0.00027338-0.00078848i,0.00040031-0.00024776i,5.1821e-05+0.00081721i,0.00011338+0.0019756i,-0.00038339+0.0015232i,-0.00076374+7.7582e-05i,-0.0003856-0.0003245i,0.00023487+0.0005919i,0.00015198+0.0001549i,-0.00019599-0.00067816i,-0.00020952-0.0010877i,-7.8014e-06-0.0012498i,-0.00017647-0.00058603i,-0.0010249-0.00027968i
-0.0012599+0.00048744i,-0.00015189-0.0013677i,-0.0013707-0.0020173i,-0.0020715-0.0019619i,-0.00060538-0.00080744i,4.2513e-05-0.00018573i,-3.9838e-05-0.0013644i,3.291e-05-0.00053403i,0.00083819+0.00066485i,0.0013282+0.0006923i,0.00051431+0.0011039i,-0.00032452+0.0017957i,-0.00033044+0.0019407i,0.00017121+0.0011316i,0.00049062-0.00016935i,-7.0762e-05-0.0010858i,-0.00046607-0.0013974i,-0.00017547-0.0014503i,-7.5689e-06-0.0012749i,6.8157e-05-0.00034538i,4.7689e-05+0.00061724i,-0.00026705+0.00072084i,-0.00031606+0.00085959i
0.0011172+0.00038936i,0.00056974+0.00080951i,0.0007456+0.00032611i,0.0012054-5.4566e-05i,0.0008138-0.0001789i,0.00019196-0.000811i,-0.00051346-0.0016486i,-0.00017017-0.0013874i,0.00056547-0.00058782i,0.00039347-0.00029018i,-7.4475e-05+0.00047326i,-0.0010536+0.0012034i,-0.00053597+0.0011007i,0.00082471+0.00016429i,0.0010186-0.00016765i,0.00034195+0.00020325i,0.00018379+0.00071028i,-0.00047392+0.00074951i,-0.00013486-5.244e-05i,4.8332e-05-0.00033684i,9.6721e-05-0.0003737i,0.0003891-6.2576e-05i,0.00021947-0.00017478i
0.0006679+0.0021671i,0.0011216+0.0018632i,0.00065405+0.0015863i,0.00038613+0.0011006i,0.00040273+0.00023079i,-0.00045199-0.00075444i,-0.0010447-0.0013305i,-0.0014852-0.00060222i,-0.0011961+0.00014515i,0.00024427+8.6472e-05i,0.00055972+0.00022455i,0.00057724+0.00039075i,0.0012338+0.00093847i,0.00096691+0.0012175i,0.00036389+0.00074574i,0.00099742+6.878e-05i,0.0013692-0.00012632i,0.00090087-0.00036252i,0.00047601-0.00038724i,0.00033599-7.4492e-05i,0.00072172+0.00026577i,0.00058491+0.00066328i,-0.00046015+0.00091871i
0.0028058+0.00028633i,0.0026193+0.00016535i,0.0034964+0.0005379i,0.0017944+4.434e-05i,0.0003076-0.0011959i,0.00046397-0.0015751i,0.00040487-0.0014831i,0.00052489-0.00032887i,0.0009929+0.0004576i,0.000748+0.00074749i,0.00034178+0.00067354i,9.4785e-05+0.00056617i,0.00016303+0.00016934i,0.00077061-0.0011103i,0.00067091-0.00062633i,0.00057385-0.00033567i,0.00098277-0.00037951i,0.00050389+0.00024487i,0.00012021-3.7782e-05i,0.001237+0.00010719i,0.0019127+0.00016807i,0.00087296-0.00038779i,-0.00019195-0.00015951i
0.00069478+0.0010375i,0.0015991+0.00059811i,0.0024291+0.00074142i,0.00093569-0.00041092i,-0.0012242-0.0013516i,-0.001574-0.00048648i,-0.00078437+0.00083529i,0.00027449+0.0011635i,0.0014+0.00082079i,0.0014807+0.00025126i,0.0010177+0.00035722i,0.00053279+0.00080088i,0.00081355+0.0010752i,0.00077628+0.00047852i,-0.0001114-0.00055595i,-0.00044298-0.00053692i,-0.00023168-8.899e-05i,-0.00016139-0.00031344i,-0.0002804-0.0004144i,-9.2067e-05+0.00035638i,7.2196e-05+0.0012228i,-0.00054173+0.00075654i,-0.00051983-0.00065009i
-0.00026728+0.00028985i,-0.00067359+0.00084537i,-0.00023864+0.00042138i,0.00032891-9.6776e-05i,0.00046463-0.00102i,0.00054888-0.0018793i,3.1991e-05-0.0012512i,-0.00043547-2.3364e-05i,-9.786e-06+0.00019361i,0.00088659+0.00039628i,0.00077068+0.0011349i,0.00023741+0.00087494i,0.00022262+0.00086216i,0.00033642+0.00041147i,0.00056273+0.00025274i,0.00054524+0.00084246i,0.00034047+0.0001438i,0.00042584-0.00051757i,-0.00024353-0.00013565i,-0.00066726+3.2669e-05i,0.00045924+0.00018166i,0.00080359+0.00061182i,-3.1684e-05+0.00049661i
0.00061345+0.0014442i,0.00063975+0.0011837i,0.0013408+0.0015933i,0.00101+0.0007873i,-8.9683e-05-0.0012139i,-0.00082795-0.0021125i,-0.0012549-0.0013063i,-0.0010947-0.00069268i,-2.1261e-05-0.00025332i,0.00032321+0.00027794i,0.0002661+0.00069269i,0.00023795+0.00099363i,8.1e-05+0.0011444i,-0.00028651+0.00076353i,-0.00016962+0.00039792i,0.0005559-0.00010534i,-0.00019537-0.00053253i,-0.001121-0.00095119i,-0.0007059-0.00074532i,0.0004646-0.00012149i,0.00092567-0.00020055i,0.00073097-1.2041e-05i,0.00085237-0.00029534i
0.00067863-0.00072351i,0.0016129-8.5961e-06i,0.0019366+0.00037048i,0.00024893+0.00075286i,-0.00042302-0.00034746i,4.8583e-05-0.0018773i,0.00026958-0.0017263i,0.00057647-0.00013661i,0.00062435+0.00062324i,0.00048183+0.00058483i,0.00037761+0.0012689i,-0.00044978+0.001297i,-0.00074908+0.0010762i,0.00030258+0.001003i,0.00058529+0.00055752i,0.00047591-5.5975e-06i,0.00063127-0.00038601i,0.00090116-0.00060102i,0.0011262-0.0005072i,0.0011298-0.00054737i,0.0007406-0.0007163i,0.00037072-2.8931e-05i,0.00065377+0.0011312i
0.00035082+0.00032755i,-5.0898e-05+0.0010639i,-1.4138e-05+0.0017637i,0.00050694+0.0010294i,-0.00023027+7.8006e-05i,-0.00078219-0.00010883i,-0.00037458-0.00033801i,-9.0953e-05-0.0004257i,-0.00015339+9.5087e-05i,-0.00011596-0.00012966i,-0.00032395-0.00027707i,-0.00057985+0.00045135i,2.3609e-05+0.00035602i,0.00069989+0.00017235i,0.00040503-9.7705e-05i,-0.00038882-0.00076002i,-0.00036393-0.00039181i,-0.00019677+8.7151e-05i,-0.00010434-0.00027236i,-0.0002767-1.6534e-05i,-0.0002142+0.0004223i,0.0005212+0.00057295i,0.00087679+0.00070766i
-0.00075076+9.954e-07i,-0.00054147+0.00019491i,0.00022502+0.00069938i,0.00069697+0.0005198i,0.00059775-0.00055015i,0.00027922-0.00082792i,-0.00040065-0.00037501i,-0.00034-0.00048023i,0.00044989+0.00010544i,0.0011338+0.0010016i,0.0010259+0.0014468i,0.00051749+0.0018446i,0.00061982+0.0016448i,0.00023365+0.00032333i,-0.0001408-0.00052903i,0.00018466+0.00016212i,-0.0002052+0.00073148i,-0.00056387+9.7745e-05i,-0.00033156-0.00016074i,-0.00091527+5.7013e-06i,-0.0003269-0.00016373i,0.00067206-0.00032597i,0.00084752-0.00014119i
0.001597-0.00048423i,0.0015867-0.00064883i,0.00075542-0.00024517i,-0.00030286-6.0684e-05i,-4.8292e-06-0.00021152i,0.0002807-0.0011081i,-5.9323e-05-0.0012209i,-0.00029314-3.6971e-05i,0.00026895+0.0009171i,9.9584e-07+0.0010621i,-0.001031+0.00061994i,-0.0012953+0.00030387i,-0.00080153+0.00027754i,-0.00033347-0.00043333i,9.6958e-06-0.0011564i,0.00020831-0.0016018i,0.00026091-0.0011963i,0.00057716-0.00066524i,0.00040257-0.00030227i,-0.00015514+0.00010149i,-0.00039274+0.0004431i,3.5841e-05+4.7693e-05i,0.00031569-1.9675e-06i
0.0026027-0.00077127i,0.0021738-0.00065628i,0.001682-0.0017083i,0.00038821-0.0017518i,-9.9873e-05-0.0014554i,0.00028504-0.0016776i,0.00069683-0.0011916i,0.0005195-0.00086485i,-0.00010109-0.0010504i,-0.00038585-0.00083609i,-0.0003082-0.00065065i,-0.00038397+4.7579e-05i,-0.00057274+9.8184e-05i,-6.3429e-05-0.00055701i,0.00012489-0.00069751i,-0.00026882-0.0010679i,0.00025028-0.00069722i,0.00044126-0.00023226i,0.00016943-0.00014091i,0.00015544+0.00019581i,-7.3573e-05+0.00040448i,0.00041319+0.00049809i,0.00039416+0.00060464i
-0.0011321-0.00046771i,-0.0014824-0.00026478i,-0.00094099+3.9856e-06i,-0.00027649+4.6484e-05i,-0.00047403-0.0012936i,-0.0011366-0.0011043i,-0.0013012-0.00038418i,-0.00047634-0.00010028i,0.00042594+8.9178e-05i,0.0012062+0.00062741i,0.00062449+0.00095461i,-0.00051368+0.0004286i,-0.00082461+4.332e-07i,-0.0010537+0.00043704i,-0.00085086+0.0007722i,0.00020062-7.3512e-05i,0.00043872-0.0005774i,0.00010749+0.00016704i,0.00044364+0.00057402i,0.00082498+0.00012846i,0.0010435+0.00021423i,0.0010713+0.00082009i,0.00039197+0.00071107i
0.0016835-0.00064443i,0.0012677-0.0024967i,0.00015999-0.0027816i,0.00084572-0.00093632i,0.0013208-0.00054235i,0.00030375-0.00051514i,-0.00092477-0.000408i,-0.00076102-9.6172e-05i,-0.00025275+0.00097574i,-0.00032611+0.001305i,-0.00012344+0.00074161i,0.00048954+0.00023825i,0.00021477+0.0007407i,-0.00030632+0.0012327i,-0.00012077+0.0011213i,0.00074117+0.00084368i,0.00084345+0.00018283i,9.1459e-05-0.00063039i,0.00056821-0.00077274i,0.00098736-6.6678e-05i,0.00060982+4.6461e-05i,-0.00074748-0.00024323i,-0.0014004+0.0005612i
2.2343e-05+0.0015999i,-0.00013926+0.0020228i,-0.00073618+0.0019373i,-0.0010645+0.0016939i,-0.00092808+0.00044143i,-0.00088733-0.0013537i,-0.00087546-0.0014904i,-0.00084046-0.00020262i,-0.00097581+0.00085429i,-0.00059565+0.0012273i,0.00013008+0.001443i,0.00015973+0.0014887i,0.0004928+0.0015131i,0.00060243+0.0009713i,0.00056196+0.00022969i,0.00025958-0.00049797i,0.00021966-0.0013649i,0.00028065-0.00112i,-0.00013554-0.0005423i,0.00021374-0.00036483i,0.00010919+0.00015406i,-0.00057724+0.00043344i,-0.00075181+0.00019625i
-0.00043884+8.6265e-05i,-0.00064186+5.8223e-05i,-0.0012649+0.00064842i,-0.0012981+0.0007966i,-0.0010851+0.0004092i,-0.00041076-0.00059533i,0.00050425-0.0013412i,0.00020126-0.00074395i,-5.9714e-05+0.00012233i,0.00016583+0.00079722i,-0.00033033+0.0011694i,-0.00096315+0.00054452i,-0.00017131+0.00070914i,0.00044634+0.00099108i,0.00053159+0.00041594i,0.0003253+0.00045807i,-0.00053186+0.00048574i,-0.00023029+0.00074437i,0.00047298+0.00051655i,0.00070864-0.0006667i,0.00073634-0.00070686i,0.00028616-2.6501e-05i,-0.00014906-0.00014232i
0.00082961+0.00097669i,0.0010629+0.0013926i,0.0003719+0.0010162i,0.00030006-3.105e-05i,0.00052713-0.00056208i,-0.00015206-0.00082377i,-0.0013398-0.00067291i,-0.0019613-0.00028598i,-0.0015591-4.2557e-05i,-0.00061698+0.00060972i,-7.9611e-05+0.0017573i,-0.00069441+0.0025728i,-0.00047601+0.0028858i,0.00029389+0.0017741i,0.0002975+0.00011275i,-0.00034987-0.00031955i,-0.00031186+0.00016326i,0.00064279+0.00038608i,0.00031272-5.1257e-05i,7.8604e-05+0.00017139i,0.00040898+0.00029822i,-0.00035601+0.00024068i,-0.00056981+7.9441e-05i
-0.0012064-0.00066243i,-0.00066457-0.0009655i,-0.0004375-0.0012092i,0.00040226-9.7394e-05i,0.00096426+0.00068564i,0.0012762-0.0004904i,0.0010379-0.0017314i,4.9936e-05-0.0016341i,-0.00011733-0.00076896i,-9.769e-05-2.6878e-05i,-0.0006234+0.00055504i,-0.0014945+0.0015835i,-0.0012067+0.001898i,0.00019337+0.00068696i,0.00054357+7.5755e-05i,-2.4468e-05-0.00063521i,-4.6313e-05-0.00096322i,0.00032592-0.0004884i,-8.4382e-05-6.0562e-05i,-0.00066128+0.00036172i,-0.00070362+0.00018016i,4.8962e-05-7.4312e-05i,0.00060365+0.00068092i
-0.0020138-0.00012671i,-0.0022724-0.00037006i,-0.0027157+0.00013965i,-0.0024358+0.0006493i,-0.00092651+0.00068419i,0.00058169-9.8184e-05i,0.00094143-0.00073679i,0.00034742-0.00073743i,0.0004129-0.00020647i,0.00056086+0.00025089i,-0.00043306+0.00062028i,-0.0010697+0.0012582i,-3.4533e-05+0.0019438i,0.0007567+0.0020081i,7.387e-05+0.0014265i,-0.00025558+0.00068861i,0.00019666-0.00063005i,-9.724e-06-0.0012639i,-0.00018499-0.0011883i,-3.5459e-05-0.0012396i,0.00041946-0.00057093i,0.00027174-0.00026383i,0.00026205-0.00062433i
0.0020042-0.00064027i,0.0019138-0.00084746i,0.0009911-0.0012402i,-0.00043325-0.00070164i,-0.00084966-0.00083817i,-0.00061914-0.0014129i,-0.00061122-0.0012873i,-5.0729e-05-0.00069147i,0.00078339+0.00015702i,0.00097803+0.00072494i,2.0117e-05+0.00092214i,-0.00055251+0.0013236i,-0.00039817+0.001668i,-0.00044359+0.00050748i,-9.4664e-05+0.00038521i,0.00018106+0.0010691i,-0.00013742+0.0008338i,-9.3275e-05+0.00011637i,-0.00028699-0.00027424i,-0.00052119-0.00043643i,-9.3745e-06+5.0343e-05i,0.0002166+9.0602e-05i,-0.00040665-3.9222e-06i
-4.1618e-06-5.6586e-05i,0.00041663-0.0001006i,0.0013653+4.0049e-05i,0.0018062+0.00070379i,0.0017356-3.8497e-05i,0.00101-0.00066136i,0.00011607-0.00052117i,0.00050741-0.00054086i,0.00098878+0.00030153i,0.00048395+0.0011149i,-0.00017554+0.0012057i,-0.00049346+0.0010811i,-0.00044844+0.00087803i,-0.00063171+0.00050648i,-0.00067305-0.00011707i,0.0001111-0.00060656i,0.00076251-0.00070122i,0.00097205-0.00048404i,0.00054765-0.00044877i,0.00031477-0.00076629i,0.00026548-0.00079906i,0.00031925-0.00037619i,0.00057057+0.00052222i
0.0015716-0.0014126i,0.00071107-0.00043748i,0.00080569-0.00081717i,0.00010962-0.0010313i,-0.00046276-0.00064101i,-0.00019285-0.00032464i,-8.2175e-05-0.00034175i,-0.00020216-0.00063676i,8.0005e-05-0.00024003i,-5.9246e-05+0.00017071i,-6.6066e-05+0.00022028i,0.00063976+0.00061654i,0.0006455+0.0013657i,0.00033327+0.0012074i,-0.00037576+0.00036562i,-4.2015e-07+0.00019734i,0.00085954-0.00024755i,0.00055482-0.00066738i,0.00026526-0.00080881i,9.1129e-05-0.00055219i,-0.00034273+0.00013231i,-0.00033208+0.00022493i,-3.336e-05-0.00049361i
-0.00018081-0.00065047i,-0.00077507-0.0005693i,-0.0003866-0.00040232i,0.00027481-0.0015748i,0.00098038-0.0030237i,0.0007814-0.0020387i,0.00037198-0.0012671i,0.00022603-0.0006129i,-0.0001834-0.00015951i,2.4257e-05+0.00041238i,-4.8166e-05+0.00078824i,-0.00050641+0.00018955i,-0.00031541+0.00036054i,-0.00028627+0.00091781i,-0.000445+0.00029742i,0.00013859-0.00075312i,0.00076479-0.0010601i,0.0010819-0.00040196i,0.0011689+8.6671e-05i,0.00085182+0.00014372i,-5.028e-05-3.1596e-05i,-0.00012615-0.00018789i,-0.00018895-0.00028227i
-8.4805e-05+0.0016969i,-0.00022365+0.00027175i,-0.00029783-0.00041018i,-0.00059509-6.9451e-05i,-0.00030069-0.00051097i,0.00028108-0.0013825i,0.00042104-0.0019457i,0.00069205-0.0013341i,0.00068317-0.00017229i,0.00076566+0.00035947i,-0.00021728+0.00058383i,-0.0010009+0.00077022i,-0.00037226+0.00058497i,0.00017738-0.00010709i,-6.46e-05-0.00028849i,0.0001993+0.00028986i,0.00044811+1.7521e-05i,0.000374-0.00047906i,0.00016866-0.00041752i,-0.00062131+4.2892e-05i,-0.00041006+2.7037e-05i,-6.5859e-05-5.7271e-05i,-0.00040008+0.00015037i
-0.00061242-0.0020523i,-0.00089706-0.0017485i,-0.00067167-0.0017832i,-0.00034398-0.00073006i,-4.3369e-05+0.00019527i,0.00068225-4.2435e-05i,0.00093553-0.0007622i,-4.7492e-05-0.0003293i,-0.00012346+0.00096857i,0.00064467+0.0010671i,0.00058047+0.00071836i,-1.1179e-06+0.0014445i,-0.00078514+0.0021001i,-0.0010511+0.0015727i,-0.00088582+0.00081343i,-0.00080156+0.00037474i,-0.00045591-0.00011935i,-0.00030877-0.00047602i,0.00051391+1.1685e-05i,0.00078255+0.00039598i,0.0005525+0.00017355i,-0.00010648-0.00049829i,-5.6658e-05-0.00063534i
0.00076896-0.0012876i,0.00086161-0.0012584i,0.00049612-0.00094347i,-8.4754e-05+5.3643e-05i,-0.00022166+0.00035787i,0.00015373-0.0002959i,0.00020458-0.00023488i,-6.7601e-05-0.00017062i,0.00010771-7.2851e-05i,0.00071105+0.00067481i,0.00057285+0.00094582i,-0.00015916+0.001383i,4.9674e-05+0.0017081i,-9.1643e-06+0.0011333i,-0.00096317+0.00083454i,-0.0011303+0.00024537i,-0.00070372-0.00052775i,-2.4735e-05-0.00082505i,2.0962e-05-0.00046121i,-0.00010985-0.00060993i,-0.00037115-0.00090461i,-0.0004367-0.00078791i,-1.67e-05+0.00010136i
-0.00069744+0.00046071i,-0.00019153-0.00039703i,-0.00021572-0.00016194i,-0.00086382-0.00033745i,-0.00066028-0.0013547i,0.00078245-0.0018714i,0.0010601-0.0015413i,0.00020162-0.00083178i,9.0722e-05+0.00025302i,0.00071368+0.0008886i,0.00037898+0.0012533i,-7.3391e-05+0.0013314i,0.00033618+0.0010991i,0.00092904+0.00062939i,0.00012658-0.00052634i,-0.00033835-0.0012083i,0.00056212-0.00069326i,0.0010947+0.00012508i,0.00065991+3.9401e-05i,1.2776e-05-2.6768e-06i,-0.0001584+0.00018836i,-0.00048479-0.00041941i,-0.00098158-0.00051955i
-0.0014186-0.00043229i,-0.0011592-2.9457e-05i,-0.0011995+0.0006226i,-0.0010509+0.00046456i,-0.00061454-1.7507e-05i,0.00082845-0.00092544i,0.00094896-0.0011336i,0.00013913-0.00037882i,-0.00010339+6.8773e-05i,-0.00026578+0.00052073i,-0.00028335+0.0007632i,0.00037387+0.0014054i,0.0012738+0.0023357i,0.00077716+0.0013484i,0.0001237-9.1805e-05i,0.00061328-0.00047542i,0.00040311-0.00069105i,0.00042956-0.0009691i,0.00071875+2.2315e-05i,0.00026746+0.0012198i,0.00028828+0.0012921i,0.00039681+0.000691i,-0.00015938+0.0005362i
0.0002156+0.00086408i,-0.00011752+0.0010342i,-0.0003411-0.00068706i,-0.00014848+0.00012483i,0.00048919+0.00098865i,0.0010469-0.00012066i,0.00071859-0.001422i,0.00043728-0.00087291i,0.00050643+1.6944e-05i,0.00023539+9.0174e-05i,-0.00046231+0.00056597i,-0.00062179+0.0011534i,3.8375e-05+0.00091448i,0.00045246+0.0004631i,0.00051081+0.00020518i,0.00038313-0.00042744i,-0.00032176-0.0010761i,-0.0006142-0.00037448i,4.3918e-05+0.00057741i,-0.00027581+0.00026708i,-0.00052694-4.773e-05i,0.00020757-0.00017588i,0.00018338-0.00054813i
0.0012407+0.0013354i,-0.00028229+0.0029313i,0.0001417+0.0030333i,0.00025711+0.0012105i,0.0002103-5.0409e-05i,-0.00038795-0.00091629i,-0.00029265-0.0018393i,0.00013343-0.001236i,0.00020407-0.0001584i,0.00088204+4.5232e-07i,0.00070018-5.5906e-05i,0.0002911+0.00044887i,0.00046585+0.0011074i,0.00043531+0.0010134i,-7.7617e-05+3.4683e-05i,-0.00042636-0.00063938i,-0.00042625-0.00041065i,-0.00049716-0.00028689i,-0.00010832-0.000279i,-0.00014519+0.00027959i,-0.00053353+0.00020084i,-0.00039397-3.9319e-05i,-0.00010962+6.0071e-07i
-0.00051834+0.0015806i,0.00046062+0.001398i,0.001396+0.0011196i,0.0019145+0.00057649i,0.0021102-0.00081043i,0.0005195-0.0020012i,-0.00061389-0.001678i,-0.00026387-0.0010532i,0.00057684-0.00068163i,0.0013358+0.00027626i,0.0010529+0.00088355i,0.00073685+0.00028384i,0.00080148+2.8929e-05i,0.0013484+0.00030616i,0.0018311+0.00012255i,0.0011866+9.2472e-05i,0.00040421-7.245e-05i,0.00028803-0.00093497i,0.00043691-0.0015432i,-0.00011571-0.00037427i,-0.00072188+0.00050736i,-0.00053238-4.1031e-05i,-5.8588e-05-0.00033394i
0.0041158+0.0013165i,0.0036388+0.00070899i,0.0035339-0.00036841i,0.0024773-0.00071789i,0.0005721-0.0012704i,-0.00035304-0.0018082i,0.00017072-0.0012286i,0.0012161+0.00031823i,0.0013873+0.0012414i,0.001179+0.00062083i,0.00069399+0.00066376i,-0.0001392+0.000988i,-0.0001637+0.00084395i,0.00041335+0.00081319i,0.00036921+0.00024397i,-0.00017988-0.00035944i,-0.00019868-0.00049808i,-9.1344e-06-0.00059833i,-1.6619e-05-0.00072904i,0.00016644-0.00078128i,0.00059166-0.00061062i,0.00019268-0.00094213i,-0.00058801-0.001241i
-0.00036262+0.001888i,0.00053958+0.0012032i,0.00057764+0.0018515i,-0.00018227+0.001597i,-0.00054781-0.00016014i,-0.00015837-0.00087654i,-0.00050677-0.00060204i,-0.00075334-0.00040705i,-0.00033187-0.00024858i,3.2154e-05-0.00030773i,0.00055154+0.00021856i,0.00094074+0.0012062i,0.00016384+0.00085457i,-6.2971e-05+0.00025981i,1.3453e-05-4.7539e-05i,-0.00047615+0.00013098i,-0.00071531-0.00042146i,-0.00085964-0.0013742i,-0.00036181-0.0012538i,0.0001805-0.00043309i,5.8277e-05+0.00057694i,0.00050739+0.0003892i,0.00068749-5.0763e-05i
0.0035709-0.0011863i,0.0030778-0.0012201i,0.0026522-0.0011649i,0.0015718-0.0015182i,0.00066541-0.0014491i,-9.0015e-05-0.00044719i,-0.00050409-8.437e-05i,-0.00084991-0.00023199i,0.00022719-0.00012774i,0.00063026+6.2059e-05i,-0.00018853+0.0010026i,-0.00023636+0.0022214i,0.00021787+0.001762i,0.0010224+0.0007965i,0.0010956+0.00023175i,0.00067252-0.00071444i,0.001289-0.00063111i,0.0010236-0.00034985i,0.00011342-0.00039393i,0.00037945-8.3804e-05i,0.00043648-9.7935e-05i,0.0002164+0.00019078i,0.00011657+0.00052212i
-0.0028727-0.00038573i,-0.0030691-0.0014613i,-0.0026597-0.0011833i,-0.00079059-7.9773e-05i,3.9064e-05+0.00093352i,0.00022724+0.0007456i,0.00026518-0.00041215i,0.00013684-0.0001163i,0.00040099+0.00089899i,0.00049104+0.0011339i,3.5075e-05+0.0013222i,-0.000538+0.0015016i,-0.0003361+0.001912i,6.5555e-05+0.0021429i,0.00024813+0.0012945i,0.00042692+0.00016685i,0.00037459-6.138e-05i,9.1158e-05-0.00016656i,-3.9904e-05-0.00032096i,2.8529e-05-4.5654e-05i,0.00068996-0.00025107i,0.0012556-0.0006183i,0.00094406-0.00065723i
-0.0017819-0.0033742i,-0.00237-0.0038532i,-0.0021323-0.0039896i,-0.0024946-0.0018761i,-0.0029607+0.0011484i,-0.0016532+0.0013175i,-0.00067754+0.00036169i,-0.00053076+0.00025747i,-0.00091749+7.0162e-05i,-0.0010901+3.5313e-05i,-0.0010716+0.0012989i,-0.0012436+0.0012451i,-0.0011451+0.00045932i,-0.0012464+0.00074615i,-0.0012167+0.0011467i,-0.00031986+0.00073129i,0.00088507+0.00050839i,0.0013665+0.0002457i,0.00063371-0.00012382i,0.00020006+0.00050773i,0.00025358+0.0015216i,-0.00045969+0.0014182i,-0.00090813+0.0003236i
