0.00099436-6.7164e-05i,0.0017712-0.00058573i,0.00076711-0.0017574i,-7.2256e-06-0.0025102i,-0.00084561-0.0015461i,-0.0020358-0.00023246i,-0.0020789+0.0009859i,-0.00067967+0.0013825i,0.00072563+0.00076851i,0.0014091+0.00070186i,0.00085377+0.00086024i,-0.0001647+0.00011944i,-0.00034077-0.0005866i,-0.00052633-0.0010727i,-0.00064018-0.0013851i,0.00013602-0.00045594i,0.00053219+6.1261e-05i,0.00031561-8.7351e-05i,2.476e-05+0.00076868i,0.00032596+0.00089813i,0.001157+0.00046052i,0.00077463-0.00018587i,0.00014033-0.0010649i
7.4261e-06+1.7329e-05i,-0.00015106-0.00062118i,0.00086326-0.00029728i,0.0016835+0.0003045i,0.0017447-1.8258e-05i,0.00010549-0.0010257i,-0.0014347-0.00096389i,-0.00045918+0.00022987i,0.00037203+0.00090495i,0.00055052+0.00070259i,0.000514+6.5599e-05i,-0.00022156+0.00030331i,-0.00050682+0.00036945i,1.266e-05-0.0010597i,0.0008057-0.0013251i,0.00051308-0.0007524i,-0.00050281-0.00021784i,-0.00066592-5.1685e-05i,-0.00058296+3.8816e-05i,-0.00034538+0.00011526i,-0.00023152-5.4318e-05i,6.9132e-05+0.00081574i,9.0323e-05+0.0013888i
-0.0011268+0.0012969i,-0.0011705+0.00062633i,-0.0003649+0.00072307i,0.0013675+0.0010734i,0.0011282+0.00073004i,-4.6415e-05-0.00022561i,-0.00084983-0.00089481i,-0.0011516-0.00067266i,0.00012668+0.00013673i,0.0012121+7.7712e-05i,0.0013082+8.4859e-05i,0.00055056+0.00029912i,-0.00024691+4.1728e-05i,-0.00080299+0.00029757i,-0.00070095+7.794e-05i,-0.00052736-0.00043221i,-0.00050592+0.00065851i,-6.4407e-05+0.001408i,-0.00063551+0.0004972i,-0.00078851-0.00062278i,-0.00071882-0.0004365i,-0.00090855-0.00022316i,-0.00031207-0.00057972i
0.0013714-0.00051359i,0.00056722-0.00094791i,-0.00035522-0.0017845i,-0.00103-0.0013439i,-0.00075554-0.00060295i,8.2468e-05-0.00068206i,2.7875e-05-0.00018235i,-0.00036835+2.89e-05i,-0.00031344-0.00040094i,-8.7234e-05+0.00011577i,1.0924e-05+0.00072289i,0.00049644+0.00051761i,0.0011131-0.00025533i,0.0012053-0.00042901i,0.00074483-4.5913e-06i,7.0732e-05+7.4849e-05i,-0.00049369+0.0001193i,-0.00097388-7.9458e-05i,-0.00053791-0.00041664i,7.3568e-05-0.0010675i,-5.722e-05-0.0007795i,-9.9093e-05-0.00015036i,-0.00063654-0.00039005i
-2.0499e-05+0.00017295i,-0.00050631-0.0007901i,-0.00056099-0.0012306i,-0.00036699-0.00030407i,-0.00036423+0.00027034i,-0.00054941-0.000217i,-0.00059682-3.1628e-05i,-0.00056847+5.4987e-05i,-0.00045668-8.5622e-05i,-5.9305e-05+0.00021567i,-9.37e-05+0.00058369i,0.00023155+0.00055877i,0.0012209+4.0368e-05i,0.0016202-0.00082536i,0.00089965-0.00034994i,-8.8788e-05-0.00010319i,-0.00019026-0.00087875i,0.00010033-0.0012054i,0.00016134-0.00065122i,0.00039356-0.00012311i,0.00050857+0.00048711i,0.00039848+0.00016687i,0.00062842-0.00099788i
-0.00020457+0.00084828i,-0.00080492+0.00092305i,0.00042264+0.0015148i,0.00092056+0.0009462i,1.8768e-05+3.2238e-05i,-0.00040619+0.00043272i,-0.00087508+0.00090288i,-0.00090753+0.00045468i,-0.00058693-0.00032959i,-0.00075515-0.00036411i,-0.0010713+1.077e-05i,-0.00079621+5.9506e-05i,-0.00042992+5.0746e-05i,-6.8575e-05+0.00036163i,-0.0002616+0.00094418i,-3.4717e-05+0.00042245i,0.00089933+0.00028107i,0.00087243+0.00061214i,0.00023696+0.00071649i,8.8327e-05+0.0002923i,-4.7564e-05-0.00011601i,0.00013965+0.00057365i,-7.9216e-05+0.00046482i
0.00026747-0.0019041i,0.00018786-0.00086952i,-0.00051422-0.00038842i,-0.001061-0.00057211i,-0.0017198-0.00023121i,-0.001755+0.0002669i,-0.0003188+0.00033734i,0.0002802-0.00036176i,0.00010626-0.0006659i,0.00025064-0.00043557i,0.00011182+9.1915e-05i,-0.00012908+0.00026566i,-0.00040459-0.0003183i,-0.00078939-0.00049386i,-0.00014791-0.00032569i,0.00024972+0.00011153i,2.8091e-05+0.00020337i,-0.00054627-7.3043e-05i,-0.00105+5.9448e-05i,-0.0006657+0.00061832i,-0.00040173+0.00045937i,-0.00048292+4.7745e-05i,-0.00038435-0.00061032i
-0.0014509+0.00029467i,-0.0012722-0.00092555i,-0.0009023-0.0011336i,-0.00038542-0.00010958i,-0.00048908+0.00018005i,-0.00045685+0.00034158i,-0.000128+2.4284e-06i,-0.00019719-0.00036999i,-0.00061046-0.00024563i,-0.00050739-0.00093423i,-0.00020825-0.00085499i,-0.00020995-0.00030558i,9.584e-05+9.7738e-05i,-5.8935e-05+0.00023217i,-0.00038492+0.0005583i,-0.0011581+0.00037802i,-0.0010669-0.00020103i,2.5898e-05-0.00044904i,-0.00048466-0.00048405i,-0.00081666-0.0003262i,-0.00066059-0.00069763i,-0.0005205-0.00028041i,-2.8081e-06+0.0003313i
0.0007716-0.00084668i,0.00046672-0.0012636i,6.048e-05-0.00070151i,-0.00045484-0.00032799i,-0.00025836-0.00016533i,-0.00047326+0.00015514i,-0.00080577-1.7911e-05i,-0.00071871-0.00060429i,-0.0008938-0.00063461i,-0.00054902-0.00025159i,3.217e-05+0.00029016i,0.00034492+0.00057225i,0.00084132+0.00028315i,0.00092441+0.00015806i,0.0005986+0.00049627i,0.00030964+0.00027024i,-0.00027545-0.00020279i,-0.0006353-0.00089849i,-0.0006341-0.00074503i,-0.001117+0.00011357i,-0.00068315-6.6982e-05i,-9.0793e-05-0.00022035i,-9.0336e-05+5.0491e-05i
-2.6564e-06+0.0013664i,0.00027316+0.0028011i,0.00077903+0.0035414i,0.0011709+0.0026057i,3.3929e-05+0.002065i,-6.5086e-05+0.00035826i,-0.00028073-0.00095751i,-0.00080463-0.00066671i,-0.0003672-0.00022312i,0.00010355+0.00018697i,0.00042844+3.6859e-05i,0.00068535-0.00058956i,0.00047148-0.0010487i,-0.00010621-0.00030816i,-0.00098196+0.00044391i,-0.0015205+4.419e-05i,-0.0013518+0.00015471i,-0.000544+0.00041661i,0.00020318+0.00099706i,0.00081798+0.00076014i,0.0006801-0.0001873i,-0.00011959-0.00051747i,-0.0004428-0.00015897i
-0.00069636+0.00089857i,-0.00032251-0.00079067i,-0.00055359-0.0014039i,0.00055117-0.00031859i,0.00097352+0.00031975i,-0.00027797+0.00049053i,-0.0007897+0.00061988i,-0.00028607+0.00043291i,0.00074666+0.00059151i,0.0014468+0.00063152i,0.0013401+0.00025937i,0.00092363-0.00036939i,0.00061171+5.0605e-05i,0.00014191+0.00024991i,-0.00035752-0.00035037i,-5.0669e-05-0.00077462i,0.00022421+1.3325e-05i,-7.9302e-05+0.00087199i,-0.00014294+9.2944e-06i,-0.00010258-0.00031685i,-0.00055281-0.00031323i,-0.00044485-0.00047272i,0.0003023+7.013e-05i
0.001421-0.00038315i,0.0011289+0.00056951i,0.0013063-8.0792e-05i,0.00064859-0.00079115i,9.0776e-05-0.00083852i,-0.00013559-0.0005671i,-0.00042871-0.00020244i,-8.1428e-05+0.00016143i,-6.671e-05+0.00058447i,-0.00049423+0.00045289i,-0.00044522+0.00030534i,-9.1187e-05+0.00053145i,0.00043219+0.00018825i,0.0009704-0.00052613i,0.0011316-0.00037178i,0.00018381-0.00063587i,-0.00085167-0.00063752i,-0.00055391-0.00042122i,0.00018921-0.0010328i,0.00043079-0.0013673i,0.00034107-0.00064625i,0.00032587-0.00018408i,0.00083028-0.00033429i
-0.0010638+0.00099022i,-0.0013523+0.0018946i,-0.00085837+0.0016873i,-1.3657e-05+0.00032235i,0.00051264-6.0917e-05i,-4.3523e-05-0.00059257i,-0.00042729-0.00095309i,-0.0002641-0.0008278i,-0.00044918-0.0010397i,-0.00045077-0.00047897i,-0.00081089-0.00051876i,-0.0010239-0.0008796i,-0.00028242-0.00082002i,0.00054109-0.00081286i,0.00025932-0.00042939i,-0.00045462-0.00031757i,-0.00026473-0.0004214i,-0.0007295-0.00044369i,-0.00024615-0.00034936i,0.00017649-4.4505e-05i,-0.00025836+0.0004293i,7.7815e-05+0.00067343i,0.0012197+0.00051122i
-0.0010383-0.0004253i,-0.0013151-0.0010018i,-0.00094755-0.001818i,-0.00090215-0.0017558i,-0.0011861-0.0010072i,-0.00069369-0.0010937i,-0.0004658-0.0006273i,-0.00076443+0.00016801i,-0.00030729-0.00015357i,-0.00016203+0.00033619i,-0.00045083+0.00029775i,3.0146e-05-0.00037503i,0.00081214-0.001113i,0.00063439-0.0014429i,-0.00022558-0.0013954i,-0.00012242-0.0014163i,-0.00035366-0.0005602i,-0.00075893+8.8409e-05i,-4.8641e-05+0.00057769i,0.00018053+0.00037846i,6.1283e-05-0.00077868i,-0.00030154-0.001209i,-0.00081177-0.0010033i
0.0010502+0.0011599i,0.0021879+0.00024466i,0.0024118+0.00041903i,0.0019876+0.00071734i,0.0016211-1.2563e-05i,0.00014316-0.0010132i,-0.00073801-0.0012615i,-0.00058465-0.00012862i,-0.00098645+0.00021353i,-0.00073469-0.00023393i,0.00080392-0.00012002i,0.0005965-0.00044563i,-0.00076858-0.00026275i,-0.00047146+2.2782e-05i,-0.00079714-0.00022481i,-0.00095453-0.00041893i,0.00031991-0.0008733i,0.00054837-0.00054602i,0.00025061-9.1967e-06i,-0.00021541-0.00023522i,-0.00026733-0.00036449i,0.00011315-1.0452e-05i,0.00042975+0.0002051i
-0.0017761-0.00044492i,-0.0018667+9.4126e-05i,-0.00065008+0.00029856i,-0.00030413+0.00077741i,5.8115e-05+0.00093712i,0.0007489+5.4035e-05i,0.0011237-8.3532e-05i,0.0011207+0.00028576i,0.000276-0.00022506i,-0.0003436-0.00068886i,-0.00047678-0.00030325i,-0.00017077-0.00019563i,0.00032844-0.00083859i,0.00098983-0.0012859i,0.0010994-0.0010368i,0.0004511-0.00036022i,0.00054245-4.3792e-05i,0.00079788-0.00058284i,0.00015115-0.00082964i,-0.00023961-2.5604e-05i,-0.00022233+0.00057512i,0.00054185+0.00030641i,0.0012797+0.00052612i
-0.00017095-0.0015052i,-0.001035-0.0026676i,-0.0015141-0.0026223i,-0.0022182-0.0018285i,-0.0026614-0.0015785i,-0.0020929-0.001238i,-0.00058954-0.000878i,0.00027063-0.00065432i,-0.00014371-0.00025311i,-0.00048206-0.00013706i,-0.00040621+0.00035517i,-0.00091565+0.0010677i,-0.0010925+0.00092765i,-0.00010321-0.0001596i,0.00023838-0.00024548i,-0.0002474+0.00012546i,-0.00040121+0.00045575i,-0.00042493+0.00085955i,-0.00057938+0.00070193i,-0.00059238+0.00032827i,-0.00016638+0.00031697i,-0.00041536+0.00038493i,-0.0010078-1.0648e-05i
0.00025596-0.00076872i,0.0001027+0.00058876i,0.00056055+0.00086951i,-0.00028871-0.00085261i,-0.0013719-0.0015962i,-0.0020837+0.00032398i,-0.0018937+0.0010825i,-0.0011596+0.00013761i,-0.00070275+7.8256e-05i,-0.00064815+3.2913e-05i,-0.00080364-2.6082e-05i,-0.0004999+0.00042742i,0.0003823+0.00046524i,0.0010108-0.00011678i,0.00090734-0.00077107i,0.00028808-0.00064864i,-0.00022843-0.00068397i,0.000263-0.00041103i,0.00030001-0.00062081i,0.00012264-0.0011206i,0.00055767-0.00020573i,0.00096454+0.00080046i,0.00073483+0.00076955i
-0.0012954-0.0008497i,-0.0024161-0.00082561i,-0.0016608+0.00017509i,-0.0005809+0.0016823i,0.00049288+0.0022803i,0.0013939+0.0015923i,0.0005957+0.0011177i,-0.00092791+0.00048443i,-0.00058024+4.617e-05i,0.000351+0.00040011i,0.00073812+0.00034036i,0.0010442+0.00070378i,0.00088536+0.00086134i,0.00056004-0.00022259i,-7.0144e-05-0.00094914i,-0.00062128-0.00081906i,-0.00049233-0.00050034i,-0.00045325-0.00074913i,-0.00063581-0.00067382i,-0.00040956+0.00026845i,0.00013134+0.00086233i,0.00055192+0.00059423i,-5.2618e-05-4.6135e-05i
0.00022105+0.00077834i,0.00048275-0.00035959i,0.0010648-0.00078737i,0.0011277-0.00065328i,-0.00040022+0.00053136i,-0.0013498+0.00062111i,-0.00040888+0.00018266i,0.00019827+0.00057432i,0.00012176+0.00043051i,-6.4857e-05-0.00010593i,-0.00047201+0.00025197i,-0.00046576-0.00010254i,-0.00011467-0.00057349i,3.7424e-06-0.00015427i,-0.00026905-0.0004998i,-0.00032778-0.00029006i,0.0004416+1.0259e-05i,-0.00016738-0.00036094i,-0.00034484-0.00028484i,0.00037522+0.00026941i,0.00060676+0.00035392i,-0.00015829+0.00043376i,-0.00017435+0.00055804i
-0.0016289+0.00051148i,-0.00079884-0.0015707i,0.00045642-0.0016242i,0.0010599-0.00066256i,0.0013439-0.0001519i,0.00026081-0.00078407i,-0.00093184-0.0011399i,-0.0013608-0.001101i,-0.0014724-0.00034424i,-0.00038408+0.00052241i,0.00015204+0.00011927i,-0.00032684-0.00037202i,-0.00062867+0.0001023i,-0.00059288+0.00052782i,-0.00085552+0.00028819i,-0.0008931-0.00055807i,-0.00044195-0.00079937i,-0.00020353-0.00053155i,-0.00030385-8.5062e-05i,1.1281e-05+0.00053575i,0.0003256+0.0001312i,0.00020832+0.00015166i,-0.00034808+0.00015071i
-0.0011056-0.0017882i,-0.00092862-0.00081913i,-0.00054943-0.0001784i,-0.00018994+0.00023152i,-0.00057474-0.00016497i,-0.00081365-0.00076321i,-0.00062747-0.00099555i,-0.00032955-0.00082721i,-0.00027963-0.00070957i,-0.00014515-0.00084986i,-0.00033347-0.00033286i,-0.00054537+0.00075638i,-0.00024242+0.00080218i,0.00061043+0.00056186i,0.0014706+1.8382e-05i,0.0009367-0.00026788i,-7.5992e-05-0.00013898i,-0.00028046+0.00046056i,-0.00051409+0.00056171i,-0.00051168+0.00025251i,0.00012067+2.4272e-05i,0.00036624-0.00017382i,0.0001963-0.00011407i
-0.00062829-0.0011298i,-0.00090663-0.0017567i,-0.0021172-0.0018119i,-0.0022689-0.00078307i,-0.0030897+0.00045285i,-0.002804+0.0011028i,-0.00091109+0.0011734i,0.0001777+0.00046562i,8.6821e-05+0.00023719i,-0.00030306+0.001005i,4.8838e-05+0.00091879i,0.00034333+0.00045234i,0.00062906+0.00029768i,0.00060747+3.4045e-05i,0.00023207-1.4211e-05i,-6.967e-05+0.00017111i,-9.6465e-05+0.00022295i,-0.00011482-0.00030399i,0.00015036-0.00051899i,0.00090167+6.4392e-05i,0.001324+0.0002466i,0.0013424+0.00061524i,0.00041445+0.0010078i
0.00071061+0.00028698i,0.0015061+1.7977e-05i,0.00090464+1.3151e-05i,0.00021781-0.00069262i,7.627e-05-0.00040638i,-0.00019231+0.00026766i,-0.0004763+0.00015896i,-0.00064399-0.00052914i,-0.00061178-0.00047302i,0.00050372+0.00028517i,0.00093426+0.0007809i,-0.0001224+0.00056066i,-0.00040147+0.00037637i,0.00052791+0.00012222i,0.00088997+0.00013401i,0.00057438+0.00074204i,1.5118e-06+0.00088051i,-0.00026578+0.0005013i,0.00029033+0.00016947i,-0.00044808+4.4365e-05i,-0.00055224+2.3893e-05i,0.00035603-0.00020944i,0.00026106+1.833e-05i
0.00020102-0.0014585i,-0.00029778-0.0017965i,-0.00067404-0.0012439i,-0.0012365+0.00059567i,-0.0014841+0.0011597i,-0.00085462+0.00031908i,-0.00056812-0.0006471i,-0.0006778-0.00072734i,-0.00026583-0.0003046i,0.0010106-0.00014005i,0.00096975+0.00038782i,0.00070071+0.0004299i,0.0013166+0.00013979i,0.0010871-0.00046575i,0.00063386-0.00083307i,0.0002543-0.00041572i,-0.00041463-0.00035828i,-0.0010729+0.00017722i,-0.0006189+0.00037874i,-0.00058296-0.00016244i,-0.0010414-0.00019518i,-0.00025167-0.00031691i,0.00070915-0.000436i
-0.0020647-0.00065162i,-0.00248-0.0014261i,-0.0022582-0.00048466i,-0.00022453+0.00089179i,0.0010425+0.00032277i,0.00058008-0.00031049i,-0.00022367+0.00017053i,-0.00026819+0.00029128i,-0.00030282+0.00056464i,-0.00048472+0.0006864i,-6.1189e-05+0.00058215i,2.3287e-05+0.00031009i,-0.00045746-0.00060278i,-0.00069554-0.00043978i,-0.00098673+4.9152e-05i,-0.00068492+0.00032307i,-0.00027276-0.00033615i,-0.00041237-0.001002i,-0.00016963-0.00032i,-9.4181e-05+0.00022516i,-0.000243+0.00010256i,0.00010812+3.9797e-05i,0.00027958+0.00024089i
0.0015945-0.00012546i,0.00056301+0.00011735i,0.0003553+0.00021249i,0.00061739+0.00018593i,2.4024e-05-0.00032576i,-0.00028862-0.00090557i,-0.00012744-0.00023435i,0.00017838+8.3049e-05i,0.00014986-0.0007114i,-0.00023832-0.0005951i,-0.00098443+0.00015394i,-0.00099156-3.1085e-05i,0.00027716+1.9686e-05i,0.001175+0.00040113i,0.00094929+7.8225e-05i,0.00021993+0.00031511i,-0.00064236+0.00056777i,-0.00034857+0.00060304i,8.5399e-05-0.00010241i,4.3281e-05-0.00060469i,0.00035542-0.00010653i,0.0004397+0.00015682i,0.00048944+0.00025248i
-0.00099057-0.00053327i,-0.00055907+0.00049306i,-0.00069035+0.00060939i,-0.00067164+0.00046053i,-0.00021961+0.00053961i,0.00018032+0.00026998i,0.00017986-0.00026223i,0.00047185-3.1669e-05i,-5.3332e-05+0.00044471i,-0.00091291+0.00089486i,-0.00029774+0.0012568i,-4.5716e-05+0.00080913i,1.864e-05-0.00020797i,-0.00028172-0.00028775i,-7.8694e-05+0.00032201i,0.00070475+0.00012323i,0.00038935+0.00017328i,-0.00020428+0.00048484i,-0.00028599+0.00031753i,-0.00038883-0.00011266i,-0.0005831+7.2831e-06i,-3.4529e-05+7.6843e-05i,0.0007429-0.00040386i
-0.0010485-0.00042233i,-0.00037574-0.00047078i,-0.00039247+0.00066337i,-0.00089946+0.0016499i,-0.0018225+0.0019767i,-0.0012095+0.0017162i,-0.00083964+5.7513e-05i,-0.00097858-0.0011441i,-0.0010273-0.00062959i,-0.00035875+0.00019018i,1.1307e-05+0.00062205i,-5.4559e-05+0.00085028i,0.0001323+6.389e-05i,0.00095357-0.00085913i,0.00075053-0.00078335i,-0.00060337-0.0007409i,-0.0007071-0.00047026i,-0.0004092-0.00010806i,-0.00015858-5.3019e-05i,2.3722e-05-0.00026763i,0.00012788-0.00040635i,-0.00013729-8.6458e-05i,4.5377e-07-6.8769e-05i
0.0014128-0.0010113i,0.0016521-0.00097224i,0.00094517-0.00087846i,0.00061758-0.0007064i,4.8689e-05-0.00030305i,-0.00066738+9.6777e-05i,-0.00081671-0.00033273i,-0.0002785-0.00046036i,-0.00011323-0.00046927i,-0.0004823-0.00078857i,-0.00039208-0.00038212i,-0.0003936-0.00041695i,-0.0002113-0.0007578i,0.00057017-0.00037571i,0.0007819-0.00044124i,0.00063927-0.0005742i,0.00064876+0.00068739i,0.0005849+0.0012232i,0.00090508+0.00095274i,5.4417e-05+6.0037e-05i,-0.00065838-0.00026797i,-9.7765e-05+0.0004313i,0.00024583-0.00010652i
-0.0020557+0.0016573i,-0.0014555-0.00025044i,-0.00020803+0.00046063i,0.0012429+0.0012522i,0.0025124+0.00047561i,0.0014755-1.2837e-05i,-0.00049445-0.0003431i,-0.00098771-0.00046726i,-0.00036224+7.6382e-05i,0.00037899+0.00049358i,-0.0001021+0.00063409i,-0.0002061+0.00080131i,0.00031086+0.00048222i,0.00024598-0.00055395i,-0.00041832-0.00069472i,-0.00022441-9.1181e-05i,0.00054148-0.00016794i,0.00075882-0.00029436i,0.00017548-0.00069742i,-0.0004282-0.00082687i,0.00029347-0.00079294i,0.0010517-0.0012363i,0.00036597-0.00058847i
0.00021864-0.0015611i,3.8605e-06-0.0027802i,0.0002465-0.0022576i,0.00044439-0.0012506i,-0.00047214-0.00071528i,-0.0018112-0.00053763i,-0.001118-6.6384e-05i,-0.00018415+1.1435e-05i,0.0005648-0.00066902i,0.00053424-0.00078352i,0.00061624-0.00023452i,0.00062624+0.00028345i,0.00016924+0.00020994i,0.00031286+0.00034591i,0.00028962+0.0004092i,-0.00075471+0.00024577i,-0.00075732+1.715e-05i,8.8801e-05-1.5739e-05i,-0.00036332-0.00044894i,-0.0013385-0.00090791i,-0.00079003-0.00021558i,-0.00022969+0.00025674i,-9.1701e-05-5.6681e-05i
0.001975+0.00062316i,0.0014901-0.00039534i,0.00038621-0.0013996i,-0.00064903-0.00054744i,-0.00099465+0.00032525i,-0.0011686-4.8798e-05i,-0.00081856-0.001135i,-0.00076457-0.001562i,-0.00022882-0.0011466i,-9.5732e-05-0.00075339i,-0.00047414-0.00060647i,0.00027567-0.00021343i,0.00039534+0.00079757i,-0.00030965+0.00049319i,0.00018964-0.00034156i,0.00023203-0.00036855i,-0.00041764-0.00064454i,-0.00038013-0.00047236i,9.2012e-05-0.00038699i,0.00014584-0.00044634i,-0.00063278+0.00043419i,-0.0010605+0.00077604i,-0.00048317+0.00027438i
-0.001135+1.4888e-06i,-0.0021501-0.00081555i,-0.0017279-0.0010639i,-0.00041599-0.001178i,0.0004517-0.001584i,4.3224e-05-0.0010418i,-0.00055793+0.00036031i,-0.00064749+0.00048738i,-0.000675-5.9106e-05i,-0.00050655-6.1017e-05i,-0.00036677-0.00019972i,0.00044705-0.00017218i,0.0010482+6.9723e-05i,0.0007351-0.00023604i,0.00035707-0.0010886i,0.0001777-0.0012216i,0.00036657-0.00085623i,0.00054048+8.2206e-05i,0.00023285+0.00078593i,0.00038166+0.00039473i,0.00059602+0.00015378i,4.4857e-05+0.00041328i,0.00012284+9.4005e-05i
0.0004745-0.0027237i,-7.4023e-05-0.0019194i,-0.00097072-0.00028779i,-0.00099763+0.00091823i,-0.0010233+0.0012446i,-0.00077687+0.0018499i,9.1865e-06+0.0016345i,0.00044658+0.00055004i,0.00037539-3.7448e-05i,9.2196e-05-0.0002714i,0.00055014+0.00065766i,0.0011734+0.0017363i,0.00079713+0.0010905i,8.5635e-05+0.00013543i,0.0006257-0.00050787i,0.00073148-0.00084922i,0.00075577-0.0007145i,0.0010985-0.00072168i,0.00080044-0.0006208i,0.00067142+0.00012642i,0.00072541+0.00046327i,0.00011795+0.00047628i,0.00032215-3.9883e-05i
-0.0021939+9.3393e-05i,-0.0025078+0.00054913i,-0.0025896+0.0019104i,-0.0016281+0.0028681i,-0.00074456+0.002821i,0.00033248+0.0014994i,0.00025619+0.00032607i,-0.00069932-0.0002088i,-0.0013192-0.00097589i,-0.00076996-0.00066241i,0.00023292+0.00053696i,0.00033838+0.00036122i,0.0004489-0.0013557i,0.00036875-0.0017431i,-0.00091083-0.00041033i,-0.0012751-0.00018323i,-0.00041326-9.1253e-05i,-0.00081217+0.00017776i,-0.00083214+0.00061576i,0.00014522+0.00079696i,0.0002423+7.5908e-05i,0.00018098-0.00043135i,0.00059739-0.00056361i
-0.0019159-0.00063862i,-0.0016191-0.001028i,-0.0010602-0.0015808i,-0.00052513-0.0010298i,8.9862e-06-0.00066959i,0.00059031-0.00077632i,0.00052178-0.00032725i,0.00027611-0.00055115i,0.00037642-0.0010671i,0.00074254-0.0014495i,0.0010225-0.0011927i,0.00057599+0.00016231i,0.00017229+0.00069726i,-0.00014967-0.00021319i,0.00022653-0.00067248i,0.00060846-0.00066682i,7.8387e-05-0.00065959i,-0.00013865-0.0010264i,0.00031186-0.0013498i,0.00049735-0.000113i,-6.6177e-05+0.00059813i,-0.00046511-0.00010506i,-0.00051481-0.00023233i
0.00066252-0.001397i,0.00032837-0.0014757i,-9.6768e-05+0.00050019i,0.00011908+0.0013257i,0.00031256-0.0001281i,0.00024202-0.0008897i,0.00037476-0.00084216i,0.00082169-0.00053159i,0.00076484-6.9081e-05i,0.00016572+0.00049506i,7.0257e-05+0.00068191i,0.00032604+0.00051054i,0.00047074-0.00033192i,0.00012483-0.000851i,-0.00038139-0.00064624i,-0.00052878-0.00069322i,-0.00066541-0.00068055i,-0.00029819-0.0011515i,0.0008642-0.0011521i,0.0013191-0.00085697i,0.00067554+0.00018958i,6.9302e-05+0.00087195i,0.00049441+0.00048155i
-4.9358e-05+0.0016137i,-0.00021268+0.0011882i,9.9429e-05+0.00051033i,-0.00012931+0.00098098i,-0.0013014+0.0014984i,-0.0015583+0.0010576i,-0.00098603-3.6281e-05i,-0.00022882-0.0007117i,-0.00025214-0.00088799i,-0.00059168-0.00033037i,-0.00055308+0.00013783i,-0.00047797-3.607e-05i,0.00045263+0.00016415i,0.00074186+0.0011271i,-0.00019969+0.0011852i,-0.00043441+0.00058039i,-0.00043897+0.00047299i,-0.00021058+0.00015174i,-0.0003618+0.00042464i,-0.00039654+0.0006247i,0.00032592+0.00076761i,0.00055029+0.00037731i,0.00036021-0.00035674i
-0.00089816-0.0011247i,-0.0011125-0.0010808i,-0.0011759+0.00029067i,-0.00064277-0.0003985i,0.00036445-0.0019016i,0.0016255-0.0015488i,0.0011584+1.375e-05i,0.00019762+0.00060158i,9.5325e-05+0.00025074i,-7.4918e-05+0.00072231i,-0.00037458+0.00094549i,-0.00035284+0.0005222i,0.00035361+0.00074958i,0.00057626+0.00074523i,0.00035259+0.00015119i,5.4611e-06-0.00013406i,5.9291e-05+0.00027685i,0.00029517+0.00041045i,0.00037923+0.00016367i,0.00020897+3.0322e-05i,0.00031181-0.00050767i,0.00046553-0.00073854i,-0.00033471-0.00051923i
-0.00034243-0.0012704i,0.0002677-0.0006727i,-0.0002401-0.00021869i,-0.00066933+0.00029162i,-0.00042951+0.0015357i,-0.00078995+0.0010215i,-0.0013601-0.00015368i,-0.00070195-0.00050192i,-0.00056716-0.00017862i,-0.00099631+0.00051256i,-0.0006591+0.00082186i,-0.001183+0.00053003i,-0.00071447-0.00067954i,0.00012015-0.0014711i,-0.00024002-0.0010945i,-0.00061068-0.00032769i,-0.00056592-1.7004e-05i,-0.00034622-0.00027218i,-0.00029627-0.00028624i,-0.00026497+0.0002494i,0.00036448+0.00043033i,0.00038002-0.00071827i,4.627e-05-0.0013968i
-0.0002588+0.0011884i,-0.00087926+0.0017845i,-0.00041731+0.0022114i,0.00024518+0.0011265i,0.00074574+0.00088269i,-0.00014602+0.00070275i,-0.00054657+0.00064421i,0.00016234+0.00085787i,0.00076965+0.00076993i,0.00082124+0.00045056i,0.001326-4.597e-05i,0.001709-0.00045185i,0.0010173-5.8454e-05i,-0.00025453+0.00082429i,-0.0011907+0.00081634i,-0.0014453+0.00027698i,-0.0013528-0.00062879i,-0.0015225-0.0010421i,-0.0011417-0.00048438i,-8.5748e-05-6.2246e-05i,0.00033361+0.00016232i,0.00050101+0.00063234i,0.00035237+0.00044522i
-0.00066851-0.00052948i,-0.00048827-0.0013798i,-0.00060921-0.0015154i,-0.00023618-0.0008311i,3.3812e-05-0.0011972i,2.666e-06-0.0017739i,-0.00065057-0.0011341i,-0.00076966-0.00025255i,-0.00041166+0.0004965i,-0.0003007+0.00078308i,2.1028e-05+0.00066042i,-7.63e-05+0.00032005i,-0.00026906+0.00027591i,0.00036182+0.00051919i,0.00042145+0.00027518i,-3.3407e-05-0.00028845i,0.00043852-0.0001392i,0.00031178-0.00059395i,-0.00022875-0.00081756i,-0.0002208-0.00042759i,0.0002697-0.00045602i,0.0010163-7.4664e-05i,0.00076621+0.00067411i
