-0.00026694-0.0011661i,-0.00035608-0.0025235i,-0.00093177-0.002521i,-0.0014559-0.00092434i,-0.0013389+0.00071032i,-0.0019846+0.0023056i,-0.0020887+0.0024255i,-0.00075366+0.0017006i,0.0008085+0.0010658i,0.0012788+0.00036555i,0.00012631-0.00039529i,-0.00013389-0.0011924i,0.00079977-0.0010919i,0.00088703-0.00042145i,0.00075883-0.00022183i,0.00083114+0.00012273i,0.00038257+0.00045432i,0.0008959+0.00044485i,0.0012423+0.00014023i,0.00038711-0.00040868i,0.00011228-0.00072932i,-0.000647-0.00077926i,-0.00065503-0.00061015i
-0.001346+0.0011863i,-0.0012506+0.0025677i,-0.0010208+0.0032386i,-0.00068677+0.0027906i,0.00030657+0.0018089i,0.000263+0.0011635i,0.00033402+0.0014434i,0.00087593+0.0013501i,0.0012332+7.9878e-05i,0.0011126-0.00018426i,0.00072615-0.00011039i,0.00046933-0.00065417i,2.9333e-05-0.00074417i,8.6252e-05-0.0004477i,-0.00040853+0.00037346i,-0.00066913+0.0010424i,-0.00051106+0.00086602i,-0.00035306+0.00043177i,0.00013395+8.551e-06i,-3.0797e-05-8.0275e-05i,-0.00048959+0.00032323i,0.00030636+0.00098946i,0.00097966+0.0002474i
0.00050879-0.0008701i,0.0013662-0.001663i,0.0019968-0.00047942i,0.0016624+0.0014679i,0.0014817+0.0018174i,0.00062085+0.0010612i,-6.0597e-05+0.0010578i,-0.000167+0.00099084i,-0.00059256+0.00034125i,0.00042898-0.00048457i,0.00096748-3.1611e-05i,0.00043426+0.00025182i,0.00092312+0.00020206i,0.0017637+0.00011613i,0.0014527-0.0004171i,0.00027458-0.00027602i,-0.00011802+3.0116e-05i,-0.00031958-0.00048793i,-0.00018498-0.00089893i,0.00028073-8.9279e-05i,0.00046205+0.00018597i,0.00050608+0.00015085i,0.00014596+0.00015119i
-0.0016294+0.0015371i,-0.00098589+0.0028117i,-0.0014304+0.0028184i,-0.00085688+0.0016257i,0.00090638+0.0011862i,0.0010641+0.0015923i,0.00014216+0.00077506i,-0.00022535-0.00046614i,-5.7347e-05-0.0010509i,-0.00011409-0.0011651i,0.00010213-0.00070602i,0.0002527-0.00019506i,-0.00053603-5.7892e-05i,-0.00019313-0.00013392i,0.00025216-2.6203e-05i,2.6422e-06+0.00048807i,0.00038164+0.0010725i,0.00027713+0.00097272i,0.00015857+0.00038399i,0.00058004+0.00037554i,0.00013493-0.00027122i,-6.5755e-05-0.00082907i,-0.0002784+5.0286e-05i
0.0011459+0.0018261i,0.0010394+0.0021514i,0.00045848+0.0021031i,0.00045985+0.0020415i,0.00027976+0.0022972i,-0.00073079+0.001806i,-0.00086012+0.00095866i,-8.7874e-05+0.00067734i,-0.00010733+0.00030062i,-0.00018344-0.00030569i,0.00060688-0.0004259i,0.0010373-0.00037396i,0.00056631-0.00084481i,0.00033273-0.0002912i,-0.00022985+6.6899e-05i,-0.00035822-0.00032867i,5.6241e-05+5.3545e-05i,3.7742e-06+0.00046326i,-1.8155e-05-0.00035016i,-0.00022387-0.00039242i,-0.00040801+0.00018181i,-0.00020874-0.00019915i,0.00023556-0.00068408i
0.00052479+0.00053896i,3.3354e-05-0.0001951i,0.00061689-0.00087671i,0.00095924-0.00013693i,0.00069502+0.0013447i,2.0248e-05+0.0015622i,0.00040195+0.0002798i,0.0011375-0.00049178i,0.0010268-0.0004875i,0.00032574+0.00045805i,-0.00048175+0.00067847i,-0.00017249+0.000221i,0.00020684+9.9974e-05i,1.0901e-05+0.00043716i,-0.0002521+0.00054768i,-0.00010107-0.0001986i,-0.00012072-0.00045322i,-0.00011114-0.00024256i,0.00022939+0.00022966i,0.00040638+0.00070349i,0.00069127+0.00018691i,0.0007366+6.0643e-05i,0.00040887-8.8737e-05i
0.00040329-0.0017838i,0.00036923-0.0012381i,-0.00059871-0.00045773i,-0.00078137+2.4801e-05i,-0.00047149+0.00074424i,-0.00026579+0.00032349i,0.00018706-0.00055616i,-4.6909e-05-0.00029099i,-0.0001323-0.00011161i,0.00057951-0.00078792i,0.00080462-0.00082601i,0.00088503-0.00032817i,0.00021534-0.00010084i,-0.00027642+0.00019407i,-0.00022651+0.00018124i,-0.00069922+6.9538e-05i,-0.00097682-2.8007e-05i,-0.00090149-0.00039735i,-0.00039201-0.00049729i,-0.00026436-0.00088728i,-0.00017864-0.00051774i,0.00012977+0.00048593i,-0.00020107+0.00037946i
0.0028304-0.00012818i,0.0024334-0.00010782i,0.0001804+0.00047751i,-0.0014807+0.0012424i,-0.0019392+0.0014848i,-0.0012015+0.0019521i,0.00025622+0.0011133i,0.00060245-1.4359e-05i,0.00024791-0.00037246i,-0.00024279-0.00023392i,-0.0002847+0.00094603i,-5.9566e-05+0.001721i,0.00051026+0.0010176i,0.0005869+0.00081633i,-0.0007044+0.00092381i,-0.0010602+0.00011988i,-0.00052382+1.5461e-06i,-0.00063466+0.0003626i,1.9009e-05+0.00011454i,0.00042683-2.2822e-05i,5.6957e-05+0.0001539i,0.00052079-0.00022258i,0.0010936-0.00098968i
-0.0026286+0.001475i,-0.0029243+0.0016519i,-0.0015452+0.001336i,0.00022565+0.0014522i,0.00073358+0.0012627i,0.00040148+0.0014205i,0.00065864+0.0014578i,0.00055051+0.000676i,6.0497e-05+0.00051438i,0.00027514+0.00047019i,0.00049301-0.00055629i,0.00066241-0.0010922i,0.00052235-0.00047734i,0.0002314+0.00016457i,0.00019386+0.00024214i,0.00037272-0.00030126i,0.00042751-5.3592e-05i,-0.00043385+0.00015702i,-0.0010972+0.00012019i,-0.00050262-0.00013978i,-0.00042837-0.00017209i,-0.00051562+0.00038593i,-2.9411e-05+0.00061358i
0.0005456-0.0020144i,0.00040213-0.0025738i,-0.00010784-0.0025444i,-0.00096155+9.2621e-05i,-0.0010778+0.0024633i,0.00016465+0.0030076i,0.00076003+0.0013642i,0.00037774-0.00071894i,-0.00026788-0.0010486i,-0.00025094-0.00044428i,-0.00010551+1.9134e-05i,-0.00012598+0.0002911i,0.00015947+0.00046213i,0.00080807-6.0436e-05i,0.0014011+0.00026435i,0.00046628+0.0012896i,-2.5379e-05+0.00042831i,0.00045596-0.00089162i,0.00053556-0.0013164i,0.0004613-0.0010608i,-0.00028744-0.00035953i,-0.00053154-7.8737e-05i,0.00015905+0.00047354i
0.0024854-0.001692i,0.0038231-0.0026265i,0.00192-0.0026893i,-0.00041978-0.0010613i,-0.0011524+0.001411i,-0.00055782+0.001625i,-0.00013537+0.00059288i,-0.00033381+4.9297e-05i,-0.00061074+0.00023638i,-0.00088459+0.0010106i,-0.00040838+0.00072992i,-0.00012549+4.1729e-05i,5.0983e-05+0.00025947i,0.00041813+0.00035549i,0.00025742+0.00071324i,0.00039956+0.00087542i,0.0010027+0.00080215i,0.00025634+0.00037559i,-0.00032267-0.00039503i,-0.0002852-0.00026763i,-3.2616e-06-0.00033023i,0.00059404-0.00055546i,0.00037153-0.00039681i
0.00072931+0.0016777i,0.00095102+0.0036851i,0.0016221+0.0033591i,0.00032738+0.0020102i,-0.00063096+0.0017939i,0.00020952+0.00087631i,0.00055131+2.874e-05i,0.00050128-1.89e-05i,5.8861e-05-0.00014123i,-0.00051087-0.00018354i,-4.2127e-05+0.00037854i,0.00026271+0.00052047i,0.00043696+0.00049322i,0.00029203+0.00054741i,0.00016868+0.0005875i,0.00027137+0.00080844i,-6.4431e-05+0.001007i,-0.00020442+0.00032647i,-0.00021951+0.00033131i,0.00034929+0.00066156i,0.0011119+0.0002006i,0.00028738+7.1135e-05i,-0.0010617-0.00039202i
-0.0031794-9.9349e-05i,-0.0046329+0.00088971i,-0.0041425+0.0016188i,-0.0013379+0.0020517i,0.00030903+0.0027539i,0.00075325+0.0022241i,0.00077668+0.0010112i,-0.00012688+0.00037434i,-0.00052665-0.00018745i,-2.4704e-06-5.8589e-05i,0.00058541-0.00031712i,0.00066082-0.00087841i,0.00029915-0.0011928i,0.00059438-0.0013677i,0.000405-0.00051596i,-0.00072414-0.00016617i,-0.00077278-0.0002572i,-0.00041796-0.00045746i,-9.4279e-05-4.8461e-05i,-3.7768e-05+0.00064273i,-0.00053069+0.0007067i,-0.00054575+0.00061487i,-0.00057791+0.00027731i
0.00024676-0.002344i,-0.00099127-0.0030291i,-0.002106-0.0028215i,-0.0019185-0.00015115i,-0.0010836+0.0019579i,0.00024125+0.0023555i,0.0010468+0.0016572i,0.00092062+0.0010077i,-0.00058141+0.00069171i,-0.001414-0.00024081i,-0.00037481-0.0001986i,0.00095013+0.00091971i,0.0010579+0.0010949i,0.0003267+0.0013112i,0.00030395+0.0013747i,-0.00016215+0.00037412i,-0.00084506-0.00038539i,-0.00073805+0.00030861i,-0.00091724+0.00080313i,-0.00042632+0.00031606i,-0.00031189+9.2978e-05i,-0.00061605+0.000228i,-0.00051867+9.359e-05i
0.0028172+0.0010303i,0.002935-0.0011857i,0.0017217-0.0024866i,-0.00016949-0.0018303i,-0.001106+0.00017472i,-0.00099286+0.00094559i,-0.00031648-0.00020692i,0.00020796-0.00019721i,0.00058965-0.0002115i,6.3388e-05-0.00027634i,-0.00040659+0.00014275i,-0.0004049+0.00060226i,-0.00011511+0.0012898i,0.00026963+0.0014471i,-0.00010381+0.0010127i,-0.00072501+0.00045877i,-0.00076905+0.00030493i,-0.00070154-3.8914e-05i,-0.00024473+4.5934e-05i,-0.00047034+0.00048198i,-0.00051632+0.0013274i,0.00031199+0.0015478i,0.00069998+0.00036169i
-0.0022726+0.00036397i,-0.0038694+0.0011865i,-0.0028659+0.002426i,-0.0013453+0.0028835i,-0.00093084+0.0030031i,-0.00032004+0.0021614i,0.00045498+0.00075743i,0.00082143+0.00013687i,0.00053198-0.00044513i,9.9137e-05+1.4212e-05i,0.00012942+0.00010939i,0.0003146-0.00013354i,7.3167e-05-0.00029595i,-0.00042143-0.0006882i,-0.00017751-0.0010227i,0.00021367-0.0010867i,-0.00022015-0.00048701i,3.9599e-05-7.0006e-05i,0.00049692-0.00040261i,0.00021806-0.00065304i,0.00019029-0.00016751i,-0.00081715-5.4363e-06i,-0.0013706-0.00025727i
-0.0015349+0.00028722i,-0.0007791-0.00073555i,0.0007032+0.00024122i,0.0013125+0.00094487i,0.00076961+0.0014622i,3.8816e-05+0.0012895i,-0.0010606+0.00050428i,-0.0014405+0.00036317i,-0.00073203+0.00036862i,-1.4592e-05+0.00065282i,-0.00022235+0.0004943i,-0.00050441-0.00013509i,0.00018137-0.00060556i,0.00078052-0.00017868i,0.00026901+0.0002697i,-0.00062327+0.00029162i,-0.00021625-0.00053438i,0.00023505-0.00057619i,2.5989e-05+0.00081021i,0.00010698+0.0010859i,0.00017503+0.00021992i,9.7554e-05-0.00016663i,0.0001661+0.00039241i
0.00030398+0.0013999i,0.0012393+0.0012957i,0.00054812+0.00079593i,-0.00068+0.0015615i,-0.00028174+0.0034756i,0.0003793+0.003007i,0.00058805+0.00081657i,0.00034074-0.00049941i,-0.00015836-0.00023976i,0.00025472+0.00012938i,0.00031213+0.00086205i,0.00022542+0.0011764i,0.00027467+0.00060537i,7.8466e-05+1.2405e-05i,-0.00049307+0.00062851i,-0.00065736+0.00068028i,-0.00028575-0.00022698i,-0.00010741+0.00010928i,0.00025373+0.00051462i,-3.4474e-05+0.00054357i,-0.00022129+0.00067771i,0.00014212+0.00040937i,0.00062167-0.00017153i
-0.0013207+0.0035608i,-0.0019642+0.0023547i,-0.00072122+0.0011663i,6.7168e-05+0.00021784i,0.00058471-0.000408i,-8.0722e-05-0.00060522i,-0.0013229+0.00024605i,-0.0010025+0.0011405i,3.3215e-05+0.00044933i,0.00080327-0.00020441i,0.00072615-0.00028579i,-0.00018899-0.0003438i,-0.0010122-3.0493e-05i,-0.0012603+0.00027101i,-0.00081488+0.00012794i,1.5233e-05+0.00055012i,8.7275e-05+0.00094834i,2.6074e-05+0.00060875i,-0.00054197+0.00025558i,-0.00041931-0.00097499i,-0.00025435-0.0013053i,-0.00034059-5.767e-06i,-0.00031548+0.00056582i
-0.0020277-0.00072829i,-0.00099417-0.0003871i,-0.00057445+0.00037147i,-0.0004637+0.0017105i,-0.00030572+0.0026513i,-0.00088011+0.0016167i,0.0001361-0.00019325i,0.001024-0.00078267i,0.0001668-0.00058677i,-0.00015451-0.00042679i,-8.7628e-05-0.0004808i,0.00011096-0.0005686i,0.00033604-0.00057524i,0.00046093-4.4697e-05i,-8.2982e-05+0.00084604i,-0.00044805+0.00087719i,-0.00079367+0.00039925i,-0.00060277+0.00054428i,-3.8861e-05+0.00060506i,2.3412e-05+0.0001825i,5.181e-05+0.00038481i,0.00065776+0.00015574i,0.000768-1.8628e-05i
0.0021073-0.00045593i,0.0020509+0.00019717i,0.00058765+0.0014435i,-0.00065068+0.0016934i,-0.00071727+0.0013787i,-5.654e-05+0.001133i,-0.00035422+0.0009837i,-0.00039323+6.8989e-06i,-3.8583e-05-0.00042695i,0.0001237-0.00034825i,0.00016612-0.00096727i,0.00024501-0.00032662i,0.00021197+0.00015898i,0.00016925-0.00047517i,0.00036802-0.00048486i,0.00030218+0.00029362i,-0.00049012+0.00069869i,-0.00047561+7.2845e-05i,0.0009046-0.00010502i,0.0008448+0.0002268i,-0.00041356+0.00022205i,-0.00080402+3.5894e-05i,-0.00078083-0.00028834i
-0.0029492+0.00042501i,-0.0042834+0.00072213i,-0.003538+0.0017812i,-0.0016875+0.0025462i,0.00011248+0.0028257i,0.00037901+0.0023206i,0.00032488+0.00081512i,0.00071494-0.00054678i,1.153e-05-0.00034202i,-0.00057993+0.00064282i,-0.00052732+0.00035832i,-0.00030303-0.00024968i,6.1997e-05+0.00038583i,9.3468e-05+0.00075982i,-2.6176e-05+0.00090669i,-0.00046317+0.00056716i,-0.00050548-0.0007196i,-0.00011761-0.0010253i,-0.00023395-0.00041898i,-0.00064683-0.00012267i,-0.0003897+8.7656e-05i,9.7663e-05+5.3468e-05i,-0.00015451-0.00023734i
-0.0030498-0.0019558i,-0.0037074-0.0016319i,-0.0031945+3.3308e-05i,-0.0021441+0.001964i,-0.0012315+0.0025461i,0.00051463+0.0016502i,0.00093079+0.00090836i,-0.00018514+0.00041528i,-0.00018913-0.00036932i,0.00067273-0.00043094i,0.0013677-0.0002433i,0.0011369-0.00025181i,0.00088388-0.00022727i,0.00065362-0.00074572i,-0.00025801-0.0011451i,-0.00053718-0.0011476i,0.00017384-0.00040775i,0.00047556+0.00028092i,4.6508e-05+0.00047913i,-0.00015349+0.00075604i,5.1084e-05+0.00034388i,-0.00016723-2.7734e-05i,0.00027011-0.00017822i
0.0043877+0.00026352i,0.0049146-0.00050814i,0.0034805-0.0012832i,0.0014913-0.00093407i,0.00034634+0.00040796i,-0.00041099+0.0013142i,-0.0009547+0.001055i,-0.00065938+0.0002068i,-0.00054172-0.00023017i,-0.00053778-0.0012401i,0.00031571-0.0012999i,0.00075344-3.6279e-05i,1.8064e-05+0.00067262i,-0.00069894+0.00036998i,-0.00057813+0.0001515i,0.00016499-7.4948e-07i,0.00055931-0.00010187i,0.001084+0.00036111i,0.00087558+0.00054766i,-0.00040956+0.00010128i,-0.00065196-6.5877e-06i,1.9475e-05-0.00019746i,0.00031733-0.00025018i
-0.0021884+0.0015098i,-0.0023629+0.0024543i,-0.0018608+0.0019535i,-0.0016664+0.0015769i,-0.00083385+0.0022858i,-7.3534e-05+0.0019256i,0.00035953+0.00065543i,0.00019263+8.3145e-05i,-0.00012447-0.00024911i,0.0001565-0.00024545i,0.00031279+0.00015869i,-0.00013433-0.00022445i,-0.00024397-0.00080579i,-2.8274e-05-0.00076615i,-0.0001765-0.00093328i,-0.00039343-0.00076963i,-9.192e-05-0.0010085i,-0.00019063-0.0010017i,-0.00022965+6.935e-05i,0.00014384+0.00029434i,0.00066953-5.4226e-05i,0.00069035+0.00052109i,1.4524e-05+0.00061576i
-0.0022237-0.00073822i,-0.0025861+0.00078373i,-0.0021377+0.0024347i,-0.00076862+0.0029263i,0.00055871+0.002834i,0.0014671+0.0019524i,0.0010007+0.00031376i,0.00013253-0.00093088i,0.00044905-0.00044315i,-4.2203e-05-9.6888e-05i,-0.00033057-0.0001735i,0.00086295-9.1257e-06i,0.00097106-1.7741e-05i,-0.00014726+7.2908e-06i,-0.00019459+0.00030666i,0.00020949+0.00041543i,0.0006013+0.00064866i,0.00085302+0.00041254i,0.00047173+0.00018459i,-0.00020047-0.0004614i,-0.00061033-0.0012562i,0.00018358-0.0010762i,0.00076531-0.00055445i
0.0019342-0.00020489i,0.0016763-0.0018411i,0.0012723-0.001387i,0.0012794+0.001078i,0.0015663+0.0016247i,0.00090772+0.00067799i,-9.7859e-05-0.00054287i,0.00030505-0.0011873i,0.00059887-0.00035801i,-0.00013404+0.000237i,0.00014019-3.7402e-05i,0.00080402-0.00065962i,0.00049196-0.00076395i,-0.00093593+5.0217e-05i,-0.0010464+0.00044949i,-0.00031951+0.00035491i,-0.00021599-0.00023712i,-1.961e-05-0.00060494i,4.1186e-05-0.00092787i,1.7567e-05-0.00094648i,0.00016664-0.00042493i,-6.837e-05-0.00044035i,-0.00041759-0.00064518i
0.00017156+0.00049361i,2.3777e-05-0.0010485i,-8.4591e-05-0.0019495i,-0.0007318-0.0011817i,-0.0010922+0.00059065i,-0.0016314+0.0023491i,-0.0014237+0.0023945i,4.2679e-05+0.0012223i,0.00039683-0.0001895i,-0.00047797-0.00039239i,-0.00030656+0.00031308i,0.00013946-0.00031974i,0.00036045-0.00075627i,0.0011871+9.4458e-05i,0.0009581+8.6964e-05i,-0.00012849+0.00024204i,-0.00032178+0.00082835i,0.0001456+0.00081625i,0.00031894+0.00034428i,0.0006291+0.00012364i,0.00057336+0.0011527i,-0.00011721+0.00095711i,-0.00025596-0.00018312i
0.00026129+0.0010527i,0.00056825+0.0020022i,-0.00030267+0.0027747i,-0.00051527+0.0028343i,-0.00010103+0.0024386i,-9.2714e-05+0.0020453i,0.0003867+0.0013623i,0.0011243+0.0005846i,0.0013264+0.00025027i,0.00089213+0.00028064i,0.00094749-0.00017529i,0.00097857+0.00035125i,0.00051805+0.00050678i,0.00060301-0.00036812i,0.00011819-0.00051145i,-0.00034922+0.00047622i,-0.0005512+0.00091077i,-0.00050285-3.643e-06i,7.6618e-05-0.00083094i,0.00065381-0.00045886i,0.00095084+0.00047598i,0.00090569+0.0003265i,0.00071903+0.00022597i
-0.0020961+6.5859e-05i,-0.0023761+7.4263e-06i,-0.0019008+0.0012815i,0.00019761+0.0032874i,0.0015971+0.003093i,0.0009784+0.0010198i,0.0002718+0.0002883i,-0.00010114+0.00088872i,0.00025245+0.00037433i,0.00014137-0.00021972i,-0.00075788+0.00061088i,-0.0005604+0.00072103i,0.00016125-2.9503e-05i,0.00016763-0.00015348i,0.00011501+0.0001237i,-2.2985e-05+0.00019294i,-0.00034637+0.00030738i,-0.00055092+6.9906e-05i,-0.00010126-0.00064312i,6.2801e-05+7.1026e-06i,-0.00018228+0.00079031i,-0.00026106+0.00081953i,0.00011137+0.00042173i
-0.0022648+0.0010611i,-0.0033746+0.0006974i,-0.0025776-0.000166i,-0.0014584-0.00040574i,-0.00094869+0.00010439i,-0.00044397+0.00015886i,0.0002016+0.00045167i,5.6708e-05+0.00056661i,0.00061256-9.7316e-05i,0.0010313-0.00017624i,0.0010252-0.000438i,0.00022089-0.00083979i,-0.0011805-0.00030245i,-0.001179+0.00044873i,-0.00035068+0.00070776i,0.00016559+0.00021945i,0.00033863-0.00064621i,0.00027311-0.0008143i,0.00024037-0.00029263i,0.00025397+0.00048849i,0.000237+0.00084704i,8.6634e-05+0.00018543i,-0.0002784-0.00066854i
0.00038481-0.0030761i,0.00031203-0.0023259i,-0.0013306-0.00056036i,-0.0026811+0.001598i,-0.0015433+0.0029494i,0.00076123+0.0029011i,0.0012742+0.0020786i,0.0003913+0.00075419i,-2.6704e-05+0.00033318i,0.00030697+0.0009749i,0.00042232+0.00095841i,0.0005062+0.00042704i,0.00060369+0.00029854i,0.00056714+0.00050855i,0.0007141+0.00035811i,0.00064773+0.00048209i,0.00085825+0.00096337i,0.00055422+0.00081375i,-0.00024879+0.00056529i,-6.9602e-05-0.00016564i,-0.00012692-0.00062802i,-0.00019921-0.00089769i,0.0003383-0.0010388i
0.00017585+0.0012902i,0.00092385+7.0733e-05i,0.00098993-0.00097355i,0.00028228+0.00069471i,-0.00053834+0.00218i,-0.000211+0.0011198i,0.00052492+0.00046697i,-0.00019901+0.00033141i,-0.00039195-0.00017088i,0.00020154+2.4805e-05i,0.00076471-4.2578e-05i,0.0010961-0.00046383i,0.00044882-0.00033552i,-0.00032805+0.00043303i,-0.00040662+0.0010997i,0.00034644+0.00082855i,0.00070938+0.0003764i,0.00017401-0.00031224i,0.00035601-0.00013735i,0.00060442+0.0005395i,0.00034612+0.00082978i,-0.00013701+0.00031806i,-0.00029168-0.00018744i
-0.0018753-0.00278i,-0.0025629-0.0016104i,-0.0030538+0.00094842i,-0.0020896+0.0032391i,-0.0012432+0.0033772i,-0.00065687+0.0018795i,-0.0003705+0.00095435i,0.00030279-0.00014906i,0.00058744-0.00099834i,0.00041713-5.2172e-05i,-6.4116e-05+0.00050493i,-6.5744e-05+0.00087054i,0.00063119+0.00096808i,0.00081947+4.3044e-05i,0.00060137-0.00049504i,-0.00014162+9.8214e-05i,-0.00028413+0.00067641i,-0.00012874+0.00088382i,-3.8247e-05+0.00069458i,2.7325e-05+0.00036262i,-0.0011207-7.5078e-05i,-0.0013596-4.6139e-05i,-7.6776e-05+0.00019491i
-0.0094584-0.001844i,-0.012865-0.0018356i,-0.013992+0.00684i,-0.0065102+0.012184i,0.0015574+0.01136i,0.0052969+0.005394i,0.0031909+0.00035279i,0.0004358-0.0001198i,-0.00047784+0.0011593i,0.00040117+0.0023642i,0.0018806+0.0018968i,0.002088+0.00060373i,0.0016158-0.00058321i,0.0015196-0.002009i,0.0020724-0.002186i,0.0014502-0.00078449i,0.00022056+0.00073163i,-0.00032902+0.0013079i,-0.00084371+0.00067069i,-0.00032711-0.00016905i,-2.1831e-05-2.863e-05i,-0.0005042+0.00023546i,-0.00025187-0.00030026i
0.00081593+0.0014301i,0.0016659+0.0021048i,0.0022991+0.00032595i,0.0012462+0.00045686i,-0.00037314+0.0012201i,-0.00055112+0.0023308i,0.00048629+0.0028147i,0.00083529+0.0014199i,0.0011295+0.00041753i,0.0013928+0.00016401i,0.00079164+3.1342e-05i,0.00038578-0.00073477i,0.00029049-0.00089127i,-9.2259e-05+0.00021814i,-0.00036594+0.00060767i,-0.00013921-0.00068346i,1.4254e-05-0.0011874i,0.00014037-0.00079884i,0.00013669-0.00063027i,-0.00021673-0.00052268i,0.00017529-0.00095128i,0.00085617-0.00068894i,0.00054977-0.00050456i
-0.0013599-0.00075079i,-0.00077252-0.0022335i,-0.00031941-0.0024301i,-0.00069193-0.00038427i,-0.00098515+0.0016008i,-0.00040292+0.0020061i,0.00010716+0.0011551i,-0.00044117+0.00011943i,-0.00068382-0.00074451i,-1.0851e-05-0.00063894i,-0.00018707+0.00015747i,-0.00030792+0.0005329i,9.9135e-05+0.0012683i,-0.00027244+0.0011237i,-0.00083249+0.00028696i,-0.00067645+0.00025546i,-0.0007023+0.00027948i,-0.00039131+0.00044425i,0.00041644+0.00079844i,0.00033553+0.00069158i,-0.00021458+0.00066313i,2.9659e-05+0.00068785i,0.00035216+2.4211e-05i
0.00019429-0.0020385i,-0.00069713-0.0011262i,-0.0027401-5.4818e-05i,-0.0023376+0.0016401i,-0.0018178+0.0028303i,-0.00078563+0.0035538i,-0.00023498+0.0031691i,-0.000151+0.0011033i,5.9985e-05-0.00046437i,-0.00044388-0.00092669i,-0.00057161-9.8318e-05i,8.2567e-05+0.00022249i,0.00069747-0.00054658i,0.00083488-0.0003509i,0.0012343+0.000244i,0.0014006+0.00049436i,0.00031645+0.00051702i,-0.00039266+0.00080821i,-2.6312e-05+0.0010973i,-5.32e-06+0.00099291i,-9.8648e-05+0.00053242i,-9.5855e-05-0.00018823i,2.1521e-05+0.0001452i
0.0011485+1.4704e-05i,0.0020142+6.899e-05i,0.0015185-7.8192e-05i,0.00023141+0.00076076i,2.8142e-05+0.0020067i,0.00024037+0.0026039i,0.00043705+0.0021136i,0.00027807+0.00094052i,5.0389e-05-0.00013692i,0.00012488-0.00019857i,0.00069281-0.00035039i,0.00044052-0.00065394i,-0.00067303-0.00021188i,-0.00074544-0.00026707i,-0.00020853-0.00037759i,-0.00034154+0.00028203i,-0.00099906+0.00095044i,-0.00069184+0.00071967i,-0.00060816-0.00012517i,-0.00036178-0.00056016i,-0.00014461-3.769e-05i,0.00013483+0.00046323i,0.00058289-0.00022463i
0.0017786-0.0012304i,0.0017256-0.0012359i,0.0017726-0.00055628i,0.0006178-4.1341e-05i,-0.00040424+0.00091561i,-0.00063096+0.0016892i,-0.00071273+0.0013585i,-0.00034712+0.0012437i,-0.00038796+0.00040479i,-0.00063708-0.0006364i,-0.00021071-0.00050616i,-0.00056832+0.00016364i,-0.000757-0.00016956i,-0.00021536+0.00011689i,-0.00022771+0.00083519i,-0.0010213+0.00013802i,-0.00076237-0.00040855i,0.00027621-0.0001736i,-1.4134e-05+0.00034477i,-0.00043663+0.00039872i,-0.00039768-0.00010678i,-0.00078016-0.00036956i,-0.00088607-0.00072637i
-0.00039133+0.0023383i,-0.0010005+0.0029832i,-0.0014061+0.0027081i,-0.0013925+0.0021259i,-0.00098975+0.0018872i,-3.7974e-06+0.0014876i,0.00031926+0.0016056i,0.00021816+0.0014802i,2.0804e-05-5.8614e-05i,-0.00029001-0.00056828i,-0.00028228+0.0004954i,-0.00085967+0.00047095i,-0.0012787+3.2129e-05i,-0.00077317+0.00071948i,-0.00039942+0.0011003i,-0.00027207+0.00091785i,0.00053995+0.00032802i,0.0010987-0.00074664i,0.00011337-0.0012799i,-0.00010935-0.00080833i,0.00056767-0.0002706i,0.00086959-0.00017747i,0.0011053+0.00017347i
-0.0011801-0.0018512i,-0.0016487-0.00085144i,-0.0017602+0.0007937i,-0.0012683+0.0018523i,0.00023191+0.0024247i,0.0019252+0.0025439i,0.0028382+0.00076501i,0.0023438+0.00025149i,0.00050483+0.00025074i,-0.00032107+0.00026058i,0.0002105+0.00046059i,0.00039494+6.2015e-05i,0.00062304-0.00029993i,0.00064151-0.00029096i,0.00076512+6.2679e-06i,0.00070381+0.00012905i,0.00048799-0.00053803i,-1.3228e-05-0.00020366i,-0.00077435+0.00012985i,-0.00074348-0.00051244i,-0.00041902-0.00086659i,-0.00061474-0.00080682i,-0.00054174-0.00075677i
-0.0021161-0.0013607i,-0.0011925-0.002131i,-8.6315e-05-0.0015287i,0.00036265+0.0012073i,0.0009301+0.002403i,0.0008393+0.0016779i,0.00022158+0.001092i,-0.00065191+0.00045739i,-0.0010142-6.7294e-05i,0.00017048+0.00037631i,0.0013385+0.0012463i,0.0011438+0.0010625i,0.0013462+0.00012564i,0.0012687+0.00035281i,3.3446e-05+0.00037048i,-0.00076678+0.00019683i,-3.5961e-05-0.00054264i,0.00060322-0.0010171i,-0.00015438-0.00020744i,-0.00050536+1.8531e-05i,0.0005219+0.00014379i,0.0013183+0.00086213i,0.00066979+0.00067594i
0.001991-0.0014944i,-0.00018876-5.861e-05i,-0.0011732+0.00029527i,-0.0010884+0.00051917i,-0.0012158+0.00070534i,-0.001998+0.00074133i,-0.0018421-0.00034568i,6.7759e-05-0.00079529i,0.00062822-0.00018341i,-0.00044155-0.00024753i,-0.00094249-0.00039123i,-0.0011735-0.00012829i,-0.0016195+0.00082896i,-0.0016013+0.0016225i,-0.00051993+0.0010002i,0.00033623-2.5396e-06i,0.00069664-0.00053103i,0.00035216-0.00026059i,-0.00039683-2.3567e-05i,-0.00028465-0.00042097i,0.00030342-0.00043328i,0.00055601+6.5877e-05i,0.00024191-0.00019632i
