-0.0091061-0.00030831i,-0.0087399+0.00040487i,-0.007846+0.003519i,-0.0043326+0.0044713i,0.00036293+0.0031251i,0.0017434+0.00071105i,0.00081766+2.8005e-05i,0.0011315+0.0011434i,0.0014983+0.0014054i,0.0021742+0.0008711i,0.0023379+0.00061881i,0.0018548-7.3044e-05i,0.001048-0.00075322i,0.00065773-0.00080644i,0.00025132-0.00071752i,-0.00046493-0.00060591i,-0.0001436+0.00016586i,0.00044826+0.00084038i,-4.9839e-05+0.0014523i,-0.0004995+0.0010728i,-0.00044758-0.00019481i,-0.00041261-0.00028903i,0.00020304+0.0007396i
0.00019437-0.00024687i,-0.00030934+0.00021025i,-0.00035801-0.00014669i,-1.7473e-05-0.00061931i,0.00017576-0.0020878i,0.00040714-0.0017762i,0.0012121-0.00019979i,0.0010776+0.00028914i,0.0006398+0.00013544i,-0.00022611-0.00014797i,-0.0010086+0.00016814i,-0.00019206+0.0009027i,-6.7575e-05+0.00049557i,-0.00058017-2.1453e-05i,-0.00048475+0.00017219i,-4.7546e-05+0.00047711i,0.00072927+0.00013955i,0.00084806+1.6328e-05i,0.00012698+0.0001036i,-0.0001397+0.00018141i,-0.00029009+0.00010992i,-2.9497e-05-0.00010418i,0.00082978+0.00014467i
0.0018092+0.0015571i,0.0013201+0.0024859i,0.001078+0.0015329i,0.0016111-0.00053324i,0.0012412-0.0010388i,0.00057691-0.00060992i,-8.2556e-05-0.0009034i,0.00049369-0.00057367i,0.00078387+0.00021287i,0.00030474+0.00011905i,3.3588e-05+0.00020882i,-0.00087908+0.00026818i,-0.0015655-5.8507e-05i,-0.0011944-0.00017422i,-0.00091113-0.00014087i,-0.00030605-9.7564e-05i,-0.00030794+0.00023501i,-0.00065246+0.00020087i,-0.00020583-0.00057734i,0.00040815-5.1208e-05i,-0.00010064+0.00044526i,-0.00095372-0.00016531i,-0.0012865-0.00030822i
-0.0031142+0.0012359i,-0.0025812+0.0013639i,0.00012183+0.0011941i,0.0012653-0.00034375i,0.0013528-0.0015154i,0.0014005-0.00097459i,0.0010844-9.4153e-05i,0.0013405+0.00015573i,0.0008105+0.00010617i,7.0549e-05-0.00033978i,0.00021657-3.0802e-05i,0.00045355+0.00099231i,0.00018285+0.0007885i,-0.00041611-0.00052208i,-0.00087099-0.00075395i,-0.00093706-0.0001746i,-0.00067418-0.00015143i,-0.00045126+0.00010305i,-0.00023199+0.00011265i,-9.3284e-05-8.6316e-05i,0.00016271+0.00027571i,0.00070536+0.00015846i,0.00090069-0.00033613i
-0.00066701+0.0008986i,-0.00073378+0.00047015i,-0.00049451-0.0011871i,-0.00055156-0.0016405i,-0.00054658-0.0014122i,-0.0011571-0.00054457i,-0.001053+0.00040174i,-0.00060168+0.00032442i,-5.6841e-05-0.00037051i,-0.00058647-0.00052854i,-0.00083847-1.7753e-06i,8.9991e-05+0.00039381i,0.00067066+0.00030104i,0.00041585+0.00040346i,-6.827e-05+0.00024375i,0.00014932-0.00015574i,-0.00065586+2.0556e-05i,-0.0013828-0.00051302i,-0.00047987-0.00037215i,0.00039637+0.00011676i,0.00034129+0.00020662i,-2.4822e-05+0.00019235i,-0.00035788+0.00032995i
0.0030806-0.0018427i,0.0016687-0.0019065i,0.00083884-0.0018521i,0.00076749-0.0022116i,0.00040503-0.0028486i,-0.001287-0.0023115i,-0.0015343-0.00054909i,-0.00012171+6.3252e-05i,0.00015468+0.00011501i,2.6933e-05+0.00024325i,0.00024601+3.7344e-05i,-0.00034359-0.00011882i,-0.00025637+0.00020799i,0.00073532+0.00025294i,0.0007449-0.00052949i,0.0003272-0.0011315i,0.00010377-0.0010347i,-0.0003176-0.00083142i,-0.00051633-0.00023165i,0.00022457-0.00015477i,0.0003705-0.00015582i,0.00011725+0.00057346i,-3.2679e-05+0.0011822i
0.00028253+0.001009i,0.0015417+0.0010752i,0.0024335+0.0011613i,0.0020176-0.00044682i,0.0019494-0.0014796i,0.001387-0.0010218i,0.0005643+0.00033312i,7.4013e-05+0.00033015i,0.00032001-0.0001136i,0.00099791+0.00045997i,0.0012503+0.00097847i,0.0009117+0.00071409i,0.00072534-0.00064476i,-5.2615e-05-0.000908i,-0.00073704-0.00027732i,-0.00024954-0.00049572i,3.111e-05-0.00041807i,9.5002e-05+0.00070796i,-0.00031692+0.00088739i,-0.00068586+6.6071e-05i,-0.00021807-0.00046986i,-0.00010652-0.00027764i,-0.00018032+3.6871e-05i
0.00024305-0.0016107i,0.00035605-0.001064i,0.0012635-0.00011073i,0.0013552-0.001668i,0.0007939-0.0029823i,-0.00014851-0.0014177i,-0.00069414+0.00051087i,-8.1306e-05+0.0003961i,0.00036858+0.00079496i,0.00016294+0.0012142i,0.0001225+0.00026127i,-0.00029948+8.1559e-05i,0.0001181+0.000767i,0.00015735+0.0010346i,-0.00021847+0.00029895i,0.00099854-0.00072603i,0.0011825-0.00059647i,0.0002801-0.00044849i,-9.9642e-05-0.00018821i,0.00054067+0.00052572i,0.00021798+0.00030705i,-0.00072446-0.00091788i,-0.00071613-0.00099914i
0.0025627-0.00076756i,0.002861-0.0012157i,0.000921-0.0019958i,-0.00048703-0.0015975i,-0.00015647-0.00089107i,5.0749e-05-0.00070363i,-0.00015049-0.0002326i,0.00021967+0.00017177i,0.00063895+2.5759e-05i,0.0004172-0.0002952i,0.00025107-0.00010711i,0.00023965+0.00043212i,0.00051177+0.00084095i,0.00044341+0.00086172i,0.00010096+0.00039097i,0.00021833-3.6198e-06i,0.00052818-0.00042306i,0.00071047-0.00072424i,0.00030424-0.00042281i,-0.00095594+4.461e-05i,-0.0014622+0.00040306i,-0.00084195+0.00035364i,-0.00030583+0.0003038i
5.3301e-05+0.00038166i,-0.00014646+0.0014406i,-6.471e-05+0.00075881i,-0.00014976-0.00091926i,-0.00061782-0.0028083i,-0.00094776-0.0031542i,-0.00074594-0.0013605i,-0.00029622+0.00044053i,-0.00060461+0.00088221i,-0.0011741+0.00056979i,-0.0012349+0.00025318i,-0.0012237+0.00011927i,-0.0013859+0.00065553i,-0.00087221+0.00076352i,-0.00065684+0.00068748i,-0.00097522+0.00041675i,-0.00073367+5.7856e-05i,-0.00036099+2.5594e-05i,0.00017037+0.00054359i,-0.00018867+0.00017067i,-0.00085057-0.00044292i,-0.00038757-0.00039188i,0.00041036+0.00043244i
0.0007327+0.0014608i,0.000567+0.00064255i,0.00078603+0.00079822i,-9.4676e-05+0.00030943i,-0.00051269-0.00034978i,-0.0010132-0.00084781i,-0.00057227-0.00031017i,2.7375e-05+0.0010037i,0.00024226+0.0011106i,0.00014876+0.00081793i,0.00023374-8.0114e-05i,0.000646-0.00082981i,0.00076249-0.00050922i,0.0006566+6.8956e-05i,0.00023517-0.00029771i,-0.00024322-0.00054777i,2.7308e-05+0.00019177i,0.00016986+0.0009414i,-0.00015208+0.0010768i,-0.000581+0.00084612i,-0.00089011+0.00080066i,-0.0012493-0.00035971i,-0.00046489-0.00096746i
-0.00064982+0.00036089i,-0.00018126-0.00013289i,0.00018146-0.00045794i,0.0010618-0.00094076i,0.0022856-0.0012504i,0.0015491-0.00079035i,0.00059481-2.2973e-05i,0.00022339+0.0004469i,-0.00030171+0.00039744i,2.567e-05-0.0003696i,0.00035661-0.00037901i,0.00056043-8.4926e-05i,0.0008196+0.00011248i,0.00059068-0.00031949i,0.0010736-0.00074488i,0.0016501-0.00055713i,0.00096185-0.00038253i,-0.00033396+9.394e-05i,-0.0006136+0.0013035i,-0.00039774+0.0010763i,-0.00035592-1.9963e-05i,0.00037939-0.00053098i,0.00088225-0.000345i
0.00038728-0.0025725i,-0.00095859-0.0020721i,-0.0021945-0.0012906i,-0.0030349-0.00058257i,-0.0025643-2.3599e-05i,-0.0010934+0.00034526i,-0.00061202-1.7296e-06i,4.2849e-05-0.00042372i,0.00080322-0.0002114i,0.00078605+0.00032693i,-4.7138e-05+0.00095924i,-0.0005424+0.0010175i,-0.00047994+0.00066221i,-0.00019877+0.00054336i,4.0504e-07+2.1945e-05i,-0.00041716-0.00093791i,-0.00045434-0.00025751i,-0.00067469+0.00068894i,-0.00047306+0.00074242i,0.00083036-9.5524e-05i,0.0013558-0.000808i,0.0004261-2.5375e-05i,-0.00087064+0.00051926i
-0.00058231+0.001744i,4.3898e-05+0.0018628i,0.0016486+0.0021196i,0.0025844+0.0010864i,0.0017092-0.00062432i,0.00034159-0.00099919i,-0.0003517-0.0008853i,-0.00043485-0.00077771i,0.00013389-0.00040245i,0.00027868-0.00098047i,-0.00095777-0.0011541i,-0.0012159-0.0003955i,-0.00063269-1.4299e-05i,-0.00045986-1.4471e-05i,-0.00052903-0.00070115i,-0.0001435-0.00096359i,0.00032132+0.00010712i,0.00044227+0.00044355i,0.00043605-0.00047879i,0.00040929-0.00045671i,0.00020324+0.000326i,-0.00013508+0.00073274i,0.00019744+0.00075495i
0.0017716-0.0011746i,0.001986-0.0014568i,0.001374-0.0018311i,0.00024367-0.0022475i,-7.7637e-05-0.0020586i,-0.00037067-0.0010311i,-0.00086179+0.00056103i,-0.00056741+0.0013405i,-0.0010855+0.00095995i,-0.0017309+0.00073075i,-0.0012363+0.00068287i,-0.00076067+0.00098916i,-0.00056654+0.0011283i,-0.00045027+0.00055768i,-0.0003933+0.00040126i,-0.0004152+0.00017224i,0.00058192-0.00022642i,0.00061775+7.5551e-05i,-0.00047551-0.00016107i,-0.0012487-0.00092212i,-0.0010462-0.00062516i,-6.3401e-05-0.00015308i,0.00015813-0.00012837i
0.00060659+0.00056887i,0.00071903-0.00021648i,0.00067876-0.001069i,0.0011383-0.0018816i,0.0013807-0.003584i,0.00062915-0.0030713i,7.0175e-05-0.00058024i,6.2778e-05+8.1758e-05i,-0.00042439+0.00037358i,-0.0009949+0.00051832i,-0.00042295-0.00021619i,-0.00032409+5.7429e-05i,-0.00050939+0.0004351i,0.00012906+0.00036329i,-0.00015047-0.0003812i,-0.00079673-0.00060197i,-0.00023022-0.00054539i,2.0153e-05-0.00085744i,-0.00064333-0.0002315i,-3.6027e-05+0.00024597i,0.00069042+0.00025846i,0.00039411-0.00014311i,9.6968e-05-5.2837e-05i
0.0015019+0.0020161i,0.0016931+0.0020564i,0.0014573+0.0011446i,0.001766-0.00039711i,0.0016566-0.0015811i,0.0010584-0.0018339i,0.00065385-0.00063401i,-0.00012649+0.00066676i,-0.00043291+0.00095823i,0.00013224-1.3722e-05i,0.00057391-0.00090153i,0.00031651-0.00041221i,1.7247e-05+0.00053613i,-0.00028985-2.8757e-05i,-0.00036526-0.00052277i,0.00039208-0.0006565i,0.0008052-0.00061282i,6.9276e-05+0.00011385i,-0.00033731+0.0004372i,0.00052114-3.1467e-05i,0.0011775+0.0001464i,0.00077605+0.00056064i,3.0043e-05+0.00036743i
-0.00064196+0.0016662i,0.00019868+0.0014826i,0.0013927+0.0015087i,0.0014411-0.00015019i,0.00067322-0.0015997i,-0.0004559-0.0012448i,-7.4941e-05-0.00088437i,0.00089273-0.00049107i,0.0013428-9.6442e-05i,0.0012235-4.5938e-05i,0.00049749-8.6392e-05i,-0.00018222-0.00025719i,-0.00054978-0.00022056i,-0.00021276-7.0685e-05i,-0.00031863-0.0001165i,-0.00010884-0.00035264i,0.0001383-0.00095394i,-3.9111e-05-0.0010608i,0.00069257-0.00053201i,0.00065957-0.00055426i,-0.0002734-0.00031011i,-5.6652e-05+0.00018985i,0.00034451+9.8883e-05i
-0.00053117+0.00083799i,-0.00073781+0.0013317i,-0.00057264+0.00013218i,-0.00059889-0.0014931i,-0.00095892-0.0020826i,-0.0013604-0.0020042i,-0.0011418-0.0013772i,-0.00085548-0.00040633i,-0.00028073-0.00038153i,0.00022698-0.00032919i,0.00025461+0.00023314i,0.00014166-0.00028004i,0.00014918-0.00010335i,-0.00011003+0.00099188i,-0.00056552+0.00083797i,-0.0006005-3.3491e-05i,-0.00074771-0.00049263i,-0.00088034-0.00016097i,-0.00072878-0.00027788i,1.271e-05-0.00018813i,0.00061602+0.0005097i,1.5166e-06+0.00049277i,-0.00066869+0.00020088i
-0.00085186-0.0013979i,-0.0013228-0.0013502i,-0.00069524-0.0015592i,-0.00044064-0.0020129i,-0.0005763-0.0019641i,0.00012318-0.0011382i,3.638e-05-0.0004941i,-0.00051431+0.00027713i,-0.0014134+0.00019441i,-0.0016596-0.00042831i,-0.00055371+0.00030186i,-0.00037197+0.00073446i,-0.00069418+0.00034788i,-0.00072897-0.00035792i,-0.00037126-0.00045138i,5.1975e-05+0.00012466i,0.00036225+0.00017751i,0.00051619-0.00034977i,0.0003135-0.00019084i,-0.00030383-0.00027278i,-0.00050666-0.00057739i,0.0001069-0.00045565i,0.00038653-0.00097901i
0.0015097+0.0011393i,0.0017896+0.0010011i,0.0018581+0.00052535i,0.0011144-0.00012795i,7.546e-05-0.0013866i,-0.00054277-0.0015265i,-0.00018557-0.00037461i,-0.00026757-0.00072629i,-0.0006593-0.0015186i,-0.00022988-0.0012445i,0.00049594-0.0001123i,0.00088513+0.00060312i,8.5256e-05+0.00064012i,-0.00090018+0.0010693i,-0.001042+0.0004417i,-0.0003602-0.00037567i,-0.00027914-6.1152e-05i,-0.00032302+0.00034676i,0.00027211-0.00019757i,2.6243e-05-0.00090192i,-0.00031957-0.00047897i,-0.00070277-1.6341e-05i,-0.00051778+0.00066278i
-0.0025059+0.0028795i,-0.0014543+0.0032765i,-0.0001407+0.0031236i,0.00023363+0.0015337i,0.00091866-0.0011403i,0.00091-0.0021385i,8.7306e-05-0.0012858i,6.7065e-05+0.00051167i,0.0002722+0.0010133i,-0.00010746+0.00069864i,-0.00048751+0.00033746i,0.00042431-0.00010991i,0.00068518-0.00030683i,-0.000205-0.00062425i,8.3646e-05-0.00022467i,4.0074e-05+0.00051054i,-0.00078357+0.000538i,-0.0011527+4.7991e-05i,-0.0011437-3.1917e-05i,-0.00061358+0.00029628i,3.1814e-05-0.00037058i,7.3656e-05-0.00053672i,-0.00065785+0.00069036i
-0.0001666-0.00069641i,-0.00087683-0.00095559i,-0.00068366-0.00061132i,0.00052386-0.0011616i,0.00053789-0.0023475i,-0.00092589-0.0014296i,-0.0012729+9.8743e-05i,3.7401e-06+0.00028587i,0.0007215+0.00091032i,0.0001879+0.0014058i,-0.0002814+0.00098757i,-0.00010581+0.00012343i,-0.00071712-0.00060953i,-0.0011641-0.00049444i,-0.00029229-0.00014298i,-0.00035287-0.00022131i,-0.00095155-0.00040992i,-0.00036854-0.00080274i,-0.00012267+6.1e-05i,-0.00012678+0.0012103i,0.00018711+0.0010083i,0.00017729-9.8612e-05i,0.00015736+1.7464e-05i
0.0020798-0.00029625i,0.0019707-3.5298e-05i,0.0016528-0.00047904i,0.0019587-0.00093895i,0.0016814-0.0015716i,0.00093949-0.0016051i,0.00046617-0.00076252i,0.00071177+0.00021317i,0.00040984+0.00036179i,2.5201e-06+8.3332e-05i,0.00017444-0.0001141i,4.2132e-05-4.3758e-05i,-0.00010114+0.00026801i,-0.00026525+0.0007235i,-0.00014958+0.00019538i,0.00031941-0.00096794i,0.00020151-0.00096044i,0.00018156-0.00051507i,0.00052852+7.9847e-05i,0.00037228+0.00051654i,0.00013387+0.00033528i,-0.00039603-0.0001996i,-0.00078765-0.00040076i
0.0003954+0.0023355i,-0.00018465+0.0027011i,0.00019151+0.001922i,-7.3765e-06-0.00061083i,-0.00037804-0.0020262i,-0.001693-0.0016118i,-0.0018661-0.00036239i,-0.00096122-1.1936e-05i,-0.00070569+0.00058423i,-0.00038478+0.00062865i,0.00024822-0.00055915i,-0.00017707-0.00018025i,-0.00038198+0.00038388i,-3.7337e-05+0.00098938i,-0.00015964+0.00091658i,-0.00041258+0.00058139i,-0.00042033+0.0003704i,-1.0104e-06+4.9618e-05i,0.00011211-8.2086e-05i,6.2065e-05+0.00026994i,-0.000298+0.00022123i,-0.00037477-0.00068514i,3.1176e-05-0.0011728i
-0.00095609+0.00018295i,-0.00050386-0.00018868i,0.00036426-0.0013584i,0.001252-0.0021911i,0.00055528-0.0020537i,-0.00099186-0.0021194i,-0.0012823-0.0013404i,-0.00080109-0.0010775i,-0.00018029-0.00095227i,-0.0010382-0.00068014i,-0.0016876-4.3853e-05i,-0.00081657+0.00062571i,-0.00047389+0.00020356i,-0.00052798-0.00016487i,-0.00059269-0.00037546i,2.6616e-05-0.00018197i,0.00060019-0.00013192i,0.00026744-0.00040081i,-0.00059338-0.00044252i,-0.00010435+0.00025993i,0.00093367+0.001283i,9.742e-05+0.00093599i,-0.0011689+0.00033788i
-0.00076841-0.0010146i,-0.00018099-0.00037597i,0.0012661+0.00077659i,0.001982-5.2688e-05i,0.0016748-0.00099429i,0.00027138-0.0015383i,-0.00070627-0.0010492i,-0.0011335-6.7933e-05i,-0.0015574+0.00034253i,-0.0011606+0.001126i,-0.00075109+0.0012658i,-0.00040242+0.0006906i,-0.00030496-0.00041514i,-0.00033084-0.0011853i,-0.00021524-0.00053748i,-0.00022745+0.00038565i,0.00025896+3.2068e-05i,0.00020229-7.6052e-05i,-0.00048288-0.00032334i,-0.00069796-0.0001108i,-0.00053766-0.00014178i,-9.3642e-05-0.00041261i,0.00047686+0.00033374i
0.00097225-0.00066576i,0.0021031-0.0007171i,0.0018022-0.0011417i,0.0012935-0.0012344i,0.00097391-0.0011161i,-0.00015906-0.0013085i,-0.00021079-0.00049706i,0.00025117+0.00030567i,0.00025747+0.00088995i,9.997e-05+0.00083059i,0.00084348+0.00042895i,0.00084549+0.00041833i,-0.00025219+0.00063905i,-0.0012026-0.00013027i,-0.00092483-0.00069539i,-0.00046152-0.00050212i,-0.00078576-0.00054138i,-0.00067107-0.00041714i,-0.00058802+0.00024608i,-0.00049282+0.00022408i,-0.00026818+0.00020215i,-0.00042498+0.00042114i,-0.00073925+0.00022272i
-0.0014099+0.0011857i,-0.00028508+0.0025474i,0.00041006+0.0036614i,0.00054181+0.0017627i,0.0010435-0.0006225i,0.0013566-0.00080143i,0.0012058+5.5784e-05i,0.0012244-0.00012881i,0.0012459-0.00090773i,0.0010556-0.00096703i,0.00099073-0.00045034i,0.0010393+3.6681e-05i,0.00055157+5.1585e-05i,-0.00014843-0.00025476i,-6.1312e-05-0.00036527i,0.00034639-0.00032737i,0.00016251+0.00018073i,-0.00045809+0.00091574i,-0.00061363+0.00040492i,-0.00024081+7.837e-05i,0.00024916-0.000136i,0.00054357-0.00080135i,0.00048966-0.0006983i
-0.00067074-0.0010264i,-0.0023881-0.00061303i,-0.0024207-0.0012318i,-0.0010234-0.0017185i,6.3453e-05-0.0019117i,0.0003983-0.001014i,6.652e-05+7.8198e-05i,0.00059512-0.00031018i,0.0008924-0.00059948i,0.00046183-0.0002811i,0.00022452-0.00054375i,-3.863e-05-0.00098928i,-0.00016109-0.00046664i,-0.00050012+6.8271e-05i,-0.00034578-0.00012313i,-0.00070931-0.00011265i,-0.0008604+0.00015401i,-0.00064786+0.00010451i,-0.00081179+0.00010318i,-0.00046274+0.00028496i,-4.1042e-05+0.00022334i,-8.9866e-05+0.0002763i,-0.00031925+0.00021602i
0.0005373+0.0010301i,0.001231+0.00099417i,0.0020093+0.00039045i,0.0020505-0.00066198i,0.0016935-0.0020529i,0.0014941-0.0026043i,0.001151-0.0017186i,0.00081023-0.0015444i,0.00049592-0.0013759i,-0.00056308+3.9286e-06i,-0.0015915+0.00058765i,-0.00082519-4.2547e-05i,0.00063332-0.00016451i,0.0008644-0.00020969i,0.00023786-0.00037642i,6.6983e-05-0.00024275i,-0.00063193+8.8012e-05i,-0.0012099+0.00060019i,-0.0006691+0.00052712i,-0.00058677+0.00083872i,-0.0014202+0.00052788i,-0.0014103-4.4233e-05i,-0.00079392-5.6732e-05i
0.001242-0.00083733i,0.0014135-0.0013803i,0.0018304-0.0020961i,0.0015382-0.0020989i,0.0016582-0.0020824i,0.00047606-0.0018526i,-0.00062268-0.00020268i,-0.00051859+0.00076892i,-0.00053448+0.00045415i,-0.00073203+0.00067185i,-0.00058822+0.00078624i,-0.00010921+0.0015297i,-5.5395e-05+0.0017813i,6.4558e-05+0.0011943i,5.9309e-05+0.00036535i,4.3131e-05+0.00027776i,0.00042337+0.00062078i,0.00030947-0.00013077i,2.5201e-05-0.00069797i,-0.00060037+0.00026347i,-0.00041674+0.0010682i,-7.2477e-05+0.0010455i,-0.00031926+0.00090005i
0.00058609+0.0038066i,0.0017069+0.0055276i,0.0017098+0.0050521i,0.00029019+0.0022404i,-0.00082099-0.0009647i,-0.00035439-0.0022499i,-2.5778e-05-0.0018616i,0.00012868-0.00090655i,0.00041459+0.00016464i,-4.2697e-05+0.00087533i,-0.00049837+0.00074862i,-2.7649e-05-3.5029e-05i,-0.00037036-0.00041788i,-0.0010712-0.00035262i,-0.00084999-0.00064482i,-0.00049405-0.0010454i,-0.00062574-0.0012306i,-0.00102-0.00099063i,-0.00067567-0.00052121i,0.00024547-0.00038625i,0.00044984-4.3173e-05i,0.00028017-0.00018916i,-4.1159e-05+0.00010655i
-0.00017217-0.00012225i,-0.0013292-0.001542i,-0.00092069-0.0023858i,0.00010606-0.002926i,-0.0002888-0.0035358i,-0.001761-0.0025582i,-0.0015977-0.00019907i,-0.00038362+0.00034409i,0.00036675-6.4596e-05i,0.00011902-0.00020686i,-0.00012171-4.3399e-05i,-0.00012701+0.0010765i,-0.00014972+0.0012442i,-0.0002304+0.00047521i,-0.00011315+0.00040683i,0.00011764+0.00092005i,-0.00027798+0.00066607i,-0.00094821+1.0635e-05i,-0.00080843-0.00069778i,-0.0001603-0.00086708i,0.00040701+0.00030606i,0.00059557+0.00080484i,0.0010118+0.00026921i
0.0021491+0.00090728i,0.0020783-2.6335e-05i,0.0020564-0.001442i,0.0018177-0.0017632i,0.00068277-0.0021538i,-0.00023147-0.0022161i,-0.0010562-0.00055363i,-0.00029806+0.00038573i,0.0012378+3.5343e-05i,0.0010593-0.00019547i,0.00072871-0.00039034i,0.00040808-0.00028379i,3.2655e-05+2.8696e-05i,-0.0004725-0.00061892i,-0.001243-0.0012726i,-0.00075455-0.00097547i,-0.00011084-0.00033787i,4.4591e-05+3.3358e-05i,0.00052155-2.3482e-05i,0.00093001-0.00024055i,0.00066582+0.00016903i,0.00034757+0.00054457i,0.00053599+0.00031338i
-0.0016703+0.0048864i,-0.0017598+0.0057258i,-0.00070203+0.0049454i,0.00057657+0.0023885i,0.0013596-0.00043625i,0.00034629-0.001554i,-0.00088137-0.00061907i,-0.00067687-0.00033343i,0.00074164-0.00076982i,0.0012261-0.0005545i,0.00011879-0.00047649i,-0.00074313-0.00085571i,-0.0002964-0.00053449i,-0.001009+0.00040081i,-0.0016614+0.00043436i,-0.0010147+0.00011068i,-0.00035967+0.00055778i,0.00017367+0.00084408i,0.00039302+0.00030766i,0.00030752-0.0003098i,-0.00042822-0.00015229i,-0.00051931+0.00049372i,-0.00015127+0.0009515i
0.002455+0.00082461i,0.0031005+0.00098129i,0.003415+0.0005289i,0.0021377-0.0013842i,0.00064764-0.002902i,-0.00022583-0.0018579i,-0.00048491-0.00098597i,-0.00014932-0.00081199i,0.0001286-0.0010342i,-0.0009664-0.00041419i,-0.0011714+0.00033691i,-0.00045277+0.00068062i,-0.00064329+0.00038718i,-0.00071926+0.00048983i,-0.00041073+0.0010527i,-0.00069367+0.0008873i,-0.00030126+0.00015639i,0.00026075-2.9061e-05i,-0.00035942+0.00037053i,-0.00056218+0.00015436i,0.00044381-0.00019782i,0.00084016+0.00051114i,0.00037772+0.00054585i
0.0006837+0.00064454i,-0.00018065-0.00020689i,-7.6587e-05-0.00088256i,0.00030462-0.0014164i,0.00047254-0.0024644i,0.00036967-0.0021799i,0.00019771-0.0004593i,-0.00038642+0.00045812i,-0.0012256+0.00018814i,-0.00093433+3.9224e-05i,-0.0003682+0.00073887i,-0.00030194+0.00098755i,-0.00076385+0.00021902i,-0.0012153-0.00051949i,-0.0010006-4.0897e-05i,-0.00025877+0.00025096i,0.00072111+0.00011687i,0.00055117+0.0013597i,-0.00040653+0.0017703i,-0.00032932-0.00036103i,-8.1373e-05-0.0013558i,-0.00028644-0.00095161i,-0.00056399-0.00083879i
-0.0014546-0.0013466i,-0.00079633-0.0020137i,-7.6621e-05-0.0015382i,0.00055367-0.0013773i,0.0010776-0.0016172i,0.0011389-0.0011481i,0.00078448+0.00016751i,0.00065511+0.0011902i,0.00035589+0.001196i,0.00010402+0.0011071i,-0.00018005+0.0008612i,-0.00083153+0.0002966i,-0.00043593-0.0001832i,0.00046244+9.4936e-05i,0.00047654+0.00068907i,0.00072492+0.00056356i,0.00088891+0.00017878i,-0.00011659-0.00017607i,-0.0012156-5.8352e-05i,-0.00041759+1.551e-05i,0.00047584+4.2626e-05i,0.00047289+2.376e-05i,0.00077815-0.00010961i
0.0009226+0.002785i,0.0013586+0.0044605i,0.0018202+0.0048421i,0.001389+0.0019726i,0.0016332-0.0010651i,0.0013555-0.0019044i,0.00063621-0.00084297i,0.00033716+0.00053139i,-1.0122e-05+0.00054461i,4.3089e-05+0.0003408i,2.1423e-05-0.00021796i,-0.00010983-0.00075356i,-0.00063813-0.00036261i,-0.0010147-0.00034031i,-0.0010349-0.00030671i,-0.00070961-6.7862e-05i,-0.00032014+0.00029i,-0.00021455+0.00019552i,-0.000199-0.00038676i,-0.00026498-0.00047153i,-0.00097797-0.00013116i,-0.0010013+0.00052368i,1.1602e-05+0.00082694i
0.00026565-0.0023971i,-0.0016176-0.0035152i,-0.0016291-0.0038834i,-0.00092529-0.0036965i,-0.00086009-0.0028201i,-0.0012974-0.0017537i,-0.0016662-0.00054123i,-0.00018008+7.6973e-05i,0.00083553-0.00018827i,0.00050403-0.00047225i,0.00017547-0.00046471i,-0.00010336+0.00017823i,0.00021006+0.00071284i,0.00029819+0.00039985i,0.00024018+2.4618e-05i,3.6811e-05+0.00020356i,-0.00075975+0.00025157i,-0.0011471-0.00020427i,-0.001127-0.00048538i,-0.00062648-0.0003587i,-0.0003646-0.00029355i,-0.00072871+0.00014685i,-0.0003013-5.5203e-05i
0.0013198+0.0015074i,0.0017619+0.0017861i,0.0027325+0.002083i,0.0030983+0.00065826i,0.00245-0.0013131i,6.1669e-05-0.0016675i,-0.00075728-0.00065686i,-0.00016657+0.00015716i,-0.00042571+0.00034673i,-0.00012421-7.0617e-05i,0.00098228-0.00037351i,0.00059029-0.00017071i,0.00014134-5.6367e-05i,-0.00046258-0.00071941i,-0.00044284-0.0006996i,0.00028442+0.0002311i,0.00061677+0.001023i,0.0010521+0.00063941i,0.00040264-0.00018025i,0.00013653+0.00029187i,0.00064717+0.0006405i,0.0011354+1.5429e-05i,0.001114+0.0003863i
0.001476+0.0003691i,0.001347+0.00017112i,-0.00057775-0.0022014i,-0.00076393-0.0034138i,0.00049197-0.0027558i,0.00088238-0.0019978i,1.6073e-05-0.0011553i,-0.00020893-0.00011592i,-0.00022067+0.00057636i,-0.00057534+0.00037037i,-0.00088616+0.00080504i,-0.00067023+0.00098447i,-0.00022739+0.00069971i,0.00010746+0.00064809i,0.00082211+0.00024665i,0.00087323+0.00023698i,2.4452e-05+0.00044442i,-0.00063272+0.00020697i,-0.00049204-0.0001775i,0.00019275-0.00067719i,0.00057738-0.00034111i,0.00043115+0.00023073i,-0.00029274+0.00015283i
