-0.0055114+0.0025349i,-0.0037172+0.0046046i,-0.003083+0.0058024i,-0.0025785+0.0043158i,-0.00096052+0.0031384i,0.0010009+0.0017878i,0.0013466+0.0017961i,6.5216e-07+0.0025197i,-9.0182e-05+0.0025052i,0.00036662+0.0017388i,0.00024314+0.00022398i,0.00016578-0.00038763i,1.9201e-05-0.00075185i,-0.00040848-0.00089638i,-0.0006757-0.00071779i,-0.00088157-0.0010343i,-9.5236e-05-0.00086151i,0.00060102+0.00031855i,-3.573e-05+0.00047875i,-0.00064648+0.00013573i,-0.00025042+0.00042027i,-9.8853e-05+5.7591e-05i,-1.6449e-05-0.00013582i
0.0043034+0.0018764i,0.0040932+0.00073022i,0.0046122-0.00092154i,0.0039245-0.0019713i,0.00095726-0.0020321i,-0.00039169-0.0018761i,0.00022333-0.0014629i,0.00033471-0.00036052i,0.00022827+0.00026468i,0.00062829-0.00025235i,0.0010481-0.00065856i,0.00010636-0.00023825i,-0.00086938-3.2952e-05i,-0.00059066-0.0003029i,0.00024965-0.00062884i,0.00023265-0.00074449i,-0.00026167-0.00013666i,-0.0002904+0.00031619i,0.00042255-6.9681e-05i,0.00064074-0.00040393i,0.00061588-0.00015016i,0.00090572+0.00032029i,0.00082557+0.00057051i
-0.00021015-0.00059249i,-0.0014942-0.00031454i,-0.0012659+0.00026309i,-0.00055229+0.00042653i,-0.00038728+0.00015961i,0.00045559+3.7934e-05i,0.0021222+8.705e-05i,0.0026773-0.00018299i,0.001991-0.0016979i,0.00093692-0.0022881i,0.00046598-0.0019436i,5.2385e-05-0.0010119i,-0.00040605-0.00064152i,-0.0002347-0.00082692i,-0.00055668-0.0004066i,-0.0009514+0.00023951i,-0.00015255+0.00047863i,0.00034578-0.00027771i,0.00090127-0.00067068i,0.00067614+4.0918e-07i,-0.00038626+0.00028212i,0.00029689+0.00038107i,0.0015399+0.00069036i
0.002426-0.00042136i,0.0014904-0.0012795i,0.00078612-0.0018545i,-0.00094032-0.0015911i,-0.0020676-0.0015293i,-0.0029361-0.0006478i,-0.0041063+0.00020078i,-0.0054737+0.0017244i,-0.0052988+0.0037875i,-0.0032083+0.0038757i,-0.001458+0.0029629i,4.6624e-05+0.0020957i,0.0011048+0.0021741i,0.0016361+0.0020209i,0.0013919+0.000572i,0.00088751-0.00029433i,0.00020648-0.0007993i,-0.00016184-0.0010631i,-3.132e-05-0.00038198i,-0.00010442+0.00028492i,1.5445e-05+0.00080277i,0.00018043+0.00065837i,0.00023327-8.2131e-06i
-0.0016165+0.0013363i,-0.00065517+0.0022511i,-0.0003194+0.002698i,-0.00060684+0.0013319i,-0.0012483+4.9666e-05i,-0.0016105-0.00015371i,-0.0019075-0.00011312i,-0.0013715+0.00038402i,-0.00075656+0.00067007i,-0.00083867+0.00027583i,-0.00098831+0.00045266i,-0.00098733+1.4566e-05i,0.00012412-0.0013423i,0.0013469-0.0011857i,0.00097836-0.00025853i,-0.00011539+0.00012812i,-0.0006062-7.8879e-05i,-5.1833e-05-0.00038291i,0.00044523-1.9051e-05i,-1.2732e-05+2.9054e-05i,0.00072878-0.00045859i,0.0013645-0.00043741i,0.00060051-0.00034403i
-0.0017293+0.00042582i,-0.0015863+7.6377e-06i,-0.0020322-0.00058092i,-0.0013488-0.00073182i,-0.00059454-8.457e-05i,-0.00073847+0.0014156i,-0.00088569+0.0016151i,-0.0011496+0.0011885i,-0.00065749+0.0013702i,9.7735e-05+0.00084769i,0.00022359+0.00045823i,5.3449e-05+3.8339e-05i,0.00042931-0.00064037i,0.00022399-0.00060718i,-0.0005647-0.00090795i,-0.00058628-0.0010029i,-0.00015084-0.00068188i,-0.00015555-0.00029886i,-0.00057611+0.00030958i,-0.00091501+0.00025595i,-0.00067213+3.6097e-05i,6.6733e-05+0.0001627i,0.00013404-0.00025204i
0.0017057+0.00087389i,0.0010351+0.0010787i,0.00089168-0.00043087i,0.00039937-0.001479i,-0.00064839-0.0011268i,-0.0004178-0.00019301i,-0.00041117-4.7721e-05i,-0.00067137-7.5689e-05i,-0.00022265+0.0003055i,-0.00039057+0.0004492i,-0.0003583+0.00074694i,0.00063129+0.00098771i,0.0008708+0.00093739i,0.00077308+0.00038672i,0.00035413-0.00015103i,-0.00046557-0.00044631i,-0.00032721-0.0007074i,0.00039017-0.00058159i,0.0004724+9.9878e-05i,0.00034679+0.00046907i,0.00039737+0.00051201i,0.00072471+0.0006084i,0.00063333+0.0010977i
0.0023431+0.0003567i,0.003332+0.00040892i,0.0037022-2.5666e-05i,0.0028925-0.0011664i,0.0011747-0.0017088i,0.00013712-0.0013211i,-0.00030273-0.00048337i,-0.00073775+0.00017617i,-0.00033511+0.00012239i,0.00045148-3.9853e-06i,0.00042301-0.00026796i,0.00015284-0.00067043i,-0.00023082-0.00095368i,-0.00027209-0.00071653i,-0.00030758-0.00041273i,-0.00034338-0.00035857i,-0.00014484-0.00078885i,-4.4697e-05-0.00056119i,7.8409e-05+1.7128e-05i,0.00030331+0.00028609i,0.00034114+0.0006552i,0.00061811+0.00040499i,0.00087735-5.0105e-05i
0.0011517+0.00090778i,0.0011087+0.002169i,0.00083859+0.0013855i,0.00038759+2.3115e-05i,-5.9099e-05-0.00064336i,-3.196e-05-0.00087787i,-0.0004988-0.001208i,-0.0012745-0.00067319i,-0.0018932+0.00051602i,-0.0013376+0.00061273i,0.00046569+0.00023136i,0.0011807+0.00018659i,0.00053899-0.00027467i,-0.00027995-0.00045488i,-0.0012307+0.00064011i,-0.0012243+0.00085396i,-0.00029499+0.0002851i,0.00014162+0.00013529i,-0.0005282+7.839e-05i,-0.00072356+0.00021433i,0.00022158+0.00034089i,0.00068382+0.00029469i,0.00023823-0.00048081i
-0.0016952-0.0020953i,-0.0034074-0.00137i,-0.0041132-0.001624i,-0.003092-0.0016145i,-0.0015629-0.00053238i,-0.00072207+0.00089697i,-0.00029622+0.00084729i,-0.0003614+0.00011662i,-0.00094588-9.4886e-05i,-0.00059439-0.00021923i,-0.00011441-0.00049402i,-0.00054164-0.00038718i,-0.00078096-0.00063792i,-0.00033398-0.0012669i,-0.00041169-0.0013078i,-0.00035463-0.0005001i,-8.2283e-06-0.0002141i,-0.0004903-0.00012358i,-0.00055004-0.00016169i,0.00047171+0.00011558i,0.00029235-8.3155e-05i,-8.439e-06-0.00014968i,0.00042426+1.5857e-05i
0.0018154+0.00069431i,0.0039274+0.00072328i,0.004514+0.0005642i,0.0032142-0.00013733i,0.0011899-0.00013357i,-0.00021604-0.00061662i,-0.0010211-0.0013548i,-0.0014728-0.00088057i,-0.0012515+0.00048054i,-0.00041004+0.00053052i,0.00067714-5.9846e-05i,0.00093349+0.00070508i,0.00020647+0.0010491i,-9.3348e-07+0.00039511i,-2.9911e-05+0.00013535i,-0.00044305-0.00054123i,-0.00043604-0.00086459i,-0.00052979-0.00070587i,-0.0002085-0.00013178i,0.00056862-4.5932e-05i,0.00041372-2.3533e-05i,1.3436e-05+7.1446e-05i,7.9441e-05+0.00019681i
-0.00075722+0.00043926i,-1.3776e-05+0.00067383i,0.00042672+0.00081489i,0.0003132+0.00037156i,-0.00019318+7.8619e-05i,-1.0482e-05-6.6326e-05i,-5.1841e-05-0.00036573i,-0.00054563-0.00012649i,9.0122e-05+0.00049988i,0.00087839+0.00025725i,0.0009168-0.00010064i,0.0007945+2.8126e-05i,8.5796e-05+0.00035217i,-0.00028353+0.00044687i,0.00029537-0.00021305i,7.328e-05-0.00057353i,-0.00032262-0.00022044i,4.9326e-05+0.00029844i,0.00036749+0.00089183i,-0.00021524+0.00094892i,-0.00072236+0.00044854i,-0.00047801+0.00068903i,-0.00059184+0.00096106i
0.00078471+7.1258e-05i,0.00012791-0.00031457i,7.4364e-05-0.0001518i,0.00081102+1.8214e-05i,0.0004134-0.00033761i,-0.00088048-0.00060431i,-0.0010554-0.00076676i,-0.00070663+0.00011516i,-0.00024403+0.00042095i,0.00031266+1.1939e-05i,0.00040833-7.4607e-05i,3.6505e-05-0.00033173i,-0.00044413-0.00014943i,-0.00069126+9.486e-05i,-0.00038052+0.00030693i,-0.00033355+0.00013322i,-0.00015797-0.00013325i,3.6963e-05-0.00025283i,-0.00029175-0.00046681i,-0.00087366-0.00039103i,-0.00049731-0.00023263i,6.9607e-05+2.8294e-05i,-0.00060882+0.0002837i
-0.00050223-0.00020116i,-0.00042461+0.00047193i,-0.00031568+0.00075248i,-0.0012008+9.0707e-05i,-0.0014042-8.3826e-05i,-0.00028697+0.00046347i,0.00011206+6.7576e-05i,-0.00040108-0.00044128i,-0.0010111-0.00042097i,-0.00034194-0.00044746i,0.00048212-2.4103e-05i,0.00065069+0.00070417i,0.00099143+9.6681e-05i,0.0010583-0.00059282i,0.0007526-0.0004521i,0.00042604-0.00029745i,0.00044547-0.000886i,-6.2776e-05-0.00060517i,-0.00047107+0.00035272i,0.00045355+0.00022194i,0.00061499+0.00026916i,8.2453e-06+7.7273e-06i,0.00013625-0.00031875i
-0.0010216-0.0001229i,-0.001372+0.00073694i,-0.00048115+0.00070589i,0.00064165-0.00026981i,0.00092625-0.0014358i,0.00077777-0.0013436i,0.00073148-0.0010365i,0.00040469-0.00048251i,-3.2909e-05+0.00024516i,0.0001814+0.0010808i,0.00045354+0.0003512i,0.00021564-0.00045283i,9.1867e-06-0.0010465i,-4.1371e-05-0.00075199i,-0.00033295+0.00031129i,-0.00041968+0.00044081i,-0.00010458-0.00012734i,0.00019094-0.00089181i,0.00013886-0.0010129i,-0.00025394-0.00067363i,-0.00090233-0.00015918i,-0.00080446+0.00036942i,5.9624e-05+0.00084018i
0.00082802+0.0012243i,0.001494+0.0014741i,0.001844+0.0013617i,0.0015967+0.0013563i,0.0019644+0.0002463i,0.0011206-0.00061389i,-0.00075483-0.00014285i,-0.0011609+0.00051696i,-0.00089561+0.00073381i,-0.00018636+0.00056714i,0.00065478+0.00030394i,0.00061874-0.00013476i,8.9109e-05-0.00025406i,-0.00036265+0.00017779i,-0.00053674+1.8509e-05i,-0.00051424-0.00040661i,-0.00027678+0.00030855i,3.848e-05+0.00089186i,-1.0398e-05-0.00033867i,6.4614e-05-0.0011644i,0.00040497-0.00034381i,0.00022388+9.0347e-05i,0.00022884-0.00037047i
-0.0014188-0.00019807i,0.00020028+0.00041536i,0.00068717+0.00080143i,-0.00038741+0.00052731i,-0.00085075+0.0010116i,-3.732e-05+0.00080566i,6.8487e-05-0.00033875i,-0.00046839-0.0003383i,4.2642e-05+0.00052404i,0.00043729+0.0005728i,0.00051414-6.0946e-06i,0.00016735-0.00049176i,-0.00055675-0.00094448i,-0.0007224-0.00060582i,-3.2936e-05-0.00020519i,0.0003663-0.00069344i,0.0002085-0.00095412i,-0.00038972-0.00077223i,-0.00065402-4.2326e-05i,0.00032624+0.00090949i,0.00079814+0.00087727i,0.00042492+0.00035836i,-5.4787e-05+0.0010029i
-0.0018651+0.0011234i,-0.0013729+0.0025951i,-0.00010674+0.0038405i,0.00056114+0.0029409i,0.00091869+0.0014042i,0.0011732+0.00073277i,0.00077783+1.728e-05i,0.00029545-0.00044374i,-0.00036069-0.00016517i,-0.00059069+0.00043153i,1.4128e-05+0.0002835i,0.00019316-0.00018265i,0.00012873-0.00055416i,0.00021942-0.00042852i,0.00012137+5.1389e-05i,-0.00027025+0.00032401i,-0.00042538+0.00022968i,-0.00057515+4.9868e-05i,-0.00017109+2.5628e-05i,-0.00041174+0.00087341i,-0.00057177+0.0013074i,0.00041813+0.00040046i,0.00042435+0.00014201i
-1.1417e-05+0.00094717i,0.00042943+0.0020289i,0.00028862+0.00033536i,-9.0009e-05-0.00034703i,-0.0006538+0.0005497i,-0.00026416+0.00058358i,0.00047667+0.00076951i,0.00079009+0.0011351i,0.00091857+0.0017821i,0.0011934+0.0022693i,0.0006983+0.0018359i,-0.00010726+0.00076411i,1.5472e-05+0.00050915i,0.00017816+0.00046804i,0.00016146+0.00062915i,-0.00016958+5.0284e-05i,-0.00059297-0.00032073i,-0.00049868+0.00047139i,-0.00048774+0.00035813i,2.9193e-05-4.3339e-05i,0.00037404+0.00012077i,0.00018827+0.00074407i,-0.00050449+0.0006684i
0.00057758+0.0014141i,0.0018015+0.00087411i,0.0026669+0.00056582i,0.0025505+0.00013576i,0.0019776-0.00085663i,0.00034936-0.0016517i,-0.0012546-0.001373i,-0.0016853-0.00096429i,-0.00047993-0.00037749i,0.00036561+8.4717e-05i,0.00010917+3.9277e-05i,-0.00048327-0.00032323i,-0.00075546-0.00072842i,-0.00078164-0.00057609i,-0.00052115-0.00031135i,-0.00068561+0.00042192i,-0.00075857+0.00055151i,9.3498e-05-0.00032761i,0.00041663-0.00054562i,-4.5457e-05+0.00050376i,-0.00080029+0.0011773i,-0.00042294+0.00045435i,0.00015325-3.7453e-05i
-7.3566e-05-0.001793i,-0.0014684-0.0011869i,-0.0015561-0.0014132i,-0.0016912-0.002085i,-0.0018464-0.0015209i,-0.0017728+0.00010518i,-0.0010812+0.0012967i,-0.00059268+0.00036275i,-8.3709e-05-0.00033146i,0.00067343-7.938e-05i,0.00086009+0.00028241i,0.00059091+0.0004569i,0.00044465+0.00042154i,0.00018977+0.00033297i,1.3976e-05+4.5573e-05i,0.0002028-0.00027707i,0.00047139-0.00047834i,4.1764e-05-0.00023654i,-0.00017303+0.00057098i,0.00072274+0.0010948i,0.0008627+0.00105i,0.00072474+0.0005183i,0.0012402-0.00010664i
-0.001139+0.0023679i,-0.00045605+0.0034732i,0.00027146+0.0031588i,0.00049245+0.0017255i,0.0004371+0.00072317i,0.00093143+0.00054307i,0.0006466+0.00037651i,-0.00017699+0.00077037i,-0.00054894+0.0019543i,0.00041017+0.0012735i,0.00094008-0.00033899i,0.00039096-0.00068976i,-0.0006499+0.00029046i,-0.0011935+0.0005216i,-0.00017772+0.00019713i,0.00030834-5.2041e-05i,4.6836e-05-0.00099064i,0.00011831-0.0011284i,0.00066018-0.00029235i,0.00075652-3.9285e-05i,0.00030495-0.00011291i,0.00020507+9.5323e-05i,0.00026754+0.00011346i
0.00043742-3.8177e-05i,0.0009466+0.00072607i,0.0013745+0.00085447i,0.0011291+0.00061813i,-0.00030045+0.0011111i,-0.00071584+0.00066637i,-0.00015294+0.00048646i,-0.00062752+0.00042876i,-0.00016477-0.00020538i,0.00048868-6.277e-05i,-0.00017939+0.00014489i,-0.00023638-0.00033933i,0.00082937+0.00028594i,0.00067497+8.6307e-05i,0.00053519-0.00048577i,0.0007114-0.00041153i,0.00071959-0.00070344i,0.00031268-0.00044709i,-7.0522e-05-4.3151e-05i,-0.00064346-0.000101i,-0.00085934-0.00034691i,-0.0001948-0.00010055i,0.00026568+0.00092425i
-0.0018926-0.0016235i,-0.0027315-0.00094611i,-0.0025174-0.00025898i,-0.0021843+0.00032958i,-0.0016927+0.00037133i,-0.00067548+0.00023175i,-0.00062692+0.0008783i,-0.0015243+0.00073373i,-0.0020081+0.00080447i,-0.0013595+0.0015915i,-1.5932e-05+0.0011118i,0.00087281+0.00074302i,0.0011382+0.00078294i,0.0011236+0.00049009i,0.00030668-0.0006245i,-0.00012871-0.0012215i,-0.00035357-0.0010378i,-0.0006467-0.00070564i,-0.0015525-0.00045799i,-0.0017171-0.00069549i,-0.00027194-0.00087485i,0.00049805-0.0004458i,0.00071458+0.00038806i
-0.0015324-0.00036382i,-0.0023156-0.00016866i,-0.0024404-0.00036836i,-0.0019018-0.00050556i,-0.0016208+0.00070012i,-0.0014285+0.0015926i,-0.00042516+0.001062i,-0.00040607+0.00028015i,-0.00090148+0.00056432i,-0.00047074+0.001187i,-0.00015682+0.00074114i,-0.00016659+0.00040976i,-4.5728e-05+0.00048932i,0.00039833-3.5309e-05i,0.00047155-0.00051748i,0.00027814-0.00027163i,-1.4898e-06-0.00046202i,-7.0849e-05-0.00038129i,-0.00031642+0.00049617i,-0.0005702+0.00080654i,-0.00029006+0.00059495i,-0.00022561+0.00024117i,-0.00050722-0.00034422i
0.002172+0.00041214i,0.003279+0.0003494i,0.0033115+0.00053438i,0.0025127+0.00047022i,0.0014477+0.00040048i,0.00077583+0.00029933i,-0.00046585+0.00048193i,-0.0013073+0.00069369i,-0.00049903+0.0011438i,0.00031656+0.0015371i,0.00092689+0.0010651i,0.00051784+0.00012294i,-0.00029505-0.00044802i,3.7539e-05-0.00026908i,0.00059298-0.00032921i,0.00076218-0.00075106i,0.00072373-0.0013596i,0.00026013-0.0011733i,-0.00027796-0.00042784i,-0.00062487-0.00019343i,-0.00080353-0.00036196i,-0.00040478-0.00013461i,-0.00027364+0.00014304i
-0.00035106+0.0022625i,0.00018316+0.0036696i,0.00082701+0.00296i,0.00062053+0.00049262i,3.137e-05-0.00013285i,0.00014706-0.00091288i,1.0751e-05-0.0018892i,-0.0011629-0.0012639i,-0.00073161+0.00023953i,-0.00028327+0.0005715i,-0.00039345+0.00018241i,0.00037159+2.0299e-05i,1.54e-05-0.00010691i,-0.00016648-0.00046554i,0.0005259-0.00080869i,0.00022527-0.00048532i,0.00014283-5.8085e-05i,0.00036063+0.00034576i,0.00041668+1.6682e-05i,0.00032755-0.0002969i,-0.00019747-0.00027153i,-0.00018104-0.00027484i,0.00020976-0.00034845i
-0.0010134-0.00032314i,-0.0013447-0.0017873i,-0.00091849-0.002588i,-0.00084073-0.0028469i,-0.00082305-0.0020249i,-0.00062308-0.00049861i,-0.00023823-0.00033135i,-0.00034232+1.0393e-06i,-0.00012012+0.00050805i,0.0005983+0.00030734i,0.00077138+0.00032025i,0.00026149+0.00067496i,-4.2201e-05+0.00047921i,0.00044995+8.6604e-05i,0.00050618-0.00037872i,6.9454e-05-0.00042188i,-0.00014566-0.00023468i,-0.00016251-7.3053e-05i,-0.00042704-0.00017481i,-0.00097832+9.5902e-05i,-0.0004893+0.00073486i,-0.00023255+0.0009608i,-0.00093664+0.0011416i
-0.0015753+0.0010165i,-0.00045481+0.0024915i,0.00045898+0.0037921i,0.00052921+0.0033708i,0.0011979+0.0020078i,0.00081932+0.0011137i,-0.00014352+0.00052068i,-0.0005064+0.00078593i,-0.00074177+0.0012648i,0.0003766+0.00063988i,0.0015933-0.00023858i,0.0017754-0.0007268i,0.00063576-0.0011152i,4.9828e-05-0.0016237i,-0.00011263-0.00096505i,-0.00034239+0.00049971i,0.00024645+0.0010288i,0.00044176+0.00061484i,-2.1766e-05+3.9709e-05i,0.00020033-0.00017362i,0.00088591+0.00030495i,0.00068036+0.0011491i,-4.9713e-05+0.00083069i
0.0010465-0.00037465i,0.0010996+5.5739e-05i,0.0008552+0.00023278i,0.00055336-0.00074483i,0.00074802-0.0010249i,-0.00021932+0.00015764i,-0.00081196+0.00065372i,-0.0009342+9.2002e-06i,-0.00064617-0.00011715i,0.00037736+0.00016914i,0.00060229+0.00039641i,0.00058563+0.00050961i,0.00054957-5.5222e-05i,-0.00019398-0.00083645i,0.00028421-0.00075262i,0.0007033-0.00043708i,0.00047477-0.00070499i,-0.00029163-0.0001299i,-0.0012796-9.7556e-05i,-0.00016281-0.00057375i,0.00053525-0.0006597i,0.00039315-0.00026849i,0.00024371+0.00049295i
0.00018914-0.0015007i,-0.00035876-0.0012457i,-0.00094708-0.0027819i,-0.001834-0.0028783i,-0.0024547-0.0018941i,-0.0026483-0.00088847i,-0.0018336-0.00027724i,-0.0014903-8.6271e-05i,-0.0012299+1.8299e-05i,-0.00011986+0.00013955i,0.00025165+0.00047176i,-0.00011849+0.00049977i,-0.00024492+2.3362e-06i,-0.00080193-0.00027234i,-0.00090268-0.00079838i,-0.00035959-0.00083176i,0.00013928-0.00068452i,0.0011167-9.0512e-05i,0.0011989+0.00075708i,0.00058308+0.00052269i,0.00035012+0.0001733i,0.00022733-0.00015256i,-0.00049986-2.0253e-06i
0.00040449+0.00084038i,0.00085198+0.00026829i,0.00033073-0.00021629i,-0.0004495-0.0012245i,-0.00081091-0.0015616i,-0.00075515-0.0013897i,-0.00040746-0.00099976i,0.00022296+0.00046051i,-0.0006522+0.00092212i,-0.0014202-0.00013366i,-0.00099968-0.00048172i,-0.00035366+0.00025516i,0.00053469+0.0010139i,0.00020701+0.00069275i,-0.00066531+0.00067843i,-0.0009343+0.00038766i,-0.000487+0.00012148i,-0.00054823-9.5048e-05i,-0.00063442+4.4706e-05i,-0.00031078+0.00015967i,9.2027e-05-0.00013264i,1.8182e-05+9.5472e-06i,-0.00016523+0.00013708i
0.0035004+0.0014626i,0.0042254+0.00056156i,0.0039079+0.00033306i,0.0019724-0.00071321i,-0.00030211-0.0014402i,-0.00192-0.00053971i,-0.001428+0.00020603i,-0.00035134+0.00064923i,-1.8231e-05+0.00089801i,0.00048293+0.0001781i,0.00081535-0.00042008i,0.00073308-0.00010067i,0.00079421-1.9935e-05i,0.00070519+1.1249e-05i,0.00034574-0.00018486i,0.0011004-0.00035902i,0.001384-0.00022688i,0.00049244-0.00018975i,-9.8568e-05-0.00014435i,0.00018718-0.00090163i,0.00065629-0.000815i,0.00036894-7.3854e-05i,-0.00017693+0.00042797i
0.00016077-0.0002467i,-0.00058168+0.00036323i,-0.0016318-0.00041599i,-0.0022769-0.0017116i,-0.0021959-0.0013882i,-0.0012849-0.00054766i,-0.00035467-0.00066858i,-0.00046562-0.00094069i,-0.00026687+0.00026234i,0.0010725+0.00069181i,0.0013949+2.8687e-06i,0.00096939-0.00067258i,0.00050483-0.0005218i,-4.0587e-05-0.00048867i,-0.0003076-0.00013632i,-0.00050652+0.00044914i,-0.00029041+0.00060133i,-0.00043599+0.00074046i,-0.0011173+0.00062323i,-0.00055309+0.00052715i,0.00061264-8.8667e-05i,0.00089573-0.00096044i,0.00053856-0.00087686i
0.0016188-0.00073353i,0.0013389-0.0018549i,0.0014545-0.0025011i,0.0011072-0.0020067i,-0.00065648-0.00018195i,-0.0014835+0.00085981i,-0.00081251+0.00070522i,-0.00018922+0.00062111i,-0.00018291+0.0006524i,-0.00029141+0.0011466i,-0.00055942+0.00081417i,-0.00084992+0.00010531i,-0.0002986+7.2718e-05i,0.00023576+7.8666e-05i,0.00071226+0.00017126i,0.0012434+0.00027787i,0.00075744-0.00038062i,-4.2176e-05-0.0012032i,-9.6903e-05-0.00073049i,-0.00047324-3.6549e-06i,-0.00018934+9.5671e-05i,0.00057657+0.0001116i,-9.5819e-05+0.00018233i
-0.0011715+0.0012734i,-0.00068815+0.0025078i,-0.00081756+0.0024174i,-0.00020332+0.0012571i,0.00042983+0.0015553i,-7.5212e-05+0.0011367i,-0.00059765-0.00022783i,-0.00085615-0.00047417i,-0.00058727+0.00023557i,0.00057934+0.00081713i,0.00090792+0.00068308i,0.00051675+0.00022576i,0.0011215+0.00032574i,0.0011532+0.00066875i,0.00025107+0.00043886i,0.00021085-0.00078115i,0.00099248-0.00094703i,0.00092484+2.9648e-05i,-8.2223e-05+0.00024231i,-0.00032904+0.00033132i,0.00067774+0.00079658i,0.0014279+0.00051815i,0.00041411-0.00013164i
0.0013344+0.0015655i,0.0023917+0.0010414i,0.0027012+6.9882e-05i,0.001841-0.0013747i,0.00077275-0.002402i,0.00021188-0.0015113i,-0.00045435-0.00041028i,-0.00060068+0.00027361i,-0.00033206+0.00043123i,0.00017136+0.00016864i,0.00099054-7.0807e-05i,0.0013286+5.0904e-05i,0.00078474+0.00043047i,-0.00011157+0.0008474i,-0.00089501+0.0010569i,-0.00072244+0.00056026i,6.6616e-05-0.00026751i,0.00079724-0.00082197i,0.00031279-0.00065087i,4.6109e-05-0.00041047i,-0.00024232-0.00084651i,-0.00059407-0.00099011i,-0.00035673-1.0942e-05i
-0.00083493-0.00021386i,-0.001165+0.00053762i,-0.0012335-6.2474e-05i,-0.0010535-0.00077316i,-0.0014934-0.00064036i,-0.0017075-0.00027965i,-0.00098861-0.00017963i,-0.00076549-0.00040744i,-0.00083589+5.6078e-05i,-0.00035024+0.00048597i,0.00023572+0.00031672i,0.00027367-0.00010867i,-0.00024384-3.5873e-05i,-0.00092541+0.00021515i,-0.00093482+0.00060793i,-0.00037089-2.1991e-05i,-6.3365e-05-0.00013103i,-9.2216e-05+0.00063856i,0.00030068+0.00059298i,0.0010216+0.00036116i,0.00044474+0.00037589i,-8.9642e-05+0.00039668i,0.00023099+0.00053405i
0.00029147+0.0020863i,-0.00016128+0.0033125i,-0.00015525+0.0030564i,0.0013183+0.0016368i,0.0024089+0.00084399i,0.001531-9.2373e-06i,0.00023564-0.00058061i,-0.00016768-0.00039072i,-0.00033228-6.6938e-05i,-0.00044698-0.00015621i,-0.00071412+0.00014794i,-0.00014195+0.00060395i,0.00049813-7.1026e-05i,0.00029832-0.00047858i,-5.4289e-05-0.00069601i,0.00010814-0.00089194i,2.4221e-05-0.00051625i,-0.00031597-0.00036251i,-7.0751e-05-0.00087568i,-5.9522e-05-0.00085167i,-0.00048866-0.0008628i,-0.0007263-0.00054019i,-0.00068519+0.00045856i
-0.00015977+0.0025537i,0.0010783+0.0018521i,0.001693+0.00093697i,0.0011654+0.0002507i,0.00041507-0.0009249i,0.00020872-0.0015853i,0.00056204-0.0012985i,-3.2348e-05-0.00050189i,-6.8688e-05+0.00010167i,0.00027846-0.00025566i,0.00014-0.00089527i,0.0003936-0.0010312i,9.6123e-05-0.00065843i,-0.00069529+0.00015526i,-0.00042914-0.00024589i,-0.00016314-0.00065961i,-0.0004308-0.00012212i,-2.8917e-05+4.0642e-05i,7.9068e-07+0.00014452i,-0.00075923-0.0001011i,-0.0012178-0.00025763i,-0.00069475-0.0002086i,0.00020824-0.00014751i
-0.0018937-0.0012058i,-0.0024903-0.00020536i,-0.0026118-0.0001084i,-0.0021394+5.7181e-05i,-0.0012108+0.00023858i,-0.00070474+0.0013218i,-8.9825e-05+0.001041i,-0.00053838-3.3103e-05i,-0.0014505+0.00055176i,-0.0013284+0.00099645i,-0.00017423+0.0003792i,0.00058684-0.00091221i,0.00058613-0.0015117i,0.00018736-0.00067064i,-0.00075909-0.0004291i,-0.0014625-4.5142e-05i,-0.0013966+0.00040006i,-0.00069002+6.1677e-05i,-0.00027354-0.00069129i,1.5111e-05-0.00088489i,0.00032244-0.00042045i,0.0005752+0.00012145i,0.00059344+0.00049585i
9.33e-05+0.0018832i,0.00028279+0.0032505i,0.00080575+0.0018281i,0.0012067+0.0004655i,0.00049466+0.00018887i,3.7959e-05-3.5855e-05i,-0.00069657-7.8806e-05i,-0.00079089+0.00059754i,-0.00053433+0.0013694i,0.00010126+0.00041899i,0.00093948-0.00047626i,0.00035058-0.0003897i,-0.00011427-0.00023373i,0.00041137-6.547e-06i,0.00059417-0.00037677i,0.00015344-0.0004328i,0.00027841-0.00027083i,0.00018339-0.00070458i,-0.0005345-0.00027751i,-0.00079936+0.00025077i,-0.00037186-0.00016035i,-0.00051032-0.00043943i,-0.00061792-0.0004202i
-0.00021488-0.0004957i,4.9707e-05+0.00044655i,-0.00071763+0.00037979i,-0.0010754-0.00082546i,-0.0012481+0.00018178i,-0.0015645+0.001695i,-0.00088832+0.0021264i,-0.00069685+0.0013762i,-0.00084604+0.00038369i,-0.00055595-3.4421e-05i,6.3566e-05-8.0786e-05i,-0.00021191-0.00022041i,-0.00051058-0.00048443i,-0.00016058-0.00038109i,0.00029374-0.00037648i,6.7641e-05-0.00038621i,-0.00044109+3.4114e-05i,-0.00056265-0.0002268i,2.7166e-05-0.00067815i,7.0463e-05-0.000424i,0.00014424-0.00040202i,0.00047531-5.3769e-05i,0.00014561+0.00056297i
