-0.0031157+6.6827e-05i,-0.0015924+0.00041647i,-0.0011089+0.00083487i,-0.00021131+0.0013816i,0.00026112+0.0023418i,0.00015639+0.0023987i,0.00013434+0.0018371i,3.0305e-05+0.0014614i,-5.1115e-05+0.00050424i,0.00055687-0.00034813i,0.00068518-0.00039019i,0.00071853-0.00056485i,-0.00017247-0.00069014i,-0.00099423-0.0005334i,0.00011933-0.00075686i,0.0002087-0.00034601i,-0.00028334+0.00045497i,-0.00047704+0.0012478i,-0.00079992+0.0011932i,-0.00019051+0.00020482i,0.0003433+0.00022345i,3.5052e-05+0.00067693i,-0.00019079+0.00041189i
-0.00094539-0.00012618i,-0.0009954+0.0010229i,-0.00036367+0.0022505i,0.00069183+0.0029973i,0.00092364+0.0027158i,0.0010432+0.0012548i,0.0013902-6.5051e-05i,0.0010655-0.00017196i,0.00033818-4.499e-05i,6.2563e-05+0.00014614i,0.00040798+0.0004828i,0.0008801+0.00044929i,0.00086227+5.1908e-05i,0.00016386+3.0555e-05i,-0.00010138+0.00057021i,0.00025984+0.00051414i,0.0005286+0.00018052i,0.00035731+1.7845e-05i,0.00037678-0.00047185i,0.00051359-0.00041051i,0.00029937-0.00010752i,6.7576e-05+0.00010775i,-1.2456e-05+0.0003189i
-0.0024316-0.0009949i,-0.0019252-0.00023761i,-0.0012968+0.00089186i,-0.00042564+0.0023947i,0.00068296+0.0032883i,0.0014046+0.0024885i,0.00094276+0.00016226i,-0.00010654-0.00078646i,-0.00094147+7.6215e-06i,-0.0006761+0.0006132i,0.00051102+0.00028393i,0.00050708-0.00094296i,0.00062782-0.00098858i,0.0011193-0.000377i,0.0010692+0.00038066i,0.0003158+0.0003699i,-0.00017577-0.00068566i,0.00025228-0.00049548i,0.00062832+0.00057667i,0.00032032+0.00053281i,5.0818e-05+0.00011728i,-0.00021615-0.00028059i,-2.1266e-05-5.5684e-05i
0.00019516+0.00095869i,0.0003498+0.00063998i,-6.7611e-05+0.0012063i,0.0005575+0.0019586i,0.001322+0.0016259i,0.0010336+0.00013272i,-0.00023882-0.00075851i,-0.00013636-0.00080572i,0.00034568+0.0001857i,0.00060539+0.00062818i,0.00082673+0.00030406i,0.00033255-6.9026e-05i,-0.00070922+0.00014795i,-0.00081603+0.00058564i,4.8574e-05+0.00018692i,0.00036716-0.00019049i,-0.00040219+4.7319e-05i,-0.0016292+0.00040654i,-0.0016999+0.00049836i,-0.00042482+0.00030331i,9.8509e-05+0.0005416i,-1.8446e-06+0.0007198i,0.00043468+0.00071822i
-0.00076779+0.0005861i,0.00039963+0.0013137i,0.00064414+0.0011228i,0.00035641+0.0012135i,0.00015906+0.0015138i,-0.00049246+0.00051389i,-0.000502-0.00047621i,5.5939e-05-0.00014171i,0.00048925+0.00036275i,0.00029602-6.2865e-05i,4.2995e-05-0.00055827i,-5.958e-06-0.00032506i,-0.00039792+0.00023466i,-7.6068e-05-5.4004e-05i,0.00019736-3.4833e-05i,-0.00056087+0.00027568i,-0.00062591-5.6536e-05i,-4.7084e-05+0.00030547i,-0.00015443+0.00065626i,1.9454e-06+0.00010698i,0.00017844-0.00069067i,-4.3587e-05-0.0005249i,-0.00054493-0.00043641i
-0.00022183-0.00014932i,-0.0007195+8.1578e-05i,-0.00066937+0.00084875i,0.00021127+0.0011146i,1.0366e-05+0.00036881i,-0.0010979-0.00036394i,-0.0013303+0.00022072i,-0.0012754+0.00057473i,-0.0010822-9.5087e-05i,-0.0005605-0.0007478i,0.00024452-0.00040563i,0.00038178-0.00015088i,0.00016422-0.00063141i,0.00011683-0.00062524i,0.0004057-3.3598e-05i,0.00064805+0.00019208i,0.00011741+0.00021455i,-0.00085224-0.00028639i,-0.0011162-0.00044576i,-0.00052862-0.00077589i,-0.0005981-0.0016574i,-0.0006603-0.0012948i,-1.397e-05-0.00058734i
-0.001275+0.00081234i,0.00030469+0.0015893i,0.00022906+0.002296i,0.00054109+0.0022815i,0.0011868+0.0021782i,0.00073912+0.0015053i,-0.00032731+0.00090862i,-0.00072699+0.00051501i,-0.00071651+4.1964e-06i,-0.00016353-8.9817e-05i,0.00031043-0.00054298i,-0.00060048-0.00088004i,-0.0014919-0.00025687i,-0.00092256+0.00022767i,0.0010513-7.4283e-05i,0.0013492-0.00055466i,0.00032228-0.00086946i,-0.00024899-9.2097e-06i,-0.000202+0.00068953i,-6.2163e-05+0.00066127i,-0.00036524+0.00041468i,-0.00034068+0.00049979i,-0.00017659+0.00051813i
-0.0011291-0.00058882i,-0.0012138+0.0002527i,0.00021548+0.00028683i,0.00030124+0.00061636i,-0.00018374+0.00064657i,0.00089566+0.000511i,0.0014241+0.00087518i,0.0010354+0.0011811i,0.00096775+0.00096037i,0.00058701+0.00053074i,-0.00037213+0.00011068i,-0.00095481-0.00018982i,-0.00080008+0.00036872i,-0.0006072+0.00085439i,-0.00053638-4.7108e-05i,-4.2378e-05-0.00022428i,0.00015738+0.00047013i,-0.00082184+0.00032612i,-0.0010774-8.8526e-05i,-0.00071984-0.00015189i,-0.00021293+6.4396e-05i,0.00072145+0.00028039i,9.5178e-05+0.00027859i
0.00090978+0.00024857i,0.00084477-0.00027282i,0.00042773+1.3927e-06i,0.0011312+0.00016613i,0.0020787+0.00058058i,0.0019897+0.0011103i,0.0011651+0.0017871i,0.00042622+0.0019665i,0.00080058+0.0010152i,0.0015271-7.7494e-05i,0.0014318-0.0004635i,0.00071321-0.00066521i,0.00040498-0.00053312i,0.00049609+0.00014706i,0.00053169-4.7144e-05i,0.00012995-0.00081827i,-0.00047438-0.00037116i,-0.00064792+0.00034588i,-7.5702e-05+0.00024708i,5.4316e-05-0.00022285i,0.00010106-0.00043568i,0.00042542+0.00041725i,-8.8905e-05+0.00058617i
0.0014724+0.00028883i,0.00074078-0.00027746i,0.0011938+0.0001995i,0.00067075+0.00051304i,-0.00035322+5.1854e-05i,8.6761e-05-0.00014607i,0.00047537+0.00012872i,0.00046722+5.8491e-05i,8.4669e-05+5.0003e-05i,0.0007396-0.00026758i,0.0010775-0.0005729i,0.00063063-0.0010803i,0.0005934-0.001183i,0.00021226-0.00068315i,-0.00023056-0.00036342i,-0.00010776-0.00037875i,0.00024615-0.00028492i,0.00039523+6.9779e-05i,0.00074444-0.00027688i,0.0010155-0.0003111i,9.2239e-05-0.00028992i,-0.00012394-0.00037168i,0.00039802+6.3401e-05i
0.00024087+0.0010173i,-0.00051612+0.00065529i,-0.0013945+0.00038452i,-0.00070832+0.00039863i,0.00049117+0.00016775i,0.00077238+0.00016462i,0.00029996-0.00084609i,-0.00032212-0.0017385i,-0.00023678-0.0010866i,0.00044865-0.0006319i,0.00030691-0.00037537i,-0.00020272+2.3317e-05i,-9.1773e-05+4.721e-05i,-0.00036849+4.5312e-05i,2.1244e-05-2.657e-05i,0.00046812-0.00054209i,0.00036413-0.00040587i,0.00018897-1.0996e-05i,0.00038442-0.00019341i,0.00063204-0.00021369i,0.00092796-0.00037971i,0.00095876-0.0005907i,0.00081248+0.00021977i
-0.0015484-0.0010989i,-0.00080015-0.0015466i,-0.00029314-0.0018992i,-0.00042063-0.0010303i,-0.000496+0.00030428i,-0.00042432+0.00018607i,-3.8851e-05+0.00017994i,0.00045159+0.00097592i,0.00063799+0.00094351i,0.00017943-3.5926e-05i,-0.00024249-0.0010062i,-0.00011596-0.0010182i,-0.00027789-0.00040814i,-0.00097414+8.3847e-05i,-0.0011792-8.7921e-05i,-0.00023152-0.00028115i,0.00063465-2.8987e-05i,-0.00025545+0.00028365i,-0.00090196+0.00079004i,-0.00098994+0.00071141i,-0.00042149+0.00039778i,0.00015239+0.00037093i,-0.00045088-0.00020298i
0.00074698-0.00028356i,-0.00035593+2.7704e-05i,0.0002229+0.00051132i,0.0010894+0.0014776i,-0.00017955+0.0010454i,-0.00076401+0.00081331i,-0.0007974+0.0014165i,-0.0012949+0.0015951i,-0.00091025+0.0009033i,8.9448e-05-0.00018851i,0.00010966-0.00029737i,-0.00097397+0.00025041i,-0.0011371+1.0902e-05i,-0.00038416-1.7793e-07i,-0.0002483+0.00024954i,1.4431e-05-0.00041391i,0.00023224-0.00054149i,0.00050112-9.0831e-05i,0.00074848-0.00033701i,9.1632e-05-0.0004858i,-0.00028429-0.00034177i,-1.7654e-05-0.0001198i,-0.00021042-6.1419e-05i
-0.00040884+0.00010682i,-0.00011051+0.00024071i,9e-05+0.0015425i,0.00077403+0.0023313i,0.0015008+0.0023055i,0.0006386+0.0023927i,-5.2789e-05+0.001887i,-0.00010568+0.0012577i,-0.00064032+0.00091354i,-0.00090623+0.00051546i,-0.0012477+0.00022733i,-0.0010348+4.7758e-05i,-0.00028333-0.00019289i,-0.00029571-6.2531e-05i,-1.9069e-06-0.00025989i,0.0010107-0.0014052i,0.00082992-0.0010132i,8.4702e-05-6.7337e-05i,0.00020991+0.00083077i,0.0003775+0.0010435i,0.00090456+2.0032e-05i,0.00083041+7.9337e-07i,-9.5708e-05+0.00013853i
-0.0017353-0.0015734i,-0.0017287+0.00034937i,-0.0017415+0.00073598i,-0.00074968+0.00080127i,0.00010039+0.0014457i,0.0010325+0.00086047i,0.0015009+0.00020472i,0.0014415-8.4465e-05i,0.0015774-7.2101e-05i,0.00069753+2.6747e-05i,0.00025417-0.00010924i,0.00034576-3.231e-05i,-0.00029002+9.181e-05i,0.00020351+0.00012202i,0.00032506-0.00036061i,-0.00016376-0.0006257i,-0.000413-0.00066217i,-0.0010708-0.00045981i,-0.0011215+7.1051e-05i,-4.6844e-05+0.00065053i,0.00050262+0.00056594i,0.00031508+0.00059781i,0.00011842+0.00046385i
0.0012254-0.00088421i,0.00072923-0.00093017i,0.00087793+0.00027953i,0.00055432+0.0011654i,0.00053647+0.00060823i,0.0016755+1.2897e-05i,0.0021503-0.00017094i,0.0022352-0.00030672i,0.0018108-0.00020939i,0.00095217-0.00034866i,0.00027945-0.00033124i,-0.00033691+0.00021672i,-0.00056848+0.0012038i,6.3127e-05+0.0013877i,6.159e-06+8.6584e-05i,-0.00036209-0.00096985i,-0.00054765-0.00060803i,-0.00041929+2.095e-05i,-5.459e-05+0.00028686i,-0.00038638-8.3298e-05i,-0.00036716-0.00033531i,0.00016335-0.00028807i,9.5896e-05+0.0001309i
0.00022423+0.00071584i,-0.00018404+0.0016623i,-0.00094913+0.001486i,-0.00037688+0.00091652i,-0.00018615+0.00072561i,0.00022972-0.00052526i,0.0010981-0.0019139i,-9.2801e-05-0.0017444i,-0.000464-0.0009843i,2.8513e-05-0.001058i,1.4426e-05-0.00073254i,-0.00012807-0.00036598i,-0.00013837-0.00064474i,0.00073498-0.00056084i,0.00079789-0.00023403i,0.00050503-0.00040955i,0.00024213-0.00036406i,-0.00045761+1.303e-05i,-0.00036753+0.00030353i,4.893e-05+0.00054487i,-0.00033927+1.0756e-05i,-0.0001503-0.00022735i,1.7605e-05+0.00038184i
-0.00043608+0.0012043i,-0.0013131+0.0017089i,-0.0013989+0.0016981i,-7.0802e-05+0.0009878i,0.00080019+0.00024531i,0.00039126-0.00025942i,-0.00037262-0.00054458i,-0.0012354-0.00036194i,-0.00063997-0.00069138i,0.00041051-0.0016032i,0.00019278-0.0020887i,-0.00015386-0.0018469i,-0.00011464-0.0014898i,-0.00025358-0.00072213i,-9.3163e-05+0.00018805i,0.000595-7.9547e-05i,0.00051698-0.00081002i,1.1666e-05-0.0009374i,-0.00042191-0.0010496i,-0.00072599-0.0014572i,-0.00044824-0.00084105i,-9.1373e-05-7.6942e-06i,-0.00052005-8.0181e-05i
-0.0021297-0.0026342i,-0.0019889-0.0023492i,-0.0022913-0.00096203i,-0.0018218+0.00072032i,-0.0011233+0.0019968i,-0.0012024+0.0017409i,-0.0018865+0.001295i,-0.0025428+0.0011314i,-0.0020425+0.00029846i,-0.00098335+0.0003865i,-0.00081796+0.00062016i,-0.00066259+0.0003949i,0.00020069+7.4109e-05i,0.00075411-4.3202e-05i,0.00037814-0.00023652i,0.00031158-0.00029153i,-9.76e-05-0.00043424i,-0.00020792-4.5539e-05i,0.00027041+0.00054617i,-2.0705e-05+6.3217e-05i,-2.5229e-05-0.0011251i,0.0001011-0.00098204i,-0.00035923-0.00041118i
0.00039506-0.0019653i,-0.00015913-0.0009143i,-0.00089206-0.00063693i,-0.00070897+4.5433e-05i,-0.0002761+0.0011798i,-0.00071366+0.0017967i,-0.0012401+0.0013228i,-0.000729+0.0012995i,-0.0002654+0.00081152i,-0.00032842-0.00023693i,-0.00051698-0.00025168i,-0.00038451+0.00035804i,-0.00074374+0.00062513i,-0.00035241+0.00064952i,0.00045631+0.0012195i,0.00024882+0.00088585i,-0.00051838-0.0001666i,-0.0014291-0.00038383i,-0.0014999-0.00013445i,-0.00092765+7.3665e-05i,-0.00025608+0.00016626i,-0.00028229-0.00036248i,-0.00048353-0.00050289i
-0.00035669+0.00024326i,-0.00070707+0.0006808i,-0.00016307+0.00091159i,0.00017012+0.00086696i,-0.0002076+0.0013889i,0.00044696+0.001594i,0.00080538+0.0019073i,0.000379+0.0016605i,-0.00013607+0.00077008i,9.9528e-05-1.0984e-05i,0.00014078-0.00086358i,-0.00046291-0.0016448i,0.00020127-0.0010393i,0.00095364+0.00012709i,0.00048573+0.0001893i,7.8721e-05-0.00013183i,0.0002274-0.00034791i,-3.527e-05-0.0003285i,3.6258e-05+0.00014533i,0.00062519+0.00024416i,0.00021657+0.00035361i,-0.00029556-0.00043261i,0.00054896-0.00051775i
-3.9557e-05-8.8747e-05i,3.4746e-05+9.9564e-05i,-0.00055481+0.0006863i,-0.00024509+0.0014117i,-0.00023208+0.001406i,-0.00050306+0.00047211i,0.00054628-0.0001265i,0.00092465+0.00018173i,0.00017184+0.00076696i,0.00032717-0.00035921i,0.00096503-0.0012616i,0.00091662-0.00042249i,0.0007945-0.0003827i,0.00089641-0.00094956i,0.00082192-0.00097916i,0.00040223-0.00016343i,0.00057996+0.00015136i,0.00076352+0.00053522i,0.00037527+0.0015299i,0.0004178+0.0011257i,0.00015619+0.00036347i,-0.000132+0.00012627i,0.00042121+0.00081977i
0.0015224+0.00018236i,0.00078392+0.00063636i,0.00067263+0.0014071i,0.0014445+0.0024961i,0.0022549+0.0027156i,0.0024827+0.0017144i,0.0014465+9.3609e-05i,0.00078696-0.00028537i,0.00023188+0.00011174i,1.4241e-05-1.8381e-05i,-0.00035492-0.00016868i,-0.0010753+8.7754e-05i,-0.001132+0.00017377i,-0.0005792-0.00032797i,0.0002467-0.00031951i,0.00024122-0.00026072i,-0.00089337-0.00019498i,-0.00080285+0.00053927i,0.00069162+0.00047634i,0.00085804-0.00031785i,0.00011717-0.00073771i,-0.00075223-0.00023494i,-0.00067077+6.5341e-05i
0.00078736+0.00024767i,0.00015826+0.0012941i,-0.00020171+0.0011505i,-0.00042856+0.0012744i,0.00014858+0.00096623i,0.00024349-0.00034743i,-0.00078954-0.00040336i,-0.0014159+0.00018198i,-0.00083979+0.00014001i,-0.00018307-0.00065054i,-0.00033009-0.00074895i,-0.00093865-0.00022152i,-0.00085429-0.00029278i,-0.00043192-0.00072221i,-0.00020548-0.00027028i,0.00018142+0.00017801i,-0.0002907+0.00017256i,-0.00049923+0.00058009i,-0.00030476+0.00091631i,-0.00024715-1.6053e-05i,-6.91e-05+0.00010352i,-0.00042022+0.00023281i,0.00032513-4.4963e-05i
-0.00012743-0.0016129i,0.00029131-0.0017875i,0.00055949-0.0010967i,0.0014545-0.0006121i,0.001359-0.00048087i,-0.00061016-0.00021347i,-0.0015158+0.00039056i,-0.0011343+0.0007438i,-0.00063619+0.00055661i,-0.00021844+4.5963e-05i,-0.00029703-0.00068512i,-0.0002826-0.00072424i,-0.00055859+0.00050864i,-0.00036456+0.0015031i,-5.014e-05+0.00091958i,0.00018279+0.00016086i,-0.00044666-0.00011562i,-0.00070531-0.00021335i,-0.00031811-0.00010042i,-0.0004996-3.0157e-05i,-0.0007364+4.6024e-06i,5.8526e-05+1.8011e-05i,0.00068008+4.4326e-05i
0.0034823-0.0011166i,0.0022584-0.00085267i,0.0011425-0.0013688i,0.00024716-0.0019058i,-0.001104-0.0019095i,-0.00094546-0.00086975i,0.00012434+0.00023885i,0.00091006+0.00057243i,0.001043+0.00014029i,5.9613e-05-0.00031956i,-0.00048262+9.0574e-05i,-0.00016024+0.00071043i,2.3288e-05+0.00075681i,-0.00011279+0.00089555i,-1.5145e-05+0.00080585i,-5.893e-05-1.7096e-05i,0.00073721-0.00055767i,0.00098365-0.0003083i,0.00086289+0.00018661i,0.0010594-1.6739e-05i,0.0010063-9.1952e-05i,0.00057619+0.00041443i,-0.00015888+0.00014853i
-0.00023054+0.0026843i,0.0014263+0.0017436i,0.0029142+0.0009908i,0.0029054+0.0013109i,0.0019823+0.001124i,0.0016615+0.00098238i,0.00086321+0.0009279i,-0.00023308+0.00070355i,0.00030555+8.0669e-05i,0.00070947-0.00055893i,0.00058723-0.00033688i,-5.6184e-05-0.0002063i,-0.00035969-0.00059938i,-0.00014841-0.00046103i,0.00032825-6.9774e-05i,0.0010808+0.00056466i,3.0394e-05+0.001194i,-0.00092808+0.0012486i,-0.0004194+0.00082656i,0.00011503+0.0010462i,0.00052877+0.00090615i,0.00030104+0.00018717i,7.051e-06+0.00028864i
-0.0025938-0.00078882i,-0.0045134+7.4887e-05i,-0.004255+0.00090505i,-0.0019746+0.0019843i,0.0001917+0.002417i,0.00059789+0.0023688i,0.00018157+0.0015533i,0.00013675+0.00028509i,7.7652e-05+2.6149e-05i,0.00020185+0.0003895i,8.2381e-05-0.00026913i,-0.00038473-0.00075539i,-0.00022198-0.00059811i,0.0004011-0.0004867i,0.00021345-0.00028643i,0.00047691-0.00031342i,0.0012138-4.6038e-05i,0.0010281+8.628e-05i,0.00062374-4.8225e-05i,-1.6106e-05+0.00016731i,-0.00019153+0.00065791i,0.00025133-4.8961e-05i,-0.00023644-0.00035211i
-0.0017758-0.0012911i,-0.0014429-0.00071073i,-9.9889e-05+0.00037553i,0.00074748+0.0021882i,0.0011569+0.0026045i,0.0015846+0.0013754i,0.00083758+0.00017104i,-0.00053625-0.00079895i,-0.00044817-0.0006988i,-0.00012047+0.00033754i,-0.00049874+0.00046517i,-0.00141-0.0003694i,-0.0011446-0.00083331i,-0.0003218-0.00053738i,0.00019407+0.00031343i,0.00041488+0.00068981i,0.00039001+0.00034884i,0.00028639+0.00015604i,-0.00031699-9.3385e-05i,-0.00096589-0.0011409i,-0.00090334-0.00087284i,-0.00028895-7.7311e-05i,-1.5623e-05-7.4476e-05i
-0.001044+0.0011753i,-0.00096589+0.0016188i,-1.4617e-05+0.0025952i,0.00048552+0.0028571i,0.00053967+0.0025021i,0.00067761+0.0017833i,0.0002178+0.00020768i,-0.00037962-0.00064312i,-0.00041755-0.00025954i,-0.00017709+0.0002011i,0.00019487-0.00013552i,3.7203e-05-0.00016582i,-0.00045571+0.00021573i,-0.0002946+3.9414e-05i,0.00052217-0.00031564i,0.0011739-0.00043466i,0.00037797-0.0005903i,-0.00055954-0.00038142i,-0.00015405+0.00034321i,0.00017425+0.00062132i,-9.896e-05+0.00026758i,-0.00046559+0.00026356i,-0.00017916+0.00019504i
-0.002782+0.0014822i,-0.0018492+0.0029197i,-0.00060385+0.0042808i,0.00088608+0.0041136i,0.0020112+0.0035728i,0.0020979+0.0025804i,0.00063696+0.0014488i,-0.00085556+0.0010687i,-0.00054868+0.00097261i,-0.00072234+0.0004318i,-0.00092949-0.00032364i,-0.00052829-0.00046193i,-0.00061468-0.00023866i,-9.896e-06-0.0002492i,0.00060923-0.00021567i,0.00022803+0.00017497i,-0.00044005+0.00043013i,-0.00065475-2.6992e-05i,-0.00039909-0.0004301i,0.00038922-0.0004292i,0.00033489-0.00023865i,-8.7877e-05-0.00019887i,0.00016771-0.00019273i
-0.0011641-0.00063975i,-0.00069148-0.0020212i,0.0001738-0.0020997i,-0.00024636-0.00028296i,-0.00022584+0.00031213i,-6.6445e-05-3.8987e-06i,-0.0007386+0.00019034i,-0.00063907+0.00049378i,6.8654e-05+0.00019472i,0.00043115-0.0010728i,-0.00021118-0.00038745i,-0.00076489+0.00090907i,-0.000508+0.00087021i,0.0002981+0.00021041i,0.00078633-1.1536e-05i,0.00010995-3.7396e-05i,9.2291e-05-0.00036957i,0.00016429-0.0003152i,-0.00026121-0.0003619i,-6.6332e-05-0.00022389i,-0.00044768+0.00045483i,-0.00016745+0.00012939i,0.00062675-0.00077474i
-0.00086178+0.0021183i,0.00097247+0.0021744i,0.0016082+0.0015509i,0.0013279+0.0014716i,0.00096671+0.0011365i,0.00017452+0.00097377i,-0.00026816+0.00078611i,-2.5064e-06+0.00091938i,0.00078959+0.00095339i,0.0013582+0.00015896i,0.0012728-8.609e-05i,0.00054171-8.3747e-05i,-0.00025727-0.00067574i,-0.00035755-0.0012183i,0.00030589-0.0009388i,0.0005683-0.00046867i,0.00038057-0.00014691i,0.00037908+0.00041262i,0.00018876+0.00072563i,-0.00032511+0.00060011i,-0.00044693+0.00071988i,-0.00036285+0.0004763i,-2.847e-05+0.00043753i
0.00091509-0.00021889i,0.00093849+0.0020536i,0.00085451+0.0026107i,8.6091e-05+0.0019632i,-0.00031492+0.0013539i,0.0003631+0.0015644i,0.00068812+0.0016471i,-9.3444e-06+0.00041995i,-0.0007267+5.146e-05i,-0.0005393+0.00054203i,0.00054394+0.00051153i,0.00085539+0.00037442i,0.00030535-0.00034261i,0.00064818-0.0010111i,0.0011693-0.00099209i,0.00072917-0.00089513i,-0.00035412-0.00079541i,-0.00056205-5.3612e-05i,-0.00041982+0.00038241i,-0.00040907+0.00032167i,-0.00037238+0.00069543i,-0.00026101+0.0011913i,-0.00039688+0.00080276i
0.00026149-0.0018566i,0.00010271-0.0019094i,-0.00069749-0.0017102i,-0.0014808-0.001462i,-0.001414-0.00088302i,-0.00026101-0.00020948i,0.0011851-0.00020287i,0.0014694+2.4557e-05i,0.0010684-0.00024114i,0.00064043-0.00084219i,-0.00011018-0.00019733i,-0.00042739+0.00046315i,-0.00039381+0.00011756i,-5.6718e-05-0.00032126i,0.0001345-0.00064755i,-6.1488e-05-0.0003279i,-0.00054889-0.00026187i,-0.0004829-0.00053555i,-0.00032907-0.00056345i,-0.00052595-0.00091397i,0.0001736-0.0002935i,0.00054093+0.00068017i,-9.9844e-05+0.00023087i
0.0010798-0.0018351i,0.00021534-0.001645i,-0.00067824-0.0012501i,-0.0011049-0.00051232i,-0.00014883+0.00037277i,0.001021+0.00096429i,0.0016055+0.00027383i,0.0017831-0.00041841i,0.0015123-0.00050053i,0.0010464-0.00018645i,0.000655-8.24e-05i,0.0012042+0.00019674i,0.00082756+0.00031541i,0.00088272+0.0002293i,0.0008213+0.00017837i,-0.00059307-0.00010944i,-0.00037842-0.00031137i,0.00025541-0.00042172i,0.00070077-0.00030516i,0.00076041+0.00073436i,-9.5897e-05+0.0012079i,-0.00072597+0.00079197i,-0.0003303+0.00062304i
0.00037372-0.00036082i,-0.00056657+0.00031986i,-0.00069836+0.00033329i,0.00039975+0.00046884i,0.00030309+0.00097492i,-5.2485e-05+0.00075886i,0.00015652+0.00068242i,0.00031439+0.0011978i,9.0406e-05+0.00086659i,0.00024223-0.00038494i,0.00031422-0.0006222i,-0.00021595+0.00022593i,-0.00031267+0.00031057i,-0.00045707-0.00013422i,-0.00045227+0.00012838i,-5.4275e-05-0.0001208i,0.00030773-0.00059901i,0.0007506-0.00024711i,0.00063224+0.00027114i,-5.292e-06+0.00039423i,-7.5451e-05+0.00015365i,0.00021622-0.00050089i,1.4768e-05-0.00038167i
-0.00038016-0.0010318i,-0.00144-0.00091836i,-0.0015092-0.00090904i,-0.00029672+0.00045303i,0.00022079+0.0011217i,1.1206e-05+0.00051013i,2.9423e-05+0.00013972i,-0.0006405+4.5262e-05i,-0.0011317-0.00039505i,-0.00092839-0.00096533i,-0.00063665-0.00062528i,-0.00058271+6.0849e-05i,-0.00084523-8.6835e-05i,-6.0771e-05-0.00033999i,0.00082108+0.00033865i,-2.6212e-05+3.8876e-05i,-0.00020073-0.00021503i,0.00044259+0.00023697i,0.00051058+0.00099658i,-0.00032521+0.00092064i,-0.00043384+0.00071075i,-0.00031518+0.00088093i,-0.00047393-0.00058935i
0.0031723-0.00017186i,0.0022691-0.0021572i,0.0015431-0.0015118i,0.00049011-7.8239e-05i,9.856e-05-0.00021859i,0.00018924-0.00034836i,6.0658e-05-2.2606e-05i,0.00012426+0.00017452i,0.00028725+0.00044323i,-0.00021114-0.0003861i,-0.00039609-0.0010659i,-0.00046887-0.00096743i,-0.00047031-0.00083813i,-0.00032269-0.00049752i,0.00022365-0.00020917i,-2.2341e-05-0.00054217i,-6.2827e-05-0.0010132i,0.00068704-0.00078259i,0.0011428-0.00048006i,0.00064643-0.00041552i,0.0002099-1.8328e-05i,0.00050683-0.00022572i,0.00027044-0.001018i
0.00099998+0.0019889i,0.001584+0.0020066i,0.0018848+0.0024555i,0.0021717+0.0019099i,0.0020814+0.00099081i,0.00062505+0.00045228i,-0.00049336+0.00042532i,-0.0006022+0.00063135i,-0.00036773+0.0004506i,-0.00023941+0.00046838i,-0.00073241+0.00047575i,-0.001247-8.3128e-05i,-0.0010345-0.0010704i,-0.00063331-0.0010259i,-0.00045086+0.00023999i,7.1298e-05+0.001062i,-2.5619e-05+0.0010535i,0.00024172+0.00020344i,0.00053109+1.6765e-05i,0.00053206-1.5066e-05i,0.00052239-0.0008351i,-0.00025984-0.00029147i,-0.00081523+0.00073618i
-0.0015972+0.0012809i,-0.0012139+0.0024083i,-0.00031354+0.0028491i,0.00058797+0.0029335i,0.0014127+0.0022i,0.0011205+0.0014665i,0.00032247+0.00075961i,-0.00020441-3.0452e-05i,-4.3908e-05+0.0002047i,0.00046752+0.00041805i,0.00052406-8.82e-05i,-0.00053586+0.00014453i,-0.00017726-0.00014757i,0.00043356-0.00073067i,0.00026617+7.1651e-05i,-0.00034857+0.00073596i,-0.0012033+0.00021806i,-0.0013129+0.00027634i,-0.00070955+0.00049051i,0.00019205+0.00016264i,-0.00014649-0.0004096i,-0.00050987-0.00042435i,-7.8187e-05-9.0481e-05i
-0.0020586-0.00082263i,-0.0014869-0.00087968i,9.0234e-05+0.00057649i,0.0011358+0.0013288i,0.0016155+0.0016918i,0.0020535+0.00071836i,0.0015052-0.00019i,0.00023438-0.00080732i,0.00016713-0.00044972i,0.0011113+0.00065154i,0.00081477-0.00060979i,-6.4058e-06-0.0011584i,-0.00076039-0.00013543i,-0.00092504-0.00016508i,-0.00022316-0.00012978i,-0.00023289-0.00032708i,-0.00055981-0.00089692i,-0.00029143+0.00056771i,0.00025029+0.0015965i,0.00032023+0.00053619i,4.2622e-05+3.7308e-05i,0.00051795+0.00013139i,0.0014355+0.00022086i
-0.00061764+0.0023974i,-0.00052374+0.0023509i,-0.00051045+0.0027802i,0.0003943+0.0029641i,0.00083819+0.0023888i,0.00066955+0.0012767i,-0.00034862-3.5472e-05i,-0.00032516-0.0002717i,-7.0657e-05-8.2045e-05i,-0.00052203-0.00022636i,-0.00029271-0.00065169i,0.00055198-0.00045384i,0.00066247+2.4328e-05i,0.00078352+0.00028049i,0.0014344+5.3783e-05i,0.0010043-9.6566e-05i,0.00018643+0.00050273i,-0.00041021+0.00088302i,-0.00062688+0.00067835i,-0.00022225+6.6254e-05i,0.00031695-0.00030337i,0.00030461-0.00061235i,2.0732e-05-0.00058057i
