-0.00329+0.000577i,-0.0018785-0.00088627i,-0.0026784-0.00082127i,-0.0024636+0.0012567i,-0.0019427+0.0023017i,-0.0013956+0.0020181i,-0.00032491+0.0026378i,0.00076545+0.0020904i,0.0014586+0.00097555i,0.00099255+0.00047818i,0.00031798-0.00052707i,0.00015504-0.0011414i,0.00029033-0.00098751i,7.5025e-05-0.0003206i,-6.8483e-06+0.00040021i,0.00037566+0.00039277i,0.0013053-0.0001567i,0.00057938-0.00059711i,-8.4652e-05-0.00023506i,0.00066905+0.00017535i,0.00033932-5.3815e-05i,-0.0005136-0.0002809i,-0.00036985-0.00048824i
0.0038343+0.00019491i,0.004509+0.00067325i,0.0039371+0.00012553i,0.0025109-0.00018717i,0.00091453-0.00034334i,-0.00058227-0.0009285i,-0.00028505-0.00048452i,0.00059892+0.00015573i,0.0010879-0.00045806i,0.00073892-0.0016472i,-0.00097692-0.0023144i,-0.0012564-0.001576i,-0.0011983-0.00072484i,-0.0020685-0.00058303i,-0.0017677-0.00060991i,-0.00030934+4.4825e-05i,-8.5385e-05+0.00029118i,-2.1153e-05-0.00010255i,0.00072647-0.00026715i,0.00013679-0.00013157i,-0.00083817-0.00011725i,-0.00079001-0.00034422i,-0.00048989+8.6832e-06i
-0.0018407+0.0021496i,-0.002774+0.0020092i,-0.0025404+0.0026855i,-0.0019126+0.0026002i,-0.0022991+0.0013042i,-0.0019681+0.00061128i,-3.9041e-05+0.00086712i,0.0010117+0.0013011i,0.00070944+0.001208i,-0.00048206+0.00045574i,-0.0017743-0.00044142i,-0.0018772-0.00098321i,-0.0010544-0.00098456i,-0.00071781-0.00067185i,-0.00073945-0.00040277i,-0.00018914+4.3279e-05i,0.00084105+0.00047442i,0.0011452+0.00038952i,0.00012796+0.00051116i,-0.00029382+0.00066962i,-0.00039934+0.00073896i,-0.000427+0.00075332i,-0.00061922+0.00056019i
-0.00045941-0.0034326i,-0.00085289-0.0034488i,-0.00044688-0.0034358i,-0.00057287-0.0022747i,-0.00036807-0.000414i,-0.00016822+0.00014768i,-0.00022933+0.00018444i,0.00072253+0.00043564i,0.00073867-0.00050325i,0.00081921-0.00041516i,0.0012091+0.00068672i,0.001607+0.00074338i,0.0022408+0.00059972i,0.0022622+0.00080851i,0.0019522+0.00057486i,0.0021715-0.00029644i,0.0016766-0.00032717i,0.0010939+0.00071467i,0.000537+0.00073635i,-0.00010686+0.00049438i,-0.00052003+0.00014447i,-0.00014938-0.00035364i,0.0004902-0.00063473i
-8.6809e-05+0.00073106i,0.00038915+0.00060501i,-0.00022058-3.0288e-05i,-0.0013581-0.00096074i,-0.00089602-0.00076278i,-0.00069105+0.00068741i,-0.00036253+0.0015229i,0.00065939+0.00083185i,0.0015212-0.00023887i,0.0030144-0.00011609i,0.0041477+0.00079238i,0.0034843+0.0010909i,0.0021142+0.00087587i,0.00063024+0.00060834i,0.0001357-9.5854e-05i,0.0012817-0.00081582i,0.0013532-0.0013049i,-0.00028418-0.0011582i,-0.0011058-0.00057151i,-0.00064262+5.4474e-06i,-0.00035336+0.0002266i,-5.4281e-05+0.00076512i,0.00047753+0.00058295i
0.001078-0.00090626i,0.0022053-0.0016204i,0.0028194-0.0022185i,0.0022065-0.0018705i,0.00069663-0.0013057i,-0.00049197-0.00046814i,-0.00044144+0.00033579i,0.00047166+0.0007157i,0.0004014+0.00011448i,8.9757e-05-0.0008824i,0.00027566-0.0018987i,-0.00082797-0.0025703i,-0.00235-0.0024267i,-0.0020873-0.0021393i,-0.0014684-0.0019544i,-0.0010126-0.0016323i,-0.00029231-0.0015415i,-3.25e-05-0.0016431i,0.00046799-0.000881i,0.00049483-0.00011009i,-0.00018188-0.00019205i,-0.00015108-0.00026288i,0.00018231-0.00012862i
-0.00098502+9.1872e-05i,-0.0021035+0.00055985i,-0.0015113+0.0009224i,-0.00075439+0.0011318i,-0.0012146+0.0020133i,-0.0015784+0.0026777i,-0.00048014+0.0024114i,5.2513e-05+0.0014313i,0.00039365+0.00074608i,0.00055348-0.00037516i,6.5352e-05-0.0013542i,7.6615e-05-0.00085447i,0.00014956-0.00076779i,9.6377e-05-0.0006977i,0.00069712+0.00030878i,0.0015665+0.0006593i,0.0015611+0.00030834i,0.00074303+0.00036371i,-0.00021298+0.0004795i,-0.00039271+0.0001653i,0.0001219-0.00017152i,0.00050052+0.00081053i,0.00060018+0.00052664i
0.0014323-0.0020793i,0.00027028-0.0030275i,-9.6186e-05-0.0042261i,-0.00068457-0.0030759i,-0.0015163-0.0012433i,-0.0014215+0.00064637i,-0.0011533+0.0017779i,-0.00012976+0.0010436i,0.00045238+0.00020429i,-5.0584e-06-0.00028576i,-0.00017934-0.00010576i,0.00039054+0.00077348i,0.0012148+0.0013529i,0.0013455+0.0017982i,0.0010523+0.0023166i,0.0010124+0.0017357i,0.0010999+0.00071384i,-0.00016613+0.00045229i,-0.0015621+0.00034981i,-0.0015217+0.00074898i,-0.00068906+0.0003608i,0.00038651-0.00050433i,0.0002396-0.00034228i
0.0018017+0.00098516i,0.0035418+0.0016212i,0.0032512+0.00086591i,0.00084527-1.4359e-05i,-0.00044214-0.00060832i,-0.00084407-4.5025e-05i,-0.00051932+0.0010156i,0.00023268+0.0017039i,0.00081645+0.0013413i,0.00046748+0.0010765i,0.00017795+0.0011429i,0.0011726+0.0019123i,0.00093175+0.0021843i,-0.00034607+0.0014541i,-0.00031822+0.00066927i,0.00046774-0.0003079i,0.00079257-0.00078524i,0.00061245-0.00094979i,-0.00020261-0.00055001i,-0.00017598-2.0704e-05i,-3.2765e-05-0.00037848i,-0.00070709-9.7191e-05i,-0.001107+0.00075124i
0.0042214-0.0015645i,0.0020374-0.00082903i,0.0019415-0.00076926i,0.00071966-0.0010762i,-0.0011543-0.0011964i,-0.0019273-1.6742e-05i,-0.0015877+0.0015046i,0.00040951+0.0014391i,0.0018544+0.00047884i,0.00066468-0.00094053i,0.00030821-0.0019032i,0.00047481-0.0016686i,-0.0004159-0.0017762i,-0.0010041-0.0018374i,-0.00092429-0.0016014i,-0.00067223-0.0014003i,-0.00033662-0.0010397i,0.00023163-0.00089967i,0.00039557-0.00075609i,4.6203e-05-0.00102i,0.0002548-0.00087493i,5.8889e-05-6.9727e-05i,-0.00078285+0.00038785i
-0.0012566-0.0012334i,-0.00068369-0.0019347i,-0.00054765-0.0011359i,-0.00075248-0.00036063i,-0.00079911+0.00040325i,-0.00083537+0.00076905i,-0.0008715+0.00045847i,-0.00095519-0.00029825i,-0.00021653-0.0012044i,0.0004928-0.0020717i,-3.0301e-05-0.0026782i,-0.00019936-0.0027102i,0.00099008-0.0020996i,0.001141-0.0013549i,0.00051935-0.000392i,0.00068311-4.1736e-05i,0.00080645-0.0001033i,0.00091407-0.00053823i,0.0010721-0.00038872i,0.00077335-0.00048343i,0.0003355-0.00021018i,-0.00021774+8.9252e-05i,-0.00037948+6.2784e-05i
0.0014291+0.001943i,0.0021584+0.0014261i,0.0029926+0.00072528i,0.0022625+0.00033782i,-8.2792e-05+0.00033233i,-0.00089599+0.0003931i,0.00031325+0.00050842i,0.0010311+0.00090337i,0.00085027+0.00069193i,0.00015977-0.00023564i,-0.00088665-8.361e-05i,-0.0011045+0.00093537i,2.1447e-06+0.0015233i,0.00025087+0.0016691i,-0.00051748+0.0012042i,-0.00061421+0.0012543i,-8.4962e-05+0.0010626i,-0.00031282+0.00013395i,-4.7301e-06+0.00019522i,-0.00030245+0.00087737i,-0.00079877+0.00051265i,-0.0005076-0.00025762i,-0.00018728-0.00068747i
0.0015754+0.00049159i,0.0019969+0.00055009i,0.0025629+6.7642e-05i,0.0013173-0.00048865i,-0.001387-0.0016029i,-0.0022721-0.00064077i,-0.00035727+0.0019613i,0.0011423+0.0023186i,0.0009093+0.00099514i,-2.8978e-05+0.00033455i,-0.00082528+0.0011809i,-0.00064764+0.0021111i,-9.9474e-05+0.0010568i,-0.00036102+0.00021618i,-0.00047187+0.00062037i,0.0004128+0.00052823i,0.0010408-0.00043303i,0.0007475-0.00082781i,-0.0003708-0.00038053i,-0.00086407-0.00023712i,-0.00030451-0.00064608i,3.5127e-05-0.0009078i,0.00033979-0.0007424i
-0.0014074-0.0013629i,-0.0013884-0.0010316i,-0.001557+0.00030266i,-0.0017567+0.0022002i,-0.0014894+0.0016894i,-0.00057378+0.0001818i,0.0003114-0.00022217i,0.00070952+0.00034088i,0.00029786+0.00052i,0.00062391-3.1453e-05i,0.0017095-0.00046279i,0.0024626-0.0012495i,0.0015027-0.0017232i,0.0007698-0.0015839i,0.0011001-0.0009469i,0.0013979-0.00034529i,0.0010235-0.00022641i,0.00054001-0.00021193i,0.0003729-0.00058677i,0.00043184-0.00042746i,0.00049821+0.00038901i,0.00051272+0.00046066i,0.00022996+0.00070478i
0.0013321-0.0022598i,2.8395e-05-0.0021043i,-0.0013345-0.0026135i,-0.0015342-0.0021859i,-0.0016834+0.00018965i,-0.0010737+0.0010485i,-0.00066621+0.00014359i,-0.00036915-0.00048453i,8.8549e-05-0.00095447i,0.00066389-0.00084609i,0.0017525-0.00074032i,0.0018829-0.0019018i,0.00097993-0.0020461i,9.2417e-05-0.0013677i,-0.0006387-0.0010328i,-0.0011961-0.00053368i,-0.00057117-0.00017643i,0.00032043-0.00016049i,0.00040359+0.00034697i,5.7985e-06+0.00039173i,-0.00010405-2.1179e-05i,-0.00014881+0.0001488i,-0.00039451-0.00023333i
0.00048989+0.0017158i,0.0021224+0.00094757i,0.00099868+0.0011197i,0.00035767+0.00058644i,0.0015097+0.00034811i,0.0018493+0.00068578i,0.001355+0.00093112i,0.0013574+0.0012292i,0.0022513+0.00078447i,0.0020274+6.846e-05i,0.00055249-0.00012074i,0.00011766+0.00023142i,0.00061224+0.00073567i,0.00014643+0.00079731i,-0.00023491+0.00070605i,-0.00024049+0.0011828i,2.462e-06+0.0012967i,-0.0002524+0.0011912i,-0.00031699+0.00097307i,0.00010097+0.00082472i,0.00035573+8.1076e-05i,0.00061996-0.00020879i,0.00037654+4.4139e-05i
-0.001321+0.0010537i,-0.00060983+0.0015918i,0.00024509+0.0017222i,-0.00051729+0.00099286i,-0.0011125+0.00017272i,-0.0014262+7.8254e-05i,-0.00096524+0.0003427i,-0.00033832+0.00017716i,-0.0001109+0.00071741i,-0.0010239+0.00081449i,-0.0019141+0.001076i,-0.0025337+0.0018036i,-0.0025041+0.00085355i,-0.0012936+0.00037103i,-0.00043953+0.0008948i,0.00072886+0.00059723i,0.0014006-0.00014503i,0.00070301-0.00030719i,6.083e-05-0.00044194i,-0.00020289-0.00071085i,-0.00072822+0.0002835i,-0.00093612+0.00074044i,-0.0010694+0.00026641i
7.5311e-05+0.0016483i,-0.00061689+0.0017964i,-0.00029172+0.0014685i,-0.00034274+0.0014275i,-0.0006828+0.0012276i,2.5276e-05+0.0011743i,0.00025101+0.0014802i,0.00035551+0.00041206i,0.00076306-0.00081088i,0.00063753-0.00022456i,0.00056547+0.00082702i,0.0018598+0.00049824i,0.0025751+6.5357e-06i,0.0014304+0.00038321i,0.0014611+0.00028914i,0.0020173-0.00054955i,0.0013286-0.0012734i,0.00040209-0.0011582i,-0.00054869-0.00021514i,-0.00015916+0.00010274i,0.00061387+0.00087465i,0.00075842+0.0006322i,0.0011589+0.00036406i
-0.0019461+1.4363e-05i,-0.0019101-0.00038718i,-0.0027568-0.00052257i,-0.0028038+0.0007346i,-0.0014715+0.0011656i,7.2573e-05+0.00096497i,0.00066732+0.0013131i,0.001082+0.0019585i,0.0018199+0.0011994i,0.0025364-0.00031667i,0.0026778-0.0015023i,0.0034282-0.0017261i,0.003126-0.00088041i,0.0016994-0.00051003i,0.00086192-0.00080691i,-5.7339e-05-0.001138i,-0.00098613-0.0011218i,-0.00021862-0.00050685i,3.7612e-05+0.00031113i,-4.0459e-05+0.00036047i,0.00099774+0.00022407i,0.00073872+0.00037039i,-0.00013414+0.00090731i
-0.00014692-0.000674i,0.00072058+0.00024915i,0.0020679+0.0019658i,0.0025888+0.00097228i,0.00044788-0.00010366i,-0.00076331+0.00016314i,-1.8106e-05+0.00042705i,7.1083e-05+0.00075665i,0.00031723+0.00023051i,0.00053478-0.0005755i,-7.7217e-05-0.00061269i,-0.0011235-0.00016208i,-0.00093265+0.00028824i,-0.00051559+4.7178e-05i,-0.00068557-0.00027263i,-0.0012238+5.8517e-05i,-0.00081953+0.00068028i,-0.00015331+0.0004815i,-0.00032-9.8565e-05i,-0.00015475-0.00011298i,0.00057623-0.00038996i,0.00019762-0.00073225i,-0.00034251-0.00048178i
0.00069225-0.00076934i,0.0012038+0.0017971i,0.00018915+0.0027776i,-0.0012977+0.00097701i,-0.0012362+0.000428i,-0.0011154+0.0010606i,-0.00064196+0.00064933i,0.00021543+0.00037195i,0.00017571-0.00045143i,-0.00035404-0.0014522i,-0.001168-0.0016017i,-0.0016834-0.0010719i,-0.0016254+6.7029e-05i,-0.0010806+0.0004569i,0.00016164+0.00098059i,0.00062758+0.0012505i,0.00017947+0.00086224i,-0.0006593+0.00039454i,-0.0013937-0.00068711i,-0.0014336-0.00084546i,-0.00063827-0.00026712i,3.3717e-05-0.00011938i,0.00011947-0.00070729i
0.0015061+0.0018318i,0.0004923+0.00033518i,-0.0012425-0.0027382i,-0.001575-0.0027598i,-0.0014252-0.00093949i,-0.00096231+0.00072627i,0.00035877+0.0015797i,0.00054655+0.0012553i,0.00031074+0.00025077i,0.00048744+4.0781e-05i,-8.7048e-05+0.00047708i,0.00047182-0.00034603i,0.0011369-0.0012124i,0.0005533-0.0013063i,0.0009861-0.00033404i,0.0017486-0.00020648i,0.0010919-0.00069936i,-1.2633e-05-0.00041937i,-0.00077056-0.00038688i,-0.00058489+0.00021358i,0.00049235+0.00070506i,0.00092609+0.00079976i,0.00062871+0.00029187i
0.00025893-0.0015365i,0.00096193-0.0022877i,0.00087682-0.001679i,-0.00022446-0.00032795i,-0.0011061+0.00071569i,-0.00036752+0.0017302i,7.4158e-05+0.0013314i,0.00036276+0.00087574i,0.00085733+0.0011288i,0.0012412+0.0013989i,0.0018996+0.0018289i,0.0029314+0.0020794i,0.003418+0.00070321i,0.0024761-0.0014898i,0.00099774-0.0024187i,0.00050118-0.0021033i,0.00063214-0.0012591i,0.00057093-0.00078198i,0.00019166+0.00037564i,8.2173e-05+0.0014648i,0.00017823+0.0017597i,0.00034994+0.0016225i,0.0002912+0.00078142i
0.0010175+0.0018643i,0.0016286+0.0030901i,0.00099142+0.0042255i,0.0011954+0.0030478i,0.000456+0.0017074i,-0.00015567+0.0010226i,0.00044104+0.0012871i,7.7882e-05+0.0015957i,0.0002297+0.0013924i,0.0011599+0.00021049i,0.0011042-0.00086288i,0.00044162-0.00047939i,-0.00012111-0.00049718i,-5.3328e-05-0.0014809i,-0.00023259-0.0014466i,-0.00079039-0.00089922i,-0.00058182-0.00025213i,2.4074e-05-0.00016251i,-3.769e-05-0.00030665i,-0.00011838+0.00013767i,-9.2279e-05+0.00032935i,0.00015282-0.00033812i,0.00056416-0.00087439i
-0.00044179+0.00082037i,-0.00087818+0.0018569i,-0.0012585+0.0010062i,-0.0011384+0.00025252i,-0.00080084-0.00049625i,-0.00066609-0.00079238i,4.3567e-05-0.00010691i,0.0012843-0.0001667i,0.0015086-0.0015812i,0.0013656-0.0025584i,-0.00031187-0.002918i,-0.0024284-0.0034707i,-0.0021853-0.0032316i,-0.0014615-0.0021825i,-0.0010784-0.00040184i,-0.00077233+0.001225i,0.00027929+0.0011071i,0.0011992+0.00016135i,0.0010253-0.00058356i,0.00041097-0.00082822i,0.00012546-0.00070818i,0.00017894-0.00056982i,0.00061229-0.00072167i
-0.0019124-0.00067788i,-0.002594-0.002194i,-0.0021071-0.0021145i,-0.001459-0.00070658i,-0.0023004+0.00063905i,-0.0022088+0.0014898i,-0.0005903+0.0015899i,0.0010404+0.00077173i,0.0012618+0.00033103i,-8.0916e-05-0.00024771i,-0.0013799-0.00063761i,-0.0011608-0.00015895i,0.00043877+3.874e-05i,0.00038178+0.00061209i,-0.00024598+0.001636i,0.00028692+0.00090228i,0.00032836-0.00054014i,0.00053007-0.00057348i,0.0003065-0.00031007i,-0.00030638-0.00010877i,-0.00049963-0.00010362i,0.00026669+0.00012135i,0.0010402+0.00032052i
0.002024-0.0025821i,0.0037889-0.0021949i,0.0029423-0.0020016i,0.00070414-0.0020535i,-0.00038729-0.0014406i,-0.0008264+0.00013037i,-0.00069832+0.0012112i,8.6932e-05+0.0012127i,-0.00028463+0.00079199i,-0.001073+0.0014167i,-5.8126e-05+0.002802i,0.0013485+0.0036665i,0.0020351+0.0034765i,0.0014164+0.0020831i,0.0012516+9.7e-05i,0.0017525-0.00079987i,0.0011545-0.00046243i,0.00044334-0.00026428i,0.00026428-0.00024029i,-6.6668e-06+0.00075011i,-0.00031821+0.00096735i,-2.5086e-05+0.00049828i,-0.00018742+0.00047684i
0.00042521+0.00345i,0.00077253+0.0046296i,0.0010274+0.0047047i,0.00081391+0.0038516i,0.00031715+0.0024676i,0.00062024+0.0014682i,0.0012106+0.001408i,0.00086006+0.0012708i,0.0011357-0.00011051i,0.0015201-0.0012061i,0.0014795-0.00053462i,0.0015693-6.1071e-06i,0.00083473-0.00094995i,0.0004438-0.0012654i,0.00011408-0.00098308i,-0.00018101-0.0014771i,0.00032973-0.0011027i,6.6468e-05+0.00034794i,-0.00071728+0.00023204i,-0.00075903-2.9223e-05i,0.00015807+0.00030611i,0.00071392+0.00048324i,0.00082957+0.00018988i
-0.0027012-4.5137e-05i,-0.0038527-0.0011574i,-0.0037783-0.0015881i,-0.0022086-0.00075567i,-0.001372-0.00010297i,-0.00058583+0.00034422i,0.00069333+0.00066254i,0.0013754+0.0002488i,0.0014088-0.00033049i,0.00064484-0.001507i,1.588e-05-0.0035513i,-0.00080375-0.0049703i,-0.0015679-0.0047797i,-0.0019461-0.0032481i,-0.0012958-0.0016087i,-0.0008801-0.00050323i,-0.0015762+5.5384e-05i,-0.0016947+0.00035686i,-0.00055792+0.00071684i,0.00024583+0.00037005i,0.00024135-0.00015421i,0.00063946-0.00093609i,0.0013631-0.0018684i
-0.002348-0.00094736i,-0.0020079-0.0023699i,-0.0020087-0.0020702i,-0.0013441-4.4265e-05i,-0.00095025+0.0017429i,-0.00041518+0.0027877i,0.00015205+0.0023794i,0.00067607+0.0016097i,0.00044729+0.001478i,-0.0003789+0.00028801i,-0.00029239-0.0017438i,0.0003024-0.0012823i,0.0011259-0.00019819i,0.0011886-0.00034856i,0.00032395+0.00033049i,0.00024335+0.00098679i,1.7351e-05+0.0005951i,-9.4357e-05+0.00062602i,-7.9578e-05+0.0011916i,-0.00060197+0.0011402i,-0.0010283+0.00080034i,-0.00068102+0.00058814i,-0.00012372+5.2808e-06i
-0.00011322+0.00026679i,0.00075449+0.0014679i,0.0010217+0.0019909i,0.00035653+0.00098213i,-0.00034546+0.00043263i,-0.00017168+0.00021226i,0.00015135-2.7505e-06i,0.00021745-0.000161i,-0.00010273-0.00045607i,-0.00097959-0.00033371i,-0.0018345+0.0017281i,-0.0006006+0.0041454i,0.00099995+0.0043665i,0.00076961+0.0024211i,0.0010049+0.00047689i,0.0012622-3.5296e-05i,0.001667-0.00047691i,0.0016607-0.0011234i,0.00037225-0.00084524i,-0.00060397+0.00026593i,0.00027873+0.0012073i,0.00060097+0.001111i,8.9346e-05+0.00021073i
-0.0018972+0.0011895i,-0.0034985+0.0029416i,-0.0043218+0.0025454i,-0.0025156+0.0022561i,-0.0013597+0.0023392i,-0.0007324+0.00098503i,5.9702e-05-8.6587e-05i,0.00062633-0.00050888i,0.00062017-0.00057193i,0.00034374+0.00029597i,0.0010024+0.00076795i,0.0011683+0.00080671i,-0.00059669+0.00040849i,-0.00066022+6.8265e-05i,0.0018171-0.00032173i,0.0027712-0.00080791i,0.0017822-0.00019781i,0.00048972+0.00076423i,-0.00032864+0.00056764i,-0.00049842-0.00016199i,-8.7059e-05+0.00020689i,0.00013142+0.0003142i,0.00024291+0.00055066i
-0.001479-0.00090295i,-0.0020906-0.0025893i,-0.0011079-0.0034384i,-0.00086476-0.002177i,-0.0013475-0.00015118i,-0.0015444+0.00038112i,-0.00075095+0.00048966i,0.00078158+0.00072922i,0.0014357+0.001036i,0.0026958-0.00022919i,0.0031347-0.002707i,0.0020148-0.004326i,0.0012861-0.0044179i,1.9066e-05-0.0028025i,-0.00046921-0.00096791i,-0.0002807+0.00016797i,-0.00083675+0.00047785i,-0.0013508+1.8503e-05i,-0.0013072+9.5484e-05i,-0.0010721+0.00038469i,-0.00086552+0.00073694i,-0.00096186+0.00070826i,-0.00021065+0.00054513i
0.0026029+0.00076712i,0.0040686-0.00089349i,0.004323-0.00030635i,0.0029117+0.00023977i,0.00047569-0.00020864i,-0.00046885+5.79e-05i,0.00063911+0.0010208i,0.00066664+0.0014619i,0.00044835+0.00057305i,0.00048131-0.0013823i,0.00047706-0.0033497i,0.00062521-0.0033589i,0.0010306-0.001573i,0.0010852-0.00038687i,-0.00031297+0.00024852i,-0.0013759+0.00056905i,-0.00012454-0.00085164i,0.001081-0.00091055i,8.4972e-05-0.00027149i,-0.00050982-0.00047773i,-5.853e-05+0.00026918i,0.00053564+0.0002424i,0.00079609-0.00070148i
0.0011686+0.0013265i,0.0012403+0.0021041i,0.00068769+0.0019726i,-0.00051409+0.00046429i,-0.001749-0.00014982i,-0.0017422+4.4281e-05i,-0.0010845+8.2046e-05i,-7.2951e-05+0.00016905i,0.00029758-0.00025572i,-0.0010178-0.001821i,-0.0027345-0.00070063i,-0.0030583+0.002265i,-0.0011786+0.0033307i,0.0003458+0.0021822i,0.00044455+0.00059959i,0.0011703+0.00058334i,0.0018914+0.00062847i,0.0011556-8.3005e-05i,-0.00029872-0.00011327i,-0.00087966+0.00023727i,-0.00063103+0.00044481i,0.00020119+0.00045371i,0.0006398-0.00046165i
-0.0016603+0.00042909i,-0.0026738+0.00021962i,-0.0029468-0.00081161i,-0.0019076-0.00063185i,-0.0011643+0.0012251i,-0.001312+0.0022587i,-0.00055571+0.0019605i,0.00066457+0.0016169i,0.0013999+0.0008279i,0.0008729+0.00048832i,0.0001099+0.0010881i,2.6441e-07+0.0015731i,-0.00059084+0.00065903i,-0.0008609-0.00046281i,0.00051094-0.00053164i,0.0017162-0.00049084i,0.0014848-0.0010255i,0.00091997-0.00069423i,0.00037162+0.00033281i,-0.00030578+0.0007777i,-0.00072664+0.00088583i,-0.00030207+0.0009423i,0.00091176+0.00059739i
0.00065729-0.00016291i,0.0012644-0.0011124i,0.0015873-0.0021132i,0.0018558-0.0014482i,0.0019168+3.0237e-05i,0.0010019+0.00079564i,-7.1216e-05+0.0015501i,0.00015883+0.0017805i,0.0012628+0.0012222i,0.0020797+0.001062i,0.0029625-0.00060474i,0.0040459-0.0023903i,0.0034921-0.0025926i,0.0010279-0.002337i,0.00025066-0.0016162i,-0.00013343-0.00079403i,-0.0017116-0.00034064i,-0.0010811-0.0002253i,8.309e-05-0.00023777i,0.00050269+9.1105e-05i,0.00058406+0.00031041i,5.3385e-05-0.00068634i,-0.00026602-0.0011951i
0.0021918-0.00081397i,0.0029782+6.2856e-05i,0.0025463+0.0012044i,0.0011617+0.00097733i,-0.00044491+0.0007219i,-0.0016258+0.00085199i,-0.0012438+0.00038524i,6.6762e-05-0.000205i,0.00056601-0.000503i,0.00068252-0.0005183i,0.0016199-0.001153i,0.0026512-0.0014667i,0.0032676-0.00030747i,0.0023643-0.00037459i,0.0001441-0.00083896i,-0.001679-0.00069319i,-0.0013908-0.00058556i,0.00074238+0.00028685i,0.0011398+0.0011547i,0.00016982+0.0013069i,-7.428e-05+0.00089466i,9.0802e-05+0.00038093i,0.0010876-0.00028901i
-0.0010333+0.0020556i,0.00029754+0.0030719i,0.00040211+0.0034085i,-0.00072808+0.0027221i,-0.00061046+0.0021792i,-0.00017478+0.001318i,0.00087564+0.0010334i,0.00099402+0.0012897i,0.00077712+0.00064733i,0.00027033-0.00099538i,-0.0018209-0.00098959i,-0.00334+0.00068278i,-0.0027338+0.0020128i,-0.0015048+0.0023607i,-0.00050114+0.002187i,0.0010279+0.00068887i,0.0018209-0.00046477i,0.00085658-0.0010336i,0.00084925-0.001139i,0.00084833-0.00025502i,-0.00035456+0.00045264i,-0.00021559+0.00062736i,0.00059352+0.00050571i
-0.00090868+0.0021564i,-0.0016896+0.0025406i,-0.0019676+0.0014062i,-0.0018334+0.00064645i,-0.00059538+0.00058054i,-5.7595e-05+0.00058257i,-0.00037197+0.0013371i,0.00019356+0.0017336i,0.00051515+0.0010743i,-0.00064843+0.00040677i,-0.0018286+0.00067043i,-0.0021536+0.0010017i,-0.0015583+0.0003948i,-0.00050921-6.0393e-05i,0.00090456+0.00051836i,0.0022578+0.00035951i,0.0022925-7.0711e-05i,0.0013087-0.00013886i,0.0006721+1.4549e-05i,-0.00050308+0.00077149i,-0.00089701+0.0010884i,-0.00069853+0.00081013i,-0.00037282+0.00070544i
0.0011397-0.00081603i,0.0020585-0.0018174i,0.0025081-0.0028661i,0.0014399-0.0032993i,-0.0011679-0.001975i,-0.0014954-0.00013628i,0.00035557+0.00033543i,0.00088605+0.00065062i,0.00090436+0.00041465i,0.0013691-0.00042261i,0.0026539-0.00046862i,0.0037147-0.00080638i,0.0036143-0.0021306i,0.00221-0.0025759i,0.0008276-0.0015848i,-0.00042762-0.0013909i,-0.0016539-0.0010602i,-0.0019741+0.00057883i,-0.0012684+0.0019146i,8.5905e-05+0.0018766i,8.874e-05+0.0011767i,-0.00021265+0.00038988i,-0.00017662-0.00066148i
-0.0014766-0.00087306i,-0.00023663+3.8941e-05i,0.00041351-6.6979e-05i,0.00010566+0.00026457i,-0.00043087+0.0010044i,-0.0015404+0.0014106i,-0.0012868+0.0010594i,3.1093e-05+0.00072969i,0.00087953+0.00077629i,0.0014468-3.789e-05i,0.0027823-0.00087943i,0.003449-0.00067284i,0.0025905+0.00022623i,0.0013324-0.00030181i,-1.9738e-05-0.00096758i,-0.0015265-0.0015813i,-0.0017012-0.0019607i,-0.0010561-0.0013477i,-0.00080039-0.00054995i,-0.00042239-0.00010955i,3.7699e-05+0.00010999i,0.00031415+8.7045e-05i,9.9192e-05+0.00014211i
-0.0024472-0.00018959i,-0.0033861+0.00043424i,-0.0042644+6.6782e-05i,-0.0037103-4.7048e-05i,-0.0020358-0.00023161i,-0.00050202-0.00064324i,0.00083871+0.00030355i,0.00098592+0.0014836i,0.00094396+0.0008372i,0.00067836-0.00048723i,-0.0014667-0.0019619i,-0.0032942-0.0019462i,-0.0030964-0.00014025i,-0.0021507+0.00084588i,-0.0011788+0.00051835i,-0.000668+0.00072177i,-0.00016459+0.0013581i,0.00020572+0.0001568i,-9.8219e-06-0.00027279i,-0.0003991+0.00065821i,4.5822e-05+0.00026267i,0.00077154-0.00026291i,0.00038296-0.00081958i
-0.0020866-0.0002357i,-0.0022619-0.00055071i,-0.0025585+3.0012e-05i,-0.0026143+0.00021712i,-0.0019664+0.00016984i,-0.00079591+0.0003933i,5.7992e-05+0.00016647i,5.0342e-05+0.00070266i,-0.00090198+0.0013825i,-0.0018589+0.00050738i,-0.0021946-0.00048824i,-0.002756-0.0015712i,-0.002389-0.0018224i,-0.0013513-0.00044014i,-0.00028796+0.0013883i,0.0011956+0.0023262i,0.0010603+0.0018104i,0.00019006+0.00081249i,0.00072732+0.00020814i,0.0010231-8.4805e-05i,-0.00065272-0.00014315i,-0.0020932+0.00038491i,-0.0015429+0.00047528i
