0.001395+0.0013277i,0.00064279-0.00014284i,0.0002309-0.0013813i,0.000256-0.0015226i,-0.0014768-0.0012038i,-0.0026868-0.00062563i,-0.0014781+0.00020263i,-0.00013478+0.00049673i,0.00060849+4.9026e-05i,0.0014462-0.00042275i,0.0014714-0.00077172i,0.00087197-0.00067975i,0.00046238+0.00012632i,-4.2685e-05-0.00010609i,-0.00013832-0.00014869i,-9.0715e-05+0.00026418i,-0.0006041+0.00021532i,-0.00060461+4.2525e-05i,-0.00033377-4.2565e-05i,-0.00067375-0.0002279i,-0.00063506+2.2207e-05i,-0.00037596+0.00055093i,-0.0001572+0.00037499i
0.0021796+3.2981e-05i,0.0017577-0.0019698i,0.00084704-0.0020966i,0.00030577-0.0012299i,0.00040269-0.001198i,0.00018198-0.0022444i,-0.0003903-0.0020689i,-0.0012562-0.00038084i,-0.0013322+0.00029295i,-0.00054903+0.00039835i,0.00045218+0.00022769i,0.0006429-0.00030698i,0.00011877-0.00036325i,-0.00010363+0.00080471i,-0.00019246+0.00096724i,-6.5675e-05+8.9149e-05i,9.5945e-05-0.0001738i,-0.00015176+4.6947e-05i,-0.000957+0.00010064i,-0.00050058-0.00022288i,0.00059562-0.00064893i,0.00058114+0.00019501i,-0.00012825+0.00058034i
0.00059442+0.0011903i,0.0016561+0.0012153i,0.0012253+0.00042078i,0.00019672-0.00053816i,0.00020036-0.0012664i,-0.00068929-0.0019604i,-0.0013582-0.0021713i,-0.00092178-0.001241i,-0.00065805+9.6455e-06i,0.00020273+0.00042598i,0.00042166+9.9702e-05i,-0.00027999+0.00056539i,-0.00033507+0.0012011i,-0.00054588+0.0011675i,-0.00087521+0.00085845i,-0.0004403+0.00070985i,2.6366e-06+0.00067597i,-0.00046399+0.00074169i,-0.0007525+0.00048068i,-0.00021317-0.00017012i,0.00042775-0.0011239i,0.00057918-0.0014378i,0.0003006-0.00060931i
-5.7815e-05-0.0017862i,0.00014319-0.0007965i,0.00022166-0.00036064i,0.00022322-0.00038228i,-0.00010957-0.00087154i,-0.00048413-0.0012993i,-2.5305e-05-0.0014471i,0.00064189-0.0012824i,7.0062e-05-0.0010653i,-0.00067561-0.00053983i,-0.00063224-0.00036252i,-0.00067348-0.00066156i,-0.00081054-0.00027523i,-0.00018857+0.00033578i,-2.6314e-05+8.5916e-05i,1.6656e-05-6.2101e-05i,0.00017982+5.4189e-05i,0.00042949+0.00026618i,0.00088412+9.6832e-05i,0.00065614-0.0002066i,0.00027849-1.1215e-05i,0.00034368-0.00048107i,0.00011624-0.0013084i
-0.0012093+0.001986i,-0.001876+0.0017628i,-0.0018865+0.00087989i,-0.00091855-5.7859e-05i,0.00041445-0.00064153i,0.00083155-0.00037002i,0.00014711-0.00076608i,-0.00056374-0.0012045i,-0.00086563-0.00071136i,-0.00068891-0.00015446i,-0.00057944+0.00018317i,-0.00078031+5.1413e-05i,-0.00045435-0.00062409i,0.00030601-0.00060413i,0.00010433-0.00018185i,-0.00013222-0.00040042i,0.00094869-0.00068245i,0.00079949-0.00021156i,-0.00041648-0.00045372i,-0.00039156-0.00063639i,-0.00010072+0.00027492i,-0.00021375+0.0010365i,-0.00036084+0.0012575i
-0.001166-0.0020949i,-0.00022777-0.0034249i,-0.00094007-0.0023619i,-0.001129-0.00094103i,-0.00024185-0.00029368i,8.2788e-05+5.4306e-05i,0.00023101+0.00016683i,-0.0003205+0.00033118i,-0.00074638+0.0005153i,-0.00031061+0.0011441i,0.00014884+0.0010807i,0.0011608+8.4992e-05i,0.0015238-0.0007142i,0.00012792-0.0016816i,-0.00091917-0.0013412i,-0.00068728-0.00055187i,-0.00024373-0.00091202i,0.00028352-0.00073837i,0.00078783+5.7533e-05i,0.0002978+0.00051558i,-0.00035236+0.00019745i,-0.00069567+1.7464e-05i,-0.0006104-0.00010716i
-3.391e-05+4.5779e-05i,-4.1519e-06+0.0004695i,-0.0016271-2.3284e-05i,-0.0020707-0.000478i,-0.0014851-0.00044102i,-0.0008979-0.00093752i,-0.0010519-0.0010883i,-0.00089405-0.00057938i,-0.00037705-0.0010495i,6.5187e-06-0.0014588i,-7.4297e-05-0.00091559i,0.00012482+2.5152e-05i,0.0004907+0.00031775i,0.0006614+0.00046352i,0.0007448+0.00081225i,0.00078746+0.00075217i,8.4177e-05-1.4055e-05i,-0.00032103-0.00062299i,-0.00015542-0.0010564i,-0.00011411-0.0010455i,-4.4196e-05+0.0001614i,1.0023e-05+0.00090161i,-0.00041013+0.00055176i
-0.00018121+0.00027143i,0.0004653+0.00057951i,0.0014974+0.00052163i,0.00082737-0.0010455i,-0.00026653-0.0023138i,-0.00047009-0.0020895i,-0.00067266-0.0019368i,-0.0011332-0.0017174i,-0.0010042-0.0011027i,-0.0001902-0.00059121i,0.00064312-0.00041403i,0.00038349+0.00010906i,-7.3135e-05+0.00069452i,-0.00015274+0.0008183i,-0.00035181+0.00084271i,-0.00050321+0.00089408i,-0.00012294+0.00054819i,-0.00028386+0.00011952i,-0.00073521+7.8059e-05i,-0.001091-0.00016465i,-0.00059313-0.00054878i,0.00027229-0.00013507i,9.7587e-05+0.00021543i
-8.1502e-05+0.001372i,-0.00017405+0.00091396i,0.00061527-3.2696e-05i,0.00058845-0.00079948i,0.00033116-0.0012982i,-0.00037152-0.0014939i,-0.0010788-0.0011145i,-0.00073972-0.00083395i,-8.1386e-05-0.00028309i,2.8508e-05+0.0002682i,-0.0001069+0.0004708i,-0.00044794-1.7065e-06i,-0.00036625-0.00044299i,-4.3477e-05-0.0012352i,-0.00015134-0.0015132i,-0.00021429-0.00057067i,9.4978e-05+0.00015853i,-4.0109e-05+0.00062205i,-0.00068636+0.00085614i,-0.00030592+0.00045859i,0.00011644+0.00019608i,-0.00028489+0.0005252i,-0.00025971+0.0007298i
-0.00019646-0.0021825i,-0.0018483-0.0041184i,-0.002907-0.0036119i,-0.003161-0.00086814i,-0.0032671+3.3669e-05i,-0.0024429-0.00013344i,-0.00085565+7.4163e-05i,0.00014814-0.00019843i,9.7085e-05-9.6854e-05i,0.00012329+5.2217e-05i,0.00081549+0.00012944i,0.0010071+0.00076716i,-8.0528e-05+0.00039379i,-0.0010441+0.00029104i,-0.00041027+0.00060145i,0.00061845+0.00037627i,0.0009168+1.2507e-05i,4.653e-05-0.00013184i,-0.00041497+7.2227e-05i,0.00028901+0.00017314i,0.00025389+0.00036648i,0.00036813+0.00024036i,0.00075597-0.00038005i
0.0015862-0.00088584i,0.0028404-0.0023908i,0.0025447-0.0027466i,0.0014598-0.002262i,0.00027986-0.001857i,-0.00022202-0.0016659i,-0.00015117-0.0011196i,-0.00042583-0.00018031i,-0.0005524+0.00024362i,-0.00044395+0.00039458i,7.5363e-05+0.00055921i,0.00068727-0.0001232i,0.00038381-0.00029229i,-0.00051537+0.00046776i,-0.00052511-9.5058e-05i,0.00024662-0.001275i,0.00023924-0.001391i,0.00026194-0.00080305i,0.00052873-0.00070383i,0.00058454-0.000881i,-0.00015787-0.00038616i,-0.00080462+0.00020954i,-0.00039189-3.0914e-05i
0.00028348-0.00040274i,-0.00063298-0.0012834i,-0.0023498-0.00096115i,-0.0023093+0.0002023i,-0.0010124+0.00020772i,2.2849e-05-0.0005073i,0.00039261-0.0004608i,-0.00012232+0.00034381i,-0.00072673-0.00041574i,-0.00053896-0.00063011i,-0.00052353+0.00032297i,-0.00041662+4.4783e-05i,0.0002884-0.00011361i,0.0009864-3.6562e-05i,0.0008825-0.00037055i,-0.00027854-0.00011539i,-0.0007569-3.1245e-05i,-0.00066577-0.00012988i,-0.0001162-0.00048189i,0.00044164-0.00018131i,0.00053427+0.00040068i,-0.00021656+0.00047732i,-0.00019886-0.00019572i
-0.0001553+0.0010001i,0.00032795+0.0014699i,-2.8449e-05+0.002089i,7.0208e-05+0.0012799i,0.00021805-9.4651e-05i,-0.00078517-0.0011355i,-0.0015444-0.0010824i,-0.00074984-0.00051499i,-0.00023245-0.0006994i,-0.00022458-0.00039645i,0.00070978-0.00011884i,0.00038775-8.3477e-05i,-0.00070472+0.00014966i,-0.00036163+0.00043389i,-0.00049123-6.9924e-05i,-0.00042218-0.00039218i,0.00027221-0.00053782i,2.2275e-05-0.00070731i,-0.00031426-3.9915e-05i,-0.00028274+0.00044281i,-0.00042678+0.00018897i,-0.00077877-0.0005166i,-0.00047505-0.00071854i
0.0010769+0.00011498i,0.00046693-0.00033718i,0.00036357-0.0012586i,0.00038986-0.0020673i,0.00024669-0.0015616i,-0.00047377-0.0013701i,-0.00060626-0.0011216i,-5.4199e-05+0.0002841i,0.00021236+0.00010548i,8.8289e-05-0.0012591i,0.00075276-0.0015494i,0.00081468-0.00076918i,-0.00015676+0.00063872i,2.5882e-05+0.0013377i,0.0005404+0.00062221i,0.0003918-0.00032681i,0.0002354-0.00054726i,0.00047206-0.00025142i,0.0007251+0.0007998i,-0.00013377+0.0012587i,-0.0011878+0.00022318i,-0.00057655-0.00026871i,0.0004495-0.00067661i
0.00064192-0.0016605i,0.00049637-0.0035766i,-0.00013528-0.0031415i,-0.0010814-0.0016349i,-0.0011412-0.0019699i,-0.00027415-0.0019633i,-0.0004112-0.00083624i,-0.00066357-0.00033956i,-0.00011441+4.807e-06i,0.00037007-0.00011313i,0.00017334+0.00024244i,-0.00028374+0.0010561i,-0.00045954+0.00074633i,-0.00051023+6.6742e-05i,-7.7387e-05+0.00059094i,0.00028084+0.00044829i,0.00030832-0.00039047i,-0.00018716-0.00038993i,-0.00048738+4.2686e-05i,-0.0001117-0.00026186i,-0.00026379-0.00022178i,-0.00017033+2.5041e-05i,0.00032689-0.00055342i
0.00061561+0.0015363i,0.0010239+0.0017192i,0.00045219+0.0017526i,0.00039615+0.0017023i,-8.1748e-05+0.00062708i,-6.2877e-05-0.00068696i,0.00022763-0.00048484i,4.7697e-06-0.00033144i,-0.00013799-6.6732e-05i,-0.00058648+0.00067221i,-0.00066626+0.00072015i,0.00042064+0.00036826i,6.4596e-05+0.00022269i,-0.00090974+1.2707e-05i,-0.00047188-0.00057037i,0.00051157-0.00010947i,-7.2658e-05+0.00068515i,-0.0012021+0.00048874i,-0.00080311+4.4867e-05i,-0.00040059+0.00010804i,5.9034e-05-7.137e-05i,0.00098472-0.000641i,0.0011138-0.00023835i
0.0020508+0.00069951i,0.0022189-0.00011651i,0.0016402-0.0016118i,3.69e-05-0.0015501i,-0.00088877-0.00089455i,-0.0015491-0.0015362i,-0.0013826-0.0018383i,-0.00096064-0.0014425i,-0.0004932-0.0013016i,8.9844e-05-0.0012879i,0.00015257-0.001048i,0.00039938-0.00076356i,0.00047683-0.00016077i,-0.00054423-0.00010036i,-0.0011219-0.00058716i,-0.0003817-0.00015488i,-0.00013914+0.0002565i,-0.00065356+0.00022224i,-0.00021276+0.00032414i,0.00038029+0.00027918i,0.00049231+0.00028543i,0.00042374-0.00010039i,7.541e-05-0.00065232i
0.0017104-0.0027298i,0.00080507-0.0038075i,0.00018625-0.0032098i,-0.0010886-0.0021274i,-0.0013718-0.0015481i,-9.7202e-05-0.00013357i,-6.4934e-05+6.044e-06i,-0.00047298-0.0003348i,-0.00020168+0.00013789i,-6.7637e-05+0.00013291i,-2.1946e-05+0.00072318i,-0.00042845+0.0011937i,-0.00035235+0.0012198i,-0.00034324+0.0015435i,-0.0010717+0.0010723i,-0.00049017+0.00029691i,0.00040263+0.00015683i,-0.0001851-0.00036869i,0.00027896-0.00056227i,0.00070059+0.000171i,-0.00048876+1.6766e-05i,-0.00070532-0.00071955i,0.00029325-0.00028166i
-0.0030969-0.00092982i,-0.0029347-1.7045e-05i,-0.0039762+0.0012326i,-0.0033602+0.0018208i,-0.0014787+0.0015533i,0.0001437+0.00075744i,0.00017392-0.00038414i,-0.0009615-0.00038601i,-0.0011394-0.00020653i,-0.00078101-2.7521e-05i,-0.00036224+0.00066456i,-7.5561e-05+0.0010219i,0.00044587+0.0012513i,0.0010237+0.0014429i,0.00098775+0.00046933i,0.00097899-0.00018777i,0.00052332-3.3133e-05i,0.00014191+0.00011208i,0.00037608-0.00048069i,0.00059377-0.0011168i,0.00022903-0.00038986i,-0.00023191-4.4535e-05i,-0.00037331+0.00030738i
0.0014429-0.00028767i,0.0019209-0.00086176i,0.00061159-0.0012017i,1.704e-05-0.00029554i,-0.00055627+0.00036901i,-0.0010879-0.00082614i,-0.0010967-0.0015506i,-0.00084612-0.0001373i,-0.00078635+0.00072513i,-0.0014278+0.00059735i,-0.0011665-0.00024938i,-0.000401-0.00028282i,-0.00022684-0.0002264i,-0.00072704-0.00023034i,-0.00068642+0.00027129i,2.7391e-05+0.00019856i,0.0001763+3.291e-05i,2.3578e-05+0.00027079i,-0.00017791+0.00066395i,-0.00025876+0.0012195i,-0.0004091+0.00083249i,-0.0004429+6.6887e-06i,0.00029793-0.00063965i
-0.0015096-0.0016538i,-0.0026247-0.0029215i,-0.0038684-0.0018761i,-0.0031135-0.00052221i,-0.00080736-0.00039773i,0.00063158-0.0016341i,7.9782e-05-0.0028371i,-0.00032818-0.0029637i,0.00014737-0.0015447i,0.0011729+0.00018374i,0.0007715+0.00044642i,-0.0001546+0.00020729i,-0.00023762+0.00065491i,0.00055949+0.00072577i,0.0015478+0.00078861i,0.0017313+0.00073696i,0.0010036+5.1338e-05i,-0.00015372-0.00048715i,-0.00081-0.00034318i,-0.00010616-0.000516i,0.00040853-0.00040899i,-9.6636e-05+0.00052619i,-0.0007005+0.0008584i
0.00034481-0.00038566i,-0.0013131-0.0027072i,-0.002107-0.0036168i,-0.0019455-0.0027711i,-0.0015965-0.0019627i,-0.0013981-0.0012201i,-0.00135-0.00076165i,-0.00073997-0.00057163i,-0.0007661+6.8308e-05i,-0.0010956+0.00056685i,-0.0011822+0.0007457i,-0.0017058+0.00082741i,-0.0012718+0.0010253i,-0.00020018+0.00082724i,0.00028793+0.00026669i,0.00012985-0.00018846i,2.6789e-05-3.7752e-05i,-0.00032203+4.4088e-05i,-2.8847e-05-8.4592e-06i,9.9327e-05+0.00092997i,-0.00026535+0.0011773i,0.00011477-3.1853e-05i,6.6029e-05-0.00080988i
0.0009159-0.0015359i,0.0016666-0.0028913i,3.3741e-05-0.0033221i,-0.00069035-0.0015051i,-8.9703e-05-0.00010174i,0.00016108+3.3207e-05i,-0.00025918-0.00066753i,-0.0010586-0.0009065i,-0.0015096+8.4426e-05i,-0.00054254+0.00090592i,0.00051068+0.00032512i,0.00032918-0.00073194i,-0.00014937-0.00083624i,-0.00055495-0.00031768i,-0.0003376+0.00057404i,-0.00057265+0.00080033i,-0.00076754-0.00027501i,-0.00050238-0.0010424i,-3.1024e-05-0.0003649i,0.00078263-0.00011299i,0.00099773-0.00061014i,3.4784e-05-0.00022379i,-0.00058461+0.0007987i
0.0006845-0.0060098i,0.00023051-0.00687i,-0.0030258-0.0057111i,-0.0039415-0.0024112i,-0.0036959+0.0010969i,-0.0013144+0.0019904i,0.0010044+0.00048943i,0.0014291-0.00048581i,-0.00020958-0.00067245i,-0.0018511+0.00055402i,-0.0014612+0.0021235i,0.0002843+0.0018955i,0.0018412+0.0012226i,0.0022421+0.001751i,0.0022931+0.0018717i,0.0016812+0.0016049i,0.00038713+0.0013068i,0.00015943+0.00075442i,0.00073208-0.00031871i,0.00076044-0.0010432i,4.7205e-05-0.00099349i,-0.00051562-0.00096044i,-0.00035772-0.00093703i
0.00085213+0.0061782i,0.0021726+0.0070629i,0.0049072+0.0075976i,0.0047663+0.0043142i,0.0032973-0.00093532i,0.00079-0.004424i,-0.0012465-0.0030122i,-0.00095558-0.00023036i,9.8856e-05+0.00053656i,0.00057788-0.00034757i,0.00054833-0.00068152i,0.00015095-0.00069123i,-0.001033-0.0013064i,-0.0018321-0.0014918i,-0.0018626-0.0015164i,-0.001122-0.0012485i,0.00020589-0.00048149i,-0.00031266-2.9721e-06i,-0.0012606+0.00034886i,-0.001034+0.00099576i,-0.00054954+0.0003468i,-5.6565e-05-0.00098733i,0.00037444-0.00079182i
0.00023724+0.0015573i,-1.5257e-05+0.0018227i,-1.1473e-05+0.0022247i,0.00011401+0.0005703i,0.00057841-0.0022531i,0.00041586-0.0030302i,-0.00083046-0.002325i,-0.0012424-0.0014481i,-0.00085762-0.00092403i,-0.00031896-0.0007772i,-0.00063494+0.00018365i,-0.0015931+0.00043111i,-0.0016844-0.00054528i,-0.00088245-0.0011024i,-0.00058723-0.00079122i,-0.00057264-4.9114e-05i,-0.00034282+0.00020053i,-0.00024896-0.00030084i,-0.0003593-0.0010888i,-0.00011772-0.0010474i,-0.00045448-0.00029962i,-0.00070611-0.00039697i,-0.00011839-0.00042208i
-0.0020507+0.00031228i,-0.0012759-0.00038254i,-0.00062314-0.00045467i,-0.00060277+0.00046808i,-0.00077208+0.00058711i,-0.0015993-6.5591e-05i,-0.0023665-0.00047605i,-0.001405-0.00038758i,3.5633e-05+2.447e-05i,0.00042536+0.00055381i,0.00024995+0.00034111i,-9.1992e-05+0.00026182i,-0.00043499+0.00028486i,-5.2577e-05-0.00039123i,0.00013497-0.00049414i,0.0003488-0.00026273i,0.00024574-5.8771e-05i,-0.0005618-0.0001483i,-0.00079226-0.00056077i,-0.00012323-0.00060986i,0.00031373-0.00013778i,0.00027094-0.00027969i,6.4794e-05-0.00062349i
0.000764+0.00033905i,0.00062482-0.00054683i,0.0008161+0.00043199i,0.00096+0.00016551i,0.00068471-0.00079922i,3.3831e-05-0.0013923i,0.00033782-0.0021478i,0.00046237-0.0020878i,0.00030786-0.0009564i,0.00041244-4.3401e-05i,-0.00013124+0.00023674i,-0.00012569-0.00029015i,0.00032001-0.00044444i,0.00012585+0.00025409i,-0.00022941+0.00067106i,-1.1221e-06+0.00050401i,0.00048066+2.6535e-05i,0.0004867-0.00010713i,0.00041899+0.00063619i,0.00016736+0.00053219i,-0.00039345-0.00036987i,-0.00095014-0.00037492i,-0.00065707+3.4898e-05i
0.001639+0.0024518i,0.0023058+0.0024371i,0.0017486+0.0014224i,0.00036306+0.0010205i,-0.0002211+0.00049738i,-7.9957e-05-0.000888i,-0.00059495-0.00097758i,-0.00041731+0.00031593i,0.00058085+0.00048286i,0.00064474+0.00069005i,-8.0274e-06+0.0009197i,-0.00012147+0.00075466i,-7.5559e-05+0.0002083i,-0.00044904-0.00087575i,-0.00041921-0.00042355i,-0.00015059+4.7687e-05i,-0.00058623-9.9046e-05i,-0.0010557-0.00021175i,-0.00042917-0.00011401i,0.00035551-0.00030427i,4.6151e-05-0.00056058i,-0.00058425+0.00055464i,-0.0011907+0.0010407i
0.0005066+0.00046253i,-0.00033877+0.00057914i,-0.0013919-0.00029776i,-0.0008833+0.00010743i,-0.00015421+0.00035428i,-0.00088357-0.00065371i,-0.0013656-0.00088736i,-0.00090503-0.00011298i,0.00023323-0.00015979i,0.00083039-0.00026376i,-0.00049477-4.1629e-05i,-0.0015901-0.00013536i,-0.00078484-0.00012588i,-0.00021508-0.00017981i,0.00014861+0.00029225i,0.00025556+0.00089124i,0.00011718+0.00072473i,-0.00012949+0.0001154i,9.9531e-05-0.0004769i,0.00058358-0.00046572i,6.2734e-05-0.00055309i,-0.00085214-0.00098296i,-0.00067262-0.0011668i
-0.00070058-0.0010406i,-0.00054206-0.0019171i,6.4122e-05-0.0021289i,0.00095701-0.0016454i,0.00090113-0.0015491i,-0.00016171-0.0020896i,-0.00064439-0.0016322i,0.00046036-0.00048304i,0.0015723+0.00018715i,0.0015189+0.00046894i,0.0010754+0.00046456i,0.0010165+9.3301e-05i,0.00049847-0.00073683i,-0.00012415-0.0011403i,3.5889e-05-0.00054348i,0.00031865+0.00020181i,0.00028049+0.00077351i,-0.00014273-0.00016324i,-0.00046269-0.00076969i,-0.00056061+5.1981e-05i,-0.00045158-0.0002734i,0.00024243-0.0007598i,0.0004734-0.00026049i
-0.00077817+0.0020518i,-0.0008618+0.0018519i,0.00020402+0.001925i,0.00087516+0.00098748i,0.0013101-0.00039082i,0.0010741-0.0016262i,-0.00043819-0.0014176i,-0.00089226-0.00049933i,-0.00099587-3.1357e-05i,-0.00036197+1.0878e-05i,0.00051728-0.00045349i,0.00036457-0.0008486i,-0.0004853-0.00053144i,-0.0011841-0.00063694i,-0.00051166-0.0014612i,0.00054089-0.0012674i,0.00043877+0.00019831i,-0.00044449+0.00086069i,-0.00069298+0.00019415i,-0.0003753-0.00032116i,-0.00069932+0.00025752i,-0.00088141+0.00084358i,-0.00090139+0.00027891i
-0.00054309+0.00045756i,-0.00021071+0.00054224i,-0.00062194+0.0012198i,-0.00074823+0.0005373i,-4.7707e-05-0.00075934i,0.00037468-0.00068721i,0.0011169+4.3722e-05i,0.00069182+0.00022578i,-0.00049256+0.00045877i,-0.00011177+0.00025435i,0.00087816+0.00038977i,0.0010702+0.00083684i,0.00087945+0.00036724i,-0.00010373+0.00030194i,-0.00092602+0.00024344i,-0.00051736-9.9281e-05i,-0.0003671-0.00032245i,-0.00089321-0.0007264i,-0.00034706-0.00012312i,0.00027181+0.00067209i,0.00019233+0.00088098i,0.00061484+0.00030397i,0.0006786-0.0001917i
0.0019176-0.0027498i,0.0016642-0.0039621i,8.0595e-06-0.0030725i,-0.00022892-0.001116i,0.00015349-0.00078567i,0.00038148-0.0016053i,0.000337-0.0015066i,-0.00014182-0.00070863i,0.00013451-0.00035415i,0.00063596+0.00016965i,0.00010493+0.00079849i,3.4867e-05+0.00057754i,0.00022201+0.0005474i,-0.00051382+0.0007215i,-0.0012078+0.00049235i,-0.00066364+0.00045619i,-0.00035671+0.0002362i,-0.00043764-0.00045018i,-0.00058315-0.00060952i,-0.00034613-7.8153e-05i,-0.00047659-0.0004329i,-0.00029543-0.0011463i,0.00016467-0.0010703i
-0.001902-0.0012317i,-0.0029715-0.0011549i,-0.0045082-0.0017964i,-0.0045089-0.0011798i,-0.0021076+0.00018886i,-2.8234e-05+0.00051236i,0.00041699-1.4805e-05i,-0.00013574+0.00030748i,-0.00094019+0.00098909i,-0.00078949+0.0011417i,-0.00040848+0.0013843i,-0.00034486+0.0013009i,0.00014551+0.0001374i,0.0012541-0.00035958i,0.0022048+7.2491e-05i,0.0019771+0.00023613i,0.00072091-0.00029629i,-0.00039555-3.9944e-05i,-0.0005229+1.4892e-05i,0.00038065-0.00046525i,0.0007924-0.00037793i,0.00026766+0.00061587i,0.0001958+0.0011135i
-0.0012905-0.00098701i,-0.0012156-0.00073894i,-0.00097268-0.000102i,0.00014464+0.00050366i,0.001282+0.00021839i,0.00146-8.9684e-05i,0.0010827-0.00011977i,0.00052166-2.0442e-05i,-0.00048322-0.00045288i,-0.00017236-0.00071671i,0.00024765-0.00019406i,-0.00013419+0.00014416i,-0.00040607-8.5119e-06i,0.00017352-0.00023729i,0.00074434-5.5464e-06i,0.00065715-3.631e-05i,0.00048742-0.00024242i,-0.0004845-0.00016777i,-0.00080616+4.9673e-05i,-0.00040046-0.00010515i,2.2716e-05+0.00014581i,0.00050345+0.00047476i,0.00070659-3.6132e-05i
0.0019513+0.0018554i,0.0024836+0.00058499i,0.002107+0.0001074i,0.0019284+0.00022842i,0.0013778-0.0012314i,-0.00041982-0.0030261i,-0.00089734-0.0023394i,9.1638e-05-0.00051918i,0.00016894-0.00010877i,0.00023651+0.00026252i,0.00065557+0.00066284i,-0.00020271+0.00054661i,-0.00039618+4.4883e-05i,-7.0706e-05-0.00020747i,0.00011879-0.00059033i,0.00041508-0.00085392i,5.8456e-05-0.00072055i,6.9068e-05-0.00033902i,0.00012114+2.9639e-05i,-0.00016532+8.6481e-05i,0.00029559-0.00048737i,0.00060686-0.00098751i,0.00069193-0.0003594i
-0.00065214+0.00054739i,-0.00055986+0.0010892i,0.0014654+0.00090327i,0.001652+9.5429e-05i,-0.0002941-0.00015978i,-0.00098609-0.00016367i,-0.0006533-0.0003268i,-0.00082095-0.00073033i,-0.00056893-0.00060892i,0.00029407-0.00079597i,0.00065771-0.00055375i,0.00061613-0.00032396i,0.0009474-0.0008229i,0.00087772-0.00056162i,0.00064314+0.00028274i,0.00045758+5.8129e-05i,2.7791e-05-0.00083093i,0.00017613-0.00053238i,4.376e-05+0.000115i,-0.00019089-0.00019033i,0.00015556-0.0003599i,-0.00053092+0.00017492i,-0.00094055-0.00031631i
0.00057279+0.0014618i,-1.7083e-06+0.0012035i,-0.00075933+0.00027885i,-0.00090954+6.1611e-06i,-0.00094778-0.00054186i,-0.00015685-0.00096935i,0.00020647-0.00084207i,0.00013992-0.00036276i,0.00064139-0.00053853i,0.00044631-0.00015814i,-0.00031363+0.00018785i,-0.00065313-0.00030878i,-0.00077021-0.00038217i,-0.00074648-0.00063691i,-0.00052767-0.0010084i,0.00020849-0.00064163i,0.00047969-0.00055596i,0.00043036-0.00040435i,7.4217e-05+0.00046643i,-0.00028388-3.68e-05i,-0.00040839-0.0011421i,-0.00016727-0.0012661i,0.00016314-0.0011284i
-0.0013122-0.0011804i,-0.00084848-0.00080446i,-0.0012736-0.00095733i,-0.0007474-0.00033345i,-0.00033612+0.00033303i,-0.00037603-0.00021286i,-0.0001246-0.0012143i,-0.00015041-0.0017111i,0.00012846-0.0013571i,0.00011181+2.3906e-05i,0.0001857+0.0010139i,0.0011741+0.0011358i,0.0019532+0.00082598i,0.0013753+0.00021108i,0.00035779+0.00095947i,0.00033331+0.0011023i,0.00084621+2.1381e-05i,-0.00023079-0.00013911i,-0.0010393-0.00043681i,-0.0004815-0.00023931i,-0.00032674-4.7479e-05i,-0.00060555-0.00022598i,-0.00031659+0.00035766i
0.0011795+0.00070844i,0.00088249+0.00056329i,0.0014018+0.00092493i,0.0018364+0.00086775i,0.0015627+0.00059453i,0.00046495+0.00018782i,-0.00028832+0.00016768i,-0.00053245+0.00088276i,-0.00076527+0.00021769i,-0.0005144-0.00080183i,-0.00045518-0.0004908i,0.00033072-0.00010882i,0.00090546+7.1013e-05i,3.1895e-05+6.032e-05i,-0.00084534-0.00036127i,-0.00034596-0.00031203i,2.269e-06-0.00019452i,-0.00087419+0.00011074i,-0.0011418+0.00017457i,-0.00046163-7.0445e-05i,8.4326e-05-0.00067986i,0.00078059-0.00064957i,0.00064418-0.00020434i
0.00059211-0.00026424i,0.00066767-0.00031836i,0.0011412-0.001975i,0.00078275-0.0025249i,-0.00025489-0.0015848i,-0.0004318-0.00048364i,-0.00030091-0.0003679i,-0.00046364-0.0006836i,-0.00041314-0.0003693i,-0.00039244-0.00013806i,0.00037015+0.00011303i,0.0011748+0.00070823i,0.00042853+0.00074143i,-0.00015875+0.00036874i,-0.00041376+0.00037546i,-0.00059129+0.00034622i,-0.00026391-0.00016612i,0.00032355-0.00078573i,0.00045543-0.00070877i,-0.00014007-0.00010367i,-0.00073008+0.00010757i,-0.0010334-9.5053e-05i,-0.00090946-0.00021069i
-0.0011499-0.0013615i,-0.00173-0.0021135i,-0.0029656-0.0023009i,-0.0019842-0.0016837i,0.00033846-0.0017675i,0.0003891-0.0011671i,-0.001665-0.00028535i,-0.0025622-0.00011358i,-0.0011071+0.00030279i,-0.00087656+0.00096869i,-0.00094805+0.00091395i,6.6664e-05+0.00042396i,0.00027215+9.5205e-05i,-0.00013268+2.8003e-05i,-7.4553e-06+9.8274e-05i,0.00017256-5.7911e-05i,0.00043481-0.0001626i,0.0010337+0.00017678i,0.0012868-5.2415e-05i,0.00048379-0.00048097i,-0.00020145-0.00040252i,0.00027816-5.451e-05i,0.00064814-3.0482e-05i
