9.3698e-05+0.0021422i,0.0012525+9.5046e-05i,-0.00020647-0.0025141i,-0.0022635-0.0024612i,-0.0035986-0.00022364i,-0.0042727+0.0016098i,-0.0025501+0.0019897i,-0.0002164+0.0018789i,0.0010844+0.00097063i,0.00095567-0.00013296i,1.1449e-05-0.00054507i,-6.6128e-05-0.00082665i,-0.00038316-0.00085325i,-0.00094474-0.00044791i,-0.0012056-4.335e-05i,-0.0013417-0.00056175i,-0.001513-0.0004112i,-0.0014491+0.00016925i,-0.0013109+4.8376e-05i,-0.00078443-0.00019009i,8.114e-05+4.2526e-05i,1.742e-06+0.00037709i,-0.00025358+4.1993e-05i
-0.0014228+0.00017276i,-0.0008218+0.00084193i,-0.0010917+0.00066315i,-0.0012209-0.00064028i,-0.00089432-0.00066285i,-0.00095773-0.0015405i,-0.0010098-0.0019562i,-6.3099e-05-0.00053497i,0.00090362-1.719e-05i,0.0011307-0.00032602i,0.0013388-7.0811e-05i,0.0013651+0.0004966i,0.00052893+0.00090368i,7.2682e-05+0.00043216i,9.358e-05-0.00045202i,0.00027498-0.00023254i,0.00092106-3.5442e-05i,0.0010556-0.00027373i,9.3298e-05-0.00031405i,-0.00045863-0.00048411i,-0.00061728-0.00086443i,-0.00050026-0.00017069i,0.00040811+0.00056158i
-0.0027272-0.0022044i,-0.0030184-0.00189i,-0.004504+0.00055327i,-0.0034312+0.00075765i,-0.0010671-0.0010274i,-0.00041858-0.0016864i,-0.00077323-0.0010756i,-0.0015832-0.0016881i,-0.0008682-0.0022938i,0.00082564-0.0017321i,0.00044768-0.00023699i,0.00055466-1.3649e-05i,0.00052605-0.0013002i,0.00035864-0.0020216i,0.00082451-0.0016645i,0.00032293-0.00095311i,-0.00055465-1.5806e-05i,-0.00047091+0.00033508i,-0.00054578-2.1651e-06i,-0.00036098-0.00042708i,-0.00018271-0.00045157i,-0.00043931-0.00017042i,-0.00037183-1.3491e-05i
0.0010062-0.0025207i,0.00040526-0.0036594i,-0.00039289-0.0044312i,-0.00092272-0.0024665i,-0.0018024-0.0013103i,-0.0030365-0.0018832i,-0.0037173-0.0016453i,-0.002339-0.0010983i,-0.00064602-0.0012918i,-0.00014102-0.0012204i,-0.00061608-0.00076956i,-0.0004929-0.00068665i,2.4656e-05-0.00035701i,3.3297e-05+4.099e-06i,-0.00030179+6.0517e-05i,-0.00050256+0.00071021i,-0.00049318+0.0011639i,0.00010196+0.00017216i,0.00011271-0.00063499i,-0.00045794-0.0003201i,-0.00065084-0.00014875i,-0.00047098-0.00025382i,-9.1943e-05-0.00014293i
-0.0013109+0.0025113i,-0.00078599+0.0016312i,-0.00014706+0.00041566i,0.00054163+6.0627e-05i,0.0010838-0.0004731i,-0.0001445-0.001603i,-0.0016983-0.0013669i,-0.0018514-0.0004341i,-0.0010682+0.000176i,-0.00084785-9.2066e-05i,-0.00092765+3.8422e-05i,-0.00057535+0.00061083i,-0.00012631+0.00054543i,0.00017232-0.00014781i,0.00069261-0.00052267i,0.00051543-0.00047636i,0.00035004-0.00086995i,0.00063868-0.00072545i,0.00014608-0.00024429i,-0.00055005-0.00034021i,-2.587e-06-0.00024561i,0.00036967+0.00032309i,5.0022e-05+0.00028587i
0.00090443-0.00069014i,0.0002986-0.0012237i,-0.00045948-0.0018492i,-0.0012438-0.0025135i,-0.0026004-0.0019736i,-0.0029451-0.0017369i,-0.0026461-0.0011418i,-0.0014795+0.00072254i,3.3348e-05+0.0017377i,0.00018607+0.0016464i,-8.483e-05+0.0011802i,0.00026381+0.00086748i,-7.9183e-05+0.00028769i,0.00019595-0.00049498i,0.00033819-1.3013e-05i,-0.00026912+0.00079765i,0.00069214+0.0012633i,0.0011797+0.0012206i,0.00056313+0.00087636i,0.00047201+0.00081451i,0.00043383+0.00060452i,0.0006499+0.00032611i,0.0003095+0.00080469i
0.0015616+0.00076086i,0.00066052+0.00024345i,0.00054984-0.0014564i,0.00057716-0.0027978i,-0.0006757-0.0024784i,-0.0013364-0.0019075i,-0.00088607-0.0013916i,-0.00049325-8.5562e-05i,0.00053293-4.0164e-05i,0.00098719-0.00053235i,0.00052221+0.00042475i,0.00032828+0.00061564i,0.00060014-0.00033656i,0.00022381-0.00079297i,0.00020555-0.0011247i,0.00067884-0.00080406i,0.00090395+4.3358e-05i,0.00092811+0.00074771i,0.00071475+0.00070238i,0.00066774+0.00032059i,0.0004438+0.00031249i,-0.00016557+0.00066289i,-0.00032692+0.00053863i
-0.001208-0.0018465i,-0.002595-0.0026831i,-0.0036704-0.0025073i,-0.003575-0.0016409i,-0.002707-0.00077286i,-0.0021383-0.0013693i,-0.0015226-0.0021422i,-1.3278e-05-0.0018247i,0.0006572-0.0016638i,-0.00059746-0.0029037i,-0.0014783-0.0030429i,-0.00046804-0.0011392i,0.00040281+0.00044493i,0.0010491+0.00084604i,0.00062453+0.00017353i,-0.00024856-0.00097567i,0.00058587-0.00054421i,0.0010062+0.00022054i,5.8668e-05-9.2709e-05i,-0.00047334+0.00028531i,-7.8013e-05+0.00039786i,0.00016274-0.00036159i,7.6306e-05-0.00036492i
0.0012236-0.0025973i,0.0015867-0.0028915i,0.0022167-0.0036129i,0.0010412-0.0041531i,-0.0011648-0.0040624i,-0.0022999-0.0037183i,-0.0023843-0.002096i,-0.0018144-0.0011603i,-0.00063553-0.0013404i,-0.00076112-0.0013698i,-0.0012575-0.00063721i,-0.0015609+5.0352e-05i,-0.0018594+4.376e-05i,-0.0010401-0.00028075i,5.0005e-05-0.00077901i,0.00038335-0.00063495i,-0.00016176+1.432e-05i,-0.00035482+0.00018134i,-0.00033355+0.00028549i,-0.00086676+0.0004683i,-0.00083067+0.00014166i,-0.00027264-6.6103e-05i,0.00022228+0.00030355i
0.0025358-6.0748e-05i,0.0016008-0.00011885i,0.00048929-9.5172e-05i,-0.0001653-0.00035293i,-0.0016713-0.00056434i,-0.0030473-0.0010232i,-0.0030145-0.0014512i,-0.0022508-0.00060717i,-0.0019713+0.0001314i,-0.0017848+0.00013938i,-0.0012021+2.3378e-05i,-0.00064988-0.00095114i,-0.00041786-0.0017561i,-6.7912e-05-0.00040797i,0.00061802+0.00038089i,0.00027649-0.00011723i,0.00025106-0.0001142i,-0.00013386+0.00036884i,-0.00054501+0.00068959i,-0.00037847+0.0014775i,-0.0005867+0.0015013i,-0.00042584+0.00072997i,-0.00039027+0.00070786i
0.000703+0.0020185i,0.00041345+0.00042811i,0.00064331-0.0014427i,0.00092344-0.0032314i,0.00034296-0.0040662i,-0.00094309-0.0037622i,-0.0025898-0.0023236i,-0.0025291-0.00017741i,-0.0014215+0.00093956i,-3.6787e-05+0.00099685i,0.00063601+0.0010395i,-0.0001221+0.00068302i,-0.0002577-0.00014806i,-6.5543e-05-0.00077135i,-0.00080282-0.001097i,-0.00084238-0.0011466i,0.000217-0.00049479i,0.00088613+0.00026899i,0.00017454+0.00081478i,-0.00019765+0.00087738i,0.00017865+0.00018792i,0.00018293-0.00019431i,-0.00052898+5.1834e-05i
0.00040849-0.00051156i,0.00074298-0.00010079i,0.0005712-0.00059565i,-0.0005168-5.0786e-06i,-0.0013923+0.00011249i,-0.0024484-0.00093084i,-0.0025186-0.00075058i,-0.00080861-0.00021366i,0.00072075-0.00064402i,0.00094227-0.00082474i,8.912e-05-0.00024997i,7.3354e-05+0.00027331i,0.00053939+0.00089578i,0.00029286+0.00082431i,0.00038615+0.00026943i,0.00047786-0.00017584i,-0.00024152-0.00083485i,-0.00099664-9.3815e-05i,-0.0013591+0.00012772i,-0.0010356+0.00026012i,-0.00049144+0.00055001i,-0.00058206+0.00046546i,-0.00098104+0.00063766i
-0.0036791+0.0023137i,-0.0027826+0.0022986i,-0.0014445+0.0021216i,-6.9931e-05+0.0004012i,0.00071964-0.0016805i,-0.00028759-0.003435i,-0.0015464-0.0031447i,-0.0014112-0.0013415i,-0.00024407-0.00042671i,0.00051108+0.0001907i,0.00050303+0.00013285i,0.00027617-0.00097178i,0.00013358-0.0013931i,0.00080913-0.0010542i,0.00055621-0.00094464i,-0.00022075-0.00067798i,-0.00052779-2.2243e-05i,-0.00098479+0.00016014i,-0.0013728-0.00049552i,-0.001475-0.0007845i,-0.0012487-0.00054617i,-0.00070764+0.00015012i,-0.00067068+0.00022395i
0.00049683+0.00062271i,0.00090921+0.001481i,0.0014481+0.0012401i,0.00091816+0.00046655i,-0.0011806-0.0010302i,-0.0029372-0.0019497i,-0.0026295-0.0020771i,-0.0016162-0.0015528i,-0.0010728-0.0011301i,-0.0012832-0.00098766i,-0.0011313-0.0004917i,-0.00053598-2.1413e-06i,-0.00018021+0.0003928i,5.0188e-05+0.00021817i,-0.00059179-0.00042804i,-0.0011715-8.0795e-06i,-0.0010052+0.0002757i,-0.0012515+3.6112e-05i,-0.0011326+0.00018365i,-4.5413e-05+0.00055184i,-0.0001242+0.00053385i,-0.00086246-2.1838e-05i,-0.00034088+0.00012928i
-0.00042901-0.0011216i,-0.00075203-0.0017512i,-0.001989-0.0017901i,-0.0021973-0.0015626i,-0.0018618-0.0012085i,-0.0023449-0.0015813i,-0.0023877-0.0015666i,-0.0014721-0.00016597i,-0.00078943+0.00075627i,-0.00044222+0.00041963i,-0.00077237+0.00026952i,-0.00083016+0.00047547i,-0.00047342-5.7119e-05i,0.00041299-0.0001341i,0.0008643+0.00024895i,0.00047284+6.6425e-05i,0.00050456+2.5893e-05i,0.00027734-0.00065992i,-5.152e-06-0.0015732i,-0.00019744-0.00088354i,-0.00034236-0.00013917i,0.00013612-0.00042479i,-0.00031066+4.1118e-05i
0.0005201+0.00058694i,0.00098722-0.00044443i,0.0011372-0.0023789i,0.00018356-0.0033184i,-0.00093532-0.0034478i,-0.00181-0.0033653i,-0.0023806-0.0015391i,-0.0018348+0.00043509i,-0.00063029+0.00080344i,0.0002419+0.0002538i,-7.9359e-05-0.00015458i,-0.00068355-0.00072437i,-0.00044069-0.00083274i,-0.00086112+0.00037198i,-0.0012211+0.00015479i,-0.0006653-0.001052i,0.00093819-0.00090462i,0.0014015-0.00076211i,0.00046233-0.00097493i,0.00066384-0.0011594i,0.00032787-0.00041048i,-0.0003472+0.00021473i,2.555e-05-0.00032375i
-0.0015668-0.00087036i,-0.0012099-0.00085957i,-0.0010296-0.0015097i,-0.0018416-0.0018852i,-0.001905-0.0018679i,-0.0021956-0.0013578i,-0.0019196+0.00045421i,-0.00027767+0.0020043i,0.00033946+0.00077297i,0.00019161-0.00055208i,2.0264e-05-0.00045735i,0.00043772-0.00031746i,0.0006734-0.0010662i,0.0007934-0.0014178i,0.00048121-0.0011178i,0.00014526-0.0012405i,0.00047471-0.0013487i,-5.0186e-05-0.0012638i,-0.00048985-0.0015781i,-0.00037634-0.0012113i,-0.00026551-0.00028471i,-0.00013042+0.0003585i,-0.00010573+0.00039474i
-0.00017104+0.00097795i,0.0008491-0.00033472i,0.0023015+9.3536e-05i,0.002662+0.00053648i,0.0016291-0.0003348i,0.00045236-0.0012437i,-0.0006124-0.0015097i,-0.00029098-0.0014952i,0.00052699-0.0012236i,0.0010573-0.00089527i,0.00030774-0.00021617i,-5.3265e-05+0.0001115i,3.478e-05-0.00062242i,-0.0005113-0.0011596i,0.00026691-0.00099752i,0.00094885-0.00054181i,0.00049089-0.00080283i,0.00013869-0.0011322i,0.00019431-0.0011957i,0.00028557-0.0012974i,0.00033462-0.0009307i,0.00019508-0.00046695i,-0.00035184+0.00018011i
0.0018018+0.00096171i,0.0018447+0.0011169i,0.0011552-9.9983e-07i,-0.00043286-0.0015409i,-0.0028557-0.0023654i,-0.0033875-0.0027484i,-0.0027123-0.0020273i,-0.0016763-0.0010322i,7.1104e-06-0.0011429i,0.00046576-0.00083871i,-1.6081e-05-9.1376e-05i,-0.00028972+0.0011761i,-0.00082488+0.0010257i,-0.00055229+0.00011453i,-5.3811e-05-0.00036756i,-0.00017122-0.00098446i,-0.00025376-0.0013024i,-0.0003776-0.0010367i,-0.00027293-8.9041e-05i,-4.1461e-05+0.00092016i,-0.00021508+0.00055117i,-0.00018928-0.00018401i,-0.00026564-0.00025034i
0.002168+0.0011847i,0.0019731+0.00098326i,0.0017907+0.00051812i,0.0020009-0.00022631i,0.00091945-0.0017429i,-0.0010795-0.0021585i,-0.0022891-0.0011136i,-0.0022958-0.00078947i,-0.0013866-0.0014886i,-0.00078149-0.001639i,-0.00013651-0.00090287i,0.00068542-0.00088258i,0.00099794-0.0014802i,0.0010068-0.0013016i,0.00031454-0.00067738i,-0.00083587-0.00035267i,-0.00059317+0.00012843i,0.00047081-0.00012367i,0.00037902-0.00015766i,8.019e-05-0.00010438i,0.00033218-0.00010323i,0.0004079-0.0008343i,0.00037602-0.0017036i
-0.00125-0.0010264i,-0.0027836-0.0012354i,-0.0039768-0.0022627i,-0.0033584-0.0019995i,-0.0021992-0.0015458i,-0.0016065-0.0015694i,-0.0017372-0.0012221i,-0.001406+0.0005381i,-0.00019945+0.00085151i,-0.0003398-0.00025815i,-0.00095331-0.00042554i,5.3658e-05-0.00022241i,0.00059075-0.00015081i,2.8219e-05-0.00066405i,0.00016865-0.00053309i,0.00021477+2.3439e-06i,0.00020218-1.1787e-05i,0.00064154+0.0008771i,0.0010149+0.0010209i,0.0011837+0.00051428i,0.00039051+0.00028248i,-0.0003512-1.5817e-05i,0.00035952-0.00019474i
3.9705e-05-0.0035348i,-0.0006368-0.0045711i,-0.0010894-0.0039638i,-0.0018303-0.0023233i,-0.0023375-0.0012816i,-0.0023813-0.00086931i,-0.0013043-8.7146e-05i,0.00086696+0.0010393i,0.0019215+0.00051267i,0.00087297-0.00067688i,-0.00041267-1.4114e-05i,-0.0011163+0.00040218i,-0.00055771-0.00011767i,-0.00016274+0.00030858i,-8.666e-05+0.00079688i,0.00010352+0.00078187i,1.936e-05+0.0015269i,0.00015041+0.0013667i,0.00038032+0.0010047i,0.0004778+0.00088616i,0.00013989-0.00051554i,-0.00048506-0.0016266i,-4.8352e-05-0.0015311i
0.0018066-0.0020478i,0.0019735-0.0024508i,0.0014737-0.0018916i,0.00033753-0.0022755i,-2.0694e-05-0.0023648i,-0.00027113-0.0016129i,-0.00062583-0.00093133i,2.4188e-05-0.00022361i,0.00096038-0.00020728i,0.00058791-0.00078811i,-0.00086097-0.00049808i,-0.0018443+4.3058e-05i,-0.00083525+0.00048016i,0.0003364+0.0012686i,0.00036604+0.00076593i,-0.00013372-0.00019176i,-0.00064866-0.0005217i,-0.0003488-0.00038326i,0.00032248-0.00011219i,0.00051359+4.1527e-05i,3.9706e-05-0.00057924i,-0.00049585-0.0011585i,-0.00026657-0.00012456i
0.0012639-0.00063728i,0.0015057-0.00027948i,0.0011424-0.0010355i,0.00055945-0.0017754i,3.6177e-05-0.002465i,-0.0011728-0.0038079i,-0.002469-0.0039034i,-0.0016822-0.0024679i,-0.00044805-0.0011637i,7.4913e-05-9.4024e-05i,0.00053605+0.0007688i,0.0011227+0.00053938i,0.0014202+0.00016034i,0.0012357-0.00032366i,0.00068486-0.00070943i,-0.00024577-0.00064591i,-4.6748e-05+0.00011571i,0.00030421+0.00065924i,-0.00026033+0.00036103i,-0.00051657-2.0348e-05i,-8.4444e-05-0.00010817i,0.00034896-8.1299e-05i,0.00040592-0.0005383i
-0.0011508+0.0018737i,-0.0010301+0.0029869i,-0.0011962+0.0020821i,-0.0013743+0.0017678i,-0.0015531+0.00087144i,-0.0020694-0.0013654i,-0.0033468-0.0019082i,-0.003266-0.00077361i,-0.0019456-0.00094754i,-0.00075333-0.00076402i,-0.00036345+0.00011933i,5.2791e-06+8.5685e-05i,0.00045761+0.00020106i,0.00059067-0.0002055i,0.00055117-0.0007452i,0.00025282-0.00074838i,0.00012617-0.00080645i,0.00043365-7.4101e-06i,0.00033791-0.00012068i,0.00021524-0.00079435i,-7.0484e-05-0.00055689i,-0.00083029+0.00027664i,-0.0014314+0.0004247i
-0.00033675+0.001132i,-0.0015541+0.0023353i,-0.0017119+0.0011903i,-0.00048479-0.001338i,-0.00091621-0.0028626i,-0.003049-0.0030478i,-0.0038201-0.0015533i,-0.0029661+0.00057336i,-0.0020461+0.0014331i,-0.00090231+0.00031902i,-0.00059701-0.0010721i,-0.00068505-0.0015688i,-0.00052026-0.0020806i,0.00012801-0.0018618i,0.00042662-0.0006552i,0.00047704-0.00017727i,0.00016139-0.00075455i,-0.00045568-0.00069941i,-0.00035135+0.00023849i,-0.00046114+0.00069981i,-0.00066084-0.00040151i,0.00059165-0.00084059i,0.0007552-0.00040059i
-0.00076379-0.0017178i,-0.0012053-0.0025293i,-0.0014081-0.0025529i,-0.0021334-0.00087469i,-0.0026577-0.00089764i,-0.0022289-0.0015279i,-0.001932-0.00077423i,-0.001363+0.00014571i,6.2753e-05+0.00020113i,0.00039396-0.00032156i,0.00034365-0.00010183i,0.00070001+0.00045968i,0.00022863+0.0002584i,-0.00057974+0.00010909i,-0.00038877-0.0002098i,-5.0964e-05-0.0002204i,-0.00018349-7.0645e-05i,0.00038301+0.00037046i,-3.6074e-05+0.00061329i,-0.00046014+0.0008316i,0.00036016+3.4671e-05i,0.00089454-0.00093316i,-8.9479e-05-0.00063713i
0.001116-0.0022727i,0.0020027-0.003232i,0.001177-0.0025278i,-0.00023528-0.0026326i,-0.00031339-0.0034049i,1.24e-05-0.0036428i,0.00074007-0.0024861i,0.0015211-0.0008329i,0.0014905-0.0010174i,0.000671-0.0014262i,-0.00033897-0.00099454i,-0.000464-0.00015422i,1.0561e-05+0.00070276i,-0.00022821+0.00076109i,0.00016612-0.00015063i,0.0006528-0.00032282i,-8.4041e-05+0.00074811i,1.6174e-05+0.0010475i,0.00075679+0.00055411i,0.00077195+0.00069295i,0.00098542+0.00051973i,0.0010063+0.00015394i,0.0006123-0.00053983i
0.0018824+0.0016184i,0.0015427+0.0019545i,0.00060375+0.0017352i,-0.0007036+0.00043975i,-0.0011954-0.00090721i,-0.0012457-0.0012596i,-0.0012383-0.0017702i,-0.00083433-0.0016687i,0.00034175-0.0011225i,0.0010021-0.0010638i,0.00091936-0.00069548i,0.0015572+0.000462i,0.001126+0.00059773i,-0.00014236+0.00035091i,-0.00022054+0.00013987i,-0.00022416-0.00053414i,-0.00013946-0.00091544i,-5.2967e-05-0.00077881i,-0.00013267-0.00060062i,7.6918e-05-0.00049756i,0.00013942-0.00038109i,0.0004963-0.0001293i,0.00089977+0.00016874i
-0.0024489+0.00085315i,-0.0032937+0.0020927i,-0.0033012+0.0009066i,-0.0024379-0.0014198i,-0.0013256-0.0030802i,-0.0012174-0.0032962i,-0.0021779-0.0023543i,-0.0020627-0.0011594i,-0.0013246-0.0013653i,-0.00093603-0.0016507i,-0.00013835-0.0010345i,0.00037821-0.00042086i,0.00051741-0.00068636i,0.00094542-0.00097941i,-8.0903e-05-0.00024104i,-0.00038705+0.00011467i,2.4358e-05+0.0001873i,-0.00037714+0.00016755i,-0.00072716+0.00026805i,-0.00095803+0.00089243i,-0.00084843+0.0015207i,-0.00035813+0.0016522i,0.00085823+0.00050206i
0.00015039-0.0030301i,-0.0022014-0.0040011i,-0.0025811-0.003355i,-0.0011693-0.002226i,-0.0011091-0.002001i,-0.0020159-0.0022553i,-0.0022243-0.0015454i,-0.0019751-0.00057312i,-0.0017028+8.5492e-05i,-0.0011602+0.00024962i,-0.0006725+5.7882e-05i,-4.7678e-06-0.00055035i,0.00094969-0.0011867i,0.00052712-0.00054395i,-0.00012394+3.0953e-05i,0.00019929-4.2289e-05i,0.00034419+1.2966e-06i,0.00031126+3.1922e-05i,0.00026936-0.00074619i,0.00029395-0.0019425i,-4.7066e-05-0.0017723i,-0.00084292-0.00026929i,-0.00089756-4.6138e-05i
-0.0002202-0.0019734i,0.00027891-0.0042257i,-0.00051089-0.0050223i,-0.0013084-0.0036147i,-0.0012982-0.002966i,-0.0008723-0.0024983i,-0.00026395-0.00085574i,0.00034472+0.0011629i,0.00034715+0.0015152i,0.00043811+0.0014934i,0.00083452+0.0016997i,0.00115+0.0011067i,0.001093+0.00038626i,0.0004243-0.00012813i,0.00039116-0.00012842i,0.00050009+0.00044628i,-0.00059665+0.0009442i,-0.00060518+0.00055974i,0.00078844+0.00033556i,0.001373+0.00040111i,0.0012546+0.00043319i,0.0012108+0.00067631i,0.00083491+0.00030526i
0.0010416-0.002455i,0.0015413-0.0031216i,0.00094508-0.0022641i,0.00049943-0.0014148i,-0.00066881-0.0017033i,-0.0014461-0.0023758i,-0.0016128-0.0015385i,-0.0014864-0.00022798i,0.00011875-0.00010997i,0.00055511+0.00032131i,-6.7039e-05+0.0004623i,0.00031454-0.00013576i,0.00071143-0.00012237i,0.00066404+0.00039962i,0.0015646+0.00059997i,0.0015044+6.5712e-05i,0.00045999-0.00033131i,0.00015385+0.00040104i,0.00034866+0.00087884i,0.00089364-0.00012951i,0.00078931-0.00015438i,0.00034017+0.0008219i,0.00015832+0.00069752i
0.0016659+0.00041197i,0.0020257+0.0019122i,0.0018303-0.00068421i,-9.6964e-05-0.0032315i,-0.0017017-0.0033042i,-0.0025821-0.0019475i,-0.0018047-0.00039177i,-4.2485e-05-0.00043565i,0.0010282-0.0016286i,0.0012743-0.0021318i,0.00063788-0.0014868i,-0.00013985+0.00079205i,0.00036138+0.0019678i,0.0010824+0.0016474i,0.00032552+0.00097488i,-0.00038251+0.00031375i,0.0002022+8.2108e-05i,0.00084463+0.00042493i,0.0013796+0.001233i,0.0017432+0.0016493i,0.00094717+0.001109i,-9.2034e-05+0.00045722i,0.0003205-0.00028668i
0.0017234+0.0015281i,0.0011822+0.001169i,0.0024086+0.00019635i,0.0019965-0.0013343i,-0.00032881-0.0017352i,-0.0018595-0.0019589i,-0.0025489-0.001963i,-0.0025047-0.0013507i,-0.00077148-0.0016815i,0.00030967-0.0024502i,-0.00026853-0.0022476i,-0.00072535-0.0017362i,-0.0005232-0.00068822i,-0.00062853+0.00026171i,-0.0011957+0.00072445i,-0.0013501+0.00043877i,-0.0011463-0.00068057i,-0.00080754-0.0010196i,0.00021861+0.00016147i,0.00013486+0.00077493i,-0.00047893+0.00038968i,-0.00072895+2.2778e-05i,-0.00074848-3.2083e-05i
-0.0014274-0.0019276i,-0.0026622-0.0025694i,-0.0030499-0.0015756i,-0.0014972-0.0017125i,-0.00063543-0.0032158i,-0.001453-0.0037273i,-0.0026029-0.0027031i,-0.0024401-0.00041486i,-0.0017302+0.00062534i,-0.001714-0.00016479i,-0.0015418-0.0012221i,-0.00045201-0.0014899i,0.00088652-0.0011734i,0.00072329-0.00070651i,9.3877e-05-0.0004468i,0.00013453-0.00013647i,0.0006762+0.00022546i,0.00047256+2e-05i,-0.0006202-0.00035733i,-0.00084775-3.0788e-05i,-0.00041555+8.7039e-05i,-0.00016524-0.00039627i,-0.00057454-0.00038901i
0.0034352-0.00059872i,0.00472-0.0012907i,0.0026911-0.0016571i,0.0005343-0.0025562i,6.3458e-05-0.0015226i,-0.001244-0.0018357i,-0.0029396-0.0019929i,-0.0021055+0.00015542i,-0.0011239+0.0015378i,-0.0012556+0.0009783i,-0.00082404-7.0076e-05i,-0.00031316-0.00060509i,0.00025168-0.00078386i,-0.00015548-0.00050662i,-0.0010609-0.00029704i,-0.00097287-0.00056217i,-0.00063084-0.00057711i,-0.00037732+4.3134e-05i,-0.00047812+0.00055579i,-0.00077336+0.0010553i,-0.000608+0.001148i,-0.00018132+0.00065394i,0.00010013+0.00067052i
-0.0012748+0.00054001i,-0.00042527+0.0022999i,-0.00020385+0.0019485i,-0.00086308+0.0014671i,-0.0018597+9.1858e-05i,-0.0015802-0.00060631i,-0.0014453+0.00036273i,-0.00052773+0.00090376i,0.00059109+0.00067859i,0.00094228+0.00063288i,0.00060988+0.0004568i,0.00052963-0.00013597i,0.00032449-0.00033359i,1.6775e-05-3.221e-05i,0.00046052+0.00040205i,0.0002304-5.071e-05i,0.00030951+3.2268e-05i,0.00028558+0.0012053i,-0.0002156+0.0010872i,-0.00053432+0.00014064i,-0.00019345+8.8753e-05i,0.00020245-0.0001068i,0.00014461+7.1423e-06i
-0.0013449-0.00072883i,-0.0034416+0.00016465i,-0.0032888-0.00019993i,-0.0017391-0.001281i,-0.0012788-0.0022665i,-0.0016422-0.0022447i,-0.0015567-0.0018848i,6.3782e-05-0.001671i,0.0016027-0.00053986i,0.0017872-0.00054843i,0.0011375-0.0011904i,0.0005687-0.0011275i,-2.8429e-06-0.00047839i,0.00071585+0.00034862i,0.0010423+0.00036548i,3.4129e-05-0.00014862i,-0.00012812-0.00078275i,-0.00096327-0.00036999i,-0.0016018+0.00057812i,-0.0010341+0.00074483i,-0.00041741+0.00073207i,-1.4915e-05+0.00026999i,0.00019611-0.00074075i
-0.0024058-0.0037244i,-0.0036159-0.0034515i,-0.0047055-0.0019074i,-0.0038884-0.00055355i,-0.0023948-0.001504i,-0.0011647-0.0026092i,9.1572e-05-0.0018302i,-0.00015993-0.0017576i,-0.00084993-0.0018433i,-0.00085589-0.0014832i,-0.0010359-0.0010177i,-0.0013253-0.00034545i,-0.00070305+0.00014471i,0.00096112+0.00019724i,0.0014022+0.00038922i,0.00021069+0.00046081i,-0.00039212+0.0004633i,-0.00090609+0.0002891i,-0.00072813+0.00018192i,-0.00019524+0.00032283i,-0.00020265+0.00024894i,-0.00021298+3.7902e-05i,0.00034853-0.00040439i
0.0033214-0.0033474i,0.0033353-0.0054248i,0.0011845-0.0059208i,-0.00068343-0.0045245i,-0.0011312-0.0029528i,-0.001645-0.0026178i,-0.0021433-0.0020613i,-0.0027238-0.0010162i,-0.0032322-0.00034573i,-0.0033668-0.00036202i,-0.0020201-0.00057234i,-0.000564-7.6445e-05i,-0.00055217-7.6388e-05i,-0.00091658-0.00046106i,-0.00077941+6.3801e-05i,-0.00054233-0.00016845i,-0.00090792-0.00044777i,-0.0011546-0.00033304i,-0.0012863-0.00063171i,-0.0012893-0.00034669i,-0.00095325+0.00014074i,-0.0011318+0.00040747i,-0.00043176+0.00033188i
0.0038354+0.0031461i,0.0045188+0.0010853i,0.0031156-0.0011702i,0.00093973-0.0024647i,-0.0020113-0.0025528i,-0.0043364-0.0019217i,-0.0047631-0.00056285i,-0.004517+0.00092783i,-0.0030823+0.0017757i,-0.0010395+0.0012851i,0.00014587-4.3564e-05i,0.0010883-0.00061022i,0.00085573-0.0006144i,9.3644e-05-0.00057755i,-8.6749e-05-0.00066781i,-0.00065603-0.00054482i,-0.0010808+0.00032367i,-0.0010631+0.00051781i,-0.00092752+0.00015491i,-0.0011204-7.0344e-05i,-0.00038417+0.00039038i,-7.2211e-05+0.00063326i,0.00088805+0.00020511i
0.00022719+0.0018052i,0.0013097+0.0010113i,0.0023856-0.00094424i,0.0018081-0.0032655i,0.0009471-0.0039299i,-0.00015381-0.0023877i,-0.0010008+0.00027667i,-0.00066168+0.0023445i,0.00032437+0.0024423i,5.5271e-05+0.0011121i,-0.00021671-5.9408e-06i,0.00017048+0.00039539i,0.00034465+0.0002287i,0.00020873-0.00069083i,-0.00051747-0.00036008i,-0.00023426+1.981e-05i,8.4334e-05-0.00032514i,-0.00053752-0.00081399i,-0.00077009-0.00097091i,-0.00040961-2.5638e-05i,-0.00057476+0.00081261i,-0.0001107+7.6135e-05i,0.00077118-0.00045851i
