-0.0026666+0.0028471i,-0.0034883+0.0031998i,-0.0024021+0.0031593i,-0.00060072+0.0024083i,-1.8418e-05+0.001576i,-2.7978e-05+0.0010706i,-0.0005217+0.0015176i,-0.000652+0.0012271i,0.000362+0.00028149i,0.0012923-0.00058205i,0.001048-0.0010602i,0.0005803-0.00099134i,0.00045205-0.0010877i,0.00034043-0.0010742i,0.00023596-0.00048643i,0.0003464-0.00033044i,0.00048327-0.00048167i,0.00062321-0.00012156i,0.00049008-0.00026228i,0.00037823+2.2366e-05i,0.00034837+0.00039677i,0.00031914-2.2299e-05i,0.00034762-0.00028063i
-0.00022192+0.00023043i,0.00034843-0.00014258i,0.00014603-0.0011144i,-0.00028556-0.0013123i,-0.00048488-0.00018929i,6.4956e-05+0.00062298i,0.00084401+0.00068214i,0.0011693+0.00011068i,0.0015075-0.00085139i,0.0013851-0.0010177i,0.0011597-0.00046176i,0.00094459-0.00048374i,-0.000107-0.00050859i,-0.00021513-0.00077468i,-1.6449e-05-0.0007402i,-0.00052348+2.6901e-05i,-0.00035533+3.732e-06i,0.00049039-0.00023957i,0.00017797-8.0102e-05i,-0.00034937+0.00013304i,0.00011333+0.00050277i,0.0004322+0.00047334i,0.00045502-0.0001585i
-0.00029832-0.00061786i,-0.00094536-0.00061844i,-0.0026552+0.00055181i,-0.0026066+0.00087902i,-0.0017724+0.00051928i,-0.0021243+3.8825e-05i,-0.0022255-0.00015375i,-0.0018193+0.00026053i,-0.0010923+0.00012304i,-0.00085461-0.00030461i,-0.00029688+0.00023742i,0.00036953+7.3955e-05i,0.00040945-0.00017484i,-0.00040112-1.2909e-05i,-0.001176-0.00045259i,-0.0002602-0.00082679i,0.00071469-0.00029206i,0.00055616+0.00031015i,0.00026836+0.00053912i,-0.00044057+0.00036404i,-0.00054038-0.00050545i,0.00020251-0.00014313i,0.0002797+0.00096744i
0.0022277+0.0011487i,0.0030235+0.0012424i,0.0020899+0.00068183i,0.0010706+7.2881e-05i,0.00063086+7.6632e-05i,0.00084275+0.0003968i,-0.0001264+0.0009696i,-0.00081603+0.00079407i,5.194e-05+0.00055699i,0.00063451-0.0001542i,-4.335e-05-0.0005703i,-0.00056811-0.00035866i,-0.00021924-0.00043965i,4.5793e-05-0.00040883i,-4.7596e-05+1.3899e-05i,9.3373e-05+0.00020838i,-6.4444e-05+0.0002748i,2.7009e-05-5.8745e-05i,0.00045901-0.00072708i,0.00010716-2.7702e-05i,0.00026074+0.00015895i,3.786e-06+2.6157e-05i,-0.0010341+0.00038221i
-0.0029808-0.0018829i,-0.0034698+0.00038516i,-0.0028323+0.00025713i,-0.0015117+0.0001676i,-0.00090218+0.00048174i,-0.00039037-0.00055498i,0.00058024-0.00072854i,0.00048838+7.0179e-05i,-0.00073057-0.0002267i,-0.0019365-0.00041986i,-0.0014838+4.39e-05i,-0.00051456+0.00046672i,-5.8607e-05+0.00071299i,0.00027291+0.00098276i,0.00077932+0.0005852i,0.00078645+2.1028e-05i,0.00039735-0.00033739i,-0.00042176-0.00085588i,-0.00035755-0.00094968i,0.00016543-0.00093009i,-0.00037461-0.00019783i,-0.00079562+0.00073161i,-0.00039699+0.00098174i
-0.0010559-0.0033299i,-0.00081912-0.0027961i,-0.00073891-0.0026041i,-0.00016034-0.0014081i,0.00029371-0.00057354i,0.0005863-0.00099865i,0.00025924-0.00056941i,-6.3988e-05+0.00040567i,-0.00031041+0.00058655i,-0.00036875-0.00019576i,-0.00037725-0.00052575i,-8.7072e-05-0.00032829i,0.00013604+8.742e-05i,-0.00017274+0.00039678i,4.9894e-05+0.00049479i,0.00027315+0.00066411i,4.6014e-05+0.00035774i,0.0004632-0.00034073i,0.00028696-0.00048346i,-0.00032058-0.00040129i,-0.00038098-0.0006997i,-0.00056479-1.9564e-05i,-0.00052968+0.00116i
0.0019238+0.0021291i,0.0017073+0.0029916i,0.002137+0.0030338i,0.0021611+0.0016909i,0.00098152+0.001311i,-0.00020571+0.00089782i,-0.0011986+0.00038173i,-0.00092746+0.00022354i,-0.00012951+9.57e-05i,-0.0001493+0.00016392i,-0.00015817+0.00060263i,0.00051384+0.00016161i,0.00024914+0.00013383i,-0.00071222+0.00052815i,-0.0008033+5.8543e-05i,-0.0010148-0.00064564i,-0.0018553-0.00034267i,-0.0012538+0.00012582i,-0.00060599+0.00022034i,-0.00022129+0.00050631i,-0.00026821+0.0010262i,-0.0006056+0.00093116i,-0.00048557+0.00071554i
-0.002109+0.00074292i,-0.0021602+0.0011984i,-0.0022682+0.0030334i,-0.0013758+0.0031929i,-0.00039059+0.00096849i,0.00039432-0.00062257i,0.00047939-0.0005441i,-5.2944e-05-0.00022033i,-0.00017829+2.2183e-05i,-0.0004492-7.634e-05i,-0.00067479+4.968e-05i,-0.00041289-0.00029544i,3.5991e-05-0.00058815i,0.00077564-0.00040839i,0.00060979+0.00011037i,0.00015411+0.00022939i,0.0005817+0.00037397i,0.00010319+0.00035452i,0.00033353+0.00049902i,0.00045545+0.0002473i,0.00031743-0.00012779i,0.00099427+0.00037189i,0.0010625+0.00064528i
0.00089475+0.00080627i,0.0013314+0.00010962i,0.001541-0.00089412i,0.0018542-0.00099498i,0.001335-0.00074343i,-0.00032001-0.00077008i,-0.0011698-0.00077328i,-0.00060354-0.000926i,-0.00019527-0.00044428i,-0.00046951-0.00014014i,-0.00025599+0.00026717i,-0.00035056+0.00030315i,-0.00066427-0.00010517i,-2.9888e-05-0.00073168i,0.0010224-0.00026972i,0.00072341+0.0002214i,0.00015236+0.0011188i,0.00061323+0.0014549i,0.0010634+0.00045926i,0.00061949+0.00085649i,0.00040672+0.0012815i,0.00064376+0.00061071i,0.00059799+0.0007142i
-0.00085204-1.3159e-05i,-0.0020517-0.00063982i,-0.0033605-0.0011441i,-0.0020251-0.00077685i,-0.000348+0.00010353i,-0.0006808+0.0010016i,-0.00075668+0.00079815i,-0.00019333+0.00023903i,-0.00028089-0.00030739i,-0.00051612-0.00013055i,-0.0010058+0.00034166i,-0.00064912-5.0209e-05i,0.00040796-0.00030603i,0.00052289+0.00043034i,0.00062447+0.00070183i,0.00080857+0.00072258i,0.00069047+0.0002498i,0.00041545-0.00048496i,0.00089018-0.00028593i,0.0015777+0.00031641i,0.0012836+0.00044616i,0.00060628+0.00010422i,0.00017228+0.00014859i
-0.0012912+0.0027654i,-0.00034702+0.0023379i,0.0017921+0.002817i,0.0021238+0.001977i,0.0010078-5.1626e-05i,-0.00031122-0.0012377i,-0.00096904-0.001268i,-0.00074765-0.00068723i,-0.00042346+0.00017567i,-0.00018963-7.0379e-05i,0.00015943-0.00028983i,0.00034417+0.00015328i,0.00021287+0.00066753i,0.00036132+0.00016029i,0.00065223-0.00097813i,7.9756e-05-0.0012819i,-0.00067497-0.00024537i,-0.00054281+0.00034645i,-0.0004297-0.00026534i,-0.0005202-0.00032635i,-0.00035508-0.00016376i,-0.00063916-0.00010285i,-0.00071883-0.00042939i
-0.0012149+0.0026375i,-0.0009506+0.0041025i,8.4832e-05+0.0041846i,0.0011593+0.0026066i,0.0012056+0.00059521i,7.5427e-05-0.00036172i,-0.00077331-0.00016589i,-0.00061941+0.00043719i,-0.00021959+0.0006705i,0.00019178+0.00039926i,0.00068638+0.00031434i,0.00038017+0.00025421i,-0.00049895-2.554e-05i,-0.00036699+3.6882e-05i,0.00082452-1.2829e-05i,0.00085956-0.00028446i,9.027e-05-0.00057044i,-0.00038786-0.00045173i,-0.0012347-0.00015364i,-0.0013887-0.00030825i,-0.00065661-0.00086595i,-6.2909e-06-0.00085633i,0.00069411-0.00064228i
0.0017398+0.00038053i,0.0019065+0.0001312i,0.0034011-0.00068418i,0.0033464-0.00093074i,0.0019476-8.3867e-05i,0.0011141+0.00022773i,-6.5814e-05+0.00057415i,-1.2895e-05+0.00058923i,0.00085627+0.0008243i,0.00044452+0.0012751i,-1.5277e-05+0.00061395i,4.7511e-05+8.0609e-06i,-3.971e-05-0.00021647i,-8.6346e-05-5.466e-05i,-0.00023649+0.00050478i,-0.00011919+0.00023181i,0.00031835-0.00039799i,-2.6455e-05-0.00037513i,-0.00049123-0.00033303i,-0.00033629+0.00010826i,-0.00032223+0.00068906i,-0.00088655+0.00090422i,-0.00075879+0.00088302i
-0.00038918+0.00036133i,-0.001114+0.00060149i,-0.0010012+0.0011399i,-0.00036824+0.00053557i,-0.00027614-2.9922e-05i,-0.0009076-0.00031927i,-0.00064321+0.00044692i,0.00015062+0.00071477i,0.00060616+0.00056796i,0.00025318+0.001064i,-0.00031118+0.0010795i,-0.00036476+0.00041879i,-0.00043346-0.00060914i,-0.00057858-0.0012087i,-0.00060319-0.00073987i,-9.4377e-05-0.00054948i,0.00050243-0.00066016i,0.0005205-0.00038016i,-2.4811e-05+0.00043893i,0.00011184+0.00082349i,0.00047957+0.00063658i,0.00014258+0.00024682i,-0.00039429-0.00018166i
-0.0016423+0.0012967i,-0.0015284+0.0025819i,-0.00028309+0.0037572i,0.0020129+0.002861i,0.0030215+0.001286i,0.0011686+0.00044052i,-0.0009551+0.00054824i,-0.0011953+0.00082286i,-0.00028677+0.00045829i,0.00013966-5.0986e-05i,-0.00035095+7.1473e-05i,-0.00080884-0.00032435i,-0.00065106-0.00075145i,5.2584e-06-0.00096075i,0.00042141-0.00050017i,0.00018532+6.1536e-05i,9.1845e-05+4.0429e-05i,4.6722e-05+3.6085e-05i,-0.00021566+0.00017178i,4.3011e-05+0.00021772i,0.00038251+0.00029565i,0.00039729+0.00076065i,-0.00035621+0.0012289i
-0.00027181+0.00097942i,0.001391+0.0018802i,0.0024674+0.0026031i,0.0018917+0.0025385i,0.0010961+0.0013209i,0.00084519+0.00025405i,0.00018161-0.00050626i,-0.00017158-0.0008753i,0.00035247-0.00044907i,0.0011417-9.7429e-05i,0.0020043-0.00011184i,0.0017777+0.00015102i,0.00067066+0.00014758i,0.00029109-0.00047277i,0.00053967-0.00061005i,-9.0493e-06+9.8017e-05i,-0.0005783+0.00075846i,2.3687e-05+0.0012511i,-5.4559e-05+0.00093811i,-0.00034239+0.00071878i,0.00030417+0.0012154i,0.00034898+0.00099084i,0.00013291-0.00021479i
-0.0016853+0.00016386i,-0.0028418+3.2379e-05i,-0.0027237+0.00021975i,-0.00098696+0.00073318i,-0.0002821+0.00074772i,-0.00099439+0.00066183i,-0.0011132+0.00054271i,-0.00027018+3.9592e-05i,3.7814e-05-4.4005e-06i,-0.00052136-0.00038142i,-0.0001356+0.00029214i,0.00034636+0.00072943i,-4.4877e-06+0.00034289i,4.0235e-05+0.00016173i,0.00024208-5.7275e-05i,0.00034405-0.00021177i,0.0001727-0.00032224i,-0.000211+0.00042892i,-0.00067065+0.00068876i,-0.00087742+0.00045157i,-0.00057213+0.00027567i,-0.00049231-0.00023724i,0.00033724-0.00053993i
-0.0029628+0.0010786i,-0.002686+0.0018002i,-0.0021208+0.0025069i,-0.0011957+0.0019704i,-0.00029438+0.00076999i,-0.00028674-0.00075037i,-0.0010771-0.00093809i,-0.0011263-3.6684e-05i,-0.0010302+0.00038265i,-0.00093778+0.00037267i,-0.00017001-0.0001432i,0.00061093-0.0010993i,0.0010462-0.0015651i,0.0014516-0.00087252i,0.0014136-0.00018904i,0.0010756-0.00032696i,0.00054081-5.4717e-05i,0.00010389+0.00065365i,-0.0003765+0.00018278i,-0.00065951-0.00043801i,-0.0010655+7.76e-05i,-0.0014082+0.00038816i,-0.00072226+0.00054097i
-0.001188-0.000359i,-0.001574+0.0001607i,-0.0016746+0.0022509i,-0.00010986+0.0029089i,0.0013284+0.0022277i,0.0010981+0.0014378i,-8.5042e-05+0.00075434i,-0.0004093+0.00013098i,-6.238e-05+0.00070672i,0.00055766+0.0015027i,0.0004532+0.001309i,0.00019067+0.00029093i,0.00053822+0.00024205i,0.00067326-5.8406e-05i,0.00063529-0.00057306i,0.00034014-0.00020366i,0.00025425+0.00025935i,0.00027392-0.000204i,-0.00023231-0.00072603i,-0.00098811-4.6951e-05i,-0.0010451+0.00089103i,-0.0005239+0.00052917i,0.00055581-0.00033969i
-0.0038392+0.0020883i,-0.00384+0.0038287i,-0.0032461+0.0060906i,-0.00021413+0.0045866i,0.0017888+0.0025598i,0.0015139-0.00029891i,-3.2885e-05-0.0015279i,-0.00089591-0.0010602i,-0.00015006-0.00061288i,0.0006696+0.000312i,0.0012119-0.00012622i,0.00098803-0.00074479i,0.0010744-0.00093578i,0.0020086-0.0011294i,0.0020609-0.00078114i,0.0010729-0.0010618i,-0.00021506-0.00070195i,-0.00022594+5.4756e-05i,-0.00038601+0.00021803i,-0.001141+0.00040898i,-0.0015612+0.00068705i,-0.001072+0.0008642i,0.0007382+0.00093077i
0.0097378-0.0027654i,0.010218-0.004907i,0.0084524-0.0091507i,0.0034329-0.0080663i,-0.002717-0.0048954i,-0.0045645+0.00034851i,-0.0011409+0.0038079i,0.0018602+0.0030733i,0.0028053+0.00035781i,0.00065493-0.0016334i,-0.0016006-0.00099837i,-0.0012119+0.00067154i,-0.001238+0.0025184i,-0.0024751+0.0036876i,-0.0034853+0.0036272i,-0.0025237+0.0024245i,-0.0013742+0.00072231i,-0.00092885+0.00054752i,0.00019843+0.0012122i,0.0014884+0.00072917i,0.0020033-0.00094815i,0.00096385-0.001226i,-0.00076661-0.00057633i
0.0018535+0.00088789i,0.0028282+0.0017316i,0.0014517+0.00084678i,-0.00080413-0.00073017i,-0.00107-0.0019856i,-0.0018091-0.0017806i,-0.0011389-0.00064587i,0.00058316+0.00014218i,0.00078777+0.00040784i,0.00020941-0.00063047i,-0.00047991-0.00096729i,-0.00071732+1.1516e-05i,-0.00032396+0.00067829i,0.00029911+0.00039613i,-2.6473e-05-9.6097e-05i,-0.00056363-0.00024497i,-0.00028156-0.00043495i,-1.6551e-06-9.268e-05i,-0.00069663+0.0004471i,-0.00081958+0.00028989i,-0.00040495-0.00048349i,-0.00038625-0.0010609i,-0.00014538-0.00097329i
0.0018308-0.0032009i,0.0018961-0.003421i,0.00098371-0.0034226i,-0.00066334-0.0015191i,-0.0021527-0.00052354i,-0.0024264-0.00047486i,-0.0018144+0.00039812i,-0.0010956+0.0012832i,-0.00041173+0.00095437i,-0.0010106-9.9691e-05i,-0.0018566-0.00076164i,-0.0017255-0.00030183i,-0.00094777+0.00037863i,-0.00023366+0.00091214i,-0.0005874+0.0014112i,-0.00034442+0.00069223i,-0.00011059+1.3983e-05i,9.3512e-06-0.00033236i,0.00043474-0.00021461i,0.0006819-0.00063735i,0.00019381-0.00093701i,-0.00039788-0.00038104i,-0.0011811+0.000109i
0.00087122+0.0010059i,0.0016437+0.001064i,0.0018924+0.0009883i,0.0019909+0.0016254i,0.0010289+0.0016574i,7.7303e-05+0.0010265i,-0.00053244+0.0016773i,-0.00073865+0.002381i,-0.00012285+0.0016277i,0.00081148+0.00046912i,0.00096152+0.00029532i,0.0007178-0.00010215i,0.00055414-0.00048373i,0.00040475+0.00026345i,-9.4118e-05+0.00019644i,-5.5417e-05-0.00013886i,0.00074824-0.0002375i,0.00085908-0.00038544i,0.00040044+0.00015906i,0.00018839+0.0011204i,-4.4847e-05+0.0009928i,0.00022116-0.00010628i,0.00086478-0.00082487i
-0.0010653+0.0034687i,-0.00065131+0.0019589i,0.0011796-0.00010958i,0.001871-0.0011482i,0.0013478-0.0014914i,0.00011426-0.000899i,-0.0002283-0.0005074i,0.00032329-6.2301e-05i,7.9708e-05+0.00020085i,-0.00051644-0.00014169i,-0.00057943-1.1646e-05i,-0.00045324-0.00047035i,0.00010809-0.0011639i,0.00053355-0.0014441i,-7.5075e-05-0.0016014i,-0.00047527-0.0010326i,-0.00029555-0.00041344i,0.00018639-8.0129e-05i,0.00058031+0.00063226i,0.00035779+0.00036583i,0.00020725-0.00037529i,3.0589e-05+7.3795e-05i,-0.00037804+0.00049663i
0.0013763-0.002205i,0.0018883-0.0019456i,0.00035952-0.0012019i,-0.00087389-0.00043739i,-0.00089467+0.00052783i,-8.277e-05+0.001362i,0.0012341+0.0014454i,0.001365+0.001202i,0.00081887+0.00054616i,0.00043858+0.00024891i,0.00030193+0.00024843i,0.00053738+0.00053951i,0.0004619+0.00047669i,5.0577e-05-3.6448e-05i,0.00023359-8.4527e-05i,5.7529e-05+0.00020013i,-0.0006297-0.0004251i,-0.00022297-0.00055011i,0.00023181+0.00023774i,0.00025426+0.00086216i,-0.00025228+0.001248i,-9.3624e-05+0.0014945i,0.00069305+0.0010003i
0.001166+0.0014791i,0.00064749+0.0016983i,-4.6934e-05+0.00081526i,0.00041218-0.00017772i,0.0001608-0.0011078i,-0.00059621-0.0017769i,-0.00036683-0.0019854i,0.00039777-0.0016337i,0.00026743-0.0010132i,-0.00010286-0.00033i,-5.3015e-05+0.00020556i,-0.00013071+0.00018286i,0.00015305-0.00043376i,0.0011765-0.00035302i,0.00080576+7.0994e-05i,-0.00071536+1.904e-05i,-0.00043259+0.00037755i,0.00027023+0.00016577i,0.0001754-0.00024739i,0.00026595+0.00016067i,0.00013988+0.00051698i,-8.7182e-05+0.00068877i,-0.00045376+0.00084541i
0.00093631-0.001808i,0.00014087-0.0021046i,0.00015554-0.0022505i,0.00076753-0.0011281i,-0.00017908+0.00042557i,-0.0012019+0.0012713i,-0.00118+0.0010497i,-0.00079289+0.00069209i,0.00012752+0.00089927i,-7.4583e-06+0.00069291i,-0.00059368+0.00057563i,-0.00065259+0.00054771i,-0.00057547+0.00012355i,-0.00034849-0.00020946i,-0.00012624+9.5274e-05i,-3.975e-05+0.00070164i,0.00023336+0.00039666i,0.00035753-0.00015232i,8.3156e-05-0.00027478i,-0.0003672+0.00021988i,0.00022789+0.00067326i,0.001056+0.00095653i,0.00048857+0.00051578i
0.0024351-0.00027919i,0.0041434-0.00095948i,0.0042809-0.0015165i,0.0024708-0.0015285i,0.0016039-0.001469i,0.00080741-0.0010569i,-3.3564e-05+6.8099e-05i,7.3508e-05+0.0012298i,0.00027969+0.0011908i,1.3451e-05+0.00012917i,-3.7335e-05-0.0005593i,0.00045458-0.00041402i,0.00058859-1.3821e-05i,0.00013274-0.00014229i,-0.00084182+0.00019668i,-0.001591+0.00037389i,-0.00096267+7.1962e-05i,-0.00019965-0.00014335i,-0.00043498-0.00042139i,-0.0009316+0.00036734i,-0.00052918+0.00096174i,0.00019211-7.4124e-05i,0.00017267-3.0079e-05i
0.0010814+0.00083131i,0.0006609+0.00068798i,0.00042276-0.00044498i,0.00055012-0.00092556i,0.00037766-0.0006704i,0.0010299-0.00010996i,0.0011533+0.00038826i,0.00010254+0.00079008i,0.00010038+0.00074896i,0.00063749+0.00076716i,0.00053926+0.00057041i,0.00022738-0.00024521i,7.6807e-05-0.00045018i,0.00014971-0.00017545i,-0.0002754+0.00011763i,-0.0004617+0.00026261i,0.00011746+0.0001891i,0.00095024+5.9702e-05i,0.00058925+2.553e-05i,-0.00055578+1.0324e-05i,-0.00066766-6.4708e-05i,-0.00040897+2.6092e-06i,-0.00077191+0.000516i
0.00033665+0.0033064i,0.0011333+0.0032358i,2.0183e-05+0.0016921i,-0.00039768+0.00049566i,-0.00048994-0.0003383i,-0.0012607-0.00096717i,-0.00098755-0.00018203i,-0.00087846+0.0013737i,0.00025094+0.0013328i,0.0007806+0.00050281i,0.00070188+0.00012105i,0.00028576-0.00029249i,0.00019626-0.00049741i,0.0001021-0.00079074i,-0.00076138-0.00096523i,-0.00057224-0.00064069i,-7.6374e-06+0.00054764i,0.00020058+0.0012209i,0.00026907+0.00041453i,0.00025503-1.7398e-06i,-4.1586e-05-1.2382e-05i,-0.00036314+0.00052077i,-0.00040149+0.00092991i
-0.0018139+0.0020066i,-0.00082385+0.0022209i,-0.00026226+0.0019523i,0.00062135+0.001217i,0.00086624+0.00027928i,9.6976e-05-0.0006047i,-0.0010688-0.00056221i,-0.0016942+0.00011154i,-0.0016835+0.0001239i,-0.0017384+0.00055188i,-0.0015503+0.00042758i,-0.00082695-0.00056442i,2.3587e-05-0.00061976i,0.00030299-0.00021003i,0.00057058-0.00043512i,0.0004922+9.5492e-05i,0.00045909+0.0004469i,0.0010825+0.00065316i,0.00042662+0.00069629i,-0.00049152-0.00014945i,-0.0004127-0.00024855i,-9.9049e-05+0.00025578i,5.7492e-05+0.00010453i
-0.0026138-0.00043233i,-0.0023445-0.00056499i,-0.00095726+2.6398e-06i,0.00032025+0.0004711i,0.00025064+0.00021552i,-0.00041873-0.0002249i,-0.00011906-0.00091148i,-0.00055293-0.0011628i,-0.0017832-0.00079793i,-0.00091556-0.00032476i,-0.00021166-1.597e-05i,-0.00056371-9.1157e-05i,3.0871e-05-0.0003694i,0.00135-0.00043505i,0.00225-0.00064147i,0.0014874-0.0011711i,0.00087934-0.0011668i,0.00077001-0.00058885i,-2.2156e-05-0.00051796i,9.8179e-05-6.5136e-05i,0.00023124+0.0008293i,0.0003959+0.0012973i,0.00037663+0.00025041i
-0.0002121-4.8338e-05i,0.00099028+0.00018271i,0.00078839+0.00095522i,0.00039081+0.00087967i,0.00055274+0.001191i,0.00068071+0.00086869i,0.00037494-0.00078146i,-0.00023255-0.0013412i,-0.00059158-0.00061834i,-1.0981e-05-0.00027503i,0.00055677+0.00034693i,0.00088172+0.00024054i,0.00055335-0.00018549i,9.2051e-05-0.00026994i,0.0004701-0.00039843i,0.00099658-0.00079947i,0.00071936-0.00068246i,-0.00018622-0.00029083i,-0.00026369-0.00015546i,3.6813e-05-6.0757e-05i,-0.00026554+0.00033289i,-0.00048562+0.00033848i,-0.00031674+0.0010344i
-0.0020626+0.0022772i,-0.0024664+0.0028512i,-0.0015198+0.0023901i,-0.00017456+0.0014349i,0.00026312+0.0010722i,-0.00035336+0.00075121i,-0.0011831+0.00096769i,-0.0010554+0.0013742i,-0.00040953+0.0014805i,0.00029058+0.001065i,0.00060206+9.4006e-05i,0.00010593-2.4458e-05i,-0.0006627+0.00018675i,-0.00089907-0.00061264i,-0.00077576-0.00013066i,-0.00066214+0.00085805i,-0.00083417+0.00041585i,-0.00085043+1.6436e-05i,-0.00057335+6.6167e-05i,-0.00060493+0.00014523i,0.00044822+0.00055011i,0.0016375+0.00080107i,0.00045967+0.0008403i
-0.0012667-0.00068676i,-0.00018109-0.00046445i,0.00025509+0.00059202i,0.0008057+0.001313i,0.0014397+0.00085439i,0.001049+0.00057453i,8.6902e-05+0.0013605i,-0.00097207+0.00082226i,-0.00070411-0.00015547i,0.00029518+0.00010469i,-1.756e-05+0.00074103i,-0.00035513+0.00030811i,0.00031835-0.00099788i,0.00023465-0.0012107i,-0.0002807-0.00052263i,0.00062601-0.00028084i,0.0011459+0.00030559i,0.0010177+0.0010659i,0.00055458+0.0008801i,0.00020323+0.00011092i,0.00058563+0.00011406i,0.00028597+0.00028837i,-0.00012142+0.00055964i
0.00057147+0.001265i,0.00095431+0.0019025i,-0.00034656+0.00080408i,-0.00025975+0.00079467i,0.00027822+0.0016741i,6.9258e-05+0.0018583i,-0.00029021+0.00090495i,-0.00068146+4.4889e-05i,-0.0003442+0.0002641i,-8.8548e-05+0.00011549i,-0.00021846-6.0897e-05i,0.00023021-0.00047052i,0.00075161-0.00073918i,0.00059604-0.00014498i,0.00089383+0.00029758i,0.00081987+0.00022652i,0.00016105+0.00051312i,-0.00035378+0.0012981i,-0.00068458+0.00067558i,-0.00046361-3.1892e-05i,-0.00054664-0.00015603i,-0.00055974+8.6747e-05i,-1.2592e-05+0.00010663i
-0.00046333-0.00071655i,-0.00093489-0.00073364i,-0.00048545-0.00059003i,-0.00086345+8.5294e-05i,-0.0008194-5.976e-05i,-8.5134e-05-0.00043027i,0.00028649-0.00061769i,0.00042362-0.00035935i,-0.00017916+0.00011979i,-0.00014688+0.00070467i,0.00062038+0.0010711i,0.00021862+0.00028701i,-0.00017176-0.00038696i,0.00029966+0.00031433i,0.00010735+0.00075907i,-0.00023205+0.0010067i,-0.00027843+0.00099586i,-6.9873e-05+0.00057885i,0.00021556+0.00094252i,0.00016102+0.00037894i,-0.00030322+0.00030948i,-0.00011083+0.00050984i,0.00035945-0.00013204i
0.00015379+3.2901e-05i,-0.00015252+0.0014645i,-0.0017972+0.0012014i,-0.0011557+0.00066284i,-0.00013225+0.00019511i,-0.00022698-7.6713e-05i,-0.00049916+0.00011985i,-0.00027106-2.3023e-05i,-0.00011221-8.6721e-05i,9.949e-05+0.00058331i,0.00025431+0.00061682i,0.00026914-0.00012777i,-0.0001085-0.00092743i,-0.00013876-0.00070535i,0.00054586-0.00051669i,-0.00027733-0.00030373i,-0.0006133-0.00021093i,-6.0211e-05-0.00054381i,-0.00042144+0.00062806i,-0.00092931+0.0010752i,-0.00083474+0.00021334i,-0.0002894-0.00015183i,0.00013128-0.00030675i
-0.0012535+0.0015156i,-0.0018127+0.0019823i,-0.00075048+0.0016902i,0.00018064+0.0015719i,-0.00016394+0.00088485i,-0.00042366+0.00015231i,-1.0949e-05+0.00017006i,0.00031726-6.2542e-05i,-1.8751e-05-0.00030675i,-0.00014838-0.00043981i,0.00054833-0.00070647i,0.0006662-0.00043677i,3.2816e-06+0.00013951i,-0.00015912+0.00048661i,7.7167e-05+0.00018939i,4.6519e-05+0.00045263i,0.0001833+0.00041704i,0.0003585+7.0884e-05i,-0.00027147-0.00027787i,-0.0002745+0.00010049i,-2.2982e-05-0.00019068i,-3.8979e-05-0.00015085i,-0.00023185+0.00010465i
0.0018359-0.00076623i,0.0023039-0.0014986i,0.0027619-0.002813i,0.0017912-0.0032011i,0.00091555-0.0018716i,-2.9901e-05-6.2055e-05i,-0.00084173+0.00011673i,-0.00035457+0.00046304i,-5.6077e-06+0.00022029i,-0.00025448-0.00041488i,-0.00091636-0.00060238i,-0.0008482-0.00023431i,-0.00039881-0.00020718i,-3.5587e-05-0.00043545i,2.0512e-05-4.8909e-05i,-0.00024204+0.00015155i,-0.00019006+0.00039371i,-0.00016716+0.00058758i,1.0122e-05-4.1767e-05i,0.00021111-0.00029958i,0.00089349-0.00037012i,0.0015048-0.00059248i,0.0010245+4.6154e-05i
0.00088499+0.0023088i,0.0020942+0.0031674i,0.0030803+0.0028714i,0.0024757+0.0016104i,0.0018071+0.00090926i,0.00033666+0.00037762i,-0.00069342+0.00026939i,-0.00074028+0.00032305i,-0.00018102+0.00027064i,-0.00012935+0.00051522i,-0.00065283-5.8209e-05i,0.00010495-0.00045386i,0.00081463+0.00033763i,-0.0004135+0.00045138i,-0.0011335+0.00032773i,-0.00030334+0.00034055i,-0.00026684+0.00015255i,-0.00059848+0.00024623i,-0.000224+0.00012273i,-0.00036035-0.0002191i,-0.0001263+0.00024744i,-0.00021609+0.00062215i,-0.00011886+0.00020072i
-0.0012176-0.0011186i,-0.0012798-0.0005265i,-0.00036064-0.00014323i,0.00088989-0.00023513i,0.0013946-0.00046108i,7.1809e-05+0.00019945i,-0.001114+0.00125i,-0.00078757+0.0014929i,0.00055117+0.00092881i,0.0011-9.8508e-05i,0.00026542-0.00032142i,-3.1065e-05+0.00016984i,0.00013008-0.00032784i,0.00013786-0.00078965i,0.00057687-0.00046149i,0.00075282-0.000477i,0.0012113-7.2804e-05i,0.0012959-1.8923e-05i,0.00059393-0.00051857i,0.000238-0.00031542i,0.00013053+0.00011227i,0.00064846+0.00049708i,0.00068062+0.00088315i
