-0.0028823+0.0003653i,-0.0017036-0.00074621i,-0.0021258-0.0004003i,-0.0010897-0.0003416i,0.00078962+0.00041247i,0.00083783+0.00086068i,0.00080214+0.0013967i,0.001689+0.0015496i,0.0026177+0.00060616i,0.0022365-9.9184e-05i,0.0010561-2.1157e-05i,0.0011857-1.4346e-06i,0.00075676-0.00016709i,0.0002675-0.000179i,0.00024627+5.6873e-05i,-4.4228e-05+0.00055695i,-0.00028345+0.00026345i,0.00017068+8.6539e-05i,0.00047982+0.00011468i,0.00033854+0.00013192i,0.00061256+0.00025208i,0.00073072+0.00018035i,0.00074383-0.00012239i
0.0010765-0.0044652i,0.0025136-0.0039281i,0.0055399-0.0011486i,0.0083572+0.0016336i,0.0061372+0.0017092i,0.001105-0.00020335i,-0.0027114-0.00042907i,-0.0046087+0.00091844i,-0.0036131+0.0025343i,-0.00074134+0.001914i,0.00035903+8.0859e-05i,-0.00051559-0.00037427i,-0.001185+0.00059042i,-0.00014223+0.0014267i,0.0011018+0.00079801i,0.0010568+0.00050229i,0.0011328+0.00039698i,0.0015375-3.7783e-05i,0.00093693-0.00012076i,0.00055184-2.1504e-05i,0.00051039-0.00040706i,0.00018984-0.00044456i,-0.00028098-0.00080952i
-0.0062914-0.001595i,-0.0064335-0.0030468i,-0.0031129-0.0032409i,0.0047803-0.0050441i,0.0086349-0.0050555i,0.0046401-0.0012662i,-0.00031213+0.003135i,-0.00036429+0.0059213i,0.0016027+0.0056613i,0.0017344+0.0029679i,0.00014677+7.3187e-05i,-0.0012783-0.0013411i,-0.0010438-0.0010215i,-0.00076285-0.00040674i,-0.0011216-0.0010181i,-0.0016952-0.0013661i,-0.0025733+0.00042155i,-0.0024399+0.0025646i,-0.0012827+0.003098i,-0.0010019+0.0026893i,-0.00058314+0.0017715i,-0.00034544+0.0010329i,-0.0011003+0.00068126i
-0.0044748+0.00082875i,-0.0055796+0.00038543i,-0.0058113-0.0028383i,-0.0051371-0.0091688i,-0.0027488-0.011654i,-0.00049608-0.0059867i,0.0012588+0.00079828i,0.0030925+0.0025866i,0.0033618+0.0016258i,0.0017291+0.00034933i,-0.00019519-0.00031733i,-0.0011569-6.0936e-05i,-0.00064402-0.00012376i,-0.00071388-0.00033471i,-0.0020566-0.0005473i,-0.0027674-0.00035548i,-0.0022116+0.00038163i,-0.0017145+0.001275i,-0.0015731+0.0015863i,-0.00078013+0.0011672i,8.3796e-05+0.00053032i,-0.00040951+0.00076955i,-0.00085068+0.0013879i
0.00065919+0.0016316i,-0.0016875+0.0037065i,-0.0065913+0.0040896i,-0.012383+0.0013417i,-0.012777-0.001102i,-0.0071689-0.00033559i,-0.00047353+0.0010079i,0.0033743+0.00025089i,0.0027466-0.0012908i,0.00040791-0.00078734i,-0.00065792+0.00045731i,-0.0009211+0.00072441i,-0.00073027+0.00084329i,-0.00020129+0.0010714i,-2.5904e-05+0.0008583i,0.00039523+0.00032118i,0.0015257+0.00031748i,0.0018824+0.00043112i,0.0012688-0.00041954i,0.00047052-0.0012844i,0.0012111-0.0019189i,0.0023087-0.00087857i,0.0018913+0.0012465i
0.00094899+0.0053548i,0.0030092+0.0074266i,0.005235+0.012298i,0.0050592+0.015818i,0.0028308+0.013484i,0.0001856+0.0061805i,-0.0011547+0.00094864i,-0.0016483-0.0015238i,-0.0019541-0.00223i,-0.0011904-0.00028894i,-0.0011105+0.00016444i,-0.0015954-0.00057774i,-0.0012473+2.0398e-05i,-0.00079474+0.0010265i,0.00012737+0.0021489i,0.0017625+0.0018343i,0.0018155-0.00012016i,0.00079247-0.00082634i,0.00023865-0.00086207i,-0.00063474-0.00082813i,-0.00060538-0.0011381i,0.0010237-0.0016964i,0.002013-0.0012068i
0.0022123-0.0017615i,0.0055109-0.0022454i,0.011201-0.00018901i,0.0168+0.0022736i,0.01562+0.0027662i,0.0084465+0.0020443i,0.0013086+0.00024615i,-0.003213-0.00028164i,-0.0045386+0.0017902i,-0.0027038+0.0027366i,-0.0010571+0.0011729i,-0.00071493-6.4583e-05i,-0.0011402+0.00036833i,-0.0012674+0.00096041i,-0.00083529+0.0011254i,-0.00081229+0.00065004i,-0.00088381+0.00084695i,-0.0011296+0.0020069i,-0.0012134+0.0018664i,-0.001283+0.00089781i,-0.00089674+3.5818e-05i,3.5737e-05-0.00059053i,-0.00025003-0.0018014i
0.0014102-0.0031408i,0.00095595-0.0059442i,0.0035255-0.011135i,0.0084902-0.015145i,0.010246-0.013309i,0.0059983-0.007271i,0.0003342-0.0013211i,-0.0021845+0.0033295i,-0.000712+0.0053591i,0.0010702+0.0044241i,4.7109e-05+0.0013458i,-0.0015014-0.0011291i,-0.0016335-0.00089198i,-0.00070071-0.00033333i,0.00017127-0.0011419i,-0.00075859-0.0016181i,-0.0025203-0.00041648i,-0.0031533+0.0010682i,-0.0027349+0.0011308i,-0.0022196+0.00086107i,-0.0014781+0.00079894i,-0.00093777+0.00040348i,-0.0010733-0.00054913i
-0.0023568-0.00065948i,-0.0049254-0.0019432i,-0.0073699-0.0054712i,-0.009868-0.011347i,-0.0093786-0.013575i,-0.0059812-0.0084857i,-0.0014669-0.0014895i,0.0017768+0.002521i,0.0032723+0.0029367i,0.0030684+0.0010866i,0.0011556-0.00090865i,-0.00085593-0.0013228i,-0.0011994-0.0006373i,-0.00079835-0.00038067i,-0.00083895-0.00049205i,-0.0018025+0.00040705i,-0.0022421+0.00059862i,-0.0014808-0.00017567i,-0.00045682-0.00042517i,0.00019146+0.00037217i,0.00075765+0.00083403i,0.00054464+0.00077239i,-0.0010028+0.00097523i
-0.0037005+0.0003686i,-0.0057475+0.0034127i,-0.010153+0.0082033i,-0.015788+0.0098001i,-0.015971+0.0079953i,-0.0090806+0.00511i,-0.0018687+0.0035144i,0.0018666+0.0024185i,0.0034685+0.00025874i,0.0026446-0.00045743i,0.00051163-0.00027148i,-0.00048382+0.00012558i,-0.00097448+0.00079491i,-0.0013093+0.0010128i,-0.0015458+0.0010903i,-0.00014764+0.0011764i,0.0015333+0.0011316i,0.0015859+0.0015753i,0.0018327+0.0016169i,0.0017217+0.00085393i,0.0012727+1.5216e-05i,0.00088789+0.00021021i,0.00087691+0.0010607i
0.0010471+0.00421i,0.0024981+0.0064586i,0.005846+0.010185i,0.0078627+0.014974i,0.0048762+0.015047i,0.001798+0.0091397i,0.0013832+0.0030597i,0.0011767-0.00097098i,0.00011514-0.00269i,-0.00088693-0.0018817i,-0.0012167-0.00035151i,-0.0011001+0.00019292i,-0.00068729+0.0008199i,-0.00093864+0.001862i,-0.00097856+0.0023089i,3.5374e-05+0.0024839i,0.00016777+0.0028925i,-0.00022675+0.0022345i,0.00061667+0.00046586i,0.00080177-0.00041966i,-0.00055158-0.00047802i,-0.00076542-0.00063719i,0.00048136-0.00060997i
0.0019472-9.031e-05i,0.006265-0.0019208i,0.013271-0.0035413i,0.020487-0.0032014i,0.021026-0.0017336i,0.012766-0.00017958i,0.0035176-0.00026708i,-0.0016886-0.00046211i,-0.0037351+0.00069641i,-0.0026814+0.0014982i,-0.00088688+0.001218i,-0.00025238+0.00040653i,-0.00038946+0.00017045i,3.3797e-05-7.8482e-05i,0.00073219+0.0002883i,0.00034783+0.0004788i,-0.00090983+0.00017749i,-0.0018921+0.00084621i,-0.0016806+0.0012272i,-0.0010794+0.00029949i,-0.0007975-0.00035948i,-0.00052933-0.00066193i,-0.00057782-0.0013734i
4.0764e-05-0.0010078i,0.0012803-0.0033871i,0.0022384-0.010412i,0.00421-0.019779i,0.0056937-0.021846i,0.004453-0.013456i,0.00037361-0.0035671i,-0.0028902+0.0026414i,-0.0027442+0.0054572i,-0.00067981+0.004828i,0.00044109+0.0023079i,-0.00073446+0.00022987i,-0.0018236-0.00060454i,-0.00087102-0.0010095i,-0.00051124-0.0010509i,-0.0013458-0.0014677i,-0.0026679-0.001791i,-0.0026452-0.0012532i,-0.0023935-0.00037998i,-0.0021453+1.2435e-05i,-0.0014093+3.7693e-05i,-0.0014615-0.00013767i,-0.0014325-0.00018495i
-0.00083854-0.0030802i,-0.0041741-0.0035158i,-0.011923-0.0057742i,-0.018679-0.0088564i,-0.018969-0.0080218i,-0.012668-0.004785i,-0.0049744-0.00031838i,7.5555e-05+0.0030841i,0.0026746+0.0045003i,0.0036912+0.0034036i,0.00195+0.00075422i,-0.00089962-0.00050333i,-0.0015955-7.0013e-05i,-0.00097165+0.00076341i,-0.00023666+0.00071165i,0.00043147-0.00010409i,0.00075025-4.8028e-06i,-0.00016749+0.00066257i,-0.0014163+0.0012054i,-0.0011803+0.0017261i,0.00021545+0.0016232i,0.00070839+0.00097957i,0.00079231+0.00055524i
-0.00044233-0.0027926i,-0.00090571-0.00012901i,-0.0045539+0.0076548i,-0.0098616+0.014043i,-0.011259+0.01392i,-0.0082701+0.0095399i,-0.0025115+0.0050668i,0.0023237+0.0024996i,0.0040397+0.00021442i,0.0031245-0.00066693i,0.0013561-0.00033823i,-0.00047499+0.00029231i,-0.0013556+0.00092879i,-0.0013435+0.0016612i,-0.0011986+0.0019156i,-0.00053578+0.0023499i,0.00015359+0.0024502i,0.00063006+0.0017285i,0.00094095+0.0013375i,0.0013529+0.0011505i,0.0019534+0.00065192i,0.0015295+0.00011734i,0.00073401+6.4001e-06i
-0.0047972-0.00042234i,-0.00068068+0.0011288i,0.0067261+0.0072476i,0.012851+0.014768i,0.013018+0.015516i,0.0088158+0.010393i,0.0042669+0.004582i,0.0013752+0.00031229i,-0.00045642-0.0026074i,-0.0013313-0.0025564i,-0.0010083-0.00022873i,-0.00072056+0.0012048i,5.5283e-05+0.0011731i,0.00087347+0.00084473i,0.0003467+0.0010196i,-0.0010212+0.0018545i,-0.0015387+0.0022257i,-0.00071685+0.0022136i,0.00016219+0.0023283i,0.00075999+0.0014961i,0.0008934-7.5042e-05i,8.9086e-05-0.0014361i,-0.00038178-0.0012022i
-0.00047782-0.00052156i,0.0010659-0.0022586i,0.0081829-0.0085134i,0.016585-0.013035i,0.018434-0.011867i,0.012283-0.0062485i,0.0048845-0.0026773i,-0.00026532-0.0022329i,-0.0034329-0.00086987i,-0.0038898+4.4362e-05i,-0.0027366-0.00019312i,-0.0011679+0.00020183i,0.00044043+0.00042057i,0.00095175-9.0528e-05i,0.00059543-0.00085685i,-0.00036115-0.0010139i,-0.00076152-0.00089662i,0.00014838-0.001344i,0.00026272-0.0013006i,-0.00022176-0.00071173i,-0.00041284-0.00060708i,-0.0002855-0.0011325i,-0.00027819-0.0015919i
0.00086425-0.0013364i,-0.00080139-0.004241i,-0.0067025-0.013927i,-0.0083667-0.023031i,-0.0063758-0.022038i,-0.0035547-0.014029i,-0.0026066-0.0066662i,-0.0033577-0.00094312i,-0.0032985+0.0033731i,-0.0018999+0.0043175i,-0.00023933+0.0025346i,-0.00025285+0.00038359i,-0.0014843-0.00024556i,-0.0017411-0.00012231i,-0.0010428-0.00037301i,-7.367e-05-0.00091849i,0.00097096-0.0014947i,0.0014961-0.0013779i,-5.13e-05-0.0007531i,-0.0013144-0.00085862i,-0.0014226-0.0009961i,-0.0014449-9.005e-05i,-0.00019878+0.00041227i
0.0019269-0.0037296i,-0.00098575-0.00085197i,-0.011142+0.0012343i,-0.02258+0.00072075i,-0.023933+0.0013995i,-0.015939+0.0025767i,-0.0074521+0.0032093i,-0.0025405+0.0036691i,0.00056532+0.0041273i,0.0016184+0.0038388i,0.00072316+0.0020986i,-0.0009854-0.000203i,-0.0024234-0.0012269i,-0.0023092-0.00093496i,-0.0010963-7.8143e-05i,-0.00015425+0.0013407i,-7.5883e-05+0.0018886i,-0.00082075+0.0016882i,-0.0017181+0.0013789i,-0.0017041+0.0013509i,-0.00067282+0.0014988i,0.00040877+0.0019568i,0.0012917+0.0012829i
0.00052648-0.0088507i,0.0014208-0.0054503i,-0.0020062+0.0070387i,-0.0060872+0.018848i,-0.0057419+0.02124i,-0.0044777+0.014905i,-0.0019245+0.0078323i,0.0014293+0.0042714i,0.0027829+0.0015906i,0.0017009+0.00055532i,0.00011359+0.00012346i,-0.00068324-0.00020017i,-0.00086452+0.00096561i,-0.00027924+0.0015712i,-0.00080983+0.00073462i,-0.0015366+0.0010223i,-0.001476+0.0013041i,-0.0012665+0.00093825i,-0.00094375+0.0013574i,-0.00058438+0.0021334i,-0.00012241+0.0015448i,0.00064622+0.00048408i,0.00080267-0.00061862i
-0.0036324-0.0020192i,0.0014437-0.0026173i,0.0137+0.001572i,0.022961+0.0062013i,0.023985+0.0053388i,0.016294+0.0031087i,0.0076622+0.0022676i,0.0035133-8.6231e-05i,0.00093804-0.0029215i,-0.00091897-0.0031092i,-0.0016277-0.0016838i,-0.0013859-1.6865e-05i,-0.00072228+0.0010767i,0.00023285+0.0011488i,0.00012205+0.00062828i,-0.00080793+0.00025979i,-0.00091611+0.00043074i,-8.2423e-05+0.0002342i,0.00043493+0.00045861i,0.00080514+0.00117i,0.0010209+0.00075941i,0.00014956-0.00099429i,-0.00056222-0.0014824i
-0.0046877+0.0028343i,-0.0041947-0.0025994i,0.0052643-0.012262i,0.014918-0.021236i,0.015448-0.024313i,0.01018-0.017288i,0.0050465-0.0080843i,0.000936-0.0039601i,-0.0014866-0.00099239i,-0.0011732+0.001497i,-0.00021605+0.0012427i,0.0002999+0.00070364i,-0.000124+0.00056192i,-0.00020928-0.00054992i,0.00016972-0.00086609i,0.00032229-0.00056615i,0.00041924-0.00058248i,0.0014837-0.00025997i,0.002121+9.2288e-05i,0.0014621-0.00052697i,0.0010324-0.0014345i,0.00088952-0.0012565i,0.00040421-0.00048893i
-0.00090619+0.0029037i,-0.0066707+0.0021928i,-0.013217-0.0089422i,-0.016545-0.019395i,-0.01876-0.018927i,-0.014345-0.011456i,-0.0070739-0.0049915i,-0.0041863-0.00089484i,-0.0021671+0.0024416i,3.6286e-05+0.0032629i,0.00099475+0.0017422i,0.00062964-0.00052193i,-0.00053681-0.0019623i,-0.0010774-0.0021371i,-0.00024987-0.0014196i,0.00061659-0.00048314i,0.00063697-0.00021676i,-0.00018357-0.00089405i,-0.0014428-0.0018851i,-0.0015697-0.0016945i,-0.00084814-0.0015467i,-0.00045643-0.0011812i,-0.00032801-8.2384e-05i
0.0062334+0.0013025i,0.0026441+0.006361i,-0.011615+0.0094456i,-0.023765+0.011516i,-0.024419+0.013381i,-0.018168+0.011438i,-0.0095578+0.0070154i,-0.0029592+0.0051534i,0.00041282+0.0042106i,0.0013313+0.0020578i,0.00085953+0.00018219i,-0.00020926-0.0011654i,-0.0011673-0.00077437i,-0.0012536+7.3068e-05i,-0.00076635+0.0003206i,-0.0010188+0.0013344i,-0.0018603+0.0015876i,-0.0029342+0.0012824i,-0.0040958+0.00084765i,-0.0032334+0.00093249i,-0.0014523+0.0012291i,-0.00096962+0.00089295i,8.9049e-05+0.00063078i
0.0072081-0.004201i,0.011373+0.0018065i,0.010509+0.015548i,0.0078443+0.024902i,0.0094068+0.023655i,0.0080543+0.016208i,0.0034103+0.0088119i,0.0020613+0.0049781i,0.0025547+0.0022831i,0.0015901-0.00031859i,-0.00022642-0.00078717i,-0.0022496+0.0006106i,-0.0031509+0.0019073i,-0.0023199+0.0019338i,-0.001647+0.0014798i,-0.0026486+0.0020166i,-0.0028582+0.0023597i,-0.0017514+0.0013585i,-0.0015127+0.0010203i,-0.0010597+0.0014812i,-0.0002514+0.0015793i,-4.5881e-05+0.00045752i,0.00029339-0.00094319i
-0.0011238-0.011094i,0.0060515-0.013402i,0.017759-0.008395i,0.026213-0.0049707i,0.027795-0.0075078i,0.020906-0.0059102i,0.011123-0.0014174i,0.0046878-0.00048197i,0.0012435-0.0017191i,-0.00063775-0.001483i,-0.0018649-8.7044e-05i,-0.0020817+0.0014705i,-0.0012624+0.0021143i,-0.00071072+0.0015828i,-0.0011356+0.00062558i,-0.00080952+0.0007096i,-0.0006414+0.0011493i,-7.2736e-06+0.0016914i,0.00032224+0.0022577i,0.00021182+0.0018356i,0.00028919+0.0012868i,-9.1324e-06+0.0011856i,-0.00034133+0.0013341i
-0.011317-0.0048473i,-0.013191-0.013618i,-0.0045055-0.024396i,0.0027139-0.028731i,0.00087999-0.026116i,-0.00039187-0.017891i,0.00095336-0.0077914i,5.575e-05-0.0022758i,-0.0013254+0.00064708i,-0.00076352+0.0035173i,0.00075774+0.0039458i,0.0014075+0.0021283i,0.0012819+0.00054061i,0.0016414-0.00010732i,0.0011597-0.00016893i,0.0011661+9.4727e-05i,0.00095146+0.00053112i,0.00031057+0.0018087i,0.0006354+0.0017467i,0.0010858+0.00010635i,0.0012373-8.7567e-05i,0.0013206+0.0004159i,0.00083155+0.00076597i
-0.0077628+0.014211i,-0.015844+0.011637i,-0.020197-0.00027371i,-0.021115-0.0089038i,-0.023189-0.0086501i,-0.019379-0.0074459i,-0.010515-0.0043602i,-0.0054679+0.00084064i,-0.0026269+0.0043184i,0.001018+0.0039787i,0.0023617+0.0011963i,0.0012927-0.0012075i,0.0002765-0.0023346i,-0.00056302-0.0016352i,-0.00085342-0.00033331i,-0.00041052-0.00022757i,-0.00016225-0.00092368i,-0.00038161-0.0018146i,-0.00082311-0.0021414i,-0.00072785-0.002143i,-0.00088457-0.001655i,-0.0010745-0.0006185i,-0.0016605+0.00077355i
0.006896+0.011913i,0.0017382+0.021695i,-0.011952+0.025095i,-0.019391+0.024384i,-0.016585+0.024314i,-0.011116+0.018688i,-0.0062973+0.010934i,-0.0023908+0.0070918i,0.0014735+0.0047201i,0.0027665+0.002027i,0.001144-0.00052492i,-0.00089606-0.0010283i,-0.0017731-4.9149e-05i,-0.0018272+0.00018062i,-0.001839+0.00021977i,-0.0023607+0.00049837i,-0.0019549+0.00069065i,-0.0014244+0.00039587i,-0.0018307-0.0005956i,-0.0020148-0.00045361i,-0.0010223+0.00012987i,0.00017964-0.00017573i,0.001115-0.00078723i
0.014753-0.0018855i,0.022929+0.0063573i,0.020878+0.017878i,0.018012+0.019314i,0.021376+0.014041i,0.017846+0.010045i,0.0089264+0.0069986i,0.0045876+0.0036316i,0.0031265+0.00016104i,0.00071163-0.0016906i,-0.001861-0.0012962i,-0.00303-0.0003031i,-0.003231+0.00050627i,-0.0039335+0.0012699i,-0.0044891+0.0013239i,-0.0038687+0.00085185i,-0.0025924+0.0017574i,-0.0016079+0.0030395i,-0.00078186+0.0027739i,0.00069477+0.0019578i,0.0010133+0.0013661i,0.0011323+0.00066943i,0.001316-8.2541e-05i
0.0019822-0.015172i,0.01447-0.021208i,0.026668-0.015352i,0.030363-0.011731i,0.026812-0.016124i,0.018342-0.013176i,0.0092871-0.0053194i,0.0044545-0.0028657i,0.0010349-0.0029668i,-0.0012164-0.00018904i,-0.001883+0.0020339i,-0.0013329+0.0020145i,-0.0011647+0.0014918i,-0.0016335+0.00055503i,-0.0011333+0.00086569i,-0.00030136+0.0015618i,-0.00047251+0.0012639i,-0.0010234+0.0014773i,-0.0010178+0.0025985i,2.0293e-05+0.0026311i,0.00014578+0.0017325i,-0.00013798+0.0014757i,7.9956e-07+0.0011642i
-0.015584-0.012663i,-0.017188-0.026083i,-0.0073232-0.034001i,-0.0021259-0.029389i,-0.0092351-0.02289i,-0.010377-0.016335i,-0.0040225-0.0086807i,-0.0019922-0.0028179i,-0.0029226+0.0013489i,-0.0021023+0.0031998i,0.00025472+0.0022644i,0.0014351+0.00052053i,0.0014192-0.0002107i,0.0020625-7.7206e-05i,0.0022296+0.00038117i,0.0012463+0.00080234i,0.00084726+0.00078305i,0.00095602-0.00029823i,0.00071935-0.00050709i,0.00084467-0.00048151i,0.0010814-0.0011804i,0.00081161-0.00090385i,0.00061434-0.00049193i
-0.022341+0.01061i,-0.036309+0.0077134i,-0.040431-0.00098523i,-0.033385-0.00046213i,-0.026951+0.0072087i,-0.019546+0.0063755i,-0.010729+0.001374i,-0.0064386+0.0012486i,-0.0024302+0.0043584i,0.0029214+0.0042296i,0.0044249+0.00051695i,0.0020541-0.0022668i,0.00030668-0.0022333i,9.3243e-05-0.0025328i,0.0004416-0.0024245i,0.00082681-0.00079391i,0.00091606-0.00040211i,0.00086689-0.0013768i,0.00059283-0.0018837i,0.00038972-0.0020151i,-0.00019399-0.0010247i,-3.8954e-05-0.00025392i,0.0003156-0.00084861i
-0.00077009+0.021321i,-0.008856+0.035158i,-0.02061+0.035034i,-0.017669+0.025387i,-0.0025993+0.020679i,0.0024438+0.016494i,-0.0014991+0.010297i,-0.0016323+0.0069239i,0.00097693+0.005214i,0.0018395+0.0011782i,0.00016174-0.0020487i,-0.0027236-0.0014231i,-0.0038075-0.00037132i,-0.0030806-0.0010563i,-0.0030431-0.0016463i,-0.0036137-0.0013517i,-0.0025148+0.0001067i,-0.0009496+0.0018818i,-0.0012053+0.00098831i,-0.001631+0.00011171i,-0.0010095+0.0010003i,-0.0002104+0.00079524i,0.00030172+5.24e-05i
0.021137+0.0075951i,0.030774+0.021472i,0.027592+0.029567i,0.023106+0.019046i,0.025963+0.0038051i,0.021556+0.00068252i,0.010992+0.0032562i,0.0059027+0.0033074i,0.0041414+0.00034224i,0.00024019-0.0011872i,-0.0032698-0.00014795i,-0.0039757+0.001105i,-0.0036762+0.0013164i,-0.0035985+0.0010049i,-0.0031756+0.0010382i,-0.0025036+0.0015127i,-0.002128+0.0016266i,-0.0027588+0.0011228i,-0.0026077+0.0015812i,-0.0015115+0.0018404i,-0.001123+0.001085i,-0.00044672+0.00039585i,-0.00047085+0.0001472i
0.014966-0.019646i,0.032652-0.024666i,0.04121-0.018187i,0.030081-0.013367i,0.012772-0.01618i,0.0039768-0.013164i,0.0029933-0.0053924i,0.0021882-0.0031571i,-0.0012271-0.0031669i,-0.0027704+8.7749e-05i,-0.0012047+0.0028354i,0.00067387+0.0022918i,0.00133+0.00026327i,0.0010502+0.00084042i,0.000902+0.0027466i,0.0012254+0.0019136i,0.00078924-2.4064e-05i,-0.00095612-0.00090481i,-0.0017482+2.312e-05i,-0.0012568+0.00098314i,-0.0007248+0.00078265i,2.83e-05+0.00082451i,0.00061363+0.00074739i
-0.014374-0.022587i,-0.01259-0.041749i,-0.0023055-0.046582i,-0.0019775-0.028876i,-0.014188-0.011752i,-0.016296-0.0065042i,-0.00669-0.0045848i,-0.0019298-0.0025755i,-0.0021976+0.00088679i,-0.00061879+0.0034815i,0.0019407+0.0027359i,0.0019802+0.00053045i,0.00097644-0.00079397i,0.0015634+0.00016888i,0.0024949+0.0016357i,0.0021506+0.0026016i,0.0012549+0.0029984i,0.0016601+0.0020276i,0.0022011+0.0007329i,0.00076218-0.0002006i,0.00012781-0.00090148i,0.0016783-0.0014842i,0.0023649-0.0015871i
-0.028262+0.0009827i,-0.048878-0.0063698i,-0.05111-0.014759i,-0.035468-0.0092622i,-0.019907+0.0050325i,-0.010425+0.0096033i,-0.005838+0.0048783i,-0.0046099+0.0033324i,-0.0025267+0.0051669i,0.0011589+0.0041608i,0.0032746+0.00053521i,0.00087746-0.0027622i,-0.002633-0.003568i,-0.0022287-0.0027655i,-0.00052884-0.0030677i,-0.00069726-0.0021892i,-0.00053453+0.00036871i,0.00091584+0.0017298i,0.0010545+0.0017575i,-0.00014724+0.00099698i,-0.00010577+0.00052383i,0.00048837-6.2235e-05i,0.00018337+9.0381e-05i
-0.0088864+0.024832i,-0.023914+0.041773i,-0.033547+0.03789i,-0.018425+0.017932i,0.0076627+0.0062226i,0.014168+0.0062089i,0.0055151+0.0060841i,0.0014501+0.0052597i,0.0013667+0.00426i,0.00076217+0.00034517i,-0.0010582-0.0021627i,-0.0040278-0.0015634i,-0.0046049-0.00070346i,-0.0029049-0.00072002i,-0.0021585-0.0016162i,-0.0027502-0.0014806i,-0.0034188-0.00082952i,-0.0034172-0.00030833i,-0.0028088-0.00039108i,-0.0018903-0.00021089i,-0.00058725+0.00075746i,-8.2343e-05+0.0013836i,-0.00043198+0.0016035i
0.024613+0.019124i,0.035054+0.038552i,0.032533+0.045552i,0.024165+0.025322i,0.019851+0.00047441i,0.013256-0.0061715i,0.0055917-0.0013602i,0.0033062+0.0018714i,0.0031257+0.0010919i,0.00010146-0.00012698i,-0.0035275+0.00020707i,-0.0044887+0.0022713i,-0.0033754+0.0026923i,-0.0013842+0.0017551i,-0.00097204+0.0013756i,-0.0012768+0.00083665i,-0.0016949-5.1251e-05i,-0.0020517-0.001162i,-0.0017906-0.00097947i,-0.0012481+0.00035062i,-0.00053463+0.0007695i,-0.0010681+0.00019595i,-0.0020248-0.00074341i
0.025976-0.017022i,0.050671-0.021781i,0.057048-0.012387i,0.031375-0.0015939i,-0.002458-0.0021923i,-0.013805-0.004351i,-0.0061251-0.0012683i,0.00016251-0.00077366i,-8.9211e-05-0.0023119i,-0.0012819+0.00041347i,0.00019683+0.0040306i,0.001946+0.0036518i,0.0025482+0.0019175i,0.0019503+0.0026629i,0.00067638+0.0041697i,0.0011923+0.0027693i,0.0020143+0.00044639i,0.0012915-0.00027501i,0.0010154-0.00042882i,0.00081586-0.00037298i,0.0002328+0.00016644i,0.00068391+0.00063732i,0.0017283+0.0011365i
-0.0019423-0.036218i,0.0024569-0.060252i,0.0075973-0.062245i,-0.00021512-0.034664i,-0.014417-0.005939i,-0.015099+0.0050321i,-0.0067646+0.0042668i,-0.0029692+0.0013095i,-0.0026483+0.00099456i,-0.00085084+0.0027389i,0.0024646+0.0030095i,0.0044293+0.0014385i,0.0027616-0.00015341i,0.00093721+0.0003894i,0.00044879+0.0012877i,0.00014804+0.0017614i,-0.0003365+0.0032715i,-0.00044941+0.0035209i,-0.00027549+0.0016184i,0.00015279-0.00036878i,0.0014757-0.0012914i,0.0031443-0.0019765i,0.0032461-0.0016171i
-0.034209-0.007505i,-0.058608-0.0213i,-0.061077-0.031858i,-0.031681-0.026774i,0.0023214-0.010022i,0.013297+0.0014122i,0.0067434+0.0015397i,0.0003437+0.0012345i,-0.0015804+0.002909i,0.00035227+0.0016299i,0.0019424-0.0019823i,0.00010366-0.0045715i,-0.0028436-0.0044074i,-0.0030437-0.0030839i,-0.001293-0.00272i,-0.0014048-0.002755i,-0.0018592-0.001243i,-0.00087675+0.00030296i,0.00048003+0.00012374i,0.0004467+0.00030283i,-0.0011182+0.00059266i,-0.0018925+0.00085444i,-0.0011552+0.00083187i
-0.020491+0.030512i,-0.041342+0.047411i,-0.045609+0.042838i,-0.018131+0.016446i,0.015234-0.0046828i,0.020836-0.0079897i,0.0095887-0.0026577i,0.0035631+0.0026932i,0.0031631+0.0033257i,0.0015385-0.00019359i,-0.0016977-0.0031392i,-0.0044688-0.002863i,-0.004457-0.00040639i,-0.0023743+0.0013392i,-0.001468+0.0017183i,-0.0010505+0.00080181i,-0.0018522-0.00097486i,-0.0027114-0.0014201i,-0.0022211-0.00061282i,-0.0015588+0.00035095i,-0.0010926+0.00052255i,-0.00069703-0.00034883i,-0.00011783-0.001949i
0.020123+0.034472i,0.033978+0.062413i,0.034804+0.071194i,0.01869+0.046515i,-0.00188+0.010842i,-0.011407-0.0060734i,-0.008214-0.0036759i,-0.0028444+0.0011513i,0.0001396+0.0022448i,-0.00070748+0.001826i,-0.00364+0.0015833i,-0.0048202+0.0035023i,-0.0031716+0.0046389i,-0.00064064+0.0042286i,-6.1547e-05+0.0035333i,-0.00020013+0.0030196i,-0.00017169+0.0021984i,-0.00036814+0.001356i,-0.0008775+0.0011742i,-0.0021316+0.00076507i,-0.0023203-1.0902e-05i,-0.00088548-0.00083032i,0.00032943-0.0012134i
