-2.0701e-05-0.00058956i,0.00069586-0.0024604i,-0.00030897-0.0035351i,-0.0021885-0.0026395i,-0.0033878-0.0011806i,-0.0032576+0.00032778i,-0.0026193+0.0012968i,-0.0014844+0.0015208i,-0.00096304+0.0010295i,-3.3922e-05-0.0001786i,0.00069803-0.0010945i,0.00036543-0.00056809i,-0.00049388-0.00047205i,-0.0011391-0.00054535i,-0.00093602+0.00055462i,-0.0004929+0.0012885i,0.00049062+0.00045046i,0.00057293-0.00037388i,6.7418e-05-0.00027948i,7.3202e-05+7.0065e-05i,-5.8881e-05+8.9651e-05i,-0.00026393+0.00010095i,-0.00033521+0.00085606i
0.00081424+0.0022522i,0.00056878+0.0021346i,0.00085443+0.00074332i,0.00053109-0.0010717i,0.00070609-0.0025392i,0.00076227-0.0029432i,0.00061618-0.0013722i,0.0015494-0.00021881i,0.0021932-6.6761e-05i,0.0013955+0.00027302i,0.0012641+0.00027002i,0.0012695+0.00033221i,0.00041118-0.00013062i,-0.00063588-0.00048219i,-0.00081501-0.00026109i,-0.00092785+0.00043101i,-0.00089+0.00064827i,-0.00014934+0.00024705i,-2.2779e-05-0.00055345i,-0.00023548-0.00052487i,-0.00029136-0.00011378i,-0.00065795-3.401e-05i,-0.00093862-0.00095826i
-0.0010495-0.0013828i,-0.00091707-0.00090762i,-0.00041121-0.00076038i,-0.00011646-0.0021961i,-0.00080226-0.0037039i,-0.00026907-0.0041265i,0.0010725-0.0033958i,0.0020455-0.0026407i,0.0020171-0.0024536i,0.0021108-0.0022016i,0.0030758-0.0021601i,0.0022896-0.0016072i,0.00016272-0.00058312i,-0.00093258-0.00077685i,-0.00041649-0.00085914i,-0.00028744+0.00048372i,-0.00064216+0.0014252i,-8.6412e-05+0.0010219i,0.00013839+0.00064061i,-0.00037678+0.00038813i,-0.00072737-9.3384e-05i,-0.00033288+9.5939e-05i,0.00013142+0.00056397i
-0.00036136-0.0043202i,-0.00049299-0.0042319i,-0.0030244-0.0032004i,-0.0048364-0.0022934i,-0.004329-0.0024912i,-0.0027251-0.0022895i,-0.00082004-0.002375i,0.00083521-0.0019613i,-0.00024218-0.0017099i,-0.0010531-0.0014535i,-0.0010985-0.00032253i,-0.0013669-0.00018119i,-0.0010367-0.00056019i,-0.00014431-0.00030049i,0.00028992-6.4678e-05i,0.00028647-0.00099032i,0.00073783-0.0013315i,0.00028461-0.00089996i,-0.00072903-0.00063197i,-0.0010014-0.00020318i,-0.00083993+8.4442e-05i,-0.0006111-0.00021928i,-0.00064679-0.00051233i
-0.0033774-0.0011253i,-0.0023943-3.7416e-06i,-0.00069239+0.0006037i,-0.0010876-0.00082909i,-0.0026574-0.0022911i,-0.0025768-0.0021336i,-0.0010781-0.0015682i,7.4121e-05-0.0014169i,-0.00014586-0.00036946i,-0.00050305+0.00048138i,-0.00074521+0.00034084i,-0.00073246-2.6939e-05i,-0.00079511-0.00061862i,-0.001036-0.00092148i,-0.00079581-0.0004581i,-4.1819e-05+4.9099e-05i,-0.00049208+0.0002145i,-0.001284-0.00025162i,-0.00057392-0.0012074i,-0.00044802-0.00016562i,-0.00066849+0.00098448i,-0.00036689-9.7979e-05i,-0.00027007-0.00036141i
-0.0010378-0.0014852i,-0.0015527-0.0016242i,-0.0025129-0.0018257i,-0.0022732-0.0018603i,-0.00090443-0.0020215i,0.00038296-0.0019096i,0.0012355-0.0011469i,0.0018256-0.0009149i,0.0011079-0.0005i,0.00015663+0.00031127i,0.00041741+0.000231i,0.0010728-0.00038711i,0.00079254-0.00022913i,-1.2033e-05-0.00021196i,0.00029489+5.086e-05i,0.0003473+0.00048701i,-0.00047985+0.00073557i,-0.001202+0.0012795i,-0.00095553+0.0012112i,-0.00040442+0.00046351i,-0.00038947+0.00022579i,-0.00038383+0.00032968i,-0.00070899-0.00023497i
0.0016952+0.0005892i,0.0012012+0.00060201i,-0.00045636-0.0013763i,-0.00026179-0.0036784i,0.0011638-0.0039952i,0.0013931-0.0031449i,0.0017158-0.0025416i,0.0017174-0.0022647i,0.0015395-0.0017116i,0.0014369-0.00071748i,0.00066333-0.00026309i,0.00051585-0.00086024i,0.0002889-0.0016352i,-0.00013563-0.0011186i,0.00033849-0.00012766i,0.00055155+1.259e-05i,0.00044679-0.00019961i,0.00049785-0.00013364i,2.6052e-05-0.00023906i,0.00012945-0.00060297i,0.00030192-0.00048723i,0.00029718+0.00033615i,0.00078445+0.00015355i
-0.0017288+0.00067145i,-0.0013639+0.00077705i,-0.001588-0.00021581i,-0.0016846-0.0025566i,-0.0024062-0.0048849i,-0.0020265-0.00485i,-0.00024418-0.0036308i,0.0013342-0.0027974i,0.0015863-0.0018926i,0.001685-0.0010595i,0.0015705-0.0011393i,0.00096137-0.0023562i,0.00096782-0.0018669i,0.00056773-0.00060665i,-0.00025213+0.00020899i,0.00020626+0.00086386i,0.00067022+0.00088342i,0.00095546+0.00063883i,0.00048485+0.00027751i,-0.00060952-3.7542e-05i,-0.0007613-0.00072892i,-4.0334e-05-0.0015384i,0.0002627-0.0014394i
-0.0024414-0.0019291i,-0.0022562-0.00073706i,-0.0020367+0.00091051i,-0.002382+0.00043452i,-0.0030733-0.0017471i,-0.0025277-0.0016455i,-0.00061548-0.0018476i,-9.7044e-05-0.0027804i,-0.00076473-0.003035i,-0.0011929-0.0025128i,-0.0012943-0.0020906i,-0.00087598-0.0013803i,-0.00054131-3.4494e-05i,-0.0010589+0.00088566i,-0.00076181+0.0010021i,-0.00027336+0.00033762i,-0.00013452-0.0003076i,9.7218e-05+8.5555e-05i,-0.00013186-0.00019255i,3.3233e-06-0.00073976i,0.00015456-0.0010538i,-0.00016436-0.00063399i,-0.00047693-0.00011022i
-0.0022139-0.0006753i,-0.0018373-0.0012897i,-0.0003024-0.00093909i,0.00035246-0.0016527i,0.00064231-0.0017839i,0.00056277-0.00077497i,0.0008328+0.00015087i,0.0016422+0.00047973i,0.00050383+0.0015083i,-0.00088207+0.0023748i,-0.00052087+0.0019993i,-0.00040505+0.0011513i,-0.00041238+0.00061542i,-0.00038974-3.8807e-05i,-0.00041762-0.00062678i,-0.00085902-0.00091333i,-0.0011023-0.001383i,-0.00060524-0.00056022i,-0.00021905+0.00034617i,-0.00031488-9.7165e-05i,-0.00048536-0.00036195i,-0.00057034-0.00066882i,-0.00042488-0.00086588i
0.00020706+0.00085616i,-0.00031263+0.00049667i,-0.00011521-0.00083651i,0.00010087-0.0031086i,-0.00034461-0.0044877i,7.8779e-05-0.0030826i,0.00091846-0.0012014i,0.0014885-0.00095934i,0.0014519-0.00066893i,0.0012112+3.8261e-05i,0.0020221+0.00036133i,0.001565+0.00051366i,0.00018315-0.0001401i,-0.00016297-0.00035334i,-0.00011524-0.0002058i,-5.9983e-05+0.00072168i,-0.00037083+0.0011937i,-0.0001716+0.000628i,0.00084707+0.00027229i,0.0010249+0.00041595i,-0.00035966+0.00029026i,-0.00057068+0.00016427i,0.00042291-0.00011627i
0.0033846+0.0020476i,0.0017505+0.00079301i,0.00051249-0.00072156i,0.00084819-0.0032659i,0.00063123-0.0048026i,-0.00016708-0.004146i,-0.00018083-0.0030945i,0.000466-0.0026552i,0.00019817-0.0022787i,-7.4116e-05-0.002266i,0.00074008-0.0023158i,0.00121-0.0017058i,0.0001645-0.00086732i,-0.00073575-0.0011302i,-0.00029851-0.00063083i,0.00038534+0.00052551i,0.00014635+0.00098924i,0.00023539+0.0010494i,0.00082566+0.00049846i,0.00040556-0.0004503i,-0.0002527-0.00090833i,-0.0001915-0.00058774i,-0.00014563+0.00035357i
-0.00093251-0.0030198i,0.00023833-0.0022292i,-0.0012736-0.0010234i,-0.0027947-0.0024023i,-0.0029243-0.0035458i,-0.0019978-0.0035299i,-0.0011805-0.0024393i,-0.0013581-0.0010703i,-0.0016472-0.0011153i,-0.0011429-0.00066431i,-0.00034499-0.00012649i,-0.00051929-0.0008377i,-0.00030729-0.0010508i,-0.00077287-0.00027322i,-0.0012242+0.00021822i,-0.00025263-0.00017235i,0.00033335-0.00078916i,-0.00012339-0.00089925i,-0.0003045-0.00045276i,-8.8291e-05+0.0002031i,-0.00017241+0.00016911i,-0.00038139-0.00021538i,-0.00081521+0.00010532i
-0.0039932-0.0018841i,-0.0027629-0.00076025i,-0.0020578-0.00016623i,-0.0023868-0.00059438i,-0.0016582-0.00061324i,-0.00045702+0.00057836i,0.00015954+0.00085687i,0.00016722+5.7008e-05i,-0.00052766-0.00068344i,-0.00091828-0.00026347i,-0.00057094+0.00020447i,-0.00056542-0.00030102i,-0.00071293+8.453e-05i,-0.00033455+0.00036784i,-0.00021977-0.00042103i,-0.00068772-0.00055947i,-0.001103-4.1887e-05i,-0.0014173+0.000736i,-0.0012495+0.00073529i,-9.8504e-05+0.00079698i,0.00078079+0.00077065i,0.00070529+0.00076475i,-0.00045403+0.00056892i
-0.0025427-0.00045613i,-0.0032238-0.0022918i,-0.0028323-0.0031001i,-0.0019889-0.0025712i,-0.0013253-0.0021687i,-0.00049564-0.0013887i,0.00084002-6.9269e-05i,0.0012216-7.3665e-05i,0.00037617-0.00083414i,-0.0009279-0.00042669i,-0.0011757+0.00018026i,-0.00065105+0.00016862i,-0.00070974+0.00032036i,-0.00062011+0.0007039i,-0.00037134+0.0006609i,-0.00076607+0.00046751i,-0.0013329+0.00021905i,-0.00049763-0.00019024i,0.00056888-5.6559e-05i,0.00050428-0.00035267i,0.00032814-0.00048734i,0.00078661+0.00020773i,0.00051167+0.00038758i
0.0030218+0.0037567i,0.0027816+0.0033695i,0.0015901+0.0012303i,0.00094357-0.001681i,0.0016399-0.00473i,0.002097-0.0048852i,0.0023098-0.0035382i,0.0021992-0.0019624i,0.0012322-3.1458e-05i,0.00097216+0.00089886i,0.001781+0.0015784i,0.0023382+0.0012192i,0.0015746+0.00011919i,1.9646e-05-0.00028105i,-0.00058257-0.00011161i,-0.0004482+0.00012577i,0.00030811+0.00052574i,0.00094846+0.00061813i,0.00030123-3.1613e-05i,-0.00016681+0.00044141i,-0.00013564+0.0004968i,-0.00039883-0.00041399i,-0.00042789-0.00053957i
0.0028917+0.00032557i,0.0017066-0.00056675i,0.0010184-0.0030139i,0.0003803-0.0062248i,-0.0016079-0.007285i,-0.0026521-0.006187i,-0.0010274-0.004186i,0.00065959-0.0027693i,0.0011027-0.0028469i,0.00081699-0.0024152i,-7.6723e-05-0.0017665i,-0.0010627-0.0018126i,-0.0011081-0.001496i,-0.00070485-0.0011291i,-0.00066654-0.00089715i,-0.0001584-0.0006822i,0.00043386-0.00084129i,0.00027652-0.001049i,-0.00019938-0.00053316i,-0.0003158+0.00018165i,-0.00033281+0.0003647i,-0.00045678+0.0004018i,-0.0010626+3.9895e-05i
-0.0010016-0.0078557i,-0.00079352-0.0069683i,-0.0012418-0.0051706i,-0.0023549-0.004341i,-0.003876-0.0040606i,-0.0037423-0.0021887i,-0.0020171-0.0011192i,-0.00035334-0.00116i,-0.0003418-0.0019638i,-0.0016093-0.002513i,-0.001515-0.0013742i,-0.00098079+9.1e-06i,-0.00066853-0.00032059i,0.00017061-0.00064493i,6.6241e-05+0.00011215i,-0.00020481+0.00060149i,0.00021872+0.0002251i,0.00038347-0.00026785i,-4.6719e-05-0.00026407i,-0.00034444-0.00046555i,0.00024181-0.00045634i,0.0002389-0.00015701i,-0.0001021-0.00043923i
-0.003293+0.0014636i,-0.0023238+0.00043422i,-0.0012691+0.00048728i,-0.0012021+0.00028854i,-0.0010324-0.00022737i,-0.00096115+0.000671i,-0.00061815+0.00089846i,-2.6227e-06+0.0009274i,0.00046197+0.001859i,-4.9385e-06+0.0014386i,-0.00027759+0.00090144i,-0.00058641+0.00051048i,-0.00081592-0.00023267i,-0.00079606-0.00067205i,-0.00068578-0.00091942i,-0.00075423-0.00023206i,-0.00054803+0.00025053i,-0.00035574+0.00042566i,2.5547e-05+0.0011577i,0.0007009+0.0012918i,0.00016368+0.00097799i,-0.00060788+0.00080578i,-0.00012219+0.00068394i
-0.0022708+0.0053753i,-0.0019442+0.003729i,-0.0012373+0.00032645i,-1.0175e-05-0.0021232i,0.00041256-0.0032917i,0.00068761-0.0030527i,0.00068037-0.0013519i,0.00095764-0.00070864i,0.00098463-0.00079411i,0.00039847+7.162e-05i,0.00029426+0.00041123i,1.8859e-05-0.00034265i,-0.00067696-0.00069085i,-0.00075069-0.0011208i,-0.00059698-0.0011828i,-0.0004326-0.00046911i,-0.00031647-0.0003499i,7.3537e-05+0.00018883i,0.00044808+0.00078623i,-5.7847e-05+0.00089681i,-0.00014498+0.0007021i,0.00025431+0.00026719i,7.9968e-06-0.00058885i
0.0052448-0.0017157i,0.0034682-0.0018351i,0.0012973-0.0045043i,7.1884e-05-0.0055907i,-0.00069488-0.0060398i,-0.00093629-0.005103i,0.00047116-0.0033814i,0.0018129-0.0029655i,0.0010562-0.0024997i,0.00010373-0.0017917i,0.00057249-0.00048263i,0.00080137+0.00030924i,0.001017+0.00030764i,0.00098314+0.00029886i,0.00036628+6.555e-05i,0.00043271+0.0010136i,0.00072765+0.001578i,0.00027161+0.0010098i,-0.00054644+0.00014156i,-0.0010923-0.00091927i,-0.0014051-0.00076642i,-0.0013271-0.00030682i,-0.0010033+0.0003912i
0.0025949-0.0032543i,0.0028974-0.0031001i,0.00057706-0.0029975i,-0.0015602-0.0046632i,-0.0028846-0.0058134i,-0.0029776-0.0053366i,-0.0011949-0.0037748i,0.00028645-0.0034272i,0.0002453-0.0028845i,0.00025904-0.0014272i,0.00059501-0.00080253i,0.00044898-0.00045761i,0.0006041+0.00055351i,7.0356e-05+0.00052137i,-0.00013716+0.00051964i,0.00042124+0.00081225i,0.00081565+0.0002149i,0.00086659-0.00055324i,1.0988e-05-0.00021032i,-0.00019004+0.00068051i,-9.5192e-05+9.519e-05i,-0.00017467-0.00077627i,-0.00062746-0.00040221i
-0.0041071-0.0033767i,-0.0014812-0.0028041i,-0.0003622-0.0017099i,-0.0016024-0.0017058i,-0.0026844-0.0014607i,-0.0020947-0.00065042i,7.3347e-05-0.0011781i,0.00048584-0.0021132i,-0.00071523-0.0019369i,-0.0018803-0.0018804i,-0.0023819-0.0021801i,-0.0021675-0.0015991i,-0.0019951-0.001364i,-0.001134-0.001059i,-0.000997-0.00055048i,-0.00051087-0.00068339i,0.00058636-0.00050919i,0.00050546-0.00037367i,-2.3187e-05-0.00089276i,-6.533e-05-0.00095274i,-6.863e-05-7.0469e-05i,-0.00043176+0.00015681i,-0.00063004-0.0002521i
-0.0056382+0.0028678i,-0.0056005+0.001779i,-0.0030828-0.000193i,-0.0013694-0.0011648i,5.1127e-06-0.0018767i,0.001241-0.0015912i,0.0016266-0.00037613i,0.0008127-0.00019398i,-8.5123e-05-0.00055786i,-0.00088468-0.00020824i,-0.00091804+0.00074754i,-0.00024514+0.00036906i,0.00048081-0.00040603i,0.00012717-0.00019737i,-0.00074706-0.00022446i,-0.0012287+0.00019584i,-0.0012123+0.00048932i,-0.0013259-0.00041151i,-0.001077-0.00051816i,-0.0008087-0.00054819i,-0.00055983+2.1713e-05i,-0.00029685+0.0006747i,-0.00047883+0.00028196i
-0.00085704+0.0034797i,-0.00074898+0.0030423i,-0.00065061+9.1269e-05i,0.0007137-0.0019576i,0.0023068-0.0029987i,0.0029587-0.0034302i,0.0032012-0.002608i,0.0032141-0.0020572i,0.0026354-0.0015007i,0.0024332+0.00053073i,0.0024245+0.0017183i,0.0021736+0.00040026i,0.0012887-0.00062149i,0.00078387-0.00053109i,0.00041251-0.00025965i,0.00021963-1.2136e-05i,0.00030782+0.00060435i,0.00054441+0.0010081i,0.00027781+0.00046548i,-0.00024207-0.00033797i,-0.00040085-0.00016471i,-0.00049187+0.00025531i,-0.00016401+0.00098674i
0.0081062-0.00018372i,0.007899+0.0017134i,0.0038509+0.0011188i,-0.00044259-0.0023493i,-0.0020985-0.0052499i,-0.0013738-0.0059736i,0.00010696-0.0045757i,0.0016749-0.0030251i,0.0022746-0.0023962i,0.00086845-0.0019594i,-0.00060249-0.0016165i,-0.00082203-0.0016421i,-0.00036205-0.0020658i,1.9182e-05-0.0016802i,-0.00022099-0.00054656i,-2.4518e-05+7.9917e-05i,0.00042645-0.00069869i,0.00037777-0.00066191i,-3.7088e-05-0.00030024i,-0.00037478-0.00022247i,-0.00084721-0.00010548i,-0.0010443+6.5483e-06i,-0.0012898-6.4711e-05i
-0.0043993-0.0076048i,-0.0023142-0.0076271i,-0.0015516-0.0058062i,-0.0018223-0.0046612i,-0.0031316-0.0034133i,-0.0032086-0.0025001i,-0.0021018-0.0020398i,-0.0009167-0.002691i,-0.00071482-0.0029646i,-0.0012365-0.001925i,-0.0010993-0.0018734i,0.00011138-0.001874i,0.00032311-0.0010068i,-0.00035524-0.0011403i,0.00036472-0.0012786i,0.00089343-0.0004013i,0.00011709+0.00025895i,-0.00066786-0.00023147i,-0.000836-0.00017871i,-0.00067812+0.00037141i,-0.00010544+0.00029467i,-0.00013608+0.00064054i,-0.00022713+0.00044864i
-0.0071749-0.0045215i,-0.0066599-0.0068031i,-0.0049821-0.0066961i,-0.0048363-0.0034828i,-0.0039193-0.0011371i,-0.0029149+0.00019205i,-0.0015034+0.0010812i,5.4301e-05+0.00062475i,0.00043284-7.4205e-05i,-0.00016648+0.00039614i,-0.00019758+0.00058872i,-0.00028233+0.00064334i,-0.0010325+0.00075345i,-0.0012058+0.00082882i,-0.0008887+0.0010524i,-0.00073199+0.00044512i,-0.00026896-0.00033341i,0.00030711-0.0004168i,0.00033022+0.00018922i,0.00052686+0.00077216i,0.00062034+0.001052i,0.00052727+0.00049555i,0.00023093+0.00031618i
-0.00077159+0.011377i,-0.00053064+0.0099755i,-0.00010687+0.003861i,0.00083116-0.0015846i,0.0013488-0.0032242i,0.0014194-0.0018784i,0.0017144-0.00049826i,0.0023758-0.00014922i,0.0011141+0.0005518i,-0.00087525+0.0018102i,-0.00045399+0.0016819i,-1.0858e-05+0.0012943i,-0.00068813+0.00087449i,-0.00050795+0.0003742i,-0.00022548+7.719e-05i,-9.0156e-05+0.00080034i,-0.00022572+0.0010142i,-0.00056058+0.00041781i,-0.00083971-6.9943e-05i,-0.00075176-0.0011469i,-0.00019286-0.0018016i,-0.00035179-0.0018671i,-0.00012123-0.0017432i
0.0076101+0.00056096i,0.0047174+0.0014891i,0.0022808-0.00062833i,0.0016642-0.005032i,0.0017208-0.0082069i,0.0012969-0.007671i,0.0013876-0.0051505i,0.0022078-0.0028495i,0.001808-0.0019056i,0.0014603-0.0004725i,0.0023894+0.00089243i,0.0022493+1.9514e-05i,0.001121-0.0010763i,0.00027734-0.0014229i,-0.00021731-0.0011909i,-0.00014581+0.00014943i,-0.00015517+0.00099762i,-0.00019846+0.00051591i,0.00028672-0.00019534i,-0.0002894-0.00046601i,-0.00069249-0.00050968i,9.9576e-05-0.0011241i,0.00013883-0.0020462i
0.0049749-0.0086435i,0.007386-0.0062048i,0.0036786-0.0031798i,-0.0015271-0.0040142i,-0.0032696-0.0061166i,-0.0022028-0.0061453i,-0.00072679-0.0047264i,-4.2053e-06-0.0045136i,-0.00030441-0.0043736i,0.00062363-0.0027415i,0.0017996-0.0014925i,0.0012043-0.0010019i,0.00059489-0.00084866i,-0.00039892-0.0011765i,-0.0013778-0.00053775i,-0.00080234-0.00012371i,0.00031107+9.4633e-05i,0.00098537+2.4767e-05i,0.00029475-0.0004904i,-0.00083769-9.3564e-05i,-0.0012178+0.00042921i,-0.00062394+0.00051092i,-0.00020041+0.00075052i
-0.0095238-0.0061629i,-0.0069192-0.0075514i,-0.0034054-0.0064461i,-0.0026873-0.0037702i,-0.0032189-0.00032714i,-0.0025598+0.0022365i,-0.0017664+0.0016296i,-0.0011318-9.8777e-05i,-0.0018036+0.00014533i,-0.0028359+0.00089867i,-0.0025593+0.00034311i,-0.0012742-0.00037823i,-0.0011284-0.00017215i,-0.0016862+0.00017439i,-0.00082442+0.00012155i,-0.00037059-0.00021533i,-0.00023244-0.000666i,3.6593e-05-0.0003109i,-0.00038702-0.00019031i,-0.00072152-7.2807e-05i,-0.00059704-3.613e-05i,-4.3909e-05-0.00043659i,-0.00010328-0.00024457i
-0.0059049+0.0066397i,-0.0076937+0.0038017i,-0.0068379-0.00031437i,-0.0048642-0.0018559i,-0.0018743-0.0018524i,7.2096e-05-0.00042053i,0.00080309+0.0012142i,0.0015212+0.0015819i,0.0013043+0.0011692i,0.00044009+0.0011396i,-0.00036443+0.0012739i,-0.00069964+0.00062153i,-0.00051244-0.00040623i,-0.00031135-0.0010809i,-0.00085301-0.00084931i,-0.0011988-0.00027907i,-0.00064878+0.00039262i,-0.00021242-9.5631e-05i,0.00024155-0.00065388i,0.00046587-0.00040192i,0.00051836-0.00071036i,0.00077251-0.00079068i,0.00062198+2.5238e-05i
0.0041624+0.0087788i,0.0020052+0.0094852i,-2.3915e-05+0.00502i,0.0011257-0.00017683i,0.0026838-0.0036268i,0.00203-0.0045498i,0.0022196-0.0039412i,0.0035725-0.0029234i,0.0037138-0.0032152i,0.0038449-0.0024682i,0.0033704-0.00059921i,0.00203-0.00037417i,0.00065196+0.00039334i,-0.00022152+0.0013545i,-0.00023523+0.0009048i,3.326e-05+0.00024468i,0.00053518-0.00044627i,0.00041067-0.00046803i,9.2119e-05-0.00014417i,0.0001561-0.00049574i,-0.00054192-0.00042607i,3.3332e-05-0.00022423i,0.00091125+5.6367e-05i
0.010877-0.0053805i,0.011094-0.0020379i,0.0061695-0.00050811i,0.0010021-0.0034787i,-0.00020643-0.0059715i,-0.00094246-0.0058143i,-0.00144-0.0047303i,-0.00049164-0.0038378i,-0.00075266-0.0020998i,-0.0015928-0.00077658i,-0.00069662-0.00059745i,0.00057139-0.00051239i,0.00095408+0.00038013i,0.00032394+0.00039791i,-1.4644e-05-0.00039124i,-0.00026286-0.00071825i,-0.00058803-0.00056203i,-0.00097821-0.0004513i,-0.0011009-0.00069568i,-0.0010205-7.3482e-05i,-0.0011992+0.00022979i,-0.001308-0.00019057i,-0.0017039+0.00019728i
-0.0057953-0.01057i,-0.0021795-0.010609i,-0.00089193-0.0072246i,-0.0030918-0.0050507i,-0.0054172-0.0032194i,-0.0053163+2.2872e-05i,-0.0035366+0.00084221i,-0.0016828-0.0010525i,-0.0011738-0.0022301i,-0.00087697-0.0011853i,-2.9668e-05-0.00035992i,0.0006238-0.00065889i,-2.7634e-05-0.0015185i,-0.0011743-0.0011683i,-0.0016074-0.00033695i,-0.00079301-0.00046888i,-0.0001875-1.8277e-05i,-0.00066141+0.00033687i,-0.00022746-0.00061523i,0.00071403-0.00051253i,0.00037998-0.00011019i,0.00034341-0.00025593i,-1.9881e-06+8.6524e-05i
-0.011766-0.002345i,-0.011537-0.0066292i,-0.00519-0.008146i,-0.00087081-0.0048246i,0.00013221-0.0017727i,-5.8581e-06-0.00043996i,-0.00017449+0.00056215i,0.00060753+0.00021871i,0.0010074-0.00034809i,0.0002218-0.0004125i,-0.00010736-0.0012542i,8.5037e-05-0.0008248i,-0.00023841-9.4123e-05i,-0.00034159+7.9474e-05i,-0.00035915-0.00062144i,-7.5769e-05-0.0012676i,0.00035544-0.0011444i,0.00038394-0.0011865i,-0.00012738-0.00086944i,-0.00077303+0.00010668i,-0.00086216+0.0006265i,-0.00010678-5.1727e-05i,4.5992e-05-0.00039816i
0.0012909+0.018662i,-0.0014047+0.016518i,-0.0013972+0.0089583i,0.00078377+0.0014921i,0.0033981-0.0027804i,0.0037643-0.0036672i,0.0026793-0.0024896i,0.0018009-0.0019539i,0.00079865-0.0018496i,-0.0011783-0.0005968i,-0.0012209+0.0004888i,-0.00042673+0.00042138i,-0.00021777-0.00015947i,0.00020229-0.00027627i,0.00024307-0.00012038i,-6.1051e-06+7.0156e-05i,-0.00040326+0.00062694i,-0.00054545+0.0012685i,-0.00028542+0.00090815i,0.00019938+0.00062769i,0.00029124+0.00073131i,-0.00042664+0.00020311i,-0.00042096-0.0007538i
0.0087289+0.0039668i,0.0088688+0.0074673i,0.0055905+0.0053473i,0.0033849-0.00070402i,0.00091712-0.0058632i,-0.001168-0.0069938i,-0.00032642-0.0054931i,0.0014006-0.004155i,0.0014581-0.0029097i,0.00099513-0.0013259i,0.0015753-0.00070526i,0.0021726-0.00073515i,0.0016137-0.00070813i,0.00047975-0.001051i,-0.00022503-0.00097101i,-0.00049492-0.00017195i,0.00010058+0.0011122i,0.00028432+0.0013274i,0.00013446-0.00044983i,0.00045067-0.0013817i,0.00033401-0.00099057i,0.00039199-0.001428i,0.00048222-0.0015242i
0.0076321-0.020512i,0.010829-0.019087i,0.0069938-0.011154i,0.00062005-0.0065237i,-0.0021358-0.0051942i,-0.0025163-0.0037535i,-0.0016548-0.0019442i,-0.00014579-0.00085473i,0.00077656-0.0014764i,0.0010923-0.0010886i,0.0011185+0.00014768i,0.00039877-0.00030045i,-0.00080728-0.0011554i,-0.0016469-0.0011897i,-0.0013738-0.001062i,-0.00062432-0.00035633i,3.2656e-05-0.00014511i,-0.00022556-0.0012355i,-0.00011567-0.0021703i,0.0002376-0.0017383i,-0.00016975-0.0007848i,-0.00045368-0.00024134i,-0.00017528+0.00023593i
-0.0139-0.0044021i,-0.011519-0.009231i,-0.0048474-0.010267i,-0.0021891-0.0090479i,-0.0033604-0.0059093i,-0.0036584-0.0011409i,-0.0016008+0.0012663i,0.00091019+0.00072425i,0.0010124+0.00070372i,0.0002064+0.0016861i,-0.00051352+0.001661i,-0.0014139+0.00060037i,-0.0017238-0.00011736i,-0.0019936+0.00018077i,-0.0023227-3.4302e-05i,-0.0013685-0.0007651i,-0.00030798-0.00069536i,-0.00024835+5.4377e-05i,0.00028421+0.00084354i,0.00041459+0.00085148i,-0.00040761+0.00021671i,-0.00069636-0.00056134i,-0.00044453-0.00034963i
-0.013591+0.012619i,-0.015085+0.011194i,-0.010884+0.0050586i,-0.0046675+0.0011764i,-0.00023458+0.00035724i,0.0028213-0.00044748i,0.0036032-0.0012832i,0.0023097-0.0018986i,0.0011087-0.0032016i,0.00046593-0.0028817i,0.00037023-0.0015359i,0.00038586-0.0012797i,-0.00015716-0.00083308i,-0.00025235-1.5041e-05i,1.8629e-05+0.00031833i,0.00010476-5.5408e-05i,-6.6636e-05+0.00018216i,0.00016437+0.00021623i,0.00052783-4.3512e-05i,0.00047522-0.00014631i,0.0002476+0.00014822i,-8.2558e-05+0.00058558i,-0.00042243+0.00079604i
0.016962+0.012218i,0.012092+0.013468i,0.0027648+0.0089277i,-0.0011556+0.0022831i,0.00032594-0.0029604i,0.0017962-0.0048438i,0.0020342-0.0042105i,0.001294-0.0034847i,-0.00043702-0.0027551i,-0.0016413-0.0014713i,-0.0013743-0.00065418i,-0.00087749-0.00064283i,0.00039271-0.00095901i,0.00090287-0.00062704i,-0.0006354+0.00010432i,-0.0014104+0.00042449i,-0.001137+0.00017094i,-0.00023971-0.00064865i,-7.8056e-05-0.00076595i,-0.00090907+3.2551e-05i,-0.0010875+0.00028849i,-0.00068226+0.00027987i,-0.00039375+0.00090858i
0.014377-0.011355i,0.018298-0.010976i,0.014006-0.0084877i,0.0069566-0.0071782i,0.001341-0.0071207i,-0.0028579-0.0052929i,-0.0032569-0.002553i,-0.0013134-0.0017141i,-0.00041773-0.00030172i,-0.00056976+0.0017626i,-0.00029647+0.0021544i,0.00036456+0.0012567i,0.00033974-0.00046375i,-0.00065481-0.0017374i,-0.0015859-0.0010852i,-0.00095617-6.6265e-05i,0.00025578+0.0011575i,0.00088179+0.0021017i,0.00051909+0.001612i,-5.1153e-05+0.0013563i,0.00030749+0.0010114i,0.00091005-0.00016805i,0.00047035-0.00048277i
