0.0014898+0.00026358i,0.0022459-0.00024533i,0.0016239-0.0013668i,9.2577e-05-0.0023042i,-0.0015315-0.0017383i,-0.0019383+0.00025802i,-0.00070039+0.0017023i,0.00055509+0.0017456i,0.0011909+0.00062066i,0.00075064-0.00072181i,0.00047235-0.00079051i,0.00027934-0.00056085i,-3.5011e-05-0.0010194i,-0.00012768-0.00053023i,0.00054488+0.00042296i,0.00086925+0.00049315i,0.00041488-6.1593e-05i,-5.7511e-05-0.00059107i,-0.0009307-0.0012366i,-0.00060649-0.0016824i,-0.00022989-0.001068i,7.9918e-05+0.00023731i,0.0011489+0.0010178i
-0.0015124-0.00022554i,0.00016073-7.1735e-05i,0.0014427+0.0014344i,0.0011576+0.0015228i,0.00063122+0.00048861i,-0.0004485-0.00032388i,-0.00048536+6.5069e-05i,6.4362e-05+0.00076603i,0.00033362+0.00037087i,0.00058942+0.00010147i,0.00028204+0.0006234i,0.00013539+0.0012729i,0.00041725+0.00093583i,0.00058232+0.0010145i,0.00077181+0.0014589i,0.0010785+0.0014377i,0.0012046+0.00054688i,0.00065274-0.00028218i,0.00088574+6.0026e-06i,0.0012153-0.00054721i,0.0003885-0.0010064i,-0.00056651-0.0003539i,-0.00063826+0.00042035i
-0.0018967+0.00073575i,-0.0023979+0.00081255i,-0.0030763+0.0016453i,-0.0021484+0.00094838i,-0.00076731-0.00060226i,-0.00087816-0.00084578i,-0.0010456-0.00024218i,-2.7561e-05+0.00011141i,0.00095076+9.5068e-05i,0.0013054+0.00014812i,0.0018543+0.00028621i,0.002209+0.00058008i,0.0020218+0.00067396i,0.0011926+0.00090823i,0.0010507+0.001521i,0.0015125+0.0012203i,0.00090253+0.00022326i,0.00043956-0.00053748i,0.00036056-0.00042609i,0.0006825-3.7641e-05i,0.00058817+0.00013516i,-0.00019027+6.5938e-05i,-0.00019028-0.00046705i
-0.0026007-0.00094193i,-0.0025491-0.001581i,-0.002008-0.00052573i,-0.0011221+1.9237e-05i,0.0001625+0.00042229i,0.00027602+0.00084797i,-0.00053959+0.0012759i,-0.00082193+0.0021399i,0.00020467+0.0016406i,0.001136+0.00041833i,0.0010072-0.00012303i,0.0013099-0.00035093i,0.0012644-0.00084131i,0.00034646-0.00073669i,-0.0004136-0.00017755i,-0.00074903-0.00062805i,-0.00035264-0.00036261i,0.00021705+7.8104e-05i,0.00028305+4.8127e-05i,0.00032348-0.00013152i,0.00084495-0.00076433i,0.00072012-0.00089923i,0.00052355-0.00020308i
0.00080861+0.00094316i,0.0016586+0.002184i,0.0013481+0.0011722i,0.0010502-0.00052874i,0.00021621-0.0014624i,-0.00058311-0.0010979i,-0.00017247-0.00020606i,0.00034635+0.00010664i,0.00098056+0.00027878i,0.0010382-0.00077449i,0.00048168-0.0016554i,0.00085819-0.0016773i,0.00028923-0.0019494i,-0.00040306-0.0018111i,-0.00011321-0.001144i,-0.00030964-0.00079573i,-0.00033234-0.00071i,2.1838e-05-0.00048131i,0.00013604-0.00070553i,0.00015468-0.00054623i,7.3374e-05+0.00028562i,0.00051605+0.00026704i,0.00089522+0.00073286i
0.0021968+0.0030412i,0.002039+0.0020809i,0.0029697+0.00092819i,0.0038165-8.8066e-05i,0.0029175-0.0015772i,0.0003604-0.0019332i,-0.001087-0.00043864i,-0.00026013+0.0010039i,0.00079167+0.00075476i,0.0014167-0.00067498i,0.0011198-0.0005706i,-3.6632e-05-8.1727e-05i,-0.00041061-0.00024004i,-0.00016896-0.00050397i,-0.00075141-0.00070641i,-0.0012394-0.00013727i,-0.00047433+0.0011754i,0.00023837+0.0012958i,0.00022601+0.0007941i,-0.00020055+0.00076603i,0.00027478+0.00063518i,0.00088925+0.0002561i,0.00019282-0.00036222i
-0.003988+0.0009321i,-0.0037064+0.00078191i,-0.0033582+0.0021183i,-0.0013953+0.002145i,0.0011626+0.0012635i,0.0019696+0.00074011i,0.0011627+0.00058826i,0.0007514+0.00032835i,0.0009023-0.00037929i,0.00055053-0.00034468i,-0.00054997+0.00026695i,-0.0010749+0.00059911i,-0.00029506-8.0421e-05i,0.00024037+0.00021682i,1.045e-05+0.0015481i,-0.00028465+0.0018541i,-2.1205e-05+0.00083101i,9.2792e-05-0.00011742i,8.999e-05-0.00011071i,0.00027851-3.0058e-05i,-0.00015919-8.7924e-05i,-0.00019195-3.3603e-05i,0.00035824-0.00069643i
-0.0031135-0.0022977i,-0.0034353-0.002673i,-0.0035123-0.002482i,-0.0025408-0.000977i,-0.0019741-0.00042611i,-0.0015985-0.00057467i,-0.0012385-0.00019926i,-0.00036427+0.00044832i,0.00079902+0.0007922i,0.00073608+0.0010089i,0.00070016+0.0010868i,0.00069234+0.0010321i,0.00011661+0.00079769i,-0.00017127+0.000373i,0.0002277+0.00087084i,0.0014426+0.001473i,0.0014271+0.00098444i,0.00093808-0.00023307i,0.00083917-0.00048851i,0.00024436+0.00023143i,-0.00027771+5.3492e-05i,-0.00074729-0.00057856i,-0.00032173-0.00072203i
-0.00092453+0.0019982i,-0.00037777+0.0026092i,-0.00051185+0.0025752i,-6.1694e-05+0.0015256i,0.00074629-0.00058465i,-2.0839e-05-0.0014116i,-0.00052364-0.00026087i,5.1287e-05+0.0008503i,0.0011106+0.00071673i,0.001823+0.00017136i,0.0022627+0.00062326i,0.0024464-7.1463e-05i,0.0015977-0.00082361i,0.0014195+0.00017771i,0.0013261+7.3924e-05i,0.0010314-0.00026123i,0.00065369-3.5308e-05i,-8.2529e-05-0.00049182i,-0.00037931-0.0005141i,-0.00025326+7.9253e-05i,0.00028564+0.00049176i,-0.00021475+0.00059556i,-0.0005117+0.00041609i
0.00033882-0.00099523i,-0.00054266-0.00013215i,-0.0014217+8.8027e-05i,-0.0013151-0.0011412i,-0.00087812-0.0014787i,-0.00084582-0.00016981i,-0.00048679+0.00095562i,-0.00044213+0.00074042i,-8.7017e-05+0.00038142i,0.0010834+0.00043614i,0.001102+0.00011888i,0.00060208-0.00045597i,0.00098015-0.001176i,0.0009747-0.0017432i,0.00010805-0.001484i,0.00014296-0.0007195i,0.00060505+1.4756e-05i,0.00040283+0.00017556i,0.00077415-0.00046632i,0.0012023-0.00073784i,-7.9569e-05-0.00025105i,-0.00081221-0.00030581i,5.0625e-05-0.00015615i
-0.00029752+0.0015261i,0.00054304+0.0013379i,0.0015493+0.00219i,0.0020615+0.0021928i,0.0011039+0.00099906i,3.9441e-05-0.00033676i,-0.00036981-0.00078449i,-0.00025249-0.00035314i,0.0003923+0.00078706i,0.00015245+6.0516e-05i,0.00013445-0.0015746i,0.00044807-0.0015707i,0.00087586-0.0010031i,0.00065595-0.00031922i,0.00024084+0.0004932i,0.00028899+0.00041654i,0.0002195+0.00018788i,6.7763e-05+0.00049659i,0.00051098+0.00069597i,0.00059143+0.00088913i,-0.00027998+0.00050533i,-0.00018158-0.00026591i,0.00023763-0.00013844i
-0.0026508-0.0026248i,-0.0030776-0.0024275i,-0.0036491-0.001164i,-0.003065+0.00038116i,-0.0022446+0.0010716i,-0.001307+0.00073523i,0.00018507+0.00021693i,0.0011256+0.0003824i,0.00099685+0.00046477i,-0.00020244+8.806e-05i,-0.0005619+0.00016161i,-0.00020563-0.00015757i,-0.00022655-0.00075765i,-0.00051053-0.00041376i,-0.0011341+0.00045902i,-0.0011736+0.00083363i,-0.0013954+0.00043326i,-0.00099023-8.4351e-05i,0.00082881+0.00015534i,0.00066453-0.00055845i,-0.00013056-0.0014389i,0.00067217-0.001155i,0.00098597+4.6837e-05i
0.00063179-0.0009642i,0.00075415-0.0009538i,0.0012836-0.0018847i,0.00047222-0.0032829i,-0.00033776-0.0030282i,-0.00060181-0.00060489i,-0.00065105+0.0010272i,5.1297e-05+0.0011164i,0.00017746+7.2491e-05i,-0.00091676-0.0014878i,-0.00069368-0.0011942i,0.00091732+0.00060239i,0.00032423+0.0014933i,-0.00062553+0.00081376i,-3.6494e-05+0.00036852i,0.00069916+0.0010221i,0.00082834+0.00076773i,0.00082796+0.00017169i,0.00064932-0.00029366i,0.00049912-0.00045136i,0.0006799-0.00038425i,0.00032541-0.0014198i,-0.0004315-0.0020317i
0.0012691+0.0016102i,0.0011751+0.0020515i,0.0023008+0.0014368i,0.0019955-0.00028082i,0.00036286-0.0025632i,-0.00097763-0.0019091i,-0.0012575+0.00024549i,-0.00071023+0.0007354i,-0.00052329-0.00095109i,-0.00020179-0.0017706i,0.00031498-0.00049356i,0.00038826+0.00019212i,0.00073486+0.00037153i,0.0009699-0.00014575i,0.0013296-0.00014373i,0.0018621+0.00096128i,0.0018234+0.00086826i,0.0015201-3.8889e-05i,0.00071902-0.00025672i,0.00029537-0.00019477i,5.8557e-06-0.00017309i,-0.00039043+7.6342e-05i,-0.00029495+0.00044663i
-0.00063217-0.0011215i,-0.00078707-0.002112i,-0.00032435-0.0012027i,0.00034282-0.00045609i,-0.00016968-0.00082549i,-0.00036318-0.0011719i,0.00031667-0.00043486i,0.00021164+6.5942e-05i,6.5237e-05-0.0008168i,0.00025859-0.00089613i,0.0010624+0.00042245i,0.001199+0.00098566i,0.0004421+7.1446e-05i,-0.0001968-0.00035105i,-0.00047827-0.00016249i,-0.00052063-0.00064345i,-3.567e-05-0.0011357i,-2.8611e-05-0.00095797i,-7.2262e-05-0.0010593i,-9.2795e-06-0.00059809i,-0.00070584+0.00073652i,-0.0009058+0.00049735i,-0.000698-0.00041258i
-0.0010107+0.00074849i,-0.00050433+0.0013514i,0.00054019+0.0019789i,-2.5577e-05+0.00051783i,-0.00066702-0.00091319i,-0.00067965+0.00044209i,-0.0011168+0.0015954i,-0.00037327+0.001524i,0.00060437+0.00039535i,-1.4031e-05-0.0011i,-0.00079351-0.0016469i,-9.4686e-05-0.0017745i,0.00032188-0.0013579i,0.00025996-0.00068988i,0.0014132-9.1078e-05i,0.00187-0.00047601i,0.0010089-0.0010216i,0.00035093-0.0015022i,-0.00022765-0.0011035i,-0.00059486+0.00033383i,-0.00054008+0.0007353i,-4.9397e-05+0.00047267i,-9.5638e-05+4.9551e-05i
7.5563e-05-0.00040055i,-0.0011934-0.001038i,-0.002626-0.0018528i,-0.0028159-0.0014976i,-0.0023603-0.0011279i,-0.001367-0.00097484i,-0.00086944+0.00026748i,-5.1263e-05+0.00095639i,0.00046756+0.00056102i,0.00053781-0.00052693i,0.00068529-0.0010313i,0.00071859-0.0015274i,0.00011943-0.0015564i,-0.0014297-0.00054587i,-0.0018175+0.00032611i,-0.0015437+0.00085841i,-0.0011635+0.001023i,-0.00012559+0.0010075i,7.2727e-05+0.00040339i,-0.00047288-3.9801e-05i,0.00042982+0.0003463i,0.0013324+0.0005538i,0.0010037-0.00050659i
0.0026771+0.0011594i,0.0037981+0.00099445i,0.003674-0.00010727i,0.0030979-0.0013076i,0.0018297-0.0016335i,0.00043001-0.0020029i,7.6388e-05-0.0010301i,0.00088216+0.0014086i,0.0017177+0.0014634i,0.0014889+0.00028519i,0.0011321-0.00020485i,0.00010185-0.00038222i,-0.0010515-0.00035386i,-0.0014297+0.00014077i,-0.0013164-0.00013735i,-0.0019475-9.6632e-05i,-0.002104+0.00047064i,-0.0012125+0.00065755i,-0.00079403+0.00013382i,-0.0002127-3.9575e-05i,0.00036044+0.00024639i,0.00089762-0.0001263i,0.00050773-0.00089044i
-0.00015863-0.001385i,-0.00083022+0.00049922i,-0.0017816+0.0013895i,-0.0017378+0.00044309i,-0.0017031-0.00018702i,-0.0010551-0.00022201i,-0.00076867+0.0011862i,-0.0010693+0.0019451i,-0.00023256+0.00060762i,-1.3794e-05-0.00061838i,-0.00033094-0.0010228i,0.00031858-0.00051401i,-5.1431e-06+0.00062346i,-0.00029581+0.00093345i,-0.00025773+0.00089704i,-0.00019002+0.0013029i,0.0010369+0.0012918i,0.0016386+9.9697e-07i,0.0011913-0.00081143i,0.00088717-0.00097384i,0.00040526-0.00054968i,-0.00014352+9.0611e-05i,-0.00059114-6.5046e-06i
0.00065035+0.00052317i,6.2402e-05-0.0006063i,0.000208-0.003167i,0.00030083-0.0036197i,-0.00023782-0.0028084i,-3.9928e-05-0.0016667i,-0.00060249-0.00053958i,-0.00082204-0.00031702i,-0.00014923-0.00052038i,0.00013371-0.00041519i,0.00035318+0.00023621i,0.00066879+0.00054157i,0.0011781+0.00075238i,0.0013734+0.0014572i,0.0010171+0.0021552i,0.00088133+0.0020663i,0.00098035+0.00097375i,0.0012407+0.00022579i,0.00079881-0.00072415i,-0.00028022-0.00080709i,-0.0010581-0.00070671i,-0.00069634-0.0010474i,-0.00068599-0.00075791i
-0.0030955+0.0025908i,-0.003226+0.0021022i,-0.0019785+0.0039153i,-0.0011502+0.0039934i,-0.00051806+0.0011436i,-0.00014629+0.00013979i,-0.00085147+0.00092242i,-0.00082392+0.0010627i,-0.00011815+0.00050803i,0.00028587+0.00014423i,0.00060363+0.00034371i,0.00098021-0.00016367i,0.00095507-0.0010806i,0.00039043-0.0013888i,1.5395e-05-0.00096946i,0.00067896-0.00098296i,0.0019951-0.00095526i,0.0022639-0.00084516i,0.0010142-0.00096878i,-6.5823e-05-0.00077212i,-0.00019824-6.4031e-05i,0.0002729+0.00012678i,0.00062794-0.00027277i
-5.4278e-05+0.0024887i,-0.00035056+0.0021399i,-0.0017007+0.001909i,-0.00055322+0.0012941i,0.00086562+0.00027423i,-0.00024433-0.00051319i,-0.00014468-0.0003836i,0.0011291+0.00027529i,0.0013122+0.00069625i,0.00087846+0.00067855i,0.00048042+0.00022594i,0.00082596-0.0011571i,0.0006506-0.001933i,-0.00024767-0.0013224i,-0.00017428-0.0010042i,0.0014995-0.00060343i,0.0022652+0.0005051i,0.00063578+0.00080707i,-0.00058115+2.0199e-05i,-0.00024455+0.00050172i,0.00068074+0.0012224i,0.00042274+0.0013417i,-0.00021491+0.0015674i
-0.0032029+0.0019628i,-0.0027401+0.0022782i,-0.0029605+0.0029363i,-0.0014019+0.0024571i,0.00060183+0.0010251i,2.5058e-05+0.00025385i,-0.00050636+0.00065264i,-1.1517e-05+0.0010273i,0.00041237+0.00050261i,0.00043556+0.001068i,0.00029405+0.0012321i,0.00065199+3.7241e-05i,0.0002287-9.8955e-05i,-0.00096541+0.00095441i,-0.0013823+0.0015724i,-0.0023053+0.0010345i,-0.002263+0.00035845i,-0.00097782+0.00028882i,-0.00050138+0.00035719i,6.1612e-05+0.00024756i,0.0014279+0.00033202i,0.0017266+0.0003578i,0.00098413+0.00036037i
-0.0023377+0.0016182i,-0.0028035+0.0011822i,-0.001963+0.0010413i,-0.0010748+0.001284i,-0.00074529+0.0016996i,0.00019155+0.0017383i,0.00069331+0.0010858i,6.0462e-05+0.00077569i,0.00012415+0.001178i,0.00058412+0.00076247i,0.00035282-0.00046136i,-0.00053054-0.000535i,-0.0013383-0.00043375i,-0.0012822-8.9774e-05i,-0.00054336+0.00046982i,-0.00031806+0.00043876i,-0.00054817+0.00041708i,-0.00075778+0.00035125i,-0.00085576+0.00014365i,-0.0010047-0.00068665i,-0.00088619-0.000991i,-0.00019802-0.00064419i,0.00086017-0.00050538i
0.0005334+0.00014557i,0.00047375-0.00071527i,0.00038499-0.0009391i,0.00062226-0.0012636i,0.0004723-0.0016456i,-0.00019442-0.0014859i,-0.00071258-0.00074293i,-0.00020151-0.00027716i,0.0010322-0.00050524i,0.0010732-0.00034122i,0.00083149-0.00038896i,0.00051151+0.00046497i,0.0005459+0.0014339i,0.00065723+0.0012156i,0.00011287+0.0012668i,0.00038146+0.0020093i,0.0002659+0.00231i,-0.00055987+0.00051212i,-0.0010134-0.00068762i,-0.00069699-0.0002682i,2.1329e-05+8.1439e-05i,0.00017996+0.0004309i,0.00018048+6.4946e-05i
-0.00046425+0.00011828i,-0.0020763-0.00025358i,-0.0024538-0.00017478i,-0.0018955-0.00050485i,-0.0019056-0.0023767i,-0.0020312-0.003143i,-0.0021676-0.0012725i,-0.0011425+0.00044536i,0.00043283+0.0007418i,0.00088854+0.00034526i,0.00028521+0.00049671i,0.00083885+0.00089739i,0.0012696+0.00097142i,0.00012025+0.00052176i,0.00012918+0.00010314i,0.0013725-0.0001282i,0.0016754+4.4297e-05i,0.0014787+0.00050055i,0.0013132+0.00016238i,0.00067343-0.00013602i,0.0001776+0.00020309i,0.00041516+0.00063872i,8.1219e-05+0.00083984i
0.0035785-0.0013108i,0.0037171-0.0012454i,0.0029802-0.0019332i,0.0018706-0.0016998i,0.00054064-0.001576i,-0.0002534-0.00066234i,9.208e-05+0.00037432i,0.00019774+7.3029e-05i,0.00081473-0.00025236i,0.00040437-0.00082244i,-7.9768e-05-0.00052608i,0.00080636-0.00027469i,0.0010034-0.0014607i,0.00030408-0.0015597i,0.00041688-0.000651i,0.00095281-0.00046136i,0.0013654-0.00095027i,0.0014664-0.00094643i,0.00040869-0.0008263i,-0.00034431-0.00046275i,-0.00046757+0.00014936i,-4.6035e-05+0.00043005i,0.00020179+0.00036781i
3.1926e-05+0.0019547i,-0.00071672+0.0025802i,-0.0011827+0.0020992i,-0.00086283+0.00084345i,1.5536e-05-0.001352i,-0.00014313-0.0018394i,0.00018438-0.00030931i,0.00038808+0.00045429i,-1.284e-05-0.00048669i,-7.7983e-05-0.00097586i,0.00043267-0.00090735i,0.0013745-0.0014167i,0.0017671-0.0019758i,0.00089446-0.0011005i,0.00016421+0.00084811i,0.00048081+0.0014495i,0.00054619+0.00077828i,0.00038864+6.5021e-05i,0.00023495+0.00026048i,0.00039423+0.00029267i,0.00074876+0.00016202i,0.00080342+0.00012462i,-6.6621e-05+0.0001071i
-0.0014454-0.0023533i,-0.0019405-0.001327i,-0.0015923-0.0024455i,0.00025069-0.002171i,0.0010356-0.0010033i,-3.1858e-05-0.00057566i,-0.0004674+0.00020412i,0.00066317+0.00072139i,0.001332+0.00036334i,0.00033098-5.2955e-05i,-0.00021262-0.00038755i,-0.0001425-0.00072054i,-0.00088114-0.00044571i,-0.0015569+0.00023199i,-0.0022528+0.00051092i,-0.002627+0.00025175i,-0.0013359-0.00019148i,-0.00022077-0.00018052i,9.5557e-05+2.885e-05i,1.8777e-05+0.00032849i,-8.3575e-06+7.5734e-05i,0.00064236+0.00047514i,0.00024177+3.4714e-05i
0.00047321-0.0012827i,0.00030507-0.0012773i,0.00027005-0.001527i,-0.00035707-0.00038832i,-0.001934-0.00034612i,-0.0026791-0.0002751i,-0.0016774+0.0003918i,0.00012923+0.00063757i,0.0004716-0.00014876i,-0.0006824-0.00094167i,-0.00090733-0.0014449i,-0.00024944-0.0017866i,-0.00066621-0.0013229i,-0.0019232-0.00024367i,-0.0015191+0.00041221i,-0.00063584+0.00057597i,-0.00020351-0.00015884i,5.4669e-05-0.00046879i,4.1824e-06-0.00023106i,0.00021227-8.316e-05i,0.00046109+0.00051643i,0.000806+0.00071835i,0.00090778+3.2554e-06i
-0.0055322-0.00077414i,-0.0056926-0.00027346i,-0.00564+0.00047296i,-0.0038188+0.0021648i,-0.0020726+0.0024935i,-0.0012213+0.0019917i,-0.0012086+0.0018949i,-0.00043968+0.0015118i,3.4698e-05+0.0011252i,-0.00020271+0.0011442i,-0.00079207+0.0010792i,-0.00053094+0.00087731i,-0.00033448+0.0017158i,-0.00066082+0.0016344i,-0.0005957+0.0013025i,-0.00038852+0.0017981i,0.00016825+0.0012168i,0.00026726-1.0851e-05i,0.00062139-0.00056416i,0.00070671-0.00078536i,0.00025291-0.0010107i,-0.00024543-0.0010758i,-0.00074336-0.0010769i
-0.0007475-0.0022722i,-0.00094977-0.0028869i,-0.0018447-0.0041187i,-0.001664-0.0036817i,-0.00080331-0.0028391i,-0.00023535-0.0022147i,0.00016883-0.0010805i,0.00010147+4.5498e-05i,-0.00012926+0.00034216i,-0.00067066+0.00045766i,-0.00076226+0.00098826i,-0.00011065+0.0014174i,0.00016827+0.0011258i,-0.0004624+0.00054081i,-0.00084516-0.00019362i,-0.000873-0.00085119i,-0.00055109-0.0017278i,0.00014113-0.0020356i,0.00067079-0.0010392i,0.00047557-0.0002914i,0.00025053-0.00024139i,0.00062002-0.00021094i,0.00064212+0.00033616i
-0.00049727+0.00013142i,-0.00041388+0.00059786i,-0.00056578+0.00062124i,-0.0012478+0.001402i,-0.0021361+0.0027352i,-0.002513+0.002559i,-0.0013045+0.0015117i,0.00042973+0.0019347i,0.0010081+0.0010972i,0.00095539-7.5125e-05i,0.0016899+5.9733e-05i,0.0028109+0.00062592i,0.0030579+0.00045706i,0.002546-0.000128i,0.0018719+0.00040546i,0.001402+0.00044215i,0.0011059+0.00016922i,0.00089138+0.00024991i,0.00063452-0.00032191i,-0.00037935-0.00035894i,-0.001485+0.00072811i,-0.0013097+0.0010364i,-0.0006385+0.00029922i
-0.00086264-0.00013296i,-0.002368+0.0006048i,-0.0030812+0.00054778i,-0.0021391+0.00068233i,-0.00056303-0.00035536i,0.00019732-0.00068102i,0.00038495+0.00093462i,0.00019683+0.0018041i,0.00035987+0.00091482i,0.00063883+0.000586i,0.00091692+0.00044884i,0.0017415-0.00036179i,0.0011044-0.001137i,-0.00040811-0.0010681i,-0.00046619-0.00018773i,-0.00082051+0.001012i,-0.00078189+0.0011547i,-9.7573e-05+0.00045291i,0.00029487+0.0004078i,0.00018106+0.00034915i,-0.00040924+1.5386e-05i,-0.00015351-0.00014116i,-0.00050186-0.00019045i
0.0013328-0.00074563i,0.0016592-0.0025875i,0.0019704-0.0040408i,0.0015594-0.0042172i,0.0010108-0.0036352i,0.0004935-0.0020974i,0.00057505-0.00023998i,0.00075485+0.00028199i,0.00026183-0.00061139i,6.2654e-05-0.0016275i,-8.704e-06-0.0019979i,-0.00049595-0.0021818i,-0.00089134-0.0023798i,-0.0014373-0.0014936i,-0.0017567+0.00050063i,-0.0016037+0.00053i,-0.00080506-0.00051956i,-0.00029848-0.00075044i,-0.00021375-0.00080653i,-0.00017522-0.00051877i,-0.00029439-0.00038658i,-0.0005739-0.00032294i,-0.00030653+0.00051455i
-0.0006826+0.0014696i,0.00072361+0.0022485i,0.0021207+0.0028168i,0.001114+0.0024215i,-6.8594e-05+0.00074024i,-0.00039898-2.4334e-05i,-0.00044872+0.00015485i,5.1929e-06+0.00015991i,0.00039926-0.00051286i,0.00011998-0.0013047i,-0.00014317-0.001136i,-0.00069568-0.00058664i,-0.0011322+6.7913e-05i,-0.0011417-0.00053166i,-0.00071363-0.00073333i,-7.1617e-05+9.5976e-05i,0.00092609+2.1463e-05i,0.0015545-0.0014691i,0.0018993-0.0017499i,0.0015155-0.00032036i,0.0011079+0.00093678i,0.0010024+0.0008518i,6.0843e-05+0.00047512i
-0.0022229-0.0010425i,-0.0044868-0.0010101i,-0.0073743-6.9793e-05i,-0.0063185+0.00037357i,-0.0030049+0.00098708i,-0.00092609+0.00090433i,-0.001076+0.00053711i,-0.0014894+0.0010989i,-0.0010388+0.0012788i,-0.0014212+0.00096987i,-0.0019936+0.001369i,-0.0018744+0.0013653i,-0.0019898+0.00064501i,-0.0011832+0.00028696i,-0.00054169+0.00031086i,-0.00094114+0.00069841i,-0.00038414+0.0011697i,-0.00031859+0.001226i,-0.00022391+0.00086316i,0.00044358+0.00032973i,-0.00063439-6.5032e-05i,-0.00081745-0.00086404i,-0.00021057-0.0010171i
-0.0018368+0.00063732i,-0.0017128-0.00058626i,-0.00068671-0.0020723i,0.0012302-0.0023481i,0.0020244-0.0024552i,0.0017938-0.0016827i,0.00070422-0.00010998i,0.00061723+0.00087057i,0.001069+0.00077658i,0.00075284+0.00029181i,0.00076222+0.00099111i,0.0015526+0.0017402i,0.001754+0.0013305i,0.00091176+0.00095239i,0.0011728+0.00089454i,0.0017718+0.00053053i,0.0016887-7.9381e-05i,0.0011519-0.00032503i,0.00025065-0.0004419i,-0.00037804-0.0004962i,0.00047798+0.00018808i,0.00082614+0.0010346i,7.1598e-05+0.00048786i
0.0028278-0.0011498i,0.0028793+0.00074668i,0.0016121+0.001234i,-0.00079172+0.00070877i,-0.0026997+6.0082e-05i,-0.0036098+9.3788e-05i,-0.002952+0.0012297i,-0.00046104+0.0019381i,0.0018415+0.00098382i,0.0022473+0.00072976i,0.0019599+0.00087485i,0.0025061+0.00060642i,0.0028484+0.0010217i,0.0022105+0.00074303i,0.001265+0.0005993i,0.00010159+0.00072312i,-5.1008e-05-8.2667e-05i,0.00023245-9.9184e-05i,0.00032252+0.0001408i,0.00023063-6.4107e-06i,-0.00026728+2.3997e-05i,-0.00019476+8.1384e-05i,0.00056996-0.00014785i
-0.000331+0.00047015i,-0.00098855-0.00080804i,-0.0027238-0.0018114i,-0.0039775-0.0010788i,-0.0035222-0.00012451i,-0.0016471-0.00032195i,-0.00060273-0.00041416i,-5.4292e-05+0.00061509i,0.00078551+0.00081348i,0.0011728-7.53e-05i,0.0015414-0.00033054i,0.0020659-0.0016596i,0.0013296-0.0026774i,0.00021215-0.0021519i,-0.00046264-0.0014352i,-0.0014178-0.00045289i,-0.0016456-0.00011958i,-0.0008534+0.0003845i,7.1602e-05+0.00072142i,0.00039986+0.00035924i,0.00014706+0.00040798i,0.00027217+0.00041545i,0.00074298-0.00027554i
0.0025534-0.0022096i,0.0032814-0.0033847i,0.0044114-0.0049823i,0.0043497-0.0057883i,0.0019481-0.0051848i,0.00019745-0.003056i,0.00031442-1.1221e-05i,0.00048336+0.0011001i,0.00046723-0.00044837i,0.0010309-0.0024148i,0.00094816-0.0035454i,0.00044054-0.0036644i,-1.1491e-05-0.0033892i,-0.00029998-0.0021987i,0.0003105-0.0013405i,0.00093347-0.0015601i,0.0014352-0.00082946i,0.0010077+0.00018001i,0.00042568-9.151e-05i,0.00061583-0.00040053i,0.00029198-0.0003287i,0.00018495+2.6629e-06i,-0.00041646-0.00028462i
-0.00069344+0.0011307i,-0.0013081+0.0021051i,-0.0039032+0.0033374i,-0.0038116+0.0028546i,-0.002385+0.00081767i,-0.0023775-0.00055961i,-0.0022248-0.00031573i,-0.00052062+5.5476e-05i,0.00073763-0.00050674i,0.00079042-0.0016762i,-0.00055192-0.0022789i,-0.0019202-0.0015081i,-0.0022935+1.2416e-05i,-0.0018282+0.00061722i,-0.00079352+0.00056097i,-5.8837e-05+0.0012863i,0.00035093+0.0019011i,0.00055447+0.00021117i,0.00040045-0.00111i,8.6021e-05-0.00069404i,8.0998e-05+0.00044173i,0.00036738+0.00068412i,0.00027082+0.00032554i
-0.0026734+0.001834i,-0.0025645+0.00034955i,-0.0015815-0.0010088i,-0.0010958-0.00069815i,-0.0005825+0.00019394i,-0.00031839+0.00041927i,-0.00046915+0.0010404i,-0.00036049+0.0013455i,0.00021605+0.00063081i,-0.00066111-0.0004894i,-0.0022993-0.00084862i,-0.0028451-0.00060589i,-0.0022941+0.00023147i,-0.0016051+0.00079765i,-0.00073499+0.00054385i,0.00072976+0.00031994i,0.0011951+0.00011589i,0.00068783-0.00030335i,0.00020923-0.00079142i,0.00038489-0.0013072i,0.00017285-0.00097015i,-0.00013244-0.00075399i,2.3934e-05-0.00080032i
0.00092564-0.0021738i,0.0012156-0.0020484i,0.0026066-0.00068298i,0.0036377+0.00083823i,0.0028934+0.0012587i,0.0016229+0.001679i,0.0011301+0.0022006i,0.00090007+0.0019129i,0.00071281+0.00038837i,0.00066541-0.00018704i,0.00018935+0.0010713i,9.3534e-05+0.0022933i,0.0004923+0.0027622i,0.00050229+0.0027425i,-8.758e-05+0.0029103i,-0.00014382+0.0027597i,0.00090606+0.0015607i,0.00095991+0.0003283i,0.00038671-0.00012598i,-0.00030943+0.00023036i,-0.00041853+0.00027676i,-0.00023844+0.00040474i,-0.0010528+0.00012405i
