-0.00078483+0.0015642i,0.00044284+0.00025302i,-0.00020841-0.00063516i,-0.00073087-0.00021346i,-0.0013988+9.8404e-05i,-0.0022363+0.00010318i,-0.0021932+0.0012472i,-0.0016267+0.0018187i,-0.00013833+0.00099854i,0.0013182+0.00017426i,0.0012738+5.2016e-06i,1.2313e-05-0.00045371i,-7.0464e-05-0.0011322i,5.0874e-05-0.0012522i,-0.00060307-0.0003775i,-0.00065522+0.00044488i,0.00015625+0.00029754i,0.00059313+8.5808e-05i,0.00013107-0.00023067i,0.00022378+5.6819e-05i,0.00037721+0.00077238i,-2.1153e-06+0.0005662i,-0.00044663+0.00053768i
4.1957e-05+0.0012169i,-0.00086833+0.00094403i,-0.00016863+0.0017312i,-0.00061042+0.0013668i,-0.00067508-3.3141e-06i,1.8912e-05-0.00030563i,-0.00025596+0.00017815i,-0.00085698+0.0010267i,-0.00096991+0.00080797i,-0.00043123+1.7277e-05i,-0.0005891-8.1694e-05i,-0.00056632-0.00066054i,4.367e-05-0.00046065i,-0.00018917+6.8924e-05i,-0.00069849-0.00032454i,-0.0012735-0.00028005i,-0.00085423+4.6453e-05i,-0.00037805-0.00027946i,-0.00044934-0.00026259i,-0.00032116-0.00022902i,-2.4461e-05-0.00058549i,0.00025528-0.00086109i,0.00049822-0.00023901i
7.6792e-05-0.00038479i,-0.00059197-0.0010435i,3.7738e-05-0.00087341i,9.7203e-05-0.00063358i,-0.00046316-0.00060013i,7.9118e-06-0.00040142i,0.0009817-4.6788e-06i,0.00052773+0.0012412i,-0.00051819+0.0019884i,-0.00025293+0.00088618i,0.0008082+0.00041903i,0.00095125+8.9994e-05i,0.00023555-0.00068924i,-0.0008436-0.00055546i,-0.00078846+0.0003995i,-0.00043723+0.00042007i,0.00018528-0.0002972i,0.0005066-6.7218e-05i,0.00070471+0.00013272i,0.0010919-1.9817e-05i,0.0011294+0.00041317i,0.00072468+0.0010971i,0.00011902+0.0012284i
0.0011076+0.0018093i,0.00090827+0.00094246i,0.0026763+0.0006949i,0.0026754-0.00040489i,0.00088916-0.001177i,-0.00079943-0.0005811i,-0.0016851+9.2746e-05i,-0.00064646+0.00030148i,-0.00037844+0.00020921i,-0.00060377-0.00049945i,7.2686e-05-0.0010501i,0.00017514-0.00061824i,-0.00059919+0.00093218i,-0.00085382+0.0013776i,-0.0005783+0.00089076i,-6.2708e-06+0.00094697i,-4.8725e-05+0.0012535i,5.6472e-05+0.00064588i,-0.00029086-1.0381e-05i,-0.00068276+0.00014178i,-0.00050319-3.3894e-05i,-0.00014053-0.00031095i,-6.6265e-05-0.00042852i
0.00059128-0.00083443i,0.0016849-0.00075507i,0.0020392-0.00055825i,0.0019734-0.00093992i,0.0017076-0.0012816i,0.00090101+0.00034747i,-0.00092691+0.0018635i,-0.0015824+0.0012201i,-0.00012351+0.00036155i,7.1473e-05-0.00065965i,1.0769e-05-0.0012632i,0.00087448-0.0005057i,0.00035592+9.1321e-05i,-0.00013273+1.3851e-05i,-0.00020455+2.0113e-06i,-0.00020755+0.00040533i,-0.00027406+0.00069219i,-0.00053461+0.00013549i,-0.00029183-0.00020376i,0.00076229-0.00046814i,0.00082824-0.00048468i,-0.00014788+0.00010276i,-0.00037509+0.00064257i
0.00077141+0.0010291i,0.00015729+0.0010107i,-0.00012569+0.0013744i,5.6617e-05+0.00057377i,8.666e-05-0.00013408i,-0.00027545-0.00060204i,3.3633e-05-0.000384i,0.00059157+0.00030038i,0.00066124+0.0011888i,0.0011407+0.0010513i,0.00082544-7.8634e-05i,-0.0001517-0.00056605i,3.382e-05-0.0005038i,9.0243e-05-5.6766e-05i,-0.00060522+0.00056392i,-0.00045851+0.00068771i,-0.00013561+0.00072207i,-0.0006704-5.5702e-05i,-0.00040681-0.00028524i,0.00021405+0.00051703i,-0.00021418+0.00056236i,-0.00072744+0.00026922i,-2.4324e-05+0.00019297i
0.0020234-0.0028147i,0.0002357-0.0026347i,-0.000643-0.0034211i,-0.001427-0.0029226i,-0.0018082-0.00070011i,-0.0006656+0.00091009i,0.00010638+0.0010037i,0.00037787+0.0006722i,0.00070564+0.00031826i,0.0010017+0.00017415i,0.00097511+0.00029889i,0.00019841+0.00081745i,0.00025326+0.0011051i,0.00047411+0.00084484i,2.9723e-06-0.00060475i,-0.00062325-0.00061831i,-0.0010077+0.00090202i,-0.00068165+0.0014756i,-0.00055518+0.00045278i,-0.00063756-0.00051553i,-0.00033674-0.00073411i,-0.00039344-0.00055135i,-0.00059181-0.00041304i
-0.0027636-0.0017389i,-0.0034723-0.0012i,-0.0027569-0.0014037i,-0.0014297-0.00060201i,-0.00068533+0.0002076i,-0.00039838+0.00085348i,-0.00035802+0.0006285i,-0.00041381+0.00040642i,-0.00040179+0.0011563i,0.00013709+0.00093851i,0.00075102+0.00050693i,0.0012325+0.00039165i,0.0011666-0.00019713i,0.00034996-0.00022827i,-0.00016914-0.00054395i,-0.00041579-0.0003251i,-0.00052277+0.00021678i,-0.00032035-0.00017285i,-0.0006375+0.00021813i,-0.00096174+0.0004805i,-0.00033501+0.00043935i,-0.00022824+0.00045918i,-0.00046567+0.00010959i
0.0021683+0.00092917i,0.0032909+0.0011663i,0.0042927-0.00087994i,0.0039248-0.0026168i,0.002001-0.0024515i,0.00064216-0.0019408i,-0.00036437-0.0011752i,-0.00094152+0.00025724i,-9.146e-05+0.00075502i,8.4556e-05+0.00039243i,-0.00021841-0.00025602i,1.0274e-05-0.0003479i,-0.00016682-6.5142e-05i,-0.00016612+0.00033061i,9.9455e-05+0.00056019i,0.00010277+0.00031116i,-0.00034057+0.00019088i,-0.00045299+0.00013512i,-0.00049569+0.00030772i,-0.00104-0.00012221i,-0.00079794-0.00040993i,-0.00045776-0.00055949i,-0.0004672-0.00085577i
0.0024229+0.00039741i,0.0024846+0.0011254i,0.0026719+0.00076004i,0.0017915-3.0395e-05i,-0.00013653-0.00089214i,-0.0019737-0.00026102i,-0.0013652+0.00096433i,0.00034174+0.00071669i,0.00086108+0.00058525i,0.00011408+0.00048512i,-3.0584e-05-0.00030772i,0.00015231-0.00029312i,8.38e-05-0.00021856i,0.00048695+0.00045218i,0.00015147+0.0011267i,-0.00080899+0.00101i,-0.00072597+0.00017703i,-0.00033286-0.00064425i,-0.00078974-0.00043674i,-0.00071412+0.00014686i,-0.00028589+0.0004425i,-0.00015106-0.000302i,0.00019331-0.0005092i
0.0021481+0.0002316i,0.0013912-0.00045582i,2.3502e-05-0.0013825i,0.00038587-0.0018503i,-1.0283e-05-0.0016177i,-0.00048282-0.0017383i,-0.00063548-0.00041745i,-0.00070955+0.0012726i,0.00017833+0.00064828i,-2.2001e-05-0.00053444i,-0.00034065-0.001012i,0.00041127-0.00027212i,0.00039061+0.00049554i,0.00020482+0.00062299i,-0.00026478+0.0005328i,-0.00080022+0.0003858i,-0.00077396+0.00043008i,-0.0011018+0.001011i,-0.00086019+0.0010552i,0.0002284+0.00055255i,0.00010095-0.00080045i,-0.00035803-0.0013094i,0.000466-0.00030055i
-0.0011488-0.0011709i,-0.00093434-0.0017791i,-0.0012279-0.001861i,-0.00075364-0.00099057i,9.1357e-05+0.0002454i,0.00075409+0.0011204i,0.00040485+0.00084971i,3.0266e-05+0.00016491i,0.000252-4.4026e-05i,0.00094343-4.4072e-05i,0.0016705+0.00033096i,0.0011278+6.9527e-05i,0.00030503-0.00020924i,-0.00026226-7.6158e-05i,-0.00053331+4.4808e-05i,-0.00082683+0.00055149i,-0.0018751+0.00039829i,-0.0018315-9.8259e-05i,-0.0010015+0.00018213i,-0.00085806+7.4647e-05i,-0.00053138-0.00086316i,0.00018436-0.00073712i,0.00018628+9.65e-05i
-0.0010546+0.001122i,-0.00082932+0.00087302i,-0.00030091+0.00069677i,0.0005247+0.00085807i,0.0002181-0.00032709i,-0.00044492-0.00038827i,-0.00065024+9.5726e-05i,-0.00066377+0.00063302i,-0.00069602+0.00084676i,-0.00021496+0.00030921i,0.00057836-0.00019445i,0.00019301-0.00037114i,-0.000458+0.0001552i,-0.00061036+0.00019333i,-0.0010152-8.3957e-05i,-0.00078171+0.00038562i,-0.00074595+0.00074328i,-0.00072539+0.00034158i,0.00021134+0.0002934i,0.00055545+0.0005747i,0.0004623+0.00047055i,0.00036227+0.00025202i,0.00030108+0.00045373i
-0.0012285-0.00061502i,-0.0010708-0.00034821i,-0.00011855+0.00029576i,0.00085267+0.0013452i,0.001193+0.0011236i,0.00070982+0.00035173i,-2.0055e-05+0.00087545i,-2.4768e-05+0.0013736i,0.00014138+0.00080012i,0.00020123+0.00044889i,0.00034608-0.0001378i,0.00037967-0.00063484i,0.00027286-0.00053441i,-0.00013877-5.4004e-05i,-0.00065569+0.0004582i,-0.0011826+0.00062512i,-0.00014645+0.00079185i,0.00041318+0.00081019i,0.00034779+0.0010369i,8.0178e-05+0.0006896i,-0.0010303+0.00014626i,-0.0012717+0.00094661i,-0.00065442+0.0010815i
0.0029547+6.7339e-05i,0.002783-0.0003698i,0.0031536-0.0015367i,0.002479-0.0026607i,0.00069835-0.0026617i,-0.00032295-0.0017546i,-0.00010268-0.00123i,0.00041121-0.0016003i,0.0014474-0.0015345i,0.0016871-0.00091428i,0.00074579-0.00077321i,-0.00069332-0.00044588i,-0.001418+1.3251e-05i,-0.0015545+0.00044044i,-0.001285+0.00074734i,-0.00052853+0.00077517i,0.00031973+0.00072129i,0.00055798+0.00037836i,-0.00058193+0.00023062i,-0.0010847-0.0006584i,-0.00076685-0.0014436i,-0.00039134-0.0014563i,-2.5221e-05-0.0011115i
-0.0012222+0.00012818i,-0.0011871-0.00071995i,-0.00075397-0.0017888i,0.00027167-0.00199i,0.00097676-0.00069711i,0.00065843+0.00030775i,0.00019422+0.00062964i,-7.8531e-06-2.2273e-05i,-0.00018947-0.00022372i,6.0653e-05+0.00018734i,0.00043656-0.00024522i,0.0007183-0.00017527i,0.00037214+0.00033117i,-0.00044971+0.00071546i,-0.000746+0.0011131i,-0.00080576+0.00058527i,-0.00097706+0.00047687i,-0.00067978+0.0013605i,-0.00013972+0.0016719i,0.00014494+0.00060413i,0.00025326-0.00018722i,0.00010839-2.406e-05i,0.00040267+0.00018095i
0.00018673-0.0018669i,-6.9446e-05-0.0021403i,-0.00057718-0.00024779i,-0.00087347+0.0012065i,-0.00051895+0.00034344i,-0.00082432-0.00091815i,-0.00061695-5.6158e-05i,-3.3978e-06+0.00073603i,-0.00038403+0.00058163i,-0.00058727-0.00011303i,-0.0005309-0.00067325i,-0.00068297-0.00047398i,-0.00049865-0.00044648i,-3.8538e-05+6.2483e-05i,0.00021257+0.00094256i,-0.00012688+0.00026341i,-0.00047373-0.00059381i,-3.7286e-05-0.00038985i,0.00077778-0.00034315i,0.0011167-0.00043263i,0.00067385-0.00090087i,-5.8597e-05-0.001511i,-7.4496e-05-0.0012994i
-0.00022165+0.0013989i,-0.00048884+0.0012696i,-0.00027102+0.0017655i,0.0003971+0.00067617i,0.00171-0.00056591i,0.0016933-0.00036498i,0.00073206-7.4945e-05i,0.00047018+0.00053131i,0.00093386+0.00028874i,0.0013458-9.6085e-05i,0.00085867+0.00037496i,0.0001185-0.00037431i,-0.00073732-0.0012426i,-0.00091688-0.0011147i,-0.00068341-0.00020202i,-0.0004045+0.00077173i,0.00016772+0.00068118i,0.00019232+0.00096586i,0.00028661+0.0017046i,0.00024591+0.00091003i,2.7515e-06-0.0002449i,0.00047734-9.5697e-05i,0.00055236+0.00033516i
-0.00038888-0.00049692i,-0.00090667-0.0019925i,-0.00077408-0.0024807i,-1.8398e-05-0.0014605i,0.00080958-0.0010309i,0.00079665-0.00092295i,0.00066542-4.5135e-05i,0.00093313+0.00063417i,0.0010823+0.0007278i,0.00095994+0.00048583i,0.00047108+0.0008489i,0.00046666+0.0010506i,0.00040537+0.00033977i,-0.0007806+3.5504e-05i,-0.0015387+9.2379e-05i,-0.00096505+0.00071123i,-0.00032601+0.0012919i,-0.00032879+0.00094871i,-0.00071165+0.00040456i,-0.00074603-4.1167e-05i,-0.00022489-0.00046413i,-0.00023556+0.00013019i,-8.011e-05+0.00036315i
0.0023701-0.00038376i,0.002894-0.0010807i,0.0036992-0.001848i,0.0030992-0.0014278i,0.0013078-0.00051637i,0.00040582+0.00035087i,-4.0817e-05+0.0014781i,-0.00069582+0.0017893i,-0.00064105+0.0014352i,-2.5248e-05+0.00030742i,0.00066039-0.00064717i,0.00064498-0.00053569i,0.00038848-0.00016029i,-9.5422e-05-0.00031566i,-0.00067487-2.7976e-05i,-0.00063311+0.00033334i,-0.00022141+0.00079736i,-2.2071e-05+0.00045354i,0.00041307-0.00024635i,0.00089976+6.6766e-05i,0.00040832-7.0781e-05i,-0.00015187-0.00036377i,-0.00049915-0.00013814i
0.00049454+0.00071124i,0.00048015+0.0014959i,0.0012298+0.0014733i,0.0024718+0.00050149i,0.0017943-0.0003691i,0.00034939-0.00089177i,-6.3684e-05-5.2883e-05i,0.00046429+0.00038357i,0.0011458-0.00040849i,0.0012279-0.00070272i,0.00036659-0.00012153i,-0.00040766+0.00021919i,-0.00020942-0.00012216i,-0.00025446-0.00032063i,-0.00077024-0.00027514i,-0.00064202-0.0007754i,-0.00062529-0.00091615i,-0.00054244-0.00062007i,0.00016799-0.00040629i,-0.00018679+7.4891e-06i,-0.00067317+3.6494e-05i,-0.00073772+0.00079898i,-7.3641e-05+0.0012174i
0.0022917+0.0013408i,0.0023522+0.00010809i,0.0016721-0.0009612i,0.00047706-0.0012422i,-0.00022329-0.001838i,-0.00081486-0.001038i,-0.0011745-0.00016994i,-0.0012909+0.00030372i,-0.001134+0.0007178i,-0.00040033+0.00060155i,0.00023876+0.00013659i,0.00024212-0.00054013i,-0.00037847-0.00067122i,-0.00069167-0.00010252i,-0.00078759+0.00016896i,-0.00093238+0.00026151i,-0.00074329+0.00029721i,-0.0002898+0.00044267i,-0.0004799+0.00049262i,-0.00091153-1.7887e-05i,-0.00061346+1.6892e-05i,-0.00051458-9.002e-05i,-0.0010549-0.00046678i
0.00090625+0.00024568i,0.00075051+0.00026645i,0.00071533+0.00041825i,0.00063127+0.00016091i,0.00049969-0.00033197i,0.00023273+2.5019e-05i,0.00043198+0.00061755i,0.00069079+0.0002699i,0.00097697+0.00030686i,0.00064083+0.00051012i,0.00025804+2.0705e-05i,0.00029154-0.00028784i,0.00050298-0.00026793i,0.0002895-0.00043351i,-0.00027185-0.00050645i,7.6689e-05-0.00064963i,-0.00014662-0.00054582i,-0.00085725+4.8102e-05i,-0.0005774+0.00035576i,9.0499e-05-0.00010358i,0.00047192-0.0010441i,0.00045868-0.00075072i,0.00045315+5.6644e-05i
-0.0030158-0.00020483i,-0.0018797-0.0010318i,-0.00093028-0.00035657i,0.00074772+0.00048297i,0.0011696+6.9645e-05i,0.00020126-0.001092i,-0.00020473-0.00060723i,-0.00042216+0.00049996i,-0.00087105+0.0011934i,-0.00081496+0.00085186i,-6.964e-05-0.00052209i,0.00052697-0.001114i,0.00056299-0.00087034i,0.00065915-0.00079163i,0.00010463+5.6612e-05i,-0.00032561+0.00051645i,-0.00046005-1.0634e-05i,-0.00061362+0.00015235i,-0.0001699+0.00034263i,0.00035292-0.00020096i,0.00063313-0.00031095i,0.00047663-7.5155e-05i,0.00039338+0.00034656i
-0.0003036-5.9237e-05i,-0.00036478-0.0010599i,-0.00028765-0.0002098i,0.00021753+0.0019029i,0.00065804+0.0022443i,0.00066062+0.001362i,0.00014239+0.0013269i,6.3859e-05+0.0013334i,-0.00021474+0.0015774i,-2.9698e-05+0.00095957i,0.00042759-0.00024075i,0.00048512-0.00026875i,6.6083e-05+5.7513e-05i,-0.00031169-6.0507e-06i,-0.00064548+0.00048614i,-0.00049896+0.00049604i,-0.00035635+0.00024498i,-6.1197e-05+0.00049183i,0.00032091+0.00066632i,0.00068654+0.00035146i,0.00046377+2.3456e-05i,0.00010869+0.00023972i,0.00015061+0.00021767i
0.00041555-0.0011181i,0.00063044-0.00016974i,0.0010812+0.00051182i,0.00052273+0.00069906i,-0.00044685+0.00021932i,-0.00020981+0.00063944i,-0.00017077+0.0015041i,-0.00037272+0.00077297i,-2.6028e-05-0.00017321i,-0.00044955-0.00078025i,-0.00095275-0.00081207i,-0.00073909-0.00048885i,-0.00079759-0.00046891i,-0.0011691-0.00090961i,-0.0013444-0.0011271i,-0.00084064-0.00022128i,-0.00062022+0.00064188i,-0.00073197-1.6885e-05i,-0.00041431-0.00076631i,0.00030499-0.00027101i,0.0005151+0.00010849i,0.00051483+0.00036219i,0.00050437+0.0012442i
0.001224-0.00051312i,0.0005787-0.00074635i,0.0015371-0.0024496i,0.001089-0.0028408i,0.00013727-0.00233i,0.00021001-0.0009578i,7.7556e-05-0.00040348i,0.00014989-0.00031861i,0.00050572+0.00072967i,2.3523e-05+0.00046322i,-0.00020642-0.00093314i,-0.00052418-0.00086957i,-0.0007802-0.00025692i,-0.00060477-0.00026974i,-0.00080513-0.00068541i,-0.0007334-0.00059802i,-0.0011231+0.00033816i,-0.0011727+0.00080663i,-0.00039433+0.00048237i,-0.0005663-0.00018059i,-0.00080509-0.00017501i,0.00020648-0.00057511i,3.4508e-05-0.0011373i
8.2441e-05-0.0017376i,0.00057702-0.0024074i,0.00017412-0.0029575i,-0.00086129-0.0025635i,-0.00085249-0.0011984i,-0.00022813+0.0003027i,-0.00068134+0.00089906i,-0.001124+0.0011649i,-0.00012316+0.0008631i,0.00043246+0.00022467i,0.0007609+0.00018279i,0.00057559-0.00018989i,4.2807e-05-0.00059311i,0.00036394+0.00018296i,0.00039245+0.00066862i,0.00038792+0.00054599i,-3.6803e-05+0.00062948i,-0.00081112+0.00087174i,-0.00097354+0.00053076i,-0.00066041-0.00027884i,-0.00010972-0.00019993i,2.1665e-05-0.00031871i,0.00015381-0.00084983i
-0.0010591+0.00017336i,-0.0012098+0.0022263i,-0.00028258+0.0031459i,0.0016551+0.0017162i,0.0019481+0.0004072i,0.00096826-0.00020461i,0.00026187+0.00051441i,0.00040063+0.0018355i,0.00070678+0.0015656i,0.00061355+0.00055555i,0.00019332-0.0001487i,-0.00044183-0.0005394i,-0.00084647-0.00027817i,-0.00084456-0.00043486i,-0.00088951-0.00063347i,-0.00041387+1.2196e-05i,-0.00035335+0.00050711i,-0.00040664+0.00020988i,-0.00018591-0.00049807i,-0.00046456-0.00081275i,-0.0003178+4.9887e-05i,0.00020007+0.0002858i,-0.00071944-7.1417e-05i
0.00092275+0.00074084i,-0.00060703+0.00077533i,7.2749e-05+0.00070956i,0.00086822+0.00066167i,-7.05e-05-0.00029312i,-0.0014466-0.0012001i,-0.0016365-0.0010899i,-9.5934e-05-0.00074181i,0.0004853+0.00042528i,-8.6082e-05+0.00062753i,2.3874e-06+0.00011248i,-4.3356e-05+8.151e-05i,-0.00029444+0.00015718i,-0.00076427+0.00035096i,-0.00093311+0.00087361i,-0.00022263+0.00064555i,0.00013659+0.00029123i,-0.00027944+0.0010381i,6.3872e-05+0.00051682i,0.00051924-0.00061073i,7.3861e-05-0.00045311i,-0.00038962+0.00026578i,-0.00028968+0.0004776i
-7.7815e-05-0.0013648i,0.0010855-0.00098664i,0.00051362-0.0011421i,0.00043653-0.0015037i,0.0011769-0.00054816i,0.00092292-0.00062015i,-1.8596e-05-0.00023897i,-0.00049981+0.00089065i,-0.0003418+0.0005487i,0.00066264-0.00017506i,0.00025501+4.1386e-05i,-0.00093841-1.3266e-05i,-0.0010137-0.00024519i,-0.00061176-0.00084545i,3.7509e-05+3.8477e-05i,1.8089e-05+0.0009639i,-0.0006557-0.00018639i,-0.00069361-0.00029584i,-0.00058143+0.00035863i,-0.00080558-0.00036392i,-0.00044405-0.0010541i,-0.00037543-0.00070981i,-0.00058143-0.0001556i
0.0010524-0.00039781i,0.00094529+0.00021574i,0.0012101-0.00046068i,0.0016933-0.0017267i,0.00067968-0.0021602i,-0.00027855-0.00059557i,-6.2533e-05+0.0010558i,-0.00040589+0.00049939i,-4.018e-05-0.00080048i,0.00069575-0.00098038i,0.00065726-0.00011314i,0.0004222-0.00026761i,0.00015684-0.0006891i,-0.00022436-0.00014828i,-0.00048504+0.00070378i,-5.7901e-05+0.00079357i,-0.00017556+5.7308e-05i,-0.00053449-8.8629e-05i,-0.00048532+2.0381e-05i,-5.8166e-05-0.00039346i,0.00055149-0.00092479i,0.00012404-0.00087191i,2.9975e-06-0.00079384i
-0.00025417+0.001084i,-0.00032953+0.0012424i,2.2038e-05+0.0019227i,0.00068922+0.0018335i,0.00082665+0.00075902i,0.00044886-1.4784e-05i,1.4446e-05+0.0003088i,-0.00074546+0.00070203i,-0.00035915+0.00070519i,0.00047258+6.7128e-05i,0.0011681-0.00083226i,0.0010478-0.00028324i,-0.00012983-0.0008341i,-0.00046108-0.0015643i,-0.00047397-0.0012606i,-0.00056087-0.0012318i,-0.00097517-0.00095933i,-0.0010839-0.00069152i,-0.00049159+3.591e-05i,-0.00020265+4.9724e-05i,-0.0006088-0.00036716i,-0.00036188-0.00036093i,8.531e-05-0.00012768i
0.00029016+0.0004497i,0.00041483+0.00069534i,0.00064997+0.0014937i,0.0020866+0.0015588i,0.0025219+0.00038878i,0.0010101-0.0010104i,-0.00037297-0.00079826i,-0.00039931-0.00050917i,0.00088367+0.00053639i,0.0015373+0.0010363i,0.00061115+0.00019341i,8.7847e-05-0.00054368i,0.0005657-0.00044668i,0.00043653-3.1283e-05i,0.00014064+0.00039378i,-0.000375+0.00040326i,-0.00081283+0.00080335i,-0.00072928+0.0011433i,-0.00015128+0.00015374i,0.00071251-0.00033473i,0.00068642-0.00042018i,0.00070702-0.00012011i,0.00051974-0.00019515i
0.0022053-6.3318e-05i,0.0015702+3.058e-05i,0.00088599+0.00013271i,0.00045188-0.00076659i,0.00033695-0.00072706i,-0.00022967-0.00035103i,-0.00098986+0.00019213i,-0.00012124+0.00078099i,0.00071175+0.00024045i,0.00095922-0.0011638i,0.00070186-0.0010341i,0.00018734-0.0003002i,3.2484e-05+0.00013509i,0.00023164+0.0002592i,-0.00037025-0.00034731i,-0.0014912-0.00017116i,-0.0010869+0.00083118i,-0.00025523+0.0013114i,0.00040409+0.0011226i,0.00079359+0.00092134i,0.00069867+0.00047129i,0.00063506+0.0002623i,0.00055152+0.00085886i
-0.00090097-0.0016024i,-0.00090666-0.0010899i,9.9956e-05-0.00083029i,0.00088905-0.00032112i,0.0008936+0.00083893i,0.0013361+0.0015762i,0.00021737+0.00057792i,-0.00077889-0.00010182i,-0.00058599+0.0004127i,-0.0002529+0.00013959i,-0.0001586-0.00076223i,2.8365e-05-0.00080431i,0.00078631-0.00021224i,0.0010797+0.00045046i,0.00037562-6.9282e-05i,-0.00030725-0.00043043i,-0.00066294+0.00013576i,-0.00043067+0.00025154i,0.00029732+0.00080855i,0.00074488+0.00048723i,0.00076794-0.00077958i,8.8581e-05-0.001321i,-0.00063345-0.00095247i
-0.0023123-0.00096641i,-0.0025653-0.00058595i,-0.0029319+0.00067425i,-0.0017889+0.0018165i,-0.00059799+0.0017383i,0.0005627+0.00066195i,0.00049982-0.00073911i,2.7925e-07-0.0008229i,-0.00015063+1.2389e-05i,-5.6124e-05+0.00050317i,0.00013369+0.00016198i,0.0010284-0.00051572i,0.0014934-0.00039872i,0.00067033+0.00027657i,9.641e-05+0.00082851i,-0.00017278+0.00049471i,-0.00061635+0.00035636i,-0.00094183+0.00035327i,-0.00080687-0.0006868i,-0.0007351-0.00070424i,-0.00056425+0.00025879i,-0.00032362+0.00086424i,-0.00043371+0.0002922i
0.0013027+0.0003754i,0.00047811+0.00063734i,0.00074527-0.00038086i,0.0016742-0.0014676i,0.0014394-0.00095774i,9.1094e-06-0.00037691i,-0.00047758+0.00050001i,-0.00030632+0.0016503i,9.3555e-05-6.4036e-06i,0.00021825-0.00099069i,-5.9102e-05-0.0002683i,0.00050312+0.00013779i,0.00079749-1.2538e-05i,-9.4413e-05+9.6502e-05i,-0.00049967+0.00052793i,-0.00037032+0.00062427i,-0.00085752+0.0006024i,-0.00073956+0.00033707i,-0.00042187+4.6691e-05i,-1.7589e-06+0.0004583i,0.00057578+0.00060296i,0.00041811+0.00014555i,0.00042789+0.00047551i
0.0024555-0.00058505i,0.0032533-0.00088083i,0.0025728-0.0014536i,0.0021454-0.0011763i,0.0014803-0.0012464i,0.00036371-0.00090703i,-6.0073e-07-6.3479e-05i,0.00021089+2.5798e-05i,0.00092633-0.00013496i,0.00090194+0.00045765i,0.00026388+0.00050073i,2.9561e-05+0.0002769i,-0.00043237+0.00025118i,-0.00077676+0.00040688i,-0.0005669+0.00048108i,-0.00044049-1.1603e-05i,-0.00036643-0.00054717i,-3.1538e-05-0.00074264i,-0.00036971-0.00078766i,-0.00065265-0.00061825i,-0.0007609-0.00017292i,-0.00068798+0.0004606i,-0.00040619+0.00014528i
-0.0023257-1.5468e-05i,-0.0008429-0.00017903i,-0.00032572+0.00098396i,-0.00045878+0.0006772i,4.205e-05+0.00072312i,-8.4024e-05+0.00050779i,-0.00035195+0.00046435i,-0.00073762+0.00097002i,-0.00062784+0.00076243i,-8.4034e-05+0.00071057i,0.00050094+2.1082e-05i,0.0008972-0.00022414i,4.7907e-05-0.00011493i,-0.000855-0.00023313i,-0.0010993+0.00019197i,-0.0010115+0.00019194i,-0.00073291-7.3259e-05i,-0.0003798-0.00037397i,-0.00010727+0.00015829i,-0.00011888+0.00054103i,0.00012138-0.00018008i,0.000327-9.5395e-05i,2.1183e-05+0.00018955i
0.0010312+0.0013296i,0.00062667+0.0015667i,0.00024765+0.0016901i,0.0014108+0.00042342i,0.0023995+9.3226e-05i,0.0012958+0.00069652i,5.3375e-05+0.0010988i,-0.00031346+0.0010686i,-0.00022508+0.00043506i,0.00014148-0.00038382i,-0.00019298-0.00079219i,-0.00094458-0.00088352i,-0.0012592-0.00077655i,-0.0010241-0.00059307i,-3.9626e-05-7.9411e-05i,-0.00030099+0.00053046i,-0.00084093+0.00018351i,-0.00021874-0.00014876i,-3.7793e-05+0.00020272i,-0.00013819+0.00065874i,-8.7104e-05+0.00068586i,-0.00027535+0.00042369i,-0.00050817+0.00040684i
0.0023888-0.00020693i,0.0015516-0.00038805i,0.00076442-0.00088852i,0.0012293-0.0013528i,0.00072365-0.0013523i,-0.00072704-0.001254i,-0.00080648-0.00053772i,-0.00010833+0.00061645i,7.9301e-05+0.00077973i,-0.00024457-0.00017028i,-0.00046338-0.0010695i,-0.00068503-0.00067174i,-0.00094936+0.0007637i,-0.0013458+0.00088437i,-0.00077567+0.00071822i,0.00013087+0.00056502i,0.00040177-0.00034451i,-0.00053844-0.00064362i,-0.0012076+3.1233e-05i,-0.00032004+0.00059557i,8.7635e-05-6.9313e-05i,-0.00060127-0.00025547i,-0.000751-0.00023725i
-0.00029884-0.00094314i,0.00065377-0.0013678i,0.0012377-0.00062626i,0.0014771-0.00082067i,0.0013469-0.00032121i,-0.00022191+0.00016357i,-0.00088485+0.00059106i,-0.0007307+0.00090232i,-0.0002908+0.00013361i,-6.2427e-05-0.00036872i,0.00023054-0.00026918i,-4.5945e-05-0.00017961i,-0.00070061-0.00019564i,-0.00088742+0.00041319i,-0.0011475+0.0007304i,-0.0014389+0.0010611i,-0.001128+0.0016097i,-0.00033025+0.0010311i,-3.7082e-05+0.00041331i,0.00022402+1.996e-06i,0.0001391-0.00069488i,-0.00020495-0.00070877i,0.00029583-3.2948e-05i
