-0.0053304+0.00089299i,-0.0037869+0.0022369i,-0.0034595+0.0042354i,-0.001917+0.0046724i,-0.00054108+0.0043403i,0.00017587+0.0040564i,0.00010146+0.0030827i,0.00030201+0.0023736i,0.0013508+0.0027528i,0.0015102+0.0018872i,0.001341-0.00037436i,0.0011664-0.0012015i,0.0001745-0.0012071i,-0.00066877-0.0015917i,-0.0011167-0.00097069i,-0.00091178-0.00010452i,-0.00011254-1.6489e-05i,0.00045094+0.00039589i,0.00046951+0.00020677i,0.00053175-0.00069588i,0.00045211-0.0012182i,-6.8828e-05-0.00094708i,-0.00068475-0.0005109i
-0.0012306-0.00040008i,0.0010608-0.0010538i,0.0028161+0.00051813i,0.0027589+0.00096607i,0.0026148-1.1857e-05i,0.0016846-8.6078e-05i,0.00098777+0.00033468i,0.00032925+0.00064379i,0.00037401+0.00092472i,0.0014785+0.00041597i,0.0016924-0.00026746i,0.00052345-6.9612e-05i,-0.00075655+0.00036861i,-0.00045747+0.00017825i,8.3474e-05-7.5395e-05i,-0.00036766+9.2769e-05i,-0.00026039+2.8974e-05i,0.00042336+0.00034911i,0.0006814-0.00018498i,-0.00011307-0.0008213i,-0.0010912-0.00040616i,-0.00063053+0.00060415i,0.00041894+0.00086129i
0.0013313-0.0001959i,0.0014696-0.00036058i,0.0011557-0.00099315i,5.7071e-06-0.00073427i,-0.00083897+0.00012859i,-0.0015531-0.00015198i,-0.0016609-5.7889e-05i,-0.00063011+0.00016323i,0.00078875-0.00034505i,0.0011687-0.0004841i,0.00079725-1.6104e-05i,0.00059586+7.3139e-05i,0.00052674-0.00090408i,0.0005759-0.001366i,0.00071784-0.0010684i,0.00063502-0.0011564i,0.00033514-0.0010457i,-0.00022191-0.0001578i,-0.00065208+0.00031313i,-0.00043182+0.00025472i,-0.00025962+7.9304e-05i,-3.094e-05+0.00038078i,5.6569e-05+0.00064971i
0.00070471-0.0008711i,0.001363-0.0016025i,0.0015964-0.0021799i,0.0002225-0.0018073i,-0.00089289-0.0014087i,-0.0014653-0.00067555i,-0.00096106-0.0002565i,7.0923e-05+0.00025432i,0.00076349+0.00024502i,0.00095879-0.00012674i,0.0007667+9.767e-05i,0.0001134+0.00059523i,-0.00065197+0.00063818i,-0.00079175+0.00070187i,-0.00017792+0.00059572i,0.00013237+0.00066086i,-7.6343e-05+0.00064093i,0.00039531+7.0536e-05i,0.00047364-0.0010409i,-0.00012079-0.0008594i,-4.6923e-05+0.00041764i,0.00025154+0.00098388i,0.00048504+0.00036737i
-0.0005849-0.0023267i,0.0002026-0.0032227i,-0.00014332-0.003868i,-0.00046519-0.0030926i,-0.00084719-0.0013296i,-0.0016075+0.00010312i,-0.00086025+0.00035055i,8.9114e-05+8.4314e-05i,0.00048949+0.00025603i,0.00096799+0.00084044i,0.00066703+0.00066784i,0.00044962+0.00018346i,0.00077166+0.00028873i,0.00043775+0.00022529i,0.00065947-5.6477e-05i,0.00087573-5.6815e-05i,-0.00025768+0.00022737i,-0.00093911+0.00043258i,-0.00038836+0.00023958i,5.6451e-05-0.00012063i,3.5144e-05+0.00023384i,-0.00015761+9.8706e-06i,-8.5618e-05-0.00029103i
-0.00051835+0.0013773i,-0.00016486+0.00080164i,0.00058583-0.00057012i,0.0015371-0.0016408i,0.00038895-0.0016178i,-0.00075564-0.0010807i,-0.00015808-0.0012134i,0.00053439-0.00076854i,0.00039765-5.1396e-06i,0.00040622-0.00042241i,0.00057991-0.00098782i,-8.1147e-05-0.00012924i,-0.00081423+0.00078647i,-0.00051054+0.00064349i,-9.9028e-05-0.0001288i,-0.00021427-0.0011328i,6.6429e-05-0.0019051i,0.00078348-0.0016915i,0.0010451-0.00063897i,0.0001542+0.00036218i,-0.00046731+0.00038825i,-0.00028044-0.00021019i,-0.0003782-0.00039931i
0.00051893+0.00046453i,0.0018593+0.0016001i,0.003142+0.0023623i,0.003016+0.0013324i,0.0024768-6.4228e-05i,0.0006708-0.00031542i,-0.00058586-0.00022983i,-0.00012767+0.00015688i,0.00082874+0.00056985i,0.0011082+0.000768i,0.0010882+0.0010913i,0.00060937+0.00065829i,2.5837e-05+1.8962e-05i,0.00016152+0.00033738i,0.00054903+0.00096283i,0.00020288+0.0011173i,-0.00082485+0.0004698i,-0.0011854+0.00025362i,-0.00045319+0.0004889i,-0.00013422-1.9187e-05i,-0.00035738-0.00032657i,-0.001014-6.9086e-05i,-0.0013444-0.00017574i
1.7705e-05-0.00022684i,0.00084543-0.00083357i,0.0015678-0.00092121i,0.0008464-0.00085285i,0.00033772-0.0015242i,0.00012771-0.00068131i,-4.4073e-05-8.1657e-06i,-8.5632e-05+0.00012921i,0.00013344-4.5049e-05i,0.00070869-0.00068928i,0.001123-0.00081741i,0.00012914-5.0842e-05i,-0.00054918+0.00021023i,-0.00036775+0.00041782i,-0.00072102+0.00038033i,-0.00071202-0.00045732i,-0.00041028-0.00099739i,4.7919e-05-0.00074183i,0.00072534+0.00011911i,0.00046297+0.00053724i,0.00071232+0.00064382i,0.0011155+0.00065071i,0.0010063+0.00048986i
-0.0020397+0.0011572i,-0.0015224+0.00013418i,-0.0013988-0.00024036i,-0.00081344+0.00011601i,-0.0006323+0.00023424i,-0.00088805-0.00013275i,-0.00044353+0.00050676i,-0.00022745+0.00047322i,0.00045011+0.00031104i,0.0009882-0.00076628i,0.00081698-0.0016759i,0.00051579-0.00038191i,0.00040323+0.00089981i,0.00076571-5.809e-06i,0.00074209-0.0005671i,0.00058975+0.00044075i,0.00015141+0.00099084i,-0.00035149+0.0003321i,-0.0011239+0.00047063i,-0.00061007+0.00052147i,0.00049416-1.2546e-05i,0.00019284+8.9985e-05i,-0.00040945+9.9904e-05i
0.00032901+0.00068368i,0.0011738+0.0014553i,0.0011299+0.0012066i,0.0018507+0.00059693i,0.0022192+0.0007103i,0.00076407+0.00086547i,0.00023509+0.0004806i,0.00049954-5.2641e-05i,0.00016612-0.00049631i,0.00045665-0.00011369i,-0.0001046+5.5944e-05i,-0.00054418-0.00039622i,-6.6486e-05+1.4157e-05i,-0.00076802+0.00060968i,-0.0012988+0.00055918i,-0.00097366+0.00084658i,-0.00027433+0.00080778i,0.00056591-0.00016123i,0.0008266-0.00035134i,-2.1622e-06+0.00011044i,-0.0004786+0.0011236i,-0.00047851+0.0012962i,-0.00044339+0.00030375i
-0.00063184-0.0012936i,-0.0010254-0.00098754i,-0.0007342-0.00072508i,1.5091e-05-0.00042657i,-0.00035784+0.000498i,-0.0006422+3.0094e-05i,-8.0336e-05-0.001007i,0.00080018-0.0009499i,0.0016367-0.00050525i,0.002116-0.00085657i,0.0018106-0.00039847i,0.0010535-0.00017707i,0.00043069-0.00074738i,0.00022181-0.00093298i,0.00071244-0.0007172i,0.0010404-0.00020891i,0.00074824+0.00012787i,0.00058499-0.00033407i,0.00021335-0.00065295i,-0.0002643-0.00068776i,0.00018446-0.00081774i,0.00055866-0.00031713i,0.0004924+0.00041289i
0.00074809-0.00047873i,0.00036227-0.0015679i,-3.8671e-05-0.0026669i,-0.00023038-0.0019919i,-0.00035797-0.00089684i,-0.00086443-0.00029248i,-0.0010196-0.00031349i,-0.00073187-4.6574e-05i,0.00019105+0.00056615i,0.0010474+0.00011698i,0.00076913-0.00066567i,0.00038566-0.00082442i,8.3203e-05-0.00014966i,-5.4043e-05+2.2787e-06i,0.00012372-0.00012875i,-0.00041864+6.8552e-05i,-0.0011232-0.00020187i,-0.0011407-0.00016868i,-0.00084603-0.00056751i,-0.00047155-0.00057463i,-0.00049705+0.00015087i,-0.00011421+0.00064967i,-8.9961e-05+0.00047901i
0.00060019-0.00078773i,0.00024976-0.0019711i,-0.000302-0.0028499i,0.00039413-0.0023999i,0.00073131-0.00081677i,7.3974e-05-0.0002224i,-0.00012434-0.00038649i,2.5473e-05+9.57e-05i,0.00089335+0.00041405i,0.0013199+7.0701e-05i,0.00055601+0.00041963i,0.00019+0.0010147i,-0.00031749+0.00040941i,-9.5725e-05-0.00013007i,0.00082036-0.0004888i,0.00063666-0.00076384i,0.00047838-0.00081676i,2.7142e-06-0.00076022i,-0.00022626-0.0010936i,0.00012409-0.00091312i,0.00015845+0.00011926i,0.00060202+0.00092243i,0.0011146+0.0004064i
-0.0020783-0.00010646i,-0.00025024+0.00019739i,0.001114+0.00081069i,0.0015134+0.00091024i,0.001277+0.00049203i,0.0012404-1.9574e-05i,0.0008696-8.4066e-05i,0.00016372+0.00032977i,-8.5036e-05+0.0004381i,0.00095288+9.4409e-05i,0.0021843-1.9206e-05i,0.0014485-3.0391e-05i,-0.00013991+5.2908e-05i,-0.00079678-0.00022398i,-0.00057539-0.00057891i,-0.0010283-0.00041506i,-0.0009925-0.00022136i,-0.00030966-1.3816e-05i,0.00025525+0.00042755i,0.00026522+0.00030745i,8.5056e-05+0.00014629i,-5.0819e-05-6.176e-05i,0.00052459+3.2317e-05i
-0.0024542-0.0011841i,-0.0027138+0.00015557i,-0.0024295+0.0021118i,-0.0019887+0.003015i,-0.0012574+0.0019832i,0.00027638+0.00081437i,0.00017059-0.00010105i,3.454e-05-0.00070488i,5.9536e-05-0.000624i,0.00091104-0.00013243i,0.0019611+0.00027347i,0.0018701-0.00037306i,0.0019015-0.0004823i,0.0015919-2.7784e-05i,0.00011619+5.8023e-05i,-0.00044299-0.00032424i,-0.00030275-0.00035444i,-0.00044395-6.4325e-05i,-0.00016518-0.00035892i,9.1307e-05-0.00065195i,-0.00063438-0.00047334i,-0.0008049-0.00065282i,-0.00063389-0.0006138i
0.0012187-0.0026159i,0.0012423-0.0027072i,0.0009078-0.0026133i,-0.00080601-0.0030726i,-0.0020987-0.0021149i,-0.00087868-0.0010369i,0.00063625-0.00071226i,0.0010698-0.00072877i,0.001225-0.00064703i,0.0010109-0.00055635i,0.00081974-0.00029607i,0.0003425-0.00045299i,0.00047673-0.0005542i,0.0013554+7.5884e-05i,0.0011375+0.00027315i,0.00080106+0.00038828i,0.0007556-2.3324e-05i,0.00069766-3.6193e-05i,0.00055762+5.7014e-05i,-4.4356e-05-0.00025879i,-0.00015809-0.00022778i,0.00013484+0.00057606i,-0.00047271+0.00016062i
0.00073444-0.0021617i,0.0004844-0.0030104i,-0.0009818-0.0029042i,-0.0018541-0.0020928i,-0.0020333-0.0010534i,-0.0016162+9.5281e-05i,-0.0010794+0.0004083i,-0.00047606-0.00051637i,0.00052858-0.00093998i,0.0008934-0.00017886i,0.00027011+0.00030247i,0.00048431+0.00034573i,0.00048178+0.00045249i,-0.00023937+0.00013091i,-0.00046893-0.00032457i,-0.00064455-0.00050717i,-0.00081776-0.0006664i,-0.0010553-0.0011996i,-0.00029329-0.0010459i,0.00016044-0.00017826i,0.00013464+8.6252e-05i,6.6515e-08+0.0002298i,-0.00048759+0.00020264i
0.00061171-0.00044391i,0.0010611-0.0011776i,0.0013816-0.0021859i,0.0011233-0.0020766i,0.00067271-0.00097417i,-0.0005453+1.6917e-05i,-0.0010942+0.00032425i,-0.00034743+0.00058311i,0.00062761+0.00016137i,0.0013298-0.00074698i,0.0010447-0.0012203i,6.1207e-06-0.0011422i,-0.00049335-0.0010334i,-0.00015431+0.00016772i,0.00055722+0.00066322i,0.00045277-3.794e-06i,-0.00017495+9.5736e-05i,-0.00019363-2.8839e-05i,0.00044166+0.00011107i,0.00077806+0.00017354i,0.00036268-0.00043024i,0.00044546-0.00020735i,0.00045619+0.00016058i
-0.00013714-0.0009585i,0.00055262-0.00088194i,0.00085122-0.00080764i,0.00096595-0.00095062i,0.00041165-0.0014109i,-0.00049145-0.0013027i,-0.00049434-0.0015701i,-0.00034254-0.0012301i,0.00051291-0.00060426i,0.0014275-0.00023573i,0.00092936+0.00038122i,-0.00018814+0.00063027i,-0.00055943+0.0012129i,0.00011795+0.00062503i,0.00032832-0.00015735i,0.00076016+0.00037682i,0.0011665+0.0003414i,0.00063229+0.00010121i,-0.00025308+0.00046202i,-0.00065363+0.00031034i,-0.00041615+0.00030602i,2.5688e-05+0.00077354i,0.00036488+0.00089287i
-0.001667+0.00059266i,-0.00097956+0.0010123i,-0.00049307+0.0013064i,-7.2738e-05+0.00091927i,0.00021127+9.9392e-05i,0.00040661-0.00033729i,4.9397e-05-6.1877e-05i,0.00023446+0.0006937i,0.00073667+0.0013084i,0.0010068+0.00085708i,0.0010274+0.00080376i,0.00074804+0.00072418i,0.00019924-5.9645e-05i,0.00034059+0.00038894i,0.00018501+0.00044145i,-0.0002484-3.4214e-06i,7.6633e-05-0.00051964i,-0.00023217-0.00056017i,-0.00077792-0.00012422i,-0.00025592+6.6342e-05i,-0.0001661+3.2152e-05i,-0.00043488+0.00043424i,0.0001313+0.00074384i
5.0028e-05+0.0015476i,0.0024925+0.00041037i,0.0025003+0.00065057i,0.0022383+0.0012257i,0.0021121+0.00033958i,0.001358-0.00070735i,0.00042014-0.00073444i,0.00034954-0.00040393i,0.00068224-0.00035798i,0.00081419-0.00025954i,0.00074533-0.00069712i,0.00063766-0.001067i,3.4723e-06-0.00024876i,-0.00014845-1.7876e-05i,0.00027326-0.00043368i,-9.4369e-05-0.00080895i,-2.7224e-05-4.2276e-05i,-0.00032237+0.00011711i,-0.00046581-0.00059807i,-6.847e-05-0.00057373i,-0.00031536-0.00025422i,0.00018051+0.00016804i,0.00066648+0.00076951i
0.00037964-0.00098013i,0.00039732-0.00082177i,0.00077665-0.0013287i,0.0016837-0.00085585i,0.0012759+0.00020599i,0.00049066+0.0012153i,9.5202e-05+0.00097738i,0.00013995-0.0007442i,0.00084525-0.0014376i,0.00095505-0.00081691i,0.00049268-0.00043243i,0.00090493-0.00021747i,0.0016428-0.00038122i,0.001343-0.00028912i,0.0001193-0.0005746i,5.1503e-05-0.0012816i,0.00066365-0.0010343i,0.00041548-0.00079017i,3.1551e-05-0.00090465i,-0.00021268-0.00041451i,-0.00086537+9.421e-05i,-0.0012293+0.00011851i,-0.00079878+0.00034317i
-0.0012556+0.0015491i,0.00044323+0.0013021i,0.0012963+0.00089361i,0.00080384+0.00069583i,-5.7029e-05+0.00017163i,-0.0010632-0.00039755i,-0.00097578+0.00056586i,-0.0005996+0.0011563i,-0.00020166+0.0010766i,0.00058475+0.00073086i,0.0011547-0.0001983i,0.00085868-0.00042194i,0.00025899-0.00039335i,-0.00059159+0.00019596i,-0.0012263+0.00051449i,-0.0006817-0.00078734i,2.7078e-05-0.0012424i,0.00024529-8.1936e-05i,-0.00036522+0.00025814i,-0.00037127-0.00020013i,-0.00051139-0.00062148i,-0.0011811-0.00064632i,-0.00060633-0.00038384i
0.0002286+0.00035406i,0.00057509-0.00063266i,0.0010961-0.0011107i,0.00064646-0.00028962i,-0.00050554+0.00032897i,-0.00084993+0.00028699i,8.1529e-06-0.00014894i,0.00060612-4.1009e-05i,0.00039438+0.00027217i,0.00053208+4.3903e-06i,0.00081909-0.00027919i,0.00098733+0.00028347i,0.0015536+0.00050514i,0.0012988-0.00061451i,0.0006145-0.00088603i,0.00023189-0.00040766i,0.00016076+0.00010175i,-0.00020283-0.00021534i,-0.00027018-0.00043718i,-0.0006305-0.00012534i,-0.00051703-0.00075074i,0.00016647-0.0010544i,0.00031604-0.00020083i
0.0012651+0.00069626i,0.0014697-0.00041852i,0.0019957-0.0013982i,0.0020088-0.0020885i,0.0015293-0.0026396i,0.00090849-0.002541i,0.00027782-0.0017026i,4.7281e-05-0.00056482i,0.00073623+0.000622i,0.0013515+0.00053211i,0.001602-0.00022312i,0.0010066+3.0828e-05i,3.7943e-05+3.4624e-05i,-8.0982e-05-0.00069249i,-9.2678e-05-0.00080359i,0.0003916-0.00020476i,0.0011605-0.00036167i,0.00057924-0.0008787i,-0.00032281-0.00038013i,-0.00023239+0.00015284i,3.8699e-05+0.0002463i,0.00063172+0.00020363i,0.0014103+0.00035432i
-0.00091374-0.0010233i,-0.0012345-0.00062704i,-0.00092947-0.00076381i,0.00081213-0.00081775i,0.0011626-0.00010921i,0.00030003+0.00024438i,-0.00012116-0.00051834i,7.7204e-05-0.00032033i,0.00026327+0.0002369i,0.0001248-5.5139e-05i,-0.00012324-0.00032367i,-0.00057152-0.00024528i,-0.00068061+1.5067e-05i,-0.00043544+0.00015467i,-0.00015237-0.00037167i,1.6051e-05-0.00065662i,0.00018441+0.00051116i,-0.00010455+0.00066851i,-0.00086729-0.00034356i,-0.0012162+0.00013646i,-0.0012639+0.0011407i,-0.00089352+0.0010958i,-0.00015652+6.1472e-05i
0.00056151+0.002227i,0.0012912+0.0012806i,0.0027427+0.00024498i,0.0020968-0.0009574i,0.00070428-0.0019014i,0.0004316-0.0018425i,0.00015048-0.00167i,4.0198e-06-0.00056996i,0.00099612+0.00064505i,0.00098239+0.00049844i,6.9566e-05-0.00025602i,-0.0006292-0.00023006i,-0.0010352+4.5321e-05i,-0.0006825+0.00043671i,-5.1099e-05+0.00068495i,-3.1599e-05+0.00091503i,-0.0006266+0.00039519i,-0.00034481-0.00021954i,-0.00010424+0.00016132i,-4.9967e-05+0.00021944i,0.00019579+0.00017344i,-4.8234e-05+0.00023626i,-0.00060641+0.00084605i
-0.00097769-0.0011184i,-0.00084341-0.001302i,-0.00075721-0.0018781i,-0.00091869-0.0019926i,-0.00097142-0.00030326i,-0.0001957-2.4472e-05i,-7.2175e-05+0.00011671i,-0.00099363+0.00011295i,-0.00053452-7.3043e-05i,0.0010504-0.00036183i,0.0012648-0.00042433i,0.0002079-0.00012004i,-0.00031011+0.00024426i,0.00014906+0.00075191i,8.5627e-05+0.0013779i,0.00013127+0.0010519i,0.00028623-9.4863e-05i,0.00010977-0.00012277i,0.00015918+0.00058233i,-1.4891e-05+0.00033728i,-0.00043176-4.1371e-05i,-0.00036283+0.00074247i,-0.00028367+0.0013318i
0.00084479-0.00071483i,0.0012006-0.00016646i,0.00097298-0.00089826i,0.00069934-0.001135i,0.00028702-0.0009623i,-0.0011256-0.00021363i,-0.0021757+0.00024674i,-0.00081138-0.0001508i,0.00072295-0.00031973i,0.00046417+0.00011478i,0.00024082-0.00015433i,0.00049945-0.00025624i,0.00051338+0.00028457i,0.00045327+0.00067651i,0.00013797+0.00016357i,-0.0006725-0.0004883i,-0.00079068-0.00054899i,-0.00025445-0.00036034i,0.00014354-0.00028649i,-0.00016359-0.00028302i,-1.5341e-06+0.00062913i,0.00026959+0.0013058i,0.00049717+0.00073174i
-0.00065366-0.0012192i,-0.00014477-0.0016115i,-5.6049e-05-0.0014687i,-0.00043863-0.0017579i,-0.00044002-0.0011562i,-0.00039036-0.00031749i,1.1872e-05-3.4585e-05i,0.00099304+0.00033966i,0.001576+0.00088884i,0.0013594+0.0011115i,0.0010614+0.00033486i,0.00072597-0.00036327i,0.00046281-0.00048131i,-1.8234e-05-0.00015356i,-0.0011595+0.00027849i,-0.0010393-0.00019211i,-0.00056885-0.0012451i,-0.00037953-0.0014476i,5.8232e-05-0.00072204i,-0.00011105+0.00053628i,-0.00048602+0.00064788i,-9.8873e-05+0.00043325i,0.00010154+0.00073596i
0.00032373+0.0020179i,0.0010475+0.00019061i,0.0027811-0.0013866i,0.0025389-0.0020093i,0.00044767-0.0025462i,-0.00070586-0.0027437i,-0.00020323-0.0023863i,0.0007478-0.0012588i,0.001654-0.00058024i,0.001449-0.00093848i,0.00066691-0.0007847i,0.00048438-0.00040301i,0.00049698+0.00023215i,0.00070525+0.00011966i,0.00073126-9.731e-05i,0.00034408+8.5292e-05i,-0.00011691-0.00062175i,-0.00049851-0.00086843i,-9.1871e-05-1.311e-05i,0.0003289+0.00024772i,-0.0002591-2.7889e-05i,-0.00048575-0.00019499i,-0.00028982-2.402e-05i
-0.00071854+0.00051572i,-0.00038965+0.00067338i,0.00039595+0.0018582i,0.00071679+0.0020034i,0.00057966+0.000645i,0.00071929-0.00063429i,0.00043527-0.0014373i,-0.00019398-0.00066289i,0.0003379+0.00016705i,0.0010106+0.00025495i,0.0005584+0.00025108i,-6.2424e-05+0.00030036i,0.00010102-3.7854e-05i,-0.00031032-0.00031672i,-0.0013812+3.887e-05i,-0.001046+0.0005083i,-0.00041132+0.00042562i,-0.00048674+2.3917e-05i,-0.00030658-0.00078346i,-0.00029035-0.0011229i,-0.00027572-0.00066451i,-0.00041361-0.00021356i,-0.00062529+8.8594e-05i
-0.0010038+0.0011338i,0.00023351+0.00087862i,0.00051342-0.00072951i,0.00084176-0.0014564i,7.5234e-05-0.00075441i,0.00010622-0.00065242i,0.0012402-0.00098929i,0.0016529-0.00022086i,0.001304+0.00053175i,0.00094324+0.0005987i,-0.00027022-0.00027834i,-0.00075369-0.00095352i,-0.000127-0.00069257i,-0.00010491-1.9347e-05i,-0.00065041+0.00013882i,-0.00022219-0.00058275i,0.00057595-0.0010296i,0.00082475-0.0009589i,0.00095367-0.00059888i,0.00024266-0.00084471i,-9.4292e-06-0.00097381i,-5.6675e-05-0.00040538i,-0.00045758+5.4992e-05i
0.0010627+0.00089596i,0.0012946+0.00086654i,0.0016722+0.00046153i,0.0013317-0.00012838i,0.00030617-0.00095448i,-0.00040009-0.00038698i,-0.00045418+0.00042408i,-4.0945e-05+0.000387i,0.00047022+0.00015053i,0.00074779-0.0005299i,0.00058276+2.9872e-05i,-5.7233e-05+0.00033573i,-0.00040525-2.4654e-05i,-0.00072947+0.00026825i,-0.00080625+4.3166e-05i,-0.00026522-0.0002702i,-0.00024163-0.00011137i,8.4409e-05-0.00044297i,0.00081839-0.00073393i,0.00065068-0.00011162i,-0.00022346+0.000311i,-0.00024448+0.00054164i,7.3066e-05+0.0011773i
0.00010849+0.00043517i,-0.0001159+0.00020223i,0.0012292-0.00013617i,0.00098657-0.00053746i,-0.00072207-0.0010521i,-0.00096083-0.0013093i,-0.0007454-0.00082653i,-0.00056643-0.00046271i,0.00029517+3.7277e-06i,0.0014816+0.00046683i,0.0015195-0.00012757i,0.00036158-0.0011997i,-0.00060958-0.001179i,-0.00030911-2.1929e-05i,0.00041514+0.00096258i,0.00041714+0.00026128i,0.00031404-0.00070077i,-9.329e-06-0.00036047i,-0.00010072-0.00069029i,0.00089818-0.0010357i,0.001462-0.00010224i,0.0010437-1.4162e-06i,0.00033607+8.9744e-05i
0.0028666+0.00043953i,0.0029647+0.00041884i,0.0027596-0.0008263i,0.0023833-0.0019966i,0.0013877-0.0023646i,-0.00041134-0.0016425i,-0.00075614-0.00060608i,0.00040417+9.2646e-05i,0.00094575-2.5192e-05i,0.0002228-0.00043973i,-0.00049528-0.00047696i,-0.00011794+0.00022512i,-0.00016953+0.0008951i,-0.00091744+0.00085674i,-0.0010068+0.00019505i,-0.000168-0.00064259i,0.00044648-0.00060929i,0.0005666+0.00014868i,0.0011814+0.00037023i,0.00081504+0.00034629i,-0.00046009+0.0006499i,-0.00053383+0.00040267i,-0.00023591+0.00016362i
-0.00020553-0.00059013i,-9.009e-05-0.00064446i,0.00011582-0.0016989i,-0.00033689-0.0020816i,-9.7993e-05-0.0016844i,0.00011822-0.00037561i,-0.00098042+0.00062157i,-0.00097742+0.00095773i,0.00014767+0.0011084i,0.001502+0.00046874i,0.0014193-0.00021613i,0.00034783-0.00031163i,-0.00071308-0.00023719i,-0.00071063-0.00060739i,-0.00057499-0.00060891i,-0.00066909-0.0003325i,0.00027066-0.00070449i,0.00087151-0.00053758i,0.00039633+5.4978e-06i,0.00012179-0.00034562i,0.00016399-0.00076138i,-8.9837e-05-0.00075639i,-0.00028642-0.00046266i
-0.0011307+0.002079i,0.00039644+0.0020517i,0.002308+0.0017312i,0.0025134+0.0003807i,0.0019022-0.00060168i,0.0010693-0.0013104i,0.00085831-0.0012802i,0.00059113-0.00081032i,0.0009748-0.00054955i,0.001721-0.00033787i,0.0013889-0.00051779i,0.0005518-0.00036516i,-7.4347e-05-0.00011616i,-0.0010661+0.00015567i,-0.00096441+0.00046099i,0.00044178+0.00046725i,0.0009491+0.00076261i,0.00049475+0.0011328i,0.00023522+0.00056053i,-3.8349e-05+0.00028122i,-0.00072091+0.00035139i,-0.00071819+0.00083233i,-0.00086963+0.0010651i
0.001536+0.0011706i,0.0021094+0.0010498i,0.0039583+0.00017455i,0.0039078-0.00066894i,0.0018701-0.00054379i,-8.0148e-05-0.00062905i,-0.00082934-0.00083504i,-0.00048189-3.2431e-05i,0.00075469+0.00025511i,0.0012203-0.00083094i,0.00031282-0.00067653i,-0.00019922+0.00053552i,-0.00028557+0.0010562i,-1.1912e-05+0.00055011i,6.2692e-05-0.00013456i,2.6365e-06-0.0007224i,0.00018874-0.0004437i,0.00042117-0.00047481i,0.00098542-0.00087464i,0.00068836-0.00019576i,7.5656e-05+0.0001976i,0.0001198+0.00059399i,0.00015443+0.0010478i
-0.00060942-0.0011966i,-4.5502e-05-0.00024795i,0.00032972-0.00018081i,-0.00075806-0.00062399i,-0.00093953-0.00015545i,-0.00040781+0.0005584i,8.1843e-05-0.00015895i,0.00018594-0.00047648i,8.685e-05+6.707e-05i,0.00016006+2.163e-05i,0.00022826+0.0002249i,-0.00020334-3.8848e-05i,-0.00064609-0.00022986i,-0.00055189+0.0005661i,-0.00062458+0.00041324i,-0.00036903-0.0005233i,-8.5218e-05-0.00079182i,-0.00017808+7.8344e-05i,6.588e-05+0.00042624i,6.168e-05+1.8852e-05i,3.3166e-06+6.2605e-05i,0.00077429-0.00027642i,0.0011232+6.4871e-05i
0.0017309-0.00020698i,0.0020459-0.0016138i,0.0029738-0.002695i,0.0029537-0.0030923i,0.0014863-0.001819i,0.00011508-0.00023761i,-0.00077847-0.0005108i,-0.00073449-0.00051793i,0.00063392-9.2528e-05i,0.00098173-0.00098564i,0.00079572-0.0014919i,0.00020059-0.00045935i,-0.00048757+0.00042091i,-0.00053039+0.00042211i,-0.00067193+0.00013703i,-0.00073682+5.0175e-05i,-0.00035704-4.8458e-05i,5.3277e-05+0.00066115i,-0.00042745+0.0012976i,-0.00052717+0.0013161i,-5.6212e-05+0.0009504i,-0.0002632+0.00060806i,-0.00024406+0.00062777i
0.0018502-0.0014338i,0.00096001-0.0012101i,-0.00013818-0.0023004i,8.8078e-05-0.0027241i,-0.00014122-0.0010264i,-0.00021619+0.00051584i,0.00034051+0.00063657i,0.00030635+0.00053202i,0.0003281+0.00046983i,0.00011457-0.0004946i,-0.00024435-0.0010987i,-0.00033079-0.0011052i,-0.00037709-0.0003994i,0.00022139-2.4472e-05i,0.00045172+0.00019864i,0.00016289-0.00019368i,-0.00047688-0.00083471i,-0.00052914-0.00013317i,0.000619+0.00057573i,0.00073423+0.00056801i,0.00049127+0.00011108i,8.9248e-05-0.00028772i,0.00014272-0.00056575i
0.0022831-0.0017747i,0.0013971-0.0024145i,0.00078396-0.0030518i,-0.00027129-0.0028862i,-0.0018737-0.0020163i,-0.0029164-0.00095198i,-0.001854-0.00022949i,4.969e-05+3.7485e-05i,0.0012008-4.4938e-06i,0.00097753-0.00019828i,2.0711e-06-0.0002105i,-0.00083064-0.0003197i,-0.00093031-0.00038009i,-0.00013024+3.6246e-05i,-0.00014297+0.00034796i,-5.8832e-05-0.00016907i,9.2823e-05-0.00041639i,0.00017641-5.8622e-05i,-0.00010893+0.0003042i,-0.000509+0.00057834i,-0.00049707+0.00021083i,-0.00029357-0.00029977i,-0.00017451-1.6313e-05i
0.001431-0.00096658i,0.0012043-0.0019952i,0.00096028-0.0028692i,0.00055855-0.0030347i,0.00076998-0.0023434i,0.0011402-0.00067457i,0.00091614+0.0011329i,0.00074062+0.00092582i,0.0014499+0.00074189i,0.0014483+0.00055237i,0.00044547-0.00013719i,-0.00011676-0.00021276i,-0.00042452-5.01e-05i,-0.00031649-0.00043204i,0.00016407-0.00085741i,-0.00030795-0.0011554i,-0.0001813-0.00065918i,0.00053739-8.386e-05i,0.00068098-0.00013635i,-0.00028405-0.0005597i,-0.00093428-0.0002109i,-0.00045789-0.00011744i,5.7136e-05-0.00037939i
