-8.5096e-05+0.00059551i,-0.00053859-4.423e-05i,-0.00022563-0.00092673i,2.1055e-05-0.0011481i,-0.00069364+6.3443e-05i,-0.0012077+0.00039159i,-0.00074733+0.00023043i,0.00057336+0.00057683i,0.0016717+0.00086024i,0.0013637+0.00022332i,0.0011083-0.00046889i,0.0012968-0.00028565i,2.1569e-05-0.00030991i,-0.0010516-0.00040553i,-0.00075041-2.3058e-05i,-0.00014525+0.00053647i,-0.00021499+0.0008632i,0.00025512+0.00070476i,0.0011869+0.00011139i,0.00084364-0.00016928i,-0.0001744-0.0004598i,-0.00026108-0.00072456i,0.00044078-0.00027382i
-0.0017451+0.001042i,-0.0019132+0.00219i,-0.0019172+0.0028304i,-0.00092721+0.0018341i,0.0010906+0.0010963i,0.0023578+0.0015196i,0.0014701+0.0019751i,-0.00028961+0.0017837i,-0.0010693+0.00079746i,-0.0010132+2.8454e-05i,-0.00053246+0.00013925i,0.00017597-4.7804e-05i,-0.00019728-0.000701i,-0.00088689-0.00016088i,-0.00057854+5.7338e-05i,0.00016717+0.00035505i,0.00045983+0.00011784i,0.00033661-0.00049077i,0.00072773-0.0006988i,0.00062861-0.00069283i,0.00029179-2.3955e-05i,-0.00020513+0.00048065i,-0.00063602+0.00029945i
-0.0032175+0.0020221i,-0.0022031+0.0029038i,-0.0008136+0.0030285i,0.00046289+0.0027623i,0.0014656+0.0028308i,0.001378+0.0019854i,0.0010168+0.00050617i,0.0010548-0.00019714i,0.00023124-4.0517e-05i,-0.00095837+0.0002783i,-0.0010853+5.9766e-05i,-0.00077831-0.00019378i,-7.1668e-05-0.00043047i,0.00063116-0.00056688i,0.00026935-0.00024143i,-5.7497e-05-7.5405e-05i,-0.00025424+5.6951e-05i,0.00010357-5.3258e-05i,0.00012313-5.6613e-06i,0.00012046+0.00035976i,0.00020226+0.00094178i,-0.00063607+0.00066122i,-0.00063835+0.0006502i
0.00052606+0.00077807i,0.0012869+0.0011935i,0.00073075+0.00020414i,0.00087251+9.3759e-05i,0.0012356+8.5121e-05i,0.00042841-0.0010094i,-0.00013318-0.0011151i,0.00048504-0.00076608i,0.00096864-0.00044271i,0.00045372+0.00035909i,0.00044232+0.00098955i,0.00038776+0.00043664i,2.4383e-05+0.00058021i,-0.00016879+0.00060821i,0.00015348+0.00029535i,0.00014789+0.00093751i,0.00034363+0.00076142i,0.0010342+0.000238i,0.0011953+0.00025316i,0.001056-0.00050543i,0.00080363-0.00058821i,0.00041212-0.00026437i,0.00012514-0.00022216i
0.0040243-0.00033669i,0.0027265-0.0015346i,0.0028237-0.0029351i,0.002483-0.0029317i,0.0013135-0.0032964i,-0.00032398-0.0021107i,-0.0010624-0.00087796i,-4.8507e-06-0.00032425i,0.0016982+0.0003075i,0.001993+6.2063e-06i,0.00021454-0.0001279i,-0.00013396+2.7127e-05i,0.00018388+0.00016637i,-0.00014313+0.00025879i,0.00039917+1.121e-05i,-0.0001416+9.7515e-05i,-0.00036509+0.00057799i,0.00062943+0.0011192i,0.00097937+0.00095167i,0.00044343+0.00070369i,0.00016424+0.00064871i,0.00028981+0.00060428i,0.00018844+0.00075715i
-0.0014713+0.00011046i,-0.0012291+6.0682e-05i,-0.00034563+1.8007e-05i,0.00010668-0.00026073i,-0.00013967-0.00024676i,-0.00096423-0.00037493i,-0.0017723+0.00037732i,-0.001483+0.0018427i,-0.00011507+0.0015373i,6.4861e-05+0.0001464i,-0.00015199-0.00038374i,-8.9068e-05-0.0010201i,-0.0002397-0.00099897i,-0.0002971-0.00040094i,0.00028685-2.5266e-05i,0.0012659+0.00030269i,0.0014442+0.00083389i,0.00067654+0.00076199i,0.00023409+1.8864e-05i,0.00061653-0.00089892i,0.00060182-0.00062784i,-0.00038179-6.753e-05i,-0.00055145+0.00014259i
-0.00016001+0.00022346i,-0.00070458+2.4791e-05i,-0.0015749-0.00029003i,-0.001021-0.00041003i,-0.00036002+0.00022161i,0.00021859+0.00088049i,0.00046728+0.00090291i,-0.00012444+0.0010734i,-0.00031958+0.0010252i,-0.00025935+0.00012541i,-0.00018681-0.00051724i,8.3597e-05-0.00067123i,5.7018e-05-0.00067494i,-0.00056432-5.9399e-05i,-0.0010061+0.00016993i,-0.0012255+0.00013364i,-0.00082161+0.000128i,0.00018478-0.00071905i,0.00034894-0.0011221i,0.00012156-0.00053579i,-0.00030919-0.00043668i,-0.0007093-0.00051335i,-0.00014874+0.00075206i
-0.0010385-0.00031863i,-0.00044359+0.0011247i,-0.00023266+0.0020826i,0.00038201+0.0022349i,0.0013362+0.0017125i,0.0013995+0.0013185i,0.00095018+0.0013529i,0.00048703+0.00091534i,-0.00037217+0.00040069i,-0.0009283+0.00079731i,-0.00023069+0.00077554i,0.00056729+0.00037663i,0.00087662+0.00015383i,0.00035205-8.4174e-06i,-0.00061019+4.347e-05i,-0.00041489-0.00026612i,-2.843e-05-0.00034552i,-0.00011081-0.00013665i,-0.00037709+0.00017791i,-4.5441e-05+0.00078197i,8.4252e-05+0.00023742i,-0.00037954-0.00041132i,-0.00011609-0.00018858i
0.0027741+0.0019259i,0.0027491-0.00026405i,0.0023336-0.001379i,0.0023328-0.0017932i,0.002451-0.0012191i,0.0013917-0.00011024i,0.00012239+0.0004782i,0.00017499+0.00071224i,0.00072382+3.7078e-05i,0.0013996-0.000349i,0.0010216+8.1886e-05i,0.00012453+0.00026897i,0.00065861+9.4112e-05i,0.00083155-0.0001849i,0.00045554+0.00047627i,0.00041478+0.0012132i,0.00080071+0.00099618i,0.0012016-0.00027867i,0.001003-0.0005849i,0.00066666+0.00027316i,7.2008e-05+6.2583e-05i,-2.7215e-05+0.00042874i,-0.00012937+0.00010189i
0.0011044+0.00051955i,0.00063142+0.00048031i,0.0005904-0.00079805i,0.0011008-0.001753i,0.0011623-0.0020508i,0.00069182-0.0015432i,-0.00042819-0.00064535i,-0.0013407-0.00029706i,-0.00016697-0.00036966i,0.00042032+0.0001383i,-0.00010303+0.00011655i,0.00035673+5.8992e-05i,0.00073499+0.00050869i,0.00056245-0.00045231i,0.00053337-0.00062786i,0.00056789+0.00013525i,-0.00041649-0.00015382i,-0.00095634-0.00075934i,5.3711e-05+8.6502e-05i,0.00041405+0.00076394i,0.00040358-8.7799e-06i,-0.00010774-0.00017285i,-0.00066721-8.8773e-05i
-0.0015613-0.00062907i,-0.001737-0.00010486i,-0.0012457+0.00038375i,-0.00092968+0.00082976i,-0.00094016+0.00036692i,-0.0013744-0.0002087i,-0.0021736-0.00026854i,-0.0012989+0.00016531i,-0.00050111+0.0010883i,-0.00059938+0.00086635i,-0.00043475-0.00048389i,-0.00037755-0.00064456i,-0.0004596-7.4387e-05i,-2.6964e-05+0.00020039i,0.00031156-0.00022899i,0.00015819-9.3269e-05i,0.00060857+0.0007906i,0.0017481+0.00081696i,0.0012188+0.00015419i,-0.00045133+8.6676e-05i,-0.00084884+0.00037942i,-0.00073959+0.00045295i,-0.00015893+0.00037033i
-0.0021616+0.00036259i,-0.0010046+0.0016372i,-0.00036862+0.0022371i,-0.00024872+0.001648i,0.00033104+0.00098122i,-0.00015177+0.0009404i,-0.00038845+0.0011408i,1.7873e-07+0.0014457i,-4.7438e-05+0.00096328i,-0.00053565-0.0004266i,-0.00047387-0.0011262i,0.00038425-0.00086193i,0.00028696-7.2327e-05i,-9.3855e-05+0.00045265i,-0.00045949+9.9347e-05i,-0.00064045-5.8492e-05i,0.000144+0.00023694i,0.00049046+0.00029971i,0.00017431+0.00011517i,0.00019745-5.4471e-05i,0.00056557+0.00071555i,0.0010861+0.0011848i,0.00064665+0.00034189i
0.0011193+0.00097361i,0.00043701-0.00018044i,-0.00084357-0.0007908i,-0.00089842-0.00089887i,-0.00049246-0.0010808i,6.4234e-05+9.9792e-05i,0.0006613+0.00074404i,0.0011218+0.00057471i,0.00051536+0.0008282i,8.8591e-05+0.00035565i,0.00051979-0.00073565i,0.00045567-0.0010809i,7.0391e-05-0.00093452i,0.00010234-0.00035894i,-3.1975e-05+0.0010539i,-0.00048784+0.0017892i,0.00028632+0.0010673i,0.00079619+0.00053434i,0.00060348+6.8428e-05i,-0.00018081-7.3103e-05i,-0.00092708+0.0003245i,-0.0012306+0.0003864i,-0.00099997+0.00014204i
0.002058-0.00048678i,0.0011962-0.00034072i,0.00014456-0.00045163i,-0.0001137-0.00040568i,-5.6524e-06-0.0002924i,0.00041894+0.00035703i,0.00097776+0.00066629i,0.0017057+1.0011e-05i,0.0019758-0.00082111i,0.0012898-0.00013118i,0.00012523+0.00020136i,-0.00047829-0.00024799i,0.00042587-0.00058788i,0.00050542-0.00083839i,-7.8452e-05-0.00049003i,0.00018476-9.5815e-05i,0.00044792+0.00042513i,0.00086716+0.0008138i,0.0011369+0.0006388i,0.00052306+0.0001364i,0.00015134-0.00020906i,9.033e-05-0.00028438i,-0.00010109-0.00023763i
-0.001174+0.00040054i,0.00038525-1.7345e-05i,0.0016164+0.00028372i,0.00091581+0.00058453i,0.00055127+0.0005077i,0.0001514+0.00033728i,-0.00010975+0.00044202i,-0.00029509+0.0004277i,-0.00019271+0.00066453i,0.00038032+0.00051344i,0.00057288+0.00046859i,-1.254e-05-0.00010398i,-0.0009695-0.0010247i,-0.0005726-0.00044026i,6.1895e-05-9.3994e-06i,0.00031519+0.00020494i,0.0006058+0.0005193i,0.0010133-0.00029409i,0.00059175-0.00031489i,-0.0003728-0.00031093i,-0.00015412-0.00068381i,0.00032032-0.00070156i,-0.00030769-0.00027203i
-0.0020988-0.0012678i,-0.0013729-0.00080348i,-0.0010389+0.00029123i,-0.00087884+0.001488i,8.9357e-05+0.0012232i,0.00122-2.6786e-05i,0.0006633-0.00091959i,-0.00049354-0.0013031i,-0.00098798-0.00088074i,-0.00075342-0.00043655i,-7.3024e-05-0.00034562i,-8.232e-05+0.00048756i,-0.00031725+0.0006608i,3.6037e-05+0.00027765i,0.00075144+0.0003071i,0.00070988-0.00024459i,-2.2456e-05-0.00085815i,-0.00014814-0.0003256i,-0.00014037+0.00025221i,-0.00034846+0.00015736i,-0.0001748+0.00017804i,-0.00026097+0.00070544i,-0.00039003+0.00072605i
0.00028523+0.0017953i,-9.5772e-05+0.00078153i,0.00030176-0.00022595i,0.00043758-0.00075529i,-0.00020294-0.0010555i,-0.00010192-0.00097107i,-0.00065328-0.00034931i,-0.00081916+0.00046424i,0.00074357+0.0011497i,0.0011538+0.000687i,0.00059713-0.00090423i,-2.7202e-05-0.0014815i,-9.3726e-05-0.00036397i,-8.4374e-06+0.00026467i,-0.00053209+0.0005937i,-0.0005816+0.0004368i,-0.00033264+0.00034567i,-0.00035528+0.00048767i,-0.00046179+6.3065e-05i,-0.00020198-0.00020494i,-0.00043165-0.00014339i,-0.00045671+0.00044304i,-0.00030926+0.0006314i
0.0025754+0.00067381i,0.0028103+0.000358i,0.002816-0.0010762i,0.0018571-0.0018884i,0.00042108-0.0019247i,-0.00014428-9.7749e-05i,0.00033563+0.0015231i,0.00069582+0.0015031i,0.00045271+0.0011234i,0.00088741-3.7422e-05i,0.00075532-0.0009679i,4.8523e-05-0.00077438i,-0.00022033-0.00014833i,-1.3528e-05-0.00035787i,0.00015384-0.00020554i,-9.308e-05+0.00032604i,-0.00069576+0.00031724i,-0.00066797+0.00021413i,-0.00058592-8.6211e-05i,-0.00044032-0.00030538i,0.00033598-0.00044574i,0.0004092-0.00031349i,0.00026608+7.2988e-06i
0.0019991-0.00047698i,0.0014739-0.00044231i,0.00057792-0.00085477i,0.00012287-0.0012877i,-0.0002038-0.0013706i,-0.00067978-0.00087727i,-0.00045558-0.00011721i,0.00012847+0.00027339i,0.00077121+0.00016468i,0.00084192-0.00030402i,0.00064726+0.00010048i,-0.00020117+0.00032595i,-0.00050106-1.4017e-05i,-0.00063224+0.00018598i,-0.0012013+0.00035818i,-0.00029917+0.00052604i,0.00051248+0.00074728i,0.00032795-0.00023579i,0.000298-0.00075568i,0.00019864-0.00014076i,0.00019573+0.00031854i,3.0568e-05-0.00010709i,0.0001365+0.00032741i
-0.0022032-0.0023867i,-0.0031787-0.00128i,-0.0028054+0.00016122i,-0.0010219+0.0019121i,-0.00015446+0.0026219i,0.00051743+0.0011558i,0.0015994-0.00087054i,0.0013605-0.0015189i,0.0004159-0.0012491i,0.00041238-0.00095652i,0.00042522-0.00035793i,6.5251e-05+0.00048681i,7.4418e-05+0.00037952i,5.9834e-06-9.1404e-06i,8.8287e-05-0.00017488i,0.00023884-0.00023449i,0.00059051+6.5356e-05i,0.00059171+0.00029179i,0.00020614+0.00042984i,-0.00021275+0.00051773i,0.00017616+0.00018686i,0.0003783-0.00066629i,-0.00014067-0.00088438i
-0.00098192-0.0018786i,-0.00088171-0.00063695i,-0.0016832-0.00010664i,-0.002088-6.6729e-05i,-0.00092894+0.00050492i,-0.00035793+0.0003435i,-0.00071888-0.00025144i,-0.0012167-0.00053124i,-0.0014266-0.00032343i,-0.00023734+0.00012283i,0.00039113-3.2008e-05i,-0.00033642+0.00025334i,-0.00081329+0.00076216i,-0.0003993+0.00071584i,1.4134e-05+6.0117e-05i,3.7397e-05-0.00046354i,-0.00054103-0.00015026i,-0.00051682-0.00044363i,-0.00010194-0.00078017i,8.8339e-05-3.7542e-05i,-0.00040568+5.0726e-05i,-0.0006148+0.00028202i,-0.00062336+0.001053i
0.002556+0.0020093i,0.0026203+0.00047408i,0.0030882-0.001554i,0.0023684-0.0023425i,0.00081332-0.0024562i,-0.00012955-0.0015608i,-0.0011938-0.00034966i,-0.0014498+0.00076641i,-0.0001299+0.0014705i,0.00064569+0.00048952i,0.00061826-0.00091733i,0.00015534-0.00031297i,-6.3552e-05+0.00016159i,0.00011398-0.00078388i,-0.00044239-0.00133i,-0.00091291-0.00073812i,-0.00032852-0.00015579i,-6.2444e-05+0.00010464i,0.00017575+0.00022258i,0.0003835+0.00042903i,0.00019521+0.00061295i,-3.2914e-05+0.00026672i,-0.00030244+0.00030091i
0.0020318+0.0036223i,0.0029544+0.0019131i,0.0031367+0.00038856i,0.0025492-0.00093188i,0.0011871-0.001315i,-0.00037039-0.00090935i,-0.0011215+0.00022843i,-0.00097299+0.0016027i,-0.00033219+0.0018466i,0.0010631+0.00038772i,0.0014353-0.001281i,0.00073952-0.0012641i,0.00056407-2.7096e-05i,5.956e-05+0.00033153i,-1.658e-07+8.6771e-05i,-0.00011633-8.0354e-05i,-0.00029044+0.00071659i,0.00056776+0.0010233i,0.00066964+0.00051917i,3.7324e-05+5.444e-05i,0.00053127+0.00047452i,0.00087238+0.00047593i,0.00033775+3.6084e-05i
-0.0012076-0.00041935i,-0.00051493+0.00073568i,-0.00048444+0.0013407i,-0.00057019+0.0020103i,-0.00077166+0.0017688i,-0.00024748+0.00068173i,0.0011035+0.00053033i,0.00076482+0.00074754i,0.0003119+0.0006854i,0.00081404-0.00012101i,0.00062336-0.00048699i,-4.0753e-05-0.00030279i,-0.00013362-0.00074807i,-0.00045509-0.00064805i,-0.00056969+0.0002735i,-0.00078392+0.00027409i,-0.00098361-0.00064716i,0.00014729-0.00017732i,0.00073357-0.0002621i,0.00037041-0.00096832i,-0.00028704-0.00042575i,-0.00065766+0.00053828i,-0.00016768+0.00019559i
-0.0013213-0.00097944i,-0.0014329-5.3424e-05i,-0.00079504+0.0014824i,-0.00087974+0.0018792i,-0.00085567+0.0016006i,-0.00036226+0.0009189i,-0.00015292-0.00015188i,-0.00015406-0.0012085i,-0.00022835-0.00099925i,9.8254e-05-0.00066425i,3.1718e-05-0.00069866i,6.4962e-05-1.1737e-05i,0.00021181+0.00045792i,0.00070151+0.00018665i,0.00089383+0.00072655i,0.00045448+0.0010229i,-0.00027945+0.00056385i,-0.00056353+0.00031048i,-0.00021088+0.00085219i,-0.00075353+0.00056146i,-0.00063621-0.0003076i,1.3225e-05-0.00035096i,-0.00024484+0.00013835i
-0.0013163-0.00045217i,-0.0016429-3.457e-05i,-0.0012016+0.00096025i,0.00024695+0.0014965i,0.0011322+0.0014853i,0.0013043+0.0010563i,0.00025499+0.00029918i,-0.0003119-0.00064372i,9.9878e-05-0.0011318i,-0.00048322-0.00081253i,-0.00049175-0.00070347i,0.00041056-0.00092742i,0.00016551-0.00077842i,-0.00017871-0.00038725i,0.00051524+0.00017656i,0.00030354+0.00025733i,0.00044694+7.1562e-05i,0.0012358+0.00017874i,0.00060597+2.5874e-05i,4.4203e-06+0.00024199i,-0.00026648+0.00048925i,-0.00035437+7.6462e-05i,0.00019045-0.00027837i
-0.0023806+0.0024466i,-0.0015858+0.0024998i,0.00028098+0.0023378i,0.0020049+0.0012024i,0.0019033-0.0004648i,0.0012724-0.0011927i,0.00045242-0.00040347i,-0.0012194+0.0004296i,-0.0015058-0.00010801i,-0.0004625-6.6046e-07i,0.00027026+0.00040041i,0.00029213-0.00022878i,0.00053695-0.00064108i,0.00093332-9.8819e-05i,0.00066138+0.00070965i,9.858e-05+9.0906e-05i,-8.1495e-05-0.00074081i,-0.00044418-0.00046602i,-0.00022927-0.00079415i,-1.3978e-05-0.00070181i,-9.9663e-06-0.00019743i,0.00056565+0.00033433i,0.00081385+0.00018122i
-0.00015685-0.00060999i,0.00096829-0.0012383i,0.0016976-0.0011393i,0.001324-0.00047121i,0.0010985-0.00089121i,0.0010475-0.00015551i,0.00087623+0.000826i,0.00082609+0.00093904i,0.00060255+0.00069863i,-0.00046357+0.00040898i,-0.00048588+0.0001845i,-0.00021827-8.6539e-05i,-0.00015894-0.0007533i,-0.00014292-0.00074929i,-0.00043903-0.00021111i,3.5058e-05-1.8208e-05i,0.00086451+0.00031952i,0.0010459+0.00020263i,-0.00011824-0.00033474i,-0.0012563-0.00018994i,-0.0011182+0.00047092i,-0.00040905+0.00053949i,-8.9975e-05+0.00049614i
-0.00012177+0.00032274i,-0.0013297+0.00067958i,-0.0026779-1.5079e-06i,-0.0020557-0.0012931i,-0.0011705-0.0013667i,-0.00085333-0.00095544i,-0.00032492-0.0009274i,0.00028832-0.00017944i,0.00029291+0.00047682i,0.00021289+0.00017902i,0.00043499-1.9084e-05i,-0.0003028+0.0006479i,-0.0012473+0.00069821i,-0.0011055+0.00022385i,-0.00056338+0.00032464i,-0.00016364-0.0003879i,0.00040445-0.00076404i,0.00052752-0.0005306i,0.00087289-0.00082762i,0.00091637-0.00085158i,0.0011057-0.00041273i,0.00059112+0.00018658i,-3.4653e-05+0.00046903i
-0.00026047+0.00015931i,-0.00176+0.00017727i,-0.0015772+0.00032734i,-0.00089936+0.00045047i,-0.0014927+0.00052255i,-0.0016057+0.00091583i,-0.0011169+0.00079157i,-0.00054509+5.4597e-05i,-0.00035505-0.00030003i,-0.00029821-0.00038288i,-0.00050063-5.1819e-05i,-0.00079695+7.883e-05i,-1.1198e-05+9.1174e-07i,0.00085056+0.00060561i,0.00060265+0.00071604i,0.0002086-0.00030303i,7.6536e-05-0.00090195i,-0.00010657-0.00071774i,-4.0381e-05-0.00052395i,-0.00017059-0.00062382i,-0.00033203-0.00087181i,6.4328e-05-0.00046359i,0.00024447+0.00014034i
0.0018113-0.0012768i,0.0015571-0.0010616i,-0.00026766+0.00012363i,-0.0018181+0.0012631i,-0.0011587+0.0016185i,-0.00068834+0.0019787i,-0.00095274+0.0020229i,-0.0002676+0.001079i,0.00037442+0.00012626i,-0.00014507+0.00040709i,-0.00096697+0.00070201i,-0.00079726+0.00047583i,-0.00037063+0.00055294i,-0.00011392+0.00052113i,-0.00025762+0.00045409i,-0.00034291-0.00013661i,-0.0003984-0.00028511i,-0.00070237+4.8088e-06i,-0.00081635-0.00026944i,-0.00076134-3.2196e-05i,-0.00025113+0.00091688i,0.0001197+0.00096636i,0.00034612+0.0005505i
0.0028207+0.0025766i,0.0018065+0.000743i,0.0025791-0.00075287i,0.0038052-0.0020807i,0.0039892-0.0023337i,0.001848-0.00041128i,-0.00016422+0.00169i,-0.00033375+0.002141i,0.00015515+0.0020256i,0.00096051+0.00093116i,0.00088937+0.00023748i,1.3828e-05+0.00062459i,-0.000491-1.221e-05i,4.0286e-06-0.00047581i,0.00049487-0.00035529i,0.00037975-0.0004773i,0.00099015-7.7176e-05i,0.0010039-6.5036e-05i,0.00068766+3.1684e-05i,0.0011164+0.00059002i,0.0011564+0.00013851i,0.0011986-0.0011758i,0.00052439-0.0013231i
-0.00034308+6.8864e-05i,0.00073646+2.5814e-05i,0.0022406-0.00080231i,0.0025832-0.0012705i,0.0028436-0.00062146i,0.0029226-0.00021038i,0.0020385-0.0001273i,0.0013699+0.00044656i,0.0011612+0.0011111i,0.00075584+0.0015969i,0.00021948+0.0013102i,0.00094442+0.00017378i,0.0014108-0.00036296i,0.00026078-0.00011218i,-0.00019393+9.2137e-05i,0.00091017+0.00053014i,0.00082934+0.00070648i,0.00037635+5.0998e-05i,0.00020161-0.00032606i,0.00023799+0.00024254i,-5.0544e-05+0.0009112i,-0.00087909+0.00054815i,-0.00090499+3.0093e-05i
-0.0018715-0.00046196i,-0.0023494+0.0017962i,-0.0010234+0.0034541i,-0.0010819+0.0014941i,-0.00082325-0.0012866i,0.00048953-0.0022609i,0.00081039-0.0014585i,0.00026695-0.00014039i,0.00024819+0.00040086i,0.00070784+0.00032119i,0.00058095-5.7913e-05i,-0.00029385-0.00072873i,-0.00017301-0.00099561i,0.00025388-0.00048699i,0.00037907-2.569e-05i,0.00026452+0.00040219i,8.6032e-05+0.00058792i,0.00023266+0.00050995i,0.00094813+7.8136e-05i,0.0012649+0.00037403i,0.00069986+0.00081844i,0.00017847+0.0007929i,-3.4867e-05+0.0006042i
-0.00087479-0.00035738i,-0.00090894-0.0011567i,-0.0020438+5.9755e-05i,-0.0027096+0.00080337i,-0.0020961-0.00084135i,-0.00096255-0.0013747i,0.00011755-0.0011163i,0.00097698-0.00057015i,0.00087877+0.00035687i,8.4101e-05+7.5875e-05i,-8.5832e-05-0.00094205i,0.0003068-0.0012293i,0.0001029-0.00064179i,-0.00027908-4.4224e-05i,0.00010294-0.00027182i,-1.6937e-05-0.00035941i,0.00012283+0.00025389i,0.0004958+0.0008148i,-0.00012268+0.00012964i,-0.00056144-0.00014635i,-0.00024577+0.00053759i,0.0001571-6.2016e-05i,-0.00010161-0.00066268i
0.00062859+0.0037258i,0.0021984+0.0039082i,0.0009934+0.0033922i,0.00064405+0.0022178i,0.0019572+0.0017137i,0.0018862+0.0010704i,0.00017846+0.00018322i,-0.0018367-0.00028181i,-0.002541-0.00021602i,-0.0013511-0.00086577i,0.00015627-0.0016461i,0.00077954-0.0015056i,-0.00011111-0.00087976i,-0.00096361-0.00021558i,-0.00059908-7.6614e-05i,-4.6306e-05-0.00022731i,0.00043686+0.00016111i,0.00036755+0.00071027i,-0.00026903+0.00084416i,-0.0010661+5.5467e-05i,-0.0014939-0.0002457i,-0.00082401+0.00012848i,-0.00042603-8.5401e-05i
0.00029191+0.0013949i,-0.0001006+0.0019006i,0.00067123+0.0030281i,0.0012913+0.0031196i,0.0006548+0.0030435i,-0.00014741+0.0023218i,-0.00016866+0.0020689i,-0.00015618+0.0012017i,-7.1301e-05+0.0003876i,-0.0001823+4.5646e-05i,-0.00068263+0.00024022i,-0.00092574+0.00023799i,-0.00052619+0.00019397i,0.00027992+4.1521e-07i,0.00039332-0.00014411i,0.00016167-0.00062572i,1.3798e-05-0.0011692i,-0.00031154-0.00054373i,-1.7324e-05+7.0493e-05i,2.9868e-05+0.00031431i,-0.000486+0.00013547i,-4.7939e-05-0.00017919i,-0.00015763-0.00078701i
-0.00087453-0.0031106i,-0.0016384-0.0014775i,-0.0024525+0.00028009i,-0.0018437+0.00054497i,-0.00056826+0.00070236i,0.00038773+0.0011578i,0.0011464+6.8869e-05i,0.0017727-0.00020676i,0.0010151+0.00068464i,0.00057582+0.00148i,0.00086904+0.0015067i,0.00074403+0.00010295i,0.00048237-0.00020341i,0.00033799+0.00038648i,0.00069297+0.00065797i,0.00029414+0.00057853i,-0.00082055+0.00043233i,-0.0011357+0.00076447i,-0.00053772+0.00047992i,6.7476e-05+3.4161e-05i,-0.00031543-0.00017371i,5.8477e-05-0.00065029i,0.00027067+8.9991e-06i
-0.0014178-0.0014868i,-0.0012074-0.0014106i,-0.00021591-0.0023377i,0.00018104-0.0019224i,0.00067375-0.00096082i,0.0022366-0.0016515i,0.0024251-0.0019869i,0.001726-0.0011529i,0.0011463-0.00078647i,0.00080696-0.00062183i,0.00068+9.206e-05i,0.00086566+0.00037765i,0.000372-4.2693e-06i,5.9133e-05-0.0002494i,0.00017959-0.00028054i,3.4901e-05+8.619e-05i,0.00035841+0.00061359i,0.00034069+0.00013549i,0.00015426-0.00082821i,-8.9169e-05-0.00081029i,-0.00082848-0.00013124i,-0.00076287+0.00024245i,0.00044864+0.00066359i
0.00032389+0.00040258i,-2.1433e-05-7.2132e-05i,-0.00038829-0.0011066i,-0.00087552-0.0014918i,-0.0012348-0.0014868i,-0.0012308-0.0018869i,-0.00090958-0.0017482i,-2.09e-05-0.00035791i,0.00091452+2.455e-05i,0.0010792-0.00070657i,0.00091009-0.00059744i,0.00051755+0.00081009i,-0.00035299+0.0011107i,0.00015138-0.00030252i,0.00068153-0.00056972i,1.8324e-06+0.00013696i,-0.00028495+8.3822e-05i,-0.00037466+0.0003222i,-0.00035444+0.00050706i,-0.00065137+0.0004277i,-0.00033843+0.00037514i,-0.00015891-0.00014988i,-0.00033155-0.00037695i
0.0017346-0.00069225i,0.0018256-0.0018609i,0.00042407-0.0026366i,-0.0015126-0.0021629i,-0.0017638-0.0014262i,-0.002178-0.0003599i,-0.0019831+0.00073036i,-0.00060933+0.00052558i,0.00070768-0.00013704i,0.00064004-2.9142e-05i,0.0002183-0.00059227i,5.3236e-06-0.0010026i,-0.00020692-0.00035799i,-0.00052538-0.00037404i,-0.00038486-0.0010968i,-0.00015396-0.00065261i,-0.00030966+0.00039471i,-9.459e-05+0.0007228i,-0.00024326+0.00051538i,-0.00022141+0.00021212i,-0.00028764-0.00014927i,-0.00084083-0.00054076i,-0.0013033-0.00053275i
-0.00019229+0.00078129i,-0.00038654+0.00048211i,0.00026291+0.00060879i,0.00055946+0.0010932i,0.00087467+0.0018318i,0.00050857+0.0023824i,0.00081095+0.0019787i,0.0011428+0.0018015i,0.00089489+0.0014749i,0.00034605-0.00011116i,-0.00039926-0.0012141i,-0.00065193-0.00082034i,-0.0011382-0.00063036i,-0.0011681-0.0010219i,-0.00011081-0.00091756i,0.00030432-0.00030677i,-8.7374e-05-0.00049724i,0.00025937-0.00071511i,0.00011877+6.1902e-05i,-0.00020782+0.00024821i,0.00022834+0.00037274i,0.00034462+0.00051496i,-0.00044392-4.1798e-05i
-0.00050363+0.00093675i,-0.00032801+0.0019193i,0.00048701+0.0026857i,0.00098956+0.0023855i,0.0010473+0.0018026i,0.001177+0.0016827i,0.0010046+0.00096256i,0.001049+0.00037333i,0.00089255+0.00020786i,0.00050482+0.00037185i,0.00038199+0.0002056i,-0.00015133+0.00017058i,-0.00039222+0.00039605i,-1.9428e-05+0.0004294i,7.6705e-06+0.00043971i,-0.00024174+0.00032424i,-0.00010012+0.00052791i,2.9397e-05+0.00064369i,6.5051e-05+0.00018925i,0.0003738-2.8754e-05i,0.00067078-0.00016782i,0.00040009-0.00063356i,-0.00068115-0.00041409i
