-0.0033714+0.00054645i,-0.0022557+0.00062755i,-0.002243+0.00094997i,-0.0018654+0.00042731i,-0.0012419+0.00075746i,-0.00014384+0.00093548i,0.00058441+0.00082174i,0.0005492+0.00056255i,0.00081394+0.00035284i,0.0012451+0.00064137i,0.00022337+0.000503i,-0.00063006+0.0001514i,-4.4692e-05+0.00055631i,-5.1368e-05+0.00057953i,-0.00014248+0.00012385i,-5.5609e-05-0.00035253i,-3.7472e-05-0.00064941i,8.7736e-05-0.00051744i,-0.00055819-0.0007148i,-0.0011427-0.00087598i,-0.00067241+3.851e-05i,-0.00014901-5.6488e-05i,0.00030189-0.00022087i
-0.00085943+0.0021338i,-0.00089592+0.0033114i,-0.00052617+0.0038141i,-0.00034582+0.0019836i,0.0011437+0.0010012i,0.0022583+0.0013417i,0.002134+0.00057121i,0.00064964-0.00028801i,-9.8501e-05-0.00028995i,0.00094608+5.6569e-05i,0.0013362-0.00013305i,0.0005695+8.9458e-05i,-0.00077422+8.2737e-05i,-0.0011511+9.4945e-05i,0.0003085-6.5624e-06i,0.0015525-0.00043285i,0.0013613-0.00036544i,0.00039487-0.00031483i,-0.00019196+0.00015731i,-0.00049805+0.00067019i,-0.0007838+0.0010033i,-0.0011051+0.00097202i,-0.00080989+0.00074452i
0.00034173+0.0027952i,-7.3267e-05+0.0022822i,-5.8118e-05+0.00077559i,0.00088234-0.00022671i,0.001147+0.00077801i,0.0009686+0.0015095i,0.00095768+0.00091252i,0.00060574+0.00033375i,-1.8827e-05+0.00030592i,-0.00038599+0.00044972i,-0.00035182-0.0003782i,-0.00057264-0.00086539i,-0.00014733-0.001046i,0.00065556-0.0010632i,0.00065727-0.00083883i,-0.00017031-0.00016555i,-0.00064875+0.00015966i,-0.00038137-3.3222e-06i,-0.00024028-4.8596e-05i,-0.00063498+0.00017769i,-0.00082124-0.00020883i,-0.00016243-0.0013219i,5.3746e-05-0.0016078i
-0.0029207+0.00084286i,-0.0014085+0.00064291i,-0.000742+0.0010843i,-0.00099477+0.00092471i,-0.00067825+0.00018379i,0.00077452-0.001162i,0.001999-0.00085045i,0.0011875+1.2928e-05i,-0.00012551-0.0002497i,-0.00016857-0.00048617i,-0.00028871-0.00021018i,-0.00044341-0.00058566i,-0.00042263-0.001019i,0.00029838-0.00099366i,0.0012863-0.0006656i,0.00039262-1.5052e-05i,-0.00022289+6.1431e-06i,0.00053995-0.00039577i,0.00024469-7.8221e-05i,-0.00034901+0.00021386i,-0.00048413+0.00081175i,-0.00030316+0.0012121i,-0.00032762+8.0244e-05i
0.0021317+0.00085843i,0.002981-0.00011107i,0.0035189-0.00081345i,0.0020989-0.00090763i,0.00083149-0.0006221i,0.0005232-0.0010689i,0.00072422-0.0014446i,0.00073527-0.0003928i,-0.00019405+0.00019997i,-0.0009684+3.432e-05i,-0.00066479-0.00086076i,-5.141e-05-0.001376i,0.00017479-0.0011513i,-0.00024116-0.00064809i,-0.00041858-0.0003793i,0.00020815-0.00056851i,0.00057862-0.00031505i,0.00056916+0.00084633i,0.0010377+0.0011103i,0.0007116+0.00029951i,-0.00024552-2.7951e-05i,-0.00042051+6.4172e-05i,-0.0008601+0.00018677i
-0.00090729+0.0012422i,-0.00083158+0.0016015i,0.00015331+0.0012102i,0.0011097-0.00050557i,0.0022433-0.00098761i,0.0022047-0.00042014i,0.0013199+0.00043763i,0.00076319+0.00016832i,-0.00022024-0.00095303i,-0.00035887-0.00026643i,-0.0001636+0.0003104i,-0.00084764-0.00028534i,-0.0012513-0.00046357i,-0.001247-0.00018281i,-0.00052049+0.00048732i,-7.6271e-05+0.00057694i,0.00049496+0.00051754i,0.00091895+0.00084121i,0.00047213+0.00015087i,0.00034932+9.3929e-05i,0.00054745+0.0006033i,0.0005067+0.00068472i,0.00011144+0.00098289i
0.00086895-0.00088528i,0.000247-0.0012171i,0.00013818-0.00068281i,-0.00052943+0.00021013i,-0.0012451+0.00057271i,-0.00071723-4.2359e-05i,-9.9589e-07-0.0002848i,0.00037493-0.00030131i,0.00014082-0.00015896i,-0.00053687+0.00019001i,-0.00087396+0.00054895i,-0.00081248+8.4836e-05i,-0.0010799-0.0005001i,-0.0010777-0.00020512i,-0.00070807-0.00012683i,0.00021215+0.00019564i,-0.00026339+0.00080134i,-0.00070065-6.2655e-05i,0.00047095-0.0013191i,0.00066026-0.00066634i,-0.00037869+0.00024751i,-0.00028832-0.00032195i,0.00079778-0.00031243i
0.00020334-0.00014562i,0.0010843-0.00023474i,0.00086169+0.00046703i,0.00024382+0.00095862i,0.00020501-0.00024909i,0.0010954-0.00060751i,0.0015385-0.00026093i,0.0012161-3.7839e-05i,7.2054e-05-0.00019145i,-0.00046118-0.00054475i,-0.00011194-0.00069718i,-0.00038553-0.001071i,-0.0010191-0.00062558i,-0.0012684+8.8909e-05i,-0.00095633+0.00018661i,-0.00011513+3.4533e-05i,0.00032879+0.00026908i,0.00034746+0.00015442i,0.00079442-0.0003652i,0.00073611-0.00041849i,7.1345e-05-0.00034775i,0.00033198-0.00033425i,0.0010433-4.4945e-05i
-2.2864e-05-0.000602i,8.6567e-05+4.0607e-05i,-0.00058603+0.00099895i,-0.00044532+0.00076131i,0.00017285-0.00014109i,-5.6707e-05+2.1108e-05i,0.00044738+0.00054753i,0.00072899+0.00081395i,-0.00017662+0.0010265i,-0.00068123+0.0003515i,-0.00030177-0.00025825i,-9.1011e-05-0.00021973i,-0.00071972-0.00010505i,-0.00043815-6.0217e-05i,0.00018968+0.00011705i,-0.00028818+0.00033875i,-0.00038534+0.00060843i,-0.0004698+0.00052984i,8.7154e-05-0.00031217i,-3.9354e-05-0.00073032i,-0.00051021-0.00076906i,-0.00010813-0.00080676i,-0.00014841-0.00066213i
8.7334e-06-0.0021579i,0.0007163-0.0027761i,0.00055523-0.0020174i,-0.00050795-0.0011687i,-0.00039772-0.00011302i,0.00059278+0.0004496i,0.0010469+0.00012142i,0.00083705+0.00053775i,0.00016587+0.0007916i,-0.00041637+0.00011443i,-0.00067318+0.00011425i,-0.00073308-0.00064817i,-0.0010585-0.00071943i,-0.0017182-0.00018978i,-0.0010251-0.00041409i,-0.00022369-0.00041272i,0.00031027-0.00071313i,0.00118-0.00072653i,0.001384-0.00029666i,0.0010177+0.00029933i,0.00022385+0.00038164i,-0.00017403-0.00063026i,0.0004777-0.0011649i
0.0010258-0.00049716i,0.00060192-0.00024178i,-0.00028805-0.00028525i,-0.0007083+0.00020097i,-0.00070464+0.0010828i,3.2466e-05+0.0016181i,0.0010883+0.00080922i,0.0010926-0.00041359i,-0.0002749-0.0012041i,-0.00084168-0.001031i,-0.0013243-0.00027544i,-0.001494-0.00026046i,-0.0010737-9.4367e-05i,-0.0010844+0.00063876i,-0.00048742+0.00055088i,-2.4811e-05+0.00055484i,0.00026517+0.0004783i,0.00036666+0.00010179i,0.00034521-1.0736e-05i,-3.1988e-06-0.00058144i,-0.00073506-0.00094608i,-1.8513e-06-0.00072218i,0.00046451-7.9636e-05i
-0.00067329+0.00060702i,-0.0017289-0.00032128i,-0.00096788-0.00084769i,0.00089478-0.00094967i,0.0022978-0.00051893i,0.0024861+0.00018774i,0.0021723+0.00083831i,0.0010851+0.0010134i,-0.00041622+5.441e-05i,-0.0011499-0.00061274i,-0.0010619-0.00020861i,-0.00055434-0.00030764i,-0.0001727-0.0002833i,0.00015896+8.3185e-06i,0.00013614-9.5655e-05i,-0.00033039-0.00044534i,3.5793e-05-0.00090506i,8.8262e-05-0.0011574i,-0.00052165-0.0010808i,-0.00072855-0.00026067i,-0.0010681+0.00043466i,-0.0011555+0.00076996i,-0.00039459+0.00066015i
-0.00023803-0.0014166i,-0.0013728-0.001563i,-0.00059472-0.0027692i,-0.00059674-0.0020821i,-0.0013085-0.00065599i,-0.00062814+0.00037048i,-0.00026198+0.00043423i,-0.00014979+6.1141e-05i,0.00014232+0.000369i,-9.465e-05+0.00085048i,-0.00029432+0.00047468i,-0.0003198-1.3169e-05i,-0.00075406+9.7468e-05i,-0.0009698+4.1715e-05i,-0.00071253-0.00014324i,-0.00024166-0.00052039i,0.00082186+3.1864e-05i,0.0015641+0.00064804i,0.00051121+0.00061538i,-0.0004263-2.161e-05i,-0.0006212-0.00017703i,-0.00012672+0.00017172i,-0.00025019+0.00032069i
-0.0010866+0.00040344i,-0.00072018+0.00030508i,-0.0012077+0.0013346i,-0.00044955+0.0013395i,0.00044116+0.0012963i,0.0010182+0.00087345i,0.0016999-3.2035e-05i,0.0014205-0.00018429i,0.00065591+0.00010151i,0.00054812+0.00026714i,0.00063315-0.00058644i,0.00037636-0.00088711i,0.00024796-0.00042272i,-2.1975e-05+0.00017966i,-0.00029828+0.00039799i,-0.00017625+6.396e-05i,-0.00051905+3.3003e-05i,-0.00036414+3.4959e-05i,-0.00011546+0.0003641i,-0.00032603-0.00044414i,0.00024557-0.0012019i,0.00024741-0.0010287i,-0.00059771-0.00098228i
0.00048116-7.5676e-05i,0.0013088+0.00065424i,0.0026994+0.00013271i,0.0018886+2.4177e-05i,0.0010308+0.00052878i,0.00088298+0.0010961i,0.00080254+0.00062228i,0.00022001-0.00060202i,-4.2299e-05-0.00063618i,6.4965e-05-0.0011836i,0.0003625-0.0020509i,0.00022306-0.0013381i,1.0014e-05-0.00101i,-0.00011487-0.00051159i,-2.8616e-06-0.00043784i,-4.106e-05-0.00088423i,-0.00010999-0.00081339i,-0.00010007-0.0011476i,0.00040358-0.0013662i,0.0010791-0.00030614i,0.000562+0.001199i,-5.7707e-05+0.00042839i,-0.00044871-0.00076831i
-0.00091996+0.00030515i,-0.0017848+0.00011233i,-0.0010905+0.00021591i,0.00011955+0.0012708i,0.00083591+0.0014851i,0.0012216+0.00065197i,0.0017069+0.0004262i,0.0014171+1.01e-05i,-0.00014259-0.00050919i,-0.0013211-0.00025858i,-0.0015771-5.766e-05i,-0.0019319-0.00048641i,-0.0014134-0.00077521i,0.00036067-0.00023814i,0.0013369+0.00044235i,0.00095602+0.00087939i,0.00014936+0.00036658i,-0.00053035-0.0003901i,-0.00041967-0.00015379i,0.00046393-0.00023178i,0.00069082-0.00071807i,0.00017912-0.00087918i,-0.00024634-0.00083169i
0.0018205+0.00090737i,0.0016353-0.00051245i,0.0011342-0.0022916i,-0.00035474-0.0022377i,-0.0012164-0.00069841i,-5.8009e-05-0.0004957i,0.0011334-0.00028427i,0.0010065+4.5274e-05i,9.3381e-05-0.00054229i,-0.00012331-0.00083166i,0.00010212-0.00033304i,-0.00016633+0.00010222i,-0.00017987+3.002e-05i,0.0012026+0.00022476i,0.001236+0.00073133i,-9.2495e-06+0.0011373i,-0.00014243+0.001201i,0.00037367+0.00066688i,0.00012653+0.00036528i,-0.00012759+0.00033956i,-0.00020466+0.00069752i,5.2028e-05+0.00089845i,0.00057232+0.0006415i
-0.00024232+0.00013186i,-0.00071857+0.0015068i,-0.00055301+0.0019363i,0.0010309+0.0018002i,0.0019381+0.0011971i,0.0015134+0.00063414i,0.001746+0.00014808i,0.0018666-0.00030993i,0.00065605+0.00029139i,-0.00021479+0.00067831i,0.00014856+0.00021951i,-0.00010014+0.00044483i,-0.00010943+0.0010241i,0.00058504+0.00079786i,0.0010954+0.00021281i,0.0013484-1.1858e-05i,0.00089185+0.0003372i,0.00028785+9.8722e-05i,0.00064456+8.0488e-06i,0.00048521-0.00013608i,0.00011319-0.00064463i,-6.1979e-06-0.00088521i,-0.00033704-5.7823e-05i
0.0022919-2.4484e-05i,0.0020322-0.0013427i,0.0020863-0.0017604i,0.00078853-0.00097917i,0.00069161-0.00057052i,0.0011335-0.00035484i,0.00060361+0.00018465i,0.00021637+0.00036141i,-1.4751e-06-0.0002613i,-2.7455e-05-0.00034292i,0.00035537-0.00021336i,0.00018107-0.00052055i,0.0001832-8.1701e-05i,0.00033291+0.00026641i,-0.0007926-1.6634e-05i,-0.0017273-0.00020384i,-0.0017982-0.00031032i,-0.001358-0.0005505i,-0.00051076-0.00022359i,0.00030388+0.00035903i,0.00065122-0.00016291i,0.00064289-0.00074053i,0.00084128-0.00026512i
0.0001524-0.00018482i,-0.00029272+0.0015476i,0.000807+0.0018396i,0.0012265+0.0015615i,-7.1814e-05+0.0011458i,0.00031839+0.00097289i,0.001801+0.0009819i,0.0017919+0.00039928i,0.00059452+2.833e-05i,0.00029108-0.00021997i,0.0005064-0.00043329i,0.00015763-0.00069225i,-0.00040366-0.0009365i,-0.0012303-0.0010536i,-0.0019716-0.00086534i,-0.0015217-0.00084488i,-0.00026424-0.0010021i,0.00030049-0.0010435i,0.00033219-0.00091849i,-1.1712e-05-0.00045766i,-0.00048272+0.00022325i,-0.00054649-9.6199e-05i,-0.00087142-0.00044465i
-0.00155+8.3013e-05i,-0.00081981-0.00049775i,-0.00084612-0.00075753i,-0.00042375-0.0014302i,0.00093237-0.00049345i,0.0010225+0.00016793i,0.00031548-0.00054207i,0.00020448-0.00041566i,0.00054287+0.00039562i,0.00026247+0.00015539i,4.761e-05+0.00028623i,-0.00013041+0.0006786i,-0.00076999-0.00010276i,-0.0015498-0.00071653i,-0.0011407-0.00068576i,-0.00025277-0.00029667i,-0.00054652+0.00011706i,-0.00074766-0.00029787i,-0.00048548-0.001025i,-0.00046118-0.00092075i,-0.00023032+0.00010789i,-0.00033888+0.00046622i,-0.00075138+0.00017708i
0.0019758-0.0010301i,0.0026129-0.00092834i,0.0026591-0.0014694i,0.0017643-0.00058484i,0.00058083+3.8486e-06i,0.00014842+4.6063e-05i,0.00025856-0.00016864i,8.2144e-05-0.00089584i,-5.9739e-05-0.00033978i,-0.00029384+0.00020524i,-0.00074822-0.0005296i,-0.0009647-0.00060504i,-0.0013443-0.00011543i,-0.0011213+0.00034916i,-0.00088057+0.00079711i,-0.00068769+0.00017744i,-0.00020745-0.00033088i,0.00021408+0.00046425i,0.00017497+0.0012114i,5.2677e-06+0.0009525i,0.00067532+0.00031967i,0.00074684-7.8213e-05i,0.00031915-0.00017125i
-0.0015584-0.00072599i,-0.0028531+0.00010945i,-0.0035436+0.00066342i,-0.0019225+0.00076115i,-0.00038848+0.00037196i,0.00050767-0.00022742i,0.00030107-1.6008e-05i,-0.00079889+1.9432e-05i,-0.0015869-0.0001968i,-0.0017538-0.00013721i,-0.001755+0.00041657i,-0.001697+0.0006478i,-0.0014924+0.0011932i,-0.0012101+0.0015055i,-0.0005554+0.0011639i,0.00021738+0.0008619i,2.1967e-05+0.00050599i,-0.00069541+0.0004019i,-0.00055501+8.2827e-05i,-3.9442e-05-0.00041485i,0.00054032-0.00067953i,0.00094268-0.00071902i,0.00073395+0.00024307i
-0.0013503-5.9776e-05i,-0.00066723-0.00047963i,-0.00070676-0.00095243i,-0.00049625-0.0010718i,0.00056693-1.1673e-05i,0.0017564+0.00090545i,0.0021187+0.00069579i,0.0016259+0.00015143i,0.00031671-0.00032954i,-0.00068768-0.00027258i,-0.00066925+0.00013015i,-0.0011012+0.00039504i,-0.0009958+0.00020901i,-0.00010782+0.0002275i,0.00016479+0.00037264i,-0.00034372-0.00042219i,-0.00015165-0.0010044i,0.00037339+9.6673e-05i,0.00070252+0.00058641i,0.00037946-0.00030863i,-0.0003957-0.000338i,-0.0010494-0.00050113i,-0.00010482-0.00073133i
0.0014679+0.0036586i,0.0018167+0.0034963i,0.0023624+0.0032325i,0.0021868+0.0019768i,0.0015712+0.00057142i,0.0010992+0.00020879i,0.0019491+0.00096729i,0.0021808+0.00048365i,0.0012079-0.00082291i,0.00012484-0.0010286i,-0.00035973-0.0011978i,-0.00018255-0.0018339i,0.00037426-0.0014842i,0.00038842-0.0010708i,6.4576e-05-0.0006025i,-0.00050552-0.00046935i,-0.00099932-0.00040812i,-0.00090708+1.9994e-05i,-0.00012047+8.3169e-05i,0.00054186-0.00021545i,0.00022245-0.00022703i,-0.00012465+9.9442e-05i,-0.00029365-0.00017192i
0.0010866-0.00016863i,0.00034078+0.00030007i,0.00082005-0.0001673i,0.00089371-0.00033309i,0.00030793-0.00012682i,3.483e-05+6.2668e-05i,0.0005519+0.00010045i,0.00073238+0.00017386i,0.00048649-0.00035436i,0.00010122-0.0011383i,1.5302e-05-0.00063859i,-0.00073666+0.00012738i,-0.0011598+4.2128e-05i,-0.0011576+0.00033075i,-0.001667+0.00058901i,-0.0013047+6.8914e-05i,-0.00075389-0.00071625i,-0.0007501-0.00078292i,-0.00071159-0.00036579i,-0.0010952-0.00083687i,-0.00037781-0.00065054i,0.00080891+0.00019032i,0.00069343+0.00032295i
0.00072318+0.0015342i,0.001276+0.0013165i,0.00030707+0.00039769i,5.7611e-06-0.00044105i,0.0002251+0.00037517i,0.00065256+0.00036114i,0.0013702-0.00055613i,0.0013848-0.00083503i,0.00087843-0.00066794i,-0.00020144-0.00021477i,-0.00090716-0.00030075i,-0.00099373-0.0012657i,-0.0014493-0.0016931i,-0.0015819-0.00076524i,-0.00097055+0.00019995i,-0.000562+0.00099153i,-8.0828e-05+0.0010067i,-0.00022163+0.00069794i,-0.00052725+0.0005773i,-0.00015976+0.00042082i,0.00047562+0.00031538i,0.00078183-0.00010338i,3.5553e-05-0.00034134i
0.0007559-0.00034785i,-6.4281e-05-0.00056334i,0.0002254-0.0010441i,0.00077695-0.0001413i,0.0011449+0.00052551i,0.0011514+0.00090919i,0.00093753+0.00063975i,0.0013595-0.0001243i,0.0016474+0.00020108i,0.00031781-5.4718e-05i,-0.0011745-0.00090187i,-0.00099605-0.0012958i,-3.5958e-05-0.00031103i,0.00022783+0.000965i,0.00048711+0.0010877i,0.00043754+0.00047056i,-0.00046034+0.00059001i,-0.00087814+0.00019685i,-0.00060343-0.00040159i,-0.00045515-0.00060998i,-0.00037336-0.00063854i,-0.00037656-0.00082726i,-0.00041895-0.0010363i
-0.00041918+0.00095002i,8.9457e-05+0.00015233i,0.00045636-0.00027042i,0.00058663+0.0003601i,0.00070134+0.00059076i,0.00029017+0.00055528i,0.00039027-0.00068118i,0.00097053-0.00070636i,0.00068032+0.00020338i,-0.00040052-0.00056979i,-0.0010703-0.00070033i,-0.00095556-9.9667e-05i,-0.00029386-0.00035825i,0.00014238+0.00019064i,0.00032747+0.00052564i,0.00056831+0.00033943i,-0.00012612+3.0569e-05i,-0.00050001-0.00028367i,-0.00015036-0.00027231i,-0.00039615+7.8405e-05i,-0.00016073+0.00027434i,-0.00022024+0.00012005i,-0.00077907-2.4031e-05i
-0.0006299+0.0014234i,0.00078809+5.4269e-06i,-0.00053708+0.00080066i,-0.00074271+0.0013392i,0.00012972+0.00088695i,0.00090588+0.00069123i,0.0010158+0.00083197i,0.0003421+0.00069478i,-0.00021714+0.00048383i,-0.00085609+0.00086715i,-0.00085378+0.0010328i,-0.00071725+0.00075329i,-0.00011724+0.0011755i,0.00027944+0.0013026i,-0.00016405+0.00027917i,-0.00064056-0.00050246i,-7.3058e-05-0.001014i,0.00079303-0.0009206i,0.00064834-0.00063766i,0.00043495-0.00029202i,-0.00038672+0.0001402i,-0.00099922-0.00020416i,-0.00027146-0.00037769i
0.0024955-9.1164e-05i,0.0025099-0.00027096i,0.0018795-0.0011706i,-0.00026797-0.0017356i,-0.0011157-0.0016713i,-0.00012898-0.00015772i,0.0008123+0.00016477i,0.00072722-0.0007995i,0.0005783-0.0012254i,0.00064909-0.0013243i,-0.00013667-0.0010093i,-0.00037688-0.00071575i,-6.9172e-05-0.0012107i,-3.8543e-05-0.0013066i,0.0003176-0.00036277i,0.00059798-0.00049733i,0.00071215-0.00052765i,0.00077787+0.00033113i,0.00068732+0.00064754i,0.00066099+0.00032251i,0.00058393+0.0004032i,0.00022284+0.00035071i,7.5992e-05-0.00013089i
-0.00075804+0.00023167i,-0.00090655+0.00077825i,-0.00031807+0.0012493i,0.00034849+0.0010659i,0.0017443+0.00096683i,0.0029286+0.0010893i,0.0026516+0.0012478i,0.0016662+0.00068217i,0.00082696+6.2068e-05i,-1.113e-05-0.00070609i,-0.00041268-0.00082551i,-0.00018828-0.00086029i,-0.00053278-0.001122i,-0.00080226-0.00045423i,-0.00060536+0.00028455i,-0.00038856+0.00019175i,4.7084e-05-0.00035723i,0.00039829-0.00032958i,0.00018131-8.1669e-05i,0.00016732-0.00020954i,0.00013611-0.00045902i,1.1054e-05-0.00011024i,0.00012531-0.00016988i
0.0015187+4.005e-06i,0.00063472-0.00093256i,0.00073699-0.00067968i,0.0011084-0.00054792i,0.00073196-0.00029791i,0.00067438-0.00047535i,0.0011721-0.00063136i,0.00038073-0.00015107i,-0.0006645+0.00051641i,-0.0013072+0.00074533i,-0.0017904-0.00022401i,-0.0019528-0.00071524i,-0.0026806-0.00034834i,-0.0019213-0.00069374i,-3.6344e-05-0.001133i,0.00081373-0.0009102i,0.0010643-0.00033042i,0.00087349+0.00021487i,0.00015525+0.00060978i,-0.00088777+0.0006675i,-0.00090842-0.00022371i,-0.00024803-0.0001889i,-0.00023012+0.00045386i
-0.00012805-0.00021795i,0.00042655-0.00027262i,0.00022382-0.00047815i,0.00046294-0.0013597i,0.0011401-0.00047535i,0.0010233+0.00018873i,0.00084553-0.00016774i,0.00045674+0.0003998i,-0.00083101+0.00039071i,-0.0010229-0.00054637i,-0.00044644-0.0014825i,-0.00039755-0.00085221i,-0.00019795+0.00027897i,0.00040365+0.00051971i,-0.00013912-2.0196e-06i,-0.00058487-0.00043869i,-0.00030649-0.00053668i,0.00041793+5.1542e-05i,0.00093061+0.00061899i,0.00049444+0.00077735i,0.00025213+0.0010903i,-0.00014794+0.0010466i,-0.00083123+0.0004392i
0.0023914-0.00022095i,0.00091895-0.0013454i,-6.6399e-05-0.00078222i,-0.00061164-0.00032924i,-0.0007431-0.00085784i,-0.00043715+0.00010403i,0.00115+0.0015819i,0.0018448+0.0010617i,0.0007719-0.00047217i,-0.0005163-0.00090767i,-0.00097834-0.00011343i,-0.00031468-0.00026402i,0.00057657-0.00037029i,0.00073764+2.6379e-05i,0.00037065-0.0002909i,0.000372-0.00073468i,-8.6692e-05-0.00081047i,-0.00079698-0.00071038i,-0.00042366-0.00021249i,9.4258e-05-0.00011058i,2.3671e-05-0.0006771i,0.00051041-0.0011122i,0.00045295-0.00064939i
-0.0003614-9.3861e-05i,0.0012006-0.00014214i,0.0012348-0.00057454i,0.00093895+0.00013718i,0.0010987+0.0021044i,0.0014893+0.0017577i,0.0016425+0.00032391i,0.00042853+0.00013833i,-0.00087738-3.2518e-05i,-0.0015546+0.00047066i,-0.0010296+0.0012095i,-0.00028228+0.0010605i,-0.00081213+0.00020328i,-0.00093577-0.00057332i,-0.00047618+0.00029421i,-0.00024008+0.00044815i,-9.811e-05-0.00030345i,-4.3587e-05-0.00051264i,-0.00024001-0.00012309i,-0.00033746+2.4913e-05i,-0.00025985-0.00053347i,-2.4321e-05-0.00085162i,2.9409e-05-0.00083884i
0.0025542-0.0001308i,0.0025857-0.00034978i,0.002661-0.00061541i,0.0024259-0.00057995i,0.0012044-0.00017833i,0.00016335-5.0416e-05i,0.00033835+1.3848e-05i,0.0006328+0.00060906i,-0.00037075+0.00097642i,-0.0013049+0.00030287i,-0.0010772-0.00055652i,-0.0007732-0.0011452i,-0.0013815-0.0012362i,-0.0012367-0.00097424i,-0.00044002-0.00025131i,-0.00050705+0.00020996i,-0.00052497+0.00058292i,-0.00038677+0.00054884i,0.00011941+0.000323i,0.00079586+0.00032503i,0.00057491+0.00064728i,-0.00067751+0.00053517i,-0.0010979-0.00043197i
9.1312e-06-0.002726i,-0.00068549-0.0018778i,-0.00081205-0.0015852i,-0.00081996-0.0010514i,-0.001054-0.00014125i,0.00028102+0.00010429i,0.0015391+0.00043444i,0.0014605+0.00033405i,0.00078724-0.00094847i,-0.00034988-0.0019081i,-0.00027513-0.0015239i,-0.00016689-0.0015954i,-0.00058213-0.0014328i,-0.00043619-0.00063406i,-0.00052291+0.00026547i,-0.00055581+0.0008641i,1.8873e-05+0.00014713i,0.00022492-0.00022012i,5.8263e-05-3.6874e-05i,3.3422e-05+0.00074872i,0.00014276+0.00057629i,0.00051029-0.0005624i,0.00099332-0.00081349i
0.0010808-0.00043296i,0.0015675+0.00022027i,0.001313-0.00072674i,0.0010051-0.0014809i,0.0012655-0.00030003i,0.0009404+0.0014668i,0.00025637+0.0014236i,-1.8583e-05+0.00033982i,-6.7758e-05+0.00010067i,-0.00040497-0.0004073i,-0.00045917-0.0013009i,-0.00039795-0.001111i,-0.0003392+0.00067259i,-0.00014236+0.0012781i,-0.00041038+0.00095085i,-0.001005+0.00034257i,-0.00082369+0.00049661i,-0.00061072+0.00096416i,-0.00071522+0.00036741i,-4.9692e-05-8.3614e-05i,0.00048512-4.5332e-05i,-8.1055e-05+4.5287e-06i,-0.00045258-0.0004099i
0.0004507-0.0020987i,-0.00036214-0.00070982i,-0.0019804-0.0017935i,-0.0015626-0.0014625i,-0.00096365+0.00080582i,-0.00030787+0.0019526i,0.00064442+0.0017625i,0.00095806+0.00081596i,4.9768e-05-0.00022414i,-0.0013264+0.00011449i,-0.0013382+0.000304i,-0.00070024-0.00062192i,-0.0007862-0.00082416i,-0.00043827-0.00032599i,0.00028411-0.00019386i,0.00052697-0.00029758i,0.00044538-4.4013e-05i,8.0129e-05+0.00086683i,-0.00036249+0.0013233i,-0.00031006+0.0010177i,2.4243e-05+0.00053477i,-0.00025884+0.00042819i,-0.00019562+7.8893e-06i
0.0010363-0.0031278i,0.0011337-0.0028612i,-0.00098414-0.0032192i,-0.0020357-0.0020717i,-0.0015305+5.5654e-08i,-0.00058683+0.0013288i,0.00027855+0.0011254i,0.00050196+0.00053817i,-8.448e-06+0.00052914i,-0.001365+0.0012599i,-0.001884+0.00062794i,-0.0014947-0.00091807i,-0.00096825-0.00071842i,-0.0002779-0.00015132i,0.00025972-0.00052828i,3.916e-05-0.0008103i,-0.0003926-0.00040227i,-0.00038929+0.00019027i,-0.00035549+0.00067054i,-0.00044057+0.00053816i,-0.00035491-3.8948e-05i,8.1182e-05-0.0005892i,0.00057902-0.00034813i
-0.00043166+0.00086666i,0.0003723+0.0011319i,0.001503+0.0014067i,0.0019021+0.0013146i,0.001696+0.00084275i,0.001192+0.00069003i,0.00028696+0.00049507i,3.2857e-06+0.00030803i,-7.7658e-05+0.00039371i,-0.00048314+0.00067816i,-0.00066969+0.00047612i,-0.00019927-0.00050393i,9.9709e-05-0.0012184i,-0.00074532-0.00065354i,-0.00037647+0.00010197i,0.00028567+2.0638e-05i,0.0001582-0.00031422i,0.00019644-0.00052068i,0.00036288+1.1041e-05i,-8.97e-05+0.00069617i,-6.6885e-05+0.00048807i,8.2815e-05+0.00015108i,-0.00034583+0.00038546i
-0.00099016+0.0010442i,-0.0013691+0.00060268i,-0.0023665+0.0003805i,-0.0013158-0.00033481i,0.00037736-6.364e-05i,0.00056372+0.00068272i,0.0007371+0.0011961i,0.00076045+0.00041361i,0.00060795-0.0006253i,0.00062734-0.00085889i,0.00048254-0.00087628i,-0.00066603-0.00061284i,-0.0021225+5.9968e-05i,-0.0016986+0.0004476i,-0.00090997+0.00018175i,-0.00096092-0.00042612i,-0.0011823-0.00054223i,-0.00076082+0.00038266i,-0.00027411+0.00037219i,-0.00019084-0.00038732i,2.27e-05-0.00052997i,-8.535e-05-0.00090483i,-0.00018565-0.0014009i
