-0.0013421+0.0011969i,-0.00087079-0.00041159i,-0.002491-0.00039546i,-0.002357-0.00052348i,-0.0017189+0.00088323i,-0.002249+0.001739i,-0.0014142+0.0016148i,0.00022241+0.0018083i,0.0017027+0.0016291i,0.0020176+0.00058935i,0.00146-0.00060191i,0.001223-0.00030244i,0.00088377-0.00045187i,0.00092202-0.0013323i,0.00033186-0.0006362i,-0.00036946+0.00013154i,0.00028195-9.1952e-05i,0.0010081+0.00029326i,2.7726e-05+0.00076606i,-0.00069305+0.00039061i,-0.00042463-0.00039423i,2.5358e-05-0.00025858i,0.00048165+0.00030059i
-0.00056333+0.0004672i,-0.00016418+0.002313i,0.00035339+0.0029907i,9.1825e-05+0.0027094i,-0.00024199+0.0019522i,-0.00069707+0.00078079i,-0.001159+0.00015915i,-0.00034741+0.00025167i,0.00076395+0.00035987i,0.0010205-0.00033295i,0.00078314-0.0005076i,0.00048678-0.00041798i,0.00060496-0.0010429i,0.0005877-0.00098061i,6.4722e-06-0.00062634i,-0.00020743+8.8232e-05i,-0.00060434+0.00037722i,-0.00050992-0.00025514i,0.00029963-3.007e-05i,0.00054372+0.00056732i,2.7051e-05+0.00058375i,-0.00014562+0.0007312i,-3.0076e-05+0.0008637i
0.00038276+0.00044704i,-0.00053245-0.00018785i,-0.00047707-0.00044283i,-0.00041556-0.0012683i,-1.4107e-05-0.0011364i,0.00055907-0.00021986i,-0.00020531+0.00050659i,-0.00027296+0.00068318i,-0.00013386+0.00023082i,-0.0001813-0.00041981i,3.2155e-05-0.00034461i,0.00085243+2.8533e-06i,0.001843+0.00018994i,0.0014578+0.00068467i,0.0005233+0.00080198i,-0.00047232+0.00036902i,-0.0010373+0.0001891i,-0.00037522+4.2903e-05i,0.00043549-0.00078568i,0.00061659-0.00068271i,0.00034945+0.0001457i,0.00037958+0.00064889i,4.5275e-05+0.0003973i
-0.0012821-0.0020925i,-0.00092847-0.0026491i,-0.00097219-0.0027831i,-0.0015655-0.0018624i,-0.0017516-5.9269e-05i,-0.0015145+0.00090294i,-0.0012443+3.8708e-05i,-0.00064969+6.8707e-05i,-0.00018209+0.0010153i,0.00077226+0.0013135i,0.001093+0.0016132i,0.00078345+0.00065531i,0.0020976-0.0003774i,0.0021204-0.00039227i,0.00062263+0.00010789i,-0.00012699+0.00027146i,-0.00088149+5.8094e-06i,-0.0008409+1.7986e-06i,-0.00054258-0.00011028i,-0.00028902-0.00081959i,-0.00046479-0.00083473i,-0.00072944-0.00073877i,-0.00033831-0.00087775i
-0.0017964+0.0011541i,-0.00090794+0.0018296i,-0.00097118+0.0022423i,-0.00025514+0.0010789i,0.00038333-0.00013705i,-0.00035301-0.00014063i,-0.00034139+0.00055894i,-0.00013934+0.00041569i,0.00030534+0.00013331i,0.0015021-0.00083338i,0.0020258-0.00093988i,0.0021504+1.9958e-05i,0.001752+0.00013585i,0.00015083-0.00028153i,-0.00088605-0.00042369i,-0.0014456-0.00023878i,-0.0014864-0.00025986i,-0.00095494-0.00087263i,-0.00032062-0.00053393i,0.00062668+0.00023622i,0.0009717+7.1224e-05i,0.0011773-1.8705e-05i,0.00080186+0.00062207i
0.0011664-0.0011646i,0.0015115-0.0014479i,0.0011193-0.0032882i,-0.0005683-0.0037269i,-0.0019199-0.0020679i,-0.0023129-0.00012457i,-0.0015617+0.00084929i,-0.00065473+0.0011516i,-0.00099809+0.00088968i,-0.0010758-9.4339e-05i,-0.00037804-0.0002065i,0.00040448+0.0011538i,0.00061702+0.0018618i,0.00021399+0.0013656i,-0.00041533+0.00079484i,-0.00054644+4.0223e-05i,0.00026892-0.00031217i,0.00027838-0.00039241i,-0.00038879-0.00030809i,-0.00050243-0.0001514i,-0.00036421-0.00043415i,-0.00012232-0.0004484i,0.00022216-0.00032073i
0.00038806-0.0012186i,-0.00031911-0.0010911i,-0.00032007-0.0010269i,-0.0005666-0.00059128i,-0.00089596-0.00021286i,-0.00063183-9.7525e-05i,-0.00026285+7.528e-05i,0.00030265-0.00021748i,0.00079949+8.2053e-05i,0.00090016+0.00023645i,0.00091182-0.00040111i,0.00061096-0.00039349i,0.00084099-0.00062902i,0.00075315-0.00033112i,0.00011576+0.00016241i,0.00011306-6.6129e-05i,9.7909e-06-1.6327e-05i,5.3643e-05+0.00046432i,0.00033591-1.3707e-05i,0.00055013-0.0010065i,0.00047398-0.00042351i,-6.9097e-05-1.6588e-05i,0.00050839-0.00083261i
-0.0018623+0.00027747i,-0.0016391+0.00052454i,-0.0026034+0.00084621i,-0.0016449+5.1396e-05i,-0.00031907-0.00047492i,-0.00095281+1.3517e-06i,-0.0011929+0.00036568i,-0.00053267+0.00090729i,0.00033958+0.0007605i,0.00098075+0.00051199i,0.0010006+8.9575e-06i,0.001085-0.00038334i,0.0013206-9.6904e-05i,0.00076414-0.00013837i,-0.00025004+0.00033783i,-0.00076532+0.00064254i,-0.00036989-4.7849e-05i,-0.00036851-0.00049725i,-0.00071104-0.0010642i,-0.00031381-0.00094794i,2.3129e-05-0.00059906i,0.00064861-0.00061297i,0.00066517-0.00024325i
-0.0012135+0.00085313i,-0.0031162+0.0013399i,-0.003785+0.0011948i,-0.002329+0.00014843i,-1.5822e-05-0.0009141i,0.0010674-0.0015681i,0.0009515-0.0016469i,0.00044724-0.00048266i,0.0005917+0.00078486i,0.0011227+0.001041i,0.0011026+0.0010052i,0.00064075+0.00039139i,0.0010116-0.00027825i,0.00094749-0.00054435i,-6.8088e-05-0.00092721i,0.00014113-0.0010235i,0.00064548-0.0005148i,-2.0408e-05-0.00015958i,-0.00049984+8.0837e-05i,-0.00011804-0.00012186i,-0.0001528-1.9708e-05i,-0.00080265-0.00013929i,-0.00021766-0.00043027i
-0.00013045-0.0020489i,0.00044704-0.0018232i,0.00050769-0.00053791i,-0.0003206+0.00010732i,-0.00080019+0.00012506i,-0.00023041-0.00020088i,-0.00043918+0.00018328i,-0.0010204+0.00040471i,-0.00062867-0.0002415i,-7.4534e-05+0.00030244i,-0.00010468+0.00057093i,0.0004006+0.00016444i,0.0010106-6.068e-05i,0.0016128-0.00051904i,0.0017849-0.00044363i,0.00088174-0.00017518i,3.89e-05+0.00014571i,-0.00060036+0.00026649i,-0.00042844-0.00026154i,0.00024924-0.00061059i,0.00025128-0.00085147i,0.00024653-0.0010076i,0.00056006-0.001019i
-0.0001146-9.8089e-05i,-0.00080676+0.00048705i,-0.00016464+3.8087e-06i,0.00099128-0.00092599i,0.0012237-0.00091411i,0.00087802+0.00052635i,0.00024912+0.00081862i,0.00064646+0.00041869i,0.0010421+0.0014911i,0.0010628+0.001941i,0.00060869+0.00066415i,0.00023955-0.00060885i,0.00037588-0.00074081i,0.00012695-0.00079123i,7.7448e-05-0.00098078i,0.00033631-0.0011338i,7.5683e-05-0.0010532i,-0.00027339-0.00030558i,0.00018532-0.00015132i,0.00093963-0.00035014i,0.00092076-0.0001472i,0.00034742+7.1434e-05i,-0.0002059-0.00013682i
-0.00011673-9.3488e-05i,-0.00074298-9.1675e-06i,-0.0021327-0.0016114i,-0.0030665-0.0016842i,-0.0021788+7.578e-05i,-0.00061976+0.00069345i,-0.00075091-0.0002755i,-6.7234e-05-0.00058521i,0.0017155+0.00046096i,0.0018356+0.0009985i,0.0011282+0.00037117i,0.0016031+0.00027498i,0.0012131+0.00090739i,-0.00030658+0.0005036i,-0.00059057-5.0304e-05i,0.00011022-0.00013156i,0.0001136+4.5145e-05i,-0.00073926+0.00075276i,-0.00078984+0.0005552i,-5.5618e-05-0.00028127i,0.00021146-0.00061552i,-0.00038248-0.00047851i,-0.00068533-0.00081208i
-0.0012944-0.0011321i,-0.0016977+0.0002162i,-0.0018522+0.001202i,-0.0013+0.0012278i,-0.00061227+0.00057402i,0.000414+0.00019337i,0.0006954+0.00040596i,9.8747e-05+0.00016149i,0.00031559+0.00016713i,0.00071601+0.00072129i,0.00087517+0.00084846i,0.0020151+0.00062754i,0.0026477-1.9413e-05i,0.0019402-0.00035574i,0.00083079-0.00046488i,0.00094539-0.00052843i,0.00048931-9.4277e-05i,-0.00089633+0.0006781i,-0.00089667+0.0010021i,0.0001933+0.00063933i,0.00013258+0.00010723i,-0.00056808-0.0003993i,-0.00072761-0.00031756i
0.0017982-0.0014407i,0.0023933-0.0013496i,0.002021-0.0019836i,-0.00041708-0.0011345i,-0.0024068-4.7757e-06i,-0.0019271+0.00067922i,-0.00052131+0.00066255i,-0.00066543+0.00024753i,-0.00018642+0.00045727i,0.00011164+0.00049167i,-0.00018096+0.00061002i,1.8313e-05+0.0011233i,0.0010142+0.0003694i,0.0015522-0.00072863i,0.0010169-0.00087894i,0.00061782-0.0010311i,0.00024403-0.00099777i,-6.3762e-05-0.00047766i,-0.00029218+0.00023658i,-0.00045296+0.00044476i,-0.00076706+0.00023249i,-0.00067392-0.00058179i,0.00013145-0.00017343i
-0.00054497-0.0010792i,-0.00054989-0.0010244i,-0.0018306-0.0013057i,-0.0022179-0.0016409i,-0.0014702-0.0008838i,-0.00088364+0.00062295i,-0.00083864+0.00087701i,-0.00040583+0.00072106i,0.00061094+0.0014641i,0.0011307+0.00061004i,0.00089527-0.00075548i,0.0011106-5.6025e-05i,0.00089556+0.0011229i,0.00050503+0.00063084i,-0.00025334-9.3703e-05i,-0.0005796-0.0003222i,-5.7329e-05+4.796e-06i,-0.00013719-3.8597e-05i,9.4715e-05-0.00041362i,0.00028431+0.00023706i,0.00012247+0.0007574i,0.00024427+0.00027747i,0.00017169-0.00011918i
0.0012899+0.00215i,0.0016494+0.0015474i,0.0019337+0.0010146i,0.0016138+7.1969e-06i,0.00074626-0.00039052i,-0.00042379-0.0002637i,-0.00086624-0.00043402i,-0.00042121+1.6505e-05i,-0.0001217+0.00058966i,0.00051317+0.00017368i,0.0010432-6.7049e-05i,0.00083703+0.0005409i,0.0010893+0.00024739i,0.00061196-0.00019177i,0.00042582+0.00039688i,0.00083923+0.00052683i,0.00023002+0.00035933i,-0.00066548+0.00060029i,0.0002108+0.00066397i,0.00085995+0.00022992i,0.00047686+0.00035252i,0.00053668+0.001082i,0.00047817+0.00096058i
0.0036022+6.3828e-05i,0.0031461-0.00053448i,0.0025599-0.0013724i,0.0005727-0.0019849i,-0.0017592-0.0024272i,-0.0029048-0.0016603i,-0.001686-0.00050013i,-0.000617+0.00035088i,0.00013146+0.00068732i,0.00096004+0.0008702i,0.0012028+0.00092603i,0.00098442+0.0010511i,0.0010994+0.00098303i,0.00061588+0.00061951i,0.00054979+0.00081792i,0.00082933+3.9671e-05i,0.00033021-0.00052984i,0.00011055-5.3793e-06i,0.00057816+0.000347i,0.00057792-5.0484e-05i,0.0005947-4.6017e-05i,0.00063046-0.00011495i,0.00044539-0.00018567i
-0.00058662+0.0025036i,0.00060384+0.0012645i,0.0024341+0.0012792i,0.0016054+0.00035985i,0.00087996-0.0013989i,0.00053935-0.0020322i,-0.0002576-0.00093328i,-5.727e-05+0.00087162i,0.00056416+0.0016648i,0.00090357+0.00092305i,0.0012017-0.00023219i,0.0011251-0.00060482i,0.00030975-0.00051841i,0.00010805+5.3692e-05i,0.0001786+0.0009242i,-0.00019282+0.00052494i,-0.00030878-0.00065585i,-0.0001249-0.00083071i,0.00030845-0.00048401i,0.00045728-0.00049391i,-0.00047429-0.0004672i,-0.0006052-0.00063311i,0.00056544-0.00045534i
0.0025305-0.00030102i,0.0028456-0.0012169i,0.0020032-0.0029955i,-0.00069609-0.004051i,-0.001592-0.0031941i,-0.0014639-0.0010607i,-0.00064431+0.00028043i,-3.5418e-05+0.00093832i,0.00026255+0.0011563i,0.00040888+0.00030084i,-1.6393e-05-0.00042526i,-0.0001121+0.00025135i,0.00084758+0.00063843i,0.0016203+0.00067288i,0.0011573+0.00033255i,0.00021037-0.00030726i,0.00013889-0.00061233i,0.00086393-8.5108e-06i,0.0010669-0.00011476i,0.00062712-5.1581e-05i,0.00014642-2.8372e-05i,-0.00044239+2.025e-05i,-0.00071482+0.00058855i
-0.0011439-0.00020839i,-0.0013775-0.0014589i,-0.0015356-0.002079i,-0.00045267-0.0022885i,0.00017935-0.0022718i,0.00010042-0.0022804i,0.00017622-0.0013047i,0.00025404+0.00020188i,-0.00044568+0.001078i,-0.00027689+0.0010478i,0.0015603+2.5376e-05i,0.0025208-0.00074017i,0.00207-0.00031043i,0.0014589+5.5176e-05i,0.00085214-0.00057393i,-0.00024086-0.00062689i,-0.00060478-0.00029485i,-7.2407e-05+0.00020418i,-0.00013241+0.00052285i,-5.8807e-05+0.00063713i,0.00057535-1.9788e-05i,0.00034018-0.00011753i,-0.00061281+0.00023054i
-1.6953e-05+0.00015914i,-0.00059095-0.00030491i,-0.00094896-0.00087968i,-0.0017029-0.0008379i,-0.0022107-0.00076242i,-0.0014977-0.00094797i,-0.00094039-0.001389i,-0.00052477-0.00098204i,0.00023182-7.3114e-05i,0.0016329-0.0002537i,0.0019015-0.00012321i,0.0011503+0.00041869i,0.00083097-5.3398e-05i,0.00088053-0.00024056i,0.00053085+7.9284e-05i,-0.0001602+0.00047909i,-0.00093295+0.00080723i,-0.0010069+0.0010332i,-0.00045756+0.00092651i,-0.00046714+0.0001338i,-0.00042173-0.00019006i,-0.00013721-0.00026534i,0.00016843+0.00014638i
0.00070265-0.00067151i,0.00086427+0.00062525i,0.00072198+0.00065985i,0.00062947+0.0003004i,-0.00033721-0.00015693i,-0.00030894-0.00063514i,0.00049375-0.00084553i,-0.00021244-0.00035969i,0.0001194+0.00060873i,0.0015627+0.00084638i,0.0013701+0.00026344i,0.0004703+3.9562e-05i,4.797e-05+0.0005485i,8.9216e-05+0.00050821i,0.0001005+0.00011214i,-0.00030701-0.00054124i,-0.00069812-0.00095835i,7.9273e-07-0.00035858i,0.00059716+0.00027033i,0.00046118+0.00022079i,7.2276e-05+5.7674e-06i,0.00015333-0.00074109i,0.00037736-0.00045965i
-0.0015479+4.6729e-05i,-0.00091324+0.00032593i,-0.00037705+0.0012206i,0.00058844+0.0017175i,0.0017955+0.0016849i,0.0016276+0.0005097i,0.001601+4.8538e-05i,0.0012312+0.00076104i,0.0006563+0.001347i,0.00089016+0.001653i,0.00077414+0.00025034i,0.0007741-0.00060314i,0.00093507-6.6607e-05i,0.00064715-0.0003948i,2.6773e-05-0.00079167i,-0.00016412-0.0001336i,-0.00037337+9.8913e-05i,-0.00037953-0.00018874i,-0.00013709+0.00063763i,0.00016788+0.0012794i,0.00098996+0.00064494i,0.0014049-5.1544e-05i,0.00075846-2.2421e-05i
0.0021953-0.0014193i,0.0021871-0.0018158i,0.00029623-0.0041091i,-0.0021496-0.0045526i,-0.0030345-0.0028968i,-0.0021922-0.000767i,-0.0014342-9.6917e-05i,-0.0014311-0.00022682i,-0.00060621+0.00026024i,0.00016446+6.7814e-05i,0.00022821+0.00021164i,0.00022844+0.00092159i,-0.00016182+0.0017097i,-0.00046743+0.0016551i,5.4412e-05+0.00092509i,-0.00012958+0.00016866i,-0.00039294-0.00063759i,-0.00029236-0.00093355i,-0.00011806-0.0011199i,0.00043344-0.00074475i,0.00058801+0.00016727i,0.00065052+8.1673e-05i,0.00047329+0.00019449i
0.00069996-0.001028i,-0.00022855-0.0012285i,-0.00090673-0.00032147i,-0.0011408+0.0013942i,-0.0013796+0.0012833i,-0.00104+0.00054314i,-0.0010257-2.7433e-05i,-0.00066641+0.00019897i,3.9932e-05-5.1508e-05i,0.00038454-0.00014868i,0.00086205-0.00028574i,0.0015024-3.8844e-05i,0.0015929+0.00066533i,0.0017026+0.00085024i,0.00093289-0.00059301i,-7.1053e-05-0.0014127i,-0.0003884-0.00074647i,-0.00037326-0.00082475i,-0.00025734-0.00038531i,-0.00059967+7.4445e-06i,-0.00020072-0.00054112i,-0.00031695-0.00076518i,-0.00084487-0.0005942i
0.00074195+0.00082144i,0.00018406+0.00045908i,-0.00062531-0.0012403i,-0.00080497-0.0015301i,-0.00091351-0.00042666i,-0.0011288-3.5006e-05i,-0.0010235-0.00021741i,-0.0010787+0.00062318i,-0.00065882+0.0012149i,0.00056945-2.0698e-05i,0.0010833-0.00051341i,0.0012681-0.00057565i,0.0010846-0.00064048i,0.00043206+4.9033e-07i,0.00017966+0.0006062i,-0.00027469+0.00078688i,-0.00071141+0.00030357i,-0.00067451+2.7117e-05i,-0.00073623+0.00029658i,-0.0011893+0.0004063i,-0.0011485+0.00043534i,-0.00058922-8.9688e-05i,-4.9376e-05-0.00041529i
-0.00087826-0.00089371i,-0.00061822-0.00047991i,-0.0020726-0.0011378i,-0.0024564-0.0021398i,-0.0011136-0.0012362i,0.00023418-0.00012318i,0.0011278-0.00036127i,0.0013395+0.00051282i,0.0014063+0.0010104i,0.0015152+0.00024876i,0.0017762+0.00021155i,0.0014138+0.00041803i,0.00053009-3.3607e-05i,0.00014481+3.8562e-05i,-0.00053643+0.00055591i,-0.00051329-0.00015185i,-8.802e-05-0.00053866i,-2.8071e-05-0.0003587i,0.0007722+0.00033833i,0.0010094+0.0010419i,0.00046588+0.00021423i,0.00026958-0.00063234i,0.00034525-0.0010039i
-0.00039361+0.0013302i,0.00090552+0.0017265i,0.00065628+0.001512i,0.00042005+0.00070574i,0.00071932+0.00021556i,0.0007197-0.00049142i,0.00031949-0.00029507i,-0.00010311+0.00095917i,0.00062558+0.0013537i,0.0011779+0.001129i,0.0014561+0.00029138i,0.0016538-0.00044724i,0.0013919-0.00046707i,6.1734e-05-0.00021549i,-0.00042363-0.0003763i,-4.4883e-05-0.001039i,0.00013237-0.0010316i,0.00031729-0.00057597i,8.1073e-05-5.1239e-05i,0.00030945-0.00018423i,0.00043368-0.00031098i,-0.00022598+0.00064347i,-0.00029071+0.00083178i
-2.1678e-05+0.0010217i,0.00063403+0.0013498i,0.00082746+0.0015541i,-0.00048907+0.00029669i,-0.0012995-0.0016772i,-0.00059667-0.0023918i,-0.00082914-0.00088928i,-0.0016405+0.00045736i,-0.00085299+0.00099287i,0.00038506+0.00095892i,0.00054948+0.00032309i,0.00086509+0.00034498i,0.00064419+0.00081158i,7.8616e-05+0.0010911i,0.00023347+0.0014733i,0.00041682+0.0016824i,0.00073169+0.001304i,0.00057935+0.00070022i,2.8797e-05+0.00098714i,-1.0642e-05+0.0010745i,0.00049864+0.00082657i,0.00087471+0.00097165i,0.00059041+0.00035567i
0.0010591-0.001667i,0.0018112-0.0022869i,0.00072827-0.0028355i,-0.0011891-0.0036402i,-0.002397-0.003337i,-0.0017717-0.0016425i,-0.00075909-0.00070804i,-0.00057875-0.00032542i,-0.00024305+0.00025983i,0.00050974+0.0003437i,0.00058622+0.00045435i,0.00010254+0.00074845i,0.00083201+0.00081725i,0.0013294+0.00027089i,0.00095012-9.24e-05i,0.00060557+8.6687e-05i,0.00068961-3.8355e-05i,0.00058202+0.00016549i,3.3102e-05+9.6752e-05i,0.00029189-0.00065482i,0.00029349-0.00053846i,-6.3083e-05-4.6236e-05i,0.000377-0.00029865i
-0.0023447-0.00055054i,-0.0017692-0.00017313i,-0.002445+0.00098568i,-0.0024224+0.001568i,-0.0010743+0.00047831i,0.00032684-0.00038367i,7.9272e-05-0.00089634i,-0.00027158-0.00084608i,0.00015469-8.3296e-05i,0.00023021+0.00022635i,0.0005049-0.00012163i,0.0011585-0.0001025i,0.0015989-0.00019133i,0.0015961-0.00044216i,0.0010122+5.403e-05i,0.00023765-3.8593e-05i,-4.6718e-05+0.00012721i,-0.00018206+0.00024187i,-0.00012196+3.724e-06i,0.00018844+0.00067774i,0.00031249+0.00090759i,-0.00020859+0.00039869i,-0.00045581-0.00053624i
0.00024707-0.0022879i,0.00065741-0.0032924i,-0.00092078-0.0043663i,-0.0010937-0.0026942i,-0.00047007-0.0010516i,0.00025856-0.00028855i,0.00059323+0.00060824i,0.00013887+0.00042593i,-0.00011956+9.0933e-05i,-0.00056814+0.00013379i,-0.00030482+0.00053223i,0.00095493+0.00061458i,0.0020535+0.0010482i,0.0019964+0.0006896i,0.0011305+4.0071e-05i,0.0011061-0.00010423i,0.00073046-4.2813e-05i,0.00049626+0.00023813i,6.0055e-05-0.00016149i,-0.00040241-0.00067464i,-5.0903e-05-0.0011658i,-0.00021006-0.0007205i,-7.2783e-05+0.00053247i
-0.0019896-0.0021158i,-0.0012951-0.001195i,-0.0016667-8.9509e-05i,-0.0021398+0.00096467i,-0.0018616+0.0010737i,-0.000797+0.00057782i,-0.0006809+0.00038435i,-0.00081683+0.00069575i,-0.00028573+0.0013324i,0.00010031+0.001523i,0.0014173+0.0017191i,0.0028102+0.001836i,0.0026004+0.00082205i,0.0019086+0.0003574i,0.00082381+0.00041412i,-0.00016637-0.0002003i,-0.00014664-8.2958e-05i,-8.8436e-05+0.00076651i,-0.0006192+0.0009076i,-0.00099478+5.9102e-05i,-0.00040898+0.00015456i,-1.4392e-05+0.00013316i,0.00012783-0.000198i
-0.0016953-0.0012315i,-0.001053-0.0007715i,-0.002468+0.00042071i,-0.0040909+0.0013982i,-0.0032873+0.0013607i,-0.001339+0.0012933i,-0.00057914+0.00044319i,-0.00045169+0.00027305i,0.00020091+0.00081916i,0.00056184+0.00031703i,0.00042093-0.00021441i,0.00081754+0.00023817i,0.00148+0.0010461i,0.0011099+0.00042016i,0.00063467-0.00066511i,0.00046981-0.00055465i,-0.00042077-0.00026804i,-0.0013962-0.00033051i,-0.0014136+6.1434e-06i,-0.0010928+0.00093083i,-0.00059955+0.00078226i,0.0005105-0.00043363i,0.00090353-0.00021529i
0.0013746-0.0016198i,0.00019359-0.0019394i,-0.00042709-0.0035241i,-0.0021786-0.0032542i,-0.0031988-0.0023276i,-0.0019921-0.0014466i,-0.0013317-0.00031178i,-0.00065009+0.00025532i,7.3109e-05+0.00027124i,0.00035762+0.00080862i,0.00031006+0.0013123i,0.00065476+0.00096207i,0.0016319+0.00058189i,0.0018787+0.00031042i,0.0011828-4.2099e-05i,0.0002845-0.00078013i,-0.00094955-0.00064163i,-0.0012074-0.00044831i,-0.00034084-0.00030795i,0.00013919+0.0001736i,0.00011896+0.00070387i,-0.00019105+0.00081311i,-0.000341-0.0001351i
0.00031338-0.00094085i,0.00022285-0.0014211i,-0.00013212-0.0015107i,-0.0012735-0.0038037i,-0.0017011-0.0042897i,-0.0015304-0.0020312i,-0.00080172-0.001289i,-0.00010241-0.00068451i,8.3528e-05+0.00040353i,0.00041058+0.00050034i,0.0010602+0.00027071i,0.001222+0.00035989i,0.00097143+0.00014885i,0.0010886+0.00012502i,0.0012419+0.00032314i,0.00079032+0.00027371i,-0.0002451-0.00045581i,-0.00022179-0.0010222i,-0.00024285-0.00049659i,-0.0007132-0.00022233i,-0.00047747+1.1085e-05i,-0.00039939+0.00024705i,-0.00040499+0.00036367i
0.0016412-0.00010922i,0.000983-0.0011376i,0.00010542-0.0025157i,-0.0016603-0.0027977i,-0.0017866-0.0019587i,-0.0007644-0.00034179i,1.1233e-05+0.00060996i,-0.00045253+0.00087953i,-0.0001449+0.0013032i,0.0012135+0.0010935i,0.0011724+0.00062473i,0.0012167+0.00042331i,0.0013803+0.00061718i,0.00064972+0.00082649i,-3.9551e-05-0.00018106i,0.00014759-0.0012416i,-1.321e-05-0.00014345i,-0.00062279+0.00065746i,-0.00060702-1.445e-05i,-0.00084508-0.00073752i,-0.00031046-0.00070065i,0.00028551+0.00016569i,0.00035179+0.00080722i
-0.00047011+0.0019254i,-0.0010496+0.0024946i,0.00031857+0.0027904i,0.0015663+0.0023349i,0.0014536+0.00047271i,0.0004326-0.00077134i,-0.00091507-0.0007489i,-0.0011242+0.00014931i,0.00053938+0.001132i,0.0017198+0.00058952i,0.0015761-0.00073317i,0.000841-0.00099032i,0.00063515-0.00015986i,0.00011117+0.00044528i,-0.00068879+0.00041309i,-0.00076116+0.00050034i,-0.0010447+0.00031413i,-0.00083125-0.00030149i,-8.0944e-05-0.00074128i,0.00022591-0.00052414i,0.00032994+3.5547e-05i,0.00032604+0.000259i,-0.0004377+0.00041065i
-0.0023486+0.0017575i,-0.0023154+0.00063738i,-0.0019073+0.00017577i,-0.0015724-0.00027318i,-0.00092584-0.00077193i,-0.00031292-0.0009549i,-0.00060649-0.00050251i,-0.00012039+0.00014139i,0.00049877+0.00093157i,0.001135+0.00073498i,0.0017808-0.00037447i,0.0019936-0.0011997i,0.0015263-0.0008828i,0.00055506-0.00031957i,-1.29e-05+0.00025051i,-0.00032808+0.00038023i,-0.00066007-0.00027502i,-0.00099976-0.00047588i,-0.00063664-3.4593e-05i,8.7793e-05-0.00028927i,-0.00022408-0.00035129i,-0.00060177+0.00045299i,0.00021579+0.00043483i
0.00037672+0.00057453i,0.0010666+0.00056984i,-0.00039202+0.00031976i,-0.001815-7.191e-05i,-0.0018191-0.00044061i,-0.00033741-0.00044055i,-0.00038255+5.6602e-06i,-0.00084719+0.00072694i,5.8362e-05+0.0014547i,0.00032087+0.0014413i,1.2663e-05+0.00077707i,0.0001361+0.00069895i,0.00056094+0.00069942i,0.00037574+0.00070819i,-0.00051148+0.00031615i,-0.00019193-0.00059703i,0.00084022-0.00097477i,0.00077792-0.00064869i,8.2817e-05-0.00013009i,-0.00022299-9.82e-05i,-0.0003057+0.00019508i,-9.3797e-05+0.0003663i,-0.00014838+0.00033971i
-0.001809+0.0018194i,-0.0010722+0.0021818i,-0.00064223+0.0030778i,0.0014661+0.0016457i,0.0021555-0.00039572i,-6.6965e-05-0.001228i,-0.0011785-0.00096213i,-0.00039486+0.00019301i,-5.7533e-05+0.0011543i,-3.7529e-05+0.0012815i,0.00038698+0.00077438i,0.00057171+0.0004065i,0.00085197+0.00040001i,-0.00014858+0.00059988i,-0.0013887+0.00046761i,-0.00070689+0.00024271i,0.00051527+2.1052e-05i,-5.0137e-05-0.0005137i,-0.00080465-0.00027409i,0.00052155+0.00020351i,0.00034805+0.00073147i,-0.00098927+0.00092518i,-0.0010224-4.3486e-05i
-0.00037999-0.00074667i,-0.00095521-0.0019431i,-0.0016559-0.002759i,-0.00088474-0.0023391i,-9.4481e-06-0.0012679i,0.00064211+0.00030378i,0.00061593+0.0010684i,0.00011435+0.001426i,0.00021046+0.0012301i,0.00049318+0.0010205i,0.00098134+0.00036613i,0.0010085+0.00011308i,0.00082171+0.00069716i,0.00020144+0.00038452i,-0.00027344-0.00015879i,4.4945e-05-0.00038314i,0.00067426-0.00081461i,0.00087514-0.00051394i,-0.00044831-0.00032823i,-0.0015045-0.00077462i,-0.0012421-0.0013614i,-0.00023684-0.00082298i,-6.6547e-05+0.00039921i
-8.3902e-05-0.00018303i,0.00054722-0.00097883i,-0.00032719-0.00041192i,-0.00099489+0.00083615i,-0.00010764+0.0012564i,0.00073872+0.0002529i,0.00036931-0.0006279i,0.00040396-0.00045004i,0.0012813+0.00082161i,0.002009+0.0011307i,0.0020997+0.00035189i,0.0019453+0.0002513i,0.0011581+0.00047898i,0.0013753+0.00027305i,0.0012141+0.00030581i,9.4265e-05-4.4284e-05i,-0.00038096-0.0001175i,-0.00084297+0.00069091i,-0.00014844+0.0012477i,0.00077913+0.0007365i,0.00060789+0.00045538i,-6.1461e-05-0.0001955i,-0.00035699-0.00025307i
-0.00022155-0.00022678i,-0.0010411+0.00039594i,-0.0029993+0.0020974i,-0.0030185+0.0030702i,-0.00087599+0.0024444i,0.00074989+0.0016088i,0.00018821+0.00098102i,-0.0010536+0.0014449i,-0.0011593+0.0022648i,-0.00017713+0.0016914i,0.00047028+0.00070097i,0.00090701-8.989e-06i,0.0011928-0.00019062i,0.0014851-0.00084201i,0.00095276-0.001271i,-5.9301e-05-0.00079082i,-5.1092e-05-0.00078758i,-0.00057006-0.00080138i,-0.0011797-0.00011616i,-0.00099032-0.00020555i,-0.00013383-0.00044019i,0.00016294-0.00052583i,-0.00022709-0.00061166i
