-0.0042055+0.0023048i,-0.0025102+0.0034813i,-0.0021728+0.004533i,-0.0020329+0.0039888i,-0.00040815+0.0036782i,0.00053152+0.0034512i,0.00048112+0.0028567i,0.00052692+0.0024331i,0.00021303+0.00189i,0.00078344+0.0012475i,0.001009+0.0001247i,6.2153e-05-0.00074157i,-0.00039965-0.0014985i,-0.00013659-0.0011723i,-0.00019235+4.7246e-05i,-0.00078935+0.00014436i,-0.00081118+0.00024918i,-0.00041725+0.00075116i,-0.00055631+2.1808e-05i,0.00026599-0.00041948i,0.00068434-0.00058534i,-2.4255e-05-0.00010739i,0.00012945+0.00012797i
-0.00054458+0.0019703i,-0.00014188+0.0012951i,0.00049905+0.0011639i,7.4968e-05+0.0011609i,0.00016817+0.0006097i,-0.00022458+0.00036645i,-0.00048289+0.00036728i,-0.00012915+0.00070169i,-0.00014934+0.00060185i,0.00036785-0.00022284i,0.00031794-0.00084632i,-0.00049371-0.00057838i,-0.00068072-6.7346e-06i,-0.00055344+7.7888e-05i,-0.0002957+0.00018711i,-9.7734e-05-9.4424e-06i,-0.000321-0.00040126i,-0.00059838-0.00096378i,4.3486e-05-0.0007676i,0.00045512-0.00049262i,0.00053824-0.00037985i,0.00080013-0.00016255i,0.00010419-7.4462e-05i
0.00018838-0.0013558i,-0.00017141-0.00077241i,-0.00058789-0.00069788i,-0.00091554-0.0001417i,-0.00078697+0.00031247i,8.8525e-05+0.0004663i,0.00059816+0.00051545i,0.00049458-5.8651e-05i,0.000541-0.00065564i,0.00019043-0.00088263i,0.00017606+2.4809e-06i,0.00048957+0.001064i,0.00068892+0.0010976i,5.8823e-05+3.1444e-05i,-0.000334-0.00040304i,0.00037716-1.9316e-06i,0.000918-0.00077927i,0.00048637-0.0012146i,-0.0003019-3.1506e-06i,-0.00087412+0.0011564i,-0.00082094+0.00077421i,-0.0007502+0.00028991i,-0.00049773-0.00014547i
0.00013314+0.001538i,0.00089522+0.0012302i,0.00044522+0.0015251i,0.00072363+0.002184i,0.000446+0.0015518i,-0.00010912+0.00072448i,-3.6776e-06+0.0005523i,6.8009e-05+0.00045458i,0.00013945+0.00017596i,0.0005657+7.264e-05i,9.6865e-05+0.00033595i,-0.00012256+0.00044005i,0.00020531+0.00010353i,0.0001146-0.00032138i,0.00013498-0.0003597i,-0.00011003+0.00045759i,-0.00058318+0.00035478i,-0.00093884+1.8281e-05i,-0.00058168+0.00017164i,0.0003999+0.00015459i,0.00078928-0.00058955i,0.00065979-0.00079053i,0.00049208-0.00060141i
0.0015506-0.00033185i,0.0013624+0.0002507i,0.0010386+0.00023605i,1.8843e-05-0.00035826i,-0.0013926-0.00080243i,-0.002316+0.00034709i,-0.0016468+0.0014409i,-0.00053738+0.00098161i,7.6577e-05+0.00034987i,0.00034552-0.00034857i,0.0003459-0.00049656i,0.00061292+0.00012347i,0.00014824+0.00025055i,-3.722e-05-0.00032517i,0.00033036-0.0008198i,-0.00039716-0.00028129i,-0.00071911+0.00032889i,-0.00021412+0.00057101i,0.0005929+0.0006638i,0.0010764+0.00035743i,0.0010592+0.00049685i,0.00043509+0.00085297i,0.00026482+0.00023002i
0.00055008-0.0016483i,5.9281e-05-0.0022923i,-0.00056126-0.0017421i,-0.0010613-0.0010722i,-0.00089612-0.00016266i,-0.00044925+0.00062775i,0.00018393+0.001047i,0.0010343+0.0009127i,0.001142-0.00060197i,0.00023123-0.0018411i,8.0329e-05-0.0011684i,0.00050126+0.00027116i,0.00052141+0.00078883i,0.00012584+0.00049206i,-0.00048601-0.00020672i,-0.00028308-0.00098202i,0.00022775-0.0008546i,5.8802e-05-0.00014638i,-0.00064642+0.0002384i,-0.0002599+1.2889e-05i,0.00042228-0.00033977i,0.00055748-0.00038131i,0.00047702-0.0001965i
-0.0010416+0.0031888i,0.00074926+0.0020335i,0.0022787+0.0010852i,0.0020992+0.00043796i,0.0014612+0.00053202i,0.00088269+0.00052819i,0.00034518-8.6888e-05i,0.00057845-5.3069e-05i,0.00052218+0.00045669i,6.1246e-05+0.0010955i,-0.00069261+0.00067552i,-0.00071259-0.0006793i,0.00033093-0.0016321i,0.00047205-0.0013422i,9.8448e-05-4.7081e-05i,-0.00011233+0.00063041i,7.1052e-06+0.0005694i,-0.00024556+0.00031596i,-0.0003929+0.00026466i,1.9298e-05+0.0012839i,-0.00029903+0.0015004i,-0.00068414+0.00069752i,-0.00034755+0.00024478i
0.00046088-0.0025633i,-0.0023871-0.0012666i,-0.0034329+1.1724e-05i,-0.0020726+0.0005331i,-0.00095038+0.0016487i,-0.00037252+0.0022555i,0.0005576+0.0013133i,0.00096073-4.2982e-05i,0.00010782-0.00060536i,-0.00061951+0.00023207i,-0.00057058+0.00093038i,-0.00049984+0.00072949i,-0.0001965-0.00049805i,0.00027251-0.0010696i,0.00039688-0.00049519i,0.00043501-0.00047741i,0.00036467-0.00064831i,7.1249e-05-0.00032663i,-6.3707e-05-6.1572e-05i,-0.00023594-0.00027842i,-0.00037881-0.00057593i,-5.3454e-05-0.00071583i,0.00063041-0.00036011i
-0.0010131-0.00030068i,-0.0016571-6.9274e-05i,-0.0014882+0.0014141i,-0.00020457+0.0020398i,0.0012204+0.0015386i,0.0014056+0.00035557i,0.0010217+2.9855e-05i,0.00079792+0.0010373i,0.00060942+0.0013533i,0.0010203+0.00090174i,0.0013296+0.0005147i,0.00076377-0.00019146i,0.00010748-0.00040042i,-0.00030806-0.00028377i,-0.0006042+5.5019e-05i,-0.00041827-0.00017282i,2.3951e-05-0.0005709i,0.0001518-0.00011673i,3.3979e-05+1.4021e-07i,0.00010052+5.1789e-05i,-2.9271e-05-5.6972e-05i,0.00014364-0.00075398i,0.00062181-0.0009372i
-0.00084587-0.00073886i,-0.0012386-0.00037614i,-0.00084084+0.00059202i,-0.0010064+0.00037466i,-0.0017171-0.00012755i,-0.00098104-9.0066e-05i,-0.00014111+0.00036736i,-0.00013198+0.00050803i,0.00025764+0.00032568i,0.00044664+0.00045248i,0.00027989-0.00016955i,0.00057645-0.00058465i,0.0007941-0.00019693i,0.00015171-0.00025257i,-0.00073515-0.00050581i,-0.00097504-8.8249e-05i,-0.00030835-0.00021015i,0.00043741-0.00064298i,-0.00017892-0.0006016i,-7.498e-05-0.00055215i,0.000187-0.0004118i,-0.0004225-6.8011e-05i,-9.888e-05+0.00083551i
-0.00089151-0.0013034i,-0.0013699-0.0015165i,-0.001104-0.0013508i,-0.0009714-0.00052701i,-0.00041379+0.00062406i,0.00011357+0.00064526i,0.00054819+0.00069966i,0.00096744+0.0005222i,0.00091145+0.00040377i,0.0003505+0.00070192i,-0.00065902+0.0008479i,-0.00064836+0.00020187i,-0.00054501-0.00015385i,-0.00035429-0.00013662i,0.00047875-0.00053526i,7.94e-05+0.00019983i,-0.00050816+0.0007242i,-0.0011665+0.00049659i,-0.0016774+0.00081216i,-0.00070655+0.0012743i,-2.7413e-05+0.0012287i,-1.9926e-05+0.00088695i,0.0001989+0.00056207i
1.4965e-06-9.8833e-05i,0.00066313+0.00017485i,0.0001015+0.00065952i,-0.00047971+0.00056251i,-0.00029114+0.00055411i,-0.00044144+0.00060546i,-0.00071393+0.00013858i,-0.00017886+7.2099e-05i,0.00038924+0.00060144i,-0.00036781+0.00050074i,-0.00099516-0.00013745i,-0.00031463-2.9372e-05i,0.00055312+0.00057718i,-4.0334e-06+0.00046421i,-0.00033194+0.00025883i,-0.00032947+0.00020341i,-0.00016954+0.00024414i,0.00025676+0.00048522i,-2.2187e-05-0.00019579i,7.7549e-05-0.00074251i,0.00027145-0.00047472i,4.466e-05-0.00048683i,0.00037093+0.00018646i
-0.00041038-0.00058112i,0.00053965+0.00063555i,8.0019e-05+0.00055698i,-9.3532e-05+0.00046595i,0.00037175+0.0012395i,0.00072768+0.0014713i,0.00072361+0.0013461i,0.00070281+0.0012429i,0.00028161+0.00090084i,0.00056014-0.000215i,0.00038441-0.00070077i,3.8177e-05-0.00029842i,9.1018e-05-0.00072933i,3.254e-05-0.0014252i,0.00015424-0.00071101i,0.00022367+0.00025677i,-0.00028252+0.00032538i,-0.00051338-9.4321e-05i,-9.3927e-05+5.5406e-05i,0.00015134+0.00037468i,-0.00011976+0.00014776i,-7.4874e-05+0.00035672i,-5.6371e-05+0.00034725i
-0.00059435+0.00020163i,-0.00055399+0.00043133i,-0.00083001+0.0017312i,-0.0012598+0.0026143i,-0.00084557+0.0021218i,0.00017303+0.0013796i,0.00033382+0.00014986i,0.00020112-0.0005954i,0.00020102-0.00068752i,-9.0356e-05-0.000696i,-0.00047942+3.3339e-05i,-0.00021946+0.00044128i,0.00025632+0.00057963i,-0.00035073+0.00033164i,-0.0012063+6.6931e-05i,-0.00098231-6.4593e-05i,-0.00012336-0.0003823i,0.00029943-3.2383e-06i,6.316e-05+0.00034226i,-7.0051e-05+0.00027323i,-4.6485e-05+0.00032217i,7.0216e-05-0.00017474i,0.00025413-0.00064132i
-0.00073013+0.0014579i,-0.00040233+0.0027183i,-0.00078811+0.0031973i,-0.0004796+0.0022815i,6.4635e-05+0.0014857i,5.9812e-05+0.00063323i,0.00031488+0.00059792i,0.00078996+0.0011268i,0.00085262+0.00054328i,0.0006068-0.00037091i,0.00035236-0.00022824i,0.00079314+3.2635e-06i,0.00021404-0.00053537i,-0.00093313-0.00092728i,-0.001312-0.00064716i,-0.0012037-0.00055312i,-0.00074315-0.00079747i,-0.00034418-0.0006192i,-8.6778e-05-0.00021321i,-0.00012484-0.00015526i,-0.00014821-0.00029037i,-0.00024528+0.00016082i,-0.00021025+0.00019588i
-0.00029226+3.1575e-05i,-0.001156-0.00031345i,-0.00095459-0.00070467i,-0.0012025-0.0011436i,-0.0014582-0.0011602i,-0.00058192-0.00044362i,4.0779e-05+0.00051204i,0.00010675+0.00092607i,0.00083358+0.00058452i,0.0014958-8.716e-05i,0.00039905-0.00046521i,-0.00093221+8.5021e-06i,-0.0012794+0.00052254i,-0.00099369+6.872e-05i,-0.00033322-0.00089499i,0.00013406-0.00062433i,0.00023128+9.4825e-05i,7.2955e-05-0.00022289i,0.00049436-0.00048654i,0.00045748-0.00012049i,0.00027208+0.00094224i,0.00030963+0.0017069i,-0.00015285+0.00097966i
0.0029127+0.00091993i,0.0032887+0.00051777i,0.0032306+0.00052601i,0.0020375-8.7114e-05i,0.00073618-0.000283i,-0.00078487-0.00028537i,-0.0011264+0.00050312i,0.00024207+0.0016846i,0.0010462+0.0015106i,0.00096775+0.00039927i,0.00066579-1.9458e-05i,0.00064703-0.00034503i,0.00070258-0.0014539i,0.00059334-0.0018936i,-0.00037971-0.0014664i,-0.00079118-0.0011205i,-5.9725e-05-0.00062469i,0.0003373-0.00023512i,0.00017976-0.00033142i,0.00046573+0.00019198i,0.00082661+0.00045258i,0.00049631-0.00028962i,-0.00014932-0.00029687i
0.0015583-0.00021971i,0.0002436-0.0012551i,0.00031616-0.0013272i,0.00082272-0.00042976i,0.00050273-0.00043429i,8.6606e-05-0.00020333i,0.00037271+0.00032342i,0.00072906+0.00068375i,0.0017885+0.00034388i,0.0015286-0.00062262i,0.00041226-0.00067273i,-0.00024867+0.00038465i,-0.0005896+0.0003051i,-0.00037856-0.00069828i,-0.00057895-0.0013066i,-0.00057537-0.0012371i,-0.00044117-0.00056291i,-0.00019929-0.00039628i,0.00049476-0.00029193i,0.00041845-0.00021176i,3.3081e-05-0.00051587i,-0.00072926-0.00052834i,-0.00035922+0.00033747i
0.001582+0.00095036i,0.0026656-3.1807e-05i,0.0021323-0.00036473i,0.00050832-0.00044099i,-0.00034748-0.00060868i,-8.2656e-05-0.00037282i,-6.0548e-05+0.00035161i,0.00046611+0.00040551i,0.0012541+0.00045567i,0.0012093-0.00027653i,0.00090744-5.4533e-05i,0.00048132+0.00027859i,0.00011029-0.00012417i,-8.7775e-05+0.00016776i,-0.00038289+0.00047541i,-9.5037e-05+0.00033425i,7.899e-05+0.0001308i,-0.00034918+0.00036339i,-0.00063939+0.00050939i,-0.00018606-0.00015086i,0.00022124-0.00044881i,-0.00021059-0.00011872i,-0.00030124+0.00019324i
0.00064963+0.0012292i,-0.00023865+0.0013376i,-0.00044538+0.0015061i,-0.00019066+0.00081797i,0.00036705-0.00059905i,0.00059107-0.00034974i,0.0004078+5.9894e-05i,0.00051261+0.00069274i,0.00069659+0.00094833i,0.00097561+0.00030825i,0.0012504-0.00057268i,0.00054144-0.00098366i,-0.00019109-0.00096346i,-0.00010351-0.00077011i,0.00027982-0.00049957i,0.00064077+0.00010728i,0.00060445+0.00061158i,0.00034817+5.9871e-06i,0.00027812-5.248e-05i,9.3023e-05+0.00073413i,0.00013197+0.00062424i,0.00062112+0.00021963i,0.00057192+0.00022568i
0.0014099+0.0024712i,0.0012297+0.0011104i,0.000926+0.00051098i,0.00063098+0.00036561i,-0.00031897+4.2284e-05i,-0.0012223-3.468e-05i,-0.0011793+0.00014047i,-0.00040601+0.00077364i,0.00047352+0.00097573i,0.00080701+0.00023501i,0.00070768-0.00010128i,0.00010634+0.00030196i,-0.00074627+0.00070178i,-0.0012434+0.00034977i,-0.00077311+0.00035679i,-0.00048861-0.00020516i,-0.00045482-0.00041975i,-0.00033158+0.00031052i,-0.00039826+0.0013578i,-0.0005429+0.001663i,-0.00050211+0.00044133i,5.2876e-06-0.00076093i,0.00090331-0.00074119i
0.0012474+0.0012799i,0.001646+0.00038976i,0.0022204-0.00022649i,0.0022636-0.00021373i,0.0011085-0.00068406i,0.00026905-0.0016453i,0.00084767-0.00097961i,0.0010089+0.00066524i,0.00062707+0.00094073i,8.8645e-05+0.00078264i,-0.00070884+0.00017822i,-0.00077913-0.00052884i,-0.00018354-0.00020985i,-0.00028683+0.00017668i,-0.00058112+0.00037536i,-0.00029506+0.00074282i,0.0006678+0.00086091i,0.00060784-0.00018017i,-5.3261e-05-0.00078513i,-0.00039605-0.00026838i,-0.0005345+0.00041249i,-0.00025921-0.00040587i,-0.00019259-0.0011912i
0.0023737-0.0016177i,0.00211-0.0019059i,0.0012113-0.0014644i,-0.00089276-0.00076703i,-0.001934-0.0009342i,-0.0016929+0.00040008i,-0.00071946+0.001249i,0.00044903+0.0010571i,0.00082606+0.0011011i,0.00040716+9.9409e-05i,7.2728e-05-0.00067017i,-0.00019426-0.0003509i,-0.00039111+0.00012374i,-0.00011205+0.00015382i,0.00020761+0.00021011i,0.00032641+0.00050718i,-0.00047654+0.00034184i,-0.0013673-0.00044622i,-0.00031007-0.00037491i,0.00062152-0.00043024i,0.00036467-0.00037879i,0.00025458+0.00059707i,0.00020212+0.00086685i
-0.00011148-0.00011711i,-0.000553+0.0010404i,-0.00054375+0.00019762i,0.00023301-0.00026579i,0.00043729+0.00049164i,-0.00032299+0.00057382i,-0.00051751+0.00047591i,0.00032156+0.00074896i,0.00062273+0.00069434i,0.00020136+0.00053045i,0.00015964+0.00046555i,0.00032528+0.00027436i,4.3771e-05-9.8017e-05i,-0.00030126-0.00073026i,0.00023328-0.00068222i,0.00068389-0.00049413i,0.00014693-0.00099101i,-0.00062452-0.00072698i,3.6731e-05+0.00042573i,0.00059921+0.00050311i,8.1115e-05+1.1633e-05i,0.0002054-0.00023638i,0.00072113-0.000393i
0.0022532-0.0010169i,0.0012533-0.001216i,0.0014249-0.0015734i,0.0001319-0.0011132i,-0.0017997-0.00076422i,-0.0019406+0.00039257i,-0.00098187+0.0011765i,7.5051e-05+0.0014868i,0.00026855+0.0005949i,-8.2088e-05-0.00061241i,-0.00085575-0.0014863i,-0.00017653-0.0012939i,0.00044486-5.6434e-05i,-0.00020767-0.00015961i,-0.00015708-0.00088942i,0.00020833-0.0010682i,0.00043706-0.00071599i,0.00034013-0.00099603i,-0.00013392-0.0010715i,-0.00057215-0.00038619i,-0.0003414+0.00044869i,-7.011e-08+0.00093409i,-0.00017013+0.00034346i
-0.0029408-0.0013099i,-0.0032515+0.00011669i,-0.0032575+0.0013941i,-0.0017989+0.0016135i,-0.00034289+0.0020789i,0.00032179+0.0011116i,0.00073856+0.00053951i,0.00062404+0.00056484i,0.00036259+7.9252e-05i,0.00011851-0.00017785i,0.00068646+9.0084e-05i,0.00057107+0.00034212i,0.00029469+0.00038401i,0.00037764-0.00068429i,-0.00061996-0.0011137i,-0.0011292-0.00029542i,-0.00011211-0.00085875i,0.00080964-0.0011205i,0.00040785-0.0003916i,-0.00016879+6.9028e-06i,0.00025098-0.00020534i,0.00057525-4.1091e-05i,8.0966e-05+4.8304e-05i
0.0017945+0.00037564i,0.0020927+3.5097e-05i,0.00095339-0.0014447i,-0.0002052-0.0013998i,-0.00092476+0.0002445i,-0.00113+0.001417i,-0.00061298+0.0019975i,-0.00011606+0.0016741i,0.00039625+0.00065289i,0.00041543-0.00036112i,-1.3171e-05-0.00085733i,-0.00023685-0.00077106i,-0.00055295-6.9895e-05i,-0.00039165+5.093e-05i,0.00025311-0.00033738i,0.00061984+0.00016277i,0.00099831-7.5255e-05i,0.00091385-0.00038623i,5.3968e-05+0.00045781i,-3.2324e-05+0.00071161i,0.00033477+0.00024858i,-9.9463e-05+0.00022892i,-0.00026523-0.00015614i
-0.00072311+0.0019216i,-0.0013575+0.0024852i,-0.0013631+0.0015187i,-0.00070078+0.0015829i,-0.00029558+0.0017696i,0.00011575+0.0020538i,0.00061012+0.0016231i,0.00079472+0.0012269i,-5.0996e-06+0.0010424i,-0.000562+0.00054435i,-0.0004522-8.8538e-05i,0.00034566-0.00017151i,0.00020619+0.0003785i,-0.0001142-0.00066104i,4.3857e-05-0.0013256i,0.00022977-0.00049734i,-0.00022264-0.00065149i,-0.0012442-0.00051263i,-0.00096209+0.00035944i,-0.00067785-3.6253e-05i,-0.00021564-0.0007022i,0.00074773-0.00025909i,6.2501e-05-0.00042959i
-0.00025095-9.1856e-05i,0.00071268+0.00018538i,0.00084061+0.0012498i,0.00064812+0.0010612i,0.00033642+0.00013001i,0.00042378-4.0304e-06i,0.00147+0.00025677i,0.0019937+0.00022151i,0.0012971+0.00042251i,0.00043476+0.0004268i,-0.00025033+6.4736e-05i,5.1882e-05-0.00079631i,0.00046467-0.00066245i,0.00038439-0.000101i,-0.00036246+0.00020247i,-0.00075077-0.00011119i,-0.00050353-0.00057609i,-4.5819e-05-0.00014501i,0.00027039+8.8311e-06i,0.00026654-0.00029836i,0.00056771-0.00019444i,0.00026206-3.2088e-05i,-0.00024905+0.00023889i
-0.0011733+0.00072251i,0.00033026+0.0013867i,0.00094509+0.002232i,4.1316e-05+0.0024517i,-0.0001345+0.0022004i,0.001198+0.00088532i,0.0014577+0.00051837i,0.00039598+0.0008165i,0.00029585+0.0004476i,0.00068759+0.00060446i,0.00068207+0.00089061i,0.0010285+0.00031737i,0.00089815-0.00011754i,-6.2713e-05+0.00046166i,-0.00052072+2.2222e-05i,-0.00049459-0.00028233i,-0.00026327+4.6505e-05i,0.00073594-4.8423e-05i,0.0011649+8.7386e-05i,0.00049879+0.00021689i,-0.00025457+0.00030522i,-0.00055384+0.00024129i,0.00021066-0.00035941i
-0.0011982-0.0030088i,-0.0044881-0.001939i,-0.0058674-0.00040318i,-0.0045288+0.0003209i,-0.0028096+0.00062668i,-0.0013346+0.0013216i,0.00025401+0.0015919i,0.00089109+0.0012508i,0.00068618+0.000451i,0.0008359-0.0005828i,0.00058461-0.000367i,8.7723e-05-0.00013701i,0.00028058-0.00047889i,0.00049924-0.00047883i,0.00023584-0.00016225i,0.00056389+4.7982e-05i,0.00083715+0.00016166i,0.00090665-0.00034334i,0.00067527-0.00035467i,0.00050288+0.00041125i,0.00063222+0.00056386i,0.001261+0.0001275i,0.0010283+0.00024582i
-0.00022322-0.0011749i,-0.00097365-0.0013012i,-8.6608e-05-0.00054017i,-0.00011503-4.2988e-05i,-0.00058605+7.0285e-05i,-0.00025576+0.00036049i,6.9444e-05+5.2153e-05i,0.00080951+0.00033431i,0.0012284+0.00057648i,0.00083233-0.00036241i,-0.00017256-0.0011446i,-0.0007263-0.00088172i,0.00040511-2.2808e-06i,0.00094638+0.00031137i,0.0002688-0.00013903i,0.00056538-0.00042794i,0.0006321-0.00078863i,0.00087926-0.001043i,0.0012056-0.00046355i,0.0011429+0.00016508i,0.00025794+0.00013095i,-0.0002548+0.00042112i,0.00014708+0.00044284i
0.00071422+0.00073752i,0.0018201+0.0010913i,0.0020973+0.0017136i,0.00075845+0.0016865i,-6.2481e-05+0.0020056i,-8.6251e-05+0.0016141i,-0.00044368+0.00079751i,9.6548e-05+0.0012559i,0.00080822+0.0015817i,0.0008379+0.00070982i,0.00051083-4.7929e-05i,0.00080713+1.9865e-05i,0.0015172+0.00037985i,0.00092821+0.00023475i,0.00016957-0.00027241i,-0.0005441-6.9871e-05i,-0.0010372+0.0004237i,0.00012359+0.00014197i,0.001463+0.00018769i,0.00060665+0.00053769i,0.00015789-0.00038274i,0.00038428-0.00088857i,-1.7438e-05-0.00083484i
-0.0019652+0.00031695i,-0.0010966+0.0018276i,-0.0007717+0.0026919i,-0.00070286+0.0022312i,-0.00016689+0.00082306i,0.00023406+0.00012599i,-0.00015196-0.00030209i,-0.00028953+0.00015031i,0.00040902+0.00091745i,0.00054095+0.00060742i,0.00031083+0.00015774i,0.0010549-0.0005706i,0.00040475-0.00088253i,-0.00050318-0.00067451i,-7.5531e-05-8.4073e-05i,-0.00018561+0.00010755i,-0.00068452+0.00012434i,-0.0006032+0.0005955i,-0.00016635+0.0010545i,-0.00028507+0.00021395i,0.00019094-6.974e-05i,0.00057533+0.00043506i,-1.8131e-05+0.00045655i
0.0012681+0.0003967i,0.00079122-0.0011462i,0.00010953-0.0011372i,0.00025312-0.00025262i,0.00068483+0.00049599i,-6.6938e-05+0.00030532i,0.00020321-0.00016648i,0.0013485+0.00041468i,0.0016032+0.0011827i,0.0010491+0.00075825i,0.00048808-0.00054366i,0.00058181-0.00077496i,0.00060603-0.00076297i,0.00015014-0.0009429i,-0.00013464-0.00038139i,-0.00058444+0.00012331i,-0.00089595-0.00020151i,-0.00029802-0.00047453i,0.00036795-0.00015126i,0.00028677+0.00047236i,0.0005759+1.2055e-05i,0.0005735-0.00039133i,0.00071686-0.00066901i
-0.0015557+0.0029082i,-0.00085041+0.0031104i,0.00037805+0.0039188i,0.0012292+0.0031833i,0.0020029+0.0016692i,0.0014537+0.00066804i,0.00078045+0.00067672i,0.00088971+0.0010362i,0.00067003+0.0008088i,0.00046531-0.00036647i,0.00044625-0.0015166i,0.00046814-0.001181i,0.0001566-0.00060484i,-0.00032848-0.00049688i,0.00028863-0.00020964i,0.00031042-0.00072577i,-0.00021633-0.00098407i,7.6547e-05-0.00041716i,4.022e-05+1.5994e-05i,-0.00024902+0.00015069i,-4.8878e-05-0.00029037i,0.00031557-0.0011141i,0.00023105-0.00063796i
0.00038534-0.0020406i,-0.00021869-0.002139i,-0.00024529-0.00224i,-0.00018873-0.0010637i,-0.00013264+0.0003382i,0.00079546+0.00051237i,0.0012709+0.00033086i,0.0004411+2.4213e-05i,0.00027215-5.9819e-05i,6.495e-05-0.00030215i,-0.0008935-0.00042473i,-0.0011205+0.00035485i,-0.00093808-0.00012367i,-0.00025457-0.00067884i,6.2341e-05-0.00045822i,-0.00046804-0.00045368i,-0.00071267+3.0262e-05i,-0.00044659+0.00067076i,0.00017686+0.00080822i,0.00088618+0.00032438i,0.00052593+0.00010647i,-8.6549e-05+3.8043e-05i,4.7992e-05+0.00037113i
0.00091249-0.00046612i,0.00097773+9.3201e-05i,6.2921e-05-0.00056829i,-0.0011037-0.0012423i,-0.001193-0.0013405i,-0.00069305-0.0008008i,-0.00073106-9.5799e-06i,-0.00062006+0.00037701i,0.00047595+0.00020524i,0.0012341-0.00024149i,0.0010626-2.3372e-05i,0.00084927+3.2467e-05i,0.00080183-1.831e-05i,0.0011332-1.3831e-05i,0.00062122-0.00019072i,0.00048933-0.00041103i,0.00092689-0.00036186i,0.00055644-0.00026411i,0.00039446+0.00014316i,0.00041243+0.00066754i,0.00018419+0.00051671i,0.00024154-0.0002666i,-0.00020352-0.00033596i
-7.8371e-05-0.0015739i,-0.00088158-0.0025387i,-0.00058724-0.0026844i,7.8144e-05-0.0013748i,0.00018403+0.00032988i,8.8161e-05+0.00052756i,-0.00041856+0.00019748i,-0.00054635+0.00063246i,4.2823e-05+0.00094683i,0.00043964+8.4558e-05i,0.00018485-0.00058026i,-3.2629e-05+7.3782e-05i,-1.7522e-05+0.00025214i,-0.00014467+0.00027978i,-0.00040439+1.7562e-05i,-9.4969e-05-0.0011652i,0.00055397-0.00092036i,0.0008911-0.00055014i,0.00068251-0.00033119i,0.00096849+7.6504e-05i,0.0011777+0.00017153i,0.00034608-0.00018629i,-0.00018027-7.0393e-05i
0.00069002-0.00039555i,0.0010525+0.00062799i,0.00043178+3.8377e-05i,-0.00017595-0.00058539i,-0.00047076+0.00029694i,-9.5665e-06+0.00087393i,0.0001472+0.00050527i,-0.00042308-0.00063146i,-0.00068235-0.00084792i,-0.0010253-4.0128e-05i,-0.0013183+0.0004233i,-0.0004959+0.00058073i,5.5334e-05+7.6258e-05i,-0.00011512-0.00037107i,-0.00080572-0.001041i,-0.00071035-0.00077489i,5.4999e-06+5.5532e-05i,7.8888e-05+0.0002076i,0.00039192+0.00059521i,0.00038927+0.00094682i,-9.0008e-05+0.0011764i,0.00040275+8.2314e-05i,0.00054682-0.00020842i
-0.00091975-0.00018654i,-0.00086599+0.0010785i,-0.0010692+0.0010461i,-0.00065995+0.00073976i,0.00022825+0.00064096i,0.00060288-7.3833e-05i,0.0011123-0.00016395i,0.0008261+0.00052359i,-0.00056199+0.00040548i,-0.0012623-0.00020817i,-0.0010442-0.00037639i,0.00019954+0.00039665i,0.00089332+0.00083302i,0.00074502+0.00012218i,0.00060712-0.00037932i,0.00031879-0.00034857i,-2.8208e-05-0.00083425i,-0.00042943-0.0011157i,-0.00081159+5.7397e-05i,-0.00056341+0.00069968i,-1.4414e-05-0.00026782i,0.00021499-0.0010876i,-3.2989e-05-0.00027607i
0.00041393-0.00083467i,-0.0010083-0.0010025i,-0.0021255-0.001764i,-0.0016955-0.00073318i,-0.0014629-0.00037884i,-0.0003525-0.0004205i,0.0002245-0.00077889i,-0.00028887-0.0013322i,-0.00087576-0.0019103i,-0.0013024-0.0016321i,-0.0013467-0.00046828i,-0.0012363-6.9079e-05i,-0.00080472+0.00030698i,-7.2113e-05+0.00048348i,0.00011728+0.00023256i,0.00012088-0.00034371i,-0.00017234-0.00071608i,-0.00048489-0.0012858i,-0.0001276-0.00089589i,0.00063093+4.9435e-05i,0.0002643+0.00039614i,-0.00069077+0.00068672i,-0.00089571+0.00075345i
0.0010521+0.0020479i,0.0016731+0.002417i,0.002742+0.0026614i,0.0026056+0.0017487i,0.0013861+0.0011236i,0.0010732+0.0021813i,0.0011532+0.0046197i,0.0023208+0.006004i,0.0040648+0.0047903i,0.0053793+0.0024504i,0.0042102+0.00098875i,0.002703-0.00031869i,0.0017407-0.0013281i,-0.00020261-0.0021552i,-0.0013971-0.0022397i,-0.0012867-0.0010377i,-0.00086771+0.0002536i,-0.00095186+0.00070523i,-0.001119+0.00021208i,-0.00057794-0.00063047i,0.00041703-0.00064532i,0.0010157-0.00010902i,0.00017106+0.00049532i
