0.0011377+0.00096079i,0.00022367-0.00095044i,-0.0017983-0.0021209i,-0.0031448-0.0010684i,-0.004289+4.2553e-05i,-0.0041799+0.00094583i,-0.002342+0.002049i,-6.6409e-05+0.0018288i,0.00046147+0.00054722i,-0.0006187-0.0010062i,-0.0012463-0.0015234i,-0.0010937-0.0013587i,-0.00092458-0.0010463i,-0.00089849-0.00027744i,-0.00021365+0.00076129i,-5.428e-05+0.0009405i,-0.00048529+0.00017844i,-0.00078508-0.00028199i,-0.00091821-0.00054767i,-0.00012611-0.00089438i,0.00076826-0.00044443i,0.0010488+4.7477e-06i,0.0008182+0.00094089i
0.0025066-0.0002924i,0.0013334-0.00063617i,-0.0014118-0.0016923i,-0.0023808-0.0020251i,-0.0015487-0.0014282i,-0.0013059-0.0018845i,-0.0019492-0.0019931i,-0.001164-0.0015828i,-9.4248e-05-0.0013124i,-0.00034182-0.0013368i,-0.00061048-0.00074818i,-0.0010119-0.00041153i,-0.0011929-0.00048292i,-0.001088-0.00049251i,-0.0005409-0.00071276i,-0.00013991-0.00045105i,0.00079219+0.00022187i,0.00095993+0.00015813i,-0.00074464-0.00047489i,-0.0015754-0.00059561i,-0.00048476-0.0002908i,4.3193e-06+0.00012447i,-0.00094742+0.0003088i
0.0007767+0.00015458i,-0.00017637+0.00021738i,-0.0014939+0.0005069i,-0.0014349+0.00065147i,-0.00017673+0.00064222i,-3.4311e-05-0.00063154i,-0.0010105-0.0016796i,-0.0012891-0.0010864i,-0.0011896-0.0013073i,-0.00090807-0.0018705i,-0.00060397-0.0014977i,-0.00091166-0.0010457i,-0.00099677-0.00026263i,-0.00027329-0.00013932i,0.00024095-0.00069549i,-9.1119e-05+5.582e-05i,-0.00028435+0.00031598i,-0.00028345-5.2825e-05i,-0.00081075-0.00037602i,-0.00029213-0.00047058i,-8.1238e-05+0.00018902i,-0.00020263+0.0001568i,0.00039818-0.0010232i
0.00068096-0.0029796i,-0.00039577-0.0026952i,-0.0023009-0.0019804i,-0.0036508-0.00097613i,-0.0038444-0.00072364i,-0.0027757-0.00020945i,-0.0017301-7.8496e-05i,-0.00038396-0.00088389i,-0.00026485-0.00086227i,-0.00088071-0.0004805i,-0.00095807-0.00021398i,-0.00074474-0.00042252i,-0.00027264-0.0003043i,-0.00015081-8.2152e-05i,-0.00046392+0.00033837i,-6.144e-05+0.00025819i,0.00063615-0.0006119i,0.00063223-0.00054306i,0.00046699-8.4396e-05i,0.00066053+0.00022996i,0.00059666+0.00029484i,0.00034177-0.00063122i,-0.00016624-0.0012806i
0.0014275-0.0038517i,2.8326e-05-0.0045252i,-0.0024354-0.0029103i,-0.0031335-0.0015389i,-0.0019192-0.0020008i,-0.00063515-0.001269i,-0.00010464-9.8358e-05i,-2.853e-05-0.00020177i,1.5557e-05-0.0006429i,0.0005058-0.0011139i,0.00066703-0.00092668i,-0.00053886-0.00052984i,-0.00091748-1.7794e-06i,-0.00087629+0.00075037i,1.193e-06+0.00077002i,0.00097325+0.00014951i,0.0005492+0.00020156i,0.00025368+6.9961e-05i,0.00018632-0.00017337i,0.0001123-0.00049028i,0.00027784-0.0004518i,-0.00037107-6.186e-05i,-0.0012365-0.00029755i
0.00023159+0.0019364i,0.00044017+0.0007555i,0.00020867+0.0013107i,-0.0011464+0.0019376i,-0.0019586+0.00097857i,-0.0018712-0.00052215i,-0.0013252-0.00065284i,-0.0013033-0.00037387i,-0.0016825-0.00072154i,-0.0011336-0.0012438i,-0.00085701-0.0010521i,-0.00087288-0.00038786i,-0.00081097-0.00016536i,-0.00085026-0.00020255i,0.00031777-0.00016584i,0.0011677-0.00047866i,0.00054932-0.00039093i,-0.00011114-0.00013681i,-0.00021643-1.2445e-05i,0.000184-0.00021394i,0.00032157-0.00022319i,3.4951e-05+0.00054029i,-0.00044973+0.00022205i
0.00069012-0.00070862i,1.8057e-05+0.00020177i,-0.0022609-6.288e-05i,-0.0030557-0.00070429i,-0.0024326-0.0010234i,-0.0020895-0.00083059i,-0.0022011-0.00061634i,-0.0014464-0.00038999i,-0.00059363-0.00057483i,-0.00024488-0.00093969i,-0.00087622-0.00067779i,-0.00078847-0.00012903i,0.00013176-0.00028721i,6.5694e-05-0.00055668i,0.00031891-0.00041922i,0.00023484-0.00065931i,-0.00033396-0.00045206i,-0.00012895-0.00024189i,-0.00020027-0.00069439i,-0.00055307-0.0009531i,-0.00045157-0.00072927i,-0.00042607-0.0003015i,-0.00031544-0.00031688i
0.0012661-0.0013872i,-0.0013092-0.0022226i,-0.004134-0.0011382i,-0.0043996-0.00021329i,-0.0022096-0.0010971i,-0.00087925-0.0021715i,-0.0006374-0.0017674i,-0.00022515-0.0012806i,0.00051834-0.00046945i,0.00044125-0.0001047i,-0.00021525-0.00058577i,-0.00047436-0.00021318i,-0.00044094+0.00081112i,-0.00037403+0.00088642i,4.5549e-05+0.00043854i,0.00043564+0.00028527i,0.00038-0.00020354i,0.00026583-0.00020808i,0.00032867+0.00067633i,0.00013014+0.00051107i,0.00030923+0.00025739i,0.00030307+0.00071704i,0.00051877+0.00083508i
0.0011777-0.0015478i,-0.00019427-0.002042i,-0.00071247-0.0015066i,-0.0015423-0.00017539i,-0.00249+0.00036504i,-0.001267+0.00062736i,-0.00011264+0.00018113i,-0.0007309-0.00059734i,-0.0011704-0.00034606i,-0.0011214+3.6874e-05i,-0.00156+0.00016398i,-0.001192+0.00019606i,0.00015898+0.00038623i,-6.3048e-05+0.00075407i,-0.00017511+0.00057924i,0.00095455+0.00015558i,0.0011065+0.0002536i,0.00038276+0.00047133i,-6.7035e-05-0.00021861i,0.00017997-0.00081471i,3.0464e-05-0.00028281i,0.00029106+0.00047151i,0.00059147+0.00075302i
0.0011906-0.00051087i,0.00049231-0.0011926i,-0.001301-0.00042364i,-0.0020364-0.00036748i,-0.0012089-0.0015548i,-0.00093106-0.0020423i,-0.001288-0.001823i,-0.0012992-0.0013918i,-0.00070548-0.0013038i,-8.129e-06-0.0013724i,-0.00016576-0.00067153i,-0.0011654-0.00011326i,-0.0014176-0.0003729i,-0.0009271-0.00050745i,-0.0010489-0.0002367i,-0.0012166+4.8555e-05i,-0.00088738+0.00011395i,4.9704e-05+0.00042086i,0.00038161+0.00049583i,-0.00036597-0.00022955i,-0.00031077-0.00019412i,0.00020776-5.9371e-05i,0.00047663-0.00045473i
-6.6673e-05-0.0014596i,-0.00078704-0.0010295i,-0.0028098-0.00075678i,-0.0026906-2.0589e-07i,-0.00066867+0.00028143i,0.0001653-0.00049536i,-0.00011213-0.0011089i,-0.0001135-0.00041757i,-0.0002557+0.0002734i,-0.00024989-4.5558e-06i,-6.5669e-05-0.00027022i,-8.2249e-05-0.00071042i,0.00015516-0.00071805i,-0.00034186-0.0008033i,-0.0010174-0.00070294i,-0.00022547-4.6287e-05i,0.0010132+1.7382e-05i,0.00081193-0.00041284i,-0.00039889-0.00083062i,0.00017093-0.00065999i,0.00030011+0.00024391i,-0.00023179+0.00057348i,0.00026504+0.0007282i
0.0038155+0.0017058i,0.0030916+0.0015581i,0.0020435+0.0015495i,0.00036085+9.2527e-05i,-0.00036959-0.0012829i,-0.0012419-0.00084831i,-0.0021202+0.00030425i,-0.0013636+0.00089633i,-0.00077717+0.00077838i,-0.00030874-0.00048288i,0.00036125-0.0013967i,-0.00061978-0.00086562i,-0.00080419-0.00031938i,-0.00063505-1.854e-05i,-0.0013338+3.9172e-06i,-0.0010881+0.0001463i,-0.00012284+0.00037056i,0.00038789+0.00063535i,0.0006583+0.00063793i,0.0004983+0.00040234i,0.00024782+0.00061589i,4.0894e-05+0.00039156i,0.00013949-0.00041389i
-0.00058425-0.00055994i,-0.0011967-0.00075767i,-0.0027491-9.691e-05i,-0.0033609-3.8971e-05i,-0.0022162-0.00039085i,-0.0013202-0.00099612i,-0.0022243-0.00087563i,-0.002858-0.0010951i,-0.0017897-0.00033943i,-0.0011195+0.00027367i,-0.0011223-8.9322e-05i,-0.00091706-0.0001814i,-0.00014904-0.00042308i,-0.00019302-0.00093611i,-0.0007867-0.00078847i,-0.00040948+3.0444e-05i,0.00022833+2.5638e-05i,0.00022564+0.00059944i,4.045e-05+0.0010255i,-0.00062504+0.00039402i,-0.0005863-0.00072488i,-0.0006699-0.00083499i,-0.0016861+0.00036266i
-0.00064085-0.00040894i,-0.0025443-0.0012224i,-0.0034914-0.00062806i,-0.0020932+0.00040407i,-0.00031052+9.0639e-05i,0.00013852-0.0011048i,-0.00091031-0.0011308i,-0.0007428-0.00017459i,-0.00023894+0.00044756i,-8.3104e-05+8.8468e-05i,0.00025841+8.055e-05i,0.00028552+0.00053949i,0.00041894+0.00058267i,0.00033821+0.00062682i,-0.00041612+0.00020496i,-0.00073232+0.0002626i,-0.00030888+0.00026165i,-0.00016509-0.00065316i,0.00027562-0.00072508i,0.00082336-0.00031783i,0.00054386-0.00027354i,-0.00010774-0.00051471i,-0.00026833-0.0010889i
0.00068327+0.0011039i,-0.0010123+0.00054361i,-0.0013846+0.001419i,-0.0012888+0.0016173i,-0.0016923-2.7253e-05i,-0.0019854-0.0015443i,-0.0015177-0.0023445i,-0.00059751-0.0021897i,0.00059698-0.00093952i,0.0009422-0.00047615i,0.00046257-0.00022842i,-0.000495+0.00020053i,-0.0007877-0.00047479i,-0.00021277-0.00039891i,-0.00015015-0.00015908i,-0.00016742-0.0003102i,-6.8776e-05+0.00030852i,-0.0002106+0.00086402i,-0.00068006+0.0011063i,-0.00056059+0.000906i,-0.00048751+0.00022635i,-0.0010117+0.00024602i,-0.00082233+1.24e-05i
0.00058676-0.0013917i,-0.00043807-0.0018115i,-0.0020417-0.0029432i,-0.0017923-0.0025037i,-0.0011267-0.00050451i,-0.00073278-0.00060866i,-0.00045414-0.0013217i,0.00010051-0.00048676i,-9.1695e-05+0.00024677i,-0.00071071-0.00091958i,-0.0010144-0.0013141i,-0.00071234-0.00040973i,-4.9478e-05+0.00011608i,0.00017419+0.00051122i,0.00026246+0.00018596i,0.00029501-0.00025652i,1.552e-05+0.00011933i,0.0002776-0.00010097i,0.00023922-0.00081233i,1.6917e-07-1.0974e-05i,8.5183e-05+0.00082677i,-0.00043952+0.0009837i,-0.001174+0.0008284i
-0.00036524-0.00087036i,-0.00056939-0.00061841i,-0.00085882+0.00095434i,-0.00031744+0.0016471i,-0.00030189-0.00016486i,-0.0001616-0.0023308i,-0.0002429-0.0031502i,-0.00057426-0.0018649i,-0.00097938-0.0004783i,-0.0011762-0.0008646i,-0.00065375-0.00094817i,-0.00027673-0.0010105i,-1.2864e-05-0.0013141i,0.00046666-0.0010329i,0.00049959-0.0011043i,-0.00016566-0.00044309i,-0.00011088+0.00049539i,0.00037515+0.00088652i,0.00023701+5.9527e-05i,-2.7387e-05-0.00062721i,-0.00058826+0.00030622i,-0.001293+0.0011108i,-0.00053741+0.00063421i
0.0018234+0.0026361i,0.001446+0.0024388i,0.00012398+0.0016277i,-0.0010444-0.00018737i,-0.00021368-0.0015426i,-3.0036e-05-0.0012048i,-0.00078309-0.0011357i,-0.00026844-0.00090882i,0.00050249-0.00030557i,0.00035745-0.00022266i,-0.00061386+3.9658e-05i,-0.0006121-0.00041785i,-0.00086197-0.00059381i,-0.0015472+0.00013218i,-0.0011474+0.00015109i,-0.00098165+0.00010828i,-0.00079528+0.00032984i,-0.000844+0.00053052i,-0.0001873+0.00076451i,0.00050631+0.00012866i,-0.00020481-0.00041976i,-0.00080663+0.00044865i,-0.00050051+0.00091607i
0.00015495-0.0016023i,0.00042456-0.00055045i,-0.0016195-0.00066112i,-0.0029001-0.0014492i,-0.0020594-0.0015012i,-0.001727-0.0015278i,-0.0013746-0.0013116i,-0.00022381-0.00031308i,0.00024025+0.00062704i,-0.00075805+0.00023206i,-0.0011125-0.00041775i,-0.00041176-3.404e-05i,0.00063743-0.00017218i,0.00087999-9.1827e-05i,-0.00012431+0.00022254i,-0.00083226+5.1617e-06i,-0.00054161+0.00026886i,-0.00053756+0.00029145i,4.2474e-05+0.00010182i,0.00085544+0.00015519i,0.00012502+0.00035645i,-3.7835e-07+0.00053382i,0.00029243+0.00014i
0.0010043-0.001084i,0.00065096-0.00041456i,-0.0012437+0.00058634i,-0.0022108+0.0012424i,-0.0011029+0.00018159i,-0.00032481-0.00083495i,-0.00060904-0.000532i,-0.00046359-2.1244e-05i,-0.00038531-0.00027736i,-0.00081637-0.00051302i,-0.00099824-0.00046158i,-0.00076167-0.00046595i,-0.00034351+6.5679e-06i,-0.00016059+0.00019306i,-0.00031386-0.00026477i,2.8331e-05-0.00021906i,0.00020345+0.00027899i,-0.00019423+0.00050926i,-0.0005786-0.0001619i,-0.00045711-0.00078836i,-0.00019698-0.0010912i,-5.5184e-05-0.00080591i,0.00033696-0.00049785i
-0.00020083-0.00064185i,-0.002211-0.00051765i,-0.0042746-0.00028857i,-0.0034492+0.00020524i,-0.0016894-0.00026525i,-0.0015589-0.0016317i,-0.0025355-0.0023494i,-0.0017583-0.0014603i,-0.00028066+3.585e-05i,-0.00033296-0.0005611i,-0.00020551-0.0012205i,5.6934e-05-0.0006405i,-8.05e-05-0.0006019i,7.0636e-06-0.00086788i,-0.00023066-0.0013382i,-0.00054324-0.0012318i,-5.3526e-05-0.00058291i,-0.0001284-0.00016305i,-0.00088496-0.00011347i,-0.0011502-0.00039906i,-0.00063224-0.0002447i,0.00032149+0.00019262i,0.00017704+9.5816e-05i
0.00045579+0.00025216i,-0.00063293+0.00023996i,-0.001418-0.00014368i,-0.001261-0.00089031i,-0.0012271-0.0011375i,-0.00088639-0.0017146i,-0.00078587-0.0020811i,-0.00090616-0.0013422i,-0.00056109-0.00049438i,0.00018016-0.00036866i,-0.0002689-0.00044775i,-0.0011879-0.00075676i,-0.00042819-0.000239i,0.00069764+0.00028372i,0.00040453+0.0005357i,-1.2774e-05+0.00014307i,-0.00043667-0.00049194i,-0.0010575-3.8637e-06i,-0.0014939+0.00049515i,-0.00028654+0.00034678i,0.00047202+0.00050722i,0.00036285+6.484e-05i,0.00041991-0.00056522i
-0.0025464-0.00094829i,-0.0022269-0.0009728i,-0.0023744-0.00037349i,-0.0019821+0.00063349i,-0.0015451+0.00061799i,-0.0014805-0.00055822i,-0.001346-0.0016991i,-0.00087806-0.0014818i,-0.00018047-0.00028513i,2.8053e-05-8.146e-05i,-0.00027023-0.00083591i,-0.0006059-0.0005988i,-0.00014152-0.00077695i,0.00082445-0.00067937i,0.00083108+0.00018955i,0.00011328+7.5345e-05i,0.00014255-0.00027137i,0.00022954-0.00084015i,-0.00012356-0.0011615i,-0.00065427-0.00092237i,-0.0003379-0.00074535i,-0.00028585-0.00026415i,-0.00059898+0.00014578i
0.001122-0.001578i,0.00014905-0.002037i,-0.0010347-0.0016772i,-0.0010171-0.00081085i,-0.00061362-0.00073322i,-0.00076765-0.00097062i,-0.00092085-0.0010062i,-0.00071979-0.00089758i,0.00041421-0.00058437i,0.00043652+2.6783e-06i,-0.00015439+0.0002755i,-0.00031993-0.0001493i,-0.00042522-4.7098e-05i,-0.00051869+0.00027373i,-0.00046943+0.00042833i,-0.00074785+0.00031614i,-0.00062034+0.00040531i,0.00034234+0.00095456i,0.00061507+0.00049635i,-6.8633e-05-0.00021893i,-0.00025706+0.00020874i,0.00031411-3.8044e-05i,0.00056671-0.00018553i
0.0011068+9.5566e-06i,0.00042224-0.00062117i,-0.00071888-0.0016918i,-0.0015262-0.00040686i,-0.0018847-0.00044176i,-0.0012434-0.0008858i,-0.00040933-0.00059378i,-0.00023589-0.00054748i,-0.00070935-0.00055043i,-0.0015145-0.00080226i,-0.0016-0.00094993i,-0.0011708+3.0146e-05i,-0.00076596+0.00095017i,-0.0011343+0.00034799i,-0.00041983-0.00041794i,0.0005131-0.0007049i,0.00085146-0.00088556i,0.00046697-0.0010529i,0.00056821-0.00080799i,0.00092157-0.0001365i,0.00018322+0.00028657i,-0.00016799-7.2244e-05i,-0.00010622-6.3583e-05i
-0.00083973+0.0010234i,-0.0016355+0.00086856i,-0.0026007+0.0016677i,-0.0020099+0.0012823i,-0.0010673-0.00093487i,-0.0010062-0.0026746i,-0.00074245-0.0018974i,-0.0008794-0.00044555i,9.6272e-05-0.00046612i,0.0008376-0.00060615i,-0.00027354-9.946e-05i,-0.00116+0.00031983i,-0.0011955+0.00024073i,-0.00087278-0.00044794i,-0.00051662-0.00067333i,-0.00027302-0.00026363i,0.00011087+4.7345e-06i,0.00051629-0.00085059i,0.00083822-0.00067515i,0.00055138+0.00040688i,-0.00019164+0.00025768i,-0.0002715-0.00019924i,0.00021738-0.00040574i
0.00022895-0.0022565i,-0.00052379-0.0035904i,-0.0012506-0.0037239i,-0.0018861-0.0022363i,-0.0016174-0.0013605i,-0.00072184-0.0012616i,-4.6437e-05-0.00092337i,0.00013753-0.00081128i,0.00014937-0.00073026i,-0.00013955-0.00019632i,-0.00083176-0.00031785i,-0.0014623-0.0009469i,-0.0012964-0.0007631i,-0.0013883-0.00059914i,-0.0010614-0.00075136i,-0.00043949-0.00025938i,-0.0001139+0.00027824i,9.9849e-06+0.00029266i,-0.0002937-0.00024523i,-0.00017915-3.5063e-05i,-9.9168e-05+4.1329e-05i,0.00018483-0.00014045i,0.0002153+0.00015614i
0.0017816-0.00035264i,0.00077958-0.00042184i,-0.0014447-0.00083322i,-0.0030329-0.00071945i,-0.0026435-0.00068509i,-0.0017038-0.00010281i,-0.00095706-0.00010625i,-0.00056823-0.00071176i,-0.00048368-0.00066213i,-0.00043761-0.00018437i,-0.00048784-0.00017447i,-0.00039176-0.00012741i,-0.00068455-0.00044892i,-0.00057867-0.0007552i,0.00031837+2.892e-05i,0.00047533+0.00041061i,0.00046124-0.00045386i,0.00077586-0.00081438i,0.0007662-0.00048275i,0.0010609+3.9258e-05i,0.001107+0.00024861i,0.00066231+0.00016309i,-2.8029e-05+5.4661e-05i
-0.00086182+0.00055509i,-0.00023798+0.00063185i,-0.00032497+0.00068476i,-0.00045135+0.00068774i,-0.00025606-0.00020519i,-0.00091853-0.00125i,-0.00073617-0.0013556i,-0.00031126-0.00061614i,-0.00081386-0.00033827i,-0.0012249-0.00010667i,-0.00095693-0.0002415i,-0.00023743-0.00046492i,0.00013624-0.00044488i,-0.00015546-0.0010022i,-6.1131e-05-0.0010749i,0.00028599-0.00097937i,0.00073783-0.00081299i,0.00063859-4.0879e-06i,-8.1844e-05+2.5555e-05i,-0.00055132-2.175e-05i,-0.0010616+6.3493e-05i,-0.00087226+0.00024995i,-4.9971e-05-0.00010535i
0.001645-0.001196i,0.00028198-0.0015269i,-0.0017232-0.00063073i,-0.0023591-9.9883e-05i,-0.0011994-0.00087625i,-0.00083138-0.00096995i,-0.0012296-0.00020593i,-0.0016734-8.9396e-05i,-0.001402-0.00071804i,-2.8255e-05-0.00081323i,0.00020011+0.00016768i,-0.00053714+0.00038634i,-0.00092692-6.067e-05i,-0.0010673+2.0451e-05i,-0.00041638+6.1092e-05i,-8.3664e-05-0.00011276i,-0.00022703+0.00010818i,0.00018347-0.00011226i,0.00083371-0.00045018i,0.0005648-0.000673i,0.00049023-7.7904e-05i,0.00077417+0.00032484i,8.0078e-05-0.00036548i
0.0014252+0.0026241i,-5.9672e-05+0.002795i,-0.0019825+0.001367i,-0.0025278-0.00065705i,-0.00261-0.0021511i,-0.0022829-0.0015948i,-0.0012299-0.00047145i,-0.00082128-0.00094677i,-0.00049984-0.0013093i,-2.416e-05-0.00089314i,2.7013e-05-0.00098945i,-0.0005003-0.0010667i,-0.00018876-0.00058892i,-0.00067736-0.00054127i,-0.0016169-0.0014243i,-0.0014152-0.0012299i,-0.00062205-0.00012057i,-0.0005807-1.3188e-05i,-0.00070368+3.1466e-05i,-0.00031535+0.00020451i,-0.00020726+0.00039374i,-0.00014463-7.9874e-05i,-0.00011735-0.0011689i
-0.00079734-0.0023025i,-0.0024786-0.0040042i,-0.0028643-0.0038896i,-0.0027626-0.002039i,-0.0019385-0.00075016i,-5.4136e-05-0.00062142i,-0.00011724-0.0006129i,-0.0010934-0.00092884i,-0.00059691-0.00072899i,-0.00040952-0.00035625i,-0.00030816-0.00019124i,-8.1539e-05+2.5203e-05i,-0.00017779-0.00013396i,-7.3324e-05+4.2677e-05i,0.00025601-8.9944e-05i,3.7919e-05-1.8267e-05i,-0.0002832+0.00039071i,-1.9033e-05+0.00021559i,0.0001952-0.00015918i,-0.00026968-0.00055243i,-0.00035702-0.00041397i,0.00023435+0.00043488i,0.00059643+0.00074954i
-0.0007-0.00040732i,-0.00082739-0.00054034i,-0.0027627+0.00061142i,-0.0027056+5.6869e-05i,-0.0014949-0.0012007i,-0.0015573-0.0016653i,-0.00093492-0.0018861i,0.00017814-0.00093687i,-3.4634e-06-4.9894e-05i,-8.9428e-05-0.00040567i,-0.00010909-0.0012566i,-0.0003071-0.0016931i,8.8286e-05-0.0012667i,0.00088695-0.0010671i,0.00044636-0.00084861i,7.4497e-05-0.0008268i,-3.5667e-05-0.001193i,-0.00048964-0.00034388i,-0.0004956-6.6632e-05i,-0.00059209-3.358e-05i,-0.00082151+0.00046232i,-0.0010562+0.00094413i,-0.00035585+0.00086449i
0.00085505-0.0010662i,0.00021379-0.0019083i,-0.001775-0.002027i,-0.0026291-0.0011568i,-0.0019994-0.00073379i,-0.0015191-0.00092479i,-0.0016774-0.00078015i,-0.0017484-0.00061753i,-0.0010443-0.00083733i,-0.00034569-0.00076143i,-0.00082805-0.0010412i,-0.00090894-0.00048839i,-0.00069901+0.00016496i,-0.0003853+1.0374e-05i,7.753e-05-0.00019913i,-0.00031846-0.00066474i,-0.000642-0.00058851i,0.00036916-0.00018568i,0.0006431-0.00023834i,0.00028685-0.00064184i,-7.7855e-05-0.00040611i,-0.00039745-3.6129e-05i,-0.0004204+0.00017141i
0.0038028-0.00087504i,0.002368-0.002509i,-0.00095932-0.0028264i,-0.0025031-0.0024625i,-0.0023962-0.0018251i,-0.0023275-0.00034065i,-0.0015282+0.00054787i,-0.00061538+0.00011568i,0.00028963-0.00094597i,0.00092726-0.0015524i,0.00096665-0.0011013i,7.4695e-05-0.00035498i,-0.0008309+3.7534e-06i,-0.0010982+0.00036564i,-0.00055852+9.3972e-05i,0.00024545-7.5616e-05i,0.00023397+0.00026291i,0.00026953+0.00019463i,0.00040307-0.001151i,0.00030152-0.0013886i,0.00037159-0.00056929i,0.0004148-0.00052463i,-0.00018122-0.000306i
0.0013316+7.505e-05i,0.00084006-4.996e-05i,-0.0009232-0.00070839i,-0.0019721-0.00055875i,-0.0020473-0.00026815i,-0.0013979-0.00084223i,-0.001204-0.0015127i,-0.00097895-0.0007894i,-0.00047872-0.00035795i,-0.0001662+7.5201e-05i,0.00012208+0.00023562i,-3.7051e-05+3.0305e-05i,2.8072e-05-9.8018e-05i,-0.00010495-0.00078864i,-0.00042783-0.0012973i,-0.00012557-0.0014305i,4.6374e-05-4.5303e-05i,-0.00030566+0.00039994i,0.000226-0.00054796i,0.00076937-0.00037883i,0.00035628+0.0005217i,0.00033066+0.00047986i,0.0007596-0.00020123i
-0.0021399-0.0015594i,-0.0043547-0.00095936i,-0.0054761-0.00065793i,-0.0040794-0.0002669i,-0.0024152-0.0013617i,-0.002009-0.0016855i,-0.001796-0.0011349i,-0.00067013-0.0012733i,0.00018753-0.001015i,9.2217e-05-0.0009483i,-0.00048789-0.00057273i,-0.00079611-0.00013127i,-0.00026753-0.00017822i,-0.00043973-0.00030297i,-0.00050135-0.0003001i,-0.00023601+8.0254e-05i,-4.6652e-05+0.00080298i,0.00027258+0.00080669i,0.00023426+4.0272e-05i,0.00024668-0.00031679i,0.00080024-0.00052723i,0.00091164-0.00028224i,0.00065504-0.00038033i
0.0002595-0.00088026i,-0.00015459-0.0004808i,-0.0004722+0.00062515i,0.00025594+0.00060558i,0.00046383-1.9746e-05i,0.00024684-0.00072424i,-0.00040983-0.00099903i,-0.0012903-0.0003849i,-0.0012464-0.00025528i,-0.00068391-0.0010948i,-0.00064562-0.0012782i,-0.00053382-0.00032109i,0.00046566+0.00026014i,0.0014651-0.00021981i,0.0010691-0.00093049i,0.00027139-0.0010317i,-9.762e-05-0.001302i,-0.00093214-0.001117i,-0.00093516-0.00057937i,-0.00044854+0.00047564i,0.00019518+0.00083851i,0.00042537+0.00059859i,0.00066689+0.00032966i
0.0014639-0.0020148i,0.00055532-0.004109i,-0.0018474-0.0035548i,-0.0020988-0.0014095i,-0.0014102+0.00022757i,-0.0010662-0.00011789i,-0.00035803-0.0013692i,0.0001016-0.0020582i,0.00016398-0.001507i,-0.00013221-0.00058328i,-0.00033569-0.00038033i,-0.00054154-0.00033405i,-0.00036105-0.0002652i,0.00024112-0.0001516i,0.00080429+6.3482e-05i,0.00050891+0.00012936i,-0.00075621-0.00015918i,-0.00095844-0.00012188i,-0.00071466-0.00038305i,-0.00030301-0.00085553i,-3.5616e-05-0.00077993i,-0.00022291-1.4832e-05i,-7.0742e-05+0.00031816i
-0.0014051+0.00013199i,-0.0014247-0.0001595i,-0.0020783+0.0012664i,-0.0021832+0.0019581i,-0.00070699+0.00068323i,0.00029715-0.00034685i,0.00018038-0.0010149i,-0.00059649-0.00092642i,-0.00089064-0.00065282i,-0.00024337-0.0014345i,1.8927e-05-0.0012478i,-0.00067036-0.0005335i,-0.0010307-0.0005095i,-0.00041778-8.27e-05i,-0.00020268-0.00036128i,0.00053776-0.0010126i,0.00089053-0.0003278i,-0.00034559+0.00030024i,-0.00031416-0.00018911i,0.00037058-0.00070484i,0.00013586-0.00039839i,0.0003354-0.00054239i,0.00030753-0.00055901i
0.0025706+0.00040118i,0.0026769+0.00023732i,0.0019367-0.0002013i,-0.00016857-2.5288e-05i,-0.00068894-0.00036267i,-3.0745e-05-0.0014891i,0.00015152-0.0021431i,0.00048827-0.0015225i,0.00038738-0.00033714i,-0.00011003+8.2447e-06i,-7.2313e-05-0.00025615i,-0.00022123-0.00064098i,-0.0006501-0.0003287i,-0.00068091+0.00027306i,-0.00022859+0.00035785i,-0.0004079+0.00015695i,-0.00049034-0.00035316i,-0.0006134-0.00035858i,-0.00052337-5.8043e-05i,2.7244e-05+0.00029321i,8.7945e-05-5.7477e-05i,-0.000477-0.00012557i,-0.00056807-0.00010772i
-0.00062754-0.0020828i,-0.0021423-0.0027048i,-0.0037913-0.0021672i,-0.0035316-0.0008941i,-0.0017755-4.6944e-05i,-0.00076827+6.5575e-05i,-0.00046959-0.00075626i,-0.00013189-0.0011196i,-8.6789e-05-0.0012166i,-0.00068551-0.00095868i,-0.0013324-0.001105i,-0.00095709-0.00053105i,-0.00056125+0.00044321i,-0.00033206+0.00023609i,-0.00012465-0.00041246i,-0.00059527-0.00036104i,-0.001318-0.00055698i,-0.0011487-0.0012063i,1.0917e-05-0.0010597i,0.00011653-0.00016328i,0.00020524+0.00022785i,0.00046948-9.2007e-05i,-8.7252e-05-0.00067515i
0.0011079-0.00011672i,-7.8403e-05+0.00050162i,-0.0010762+0.00017159i,-0.0020967-0.0008135i,-0.0017505-0.0016876i,-0.0013373-0.0019119i,-0.0012213-0.0017922i,-0.0010935-0.00086091i,-0.00016878-0.00047611i,0.0006353-0.0017923i,0.00019974-0.001961i,-0.00046702-0.0010008i,-0.0013587-0.0011263i,-0.001792-0.00089092i,-0.0014817-0.00034523i,-0.00067162+0.00011795i,-0.00061005+0.00022119i,-0.00019693-0.00032615i,7.6021e-05-2.7509e-05i,-0.00039831+0.00035467i,-0.00026571-0.00024972i,0.0005067-0.00077992i,0.00087388-0.00039112i
