-0.0024275-0.00032477i,-0.0028292-0.00057596i,-0.0047022+0.00026169i,-0.0043196+0.00061572i,-0.0023281+0.0010791i,-0.00048189+0.0016529i,0.00053489+0.0010957i,0.00086818+0.00056322i,0.0014005+4.1035e-05i,0.001793-0.0009711i,0.0013946-0.00091521i,0.0010272+5.46e-05i,0.0015917+0.00026032i,0.0013887+0.00055167i,0.00014663+0.00039154i,-0.00033053-0.00028103i,-0.00052837-1.1439e-06i,-0.00072652+0.000642i,-0.00072712+0.00029563i,-0.0002364+1.3949e-05i,-0.00020228-8.0011e-05i,-0.0012576-0.00049295i,-0.00081661-0.00072943i
5.7487e-05-0.00017218i,-0.001119-0.00025742i,-0.0017745-0.0005764i,-0.0015235+0.00013277i,-0.0008294+0.0015426i,-0.00024172+0.0011983i,0.00052749+0.00014958i,0.0014084-0.0003747i,0.0015342-0.00020624i,0.00075746+2.5797e-05i,0.00084458-0.00056608i,0.00033198-0.00077239i,0.00053918-0.00027725i,0.0010037+3.512e-05i,0.0006322-0.00014144i,0.00093449-0.00068494i,0.0010169-0.00017122i,0.00069191+0.00021191i,0.00023322+0.00014845i,-0.00042109-0.00033024i,0.00010336-0.00058463i,0.0008127-3.596e-05i,0.001096+0.00026762i
0.00024673-0.00051883i,-0.00068191+0.00027367i,-0.0015449+0.00025101i,-0.0024571-8.5133e-05i,-0.0025283-0.00049709i,-0.0013669-0.00031081i,0.00045083-0.0004926i,0.0012177-0.00081778i,0.00054503-0.00025556i,0.00016362-0.00052093i,9.3774e-05-0.00089871i,-0.00022788+0.00034306i,-0.00045754+0.0012428i,-0.00043921+0.00027595i,-0.00025896-0.00045883i,-0.00024252-0.00081349i,-0.0010073-0.00044727i,-0.0016368-0.00010702i,-0.0014997+0.00016891i,-0.0010601-7.5422e-05i,-0.00054081-0.00055412i,-0.00026011-0.00054395i,0.00010134-0.0007609i
0.0011872-0.00035605i,0.00027687-0.00028375i,-0.00084345-0.0014493i,-0.001073-0.0010108i,-0.00069797+0.00010871i,0.00060556+0.00067254i,0.0021711+0.00094054i,0.0018038+0.0003681i,0.00034239+0.00016162i,-0.00016557+4.0001e-05i,0.00026651-0.00071191i,0.00037395-0.00056615i,-6.2516e-05+0.00011451i,-0.00033035-0.00010278i,-0.00023996-0.0007367i,-0.0002974-0.001208i,-0.00026617-0.0009142i,-0.00033889-0.00012952i,-0.00043672+0.0002547i,-0.00015206+0.00056192i,-3.3467e-05+1.8308e-05i,-0.0002117-0.00063707i,-0.00022724-0.00071271i
-0.0016393-0.00015371i,-0.0014986+0.00046815i,-0.0016773+0.0013744i,-0.001299+0.00087157i,-0.00025386+0.00065909i,0.00020303+0.00015262i,0.00022445-0.00046493i,0.00028637-0.0006844i,0.00070323-4.6518e-05i,0.00096953+2.2286e-05i,0.00086346-0.00021437i,0.00024009+0.00034711i,4.4673e-05+0.0012068i,0.00042134+0.0016093i,-0.00015145+0.00091764i,-0.00076918+0.00041111i,-0.00043813+6.4203e-05i,-0.00050535-4.7506e-05i,-0.0003279+0.00023374i,0.00020686+0.00012056i,0.00051959+7.3407e-05i,0.00079494-4.8643e-05i,0.00036713-0.00021879i
0.0017079+0.0018794i,0.0012037+0.0010366i,0.0011925+0.0010106i,0.00068984+0.0012666i,2.7211e-05+0.00088487i,-0.00041346-0.00021157i,-0.00050603-0.0011835i,7.928e-05-0.0015418i,0.00047189-0.0012026i,4.959e-05-0.00040336i,-4.7103e-05-0.0001763i,0.00059611-2.2314e-05i,0.00080211+0.00059297i,0.00021789+0.00063575i,0.00019806-0.00033342i,0.00032072-0.00098382i,-0.00022792-9.0658e-05i,-0.0005081+0.00096859i,0.0002214+0.00061888i,0.0007561+0.00038035i,0.00020173+0.00060147i,-0.00020166+0.00036753i,-0.00031182+0.00042877i
-0.0012955+0.00070904i,-0.0015236+0.0011848i,-0.0030371+0.0023963i,-0.0024002+0.0026152i,-0.00094265+0.0027308i,-4.9746e-05+0.0018757i,0.00049722+0.00098136i,0.00092671-3.0435e-05i,0.0014964-0.00041783i,0.001219+3.1105e-05i,0.00099931+3.3133e-05i,0.001-0.00048505i,0.00070617-0.00068313i,0.00073795+0.00020304i,0.00041046+0.00046097i,-0.0010086-0.00021928i,-0.0015705-0.00018131i,-0.0011452+0.00044114i,-0.00082443+0.0005306i,2.806e-05+0.00019158i,0.00066691+0.00042964i,0.00029756+0.00037429i,0.00032957+1.0962e-05i
-0.0027489-0.00038832i,-0.0024694-3.5434e-05i,-0.0020747+0.00077563i,-0.0022052+0.0022704i,-0.0016081+0.0024696i,0.00012147+0.0011943i,0.0013911-0.00029746i,0.0015575-0.0010467i,0.00027444-0.001029i,-0.00013744-0.00026621i,0.00016013-0.00029215i,0.00017629-0.00026655i,0.00052585+8.8166e-06i,0.0009022-9.8375e-05i,0.00062138-0.0003034i,-0.000265-0.0010627i,-0.00034596-0.0011464i,0.00012483+0.00033497i,-0.00010355+0.001129i,-0.00018796+0.00046867i,0.00033249-0.00019069i,0.00050155+3.3528e-05i,8.72e-05-4.3653e-05i
2.9432e-05+0.0011869i,0.00027172+0.0017889i,0.00056846+0.0016i,0.00041145+0.00094499i,0.00030127+0.001293i,0.00097592+0.0013537i,0.0017534+0.00024152i,0.0013972-0.00069193i,0.0011151-0.00063192i,0.0019018-0.0004894i,0.0020675-0.00069442i,0.00069934-0.00048208i,0.00070524-0.00040854i,0.0013148-0.00034268i,0.00079529+9.0967e-05i,0.00055597+7.302e-05i,0.00056174-0.00044585i,0.00066044+0.00025824i,0.00065627+0.00070908i,0.00075984+0.0006005i,0.00045748+0.00085396i,0.00058054+0.000717i,0.0012569+0.0005976i
-0.001073-0.00087635i,-0.0015825-0.0005534i,-0.0035524-0.00029998i,-0.0036965-0.0003645i,-0.0017358+0.0003849i,4.2754e-05+0.00097887i,0.0008936+8.8183e-05i,0.00068945-0.00071513i,0.00029703-0.00073393i,0.00030213-0.00061461i,0.0001096-0.00077384i,-4.5411e-05-5.2987e-05i,0.00051483+0.00035477i,0.00096931-6.3414e-05i,0.00043715+4.7306e-05i,-0.00010456+4.3301e-05i,5.5436e-05-0.00080047i,-8.3032e-05-0.00049306i,-0.00055009+0.00070254i,-0.00046869+0.00070138i,7.2479e-05+1.9175e-05i,0.00047669-9.2209e-05i,0.00085592+0.00054974i
-0.00037243+0.00069558i,-0.0015798+0.00070113i,-0.0025754-0.00016138i,-0.0025634-0.00012151i,-0.0019364+4.8753e-05i,-0.00064335+0.00026611i,0.00091682-2.49e-05i,0.0010185-0.0004207i,0.00062852-3.9187e-05i,0.00088749-5.3883e-05i,0.0014386-0.00044744i,0.00099339+4.0068e-05i,0.00037045+0.00058185i,0.00030117-7.8581e-05i,-5.845e-05-0.00072517i,0.0002113-0.00091995i,0.00060474-0.00060752i,0.0001108-5.9168e-05i,-0.00060085+0.00067714i,-0.00096067+0.0010629i,-0.0010097+0.00034886i,-0.0004153-0.00012506i,-0.00051665-0.00015547i
-0.0012833+0.0012235i,-0.00061294+0.00098447i,0.00025173+0.00070085i,0.00011019+0.00071927i,-5.9125e-05+0.0007446i,0.0005348+0.00042491i,0.0012899-1.9892e-05i,0.0019885+0.00093451i,0.0022119+0.0013436i,0.0023813+0.00028191i,0.0014652-0.00050621i,0.00018943-0.0007332i,0.00065901-0.00025152i,0.0014827+0.00035007i,0.0010491+6.1257e-05i,-0.00097103-0.00057328i,-0.0019084-0.00062195i,-0.0010385-0.00036604i,0.00034154-2.3435e-05i,0.00050709+0.00059372i,-0.00017312+0.00018436i,0.00017657-0.00047229i,0.00048177-0.00050046i
0.00024807+0.00073695i,-0.00058526+0.00010579i,-0.00054592-0.0010614i,-0.0004556-0.0013946i,-0.00094687-0.00027947i,-0.00010563-0.00021654i,0.00096033-0.00079424i,0.0014315-0.00069684i,0.0016572-0.00011706i,0.0011355+0.00033569i,0.00065323+0.00020061i,0.00054741-0.00016258i,0.0010732+4.9394e-05i,0.0012597-0.00022447i,0.00088542-0.0007346i,0.00012836-0.00069668i,-0.00035355-0.00067295i,0.0002143-0.0003596i,0.00012902+0.00018301i,0.00011582+0.00088709i,-0.00011329+0.0015492i,-0.00048507+0.00050109i,-0.00018576-0.00037052i
0.0018392-0.00017759i,0.0006831-0.00058151i,0.00016259-0.0005731i,0.00012884-1.255e-05i,-0.00052592+0.00036124i,-0.00068865+0.0007791i,0.00037804+0.0011915i,0.001645+0.00093162i,0.0018884+0.0001397i,0.0017812-0.00055537i,0.0010488-0.00089554i,0.00021781-0.0010103i,0.0011991-0.00084099i,0.0014696-0.0006617i,0.0003137-0.00066098i,7.5465e-05-0.0010852i,0.00033607-0.0012392i,-0.00066173-0.00026288i,-0.0014446+0.00029653i,-0.00043508+0.00030793i,-0.00018827+0.00015925i,-0.00061058-0.00014526i,-0.00034258-0.00037618i
0.00030401-0.00079388i,-1.5056e-05-0.0014058i,-0.00047468-0.00089861i,-0.0017547-5.851e-05i,-0.0021848+0.00016079i,4.4419e-05+0.00067924i,0.0018853+0.00097283i,0.0025259-0.00010345i,0.0023177-0.0014616i,0.0018998-0.0019768i,0.00084911-0.002482i,2.4965e-05-0.0022214i,0.00041717-0.001337i,0.00052241-0.00040962i,-0.00027181-0.00028677i,-0.00048047-0.00046326i,-0.00023039-0.00041171i,-0.00040079-0.00034268i,-0.00013242+0.00060337i,0.0003651+0.0009203i,3.4779e-05+0.00045085i,-6.2192e-05+0.0006534i,0.00034623+0.00062793i
0.0020468+0.0015337i,0.0013675+0.0010339i,0.00158+0.0013572i,0.00075747+0.00063683i,-0.00025322-8.8776e-05i,-0.0016975-0.0016499i,-0.002996-0.0027939i,-0.0040674-0.0011817i,-0.0043791+0.0011558i,-0.0029778+0.0017066i,-0.0014874+0.0019903i,-0.00033169+0.0024276i,0.000708+0.0016973i,0.001259+9.8443e-05i,0.0017324-0.0014026i,0.0013725-0.0013208i,0.00042648-0.00082908i,0.00020201-0.00085335i,0.00024146-0.00026637i,0.000293+0.00038154i,0.00058037+0.00028164i,0.0005986+0.0006014i,0.0003278+0.00051102i
0.00064633+0.0016268i,-0.00030104+0.00044048i,-0.00063971-0.00040249i,0.00012773-0.00117i,0.00053672-0.0011667i,-1.6185e-05-0.0012335i,-0.0009909-0.0011801i,-0.0010469-0.0011367i,-0.00082619-0.00047385i,-0.0010537+0.00072702i,-0.0011581+0.0011377i,-0.00057657+0.00071387i,0.00037969-0.00011544i,0.00080013-0.00037372i,0.00094589-0.00054035i,0.00088485-0.0010126i,0.00048506-0.00065064i,0.00040188-0.00021386i,0.00072076-0.00025926i,0.00034453-0.0009341i,-4.2886e-05-0.0015179i,0.00073659-0.00063479i,0.0011616+0.00021323i
-0.00070271+4.645e-05i,-0.00077905+0.00086445i,-0.0014614+0.0012596i,-0.0013801+0.00097555i,-0.001167+0.00090628i,-0.0011785+0.0010671i,-0.00092097+0.00054362i,-0.00087946+0.00035491i,-0.0011575-0.0001068i,-0.0013842+7.1408e-05i,-0.00078663+0.00072425i,-0.00020891+0.00028086i,-0.00023073+0.00039737i,-0.00043906+0.0004341i,-0.00035731-0.00024009i,-0.00039849-0.000114i,-0.00088429-0.00030647i,-0.0012813-0.0012304i,-0.00094266-0.0011267i,-0.00012841-0.00045345i,0.00021349+0.00050929i,0.00056044+0.0011236i,0.00054747+0.00019495i
-0.001359+0.0016894i,-6.1191e-05+0.0014701i,0.00057318+0.0020259i,-0.00015278+0.0015722i,0.00046783+0.00090773i,0.0016089+0.001095i,0.0011164+0.00063027i,-0.0002435-0.00036367i,-0.00055369-3.1107e-05i,0.00041622+0.00052387i,0.0009441-5.9115e-05i,0.00051848+0.00014925i,-3.1715e-05+0.001459i,-0.00020023+0.0012852i,5.2798e-05+0.00047983i,-0.00018724+3.1702e-05i,-0.00054987-0.00048086i,-0.00057101-0.00051113i,-0.00044436-0.00018702i,-0.00077905-0.00034146i,-0.00099487-0.00056571i,-9.678e-05-6.0978e-06i,0.00047301+0.00065264i
0.00022724+0.00030525i,-0.0010811+5.7029e-05i,-0.001211+0.00023417i,-0.00036367+0.00042776i,-0.00018133+0.0012103i,0.00023324+0.00086702i,0.0017292+0.0005024i,0.0015317+0.00084716i,0.00047104+0.00046402i,0.00049511-8.151e-05i,0.00031115-0.00025057i,0.00055551-1.9478e-06i,0.00093561+0.00022759i,0.0011606+0.00015939i,0.00083803+0.00019933i,0.00028383-0.00035555i,0.00021606-0.00036985i,-2.82e-08+0.0003552i,-0.00013596-0.00014707i,0.00019163-0.0010466i,0.00065181-0.00078294i,0.00084891-0.00035437i,0.0013628-0.00054534i
0.0013274+0.00032726i,0.000782+0.00017826i,-0.00095632-0.00083688i,-0.0022923-0.0010504i,-0.0014743-0.0006155i,-0.00059567-0.00076824i,0.0001877-0.0010324i,0.0011229-0.00090368i,0.0008483-0.00050108i,0.00108-0.0001471i,0.00069275-0.00026315i,-0.0001456-0.00033206i,-0.00016994+0.00042219i,-4.097e-05+0.00084581i,-0.00025985+2.651e-05i,-0.00039089-0.00056949i,-0.00029936-3.3009e-05i,-0.00034632+0.00021037i,-0.00061133+9.3705e-05i,-0.0004286+0.0001271i,-0.00016663+6.0617e-05i,0.00043309+0.00033615i,0.0010415+0.00067585i
-0.00055756-0.0011362i,-0.0004007-0.0013043i,-0.0010479-0.00075039i,-0.0016936+0.0002762i,-0.0011212+0.0012048i,-0.00018699+0.0011445i,0.00064992+0.00044744i,0.0010309-0.00024977i,0.0011333-0.00083069i,0.0009942-0.0010864i,0.0010553-0.0011359i,3.6667e-05-0.00096153i,-0.00025714-0.00023938i,0.00065576+0.00013891i,0.00038342+0.00056722i,-0.00061083+0.00099888i,-0.00085278+0.00074568i,-0.0007761+7.8431e-05i,-0.00042631-0.00035715i,-0.00057661-0.0003928i,-0.0011607-0.00047406i,-0.0010318-0.00053299i,-0.00062769-0.0004659i
-0.0010372-0.0002055i,-0.001657+7.0211e-05i,-0.0019059+0.00088014i,-0.0012778+0.0016556i,-0.00049567+0.0018387i,-0.00015462+0.00070348i,0.00015742+2.0535e-05i,0.00022514-0.00055264i,0.00031775-0.00095817i,0.00010981-0.0010403i,4.0961e-05-0.00035198i,-0.00017059+0.00093693i,-2.3345e-05+0.0017545i,9.8052e-05+0.00085886i,1.796e-05+4.5547e-05i,0.0001277+0.00057926i,-0.00013425-0.0002791i,-3.1736e-05-0.00083205i,0.00024612+5.6268e-05i,0.00040401+0.00067723i,0.00057365+0.0010746i,0.00067919+0.0016716i,0.00020627+0.0020176i
-0.00013545-0.00022959i,-0.00081736+0.00016548i,-0.00087991+0.00083854i,-0.00096929+0.0012377i,-0.0010563+0.0014692i,-0.00036888+0.00099468i,0.00051472-0.00042097i,0.00017853-0.0016184i,-0.00065714-0.00098488i,3.3335e-05-0.00020034i,0.00036955+6.8829e-05i,0.00066584-0.00019426i,0.0008107-0.00021822i,0.00046917-6.2796e-05i,0.00078937-1.2964e-05i,-0.00024593-0.00056696i,-0.0012086-0.0014903i,-0.00047454-0.0010054i,-0.00024092-0.00029685i,2.5019e-05-0.00020437i,0.00027164-2.6519e-06i,-0.00050941+0.00026846i,-0.00066868-5.5223e-05i
-0.0010433+0.00090486i,-0.0010841+0.0023338i,-0.0017461+0.0030757i,-0.0015701+0.0022825i,-0.00032481+0.001261i,0.0012693+0.00095853i,0.0018773+0.0001639i,0.0011358-0.0003019i,0.00060729+0.00037745i,0.00012481+0.00086689i,0.00020212+0.00059364i,0.00015022+0.00027898i,-0.00014295+0.00038232i,0.00033374+8.1774e-05i,4.7634e-05-0.00032802i,-0.00037669+8.9983e-05i,-0.00069986+9.3954e-05i,-0.001706+0.00041081i,-0.0021902+0.00074646i,-0.00047975+0.00022055i,0.0008075+0.00043402i,0.00066485+0.00065776i,0.00073577-0.00016539i
-0.0030481+0.0016406i,-0.002441+0.0015369i,-0.0032299+0.0024912i,-0.0023376+0.0033895i,-0.0011261+0.0025299i,-6.4699e-05+0.00042767i,0.00074803-0.0004523i,0.0010567-0.00090026i,0.001143-0.00065122i,0.00069782+8.0993e-05i,0.00072891+0.00021145i,-2.3548e-05+0.00014871i,-0.00042896+0.00072707i,7.4852e-06+0.0006988i,0.00042396-0.00039007i,0.00018163-0.0005337i,-0.00077119-1.07e-05i,-0.0012835+7.2828e-05i,-0.00066531+6.361e-05i,-0.00014722+0.00027298i,0.00010296+0.00038615i,-8.8035e-05+0.00015938i,-2.6156e-05+0.0005484i
0.00064347+0.00075219i,0.00085636+0.00084429i,0.00087829+0.00022236i,-0.00016548+0.00051822i,-0.00098302+0.0007475i,-0.0004294+0.00071572i,0.00080132+0.00066563i,0.0010569+0.00032525i,0.00087954+0.00029564i,0.00083011-0.00012976i,0.00027544-0.00063642i,0.00032926-0.0006187i,0.00027241-0.00031129i,8.8164e-06-0.00073239i,0.00053684-0.00083584i,0.001104-0.00072871i,0.00011246-0.00041225i,-0.00053536+0.00019754i,-9.8006e-05+0.00062546i,9.9465e-06+0.00012471i,0.00032634-0.00049205i,0.0006252-0.00074668i,-2.0264e-06-0.00047939i
0.00094369+0.0013688i,0.00081123+0.0008074i,-0.00033449+8.6298e-05i,-0.0014266-0.0006492i,-0.001481+3.4603e-05i,-0.0011327+0.00036597i,-0.00020383-0.00072526i,0.0007386-0.00080203i,0.00057599+1.5907e-05i,0.00077621-0.00019209i,0.00027771-0.00046132i,-0.00061759+0.0005491i,-0.00063073+0.0013415i,-4.7789e-05+0.0012659i,0.00034173+0.0008194i,0.0003492-0.00035231i,-0.0002447-0.0004118i,-0.00049074+0.00056995i,0.00043465+0.0010479i,0.00078487+0.00048317i,0.00065175+0.00012825i,0.00073021+0.0003341i,0.00011762+0.00032598i
-4.7151e-05+0.0014707i,0.0002424+0.00082884i,-0.00045657+0.0012597i,-0.00089927+0.0017936i,-0.00084511+0.00090332i,-0.0006747+0.00057048i,-0.00054629+0.00025638i,-0.00070494-0.00026484i,-0.00079575-5.1715e-05i,0.00025934-0.00024723i,0.0011517-0.00040376i,0.00061651-3.7735e-05i,0.00036256+0.00075437i,0.00054572+0.0006777i,0.00063719+0.00022425i,0.00046303-0.00073232i,-0.00013112-0.00090885i,-0.00032038-0.00022014i,-0.00015572+0.00029208i,-0.00017368+9.5235e-05i,-0.00043384-0.00067241i,-0.00027382-0.00077965i,-0.00036851-0.00081637i
-0.00032858+0.0019208i,0.0016075+0.00038768i,0.0024997+0.00063041i,0.0017983+0.0014603i,0.0014621+0.00029941i,0.0016653-0.0013342i,0.0013144-0.001627i,0.0015057-0.0014257i,0.0016826-0.0011827i,0.0014077-0.00069127i,0.00071658-0.00036086i,3.2328e-06-0.000318i,0.00020523-0.00030827i,0.00081835-0.00047143i,0.0012572+1.5764e-05i,0.0011777+0.00029753i,0.00047818+0.00017709i,0.0004197+0.00013545i,0.00037618+0.00015681i,-0.00014084+0.00057862i,-0.00041333+0.00070545i,-0.00021728+0.00020997i,0.00054096-8.2595e-05i
-0.00077982+0.0017884i,-0.0012144+0.0020946i,-0.0014774+0.0023793i,-0.00061233+0.0016821i,0.00048156+0.0008608i,0.0017626-0.00065915i,0.0030952-0.0016886i,0.002514-0.0013984i,0.0014824-0.00080551i,0.0011777-0.00016068i,0.00090311-0.0003987i,0.00090364-0.00098673i,0.0019182-0.00077061i,0.0026197-0.0007153i,0.0021631-0.00079411i,0.0011823-0.00068597i,0.00053416-0.00037633i,0.00097091+0.00031839i,0.0010327+0.00041648i,0.00038757-9.2093e-05i,0.00073649-0.00035199i,0.00072938+0.00052706i,0.00017617+0.00055271i
-3.9721e-05-0.00032219i,-0.00098174-0.00093306i,-0.0014041-0.00038916i,-0.0015606+0.00047971i,-0.0015565+0.00039435i,-0.00066545-7.7682e-05i,-0.00063676-0.00032036i,-0.00084654-0.0008001i,-3.8165e-05-0.0010768i,0.00038453-0.00054561i,0.00014327-9.8804e-05i,0.00011319-0.00023441i,0.0004264-0.00050342i,0.0006593+0.00017251i,0.00072581+0.00012821i,0.00027038-0.00035278i,-0.00020719+5.5592e-05i,-2.2993e-05+0.00063592i,-0.00011717+0.00066403i,-0.00067135-1.2154e-05i,-0.00032027-0.00024996i,-0.00024414+0.0001063i,-0.00030525-5.0024e-05i
0.00028982+0.00084032i,0.0010706+0.00089661i,0.0012522+0.00035006i,0.00043553-0.00042791i,-0.00052016+0.00014844i,-0.00088601+0.0013767i,-0.00052638+0.0016187i,1.2692e-06+0.00071414i,0.00039935-5.9859e-05i,0.00038188-0.00015469i,0.00010638+4.2619e-05i,-7.68e-05-0.00016202i,5.9159e-05+6.5143e-05i,-3.5657e-06+3.8585e-05i,0.00010088-0.00043777i,0.00044944-0.00076842i,2.6526e-05-0.00080974i,-0.0010672-0.00023011i,-0.0013772+0.00038366i,-0.00058602+0.00045402i,0.00033845+0.00039417i,0.001153+0.00061678i,0.00064217+0.00090957i
0.00068188+0.0010452i,-6.3903e-05+0.0014793i,-0.0010084+0.00097924i,2.8357e-05+0.00041296i,0.0011434+0.00041261i,0.00099837+0.00095919i,0.0010613+0.0010383i,0.00089188+0.00065846i,-0.00019431+0.00036604i,-0.00044943-0.00012442i,-0.0011518+0.0001387i,-0.0018636+0.0005011i,-0.00068652-0.00020671i,0.0008735+6.4489e-05i,0.0011749+0.00027894i,0.00033296-0.00058959i,-0.00063146-0.0012175i,-0.0013008-0.0009406i,-0.00097127-0.00041699i,-2.8948e-05-0.00010316i,9.8698e-06-4.9462e-05i,-0.00036895+0.00011836i,-0.00040622+6.0018e-05i
0.00035917+0.00029911i,0.00059911-0.00081716i,-0.0002902-0.0005683i,-0.00078907-2.3376e-05i,-0.00049858-1.6086e-05i,-0.00017408-0.00012286i,0.00010153-0.00021826i,-8.7651e-05-0.00018126i,0.00016613-6.3612e-06i,0.00044753-0.0007997i,0.00027653-0.0011823i,-0.00072079-8.7515e-05i,-0.00065065+0.0001902i,0.00041482-0.00032561i,0.00090946-0.0007438i,0.00010239-0.00093529i,-0.0010159+4.9241e-05i,-0.0011132+0.0004415i,-0.00050072-0.00012376i,-0.0003913-0.00028506i,-2.9209e-05-0.00070251i,0.00084987-0.00052133i,0.00070875-0.00030507i
-2.7701e-05+0.00092111i,-0.00026052+0.00019743i,-0.00099251-0.0013946i,-0.0019573-0.0017192i,-0.0019255-0.00076933i,-0.00083551+0.00045926i,-0.00024965+0.0010147i,-5.7885e-05+0.00038662i,0.0011204-0.00034384i,0.0012451-2.7211e-05i,-0.00031891+0.00031552i,-0.00080874-0.00016277i,-0.00020786-0.00020348i,0.00018311+4.4177e-05i,0.00023503-3.448e-05i,-0.00051108+3.784e-05i,-0.0008532+0.0009923i,-0.00081989+0.0011762i,2.5849e-06+7.335e-05i,0.00027801-0.0010274i,-0.0003652-0.00026297i,-0.00072969+0.00022823i,-0.0010204-0.00036609i
-0.00012909-5.3006e-05i,-0.00012041-0.00053794i,-0.00076577+0.00012949i,-0.0011858+0.0010893i,-0.00092232+0.0015802i,-0.00014536+0.0016294i,0.00020923+0.00099109i,-5.6709e-05-8.6967e-05i,-0.00016294+6.9718e-05i,0.0004192+0.0010704i,0.00069477+0.00044038i,0.00050138+0.00065368i,1.937e-05+0.0021471i,2.2375e-05+0.0026833i,0.00017725+0.0015089i,0.00070425+0.0004272i,0.00067405+0.00012086i,0.00025217+0.000303i,-0.00080817-4.5597e-05i,-0.00092547-0.00074891i,0.00049386-0.00036801i,0.00092738+0.00041057i,0.001317+0.00084632i
-0.00085406-0.00016834i,0.00033802-0.0010537i,0.00072105-0.00099431i,-2.4975e-05-0.00048633i,-0.0002163+0.00042959i,0.00018364+4.553e-05i,0.0012054-0.00089556i,0.0016066-0.00016639i,0.0010067+0.00088078i,0.0007125+0.00083709i,0.0004394+0.00063372i,0.00025242+0.00014937i,0.00052951-7.9599e-05i,0.00068144+0.00091874i,0.00053948+0.00053458i,0.00025129-0.00074984i,-4.8359e-05-0.00052386i,0.00012735+9.9135e-05i,0.00066201+9.1731e-05i,0.00063531+0.00019678i,0.00041566+0.00022723i,-9.18e-05-0.00016531i,-0.00019491-8.8191e-05i
-0.0021764+0.002233i,-0.0034751+0.0024271i,-0.0046717+0.0032948i,-0.0026449+0.0036857i,3.4156e-05+0.0023595i,0.0018259-3.702e-05i,0.0013065-0.00091341i,5.9484e-05-0.00047577i,0.0005704+0.00024064i,0.00082798+0.0003631i,0.00041361-0.00010543i,0.00051379+5.9634e-05i,0.00065598+0.0010276i,0.001406+0.0011033i,0.0016762+0.00050169i,0.00079905-0.00024408i,0.00028694-0.00040616i,0.00011736+0.00026538i,3.3172e-06+0.00047986i,1.1458e-05+0.00023999i,0.00023808+0.00049815i,0.00033172+0.00042037i,-0.0005712+0.00021145i
-0.0014674-0.0012121i,-0.0018777-0.0011238i,-0.0026539-0.0010307i,-0.0025692+0.00019137i,-0.0011749+0.0011473i,0.00087093+0.0011995i,0.001631+0.00024002i,0.00087545-0.00073405i,0.00017237-0.0004723i,1.3059e-05+0.0003936i,-9.6529e-06+0.00027618i,1.6914e-05+0.00021056i,0.00050731+0.00014777i,0.0010207-0.00027903i,0.00062628-0.00024538i,0.00061051-0.00025967i,0.00025006-6.3257e-05i,-0.00055985+0.00030772i,-0.00032692+0.00036315i,0.0001641+0.00039844i,-0.00045107+0.00013317i,-0.00033606+0.00032454i,0.00080999+0.00057501i
-0.0014817+0.0017766i,-0.00081459+0.0013395i,-0.00073411+0.0014743i,-0.00084626+0.00081663i,-0.00055639+0.00085922i,-0.0001964+0.0010324i,0.00046985-0.00060324i,0.00069679-0.00097111i,0.00020166-8.6796e-05i,0.00023861+0.00031647i,0.00049728+0.00062917i,0.00053775+0.00032887i,9.0538e-05-0.00012357i,-0.00037182-0.00049099i,0.00028472-0.00096973i,0.00053367-0.0019055i,0.00039045-0.0020427i,-5.4468e-05-0.00042758i,-0.00043575+0.000416i,0.00028895+0.00041209i,0.0006332+0.00063424i,0.00081775+0.00061556i,0.00041088+0.00053799i
0.0015451+0.0028527i,0.0013984+0.0019946i,0.0017273+0.0026407i,0.0026327+0.001882i,0.0025787-5.8892e-06i,0.0015371-0.0007856i,0.00080148-0.00013745i,0.0003341+0.00032751i,0.000658+0.00057692i,0.0017271+0.00024448i,0.0020512-0.00023439i,0.00096772-0.00064251i,0.0011921-0.0014964i,0.0018838-0.0015002i,0.00067865-0.00088349i,-0.00026198-0.00085495i,-0.0009988-0.0011331i,-0.0014453-0.0005335i,-0.00056421+3.4898e-05i,0.00057648+5.2084e-05i,0.00080719+8.1765e-05i,0.0002954+0.00029618i,-0.00044812+5.637e-05i
-0.0017816+0.00043303i,-0.0019986+0.00034537i,-0.0037582+0.00090622i,-0.0040863+0.0026832i,-0.0025142+0.0033608i,-0.00034591+0.0014289i,0.0011915-0.00070606i,0.0011054-0.00060828i,0.00087689+5.694e-05i,0.0015283-6.9979e-06i,0.0010229-0.00056286i,4.9132e-05-0.00076384i,-6.764e-05-0.00011247i,-0.00017908+0.00049145i,-0.00029179+0.00028067i,-0.0010071-0.00043673i,-0.00092808-0.00033609i,-3.859e-05+0.00029465i,4.0773e-05+0.00054773i,-0.00014966+0.0003471i,-4.9465e-05-0.00047355i,0.00027094-0.00039301i,0.00037134+0.00027762i
-0.00024075+0.00020454i,-4.5243e-05+0.00065192i,-0.00054449+0.00052389i,-0.001524-0.00031148i,-0.0019942+0.00015876i,3.9793e-05+0.00068149i,0.0017291+0.00037789i,0.0015433+0.00028108i,0.00071115-0.00037939i,0.00074759-0.00089744i,0.00049921-0.0012075i,9.9781e-05-0.00087518i,0.00052157+3.9286e-05i,0.00057815+8.6929e-05i,3.1185e-07+0.00049225i,-0.0009427+0.00072199i,-0.0015958+0.00027502i,-0.001195-1.8933e-05i,-0.00059949-0.00060046i,-0.0006308-0.00053782i,-0.00098195-6.0165e-05i,-0.0011741-0.0003415i,-0.0010932-0.00065857i
