-0.0014896+0.00091094i,0.0005037-0.0015612i,0.00032325-6.8071e-05i,0.00094988+0.0025787i,0.0017164+0.0044802i,0.0028435+0.0040897i,0.0030624+0.0024178i,0.0016171+0.0019799i,0.0010209+0.0013297i,0.0015046+0.00073395i,0.0011309-0.00052307i,0.00047008-0.0020601i,0.00032186-0.0015192i,-0.00020059-0.0010974i,-0.00076249-0.0009866i,-6.2883e-05-0.00060663i,0.00021502-0.00084949i,-0.00018565-0.00055461i,-0.00035825-0.00048066i,-0.00029373-0.00072148i,-1.5e-05-0.00051658i,0.00011831+1.3032e-05i,0.00022349-0.00031942i
-0.0010122-0.0017504i,-0.0015739-0.00091056i,-0.0017823-0.0012847i,-0.0015519-0.00025893i,-0.0015194+0.0018438i,-0.001156+0.0026644i,-0.00095806+0.0018949i,-0.00035333+0.0012925i,0.00059584-5.9262e-05i,0.00062068-0.000745i,-0.00023156-0.00042205i,-0.00071922+0.00017172i,-0.00070139+0.00077686i,-0.0007986+0.0011095i,-0.00037421+0.0011596i,-0.00032951+0.00093447i,-0.00043435+0.00077544i,-0.00027998+0.00021553i,0.00016978+0.00038384i,0.00041863+0.00066776i,2.684e-06+0.00014118i,0.00041189-0.00036366i,0.00051462-0.00038619i
0.0024843+0.0014955i,0.0022172+0.0021627i,0.0020345+0.0021756i,0.0010838+0.0015941i,-0.00015338+0.0016957i,-0.00086498+0.0022802i,-0.00055912+0.002706i,-6.4738e-06+0.0015441i,0.00048883-0.00026428i,-0.00014122-0.00097208i,-0.0011938-0.00050613i,-0.00092498+0.000121i,-0.00033131+0.00015666i,-0.00034298+0.00013843i,0.00014074+0.0010185i,0.00046963+0.0018646i,-0.000438+0.00082902i,-0.00078293-7.1538e-05i,-2.5352e-05-0.00025643i,0.0002406-0.00028929i,0.00032316-0.00015525i,0.00046716-1.0745e-05i,0.0006915+0.00020366i
0.0014958+0.0015223i,0.0012062+0.0013716i,0.0008797-0.00010652i,7.3004e-05-1.2145e-05i,-0.00033442+0.00028247i,-0.00059895+0.0013866i,-0.00016105+0.0022217i,0.00051894+0.0021217i,2.4009e-05+0.0011414i,-0.00099278+0.00032499i,-0.0010148+0.00056398i,-0.00015136+6.1833e-05i,0.00091273-0.00026935i,0.0010032-0.00018668i,-0.00026005-0.00014822i,-0.00068789-0.00029967i,-0.00010304-0.00085363i,0.00034371-0.00075939i,-6.045e-06-1.0734e-05i,-0.00026354+0.00046259i,0.00048464+0.00021159i,0.00024788-0.00048718i,-0.00056373-0.00084406i
-0.00030285+0.0017211i,0.00070801+0.0016917i,0.0025135+0.0024283i,0.0023036+0.0025473i,0.00084277+0.0020079i,-0.00045651+0.001385i,-0.00093293+0.0011159i,0.00010514+0.0014887i,0.0015364+0.0020685i,0.0017357+0.0016204i,0.0011974+0.00018595i,0.00022412-0.00016875i,2.0857e-05-6.6628e-06i,-0.00038828-0.0005495i,-0.00094157-0.00059212i,-0.00058192-0.00079306i,-0.00014001-0.00074598i,0.00031166-0.00018003i,0.00081426+9.7822e-06i,0.00045046+0.00029471i,5.2542e-05+0.00041516i,0.00058304+0.00037133i,0.00069525+0.0001854i
0.00041242+0.0013323i,-0.00083787+0.0019912i,-7.4019e-05+0.0023692i,0.00069122+0.0015403i,0.00026407+0.001012i,-0.00080577+0.0012924i,-0.00060985+0.0015869i,0.00048186+0.0011153i,0.0012162+0.0004601i,0.0011866-0.00054043i,0.00047847-0.0013701i,-2.8579e-05-0.00097708i,-8.6898e-05-0.00058445i,-0.00025626-0.00062151i,-0.00098706-0.00032588i,-0.00092315+0.00039342i,3.6349e-05+0.0014195i,-0.00014188+0.001965i,-0.00099123+0.0012475i,-0.0007309+0.00072875i,8.971e-05+9.6765e-05i,0.00022144-9.1859e-05i,0.00027278-0.00025532i
-0.0016384-0.00027444i,-0.00061802-8.3495e-05i,-0.00057029+0.0023597i,-0.00058485+0.0041654i,0.00026307+0.0038983i,0.0013875+0.0029492i,0.0019347+0.0020332i,0.001499+0.001643i,0.00054108+0.0009236i,-3.4932e-05-0.00017951i,-4.0622e-05-0.00041356i,1.5238e-05+0.00015874i,0.00015842+0.0004535i,-0.00015157+0.00018138i,-0.00038792+0.00040454i,-0.00063898+0.00059259i,-0.00066273+0.00078655i,-0.0002782+0.00072094i,-0.00025924+9.1307e-05i,-0.00029583+8.6405e-05i,0.00072965+0.00037072i,0.0016731+0.00017195i,0.00080041-0.00016048i
-0.00060383-0.001259i,-8.516e-05-0.0002631i,-0.00069902+0.0012327i,-0.001413+0.0025335i,-0.0010749+0.0029122i,0.00013407+0.0026873i,0.00092949+0.0024785i,0.00056645+0.0019735i,-0.00044058+0.001511i,-0.001421+0.0010578i,-0.0014025+0.00093742i,-0.00027667+0.0011365i,0.00075019+0.0010288i,0.0010278+0.00054302i,0.00026719+0.00034291i,-0.00034091-6.3442e-05i,-0.00070464-0.00022008i,-0.00031356+1.7448e-05i,-2.3639e-05-6.1247e-05i,-0.00011767-0.00050297i,-0.0003581-0.0010097i,-0.00016814-0.00014409i,-0.00016059-0.00010763i
0.00086905-0.0017655i,0.00024178-0.00090107i,-0.0014986-0.0011421i,-0.0018784-0.00084036i,-0.0016539+0.0011322i,-0.0016828+0.002801i,-0.00084129+0.0028032i,-0.00091922+0.0015142i,-0.0012348+0.00062876i,-0.0010593+0.00091022i,-0.0001885+0.00067818i,0.000323+0.00049286i,0.00040328-0.00011301i,0.0010561-0.00014721i,0.00084206+2.3877e-05i,-0.00057806-8.477e-05i,-0.00079497+0.00016438i,0.00016181+0.00031756i,0.00035981+2.4861e-06i,0.00038274-0.00022671i,0.00044981+0.00020037i,0.00052699+2.7089e-05i,0.00067173+0.00021158i
0.0022607-0.0011143i,0.0015801-0.00050884i,0.0016145-0.00053849i,-6.4603e-05+0.00017661i,-0.0015917+0.00080918i,-0.0014238+0.001828i,-0.00044484+0.0025361i,0.00013689+0.0018621i,0.00041185+0.00051085i,0.00035609-0.00013803i,-0.0004336-0.00015818i,-0.00074351-0.00056802i,0.00026242-0.00092132i,0.00083802-0.00024393i,0.00036334+0.00047427i,-0.00039274+0.00010563i,-7.3465e-05-0.00018367i,-0.00027173+0.00064719i,-0.00096332+0.0011914i,-0.0011013+0.00044822i,-0.0011415+4.7452e-05i,-0.00045261-0.00033219i,0.00022721-0.0012501i
-0.0010308+0.00044937i,-0.00080629+0.00060692i,0.00016947+4.8254e-06i,0.0014113+0.00076192i,0.0012213+0.00098779i,0.00081065+0.00064319i,0.00066239+0.0011741i,0.0003776+0.0017577i,0.00086539+0.0014661i,0.0011856+0.00036188i,0.00031049-0.00044764i,-2.9625e-05-0.00038475i,-0.00011062-2.0229e-05i,-0.00032511+0.0001414i,-0.0003471+0.00014964i,-0.00037533+0.00029639i,-0.00059816+0.00097699i,-0.00026405+0.00088864i,-8.8103e-05-5.2216e-05i,-0.00085533-0.00039889i,-0.0012427-0.00092602i,-0.00061499-0.00094508i,-8.7593e-06-0.00018297i
0.0010997+0.00081238i,0.0011776+0.0005559i,0.0015103+0.0015943i,0.0012669+0.0024908i,4.5087e-05+0.0021545i,-0.00018105+0.0024935i,6.9769e-05+0.002773i,3.5671e-05+0.0026306i,-3.484e-05+0.0014436i,-0.00013241-0.0004752i,-0.00022373-0.00063776i,-0.00013274-1.7313e-05i,0.00016848-0.0001577i,-0.00069235+6.6397e-06i,-0.00076762+0.0010657i,4.9697e-05+0.0018851i,-0.00057421+0.0016237i,-0.000577+0.001722i,-0.00015579+0.0012886i,-0.00035816+0.00021789i,-0.00063821+0.00044808i,-0.00049302+0.0007853i,1.4314e-08-0.00021054i
-0.00034793+0.0023174i,0.00019341+0.0029782i,-0.00066658+0.003608i,-0.00096267+0.0033381i,-0.00030464+0.0030517i,6.4834e-05+0.0032419i,0.00013734+0.0027197i,0.00024013+0.0013819i,-8.0361e-05+0.00039788i,-0.00045364-0.00025244i,-0.0002889+0.00024525i,-0.00036358+0.00020317i,-0.00021804+0.00053257i,-0.00028183+0.0013472i,-0.00078608+0.0011029i,-0.00055277+0.00052415i,8.7916e-06+0.00043768i,-0.00024652+0.00032051i,-0.00011553-8.8325e-05i,0.00012129+7.9951e-06i,-1.2013e-05+0.00044479i,-8.2568e-05-0.00019486i,0.00051924-0.00078389i
-0.0011642+0.00011499i,-0.0014482-0.0008476i,-0.00095696-0.0011907i,-8.4849e-05-0.000718i,0.00069589+0.0001404i,0.00027784+0.00063265i,-0.00076991+0.0007318i,-0.0011064+0.00032925i,-0.00033276+0.00060845i,7.2158e-05+0.0014957i,-0.00012373+0.00079179i,0.00020118-0.00065222i,0.0002817-0.0014372i,-6.7945e-05-0.0011494i,-0.00012834-0.00054029i,8.1361e-05-0.00061227i,0.00019939-0.00097221i,0.0002492-0.00020137i,-0.00024266+0.00016434i,-0.00063539+6.6075e-05i,-0.00017439-0.00040597i,0.00049539-0.00085893i,0.00036154+0.00029952i
4.9592e-05+0.0010441i,-0.00087019+0.00076753i,-0.00034481+0.0017373i,0.00010757+0.001672i,0.00014669+0.0012471i,-0.00018456+0.0015179i,-0.00019505+0.001305i,2.683e-05+0.00098227i,0.0009184+0.0010253i,0.0014538+0.00085126i,0.00057576+0.00039156i,-3.9665e-07-0.00053385i,-5.2769e-05-0.0010733i,-0.00061138-0.00029533i,-0.00081358+6.7496e-05i,-0.00066726+0.00019325i,-0.00090597+0.00024893i,-0.00097754+0.00012375i,-0.00050992-3.3949e-05i,-0.00016228-1.8829e-05i,0.00033959-0.00030945i,0.0010114-0.00052876i,0.0011626-0.0011597i
-2.6527e-06-5.1707e-05i,-0.00045087+0.00045691i,-7.9606e-05+0.001566i,-0.00034048+0.002156i,-0.0010837+0.0021474i,-0.00080686+0.0024575i,-0.00019874+0.0022674i,0.00015833+0.0012788i,0.00043627+0.00016462i,0.00078858-0.0012187i,0.00077925-0.0013714i,0.00010755-0.00081014i,-0.00042657-0.00044236i,-0.00075371+0.00036316i,-0.00079733+0.00093282i,-0.00056979-0.00019134i,0.00052976-0.00037602i,0.00087575+0.0005552i,1.3373e-05+0.00070113i,-0.00058476-2.7519e-05i,-9.1983e-05-0.00028383i,0.00028795+0.00053447i,0.00023299+0.00036351i
-0.0017013+0.001689i,-0.0016327+0.00031307i,-0.00092571+0.00083867i,0.00096158+0.0018551i,0.0024592+0.0020602i,0.0015375+0.0019176i,0.00067598+0.0012424i,0.00068304+0.00038985i,0.00053403-0.0004421i,3.7147e-05-0.00080712i,-0.00070078-0.00046906i,-0.00094329+0.00022743i,-0.0012674+0.00045865i,-0.0011621+0.0006383i,-0.0012185+0.00098591i,-0.00099195+0.00042859i,-0.00029466-0.00018048i,0.0007454-0.00049912i,0.00097556-0.00090921i,0.00045487-0.00092313i,0.00028704-0.00098278i,0.00044874-0.00055269i,0.00072874+3.2101e-05i
-0.0012041-0.0010241i,-0.0020942-0.00022485i,-0.0018236+0.0001586i,-0.0018083+0.0018737i,-0.0028487+0.0032791i,-0.0018747+0.0038969i,-0.00014215+0.0025506i,6.9655e-05+0.00087808i,-0.0012335+0.00048015i,-0.0015849+0.00049791i,-0.00058173+0.00082153i,-0.00057895+0.00063441i,-0.00065152-0.00052653i,-0.00020164-0.0010248i,-3.6322e-05+6.5696e-05i,0.00024794+0.00061555i,2.6422e-05+0.00016188i,-0.0002076-2.0422e-05i,-0.00071412-0.00047727i,-0.0009952-0.0010075i,-0.00035265-0.00094622i,-1.1181e-05-0.00059409i,0.00050694+0.00026477i
0.00052877+0.00049604i,0.0012264-0.0006358i,0.0020692-0.00048413i,0.0026215+0.00090644i,0.0022517+0.0020767i,0.0015539+0.0018129i,0.00069912+0.0013065i,-0.00023718+0.0011741i,-0.00088438+0.0013256i,-0.0003912+0.00093074i,0.00028083-0.00016035i,0.00043898-0.00078313i,0.00091514-0.00073513i,0.00099763-2.6238e-05i,4.8736e-05+0.00035134i,-0.0010687+0.00014104i,-0.00089435+0.00097846i,-6.0773e-05+0.00096196i,0.0003139+0.00068388i,0.0001324+0.0012678i,3.613e-05+0.0007808i,0.00036266-0.00049807i,0.00036581-0.00040953i
0.00099083+0.000576i,0.0011271+0.001372i,0.00014398+0.00154i,-0.00076092+0.00042983i,-0.0015851+0.00027843i,-0.0012495+0.0015452i,9.7045e-05+0.0025271i,0.0011042+0.0020297i,0.0020415+0.00096295i,0.0023782-5.3156e-05i,0.0018229-2.3799e-05i,0.0010313+0.0007414i,0.00044387+0.00058996i,-0.0001072+0.00030948i,-0.00071899+0.00013842i,-0.00061992-0.00032921i,-0.00050779-0.00031414i,0.00016326+7.4137e-05i,0.00064266+8.5006e-05i,-0.00024529-0.00043486i,0.00025738-0.00075085i,0.00070723-0.00047907i,-0.00048576-0.00024137i
-0.0017543+0.00081749i,-0.0023601+0.0011233i,-0.0026349+0.00064952i,-0.001996+0.00088842i,-0.001138+0.0014753i,-0.00094902+0.0013695i,-0.00028042+0.0016456i,0.00089417+0.0016462i,0.0014427+0.00037654i,0.00042522-0.0005536i,-0.0010586-0.00082748i,-0.0011517-0.00056831i,-0.00053856-0.00010216i,-7.2737e-05+0.00064493i,-0.00074823+0.0012755i,-0.001001+0.00099384i,0.0001004+0.00052571i,0.00048246+0.00032408i,-0.00030715-0.00011425i,-0.00063388-5.0405e-05i,-0.00026108+0.00013858i,-0.00027966-0.00016582i,-0.00019668-0.00097605i
-0.001526+2.612e-05i,-0.000931+0.00046069i,-0.00098495+0.0016052i,-0.00042376+0.0021036i,0.00036304+0.0020878i,3.2711e-05+0.0028194i,-0.00025867+0.0026279i,2.3267e-05+0.0015578i,0.00047089+0.00047593i,-0.00032618+0.00015324i,-0.0016036+0.00029731i,-0.0017021+0.00025204i,-0.001461-0.00016573i,-0.00062689-9.4738e-06i,-8.3164e-05-0.00015512i,-0.00037827+0.00011562i,-0.00053349+0.0005174i,-0.00012021+0.00016939i,0.00027722-0.00017737i,0.00048498+7.094e-07i,0.00045173+0.00070331i,-0.00016471+0.00041897i,-0.00092578-0.00032118i
-9.6808e-05+0.0017366i,0.0015602+0.001259i,0.0030887+0.0015073i,0.0029436+0.00056071i,0.0025447-0.00040247i,0.001496+0.00064959i,0.00018944+0.0020253i,-0.00031809+0.0011364i,-0.00059469+0.00042247i,-0.00031157+0.0012272i,0.00035948+0.0012744i,0.0009227+0.00049013i,0.0011266+7.9997e-05i,0.00027554+0.00080596i,-0.00088876+0.00090038i,-0.0011407+0.00074004i,-0.00039488+0.00054639i,2.9042e-05+0.00046486i,8.2776e-05+0.00055686i,-0.00018793+0.0011385i,-0.00042324+0.00091285i,7.5543e-05+0.00051985i,-9.8802e-06+0.00040077i
0.00031763+0.0010965i,-0.00034891+0.002299i,-0.00041931+0.0028817i,0.000275+0.0031633i,0.0007226+0.0035082i,0.00083032+0.0035116i,-0.0001846+0.0028354i,-0.0005831+0.0019466i,-0.00015203+0.0018706i,0.00036424+0.0017217i,0.00065828+0.00088026i,0.00040215+0.00023482i,6.1114e-05+0.00085837i,2.365e-06+0.0010254i,-0.00064228+0.00053196i,-0.0005971+0.00030178i,-0.00019076-0.00015296i,-0.00030088-1.8671e-05i,-0.001157-4.9812e-05i,-0.0013331-0.00032922i,-0.00064237-0.00016205i,-0.00011021+0.00022723i,-0.00016694+8.5281e-07i
-0.0019809-0.00024941i,-0.002591-0.00012458i,-0.0027409+0.00023366i,-0.0018917+0.0015183i,-0.0010948+0.0026494i,-0.00098111+0.0032311i,-1.6343e-05+0.0028041i,0.0010921+0.0016222i,0.00098255+0.0010811i,0.0012025+0.0011496i,0.00069204+0.00047762i,-0.0011791-5.0333e-05i,-0.0019464+0.00040449i,-0.0014644+0.00055776i,-0.0013141+6.2801e-05i,-0.00112+0.00020896i,-0.00074412+0.0009275i,-0.00021508+0.00093495i,0.00050879+0.00033454i,0.00056264-0.00019414i,0.00014699-0.00065564i,0.00029852-2.0591e-05i,0.00015813+0.00027692i
0.00074679-0.0023526i,0.00084375-0.0014815i,0.00039724-0.00050157i,0.00031299+0.00076982i,0.00068177+0.0012609i,0.00018963+0.0011524i,-0.00034301+0.00041006i,0.00012033-0.00047902i,0.00066484-0.0013598i,0.0011168-0.0023308i,0.00028075-0.002829i,-0.0011295-0.0022528i,-0.00064393-0.00059036i,-0.00012258+0.00079403i,-0.00081715+0.0013463i,-0.0009199+0.0020943i,0.00021506+0.0021742i,0.0011676+0.0010745i,0.00067849-9.1487e-05i,-0.00040773-0.00053883i,-0.00092483-0.0011586i,-0.00031516-0.00012786i,-0.00020657+0.00059984i
0.0022386+0.0018178i,0.0029562+0.001557i,0.0035503+0.0011686i,0.0029294+0.0015178i,0.0021424+0.0022346i,0.00037598+0.0027159i,8.7453e-05+0.0021605i,0.00057926+0.0012724i,-0.0006182-1.5296e-05i,-0.0013242-0.0006068i,-0.00066995+0.00012052i,9.0935e-06+0.00029802i,4.9154e-06-9.4258e-06i,0.00019447+8.779e-05i,0.00063724-2.9186e-05i,0.00037984-0.00033569i,0.0002344+0.00017177i,0.0012103+0.00029485i,0.00141+0.00044841i,0.00067966+0.00019724i,0.0003156-0.00061045i,0.00061026-0.00064566i,0.00067436+0.00013594i
-0.00088534+0.0015814i,-0.0012004+0.002514i,-0.0011425+0.0020098i,-6.4905e-06+0.0022022i,0.00044206+0.0024438i,0.00020647+0.0018459i,-0.00012071+0.001196i,-0.00040868+0.0010548i,-0.00080319+0.0012507i,-0.00053526+0.001861i,0.00017592+0.0019974i,0.00030677+0.0020841i,-0.000279+0.0011426i,-0.0012532+7.0899e-05i,-0.0010614-0.0011982i,-0.00027022-0.00088791i,-0.00054705+7.1794e-05i,-0.0010534-0.00047002i,-0.00053255-0.00020144i,-0.00012236+0.00076737i,-0.00015904+0.00086081i,1.5483e-05+0.00081345i,0.00057752+0.00022642i
-0.00084401-0.0028279i,-0.0023306-0.0013655i,-0.0023095+0.00093068i,-0.0022318+0.0026111i,-0.0026552+0.0032159i,-0.0017913+0.0028716i,-0.0002998+0.0024074i,0.00025851+0.0022207i,0.00038529+0.0022675i,0.0003471+0.0016469i,0.00045808+0.00048687i,0.00078856-0.00055709i,0.00037451-0.0012635i,-7.635e-05-0.0011953i,0.00025617-0.00093095i,0.00070355-0.00099508i,0.00051515-0.0007515i,0.00056165+0.0002964i,0.00060454+0.00059805i,0.00038872+0.00027527i,0.00075097+0.00028371i,0.0010506+0.00059151i,0.00058369+4.4906e-05i
0.0019146-0.0019714i,0.0027818-0.0012243i,0.00061042+0.00034653i,-0.00029772+0.0015759i,-0.00028684+0.0020291i,-0.00081389+0.0032434i,-0.00047731+0.0032722i,0.00059895+0.0016342i,0.0011536-1.8948e-05i,0.00094308-0.001043i,0.00032393-0.0017168i,0.00080781-0.0016553i,0.0014364-0.00061106i,0.00089851+0.00021852i,0.00039408-4.6299e-05i,-0.00027463-0.00061733i,-0.00027395-0.0005083i,0.00066389-0.00012491i,0.00077779-0.00050584i,0.00091113-0.0004039i,0.00091733+0.00050024i,9.5448e-05+0.00041359i,-0.00019898+3.4707e-05i
0.00063082+0.0031891i,0.0013317+0.0029657i,0.0023772+0.0028428i,0.0023685+0.0022836i,0.0022222+0.0010638i,0.00088231+0.00059i,-0.00013647+0.00098677i,0.00024482+0.00087754i,0.0010241+0.00066488i,0.0012415-0.00027194i,0.0012716-0.00071075i,0.00087674-1.4993e-05i,-0.00034003+0.0006068i,-0.0014183+0.0009915i,-0.0014048+0.0010852i,-0.00041105+0.0010596i,0.00017157+0.00078487i,-0.00041957-5.7356e-05i,-0.0011411-0.00073968i,-0.00074793-0.00088004i,-6.3001e-05-0.00045245i,0.00029864-0.00030535i,0.00078309-0.00038541i
-0.0032745-0.0020199i,-0.0033482-0.0012299i,-0.0026021+0.00072055i,-0.0018219+0.0022371i,-0.00091317+0.0034165i,-2.8295e-05+0.0035391i,0.00085821+0.0030081i,0.00043061+0.0017093i,-0.00092797+0.00077025i,-0.0014169+0.0010142i,-0.0011049+0.001342i,-0.00088736+0.00089348i,-0.0012457+1.187e-05i,-0.00093026-0.00011707i,-0.00024966-0.00016518i,-0.00039079-0.0004587i,-6.1398e-06-0.00061104i,0.00028637-0.00056662i,-0.00015575-0.00055621i,0.00010841+0.00031362i,0.00030929+0.0010961i,0.0004018+0.0010278i,0.00088471+0.00064849i
0.00032021-0.0018524i,-0.00064035-0.0003295i,-0.0013334+0.00023999i,-0.00058203+0.00093653i,0.00035629+0.0024185i,-0.00073747+0.0024374i,-0.00085023+0.0024815i,-0.00018544+0.0025098i,-0.0013076+0.0012594i,-0.0017222+0.00081408i,-0.0011024+0.00051245i,-0.00075102-0.00025839i,-0.00041654-0.0004451i,0.00037107-0.00060618i,0.00050996-0.00066057i,0.00076405-5.3321e-05i,0.00095526+0.0005076i,0.00026257+0.00017485i,0.00041337-0.00020451i,0.00010726-0.00029081i,-0.00022067-0.00018024i,0.00042548+3.0465e-05i,0.0004676+0.00079045i
0.00077199+0.00073988i,0.00144+0.00080985i,0.0018083+0.00021171i,0.0015126+0.00057926i,0.0010321+0.0016167i,0.00054631+0.002867i,0.00013488+0.0028947i,0.00031631+0.0016225i,0.00056967+0.0011131i,0.00050157+0.00060438i,0.00063123-0.00072438i,0.0012646-0.0012623i,0.00083378-0.00070095i,-0.00021646-0.00051077i,-0.0010693-0.00040277i,-0.0012486+0.00013817i,-0.00084904+0.00039205i,-0.0002504+0.00054062i,4.2567e-05+0.00074006i,3.8353e-05+0.00077175i,-2.36e-05+0.00051148i,6.8142e-05+0.0002082i,-0.00031724+3.8311e-05i
1.7422e-05+0.00045985i,0.00053965+0.0014933i,0.00086067+0.0026288i,0.00092498+0.0026664i,0.0012983+0.0029713i,0.00092091+0.0041582i,0.0014857+0.003227i,0.0018723+0.001692i,0.0016406+0.00099567i,0.001348-4.2196e-05i,0.0013945+0.00024156i,0.0007379+0.00034352i,-0.00020588-0.00026049i,-0.00040371-7.2448e-06i,-0.00092871+4.0718e-05i,-0.0010905-2.4705e-05i,-0.0011672-0.00017172i,-0.0007508-0.00022542i,-9.3576e-05+4.5348e-05i,-0.00033267+4.2631e-05i,-0.00037318-0.0002937i,-3.5884e-05-0.00065809i,-0.00026319-0.00056727i
0.0017809+0.00064775i,-0.0008089+0.0014002i,-0.0018987+0.001942i,-0.0011743+0.00096633i,-0.001065+0.000129i,-0.001142+0.0009003i,-0.001+0.0012129i,-0.00064784+0.00091451i,-0.00046992-0.00027533i,-0.0002111-0.0012655i,-0.00011387-0.00033742i,-0.00092499+0.00098074i,-0.0014168+0.00086929i,-0.0011934+0.00081309i,-0.0008731+0.00041453i,-0.00097459+0.00039007i,-0.001297+0.00070637i,-0.00087516+0.00012434i,-0.00021084-0.00071836i,0.00010062-0.00085403i,-0.00058795-0.00022755i,-0.0013167+0.00031007i,-0.00079756-0.000222i
-0.0011825-0.00084261i,-0.0013777-0.00065111i,-0.0022517+0.00030689i,-0.0022106+0.0019618i,-0.0013002+0.0027135i,-0.00032611+0.0026806i,0.00064407+0.0022629i,0.00044611+0.0013617i,-0.00093731+0.000381i,-0.0018857-0.00012902i,-0.0017888-0.00018939i,-0.00060618-0.00022015i,0.00065331-0.00040221i,0.0010033-0.00044716i,0.00073494-0.00055523i,-0.00027715-0.0005127i,-0.0011773-0.00035665i,-0.00027152-0.00012588i,-0.00021158-0.00020405i,-0.00061951-0.00022798i,0.0001736+5.2623e-05i,0.00061386+0.00060242i,0.0008628+0.00086925i
0.0015557-0.0023224i,0.00093455-0.0014759i,-7.4637e-05-0.0016709i,-0.00070483-0.0015784i,-0.0004346-0.00073185i,-0.0010848+0.0012939i,-0.0016294+0.0032377i,-0.0012321+0.0032337i,-0.0010616+0.0019863i,-0.00059478+0.00059676i,-0.00036337-0.0002262i,0.00068244-7.3787e-05i,0.001733-0.00043044i,0.0012215-0.001162i,0.0011482-0.00018457i,0.00097753+0.00083036i,0.00096128+0.00066i,0.00048087+0.00087348i,-7.2162e-05+0.0010881i,0.00079327+0.000739i,0.0012538+0.00058321i,0.001078+0.0003878i,0.00064364+0.00012202i
0.00043132+0.000912i,0.00020731+0.0016995i,0.00084625+0.0016625i,0.0012422+0.0012815i,0.0011706+0.0014142i,0.00020895+0.0025816i,-0.00015632+0.0029815i,0.00036574+0.0027433i,0.0013523+0.0027048i,0.002294+0.0020345i,0.0020979+0.0016314i,0.00038474+0.0016212i,-9.2979e-05+0.00099686i,0.00095544+0.0003291i,0.00068247+0.00025753i,-0.00041572+0.00095841i,-0.00093093+0.00057701i,-0.00070171-0.00014263i,0.00030168-0.00022833i,0.00056013+0.00038302i,0.00037711+0.001176i,0.0014784+0.0013486i,0.0017346+0.0010321i
-0.0010251-0.0016327i,-0.0017345-0.0015266i,-0.0010646-0.00038268i,-0.00025083+0.0013116i,-0.00072698+0.0026904i,-0.0015197+0.0041022i,-0.00091458+0.0033627i,0.00015286+0.0019401i,0.00036976+0.0010642i,0.00024548+0.00038049i,-0.00030986+4.4533e-05i,-0.00047847-0.00028162i,-0.00019679+0.00059248i,4.9953e-06+0.00089684i,-0.00029915-0.000166i,-0.0011054+4.3635e-05i,-0.0005825+0.00036006i,0.00027653+0.00011459i,0.0005575+0.00018929i,0.00030433-0.00023389i,-0.00038845+6.0642e-05i,-0.00052155+0.0010167i,0.00010161+0.00078874i
0.00036287-6.6896e-05i,0.00048444+0.00029243i,0.000543+0.0015665i,-0.0006781+0.0024055i,-0.00043272+0.0017008i,0.00015904+0.0012829i,-0.00057586+0.00042168i,0.00013553-0.0011409i,0.00044415-0.0018845i,-0.00065827-0.0019732i,-0.0013313-0.0017787i,-0.0012139-0.00097155i,-3.4479e-05-0.00016715i,0.00023157+0.00067586i,-0.00085591+0.00036844i,-0.001634+0.00054091i,-0.0012289+0.0011692i,-7.0215e-05+0.00058604i,0.00048616+0.00017554i,6.8023e-05-0.00018506i,-4.6346e-06-0.00043209i,-3.9771e-05+0.00026889i,-0.00029005+0.00057871i
-0.00077819+0.0024779i,-0.000382+0.0029242i,-0.0017984+0.0025769i,-0.0022757+0.0018842i,-0.0012101+0.0023095i,-0.00087931+0.0021696i,-0.00070412+0.0015502i,-0.00076815+0.00091337i,-0.00096625+0.00017201i,-0.00088877-0.00032611i,-0.00075461-4.8145e-05i,-0.00010101+0.00096748i,0.00036425+0.0012223i,-0.00024455+5.9249e-05i,-0.00046792+0.00035679i,-0.00043777+0.00093026i,-0.00014046-3.7048e-05i,-0.00055772-0.00070834i,-0.0014305-0.00054559i,-0.0010409+6.366e-05i,-0.00042084+0.00065111i,0.00021722+0.00017089i,0.00066849-0.00012033i
-0.00027682-0.00088574i,-0.0010344-0.0013226i,-0.00080272-0.001325i,0.000157-0.00035527i,0.00081281+0.00072974i,9.7776e-05+0.001404i,-0.00052493+0.0012131i,-0.00034426+0.0018822i,-9.2271e-05+0.0028368i,0.00018933+0.0026236i,0.00060821+0.0020248i,0.0012355+0.0012845i,0.0010245+0.0018251i,0.00039911+0.002345i,2.1841e-05+0.0014869i,-0.0002746+0.00068622i,7.1117e-05-0.00022138i,0.00064258-0.0011623i,0.00059619-0.00027775i,-8.4132e-05+0.00035435i,-0.00039667-3.1573e-05i,0.00012935-1.2757e-05i,0.00013012+1.4247e-06i
6.5504e-05+1.4108e-05i,5.9439e-05+2.3421e-05i,0.00077992+0.001042i,0.0010395+0.001997i,0.00019322+0.0031779i,6.7726e-05+0.0038917i,0.0002217+0.0032354i,0.00062669+0.0024993i,0.00099033+0.0027232i,0.00077517+0.0023161i,0.00027011+0.0011402i,-0.00056395-3.1038e-06i,-0.0010837-0.00043495i,-0.0016165+0.00011415i,-0.0012998-3.5821e-05i,-0.00016669+5.3636e-05i,-2.4795e-06+0.00067565i,0.00034304+0.00076232i,0.0004894+0.00020921i,-0.00040561-0.00032815i,-0.00021084-0.0010633i,0.00096438-0.00051642i,0.0011355+0.00034453i
