0.001183+0.00027355i,0.0011116-0.00048517i,0.00065928-0.0015126i,-0.0021029-0.0025787i,-0.0040435-0.0018056i,-0.0043978+0.00030804i,-0.0024341+0.0019708i,-0.00027163+0.0018105i,0.00080067+0.00044225i,0.0006177-0.00061716i,0.00018305-0.00091066i,0.00021404-0.0007344i,0.00064805-0.00056353i,0.0009766-0.00028504i,-0.00022408-0.00026515i,-0.001388+0.00022878i,-0.00071939+0.00060804i,0.00037247+0.00068452i,0.00048421+0.00054832i,-0.00019174+0.00042431i,-0.00012453+0.00070443i,0.00042387+0.00094772i,0.000242+0.0010111i
-0.0035168+0.00014496i,-0.002609+0.001767i,-0.00092547+0.0015339i,-0.00025278+0.0014391i,-0.00031512+0.0011225i,-0.00063584-0.00066794i,-0.0014903-0.0017433i,-0.0014619-0.001374i,-0.00062627-0.00076773i,-0.00038705-0.00023046i,-0.00019469+0.00067161i,0.00051266+0.0011109i,0.00071962+0.00075506i,0.0006741+0.00027552i,0.00081308-0.00031497i,0.00075993-0.00041253i,3.108e-05-1.0755e-05i,-7.6781e-05+2.9656e-05i,-0.00014167+0.00015259i,-0.00035516+0.00069353i,-0.00028068+0.0010907i,-0.00048524+0.00056634i,-0.00052955+0.00064447i
0.0064264+0.00068993i,0.0053998-0.00032642i,0.0038265-0.0012831i,0.0012904-0.0022837i,-8.4178e-05-0.0030407i,-0.00097458-0.002602i,-0.0012323-0.0010617i,-0.00027253-0.00063951i,-0.00051919-0.00066161i,-0.00088448-0.00027i,-0.0010388+0.0010635i,-0.0013571+0.0019197i,-0.0011615+0.0013596i,-0.0010328+9.664e-05i,-0.00043041-0.0013738i,0.0001738-0.0017308i,0.00055325-0.00028503i,0.00034446+0.00035768i,-0.00044742-0.0005625i,-0.00061369-0.00042519i,-0.00050367+0.0005221i,-0.00012287+0.00050472i,5.2456e-05-0.00061638i
2.3453e-06+0.0049305i,-0.00070813+0.0051652i,-0.0012418+0.00076897i,-0.00073658-0.0032378i,-0.00073038-0.0032753i,-0.00080252-0.0022432i,-0.00099116-0.0016121i,-0.001158-0.001067i,-0.0006722-6.5874e-05i,-0.00050152+0.0011672i,-0.00058147+0.0011218i,-0.00052024+0.00027089i,3.5088e-05-9.525e-06i,0.00048442-0.00030726i,0.00047701-0.0007583i,3.2417e-05-0.00075445i,-0.00066045-0.00084009i,-0.0005496-0.00035107i,-0.00078058+5.2578e-05i,-0.00084902-0.00059375i,-0.00047381-0.00056692i,0.00010843-0.00034078i,0.00055331-0.00012252i
-0.0011643-0.0016449i,-0.0011047-0.0016994i,0.00058757-0.0006844i,0.00050469-0.00063376i,-0.00064427-0.0015809i,-0.0017688-0.001872i,-0.0028205-0.0011122i,-0.0015219-0.00014191i,0.00048952+1.7684e-05i,-0.00028821+3.7343e-05i,-0.00072887-4.9636e-05i,-0.00055645-0.00022322i,-0.00085372-0.00046183i,-0.00081011-0.00048063i,-0.00080048-9.1898e-05i,-0.00059646-0.00027557i,2.7865e-05-0.00045928i,0.00062679-0.00061849i,0.0012148-0.00043871i,0.0011193-0.00019541i,-0.00011237-0.00042769i,-0.00060094-8.0014e-05i,-0.00071012+0.000586i
0.00068836+0.0013934i,0.0022687+0.0020038i,0.0028799+0.0020358i,0.0032502+0.00047622i,0.002194-0.0010018i,0.00067827-0.0016521i,-0.00020268-0.0017451i,-0.00087188-0.00051289i,-0.00061475+0.00099844i,0.00050836+0.00089426i,0.0010663+3.0443e-05i,0.0016215-0.0003042i,0.0017115+0.00017597i,0.0012475+0.00060406i,0.00093705+0.0010412i,-0.0001876+0.0013204i,-0.0002928+0.00048753i,9.327e-05-0.00018589i,-0.00029294-9.5777e-05i,-0.00022626+0.00030803i,0.00035512-0.00030761i,0.00050944-0.00062504i,0.00028426-0.00014917i
-0.0023244+0.003581i,-0.0024526+0.0037972i,-0.0021124+0.0014974i,-0.0013147-0.0002074i,-0.0014751-0.00039343i,-0.0017826-0.00015176i,-0.001144-0.00036703i,-0.00039878-0.00061453i,-0.00051825-0.00018466i,-0.0012581-6.2493e-05i,-0.0012301-6.727e-05i,-0.0013737+0.00019369i,-0.0017079+0.00086549i,-0.0012263+0.00091682i,-0.0001646-2.2494e-05i,0.00064738-0.00021758i,-6.801e-05-8.3412e-05i,-0.000136+8.5757e-05i,0.00032837+0.00013241i,0.00058833+1.9593e-05i,0.00038598+0.00019049i,-0.0004067+0.000713i,-0.0003884+0.00093256i
0.0010132-0.0029434i,0.000698-0.0019886i,0.00097775-0.0019262i,0.00024353-0.0023486i,0.00020981-0.0022936i,-0.00041321-0.0022234i,-0.0016989-0.0018606i,-0.001619-0.0015001i,-0.00051185-0.0016391i,-0.00046386-0.00161i,-0.0010944-0.001238i,-0.00068881-0.00055155i,8.0555e-05+0.0002776i,0.00091057+0.00028899i,0.0010836-0.00059181i,0.00021928-0.0013384i,0.00096252-0.00070829i,0.0011778+0.00043407i,0.00050999+0.00078719i,0.00050429-0.00014146i,0.00042681-0.00064873i,-0.00025133-0.00037657i,-0.00065801+0.00013488i
0.0026055+0.0025716i,0.0027074+0.0033518i,0.0025704+0.0019083i,0.0017663-0.0004645i,0.0010695-0.001958i,-0.00081704-0.0023361i,-0.0012515-0.0013026i,6.4733e-05+8.0971e-05i,-0.00031266+0.00049913i,-0.00028406+0.00039803i,0.00034027+0.00025224i,0.00032509-0.00013628i,-0.0005032-0.00058233i,-0.00071884-0.00093049i,-0.00027319-0.0013015i,-3.4712e-05-0.00097235i,0.00044752+0.00032546i,0.00030179+0.00058086i,0.00017523-0.00048282i,0.00039831-0.0010112i,0.00046412-0.0004625i,0.00067567-0.00012826i,0.00078151-7.1729e-06i
-0.00097304+0.00060871i,0.00031341+0.0015737i,0.00067932-0.00031316i,-2.7514e-06-0.0030129i,-0.0011616-0.0032855i,-0.0017526-0.0015867i,-0.0019737-0.00051295i,-0.0017835-0.00035989i,-0.0017257-5.768e-06i,-0.0010775+0.00036682i,8.3965e-05+0.00070267i,0.00038591+0.00056137i,0.0008218-2.6175e-05i,0.0008013+4.465e-06i,-0.00032169+1.7216e-05i,-0.0004857-0.00030779i,-0.00013935-0.00043634i,-0.00027427+7.6856e-05i,-7.2638e-05+0.00042976i,0.00049481+0.0001237i,0.0012296+0.000495i,0.0013759+7.7393e-05i,0.0010075-0.00034184i
-0.0031557-0.0024506i,-0.0020237+3.9354e-05i,-0.00093814+0.0019942i,-0.0015187+0.00043881i,-0.0016217-0.0014803i,-0.0010827-0.0010635i,-0.00095562-0.00032108i,-0.0010538+0.00038915i,-0.00099823+0.00038337i,-0.000866+0.00028986i,-0.00097226+0.0010307i,-0.0012808+0.00065642i,-0.0011349-0.00057472i,-1.4162e-05-0.0011739i,0.00050128-0.00052262i,0.00016954+0.00041351i,-9.6808e-05+0.0013458i,-0.00050184+0.00092112i,-0.00079659-0.00012831i,-0.00032072+0.00032216i,-0.00048585+0.00059882i,-0.00080259+0.00034995i,-0.00068935+0.00039361i
0.0052397-0.0019648i,0.0043328-0.0013786i,0.0023034-0.0020956i,0.0010932-0.0018193i,-0.00073502-0.0016899i,-0.0027478-0.00126i,-0.0026293-0.00068066i,-0.00077881-0.000283i,-0.0002199+0.00032669i,-0.00023614+0.00057325i,-0.00020646-0.00019481i,0.00014814-0.00069799i,0.00052937-4.9624e-05i,0.00048524+0.00076083i,-3.5316e-05+0.0014145i,-0.00086389+0.00082857i,-0.00098703+0.00010598i,-0.00061137+0.0007593i,-0.00022365+0.00057557i,-7.3001e-05-9.5311e-05i,0.00032565-0.0001727i,0.00041709-0.00049503i,-0.00020399-2.4718e-05i
0.00017594+0.0036661i,0.0019004+0.0037909i,0.0026186+0.0017902i,0.0010663-0.0012957i,-0.00017351-0.0033961i,-3.4456e-05-0.0023675i,-0.00053789-0.00079963i,-0.0006869-0.00098547i,-3.1096e-05-0.0006096i,-0.00028484+0.00019664i,-0.00034053+0.00029868i,-0.00013239+0.00066564i,-0.00020845+0.00093672i,0.0001165-0.00022725i,0.00061539-0.00075272i,-4.4679e-06+6.3655e-05i,-0.00028462-9.6835e-05i,7.3501e-06-0.0010949i,0.00045407-0.0012306i,0.00078142-0.00080347i,0.00063065-0.00050324i,0.00068261+0.00031429i,0.00017705+0.00087949i
-0.003103+0.0015161i,-0.0015932+0.0018835i,0.00090812+0.00075233i,0.0018679-0.0010264i,0.001124-0.0024727i,3.0711e-05-0.0028381i,-0.00054827-0.0016292i,-0.00023158-0.00082636i,0.00019771-0.00092123i,-0.00015372-0.00044363i,-0.00044379+9.9125e-06i,0.00058006+7.1872e-05i,0.00063171-0.00013614i,0.00022343+3.3892e-05i,0.00074331+0.000316i,0.00084471-0.0002909i,0.00028489-0.00061704i,0.00040521-8.5767e-05i,0.00077943+0.00020361i,0.00079877+2.4213e-05i,0.00074788+0.00021565i,0.0003+4.4184e-06i,-1.0566e-05-0.00015135i
0.0028792+0.00092349i,0.0036894+0.0015734i,0.0021866+0.00054877i,0.00072412-0.001083i,-0.00065704-0.0015018i,-0.0022418-0.0013224i,-0.001973-0.0013018i,-0.00030664-0.0016547i,-6.6561e-05-0.00094859i,-0.00027838+0.00036523i,0.00057339+0.0011703i,0.0013248+0.00075955i,0.0011902+0.00014084i,0.00031765+0.00045309i,0.00056972-9.4021e-05i,0.0007018-0.00083132i,0.0001719-0.00057419i,0.00078533-0.00031657i,0.0016451-0.00029468i,0.0016923+0.00037087i,0.0012564+0.0006512i,0.00076857-0.00019829i,0.00044307-0.00062614i
-0.00081292+0.0023937i,2.0368e-05+0.001683i,0.00047969+1.8051e-05i,-0.00023834-0.0015744i,-0.0001871-0.0028788i,-3.5111e-05-0.0029139i,-0.00080008-0.0017652i,-0.00054544-0.0012326i,0.00018186-0.0013901i,-0.00019031-0.001226i,-0.00059574-0.0004076i,-0.0003067+0.00014017i,7.7988e-05+0.0008733i,-0.00017746+0.00054087i,-5.5214e-05-0.00022951i,0.00066489-0.00049696i,0.00089485-0.00027565i,0.00091477+0.00088931i,0.0010649+0.0010079i,0.0003169+0.000401i,-0.00025931+0.00033582i,-1.8009e-05+0.00040852i,-4.4002e-05+0.00022553i
0.0016217-0.0042061i,0.0012067-0.0033364i,-2.7514e-05-0.0032293i,-0.0013695-0.0036191i,-0.002827-0.0036111i,-0.0032322-0.0018065i,-0.0026893+0.00021287i,-0.0017481+0.00012801i,-0.001132-0.00063971i,-0.0012227-0.00088927i,-0.00098227-0.00049374i,-0.0012861-0.00021232i,-0.001146-8.4253e-05i,-0.00051808+0.0005715i,0.00020286+0.0012038i,-6.1519e-06+0.00094667i,-0.00032207-7.1949e-05i,-5.7071e-05-0.0001373i,-0.00010657+4.1278e-05i,-0.00070966-0.00036686i,-0.0010626-0.00043471i,-0.00044804-0.00053958i,0.00036683-0.00027005i
0.0016045+0.0040638i,0.0020453+0.0050825i,0.0011298+0.0037572i,0.0014269+0.0016249i,0.0013264+0.00045565i,-0.00012999+0.00060825i,-0.0013202+0.00078771i,-0.0012292+0.0007525i,-0.0011863+0.001303i,-0.0007372+0.0012253i,-0.00049229+0.00021269i,-0.00070473-0.00026704i,-0.00022034+0.00014391i,-0.00046106+0.00045601i,-0.00031582+0.00048408i,0.00034937-0.00025241i,0.00042605-0.00055135i,-0.00024752-0.00031303i,-0.0010323-0.00022211i,-0.0010291-0.00037289i,-0.00052426-0.00055648i,-0.00028427-0.00089614i,-0.00040833-0.00029663i
-0.0015024+0.00038038i,0.00028304+0.00074184i,0.0024007+0.00051826i,0.0020372-0.0016489i,0.00019659-0.0039069i,-0.00058779-0.0036719i,-2.8794e-05-0.0018387i,-0.00024455-0.00027192i,-0.00012421-0.00053338i,0.00032867-0.00087438i,0.0010312+0.00018722i,0.00070085+0.00087186i,-0.00018603+0.000716i,-0.00034981+0.00010994i,-0.0013719-0.00061748i,-0.0018883-0.00093137i,-0.00092463-0.00075415i,-2.4587e-07-0.00046512i,-0.00045123-0.0005142i,-0.00098586-0.00020338i,-0.00099603+0.0003254i,-0.00044631+0.00045793i,0.00035761+0.00059478i
0.00020056-0.0012212i,0.00083906-0.00054243i,0.00023763-0.00067023i,-0.00017496-0.00079068i,-0.00064335-0.0012452i,-6.3417e-05-0.002196i,0.00059038-0.0016838i,0.00059927-0.0004113i,0.00013824+0.0001532i,0.00011204+0.00043148i,0.00014313+0.00045696i,0.00052146+0.0013385i,0.00096574+0.0015445i,0.00058702+0.00047732i,-9.4335e-07-0.00017594i,6.7215e-05-0.00023225i,0.00057807-0.00027542i,0.00068829-0.00070105i,0.00063141-0.00087537i,0.00062651-0.00081462i,7.7762e-07-0.0011418i,-0.00042866-0.00092517i,0.00012117-0.00031031i
0.00076544+6.2401e-05i,-0.00020054+0.0012105i,-0.00073269+0.00056149i,-0.0013644-0.00068053i,-0.0010621-0.00091046i,-0.00061575-0.00065766i,-0.00060648-0.0006457i,-0.0006104-0.00015952i,-0.00052369-7.3276e-05i,-0.00029158-9.0475e-05i,-0.00052828-0.00048768i,-0.00032761-0.00062219i,-0.00027861-6.3406e-05i,-0.000139+5.7962e-05i,0.00059683-0.00042869i,0.00036857-0.00038677i,0.00089829-7.9695e-05i,0.0015093-5.7777e-05i,0.00048297-0.00027904i,0.00025061+0.0001655i,0.00093141+0.00071836i,0.00096406+0.00016558i,0.0010472-0.00060693i
-0.00024834+0.0012901i,0.00019683+0.0010258i,-0.001149+0.00016518i,-0.0018589-0.0021759i,-0.0021942-0.0040894i,-0.0028707-0.0035469i,-0.0026629-0.0021045i,-0.0018644-0.0015253i,-0.001457-0.00099266i,-0.0013069-0.00075017i,-0.00061339-0.00031877i,0.00048296+6.364e-05i,0.00034525+0.00038563i,-0.00076643+0.00024144i,-0.00091339-0.00022148i,-0.00012901-0.00053351i,-0.00044808-0.00016867i,-0.0006125+0.00017499i,-0.0002309+0.00043358i,-0.0006289-0.00022276i,-0.00040507-0.00084283i,0.00045881-0.00019355i,0.00030383-1.2183e-05i
-0.0001591+4.0486e-06i,-3.4769e-05-0.00049238i,0.0010693-0.0019432i,0.0016243-0.0028294i,0.001583-0.0023446i,0.00015365-0.0012394i,-0.0015458-0.00079387i,-0.002019-0.00018067i,-0.0012519-0.00022855i,-0.00041969-0.00041566i,-0.00047113-0.00028243i,-0.00058993-0.00039256i,-0.00054591-0.00013138i,-4.6132e-06+0.00031413i,0.00063715+8.1936e-05i,0.00082521+0.00043716i,0.00086823+0.0015685i,0.00013311+0.0010434i,-0.00043162-0.00031103i,-0.00032903-0.00071544i,-0.00020467-0.00055303i,-0.00011643-0.00041932i,-0.00086065-0.00027401i
0.00025798+0.0018458i,0.0013976+0.00142i,0.0022631+0.0010852i,0.0030569-0.00086801i,0.0024928-0.0031011i,0.0013525-0.0031275i,-0.00016339-0.0020026i,-0.0010676-0.00018347i,-0.00061658+0.001136i,-0.00071856+0.00071734i,-0.0010158+1.816e-06i,-0.00032898+0.00028316i,0.00046141+0.00027942i,0.00061232+0.00082216i,-3.7229e-05+0.0013342i,-0.0007473+0.00050744i,-0.00013407-0.00015567i,0.00016986+0.00030475i,3.0085e-05+0.00065264i,0.00024546-9.2157e-05i,-2.5409e-05-0.00061405i,0.00022509-0.00067106i,6.9661e-05-0.00096063i
-0.00095498+0.0017635i,-0.00036628+0.0024552i,0.00034559+0.0023964i,0.00072117+0.00152i,-0.00027108-0.00039497i,-0.0016216-0.0010068i,-0.0014985-0.0003171i,-0.0014026-0.00024685i,-0.0010959-0.00025283i,-0.0001363-0.00012647i,0.00030412-0.00094344i,0.00010969-0.00078318i,6.9778e-05+0.00033302i,-2.5964e-05+0.00073931i,-0.0009065+0.0006838i,-0.001601+0.00038797i,-0.0014798+0.00035451i,-0.0011246+0.0003624i,-0.0011765+0.00014916i,-0.0009979+1.6734e-07i,-0.00056139-8.1163e-05i,-0.00053997+0.00010154i,-3.3346e-05+0.00035002i
-0.00011928-0.0012818i,-0.00081486-0.00079529i,-0.00056185-0.0013313i,-8.9736e-05-0.0018349i,0.00016046-0.0028085i,-0.00068683-0.0028507i,-0.0010598-0.0019501i,0.00029875-0.0010618i,0.0016078-3.4387e-05i,0.0012924+4.5558e-06i,0.0011163-0.00010922i,0.00067556+0.00044577i,-0.00012976+0.00016941i,-0.00026885-7.1576e-05i,0.0002087-4.3466e-05i,-3.3092e-05-0.00065274i,-1.3686e-05-0.00075657i,0.00060154-0.00058802i,0.00033452-0.00021767i,-0.00044808-0.00042894i,-0.00060076-0.000346i,0.0002711+2.0148e-05i,0.0011334-0.00057369i
-0.0015577-0.00013844i,0.00045378+2.7871e-06i,-0.00034572-0.00050169i,-0.00089851-0.0004269i,-0.0010153+0.00022694i,-0.00067976-0.00077051i,-0.0007614-0.0013129i,-0.00077373-0.00041762i,-0.0001542+0.00030992i,-0.00074318+0.00034569i,-0.00091215+0.0010732i,-8.3417e-05+0.0018254i,-1.0327e-05+0.0018202i,-0.0002464+0.0011258i,8.7282e-05+2.3123e-05i,0.00044105-0.00038821i,0.00031657-0.00024705i,0.00078427+0.0008982i,0.0013708+0.001329i,0.0012205+6.0106e-05i,0.00097272-0.00076233i,9.1438e-05-0.00048103i,1.1997e-05-0.00045047i
-0.0034178+0.002144i,-0.0014384+0.0037831i,0.00089016+0.0038282i,0.001727+0.0010589i,0.00037425-0.0011777i,-0.0012334-0.0014769i,-0.001962-0.0011113i,-0.0021147-0.0010356i,-0.0015239-0.0010419i,-0.00084038-0.00081331i,5.1153e-06-0.000413i,0.0006359+0.00011885i,0.00092126-0.00016289i,0.00046247-0.00065705i,0.00036646-0.00090672i,0.00087733-0.00024173i,0.00044277+0.00020726i,-0.00012326-0.00021109i,6.8135e-05+8.8699e-05i,6.7342e-05+0.00046517i,6.9688e-05+0.00022708i,0.00050455+0.00060029i,0.00069314+0.00089818i
0.0017574+0.0014055i,0.0028447+0.0016303i,0.0017338+0.00060305i,0.0018139-0.0025329i,0.0012099-0.0042612i,-0.00019767-0.0037268i,-0.00098977-0.0020011i,-0.0014616-0.0010702i,-0.0005996-0.00022761i,0.00032234+0.00064428i,-1.0442e-05+0.0012364i,-0.00087137+0.0010453i,-0.0013399+0.00014382i,-0.00059958-0.00058809i,0.00083788-0.00051571i,0.0014011-0.00059307i,0.0006623-0.00048375i,0.00016082-0.00020884i,0.000181-0.00033929i,0.00021586-0.00029349i,0.00030853-0.00072504i,8.683e-05-0.00048377i,-0.0003111+0.00067077i
4.7622e-05+0.0013738i,0.0010258+0.0014683i,0.00030086-1.9181e-05i,-0.0010946-0.0016088i,-0.00053962-0.0022547i,-0.00038876-0.0025051i,-0.0014187-0.0013796i,-0.0023574+0.00016216i,-0.002311+0.00062647i,-0.0011769+0.00061739i,-0.00033869+0.0010057i,-8.6119e-06+0.0011849i,5.2593e-05+0.0012504i,0.00012151+0.0011779i,-0.00017003+0.0018443i,-4.8683e-05+0.0018338i,7.7884e-05+0.00052538i,-0.00020582-0.0008221i,0.00022305-0.0016583i,0.00022346-0.0013802i,-5.9229e-05-0.00097867i,-0.00030405-0.00062702i,0.00045578-0.00036625i
0.0021104-0.0026872i,0.0017307-0.00010321i,0.0018605+0.00060034i,0.00046657-0.0016719i,-0.0021944-0.0022778i,-0.0029498-0.00084254i,-0.0013073+6.4486e-05i,-9.3919e-05+0.00020744i,0.00044544-0.0010595i,0.00071991-0.0013975i,0.00018669-0.00017004i,0.00060914+0.0012656i,0.0010304+0.0012929i,0.00048454+0.00077866i,-0.00050525+0.0017378i,-0.001119+0.0021332i,-0.00054109+0.00087151i,0.00024812+0.00054306i,0.00019831+0.001198i,-0.00023386+0.001111i,-0.00014526+0.00045499i,0.00017119+0.00063459i,0.00054374+0.00052086i
0.00181+0.0044452i,0.003229+0.0051528i,0.0033997+0.0032822i,0.0037352-0.00076003i,0.002964-0.0034926i,0.001047-0.0033118i,-0.00021989-0.0012666i,0.00071483+0.00090739i,0.00099812+0.0014405i,0.0001932+0.0013885i,0.00036947+0.0013706i,0.0002148+0.00064892i,-0.00052974-0.00039831i,0.00012084-0.00041502i,0.00063584-0.0010684i,-0.00016499-0.0014094i,-0.00047922-0.00030233i,-0.00051198+0.001154i,-0.00044747+0.0019327i,-1.5588e-05+0.0017495i,0.00031935+0.0010852i,0.00013557+0.00036561i,0.00057826-0.00041709i
-0.0039269+0.00097523i,-0.003777+0.0019015i,-0.0026154+0.0007798i,-0.0025441-0.00027707i,-0.0028396-0.0011305i,-0.0023423-0.0018727i,-0.002164-0.0021263i,-0.0019519-0.0014932i,-0.0014913-0.00076996i,-0.0015376+2.9045e-05i,-0.0015141+0.00048899i,-0.0011983+0.00045218i,-0.00030219+0.00013215i,-0.00014948-0.00053928i,-0.00018044-0.00058981i,2.936e-05-0.00021028i,4.9995e-06-0.00064111i,0.00015527-0.0010389i,0.00041363-0.00016678i,0.00020137-0.00034889i,6.4978e-05-0.00093729i,0.00028883-6.506e-05i,0.00076396+0.0010029i
0.0027578-0.0010614i,0.0040186-0.00016318i,0.0035035-0.00023981i,0.0027167-0.0022843i,0.0016562-0.0033482i,0.0002925-0.0031876i,-0.00045048-0.0027577i,-0.0004015-0.0016538i,-0.00015123-0.0017489i,-0.0005675-0.0019042i,-0.00056544-0.0011381i,-4.1332e-05-0.00036451i,-0.00012194-0.00032985i,3.2136e-05+4.0891e-05i,0.00096761-0.00047121i,0.0017684-0.0010502i,0.0013848-0.00070146i,0.00029704-0.00090351i,-0.00028433-0.00098093i,5.743e-07-1.4318e-05i,0.00015997+0.00063496i,-8.4021e-05+0.0010978i,-0.00081487+0.0010605i
3.4935e-05+0.0015112i,0.00014392+0.0016281i,0.00094056+0.00020181i,0.00093898-0.0011962i,-0.00026235-0.0018792i,-0.0012225-0.0018366i,-0.0014027-0.00077382i,-0.0014004+0.00012986i,-0.00088541+0.00010511i,4.1465e-05+0.00086777i,-0.00048075+0.001688i,-0.001131+0.00084749i,-0.0010223-0.00010273i,8.9146e-06+9.999e-05i,0.0010516+0.00039777i,0.0014414+0.00084776i,0.0012667+0.00068478i,0.00042428-0.00036739i,-0.00049945-0.0012059i,-0.00033467-0.0013126i,-0.00024841-0.00031824i,-0.00019712+0.00075575i,0.00011964+0.00070876i
-0.00048839+0.00092845i,0.00046428+0.00092232i,0.001236+0.00038536i,0.0015196-0.00067319i,0.00026845-0.0013305i,-0.0016231-0.0014021i,-0.0029191-0.00087169i,-0.0026433-0.00042874i,-0.0017774-0.00015078i,-0.0011827+0.00042002i,-0.00076931+0.00040118i,-0.0006405-0.00048325i,-0.00032877-0.00055097i,-0.0011423+0.00086568i,-0.0020652+0.0020152i,-0.0015571+0.0012792i,-0.00053052-0.00043644i,0.00034762-0.0011922i,0.00044596-0.0016452i,0.0004113-0.00087879i,0.00023944-0.00026251i,9.5924e-05-0.00095856i,0.00060145-0.00040323i
0.0019692+0.0011653i,0.0007351+0.00095251i,-0.00015823+0.00029503i,-0.00085709-0.00041691i,-0.0019055-0.0017732i,-0.0018316-0.0020221i,-0.00061606-0.0011963i,0.00062503-0.00014368i,0.0014704+0.000298i,0.00085675+0.00039695i,-0.00016728+0.00028327i,1.714e-05-0.00024276i,0.00057171+0.00056224i,0.0003239+0.0013122i,-0.00054383+0.00099884i,-0.00095738+0.00084218i,-0.00095313+0.00085184i,3.6234e-05+0.00029539i,0.0017943+6.7903e-05i,0.0016169+0.00034845i,0.00060913+0.00040273i,0.00025459+0.00021418i,-0.0004137-0.00017577i
-0.0021405-0.00052567i,-0.00056517+5.5356e-05i,-1.1932e-05-0.0019559i,-0.00091233-0.0024757i,-0.0024526-0.0022612i,-0.0028999-0.0023966i,-0.0010451-0.001636i,0.00063041-0.00024144i,0.00018477+0.00055554i,-0.00079085+0.0010298i,-0.00074186+0.0012722i,-0.00044729+0.0014244i,-0.00024046+0.00072995i,-0.00031923+4.7521e-05i,0.00017518-0.00047165i,0.00083267-0.00041905i,0.00079567+0.00061252i,0.00030468+0.00089571i,0.00047657+0.00061497i,0.0011844+0.00073293i,0.0014003+0.00040277i,0.0010296-0.00014877i,0.00041551-0.00033392i
0.0020315+0.00078069i,0.0022006+0.0017465i,0.0020214+0.00018777i,0.00094351-0.0024066i,-0.00053407-0.0037533i,-0.0011807-0.0030654i,-0.0012346-0.0019272i,-0.0019364-0.0016459i,-0.0018656-0.0014074i,-0.00092095-0.00036245i,-0.0013255+0.00013576i,-0.0017997-0.0003299i,-0.0015284-0.0011997i,-0.0011499-0.0013038i,-0.00035899-0.0013347i,0.00042437-0.00067355i,3.3677e-05+0.00029045i,-0.00023393+0.00035044i,-0.00033697+0.00037919i,-0.00039504+0.00020399i,0.00010596-0.00013258i,0.00040668+7.8425e-05i,0.0007458+0.00089131i
0.00086377+0.00056823i,0.00045228-9.7723e-05i,-0.00038535-0.00088481i,-0.00034731-0.0014659i,-0.00048782-0.0021679i,-0.0011495-0.0017183i,-0.0011249-0.00097267i,-0.00063651-0.0015533i,-0.00029752-0.0019474i,-0.0007185-0.0012908i,-0.00066072-0.00055128i,0.00042372+0.00024278i,0.00084619-3.8355e-05i,0.0015288-9.3152e-05i,0.0021723+0.00048293i,0.0014481+0.00031522i,0.00067048-0.00067351i,-1.5159e-05-0.00074915i,0.00020922-0.00064721i,0.00079906-0.00086952i,0.00072285+2.0711e-05i,0.00078133+0.00047955i,0.0014128+0.00022306i
-0.0023989+0.00092419i,-0.0010929+0.00086433i,3.9094e-05+0.00095593i,0.00046297-0.0003905i,-0.00019068-0.0025121i,-0.0013242-0.002557i,-0.0015231-0.0012332i,-0.0010456+0.00084597i,-0.00097878+0.0020237i,-0.0009185+0.0014363i,-0.00086134+0.00086821i,-0.00058766+0.00091299i,0.00022019+0.00064251i,0.00031223+0.00077308i,0.00084097+0.00038059i,0.0011131-0.00064606i,0.00072302-0.0012582i,0.00015218-0.0013571i,-0.00025534-0.001455i,0.00047563-0.00055388i,0.00076188+0.0008905i,0.00049705+0.0010449i,0.00079418+0.00040388i
-0.0028579+0.00036923i,-0.0010108+0.0013428i,0.001587+0.00096704i,0.0040468-0.0009312i,0.0026053-0.001746i,9.0349e-06-0.0015061i,-0.0011621-0.00144i,-0.0024586-0.0011565i,-0.0022193-0.00040723i,-0.00083087+0.0011434i,-6.637e-05+0.0021198i,-0.00031674+0.00081482i,-0.0002145+2.0802e-05i,0.00047847+0.0002303i,0.00010532+0.00050223i,-0.0008817+0.00047488i,-0.00089616-0.00021676i,5.1559e-05-0.0010883i,0.00068734-0.0012885i,0.00019325-0.00066329i,0.00081345+9.1564e-05i,0.0017904+0.00029075i,0.0012541+0.00045436i
0.00036334+0.0039481i,0.0024571+0.0035413i,0.0013674+0.0028753i,0.00067458+0.0019125i,0.00092345+3.6954e-05i,0.00045811-0.0012607i,1.1961e-05-0.00067102i,0.00067817-8.3196e-05i,0.00086404-0.00020439i,0.00082692-0.00092465i,0.00090283-0.00062984i,0.0010308+0.00022567i,0.00038626+1.7778e-05i,-0.00086629-0.00023385i,-0.00063713-6.9442e-05i,0.00060987+0.00052937i,0.00072252+0.00093056i,0.00061893+0.00077231i,0.00090194+0.00088894i,0.0005571+0.0015217i,0.00015984+0.0011897i,0.00060774+0.00018673i,0.00069913-6.2499e-05i
-0.0019373-0.001309i,-0.0029624-0.00047477i,-0.0015542-0.00083151i,-0.00061128-0.0021218i,-0.00037277-0.0027577i,-0.0008247-0.0019663i,-0.00099321-0.00077832i,-0.00051795-1.4138e-05i,0.00043853+7.1741e-05i,3.5565e-05-0.0010373i,-0.00019864-0.00097125i,9.8741e-05+0.00048657i,4.3625e-05+0.00040487i,0.00039224-0.00046066i,-0.00021912-0.0014193i,-0.00084929-0.0018292i,-0.0005951-0.00021122i,-0.00044055+0.0013656i,5.8232e-05+0.0011664i,0.00024167+0.00068853i,0.00012515+0.00089923i,0.00031585+0.00045874i,-6.5203e-05-0.00045297i
