0.0033669+0.0015915i,0.0041021-0.00051978i,0.0012885-0.0049363i,-0.0014902-0.0044498i,-0.0034165-0.0012472i,-0.0034624+0.00053933i,-0.00075834+0.00083509i,0.0010548+0.00010311i,0.0014366+7.6062e-05i,0.00081089-0.0002895i,-0.00028428-0.00090688i,-0.0010308-0.00053243i,-0.0011249+0.00059115i,-0.00092425+0.0013264i,-0.0018042+0.0010825i,-0.0020323+0.00053041i,-0.00060704-9.7418e-05i,0.00091251-7.1314e-05i,0.00060975+0.00073729i,-0.00044479+0.00044916i,-0.00045021-0.00011087i,-4.061e-05-0.00046181i,-2.956e-05-0.00079211i
0.0021077-0.001831i,0.0021269-0.0022417i,0.0021087-0.0013034i,0.0015829-0.00044627i,0.00068458+0.00019594i,0.00052237+0.00046375i,0.00097231+0.00027102i,0.00076375-3.9554e-06i,4.2667e-05+0.00025992i,-0.00034368+0.00086225i,-0.00049269+0.0005892i,-0.00040732-4.477e-05i,-0.00034238-0.00034403i,-0.0012894-0.00037181i,-0.0014334-0.00048624i,-0.00088315-0.0009274i,-0.0009593-0.00096716i,-0.00071527-0.00055727i,-8.9269e-05-0.00055699i,0.00032173-0.00054543i,6.9091e-05-0.00013799i,0.00013475-0.00021004i,0.00013324+0.00041828i
0.0014607+0.00020693i,0.0017075-0.0012743i,0.00031033-0.0018142i,-0.00032679-0.00052017i,-0.00026506+0.00049419i,-0.00018825+0.0011123i,0.00021465+0.0010034i,-0.00020601+0.0010701i,-0.0015194+0.00088168i,-0.0011951+0.00028908i,-1.0344e-06+9.6318e-05i,0.00031722-0.00039302i,-0.00034309+3.7843e-05i,-0.00043854+0.00028516i,4.9403e-05-0.00021492i,0.00010702-0.00067552i,9.5439e-05-0.00070195i,0.00029953-0.00070028i,0.00073093-0.0011894i,0.0010213-0.0015382i,0.00096656-0.0006396i,0.00015814+0.00033493i,-0.00039808+0.0011183i
-0.0050331+0.00033486i,-0.0032105+0.00050954i,-0.00047951+0.00069019i,0.0010371+0.0014883i,0.0016927+0.0016541i,0.0019796+0.00024317i,0.0011547-0.00077798i,0.00067915-0.00086642i,0.00099788-0.00064968i,0.00067515-0.00038338i,3.601e-05-0.00092887i,-0.00019143-0.00090869i,-0.00012861-0.00031347i,0.00021622-0.00062523i,0.0010816-0.0013308i,0.00097319-0.0014407i,0.00031887-0.0013064i,0.0002486-0.0014232i,-0.00010476-0.00094352i,-0.00021418-0.00016885i,-0.00015152+0.00027863i,-0.00053199+2.6142e-05i,-0.00019598+0.00061408i
6.5173e-05-0.0035189i,-0.00093862-0.0029097i,-0.0016359-0.0015689i,-0.00027988-0.00098127i,0.00092197-0.0001751i,0.0010555+0.00059916i,0.00087207+0.00076575i,0.00065035-2.4092e-05i,0.00021694-6.3056e-05i,-0.00048073+0.0004344i,-0.00076286+0.0005226i,2.3302e-05+0.00028576i,0.00041495+0.00039676i,0.000226+0.00039107i,0.00038694+0.00036552i,0.00066693-0.00015117i,0.00042779-0.0011085i,0.00054647-0.00069724i,0.00055266-0.00035705i,-0.00030334-0.00080488i,-0.00069952-0.001023i,-0.00051876-0.0011611i,-0.00083055-0.00072432i
0.0017361-0.0029691i,0.00087468-0.0036737i,-0.00038835-0.0018802i,-0.0002261+0.001041i,0.0009082+0.0014326i,0.0025532+0.0007907i,0.0032274+0.0007563i,0.0026159-8.6027e-05i,0.00080651-0.00039009i,-0.00025267-9.7459e-05i,-0.00013973-0.00026649i,0.00010611+0.0003507i,0.00049118+0.00069886i,0.0003846+9.9274e-05i,0.0012029+0.00030784i,0.0021932+0.00098571i,0.0019727+0.00072426i,0.001525+0.00012854i,0.001674-2.6522e-05i,0.0010299+0.00031492i,0.00010055-0.0002936i,-3.0851e-05-0.00063827i,-0.0006618+0.00018273i
-0.00025904+0.0006539i,0.00013044+0.00013394i,-0.0005062-0.00047036i,-0.0015806-8.239e-05i,-0.0010183-0.00022794i,0.00027316-4.5868e-05i,0.00068781+0.0010827i,0.00053613+0.00079919i,0.00032047-0.00019515i,0.00056003+4.018e-05i,0.00043835+3.3572e-05i,9.1647e-05-0.00088027i,4.5533e-05-0.0012132i,0.00036207-0.00046071i,0.00095015+0.0002598i,0.0012704+0.00040559i,0.00088007+0.00042201i,0.00034988+0.00060318i,0.00027918+0.0005948i,3.8272e-05+0.00068937i,1.5909e-05+0.00055856i,0.00015732+0.00018662i,0.00017259-0.00019382i
0.0015561-0.00013057i,0.0033013-0.0011972i,0.0029656-0.0023035i,0.0011505-0.0025316i,-8.32e-05-0.0010159i,0.00057187+0.0011322i,0.0010382+0.0014649i,0.00053149+0.00056649i,0.00053151+0.00070845i,0.00023945+0.0013798i,-0.00011295+0.0011786i,-0.00066172+0.00019631i,-0.00028013-0.00022899i,-0.00016141-0.00032344i,-0.00062051-0.00023719i,-0.00057114+6.1768e-05i,0.00042201-3.3331e-05i,0.0016606+0.00036762i,0.00071527+0.00025899i,-0.00050801-0.00022664i,0.00036534-0.00035903i,0.00058335-0.00039591i,-1.8456e-05-0.00010704i
-0.00079505-0.0012147i,-0.00075061-0.0019003i,-0.00014313-0.0013798i,0.00060078-0.00097265i,0.0017892-0.00043217i,0.0028954-0.00016045i,0.0021947-0.0005654i,0.00010534-0.00048026i,-0.00035948-0.00055661i,-0.00051581-0.00032942i,-0.00092256+0.00013403i,-0.00049352-0.00041007i,-0.00050952-0.00026428i,-0.00035093-0.00017482i,0.00016711-0.00020508i,0.0002203+0.00027714i,0.00045202+0.00020705i,0.00053758+0.00020203i,-0.00012959+4.9243e-05i,-0.0003274-0.00024629i,0.00022468-0.00039999i,0.00054309-0.00066504i,7.3376e-05-0.00066293i
0.002587+0.00027175i,0.0032948-0.00021267i,0.0032399-0.00073626i,0.0018393+2.9347e-05i,0.0011815+0.00061048i,0.001311+0.0010207i,0.00084772+0.0010514i,0.00034685+2.6098e-05i,2.7059e-05-3.3936e-05i,4.8106e-05+6.7786e-06i,0.00021896+0.00078179i,-0.00032647+0.0015326i,-0.0009737+0.00084855i,-0.00013586-3.4783e-05i,0.00028865+0.0003131i,-3.6588e-06+0.00099954i,0.00039581+0.0011012i,0.00071019+0.0011723i,0.00074436+0.0013709i,0.00046575+0.0013213i,-3.951e-05+0.00069012i,-4.9884e-05+0.00018545i,-0.00034713+0.00015899i
0.0015757+0.0026822i,0.0024949+0.0016818i,0.0009793+0.00052844i,0.00044364+0.00066942i,0.00083934+0.0007308i,0.00078877+5.0595e-05i,0.00021526-0.00087364i,-7.4174e-05-0.00077452i,0.00024101-3.1271e-05i,0.0012374+0.00072165i,0.0011491+0.00075498i,0.00017279+0.00050354i,-0.00026996+2.5573e-05i,0.00028913-1.2859e-05i,0.00087368+0.00043545i,0.00073436+0.00034656i,0.00021691+0.00025888i,-0.00099549+0.00064469i,-0.0013203+0.0010309i,-0.00071651+0.00086637i,-0.00064089+0.00076411i,-0.00064427+6.5525e-05i,-0.00039663-0.00081229i
-0.002315-3.9831e-05i,-0.001285+0.00041279i,0.00085842+0.0013596i,0.001207+0.0011755i,0.00053916+9.0795e-05i,0.00025916-0.00043173i,5.6942e-05+0.00028611i,0.00035982-0.00045401i,0.00059684-0.00098429i,9.4909e-05-0.00041954i,8.3436e-05+0.00024519i,-0.00032305+0.00039403i,-0.0010744-0.00011289i,-0.0003017-0.00033242i,-0.00015823-0.0003271i,-0.00088429-0.00010697i,-0.0014866+0.00016711i,-0.0012493+0.00062144i,-0.00078302+0.0010603i,-0.00042974+0.00035283i,0.00026523-0.00023757i,0.00014496-0.00012368i,-0.00021232-0.00037699i
0.0010977-0.0037005i,0.0012653-0.0026472i,0.00027194-0.00069452i,-0.00039938-0.00024084i,-0.00010521-0.0010112i,-0.00012599-0.00083306i,-0.00022677-0.00038274i,-0.00010793-0.00040621i,-0.00016651-0.00018153i,-0.00071228+0.00022534i,-0.00048643-0.00022079i,-6.7948e-05-0.0010238i,0.00012392-0.0010794i,0.0007722-0.00097694i,0.00084326-0.00091625i,0.0003291-0.00028131i,4.1565e-05+0.00072458i,-0.00083661+0.00085937i,-0.0011762+0.00054046i,-0.0006744+0.00042408i,6.3965e-05-1.5097e-05i,0.00041806-0.00025739i,0.00012501-0.00016362i
0.0034874+0.00033407i,0.0026195-0.0011934i,0.00082588-0.00072112i,-0.00066361-0.00035804i,-0.00013416-0.0003885i,0.00080143+0.00031803i,0.0001092+3.1204e-06i,-0.00046458-0.00066983i,-0.00040258-0.00019976i,-0.00047172-0.00020062i,-0.00081402-0.0010176i,-0.0013168-0.00095336i,-0.0010253-0.0004612i,-0.00061736+0.00023278i,-0.00086292+0.0012358i,-0.00076306+0.0010373i,-0.00034433+0.00021856i,-0.00042054+1.0377e-05i,0.0001396+6.7482e-06i,0.0007659+0.0001011i,0.00029443+0.00023388i,-0.00051261+7.9571e-05i,-0.00044485-0.00033039i
-0.0038724-7.4899e-05i,-0.0038492-0.0012596i,-0.003801-0.0018697i,-0.0032649-0.00013962i,-0.00034763+0.00090894i,0.0012431+0.00026366i,0.0013035-0.00011112i,0.00099061-0.00087425i,0.00037883-0.00079986i,0.00012886+0.00044038i,0.000256+0.00038518i,0.00020751-0.00023289i,-0.00048233-0.001124i,-0.00050935-0.00065176i,0.00026066+0.00037368i,6.6739e-05+0.00066936i,-0.00056764+0.00028999i,-0.00048809+0.00023442i,-0.00069869+0.00015059i,-0.00093724-0.00059787i,-0.00035428-0.00047906i,-0.0002916+0.00039035i,-0.00048882-0.00015524i
0.0010126-0.0053292i,0.0025721-0.0051089i,0.0027501-0.004242i,0.0023861-0.0027867i,0.0018131-0.0007509i,0.001866+0.00052271i,0.0020209+0.00064673i,0.0013253+4.8161e-05i,0.00025342+0.00042709i,0.00011708+0.0014428i,0.00073284+0.0012848i,0.00058551+0.0010324i,0.00043455+0.00029735i,0.00058744-0.0001989i,0.00090385+0.00037275i,0.00087396+0.00040784i,1.7993e-05+0.00022243i,-0.00059125+0.00024546i,-0.00056449+0.00028196i,-0.0004216-1.4112e-06i,-0.00036091-0.00069236i,4.662e-05-0.00064324i,0.00050953-0.00025191i
0.0061518+0.0016189i,0.00678+0.0013227i,0.005273+0.0028315i,0.002289+0.0021329i,0.0010728+0.00016869i,0.0011794-0.00054847i,0.0010065-0.00025911i,0.00041352-4.335e-05i,0.00031689+0.00015419i,0.0007724-1.1078e-05i,0.0014104-0.0005196i,0.0010816-0.00036047i,-2.7898e-05-0.00010863i,-0.00087665-6.3361e-05i,-0.0012995-0.00097657i,-0.00097901-0.0014495i,-0.00084681-0.00046292i,-0.0010491+0.00014749i,-0.0012829-0.00022275i,-0.0012463-0.00028062i,-0.00060027+0.00011755i,2.717e-05-7.2678e-05i,-0.00019029-0.0007464i
0.0016421+0.0025548i,0.0020634+0.0021225i,0.00086981+0.001477i,0.00051508+0.00072801i,0.0016251+0.00027366i,0.0019215-0.00073695i,0.0011812-0.0014109i,-0.0002123-0.0008374i,-0.0007418-0.00068022i,-0.00032039-0.0009267i,-0.0003656-0.0012956i,-0.0011651-0.002231i,-0.0012276-0.0020332i,-7.8085e-05-0.00055837i,0.00061856+0.00041625i,0.00059474+0.00071337i,0.00038352+0.00011093i,-0.00010669-0.00065006i,-0.0004727-0.00054079i,-0.00031349-0.00052525i,-0.00050707-0.00073184i,-0.0005869-0.00081111i,0.00011725-0.00073409i
-0.00085415+0.00020322i,-0.0016161-0.00085036i,-0.0012686-0.0019769i,-0.00067863-0.0023728i,-0.00014659-0.0019646i,0.00040832-7.2984e-05i,0.00065359+0.0015929i,0.00053863+0.00083253i,0.00040223-0.00052223i,0.00067418-0.00076548i,0.00013932-0.00016357i,-0.00074999-0.00057169i,-0.00038933-0.00099768i,-0.00046422-0.0005867i,-0.0013691-0.00034171i,-0.0011845+0.00056278i,-0.0006476+0.00036718i,-0.00015464-0.00079489i,0.00055181-0.00089832i,0.00054975-0.00038599i,-0.00023457-0.00013838i,-0.00089239+0.00023353i,-0.00059921+0.00037056i
-0.0019736-0.0044795i,-0.0019349-0.0049481i,-0.0013695-0.0033175i,4.2321e-05-0.00096418i,0.0013021+0.00017217i,0.0022356+0.0002118i,0.0011423+0.00025649i,-0.0013058+0.00010653i,-0.0016273+0.0001761i,-6.6458e-05-0.00012887i,5.5337e-05-0.00023916i,-0.00063282+0.00073492i,0.00086591+0.00049936i,0.0022237-0.00089471i,0.0017025-0.0014431i,0.0014554-0.0010017i,0.0011493-0.00053536i,0.00020219-0.00067978i,0.00013426-0.00067519i,0.00052346+0.00010753i,-0.00023877+0.00079322i,-0.00078409+0.0010152i,-0.00037502+0.00055161i
0.0059449-0.0020174i,0.005847-0.00374i,0.0027272-0.0036612i,0.00020352-0.0016757i,-0.00063187-0.0001787i,2.8916e-05+0.00099019i,0.00061803+0.0019925i,0.0001705+0.0019334i,-0.00028405+0.0019113i,-0.00079549+0.0017989i,-0.0010812+0.00081495i,-0.00086137+0.00043137i,-0.0011504+0.00070454i,-0.00051113+0.00049905i,0.00022059+0.00033318i,0.00012184-0.00020401i,1.7793e-05-0.00038072i,-0.00043632-0.00035014i,-0.00032793+0.00020653i,0.00034198+0.0012837i,0.00028318+0.001164i,-0.00044781+0.00055204i,-0.00073893-0.00015427i
-5.1962e-05+0.00023239i,0.0011747+0.00059i,0.0013836-0.00066287i,0.0010006-0.00080681i,0.0010393+0.00021414i,0.0015318+0.0011345i,0.0018825+0.0019022i,0.0016299+0.002153i,0.001045+0.0018355i,6.6546e-05+0.00042758i,-0.00047344-0.0011471i,-0.000293-0.0015059i,-0.0003228-0.0012532i,-0.00066993-0.00075587i,-6.905e-05-0.00011797i,0.00078635-0.00049915i,9.727e-05-0.00059231i,-0.00035503-0.00013057i,-3.6159e-05+0.00045867i,9.2694e-05+0.0007847i,-0.00031255+0.00025313i,-6.0589e-05-0.00053951i,1.465e-05-0.0007166i
-0.0012432-0.0032665i,-0.0017149-0.0029174i,-0.001986-0.001889i,-0.0024104-0.00048521i,-0.0017987+0.00045327i,0.00039582-0.00025911i,0.0026529-0.0015093i,0.0028728-0.001554i,0.0015924-0.0014911i,0.00082393-0.0011091i,0.0003711-0.00013618i,0.00039421+0.00018941i,8.0114e-05+0.0010705i,0.00010794+0.0012875i,0.00048631+0.00033374i,-0.0001905-5.0582e-05i,-0.00036492-8.8106e-05i,0.00035197-0.00011482i,0.00018448-2.0663e-05i,-0.00055683+0.00010974i,-0.00074345+0.00014232i,5.9211e-05-0.00017917i,-0.00025165+4.0313e-05i
0.0026988-0.0042599i,0.0016478-0.0053767i,0.0013953-0.0043049i,0.0024916-0.0027982i,0.0022239-0.0017802i,0.00060453-0.0015942i,0.00015106-0.0013755i,-0.00065528-0.000746i,-0.0011574-0.0011841i,-0.00023776-0.0011566i,0.00021842-0.0012698i,-0.00033283-0.00096213i,-0.0011909+9.8072e-05i,-0.0016167-0.00041759i,-0.0011542-0.000612i,-0.00054508-0.00017207i,-0.0002393-0.00036145i,-0.00013168-0.00029214i,0.00016962+0.00030585i,0.00060267+0.00035178i,0.00098265+0.00023569i,0.00093571+0.00020921i,0.00068926-6.4311e-05i
0.0050311-0.002159i,0.0058461-0.0052274i,0.0037746-0.0050261i,0.00088254-0.0022603i,-0.00028704-3.1722e-05i,0.0002957+0.0012201i,0.0003248+0.0003776i,-0.00022893-9.5384e-05i,-0.0001708+0.00081197i,-0.00056104+0.0017578i,-0.0013995+0.0015873i,-0.0015406+0.00058401i,-0.00058171+0.00021351i,0.00011253+0.00029867i,-0.0004342+0.00071675i,-0.00041111+0.00047919i,0.00084881+0.00076499i,0.00061543+0.0011097i,-7.0648e-05+0.0011852i,-0.00043969+0.00091031i,-0.00059954+0.00075754i,-0.00042126+0.00086094i,-0.0004609+0.0013323i
-0.0018116-1.1617e-05i,0.0010301+0.0016901i,0.0015986+0.0015964i,0.00041049+0.00074215i,9.629e-05+0.0013295i,0.00088353+0.0022416i,0.0010633+0.0011662i,-0.00052992-0.00073637i,-0.0023669-0.00071594i,-0.0022737+0.00050786i,-0.0011087+0.00043225i,-0.00033959-0.00077082i,0.00036888-0.00089438i,0.00079846-0.0005074i,0.00164-0.00020337i,0.002235-0.00026431i,0.0013855-4.7703e-05i,0.00073541-0.00012166i,0.00067776-0.00044142i,0.00013686-1.8895e-05i,1.5601e-05+0.00055327i,0.00035304+0.00062697i,0.00056826+0.00016704i
-0.0020702-0.0014701i,-0.0029812-0.00017586i,-0.0020361+0.00063169i,-0.0002699+0.0010273i,0.00036345+0.00096628i,0.00089694+0.00080227i,0.00053092+0.0014783i,0.00046587+0.0021035i,0.0010079+0.0019281i,0.0010464+0.00065642i,0.00077854-0.0010175i,0.00069224-0.001202i,0.00040517-0.0011105i,0.00023174-0.001387i,-4.7675e-05-0.0011512i,-0.00050542-0.00098685i,-0.00075105-0.00085544i,-0.0001537-0.00069155i,0.00050372-0.00034427i,0.00036862-0.00019104i,-0.00021852-9.7152e-05i,-0.00010885-7.7938e-05i,-0.00012013+0.00035206i
0.0019226-0.0045527i,-0.0011357-0.0054452i,-0.0027984-0.0043005i,-0.0030286-0.0021266i,-0.0014056-0.0017086i,0.0011149-0.00087763i,0.0022883+0.00036457i,0.0024001+0.00091383i,0.0024587+0.00038774i,0.0022835-0.00035275i,0.0018733-0.00031989i,0.00074436+0.0005644i,-0.00017015+0.0012537i,-0.0009444+0.00078031i,-0.001709-0.00050977i,-0.0014854-0.0010514i,-0.00039143-0.00075194i,0.00069872-0.00041127i,0.0011378+3.902e-05i,0.0010333+8.4575e-06i,0.00020197-8.0345e-05i,0.00022897-0.00029523i,0.0009397-0.00011121i
0.00086025-0.0024424i,0.0018064-0.0031519i,0.00067994-0.0033292i,-0.00040235-0.0018004i,0.00029533-0.00029236i,0.0014153+0.00033265i,0.0031163+7.7629e-05i,0.0034403-0.00069783i,0.0015752-0.0012309i,0.00066629-0.0010969i,0.00037765-7.195e-05i,-0.00061814+0.00011322i,-0.00084684-0.00029524i,-8.8586e-05-4.4378e-05i,-0.00013479+0.00063447i,3.6873e-05+0.00076534i,0.00091635+0.0010532i,0.00078183+0.0012877i,0.0012399+0.00081878i,0.0015059+0.00059181i,0.00067583+0.00085881i,0.00045356+0.00039814i,-0.00028788+0.00067845i
0.0018202-0.0016536i,0.0031803-0.0031756i,0.0035265-0.0041101i,0.0015387-0.003826i,-0.0001406-0.0023915i,0.00060898-0.0014078i,0.0010338-0.0020707i,-0.00038246-0.0022746i,-0.0016197-0.0014749i,-0.0024312-0.00070064i,-0.0027878-0.00019151i,-0.001814+0.0002209i,-0.00014962+0.00061813i,0.0011695+0.0011273i,0.0016353+0.0013293i,0.0016277+0.0014428i,0.0013871+0.00068537i,0.0010674+0.00028391i,0.00041032+0.0001962i,-0.0001627-0.00049119i,-0.00078465-0.00060847i,-0.0011671-0.00071895i,-0.0010981-0.00052829i
0.00047413-0.0019013i,0.00053004-0.0011477i,0.0014241+0.00062665i,0.0016587+0.00099621i,0.00028291+0.00037427i,-0.0015082+9.5573e-05i,-0.001759+5.4865e-05i,-0.00099496+1.3205e-05i,-0.0017137-0.0002824i,-0.0016005-0.00053388i,-0.00034137-0.0010376i,0.00018999-0.00098426i,0.0011679-0.00054991i,0.0011739-6.6658e-05i,0.00084215+0.00060544i,0.0011476+0.00068592i,0.00091791+0.00074807i,0.00079349+3.3428e-05i,0.001196+2.1897e-05i,0.00048765+0.00045535i,-0.00090723+0.00052378i,-0.0018464+0.00042652i,-0.0013511-0.00010164i
0.0012067-0.0020274i,0.0001968-0.0030701i,-7.7646e-06-0.0013919i,0.0013955+0.00060164i,0.0031188+0.00037836i,0.0021921-0.00020045i,0.00067457+5.8124e-05i,-0.00021499+0.0011235i,-0.00013078+0.0023589i,0.0015009+0.0025801i,0.0019545+0.00098689i,0.00097066-7.465e-05i,0.00034113+4.4554e-05i,0.00064963+0.00018962i,0.001253+0.00010922i,0.0010395+0.00048995i,-0.00018803+0.0008463i,-0.00065004+0.00071641i,-0.000127+0.0010556i,0.00042911+0.0013929i,0.00056318+0.00094934i,-0.00048373+0.00056954i,-0.0012866+0.00052116i
-0.00031755+0.00018962i,4.9735e-05-0.00082173i,-0.00085291-0.0012373i,-0.00055361-0.00081057i,0.00074326-0.00017248i,0.0012842+0.00047815i,0.0015708+0.00062534i,0.002492+0.0015512i,0.0033398+0.0023736i,0.0025452+0.0028464i,0.0015845+0.0019548i,0.00050984+0.00064037i,-1.2788e-05+0.00035344i,-0.00037241-0.00072082i,-0.00056802-0.001534i,-0.00075242-0.0013398i,-0.00084045-0.00068175i,-0.00068738+0.00082021i,0.00033299+0.0018519i,0.00090561+0.0020122i,-4.8219e-05+0.0018031i,-0.00067989+0.0014679i,-0.00042114+0.00094569i
-0.00043135-0.0041192i,-0.00038991-0.0029769i,-0.00032597-0.0020785i,-0.00095839-0.0016535i,-0.00078604-0.00048017i,0.00030521+0.0011245i,0.0016413+0.0021463i,0.0022991+0.0017393i,0.00068887+0.0010417i,-0.0011537+0.00052576i,-0.0019741-4.0762e-06i,-0.0024862-0.00018248i,-0.001305-0.00054273i,0.00011582-0.00042589i,3.0839e-05+0.00036801i,-0.00067011+0.0010607i,-0.00045223+0.00083022i,-0.00042218+0.000585i,-0.00047811+0.0011706i,0.00022256+0.0013064i,0.00093588+0.00078864i,0.00018724+0.00036498i,-0.0011511-0.00055156i
0.0033563-0.0013414i,0.0030826-0.0029602i,0.0030878-0.0035944i,0.0021759-0.002609i,0.0013257-0.00076768i,0.0012575-7.0102e-05i,0.0018479-0.00067305i,0.0019433-0.0010298i,0.0001436-0.0016367i,-0.0014833-0.002838i,-0.0011704-0.0030125i,-0.00035096-0.0022348i,0.00029696-0.001003i,-3.9768e-05-0.00035961i,-0.00091014-0.00024344i,-0.00037596+0.00016323i,0.00017038+0.00064275i,-0.00081588+0.00097719i,-0.00068455+0.00114i,-0.00022641+0.00063134i,0.0002428+0.00041649i,0.00043995-0.00018726i,0.00021015-0.0012152i
-0.0016755-0.00016364i,-0.0019275-0.0014264i,-0.001358-0.00039512i,-0.00043936+0.00045972i,0.00055174+0.00034507i,0.0010602-0.00061446i,0.00021614-0.0021215i,-0.00061717-0.003322i,-0.00040642-0.0027962i,0.00045144-0.0015873i,0.0015199-0.0010958i,0.0016587-1.7462e-05i,0.00099572+0.00056984i,0.00069063+9.2511e-05i,0.00085111+0.00068578i,0.00046644+0.0015459i,-0.00051279+0.0015649i,-0.00065918+0.0011249i,-0.00033025+0.0010815i,0.00013573+0.0016621i,0.00012058+0.00096279i,0.00021204+0.00040444i,0.00056226-1.777e-05i
-0.00017199-0.0032687i,0.0018036-0.0028187i,0.0013818-0.0018079i,6.4971e-05-0.00026867i,0.00069243+0.0012784i,0.001194+0.00081929i,0.00046091-0.00014367i,-0.00070746+0.00078226i,-0.0007221+0.0028071i,-3.83e-05+0.0030547i,-5.4056e-06+0.0025097i,-0.00011359+0.0022431i,-0.00019397+0.0013073i,0.00012745-0.00019271i,0.00042294-0.00098031i,0.0003082-6.2923e-05i,-0.00016734+0.00070176i,-0.00050694-0.00017285i,-0.0010099-0.00057834i,-0.0013703-0.00044324i,-0.00022928-0.00026164i,0.00033114+0.0001436i,-0.00058314+0.00017989i
0.0040178-0.0022071i,0.0036566-0.0023433i,0.0028799-0.0009681i,0.00092512+0.00036664i,-0.0005164+0.00096631i,-0.00034692+0.0013107i,0.0015777+0.0023567i,0.0018624+0.0038414i,-9.8858e-05+0.0043667i,-0.0009151+0.0033926i,-0.00091652+0.0016744i,-0.00042962+0.00040708i,7.463e-05-4.2055e-05i,-0.00036782-0.00012085i,-0.0012549+8.9291e-05i,-0.0014033-0.00083419i,-0.00088031-0.0016706i,-0.00040555-0.0014778i,0.00015713-0.00077481i,6.859e-05+0.00017993i,-0.00033089+0.00027959i,-0.00027505+0.00020634i,0.00067647+0.00054963i
0.0003163-0.00096129i,-0.0011447-0.0022046i,-0.0022678-0.0018916i,-0.0023761-0.00064753i,-0.0014938+0.0002875i,-0.00032959+0.0010606i,0.000813+0.0018275i,0.00087122+0.00049536i,-0.00048584-0.0018919i,-0.00089926-0.0031035i,-0.0010946-0.0031168i,-0.00094687-0.0029963i,-0.000291-0.0026243i,-9.9891e-05-0.0016165i,-0.00045669-0.0012887i,-0.00022934-0.0014826i,-4.9211e-05-0.001109i,0.00023404-0.00041318i,0.00092381-0.00027123i,0.00039751-0.00033126i,0.0001169-0.00011509i,0.00029429-0.00019904i,0.00028524-0.00045513i
-0.0010786-0.002793i,0.00074617-0.0032795i,-0.00010132-0.0019676i,-0.0008995-0.0012746i,0.00098818-0.00054001i,0.0025379-0.00027967i,0.0020667-0.00054048i,0.00092664-0.0011669i,0.0012092-0.0016684i,0.0013776-0.0012578i,0.00090604-0.0016331i,0.00060709-0.0012599i,0.00064115-0.00012475i,0.0010768-0.00017917i,0.0011139+9.9272e-05i,9.4837e-05+5.4325e-05i,-0.00080391-6.1082e-05i,-0.00068976-5.5925e-06i,-0.00064506-3.6977e-05i,-1.4607e-05-0.00049983i,0.0011008-0.00032235i,0.0010284+0.00049954i,0.00055518-7.8586e-05i
0.0015088-0.00021428i,0.0022216-0.0016592i,0.0019494-0.0017961i,0.00089616-0.0014913i,0.0004461-0.00097082i,0.00034778-0.00012756i,0.0010026+0.00016553i,0.0013224+0.00083151i,0.00080996+0.0014734i,0.00047321+0.0016675i,0.00095855+0.0016886i,0.00055878+0.0017842i,-0.00089863+0.0010778i,-0.00035984+0.00061096i,0.0016064+0.00097192i,0.001954+0.0010759i,0.0010442+0.0010217i,0.00028577+0.00023791i,0.00027026-0.00023314i,0.00055544-0.00077198i,0.0009954-0.00068845i,0.00062177-0.00013156i,0.00048954-0.00062201i
0.00073557-0.0021046i,0.00053363-0.0020854i,0.00047-3.6836e-05i,0.0014578+0.0010895i,0.0026831+0.0015702i,0.0029145+0.00079166i,0.0021811-0.0013026i,0.00011159-0.0015544i,-0.002+0.00101i,-0.0024351+0.0029222i,-0.0014391+0.0025587i,-0.00059836+0.0012874i,-0.00031439+0.00010065i,0.00071702+0.00016248i,0.0014339+0.00056998i,0.0011644+0.0005088i,0.00081322+0.00020726i,0.0010901-0.00028269i,0.0010578-0.0010015i,0.00089004-0.0007091i,0.0007988-0.00021401i,0.00034393-0.00082751i,5.2274e-05-0.00038202i
-0.00058636+0.0033656i,0.00020715+0.0020352i,0.00046807+0.0011446i,-0.00030749+0.00077055i,0.00041363-0.00081406i,0.0013662-0.0028461i,0.00020922-0.0022714i,-0.0013637-0.00051455i,-0.0017639-6.7056e-05i,-0.00082857-0.00076873i,-0.0004135-0.001384i,-0.00035894-0.0014125i,-0.00051086-0.0016282i,6.0639e-06-0.0018925i,0.00092978-0.0015256i,0.0009682-0.0011209i,-1.9736e-06-0.0010457i,-0.0006195-0.00036634i,-0.00055971+0.00041456i,2.0199e-05-0.00045803i,0.0001826-0.0016523i,0.00019174-0.0014411i,0.0003483-0.00093608i
-0.0018712-0.0016725i,-0.0001277-0.0019742i,-0.00042122-0.00088287i,-0.0011273+0.001091i,6.708e-05+0.0025047i,0.00080575+0.0021111i,9.4043e-05+0.0007095i,-0.00011427-0.0002753i,0.00087007-0.00094159i,0.0017-0.0014426i,0.0014854-0.0016345i,0.0012307-0.0015373i,0.00067633-0.0014694i,0.00033831-0.0014079i,0.00093922-0.00074462i,0.0011506+0.00036065i,0.00048449+0.0010326i,-0.00060589+0.00053681i,-0.00049314-0.00050193i,-8.1116e-05-0.00079732i,9.8716e-05-6.6143e-05i,0.00065073+0.00036047i,0.000985+0.00052873i
