-0.00095345+0.00049641i,-0.0012015-3.9466e-06i,-0.00098748+0.00030663i,-0.0012742+0.00043283i,-0.001186-0.00021576i,-2.3044e-05+0.00024428i,0.0013405+0.0013932i,0.0014318+0.0015117i,0.00095477+0.0014048i,0.0015464+0.0006823i,0.0019196-0.00089927i,0.0016269-0.0010764i,0.00067475-0.00013222i,-8.8056e-05-0.00018505i,-0.00025095+0.00011468i,0.00046545+0.00032248i,0.0009832-0.00016643i,0.00082811-4.6435e-05i,0.00012336+9.9504e-05i,0.00024268-0.00023106i,0.00076399-0.00074367i,0.00089094-0.00077614i,0.0010874-0.00051634i
0.00083129+0.00052147i,3.2604e-05+0.0014519i,-0.00022148+0.0025469i,0.00061002+0.0018156i,0.0013691+0.00064907i,0.0015553+0.0010603i,0.00088522+0.00095386i,0.00056201-0.00012907i,0.00095488-0.00029511i,0.0010653-4.4809e-05i,0.0015785+0.00021104i,0.0010592+0.00036938i,-0.00021188+0.00016823i,-8.6883e-05-0.00034293i,-6.5947e-05-0.00084534i,1.0226e-05-0.00021286i,-0.0001623+0.00073403i,-0.0011796+0.00070269i,-0.0019447+8.6161e-05i,-0.00076897-0.00013136i,0.00030824+0.00016358i,-0.0004304+2.3325e-05i,-0.00038372-0.00045912i
0.0011144-0.0027869i,0.00076899-0.0032857i,-8.208e-05-0.0012867i,-0.0014281+0.00088344i,-0.0020192+0.00095054i,-0.0009904+0.0012394i,0.00083204+0.0021459i,0.0023678+0.0017127i,0.0026007+0.00063149i,0.0014369+0.00048859i,0.00034493+0.0005619i,0.00046191+0.00011904i,0.00055922+0.00015307i,-6.8277e-05+0.00090853i,-0.00032609+0.0012236i,-0.00040977+0.00082705i,-0.0007357+0.00071364i,-0.00014321-0.00026902i,0.00060556-0.00075889i,0.00095846-0.00019266i,0.00071453-0.00014285i,-0.00015385-0.00032325i,-8.4645e-05+0.0005468i
-0.0024884+0.00049631i,-0.0017719+3.0574e-05i,-0.0018436+0.00058868i,-0.0013725+0.0010042i,0.00030465+0.00053311i,0.0010483-0.00014584i,0.00081688-0.0012796i,-0.00017907-0.00070304i,-0.0010326+0.00085982i,-0.00026969+0.0013748i,0.00042461+0.00070532i,0.00054274+6.3158e-05i,0.00089101-0.00058747i,0.0013112-0.0011196i,0.0013736-0.00021832i,0.00044383+0.00038036i,9.4806e-05-0.00016451i,-0.00014058-0.0004692i,-0.00095368-0.00059859i,-0.00076246-0.00033512i,-0.00068213-0.00015536i,-0.00064883-0.00020715i,-0.00065734-2.3919e-06i
-0.00085302+0.00041609i,-0.00038266+0.0017284i,-0.00090922+0.0015823i,-0.0015405+0.0015376i,-0.00073346+0.0017391i,0.00095978+0.0016939i,0.0017738+0.0016771i,0.0016826+0.00049172i,0.0010325-0.00032275i,0.00066966+0.0002425i,0.00053442+0.00081393i,6.5827e-06+0.0012245i,9.5972e-05+0.00088796i,0.00065088+0.00015475i,0.00062195+0.00028332i,2.2938e-05+0.00024327i,-0.00026815-0.00030059i,-0.00013012-0.00038238i,7.8922e-05-0.00033491i,0.00016312-0.00045772i,-7.0737e-05-0.00091767i,-0.00024664-0.0008865i,-0.00074927+0.00048657i
-3.7446e-05-0.00020673i,-4.3266e-05-0.0002042i,0.00043726-0.00030521i,0.00066293-0.0011912i,0.00048829-0.00041495i,0.00042426+0.0012335i,0.00082002+0.0013i,0.0010685+0.0011371i,0.0017601+0.0012505i,0.0023012+0.0011444i,0.0012238+0.00099176i,-9.1692e-05+0.00094175i,6.8023e-05+0.00081919i,-0.00019165+0.0010155i,-0.0011214+0.00092734i,-0.00077484-5.6297e-06i,5.5902e-05-0.00093319i,0.00072041-0.00095079i,0.0011082+7.7062e-05i,0.00052765+0.0005049i,0.00029086-0.00020442i,-3.4724e-05-0.00079501i,-0.00093386-0.00086146i
-0.00046139-0.001177i,-0.0013484-0.0013583i,-0.0021179+0.0002281i,-0.0018538+0.0021572i,-0.00071554+0.001373i,0.00082204+0.00075953i,0.0015038+0.00081142i,0.0015022+1.9414e-05i,0.00065441-0.00011893i,0.00011346+0.00014748i,0.00061883-6.9944e-05i,0.0015386+6.8263e-05i,0.0016725+0.0006566i,0.0010437+0.0013531i,0.00072216+0.0018697i,0.00055558+0.0010514i,0.0002776+0.00036439i,0.00039869+4.9345e-05i,-0.00012072+0.00026126i,-0.00022434+0.00053693i,-0.00020062+0.0005465i,-0.00024043+0.00045339i,0.0010948+0.00016282i
-0.0018903-0.0014039i,-0.0013387-0.0010556i,-0.00097576-0.00093113i,-0.00019449+0.00057614i,0.00024445+0.00086172i,0.00058741+0.00048036i,0.00092711+0.00084477i,0.00098323+0.00026136i,0.00029972-0.00012629i,-0.00011765+0.00069173i,0.00012943+9.0474e-05i,0.0005569-0.00054484i,0.0006801-0.00035926i,0.00037768-0.00030513i,9.7356e-06+0.00041419i,-0.00040679+0.0006215i,-0.00035557+0.00076232i,7.3915e-05+0.00059644i,0.00014495-0.00077473i,0.00021556-0.0006852i,0.00057595-2.5615e-06i,0.00090817+0.0006071i,0.00032067+0.00071893i
0.0015606-0.00072777i,0.0013911-0.00042856i,0.00050196-0.00044118i,-0.00092046+0.00027213i,-0.0011265+0.00074989i,0.00016533+0.00081173i,0.0013625+0.00079794i,0.001446+0.00085882i,0.00056656+0.00047144i,0.00013804+0.000169i,0.00042493+0.00069152i,-0.00031884+0.0012301i,-0.0008685+0.00057454i,-0.0013111-0.00020401i,-0.001447-0.00085005i,-0.00097559-0.0011149i,-8.5228e-05-0.00078371i,0.00025324+3.0427e-05i,0.00019136+0.00099894i,-0.00024406+0.00092662i,-6.5166e-05+9.7907e-05i,0.00042272+0.00050503i,0.00036269+0.00097813i
-0.00047518-0.0017755i,-0.0016043-0.0012738i,-0.0022902+0.00052232i,-0.0026435+0.00081361i,-0.0021769+0.00093567i,0.00024556+0.0015852i,0.0018851+0.00033742i,0.001277-0.0006986i,0.0003889+0.00028922i,0.00032242+0.0016372i,0.00042962+0.0011839i,-0.00034339+0.00052754i,-0.00035335+0.00098172i,-0.00010737+0.00087914i,-0.00078877-2.725e-05i,-0.00078216-0.00029433i,-0.0003182+8.2228e-05i,-0.00023882+9.0284e-05i,-0.00010865+0.00012144i,0.00028562+0.00029276i,0.00081848+0.00042798i,0.0013466+0.00073108i,0.0011842+0.0005572i
0.00045267-0.00072237i,-0.00018709-0.00017695i,-0.0012309+0.00049061i,-0.00040179+0.00097987i,0.0013145+0.0023972i,0.0017028+0.0029872i,0.0014887+0.0019903i,0.00087602+0.0007749i,0.00066785-9.6717e-05i,0.0013232+0.00044152i,0.0016392+0.00043732i,0.0010073-0.00014012i,0.0002668+0.00017696i,0.00049115+5.3112e-05i,0.00031015-0.00073894i,7.6255e-06-0.00036312i,0.00054284+0.00048821i,0.00094656+0.00058583i,0.00071099-0.00014604i,0.00012629+0.00025599i,0.00020495+0.00041621i,0.00065062-0.00028593i,1.0184e-05-0.00052302i
3.6612e-05-0.00051338i,-0.00088036-0.0001934i,-0.0011401-2.8686e-05i,-0.001275+5.1515e-05i,-0.00068268+0.00019205i,0.00041199+7.1211e-05i,0.00090306+0.0002438i,0.0015778-0.00023896i,0.0014242-0.00033625i,0.00066387-9.6951e-05i,0.00085297-0.00090465i,0.001005-0.0014515i,0.00029692-0.00029221i,-3.1417e-05+0.00071481i,-4.201e-05+0.0011561i,-4.9575e-06+0.0014636i,-0.00024736+0.00072901i,-0.00040072+0.00040774i,-0.00062418+0.00031443i,-0.00027254+0.00030694i,-6.4902e-05+0.00063295i,-0.00030878+0.00076727i,-7.1535e-05+0.00051573i
0.00038493-0.00069224i,0.00068969+0.00036972i,6.8593e-05+0.0023275i,-0.00010842+0.0032925i,-0.00014452+0.0027415i,-7.8778e-05+0.0021621i,0.00031024+0.0015865i,-0.00072264-0.00026173i,-0.0014769-0.00064306i,-0.00025565+0.00015424i,0.00042385-7.8888e-05i,0.00043197-0.00032639i,-3.9898e-07+3.6083e-05i,-0.00043165+0.0001717i,9.9283e-05+0.00017516i,0.00014419-5.7797e-05i,-0.00046848-0.00038757i,-0.00015225-0.00044349i,0.00024039-0.00055186i,-0.00031023-0.00058387i,-0.00083042-0.00053792i,-0.00043221-0.00050107i,0.00037246+1.2224e-05i
-0.00077187-0.00045226i,-0.00057097+0.00048321i,-0.0015701+0.0001316i,-0.0017373+0.001137i,0.00050377+0.0021232i,0.0019856+0.001721i,0.0019765+0.0012168i,0.0014354+0.00072142i,0.0008707+0.00023686i,0.00098756+0.00020709i,0.00044673+0.00080457i,-0.00027966+0.0013566i,-0.0002287+0.0010081i,-5.1831e-05+0.00077061i,0.00036424+0.0010032i,0.00044652+0.00043918i,0.00013841+0.00061731i,-0.00019384+0.0011491i,0.00031939+0.00064261i,0.00066581+0.00023587i,0.00055077-3.4756e-05i,0.0012199-0.00032176i,0.0010106+0.00019705i
-0.0027947-0.00047256i,-0.0035849+0.00016312i,-0.0041533+0.0015617i,-0.0030703+0.0026478i,-0.00090482+0.0026332i,0.0014383+0.0014839i,0.0025816+0.00031488i,0.0013389-0.0005375i,-0.0006213-0.00052664i,-0.00027858+0.00058482i,0.00074893+0.0010113i,0.0006417+0.00066882i,0.00022054+0.00022087i,0.00031558+0.00095599i,0.0010065+0.0013624i,0.0011315+0.00050629i,0.00085762+0.00074847i,0.00030903+0.00034424i,0.00064501-0.00014346i,0.0010419-2.7818e-05i,0.00010308-9.7242e-05i,-0.00076591+0.00017512i,-0.00056418+0.00040439i
-0.003965-0.0023583i,-0.0051777-0.0016943i,-0.0052777+0.0011362i,-0.0029592+0.002363i,-0.00084967+0.0024266i,0.00094163+0.0024465i,0.0014452+0.0016218i,0.00047944+0.00045394i,-0.00021825-0.00034269i,0.0004806-0.00033466i,0.0015829+4.0025e-06i,0.0016554-0.00046961i,0.0008774-0.00015501i,0.00069444+0.00017013i,0.00094942-0.00012316i,0.00083774+0.00013241i,0.0010123-0.00036995i,0.00057381-0.0004472i,-0.00038431+8.855e-05i,-0.0007212-4.1724e-05i,-0.00015076-0.00061291i,0.00012621-0.00035564i,0.00010945+0.00047488i
-0.00027364-0.0014083i,-0.0008843-0.0010936i,-0.0019457-0.00013939i,-0.0014518+0.00015706i,-0.00069189+9.5124e-05i,0.00034761+0.00023953i,0.0011786-3.5184e-05i,0.0016194-0.00020278i,0.0012987-0.00088566i,0.00042828-0.0014062i,0.00090441-0.00065252i,0.001209-0.00019673i,0.00080396-1.8204e-05i,0.00080774+0.00035837i,0.00091558+0.00071556i,0.00070337+0.00044848i,1.1025e-05-0.0002404i,-0.00047368-4.5901e-05i,-0.00022238+9.4446e-05i,5.6384e-05-0.00071371i,-0.0002611-0.00078633i,-0.00039583-0.00016688i,3.9831e-05+0.00013523i
-0.003964-0.0035797i,-0.0053382-0.0043632i,-0.0071118-0.0028302i,-0.0048766+0.00087152i,-0.0017558+0.003662i,0.0019546+0.003429i,0.0033898+0.0011195i,0.0017438-0.00074305i,-0.00011165-0.0011582i,-0.00057832+0.00072674i,0.00047201+0.0022817i,0.00061753+0.0018849i,0.00071893+0.00099805i,0.0021078+0.00066826i,0.0031534+0.00072806i,0.0023498+0.0011406i,0.00076633+0.0015639i,0.00011706+0.0011306i,0.0013627+0.00029378i,0.001957+0.00034589i,0.00012434+0.0007459i,-0.0013464+0.00080253i,-0.001275+0.00087198i
0.0031101+0.0044683i,0.0056263+0.0066251i,0.0089029+0.0041375i,0.0069483+6.019e-05i,0.0039143-0.0018949i,0.00037676-0.0010858i,-0.00064468+0.0019405i,0.00051101+0.00244i,0.0015137+0.0013624i,0.0019006+0.00060548i,0.0011119-0.00053661i,8.0983e-05-0.0015155i,-0.0012128-0.002207i,-0.0027885-0.0024639i,-0.0033149-0.0022089i,-0.0024186-0.0011955i,-0.0009472-0.00059511i,-0.0002138+0.00027069i,-6.2104e-05+0.0014037i,0.00032532+0.0020669i,0.00048924+0.0019963i,0.00021275+0.0017258i,2.4093e-05+0.00094587i
-0.00012571+0.0012808i,0.00086062+0.0025458i,0.0023697+0.0023719i,0.0018789+0.0014961i,0.0012811+0.0012981i,0.0010038+0.0014668i,0.001009+0.0012647i,0.0011943+0.0003141i,0.001555+4.5136e-05i,0.0015825+0.00012587i,0.0010024-0.00027043i,0.00085352-0.00037263i,0.00041249+0.00071455i,-0.00069185+0.00071635i,-0.00077108-0.00014553i,-0.00027948-0.00065847i,0.00088903-0.00057353i,0.00065643+0.00015658i,-0.00037686+0.00052928i,-8.2628e-06+0.0010377i,0.00034044+0.0010897i,0.00038997+8.6026e-05i,0.00031674-0.00072146i
0.0015122+0.00087627i,0.00092797+0.0014155i,-0.0004272+0.00083756i,-0.0011737+0.00031095i,-0.00022114+0.00069789i,0.0012069+0.0016725i,0.001817+0.0024056i,0.001795+0.0010623i,0.0015233-3.1317e-05i,0.0014325-9.8457e-05i,0.00058563-0.00057899i,-0.0002243-0.00079966i,-0.00012289+0.000352i,-9.2713e-06+0.00061896i,-0.00035844-0.00020105i,-0.0003072-0.00032368i,0.00018264-0.00033217i,0.000442-0.00097998i,0.0001316-0.00058153i,-0.00053961+0.000507i,-0.00041765+0.00042398i,0.00026851-0.00020332i,0.00069146-0.00081224i
-0.0012434-0.00030772i,-0.0024981+0.00010231i,-0.0033092+0.00031095i,-0.0028525+0.00059349i,-0.00135+0.0013252i,0.0003897+0.0013512i,0.0018215+0.00093847i,0.0017381+0.00077392i,0.00098699+0.0003469i,0.0005701-9.3889e-05i,0.00072733-0.00037967i,-3.9773e-05-0.00028805i,-0.00020812-0.00053109i,0.00057054-0.00037278i,8.047e-05+0.00052736i,-0.00034846+0.0012039i,-4.7855e-05+0.00082876i,6.1146e-05+0.00040252i,0.00015118+0.00056937i,0.00070959+0.00073647i,0.00074402+0.00068464i,-0.00036702+0.00055183i,-0.0011342+0.0002459i
-0.00025973-0.0029187i,-0.000153-0.0025427i,0.00025074-0.0018582i,-0.00027858-0.00065031i,-0.00048419+0.00057344i,0.00032158+0.0017621i,0.00087403+0.0014851i,0.00015066+0.00074409i,-0.00089485+0.00050887i,-0.00085503+0.00096783i,-0.00021935+0.0013338i,-6.9602e-05+0.001025i,-8.1446e-05+0.00013413i,-3.7207e-05+0.00021625i,-0.00034651+0.0005698i,-0.00038082-8.8305e-05i,0.00029014+0.00040044i,0.00043114+0.00099389i,-0.00024542+0.00085081i,-0.0010437+0.00086505i,-0.00024077+0.00078891i,0.00047813+0.00093093i,0.00044285+0.00052573i
-0.00079262+0.0012556i,-0.00040989+0.001226i,-0.00085014+0.0009589i,-0.00029492+0.00050884i,0.0012653+0.0001717i,0.0012691-0.00016542i,0.00051503+0.00016962i,4.9895e-05+0.00036102i,-0.00043317-7.4859e-05i,0.00010963-0.00030216i,0.00065358-0.00013843i,0.00058681+5.708e-05i,0.00058478+5.8764e-05i,0.0010036-0.00082526i,0.001469-0.0012891i,0.0013442-0.00088232i,0.00067405-0.0004845i,-9.7578e-05-0.00044535i,-0.00078725-0.00096094i,-0.00030589-0.0010463i,0.00019203-0.00067477i,-0.00022942-0.00042143i,-0.00052855-0.00042454i
-0.00015028-0.00013925i,-0.00033102+0.0010181i,-0.00018384+0.0017362i,-0.00041497+0.0013456i,-0.00053111+0.00097769i,0.00081545+0.001478i,0.0023813+0.001279i,0.0023935+0.00062399i,0.0011823+1.5033e-05i,0.00049978+5.3692e-05i,0.00066845+0.00017404i,0.00079756-0.00041465i,0.00078679-0.00043655i,0.00059849+0.00026215i,0.00014956+0.00079728i,-6.0212e-05+0.0011539i,0.00029776+0.00096675i,-0.00013535+0.00038486i,-0.0010672+0.00044961i,-0.00074402+0.00058247i,-1.3456e-06+0.00042363i,-0.00026172+9.2765e-05i,-0.00038901-2.799e-05i
0.00064445-0.0014535i,0.00094189-0.0011115i,0.00037478-4.5389e-05i,0.00057136+0.00048743i,0.00075136-0.00028245i,0.00097277-0.001091i,0.00175-0.00067521i,0.0016796-5.8587e-06i,0.00097214+0.00037833i,0.00062537-1.6504e-05i,0.00032487+0.00014407i,0.00025915-7.096e-05i,-0.00026507-0.0003409i,-0.00095604+3.3215e-05i,-0.0010479-0.0011571i,-0.0009099-0.0017334i,1.465e-05-0.00064248i,0.00052891-0.00058689i,0.00014733-0.00055912i,0.00017195+0.00044917i,0.00027584+0.00056924i,0.00042554-0.00024551i,0.00078381-0.00051524i
0.00079468+0.0016737i,0.00055713+0.00060595i,6.2903e-05+0.00024259i,-0.00072481+0.00066341i,-0.00048304+0.00096605i,0.00041463+0.0020677i,0.0012314+0.0027679i,0.001667+0.001632i,0.0011719+0.00060444i,0.00085483+0.00017182i,0.00077122-0.00035553i,1.7281e-06-0.00048015i,-0.00081945+0.00010259i,-0.0011796+0.00079568i,-0.00060592+0.00059299i,-0.00063637-0.00021234i,-0.00087663-6.2954e-05i,-0.00076147+0.00066295i,-0.00022041+0.0011636i,0.00038084+0.00091717i,0.00019593+0.00016525i,-0.00010474-0.00019216i,-0.00044409+0.00033538i
-0.001083-0.00085955i,-0.002703+0.0004357i,-0.0036976+0.0011533i,-0.0029901+0.0014882i,-0.001253+0.0026907i,0.00050777+0.0028777i,0.0010333+0.00090009i,0.00066923-0.00049765i,-0.00026537-0.00071162i,-0.00034332-9.3589e-05i,0.0012686-7.2924e-07i,0.0015039+7.7834e-05i,2.6338e-05+0.00027146i,-0.0004923-0.00028882i,-0.00030444-0.00010538i,-4.6685e-05+0.00024104i,-0.00027517+0.00068567i,-0.00035257+0.0013846i,0.00021692+0.00081093i,0.00051273+0.00043741i,0.00062749+0.0010353i,0.00046875+0.0014339i,9.6678e-05+0.00052819i
9.1026e-05-0.0036883i,-0.00077758-0.0035049i,-0.0018289-0.002019i,-0.0022697-0.00067779i,-0.0011365-0.0004086i,0.00057097+0.00028304i,0.0010748+0.00078404i,0.00071271+0.00065878i,0.00067543+0.00041245i,0.00056603+0.00038331i,0.00055799+7.2023e-05i,-0.00035442-0.00023987i,-0.0012088+0.00048948i,-0.0008909+0.0011262i,8.4355e-05+0.00082779i,0.00060462+0.00049464i,3.1783e-05+0.00038391i,-1.8901e-05-0.00023555i,0.00038875-0.00023415i,5.3967e-05+0.00041442i,-0.00015195+0.00073968i,0.00034692+6.7713e-05i,0.00082573-0.00077198i
-0.00010024+0.00019163i,-0.00031102+0.00085027i,9.2927e-05+0.00050443i,-0.00060535+0.0010631i,-0.0003603+0.0022136i,0.00078613+0.0021675i,0.0012676+0.001581i,0.00075052+0.00040373i,0.00065966-0.00019726i,0.0009594+0.00039439i,0.0015025+0.0002281i,0.0012893-0.00033473i,0.00048023-5.5802e-06i,0.00025617+9.1959e-05i,0.00072592-0.0005716i,0.00076176-0.00088628i,0.00044933-0.00047156i,0.00054514-0.00010417i,0.00023394-4.8354e-05i,-0.00057528+0.00032035i,-0.00047063+0.00042204i,0.00021998+0.0008246i,-8.929e-05+0.00040115i
-0.00036588-0.0027265i,-0.00093049-0.001272i,-0.0012671+0.00032358i,-0.0015727+0.00049288i,-0.0010549+0.00049366i,0.00048911+0.00033741i,0.0019025+1.1193e-05i,0.001737-6.0202e-05i,0.00011225+0.00042128i,-0.00034366+0.00085813i,0.00021597+0.00067427i,-0.00054796+0.00013238i,-0.0011947-0.00012673i,-0.00080283+0.00019345i,-0.00033823+0.00016917i,-0.00064074-5.719e-05i,-0.00052093-0.00044987i,9.3288e-05-0.00010665i,0.00043802+0.00048824i,0.00078158-4.6482e-05i,0.00087781-0.00012123i,1.6809e-05+0.00031029i,-0.00027518+0.00012874i
0.00093835+0.00067737i,0.0012976-0.00011609i,0.00029594-0.00037779i,0.00019127+0.00030947i,0.00076173+0.0013144i,0.00026071+0.000977i,0.00027804+0.00097074i,0.00083844+0.001729i,0.00035087+0.0017363i,-0.00060616+0.0014818i,-0.0011346+0.0013381i,-0.00038665+0.00033541i,0.00018512-0.00013662i,0.00012706-5.0178e-05i,-0.00020938-0.00014568i,2.0175e-05-0.00029765i,0.00052869-0.00044838i,0.00055799-0.00042003i,0.00060541-0.00023788i,0.00066691+6.8136e-05i,0.00029005+0.00017906i,0.00021317-0.0001286i,-4.1114e-05-0.00077981i
-0.0042748-0.0013562i,-0.0042626-3.2285e-05i,-0.002838+0.0030762i,-0.00055068+0.0039044i,0.0010793+0.0023097i,0.0015966+0.0012989i,0.0017419+0.0010072i,0.00071399+0.00049639i,-0.00057453+0.00087369i,0.00015583+0.0012243i,0.0018342+0.00093375i,0.0016653+0.0003637i,0.0010385-0.00066698i,0.00059697-0.00018867i,8.3844e-05-0.00020329i,-0.00039263-0.00028134i,-0.00054455+0.00025785i,-0.00023978-0.00047647i,9.3453e-05-0.00071003i,-7.7913e-05-0.00056079i,-5.6984e-05-0.00047355i,6.1942e-05-0.00017749i,0.00058612+0.00019834i
0.0017754-0.0018289i,0.00030596-0.0025657i,-0.00048974-0.0015217i,-0.00032792+0.00056493i,0.00052366+0.0017238i,0.00086247+0.0016932i,0.00177+0.0013394i,0.0021302+0.0014594i,0.0010357+0.001235i,0.00069791+0.00077976i,0.00065287+0.00044521i,0.00074047+0.00058416i,0.00036888+0.00026157i,-0.00019524+3.4583e-05i,-0.00012815+0.000304i,0.00016696+0.00039118i,-0.00030909+0.0004702i,-0.00035187+0.00064777i,0.00087225+0.00075193i,0.0012424+0.00055507i,0.0012183-6.2087e-05i,0.0011968-0.00020664i,0.00019978+2.0979e-05i
-0.0025922+0.0014413i,-0.0020279+0.0019337i,-0.001604+0.0024929i,-0.0013221+0.0014904i,0.00067511+0.0012761i,0.0025304+0.0013063i,0.0025437+0.0010965i,0.0014677+0.0013287i,0.00078297+0.00050355i,0.001278+9.055e-05i,0.0016878+0.00069589i,0.0011747+0.0010156i,7.4469e-05+0.00058884i,5.7075e-05+0.00016067i,0.00092683+0.00039091i,0.00075957+0.00087597i,-3.2063e-05+0.00020216i,0.00027538-0.00028687i,0.00014967-4.7554e-05i,0.00012829-0.00013782i,0.00091277-8.3413e-05i,0.00065806+0.00079924i,-0.00020431+0.0014488i
-0.0009174-0.00214i,-0.00080223-0.00068618i,-0.0011486+0.0013657i,-0.0016477+0.0022662i,-0.00070159+0.001894i,0.00087734+0.00016274i,0.0012807-0.00067654i,0.0011876-0.00039983i,0.00083446+4.1517e-05i,0.0010016+0.00049926i,0.0011098+0.000931i,0.00069192+0.00062855i,0.00040045-0.00019965i,2.476e-05-0.00012663i,-0.00018054+0.00017244i,-0.00058461+0.00076734i,-0.00041283+0.00042004i,0.00045764-0.00026637i,0.0011266-0.00086068i,0.0013867-0.0011907i,0.0011397-0.0012936i,0.00047567-0.00069204i,-0.00026616-0.00031644i
-0.0014261+0.0012469i,-0.0011941+0.0011694i,-0.00051193+0.0019585i,-0.00027511+0.0022743i,0.0011488+0.0023988i,0.0023484+0.0026278i,0.0018316+0.0020608i,0.0013917+0.0011447i,0.00040839+0.000723i,0.00025246+0.00051789i,0.0012073+0.000405i,0.00073782-0.0001413i,-0.00020085-0.00025138i,-0.00059779+0.0001962i,-0.00014051+0.00035593i,-9.6041e-05+0.00037028i,-0.00010227+0.0002272i,0.00011129-0.00031751i,-4.6542e-05-0.00039472i,0.00022443-0.00018326i,0.00024977+0.00033107i,-1.6681e-05-0.00022599i,0.00029739-0.001162i
-0.00096237-0.00161i,-0.00089909-0.0013437i,-0.00047372-0.0005248i,-0.00086469+0.00051564i,-0.00011026+0.00079056i,0.0016176+0.00078685i,0.0013057+0.0012638i,-0.00013398+0.00087451i,-0.00041446+0.0002932i,-0.00017995+0.00051755i,0.00042756+0.00056101i,0.00099685+0.00044372i,0.00048689+0.00045157i,0.00062991+2.8072e-05i,0.00057199+0.00041091i,-0.00032292+0.00055677i,-0.00043421+0.00023217i,0.00048702+4.8846e-05i,0.0011047-0.00034414i,-1.1306e-06-0.00037421i,-0.000321-8.085e-05i,-6.1956e-06-0.00014846i,0.00030316-0.00050349i
-0.0021839+0.0026404i,-0.003056+0.0023453i,-0.0033936+0.0022926i,-0.0018355+0.0020991i,-1.9019e-05+0.0017489i,0.00022337+0.0010954i,0.00023422+0.0016829i,0.00022976+0.0013199i,-9.7937e-05+0.00016283i,0.00033605+0.00042684i,0.00074365+0.00098265i,0.00077992-0.00018041i,0.00071173-0.0017038i,-0.00015751-0.0019514i,-0.00090536-0.0016638i,-0.0010062-0.00054435i,-0.00080905+0.00064094i,-0.00041952+0.00089051i,-0.00035388+0.00069503i,-0.00067146+0.00051163i,-0.00026679+0.00028648i,-0.00022591+8.3519e-05i,-0.00010055+0.00024673i
0.00073374-0.00086863i,0.00010096-0.0025849i,-0.0006965-0.0018639i,-0.00027885-7.2304e-05i,0.00051326+0.00015177i,0.0006199+0.00057704i,0.00025305+0.00087685i,0.00036135+0.00048803i,0.0011829+0.00029017i,0.0019586+0.00014098i,0.0014781-0.00011528i,0.00044276-0.00014491i,-0.00039844+0.00021938i,-0.0010022+0.00019626i,-0.00061906+0.00016026i,-0.00082292-1.92e-05i,-0.00065911-0.00069567i,-0.00035614-0.00088849i,-0.00054158-0.00080804i,-0.00042566-0.00028021i,0.00021495+0.00052048i,0.00088742+0.00051538i,0.00046399-0.00024439i
-0.00015333+0.00027367i,-1.9781e-05+0.00062771i,-0.00036021+0.0015787i,-0.0011944+0.0015514i,-0.00045617+0.0016542i,0.001112+0.0015676i,0.0013754+0.0013584i,0.00053626+0.00078017i,0.00022018+0.00023118i,-0.00011176+0.00078682i,0.000201+0.00055534i,0.00052164-0.00067852i,0.00033362-0.00032098i,0.00081147+0.00098516i,0.00080255+0.00054844i,-9.6049e-05+0.00016357i,-0.0011792+0.00011638i,-0.0015604-0.00042488i,-0.00061083-0.00088397i,-0.00010028-0.00063684i,2.5967e-05-0.00046206i,-0.00020305-0.00041775i,-1.3352e-06+4.127e-05i
-0.0006406+0.00049435i,-0.0013949+0.00031415i,-0.00052035+0.0005222i,0.00018636+0.0012704i,-0.00016591+0.0014253i,0.00051698+0.0021234i,0.00084445+0.0025759i,0.00019727+0.0017674i,-0.00015162+0.00076617i,0.00058222+0.00089976i,0.00046757+0.00082576i,-9.2952e-05+7.0981e-05i,-5.8772e-05-0.00045548i,0.00014971-0.00062254i,-0.00013382-0.00044712i,0.00013288-0.00043778i,0.0001772+0.00010295i,-0.00043345+0.00020267i,-0.00046396-0.00041176i,0.00032716+0.00040289i,0.00056871+0.00062572i,0.00032125+0.00021773i,0.00023172-0.00017926i
-4.7084e-05-0.0005153i,0.00060125+0.00040595i,0.0012175+0.001675i,0.0012723+0.0017834i,0.001525+0.00099874i,0.0017759+0.00059713i,0.0012894+0.00073631i,0.0013732+0.0007165i,0.0018333+0.00066223i,0.0012054+0.00097173i,0.00099524+0.00049104i,0.0014485-0.00021285i,0.00096993-0.00018234i,0.00058998+0.0001223i,0.00045783-0.00044321i,0.00057158-0.00082681i,0.00029024-0.0006695i,-0.00048999-0.00013873i,-0.00084993+0.00055556i,-0.00025671+0.0006375i,1.0854e-05+0.00043308i,7.2706e-05+0.00062274i,0.00019721+0.00053774i
-0.0014253+0.0022413i,-0.0022679+0.0015358i,-0.0024898+0.0009862i,-0.0013834+0.0011382i,0.00025829+0.0013783i,0.001575+0.00084219i,0.0015362+0.00076699i,0.0010568+0.0012273i,0.00040469+0.0015709i,0.00032482+0.0010123i,0.00054345-0.00010596i,0.00026986-0.0010514i,0.00014729-0.0012579i,6.9406e-05-0.0014524i,0.00020311-0.0019977i,-0.00043437-0.000791i,-0.00028401-0.00024692i,0.0004388-0.00027363i,-0.00013834-0.00012914i,-0.00052246-0.00056337i,-0.00044806-0.00057188i,0.00041788-0.00072081i,0.00074735-0.00081138i
