-0.0029124-0.00050518i,-0.0020805-0.0023784i,-0.0021753-0.0030663i,-0.0024979-0.0022025i,-0.0020361-0.00062273i,-0.0019314+0.00063261i,-0.0014769+0.0012424i,0.00056485+0.0010003i,0.0015829+0.00045976i,0.00028204-0.00019834i,-0.00045282-0.00085566i,-0.00010234-0.00088238i,-0.00068092-0.00028967i,-0.0013388+0.00079537i,-9.767e-05+0.0016558i,0.00088207+0.00092059i,0.00011147-8.9997e-05i,-0.00038053-0.00038544i,0.00043665-0.00068448i,0.0009211-0.00094764i,0.00060704-0.00050529i,-0.00027056-0.0002833i,0.00010952-0.0002357i
0.00074114+0.0018493i,0.00056462+0.0025395i,0.0019665+0.0018548i,0.0027349+0.00039464i,0.0013759-0.0005444i,0.00025149-0.00073255i,-1.3013e-05+0.00023426i,-0.000121+0.0010902i,-0.00020669+0.00025441i,-0.00023129-0.00074184i,-0.0010836-0.00083978i,-0.0016766-1.1544e-05i,-0.0012875+0.00056269i,-0.00063329+0.00073055i,-4.6745e-05+0.00090236i,-6.0596e-05+0.0010189i,0.00073971+0.0011672i,0.00092483+0.00083122i,-9.4742e-05+0.00050251i,-0.00062883-0.000279i,-0.00038342-0.0009003i,-0.0003203-0.0010373i,-0.00017298-0.0017977i
-0.0010866+0.0014755i,-0.00070064+0.00052493i,-0.0011411+0.00053329i,-0.0010045+0.00038874i,-0.00079068-0.0001087i,-0.00054229+0.00028626i,-0.00052968+0.0003854i,-0.00027484-7.3143e-05i,-0.00057498-0.00032762i,-0.0012605+0.00074282i,-0.00080945+0.0020958i,0.00034366+0.0021777i,0.0012446+0.0016588i,0.001132+0.0012625i,0.00090895+0.0010786i,0.00078661+0.00016196i,0.00035685-0.00070563i,-3.5245e-05-0.00011996i,0.00034491+0.00046556i,0.0006244+0.00024942i,0.00010241-0.00019903i,-0.00028494+0.00042211i,-0.00029083+0.0013081i
-0.00072249+0.00043703i,-0.00055189+0.00020843i,-0.00099083+0.00080522i,-0.00072566-3.8657e-05i,-0.00016341-0.00054504i,9.397e-05-1.3103e-05i,-0.00066808-8.9052e-06i,-0.00070953+0.0007279i,0.00063415+0.0018437i,0.0019653+0.0022955i,0.0027504+0.0025372i,0.0034604+0.0025598i,0.0032701+0.0019938i,0.002125+0.00087759i,0.0018619-3.7396e-05i,0.0012022-0.00042932i,2.2673e-05-0.00065398i,0.00020528-0.00041371i,0.00038528-0.00012712i,-0.00035677-0.00018684i,-0.00030974-0.00031653i,2.9806e-05-0.00039706i,-0.0003107+8.9941e-05i
0.0017967-0.00095098i,0.00071181-0.00088891i,0.0018909-0.00027815i,0.0026595+4.0245e-05i,0.001724-0.00055169i,0.00011085-0.00021045i,-0.00081468+0.00025494i,0.00022728+0.00076342i,0.0014598+0.0013477i,0.0022455+0.0013749i,0.0035363+0.00085418i,0.0032873+0.00015258i,0.0015107-0.00056681i,9.4419e-05-0.0009548i,-0.00056933-0.0008746i,4.7862e-05-0.00097591i,0.00072974-0.00057939i,0.0010576-0.00034221i,0.00088385-0.0002423i,0.00050828+0.00023729i,0.00034358+0.00017474i,0.000216-0.00040891i,-2.3483e-05-0.0005295i
-0.00069633+0.0012859i,-0.0022266+0.00028726i,-0.0015526+0.00093907i,-0.00056935+0.0013521i,-0.00043106+0.0011089i,-0.00012971+0.00019348i,0.00068558-0.00018392i,0.0005758+0.00065214i,0.00068087+0.00038733i,0.0019631-0.00055504i,0.0023204-0.0012961i,0.0016413-0.0017317i,0.00049936-0.0013611i,-0.00028295-0.00074264i,-9.1863e-05+0.00014667i,-0.00019779+0.00097682i,-0.00034847+0.00086187i,-0.00020421-4.9491e-06i,1.9602e-05-0.00032025i,0.00068301-0.00029059i,0.0011068-0.00029556i,0.0016101-0.00034628i,0.00071181-4.7129e-05i
0.0016046+0.00054975i,0.0018472+0.00037948i,0.0019019-0.00040807i,0.0010707-0.0013368i,-7.2715e-05-0.0013582i,-1.8136e-05-0.0014753i,0.00054147-0.00083654i,0.0011842-0.00022776i,0.001854-0.0012818i,0.0021016-0.0025568i,0.0012228-0.0031299i,-0.00027394-0.0024533i,-0.00070998-0.00077422i,-0.0010052+0.00088272i,-0.0013307+0.0020428i,3.9736e-05+0.002002i,0.0006972+0.00078039i,-0.00018448+4.7656e-05i,-0.00016775-0.00020365i,-2.928e-06-0.0011385i,6.0402e-06-0.0013383i,0.00046-0.00092157i,0.00081472-0.00058063i
-0.00049789-8.0053e-05i,-0.00039503+5.6214e-05i,-0.0014056+0.00053712i,-0.00087259+0.00031543i,0.00019099-0.00014472i,0.00061004-0.00028664i,0.00060096+0.00017319i,0.00057756+8.4267e-05i,0.00076567-0.00093141i,0.00044018-0.0014681i,-0.00067172-0.00057514i,-0.0020176+0.0010094i,-0.0026707+0.0016456i,-0.0018106+0.0015059i,-0.0005894+0.0013927i,6.1384e-05+0.00073339i,0.00086595-0.0002161i,0.00080842-0.0006055i,-0.00017657-0.00078414i,7.9259e-05-0.00091136i,0.0003483-0.00094787i,0.00021486-0.00065039i,0.00021202+0.00035498i
-0.0016907+0.00049721i,-0.0021679-0.00045727i,-0.0026672-0.00049857i,-0.0017568-0.00088742i,-0.0007101-0.0015009i,-6.237e-05-0.0014i,0.0004958-0.00066949i,0.00069048+0.00068047i,0.00014928+0.0013967i,-0.0011205+0.001436i,-0.0018841+0.0018429i,-0.00086926+0.0022235i,0.00061349+0.001158i,0.00080064+0.00028476i,0.00056002+0.00062702i,0.00099367+0.00014732i,0.0017991-0.00053569i,0.0023353-1.7558e-05i,0.0016616+0.00072282i,0.00059078+0.00056001i,0.0007952+0.00024447i,0.0015001-0.00016082i,0.0019111-0.00030452i
-0.0010188+0.00085098i,-0.00028754+0.00070813i,-4.3225e-05+0.0013826i,0.00033466+0.0021533i,0.00029936+0.0013884i,-0.00032952+5.8404e-05i,-0.00021835-0.00061131i,0.00036189+0.0007841i,5.827e-06+0.0023321i,0.0007317+0.0034424i,0.0024802+0.0041021i,0.0032167+0.0027891i,0.0029118+0.00023086i,0.0014539-0.00084756i,0.00041088-0.00056397i,-9.9271e-06-0.00037181i,-0.00018568+0.00038458i,-0.00048914+0.00082312i,-0.00015778+0.00055337i,0.00082292+0.0004705i,0.001167+0.00061625i,0.0011882+0.00069582i,0.0011635+0.0001867i
-0.00064576-0.0031064i,-0.0011947-0.00093657i,-0.0021046-0.0010463i,-0.0018019-0.0008161i,-0.00062054-0.00068329i,-0.00024898-0.000776i,-0.0014036-0.00075818i,-0.0011416-0.00012637i,5.8785e-05+0.00089033i,0.0010039+0.0011843i,0.0021309+0.00057181i,0.0026671-6.1974e-05i,0.0018402+2.6734e-05i,0.00061142+9.3614e-05i,0.00021956+0.00026907i,-0.00067245+0.000698i,-0.0010148+0.00016928i,-0.00038892-1.9971e-05i,-0.00073562+0.00058337i,-0.00037488+0.00093794i,0.00085394+0.00064129i,0.00081828+0.00067292i,-5.1314e-05+0.00037512i
0.00052962-0.0014492i,8.615e-05-0.001228i,-0.00056089-0.0019211i,-0.00099071-0.0018486i,-0.0002363-0.0017952i,0.00061297-0.0013359i,0.000225+0.00078504i,-3.0387e-05+0.0019096i,0.0010722+0.001334i,0.002743+0.00012153i,0.0033675-0.00089828i,0.0026998-0.0009861i,0.00093816-0.00092098i,-0.0011031-0.00074455i,-0.0012485-0.00052276i,-0.00015641-0.00039708i,5.8568e-05-0.00054706i,-0.00024458-0.00038893i,0.00017128+3.2116e-05i,0.001028+0.00068514i,0.0013605+0.0002336i,0.00075269-0.00018935i,-6.7375e-05-4.3878e-05i
-0.0011735-0.00072123i,-0.00087988-0.00010348i,-0.0002257+0.0009115i,-0.00071312+0.0012745i,-0.00077608+0.0011247i,-0.00093125+0.00085943i,-0.00086317+0.0006733i,-9.6995e-05+0.00047928i,0.00018517+0.00013863i,-0.00021874-0.0011417i,-0.00015696-0.0026718i,-0.00032292-0.0025038i,-0.00095619-0.0014509i,-0.0011482-0.0001157i,-0.00083011+0.0008168i,-0.00029459+0.00049058i,5.8709e-05+8.2102e-05i,-0.00064995+0.00026021i,-0.00099205+0.00044944i,0.00031677+0.00033447i,0.001096+0.00048904i,0.00034114+0.00033538i,-0.00033661+0.00026848i
-0.00070121+0.00081172i,0.00024226+0.0020615i,0.00056419+0.0023242i,0.00041757+0.0013358i,0.00090833-0.00012621i,0.0007018-0.00065547i,0.00020251-0.00040627i,0.0012958+0.00081038i,0.001324+0.0010353i,-0.00037959-0.00058102i,-0.0015596-0.0018693i,-0.0019882-0.0017005i,-0.00024427-0.00029934i,0.0016296+0.00054355i,0.00096513+0.00096575i,0.00017888+0.0011363i,3.4055e-05+0.00085369i,-0.00035013-3.5078e-05i,-0.00043217-0.00031656i,-0.00065164-0.00026006i,-5.6088e-05-9.2391e-05i,0.00062489+0.00017096i,0.00042088+0.00012763i
0.0008195+0.0016976i,0.00043276+0.0027012i,0.00064602+0.0028174i,5.2681e-05+0.0019628i,-2.1784e-05+0.0011528i,5.1381e-05+0.00038635i,-0.00070746+0.0010208i,-0.00074832+0.0020915i,3.5957e-05+0.0019058i,0.00032586+0.0012945i,1.6956e-05+0.0022069i,0.0011216+0.003105i,0.0014135+0.0020804i,0.00045116+0.0010895i,0.00022643+0.0015353i,0.00079628+0.00081058i,0.00074075-0.0011534i,-0.00043123-0.00048761i,-0.0005548+0.00066175i,7.3198e-05+0.00050333i,0.00079709+0.0003151i,0.0011581+0.00017115i,-0.00036461+0.00049955i
8.658e-05+0.00032541i,-5.2877e-05-0.0001659i,-0.00013877-0.0007399i,0.00036527-0.0014074i,0.00010762-0.0016945i,-0.00070977-0.0013506i,-0.00059005-0.00055353i,0.00012058+0.00062822i,0.00067159+0.0016534i,0.0012082+0.0021266i,0.0019936+0.0028282i,0.002285+0.0033251i,0.002124+0.0023088i,0.0014544+0.0015563i,0.00070968+0.001195i,0.00077038+0.00063351i,0.00094475-0.00011477i,0.00061359-0.00091536i,0.0007447-0.00053798i,0.0013031-2.2816e-07i,0.0011935-0.00019241i,0.00057589-0.00071096i,0.0003729-0.00069732i
-0.00035731-0.0013621i,0.00037325-0.0014449i,3.0393e-05-0.0021284i,-3.7072e-05-0.0011972i,-0.00010501-3.3771e-05i,-0.0006094-0.00010705i,-0.00020226-0.0001216i,0.00089569+0.00075446i,0.0020698+0.0018027i,0.0027988+0.0014437i,0.0037577+0.00069239i,0.0044588-0.00042599i,0.0031109-0.0019332i,0.00076702-0.001772i,-0.00025719-0.0010799i,-0.00010779-0.00046048i,0.00017982+0.00023335i,0.00069589+0.00010733i,0.0012147-8.38e-05i,0.0012021-0.00030743i,0.00058288-0.000207i,0.00029021-0.00030758i,-0.00026668-0.00050418i
0.0014393+0.0036252i,0.0014908+0.003372i,0.0018879+0.0029955i,0.0019132+0.0019596i,0.002293+0.00068153i,0.0023685-0.00033616i,0.0014315-0.00072845i,0.0012471-0.00032176i,0.0020232-0.00030211i,0.0031426-0.0015455i,0.0039826-0.0027371i,0.0034557-0.0029105i,0.0019823-0.0020652i,0.00023281-0.00099753i,-0.0009099-0.00019863i,-0.0011296+0.00020281i,-0.00042373+0.00059029i,0.00025608+0.00020735i,-0.00059376-0.00062264i,-0.00072755+0.00015078i,0.00018858+0.00057258i,0.0010357-0.00028548i,0.0011639-0.00095191i
3.909e-05-0.0025181i,-7.9561e-05-0.0027394i,-0.00052457-0.002918i,-0.0012169-0.0028098i,-0.001248-0.0021152i,-0.00090901-0.00027555i,0.00016611+0.00061537i,0.00080014+0.00079147i,0.0002349+0.00029116i,-0.00039484-0.0011306i,-0.00086994-0.0018005i,-0.001851-0.0015306i,-0.0022846-0.00083287i,-0.0021203+8.8443e-05i,-0.0014431+0.00022037i,0.00013686-0.00010844i,0.00061973-0.00011086i,-0.00013967+0.00017156i,-0.00042552+0.00075042i,-4.4884e-05+0.0005968i,0.00045176-0.00072402i,0.00069282-0.0013295i,0.00034211-0.0006546i
0.0015157-1.9767e-05i,0.0027469-0.00017487i,0.0022928+0.00057594i,0.00065842+0.00096837i,9.2496e-05+0.00049855i,-0.00042315+0.00014054i,-0.00036774-3.7767e-05i,0.00013695+0.0005629i,7.9791e-05+0.00031739i,-0.00098898-0.00015219i,-0.002498-0.00054223i,-0.0031666-0.00033638i,-0.0021388+0.00078242i,-0.00056323+0.00076065i,-0.00050824+0.00061713i,-0.00042748+0.00037854i,0.00019787+8.9386e-05i,-0.00015141+0.00074887i,-0.00014343+0.0011892i,0.00049014+0.00030276i,0.00088667-0.00010541i,0.0012372+0.00012642i,0.0011307+0.00011776i
0.0016701-0.00049495i,0.0013783-0.00026889i,0.0012864-0.00047559i,0.00098973-0.00075609i,6.7991e-05-0.00078362i,-0.00024819+2.506e-05i,0.00014252+0.0012603i,0.00011339+0.0017952i,-0.00011953+0.0010936i,-0.0013672+0.00076565i,-0.0022353+0.0015321i,-0.0016542+0.0022731i,1.6769e-05+0.0026717i,0.00079689+0.0022742i,0.00094808+0.0017841i,0.00084247+0.0008236i,0.00044387+0.00045793i,-0.00020807+0.00065369i,-0.00039286+0.0003714i,0.00017222+0.00034812i,0.00016921-0.00032082i,0.00059551-0.00041969i,0.0008307+0.0005095i
0.0015816-8.1123e-05i,0.0020058-0.0012119i,0.0011158-0.001999i,0.00033293-0.0014456i,0.00016869-0.001411i,8.2469e-05-0.0015115i,0.00024298-0.00080611i,0.0011669+0.00057128i,0.002472+0.0018246i,0.0026796+0.0019046i,0.0020787+0.0017106i,0.0019615+0.001535i,0.0019198+0.0013669i,0.0014826+0.0011518i,0.0012479-0.00025575i,0.0014683-0.0012245i,0.0014249-0.00079017i,0.0011914-0.00039016i,0.0012443-0.00076994i,0.00083107-0.00074877i,0.00072978+0.00036329i,0.00094965+0.0006505i,0.0011843-2.4583e-06i
0.00093811-0.00093266i,0.0012148-0.00058764i,0.001521-9.9733e-05i,0.0011941-0.00017352i,0.00023482-0.00077234i,-0.00091459-0.0015988i,-0.0010558-0.0010051i,0.00030768-0.00049826i,0.0023091-0.00049253i,0.0036343+0.00017985i,0.0046748+0.0002784i,0.0040685+0.00011807i,0.0025853-0.00047744i,0.0016138-0.0012645i,0.00062374-0.001667i,0.00025931-0.0018265i,0.0007339-0.0016452i,0.00042244-0.0010478i,0.00010631-0.00076238i,0.00054644-0.00045294i,0.00055443-0.00016457i,0.00037127-0.00038765i,0.00090374+0.00016693i
-0.00057877+0.0011736i,-0.00057178+0.0021079i,-0.00010461+0.0040483i,0.00037007+0.0033592i,0.000644+0.0015615i,0.00045741+0.00079763i,0.00039436+0.00039613i,0.00045223+0.00022768i,0.0015638-0.00054241i,0.0041997-0.001925i,0.005142-0.0028239i,0.0039568-0.0036757i,0.0016013-0.0041153i,0.0004789-0.0040435i,0.00111-0.0029753i,0.00087135-0.0017243i,-9.6047e-05-0.0011086i,-0.00042046-0.00054083i,-0.00028995-0.00081776i,0.00050987-0.00073211i,0.00097664+0.00056316i,0.00048216+0.0010364i,7.5276e-05+0.00014107i
0.0010452-0.00077266i,0.00090763-0.00072771i,0.00022346-0.001454i,-0.0017285-0.00164i,-0.0024042-0.0017454i,-0.001926-0.001659i,-0.0013882-0.0010378i,-0.00099597-0.00037209i,-5.949e-05-0.00058038i,0.00090588-0.0024026i,0.00064966-0.0038704i,-0.0001794-0.0035607i,-0.0010017-0.0025618i,-0.0016056-0.0017037i,-0.0025372-0.00016581i,-0.0023542+0.00070286i,-0.00072312+0.00037916i,-0.00035581+0.00019545i,-0.0009644-1.481e-05i,1.0771e-05+0.00037994i,0.001057+0.00046277i,0.00073776+0.00027537i,0.00018988+0.00054749i
0.00068075-0.0019604i,-0.0002717-0.0022328i,-0.0006983-0.0030453i,0.00030889-0.0021666i,0.00012349-0.00048292i,0.00022736-2.6082e-05i,0.00021334+0.00055743i,-0.00049816+0.0012006i,-0.001172+0.00062218i,-0.0016463-1.4982e-05i,-0.0018761-0.00057543i,-0.0020185-0.00029289i,-0.001729+0.0013862i,-0.0016067+0.0017154i,-0.0017991+0.0012358i,-0.00059048+0.0015566i,0.00041453+0.0010778i,0.0010264+0.00022311i,0.0019035+0.00062777i,0.001674+0.00077972i,0.00076026-0.00027986i,0.00011386-0.00020377i,-0.00054422+0.00044556i
0.00048589-0.00024701i,0.0012531+0.00066596i,0.0017547+0.00053984i,0.0018492+0.0008033i,0.0009361+0.00020889i,-0.00022578-0.00073219i,-0.00075976-3.5638e-05i,-0.00045897+0.0011448i,8.7819e-05+0.0015149i,-0.00048512+0.0015448i,-0.00089769+0.0018231i,-0.00071535+0.0022207i,-0.00033316+0.0029779i,-0.00022749+0.0028583i,0.00012307+0.0021852i,0.0010871+0.0017759i,0.0013981+0.001511i,0.0011243+0.0019175i,0.00092034+0.0012716i,0.00042753+0.00047398i,0.00068459-0.00027051i,0.00075581-0.00092553i,0.00015952-0.00079747i
-0.0003882+0.00064881i,-0.00030895+0.00078536i,-0.00046038+0.00063054i,-0.00014085+0.00065959i,0.0010995+0.000859i,0.0011338+0.00053253i,0.00015901+0.00028883i,0.0003871+0.0010428i,0.00082191+0.0022972i,0.00088754+0.0027212i,0.0011431+0.0026071i,0.0018977+0.0025401i,0.0022638+0.0022155i,0.0022309+0.0018837i,0.0027443+0.0015517i,0.0025501+0.0013035i,0.0019294+2.7894e-05i,0.0010083-0.00075712i,-0.00021306+0.00049657i,-0.00041308+0.00079755i,-0.00010447+6.6549e-05i,0.00013807-0.00027869i,0.00053142-0.00033772i
8.0261e-05+0.00077408i,0.0002715-0.00049476i,-0.00057437-0.0009696i,-0.00046717-0.0011817i,-0.00011874-0.0022202i,-8.6928e-05-0.0018167i,-0.00026202-0.00011866i,-0.00035546+0.0010608i,0.00050168+0.00096268i,0.0025774+0.0010868i,0.0039827+0.0016892i,0.0039739+0.0013261i,0.0037749+0.00022065i,0.0029694-0.0002688i,0.0019621-0.00058649i,0.00057831-0.00070528i,-4.7608e-05-0.0011694i,0.00020651-0.0014319i,-0.0004054-0.00054509i,-0.00014364+0.0008992i,0.00085299+0.00084701i,0.00087453-0.00025559i,-0.00014308-0.00055338i
0.0012038-0.0012928i,0.0010185-0.0011514i,0.00094352-8.5335e-05i,0.00030076+0.00038217i,-0.0021345-0.00025418i,-0.0020175-6.137e-05i,-0.00053322+0.0012156i,0.00038285+0.0012379i,0.00099587+0.00046524i,0.0015642+0.00039931i,0.0023782-0.00085559i,0.0023552-0.0025839i,0.00096092-0.002991i,-0.0006295-0.0026624i,-0.00097933-0.0022977i,-0.0013844-0.00060729i,-0.0019255+0.00058892i,-0.00082052+0.00022906i,-0.00027144+0.00011833i,-0.00046077+0.00046055i,-0.00019242+0.00054802i,0.00022945+0.00032974i,0.00058634-0.00056085i
0.00066573-0.00040935i,-0.00057179+4.177e-05i,-0.00040107+0.00027452i,0.00053555+3.4283e-05i,0.0012881-0.00065291i,0.00062892-0.00088936i,-0.00029779+5.8838e-05i,-6.1047e-05+2.6439e-05i,0.0014302-0.0012704i,0.0025208-0.003149i,0.0021645-0.0048208i,0.00085924-0.004707i,-0.0012083-0.0031908i,-0.0024819-0.0020446i,-0.0025594-0.00060346i,-0.0019784+0.00067995i,-0.0014258+0.00073495i,-0.0013332+0.00059202i,-0.0013245+0.00065169i,-0.001491+0.00044463i,-0.00039574-3.2124e-05i,0.0010483-0.0004773i,0.001117+9.5972e-05i
-0.00054547+0.0012012i,-0.00054366+0.00088217i,-0.00080271+0.0012217i,0.0003971+0.00041122i,0.0019185-0.00064975i,0.0011343-0.000749i,0.00038797+0.00033998i,0.00075344+0.0016651i,0.00044896+0.00049693i,0.00036055-0.0015326i,-0.00047871-0.0015207i,-0.001785-0.0016204i,-0.0017362-0.0016282i,-0.0019402-1.3214e-05i,-0.0018907+0.0009668i,-0.00081788+0.0006744i,-0.00025712+0.00074681i,-0.00047419+0.0011557i,-0.0001353+0.0011255i,0.00019999+0.00074787i,0.00055761+0.00088594i,6.3734e-05+0.00089414i,-0.00079804-0.00030075i
-0.0005736+0.00011932i,0.00038835+0.00055835i,-0.00014235+0.0017592i,0.00021332+0.0019328i,0.001415+0.00038011i,0.00080919-0.00098078i,-0.00048927-0.00061376i,7.6603e-05+9.4409e-05i,0.00019841-9.0683e-05i,-0.0017133-0.00041134i,-0.0027072+0.00080534i,-0.0017721+0.002287i,-0.00096462+0.002248i,-0.00088262+0.0016441i,-0.00022498+0.0010848i,0.00043227+5.0167e-05i,0.00095224-0.00020077i,0.0010538-0.00045492i,0.00068816-0.0011228i,0.00031518-0.00064814i,0.00043068+0.00013948i,0.00038472+0.00076998i,8.6908e-05+0.0011732i
0.00081901-0.0012801i,0.00023822-0.00045241i,-0.00033658-0.00048202i,-0.00071131-0.00039094i,-0.0011425-7.6964e-05i,-0.0012209+3.5984e-05i,-0.00080548+0.00047063i,-0.00064544+0.00090221i,-0.00046586+0.0017873i,-0.00047127+0.0026737i,-0.00023954+0.0031466i,0.00038728+0.0029661i,0.00053956+0.0017141i,0.0010087+0.00096421i,0.0019331+0.00082862i,0.0033295-0.000339i,0.0034688-0.00081783i,0.0019353-0.00071865i,0.00063877-0.001219i,-0.00014316-0.00086005i,0.00019957+0.00020377i,0.00081749+0.0010543i,-5.5151e-06+0.00036904i
0.0031757+0.00057859i,0.0026277+0.00037001i,0.0022814-0.00018921i,0.0021759-0.00070205i,0.0012549-0.0015926i,4.3851e-05-0.0015024i,-0.00010996-3.6534e-05i,0.00045462+0.0012018i,0.0011915+0.0021451i,0.0025674+0.002041i,0.003986+0.0014922i,0.0043441+0.00028577i,0.0034288-0.00084659i,0.0024311-0.0014781i,0.0021095-0.0017126i,0.0015437-0.0010112i,0.0013644-0.0005321i,0.0012562-0.00048858i,0.0007638+0.00038941i,0.00023571+0.0014039i,-0.00010333+0.0010361i,-0.00015214+0.00013379i,-0.00036651-0.00032357i
-0.00045699-0.00038202i,7.5015e-05+0.00010814i,0.00075347-0.00056324i,0.0010057-0.00082088i,0.00099348-0.0011097i,0.00076167-0.0011486i,3.1386e-05-0.00056396i,0.00011293+9.5642e-05i,0.001571+0.0012467i,0.0030976+0.0010713i,0.0045161-0.00052543i,0.0046663-0.0010175i,0.002983-0.0013543i,0.0017057-0.0013847i,0.0014589-0.00027142i,0.001108-5.0551e-05i,0.00019512-0.00058431i,-0.0011345-0.00063067i,-0.00144+4.1336e-05i,-0.00015243+0.00049561i,0.00046516+0.00079622i,-0.00048934+0.0011332i,-0.00091813+0.00056531i
5.738e-05+0.0012143i,-0.00036166+0.0019894i,-0.00041786+0.0020927i,0.00079258+0.0011431i,0.0015969+0.00077569i,0.001563+0.00044188i,0.00099086+0.00025068i,0.00067539+0.00018403i,0.0017003+7.2587e-06i,0.0030818-0.0013162i,0.0030392-0.0025291i,0.0020102-0.002079i,0.00048411-0.0010944i,-0.00071372-0.0012032i,-0.00068058-0.00095511i,-5.371e-05+0.000278i,0.00062294+0.00096863i,0.00055953+0.0010181i,0.00088421+0.00046238i,0.0010347+0.0001941i,0.0010639+0.00011166i,0.0015444-0.00013938i,0.00076463-0.00039694i
0.00044502+0.0002859i,0.0006118-0.00021988i,0.0009345+1.5448e-05i,0.00028933+0.0002632i,-0.00040746-0.00019146i,-2.4766e-05-0.00074591i,0.00045438-0.00041399i,0.00069423+0.00026876i,0.00045347-0.00055395i,0.00043553-0.0023295i,0.00034966-0.002667i,-0.00042954-0.0015706i,-0.0016494+0.000462i,-0.0031888+0.0021775i,-0.0028393+0.0022073i,-0.0014509+0.0021782i,-0.00086475+0.0014216i,-0.00091189+0.0010425i,-0.0011182+0.0012307i,-0.00094558+0.0013107i,2.4546e-05+0.0010433i,0.00092624-5.1932e-05i,0.0005879-0.00090846i
-0.001354+3.5106e-05i,-0.0011389+0.0014168i,-0.00075543+0.0027895i,0.00031553+0.0023272i,0.0012412+0.00099988i,0.00080367+0.00024928i,-0.00016158+0.00041182i,-0.00061263+0.0010017i,-0.00051448+0.00094062i,-0.0014645+0.00064074i,-0.0023831+0.0011156i,-0.0023653+0.0015525i,-0.0023517+0.0016584i,-0.0018594+0.0021948i,-0.0013008+0.0026276i,-0.00079578+0.0019109i,0.00034063+0.0013402i,0.0011086+0.0016092i,0.00061684+0.0014023i,0.00043393+0.00069661i,0.00029834-0.00019584i,-0.00066213-0.00065997i,-0.0013784-0.00063441i
0.00035497+0.001063i,0.00045996-0.00073845i,0.00058189-0.00078383i,0.00051235-3.2377e-05i,0.0016087-0.0010228i,0.0011274-0.0017881i,-0.00075743-0.0010498i,-0.0015069+0.00032805i,-0.0015914+0.0020104i,-0.0015592+0.0033102i,-0.0008657+0.0035383i,-6.9425e-05+0.0024616i,0.00044193+0.0011378i,0.00072008+0.0017483i,0.00075509+0.0022972i,0.0014202+0.0011501i,0.0015985+0.00042253i,0.00098209-0.00043793i,0.0001861-0.00016941i,-5.0681e-05+0.0004747i,5.9595e-05-3.0302e-05i,0.00027738+0.00035326i,0.00030761+0.00064747i
-0.00043+0.0018997i,0.00046807+0.0024669i,0.0010428+0.0030155i,0.0010647+0.0021008i,0.00029427+0.0013897i,-0.0001371+7.594e-06i,-0.00076996-0.00026165i,-0.0014896+0.00068066i,-0.00095472+0.0016204i,0.00086972+0.0032601i,0.0029246+0.0042861i,0.0036452+0.0027829i,0.0025329+0.00085334i,0.0015347+0.00065193i,0.0012897+0.0005709i,0.00074966+0.00012845i,-0.00035635-0.00024189i,-0.00074913-0.00026529i,-6.0979e-05+0.00023516i,0.00019621+0.0008888i,0.00014275+0.00038746i,-1.1239e-06-0.00022096i,-0.00048576+0.00020875i
-0.0011598+0.0006043i,0.00031483+0.0010601i,0.0002699+0.0010253i,-0.00049584+5.9148e-05i,-0.00045563-0.00089813i,-0.00012509-0.00095541i,-0.00062634-0.00028989i,-0.00074773+0.0018583i,0.00063609+0.0031242i,0.0028424+0.0015865i,0.0046241-0.0005564i,0.0043742-0.0019613i,0.0027672-0.0030221i,0.0014875-0.0031465i,0.00041018-0.0031816i,-0.00064925-0.0027269i,-0.0012671-0.0017099i,-0.0010818-0.00042344i,-0.00051656+0.00034137i,0.00022207+0.00020389i,0.00025314-0.00011492i,0.00012028-6.3629e-05i,7.3254e-05+0.00055283i
0.0014924+0.0028592i,0.0014202+0.0031792i,0.0012358+0.0025976i,0.0011979+0.0012095i,0.00094599-0.00033158i,5.08e-05-0.0023203i,-0.0005412-0.0023615i,0.00058197-0.00027233i,0.0024443+0.00013286i,0.0037191-0.0015327i,0.0041403-0.0030892i,0.0032721-0.0037644i,0.0011425-0.0038641i,-0.00032238-0.0039721i,2.4303e-05-0.0034227i,0.00077698-0.0022166i,0.00078047-0.00055528i,-0.00014639+0.00052367i,-6.3133e-05+0.00054743i,0.0003598+3.7027e-05i,0.00069658-0.00011845i,0.0013726-0.00015565i,0.0013719-0.00029646i
-0.00047528-0.00091563i,6.0888e-05-0.00091222i,0.0010816-0.001764i,0.0016084-0.0019218i,0.0014163-0.0016418i,0.0007501-0.0010507i,3.9108e-05+2.1208e-05i,0.00025387+0.00011869i,0.00060557-0.0010949i,-0.00013548-0.0032281i,-0.001044-0.0048774i,-0.00085219-0.0041822i,-0.00061777-0.0028062i,-0.0013725-0.0022033i,-0.0020873-7.3561e-05i,-0.0016461+0.0019007i,4.0825e-05+0.001975i,0.0010734+0.0011309i,0.0004665+0.00040808i,-3.9245e-05+5.4626e-05i,0.00021249+0.00018523i,0.00027234+0.00040372i,0.00026083+0.00044092i
