0.0032256+0.0012346i,0.0023198+0.001326i,0.00059576+0.00060607i,0.00034396-0.00013505i,0.00066609-0.00091989i,-0.0002012-0.0018022i,-0.00084088-0.0017453i,-2.1732e-05-0.001591i,0.0011179-0.0014028i,0.0014321-0.00066773i,0.00080849+0.00045087i,-0.00012042+0.00088288i,0.0001099-5.8562e-05i,0.00076074-0.00045153i,0.0009429-0.00015483i,0.00077199-0.00041696i,0.00027631-0.00060345i,-0.00073586+0.00026944i,-0.0013718+0.0010155i,-0.000973+0.00024756i,-0.00057648-0.00091285i,0.00011615-0.00054304i,0.00041569+0.00010309i
-0.0022668+0.0052898i,0.00025216+0.0065453i,0.0026122+0.0042712i,0.0042077+0.00017528i,0.0024847-0.0019748i,0.0011122-0.0016718i,0.0011961-0.00096848i,0.00066499+5.4383e-05i,0.00014266+0.00047793i,0.00013156+0.00054055i,2.5854e-05+0.00025355i,0.00011655+0.00072271i,0.00062311+0.0008874i,0.00079606+1.6017e-05i,6.1358e-06+0.00059895i,-1.483e-06+0.0012983i,-2.3258e-05+0.0011049i,-0.00036911+0.00053862i,-3.1848e-05-0.00011255i,3.1669e-05-0.00022964i,0.00061676+1.8384e-05i,8.9093e-05+1.3577e-05i,-0.0004133+5.2983e-05i
-0.003951-0.0014852i,-0.0036212+0.0011012i,-0.0013494+0.0028488i,0.00024697+0.0015335i,0.00026208-0.00041566i,3.76e-05-0.00041302i,0.00026636-3.52e-05i,-0.0002075-0.00054686i,-0.00078527-0.00086463i,-0.00045188-0.00011136i,0.00045516+2.6897e-05i,0.0013782-0.00026659i,0.0012207+0.00016274i,0.00053701+0.00066073i,0.00020596+0.00064824i,-0.00047662+0.0003673i,-0.00054383+3.48e-05i,-0.00045303-0.00036819i,-0.00039479+7.0382e-05i,0.00023932+6.7192e-05i,0.00032602-0.00060765i,0.00039821-5.8237e-05i,0.00047077+0.00058364i
0.0034726+0.0035714i,0.0025414+0.0022395i,0.0027439+0.0019285i,0.0026056+0.0010459i,0.0013068+0.00056257i,-0.0010587-0.00014281i,-0.0019882-0.0010213i,-0.0012128+0.00048528i,-0.00030755+0.0016002i,0.00095324+0.00070521i,0.0010571-0.00068783i,0.00036696-0.0013051i,-8.0247e-06-0.00099044i,-0.00012723-0.00075613i,-3.4355e-05-0.00043728i,2.5384e-05-0.00010288i,-4.7208e-05-0.0003714i,0.00038816-0.00072606i,0.00063885-0.00026029i,0.00055083+0.00046697i,0.00023351+0.00066072i,-0.0004193+0.0010821i,-0.00053558+0.00081069i
-0.00091213+0.0021939i,0.0011302+0.0026199i,0.0019577-0.00095681i,0.00036473-0.003584i,-0.0013301-0.003448i,-0.00083836-0.0020494i,0.0004052-0.00031932i,0.00051075+0.0014328i,0.00011934+0.0018347i,-0.00038808+0.0012722i,-0.00091712+0.00095828i,-0.00096507+0.00068417i,-0.00090816+0.00085875i,-0.00097673+0.0002974i,-0.0010128-0.00066633i,-0.00016395-0.00099016i,0.00085475-0.00053984i,0.00037638-8.2598e-05i,-0.00021223-0.00015505i,-0.00026743+5.7903e-05i,-0.0010561+3.1065e-05i,-0.0007053-0.00046475i,0.00029592-0.00019034i
-0.002582-0.0039585i,-0.0028202-0.00076275i,-0.00093316+0.0014803i,0.00045925-0.00070191i,0.00059177-0.0027925i,0.00013788-0.0015812i,-0.00016473+0.00065532i,-0.00019969+0.0012415i,-0.00033495+0.00022564i,-0.00073787-0.00054139i,-0.00052158+0.00018798i,-0.00017725+0.00064095i,-9.3725e-05+0.00047685i,-0.00035828+0.0017045i,-0.00022163+0.0014989i,0.00011413+0.00079245i,0.00019834+0.0011269i,0.00016061+0.00027681i,0.00022886-0.00071163i,-0.00022549-0.001006i,-0.00040184-0.0010513i,0.00028517-0.0003567i,0.00026683+0.00050737i
0.0040311+0.0034031i,0.0029309+0.0016529i,0.0022039-8.2101e-05i,0.0023973-0.0017759i,0.0019127-0.0016681i,-0.00052052-0.00081071i,-0.0019387-0.00018877i,-0.0012546+0.00020059i,0.00012417-0.00022733i,0.00078916-0.00078913i,0.00041719-0.00045114i,0.00011914+0.00012143i,0.00054814-0.00066786i,0.00047591-0.000581i,0.00033816+6.7042e-05i,0.00049143+0.00017774i,0.00023352+0.00087208i,4.4242e-05+0.0012536i,0.00016941+0.00051739i,-5.0832e-05-0.0006774i,-0.00016695-0.00074589i,0.00027135-4.3158e-05i,0.00074176-0.00017114i
-0.0065253+0.0011664i,-0.0044257+0.0020186i,-0.0023069+0.0025059i,-0.00075655+0.0020327i,0.0004772+0.0012114i,0.00044842-2.5628e-05i,7.495e-06-0.00020974i,5.4131e-05+0.0010908i,-0.0002805+0.0013338i,-0.00077511+0.001057i,-0.001432+0.0010408i,-0.00093464+0.00092934i,-0.00099954+0.00045513i,-0.0013443+0.00031884i,-0.0011947+0.00084323i,-0.0012154-0.00013491i,-0.0004161-0.00074893i,6.7354e-05-0.0001459i,-0.00055303+8.785e-05i,4.8226e-06+0.00029957i,0.0009476+6.3228e-05i,0.0003253+1.0551e-05i,-0.00031982+0.00069222i
0.00033655-0.0021475i,-0.00036363-0.00018716i,0.00068711+0.0013086i,0.0015708+0.0018575i,0.0013042+0.00064681i,0.00030215+0.00015031i,-0.00041702-0.00056232i,0.00020488-0.00092223i,0.0002867-0.00056619i,-0.00037401-0.00084596i,0.00014232-0.0010881i,0.00082378-0.00063116i,0.00022775-6.3752e-05i,-5.0744e-05-0.00025899i,0.00011726-0.0004342i,-8.7029e-05-0.00054483i,-0.00022452-0.00053482i,-0.00015422+3.4158e-05i,-0.00066232+0.00017714i,-0.00065751+8.4785e-05i,5.4669e-05+0.0003201i,4.0102e-05+0.00073922i,-0.0002431+0.00079419i
0.0015492+0.0080295i,0.0025596+0.0064543i,0.0029765+0.0029845i,0.0026075+0.0011216i,0.0013761+0.00014955i,0.00078386-0.00047581i,0.00078923-0.0011425i,0.0011459-0.0014926i,0.0018673-0.00033147i,0.0019688+0.00060018i,0.0017694-0.00013388i,0.0015928-0.001272i,0.0011521-0.0012057i,0.0014426-0.00091131i,0.0020555-0.00073284i,0.0022109-0.00050094i,0.001096-0.00057921i,0.00044592-0.00053081i,0.00053602-0.00011149i,4.5737e-05+0.00054254i,-0.00044296+0.00099669i,-5.1118e-05+0.00090562i,-0.00047887+0.00070334i
