-0.0036841-0.00086017i,-0.0032187-0.0020211i,-0.0033824-0.0015898i,-0.0030874+0.00052669i,-0.0021587+0.0020746i,-0.0016459+0.0017797i,-0.00067847+0.00066426i,8.6687e-05+0.00019284i,-0.00040489-0.00044513i,-0.0001669-0.0011901i,0.00042311-0.00076395i,0.0012105-0.00028919i,0.0010112+0.00010883i,0.0001651+0.0010149i,-0.00039988+0.0012188i,-0.00071212+0.00075696i,1.6808e-05+0.00081226i,9.6632e-05+0.00068716i,-0.00016708+0.00074547i,0.00029022+0.00059104i,-0.00019603+0.0001713i,-0.00049484-0.00032777i,-0.00050029-0.00088123i
-0.0026787-0.0026949i,-0.0031498-0.0011498i,-0.0028323+0.00076774i,-0.0020868+0.0014686i,-0.0013528+0.0014117i,-0.00081149+0.0010221i,-0.00040337+0.00015069i,0.00066073-0.00019591i,0.0011232-0.00026287i,4.7297e-05-0.00074396i,-0.00014314-0.00088685i,-0.00024016+5.229e-06i,-0.00082367+0.00010935i,-0.00073404-0.000343i,-0.00065037+0.00013209i,-0.00055633+0.00028097i,2.0804e-05-0.00037559i,-0.00017376-0.00069843i,-0.00041498-0.00069434i,0.00042189-0.0011164i,0.001013-0.00099804i,0.00033268-0.0005409i,-0.00067611-0.00099406i
-0.00099188-0.0025425i,-0.00050204-0.0037477i,0.00015178-0.0026317i,-0.00012454-0.00086377i,-8.3253e-05+0.0012252i,0.00075794+0.0020729i,0.00014566+0.0013917i,-0.00054958+0.000507i,-0.0010339+0.00024706i,-0.0010799+7.1209e-05i,-0.00048403-0.0002152i,-0.00015957-2.496e-05i,-0.0001382-0.00040323i,-0.00015048-0.00039687i,4.0556e-05-0.00043556i,9.8807e-05-0.00040828i,-0.00044752+0.00017348i,-0.0012981+0.0005029i,-0.0010671+0.00061771i,-0.00017479+0.00054797i,0.0004739+0.00051075i,-0.00025471+0.00034768i,-0.0011153+8.3519e-05i
0.0018478+0.003161i,0.0016186+0.0025095i,0.0022224+0.00036561i,0.003092-0.0019841i,0.0027343-0.0027482i,0.00089479-0.0027067i,-0.0013332-0.001341i,-0.0026294+0.0010728i,-0.0018353+0.0019462i,-0.00018859+0.00084337i,-0.00085049+0.00028701i,-0.00204+0.00051415i,-0.0018035+0.00051409i,-0.0014992+3.454e-05i,-0.00096447-0.0002805i,-0.00038888-0.00019486i,-0.0004993-0.00054044i,-0.00020845-0.00032941i,0.00050419+0.00056341i,0.00067621+0.00039981i,0.00047536-9.6128e-05i,0.00021488-9.6278e-05i,0.00014543-0.00012606i
0.00038787-0.0026965i,-0.0008105-0.0023977i,-0.0016096-0.0023546i,-0.00046882-0.0022277i,0.00076637-0.001024i,0.00097525+0.00020722i,0.0012979+0.00019767i,0.001225+0.0010837i,0.00014868+0.0023135i,-0.00064611+0.0017875i,-0.00026174+0.00058571i,0.00011774+0.00035655i,0.00027151+0.00057924i,0.00057912+0.00094317i,0.00021406+0.00095722i,-0.00050028+0.00069717i,-0.00051914+0.00045298i,9.5783e-05+0.00035105i,0.001062+0.00067348i,0.00109+0.000987i,0.00057542+0.00047984i,0.00030472+0.00012509i,0.00012107+0.00018389i
0.0041095+0.0017901i,0.00515+0.0020999i,0.003816+0.0012425i,0.0025217-0.00084111i,0.0013283-0.0027133i,-0.00067534-0.0025731i,-0.0011729-0.00085684i,-0.00018794+0.00075438i,0.00099231+0.00074308i,0.0019759+0.00025539i,0.0019972+0.00024441i,0.0010215+0.00030966i,-1.3675e-05-0.00014464i,-6.8609e-05-0.00042421i,-0.00036168-0.00077514i,-0.001044-0.0011861i,-0.000745-0.00091329i,-0.00039484-0.00089528i,-0.00060854-0.000564i,-0.00027293+0.00074298i,0.00054+0.00051255i,0.0010021-0.00027197i,0.00067687-0.00032119i
-0.0030985-0.0017973i,-0.0033557-0.002003i,-0.0033379-0.0017912i,-0.0024769-0.00057789i,-0.0014007+0.00072268i,-0.00033283+0.0018335i,-7.3411e-05+0.0015649i,5.2315e-05+0.0001332i,6.1774e-05-0.0012857i,-7.7094e-05-0.0018088i,6.8931e-05-0.00096501i,3.7117e-05-0.00047417i,0.00031864+8.8305e-05i,-0.00021016+0.00056241i,-0.00052235+0.00056631i,0.00042821+0.00066629i,0.00039069+0.0005154i,-0.00013727+0.00018088i,-0.00013614+0.00034031i,0.00071476+0.00086588i,0.00040538+0.00057071i,-0.00010377+0.00021115i,0.0011241+0.00013663i
-0.0016971+0.0011799i,-0.00089045+0.00064308i,0.00094634-0.0001529i,0.0023267-0.00063539i,0.0026931+0.00012199i,0.0014146+0.00016407i,-8.8622e-05-5.5251e-05i,-0.0014104+0.00025066i,-0.002027+0.00032978i,-0.0019489+0.00010746i,-0.0011391-0.00064615i,-0.00062769-0.00081574i,-0.00076163-0.00051207i,-0.00101+4.2823e-05i,-0.00056293+0.00045386i,0.00021186+0.00038666i,0.00020605+0.00063917i,-0.00046109+0.0011744i,-0.0010884+0.00033686i,-0.00066526-0.00092268i,-0.00039694-0.00086541i,-0.0010659-0.00034531i,-0.00048875+0.00044749i
0.0017047+0.0031301i,-0.0002216+0.0025975i,0.00010453-6.8812e-06i,0.000552-0.0018076i,0.0006955-0.001994i,0.00020263-0.00076378i,-0.00011478+0.00018846i,0.00065753+0.00069522i,0.00067334+0.00069591i,-0.00053023+0.00063193i,-0.0015373+0.00050745i,-0.0018282+0.00050545i,-0.0010429+0.00077338i,3.8418e-05+9.9857e-05i,0.0003836+3.005e-05i,0.00063359-8.1621e-05i,0.00032477-0.00054319i,0.00032768-0.00020757i,0.00051876-0.00035307i,-1.2589e-05-0.00055643i,8.3705e-07-0.00031707i,0.00041314-0.00018212i,0.00033613-0.00033579i
0.0010497-0.0014637i,0.00039889-0.00033667i,-0.00049971+0.00073256i,-7.0092e-05+0.0006653i,0.00055367-0.0003066i,0.00018588-0.001296i,-5.7999e-05-0.0013211i,0.00015692-0.00087578i,0.00047684+0.00094234i,0.0005847+0.0027418i,0.00064219+0.0027763i,0.00043779+0.0018284i,-0.00016472+0.00052363i,-0.00010321-0.00054636i,-0.00011054-0.00051636i,-8.2638e-05-0.0003488i,6.4602e-05-0.00080968i,-0.00018056-0.0011143i,-0.00080031-0.00044266i,-0.00083457+0.00037006i,0.00014743+0.00053292i,1.116e-05-1.9309e-05i,-0.00084649-0.00096331i
0.0024715-0.0012497i,0.0033808-0.0018225i,0.0033674-0.0019824i,0.0018048-0.0011649i,0.00041144-0.0010209i,-3.0868e-05-0.001037i,-0.00036195+0.00036463i,1.813e-05+0.001119i,0.000748+0.00025143i,0.0015486-0.00091089i,0.0011548-0.0012775i,0.00027063-0.00089702i,0.00059538-0.00086766i,0.00041321-7.7058e-05i,-0.00021603+0.0006522i,-0.00075344+0.0004546i,-0.00082669-0.00015827i,-0.0005847-0.00070512i,-0.00045242-0.0001931i,-0.00045788+0.00037236i,-0.00025374+0.00031082i,-0.00024133-0.00039105i,-0.00017778-0.00029647i
-0.0019272-0.0030192i,-0.0022693-0.0029515i,-0.0011154-0.002686i,-0.00094883-0.0015588i,-0.001111-0.00048291i,-0.00063202+0.00061193i,-0.00022325+0.0013953i,0.00019143+0.00026632i,-0.00023616-0.0010103i,-0.00072198-0.0013965i,0.00015313-0.0011426i,-0.00041834-0.00054911i,-0.001604-0.00050771i,-0.00075339-0.00058196i,-0.00026952-0.00083369i,-0.00051911-0.00047489i,-0.00089431+0.00048549i,-0.0011114+0.00051126i,-0.00043027+0.00092884i,-0.00059908+0.00082276i,-0.00065476+0.00035009i,0.00026261+0.00032504i,0.00040241-2.6929e-05i
-0.0017245+0.0017182i,-0.0018547+0.0016676i,-0.0011517+0.0015703i,3.9482e-05+0.0017877i,0.001361+0.0015929i,0.0017749+0.0011562i,0.0010403+0.00026473i,-0.00074346-0.00022086i,-0.0020846+1.2576e-05i,-0.0022956+0.00032563i,-0.0021101+0.00028392i,-0.0022393+5.5878e-05i,-0.0020951-7.1424e-05i,-0.0013422-0.00033933i,-0.00051342-0.00061391i,-0.00042266+8.8315e-05i,-0.00055382+0.00041274i,7.6908e-05+0.00084042i,0.00028506+0.001128i,0.00016341+0.00069349i,-0.00018618+0.00012034i,-0.0003694-0.00097635i,6.1245e-06-0.00097129i
0.0028972+0.0036184i,0.0014723+0.0030861i,0.001935+0.0011825i,0.0032876-0.00017421i,0.0026677-0.0010353i,0.00086907-0.0017404i,-6.5647e-05-0.0007254i,-0.00015401+0.001383i,0.00017256+0.0025071i,-0.00044682+0.0023139i,-0.00064649+0.0021496i,-0.00069967+0.0025217i,-0.001205+0.0024808i,-0.0006265+0.0017828i,0.00023188+0.0010913i,1.554e-05+0.00018961i,-0.00041497-0.00010441i,-0.00022902+0.0001219i,-0.00010681+7.1518e-05i,0.00028975+3.2786e-06i,0.00050029-0.00013409i,-0.00026919+0.00023459i,-0.00038051+0.00025161i
0.0028791+0.0011965i,0.0022316+0.00091102i,0.0011141-0.00083172i,0.0007931-0.0011435i,0.0010669-0.00091296i,0.00079163-0.0012217i,0.00016829-0.00039349i,0.00033128+0.00046502i,0.00068978+0.00089056i,0.00070752+0.00074688i,0.0010258+0.00049314i,0.00072302+0.00038282i,0.00023466+0.00036293i,5.4364e-05+0.00025768i,-0.00021995+0.00039286i,-0.00079778+0.00025593i,-0.00067903-4.7238e-05i,-0.00030093+0.00025622i,0.00067958+8.707e-05i,0.0010532-0.00014818i,0.00071238+5.6422e-05i,0.0012217+0.00010391i,0.00079048+0.00077408i
-0.0016486-0.0022991i,0.00089537-0.0028379i,0.0011989-0.0014694i,0.00047609+0.00030116i,-0.00010802+0.00047947i,-0.00040169-0.00045024i,-0.00066196+6.1072e-06i,-0.00011711+0.00030428i,0.0010075-0.00047174i,0.0021021-0.0005925i,0.0021443-0.00034755i,0.0011325-0.00057331i,0.0014718-0.00071339i,0.0014175-0.00067593i,7.7019e-05-0.00028911i,-0.00058092+0.00033469i,-0.00062253+0.00045875i,-0.0005656+0.00052483i,-0.00073151+0.00038823i,-0.00022476-9.2726e-05i,0.00046554-0.00053556i,1.7858e-05-9.7111e-06i,-0.000458-0.0006074i
-0.002385+0.00055266i,-0.0012309-0.00089029i,-0.00010862-0.0007316i,0.00034188+0.00042281i,0.00020161+0.00098231i,0.00010096+0.00080027i,-0.00027896+0.00089232i,-0.00042192+0.00046966i,-0.0007697-0.00082011i,-0.0011986-0.0014544i,-0.00066346-0.00066869i,1.3122e-05-0.0005241i,5.392e-05-0.00090911i,-0.00052127-0.00014847i,-0.0011502+0.00098936i,-0.00068749+0.00074811i,-0.00021615+0.00022421i,-4.3694e-05-8.0171e-05i,0.000746-0.00013778i,0.00068649-4.882e-05i,-0.00046995+0.00017844i,-0.0017239+0.0010237i,-0.001699+0.00071823i
-0.0033687+0.0045509i,-0.0030128+0.0035253i,-0.0012821+0.002562i,0.00082067+0.002291i,0.0021632+0.0014678i,0.0021559-0.00013162i,0.00044905-0.000547i,-0.00094469+0.0006022i,-0.00076384+0.0011791i,-0.00035269+0.0009883i,-0.00027822+0.00069317i,-0.00062199+0.00032382i,-0.0018376+0.0001542i,-0.0025412+0.00093473i,-0.0023858+0.0011084i,-0.002014+0.00020419i,-0.00095835-0.00021065i,6.3999e-05+0.00049542i,0.00048738+0.00060408i,0.00024335-4.5531e-05i,-0.0001828+7.5626e-05i,-0.00019683+8.867e-05i,0.00036988+0.00055237i
0.0045448-5.3915e-05i,0.0041965+0.00050778i,0.0031245+0.00052593i,0.0021678+0.00040407i,0.001643-0.0002761i,0.0016625-0.00037064i,0.0012492+0.000391i,0.00028271+0.00153i,-0.0003998+0.001952i,-0.00060033+0.0024582i,-0.00049433+0.0023729i,-0.00046601+0.0013731i,-0.00023699+0.00076483i,0.00018827+0.00033967i,-0.00028919+0.00063814i,-0.00020776+0.0013356i,0.0005037+0.00070797i,0.00059841-0.00025992i,0.00056779+0.00021314i,-0.00030303+0.00051644i,-0.00070559+0.00068354i,-0.00039503+0.00040926i,0.00055183+0.00044783i
0.0029712-0.0020042i,0.0026345-0.00046676i,0.0016758+0.00018605i,0.0011443-0.00061197i,-0.00022237-0.0017689i,-0.00093584-0.0017985i,-0.0011877-0.0011769i,-0.00091511-0.00067538i,-0.00013757-0.00035264i,0.0010621-0.00011228i,0.00090305+0.00063959i,0.00049573+0.0012761i,0.00066672+0.00082924i,0.00050602-0.00046531i,0.00078851-0.00025583i,0.0008311+4.1798e-05i,0.00035885-0.00067455i,1.3082e-05-0.001121i,8.4827e-05-0.00085025i,0.00098204-0.0003906i,0.0010318-0.00022786i,-0.0003478-0.00044103i,-0.00066548-0.00022804i
-0.0036142-0.0066319i,-0.0028126-0.0070225i,-0.0019008-0.0038512i,-0.0020963-0.0013171i,-0.0023361-0.00051086i,-0.0016919-0.00057994i,-0.00048005-0.00043843i,0.0012087-0.00044239i,0.0021791-0.00042827i,0.0016047-0.00031166i,0.00068456-0.00033496i,0.00033393-0.00012113i,-0.00017611-0.00023279i,-0.0006834-0.00063341i,-0.0010721+0.00022085i,-0.0014194+0.0010309i,-0.0016382+0.00094348i,-0.0015336+0.00042319i,-0.00079962+0.00026648i,-0.00012395+0.00054024i,-3.8434e-06+0.00031525i,3.1781e-05+0.00014371i,0.00019467-0.0003544i
-0.002304+0.0024345i,-0.0018309+0.0011615i,-0.00052007-0.00014463i,0.00058425-0.00073118i,0.0012006+9.4854e-05i,0.00073111+0.0005916i,0.00027207+0.00091541i,7.0709e-05+0.00075308i,-0.00016054-0.00059335i,-0.00029952-0.001197i,-0.00064417-0.0012772i,-0.0014025-0.0009262i,-0.001642-0.00023668i,-0.0010452+1.374e-05i,-0.0010746+8.0518e-05i,-0.00098037+0.00011503i,-0.0001009-0.00015776i,-0.00038629+2.332e-05i,-0.0013287-0.00053905i,-0.0010682-0.00086537i,6.8835e-06+9.0509e-06i,0.00038639+0.00051216i,0.00053262+0.00037122i
0.00030557+0.003106i,-0.0032957+0.00331i,-0.0028073+0.0022976i,-0.0010386+0.0015636i,-0.00040718+0.0010116i,-0.00017621+0.00029221i,5.4162e-05+0.00042569i,-0.00018512+0.0010496i,-0.00098316+0.0011534i,-0.0019269+0.0010674i,-0.0020414+0.0017186i,-0.0019757+0.0022032i,-0.0017462+0.001169i,-0.0009419+0.00021518i,-0.00048721+0.000128i,-0.00071593+0.0001465i,-0.00059636-4.2644e-05i,4.7334e-05+6.5929e-05i,7.3049e-05+0.00031676i,-0.00051544-0.0003928i,-0.00023038-0.0005156i,0.0005758+0.00016154i,0.0012353+0.00028876i
0.005733-0.0021i,0.0054009-0.0010319i,0.003536-0.00050957i,0.0022085+0.00043568i,0.0015809+0.0012432i,0.0016206+0.0012761i,0.0010823+0.00038035i,-0.00015452+4.7001e-06i,7.9726e-06+0.00041198i,0.00059505+0.0011852i,0.00055884+0.0018962i,0.00041265+0.002282i,-0.00031611+0.0020487i,-0.00027085+0.00080426i,0.00050946-0.00011388i,0.0004365-0.00032577i,0.00038701-0.00027486i,0.00027953-0.00039469i,0.00012617-0.00042921i,0.0002537-0.00024847i,0.00041791-0.00013495i,0.00085366-0.00028871i,0.00088169-0.00061171i
0.00030787-0.00013167i,0.0020833+0.00031273i,0.0023323+0.0010601i,0.0022319-9.0468e-05i,0.0020786-0.0020513i,0.00038393-0.0022766i,-0.0012142-0.00038493i,-0.00086854+0.00084901i,0.00064109+0.0012098i,0.0017443+0.00036468i,0.0016206-0.00019377i,0.00025737-0.00010821i,9.1809e-06-0.00015005i,0.0005134+0.0006348i,0.00089828+0.00074821i,0.0008739+0.00055968i,0.00045813+0.00023463i,5.8069e-05+0.00044881i,-0.00030697+0.0006465i,-0.00068127+0.00040057i,3.5856e-06+2.329e-05i,0.0012343-0.00016297i,0.0014932+6.3484e-06i
-0.0044737-0.0047568i,-0.0039449-0.0077977i,-0.0016878-0.0076473i,-0.0006118-0.0051307i,-0.00097784-0.00221i,-0.0011063-0.00055581i,0.00013058+0.00027698i,0.00099444+0.00058388i,0.00082859-0.00039047i,0.00068518-0.0016083i,0.00029454-0.0011471i,-0.00047329-5.7703e-05i,-0.00087577+0.00040736i,-0.00090596+0.00038607i,-0.0010832+0.00051937i,-0.00096002+0.00054181i,-0.00099607+0.0011083i,-0.00085086+0.00078629i,-0.00091979-0.00012412i,-0.0010821-0.00065495i,-0.0010337-0.00043884i,-0.0011471-0.00030562i,-0.00019236-0.00042286i
-0.0033682+0.0067749i,-0.0032016+0.0046832i,-7.7378e-05+0.0023497i,0.0013458+0.00065184i,0.0012171-6.6972e-05i,0.00068626+0.00010371i,0.00025749+0.00036996i,-0.00016486+0.00070882i,-0.00068644+0.00058727i,-0.0012877+0.0005593i,-0.0020636+0.00039276i,-0.001374-0.0003778i,-0.00068272-0.00011643i,-0.00089654+0.00033906i,-0.00069888+7.6518e-05i,1.0069e-05+0.00057165i,9.8663e-05+0.00066417i,-0.0013279+0.00040329i,-0.0018338+0.0004794i,-0.00048422+0.00062232i,0.00018752+0.00085895i,0.00020922+0.00074618i,0.00075255+0.00034851i
0.0050862+0.0044522i,0.003218+0.0042759i,0.0018874+0.0017914i,0.0012053-0.00052808i,0.00037493-0.0011602i,-0.00018939-0.00057948i,-0.00024476-4.563e-05i,-0.00046647+0.00056726i,-0.00094336+0.00098213i,-2.0362e-05+0.0013218i,-0.00059611+0.0019922i,-0.0018346+0.0019268i,-0.001666+0.0015681i,-0.00064116+0.0011818i,0.00044197+0.0015635i,0.00042626+0.0013232i,0.00011074+0.00089838i,0.00020416+0.00059437i,-0.00029271+8.9818e-05i,-0.00044413+4.3654e-05i,-0.00014416-0.00010081i,0.00062563-0.00064388i,0.00097379-0.00086412i
0.006842-0.0044469i,0.0064102-0.0035786i,0.003821-0.0029142i,0.0015761-0.0022896i,0.00059981-0.0017954i,-0.00012899-0.0010441i,-0.0010618+0.000315i,-0.00092562+0.0009033i,0.00015968+0.0010692i,0.00041316+0.0015189i,0.00014346+0.0012957i,0.00028198+0.00019679i,0.00015603-0.00052331i,0.00022613-0.00039834i,0.00088539-8.2623e-05i,0.0014117+1.1771e-05i,0.0009335-4.4763e-05i,6.1557e-06+0.00023184i,0.00014506-0.00017977i,0.00046769-0.00047574i,0.00019473+5.6215e-05i,-9.0265e-05-7.3435e-05i,2.7065e-05-8.9674e-05i
-0.00027383-0.0065928i,0.002449-0.0062559i,0.0025322-0.0040221i,0.0009391-0.0021029i,0.00020586-0.0016262i,-0.00028962-0.0010673i,0.00029167+0.00026527i,0.0012806+0.00088333i,0.0015191+0.00077782i,0.0013166-0.00037244i,0.00048007-0.00066162i,-0.00019029+0.00014586i,-8.4607e-05+0.00046524i,0.00049599+0.00050348i,0.0010835+0.00038599i,0.00094769-0.00018768i,-0.00016123-0.00058687i,-0.0015009-0.00026262i,-0.0014733-0.0004722i,-0.00062205-0.00095943i,0.00053751-0.0010857i,0.0013492-0.00069759i,0.0010731+0.000642i
-0.0086436-0.00058269i,-0.0080791-0.00059313i,-0.0048763+0.00019527i,-0.0026387+0.00063221i,-0.0019047+0.00065327i,-0.0012814+0.0010181i,0.00028387+0.00076117i,0.0009986+0.00038301i,-0.00017111+0.00011198i,-0.0011347-0.00022199i,-0.0010872-0.00041798i,-0.00068106-0.0004945i,-0.00063455+8.1811e-05i,-0.00041991+0.00032157i,0.00029945+0.00023982i,0.00047803+0.00036436i,0.00056854+0.00022607i,0.00027263-0.00028122i,-0.00021582-0.0006505i,-0.00063904-0.0005699i,-0.0010329-0.00036692i,-0.00034017+0.00051771i,8.8989e-05+0.00069414i
4.1271e-05+0.0060519i,-0.0014624+0.0044767i,-0.0020359+0.0026379i,-0.0015851+0.0016881i,-0.0011096+0.0017658i,-0.00049009+0.0019513i,6.9901e-05+0.00056889i,0.00055194-0.00028774i,-0.00015087+0.0006974i,-0.0014773+0.0013419i,-0.0020947+0.00029742i,-0.0012794-0.00022414i,-0.00031214+0.00041511i,0.00012594+0.00043223i,0.00028696+4.194e-07i,0.00035892+0.00021278i,-0.00015032+0.00050124i,-0.00075799+0.00018508i,-0.00085861-8.9744e-05i,-0.00029634-0.00011626i,-0.00018087+0.00097147i,-0.00035638+0.0013075i,7.1555e-06+0.00068194i
0.010666+0.0034296i,0.0086543+0.0039371i,0.0047575+0.0014146i,0.0027404-0.00031255i,0.0019401-0.0008308i,0.0011981-1.2871e-05i,0.0007119+0.0011608i,0.00032277+0.0012081i,-0.00028746+0.00092039i,-0.00012966+0.0012476i,-0.00049803+0.0022422i,-0.00047734+0.0019209i,-0.00023687+0.0010691i,-0.00027195+0.00085215i,0.00032786+8.9595e-05i,0.00027244+0.00051426i,0.00013504+0.00085554i,0.00030947+0.00080202i,-8.2149e-06+0.00092022i,-0.00044958+0.0002161i,-4.8188e-05-0.00015295i,0.00040005+2.0312e-05i,-0.00020194-0.00015624i
0.0026628-0.007456i,0.0036444-0.005971i,0.0015428-0.0033965i,0.00062338-0.0021121i,0.00081811-0.0020328i,0.00049738-0.0021747i,-0.00048193-0.0014823i,-0.0010071+0.00045501i,0.00021176+0.0018255i,0.0013337+0.0015906i,0.0007174+0.00091001i,-6.2979e-05+0.00062598i,0.00063371+0.00064178i,0.0002068+0.00069811i,-0.00052493+0.00067001i,-0.00043973-0.00015209i,-0.00052245-0.0010102i,-0.00057529-0.0007023i,-0.00018246+0.00027051i,7.7223e-05+0.00071843i,0.00054963+0.00075057i,0.00040092+0.00045649i,-0.00050439+0.00017794i
-0.0057928-0.0061107i,-0.0022508-0.0062993i,-0.0013905-0.0038784i,-0.0012842-0.0018379i,-0.00049563-0.0003531i,-8.2267e-05+0.00048045i,0.00053471+0.00047072i,0.00011685+0.00025482i,-0.00028223+0.00010548i,5.4945e-05-3.9906e-06i,0.00075079+9.396e-05i,0.00082997-0.00045255i,0.0013757-0.00051027i,0.0018657-0.00011723i,0.00068432-0.00018941i,-7.9876e-05-0.00039934i,-0.00021947-0.0007149i,-0.00062328+0.00016961i,-0.00095722+0.00044172i,-0.00049898-0.00042154i,-0.00034714-0.00054873i,-0.00044864-0.00059327i,-0.00012635+0.00013075i
-0.011443+0.0075113i,-0.011074+0.0050446i,-0.0054389+0.0037253i,-0.0015593+0.0042135i,-0.00055561+0.0027967i,-0.00035252+0.00071812i,-4.4428e-06-0.00022143i,0.00099353-0.00010194i,0.00090132+7.2706e-05i,-0.0011255-0.00060854i,-0.0018361-0.00079005i,-0.001498-0.00056344i,-0.00052975-0.00038609i,8.8929e-05-0.0002437i,-8.7861e-05-0.0004879i,0.00021594-0.00059372i,0.00032303-0.00027431i,-0.00014408-0.00039329i,-0.0010168-0.00016663i,-0.0017289+0.00094329i,-0.0018881+0.001014i,-0.0011382+0.00067849i,-7.6045e-05+0.0003207i
0.0047033+0.0059426i,0.0017324+0.0047331i,-0.00057392+0.0013218i,-0.00068426+0.00038831i,-0.00059875+0.00059281i,-0.0013151-0.00018407i,-0.00079906-0.00060845i,0.00039675-0.00063276i,0.00036504-0.00050998i,-0.00050727-0.00063306i,-0.0011614-0.00063599i,-0.0011896+9.366e-06i,-0.00087465+0.00047012i,-0.001212+2.3515e-05i,-0.0015772-0.00035506i,-0.00040997-0.00034808i,0.00045437+6.1577e-05i,0.0001129+0.00036955i,0.00047371+0.00023437i,0.00094952-0.00013518i,0.00076822+3.384e-05i,0.00055424-0.00019767i,0.00017041-0.00024156i
0.010748+0.00052436i,0.010969+0.0033313i,0.006446+0.0038029i,0.0036087+0.0020023i,0.0032795+0.00013479i,0.0023962-0.0007759i,0.00016563-0.00092338i,-0.0017591-2.9557e-05i,-0.001541+0.00029426i,-0.00021666+0.00012965i,7.2124e-06+0.00027532i,0.00051163+0.00034996i,0.00088913+0.00072128i,0.00016287+0.001146i,0.00015335+0.00011798i,0.00035045-0.00060967i,-0.00029465-0.00036071i,-0.00045886-0.00047774i,1.4566e-06-0.00042933i,-0.00018784-0.00041705i,-0.00087496-0.00025002i,-0.00061511-0.00015888i,0.00029515-0.0006679i
-0.00037516-0.012071i,0.0023627-0.010866i,0.0025619-0.0069503i,0.0014953-0.0038803i,0.00037215-0.0021819i,-0.001424-0.0012089i,-0.0027249+0.00029118i,-0.0021761+0.0014749i,-0.0015273+0.0017142i,-0.00080966+0.0013476i,0.00025467+0.0016423i,0.00033974+0.0021237i,-5.909e-05+0.001191i,-0.00011097+0.0010532i,0.00025462+0.0012566i,0.00023569+0.0008325i,-0.00044872+0.00042618i,-0.0010406-9.1618e-06i,-0.0014117-0.0010538i,-0.00053296-0.0014824i,0.00022823-0.00072962i,0.00012741-0.00048112i,0.00031926-0.00093097i
-0.00911-0.0054022i,-0.0068342-0.0071612i,-0.0025041-0.0054405i,-0.0010303-0.0029614i,-0.0018415-0.0013118i,-0.0018378-3.9789e-05i,-0.00032267+0.00075805i,0.00043576+0.0013109i,0.00041078+0.0014889i,-4.7365e-05+0.00088076i,-7.1578e-05+0.0003696i,6.2317e-05+0.00020266i,8.1288e-06+0.00026373i,0.0010311+0.00070557i,0.0012494+0.00039853i,0.00033714-0.00033945i,-0.00032881-0.00012624i,-0.00059076+0.0013914i,-0.00096297+0.0016796i,-0.0016123+0.0001373i,-0.001714-0.0003015i,-0.0010317+0.00022444i,0.00011605-0.00023709i
-0.0066122+0.011397i,-0.0082206+0.0093972i,-0.0054972+0.004465i,-0.0023388+0.0011389i,-0.0009119+2.1196e-07i,-0.0002088-0.00035061i,0.00047885+0.00036866i,0.00093724+0.0008677i,0.0012289+0.00060783i,0.00020627+0.00038355i,-0.00015941+0.00023057i,0.00030244-4.059e-05i,0.00013413+0.00039669i,-0.00026051-4.6469e-05i,-0.00046953-0.00087483i,-4.7443e-05+3.71e-05i,-1.0723e-05+0.00086286i,-0.00084222+0.00041409i,-0.00018287-0.00014821i,0.00037234-0.00021276i,0.00023888-0.00041639i,3.8297e-05-0.00052043i,-0.00035216+0.00010074i
0.00783+0.0055933i,0.0039419+0.005841i,0.0010619+0.003091i,0.00070915+0.00063509i,0.00067423+7.2523e-05i,0.00075892-0.0003201i,-7.1424e-05+0.00039185i,-0.0014271+0.00036755i,-0.00071763-4.2895e-05i,0.00040894+0.00031902i,-0.00016837-0.00022625i,-0.00075879-0.0002316i,-0.00073631+0.00078363i,-0.00089689+0.00038937i,-0.00041569+0.00027513i,-0.00018069+0.00060027i,-0.00084017+0.00050153i,-0.00029674+0.00074511i,0.00037801+0.00049124i,0.00023813-5.2905e-05i,0.00051975+0.00036149i,0.00046159+0.00029847i,0.00049553-0.00010829i
0.013602-0.0059948i,0.013171-0.0044863i,0.0080377-0.0024272i,0.004568-0.002179i,0.0025014-0.0024268i,9.4083e-05-0.0011763i,-0.0013178-0.00015637i,-0.0015469+0.00039493i,-0.00073487+0.00010338i,-0.00021533-0.00077893i,-0.00096304-0.00029032i,-0.00087698+0.00097527i,-0.00013087+0.0013969i,0.0003556+0.0015322i,5.2319e-05+0.0010716i,-0.00019646+0.00089077i,-0.00037581+0.00075503i,-0.00092161-0.00020099i,-0.00065589-0.0013023i,8.5931e-06-0.0010712i,0.00023078+0.00015199i,0.00031107+0.00094576i,0.00018776+0.00035902i
-0.006026-0.012594i,-0.0033778-0.013207i,-0.0014122-0.0088067i,-0.00098566-0.0043912i,-0.0010869-0.001398i,-0.00071534+0.00071203i,-0.00049178+0.002005i,-0.0003049+0.003129i,-7.758e-05+0.0035906i,-0.00026129+0.0024182i,-0.00014713+0.0015599i,8.1257e-07+0.00073839i,-0.00044134+0.00073346i,-0.00044423+0.0013904i,0.00078488+0.0012385i,0.0012747+0.00045861i,0.00050075-0.00027535i,-0.00022945-0.00012314i,8.2962e-05-0.00021407i,-0.00026251-0.00052252i,-0.00068743-0.00058102i,-8.3295e-05-0.000605i,-4.4555e-05-0.00048208i
