-0.0010254-0.00069259i,-0.0010426-0.00039507i,-0.0016768-0.00021849i,-0.0011809+0.00053469i,-0.00025064+0.0022342i,-0.00032152+0.0019118i,-0.0005945+0.0011992i,0.00042927+0.0012131i,0.001497+0.00071173i,0.0019797-0.00074903i,0.0016332-0.0015778i,0.0013166-0.00043615i,0.00069789+0.00045928i,-5.8655e-05+0.00048904i,-0.00088925+0.00079379i,-0.0016361+0.00068159i,-0.0012347+0.00017642i,-0.00028538-0.0007692i,-0.00048243-0.00073499i,-0.00027737+0.00018696i,0.00010643+0.00078509i,-0.00019749+0.0010622i,-0.00010517+0.00064865i
-0.00085368-0.0021144i,-0.0018711-0.0019231i,-0.0025488-0.0020326i,-0.0022093-0.0012958i,-0.0011897+0.0001124i,-0.00036682+0.0010262i,0.00021378+0.00093525i,0.00059897+0.00011393i,0.0010449-0.00049617i,0.00099331-0.00049842i,0.00054474-0.00053369i,0.00099502-0.0005371i,0.0013893-0.00022085i,0.00043749+0.00015146i,-7.3835e-05+0.0001474i,-5.7898e-05-0.0004574i,-0.00044981-0.00039467i,-0.00031565-0.00038576i,1.0532e-05-0.00051078i,0.00029212+7.7178e-05i,0.00035596+0.00084504i,-0.0001575+0.00053731i,0.00022918-0.0001353i
-0.002118+0.00086961i,-0.0015524+0.00098562i,-0.0018266+0.0021813i,-0.0013924+0.0025547i,-0.00069471+0.0018585i,-1.7582e-05+0.0015439i,0.00065799+0.0014564i,0.0010398+0.00097336i,0.0009292+0.00023518i,0.0013947-0.00056641i,0.0017429-0.0010562i,0.0010087-0.00099481i,0.00055622-0.00070066i,0.0002384-0.00055411i,-0.00063848+0.00040476i,-0.00091021+0.0010746i,-0.00091438+0.00023236i,-0.00056934-0.00012056i,5.9551e-05+0.0001639i,3.0695e-05+0.0003912i,-0.00018334+0.00065468i,0.00017585+0.00051779i,0.00085155+0.00056576i
0.0015133+0.00082194i,0.00040676+0.0017282i,-0.00034051+0.0010896i,0.0012107-0.00037209i,0.0015412-0.00031964i,0.00081091+0.00091958i,0.0015847+0.00072143i,0.0017142-0.00066892i,0.0011105-0.0010696i,0.0011268-0.00079896i,0.0011797-0.00080457i,0.00060411-2.4575e-05i,-0.00014738+0.0002195i,0.00051908-0.00044928i,0.0010078-0.00015627i,0.00012877+0.00072894i,-0.00060197+0.00044478i,-4.9264e-06-0.00011473i,0.00060476-0.00021554i,0.00043843+0.00019498i,0.00059413+0.00013062i,0.00058371+0.00018227i,0.00029951+0.00022342i
-0.00019166+0.0016203i,0.00023845+0.00043656i,0.0010887-0.0017144i,0.00098163-0.0025803i,0.00075424-0.0015241i,0.00051565-0.00014999i,0.00063808+0.00035343i,0.00072959+0.00014194i,0.00069841-0.00010754i,0.0017166-1.7845e-05i,0.0010845+7.9019e-05i,-0.00015593+0.00034113i,-0.00088689+0.00047611i,-0.0015002+0.0005981i,-0.00075108+6.2786e-05i,-0.00036281-0.00025525i,2.528e-05+0.00022965i,0.00094034+2.7335e-06i,-1.2658e-05-0.00076784i,-0.0012856-0.00072474i,-0.0003597-1.4166e-05i,-6.1441e-05+0.00016401i,-0.00090377-0.00027016i
0.00065889-0.0026728i,0.00082707-0.0019904i,0.0008573+0.00065873i,0.00035184+0.002044i,0.00055948+0.0011221i,0.0013028+0.00023942i,0.0017003+0.00037141i,0.0016297-9.2509e-05i,0.0011222-0.00046072i,0.00047274+0.00014596i,-1.6129e-05-0.00062337i,9.7335e-05-0.0015728i,0.00070833-0.00087379i,0.0005416-0.00054486i,3.9976e-05-0.0010221i,-3.7522e-05-0.00086648i,-0.00041561-0.00060402i,-0.0005626-0.00092339i,-0.00055336-0.00082653i,-0.00040584+0.00033602i,-0.00019494+0.0006552i,0.00023088-0.00015721i,0.00052692-0.00019192i
0.0023091+0.0040644i,0.004252+0.0036919i,0.0044709+0.0016041i,0.0028346-0.00031956i,0.0019222-0.00061751i,0.00087381+0.00059052i,-0.00014163+0.0013833i,-2.5672e-05+0.00078957i,0.0012142+5.4949e-05i,0.0017053-0.00094508i,0.0013917-0.00068556i,0.0014302+9.7735e-05i,0.00092106+0.00022394i,0.00037432+6.0263e-05i,0.00010194-0.00026998i,-0.00024473+0.00010439i,1.1757e-06+0.00032213i,0.00038802-0.00051323i,0.00018772-0.0006998i,-7.7501e-05+0.00024581i,-0.00018335+0.00022901i,-0.000531-0.00018201i,-0.00028019-7.5064e-05i
-0.0032457-0.0012106i,-0.0038176-0.0002688i,-0.0027101+0.00023178i,-0.0010641+0.0001353i,-0.00063179-0.0001854i,-0.00096143-0.00063912i,-0.00083695-0.00086137i,-2.2526e-05-0.00090025i,0.0018352+0.00020517i,0.0028874+0.0012387i,0.0016646+0.0012405i,0.00036551+0.00064798i,0.00045585+0.00031958i,0.0006422+0.00056124i,1.851e-05+0.00026202i,-0.00013785+0.00027264i,0.00014476+0.00071341i,0.00022469+0.0002101i,-0.00023915-0.00074987i,-0.00078814-0.0006047i,-0.00082663+1.609e-05i,-0.00038261+0.00057559i,-0.00012095+0.00086823i
-0.00039928-0.00011368i,0.00048464-0.00041963i,0.00091652+0.00058292i,0.0012962+0.0014165i,0.0010509+0.0018321i,0.0016301+0.0016063i,0.0017982+0.0011684i,0.0010082+0.00086689i,0.00075824+0.00093397i,-0.00010899+0.00059733i,-0.0005778-0.00086619i,-0.0011434-0.00204i,-0.00044587-0.0019842i,0.0007201-0.00088888i,0.00029438-0.00043746i,-0.00035633-0.00077417i,3.4265e-05-0.00047084i,-0.00010229-0.00029574i,-0.00035553-0.00044791i,0.00028299-0.0011205i,0.00071754-0.0014774i,0.00058864-0.00077868i,0.00046179-0.00030013i
-0.00060512+0.0028703i,0.0009909+0.0040358i,0.0015723+0.0023865i,0.00085491+0.00047719i,0.00033878-0.0002244i,0.00061513+8.2613e-06i,0.0010898+0.00093377i,0.00079681+0.0018114i,0.0010794+0.0006106i,0.0015784-0.001035i,0.0013361-0.0010101i,0.0012856-0.00077974i,0.0014931-0.0010238i,0.00082229-0.0016313i,-0.00056933-0.001044i,-0.0015214-0.00022073i,-0.0015063-0.00031191i,-0.0011002+4.4564e-05i,-0.00091864+0.00041287i,-0.00021353+0.00098791i,-0.00012048+0.0014464i,0.00040492+0.00084298i,0.00017126-0.00025849i
-0.0026032-0.0010251i,-0.0017601-4.0861e-06i,-0.0006358+0.0010844i,-0.00074669+0.0016288i,-0.00056357+0.0013582i,0.00035864+0.0011955i,0.00058171+0.00052508i,0.00061543-0.00010085i,0.0014008+0.00024821i,0.0020555+0.0011461i,0.0016035+0.001167i,0.00044342+0.00061805i,-0.00029342-9.1416e-06i,-0.00032812-0.00036638i,-0.00074541+0.00015594i,-0.00089438+0.00023594i,-0.0011948-3.7472e-05i,-0.0010114+0.0001707i,-5.3693e-05+0.0006309i,-3.6911e-05+0.00040485i,0.00062991+0.00036795i,0.0010827+0.0013434i,-0.00026144+0.00094058i
0.0038534-0.0033989i,0.0036294-0.0034955i,0.0026504-0.0028204i,0.0018336-0.0017095i,-1.7903e-05-0.00066916i,-0.0010729-0.00020963i,0.0001829+0.00051061i,0.0016157+0.0012064i,0.0013138+0.00086429i,0.00027093+8.5818e-05i,-0.00068227+0.00050381i,-0.00094043+0.00067101i,-0.00044674+0.0003808i,-0.00026839-0.00016907i,-0.00016736-0.00032282i,-0.00012532-0.00056513i,-2.2007e-05-0.00037892i,0.00010514+0.00028542i,-0.00011795+0.00053706i,-0.00088304+0.00084125i,-0.00040095+0.0010861i,7.2696e-05+0.0004782i,-0.00066507+0.00032666i
-0.0019653+0.0025212i,-0.0018211+0.0023662i,-0.0012977+0.0012723i,-0.00086002+0.00076072i,-0.0010259+0.00068887i,-0.00081073+0.0011807i,5.0905e-05+0.0014797i,0.00043682+0.00064858i,0.0005496-0.00078038i,0.00034905-0.0015328i,0.0002829-0.0017139i,0.0011864-0.0016052i,0.0020349-0.0011397i,0.0016564-0.00097806i,0.00021835-0.00092125i,-0.00076327-0.00096088i,-0.00041325-0.000323i,-0.00034501-2.5963e-05i,-0.00025193-6.6671e-05i,0.0003018+0.00046161i,0.00055375+3.7579e-05i,0.00042595-0.00039764i,9.7999e-05-0.0002625i
-0.0024118-0.0013186i,-0.0029293+0.0012994i,-0.0021233+0.0025314i,-0.00058361+0.0022074i,0.00074026+0.0019937i,0.0014486+0.0011382i,0.0016144+0.00015433i,0.00099905-0.00015853i,0.00061268+4.1234e-05i,0.0014112-0.00057181i,0.001892-0.00040673i,0.0016083+0.00054074i,0.0012927-0.00019011i,0.00038448-0.00059574i,-0.00012341-0.00032876i,0.00010791+6.5361e-05i,-9.0735e-05-0.0001743i,-0.00053099-0.00056064i,-0.00056953-0.00043148i,-0.00080916-0.00070112i,-0.00075207-0.00058145i,1.0695e-05+2.1999e-07i,0.00024618+9.8978e-05i
0.0011759-0.0019815i,0.0018771-0.0035891i,0.00076345-0.0036109i,-0.00054328-0.0021677i,-0.00046301-0.00075722i,-0.00031222+0.00067007i,0.00046942+0.00098884i,0.0014313+0.00080575i,0.0017029+0.00011726i,0.0016211-0.00054037i,0.00031898+0.00037345i,-0.00070836+0.0013834i,-0.0004004+0.00069826i,-0.00021528+0.0006563i,-0.00095533+0.00085711i,-0.00082752+0.00056568i,0.00016249+0.00018187i,0.00073959+0.00034777i,0.00070374+0.0010954i,0.00022358+0.0014028i,0.0001075+0.00097676i,0.00034212+0.0005067i,0.00053686+0.00066553i
0.001585-0.00040434i,0.00034147+0.00094303i,-8.3284e-05+0.00032132i,-0.00072159-0.00037494i,-0.0014378-0.00092182i,-0.0011814-0.00069015i,0.00023913+0.00033734i,0.0012153+5.0553e-05i,0.0010284-0.00055497i,0.00066278-0.00039896i,0.00027007-0.00047872i,-0.00015346-0.00089623i,2.0495e-05-0.0009159i,-6.4541e-07-0.00065369i,-0.00018788-0.00042434i,-0.00018044-0.00034427i,0.00028532-0.00054423i,0.00069761-0.00038448i,0.00024786-0.00018436i,0.00027838-8.7349e-05i,0.00073629+0.00028157i,0.00049483+0.00027784i,0.00014487-0.00021735i
0.0027395-0.00096291i,0.0016371-0.0015913i,0.00050109-0.00089339i,-0.00010609-0.0010049i,-0.00101-0.00074259i,-0.0015965+8.0819e-05i,-0.00078836+0.00033965i,-0.00017306+0.00014811i,0.00049202-0.0006059i,0.0015754-0.0010526i,0.0026925-0.0011707i,0.0024909-0.00060322i,0.00093726-0.00028009i,0.0007452+0.00022823i,0.0010151+0.00028342i,-0.00074777-0.00024923i,-0.0018979-0.00057996i,-0.0014932-3.393e-05i,-0.0007929+0.00048977i,-0.00037311+0.00091285i,8.2506e-05+0.0005025i,0.00024702+0.00022303i,-0.00040687+0.00046934i
0.00070182-0.00061515i,-0.00018102-0.00089627i,-0.0012052-0.0015006i,-0.0014038-0.001772i,-0.00015245-0.00046465i,-0.00044969+0.0010387i,-0.00010145+0.0012136i,0.0010257+0.00042197i,0.0018202-9.4796e-06i,0.002122+0.00012896i,0.00122+0.00058026i,0.0007302+0.0011267i,0.00061548+0.0012776i,0.00047954+0.0004671i,0.00092976-0.00037638i,0.0010756-0.00060404i,4.1632e-06-0.00065542i,-0.00099297-0.00062548i,-0.00069245-0.00033847i,-5.2649e-05+0.00036415i,0.00028177+1.4148e-06i,0.00024773-0.00040516i,0.00019449-2.5481e-05i
-0.00039961-0.00076504i,-0.0010217-0.00081255i,-0.0009052+7.389e-05i,-0.00017996+0.0010511i,-0.00020623+0.00084527i,-0.00038939+0.0010127i,-8.5338e-05+0.0013069i,0.00022356+0.0010617i,0.00011859+0.0010851i,-0.0010885+0.00097185i,-0.0014936+0.0006061i,-0.00068344+0.00011277i,-0.00083269-0.00058355i,-0.00045427-0.00061577i,0.00012573-0.00076831i,0.00010008-0.00064626i,-0.00011246-0.00024941i,-0.0005754-0.00029074i,-0.00075257-0.00063249i,-0.00029321-0.0006099i,0.00013628-0.00028387i,0.00092424-4.8572e-05i,0.00049441+7.4469e-06i
0.0032247+0.0010025i,0.0033696-7.3005e-05i,0.0022473-0.0014727i,0.00051647-0.0021839i,-1.4508e-05-0.0011162i,0.00019861+0.00077611i,0.00026857+0.0011842i,0.00042683+0.00072297i,0.00064702-0.00026499i,0.00070455-0.0013444i,0.0012563-0.0007116i,0.0012388+0.00040188i,0.0013552+0.0002178i,0.001732-0.00025325i,0.0012252-0.00038331i,-0.00013457-0.00014448i,-0.00058124-0.00028181i,-0.00037193-0.00080646i,-0.00029312-0.00070396i,-0.00027077+5.6969e-06i,-2.7618e-06+0.00010394i,-2.4784e-05+0.00034676i,-0.0002408+0.0010237i
-0.00080558+0.00047403i,-0.0017399-0.00011029i,0.00016882-0.0005423i,0.0012271+0.00025136i,0.00058752+0.0010786i,-0.00064875+0.0014722i,-0.00049089+0.0012993i,0.0013037-0.00037398i,0.0024092-0.00099822i,0.0024299-6.9836e-05i,0.0016652+0.0010871i,0.00070568+0.0013588i,0.0001739+0.0009013i,0.00071199+0.0010473i,0.0013788+0.0010648i,0.0010997+0.00085424i,0.00088357+0.00052602i,0.0004701-7.8602e-05i,-0.00018219-0.00062145i,-0.00063593-0.00029085i,-0.00058506+0.0004165i,-0.00032314+0.00046465i,-0.00017566-0.00029089i
6.4909e-05+0.00075861i,0.00033776+0.0013246i,0.00010311+0.0011997i,0.00019673+0.00028363i,2.8013e-05+0.00055219i,-0.0006898+0.0015694i,1.8248e-05+0.00078523i,0.0012446-0.00035034i,0.0014877+7.6115e-05i,0.00082636+0.0013748i,-0.00011928+0.001333i,-0.0010518+0.0011148i,-0.0015911+0.00045729i,-0.0013455-0.00016665i,-0.0008165-6.6331e-05i,6.4576e-05-0.00034727i,0.00069743-0.0005164i,0.00073049-0.00023943i,0.00070684-0.00037825i,0.00058206+0.00074519i,0.00078999+0.0016219i,0.00084611+0.00026755i,0.00032398-0.00024118i
0.0022805+0.00098363i,0.0018482-0.00058824i,0.0010785-0.0025832i,-0.0002798-0.003119i,-0.001366-0.002049i,-0.0020614-0.0005173i,-0.001017+0.000428i,0.00063439+6.915e-05i,0.0012909+2.9576e-05i,0.00096403-0.00091076i,0.00039304-0.0017965i,0.00090776-0.00086707i,0.0011557+0.00038678i,0.0010597+0.00017693i,0.00089816-0.00014412i,-9.7007e-06+3.578e-05i,-0.00011411+1.9065e-05i,-0.00020184+0.00010796i,-0.00024323+0.00045462i,-0.00031294-9.7834e-05i,-0.00039867-0.00045139i,9.0298e-05-0.0004532i,1.8477e-05+0.00026068i
-0.0027961-0.00034054i,-0.0022746+0.00016654i,-0.0013392+0.0017026i,-0.0011194+0.0016565i,-0.00037318+0.00068873i,9.7777e-05+0.00052931i,0.00074386+0.00047014i,0.0016326-0.00016895i,0.0022172-0.00044452i,0.0020451-0.00043451i,0.0015544-0.00040967i,0.0012974+0.00015265i,0.00097296+0.00023852i,0.00072542-0.00029901i,-7.012e-05-0.00066026i,-0.00097358-0.00044059i,-0.0008399-7.2564e-05i,-0.00052744+0.00015132i,-0.001041-4.2369e-06i,-0.0010025-0.00054648i,0.00015209-0.00031488i,0.00017548+0.0006182i,0.0001193+0.00056547i
0.00048917-0.0043135i,-0.00032056-0.0031572i,-0.0014747-0.0011412i,-0.0018307-0.00063857i,-0.0019024-0.00024149i,-0.0015393+0.00060556i,0.00041289-8.5672e-05i,0.0019609-0.00051449i,0.0020218+0.00047038i,0.0014096+0.0014069i,0.0004092+0.0014798i,-0.00033219+0.0018359i,-0.00057073+0.0017295i,-0.0010351+0.00055544i,-0.0011499-0.00054145i,-0.00086644-0.00067503i,-0.00073569-0.00086795i,-0.0011885-0.001367i,-0.0013644-0.0011392i,-0.00081657-0.00077411i,0.00014481-8.8189e-05i,0.0011872+0.00039879i,0.0011754+0.00041214i
0.00080212+0.0014674i,0.0012+0.0021236i,-0.0001764+0.0010977i,-0.0016168+0.00062317i,-0.00072414+0.0021032i,0.00043136+0.0022514i,0.00014065+0.0015957i,-0.00028696+0.0016367i,-0.00064899+0.00076008i,-0.00043279-0.00054301i,-0.00030848-0.0013194i,-0.00051723-0.0010561i,-0.00048512-0.00045929i,-7.8103e-05-0.00031177i,0.0011556-0.00075296i,0.0010172-0.0009712i,-0.00014469-0.0012785i,0.00052266-0.0011716i,0.0012207-0.0003262i,0.00062233-5.8812e-06i,0.00077225+0.00050254i,0.0013897+0.00083686i,0.0010915+0.00032381i
-0.0021497+0.0032823i,-0.0022703+0.0031556i,-0.000243+0.003209i,0.0008107+0.0013207i,0.00081279-5.1534e-05i,0.00080933-0.00039541i,0.00036901-0.00014747i,0.00067163-3.6979e-05i,0.0014565-0.00046381i,0.0025604-0.0012172i,0.0031495-0.0011184i,0.0024462-0.0002409i,0.0010856+0.00016318i,0.0003334-0.00035997i,0.0001743-0.00053035i,-0.00010976+2.0798e-05i,0.00051866+0.00035189i,0.00056274-0.00022505i,0.00015302-0.00054747i,0.00039972-0.00069493i,0.00036852-0.00083306i,0.00064118+0.00017635i,0.00081116+0.00056743i
0.0025349-0.0028833i,0.00208-0.003089i,0.0012774-0.0014511i,0.00016525-0.00027519i,-0.0012626-0.00024328i,-0.0013656+7.0873e-05i,1.7417e-05+0.00035574i,0.00096289+0.00033485i,0.0014322+0.00039016i,0.0020628+0.0011694i,0.0022245+0.0020735i,0.00087778+0.0014005i,0.00017231+7.2008e-05i,0.0002519-0.00018137i,-7.422e-05+4.6226e-05i,0.00013766-0.00036759i,0.00017266-0.0010191i,-0.00018915-0.0011994i,-0.00035985-0.00082945i,-0.0003466+0.00029627i,-0.00022053+0.00040324i,0.00033829-2.1915e-06i,0.00052149+0.0010851i
-0.001142+0.003252i,-0.00062852+0.003021i,0.00031249+0.0022659i,0.0011327+0.00064912i,0.0013142-0.00022415i,0.00065711+0.00032062i,0.00065906+0.0013183i,0.0010701+0.0020107i,0.0010942+0.0024666i,0.00030501+0.0016527i,-0.00062202+5.0508e-05i,-0.00037996-0.00092309i,7.3019e-05-0.00099681i,-0.00018446-0.001066i,-0.00062993-0.0010455i,-0.00044852-0.00072214i,0.00067264-8.949e-05i,0.00083453+0.00023339i,-0.00029663+0.0003901i,-0.00069346+4.8781e-05i,-0.00021275-3.0706e-05i,-0.00032758-7.9431e-05i,-0.00067382+0.00021748i
-0.001424-0.00014535i,-0.0010113+0.0014263i,-0.00072189+0.0016555i,-0.0011215+0.0012789i,-0.00082287+0.0028074i,0.00019152+0.0023818i,0.00058435+0.00048093i,0.00025081+0.0003737i,0.000146-0.00022567i,0.00097407-0.0013929i,0.001445-0.0010397i,0.0012611+0.00011863i,0.0010733+0.00021091i,0.0005412-0.00038098i,-0.00045913-0.00017741i,-0.00049144-0.00014561i,-0.00062081+0.00025033i,-0.00029419+0.00065584i,0.00014909+0.00018376i,0.00041382+0.00020141i,0.00060147-0.00011225i,0.00042302-0.00098918i,0.0005157-0.00066846i
0.00016491-0.0012047i,0.00088764-0.0026467i,0.00088539-0.0029246i,0.00086645-0.001776i,0.00039002-0.00021111i,-0.00053646+0.0011518i,-0.00010476+0.00080352i,0.0010977-0.00016752i,0.0018045-0.00038521i,0.0022839+0.00037268i,0.001875+0.0016977i,0.0011847+0.0018393i,0.0016659+0.0014562i,0.0016739+0.00058955i,0.00059246-0.00031773i,-0.0005072+0.00012179i,-0.00097557+0.00068355i,-0.00079293+0.00067624i,-0.0005815+2.9033e-05i,-0.00017521+0.00010973i,0.00072378+0.0011432i,0.0011745+0.0015492i,0.0010722+0.0013837i
0.001322+0.0014864i,0.001109+0.0018472i,0.0018658+0.0017189i,0.0008601+0.00059789i,-0.0010442-0.00030641i,-0.0010933+0.00050355i,0.00088892+0.0010302i,0.0020879+0.0011217i,0.0024331+0.0013458i,0.001566+0.0012463i,-0.00014534+0.00099393i,-0.00099789+0.00075288i,-0.0014997+0.00034326i,-0.00087666-2.2863e-05i,0.0001192-0.00054254i,-0.00049007-0.0011069i,-0.0012465-0.0012587i,-0.00061058-0.00070268i,6.4788e-05-0.00010073i,-0.00017069-5.4814e-05i,0.00023024-0.00040806i,0.00018189+0.00010488i,-0.00039959+0.00058801i
7.0976e-06+0.0015736i,-0.00093355+0.0023161i,-0.00091403+0.0026271i,0.00025733+0.0017083i,0.0012642+0.00015154i,0.001519+0.00023689i,0.0010538+0.00060448i,0.00019138-1.8585e-05i,-0.00026107-0.00033094i,-0.00012546-0.00055906i,-0.00031804-0.001469i,-0.00051633-0.00134i,-0.0001593-0.0010326i,-6.6868e-05-0.00063701i,-9.334e-05+0.00022863i,-0.000257+0.00022221i,-0.00060792-0.0001407i,-0.00023802-0.00033577i,-0.00034132-0.00017815i,-0.00024889+0.00027381i,0.0003456+0.00056837i,0.00051253+0.0003605i,0.0005332+0.00028953i
-0.0003118-0.00037204i,-0.0014789-0.0016788i,-0.001594-0.0035482i,-0.0011758-0.0045656i,-0.002183-0.0025236i,-0.0025555+0.00021362i,-0.0018782+0.0011862i,0.00046858+0.0013244i,0.0027069+0.00047635i,0.0036086-0.0014065i,0.0039025-0.0014863i,0.0028776+0.00038589i,0.0023523+0.00073941i,0.0027878+0.00019777i,0.0019265+0.0004372i,0.0013088+0.0003099i,0.00077594+0.00011095i,-0.00040241+0.00016218i,-0.0014338-0.00042436i,-0.00081685-0.00091619i,-0.00013076-0.000496i,6.9251e-05+0.00043588i,0.00037572+0.00097713i
9.5941e-05-0.0025254i,0.00070544-0.0021495i,0.0014896-0.0010004i,0.0012974+0.00065958i,0.0010595+0.00063181i,0.00096215+0.00076876i,0.0011424+0.00029884i,0.0014269+5.2079e-05i,0.0010661+0.0015165i,0.000823+0.0026279i,0.00030524+0.0023642i,-7.824e-05+0.0018035i,-0.000288+0.0019627i,-0.0003282+0.0017567i,0.00023228+0.00085675i,-0.00017469-0.00025866i,-0.0011667-0.00068484i,-0.0016942-0.00068752i,-0.0010854-0.00092774i,-0.00022047-0.0009966i,0.00030481-0.00061022i,0.00053378+0.00031818i,-0.00014807+0.00090352i
0.002751-0.0001457i,0.0027803+0.0015437i,0.00123+0.0016252i,-0.00048343+0.00055562i,-0.0004924+0.00049268i,0.00096811+0.00097379i,0.0016989+0.0012276i,0.0017291+0.0005267i,0.00059405-0.00012737i,-0.00052453-0.0011636i,-0.00062054-0.0016821i,-0.00013354-0.00042825i,0.00012984+0.00076133i,-1.6909e-05+0.00053535i,-0.00033285-0.00042957i,0.00049876-0.00088129i,0.0015138-0.00029368i,0.0011095+0.00030039i,-3.6308e-05+0.00021409i,-0.0011783+6.3438e-05i,-0.0012448+0.00027115i,-0.00059547+0.00013886i,-0.00010624-0.00048132i
-0.0029119+0.0028844i,-0.0033375+0.0039293i,-0.002577+0.0032094i,-0.0014764+0.0016427i,-0.00033019+0.0012629i,0.0012707+0.0019812i,0.0020289+0.0020805i,0.0014923+0.00082092i,0.0019303+0.00023732i,0.0028277-0.00074709i,0.0026666-0.0015883i,0.0012214-0.0016528i,0.00037103-0.001635i,0.00016084-0.0011656i,-0.00041563-0.00052286i,-0.00055517-9.2475e-05i,-0.0003988-6.2325e-06i,-0.00034162+0.00016517i,-0.00047923+0.00065825i,-0.00038797+0.00078842i,-0.00018104+0.00038505i,-0.00030785+0.00018596i,-0.00027161+2.8605e-05i
0.00066096-0.0017228i,0.001207-0.002526i,0.0010811-0.0013981i,0.00055244-0.00059856i,-0.00086247-0.001001i,-0.001764-0.00019217i,-0.00066241+0.00072611i,0.00069382+0.00064872i,0.0011372+0.00092924i,0.0016181+0.0014049i,0.0017881+0.0013692i,0.0014682+0.0015013i,0.00083088+0.0015749i,9.3568e-05+0.0010889i,-0.00028172+0.00067617i,-0.00099229+0.0006253i,-0.00079559+0.00057345i,-0.00024328+0.00020063i,-0.00071885-0.00037283i,-0.0011198-0.00094064i,-0.00059876-0.00086475i,0.00016941+0.00013162i,9.6724e-05+0.00063024i
0.0054229-0.00089652i,0.0053143-0.0037245i,0.0040098-0.0055779i,0.0011979-0.0047153i,-0.00041619-0.0029282i,-0.00046844-0.00065907i,0.00012686+0.00098587i,0.0014623+0.00035115i,0.0013098+0.00014727i,-0.00047545+0.00077898i,-0.001552+0.00015921i,-0.0016784-0.00075933i,-0.00039377-0.0011064i,0.00052813-0.00027216i,0.00048603-0.00011612i,0.00051791-7.6494e-05i,0.0002699+0.00021116i,-5.1325e-05+0.00030468i,0.00012327+9.3763e-05i,0.00095808-1.0913e-05i,0.0015787+0.00035657i,0.00080745+0.0012056i,-0.00047494+0.00093558i
0.00040565+0.0018221i,-0.0015469+0.0027642i,-0.0015849+0.0016861i,-0.00025539-0.00067284i,-0.00041043-0.0011407i,-0.0014147-0.00014847i,-0.00035613+0.00094997i,0.00089777+0.00097914i,0.001073-0.00041411i,0.0014786-0.0016596i,0.0015843-0.0022931i,0.0012541-0.0021871i,0.0010925-0.0012242i,0.00067004-0.00027201i,0.00028603-0.00017821i,0.00084066-0.00066794i,0.0012025-0.0011867i,0.00052686-0.00068258i,-0.00032453-0.00029354i,-0.00014978-0.00041136i,-0.00022651+0.00070076i,-0.00074281+0.0011632i,-0.0010914+0.00053809i
0.000911-0.0029447i,0.0013293-0.0025451i,0.002131-0.0024107i,0.0017784-0.0024767i,0.00031597-0.00093848i,-0.00086537+0.0011499i,-0.00084217+0.0013935i,0.00029875+0.00040152i,0.0018759+6.2178e-05i,0.0032906+0.000346i,0.0031684+0.0010538i,0.0019618+0.0027299i,0.0016229+0.0030006i,0.0019026+0.0014376i,0.0023594+0.0003413i,0.0021057+0.00069097i,0.0013508+0.0010983i,0.00042869+0.000567i,-9.0663e-05+0.0001276i,-0.00024913+0.00030348i,-0.0006785+0.00042315i,-0.00063463+0.00016863i,-0.00029675+5.9302e-06i
0.0025146-6.9642e-05i,0.0029492-0.0013868i,0.002346-0.0026803i,0.00040736-0.0020578i,-0.00078981-0.0019364i,-0.00053018-0.0012544i,9.8152e-05+0.00023238i,0.00094113+0.00046007i,0.0020142+0.00089466i,0.0017736+0.0017035i,0.00026955+0.0017645i,-0.0010503+0.0018735i,-0.0015996+0.0020282i,-0.0015645+0.0011437i,-0.0012806+0.00048733i,-0.00031862+0.00094868i,0.00042239+0.0011516i,0.00060421+0.001024i,0.00074445+0.00030628i,0.00045523-0.0003171i,-0.00051801+5.5452e-07i,-0.0013372+0.00050082i,-0.0013602+0.00090191i
0.0012711+0.0034119i,0.0020866+0.0040796i,0.0025476+0.0037132i,0.0022913+0.00076213i,0.0013757-0.00091484i,-0.00033404-0.00075789i,-7.0315e-05+0.00062343i,0.00061653+0.0012277i,0.00035451+0.00042431i,0.00042697-0.00094142i,-0.00018574-0.0021251i,-0.0015785-0.0024748i,-0.0013924-0.0017881i,-0.0014849-0.00071217i,-0.0017204+4.0968e-05i,-0.00077354+0.0010658i,6.692e-05+0.00088009i,0.00030817+0.00060419i,-6.5541e-05+0.00048665i,-9.1556e-05-0.0003513i,0.00031735-0.00022088i,0.00012064-0.00021559i,-1.064e-05-0.00040824i
-0.0023723-0.0010801i,-0.0026363-0.001195i,-0.001904-0.0019226i,-0.0011426-0.0020282i,-0.00076859-0.00082792i,0.00016766+0.00060678i,0.0009443+0.00096469i,0.0011063+0.00053361i,0.001696+4.1922e-06i,0.0030897-0.00017236i,0.0034571-0.0001819i,0.0028343-0.0008416i,0.0024645-0.0010165i,0.0025472-0.0010165i,0.0016609-0.00085318i,0.00070558-8.0526e-05i,-0.00013943+0.00086523i,-0.0010778+0.0013391i,-0.00041367+0.0006734i,0.00024214-0.00022033i,0.00011835-0.0001596i,0.00020497+7.4029e-05i,8.0283e-05-0.00016385i
