-0.002162-0.00072607i,-0.002472-0.00082282i,-0.0033145-0.00098296i,-0.0030124-0.00091705i,-0.0023239+0.00027045i,-0.0011506+0.0016748i,0.0004492+0.0016976i,0.0011786+0.0015667i,0.0014785+0.001201i,0.001527+0.00010428i,0.00099393-3.7353e-05i,0.00035741+0.00029577i,0.00018558+0.00018841i,8.5091e-05+1.7897e-05i,-0.00070871+0.00037214i,-0.0005523-0.00015035i,0.00082401-0.000593i,0.001476-0.0002235i,0.0010275+0.00064812i,-0.00043686+0.0004815i,-0.00072319+2.2699e-05i,-0.00051699+9.8946e-05i,-0.00087517-2.4148e-05i
-0.0015068+0.0038491i,-0.0064903+0.0043088i,-0.0074284+0.0017708i,-0.0056523+0.00015906i,-0.0049013+0.00058915i,-0.0033153+0.0017758i,-0.00036995+0.0023156i,0.00091622+0.0018708i,-0.00028297+0.0016825i,-0.0014366+0.0012679i,-0.0010687+0.00024134i,-0.00069651-0.00057355i,-0.0009879-0.00027274i,-0.00089503-0.00015874i,-0.00046758-0.0008487i,-0.00046001-0.00058856i,-0.0004254-0.00018623i,-0.00026907+0.00074863i,-0.00025596+0.0013907i,-0.00034375+0.00095675i,-0.0006529+0.00078849i,-0.00076055+0.00075544i,-0.0011283+0.00020601i
0.0016744+0.0058836i,8.6927e-05+0.0098386i,-0.002647+0.0096287i,-0.0028352+0.0067063i,-0.0021292+0.0049962i,-0.0014554+0.0049063i,-0.00029236+0.0039917i,0.00068453+0.0022134i,0.00099011+0.0019446i,0.00091994+0.0021237i,0.00077408+0.0014073i,0.00043369+0.0012156i,-0.00041555+0.00071481i,-0.001205-0.00018355i,-0.0010658-0.00026107i,-0.00038958+0.00014236i,-0.00019024+0.00048334i,-0.00011605+5.2501e-05i,0.00011915-0.00041124i,0.00030177-5.1047e-05i,6.873e-05+0.00026388i,-0.00063661+0.00016752i,-0.0004381-0.00042785i
0.0058136-0.00084117i,0.0088836+0.003209i,0.0083569+0.006571i,0.0054724+0.0071661i,0.0029334+0.0057555i,0.00061944+0.0036074i,0.0010369+0.0019379i,0.0026201+0.00061674i,0.0027757+0.00038745i,0.00234+0.00070794i,0.0016235+0.00020352i,0.00069271-0.00063151i,0.00021202-0.00057945i,-0.00020413+0.000157i,-0.00019766+0.00071026i,-0.00015681+0.000298i,-0.00041217-0.00067649i,0.00062393-0.00062103i,0.0010712-0.00028204i,0.00038218+0.00012122i,1.8646e-05+0.00030501i,0.00034536-0.00056861i,0.00035435-0.0003557i
0.004811-0.0043638i,0.0083872-0.0047391i,0.010777-0.0021342i,0.0085904-0.0012366i,0.0049329-0.00095905i,0.0023088+0.00023533i,0.0013699-0.00056139i,0.0010434-0.001791i,0.0014208-0.0019091i,0.0023075-0.0023645i,0.0020209-0.0024111i,0.001186-0.0013726i,0.00081218+0.00026203i,0.00052156+0.00050387i,0.00075811+0.0012071i,0.001186+0.0018637i,0.00079461+0.00083743i,0.00086266-6.9652e-06i,0.00097128+0.00047511i,5.5546e-05+0.00057958i,3.0817e-05+6.0566e-05i,0.00046655-0.0007914i,-2.888e-05-0.00070325i
-0.0048952-0.0024862i,-0.0047702-0.0062655i,0.00042028-0.0064243i,0.0038078-0.0041958i,0.0036746-0.0023659i,0.0021987+0.00018627i,0.00121+0.00164i,0.00075186+0.0013042i,0.00078404-0.00058691i,0.00056404-0.0020739i,-0.00029589-0.0017646i,-0.00062131-0.001167i,7.4845e-05-0.0010118i,0.00023777-0.00056565i,0.00033982+0.00064394i,0.00049612-1.5486e-05i,0.0008973-0.0010274i,0.00051808-0.00013158i,-2.5328e-05+0.00040526i,0.00050528+0.00078912i,0.0013911+0.00050393i,0.0009175-0.00014698i,-0.0004725-0.00053417i
-0.0056313+0.0011626i,-0.0088449-0.0012788i,-0.0074969-0.0039955i,-0.0045339-0.0047106i,-0.0029853-0.0031569i,-0.002267-0.00087051i,-0.0012551+0.00080542i,-0.00094095+0.00093396i,-0.0013444-8.0673e-05i,-0.0015727-0.00075937i,-0.0012226-0.00074108i,-0.00065148-0.0012059i,-0.00051198-0.0016793i,0.00034983-0.00094561i,0.0011911-0.00010968i,0.0012646+7.8203e-05i,0.0012514+0.00027626i,0.00021687-0.00035123i,-0.00082636-0.0012219i,-0.0015302-0.00094246i,-0.0016535-0.00046594i,-0.00077832-0.00067034i,-1.7925e-06+0.0001351i
-0.0044054+0.0065373i,-0.0083295+0.0089481i,-0.0097702+0.0059567i,-0.0071413+0.0021943i,-0.0050299+0.0012762i,-0.0032085+0.0014811i,-0.0010755+0.0020763i,-0.00060054+0.0016922i,-0.0013195+0.0015263i,-0.001956+0.0023965i,-0.0013128+0.0023252i,-0.0011344+0.00086027i,-0.00065007+0.0001068i,0.000552-0.00052428i,0.00034985-0.00045331i,0.00050932+0.0013565i,0.0012041+0.0021389i,0.00090553+0.00097256i,2.0544e-05-0.00026565i,-8.9181e-05-0.00023803i,0.00010124+4.9391e-05i,-0.0002903+0.0002694i,-0.00051387+0.00029534i
0.0039093+0.0067191i,0.0046301+0.011708i,0.0014196+0.013362i,-0.0011247+0.010549i,-0.00073782+0.0063768i,0.00029498+0.0039515i,0.0012398+0.0026717i,0.0017177+0.0012035i,0.0018977+0.0016931i,0.0023995+0.0030061i,0.0024101+0.0023327i,0.00050358+0.00086372i,-0.00095613+0.00024282i,-0.0003552-0.00039029i,0.00073638-0.0012201i,0.0013151-0.0010863i,0.0014637-0.0012046i,0.0011285-0.001054i,-0.00029882-0.00023749i,-0.00072918+0.00069789i,-3.7892e-05+0.0013323i,-9.4928e-05+0.0010343i,-0.00073457+0.00099522i
0.0084276-0.0021564i,0.013443+0.00062817i,0.012835+0.0051815i,0.0075524+0.0077858i,0.0031953+0.0071138i,0.001747+0.0053i,0.0024313+0.0040066i,0.0030975+0.0021096i,0.0030748+0.0015751i,0.003964+0.001248i,0.003751-0.00058353i,0.0022928-0.0012716i,0.00083248-6.0192e-05i,0.00035805+0.00045335i,0.00047565+0.00041061i,0.00015444-1.486e-05i,-0.00085801-0.00019924i,-0.0006767+0.0005135i,0.00057247+0.0013443i,0.00087255+0.0013269i,6.5645e-05+0.00092709i,-8.2437e-05+0.00044203i,-0.00011483+0.00053885i
0.0011244-0.0083007i,0.005285-0.010235i,0.0091794-0.0074536i,0.0085927-0.0024539i,0.0051613+0.000539i,0.0024449+0.0014095i,0.0012597+0.00092744i,0.0012553-0.00018757i,0.001991-0.0013294i,0.0020009-0.0024674i,0.0016851-0.0026345i,0.00089232-0.0014953i,0.00037302-0.00035914i,-0.00011501+0.0009544i,-0.00053058+0.001396i,-4.1953e-05+0.00037687i,0.00045862-0.00011121i,0.00018085+0.00061506i,-0.00029314+0.00082313i,0.00017992+0.00027492i,0.00055791-0.00061212i,0.00036932-0.00071397i,0.00046768-0.00055321i
-0.010175-0.0073158i,-0.0093381-0.011817i,-0.0035546-0.01206i,0.0015015-0.0073908i,0.0031592-0.0031499i,0.0014997-0.00054242i,-0.00068759+0.001211i,-0.0007293+0.00068196i,0.00014759-0.001393i,-0.00069105-0.003153i,-0.0020323-0.0030949i,-0.0012067-0.0020313i,0.00046892-0.00076201i,0.0015362+0.00055281i,0.0014157+0.0012781i,0.0013553+0.00077611i,0.00086562+0.00075651i,7.8935e-05+0.00067469i,0.00075523-2.5258e-05i,0.00098248-0.0004808i,0.0011324-0.00122i,0.0010562-0.0012548i,0.00047265-0.00056832i
-0.0082851+0.0051098i,-0.013907+0.0033253i,-0.012413-0.00052956i,-0.0055891-0.0029592i,-0.001153-0.0022289i,0.00039332+0.00027913i,0.00028999+0.002312i,-0.00060188+0.0021888i,-0.001373+0.00099067i,-0.0028265+0.00075423i,-0.0030275+0.00075304i,-0.001404+6.8341e-05i,0.00022253-0.00044192i,0.0016713+0.00039394i,0.0016191+0.0013722i,0.0010446+0.001547i,0.0011871+0.00055886i,0.001523-0.00019612i,0.0012104-0.00054385i,-0.00037334-0.00079154i,-0.0015919-0.0010823i,-0.0010952-0.0006635i,-0.00067168-0.00017805i
0.00041778+0.010295i,-0.005307+0.014685i,-0.0083067+0.010012i,-0.0075403+0.0028459i,-0.004872+0.0002594i,-0.002289+0.001623i,0.00018282+0.0034924i,0.00014432+0.0035789i,-0.0019413+0.0029976i,-0.0023862+0.0029121i,-0.0014753+0.0034547i,-0.00085949+0.0019608i,-0.00048685-3.236e-05i,0.00054468-0.00053739i,0.0013144-0.00028279i,0.0011116-0.00046237i,0.00055182-0.00093648i,0.00022512-0.00042871i,0.00024348+0.0001945i,-3.5231e-05+0.00023199i,-0.00022295+0.00041008i,-0.00037187+0.00015352i,-0.00059987-1.8497e-05i
0.0095042+0.0051774i,0.0095437+0.010772i,0.0048442+0.012398i,-0.0011209+0.0085183i,-0.0038294+0.0043332i,-0.0026961+0.002003i,-0.00029662+0.0013613i,0.0010484+0.002181i,0.0014556+0.0033355i,0.0022052+0.0035883i,0.0031488+0.002578i,0.0020895+0.0010361i,0.00047824+0.00048436i,5.9441e-05+0.00022683i,-8.9071e-05-0.00094263i,-0.00012496-0.0010787i,5.46e-05-0.00047504i,0.00014212+1.3225e-05i,-0.00036191-0.00038866i,-0.00098115-0.00079809i,-0.00086597+2.2106e-05i,-0.00049815+0.00041209i,2.245e-05-0.00010118i
0.011425-0.0057008i,0.0174-0.0047541i,0.016466-0.00060674i,0.0094986+0.0033059i,0.0028746+0.0052737i,0.00024536+0.004662i,0.0015603+0.0020073i,0.0035309+0.00041875i,0.0045653+1.2433e-05i,0.0054375-0.0010835i,0.0045378-0.0017466i,0.0019359-0.0016908i,-3.7588e-05-0.00084397i,-0.00092048-0.00047351i,-0.00097104-0.00071035i,-0.00066111-0.00018667i,0.00010498+0.00073874i,0.00020241+0.00084903i,-6.0841e-05+0.00049538i,-0.00019511+0.00010166i,0.00025836-0.00048511i,0.00017938-0.00052057i,-0.00070243-9.3082e-05i
-0.00039507-0.012573i,0.0033895-0.017148i,0.0072049-0.012521i,0.0075728-0.0043263i,0.0055835+0.0012724i,0.0028376+0.0036614i,0.00022291+0.002908i,-6.3494e-05+0.00047255i,0.0014647-0.0023078i,0.0017742-0.0040003i,6.4743e-05-0.0033909i,-0.0013783-0.001959i,-0.00010703-0.00059644i,0.00014953+0.00039155i,-0.00080833+0.00095029i,-5.6965e-05+0.0012842i,0.00049299+0.0018732i,0.00039838+0.0023533i,3.7142e-05+0.0020329i,9.7186e-05+0.0011471i,0.00018452+0.00076443i,0.00069329+0.0008123i,0.0006278+0.00098069i
-0.015699-0.0035627i,-0.01755-0.008777i,-0.012675-0.0098832i,-0.0040774-0.0066553i,0.0019557-0.0025011i,0.0018512+3.2952e-05i,2.5206e-05+0.0015575i,-0.00025173+0.00038418i,-0.0008639-0.0023218i,-0.0025896-0.0033998i,-0.0030731-0.0027109i,-0.0025857-0.0010356i,-0.0010544+0.0007008i,0.00060146+0.0011511i,0.001014+0.00082628i,0.0011401+0.00076517i,0.0010172+0.00077681i,0.0014047+0.0010248i,0.0021606+0.00045364i,0.0020357+0.00022356i,0.0012958+0.00044045i,0.00071122+0.00039347i,0.00095722+0.00046646i
-0.0099996+0.0088382i,-0.016719+0.0083243i,-0.015489+0.0045929i,-0.007531-0.00064101i,-0.0011802-0.0026929i,0.00095181-0.00040972i,0.0012726+0.001238i,-6.2363e-05+0.0011028i,-0.0017793+0.00024023i,-0.0033278+0.00065714i,-0.0039956+0.0019921i,-0.0028731+0.0020198i,-0.0013384+0.00079262i,-4.0086e-05-0.00033951i,0.0011157-0.00051135i,0.0014725-0.00079015i,0.0022834-0.00059914i,0.0024067-9.4612e-06i,0.0012004-0.00028088i,-0.00043842-0.00095093i,-0.0012278-0.0011633i,-0.0011498-0.00062312i,-0.0012304-2.7842e-05i
0.0046308+0.013954i,0.00095421+0.020352i,-0.0018944+0.016187i,-0.0021507+0.0055635i,-0.0014134-0.0012976i,-0.00053051-0.0014084i,0.00070863+0.00057001i,0.00023932+0.0020282i,-0.00034851+0.0033714i,-0.00015589+0.0042343i,-0.00031679+0.0034162i,-0.00045631+0.0015455i,8.3116e-06+0.00015393i,0.00098946-0.00017329i,0.0012011-0.00014909i,0.0011109-0.00072456i,0.00080656-0.0013157i,-0.00016816-0.00091342i,-0.00098103-0.00020327i,-0.00062829-9.4265e-06i,-0.00028967+0.00055974i,-9.2138e-05+0.00039722i,-0.00018703-0.00042795i
0.011726+0.0020436i,0.015167+0.0087075i,0.0094849+0.01065i,-3.0461e-05+0.0080298i,-0.0051039+0.005144i,-0.0040541+0.0027643i,-0.00095976+0.0019469i,0.00062807+0.0022286i,0.0013372+0.0027869i,0.0023717+0.0033052i,0.0033797+0.0020447i,0.003249+0.00063766i,0.0017326-0.00013491i,0.00037987-0.0012382i,-0.00036538-0.0011006i,-0.00034876-0.00042599i,-0.00047399-0.0011369i,-0.00042769-0.00075005i,-3.5413e-06+0.00077353i,-3.1883e-05+0.001255i,-0.00039533+0.00034659i,-0.00037279+2.0892e-05i,2.7728e-05-0.0001566i
0.010607-0.013061i,0.016501-0.014039i,0.014306-0.0093408i,0.0054296-0.0013004i,-0.001045+0.0043894i,-0.001221+0.0047566i,7.709e-05+0.0018302i,0.0012897+0.00059546i,0.0035444+0.00011576i,0.0047632-0.0016711i,0.0042902-0.003252i,0.0028113-0.0031447i,0.00023623-0.0012036i,-0.0016683-0.00045611i,-0.002346-0.00085037i,-0.0016714+9.6782e-06i,-0.0006456+0.0008838i,0.00015954+0.00060219i,7.4347e-05-0.00034359i,8.5499e-05-0.00058857i,0.00081506+0.00039914i,-0.00030673+0.00064488i,-0.0013807+0.0003668i
-0.0060367-0.014795i,-0.0047692-0.020108i,-0.00044135-0.014821i,0.0031171-0.0051684i,0.0044571+0.00099146i,0.0023412+0.0021513i,0.00027278+0.001006i,0.001029-0.0008574i,0.0024401-0.0031911i,0.0019026-0.0052658i,-8.1447e-05-0.0053587i,-0.0012455-0.0033226i,-0.001325-0.0011403i,-0.00061204+0.00052738i,-0.00011264+0.001757i,2.3653e-05+0.0017879i,-0.00071575+0.0014127i,-0.00055377+0.0013879i,0.00041773+0.0015624i,0.00059052+0.0020132i,0.00053257+0.00095729i,0.00041044-0.00080867i,0.00012487-0.00038612i
-0.017444-0.0039749i,-0.022958-0.0072759i,-0.018871-0.0066707i,-0.008461-0.0036561i,-0.0014122-0.00033246i,-0.00040821+0.0017053i,-0.00033004+0.0016428i,1.8002e-05-0.00018882i,-0.0018028-0.0025343i,-0.0046915-0.0033244i,-0.0053595-0.0016027i,-0.0044532+0.00059137i,-0.0021674+0.0016383i,0.00023759+0.0016344i,0.00086259+0.0012639i,0.0011341+0.00088158i,0.0017287+0.0011053i,0.0018875+0.0012592i,0.001284+0.00043601i,0.0011607-0.00075293i,0.0007743-0.00050518i,0.00040987+0.00035612i,0.00035047+0.0010319i
-0.011321+0.014756i,-0.018324+0.017942i,-0.015491+0.01384i,-0.0072315+0.0061964i,-0.001894+0.00078062i,-6.6835e-05+0.00011598i,-5.1417e-06+0.0010201i,-0.0010075+0.0011282i,-0.0028662+0.0013975i,-0.0037493+0.0031566i,-0.0028448+0.005073i,-0.0011244+0.0045493i,0.00037535+0.0022281i,0.00062877+0.0003429i,0.00057912-0.00041762i,0.0015346-0.00055595i,0.0017388-0.0010423i,0.00077177-0.00086383i,0.00056708-0.00016733i,0.0010737-8.5537e-05i,9.4019e-05-0.00037861i,-0.00079826-0.00043731i,0.00036719-0.00033522i
0.0074167+0.018663i,0.007586+0.026721i,0.0051517+0.022431i,0.0012286+0.010316i,-0.0004384+0.0025458i,0.0002425+0.0010933i,0.0010421+0.0017271i,0.00097432+0.002717i,0.0010529+0.0037391i,0.0015304+0.0047879i,0.0021523+0.004582i,0.0020284+0.002879i,0.0015226+0.00082407i,0.0023287+2.1874e-05i,0.0027634+2.5736e-05i,0.0017424-0.00042892i,0.00063101-0.0011137i,0.00026248-0.0014778i,-6.7876e-05-0.0016623i,-0.00079606-0.0013874i,-0.00095945-0.00060821i,-0.0002524-0.0005324i,-9.5526e-05-0.00054337i
0.020618+0.0018097i,0.026216+0.0042692i,0.022003+0.0036731i,0.010151+0.0016698i,0.00017159+0.0011998i,-0.0011652+0.0010308i,0.00093659+0.00053076i,0.00261+0.00086255i,0.0041755+0.0024094i,0.0045114+0.0028725i,0.0036343+0.00040241i,0.0023951-0.0020902i,0.0017016-0.002059i,0.00061106-0.00097865i,0.00016592-0.00080417i,0.00055338-0.0010301i,0.00035782-0.00037654i,1.0499e-05-0.00011503i,-0.0010425-0.00086491i,-0.0013689-0.00097392i,-0.0010296-0.0003855i,-0.00067173-0.00019127i,-0.00078818+0.00031369i
0.011846-0.01872i,0.01575-0.022467i,0.012461-0.018963i,0.0050089-0.0085795i,-0.00058434+0.00026806i,-0.0022532+0.0034097i,-0.0016486+0.0027596i,0.00026209+0.0010916i,0.0031023-0.0010113i,0.0049177-0.0027374i,0.003818-0.0037215i,0.00075895-0.0034943i,-0.0012691-0.0019578i,-0.0011328-0.00058521i,-0.0012326+0.00047466i,-0.00094615+0.00021438i,0.00021221-0.00012314i,4.3151e-05+0.00028969i,-0.00053879+0.00060505i,-0.0010371+0.00055836i,-0.001118-9.5835e-06i,-0.00013611-0.0005i,0.0001195-0.00038455i
-0.012233-0.021378i,-0.014232-0.026971i,-0.013473-0.0223i,-0.0088662-0.0097321i,-0.0051197+0.0014667i,-0.0039943+0.006223i,-0.002486+0.0055167i,0.00023049+0.0020097i,0.0012959-0.0026987i,-1.7665e-05-0.0043557i,-0.0023018-0.0029804i,-0.0036903-0.00099516i,-0.0030266+0.00046863i,-0.0017801+0.0011965i,-0.00039658+0.0017029i,5.289e-05+0.0019058i,0.00042823+0.0015962i,0.0011639+0.001221i,0.00076833+0.00084312i,0.00031699+0.00020848i,0.00078173-0.00012294i,0.00086236+0.00026459i,-2.5955e-05+0.0006241i
-0.022062-0.00098629i,-0.026827-0.0015564i,-0.021841+0.00021534i,-0.010436+0.0019186i,-0.0015579+0.0031183i,0.0013916+0.0045896i,0.001482+0.0044734i,-0.00011461+0.0015218i,-0.0022751-0.0015712i,-0.0037549-0.0013497i,-0.0042732+0.00021228i,-0.0030805+0.00070279i,-0.00073044+0.0010987i,0.00090031+0.0011677i,0.0010705+0.00083759i,0.0012777+0.00067219i,0.0021951+0.00078992i,0.0018302+0.00054525i,0.0011515+0.00097186i,0.00098863+0.0015252i,0.00044002+0.0011773i,-0.0002649+0.00085216i,-0.00093298+0.00018188i
-0.01018+0.020563i,-0.014475+0.025938i,-0.0094613+0.023744i,-0.0019114+0.013231i,0.0021323+0.0042491i,0.0027546+0.0020628i,0.0026875+0.0023545i,0.0015948+0.0026049i,-0.00086073+0.0028466i,-0.0023255+0.0034497i,-0.0016382+0.0036017i,-0.00019411+0.0023462i,0.00095568+0.0014537i,0.0017462+0.00099982i,0.0013781+0.000731i,0.0012718+0.00015124i,0.001666-0.00052757i,0.001564-0.00046036i,0.00058638-0.00031741i,-0.0001404+0.00014333i,0.00021271+6.6669e-05i,0.00027662-9.4721e-05i,-0.0002266-0.00047899i
0.011717+0.019299i,0.013463+0.024745i,0.011587+0.020007i,0.0060484+0.0092956i,0.0012564+0.000913i,-0.00039992-0.0018242i,0.001126-0.0011086i,0.0022881+0.0011069i,0.0015806+0.0033435i,0.0016702+0.0040475i,0.0025402+0.0029635i,0.0026798+0.00091176i,0.0021454-0.00085617i,0.0019789-0.001769i,0.0020068-0.00082961i,0.00107+0.00033735i,8.9201e-06-0.00037551i,-0.00048926-0.00097534i,-0.00088615-0.00085696i,-0.00014618-0.0013157i,0.00044115-0.0012467i,-0.00064483-2.0974e-05i,-0.00077147+4.8137e-06i
0.022322-0.00020579i,0.028989+0.00070612i,0.025827+0.00087109i,0.014901+0.00030614i,0.0039492+0.00054837i,-0.00067955+0.0011563i,-0.00067319+0.00019576i,0.0009941-0.00056266i,0.003419-0.00023965i,0.0051939+0.00039827i,0.0045322-0.00061952i,0.0028457-0.0025339i,0.0016195-0.0025628i,0.0011957-0.001006i,0.0012321-0.00016345i,0.00052405+0.00057004i,0.00062724+0.00072657i,0.00069213+0.00026975i,0.0003391+0.00019194i,0.00041238+0.00084574i,0.00031966+0.00060904i,1.2854e-05-6.7951e-05i,0.0001709+0.0003144i
0.0088756-0.02193i,0.011515-0.025269i,0.008053-0.020859i,0.0028225-0.010228i,-0.0004262-0.0003071i,-0.0011276+0.0022905i,-0.0015132+0.001965i,-0.0010179+0.0011457i,0.0018518-0.00057774i,0.0037825-0.0023694i,0.001667-0.0026035i,-0.0012506-0.0019104i,-0.0021472-0.00076344i,-0.0020031+0.00056611i,-0.0013556+0.00077086i,-0.00043763+0.0005697i,0.00021399+0.00072756i,0.00032769+0.00083801i,0.0010667+0.00059056i,0.00076896+0.00049126i,0.00039322-7.8784e-05i,0.00066728-0.00062533i,0.00020459+7.853e-05i
-0.016975-0.020771i,-0.021902-0.026059i,-0.021802-0.021179i,-0.015379-0.010428i,-0.0073986-0.00096643i,-0.0031873+0.0031493i,-0.0015354+0.0047316i,-0.0002223+0.003067i,0.00040774-0.00084263i,-0.00041039-0.0029955i,-0.0013517-0.0027744i,-0.0014355-0.0011827i,-0.00086496-0.00027382i,-0.00061205-0.00055373i,-0.00025936-0.00015385i,0.0004438+0.0006814i,0.0006358+0.00075293i,0.00020406+0.00095958i,-0.00033702+0.0010148i,-0.00041838+0.0004635i,-0.00052546+0.00052801i,-4.1289e-05+0.00054391i,0.00048695+0.00078501i
-0.027305+0.0032244i,-0.034916+0.0056238i,-0.030797+0.009623i,-0.018418+0.0093219i,-0.0066359+0.00674i,0.00023902+0.0053476i,0.0018374+0.0048103i,0.00028298+0.0025776i,-0.0014891+0.00059598i,-0.0024049+0.0010223i,-0.0023191+0.0014259i,-0.0016091+0.0014997i,-0.00073608+0.0018642i,-0.00037005+0.0016283i,-0.00034091+0.001464i,-0.00021538+0.001455i,0.00032331+0.00053117i,0.0001202-0.00067879i,-0.0001266-0.0010414i,-0.00010238-0.00012744i,-0.00034217+0.00053643i,-0.00066589+0.00023623i,-0.00062664+8.5689e-05i
-0.0083898+0.024706i,-0.0098943+0.032994i,-0.0041256+0.030995i,0.0026948+0.018723i,0.0048714+0.0074477i,0.0040758+0.0034896i,0.0035197+0.0024278i,0.0027593+0.0011141i,0.00039379+0.001848i,-0.0011606+0.0030105i,-0.00039301+0.0031034i,0.00029956+0.0020862i,0.00014148+0.00079944i,0.00024794+0.00024309i,0.00010743+0.00069454i,-0.00065078+0.0016222i,-0.00090888+0.0016215i,-0.00050628+0.0011699i,-0.00028029+0.00074978i,0.00060749+0.00041942i,0.0011681+0.00025965i,0.00067455+0.00088123i,-0.00013633+0.00041076i
0.016236+0.022854i,0.021849+0.026122i,0.023542+0.020769i,0.017854+0.010961i,0.0089753+0.0033571i,0.0028475+0.00010424i,0.00089144-0.00033501i,0.0010823+0.0010514i,0.0016844+0.0031999i,0.003127+0.0039112i,0.0042232+0.0018676i,0.004135-2.4545e-05i,0.0025085-0.0003033i,0.0012401-3.0104e-05i,0.0013977-1.3338e-05i,0.0015994+0.00014879i,0.0012952+0.0013748i,0.0011625+0.0019577i,0.0010514+0.00040828i,0.00077799-0.0010351i,0.00014755-0.0010788i,-0.00044725+0.00010863i,-0.00032811+0.00068155i
0.025107-0.0037713i,0.030344-0.0064646i,0.02529-0.011923i,0.01459-0.010592i,0.0043888-0.0037183i,-0.0014502-2.3787e-05i,-0.0024522+5.0842e-05i,-2.1504e-05-0.00059982i,0.0030455-0.00033952i,0.0046968-0.0006131i,0.0027013-0.0019503i,-7.7859e-06-0.0023418i,-0.00051516-0.001708i,-0.00030824-0.00096347i,0.00031619-0.00074145i,0.0017994-0.0006455i,0.0022699-7.7377e-05i,0.001419+0.00036267i,0.00070554-0.00050164i,-2.1799e-05-0.0014985i,-0.00068485-0.0012501i,0.0001568-0.0008278i,0.0010741-0.00076323i
0.010821-0.027677i,0.0095494-0.033299i,0.0035597-0.031055i,-0.00073112-0.020633i,-0.0016681-0.0087005i,-0.0019894-0.0012064i,-0.0021814+0.0028084i,-0.00028956+0.0019434i,0.0017361-0.0015444i,0.0019169-0.0034251i,0.00010004-0.0032832i,-0.0011799-0.0025826i,-0.00054211-0.0019451i,0.00037109-0.0012867i,0.0002943-0.00098167i,-7.4238e-05-0.00097061i,-0.00042702-0.00080256i,-0.00010007-0.00055891i,0.00037074+5.8905e-05i,-4.3104e-05+0.00093954i,-0.00054466+0.00037327i,-0.00046232-0.00028426i,3.3393e-05-0.00022917i
-0.0167-0.021466i,-0.023264-0.022084i,-0.024179-0.014022i,-0.017656-0.0060104i,-0.0090448-0.00080041i,-0.0037662+0.0025769i,-0.0004273+0.0036785i,0.00062463+0.0018873i,-0.00070972-0.0013833i,-0.0020369-0.002887i,-0.0019197-0.0020827i,-0.0010757-0.0015118i,-0.0013209-0.002066i,-0.0014351-0.0013052i,-0.00063717-0.00087313i,0.00019871-0.001101i,0.0005112-0.00097224i,-7.0818e-05-0.00064651i,-0.00025998-4.0477e-05i,0.00031917+0.00029382i,0.00067373+0.00060799i,0.00027559+0.001044i,0.00028602+0.0013655i
-0.031756+0.0042577i,-0.036055+0.0094771i,-0.030661+0.015025i,-0.019777+0.014498i,-0.0088081+0.0093269i,-0.0016772+0.0062876i,0.0024219+0.0043993i,0.0018832+0.0020098i,-0.0016725+0.0009439i,-0.0029476+0.0014858i,-0.0021759+0.0016349i,-0.0010917+0.0006726i,-0.00068254-0.00048477i,-0.00039314-0.0005189i,0.00060022+0.00015687i,0.00057685+0.00027117i,-0.00035837-5.602e-05i,-0.0011039-0.00031118i,-0.0013578-0.00017968i,-0.0014703+0.00065103i,-0.001689+0.0011227i,-0.0018493+0.0005784i,-0.0012995+0.00035002i
-0.0093651+0.029569i,-0.0065339+0.034788i,0.0028896+0.03111i,0.007634+0.020854i,0.0042958+0.011059i,0.0024512+0.0043821i,0.0025483+0.0010713i,0.0014967+0.0008824i,0.00055408+0.0020933i,0.00020017+0.0032244i,0.00045511+0.0027968i,0.00036803+0.0018463i,-0.00039518+0.0022409i,-0.00035546+0.0024042i,0.00041519+0.0019008i,0.00051457+0.0025347i,-9.8765e-05+0.0022544i,-0.00091726+0.0010602i,-0.00038917+0.0010699i,0.00074036+0.00087811i,0.00083216+0.00039552i,0.00027538+0.00016916i,-7.0626e-05+0.00021142i
0.020495+0.022114i,0.027122+0.023319i,0.029437+0.013677i,0.023172+0.0042473i,0.012403+0.0017619i,0.0043863+0.0016206i,0.00065202+0.00061966i,0.00045275+0.00012624i,0.0017023+0.0009914i,0.0026076+0.00105i,0.00252-0.00057893i,0.0010752-0.0016374i,0.00019804-0.00013848i,0.00031314+0.0014084i,0.00090857+0.0010104i,0.0015993+0.00021709i,0.0017917+0.00068875i,0.0016638+0.001229i,0.0013443+0.0012511i,0.0011282+0.0001781i,0.00076815-0.00034232i,0.00062139+0.00061849i,0.00048207+0.000551i
0.027216-0.0042176i,0.028659-0.01065i,0.020966-0.015284i,0.011953-0.013029i,0.0066577-0.0063806i,0.0026787-0.0026413i,-0.0015943-0.00077659i,-0.0010436+0.00052394i,0.0024796+0.00062764i,0.0035308-7.2631e-05i,0.0014682-0.0009066i,0.00078474-0.00071731i,0.0022799+0.00047112i,0.0029483+0.00075574i,0.0016938+0.00034491i,0.00051259-0.00019684i,0.0015367-7.8712e-05i,0.0024032+0.00039876i,0.0014916+0.00053417i,0.0002806-9.9401e-05i,-0.00020323-0.00039685i,-0.00026987-0.00051787i,-0.00034864-0.00061045i
