0.00095525+0.00088787i,0.0024978+0.00021212i,0.0036573-0.0020432i,0.004173-0.0040865i,0.002247-0.0038959i,-0.00017967-0.00048419i,0.00073274+0.0023816i,0.0027992+0.0021949i,0.0026952+0.00084102i,0.0016637-0.00029765i,0.0012306-0.00080999i,0.00057127-0.0012741i,-0.00054418-0.0011488i,-0.00026381-0.00047415i,-0.00014589-0.00021782i,-0.00052212-0.00014226i,-0.00012809+9.6327e-05i,0.00058095+3.3909e-05i,0.00071025-0.0004992i,1.5797e-05-0.00062942i,-0.00057014-0.00055526i,-0.00063588-0.00013054i,-0.00082272-0.00019796i
0.00014131-0.00020567i,0.00075061+0.00068597i,0.0029583-3.6718e-05i,0.004811-0.0016032i,0.0041989-0.0033374i,0.0019177-0.0031256i,0.0013942-0.00093512i,0.0016703+0.00082263i,0.00050273+0.00076242i,-0.00082009-0.00055163i,-0.0012058-0.00040647i,-0.00080535+0.00028397i,-0.000941-0.00040177i,-0.00055495-0.0010274i,0.00069614-0.00082256i,0.0010805-0.00025743i,0.00063213-0.00014152i,0.0009534-0.00032773i,0.0014751+0.0001713i,0.0010853+0.00090756i,0.00058815+0.00085579i,0.00047638-0.00039472i,0.00092274-0.00051051i
0.00088268+0.001994i,0.0007648+0.0012362i,0.0037639+0.0010074i,0.0072783-0.00022127i,0.0074319-0.0015815i,0.004126-0.0010707i,0.0025204+0.00075178i,0.0025415+0.0019814i,0.0015334+0.001344i,0.0010054+0.00032543i,0.00052864+0.00033789i,-0.00027088-0.00044947i,-5.0613e-05-0.00017405i,-9.1906e-05+0.00080017i,-0.00099052+6.6476e-05i,-0.0006166-0.00051098i,0.00085975+0.00010256i,0.0012276+0.00017805i,0.0011183+0.00021572i,0.0010412+8.3306e-05i,0.0013324-0.00039234i,0.00077653-0.00047876i,-0.00023305-0.00033269i
-0.0018436+0.00080175i,0.00032069+0.00084549i,0.0036149+0.00071921i,0.0065075-4.7219e-05i,0.0064376-0.0012395i,0.0045398-0.00097398i,0.0033024-0.00019703i,0.0023452+0.00032538i,0.00046167+0.00032794i,-0.00064597+0.00011469i,0.00018236+0.00017133i,0.00029033-0.00022155i,-0.00047171-0.00062865i,-0.00036308-0.00033775i,0.00025883+1.1174e-05i,-0.00024697+0.00092617i,-0.00052478+0.00092794i,-1.2532e-06-0.00046993i,0.00031516-0.00095258i,0.0005123-0.00024286i,0.00054573+0.00038206i,0.00087714+0.00099176i,0.00036789+0.0014535i
-0.00069978+0.00025426i,0.00075938+0.0012595i,0.0026468+0.0020743i,0.0044293-0.00032145i,0.0050355-0.0021078i,0.0030106-0.00060981i,0.0023311+0.0012037i,0.0029861+0.0015694i,0.0016491+0.00060719i,-0.00018153+0.00050673i,-0.00021547+0.0011196i,0.00016628+0.00089652i,0.00037707+8.1333e-05i,-0.00029659-0.00057167i,-0.00067858-0.00022572i,5.7013e-05+0.00018574i,0.00023966-0.00027261i,0.00013756-0.00041105i,0.00022897-0.00036127i,0.00062707-0.0012291i,0.00067415-0.0012344i,-0.00047288-0.00041345i,-0.0015881-0.00027798i
0.00057208+0.00070627i,0.0020195+0.00093449i,0.0047013+0.00051681i,0.0073497-0.0010603i,0.0064965-0.0020803i,0.003338-0.0012134i,0.002306+0.0010479i,0.0020526+0.0015831i,0.0013679+0.0007604i,0.00045401+0.00020409i,0.00014391-0.00012976i,0.0004266-0.00015879i,0.0006851+6.0527e-05i,0.00049682+0.00029073i,-0.00013885+0.00028451i,-0.00084564+0.00070302i,-0.00027393+0.00075067i,0.00046369-0.00027932i,0.00021108-0.00077628i,9.7735e-05-0.0002983i,0.00040875-8.2373e-06i,0.00024215+0.0002108i,-0.00052821+0.0005341i
0.0021104+0.0018864i,0.0017511+0.0021646i,0.0046544+0.0012063i,0.0072885-0.00033162i,0.0055893-0.0022676i,0.002057-0.0021023i,0.0012873+8.2965e-05i,0.0024489+0.0007644i,0.0020962+0.00068997i,0.0005192+0.00026055i,-0.00038903-0.00063693i,6.3658e-06-0.0004376i,0.00021744+6.1522e-05i,0.00026264+0.00061708i,0.0002205+0.00096867i,0.00054985+0.00080214i,0.00079558+0.0007453i,0.00041835+0.00076331i,0.00039106+0.00084578i,0.00021953+0.00076371i,-0.00020011+0.00072533i,-0.00020906+0.00033754i,-0.00029529-0.00037654i
0.0007609+0.0010663i,0.00078356+0.0026785i,0.0025895+0.0031192i,0.0049835+0.0012253i,0.0046344-0.0013045i,0.0011251-0.0012961i,-0.00023492+0.00025087i,0.0014774+0.0012606i,0.0018268+0.00088525i,0.00050338-0.00043247i,-0.00052965-0.00076044i,-0.00040684+8.7682e-06i,-0.00038972+0.00032243i,-0.00060548+0.00037731i,-1.1017e-06+0.0010506i,0.00042874+0.0016176i,0.00055359+0.00086919i,0.00067485+0.00032661i,0.00017012-0.00037729i,-0.00072084-0.00044588i,-0.00074907+0.0005313i,-0.00051343+0.0012234i,-0.0003668+0.00068028i
0.00068917+0.00027407i,0.001398-0.00063651i,0.0034408-0.00090268i,0.0047253-0.0018373i,0.0039475-0.0033328i,0.0018674-0.0027133i,0.0005977-0.00026258i,0.0012968+0.00058723i,0.0015385-0.00011743i,0.00074649+1.8256e-05i,0.00021443+0.00024438i,-0.00010772+0.00017846i,-0.0001662+0.00015843i,0.00018414+0.00042373i,0.00041005+0.00099534i,0.00060934+0.0011507i,0.00050087+0.00014338i,0.00035328-0.00090881i,0.00068311-0.00052991i,4.0364e-05-1.9079e-05i,-0.00057864-0.0004192i,0.00010886-0.0011905i,0.00074105-0.00056177i
0.00014841-0.00041818i,0.0026705+0.0012072i,0.0036611+0.0015838i,0.0054582+0.00016083i,0.0054918-0.0016511i,0.0027532-0.00094894i,0.0013408+0.00090991i,0.0014095+0.0011985i,0.0013685+0.00013125i,0.00061636-0.00011594i,0.00035656-3.934e-05i,0.00059714+0.00019068i,0.00043167+0.0002427i,-0.00021463-4.1468e-06i,-0.00099445+0.0003409i,-0.00028754+0.00014109i,0.0011768+0.00015257i,0.0015089+0.00017934i,0.00094743+0.00019898i,0.00028585+0.00038647i,0.0002113+0.00066559i,0.00056149+0.00041645i,0.00044664-7.8704e-05i
0.00056957+0.00073413i,0.00074476+2.023e-05i,0.0033487-0.0019173i,0.0058032-0.0040006i,0.0044978-0.0050012i,0.0013259-0.0027161i,0.0006012+0.00015784i,0.0014441+0.0010238i,0.00031393+0.0005673i,-0.0013142-0.00017722i,-0.001057+0.00020484i,-0.00064813+0.00026404i,-0.00040141-0.0004504i,-1.9999e-05+2.6145e-05i,-8.4327e-06+0.00071601i,-0.00040537+0.0006674i,-3.7719e-05+0.00026689i,0.0006511-2.4288e-05i,0.00017427-0.00066812i,-0.00014736-0.0009527i,5.8351e-05+0.00038217i,0.00022417+0.00060716i,0.00015356-2.4272e-05i
0.0012026+0.0011969i,0.0013525+0.0011848i,0.0039741+0.00069518i,0.0068339-0.0012254i,0.006504-0.0025057i,0.002832-0.0011039i,0.00094375+0.0017625i,0.0017599+0.0029062i,0.0019372+0.0019962i,0.00041726+0.0010516i,-0.00085586+6.03e-05i,-0.00079346+0.00020486i,-0.00038973+0.00049778i,0.00010974+8.257e-05i,0.00026837-0.00017429i,0.00014713+0.00019312i,-0.00016711+0.0011719i,-0.00033573+0.001821i,-0.00020111+0.0010913i,-0.00031566+0.00011479i,0.00017634-0.00010939i,0.00090605-4.8112e-05i,0.0010455-0.00059315i
0.00021774+0.0021568i,0.0017384+0.00080764i,0.0054823+0.00012648i,0.0083605-0.0013493i,0.0066934-0.002643i,0.0028492-0.0022224i,0.0012381-0.00013042i,0.0013947+0.00087744i,0.0015768+0.00027191i,0.0010781+0.00042326i,0.00012373+0.00011252i,-0.00064947-4.6173e-06i,-0.00012926-0.00035119i,0.00081245-0.00094883i,0.0013427+0.00013701i,0.0012927+0.00059999i,0.00036241-0.00036242i,-0.00018904-0.00089546i,7.1399e-05-0.0010307i,0.00016817-0.0012084i,0.00055668-0.00099796i,0.00059146-0.00048079i,-9.2309e-05-0.00014055i
0.00070796+0.0015563i,0.00085147+0.0028618i,0.004584+0.0026521i,0.0066097+0.00080638i,0.0051771-0.001461i,0.001977-0.0019955i,0.00089898+0.00012436i,0.0014942+0.0013895i,0.0011651+0.00076828i,0.00079577+0.00014335i,0.00076076-0.00020188i,-0.00032577-7.9309e-05i,-0.001254+0.000166i,-0.00091143+0.00039218i,-0.00056367+0.00050685i,0.0003697+1.8841e-05i,0.00061485+0.00012275i,0.00065802+0.00012511i,0.0012589+0.00028037i,0.0013681+0.00030808i,0.00090907-0.00033917i,-0.0004487-0.00080959i,-0.0016149-0.0012696i
-0.00072983+0.00074199i,-0.0006431+0.00087913i,0.0015112+0.0019167i,0.0042721+0.00032659i,0.0049321-0.0023721i,0.0027332-0.0015083i,0.0010282+0.00083193i,0.0014477+0.0014592i,0.0015081+0.00079895i,0.00038426-4.512e-05i,5.4694e-05-0.00013672i,0.00023232+0.00022938i,-0.0002893+0.00019733i,-0.00084894+0.00039457i,-0.00055287+0.00066016i,-0.00044671+0.00062647i,6.3857e-05+0.00084758i,0.00067932+0.00042021i,0.00069811+8.9954e-05i,0.00051437+0.00019501i,-0.00033369-0.00047772i,-0.00032246-0.00077557i,7.9343e-05+0.0001554i
0.0013799+0.00024415i,0.0020992-0.00021038i,0.0031091-0.001003i,0.0040341-0.0013462i,0.0043802-0.0017623i,0.0030666-0.0012277i,0.0020354+0.00011581i,0.0019941+0.00091364i,0.0016733+0.00022102i,0.0014878-0.00086398i,0.00075905-0.00031097i,0.00059718+0.00057932i,0.0016891-0.00013708i,0.0015284-0.00091721i,-0.00012654-0.0010327i,-0.00017755-0.00038827i,0.00064188+0.00024432i,0.00059218+0.00036315i,0.0009684-0.00011679i,0.0011117-3.7273e-05i,8.6716e-05+0.00021342i,-0.00074896+0.00017488i,-0.00091819+0.00054718i
0.001547+0.0017498i,0.0018547+0.0019534i,0.0053203+0.00052701i,0.0081286-0.0026292i,0.0062084-0.0047909i,0.0019639-0.0032316i,0.0012486+0.00014807i,0.0021904+0.0015243i,0.0017915+0.0005938i,0.00065017-0.00012285i,-0.00023173-0.00021415i,0.00025537-0.00019309i,0.00039794+0.0003952i,-0.00015536+0.0005713i,0.00034498+0.00069152i,0.00023983+0.00057938i,-0.00011754-0.00042295i,0.00031151-0.00067741i,0.00033373-0.00035951i,-4.3986e-05+0.00037558i,0.00013077+0.00039557i,0.00057973-2.2168e-05i,0.00038557-4.5403e-05i
0.00031928-0.00017086i,0.0008009-0.00065581i,0.0040635-0.00065994i,0.0073665-0.00076903i,0.0065217-0.0017563i,0.0037404-0.001352i,0.0022411+0.00026894i,0.0016611+0.0009968i,0.0013046+0.00028519i,0.00089424-0.00054714i,9.9403e-05-0.00028716i,-0.00054239-0.00036317i,0.00010027-0.00046941i,-3.36e-05+0.00037553i,-0.0010467+0.00044685i,-0.00087722-0.00054637i,0.00036355-0.00030655i,0.00056854-7.1794e-05i,0.0003091-0.00074824i,0.00055167-5.3536e-05i,0.00027329+0.00032188i,-0.00025536-0.00032933i,-0.00025665-0.00040553i
-8.8822e-05-0.00017721i,0.0015902+0.00013256i,0.0055022+0.0016645i,0.0078708+0.00065287i,0.0065662-0.0017455i,0.0033429-0.0012899i,0.0017898+0.0010432i,0.0017145+0.0018525i,0.0013514+0.00079357i,0.00061497+0.00050044i,0.00016688+0.00055256i,-5.8869e-05+0.00042956i,-0.0010013+0.00038748i,-0.0011158+5.7795e-05i,5.1926e-05-7.2633e-05i,0.00097915-0.00028301i,0.0007782-0.00020052i,0.00019779-3.311e-06i,0.00012271+0.00013673i,-2.6368e-05-0.00046028i,0.00010191-0.0010147i,0.00032681-0.00025794i,8.1861e-06+0.00016097i
-0.00061574+0.0010087i,7.2688e-05+0.0022428i,0.0025231+0.0023542i,0.0048937+0.00070872i,0.0050941-0.00064858i,0.0026306-0.00072553i,0.00050609+0.0010109i,0.00048333+0.0018052i,0.00096421+0.0012998i,0.0010378+0.00085943i,0.00082221+0.00077896i,0.00077066+0.00092443i,0.00030006+0.00092729i,-0.00073702+7.8678e-06i,-0.0011482-0.00067943i,-0.00037793-0.00040723i,6.2197e-05-0.00036884i,0.00015891-0.0001404i,0.00014137+0.00011115i,0.00015745-2.6345e-05i,0.00023473-7.1163e-05i,0.00051977+0.00026683i,0.00043033-9.4017e-05i
0.00053425+0.00078164i,0.00054782+0.0013454i,0.0033914+0.00060321i,0.0066611-0.0022528i,0.0062666-0.003558i,0.002264-0.0022536i,0.00047145+0.00056729i,0.00053552+0.0021749i,0.00024567+0.0012458i,0.00047603+0.00073386i,0.00072907+0.00088886i,0.0002932+0.00065465i,-0.00043032+0.00030113i,-0.00044194-0.00029304i,-6.1341e-05-4.8318e-05i,0.00012348+0.00035429i,0.00075244+6.1052e-05i,0.0012455-0.00093728i,0.00077887-0.0011895i,0.00048849-0.00028012i,0.00050434+0.00023281i,-8.3963e-05-5.1171e-05i,-0.00044588+0.00050349i
0.00024238-0.00079135i,0.00079915-0.00015664i,0.0028974+0.00051324i,0.0048253+0.00029146i,0.0050436-0.00094798i,0.003435-0.0014992i,0.0013172-0.00064185i,0.0011961+0.00055511i,0.0015762+0.0013761i,0.00097989+0.0012648i,0.00043302+0.0002752i,-8.0516e-05-0.00049964i,-0.00022277-0.00057563i,0.00035599+0.00044934i,7.4472e-05+0.00054002i,-0.00087032+0.0002389i,-0.00044533+0.00067408i,0.00086726+0.00077825i,0.00063111+0.00052529i,-9.8188e-05-0.00025926i,-0.0002791-0.00059205i,0.00022742+0.00048323i,0.00080132+0.0011202i
-0.00031174-3.3802e-05i,0.00095622-0.00034833i,0.0040778-0.00050025i,0.0069927-0.0012097i,0.0060537-0.0025973i,0.0028767-0.0014381i,0.0012944+0.00081534i,0.001451+0.0010405i,0.0011344+0.0002162i,-0.00054393-7.7457e-05i,-0.00080429+3.3311e-05i,0.00051314+4.1002e-06i,0.00046308+6.1844e-05i,-0.00019811+0.00029602i,0.00031283+0.00015898i,0.00094874+0.00031058i,0.001365+0.00045146i,0.0022045-0.00047315i,0.0024155-0.00094723i,0.00083432-0.0011278i,-0.00053036-0.0011244i,-0.00057832-0.00088832i,-0.0002526-0.00025875i
0.0013302+0.00076755i,0.002656+0.001142i,0.0051234+0.001824i,0.0064821+0.00013243i,0.0054952-0.0023325i,0.0028485-0.0017092i,0.0013618+0.00049672i,0.0014981+0.00079606i,0.0012429-7.3846e-05i,0.00043607+0.00019545i,9.4244e-05+0.00029825i,0.00079263-0.00028322i,0.00030957-0.00011148i,-0.00036138-7.1105e-05i,0.000541-0.00059613i,0.00068689-6.1665e-05i,0.00099181+0.00021507i,0.0010472-0.00065133i,0.00021744-0.00049224i,0.0003203+0.00019368i,7.9017e-05+0.00022116i,-0.00029905-0.00054178i,-0.00016795-0.00051486i
0.00055761+0.0016087i,0.0018854+0.0029399i,0.0045526+0.0035025i,0.0067741+0.0010114i,0.0061216-0.0020398i,0.0032298-0.0013866i,0.0019163+0.0013086i,0.0023748+0.0015178i,0.0017507+0.001004i,0.00036435+0.0012047i,-0.00054098+0.00076071i,-0.00011371+0.00055577i,0.00057718+0.00048988i,0.00029405+0.00045905i,8.9166e-05-3.6092e-06i,0.00024899+0.00011582i,0.00014673+0.00050006i,0.0004215+0.00093746i,0.00040273+0.0005959i,0.0004716-0.00050386i,-2.1649e-05-0.00090286i,-0.00071497-0.0014662i,-0.00050371-0.0016376i
-0.0014362+0.00097734i,-0.001023+0.0014083i,0.00189+0.0019588i,0.0057705+0.00080507i,0.0061077-0.00078893i,0.0028408-0.00021155i,0.0010819+0.0016441i,0.0013639+0.0020658i,0.00098352+0.00079708i,0.0005044-7.6665e-05i,0.00061028-0.00034683i,0.00031771-0.00030006i,-0.00012062-0.0002136i,-0.00028269-0.00065539i,-4.0137e-05-0.0010123i,-6.3559e-05-0.0010651i,0.0003512-0.00063133i,0.0011115-0.00042303i,0.0009908+8.9165e-05i,0.00039759+0.0008568i,0.00027029+0.0010035i,0.00069024+0.00032153i,0.00074805+1.8343e-05i
-6.151e-05+0.0007579i,0.00024267+0.00055156i,0.0029657+0.00078477i,0.0050418+0.00031064i,0.0036185-0.0021433i,0.0010372-0.0018409i,0.00035872+0.00089957i,0.0011645+0.0018128i,0.0011066+0.00038369i,0.00017266-0.00043955i,0.00013839+0.00038267i,0.00019348+0.00099549i,-5.4554e-05+0.00013888i,-0.00012654-0.00048031i,-5.7955e-05-0.00049758i,9.2381e-05-0.00050885i,0.00070388+0.00034058i,0.00088816+0.00048911i,0.00069347+4.6481e-05i,0.00096094-0.00046047i,0.0013128-0.00066242i,0.00088032-0.00083287i,0.0003445-7.7953e-05i
3.5445e-05+0.000766i,0.0015141+0.001245i,0.0045371+0.001732i,0.0076538+0.0013499i,0.0070487+0.00014921i,0.0039577-8.492e-05i,0.0014155+0.00087577i,0.0010896+0.00070671i,0.0011452+0.00016771i,0.00033526-0.00013778i,-0.00030316-0.00035326i,7.6196e-05-0.00078603i,0.00058455-0.00090136i,0.00033477-2.2652e-05i,-0.00054551+9.1581e-05i,-0.00048684-0.00040509i,-0.00011527+3.2098e-05i,2.8063e-05+0.00037027i,0.00023796+0.00035302i,0.00031269+0.00045234i,0.00055486-6.4427e-05i,0.00035454-0.00049147i,-0.00013053+0.00026484i
-0.0006448-4.8453e-05i,0.00059125+0.0008823i,0.0022919+0.000927i,0.0042637+0.00018729i,0.004223-0.00091134i,0.0027969-6.887e-06i,0.002191+0.001397i,0.0021546+0.00083597i,0.0015451+9.372e-05i,0.0007292+0.00024373i,0.00010885+0.00026827i,-5.8987e-05+0.00021544i,0.00021235-0.00021859i,-0.00049052-1.067e-05i,-0.0011862+0.00062895i,-0.00049864-0.00012989i,0.00024647-0.00024576i,0.00052375-1.1658e-05i,0.00033327-0.00049973i,0.00012544-0.00057988i,0.00024935-1.4486e-05i,-0.00029323+0.00070026i,-0.0014909+0.00092396i
-0.0011124+0.00070502i,-0.00066054+0.0010741i,0.0013599+0.00048629i,0.0040378-0.0012428i,0.004073-0.0035534i,0.0026207-0.0024967i,0.0016676+0.00068981i,0.0023627+0.0012924i,0.0019077+0.00067509i,0.00056054+0.00039397i,1.3491e-05+0.00073016i,-0.0001149+0.00091133i,9.7844e-05+0.00033872i,-0.00022512+0.00038682i,-0.00059562+0.0010925i,0.00043652+0.0016246i,0.0013007+0.0015953i,0.0014098+0.001204i,0.00093529+0.0012245i,-0.00023881+0.00085409i,-0.00063174+0.00015586i,-0.00071527-0.00019505i,-0.00068968-8.4735e-05i
0.00097711+0.0015269i,0.00099787+0.0011931i,0.0032731+0.00056653i,0.0060583-0.0008836i,0.0056445-0.0019935i,0.0028591-0.0016732i,0.00098417+0.00044607i,0.00070494+0.0012343i,0.00044488+0.00043819i,-8.6596e-05-0.00042832i,-0.00040456-0.00053573i,0.00016057-7.5421e-05i,0.0007872+0.00027694i,0.0010428+0.00044557i,0.0010998+0.0010486i,0.00043962+0.00090806i,0.00099524+0.00014252i,0.0014884+0.0002381i,0.0011228-0.00010482i,0.00063768-0.00069479i,0.0002814-0.00020855i,-0.00050918+0.00059528i,-0.00080682+0.00029747i
0.00019447+0.00039527i,0.0016672+0.001256i,0.0038971+0.00085397i,0.0066629-0.00065653i,0.0055402-0.0022787i,0.0022978-0.001462i,0.001134+0.001199i,0.0017092+0.001954i,0.0021216+0.00055113i,0.0012605-0.00023627i,0.00038395-0.00027928i,0.00036867-0.00034945i,0.0006356-0.00010456i,0.00027123+0.00059893i,-0.00049204+0.00060206i,-0.00066475+0.00025644i,0.00045623-8.0217e-05i,0.0013143-0.00059164i,0.00060297-0.00077832i,0.00029207-0.00034646i,0.0003769-0.00037683i,0.00047277-0.0006867i,0.00016606+5.8334e-05i
0.00088788-0.0013975i,0.0017673-0.0012421i,0.0042199-0.00092303i,0.006849-0.0012982i,0.0056038-0.0024237i,0.0021243-0.0013982i,0.00074837+0.00096868i,0.0013504+0.0019466i,0.0013675+0.0019028i,0.00075693+0.0014988i,-0.00027725+0.00082527i,-0.00019396+0.0008359i,8.5397e-05+0.00080359i,-0.00029792+0.00016397i,0.00015052+0.00019862i,0.00048577+0.00045245i,0.00040075+0.00016439i,0.0004174+0.00067658i,6.2581e-05+0.00059594i,-0.00010652+0.00025618i,-0.00012309+0.00011541i,0.00023436-6.7545e-05i,0.00041318-0.00010762i
-0.00082881+0.0005249i,0.0012696+0.0015581i,0.0040344+0.0026622i,0.0068298+0.0014811i,0.0073733-0.00021353i,0.0048566-0.00026249i,0.002567+0.00079077i,0.0016601+0.00082203i,0.00085698+0.00077622i,-0.00026463+0.00083959i,-0.00094297+0.00019764i,-2.0797e-05+0.00057807i,0.00095451+0.001089i,0.00027923+0.0009711i,-0.00067633+0.00059357i,-0.00016836+0.0010009i,0.00068142+0.0013908i,0.0015641+8.8577e-05i,0.0016485-0.0001325i,0.0004396+0.0006188i,0.00033053+0.00036165i,-9.4669e-05-0.00020998i,-0.0004271-0.00019903i
-0.0012935+0.0014913i,-0.001779+0.0021205i,0.0015369+0.0022818i,0.0056157+0.0011352i,0.005118-0.00077687i,0.0021783-0.0026506i,0.00063011-0.0010085i,0.00060691+0.0011709i,0.00080688+0.0014591i,0.00032286+0.00058488i,-9.6122e-05-0.00023588i,0.00021233-0.00074234i,0.00030392-0.00051629i,-0.00038432-0.00046334i,-0.00075742-7.7875e-05i,-0.00030884-0.00022498i,0.00096759-0.00046795i,0.0019377+0.00033153i,0.0012377+0.00035455i,0.00017775-0.00040062i,-0.00035205-0.00067049i,-0.00024337-0.000128i,-0.00074875+4.7847e-05i
0.00052698-0.0011573i,0.00082359-0.00071084i,0.0019565-0.0013508i,0.0044699-0.0019141i,0.0043912-0.0029138i,0.0025867-0.0025723i,0.0021916+0.00086359i,0.0025497+0.002215i,0.0019787+0.00092142i,0.0006053-8.795e-05i,-0.00023017-0.0011869i,-6.9545e-05-0.00093928i,-0.00013388-0.00029023i,0.00013643-0.00034577i,0.00047486+0.00023417i,0.0003977+0.00090348i,0.00061911+0.00069387i,0.001029+1.3101e-05i,0.00067367-0.00034735i,-0.00049945-0.00040002i,-0.0010666-0.00040289i,-0.00079966-0.00040697i,-0.00047899-0.00018595i
0.0014214-0.00113i,0.0031962-0.0010487i,0.0054433-0.0011i,0.0068245-0.0020011i,0.0048089-0.0031808i,0.0014566-0.0019701i,0.00057032+0.0011152i,0.00093502+0.0011828i,0.00056005-0.00042058i,0.00054548-0.00055482i,4.282e-05-0.00052388i,-0.0002356-0.0010849i,-0.00013824-0.0010512i,0.00068175-3.3746e-05i,0.0010613+0.0014557i,9.4541e-05+0.0017298i,0.00050101+0.00033355i,0.0015483-0.00070927i,0.00087905-0.00070172i,0.00014567-0.00037099i,0.00036421+0.00021116i,0.00077646+0.00012538i,0.00077994-0.0002799i
0.00012922+0.0018077i,0.0022965+0.0014428i,0.0062022+0.0018745i,0.0086859+0.00037999i,0.0077828-0.002247i,0.0044505-0.0012087i,0.0014749+0.00033146i,0.00094818+0.00021998i,0.00089162+0.0002782i,0.00050558+0.00027845i,0.00014015+1.714e-05i,-0.00028274-0.0006627i,-0.00052626-0.0010355i,-0.00056692-0.0003687i,-0.00037578-9.6746e-05i,0.00027615+9.0591e-05i,0.0012272+0.00056001i,0.0012064+0.00017577i,0.001531-0.00060263i,0.0010345-0.00023879i,-7.5498e-05+9.6035e-05i,0.0002734-0.00051496i,0.00064235-0.00048395i
-0.0014765+0.0016437i,-0.00060552+0.0021238i,0.0029631+0.0033791i,0.0068332+0.0028669i,0.0075067-0.0002466i,0.0035059-0.00093075i,0.00085315+0.00061586i,0.0020415+0.0015054i,0.0021569+0.0011024i,0.00087085-0.00010831i,-2.7332e-05-9.4396e-05i,-0.00024461+7.2457e-05i,0.00032831-9.5064e-05i,0.0010907-0.00027008i,0.00086562-6.8761e-05i,-1.146e-05+0.00045116i,-9.9441e-05+0.0004675i,0.00064145-0.00015119i,0.00092872-0.00052424i,0.000165+0.00021951i,-0.00036019+0.00093029i,-0.00041742+0.0010119i,-0.00074646+0.00091102i
-0.0010017-0.00025994i,0.00012751+1.6716e-05i,0.0025376+0.00014924i,0.0056698-0.0014864i,0.0058032-0.0023291i,0.0024478-0.0014785i,0.00079419+0.00062812i,0.0015818+0.0018735i,0.0015478+0.0012662i,0.0011564+0.0010656i,0.00095264+0.0013318i,0.00029274+0.00042498i,-0.00025228-0.0011354i,0.0002426-0.0012618i,0.00056155-0.00017494i,0.0013194-0.00010907i,0.0012647+0.00011423i,0.00070192+0.00082299i,0.00021251+0.00075018i,-0.00019546-0.00020158i,-0.00033513+5.8006e-05i,-0.00012934+0.00097276i,0.00013371+0.00049106i
0.00014786+0.00096366i,0.00091692+0.0010824i,0.0032392-6.9427e-05i,0.0056769-0.0011832i,0.0051833-0.001496i,0.003062-0.0011034i,0.0012106+0.0007315i,0.00064227+0.0016986i,0.00056032+0.0010277i,2.6426e-05+0.00013866i,-0.00017255-5.5137e-05i,0.00028635+4.2227e-05i,0.00046278-0.00018808i,0.00025299-0.00053643i,0.00015025-0.00031441i,0.00011815+8.6603e-05i,0.00026752+0.00029061i,0.00034659+0.00017841i,0.00021884-0.00047762i,0.00043839-0.00099545i,0.00056697-0.0010451i,0.00015995-0.00073969i,7.4642e-05-0.00046265i
-0.0012756+0.00125i,-0.0003226+0.00015752i,0.0033625+0.00017855i,0.0072508-0.00073251i,0.0067488-0.0023502i,0.0036963-0.001832i,0.0020783-0.00011245i,0.0017464+0.00072947i,0.00081977+0.00054495i,-0.00013823+0.00024546i,-0.00033158+0.0005878i,-0.00059585+0.00099254i,-0.000561+0.00068769i,0.00023744+0.00038616i,0.00095645-2.6247e-05i,0.0012198-0.00017216i,0.0010377-0.00037249i,0.0010748-0.00074999i,0.0010084-0.00048269i,0.00056994-0.00024337i,8.4002e-05-3.057e-05i,-0.00042673-0.00022197i,-0.00077838-0.00010773i
0.00099714-0.00062563i,0.0025392-0.00010988i,0.0060127+0.00061214i,0.0080812-0.00023932i,0.0074477-0.0022411i,0.0044851-0.0019509i,0.0021582+0.00046547i,0.0021188+0.0013034i,0.002041+0.00050971i,0.001095-0.00017965i,0.00040079-0.00085157i,0.00029597-0.0015188i,0.00027542-0.0011547i,0.00060484-8.9597e-05i,0.00047147+0.00094767i,0.00014122+0.00058652i,0.00076845-0.0003523i,0.001102-0.00011414i,0.00097428+0.00038942i,0.00061634+0.00038682i,0.00016921+0.00016716i,0.00030686+0.00019454i,0.00062497-0.00033874i
0.00074827+0.00052871i,0.0012584+0.0024415i,0.0040036+0.0042755i,0.0074262+0.0024876i,0.0075706-0.0011215i,0.0045892-0.0011398i,0.0022061+0.00061822i,0.0010312+0.0013669i,0.00038493+0.00049814i,0.00020744-0.00036928i,0.00057345-0.00091018i,0.00067501-0.00022564i,-3.9385e-05+0.00023237i,8.6025e-05+2.2412e-05i,6.6504e-05+0.0007671i,-1.2508e-05+0.00050627i,0.00076938+0.00018945i,0.00062741-0.00029665i,0.00066895-0.00059896i,0.0010853-0.00077338i,0.00063912-0.00046088i,0.00062521+0.00062557i,0.00011691+0.00083223i
5.0912e-05-0.00058478i,-0.00026052+0.00074053i,0.00092175+0.0011328i,0.00419+0.00045287i,0.0053171-0.00060173i,0.0034598-0.00021915i,0.0023124+0.0017982i,0.0021216+0.0026007i,0.0012333+0.0011751i,0.00022565+4.9546e-05i,0.00025498+0.00060817i,0.00050845+0.00039678i,-1.3907e-05-0.00063116i,-0.00020179-0.00066106i,7.7175e-05-0.0001868i,0.00067947+0.00037323i,0.0013981+0.00071639i,0.001056+0.0011438i,0.00036223+0.0011615i,0.00019781+0.00048689i,0.00063299+0.00050148i,0.00040092+0.00088299i,-0.00068307+0.0001649i
