-0.0024114+0.0005765i,-0.0009831+0.00093558i,-0.0019329+0.0040084i,-0.0024711+0.0072564i,-0.0019894+0.0085699i,-0.00093227+0.0055047i,-0.00073457+0.0022943i,-0.0004031+0.00069497i,0.00039661-0.00068761i,0.00043034-0.00062397i,0.00012105-0.00054365i,-0.00027995-0.0010265i,-0.00051521-0.0013337i,-0.00095562-0.0013038i,-0.0017728-0.0012217i,-0.00091916-0.00039087i,-8.0051e-05+0.00030418i,-0.00068714+0.00044848i,-0.00098128+0.00047518i,-0.00023849+0.00030968i,-9.9093e-05+0.00086928i,-0.00050702+0.0010574i,-0.00030454+0.00072771i
0.35459+0.12421i,0.57247+0.060197i,0.64013-0.1626i,0.4367-0.41134i,0.13888-0.43086i,-0.013165-0.27855i,-0.046563-0.20348i,-0.071813-0.15663i,-0.056967-0.069474i,-0.0055906-0.014034i,0.025521+0.0027325i,0.028243+0.00047586i,0.0128-0.003915i,0.0029531+0.002443i,0.0066909+0.0080189i,0.011088+0.011604i,0.013245+0.010614i,0.010952+0.0024815i,0.0073741-0.0071103i,0.0071266-0.016641i,0.0060905-0.021482i,0.0066037-0.015622i,0.009685-0.0062836i
0.047662+0.38877i,0.19659+0.57602i,0.40594+0.56019i,0.53359+0.29862i,0.48038+0.040846i,0.31866-0.054753i,0.1716-0.05174i,0.064794-0.035835i,0.012825-0.011411i,0.010328+0.01901i,0.022634+0.030223i,0.028796+0.024995i,0.031492+0.016154i,0.031578+0.0047248i,0.022019-0.0023595i,0.008084-0.00091406i,0.0043852+0.00081272i,0.0091323-0.0029962i,0.011821-0.0040774i,0.014883+0.0048335i,0.020118+0.015823i,0.019133+0.016302i,0.013763+0.0075756i
-0.31321+0.19195i,-0.35011+0.36066i,-0.13723+0.40474i,0.1931+0.24475i,0.29598+0.058284i,0.22685-0.02492i,0.18795-0.092388i,0.12414-0.15101i,0.034744-0.11405i,-0.0029324-0.043341i,-0.012342-0.0088734i,-0.012288+0.0077576i,-0.0021527+0.0082583i,0.004064+0.0027965i,0.0048472+0.0072582i,0.0010247+0.015233i,-0.0037491+0.019774i,0.0001715+0.017693i,0.0075101+0.010715i,0.0087744+0.0038498i,0.0042476-0.00080889i,-0.001798-0.0013979i,-0.0045897+0.0024628i
-0.33098-0.19347i,-0.53439-0.14246i,-0.5435+0.081136i,-0.26807+0.34151i,0.041442+0.3787i,0.15452+0.22936i,0.13333+0.10061i,0.10402+0.031122i,0.065714+0.0013986i,0.012618+0.0052606i,-0.018278+0.017302i,-0.019335+0.020443i,-0.0077075+0.01981i,0.0041963+0.021152i,0.0086905+0.015884i,0.005073-0.00085569i,-0.00025768-0.012925i,-0.0023135-0.0086374i,-0.0012686+0.0019329i,-0.0053727+0.014377i,-0.01258+0.027149i,-0.013732+0.026078i,-0.0095837+0.012391i
0.040336-0.37409i,-0.033862-0.50632i,-0.060512-0.37028i,-0.0049248-0.013002i,0.033661+0.21394i,0.029023+0.2005i,0.057644+0.12032i,0.10133+0.0432i,0.083124-0.01031i,0.03931-0.018675i,0.015929-0.01684i,-0.0038892-0.015682i,-0.014178-0.0039155i,-0.0083169+0.012053i,-0.00065335+0.021219i,0.0027157+0.017674i,-0.00010112+0.010205i,-0.0032639+0.0076429i,-0.0016593+0.0051358i,-0.0029282-0.0037833i,-0.0085335-0.015979i,-0.010871-0.021222i,-0.0092267-0.015413i
0.34567-0.14057i,0.40237-0.32814i,0.22073-0.33613i,-0.11534-0.085578i,-0.28027+0.16576i,-0.21842+0.242i,-0.13292+0.21957i,-0.066997+0.18892i,-0.017522+0.13445i,-0.0044358+0.058309i,-0.00496+0.0023257i,-0.0034987-0.019397i,-0.0040331-0.011693i,-0.0071281+0.0019121i,-0.0075644+0.0029665i,0.0011602-0.0030797i,0.0085727-0.0094636i,0.0038514-0.010535i,-0.0045406-0.0046207i,-0.010754-0.00042363i,-0.014316+0.00057884i,-0.010678-0.0019693i,-0.0032375-0.0095851i
0.28575+0.26103i,0.50662+0.31352i,0.45428+0.33834i,0.097502+0.33125i,-0.17911+0.2613i,-0.20212+0.14647i,-0.11977+0.063361i,-0.045464+0.048077i,-0.0029083+0.037279i,0.0054942+0.012614i,0.0041352-0.0037628i,0.0050236-0.01495i,-0.0010489-0.020795i,-0.014597-0.015563i,-0.020195-0.0019152i,-0.012296+0.013193i,-0.0050334+0.018947i,-0.0038412+0.013786i,-0.00040238+0.0062417i,0.0096397-0.0056438i,0.016097-0.020957i,0.011926-0.025188i,0.0057421-0.016677i
-0.094338+0.35197i,0.0003356+0.55825i,-0.0027252+0.47915i,-0.17922+0.10722i,-0.3383-0.17289i,-0.34974-0.2323i,-0.30938-0.20469i,-0.27523-0.12752i,-0.19705-0.044528i,-0.097462-0.01063i,-0.02254-0.00078531i,0.018577+0.0023997i,0.019913-0.0040275i,0.0056305-0.013428i,0.0012085-0.022012i,0.00094251-0.024148i,-5.5635e-05-0.01906i,-0.00243-0.016022i,-0.0064978-0.015115i,-0.0077897-0.0083324i,-0.0047324+0.0027776i,0.0015978+0.0085546i,0.0083207+0.0054869i
-0.3601+0.094408i,-0.59676+0.34325i,-0.73394+0.43216i,-0.66536+0.22456i,-0.47754-0.044386i,-0.28422-0.16236i,-0.14758-0.16437i,-0.083232-0.13027i,-0.04465-0.083482i,-0.0077638-0.045665i,0.012149-0.019131i,0.016399+0.0027211i,0.021795+0.0072483i,0.02612-0.0064205i,0.020395-0.014544i,0.0045769-0.010173i,-0.011742-0.0047325i,-0.015578-0.0013013i,-0.009322+0.00060999i,0.00051383+0.001471i,0.01051-0.00081624i,0.011278-0.0065867i,0.0030169-0.008024i
-0.22905-0.24389i,-0.5458-0.30935i,-0.62987-0.37096i,-0.34724-0.43381i,-0.017256-0.45496i,0.12481-0.41189i,0.13003-0.33778i,0.075061-0.26065i,0.026969-0.17754i,0.0087322-0.10596i,-0.0054445-0.045581i,-0.0091303+0.0022372i,0.0053384+0.014274i,0.019718+0.0024247i,0.02814-0.0093244i,0.031026-0.020162i,0.024397-0.029039i,0.01402-0.030592i,0.0056329-0.025007i,-0.0014196-0.011315i,-0.0080195+0.0038484i,-0.010841+0.0084449i,-0.0091768+0.0037099i
0.068977-0.31517i,-0.13543-0.69651i,-0.31389-0.92587i,-0.29099-0.78749i,-0.10374-0.47053i,0.093453-0.24221i,0.18442-0.14378i,0.18243-0.10237i,0.13929-0.061011i,0.084763-0.022314i,0.031205-0.0059484i,-0.0097964-0.0019652i,-0.018924+0.0073467i,-0.0024362+0.018446i,0.013115+0.021194i,0.016178+0.01434i,0.0091338+0.0044667i,0.0014316+0.00091733i,0.00081679+0.00093241i,0.0037293-0.00045571i,0.0077699-0.0033929i,0.0099927-0.0076065i,0.0055972-0.010027i
0.2789-0.08279i,0.51647-0.41509i,0.63463-0.59615i,0.57256-0.42489i,0.47613-0.15574i,0.38666-0.026031i,0.25278-0.0096213i,0.13888-0.0063672i,0.090545+0.0061029i,0.07131+0.0039997i,0.047289-0.012357i,0.021458-0.020323i,0.0053435-0.010632i,0.0036029+0.00075527i,0.0096752+0.0031646i,0.018405+0.0015957i,0.024099-0.0014708i,0.02277-0.0069931i,0.01649-0.012492i,0.0042148-0.011943i,-0.0071954-0.0058548i,-0.0083966-0.0026478i,-0.0016012-0.0056003i
0.19009+0.1412i,0.6204+0.088619i,0.85666-0.090033i,0.62856-0.21836i,0.23716-0.10389i,0.022538+0.097145i,-0.01887+0.16568i,-0.0094147+0.15375i,0.0034372+0.13407i,0.01372+0.092986i,0.019121+0.034292i,0.01677-0.0074775i,0.008005-0.015712i,0.00064386-0.0071515i,-0.0050559+0.00093129i,-0.010933+0.010718i,-0.012239+0.016339i,-0.013244+0.012336i,-0.014185+0.0089967i,-0.010251+0.0079872i,-0.0010396+0.0050918i,0.0054499-0.00081612i,0.0019168-0.0056134i
-0.023751+0.21366i,0.18328+0.58595i,0.3841+0.78869i,0.37289+0.65135i,0.1965+0.44088i,0.06726+0.3016i,0.010893+0.15176i,-0.040797+0.042571i,-0.057083+0.027085i,-0.032505+0.033541i,-0.0051643+0.031724i,0.016269+0.029805i,0.026321+0.01529i,0.021522-0.0045371i,0.012625-0.017311i,0.0061983-0.022987i,0.0023827-0.018533i,0.0058225-0.0096857i,0.011322-0.0063704i,0.010668-0.0072297i,0.0055495-0.0055119i,3.2405e-05-0.0010842i,0.00034836+0.0017672i
-0.12533+0.081634i,-0.258+0.4207i,-0.19402+0.62617i,-0.007866+0.44044i,-0.023978+0.096429i,-0.17777-0.081532i,-0.19138-0.11162i,-0.12705-0.10359i,-0.10743-0.061284i,-0.089709-0.010083i,-0.054108+0.011044i,-0.025892+0.012173i,-0.0090061+0.010203i,0.0022244+0.01001i,0.0079327+0.0061849i,0.0018186-0.0012764i,-0.010383-0.0031544i,-0.016105-0.00030822i,-0.013755-0.0023259i,-0.0063804-0.0057672i,0.002243-0.0057364i,0.0082791-0.004977i,0.0075448-0.0042581i
-0.14176-0.033618i,-0.55559+0.0023009i,-0.81979+0.143i,-0.6833+0.26656i,-0.39269+0.21185i,-0.21673+0.048364i,-0.11903-0.069501i,-0.04831-0.11252i,-0.024297-0.097236i,-0.023416-0.060013i,-0.024347-0.030893i,-0.026771-0.005029i,-0.016269+0.014398i,0.0027037+0.014529i,0.017435+0.00061298i,0.025746-0.015251i,0.02636-0.018949i,0.019594-0.0091599i,0.015678+0.0025863i,0.016661+0.0080571i,0.014736+0.006725i,0.0077482+0.0020572i,0.0014742-0.0014041i
-0.050362-0.096964i,-0.22877-0.35351i,-0.35803-0.37203i,-0.27386-0.13953i,-0.10862-0.075725i,-0.049074-0.20498i,-0.04068-0.20985i,0.0054349-0.11648i,0.025762-0.079664i,0.0040706-0.074594i,-0.0024186-0.069069i,0.0015095-0.061481i,-0.00014833-0.039284i,-0.0029264-0.013969i,-0.0044825+0.0055091i,-0.0031195+0.015447i,-0.0067531+0.012073i,-0.0154+0.0032585i,-0.020281+0.00084871i,-0.016589+0.0068341i,-0.0072523+0.011705i,-0.0038172+0.010712i,-0.0076629+0.0078065i
0.012131-0.1244i,0.1234-0.451i,0.026161-0.66756i,-0.2127-0.52024i,-0.24412-0.21667i,-0.084367-0.083223i,0.0044616-0.078602i,0.01677-0.046861i,0.033491-0.013352i,0.04037-0.016814i,0.037965-0.020558i,0.036609-0.016778i,0.025776-0.018572i,0.0062498-0.023461i,-0.0076293-0.025751i,-0.0051108-0.020335i,0.0028481-0.010636i,-0.00075619-0.0010308i,-0.0090043+0.011611i,-0.0056012+0.023538i,0.001893+0.025758i,2.5915e-05+0.018252i,-0.0031906+0.010309i
0.098573-0.065356i,0.34929-0.03687i,0.37138-0.045806i,0.11474-0.035518i,-0.012971-0.02445i,0.091209-0.11756i,0.11566-0.19767i,0.046242-0.12701i,0.030123-0.04535i,0.033762-0.029998i,0.03659-0.0070992i,0.046821+0.015465i,0.038265+0.014503i,0.014719+0.01045i,-0.0064439+0.010824i,-0.024947+0.014836i,-0.03391+0.013216i,-0.026337-0.0031747i,-0.017566-0.02199i,-0.020063-0.026569i,-0.022956-0.018024i,-0.017667-0.01145i,-0.010745-0.011692i
0.14526+0.033542i,0.27677+0.21624i,0.36703+0.1717i,0.24218-0.068545i,0.02218-0.15768i,-0.035009-0.10335i,-0.0058231-0.12542i,-0.038972-0.13897i,-0.054279-0.062526i,-0.024453+0.00084639i,-0.014162+0.03342i,-0.0088508+0.059074i,0.015636+0.054013i,0.040511+0.013106i,0.045969-0.031752i,0.034682-0.051066i,0.022725-0.044355i,0.012277-0.029905i,0.00033909-0.017529i,-0.0060609-0.0062933i,-0.0082546-0.00047508i,-0.011791-0.0034521i,-0.01236-0.0050558i
0.031708+0.15996i,-0.15028+0.29355i,-0.24085+0.31479i,-0.23144+0.14854i,-0.17607+0.010351i,-0.020586+0.017917i,0.11574+0.0073252i,0.1025-0.035882i,0.057712-0.02258i,0.048035-0.010599i,0.014036-0.015169i,-0.018569-0.0032326i,-0.018986+0.0037542i,-0.013482+0.0045396i,-0.015049+0.003382i,-0.02498-0.005797i,-0.03104-0.01502i,-0.021958-0.020273i,-0.007822-0.022186i,0.0001642-0.025308i,0.0021563-0.029274i,0.0042363-0.025204i,0.0072694-0.013i
-0.1168+0.13462i,-0.25124+0.091068i,-0.24935+0.12172i,-0.10027+0.12107i,-0.007029+0.033024i,0.010051+0.015882i,0.073012+0.016909i,0.10913-0.045678i,0.064099-0.072217i,0.01296-0.057772i,-0.030775-0.056655i,-0.061451-0.04335i,-0.050015-0.012488i,-0.01329+0.0084749i,0.026206+0.0069693i,0.051628-0.010397i,0.048783-0.019026i,0.030723-0.0073125i,0.017465+0.0095995i,0.017799+0.015901i,0.021627+0.0079049i,0.015828-0.0039307i,0.0086182-0.0064944i
-0.17102-0.068665i,-0.18419-0.20603i,-0.24889-0.28326i,-0.28532-0.2587i,-0.21639-0.17741i,-0.14575-0.076187i,-0.088248+0.012316i,-0.023641+0.044558i,0.0058331+0.046423i,0.014075+0.043334i,0.021802+0.020528i,0.022964-0.0015518i,0.015781-0.0051735i,-0.0015662+0.004827i,-0.017695+0.021699i,-0.0209+0.024745i,-0.013177+0.0069246i,-0.001975-0.01268i,0.004444-0.02134i,0.0060209-0.019902i,0.012705-0.013042i,0.018992-0.006069i,0.015084+0.00018508i
-0.025219-0.18165i,0.020559-0.18083i,-0.052552-0.13718i,-0.14619-0.061621i,-0.15984-0.020689i,-0.17469-0.044168i,-0.19417-0.046792i,-0.13284-0.0060421i,-0.043296+0.018283i,0.0052339+0.0126i,0.02892-0.0096825i,0.039107-0.023656i,0.041041-0.021007i,0.038801-0.020789i,0.03888-0.023229i,0.046434-0.022686i,0.044288-0.017527i,0.021703-0.0086774i,-0.003002+0.0040668i,-0.0049988+0.020216i,0.011628+0.027786i,0.018288+0.019394i,0.010025+0.0088489i
0.13561-0.081663i,0.11502-0.046571i,0.034107-0.14522i,-0.049404-0.27579i,-0.10562-0.28202i,-0.15217-0.23102i,-0.18495-0.17375i,-0.16076-0.093513i,-0.099286-0.025256i,-0.054965+0.0064207i,-0.031419+0.014419i,-0.020832+0.013302i,-0.020355+0.0039956i,-0.033672-0.011915i,-0.06033-0.015786i,-0.072241-0.0056113i,-0.057377+0.00070855i,-0.029139+0.0024876i,-0.0046401+0.0013638i,0.0037726-0.0014463i,0.0029285+0.0040685i,0.0036657+0.016443i,0.0072218+0.022577i
0.094344+0.095701i,-0.02704+0.048564i,-0.099091-0.073084i,-0.10403-0.15036i,-0.07573-0.1447i,-0.012052-0.18734i,-0.0098062-0.27542i,-0.063938-0.2542i,-0.076536-0.14185i,-0.056903-0.065226i,-0.04177-0.032565i,-0.029308-0.0052541i,-0.0085524+0.014781i,0.023321+0.018276i,0.050625+0.0085868i,0.060918+0.0018824i,0.048242+0.0057515i,0.020887+0.012889i,0.00459+0.020276i,0.0034252+0.026455i,0.0012399+0.028549i,-0.0031813+0.020728i,-0.0056643+0.0056844i
-0.075413+0.097793i,-0.0621-0.072123i,0.045449-0.21143i,0.15953-0.24943i,0.17049-0.28735i,0.10095-0.35233i,0.015923-0.35375i,-0.037781-0.23863i,-0.043688-0.11273i,-0.042987-0.050862i,-0.039561-0.019857i,-0.01246-0.016071i,0.0086856-0.033669i,0.0038665-0.041092i,-0.011296-0.041793i,-0.029228-0.042407i,-0.042472-0.042574i,-0.041226-0.038678i,-0.032631-0.026801i,-0.02727-0.015741i,-0.028066-0.0078069i,-0.027128+0.0027413i,-0.018185+0.012297i
-0.1149-0.070933i,0.030745-0.18476i,0.13252-0.25761i,0.07453-0.21845i,0.0034773-0.091371i,0.026155-0.03229i,0.065483-0.090765i,0.064118-0.13413i,0.052602-0.10848i,0.045176-0.073394i,0.04128-0.047365i,0.04357-0.02646i,0.042297-0.010256i,0.044952+0.0056274i,0.054383+0.011806i,0.052389+0.0072068i,0.028119-0.0030582i,-0.012823-0.009648i,-0.039408+0.0039237i,-0.028686+0.021412i,-0.004639+0.018019i,0.0061568+0.0039391i,0.011551-0.0045976i
0.044415-0.14094i,0.17802-0.020035i,0.23439+0.14765i,0.20416+0.21348i,0.18514+0.10833i,0.19537-0.054328i,0.14318-0.14614i,0.050982-0.13577i,0.015502-0.088356i,0.0013249-0.072079i,-0.025218-0.046648i,-0.016978-0.0021417i,0.013862+0.013535i,0.013891+0.001544i,-0.013522-0.013107i,-0.037884-0.023139i,-0.039694-0.032328i,-0.021336-0.040041i,-0.0072792-0.044835i,-0.0084755-0.046455i,-0.016455-0.040758i,-0.021382-0.026589i,-0.017775-0.010837i
0.18953+0.0090623i,0.23053+0.19036i,0.24589+0.26084i,0.1776+0.17225i,0.035007+0.099302i,-0.030146+0.056534i,-0.011904-0.039391i,-0.012675-0.087625i,-0.0047336-0.048002i,0.016204-0.015527i,0.0024263+0.006216i,-0.0073177+0.046018i,0.0057322+0.0646i,0.01873+0.05832i,0.035387+0.044988i,0.044894+0.02409i,0.034001+0.00091614i,0.011226-0.01963i,-0.003626-0.021041i,0.004713-0.00056976i,0.021232+0.011193i,0.020821+0.0071844i,0.0099627+0.0030126i
0.026724+0.15583i,-0.20763+0.17767i,-0.4166+0.13248i,-0.43437+0.086848i,-0.2451+0.075651i,-0.0089072+0.025153i,0.070389-0.052134i,0.026516-0.054814i,0.015151-0.014419i,0.022191-0.023692i,-0.0092119-0.03826i,-0.032152-0.022575i,-0.028043-0.0087812i,-0.020007-0.01217i,-0.019093-0.037016i,-0.03226-0.061296i,-0.040631-0.058164i,-0.024251-0.041374i,-0.0020378-0.030141i,0.0044732-0.027764i,0.0019694-0.027481i,0.0012512-0.027551i,0.003816-0.024495i
-0.17004+0.16142i,-0.30813+0.13911i,-0.39527+0.23801i,-0.36898+0.32483i,-0.29996+0.20653i,-0.2581+0.067285i,-0.16162+0.014387i,-0.044067-0.036429i,0.0017713-0.053569i,0.012882-0.021748i,0.014457-0.0007673i,0.001422+0.0061862i,-0.010818+0.013396i,-0.0096267+0.022415i,0.008462+0.027501i,0.021207+0.015935i,0.0077331-0.0027227i,-0.015025-0.0060031i,-0.021098+0.012092i,-0.002229+0.036743i,0.026252+0.046343i,0.03905+0.031531i,0.034085+0.010483i
-0.15426-0.14715i,-0.077268-0.32822i,-0.059498-0.46378i,-0.14927-0.41474i,-0.19327-0.19136i,-0.11516+0.0032574i,-0.058912+0.05556i,-0.067926+0.048375i,-0.047923+0.035572i,-0.010901+0.0072364i,-0.0058345-0.011789i,-0.0010661-0.010279i,0.013753-0.018087i,0.016525-0.03278i,0.0149-0.042804i,0.0068687-0.049892i,-0.005295-0.042973i,-0.0062939-0.025864i,-0.0037536-0.016821i,-0.011322-0.016458i,-0.023127-0.013664i,-0.019777-0.0082333i,-0.0053049-0.0078942i
0.0006322-0.20516i,-0.057005-0.19282i,-0.30353-0.1822i,-0.53037-0.15156i,-0.49042-0.11875i,-0.33921-0.14491i,-0.24959-0.13012i,-0.14514-0.046567i,-0.024775-0.006923i,0.0048918-0.0087526i,-0.021468+0.022149i,-0.021733+0.050557i,-0.0071675+0.039286i,-0.0018499+0.025276i,0.00526+0.021783i,0.015453+0.0072545i,0.0086561-0.017212i,-0.014262-0.031449i,-0.029447-0.021635i,-0.023482+0.0071751i,-0.0081318+0.0309i,-0.0029116+0.035528i,-0.0047561+0.029702i
0.22528-0.0083017i,0.22074+0.057705i,0.14893+0.0068002i,0.016198-0.10274i,-0.091042-0.12145i,-0.12794-0.061163i,-0.1676-0.014717i,-0.18619+0.01633i,-0.11988+0.022779i,-0.059606-0.012109i,-0.058884-0.031728i,-0.052486-0.014472i,-0.015941+0.0076241i,0.019183+0.0075166i,0.025328-0.0097879i,0.0039429-0.018258i,-0.020223-0.0088152i,-0.031678+0.0045896i,-0.028364+0.0037534i,-0.022522-0.014004i,-0.024549-0.034251i,-0.019956-0.044846i,-0.0019604-0.045522i
0.033636+0.15844i,-0.15011+0.072033i,-0.32635-0.09406i,-0.40595-0.19455i,-0.34836-0.19208i,-0.2051-0.19421i,-0.13404-0.18645i,-0.10144-0.087037i,-0.032489+0.00079049i,0.0026945+0.0061119i,-0.0072391+0.0069298i,-0.0028874+0.018072i,0.0087831+0.01256i,0.0057635+0.0042835i,-0.0043568-0.0069768i,-0.014461-0.018374i,-0.018675-0.023072i,-0.018899-0.027311i,-0.013096-0.018705i,0.0078009+0.0051078i,0.031358+0.019049i,0.034943+0.0097211i,0.016952-0.0056183i
-0.13651+0.098301i,-0.075693-0.022136i,0.042798-0.09362i,0.084276-0.080764i,0.013813-0.038471i,-0.071504+0.026069i,-0.12526+0.044141i,-0.14652+0.011608i,-0.095833-0.014702i,-0.026827-0.042117i,0.0028895-0.058608i,0.012453-0.053941i,0.012498-0.032084i,0.016786-0.0075231i,0.022683-0.0071959i,0.0042086-0.018899i,-0.03088-0.019949i,-0.052777-0.011715i,-0.053574-0.0078934i,-0.041537-0.01273i,-0.025337-0.01798i,-0.0078341-0.019138i,0.0064552-0.017631i
-0.16419-0.1935i,-0.14704-0.35906i,-0.25971-0.49284i,-0.3967-0.46147i,-0.28998-0.29233i,-0.050747-0.17829i,0.014749-0.13104i,-0.036359-0.034325i,-0.022354+0.036375i,-0.0022153+0.02563i,-0.013462+0.035663i,-0.0049666+0.067013i,0.0084081+0.06083i,0.013324+0.026029i,0.016381-0.018385i,0.012252-0.051523i,0.0074254-0.055102i,0.0023857-0.043914i,-0.0048924-0.024069i,-0.0027791+0.0087296i,0.010214+0.033026i,0.018371+0.03379i,0.0152+0.020026i
0.12041-0.077568i,0.17906+0.23073i,0.1307+0.58421i,0.02818+0.69007i,-0.0023244+0.48673i,-0.030048+0.20363i,-0.1073+0.083627i,-0.11735+0.07473i,-0.063892+0.035255i,-0.046707-0.010378i,-0.045596-0.0095554i,-0.019661+0.0013365i,0.00076746+0.0039574i,0.006982+0.012103i,0.0097626+0.013722i,-0.0034745+0.0059653i,-0.025655-0.00022655i,-0.036856-0.0056356i,-0.035315-0.013461i,-0.031139-0.019003i,-0.029884-0.015715i,-0.023371-0.011713i,-0.013649-0.014766i
0.24279+0.026029i,0.27334-0.022624i,0.33019-0.20095i,0.32058-0.31583i,0.22657-0.20252i,0.20416-0.035092i,0.15758-0.0061694i,0.019819+0.0056635i,-0.039672+0.044729i,-0.029787+0.027269i,-0.034359+0.016256i,-0.025036+0.030668i,0.0014503+0.02626i,0.025328+0.0037005i,0.028595-0.032159i,0.010946-0.05216i,-0.0036755-0.042907i,-0.0099179-0.025593i,-0.012758-0.010175i,-0.013603+0.0017977i,-0.014488+0.0055824i,-0.017618+0.0031065i,-0.022905+0.0056684i
-0.15482+0.23624i,-0.54642+0.26099i,-0.99195+0.34689i,-1.0697+0.47281i,-0.66168+0.48582i,-0.24072+0.38927i,-0.11954+0.29387i,-0.097609+0.21918i,-0.03916+0.10544i,-0.011106-0.00062615i,0.0071302-0.037736i,0.031558-0.046394i,0.030696-0.034718i,0.031058-0.011272i,0.037885-0.01323i,0.022368-0.031155i,-0.0075828-0.041278i,-0.0369-0.039179i,-0.054576-0.030469i,-0.049499-0.023349i,-0.033587-0.021863i,-0.024416-0.024717i,-0.024592-0.024573i
-0.16695+0.06099i,-0.083809+0.11173i,0.058786+0.3319i,0.15258+0.56187i,0.19537+0.56233i,0.19649+0.38733i,0.16429+0.23556i,0.10704+0.11457i,0.027685+0.0065446i,-0.033901-0.036723i,-0.040195-0.016841i,-0.018407+0.011511i,-0.0029123+0.023657i,0.014893+0.01255i,0.0313-0.025493i,0.030437-0.0611i,0.019211-0.071203i,-0.0027521-0.062077i,-0.024655-0.039968i,-0.019108-0.024369i,-0.00042403-0.032295i,0.00089242-0.044439i,-0.013869-0.041749i
-0.11944-0.2204i,-0.15644-0.31152i,-0.29774-0.30765i,-0.38656-0.13528i,-0.30243+0.089776i,-0.20652+0.16752i,-0.21396+0.16233i,-0.18084+0.15724i,-0.091693+0.081427i,-0.067617+0.010134i,-0.048478+0.028807i,0.013065+0.041169i,0.041146+0.019158i,0.035511+0.02124i,0.031977+0.03715i,0.031806+0.044941i,0.038088+0.034062i,0.038623-0.01096i,0.018276-0.056706i,0.0010622-0.052877i,0.0087339-0.018088i,0.020877-0.0081921i,0.013202-0.026624i
0.15872-0.071286i,0.12935+0.057152i,-0.046562+0.245i,-0.17611+0.43838i,-0.075802+0.46306i,0.072389+0.27168i,0.068565+0.12198i,0.071012+0.12209i,0.13278+0.055402i,0.095423-0.068656i,0.020821-0.083728i,0.020405-0.040247i,0.057542-0.021873i,0.077407-0.040914i,0.055395-0.075366i,0.012308-0.086317i,-0.016119-0.076927i,-0.034257-0.059292i,-0.048359-0.03428i,-0.047518-0.01268i,-0.033509-0.0072061i,-0.017239-0.012382i,-0.0046183-0.012982i
0.045141+0.10353i,-0.21323+0.17037i,-0.49865+0.28453i,-0.51826+0.48332i,-0.24897+0.52482i,-0.047356+0.32754i,-0.040182+0.18148i,-0.013756+0.14908i,0.054246+0.080414i,0.05977+0.015572i,0.045635+0.0014415i,0.033056+0.0027839i,0.025695+0.026658i,0.04368+0.034506i,0.049992-0.0021766i,0.02591-0.03691i,0.0025503-0.046319i,-0.0032389-0.0451i,-0.003028-0.042731i,-0.010298-0.028496i,-0.012835-0.0026533i,-0.0025505+0.011627i,0.012128+0.010565i
-0.045425+0.21711i,0.015364+0.36526i,0.24148+0.6333i,0.43089+0.83909i,0.39317+0.79059i,0.24116+0.55824i,0.14616+0.36195i,0.11797+0.25824i,0.10913+0.17203i,0.09038+0.084858i,0.066957+0.031266i,0.04329+0.018556i,0.023751+0.025337i,0.032947+0.021387i,0.063526-0.0078224i,0.080428-0.05728i,0.067943-0.10433i,0.032601-0.11331i,0.001751-0.082567i,-0.0032824-0.059348i,0.0014018-0.058036i,-7.1848e-05-0.049749i,-0.0011171-0.028487i
-0.1305-0.18625i,-0.11144-0.49742i,-0.14082-0.6221i,-0.11871-0.33732i,0.030662+0.003379i,0.12194+0.0073924i,0.026989-0.077661i,-0.035536-0.012225i,-0.0022445+0.035468i,-0.015813+0.03595i,-0.038569+0.056762i,-0.021596+0.047961i,0.0029392+0.025691i,0.035629+0.027967i,0.068935+0.037537i,0.095509+0.042097i,0.11234+0.036128i,0.098212+0.0188i,0.05605-0.0010426i,0.015559-0.0038016i,-0.0053118+0.01264i,-0.0080574+0.021841i,-0.0032613+0.017409i
-0.04358-0.0071181i,-0.067682+0.3747i,-0.16725+0.98948i,-0.11319+1.3565i,0.046334+1.0581i,-0.019432+0.49031i,-0.12227+0.22754i,-0.0045868+0.15636i,0.09525+0.03792i,0.043982-0.020158i,-0.007303-0.013279i,-0.015734-0.020741i,-0.0013689-0.040686i,0.0065437-0.064566i,-0.011695-0.05505i,-0.029749-0.028144i,-0.0511-0.026264i,-0.069625-0.017591i,-0.052464+0.015542i,-0.012253+0.035128i,0.017762+0.017725i,0.029634-0.0142i,0.034093-0.041012i
0.23914-0.032761i,0.46635+0.091443i,0.79642+0.26082i,1.0193+0.4194i,0.93769+0.36532i,0.63712+0.076674i,0.31472-0.079895i,0.14386+0.0024757i,0.1382+0.086995i,0.16084+0.048845i,0.1102-0.050054i,0.02865-0.090605i,0.018419-0.05125i,0.065989-0.010963i,0.10052-0.0025691i,0.10645-0.019817i,0.079149-0.038293i,0.036553-0.01341i,0.01113+0.036239i,-0.005742+0.064962i,-0.01059+0.083413i,0.01372+0.1046i,0.052632+0.10684i
