-0.0034316+0.00165i,-0.0037858+0.00042154i,-0.0038294+0.00050981i,-0.0028658-0.00025819i,-0.0024699+0.00029527i,-0.0022329+0.0011628i,-0.00097638+0.0013972i,0.00053748+0.001013i,0.00049852-0.00041807i,0.00043582-0.00014458i,0.00061022+0.00028294i,0.00015659-0.001088i,0.000243-0.0016309i,0.00075806-0.000512i,0.0012927-9.0906e-06i,0.00073262-0.00029091i,-0.00051319-0.00054953i,-0.00088236-0.00050585i,-2.7831e-05-0.0011659i,0.00021614-0.0017108i,0.00021509-0.00074271i,0.00047901+0.00062373i,0.00018674+0.0010675i
0.0027676-0.00081602i,0.001627-0.0019458i,0.00067259-0.002827i,-0.00018135-0.0034251i,-0.0010781-0.001601i,-0.0018761+0.00068686i,-0.0014641+0.001007i,0.00014829+0.00091832i,0.0012075-8.629e-05i,0.00074741-0.00047198i,-0.00079726+0.0003477i,-0.0008182+0.00049305i,-0.00041961+0.00041893i,-0.00040542+0.00069769i,-5.0844e-05+0.0011448i,-0.00061963+0.0011371i,-0.0010206+0.00070035i,-0.00081164-4.4695e-05i,-0.00014079-0.00010865i,0.0010096-0.00014848i,0.0014017-0.00067882i,0.0013343+0.00011289i,0.0010941+0.00056283i
-0.0017683-0.00024119i,-0.0016953-0.00043278i,-0.0017231-0.00047977i,-0.001563+0.00072764i,-0.0012223+0.0006289i,-0.000437-8.774e-05i,-9.8265e-05+0.00054375i,0.00026306+0.00038133i,0.00093662-9.8547e-06i,0.00046215+0.00026136i,0.00060236+0.00029102i,0.00079514-0.00013041i,0.00074848-0.00059434i,0.0011414-0.0006942i,0.00068979-0.00099408i,8.4049e-05-0.00064336i,0.00020149-0.00019062i,0.00017567-0.00042504i,0.00027704-0.0010537i,0.00043476-0.0013883i,0.00043081-0.001504i,-0.00016062-0.00078498i,-3.1676e-05-0.00039578i
-0.0014477+0.0029858i,-0.0010944+0.0031531i,-0.0019393+0.0040546i,-0.00063627+0.0024104i,0.00096258-0.0002739i,0.00050812-0.0010158i,-0.00071852-0.00023402i,-0.00099943-2.8688e-05i,-0.00020831+0.0001461i,0.00013988+0.00051927i,0.00059709+3.8617e-05i,0.00089077+1.052e-05i,0.00074817+0.0003149i,0.00089605+3.9351e-05i,0.0006489-0.00083242i,5.9259e-05-0.0014195i,-0.00062722-0.0013339i,-0.00036401-0.00088447i,-8.7429e-06+0.00018825i,-0.00050754+0.00060875i,-0.00057445+0.00063721i,0.00020639+0.00092633i,0.00051819+0.0010986i
-0.00031001+0.00045367i,-0.00056463+0.0018713i,-0.00085668+0.0020669i,-0.00077501+0.0017261i,-0.00046696+0.00098546i,-0.00087398+0.00044417i,-0.0014115-0.00022337i,-0.0013323-0.00053448i,-0.0007488-0.00015317i,5.2352e-05+0.00027311i,0.00022771+0.0006632i,0.00016488+0.00097512i,0.00027897+0.00021366i,0.00039837-0.0003916i,-0.00017665+0.00012012i,-0.0003083+2.5445e-05i,-0.00031704+0.00010843i,-0.00045851+0.00033049i,-0.00042426+0.00029535i,-0.00083271+0.00067951i,-0.001039+0.00082448i,-0.00055774+0.00060479i,0.00012558-5.068e-05i
9.7874e-05+0.00055546i,-0.00067173-0.00036352i,-0.0016916-0.0011585i,-0.0012271-0.00057791i,0.00016594-0.00054471i,0.00046075-0.00035071i,-0.00030149-4.8143e-05i,-0.00038205-0.00020323i,-4.2871e-05-0.0005936i,0.00078575-0.0011404i,0.0013442-0.00046083i,0.00095894+0.00039669i,0.00083561-3.6806e-05i,0.00074242-0.0003883i,0.00017398-0.00040861i,-0.00042694-0.00012131i,0.00038701+0.00021147i,0.00094108+0.00031129i,0.00055791-0.00038206i,0.00060115-0.00037588i,0.00049689-0.00052949i,0.00040562-0.0010176i,-0.00012175-0.00046042i
-0.001599+0.00096532i,-0.00204+0.00061236i,-0.002608-0.00047539i,-0.002333-0.00062126i,-0.0021062-0.00021758i,-0.0016239-6.7637e-05i,-0.00073991+0.00031326i,-0.00010108+8.6139e-06i,-7.6993e-05-0.00080014i,-0.00026985-0.00086999i,0.00082075-8.9677e-05i,0.00089573-7.2739e-05i,8.0484e-05-0.00036176i,0.00058968+0.00020465i,0.00047809+0.00038262i,0.00013022+0.00020111i,0.00097556+0.00014922i,0.001148-0.00010837i,0.00099912+0.00018715i,0.00076144+0.00012877i,0.00037387-0.00073095i,-0.00035152-0.00065629i,-5.3469e-05-0.00012948i
-0.0003223-0.0015258i,-0.0010541-0.00054149i,-0.0017271+0.00056274i,-0.00099618+0.0012763i,8.0355e-06+0.0013814i,-2.8688e-05+0.0011756i,-0.0009013+0.0010517i,-0.00026719+0.00071695i,-0.00063207+0.00054047i,-0.00081237+0.00084954i,-0.00020282+0.0010117i,0.00034219+0.00077885i,0.00067545+0.00097341i,0.00071284+0.0009171i,0.00035637+0.00052177i,-0.00059154-0.0001142i,-0.00030502-0.00034562i,0.00045317-7.2598e-05i,0.00060858+0.0001288i,0.00034705+0.00023772i,9.5004e-05-9.551e-05i,6.5075e-06-0.00030015i,-9.2639e-06+0.00011365i
0.0020562+0.0010905i,0.0025143-0.00049078i,0.0014794-0.0012963i,8.1397e-05-0.00087443i,-0.00077302-0.00053137i,-0.0014756-0.0004881i,-0.0020115-1.0026e-05i,-0.0017268+0.00034932i,-0.0010853-6.356e-05i,-0.00087241-9.4757e-05i,-0.00081415+0.00012949i,-0.0003608+0.00018852i,-0.00070385+0.0003701i,-0.0011048+0.00017875i,-0.00053531+0.00012305i,0.00019762+0.00077438i,0.00095518+0.00060677i,0.0012308-0.00034362i,0.00050465-0.00054171i,-0.00037354-0.000194i,-4.3117e-06+0.00023112i,0.00024503+0.00039996i,7.5378e-05-0.00063609i
-0.00095148-3.9799e-05i,-0.0019664+0.0012286i,-0.001471+0.0014022i,-0.00088393+0.0013811i,-0.001122+0.00092766i,-0.0013245+0.00060572i,-0.0013265+0.00025589i,-0.0013921+0.00029523i,-0.00083536+0.00036654i,0.0006654+0.00017824i,0.0015731+0.00041169i,0.00059483+0.0010259i,-0.00058625+0.00099592i,-0.00089663+0.00068315i,-0.00075169+0.00033666i,-5.2059e-05+0.0001186i,0.00027981-0.00023658i,6.4298e-05-0.00076651i,-0.00035086-0.00030346i,-0.00041946+8.9285e-05i,-0.00025035-0.00026852i,0.00031276+0.00011365i,0.00038702+0.00040421i
-0.000219+0.0016095i,-0.0010331+0.0023561i,-0.0013562+0.0023151i,-0.00061746+0.0011438i,8.9094e-05-4.3954e-05i,0.00023887-0.00074933i,-0.00067672-0.00077831i,-0.00045527-0.00067518i,-4.7904e-05-0.00017222i,-0.00010236+0.00044202i,0.00087887+0.00036918i,0.0020366-0.00014227i,0.0013117-0.00021835i,0.00012888-7.6321e-05i,-0.00089507-7.0135e-05i,-0.0013743+3.5119e-05i,-0.00066589+0.00046057i,-0.00065114+0.00049125i,-0.0010856-0.00029062i,-0.00050642-0.00079213i,7.7965e-05-0.00031322i,0.00055636+0.00034899i,0.00079813+0.0007856i
-0.00056323+0.00040488i,0.00093519+0.00065179i,-0.00018157+0.0007381i,-0.00096249+5.5514e-06i,-0.00072341-0.00024708i,-0.00074566+0.00042015i,-0.00056781+0.0007269i,-0.00012422+0.00082626i,1.6458e-05+0.00061871i,-0.00013276+2.4819e-05i,0.00017184-0.00028348i,0.00031366+0.00014825i,0.00041309-0.00013245i,0.00075691-0.00069963i,0.00090582-0.00024396i,0.00017921+0.000227i,-0.00067641+0.00029541i,-0.00079414+0.00073565i,-0.00045612+0.00075486i,-0.00030755+0.00048187i,-0.0010974+0.00028426i,-0.0012724-0.00024885i,-0.00011692-6.6797e-05i
0.00062727-0.0020134i,-0.00042554-0.0025034i,-0.001375-0.0024738i,-0.00071682-0.0018748i,-0.00065681-0.00088683i,-0.00097739+0.00047271i,-0.00073318+0.0013724i,-0.00056744+0.00092491i,-0.00010311+0.00030127i,0.00030392+0.0001155i,0.00022249-0.00023285i,0.00027522-0.00016498i,-0.00045845+0.00040888i,-0.0011706+0.00011014i,-0.00036087+0.00026489i,0.00042665+0.00031934i,0.00038915-0.0003912i,0.00038664+1.4774e-06i,0.00049296+0.00037415i,-0.0003631+0.0010857i,-0.00022686+0.00074765i,0.00088736-0.00012718i,0.00067497+0.00010124i
-0.0012794+0.00033778i,-0.0012627+0.00083935i,-0.00030152-0.00030701i,0.0011216-0.0013779i,0.0010211-0.0016821i,0.00034378-0.001908i,0.00017602-0.0011027i,0.00049989-1.6735e-05i,0.00073562-0.0002649i,0.00080688+0.00014066i,-0.00010686+0.00069271i,-0.00028313+0.0002746i,0.00074937-9.2679e-05i,0.0012465+3.8394e-05i,0.0011316+0.00016643i,0.00088348+0.00024148i,0.00032787-8.3977e-05i,0.00037563-0.00083579i,0.00086785-0.00065694i,0.00019436-0.00019126i,-0.00054748-9.4792e-05i,-0.00023211+0.00070921i,1.1063e-05+0.00058729i
0.00050115-0.00010565i,0.00068406-0.00019165i,0.00050965+0.00027878i,-0.00074898+0.00094381i,-0.00054684+0.0010036i,0.00012133+0.00028211i,0.00017096-0.00063504i,0.00049539-0.00018835i,0.00083968+0.00053638i,0.00023796+0.00086723i,-9.5306e-05+0.0011109i,-0.00023837+0.0010642i,-0.00041533+0.0008179i,-0.00049731-0.00014896i,-0.0011636-0.00047095i,-0.0013536+0.00041313i,-0.00083322-5.7924e-05i,3.0842e-05-0.00051605i,2.8568e-05-0.00022837i,0.00015306+0.0005877i,0.00043325+0.00099631i,0.00016521+9.9665e-05i,-7.2883e-05+0.00045811i
-0.0018251-0.003944i,-0.0018062-0.0034571i,-0.002374-0.0014845i,-0.0022281+0.00068646i,-0.002219+0.0015125i,-0.00201+0.00079095i,-0.0016346-0.0001675i,-0.0012178-0.00012245i,-0.001011-0.00038099i,-0.00097908-0.00067354i,-9.8877e-05+0.00057822i,0.00098869+0.0014595i,0.0003405+0.0013773i,6.277e-05+0.00056123i,0.00056948+0.00011052i,0.00048994+4.0439e-05i,0.00094649-0.00014124i,0.0012662-0.00025457i,0.00039789-0.00018686i,-9.9441e-05-0.00012012i,1.5768e-05-0.00021045i,9.7316e-05-8.1534e-05i,0.00025389+2.543e-05i
0.00074546+0.0021004i,-0.0002752+0.0021755i,-0.0011971+0.001821i,-0.0010565+0.00092571i,-0.00073491-8.4723e-05i,-0.00057062-0.00067524i,-0.00069919-0.00016372i,-0.00030601-6.4443e-06i,0.00058208-0.00010472i,0.00091386-0.00038224i,0.0010568-0.00053281i,0.00078385-0.00081834i,0.00010748-0.0012562i,0.00012158-0.00076393i,0.00014384-0.00010524i,-0.00049394+0.0004381i,-0.00019381+0.00055406i,0.00010859+3.3946e-05i,-2.0661e-05-2.2473e-06i,1.3525e-05-0.00032036i,-8.0734e-05-0.00060281i,-0.00017834-0.00040031i,-0.00018788+0.00023246i
-0.00058537+0.0026591i,0.00097753+0.0033753i,0.0013645+0.0013661i,0.0019796-0.00061016i,0.0021335-0.0016392i,-2.1674e-05-0.0014053i,-0.0020367-0.00115i,-0.0015529-0.00053412i,-0.00030959+0.00065337i,8.9529e-05+0.00067714i,0.00027834+0.00020759i,0.00030332+0.00058798i,-2.7782e-05+0.00046849i,0.00012861-0.00016089i,0.00043688-4.4843e-05i,-9.7555e-05-4.4304e-05i,-0.00017958-3.2806e-05i,-0.00026756-0.00014244i,-0.00029207-0.00023095i,9.6555e-05+4.4238e-05i,0.00011154-0.00023924i,-6.5983e-06-0.00072223i,-0.00025033-0.0004813i
0.00095954-0.0005047i,0.0011941-0.0014733i,0.00011-0.001677i,-0.0013287-0.00079649i,-0.0012151-0.00045536i,-0.0007881-0.0003932i,-0.00041454+7.1243e-05i,-0.00025932-0.00036935i,-0.00059496-0.00074843i,-0.00097328-0.00077776i,-0.00083495-0.00058063i,-0.00057426+9.1794e-05i,-0.00039221+0.0008834i,-0.00019412+0.00071919i,-0.00029912-0.00059681i,-0.00040194-0.0016008i,0.00015991-0.001105i,0.00060928+0.0002287i,-0.00040167+0.0011102i,-0.00062354+0.00010938i,0.00042218-0.00069454i,0.0007488-0.00031211i,0.00049674+0.0002409i
0.002182+0.0015147i,0.0027719+0.00058044i,0.0017837-0.001245i,0.00037932-0.0019809i,-0.00051395-0.0011107i,-0.0016315+5.8601e-05i,-0.0015263+0.0010543i,-0.0003642+0.00081185i,9.8154e-05-0.0002322i,-0.0004298-0.0001551i,0.00010074+0.00016172i,0.00082418-0.00021219i,0.0004101-0.00040273i,-0.00014936-0.00048853i,-0.00063713-0.00028013i,-0.00031279-1.3812e-05i,0.00041225-0.00013689i,0.0003248+5.9095e-05i,0.00045138+0.00049134i,0.00076918+0.0002554i,0.00029523+0.00012158i,-4.7624e-05+0.00024951i,-0.00017153+8.5051e-05i
0.00042271+0.0015087i,0.00030718+0.0021069i,-0.00057896+0.0018963i,-0.00088612+0.0020548i,-0.0010559+0.0013845i,-0.00086303+0.0010534i,-0.00055472+0.00067177i,0.00011328+0.00082017i,0.00025905+0.0012694i,0.00010729+0.00073952i,0.00029947+0.00041221i,0.00038657+0.00066975i,0.00058937-0.00016229i,0.00050639-0.00056663i,-2.0251e-05+2.5787e-05i,-0.00011586-0.0001247i,-0.00021164-0.00036753i,-0.00031676-0.00017526i,-0.00034257-0.00045086i,0.00040359-0.00030425i,0.00033375+6.9011e-05i,-0.00023006+0.00010329i,-0.00019607+0.0003078i
-0.0021343-0.0012519i,-0.0035773-0.00080053i,-0.0033969+0.00061259i,-0.0020231+0.00052961i,-0.00060055-0.00040771i,0.00090036-0.00032424i,0.0012694-0.00043621i,0.00075921-0.00045755i,1.0442e-05-0.00011617i,-0.00046304+0.00018344i,-0.00051796+0.00070883i,-8.8555e-06+0.001023i,0.00055531+0.00073013i,0.00072096+0.00019266i,0.00060347-0.0004462i,0.00043697-0.0005236i,0.00064201+0.00027693i,0.0010287+0.0005577i,0.00081642-9.1614e-05i,0.00065295-0.00018687i,0.00046192-9.1042e-05i,-0.00025449-0.00033456i,0.00026183+0.0004251i
-0.00071905-0.00050224i,0.00024827-0.00074253i,-0.00072783-0.0014949i,-0.0018694-0.00051649i,-0.0017597+0.00010393i,-0.0015655-5.388e-05i,-0.0012365-0.00022614i,-0.00051531-0.00018596i,0.00018391-0.00049499i,-6.4336e-05-0.00088532i,-0.00014522-0.0009272i,0.00062936-0.00028707i,0.0011249+0.00068731i,0.00060626-0.00026608i,0.00032024-0.0002329i,-0.00014053+0.00069283i,-0.00060932+0.00036783i,-0.00081224-5.0041e-05i,-0.00058572+1.6884e-05i,-0.00041919-0.00044797i,-0.0001561-0.00074883i,-0.00025166-0.00039067i,-0.00084262+0.00018028i
-0.00015793+0.001364i,-0.00039748+0.001817i,-0.00096932+0.0012696i,-0.00087862-0.00016866i,-0.00024596-0.00085667i,0.00011659-0.00056094i,-0.00042596-0.00035269i,-0.00043851-0.00011437i,9.3386e-05-0.0004246i,0.00032901-0.00061567i,-0.00052843+0.00013487i,-0.0005486-0.00022461i,0.00039647-0.0007765i,0.0012056-0.00042136i,0.00092065-1.2566e-05i,0.00013599+7.0515e-05i,-3.1782e-05-0.00033703i,9.7089e-05-0.00031438i,0.00014076+0.00090209i,0.00023677+0.0010264i,0.00093058+0.00016009i,0.0011274+7.7661e-05i,0.00050785-0.00046933i
-0.00046243+0.0034064i,8.8008e-05+0.0020551i,0.00033035+0.0013724i,0.00020738+0.00024816i,-2.9981e-05+0.0004407i,-0.00049605+0.00066509i,-0.00083512+0.00071762i,-0.00034449+0.0014379i,0.00050692+0.0011592i,0.0010123+0.00062677i,0.00085766+0.00089417i,0.00056098+0.0003425i,0.00033468-0.00039965i,0.00027988-0.00083884i,0.00029071-0.0010811i,-0.00038054-0.00057913i,-0.00026096+0.00033326i,0.00031596+0.00081204i,0.0003573+0.00025362i,0.00028951+1.2349e-05i,0.00038428+0.00050175i,0.00083281+0.00076912i,0.0002696+0.00035775i
-0.00035917+0.0012797i,0.00032475+0.00087269i,0.0010927+0.00086956i,0.0012186+0.00080261i,0.00018259+0.00077826i,-0.0014839+8.8353e-05i,-0.0023413+0.0002007i,-0.0014987+0.00058378i,-9.1505e-05+0.00027902i,0.0003369-2.1181e-05i,0.00043547-7.727e-05i,0.00066952-0.0002963i,0.0012191-0.00049215i,0.0012032-0.00040296i,-0.00026482-0.00068348i,-0.00051684-0.0011442i,0.00011569-0.0006558i,-0.00029805-0.00046885i,3.7469e-05-5.6178e-05i,0.00065751+0.00065509i,8.8986e-05+0.00043723i,-7.8729e-05+0.00043718i,8.6823e-05+0.00068888i
-3.1493e-05-7.8116e-05i,-0.0011503+0.00046676i,-0.0012036+0.0011906i,-0.00084375+0.0015531i,-0.00079009+0.00068182i,-0.00018448-0.00027356i,0.00026822+1.4131e-06i,0.00085066+0.00023913i,0.00064231-0.00028545i,-0.00031081-0.001199i,-0.00039576-0.0014727i,0.00044619-0.00082623i,0.0004052-0.0001928i,-3.3312e-05-0.00025638i,0.00013857-1.0565e-05i,0.0006301+0.00049145i,0.00061672+6.1394e-05i,-1.2562e-05+9.2496e-05i,2.7719e-05+0.00033359i,2.8099e-05-0.00044186i,0.00019053-0.00038062i,0.0010575-0.00030578i,0.00064921-0.00043039i
-0.002474+0.0002275i,-0.0018736+0.0014154i,-0.0011566+0.0018287i,-0.00087422+0.0012971i,-0.00057518+0.00088102i,-0.00025474-0.00019969i,-0.000111-0.00048343i,0.0001242-0.00025168i,9.4479e-05-0.00024694i,5.8429e-05-0.00024121i,0.00041442-0.00041346i,0.00094634-0.00028109i,0.0014001+2.9401e-05i,0.00085383+7.3761e-05i,-0.00045333+0.00016523i,-0.0012312-4.3779e-05i,-0.00037823+0.0002222i,0.00075556+0.00076116i,0.00068093+0.00079297i,-5.7525e-05-5.9094e-05i,-0.00045813-0.00023494i,0.00027694-2.8652e-05i,0.00060594-8.3131e-05i
0.00058125-0.0018196i,0.00073419-0.0021118i,-0.0011328-0.0023006i,-0.0018971-0.0023337i,-0.0018897-0.001901i,-0.0022478-0.0010954i,-0.0011824+0.00012763i,-0.00048985+0.00046133i,-0.00049361-0.00020374i,-0.00079017-8.2554e-06i,-0.0015536-7.757e-05i,-0.0013347+5.3186e-05i,-0.00081452+0.00040625i,-0.00094972+0.00081491i,-0.0007386+0.0012739i,-0.00073952+0.00082438i,-0.00034924+0.00018277i,0.00028615-0.00025691i,0.00044906-0.00095351i,0.00052007-0.00090375i,0.00034318-0.00051419i,-0.00027945-0.00024938i,-0.00062295+0.00062885i
-0.0015703+0.0017902i,-0.0012009+0.0031558i,-0.00038711+0.002718i,-0.00049809+0.00095335i,-0.00077095+0.00021648i,-0.00068963+0.00059553i,-0.00064874+0.00065666i,-0.00037669+0.00076i,0.00059315+0.00040402i,0.00033324+0.00072812i,-0.00027121+0.00085193i,0.00038484+0.0002746i,0.00023367+7.792e-05i,-0.00044416-0.00036692i,-3.6646e-05-6.7302e-05i,0.00052272-0.00022461i,0.00069924-0.00095169i,-0.0001026-0.00046157i,-0.00075397-0.00035061i,-0.00010288-0.00089108i,0.00093635-0.00085484i,0.00085546+0.00025585i,0.00051767+0.00071173i
-0.00068327+0.0015821i,-0.0015925+0.0013735i,-0.0014974+0.00044318i,-0.00099987-8.6683e-05i,-0.00079969-5.6854e-05i,-0.00081719-0.00052765i,6.017e-05-0.0014007i,0.00064418-0.00079312i,0.0008647-9.4127e-05i,0.00089106+0.00029596i,0.00084002+0.00057148i,0.00133+0.00078787i,0.0014414+0.0010178i,0.0011617+0.00091903i,0.00067347+0.00089136i,-0.00014938+0.0006201i,-1.7714e-05-6.3518e-05i,0.00021417-8.083e-05i,0.00028458+0.00024162i,0.00017929-0.00043948i,-0.00023557-0.00021201i,1.9124e-05+0.00053767i,0.00039958+4.5308e-05i
0.00042551-0.00079i,3.1841e-05-0.0022639i,5.0079e-06-0.0018023i,0.00072503-0.0011785i,0.00054596-0.0013749i,-0.00099127-0.00048232i,-0.0021437+0.00020919i,-0.0017848+0.00015519i,-0.00045648-3.0142e-05i,-5.2771e-05-0.00045929i,0.00039721-0.00088193i,0.00079694-0.0012951i,0.00057402-0.00087393i,0.00013019-8.2948e-05i,-0.00023212-0.00016201i,-0.00030714-0.00086797i,-0.00041154-0.00061807i,0.00013312+0.00020794i,0.00085177-8.064e-05i,0.00043888-0.00030642i,8.2814e-05+0.00011928i,0.00082352+0.0002752i,0.00099425+0.00028636i
-5.8199e-05+0.00088945i,-9.0665e-05+0.00047597i,-0.00037187-0.00012976i,-0.00030417+0.00043538i,-1.4463e-05+0.00083451i,-0.00028598+0.00060458i,-0.0016114+3.563e-05i,-0.0013384-0.00031167i,0.00032093+0.00018602i,0.0010604+0.00022141i,0.00058551-0.00063146i,0.00053208-0.00049006i,0.00051261-7.1803e-05i,0.00012553+0.00010708i,-0.00021491-0.00041389i,0.0001275-0.0009173i,0.00020612-0.00036207i,0.00039781+0.00029504i,0.00042351+0.00029931i,-0.0002471+0.00019938i,-0.00027978-0.00012558i,-0.00023776-2.0106e-05i,-9.9335e-05+0.0010141i
-0.00083134+0.0012008i,-0.00086791+0.0013597i,-0.00058491+0.00078993i,-0.0015569+0.00021953i,-0.0017792-0.00070634i,-0.0013031-0.00028826i,-0.00042189+0.00016081i,0.00016221+0.00047835i,2.9127e-05+0.00076449i,-5.0501e-05+0.00069927i,0.00014299+0.00054928i,5.4674e-06+0.0007905i,3.6632e-05+0.00053091i,-6.0244e-05+9.8212e-05i,-0.00065064+0.00051725i,-0.00083975+0.00089691i,-0.00034366+0.00094113i,-0.00042573+0.00061129i,-0.00014898+9.2229e-05i,0.00023363+0.00023577i,0.00031508-4.4435e-06i,0.00090753+0.00028481i,0.000913+0.00038134i
0.0019063+0.00056784i,0.0026658+0.00027427i,0.0014973+0.00073551i,0.00083839+0.0005764i,0.00051868-8.7944e-05i,-0.00085157+0.0008106i,-0.0012932+0.00063875i,-0.00033229+0.00015908i,5.731e-05+0.00037128i,-0.00070929-2.3109e-05i,-0.00087174+0.00033928i,-0.00052149+0.0010336i,-0.00081785+0.00074895i,-0.0010798-0.00026971i,-0.00081095+8.0105e-05i,-0.00063033+0.00046984i,-0.00025492+0.00048005i,-0.00043204+0.00047045i,-0.00034016-0.00036861i,-0.00049735-0.00027438i,-0.0007969+0.00049603i,-0.00015085+0.0004814i,0.00033715-0.00023644i
-0.00042044-0.0005212i,-0.0015046-0.00058355i,-0.0019055-0.00091602i,-0.0012795-0.0010143i,-0.0012087-0.0009436i,-0.00094928-0.00024029i,-0.00033834+8.6283e-05i,0.00074979+2.0772e-05i,0.00071265-7.3164e-05i,-0.00021423-0.00060897i,-0.00020273+0.00033536i,0.00037945+0.0015358i,0.00051506+0.0010131i,6.7731e-05+0.00077453i,0.00012707+0.00095709i,6.8875e-05+0.0014879i,-0.00073367+0.0017555i,-0.00058201+0.00056289i,0.0002136-5.2054e-05i,0.00016638+0.0010145i,-0.00049547+0.00098398i,-0.00035043+0.0003429i,0.00015145+3.2962e-05i
-0.0014563+0.00045027i,-0.0022919+0.00036177i,-0.0024314-0.0011219i,-0.0027684-0.001176i,-0.0023171-0.00012083i,-0.00091073+0.0004547i,5.6385e-05-0.00036365i,0.00033983-0.00098029i,0.00076798-0.00054709i,0.00029796-2.7576e-06i,-0.0004058+0.00035271i,-0.00025508+0.00053139i,-0.00016491+0.0010172i,-0.00025185+0.0011512i,-0.00044859+0.00078824i,-0.00048181+0.00051245i,-0.00029397+0.00021825i,0.00024364+7.186e-05i,-0.00015138+0.00018513i,-0.00072315+0.00025958i,-0.00054564-0.00011788i,1.9148e-05-0.00023931i,4.1532e-05-7.3698e-05i
0.00054586-0.00058753i,-0.00010946-0.00045352i,-0.0011248-0.0014398i,-0.0012539-0.0017383i,-0.00079225-0.0022981i,-0.00081935-0.001444i,-0.0003411+4.9773e-05i,0.00045528+0.00033107i,0.00054193-0.00037071i,1.8024e-05-0.00070778i,-0.00016205-0.0002679i,1.6265e-05+0.0005531i,0.00043033+0.00071014i,0.00035156+0.00053149i,0.00016087+0.00090419i,0.00044446+0.0012079i,0.00042072+0.00072013i,0.00015161-0.00010594i,6.1371e-05-0.00019436i,0.00088505-0.00014065i,0.00071847-0.00028525i,0.00016594+0.0003229i,0.00018859+0.00072925i
0.0017896-0.0013235i,0.0027524-0.0010366i,0.00078676-0.0018246i,-0.001145-0.0016587i,-0.0010917-0.0010038i,-0.000832-0.00022193i,-0.00043404+0.00028735i,-0.00013062+0.0006784i,0.00045158+0.00037544i,0.00031415-0.000462i,0.00019261-0.0005412i,0.00064933+0.00024914i,0.00073261+0.001021i,0.00058052+0.0016157i,7.7253e-05+0.0017297i,-0.0002973+0.00094926i,-0.00031271+7.4152e-05i,0.00050104-0.0003958i,0.00091595-0.00069243i,0.0009477-0.00055039i,0.00085566-0.00035851i,0.00065654-0.00075553i,0.00046883-0.00047855i
-0.0067592+0.0062882i,-0.0069331+0.0093723i,-0.001434+0.011605i,0.0018551+0.007173i,0.003434+0.0018795i,0.0024864-0.0018977i,-0.00084119-0.0018611i,-0.0019894-0.00029568i,-0.00084112+0.0014634i,0.0013901+0.0013838i,0.0020343-0.0011546i,0.0012458-0.0021865i,0.00072024-0.0021166i,0.00089337-0.0044755i,0.0017193-0.0052761i,0.0012309-0.0031076i,0.00034006-0.0014613i,-0.00043213-0.0011357i,-0.0013678-0.0014501i,-0.0015282-0.00080972i,-0.0014204-0.00025759i,-0.0011154-0.00043534i,-0.00061612-0.00065037i
-0.0030018+0.0016584i,-0.0042765+0.0034035i,-0.0032319+0.0049386i,-0.00080194+0.0037291i,4.1115e-07+0.0022332i,-0.00073057+0.00030849i,-0.0020297-0.00088027i,-0.0021441-0.0010443i,-0.0010127-0.00069625i,-0.00044087-0.00015032i,-4.1202e-05-0.00051945i,0.0010915-0.0010674i,0.0012017-0.0014875i,0.00078232-0.0016145i,0.0010607-0.00097226i,0.00086636-0.00087053i,-5.2199e-05-0.00057984i,-0.00052676-0.00056957i,-0.00028087-0.00078061i,0.00026702-0.00038602i,0.00020284+0.00074138i,-0.00057312+0.00072209i,-0.00052064-6.4244e-05i
0.0008589+0.0021778i,0.00055955+0.002744i,0.00052042+0.0022178i,0.00047974+0.0012309i,-0.00013246+0.00085857i,-0.0013928+0.00076772i,-0.0019508+0.0011577i,-0.0013913+0.0016657i,-0.0011449+0.00024091i,-0.0012205-0.00061914i,-0.00036448-0.00035692i,0.00063791-0.00041542i,0.00036079-0.00058941i,-0.00011315-0.0006685i,-0.00059929-0.00078533i,-0.0011171-0.00023297i,-0.00046732+8.9559e-06i,9.8369e-05+0.00015814i,-9.4248e-05+0.00076826i,1.2495e-05+0.0010476i,0.00028647+0.0010041i,0.00030786+0.00039329i,0.00027893+8.93e-05i
0.00059553+0.0010909i,-0.00013261+0.0029335i,-0.00013107+0.0022582i,-2.9781e-05+0.0010226i,-9.4506e-05+0.00074842i,-0.00018125+0.00076177i,-0.00034069+0.0011282i,-0.00015405+0.00099607i,0.00038478+0.0001664i,0.00027393+5.8481e-05i,0.00012458+0.00067665i,0.00020433-0.00015539i,1.0269e-05-0.0012251i,0.00015009-0.00030689i,0.00013584+0.00041885i,0.00023106+0.00052582i,0.00052814+0.00023777i,0.00034542+4.9223e-06i,-0.00022675-0.00039605i,-0.00044937-0.00060727i,-0.00025367-0.0010054i,0.00013901-0.0015739i,0.00050079-0.00068547i
