-0.001408+0.00085734i,-0.0021538+0.00055193i,-0.0028135+0.00016828i,-0.0021956-0.00037078i,-0.00064523-0.00013177i,0.00061505+0.00017462i,0.0013297+0.00095604i,0.0006921+0.0016672i,-2.8709e-05+0.0010386i,0.00016854+0.00014231i,-1.9028e-06+0.00051276i,-0.00045115+0.00079816i,0.00018006-0.00016831i,0.001402-0.0002743i,0.0010366+0.000512i,0.00055825+0.00056649i,0.00056724-0.00033471i,0.00068109-0.0013583i,3.2645e-05-0.0017788i,-0.00050222-0.0009655i,-0.00046546+0.0004751i,6.3203e-05+4.5597e-05i,0.00040614-0.00057674i
0.00039257-0.0019826i,0.00077268-0.0032949i,9.5739e-05-0.0023814i,0.0001965-0.0014958i,0.000434-0.0010067i,0.00096202-6.7996e-05i,0.0019095+0.00082339i,0.0018326+0.00018631i,0.00053164-0.00022546i,0.00039179+0.00020961i,0.00061382+2.8268e-05i,-7.3341e-05-0.00034688i,-0.0006841-0.00097215i,5.9871e-05-0.0013748i,0.00019648-0.0016866i,-0.00025591-0.00079868i,0.00025821-9.5338e-05i,0.00034127-0.00026971i,-1.6649e-05-0.0001518i,-9.4635e-05-0.00014096i,-0.00062207-0.00018733i,-0.00079475-0.00027807i,-0.00019733-0.00052821i
-0.00020111+0.0016874i,-4.0388e-05+0.0023623i,0.00037981+0.0010905i,0.00081538-0.00056692i,0.0017801-0.0010798i,0.0024153-0.00023559i,0.001876+0.00022791i,0.001254+0.00010096i,0.0008801+0.00064958i,0.00065966+0.0013419i,0.00073491+0.00070991i,0.0004952+0.00042761i,-0.00010221+0.00083323i,-0.00081345+0.00080902i,-0.00089307+0.00047178i,-0.0002737-0.00031054i,-2.5462e-05-0.00019113i,7.149e-05+0.00022143i,1.3306e-05+0.00013184i,-0.00083158+0.00052052i,-0.0013107+0.00043197i,-0.00043477+2.5059e-05i,0.00031941+0.00038036i
-0.0013121-0.00038996i,-0.0010349+6.4441e-05i,0.00050166-0.00015978i,0.001529-0.00038563i,0.00077557-0.00056026i,0.00049896+6.322e-05i,0.0010723+0.00086229i,0.00050612+0.00038985i,0.00011559-0.00031052i,0.00061947-1.253e-05i,0.00029061+8.0053e-05i,-0.00028261-9.428e-06i,-0.00038198+0.00063211i,-0.00047572+0.00025759i,0.00030216-0.0003339i,0.0007144-3.9943e-05i,0.00014894+8.3374e-05i,0.00028779+9.355e-05i,0.00033315+0.00010108i,0.00025392+0.00017253i,0.00039334+0.00027841i,6.1993e-05+0.00047259i,0.00029158+0.00099359i
-0.0020745+5.586e-05i,-0.0010954+0.00087595i,0.00047388+0.0011542i,0.0011127+0.00096932i,0.00126+0.00078881i,0.0017555+0.00083321i,0.0020852+0.00074199i,0.00088753+0.00082633i,-3.6142e-05+0.00065235i,0.00055925-0.00015651i,0.00061364-0.0003463i,-0.00052739+0.00065849i,-0.00074305+0.00086272i,-0.00021235+0.0003631i,0.00034388-0.00023319i,0.00057932-0.00028158i,0.00010677+2.5152e-05i,-6.2685e-05-0.00024558i,1.3002e-05-0.00058203i,-8.1735e-05-0.00022178i,-0.00043546+0.00020926i,-0.00035155-0.00020045i,0.00018259-4.1714e-05i
-0.00034099-0.0014877i,0.00094027-0.00086045i,0.0016014-0.00011481i,0.00064654-0.00033125i,0.00034534-0.00015577i,0.0020337+0.0002408i,0.0032343+7.2772e-05i,0.0027561-8.0043e-05i,0.0009857+2.0129e-05i,0.00025198+0.00034151i,0.00066477+0.000783i,0.00054467+0.00060604i,9.1297e-05+0.00011816i,0.00026774-0.00052273i,0.0002635-0.00073373i,7.5682e-05-0.00082031i,-0.00019242-0.00039644i,-0.00032642+0.00013961i,8.2222e-05-2.2126e-05i,0.0001791+0.00011247i,-0.00018151+0.00053911i,-0.0002055+0.00036029i,-0.00014552-0.00010112i
-0.0012667-6.3304e-06i,-0.001594+0.0029428i,-0.0016234+0.0049629i,-0.0014033+0.0033587i,-0.00028581+0.0016396i,0.0011902+0.00087617i,0.0018649-0.00027375i,0.0020263-0.00096117i,0.0010097-0.0002437i,0.00063843+0.00070977i,0.0010583+0.00092945i,0.00056225+0.0010945i,-0.00024232+0.00045918i,-7.3935e-06-0.00050091i,0.00010893-0.00056548i,-1.5173e-06-0.00011725i,0.00015348-0.00020986i,-2.2197e-05-0.00029506i,-1.677e-05-0.00035419i,-0.00039407-0.00059577i,-0.00030404-0.00079386i,0.00025848-0.00030463i,0.00046714+0.00018817i
-0.0034027-0.00014122i,-0.0037986+0.00045813i,-0.0029335+0.00073447i,-0.00037006+0.0003907i,0.0010819+8.6898e-05i,0.0012777+0.00026272i,0.0017132+0.00025595i,0.0015849-0.00072682i,0.00095834-0.0015667i,0.00062145-0.00068405i,-6.9546e-05+7.2797e-05i,-7.9452e-05+7.1185e-06i,8.7457e-05-3.36e-05i,0.00048854-0.0002482i,0.0010934-0.00066079i,0.00053101-0.00077499i,1.5565e-05-0.00028677i,1.3076e-05+0.00050317i,-4.5662e-05+0.00024956i,-0.00020166-0.00043502i,-0.00026194-0.00080648i,-0.00039447-0.00091002i,-8.3063e-05-0.00096238i
-0.0044066-0.0005176i,-0.0063027+0.00039858i,-0.0055292+0.0037194i,-0.0014142+0.0025926i,0.0031986+0.00065003i,0.00573-0.0012452i,0.0044935-0.0026368i,0.0029656-0.0018994i,0.0011254-0.00037967i,0.0002839+0.0013469i,0.0012022+0.0020839i,0.0011789+0.0017999i,0.0015414+0.00056024i,0.0024929-0.0012793i,0.0022722-0.002327i,0.00099572-0.0017609i,-0.00010418-0.00061108i,-0.0003012-9.2343e-05i,-0.00028788-0.00037515i,-0.00092687-0.00036612i,-0.00085853+0.00027339i,0.00012817+0.00060428i,0.00076045+0.00072517i
0.0062147+0.00078907i,0.0082524+0.00014543i,0.008298-0.0021406i,0.0034371-0.0027965i,-0.0012895-0.0024021i,-0.0035704-7.0507e-05i,-0.0022403+0.002504i,-1.9483e-05+0.0016369i,0.001334-0.00059805i,0.0011583-0.0020133i,0.00056341-0.0016952i,-0.00047616+9.9403e-05i,-0.0018455+0.0018634i,-0.0022258+0.0022804i,-0.0023189+0.0012767i,-0.0012204+0.00022965i,-0.00030239+0.00046267i,8.1896e-05+1.8734e-05i,2.8627e-05-0.00036037i,-7.2739e-05+0.00021262i,0.00022478+9.2551e-05i,0.0002382-0.0006419i,-0.00032365-0.00055957i
0.00062852-0.0018708i,0.0016298-0.0026853i,0.0019236-0.0042815i,0.002029-0.0040368i,0.0017302-0.0030467i,0.0019566-0.001714i,0.0022526-0.0015999i,0.0015002-0.0011892i,0.00047907+0.00011295i,-0.00013037+0.00041005i,-0.00019202+0.00038064i,-3.5323e-05+0.001103i,0.00041523+0.0011901i,0.00056724+0.00023367i,0.00042278+8.2671e-05i,0.00038193+0.00048072i,0.00034831+2.0719e-06i,0.00052385-0.00027563i,0.00021552-0.00061424i,0.00013841-0.00074162i,0.00034693-9.2649e-05i,0.00056954-0.00025098i,0.00054418-0.0005396i
0.0031764-0.00015866i,0.0028381-0.00066769i,0.0025628-0.002042i,0.0015873-0.0026006i,0.00010921-0.0019934i,-0.0017229-0.0006319i,-0.0013754+0.00026452i,0.00028153-0.00020673i,0.00048402-0.00071198i,0.0002535-0.00062609i,4.6322e-05+0.00042385i,-0.000396+0.00023002i,-0.00082824-0.00063603i,-0.00081536-0.00011819i,-0.0003659+0.00014265i,9.8241e-07-0.00034572i,8.0979e-05+0.00026362i,-8.9904e-05+0.0012509i,-0.00044746+0.00056286i,-0.00043017-0.00011354i,-0.0008242+0.00010927i,-0.00066883-0.00011437i,0.00025525-0.00045984i
0.0010367-0.00070012i,-0.00015238-0.0022372i,-0.001171-0.002536i,-0.00043175-0.001635i,0.0013042-0.0014324i,0.0029212-0.0014239i,0.0039312-0.0011575i,0.0027606-0.0013848i,0.00085401-0.0010297i,0.00020556-0.00090365i,-0.00018253-0.0010876i,-0.00047712-4.1228e-05i,-0.00050388+0.00047507i,-0.0013005-4.3139e-06i,-0.0011087+0.00043371i,-0.00010855+0.00058194i,0.00045409+0.00031612i,0.0011058-8.9649e-05i,0.00099608-0.00019159i,0.00017243-0.00037641i,-0.0004186-0.0006481i,-5.6056e-06-0.001269i,-6.5944e-05-0.0012458i
0.0013639-0.0027543i,0.002835-0.0029593i,0.002948-0.0035365i,0.0018259-0.0038796i,2.4002e-05-0.0022468i,-0.0010571+0.00021353i,-2.0615e-05+0.00055391i,0.0014769-0.0001786i,0.0015392-0.00046917i,0.00038418-0.0004441i,-0.00085649+0.00081349i,-0.0011665+0.0012192i,-0.00053003+0.00076801i,0.00022541+0.00092594i,0.00041599+0.0014i,1.5577e-05+0.00062905i,-1.1623e-05-0.00027446i,0.00039476-3.2936e-05i,0.00067725-2.194e-05i,0.00014219-0.00048666i,-0.00042011-0.00018649i,-0.00049651+2.2762e-05i,-0.00072503-0.00013602i
0.0003571-0.0037768i,-0.00071318-0.0040312i,-0.0019638-0.00394i,-0.0016754-0.0021387i,-0.00034012-0.00049282i,0.0015769+0.00041751i,0.0028688+0.0014467i,0.0028244+0.0014639i,0.0012839+0.00092971i,-0.00024429+0.00096541i,-0.00053628+0.00066019i,-0.0011955+0.00027031i,-0.00097125+0.00094992i,-0.00024599+0.0014793i,2.1481e-05+0.0014205i,0.00016382+0.0015978i,6.4874e-05+0.00062207i,-0.00041606-0.00097759i,-0.00052289-0.00077565i,-0.00067815+0.00043588i,-0.00025881+0.00061969i,0.00068934+0.00024029i,0.00032824-0.00011622i
0.0029984+0.0014256i,0.0034446-0.0006401i,0.004076-0.0019266i,0.0033684-0.0017898i,0.0020405-0.0019772i,0.00062049-0.0015933i,0.00048351-0.0008272i,0.0009611-0.0013689i,0.00077966-0.0011109i,0.00018056+0.00021535i,-0.00029853+0.000693i,-0.00037313+0.00064117i,-0.00029215+0.00063763i,-0.00077446+0.00023694i,-0.001191-0.00026071i,-0.00035982+0.00033585i,0.00056504+0.00096595i,0.00060425+0.0004157i,-0.00014157+4.0691e-05i,0.00030604+0.00058456i,0.00074961+0.00071172i,0.00046369-0.00018091i,-5.032e-05-0.00028761i
0.0046634-0.00032485i,0.0045055-0.00074282i,0.0042138-0.002095i,0.0013765-0.0025265i,-0.00061716-0.0011187i,-0.00044497+0.00068287i,0.00093234+0.0014756i,0.0014971+0.00084423i,0.000411-0.00012923i,-0.0002797-0.00056153i,-0.00035101-0.00097739i,-0.0002017-0.00062333i,-0.00018188+0.00027106i,9.6155e-05+0.0005918i,-0.00020154+0.00012762i,-0.00088388+8.5956e-05i,-0.0007191-6.6749e-05i,-0.00012609-0.0004875i,0.00025322-4.4183e-05i,0.00040497+0.00066118i,0.00055649+0.00077353i,3.8822e-06+0.00035663i,-0.00078483+0.00013944i
0.0015346+0.0015894i,0.0023134+0.00063139i,0.0026988-0.00048567i,0.0018125-0.0023098i,0.00051601-0.0017196i,-0.000131+3.9979e-05i,0.00047962+0.00032565i,0.0012156+8.9628e-05i,0.0012437-0.00024827i,0.00069342-9.2759e-05i,0.00019797+0.00023703i,-8.7947e-05+8.7538e-05i,-0.00031436-0.00042908i,0.00023596-0.00097711i,0.00021741-0.00061134i,-0.00021907-0.00035045i,-0.0002479-0.00094697i,-0.00050064-0.00037991i,-0.00041485+0.00015645i,-0.00072181+0.00040621i,-0.00079074+9.5779e-05i,-0.00029452-0.0006239i,-0.00027678-0.00072532i
0.00095461-0.00019561i,0.0004906-0.0017015i,6.6781e-05-0.0026755i,0.00090335-0.0025311i,0.00063672-0.0021011i,0.00058219-0.0019007i,0.00039574-0.0010951i,-8.9865e-05-0.00014008i,0.00024475+0.0006629i,0.00032956+0.00049643i,0.00013942-0.00042679i,0.00050922-0.0003339i,1.9146e-05+0.00064142i,-0.00037337+0.00076106i,8.4624e-05+0.00031736i,-7.1979e-05-0.00023199i,-0.00017473-7.4469e-05i,-0.00031259+0.0005032i,-0.00055035+0.00087844i,0.00017456+0.00075943i,0.00084483+0.00046591i,0.00061166+0.00032194i,0.00012507+0.00023042i
-0.0004008-0.0011789i,0.00028788-0.00074661i,0.00074142-0.00059067i,0.00081951-0.00022959i,0.0015607-6.8891e-05i,0.0023078-0.00010227i,0.0025366-0.00073348i,0.0012549-0.00064314i,-5.3569e-05+0.00021869i,-0.00020011+0.00097467i,7.2027e-05+0.0013149i,6.6512e-05+0.0015385i,0.00056662+0.00056632i,0.0014664+9.2285e-05i,0.0010063+0.00073446i,-0.00033944+0.00059165i,-0.00075707-5.5317e-05i,-0.00049754-0.00037078i,-0.00090327-0.00041054i,-0.00049759+2.2831e-05i,0.00023861+0.00036283i,0.00010446-5.6229e-05i,-6.356e-05-0.0011851i
0.0020102-0.0015807i,0.0029452-0.0013974i,0.0021632-0.0023347i,-0.00024478-0.0019184i,-0.001241-0.00064266i,-0.00017468+0.00024622i,0.00094522+0.00014758i,0.00042748-0.0004846i,1.138e-05-0.00050237i,0.00037953-0.00082731i,0.00069748-0.00051045i,0.00039768-5.6488e-05i,-6.701e-05-0.00021067i,-0.00036118-9.6472e-05i,-0.00036246-0.00013471i,0.00020537-0.00072815i,0.00066718-0.0005815i,3.9921e-05-0.00052001i,-0.00033627-0.00036416i,9.7785e-05+0.00048903i,0.00023912+0.00071287i,0.00024799+0.00028844i,0.00053093-0.00047754i
-0.00066088+0.0016974i,-0.00086731+0.0020697i,0.0008271+0.0020764i,0.0019218-3.0064e-05i,0.0011362-0.0016532i,0.00089223-0.0015112i,0.0011277-0.0013246i,0.0010888-0.00090497i,0.00092242-0.00065096i,0.00089153-0.00021518i,0.00023664-6.3802e-05i,-0.00018577+0.00011459i,-0.00027368+0.00019977i,-0.0002978+0.00024564i,6.4779e-05+0.00030104i,5.3146e-05-0.00076403i,0.00027602-0.00072184i,0.00044353+3.0675e-06i,0.00025964-0.00035059i,-0.00025836-0.0010624i,-0.00010011-0.00074712i,0.0011021-0.00061411i,0.0011757-0.00067042i
0.00028012+0.00074848i,0.00044001+0.0010999i,-0.00010745+0.00051165i,0.00010471-0.00077067i,0.00098825-0.0013954i,0.001852-0.00098395i,0.0017782-0.00031543i,0.00092783-0.00023877i,0.0003508-0.00043827i,0.00017324-0.00073515i,0.00011031-0.00096737i,-0.00036429+0.00032096i,-0.0003086+0.0013733i,0.00025881+0.0011758i,-0.00020131+0.00062299i,-0.00018748-0.00035064i,0.00078196-0.00040871i,0.0011264-0.00011017i,0.00027095+2.4644e-05i,-0.00069965+3.4881e-05i,-0.00030187-0.00044948i,0.00016987-0.0009209i,-0.00010289-0.0010941i
0.0021587-0.00064081i,0.0030309-0.0016889i,0.0012305-0.0031118i,-0.00083805-0.0027843i,-0.00090528-0.001284i,-1.2981e-05-0.00017427i,0.0019741+0.00075298i,0.0031411+0.00063815i,0.002034+4.9918e-05i,0.00039666+0.00015371i,-0.00077091+4.2551e-05i,-0.0010601-0.00039826i,-0.0005232-0.00056887i,-0.00039918-0.00028553i,-0.00037258+0.00048337i,-0.00022897+0.00056842i,-0.00018559+0.00042103i,-0.00045259+0.00093547i,-0.00034172+0.00062102i,0.00058011-0.00024193i,0.00072173-0.00029945i,0.00047575+7.3605e-05i,0.00056981+0.00031919i
0.0019042+0.002219i,0.0023665+0.0010613i,0.0023527-0.00016958i,0.0016066-0.0017388i,0.00038441-0.0028272i,-0.0012255-0.0018693i,-0.0010888-0.00057562i,5.0482e-05+5.9449e-05i,0.00092848-0.00033714i,0.0014676-0.00069247i,0.00036354-0.00051428i,-0.00064697-0.00068747i,-0.0012416-1.6893e-06i,-0.0011048+0.00066234i,-0.0011148+0.0012054i,-0.00054304+0.00084138i,7.0307e-05-0.00013211i,-0.00013741-0.00054219i,-0.00051277-5.8246e-05i,-0.0011903-0.00015682i,-0.00099839-0.00047782i,-0.00093961-0.00037363i,-0.00071945+7.0903e-05i
0.00019792-0.0021502i,0.00036303-0.0021325i,0.00087793-0.0030313i,0.0017293-0.0036684i,0.00092941-0.0025846i,5.1909e-05-0.00042681i,0.00067715+5.7903e-05i,0.0015128-0.00015176i,0.0010362+0.00032157i,-0.00024463+0.00033638i,-0.00030264-0.00036692i,-5.3455e-05-0.00052051i,1.585e-05-0.00033818i,0.00039326-0.00020157i,0.00060979+0.00036731i,0.00033201+0.00072982i,-0.0004166+0.00048611i,-0.0010211-0.00016069i,-0.0010078-0.00045414i,-0.00060488-0.00027771i,-0.0003075+0.00022389i,-0.00045932+0.00056816i,-0.00046634+0.00032259i
0.0039333-0.00097683i,0.003557-0.0016371i,0.0025575-0.0025057i,0.0015161-0.0025486i,0.00038291-0.0025709i,0.00025008-0.0014405i,0.0011803-5.5862e-05i,0.0012951+0.00040349i,0.00096648+9.2928e-05i,0.00032596-0.00041937i,0.00012373+3.0993e-05i,4.4543e-05+0.00031314i,-0.00054669-1.3184e-06i,-0.00060561+0.00010157i,-0.00020238-0.00046156i,0.00020175-0.00012311i,0.00058572+0.00030414i,0.00017916-0.0002327i,-0.00055855-0.00048662i,-0.00059924-0.0003076i,-0.00030376-0.00095147i,-0.00027495-0.00078234i,-0.00062058+6.0052e-05i
0.00062259+0.00012614i,0.00087307+0.00022519i,0.0019797-0.00054428i,0.0016741-0.0013084i,0.00078907-0.0012241i,0.0012409-0.00020199i,0.0018621-0.00025161i,0.0020665-0.00091808i,0.00135-0.0015308i,0.00025333-0.00088752i,-0.00058815+0.00018461i,-0.00063038+0.00024221i,-9.5897e-05+0.00023479i,0.00014951+0.00062892i,0.00033224+0.0011221i,0.00023591+0.00090845i,0.00056421+9.6651e-05i,0.00092061-0.00021089i,0.00012251-8.6093e-05i,3.3957e-05-0.0001346i,0.00058186+0.0002077i,0.00078381+0.00058593i,0.0004348+8.2742e-05i
0.00067539-0.0027521i,0.00015344-0.0031287i,-0.0011275-0.0034948i,-0.0013518-0.0031173i,-0.00048816-0.0018179i,0.00093773-0.00026232i,0.0022766+0.00010532i,0.0023464-6.9098e-05i,0.0013731+4.2655e-05i,0.00071714+8.0687e-05i,0.00024106+0.00062815i,2.1603e-06+0.00082965i,0.00057765+0.00043827i,0.001091+0.00026306i,0.00083634+0.00016628i,-2.1076e-05-0.00023186i,-0.00064786+0.00011106i,0.00029796+0.00075984i,0.0011914+0.0002369i,0.0008077-0.00035286i,0.00010861-9.8516e-05i,-0.00041241+0.00020062i,-0.00021284+0.00062231i
0.0023227-0.0009367i,0.0029287-0.00033783i,0.0020579-0.00095454i,0.00083102-0.0012812i,-0.00026174-0.00030508i,-0.00020144+0.00034381i,0.0016014+0.00036632i,0.0023589-0.00039073i,0.0014252-0.0013996i,8.2416e-07-0.00087135i,-0.00093921-0.00040287i,-0.00094403-2.2541e-05i,-0.00084471+0.00016679i,-0.00033917+0.00058531i,-0.00081944+0.00088952i,-0.0013539+0.0010495i,-0.00076078+0.0013075i,-5.4742e-05+0.00051209i,0.00059753-0.00021471i,0.00028893+3.7345e-05i,0.00035818-0.00016079i,0.0007862-0.00023002i,0.00055532+2.8016e-05i
0.00069875-2.0395e-05i,0.0022543+0.00033727i,0.0033933-0.0010334i,0.0027243-0.0026006i,0.001244-0.0028233i,0.00082405-0.0018624i,0.00084949-0.00070111i,0.0013083-0.00072879i,0.00087099-0.00066604i,-3.0406e-05-0.00064198i,-0.00015051-0.00063662i,-0.00018858+0.00041558i,-0.0006662+0.00069785i,-0.0010061+0.00027062i,-0.00088555-0.00043958i,0.00025445-0.00085393i,0.0010798-0.00072651i,0.00081925-0.00019789i,0.0001981+0.00047116i,0.00024337+0.00056318i,0.00053455+0.00029399i,0.00060901-0.00020909i,0.00024982+1.6919e-05i
0.0026217-0.0010142i,0.001109-0.0014101i,0.0011849-0.0027278i,0.00048262-0.0034115i,-0.00031219-0.0023853i,8.5762e-05-0.0001823i,0.00090793+0.00092395i,0.0017004+0.0010528i,0.0013354+0.00091342i,-4.8455e-05-0.00026966i,-0.00022442-0.00025614i,-0.00032151+0.00043814i,-0.00064936+4.5688e-05i,-0.00080723-0.0002487i,-0.00077711+0.00028528i,5.8121e-05+0.00052774i,-0.00018612-4.5982e-05i,-0.00014206-0.00043686i,-3.1079e-05-7.1409e-05i,-0.00020015+7.4947e-05i,-0.00095898-0.00019064i,-0.0010714+0.00010469i,9.7271e-05+0.00026529i
0.0027653-0.0007427i,0.0030397-0.0015604i,0.0031165-0.0012138i,0.0023936-0.00082434i,0.00047022-0.0011537i,9.8621e-05-0.00056314i,0.00085324+0.0006718i,0.0012228+0.00098132i,0.00037173+2.8592e-05i,-0.00066411-0.00057961i,-0.0003487+0.00018566i,0.0001366+0.00081319i,9.5392e-05+0.00092257i,-0.00062051+0.00097923i,-0.0012488+0.00048225i,-5.1664e-05+0.00026931i,0.00073545-6.7732e-06i,0.00073255-0.00030026i,0.0010609-8.7096e-05i,0.00053009+0.0001202i,0.00049012-0.00065185i,0.00058502-0.00096665i,-0.000145-0.00036421i
0.001157-0.00022922i,0.0022737-0.00092658i,0.0025415-0.0026127i,0.0023333-0.0026356i,0.0014588-0.0017301i,0.0011078-0.00057508i,0.0017021+0.00042317i,0.001286+0.0005306i,0.00074123-5.5427e-05i,0.00075597-0.00061514i,0.00061952-0.00039426i,9.7314e-05+0.0008169i,-0.00072747+0.00086693i,-0.00047051+0.00046616i,-0.00035201+0.0010248i,-0.00083979+0.0010563i,-0.00036379+0.00074869i,0.00023113+0.0010619i,-0.00026319+0.00087404i,-0.00055481-0.00012824i,-0.00067023-0.00053449i,-0.00033186-0.00026998i,-0.00033931-0.00017417i
-0.0011069+0.00092574i,-0.00012453+0.0024571i,-0.00037038+0.0025858i,-0.00031622+0.0019546i,0.00093018+0.0012584i,0.0021548+0.00081104i,0.0022203+0.0011846i,0.0016981+0.00074926i,0.001354-3.5889e-06i,0.0010261+0.00044684i,0.0004501+0.00061682i,-0.0002265+4.8691e-05i,0.00033305+3.6122e-05i,0.0012447+0.00072315i,0.0006256+0.00066281i,-0.0006977+5.6543e-05i,-0.00047527+0.00062205i,0.00012637+0.00060761i,-8.7124e-05+0.00030122i,-0.00093664+0.00044984i,-0.00048572+0.00022956i,-0.00022792+0.00014004i,-0.00080369-3.9658e-05i
-0.0012239-0.0010061i,-0.0020827-0.00053334i,-0.0015394+0.00016105i,-0.00098221+0.00081234i,-0.00063948+0.00072961i,7.8154e-05+0.0004046i,0.0014641+0.00052602i,0.0017533+0.00016892i,0.00017948-0.00038433i,-0.00055236+4.2728e-05i,-0.00081696-2.0709e-05i,-0.00071202+0.00010424i,7.6993e-05+0.00021137i,0.00012669+5.8473e-05i,0.0002205+0.00087349i,-5.6535e-05+0.00060753i,-0.00041751-0.00012169i,-0.00022627+0.00013119i,0.00034596+0.00013793i,0.00050189+0.00018776i,0.00048979+0.0005988i,0.00013423+0.00094385i,-0.00083151+0.00073689i
0.00014205-0.0016056i,7.0946e-05-0.0019084i,-0.00055295-0.0018326i,-0.00010942-0.0016512i,0.00035568-0.0015138i,0.001024-0.0016264i,0.0018512-0.0010332i,0.0020432-0.00030512i,0.0012584-5.3772e-06i,0.00076244+0.00062126i,0.00058314+0.00010564i,0.00021743-2.9243e-05i,0.00012004-0.00016943i,0.00029927-0.00056344i,0.00035021-6.2226e-05i,0.00029896+0.00063102i,0.00010158+0.00041932i,0.00017828-0.00026713i,-1.686e-05-0.00022192i,-0.00041137+0.0003437i,-0.00024681+0.00097347i,0.00014491+0.001848i,4.775e-05+0.0017054i
0.00017522-0.00094345i,-0.00070949-0.0019276i,-0.0020246-0.0029829i,-0.0022056-0.0028804i,-0.0010815-0.00097995i,-0.00064033+0.0004737i,0.00018387+0.00020666i,0.0011796-0.00050374i,0.0012641-0.00036163i,0.00061601-0.00054557i,0.00025666-0.00029659i,-4.5415e-05+0.00019276i,0.00022841+0.00058508i,0.00075152+0.00090715i,0.00050798+0.0005192i,-0.00012482-0.00044393i,-0.00037348-0.0008802i,-0.00050352+0.0005518i,-0.00032852+0.0014048i,0.00070261+0.00059452i,0.00094665+6.0694e-05i,-0.00018589+0.00030349i,-0.00051032+0.00015227i
0.0017057-0.00016347i,0.0018216-0.00076045i,0.0014823-0.0014226i,0.00085403-0.002358i,0.00022143-0.002516i,0.00019372-0.0019934i,0.00088088-0.0010343i,0.00095941-0.00030328i,-0.00022729+0.00024721i,-0.00059246+0.00031941i,-0.00075533+0.00044836i,-0.00091715+0.00015149i,-0.00077193+0.00034954i,-0.0010015+0.00088974i,-0.0013156+0.00071304i,-0.00097316+0.00016823i,-0.00045882-0.00046944i,-3.74e-05-0.00095597i,0.00026467-0.00082179i,0.00032819+7.3273e-05i,0.00025005+0.00038624i,0.0002093+0.00031619i,-6.0049e-05+0.0006673i
0.0011689-0.00025626i,0.00060449+0.00041288i,0.0015594+0.0003623i,0.0021593-0.00041226i,0.0014979-0.00049607i,0.00058899+5.23e-05i,0.0008511-0.00068848i,0.0014337-0.0003519i,0.00057187+3.0001e-05i,6.2836e-06-0.0007679i,0.00076048-0.00042995i,0.0011499+0.00038446i,0.00062141+0.00056466i,-7.5038e-05+0.00038966i,-0.00082099+0.00017978i,-0.00073527+0.00087608i,-0.00019892+0.0010538i,1.2116e-05-0.00025953i,0.00051415-0.00035433i,4.3489e-05+0.00080266i,7.1552e-06+0.00048542i,0.00046714+0.00021355i,-5.56e-05+0.00055864i
0.0023367-0.00013347i,0.002308-0.0007278i,0.0017471-0.0023283i,0.00057957-0.0032498i,0.00013028-0.0031748i,0.00038435-0.0019837i,0.00081724-0.00022662i,0.0011445+0.00076201i,0.00071367+0.00091252i,7.3782e-05+0.00056028i,-0.00031846-0.00012792i,-0.00034084+0.00029771i,-0.00099612+0.00035579i,-0.0011091-9.9541e-05i,-0.00097522+0.00012609i,-0.00048946+0.00012746i,0.00010593+0.00014556i,-0.00032357+2.9695e-05i,-0.00072025-0.00013705i,-0.00073924-0.00051509i,-6.6958e-05-0.00056168i,-0.00036219+4.1386e-05i,-0.0004687+6.7415e-05i
0.0034776-0.0026998i,0.0029036-0.0028518i,0.00076334-0.0027384i,-0.0011391-0.0022906i,-0.0014363-0.001234i,-0.0007366+0.00015836i,0.00091163+0.0012182i,0.0013442+0.00070256i,0.00054419-0.00037266i,-3.7808e-05-0.00043556i,-0.00040163+0.00030633i,-0.00060317+0.00044307i,-0.00092987+0.0003445i,-0.00074237+0.00070314i,2.2012e-05+0.0011764i,0.00028508+0.00065241i,-9.7001e-06+0.0001569i,8.611e-05-0.00011771i,-3.1803e-05-0.00014381i,7.3906e-05-0.00031369i,0.00060104-0.00057991i,0.00050906+4.1628e-05i,0.00063827+0.00057i
-0.0015112+0.00065407i,-0.0010471+0.0010734i,5.1219e-05-0.00071488i,0.0008953-0.0023626i,0.00090672-0.0028497i,0.00066022-0.0020307i,0.0010373-0.00059638i,0.0011457-0.00050887i,0.00067418-4.7625e-05i,0.00048436+0.0010427i,0.00034539+0.0007381i,0.00015043-0.00018489i,7.7836e-05+0.00014889i,-0.00049246+0.00042419i,-0.00012871+4.9688e-05i,0.00044389+0.00032863i,0.0010147+0.00029806i,0.0012055+0.00023802i,-3.9485e-05+0.00062539i,-0.0012072+0.00035493i,-0.00065782-0.00055219i,0.00038817-0.00049495i,0.00050495+0.00038409i
0.0027553-0.0029845i,0.003378-0.0033884i,0.0030107-0.0028533i,0.0021119-0.0012467i,0.0015394+0.0004618i,0.0016424+0.0010788i,0.002505+0.00095921i,0.0025305+0.00084505i,0.0013319+0.00046461i,0.00042657+7.4242e-05i,-7.1332e-05-0.00020959i,-0.00035865-0.00051614i,-0.00042233-0.00021476i,0.00052409+0.00050502i,0.00057846+0.00025981i,-7.6728e-05-2.2499e-05i,4.1167e-05-8.5025e-05i,0.00048821+9.9409e-05i,0.00037493+4.3917e-05i,0.00029948-0.00084654i,0.00018672-0.00065007i,-0.00026288-0.00070222i,-0.00068673-0.00096338i
