-0.0020159+0.00058171i,-0.0014704-0.00015387i,-0.0024141+8.2489e-06i,-0.0025671+0.00074544i,-0.001607+0.0010791i,-0.00052782+0.0011842i,-0.00080504+0.0017366i,-0.0014375+0.0018315i,-0.0004292+0.0015237i,0.00091808+0.0011141i,0.00087641+0.0006816i,0.00088775+0.0006172i,0.0007996+0.0008294i,0.00015022+0.00073557i,0.00036914+0.00077178i,8.775e-05+0.00016434i,-0.00025076-0.00042372i,-0.00032197-0.00096223i,-0.00013851-0.00076879i,-0.00025337-0.00069298i,-0.00089065-0.00058481i,-0.00086451-2.1768e-05i,-0.00032935+0.00029685i
0.0023001+0.00080159i,0.0035826+0.0012802i,0.0033271+0.0012158i,0.0024774-0.00044465i,0.0016839-0.0011033i,-0.00011618-0.00092091i,-0.0013403-0.0020663i,-0.001859-0.002597i,-0.0015695-0.0018304i,-0.00081898-0.0007641i,-0.00099888+0.00020156i,-0.0017535+0.0007469i,-0.0012317+0.00018821i,0.00089186-0.00094223i,0.0017875-0.00088099i,0.0015813+0.00012923i,0.00068692+0.00095452i,-0.00021833+0.0014632i,-7.2944e-05+0.00087078i,6.8052e-05+0.00054295i,-0.00037643+0.00030295i,-0.00024589-0.00020282i,-0.00038828-0.00073492i
-0.00051687-0.0019644i,-0.0017539-0.001734i,-0.0035525+0.0001221i,-0.0029542+0.0022329i,-0.0015333+0.0027156i,-0.0012309+0.0013135i,-0.0015404+0.00020705i,-0.0027663+9.4556e-05i,-0.001952-0.0003205i,-0.00077744-0.00014558i,8.5239e-05+0.0015051i,0.0021811+0.0025939i,0.0034719+0.0017706i,0.0031996+0.00088902i,0.0020758+0.00093739i,0.0018327+0.0014615i,0.0013488+0.0018812i,0.0011806+0.0012911i,0.0015137-0.00027563i,0.0010039-0.00077182i,0.00019342-0.00054301i,-0.0010581-0.00076027i,-0.0015781-0.00071875i
0.0011148-0.00023829i,0.0011462-0.0011045i,0.0014192-0.0017764i,0.0019363-0.001191i,0.0017429-0.00033469i,0.0012379-0.00033921i,-0.00026454-0.0010863i,-0.00073417-0.0020341i,-0.00027957-0.0021401i,0.00041334-0.00071084i,0.0013848+0.0014904i,0.0017686+0.0023255i,0.0017263+0.0014908i,0.0010649+0.00079513i,0.00030805-2.4411e-06i,0.00075897-0.00085536i,0.0011287-0.00076122i,0.00092636-0.00029473i,0.00091679-0.00031303i,0.0012654-0.00079761i,0.00093627-0.0003536i,-0.00031387+6.498e-05i,-0.00091554-0.00060542i
0.0014584+0.0015614i,0.0020147+0.0020283i,0.0022187+0.0013383i,0.0016789+0.00087434i,0.00083705+0.00086877i,0.00020786+8.2587e-05i,-0.0011055-0.0009942i,-0.0022262-0.0013772i,-0.0019258-0.0010148i,-0.0011593-0.00053857i,-0.00075056-0.00043255i,-0.00065579-0.00063667i,-0.0012641-0.0010639i,-0.0015397-0.0015026i,-0.0010894-0.0017944i,-0.0013911-0.0020261i,-0.0015501-0.0026882i,-0.00080665-0.0024124i,-0.00028178-0.00085463i,-0.00026938+0.00041247i,-0.00016995+0.0011359i,-1.573e-05+0.00075384i,-0.00035074-0.00029889i
-8.0472e-06+0.002293i,-0.00039673+0.0042366i,-0.00032617+0.0050342i,-0.00075361+0.0044263i,0.00015127+0.002784i,0.0010473+0.0011811i,-0.00038609-0.00014646i,-0.0010182-0.0014596i,-0.00053833-0.0017382i,-0.0010276-0.001512i,-0.0020844-0.0021206i,-0.0023782-0.0036464i,-0.0019973-0.0036463i,-0.0012209-0.0018437i,-0.00064475-0.00028649i,-0.00068746-0.00041848i,-0.00051496-0.00036846i,-0.00025765+0.00038212i,0.00027699+0.00020949i,0.00094403+0.00018713i,0.00048193+0.00025876i,0.00035126+0.00032155i,0.00080664-0.00019082i
0.0015772+0.0016182i,0.0014617+0.0024948i,0.0028408+0.0022118i,0.0030165+0.00061333i,0.0025214+0.00010177i,0.00062909-0.00014743i,-0.0010878-0.0014397i,-0.0011868-0.0022999i,-0.00082076-0.0022269i,-0.001647-0.0018838i,-0.0024102-0.0013665i,-0.0013467-0.00068319i,0.00064343-0.00033714i,0.0012946+0.00032707i,0.0011924+0.0011079i,0.00090844+0.0018724i,0.00041568+0.0021678i,0.00047165+0.0024823i,0.00052194+0.0029177i,0.0008859+0.0015927i,0.0009061+0.00036702i,0.00032714+0.00036856i,-0.00021628+0.00036453i
-0.00070847-0.001733i,-0.0006527-0.0027251i,-0.0014406-0.002124i,-0.0018178-0.0012746i,-0.0015488-0.0010969i,-0.0012394-0.0010532i,-0.0011498-0.0012972i,-0.0011516-0.0014591i,-0.00090639-0.00091127i,-0.0005656+0.00012393i,-0.00065925+0.0019235i,0.00042909+0.0034156i,0.0020729+0.0040745i,0.0019793+0.0030298i,0.0013081+0.0020271i,0.00087177+0.0023726i,0.00042261+0.0020641i,2.967e-05+0.0016138i,0.00021549+0.0014777i,0.00052757+0.00086318i,0.0001781+9.5537e-05i,-0.00029189-0.00033387i,-0.00050793-0.00023287i
3.3646e-05+0.0009544i,0.0009803+0.0011152i,0.0017015+0.0016783i,0.0017903+0.0018711i,0.002448+0.001313i,0.0030222+0.00036364i,0.0012008+1.0338e-05i,-0.00028762+0.00053748i,-0.00030222+0.00018032i,0.00052859+0.00060642i,0.0014001+0.0015488i,0.001383+0.0017622i,0.00047252+0.0016426i,-0.00026417+0.0010494i,-0.0012485-0.00050812i,-0.001564-0.0017618i,-0.00028669-0.0021187i,0.0010295-0.0010825i,0.0010288-0.00012305i,0.00050695-3.9876e-05i,0.00012479+0.0004787i,-0.0003754+0.00039773i,-0.0002702+9.6577e-05i
0.0015495+0.0003136i,0.00099988+0.00065594i,0.0014972+0.0006833i,0.0024752+0.0020712i,0.0017512+0.001125i,0.00068022-0.00025616i,-5.492e-05-0.0012839i,-0.0011921-0.0018073i,-0.001151-0.0011362i,-3.5055e-05-0.00079945i,0.00089469-0.0012373i,0.00115-0.002345i,-0.00058413-0.0033715i,-0.0019863-0.0029739i,-0.00144-0.0029117i,-0.00051203-0.002641i,-0.00022474-0.0015053i,0.00018663-0.00092918i,0.00075313-0.00061975i,0.00085362-0.00041737i,0.00022594+0.00012354i,-0.00056047+0.00015817i,7.6789e-05+0.00037621i
-0.0038195-0.0021471i,-0.0037789-0.0018901i,-0.0058545-0.00023558i,-0.0047663+0.0021559i,-0.0014377+0.0026527i,0.00073782+0.0014662i,0.00082873+0.00018927i,-0.00064331-0.00083794i,-0.0013443-0.0012775i,-0.00092305-0.0016206i,-0.00069533-0.0025729i,-0.00088611-0.0025309i,-0.00087949-0.0018682i,-6.9014e-05-0.0009848i,0.00048166-0.00016967i,-0.0001299+0.00073626i,-0.00018704+0.0012858i,-5.604e-05+0.0011115i,-0.0004991+0.00082836i,-0.00013844-3.8552e-05i,-6.71e-05-0.00030521i,-0.00058515+3.6284e-05i,9.1989e-05+0.00084702i
0.00052705+0.0023606i,0.0014432+0.0022983i,0.0021931+0.0017669i,0.0022003+0.00090701i,0.0017918-0.00010728i,0.0010114-0.00071491i,0.00048094-0.0013391i,6.9129e-05-0.0015027i,-0.00028569-0.0011116i,-0.001294-0.0011496i,-0.0024913-0.00073387i,-0.0025874+0.00021095i,-0.0010062+0.0014464i,0.00013555+0.0023864i,0.00064946+0.0025951i,0.0004046+0.0023753i,-0.00026686+0.0025354i,0.00030812+0.0021903i,0.00059368+0.0012698i,-1.3754e-05+0.00071616i,0.00038225-0.00020784i,0.00070091+8.556e-06i,0.00066397+0.00071734i
0.00068202-0.0017722i,-0.00046656-0.00085121i,-0.00075444-0.0012621i,0.00043146-0.00014549i,0.00014669+0.0016725i,-0.00027133+0.0016319i,-0.00037136-0.00030294i,-0.00132-0.00057979i,-0.0026394+0.00072484i,-0.0032712+0.0012024i,-0.0033388+0.0024468i,-0.0023235+0.0038947i,-0.0010115+0.0040599i,-0.00067994+0.0028961i,-0.00089239+0.001062i,-0.00068963-0.00010772i,6.7361e-05+4.3144e-05i,-7.2605e-06-0.00010032i,-0.00014971-0.00058161i,-0.00017247-0.00074198i,-0.00035053-0.0010313i,-0.00026003-0.00078298i,-0.00042178+8.3479e-05i
0.0010814+0.0013446i,0.0011538+0.0006865i,0.0019485-0.00023258i,0.0017583+0.00049474i,0.0008791+0.00096497i,0.00028842+3.1868e-05i,-9.0176e-05-0.001513i,-0.00075355-0.0017093i,-0.0010886-0.0011307i,-0.00086143+0.0004696i,-0.00038646+0.0026612i,0.0001786+0.001682i,-0.00018275-0.00044414i,-0.0012304-0.0011906i,-0.0011038-0.0022637i,3.8329e-05-0.0028629i,0.00075276-0.0021718i,0.00071329-0.00077347i,0.00022502+0.00019515i,-0.00053414+0.00056061i,-0.00045454+0.00032437i,-0.000153-0.00012531i,-4.5845e-06+8.2237e-05i
-0.00013724+0.0015068i,0.00076517+0.0026699i,0.0019627+0.0031644i,0.0027551+0.0030497i,0.0024397+0.0022032i,0.0014491+0.0006195i,0.00061941-0.00099642i,-3.8821e-05-0.0014645i,-5.76e-05-0.0012422i,0.00091888-0.0013607i,0.0021335-0.0018039i,0.001609-0.0034177i,-0.00022653-0.004192i,-0.00082598-0.0034555i,-0.00037881-0.002398i,0.00073354-0.0018678i,0.00068604-0.0012172i,0.00010926-0.00046807i,0.00068253+0.00080184i,0.00089499+0.00081045i,0.00010794-0.00020478i,-2.2923e-05-0.00032493i,-5.5932e-05-8.2497e-05i
-0.0015111-0.0039198i,-0.0019269-0.0030987i,-0.0040921-0.0013004i,-0.0041397+2.117e-06i,-0.0029649+0.00065232i,-0.00095708+0.00030251i,0.00014384-0.0011593i,-0.00034443-0.0023037i,-0.00062638-0.0027728i,-0.00011784-0.003361i,0.00023841-0.0037209i,0.00053358-0.0035694i,0.0005772-0.0026384i,0.00048645-0.00026808i,0.00019992+0.0012438i,-0.00075506+0.0016553i,-0.0014911+0.0017869i,-0.0014958+0.0015107i,-0.0010265+0.0014327i,6.4243e-05+0.00067158i,0.00049077-0.00045158i,0.00040373-0.00045618i,0.00049952+0.00045813i
-4.8447e-05+0.0013443i,0.00086493+0.00096331i,-0.00033759+0.00027539i,0.0011122-0.00012838i,0.002958-0.00037762i,0.002241-0.0011703i,0.00061996-0.0013343i,-0.0010137-0.0010697i,-0.0014708-0.0014101i,-0.0018097-0.0023891i,-0.0027076-0.0020433i,-0.002473-0.00022201i,-0.00087543+0.0020659i,0.00023574+0.0033918i,-0.00042617+0.0027775i,-0.0013963+0.0021827i,-0.00056397+0.0020967i,0.00010044+0.0017853i,0.00034405+0.00056932i,0.00013286-0.00070995i,-5.685e-05-0.00070313i,0.00017483-0.00093511i,0.0001256-0.00075767i
-0.0010322+0.002868i,-0.00029345+0.00068724i,0.0021795-0.0018063i,0.0025574-0.0016847i,0.0016681-0.00096189i,0.0011285-0.0007251i,0.00021202-0.0010156i,-0.0018269-0.0011315i,-0.002964-0.00039361i,-0.0034444-9.0622e-05i,-0.0041581+0.00047253i,-0.0039723+0.0026135i,-0.0022466+0.0034631i,-0.00031637+0.0014996i,-0.00055234+9.7545e-05i,-0.00086205-0.00013332i,0.0006499-0.00055898i,0.0014658-0.00070659i,0.00047908-0.00082511i,-0.00067391-0.0013176i,-0.00070086-0.00074994i,-0.00023887+0.00034992i,-0.00037734+8.55e-05i
-0.00081552-0.00099067i,0.00021753-0.001562i,0.0020888+0.00023291i,0.0032035+0.0025499i,0.0030024+0.0025853i,0.0019173+0.0012407i,-0.0003268-0.0010461i,-0.0012289-0.0016368i,-0.0011794-0.00071368i,-0.0008153+0.00096418i,-0.00045243+0.0021016i,7.5761e-05+0.0010615i,0.00084482-0.0014163i,0.0011975-0.0025043i,0.00082392-0.0023902i,0.0011722-0.0023237i,0.0019458-0.0022105i,0.0012807-0.001748i,0.00067763-0.00069292i,0.00062998-0.00067267i,0.00035278-0.00091135i,2.0225e-05-0.00039842i,-0.00055592+0.00019993i
0.0021281+0.0013289i,0.0025694+0.0029398i,0.003356+0.0045366i,0.0023297+0.0041411i,0.0012681+0.0018167i,0.00057748+0.00065511i,-0.00032495-0.00033759i,3.2035e-05-0.0021203i,0.0013657-0.0023483i,0.0025927-0.0011104i,0.0028888-0.00038144i,0.0025815-0.0021495i,0.0021592-0.0041409i,0.0015561-0.0033239i,0.00073466-0.001807i,-0.00036265-0.0015248i,-0.00063254-0.0012657i,-0.00066143-0.001231i,-0.00052337-0.00085969i,0.00051497-0.00041104i,0.00020821-0.00034141i,-0.0013851-0.00049768i,-0.0015418-0.0008642i
0.00050167-0.0036413i,-0.00085115-0.0027318i,-0.0044045-0.0029146i,-0.0054742-0.0025738i,-0.0036409-0.0010359i,-0.001573+2.6998e-05i,-0.00019424-0.00044421i,-0.0005875-0.0015199i,-0.00073362-0.0014867i,-4.134e-05-0.0012976i,0.00091589-0.0010669i,0.00035453-0.00047853i,-0.00023354+0.00017844i,0.0013689+0.0016642i,0.0015236+0.0020353i,-0.0011351+0.0018744i,-0.0025523+0.0018684i,-0.0015429+0.00096703i,0.0007049-5.1699e-05i,0.0015401-0.00075681i,0.00058081-0.00036872i,1.5069e-05+0.00028834i,-0.00039912+6.9123e-05i
0.00037751+0.0037082i,-0.00071514+0.002895i,-0.00090218-0.001316i,0.00075176-0.0024638i,0.0016694+4.1734e-05i,0.001702+0.0016204i,0.0009279+0.0012527i,-0.0006124-0.00085191i,-0.0017424-0.0021276i,-0.0025263-0.0017257i,-0.0030192-0.00025043i,-0.0031788+0.0025635i,-0.0028634+0.00502i,-0.0018348+0.0051845i,-0.00067721+0.0030633i,-0.00034655+0.00094317i,0.00030855+0.00065838i,0.00045851+0.00052786i,0.00020179-0.00030396i,-0.00025066-0.0010255i,-0.00024698-0.00040677i,9.7924e-05+0.00013056i,0.00055594-0.00067097i
0.0008827-0.00044033i,0.0024201-0.0021126i,0.0067755-0.0031545i,0.0079495-0.0011516i,0.0041644+0.00050876i,0.00060956-0.00015393i,-0.0012974-0.0011539i,-0.0027245-0.0015867i,-0.0033745-0.0012808i,-0.0046123-7.958e-05i,-0.006102+0.0013125i,-0.0045003+0.0019765i,-0.0019697+0.0023446i,-0.0011095+0.0014942i,8.0235e-05+9.9553e-05i,0.0017259+0.00021933i,0.0019899+0.00081826i,0.0018028+0.00049247i,0.0010713+0.00030779i,-0.00028999-0.00043502i,-0.00021956-0.00062384i,0.00060238-0.00015308i,0.00075926-0.00042483i
0.00014369-0.0003596i,0.0025465-7.3554e-05i,0.0031018+0.0039064i,0.001746+0.0057892i,0.00080041+0.0035827i,0.00044252+0.00092409i,-1.7647e-05-0.0011655i,-0.00039349-0.0012116i,0.00020425+0.00085005i,-0.00049823+0.0019929i,-0.0017274+0.0016415i,-0.00024848+0.00045946i,0.001501-0.0016283i,0.0016069-0.0033472i,0.0012699-0.0022681i,0.0010396-0.0009416i,0.0013092-0.00045687i,0.00091107+0.00041295i,0.0006942+0.0012729i,0.00057446+0.00078321i,0.00037067-0.00018898i,0.00013311-0.00088321i,0.00027123-0.00021171i
0.0016498+0.0014791i,0.0013565+0.0047287i,-0.0015932+0.0070286i,-0.0032512+0.005698i,-0.0011324+0.0037778i,-0.00026181+0.0012697i,-0.00028474-0.00086827i,-0.00039804-0.0011142i,-0.00044578-0.00076051i,0.00045658-0.00085495i,0.0013525-0.00080014i,0.0023363-0.0015492i,0.0018458-0.0026773i,0.0010181-0.0024312i,5.7452e-05-0.00092388i,-0.0013935-0.0012205i,-0.0019501-0.0012711i,-0.0022137+0.00069224i,-0.0016861+0.0018679i,-0.00027204+0.0017458i,-1.0267e-05+0.0010416i,-0.00038108+0.00030892i,-0.00010416+0.00041779i
-0.00051297-0.0017595i,-0.004147-0.0029265i,-0.0072625-0.0058866i,-0.0053439-0.0055243i,-0.0023704-0.0024175i,-0.00076436-0.00019253i,-0.00076141+0.00042306i,-0.0014157-0.00066906i,-0.0010113-0.0025448i,-0.00055346-0.003616i,-0.00011426-0.002528i,-0.0011963-0.00017537i,-0.0032744+0.0013807i,-0.0037789+0.0013416i,-0.0027226+0.00054183i,-0.0016599+0.00022935i,-0.0015017+0.00049903i,-0.0014545+0.0010026i,-0.00056773+0.0014099i,0.00058131+0.0013546i,0.00054006+0.00065672i,0.00031814+0.00014076i,0.00038414+0.00018929i
-0.003861-0.0017118i,-0.0041465-0.0062545i,0.00019925-0.0095802i,0.0042583-0.0063656i,0.003071-0.0010008i,0.0005788-4.1343e-05i,-0.0021744-0.0016024i,-0.0032638-0.002531i,-0.002664-0.0029101i,-0.0032769-0.0028011i,-0.0041353-0.0022955i,-0.0048187-0.00030305i,-0.0052467+0.0020793i,-0.0034214+0.0030675i,-0.0004247+0.0025426i,0.00087737+0.0012718i,0.0014564+0.0018264i,0.0015117+0.0022045i,0.0010363+0.0012345i,0.00065966+0.00055001i,0.00051069+0.00075412i,0.00052916+0.00098595i,0.00036647+0.00019464i
0.0020613-0.0016477i,0.0068307-0.0022261i,0.011641+0.0012369i,0.010683+0.0042691i,0.0052419+0.00353i,0.0020378+0.001371i,0.00036399-0.0011384i,-0.00095416-0.0021186i,-0.0011487-0.0010874i,-0.0015047+7.6152e-05i,-0.0016733+0.0006267i,-0.0010665+0.00062796i,-0.00080752+0.00070056i,-0.0008669+0.00043634i,-0.0011744-0.00013947i,-0.00050203+0.00099683i,0.00078042+0.00081351i,0.00092421+2.2236e-05i,0.00041979+0.00033778i,-0.00017639+0.00036854i,-0.00079323-0.00030274i,-0.00067582+3.391e-05i,4.441e-05+0.00094343i
0.0039544-0.0016171i,0.0044099+0.0037859i,0.00039228+0.010139i,-0.0044022+0.010145i,-0.0040775+0.0063803i,-0.0018812+0.003378i,-0.00073443+0.0017747i,7.8188e-05+0.0012221i,0.00074658+0.00087812i,0.0011268+0.00096803i,0.0011347+0.00026483i,0.0024616-0.0009627i,0.0041367-0.002461i,0.0035196-0.0036512i,0.0005457-0.0023495i,-0.0013952-0.00097243i,-0.0013272-0.0012323i,-0.00096659-0.00087606i,-0.00042224+8.9103e-05i,-0.0006478-0.00027075i,-0.0012098-0.00030488i,-0.0010468+0.00028891i,-0.0008528+0.00071691i
0.00092699+0.0077871i,-0.0051192+0.0092929i,-0.010455+0.005541i,-0.0086828+0.00092279i,-0.0035249-0.00051027i,-0.00048055-0.0014071i,-1.1395e-05-0.0015475i,0.00044295-0.00047428i,0.0018164+0.0005866i,0.0026825+0.00073087i,0.0023508+0.00076462i,0.0025234-0.00016573i,0.0022355-0.0017981i,0.001145-0.0022349i,0.00058031-0.0020786i,-7.7052e-05-0.0016447i,-0.0013926-0.0014124i,-0.0016559-0.0017265i,-0.0013216-0.0018604i,-0.0014882-0.0017745i,-0.0012405-0.00071359i,-0.0003251+5.7639e-05i,-0.00057196-0.00069499i
-0.0015093-0.00089657i,-0.0047256-0.0065911i,-0.0028703-0.013888i,0.0011503-0.012611i,0.0017496-0.0059291i,0.00029452-0.0019473i,-0.0011448-0.001149i,-0.0016138-0.0017883i,-0.0017335-0.0023087i,-0.0013048-0.0016432i,-0.00087873-8.1006e-05i,-0.0023476+0.001172i,-0.0039413+0.0018039i,-0.0028997+0.001674i,-0.00067614+0.00069351i,0.00041947+0.00027592i,0.00046995+0.00053514i,-2.7839e-05+7.4004e-05i,9.4507e-05-0.00060917i,0.00043716-0.00087544i,-0.00019187-0.00043229i,-0.00027916+0.00018515i,0.00023732+9.1091e-05i
-0.0013289-0.0059745i,0.0030231-0.0097064i,0.010563-0.0085454i,0.011544-0.0023026i,0.0061454+0.00049513i,0.0023018+0.00011213i,0.0014426-0.00096021i,0.0011736-0.0017491i,-0.00018011-0.0012203i,-0.0016497-0.00029645i,-0.0016692+0.00020679i,-0.0020512+3.1226e-05i,-0.0021748+9.0165e-05i,-0.0011392+0.0011538i,-0.00062887+0.0022677i,-0.00051658+0.0027203i,-0.00040698+0.0020536i,0.00051762+0.0010573i,0.00072411+0.00074967i,0.00019091+0.0003879i,-0.00015154-0.00011881i,-0.00052413-0.00081771i,-0.00059552-0.00036701i
0.0085619-0.0017688i,0.014801+0.0024085i,0.014405+0.010527i,0.0078937+0.011937i,0.0031267+0.0073308i,0.0015523+0.0024609i,0.00024427-0.00033045i,-0.001153-0.00045583i,-0.001502+0.00047604i,-0.001278+0.0015458i,-0.00022644+0.0012331i,0.0021732+0.00076626i,0.0034258-0.00047053i,0.0020511-0.0018387i,-0.00056308-0.0010067i,-0.0020451+0.00018589i,-0.00098215+0.00047931i,0.00014336+0.00058589i,0.00044237+0.00083761i,0.00063284+0.0012267i,-1.6806e-05+0.0010464i,-0.0011793+0.00042511i,-0.0012424+0.00042524i
0.0031913+0.0090169i,-0.0010392+0.015938i,-0.0098059+0.015901i,-0.0119+0.0085092i,-0.0063001+0.0024313i,-0.0025804+5.5146e-05i,-0.0005835-0.00057796i,-0.00045084-0.00036876i,-0.0014342+0.00040218i,-0.00028158+0.0011042i,0.0015405+0.0019836i,0.0035573+0.0020249i,0.0043862+0.00046495i,0.0025812-0.001557i,0.00097539-0.0029034i,-6.1675e-05-0.0026676i,-0.00073662-0.002207i,-0.0001235-0.00188i,0.00049308-0.00027934i,0.00093299+0.00084573i,0.00024223+0.0005136i,-6.3063e-05+0.00038763i,-0.00055247+0.00030512i
-0.0076633+0.0054134i,-0.015906+0.00088722i,-0.016956-0.0075598i,-0.0086848-0.010178i,-0.0017634-0.0059775i,-0.00017349-0.0026611i,-0.0016048-0.0017752i,-0.0034478-0.0016741i,-0.0035377-0.00137i,-0.002768-0.001174i,-0.0024047-0.00027884i,-0.0021921+0.00091333i,-0.0014728+0.00096598i,-0.00014039+0.00058141i,0.0010918+0.00026436i,0.0010133-0.00080016i,0.00022653-0.0022081i,-0.00016751-0.002003i,0.00015869-0.00094077i,0.00082289-0.00069038i,0.001182-0.00094618i,0.00054913-0.0016163i,-0.00015143-0.0017373i
-0.0053025-0.0070416i,-0.00137-0.016018i,0.0088064-0.018959i,0.013831-0.011583i,0.010087-0.0046458i,0.0049568-0.002333i,0.001256-0.0013875i,-0.00086001-0.0012246i,-0.002512-0.0018239i,-0.0034057-0.0022708i,-0.0041012-0.0015172i,-0.0048546+0.00048765i,-0.0034452+0.0024224i,-0.0016197+0.0036526i,9.4401e-05+0.0042164i,0.00099508+0.0037216i,0.00050652+0.0022948i,0.00014777+0.00085448i,0.00084496+0.00017073i,0.0012486-0.00015149i,0.00095048-0.00061768i,0.00046724-0.00073951i,0.00051398-7.5679e-05i
0.010263-0.0087884i,0.021531-0.0074287i,0.026514+0.0017907i,0.01798+0.0082508i,0.0081821+0.0053985i,0.0040858+0.0016833i,0.0014877+0.00020934i,-0.00040379-0.00055294i,-0.0018337-0.00056543i,-0.0031147-0.00079402i,-0.0031032-0.0010435i,-0.0020641-0.00083869i,-0.0007403+0.00032996i,-0.00056561+0.0019242i,-0.00094264+0.0026894i,-0.00048642+0.0018582i,-1.1893e-06+0.0018045i,0.00041389+0.0024097i,0.00043614+0.0016511i,0.00061733+0.00073153i,0.00033198+8.0805e-05i,1.7696e-05-0.00040028i,-0.0010271-8.5127e-05i
0.0060639+0.0080986i,0.0051659+0.021857i,-0.0042794+0.02996i,-0.0089803+0.022795i,-0.0045694+0.013184i,-0.00039434+0.0076337i,0.00082916+0.0024721i,-0.00013451-0.00036965i,-0.00053021-0.00023037i,9.056e-05+0.00047584i,0.00059336-0.00021907i,0.0017611-0.00011993i,0.0021699+0.00050533i,0.00033241-0.0012393i,-0.0013536-0.0021255i,-0.0014636-0.0017355i,-0.00032954-0.0010727i,5.6586e-05+0.00016309i,-0.0007965+0.0016506i,-0.0014048+0.001618i,-0.0012806+0.00076105i,-0.00095532-0.00030764i,-0.00071902-0.0012311i
-0.0064923+0.010047i,-0.019653+0.011589i,-0.027922+0.0035925i,-0.021134-0.0033666i,-0.01097-0.0026047i,-0.0059346-0.001228i,-0.0032284-0.0015321i,-0.0013963-0.0023472i,-0.00040341-0.0035329i,0.00070047-0.0038075i,5.2394e-05-0.0028084i,-0.0015732-0.00082292i,-0.0022125-0.00026655i,-0.0021995-0.0010767i,-0.002063-0.0015694i,-0.0012639-0.001432i,-0.00056346-0.0012926i,-0.00065978-0.0013275i,-0.00031731-0.00020403i,-9.8769e-06+0.0010529i,0.00080522+0.0013918i,0.0012528+0.0013821i,0.0014027+0.00014983i
-0.0096749-0.0068328i,-0.013534-0.021184i,-0.0066258-0.031254i,0.0021113-0.024594i,0.0029253-0.012099i,0.00096271-0.0056728i,-0.0010492-0.0043284i,-0.0026627-0.0035618i,-0.0025827-0.0025425i,-0.0018461-0.0029613i,-0.0030811-0.0030207i,-0.0053096-0.0019725i,-0.0058206-0.00095524i,-0.0038216+0.00022039i,-0.0014074+0.0017447i,-0.00017268+0.0017471i,2.7371e-06+0.00091153i,0.00011524+0.00089316i,0.00020366+0.001031i,-0.0003232+0.00059126i,-0.00060607+0.00010637i,0.00056199-0.00049898i,0.0016576-0.0016609i
0.0067196-0.013673i,0.020474-0.019793i,0.031472-0.011579i,0.027374-0.00021426i,0.015686+0.0024353i,0.0066838+0.0003339i,0.00045121-0.0018596i,-0.0021306-0.0028955i,-0.0023339-0.0024943i,-0.0029612-0.00050735i,-0.0036406-0.00027072i,-0.0039065-0.001502i,-0.0038567-0.0011732i,-0.0028918+0.00044385i,-0.0015567+0.0020393i,-0.00037721+0.0026497i,-8.0986e-05+0.0025867i,-0.00057597+0.0014687i,-0.00036639+0.00020155i,0.00021177-5.8789e-05i,8.9752e-05+0.00014438i,-0.00036454-0.00022333i,-4.0415e-06-1.4037e-05i
0.016327+0.0032447i,0.023802+0.01673i,0.018258+0.028898i,0.0052857+0.026158i,-0.00077071+0.014952i,-0.00076471+0.0066488i,-3.2187e-05+0.0013261i,0.00025724+6.3876e-05i,0.00019533+0.0013124i,0.001082+0.0019591i,0.0027002+0.0023656i,0.0033002+0.0012322i,0.0020748-0.00083698i,0.00091514-0.0023933i,-0.00015889-0.0030356i,-0.00027466-0.0021937i,0.0004319-0.00025438i,0.00096255+0.00032457i,0.0010468-0.00013676i,0.00074026-0.00086653i,0.00077919-0.00075389i,0.00090227+0.00061163i,0.00060232+0.001723i
-0.0049933+0.018349i,-0.019983+0.030383i,-0.032029+0.027881i,-0.027474+0.015371i,-0.015295+0.0072823i,-0.0069518+0.0037002i,-0.0025788+0.0011777i,0.0013635-0.0002943i,0.0051375+1.8086e-06i,0.0057142+0.00037239i,0.0048423+0.00010506i,0.0047002-0.00030238i,0.0035175-0.0020561i,0.0014461-0.0046123i,0.00022573-0.0060138i,0.0001418-0.0051206i,0.00033377-0.0033252i,0.00011135-0.0021771i,-0.00091554-0.001625i,-0.0014995-0.00088866i,-0.00085845-4.6951e-05i,-0.00091255+0.00041048i,-0.00099922+0.00039874i
-0.019479-0.0035322i,-0.034368-0.016831i,-0.032845-0.031057i,-0.017479-0.028025i,-0.0061116-0.01476i,-0.0020647-0.006789i,-0.0012889-0.0044219i,-0.00014366-0.0037464i,0.0024451-0.0031589i,0.0025701-0.003008i,-0.00013598-0.0023244i,-0.0017802-0.0016954i,-0.0020624-0.0025099i,-0.0014499-0.002282i,-0.00036877-0.0010534i,-4.0891e-05-0.00021523i,-0.00027431+0.00036268i,-0.0011013+0.00034265i,-0.00043636+0.00022406i,0.00078602-0.00041544i,0.0009359-0.00043845i,0.00043795+0.0014355i,0.0002045+0.0024428i
