-0.0032918+0.00026434i,-0.0021292+0.00036379i,-0.0018964+0.0013829i,-0.0020182+0.002493i,-0.0016779+0.0033528i,-0.00084928+0.0029244i,-0.00053577+0.0013846i,-0.00063481+0.0011147i,-0.00066341+0.001779i,-0.00048219+0.0014985i,0.00013716+0.0002501i,0.0004184-0.0010384i,-0.00051279-0.00074769i,-0.0012671-5.9267e-05i,-0.00092082+0.00011073i,0.00022243+9.166e-05i,0.00035128+0.00047376i,-2.081e-05+0.00065175i,0.00041358-0.0001275i,0.00085541-2.7845e-05i,0.00048145+0.00035076i,-0.00058812+3.3057e-05i,-0.00055876-0.00086461i
-0.0010658+0.0013606i,-0.00099134+0.002578i,-0.00036772+0.0026957i,-0.00033181+0.001625i,-0.00032413+0.00087004i,0.00024816+0.00070188i,0.00036462+0.00079585i,0.00048276+0.00055599i,-0.0004944+0.00019364i,-0.0012189-0.00038253i,-4.9475e-05-0.00067483i,0.00093177-0.00019652i,0.00076944+0.00037761i,-9.8378e-05+0.00032216i,-0.00071894-5.9794e-05i,-0.00063694-0.00016893i,-0.00063167+0.0001309i,-0.0003008+8.5462e-05i,0.00015703-0.00029511i,3.49e-05-0.00059883i,-0.00031504-0.00015548i,6.0314e-05+0.00014133i,0.00075333-0.00043252i
-0.00045929-0.00086187i,-4.9634e-05+0.00055903i,-0.00032286+0.0013734i,-0.00024075+0.0013121i,0.00035112+0.0010481i,0.00044347+0.00027291i,-0.00073999+0.00044338i,-0.0013667+0.0012675i,-0.0012381+0.00112i,-0.0008699+0.00087392i,0.00020045+8.4097e-05i,0.0005959-0.00040843i,0.00053881-0.00042002i,0.0012812-0.00047537i,0.0013387-4.7939e-05i,0.00093126+0.00038146i,0.00087684+0.00080431i,0.00031223+0.0010796i,-0.00056677+0.00093738i,-0.0005456+0.00037358i,-0.00037252-4.6961e-05i,-0.00011849-0.000331i,-0.00017407-0.00078461i
-0.00082653+0.0014956i,-0.00067283+0.0015931i,-0.001141+0.0010966i,-0.0010005+0.00075323i,-0.00057781+0.0013719i,-0.0011493+0.0018375i,-0.0010461+0.001595i,-0.00034046+0.0012511i,0.00024575+0.001295i,-5.4765e-05+0.0012002i,-0.00093093+0.00031529i,-0.00082681-0.00079563i,0.00023193-0.0013635i,0.0011038-0.0001132i,0.00060276+0.00045045i,-0.00062437-0.00022967i,-0.00088548-0.00023813i,-0.00033887+0.00011589i,-9.0497e-05+0.00020098i,-0.00034177+0.00023859i,-0.00062297-6.642e-06i,-0.0011708-0.00016711i,-0.00090651-0.00013623i
0.0014298+5.5655e-06i,0.0004152-0.0013576i,-0.0015855-0.0024539i,-0.0021147-0.0018921i,-0.0019738+1.6797e-05i,-0.001343+0.0010316i,-0.0010114+0.0010386i,-0.0011438+0.00078199i,-0.0010406+0.00019256i,-0.00077399-1.2248e-05i,-0.00059792+0.00033951i,-0.00034022+0.00056337i,-0.00051978+0.00041854i,0.00012179-0.00016362i,0.00054058-0.00085549i,0.00029264-0.0005787i,0.00044162-0.00016752i,0.00076943-0.0002651i,0.00059624-5.1645e-05i,0.00035442+0.00024947i,0.00043306-0.00021955i,0.00048278-0.00081981i,0.00042486+6.4615e-05i
0.0018481+0.0012586i,0.0015316+0.00090014i,0.00058703-0.00090383i,-0.00046692-0.0014183i,-0.00091747-0.00044693i,-0.00083264+0.00025624i,-0.00035852+0.00052286i,-4.0067e-05+0.0010966i,-0.00036735+0.00083698i,-0.00030372-0.00026279i,-0.00041702-0.00041927i,-0.00051706-0.00022227i,-0.00023574+9.0565e-05i,0.00034664+0.00053315i,0.00082923+0.0003322i,0.0012864+0.00028803i,0.0012146-0.00015442i,-5.2356e-05-0.00012901i,-0.0010438-0.00012322i,-0.00051771-4.489e-05i,2.5692e-05-2.2742e-05i,0.00033411-0.00099219i,0.00016061-0.0016818i
0.0015598+0.0011922i,0.0024568-3.2175e-06i,0.0026661-0.00066022i,0.0014516-0.00082403i,0.00014722-0.0008688i,-0.0013468-0.00054014i,-0.0013659-0.00036063i,-0.0004677+0.00018745i,-0.00064012+0.0007922i,-0.001379+0.00022925i,-0.00099944-0.00014463i,-0.00081572-0.00031717i,-0.00044517-0.00066012i,-0.00036365-0.00036953i,1.3594e-06-0.00030259i,0.00027294-0.00022801i,0.00025782-0.00063749i,0.0001225-0.00098522i,-0.00067906-0.00033428i,-0.0005677+0.00061522i,0.00022867+0.00056806i,0.0004177-0.00026013i,0.00024476+5.9588e-05i
-0.0022665+0.0015953i,-0.0013654+0.0016435i,-0.001074+0.0023321i,-0.00048297+0.0023682i,0.00077245+0.00067628i,0.0008539-0.001432i,-0.00040255-0.00038141i,-0.001329+0.001256i,-0.00071218+0.0019183i,0.00057351+0.0020067i,0.00098424+0.00074198i,0.00049442+0.00012847i,0.00047206+0.00012245i,0.0002596-0.0001985i,-3.8328e-05-0.00020493i,-7.4833e-05-7.651e-05i,-0.00029853-0.00046355i,0.00013062+0.00028555i,0.00031946+0.00049806i,-0.00067995-0.00055678i,-0.001415-0.0011529i,-0.0010112-0.0011323i,-0.00094519-0.00035248i
0.0025078+0.0003702i,0.0025252-0.00034974i,0.0025641-0.0012526i,0.0015967-0.0020271i,-4.1558e-05-0.00090793i,-0.00046206+0.00047663i,-0.00031484+0.0012053i,-0.00054433+0.0010764i,-0.00098695+0.00023337i,-0.00066446+0.00013986i,-0.00056534+0.00076953i,-0.00051108+0.00039559i,0.00022737+0.00035876i,0.00040474+0.0008473i,0.00056021+0.00084077i,0.00012523-7.546e-05i,-0.00067647-0.0010252i,-0.00063199-0.00074435i,-0.00079154+0.00022893i,-0.00098049+0.00037388i,-0.00055306-0.00014227i,0.00038791-0.00017106i,0.00021251+0.0004543i
-0.0025156-0.00013196i,-0.0031738+0.0010936i,-0.0038412+0.0023828i,-0.0024833+0.0026255i,-0.00096832+0.0025877i,-1.2606e-05+0.0024761i,0.00014842+0.0023399i,-0.00096947+0.0016982i,-0.0008687+0.00088354i,0.00016168+0.00061596i,0.00066441+0.00063842i,0.00064528+0.0004419i,0.000244-0.00026131i,0.0002172-0.00020706i,-0.00046992+0.00058577i,-0.00051328+0.00025215i,-0.0001417-0.00014704i,4.8212e-05-4.886e-05i,0.00027533-5.7681e-05i,-0.00023298-0.00016973i,0.00015537-0.00043909i,0.00018502-0.00020965i,-0.00017621-8.0104e-05i
0.00029003-2.8731e-05i,-0.00067139-0.0012418i,-0.0014801-0.0011604i,-0.00091548-0.00077732i,4.3701e-05-0.00054678i,-0.00082118+0.00013801i,-0.0013114+0.001143i,-0.0013941+0.0017632i,-0.0012084+0.0010638i,-0.00035317+0.00015421i,7.9982e-05-0.00017516i,-0.00027325-0.00062309i,-0.00042653-0.0010543i,5.195e-05-0.00033368i,0.00034761+0.00065319i,3.5607e-05+0.00059842i,-0.00021105+0.00051111i,-0.00016512+0.00015109i,-0.00032997-0.00026438i,-2.9334e-05-7.1856e-05i,0.00058777-0.00028219i,0.0006374-0.00051197i,0.00041196-0.0009183i
-0.00097309-0.00034975i,-0.00171-0.00062502i,-0.0023427-0.00085739i,-0.0022137-0.00032548i,-0.0016687+0.00064182i,-0.00086822+0.0019287i,-0.00048291+0.0021224i,-0.00073198+0.001264i,-0.00084627+0.0003227i,-0.00064813+0.00013568i,-0.00044167+0.00084493i,-9.6403e-05+0.0014195i,0.00057799+0.00097186i,0.00030036+8.155e-05i,0.00013108-0.00037955i,0.00068486-0.00047808i,0.0010787-0.00064547i,0.00080683-0.00057134i,-0.00019526-0.00054315i,-0.00094648-8.8226e-05i,-0.00063415+0.00024338i,-0.00036487-0.00080032i,-0.00026131-0.0009291i
0.0012174-0.00036087i,0.00068864-0.0016709i,3.6582e-06-0.0025644i,-0.00030386-0.0023822i,-0.00016028-0.0010813i,-0.00062594-8.353e-05i,-0.0011455+0.00028909i,-0.00082514+0.00035914i,-0.00035309+0.0004743i,-0.00010173+0.00037227i,-0.0003031+0.0001939i,-0.00031737-0.00021713i,0.00045404+7.413e-05i,0.00091719+0.00065449i,0.00085049-0.00034874i,0.001132-0.0010708i,0.00067206-0.00078757i,0.00044157-8.5537e-05i,0.00025516+0.00020164i,-0.0003764+5.8311e-05i,-0.0002635+0.00049049i,-0.00026183-2.7264e-05i,0.00047517-0.0010609i
0.001066+0.0013804i,0.00040065+0.00089956i,0.00025341-0.00079052i,2.7552e-05-0.0010607i,-0.00049116-8.2611e-05i,-0.00093804+0.0007224i,-0.00080054+0.0013503i,-0.00091797+0.0019321i,-0.00083619+0.0016786i,-0.00064375+0.00072347i,-0.00048459+3.2672e-05i,-0.00023894-0.00068321i,-0.00042858-0.0011128i,-0.00063355-0.0002122i,0.00016712+0.00082498i,-0.00030521+0.0012695i,-0.0011412+0.0012158i,-0.00090631+0.00030889i,-0.00062494-0.00060388i,-0.00061141-0.00048101i,-0.00055013-0.00017933i,0.00052306-0.00012246i,0.00062148+0.00022655i
0.00051411-0.00083199i,0.00023343-0.00043383i,-0.00056316-0.00023567i,-0.0011971-0.0001104i,-0.00060422+0.00017733i,9.8859e-05-1.4092e-05i,-0.00053669+0.00020855i,-0.0013082+0.00066424i,-0.00093899+0.00073287i,-0.00090763+0.00078212i,-0.00051486+5.9854e-05i,2.1784e-05-0.0003679i,0.00019702-0.00026296i,-0.00047458-0.000949i,-0.00051682-0.00078309i,-0.00046927+6.4491e-05i,-0.00038359+0.00036708i,-0.000102+0.00026837i,-0.00087032-0.00012827i,-0.0010556-3.3162e-05i,-0.0002904+0.0005578i,0.00011295+0.00098309i,0.00014047+0.0011207i
0.00083187+0.00013693i,0.00094567-0.00033965i,0.0013224-0.00063476i,-9.1468e-05-0.00052972i,-0.0012671-0.00047018i,-0.0010253-0.00014474i,-0.0014219+0.00068162i,-0.0012794+0.00079915i,-0.001026+0.00071129i,-0.00054079+0.00045456i,0.00028649+0.00060399i,0.00012849+0.0011814i,-0.00031685+0.00040538i,-0.00056295+3.7111e-05i,8.4239e-05+0.0002325i,0.00072403-0.00013606i,0.0010564-0.00047977i,0.00016245-0.00043764i,-0.00068174-0.00039265i,-0.00019528-4.4421e-05i,-0.00039146+0.00030035i,-0.0001107+0.00034639i,0.00054673+0.00010489i
-0.0007189+0.00096827i,-0.00065044-0.00048749i,5.3738e-05-0.0015028i,0.00083463-0.00074446i,0.00047702-4.4031e-05i,-0.00037497-0.00055303i,-0.0011368-0.00017714i,-0.001592+0.00047662i,-0.001276+0.00053116i,-0.00044347+0.00039311i,-0.00021624-0.00039876i,7.6421e-05-0.0008821i,0.00064174-7.4148e-05i,0.00014938+0.00053428i,-0.0010542+0.0005246i,-0.0010658+0.00024927i,0.0002959+8.7325e-06i,0.00090826-2.0301e-05i,0.00015576+0.00041211i,-0.00040341+0.00016368i,-0.00069755-0.00016482i,-0.00054147-0.00023658i,0.00010855+0.00014003i
0.0019554+0.0015231i,0.002217+0.0013039i,0.0021981+0.00048891i,0.0012687+0.00024107i,9.5552e-05-0.00051429i,-0.00045519-0.00051976i,-0.00087456+2.6993e-05i,-0.00085849+0.0014015i,-0.00048959+0.0012591i,-0.00027682+0.00049302i,-0.00010022-0.00011995i,0.00022529-0.00072572i,0.00024596-0.00054252i,0.00010978-2.0406e-05i,0.00027396-0.00034805i,0.00023661-0.0011211i,0.00030999-0.00079471i,0.00066285+7.8812e-05i,-5.7532e-05+0.00065224i,-0.00033078+0.00070432i,-0.00039638+2.5144e-05i,-0.0011084-0.00077335i,-0.00091246-0.00078825i
-0.00032646-0.0007029i,-0.0002226-0.0010793i,-0.00025754-0.001518i,-0.0003016-0.0010969i,-0.00019928-0.00021698i,-0.00055082+0.00060045i,-0.00080554+0.00096278i,-0.00090287+0.00057328i,-0.00088984-0.00011646i,-0.00078531+0.00013025i,-0.00046516+9.6009e-05i,0.0002101-0.00035331i,0.00053099-0.00038404i,-6.6413e-05-0.00033179i,-0.00031246-0.00048145i,0.00062627-0.00035812i,0.00076694+0.0004668i,-0.00037258+0.00061743i,-0.00090042+0.00053757i,-0.00091949+0.00025093i,-0.00078437-0.00029876i,0.00011418+0.00019548i,0.00027279+0.00059274i
0.0017206-0.00036129i,0.00068857-0.0005592i,0.00055103-0.00081901i,0.00056838-0.0012525i,0.00010339-0.0012389i,-0.00033233-0.00041509i,-0.00086961+0.00010789i,-0.00076951+0.00015956i,-5.7827e-06+0.00060228i,-0.00026139+0.00048684i,-0.0012023-0.00018465i,-0.00094079-9.6026e-05i,-5.4677e-05+0.00036163i,0.00030134+0.00021792i,0.00039077+0.00071538i,0.0007126+0.00053753i,0.00058917-0.00048125i,0.00013052-0.00057952i,-0.00072992-0.00063025i,-0.00055778-0.00058633i,-0.00017182-0.00035504i,-0.00021214+0.00016461i,8.8036e-05+0.0006054i
0.00092706-0.0020823i,0.00066766-0.0011856i,-0.00034049-0.00082328i,-0.0013085-0.00084572i,-0.0014456+7.0757e-05i,-0.0013711+0.00084181i,-0.0011826+0.0005939i,-0.00030703+0.00075205i,-0.00069481+0.00063838i,-0.0013621+0.00020064i,-0.00093145-0.00010532i,-0.00038803+0.000156i,-0.00057495+0.00025914i,-0.00036663-0.00055294i,0.00052671-0.00067778i,0.00016241+0.000195i,-0.00032289+0.00011176i,0.00019463-0.00049535i,0.0007797-0.00073882i,-8.147e-05-0.00092209i,-6.5092e-05-0.00065581i,-0.00013193+2.4212e-05i,-0.00027285-0.00027901i
-0.0022847+0.00039273i,-0.0027268+0.00062179i,-0.0019131+0.0014677i,-0.0009386+0.0011446i,-0.00079969+0.00032877i,-0.0005329+0.00044733i,-0.00071626+0.0002165i,-0.0011856+6.3682e-05i,-0.0011586+0.00026914i,-0.00095312+0.00058202i,-0.00013474+0.00086078i,-2.2874e-05+0.0010679i,0.00010631+0.00021243i,0.0011939-0.00065304i,0.0017264+8.2517e-05i,0.0016239+0.00097359i,0.00083221+0.00027076i,-0.00045388-0.00036557i,-0.00097218-6.5288e-05i,-0.00088562-6.538e-05i,-0.00034963-0.00055563i,-0.00017548-0.00033479i,-0.00057134-0.00045646i
-0.00017797-0.00018306i,-0.00039511+9.4075e-05i,-0.0022713+0.00018264i,-0.0026124-6.9182e-05i,-0.0017129+0.00061352i,-0.0012219+0.0013134i,-0.00061955+0.001188i,-0.00052753+0.0014009i,-0.00066134+0.0012962i,-0.00066681+0.00065866i,-0.00044079+0.00042016i,-0.00037389+0.00045335i,-0.00011479-0.00016722i,0.00043415-0.000246i,0.00051466+2.3293e-05i,-0.00020091-0.00021026i,-0.00034282-0.0002574i,-7.4609e-05+0.00025107i,-0.00015171+0.00031863i,-0.00035779+0.00073664i,-0.00073445+0.0010486i,-0.00088951+0.00021301i,-0.00044644+3.4995e-05i
-0.0016714-0.00075298i,-0.0013969-0.00032031i,-0.0014249+0.00015407i,-0.0014089+0.0013994i,-0.00016848+0.001727i,0.0006941+0.00094647i,0.00040934+0.00059665i,2.593e-05+0.00014841i,-0.00010843-0.00015705i,-0.00061626-0.00025396i,-0.0002552-0.00021815i,9.3871e-05-0.00028182i,0.00010228-0.00054943i,0.00033284-0.00077318i,5.2396e-05-0.00055148i,2.5694e-05-0.00044625i,0.00062569-0.00036317i,0.0008564+2.3914e-05i,0.00023404+0.00028001i,-0.00053446+0.00014836i,-0.00032665-0.00023577i,-0.00025665+2.2556e-05i,-0.0003311-4.5214e-06i
0.00098735-0.0024085i,0.00089878-0.0020089i,0.00086457-0.00054719i,-0.00019428+0.00091644i,-0.0013689+0.0013289i,-0.0021504+0.0012686i,-0.0026479+0.00077384i,-0.0013034+0.00035174i,-0.00081932-5.5532e-06i,-0.0014607-0.00028248i,-0.0011244-8.7066e-05i,-4.2259e-05-0.00073524i,0.00055546-0.0011016i,0.00095942-0.000468i,0.0013806-0.00021869i,0.00094545+0.00010809i,0.00021516-0.00021533i,0.0001437-0.00048947i,1.5736e-05-0.00031071i,-7.6721e-05-0.00020876i,-0.00059588-4.5193e-06i,-0.00034344+1.0213e-05i,0.00014475-0.0001012i
0.00013744+0.000957i,-0.00037674+0.0009036i,-0.00037951+0.00070153i,7.6026e-06+0.00027266i,0.00032658-8.1212e-05i,0.00020245+2.2786e-05i,0.00016783+0.00054652i,-0.0002699+0.0010667i,-0.00034979+0.0012392i,-0.00017738+0.0010346i,-0.00033993-1.0134e-05i,5.0172e-05-0.00013665i,-0.00013667+0.00060891i,-0.00074593+0.0004883i,-0.00046261+8.918e-05i,-0.00011875+0.00016189i,0.00010125+0.0008684i,3.4507e-05+0.0010839i,-0.00095737+0.00080196i,-0.0010193+0.00046879i,-0.0004806+0.00012726i,-0.00022707-8.0001e-05i,0.00033533+9.1564e-05i
0.0018601-0.00083143i,0.00080156-0.0030514i,0.00035778-0.0035426i,-0.00056523-0.0018761i,-0.0011584-0.00064866i,-0.002168-0.00027593i,-0.0016856-0.00015497i,-0.00021824+0.00013908i,-0.00014434+0.00013801i,-0.00095362-0.00029555i,-0.00074614-0.00017787i,-0.00042774+0.00027876i,-0.00022164+0.00071204i,0.00039016+0.00058276i,-0.00025785-0.00021665i,-0.00045937-0.00026239i,-0.00032362+0.00080216i,-0.00026752+0.001022i,-0.00012406+0.0005692i,-7.9506e-05+0.00025989i,0.00065159-6.5058e-05i,0.0006185-0.00014036i,-0.00056366+0.0001349i
-0.00062414-0.00035174i,-0.0002907+0.00065706i,-0.00077815+0.0014751i,-0.0001754+0.0012091i,0.00059155+0.00081191i,0.00077366+0.00070165i,0.00037497+0.0015016i,-0.00035411+0.0016708i,-0.00069051+0.00076134i,-0.00081362+9.2831e-05i,-0.00065777-0.00032844i,-0.0002542-0.00067548i,-0.0002697-0.00028864i,-0.00029841+0.00036468i,-0.00053802+0.00027231i,-0.00040502-0.00037992i,0.00043614-0.00013463i,0.00020416+0.00022556i,-0.00017925-0.00055186i,-0.00013313-0.00073064i,-0.00018836-0.00025872i,-0.0002438-0.00042448i,0.00011096-0.00015162i
0.00075941+0.0012938i,6.5915e-05+0.0011623i,-0.00029723+0.00082159i,2.2352e-05-0.00020042i,-0.0001429+2.5282e-05i,-0.00071018-0.00040831i,-0.0012007-0.00097117i,-0.00072542+0.00028084i,-8.6833e-06+0.0012481i,1.1359e-05+0.0006686i,0.00046894-1.4823e-05i,0.00079554-0.00039596i,0.00012669-0.00019921i,-0.00069661+0.00050878i,-0.0016517+0.00053084i,-0.0017181-0.00034652i,-0.0005637-0.00032043i,0.00015977+0.00018295i,-0.00044433+0.00043161i,-0.0011547+0.00035518i,-0.00094476+0.00043324i,-0.00025008+0.00053538i,0.00019333+6.2093e-05i
-0.0011541-0.00096966i,-0.0013892+0.00077334i,-0.0019518+0.0016102i,-0.0022733+0.0012775i,-0.0016987+0.0014567i,-0.001435+0.0024686i,-0.0016709+0.0022071i,-0.0010369+0.0011922i,-0.00060474+0.0010677i,-0.00033314+0.001032i,1.9966e-05+0.00064172i,0.00041936+0.00051337i,0.00067561-0.00016024i,0.00043004-0.00058889i,0.00025721-0.00031444i,0.00010029-0.0002935i,-5.0358e-05+0.00027517i,-0.00060585+0.00073932i,-0.00059048-0.0004969i,8.0909e-05-0.00073812i,0.00012453-0.00023748i,-5.7277e-05-0.00060693i,-0.00042372-0.00057377i
8.2275e-05-8.8328e-05i,-0.0012916-0.00051802i,-0.001448+0.00022171i,-0.0014375+0.0013448i,-0.0011651+0.0013597i,-0.00048146+0.0015874i,-0.00067075+0.00097987i,-0.00034378+0.00061758i,0.00033819+0.00043217i,-2.5737e-05+6.9858e-05i,-0.00013524+0.00069798i,0.00037546+0.00077603i,0.00011868-0.00041812i,-0.0001411-0.00069682i,0.00056973-0.00079318i,0.00055875-0.0011902i,0.00044083-0.00032906i,0.00058419+0.00023318i,0.00029583-0.00068493i,0.00015875-0.000966i,-0.00036574-0.00068164i,-0.0003143-0.00071142i,0.0007888-0.00053683i
-0.00011888-0.0035486i,-0.0024153-0.0022987i,-0.0040945-0.0014472i,-0.0041675-0.00073358i,-0.0037342-0.00010721i,-0.0030879+0.00062338i,-0.002126+0.00082926i,-0.0013874+0.0011122i,-0.0014513+0.0005715i,-0.0010939-0.0005116i,9.0973e-05+0.000452i,0.0007194+0.0010859i,0.00061438-0.00011418i,0.00057681-0.00043159i,0.0008481-0.00025716i,0.0012602-0.00044734i,0.0008163+0.00019394i,0.0006152+0.00013208i,0.00036072-7.2904e-05i,-0.00019129-0.00014356i,-5.2906e-05-6.0675e-05i,0.00010425+0.00017598i,-0.00020428+0.00062652i
0.001372-0.0015152i,-5.1662e-05-0.001463i,-0.0020923-0.0020711i,-0.0032384-0.0018868i,-0.0021863-0.00021936i,-0.0011964+0.0012821i,-0.00066704+0.0011832i,-0.00038174+0.0002451i,-0.00018647-0.00018612i,-0.0004759-0.000478i,-0.0010264-0.00094398i,-0.00052803-0.00072115i,-0.00010762-6.2164e-05i,-0.00023729+0.00047187i,-0.00013107+0.00056598i,-4.2557e-05+0.00027937i,0.00030569+0.00035706i,0.00056309+0.00011355i,0.00047799-0.00029134i,-0.00050389-1.4662e-05i,-0.001227+4.5743e-05i,-0.00077085+0.0003533i,-0.00030637+4.3775e-05i
0.0012371-0.00017474i,0.00031534-0.0003052i,-0.00040297-0.00064935i,-0.00040767-0.00099695i,-0.00060456-0.00089706i,-0.0010944-0.00043157i,-0.0014731+2.2437e-05i,-0.00080771+0.00045482i,-0.00036428+7.1179e-05i,-0.00036859-0.00015181i,-0.00043278-8.1743e-05i,-0.00069559+1.6168e-05i,-0.00057872+0.00032856i,0.00019427+0.00070329i,0.00063418+0.00095038i,0.00070943+0.00054183i,0.0007038+0.00039708i,0.00023193+0.00028122i,-0.00050032+0.00021592i,-0.0013351+0.00028117i,-0.001066-0.00045993i,0.00015229-0.00025362i,0.00026999+0.00036705i
0.0015444-0.0017527i,0.0012423-0.00070262i,0.00031282-0.00079395i,-0.00046532-0.00084932i,-0.0013016-0.0006088i,-0.00097131-0.00064772i,-0.00074683+0.00012163i,-0.00091968+0.0013861i,-0.00097144+0.0011454i,-0.00050569+0.00011985i,0.00043003+6.6879e-06i,0.00057711+0.00046597i,0.00051955+0.00053402i,0.00037659+0.00080322i,0.00030222+0.00078357i,-4.1335e-05+0.0006516i,0.00044727+0.00020486i,0.00075407-0.00079541i,-0.00049674-0.00074499i,-0.00095752-0.00070055i,-9.8809e-05-0.00025493i,0.00033085+0.00034391i,-0.00015687+0.00062057i
-0.00014128+0.00040493i,-0.00056262+0.00066225i,-0.00097885+0.00048421i,-0.0015733+0.0003757i,-0.00089216+0.00088724i,-0.00069383+0.00075414i,-0.0011929+0.00084001i,-0.0009808+0.00091239i,-0.0011026+0.00060105i,-0.00068858+0.00047742i,0.00026229+0.0004981i,-0.00021979+0.0007918i,-0.00095928+0.00079353i,-0.00061639-2.3194e-05i,0.00021079-0.0010029i,0.00040803-0.00086782i,-1.4556e-05-0.00030586i,-4.9594e-05-0.0001894i,-0.00030438-1.3964e-05i,-0.0003774+0.00029355i,3.0634e-05+0.00037603i,0.00063905+0.00062949i,0.0011843+0.00093925i
0.00042395-3.6741e-05i,3.4767e-05+0.00054302i,-2.0214e-05+0.0011407i,-0.00034561+0.0015411i,-0.00075269+0.0014968i,-0.0011484+0.00044305i,-0.00073876+0.00019728i,0.00025504+0.00066938i,0.00019683+0.00081509i,0.00044131+0.00016172i,0.00093606-0.00029381i,0.00026711+3.8128e-05i,-0.00044851+0.00025597i,-0.00037698+0.00039195i,0.00036601-6.9305e-05i,-3.7656e-05-0.00071672i,-0.00015269-0.00079296i,0.0010762-0.00032083i,0.00042615+1.0879e-05i,-0.00075664+0.00027022i,-0.00056214+0.00039325i,-0.00029391+0.00017901i,-0.00036172+0.00013099i
-0.00045792-0.00070862i,-0.0007006+0.00030853i,-0.0019968+1.4115e-05i,-0.0026828-0.00039251i,-0.0019257+0.00088795i,-0.0015275+0.0013737i,-0.00097562+0.00057397i,-0.00061768+0.0005441i,-0.0012414+0.000943i,-0.00084518-3.2743e-05i,0.00031916-8.4638e-05i,0.0005715+0.00011071i,0.0001164-0.00083624i,8.5294e-05-0.0018242i,0.00047209-0.0016027i,0.00055788-0.00088377i,0.00048012-0.00030838i,0.00070722+5.4759e-05i,0.00069266+0.00023156i,0.00037294+0.00037968i,0.00016865+0.00022233i,9.8411e-05-0.00029754i,-5.5931e-05-0.00026863i
0.00012361+0.0010314i,-0.00020511-6.2889e-05i,-0.00057429-0.00062059i,-0.00049302-4.2782e-05i,-0.0012493+0.0006849i,-0.0010743+0.0010523i,-0.00062546+0.0014119i,-0.00045256+0.0011659i,-0.00022149+0.00058976i,-0.00068927+0.00071601i,-0.00058226+0.00066586i,0.0003216-0.00021684i,0.00070032-0.00038746i,0.00053892-0.00023718i,0.0010938-7.5731e-05i,0.0017066+0.00063423i,0.00090089+0.00073133i,9.8895e-05+0.00015403i,-0.00013684+8.4338e-05i,-0.00048191+0.00029788i,-0.00031641+0.0002649i,9.0713e-05+0.00074078i,0.00019647+0.00053247i
0.00021994+0.0011834i,0.00039175+0.0010228i,-0.00021737+0.001595i,-0.00062761+0.0011033i,9.6231e-05+0.0002743i,4.8249e-05-2.7997e-05i,0.00046921+0.00037442i,0.0010437+0.00082499i,0.00080624+0.00085636i,0.00026301+0.00052591i,0.00016966+7.1849e-06i,0.0002257+0.00018072i,9.0287e-05+0.00063424i,6.3899e-05+0.0002415i,-0.00011691-6.8395e-05i,0.00049474+0.00025123i,0.001207+0.0003673i,0.0010808+0.00026855i,0.00073113+0.00027425i,0.00054588+0.00053447i,0.00065176+0.00050845i,0.00025503+0.00015611i,7.6205e-05+0.00051776i
0.00059412+0.00039995i,-0.00044863-9.1947e-05i,-0.0009178+0.00014231i,-0.0008651-8.0359e-05i,-0.00078194-0.00015966i,-0.00064902+0.00025295i,-0.00054738+0.0011614i,0.00041584+0.0019161i,0.00073877+0.0016509i,-0.00012398+0.00082457i,-5.2429e-05+0.00038721i,0.0004983+0.00022891i,0.00031885-0.00047882i,6.6893e-05-0.00069583i,-0.00024419-0.00018273i,-0.0003667-0.00012941i,-0.00044272-5.6436e-05i,-0.00047366-3.7072e-05i,0.00030539-0.0006984i,0.00040573-0.0012588i,-0.00017447-0.0010388i,-0.0006047-0.00019188i,-0.0011258+0.00042835i
-0.0015411+0.0016042i,-0.0011475+0.0017436i,-0.00077399+0.0024718i,-0.00061265+0.003187i,-2.9031e-05+0.003093i,-0.00043069+0.0029383i,-0.0012739+0.0032324i,-0.00047022+0.0038914i,0.0012205+0.0041068i,0.0024645+0.002632i,0.0029276+0.00052345i,0.0029657-0.00090995i,0.0025695-0.0010979i,0.0012877-0.00052126i,-0.00031255-0.00027725i,-0.00081445-0.00010518i,9.5027e-05+0.00073705i,0.00014141+0.0011445i,-0.00043762+0.00035677i,-0.00053269-9.8472e-05i,-0.00097108+0.00032111i,-0.0011943+0.0006194i,-0.0005527+0.00021196i
0.0010615-0.0018988i,0.00096869-0.0022883i,0.0004254-0.0022638i,-0.0011899-0.0012494i,-0.0012019-0.0010596i,-0.00035773-0.00086594i,-0.00050081-0.0015679i,-0.0021213-0.0028605i,-0.0036889-0.0031439i,-0.0036222-0.0014302i,-0.0029749+0.00065305i,-0.0023938+0.00097431i,-0.00155+0.00081015i,-0.00017142+0.00098567i,0.00034633+0.0011097i,0.00055558-0.00017149i,0.00024257-0.00085364i,2.879e-05-0.00010536i,-1.9097e-05+8.1343e-05i,-0.00069437+0.00036387i,-0.00092802+0.00031709i,-9.2058e-05-0.00010464i,0.00077466+0.00025393i
