0.0028552+0.00096379i,0.0027219-0.00034116i,0.0010727-0.0013309i,-0.0012101-0.0019488i,-0.0020762-0.00062333i,-0.0018624+0.0016238i,-0.00075749+0.0028958i,-0.00031952+0.0025426i,0.00032678+0.0010582i,0.0011438+0.00024129i,0.0015029-0.00016505i,0.00086701-0.00028493i,3.0491e-05+6.3419e-06i,-0.00054348-0.00011871i,-0.00054646-0.00056908i,-0.00023927-0.00034351i,5.3415e-05+5.19e-05i,0.00037157+0.00066407i,0.00012045+0.00036916i,-0.00034899-0.00052238i,7.4572e-05-0.00036644i,0.00025861-0.00010246i,0.00012573-0.00034956i
0.001404+0.00065174i,0.0014583-0.00011248i,0.0019644-0.00078376i,0.0020489-0.00072161i,0.0011298-0.00010444i,0.00042588+0.00035867i,0.00054151+0.00080515i,0.00062258+0.00048236i,-0.00011314-0.00023788i,0.00029432-0.00029532i,0.0010044-0.00011308i,0.00082838-0.0005791i,0.00062205+1.7234e-05i,0.00068854+0.00088479i,0.00058715+0.00062199i,0.00028418+0.00034394i,0.00038689+0.00037538i,0.00069615+0.00075877i,0.00098387+0.00087869i,0.00057266+0.00065636i,2.3674e-05+0.00016286i,-0.0003445-0.00029047i,-0.00036689-5.6586e-05i
0.0020403+9.1628e-06i,0.0011887+4.7444e-05i,-0.00026933+0.00095847i,-0.0010853+0.0011886i,-0.0012407+0.0011541i,6.3788e-05+0.001444i,0.00055455+0.00098647i,-0.00023313+0.00096598i,-0.00012663+0.00051522i,0.00023766-0.00089048i,-0.00027955-0.0013014i,-0.0012067-0.00087127i,-0.0011295+0.00014861i,-3.5414e-05+0.0008034i,0.00044687+0.0010504i,-9.0335e-05+0.00058391i,-0.00049915+0.00018881i,-0.00080295+0.00023496i,-0.0009303+0.00021333i,-0.00075517+0.0002222i,-1.6353e-06+0.00022995i,0.00018354-0.0001641i,-7.2033e-05-0.00052318i
-0.0010903-0.0013819i,-0.00012361-0.00077239i,1.5595e-05-0.00010016i,-0.00021858+0.00038186i,0.00021651+0.00034752i,0.00073644+0.00060359i,0.00037+0.00086886i,-2.8554e-05+0.00091821i,-0.00027453+0.00026753i,-0.00017427+9.6338e-05i,-0.00057432+0.00047978i,-0.00065278-0.00033161i,-0.00016802-0.00082971i,-0.00022423-0.00086538i,-9.5581e-05-0.00011884i,0.00023055+0.00067493i,0.00019685+0.00020069i,1.6443e-05+6.5302e-05i,9.1047e-05+0.00069387i,0.00041331+0.00058417i,0.00023407+0.00067344i,-6.96e-05+8.9914e-05i,0.00013404-0.00035677i
0.0016517-0.00011191i,0.0016027-0.00069191i,0.00030546-0.00028198i,-0.00061762+0.00088322i,-0.00061725+0.001241i,-0.00096147+0.0012719i,-0.0014153+0.0017188i,-0.00066171+0.0016809i,0.00029299+0.00079888i,0.00048744-8.347e-05i,-0.00040156-0.00054625i,-0.0012907-0.00054466i,-0.00092967+3.0707e-05i,-0.00013237+0.00052998i,0.00026513-4.2559e-05i,0.00015456-0.00057337i,0.0001827-0.0006337i,-0.00012102-0.00082485i,-0.00042944-0.00011827i,-0.00012976-0.00016177i,-0.00021428-0.00015515i,-0.00023832+0.00017259i,-0.00032487-0.00029326i
-0.0014058+0.0034545i,-0.0011829+0.0049139i,4.8079e-05+0.0043933i,0.00020447+0.0028805i,-0.00017932+0.001294i,-0.0011649+0.00057781i,-0.0016413+0.00068415i,-0.00039137+0.00064491i,-0.00036981+0.0012431i,-0.0010527+0.00065268i,-0.0012375-1.8698e-05i,-0.00066712-0.0002196i,0.00023478-0.00077284i,0.00062635-0.00080543i,0.00091499+8.0671e-05i,0.00012161+0.00090501i,-0.00057272+0.00091155i,0.00040517+0.00041423i,0.00058349+0.00019385i,-0.00021296-1.3386e-06i,-0.00019047-0.00022312i,-8.1604e-05-0.00047009i,2.7689e-05-0.0005361i
-0.00045849-0.00051152i,-0.0011859-0.0015957i,-0.00081825-0.00075496i,0.00040292+0.00061139i,0.0013015-7.8461e-05i,0.0013492-0.0014626i,0.0013552-0.0012099i,0.00019549-0.00033614i,-0.00096826+0.00021376i,-0.00026556+0.000135i,0.00053925+9.6531e-05i,0.00045221+4.2743e-05i,-0.00048724-5.7382e-06i,-0.00086306+0.00023342i,-0.00048616-0.00041728i,8.874e-05-0.0010224i,6.9885e-05-0.0005381i,-7.7693e-05-0.00016541i,-5.7559e-05-0.00020001i,-0.00024846-6.9314e-05i,-0.0006602+0.00045227i,-0.00094029+0.00014782i,-0.00024638+0.00018127i
0.0012243-0.0016691i,0.0012523-0.0010346i,0.00027497-0.00037374i,-5.4498e-05+0.00042477i,0.00038155+0.0013616i,0.00054546+0.0012846i,0.00061123+0.0009427i,0.00064822-3.1442e-05i,0.00013314-0.00034569i,-0.00053766+0.00013376i,-0.00032324+0.00016413i,0.00021819+0.00023581i,-9.9485e-05-0.00018696i,-0.00010681-0.00084927i,0.0006256-0.0007009i,0.000637-0.00029428i,0.00053428+0.00041955i,-0.00018062+0.00095725i,-0.0013441+0.00071658i,-0.0010163+1.5213e-05i,0.00010008-4.7262e-05i,0.00074419+0.00037257i,-1.6297e-05-1.3119e-05i
-0.00086798+9.2329e-05i,-4.0359e-05+0.00013662i,-0.00043977-6.652e-05i,0.00030975-0.00032404i,0.0012783+0.00021989i,0.001552-0.00028284i,0.0010437-0.0004126i,0.00026752-9.9655e-05i,-0.00036187+1.6017e-05i,-0.00037947+1.5259e-06i,-9.6688e-05+0.00040274i,-0.00054032+0.00062524i,-0.00083495+8.4256e-05i,0.00021521-0.00052771i,0.00089264-0.00013981i,0.00080219+0.00045321i,0.00026473-8.0401e-05i,-0.00026422-0.00023635i,0.00011721-0.00069398i,-1.9333e-05-0.0013744i,-0.00047611-0.00091759i,-0.00030327-6.6975e-05i,-9.0747e-05-0.00039839i
0.0030592-0.00033086i,0.0033771-0.0001896i,0.0021422-3.3285e-05i,0.0011099+0.00039554i,0.00063833+0.00086905i,4.5442e-05+0.0011179i,4.2063e-05+0.0012933i,0.00041905+0.00090511i,0.00074525+0.00036103i,0.00090101+0.00016896i,0.00083725+8.5072e-05i,0.0013341-0.00034398i,0.0012175-1.033e-05i,0.00061937+0.00064824i,0.00046378+0.00020423i,0.00054421+0.00025514i,0.00035044+0.00073862i,-0.00013918-0.00020187i,2.01e-07-0.0012265i,0.00095905-0.0013715i,0.00032126-0.0014954i,-0.0005158-0.00072974i,9.2336e-05-0.00020127i
0.00075259+0.0021723i,-0.00022154+0.0017891i,-0.00033161+0.00053826i,0.00054343-0.00065673i,0.00068839-0.0014427i,-0.00033764-0.0013584i,-0.001278+8.3975e-05i,-0.0007828+0.0010264i,0.0008243+0.00058227i,0.0010599+0.0001026i,0.00023279-0.00060057i,-4.7637e-05-0.00052703i,0.00021911+0.00065258i,-0.00032558+0.0010989i,-0.00051376+0.00033365i,0.00054824-0.00038316i,0.00094333-0.00042803i,0.0006861-7.0519e-05i,0.00054098-9.7207e-05i,0.00062853-0.00076504i,0.0002748-0.00102i,-0.00010548-0.00081674i,-3.1882e-05-0.00068403i
0.0012484+0.0010377i,0.0013518+0.0016887i,0.0025695+0.00073604i,0.0026785-0.00023132i,0.0014323-0.0005647i,0.00043945+6.8754e-05i,0.00010238+0.00039078i,-0.00016618-0.00027274i,3.9811e-05-0.00096376i,0.00014714-0.00049153i,-0.0003214+0.00062051i,-0.00079904+0.0011364i,-0.00048114+0.00053019i,8.3296e-05-0.00021987i,0.00016138+2.1269e-07i,-0.00040284+0.00036958i,-0.0006334+1.4453e-05i,-4.4341e-05-0.00062722i,0.000551+3.6187e-05i,0.00060774+0.0010599i,0.00061254+0.00055706i,-0.00020644-0.00050854i,-0.00081353-0.00088277i
-0.00012591+0.0004246i,1.7446e-05+0.00060874i,-0.00063035+0.00016903i,-0.00043967+0.00099612i,0.00060803+0.0021691i,0.0014735+0.002149i,0.002181+0.0016998i,0.001375+0.0011419i,-9.8882e-05+0.00028575i,-0.00045382-0.00016329i,-0.00035527-8.3703e-05i,8.0702e-05-0.00018845i,0.00066939-0.00022387i,0.00083516-0.0002585i,0.00065262+0.00071286i,-2.5498e-05+0.00084553i,-0.00092228-0.00031738i,-0.00065749+5.8965e-05i,0.00024289+0.00043566i,0.00027413+2.5172e-05i,-0.00010589-0.00023691i,-0.00015462+8.5916e-05i,0.00020138+0.0003046i
-6.9648e-05-0.00042046i,0.00074495-0.00087738i,0.0023798-0.00018997i,0.0024853+0.00051209i,0.0013239+0.00030427i,0.00064365-0.00021118i,0.00037769+0.00020391i,0.00041947+0.00023218i,0.00051361+1.2898e-05i,-5.0609e-05+0.00030257i,-0.00012562+6.3429e-05i,-0.00035483-0.00068321i,-0.00097416-0.0010134i,-0.0011914-0.00064825i,-0.0013777-0.0010647i,-0.00075225-0.0010635i,-2.9145e-05-0.00018121i,8.6795e-05+3.0628e-05i,-0.00097861+3.0452e-05i,-0.0012036+5.6566e-05i,-0.00034321+5.1161e-05i,-0.00014626-0.00012069i,-0.00010041-9.6706e-05i
-0.00028765+0.00024685i,0.00056657+0.0013607i,0.00031863+0.0026996i,-0.00078986+0.0022185i,-0.00028913+0.00098812i,0.0006175+0.001021i,-0.00019512+0.00069542i,-0.00061264-0.00012328i,-7.0522e-05-0.00061416i,-0.00033014-0.00022099i,-0.00054595+0.00032451i,0.00028286+2.4489e-05i,0.00020173-0.00012646i,-0.00053523-7.3704e-05i,-0.00049409+0.00017845i,-0.00080029-6.3786e-05i,-0.00097768-0.0002947i,-0.00027451-0.00057209i,-0.00013918-0.00046741i,0.00053871-0.00045699i,0.0012996-0.00026776i,0.00037073-6.742e-05i,-0.00055137-0.00021302i
-0.0019617+0.00083805i,-0.0025169+0.00029827i,-0.0013921-0.00085198i,-0.00089074-0.00077324i,-0.00025985-0.00045021i,-0.00014349-0.00058121i,-0.00072549-4.9427e-05i,-0.00014651+0.00066549i,0.00078457+0.00054086i,0.00091919-0.00034162i,0.0014-0.00045341i,0.0014085+0.00040893i,0.00042584+0.0014159i,0.00018466+0.0014148i,0.00010404+0.00048692i,-3.3739e-05-0.00070255i,-0.00036515-0.0011543i,-0.00096675-0.00012244i,-0.0010142+0.0004623i,-0.00039801+0.00089972i,0.00024165+0.0010947i,0.00012996+0.00046756i,3.2692e-05-1.1512e-05i
-0.00029944-0.00030482i,0.00075506-0.0011229i,0.0015377-0.00074681i,0.00082125-0.000258i,0.00047843-0.00060099i,0.0010723-0.00046611i,0.0016263-0.00020078i,0.0011965-0.00011553i,0.00054036-0.00025186i,-0.00030256+0.00030279i,-0.00086276+0.00094802i,-0.00077359+0.00031213i,-0.00079448-5.5413e-05i,-0.00060036+0.00023057i,3.6286e-06-0.00010698i,0.00032283-0.00090856i,0.00045338-0.00087393i,0.00051946-0.00012525i,0.00032457-3.1356e-06i,0.00019817+0.00022361i,0.00019811+0.00084433i,0.00022718+0.00078634i,0.0002845+0.00039227i
0.0010677+1.9803e-06i,0.0010851-0.00028389i,2.429e-05-0.00053713i,0.00014415+2.1503e-05i,0.00039041-0.00027009i,0.00015704-0.00037344i,0.00051229+0.00015202i,0.00069375+0.00011448i,0.00015785-0.00041992i,-0.00078851-0.00057424i,-0.0010479-0.00010317i,-0.0012246-0.00017463i,-0.00078946+0.00035997i,0.00015034+0.0007923i,0.00098077+0.0001175i,0.00079303-0.00011262i,0.00030915-0.00016607i,0.0007115-7.167e-05i,0.00061416-3.8848e-05i,0.00022628-0.00059209i,0.00052676-0.00072331i,0.00082576-0.00047844i,0.00029645-0.00040416i
-0.0014721-0.0011225i,-0.0013647-0.00051783i,-0.0017747+0.0008723i,-0.0013882+0.0023843i,-0.00018783+0.0029257i,0.00072223+0.0027515i,0.00074896+0.0018476i,0.0011665+0.0012201i,0.00023073+5.096e-05i,-0.0012425-0.00059511i,-0.00071995+1.4948e-05i,0.00084992+0.00041247i,0.0015471+0.00054727i,0.0013978+0.00014633i,0.0015748-0.00016511i,0.00097292-0.00020028i,-0.00039575-0.00019335i,-0.00087275-0.00019856i,0.00024151-0.00044828i,0.001204-0.00062838i,0.00018736-0.0010927i,-0.00011116-0.0005033i,0.00039592+0.00029798i
0.00060032+0.00047518i,0.0012335+0.00024336i,0.0018815+3.6291e-05i,0.0007239+0.00045688i,-0.00075353+0.001103i,-0.00081329+0.0014494i,0.00014912+0.001086i,0.00062957+0.0010027i,0.00045681+0.00066578i,-0.0003841-0.00029146i,-0.00058448-3.7405e-05i,-0.00091931+0.0007057i,-0.0013048+0.00057051i,-0.0014092+8.8155e-05i,-0.00086523+0.00018221i,-3.7368e-06+0.00076889i,0.0005263+0.0010214i,0.00055919+0.00081342i,0.00054543+0.0003389i,0.00093133-8.0649e-06i,0.00078423+0.00019701i,-0.00069173+0.00039867i,-0.0011744+0.00082631i
-0.00049303-0.00098235i,0.00044528-0.0018507i,-0.00018008-0.0022139i,-0.00057594-0.0010475i,0.00044732-0.00035504i,0.00048893-0.00028848i,2.3893e-05-0.00018479i,0.00080293-7.8712e-05i,0.00096469-0.00045561i,-0.00025433-0.0010051i,-0.00049801-0.00074027i,0.00015947-6.4226e-05i,-0.00015629+0.00048349i,-0.00010406+0.00053166i,0.00094601+0.00036273i,0.0012686+0.00017216i,0.00069732+0.00043894i,-0.00019891+0.00058582i,-8.3327e-05+0.00052378i,0.0007371+0.00028266i,0.00090174-0.00024655i,0.00085662-4.176e-05i,0.00098008+0.00050886i
0.0015264+0.0010803i,0.0019593+0.00091266i,0.0013345-0.00042981i,-0.00021169-0.0011881i,-0.0002409-0.00078958i,0.00060909-0.00016793i,0.0004518-0.00030152i,-0.00012305-0.00065468i,-6.1675e-05-0.00051965i,-0.00034046-0.00049632i,-0.00097634-0.00077357i,-0.001238-0.00043202i,-0.00094012+9.1089e-05i,-0.0011918-5.7106e-05i,-0.00089676+0.00015258i,0.00030422+0.00055443i,0.00027987+0.0004172i,0.00079129-0.0002152i,0.0012984-0.00072139i,0.00055744-0.00069982i,-1.7185e-05-0.00027652i,-0.00027754-0.00018386i,-0.00047425-0.00083804i
-0.00055379+0.0012167i,-0.00030995+0.0018728i,8.5e-05+0.0017578i,0.00042309+0.0016265i,-0.00010408+0.0020855i,-0.00067757+0.0017026i,-0.0011166+0.0015668i,-0.0011554+0.0010509i,-0.00059737+0.00032393i,-9.2329e-05-0.00016082i,-0.00025845-0.0010241i,-0.00070847-0.0014785i,-0.0007768-0.00089568i,0.00061968-0.00017145i,0.00023862+0.00021509i,-0.00081111+0.00078133i,-3.9014e-05+0.00079812i,0.00021008-0.00047051i,-0.00016478-0.0013284i,0.0002157-0.0011851i,0.00064569-0.00068578i,-0.00010984-0.00020397i,-0.00096785-2.2458e-06i
0.0012925-2.741e-05i,0.0010852-0.00027286i,0.0010863-0.00052522i,0.00051256+7.235e-05i,0.00035923+0.00083992i,0.00064559+0.0013888i,0.00041291+0.0015747i,-0.00021852+0.00071366i,-0.00018012-0.00050689i,0.00080406-0.00043885i,0.00091212+0.00032294i,0.00033266+0.0003482i,1.7721e-05-0.000164i,-0.00068203-9.5025e-05i,-0.0013311-0.00065109i,-0.0011123-0.00057061i,-0.00066448+0.00021349i,-0.00017169-8.6349e-05i,3.1131e-05-0.00088207i,-2.2571e-05-0.0010627i,-0.00030587-0.00050085i,-0.00038349-0.00070877i,-0.00015198-0.0007982i
0.0019486+0.0031889i,0.0019301+0.0046897i,0.0023825+0.0034785i,0.0013366+0.0014008i,-0.00031921+0.00066409i,-0.00099395+0.00072798i,-0.0015516+0.00043024i,-0.0011262+0.00064415i,0.00022033+0.00057995i,0.0003543-0.00038131i,0.00015606-0.00071095i,0.00024424+0.00038248i,-0.0001721+0.00062956i,-0.00043596+2.6849e-05i,-0.00035792+0.00046693i,-0.00065988+0.00078512i,-0.0006433+0.00073816i,-8.1131e-05+0.00026954i,-7.4718e-06-1.5374e-05i,-8.6382e-05-0.00012769i,0.0010563-0.00070808i,0.0013989-5.7408e-05i,0.00037695+0.00060768i
-0.00132-0.001644i,-0.0022391-0.001691i,-0.0028296-0.00061153i,-0.0018045+0.00035369i,-0.0011631+0.00016921i,-0.00027841+0.0008119i,0.00011353+0.00065729i,-5.0373e-05-0.00019462i,-0.00030126-0.00042931i,-0.00078037-0.00057189i,-0.0013324-0.00055507i,-0.0017868-0.00055972i,-0.001416+0.00014404i,-0.00094421+0.0003251i,-0.0010663-0.00010458i,-0.0011169-0.00015084i,-0.00070598-4.1701e-05i,0.00028746+0.00021789i,0.00086595-0.00015345i,0.00054697-0.00061154i,0.00014702-0.00045544i,-0.00024289+4.5571e-05i,-0.00044272-0.00037397i
0.0019537+0.0014626i,0.0040339+9.6006e-05i,0.0044949-0.00078905i,0.0035544-0.0003801i,0.0025471-0.00084173i,0.0014105-0.00085935i,-0.00053034-2.8552e-05i,-0.0010728-0.00041538i,-0.00053374-0.00024283i,9.6457e-05+0.0004269i,0.0004834-0.0004126i,0.00028516-0.0016789i,3.7101e-05-0.0019182i,-0.00051652-0.001351i,-0.00022691-0.00098482i,-3.0758e-05-0.00050371i,-0.00040083+0.00014368i,0.00058304+0.00049i,0.0010025+1.869e-05i,-5.033e-05+0.00019576i,-0.00089678+0.0013623i,-0.00082291+0.0011532i,-2.5071e-06-0.00016002i
-0.00016616+0.0028197i,0.00078789+0.0035874i,-2.3805e-05+0.0038956i,-0.0010053+0.0025113i,-0.00056497+0.0012017i,-0.00038348+0.00092609i,0.00025762+0.0014107i,0.00058626+0.0013364i,0.00041222+0.00020146i,0.00046837-0.0011868i,0.00065171-0.0010514i,0.00066561-0.00057464i,0.00027522-0.00066132i,-0.00011724-8.3441e-05i,0.00023745+5.1205e-06i,0.0010567-0.00053114i,0.0010899-0.00040431i,0.00017969+0.00015212i,-0.00044249-0.00014078i,0.00013739-0.001077i,0.00045317-0.00089455i,-9.4756e-06+5.2863e-05i,6.5006e-05+0.0001421i
-0.0018275+0.00039548i,-0.0025578-9.6761e-05i,-0.0025223-0.00046072i,-0.0015301+0.00042048i,0.00021439+0.0011437i,0.0015207+0.00052773i,0.0011239+0.0005512i,0.00073709+0.00042501i,0.00074504+3.2906e-08i,0.00074117+0.00045853i,0.0013171+0.00078871i,0.0013936+0.00062195i,0.0002485+0.00051484i,-6.6099e-05+0.00031038i,7.0042e-05-0.00067025i,0.00085828-0.00079214i,0.0012477+0.00026962i,0.00022031+0.00050417i,-0.0008252-0.00039288i,-0.0006576-0.00097808i,-0.00033781-0.00052181i,-4.396e-05+0.00029474i,0.00059971+0.00028837i
0.0016048-0.001781i,0.00079028-0.0021683i,0.0012585-0.0014945i,0.00074449-0.00047084i,-0.0013592+0.00051129i,-0.001738+0.00073335i,-0.00049457+0.001239i,0.00069122+0.0013646i,0.00060261+0.00054811i,-0.00030741+0.00068518i,-0.0015816+0.0011667i,-0.0018048+0.00033792i,-0.0012571-0.0004793i,-0.00096883-0.00046071i,-0.0005377-0.00078449i,-0.00036274-0.00060388i,-0.00041885-0.00073965i,-0.00082096-0.00076602i,-3.1403e-05-1.3735e-05i,0.00052463-0.00015524i,0.00032622-0.00014472i,0.0003559-0.00011304i,0.00033953-0.00055687i
0.0014738+0.0021446i,0.0020728+0.0019428i,0.0014737+0.00089794i,0.0010917-0.00025249i,0.00076794-0.00073999i,0.0001353-0.00021372i,8.2821e-05+0.0011257i,-0.00083842+0.0012313i,-0.001255+0.00055769i,-0.00035693-0.00047819i,-4.7115e-05-0.0012299i,-3.448e-05-0.0013124i,4.6484e-05-0.00081043i,-0.00070643-0.0001492i,-0.0010142+9.8033e-05i,-0.00055205+0.00022048i,-0.00015013+0.00018834i,-3.4938e-05+0.00039385i,-0.00024684+0.0006307i,0.00012018+0.0004459i,0.00040595-8.8239e-06i,0.00026447-0.00096736i,0.00059639-0.00081558i
0.00019637+4.2807e-05i,0.00076147+0.00035287i,0.0020849+8.2536e-05i,0.0018883+0.00029933i,0.00015721+0.00048407i,-0.00026483+0.00038419i,-0.00029491-2.4023e-05i,-0.00033566-0.00037634i,-0.0004231-0.0005662i,-0.00041848-0.00098473i,0.00057805-0.0014206i,0.0017755-0.0016952i,0.0016032-0.0012953i,0.00049886-7.5727e-05i,-2.4398e-05+0.00018075i,-0.00024612-0.00048598i,3.5147e-05-0.00088078i,0.00044789-0.00081508i,0.00049722-0.00044347i,0.00050824-0.00017561i,0.0002953+4.3132e-05i,-0.00055648+0.00038381i,-0.0011146+0.00017673i
-0.0016971+0.0011105i,-0.0025821+0.0015066i,-0.0027713+0.0013207i,-0.0012443+0.00043704i,0.00053692+0.00043156i,-9.1007e-05+0.00054666i,-0.00056481+0.00057814i,0.00010787+0.00025592i,0.0011222-0.00011014i,0.0020704-0.00040748i,0.0016811-6.4183e-05i,0.0008648+0.0003629i,0.00044848+7.5057e-05i,0.00034319+3.0912e-05i,0.00041619-0.00060539i,-1.412e-05-0.00038528i,-0.00051928+0.00048103i,0.00025398-0.00027113i,0.0011126-0.0010162i,0.00066216-0.001105i,-0.00035711-0.00053885i,-0.00021836-0.00030791i,-7.8284e-05-0.00051303i
-0.00022382+0.00036241i,-0.0001431-0.00098336i,-0.0020945-0.00074769i,-0.0019966+0.0001523i,-0.00015796+0.0011199i,0.00029436+0.00050814i,-0.00043284-3.8422e-05i,-0.00019568+0.00015109i,-0.00011073+0.00016449i,-0.00079177+0.0013485i,-0.00060201+0.0018165i,-0.00011456+0.0011784i,-0.00035291+0.00044208i,-0.00023449-0.00026451i,0.00018853+0.00022922i,0.00053033+0.00018717i,0.00015917+2.6063e-05i,-8.7267e-05+0.00087919i,0.00017299+0.00099216i,0.00043156+0.00052521i,0.0002237+0.00022877i,-4.7351e-06-0.00019052i,0.0002349-0.00060715i
-0.00031473+0.0013975i,0.0016988+0.001868i,0.0029045+0.0019128i,0.0024248+0.0014736i,0.0017218+0.0005336i,0.0010088-0.00045368i,0.00064181-0.00064317i,0.00060743+4.5934e-05i,0.00026629+0.00018305i,-0.00056201-0.00028038i,-0.002019-0.0007723i,-0.0026351-0.001929i,-0.001779-0.0017641i,-0.00023672-0.00068813i,0.00072205-0.0002336i,0.00052129+5.8271e-05i,8.1133e-05+0.00050902i,0.00013952+0.00088837i,-6.1634e-06+0.0010991i,-0.00040118+0.00018291i,-0.00037105-0.00023178i,-3.3974e-05+0.00034162i,0.0011384+6.4624e-05i
0.0024063+0.001282i,0.0019661+0.0017472i,0.002047+0.0011379i,0.00049455-0.0001405i,-0.00016709+0.00011689i,-0.00016947+0.0010815i,0.00041442+0.0011304i,0.0010131+0.00071927i,0.00039259-0.00035437i,-0.00093703-0.0013566i,-0.0010022-0.0020396i,-0.00029559-0.0013315i,0.00021459+0.00012004i,0.00058472+0.001076i,-1.7618e-06+0.00084518i,-0.00074187+0.00014265i,-0.00083841-0.00017406i,-0.00044675-0.00036579i,-0.00039089-0.00044282i,-9.6091e-05-0.00092968i,0.00062249-0.0012424i,0.0005685-0.0010546i,-0.000842-0.0012585i
0.0026545-0.00050198i,0.0004104-0.00074114i,-0.0014098-0.00038241i,-0.0011378-0.00039817i,-0.00073108-0.00069362i,-0.0012649-0.00055029i,-0.00051668+0.00011498i,0.00087777+0.00052794i,0.00086564+2.909e-07i,0.00098885-0.00046086i,0.0017194-0.00021543i,0.002007+0.00034258i,0.0015267+0.0011532i,0.00061351+0.0015182i,0.0005475+0.0018333i,0.00094481+0.001783i,0.00054064+0.0011699i,0.00050308+0.00048269i,0.00060212+0.00010709i,-0.00021761+9.2125e-05i,-0.00085038+0.00010398i,-0.00039307-0.00018752i,-0.00020017-0.00010033i
-0.00050765+0.0018277i,-0.00067545+0.0013019i,-0.0012589-0.00069529i,-0.00085739-0.0014029i,-0.00084151-0.00029203i,-0.00062246+0.0015592i,-0.00049529+0.0020781i,-0.00011673+0.0015205i,0.00058721+0.00077894i,0.00042184+0.00030739i,0.00019093+0.00034268i,0.00053714+0.00085634i,0.00018377+0.00063532i,-0.00078944+9.0644e-05i,-0.00086662+0.0002351i,-0.00024038-0.00031713i,0.00014405-0.00050974i,-0.00027062-0.00025239i,-0.00042804-0.00069448i,0.00027995-0.0013059i,0.0006095-0.0011237i,3.5534e-05-0.00046709i,-0.00022729-0.00069596i
-0.00011758-0.0021854i,0.00072898-0.0017934i,0.00093217-0.0014095i,0.00041052-0.00071352i,0.001021+0.00055071i,0.0017268+0.00059064i,0.00049434+0.00063187i,-9.5506e-05+0.0010781i,0.00069731+0.00029598i,0.00031511+1.2289e-05i,-0.00095824+0.00028639i,-0.0023948-0.00031868i,-0.0021833-0.00014858i,-0.00066193-0.00028332i,0.00053781-0.00016754i,0.00068887+0.00091398i,0.00010906+0.0014238i,-3.4077e-05+0.0013452i,-0.00029844+0.00058916i,-0.00040084-0.00048379i,0.00023475+4.5774e-05i,0.00033398+0.0010014i,-0.00037768+0.00053083i
0.00062404+0.00016977i,0.0022911+0.00064202i,0.0026042+0.00049787i,0.001621+0.00050568i,0.00017786+0.0015509i,-0.00039683+0.0013825i,-0.00027951+0.00073315i,-1.7157e-05-6.3344e-06i,-0.00031215-0.00065831i,-0.0011013-0.0014383i,-0.0011622-0.002472i,-0.00033305-0.0030191i,-0.00014754-0.0026011i,-0.00031303-0.0014065i,-0.00046869-0.00055681i,-3.0139e-05-0.00029538i,0.00044616-0.00060515i,0.00030346-0.00012109i,0.0003349-4.5366e-05i,9.5195e-05-0.00054366i,0.00039872-0.00010108i,0.00020217+8.0986e-05i,-0.00061862-5.9484e-05i
-0.00047995+0.0012838i,-0.0012678+0.0019915i,-0.00084632+0.0015705i,-0.00030684+0.0011374i,-0.00059846+0.0010781i,-0.0007691+0.0014565i,0.00010957+0.0013059i,0.0010388+0.0011514i,0.0010305+0.0002342i,0.0011561-0.00083559i,0.0019376-0.0010532i,0.0022971-0.000396i,0.0014836-0.000189i,0.0010729-0.00054788i,0.00095735+2.8504e-05i,-0.0002246+0.00028317i,-0.00078588-0.00019532i,-0.0006612-0.00026926i,-0.0004369-8.0809e-05i,0.00033525-0.00028491i,0.00070485-0.00051414i,0.0001496-0.00075411i,-0.00015101-0.00049324i
-0.0018312+0.00055789i,-0.0024449-5.963e-05i,-0.0013724-0.0001987i,-0.00097125+0.00046349i,-0.00046941+0.00064696i,9.4388e-05+0.00066009i,0.0004047+0.00049254i,0.0011513+0.00073013i,0.0011118+0.00076288i,0.00071196+0.00072784i,0.0013939+0.00067697i,0.001572+0.0010638i,0.00045799+0.0016825i,-0.00015143+0.0012672i,4.4019e-05+0.00054491i,0.00026282-0.00032189i,0.00035449-0.00084095i,0.00024629-0.00028521i,0.00028974+0.00046126i,0.00023675+0.00016572i,0.00033872-0.00013488i,8.3444e-05-0.00033441i,-0.00037159-0.00080537i
-0.00080197-0.0021167i,-0.0010499-0.0025739i,-0.0015707-0.0022143i,-0.0014812-0.00059485i,-0.00039588+0.00076968i,0.00011572+0.0013756i,0.00017691+0.0011048i,0.00050288+0.00087633i,-0.00013782+0.00058359i,-0.0017429+0.00033151i,-0.002437+0.00093054i,-0.0024779+0.0011398i,-0.001629-0.00035976i,-0.00070977-0.0012563i,0.00017885-0.00076106i,0.00080797-2.8304e-06i,0.00089531+0.00020303i,0.00036984+0.00014276i,0.00015697+0.00020528i,-0.000272+0.00013536i,-0.0010663+0.00024577i,-0.0012266-0.00020762i,-0.0006646-0.00076201i
