-0.0033492-0.0031019i,-0.003661-0.0028496i,-0.0034954+0.00032721i,-0.0028495+0.0031144i,-0.002081+0.0038156i,-0.00095213+0.0031966i,-0.0001389+0.0020612i,8.5846e-05+0.0020419i,0.00054642+0.002389i,0.0011845+0.0015316i,0.0011943+0.00034973i,0.00029266-0.0004387i,0.00045166-0.0013i,0.00082584-0.0012696i,0.00052738+0.00035392i,0.00077297+0.0011102i,0.00071657+0.00027664i,-0.00049661-0.0011007i,-0.0010912-0.0019414i,-0.0004817-0.001283i,-0.00011276-0.0002725i,-1.6595e-05-0.00042766i,-1.5784e-05-0.00092716i
0.0015861-0.0016978i,0.00037462-0.00029045i,-0.001389-0.0007972i,-0.0014243-0.00091154i,-0.001623-8.345e-05i,-0.00096871+0.00053584i,0.00036015+0.00088733i,0.00085454+0.0012764i,0.00098395+0.00088085i,0.0010045+0.00011381i,0.00030442+0.00063369i,-0.0002603+0.0012608i,0.00015724+0.00046575i,0.00067731-0.00013375i,-5.9019e-05-0.00038141i,-5.9057e-05-0.000536i,0.00017995-0.00041282i,-1.543e-05-0.00041569i,-0.00012065-0.00048713i,-0.00043265-0.00058874i,8.9828e-06-9.2172e-05i,0.00013967+0.00030787i,-0.00059512+0.00030379i
0.0010336+0.0010029i,0.00073664+0.00060811i,0.00060739-0.0006136i,-0.00019813-0.001652i,-0.0011555-0.0015417i,-0.0022127-0.00071725i,-0.0022597+0.00052132i,-0.00099681+0.0012017i,0.00035913+0.00080637i,0.00053935-0.00016476i,0.000196-0.00016303i,0.00071918+0.00052115i,0.00042218+0.00062846i,-7.5451e-05+0.00065726i,-3.0827e-05+0.00092578i,0.00012919+0.00085757i,-0.00048583+0.00077078i,-0.00073558+0.0003599i,-0.00026874+0.00038025i,-9.0186e-05+0.00029935i,-8.0732e-05-0.00022099i,0.00042817-0.00048475i,0.00086749-0.00040064i
-0.0011256-0.00033012i,-0.00042858-0.00031882i,-0.00055514+0.00058898i,-0.0011749+0.0011888i,-0.0021315+0.0010361i,-0.0021336+0.00076505i,-0.0012849+0.00058315i,-0.00076763+0.00085894i,-0.00016489+0.00098414i,0.00062116-0.0004861i,0.00084981-0.0014273i,0.0005546-0.00023751i,0.00048304+0.00048732i,0.00062437-8.1244e-06i,-8.8213e-05-0.00010525i,-0.00011573-0.00011191i,0.00058904-3.4674e-05i,0.00088064+0.00079413i,-6.0752e-05+0.0010306i,-0.0009337+0.000762i,-0.0010328+0.00080069i,-0.0011002+0.00040023i,-0.00042479+7.7953e-05i
0.00026958-0.0011121i,0.00019136-0.0004953i,0.00098293-0.00096743i,-0.00036844-0.0015459i,-0.0011376-0.0013432i,-0.00086352-0.00053729i,-6.4115e-05+0.00069821i,0.00013994+0.0013583i,0.00090911+0.0012045i,0.0014618+0.00045629i,0.00026795+0.00021749i,-0.00068221+0.00062829i,-0.00062199+0.00036672i,-0.00037716-3.618e-05i,7.1018e-05-0.00035908i,-9.8803e-05-0.00046696i,-0.0003766-0.00026108i,-0.00044034+0.00018654i,-0.00091153+0.00025188i,-0.0010711+0.00063623i,-0.0013617+0.00090782i,-0.0010456+0.00022593i,-0.00050149-0.00011333i
0.00067136+0.0014776i,-7.4132e-05+0.0022178i,-0.00075926+0.0021829i,-0.0011865+0.002015i,-0.00082867+0.0019795i,-0.0010493+0.0017855i,-0.00059882+0.001878i,-0.00015585+0.0016587i,-0.00061234+0.000319i,0.00023815-1.6693e-05i,0.00051805+0.00077931i,0.00051017+0.0013566i,0.0010021+0.0012511i,0.00035531+0.00022819i,-0.00046874-0.0004435i,-0.00073666-0.00054679i,-0.00012375-0.00049174i,4.822e-05-0.00032347i,-0.00054846-0.00057501i,-0.00053053-0.00071641i,-4.1947e-05-0.00015252i,0.00050245-0.00028728i,0.0010046-0.00034043i
-0.0015746+0.0021958i,-0.00046588+0.0023569i,-5.1151e-05+0.0014343i,-0.00012786+0.0008625i,0.00012842-5.7013e-05i,0.00041963-0.00040582i,0.00014943+0.00041297i,-0.00041186+0.0013379i,-0.00014075+0.0013524i,0.00049158+0.00098296i,0.0011288+0.00086344i,0.0010395+0.00073291i,0.0002036+0.00071029i,-2.5607e-05-0.00023496i,0.0002941-0.0002075i,0.00085542+0.00055251i,0.00012757+0.00024987i,-0.00093987-0.00027914i,-0.00043087-0.00038055i,0.0003456+7.9426e-05i,0.00097944-0.00036872i,0.00060895-0.0007268i,8.1235e-05-0.00020058i
-0.0023537-0.00027328i,-0.0022228+0.00011027i,-0.001411+0.00045308i,-0.0011419-0.00030432i,-0.00081424-0.00011499i,-0.00042069+0.00079317i,0.00010367+0.0010841i,0.0005297+0.0011498i,0.00060095+0.00081395i,0.00073478+0.00086297i,0.00018547+0.00097236i,-0.0007703+0.00025368i,-0.00032266-0.00061754i,0.00013002-0.0013953i,0.00013169-0.00068911i,0.00019202+0.00016121i,0.00031007-0.00018861i,0.00023579-0.00045113i,-0.0002896-0.00040997i,-0.00067222-0.00031632i,-0.00023148+0.00018802i,0.00057154-0.00013997i,0.00079865-0.001171i
-0.0020462-0.0006352i,-0.0018743-0.00032517i,-0.0022547+0.0012793i,-0.0015252+0.0015694i,-0.00049495+0.0012408i,-0.0006704+0.0016094i,-0.00072969+0.0011438i,-0.00060769+0.001243i,-0.00026675+0.0014062i,0.000301+0.0011781i,0.00022497+0.00062487i,-0.00030446-0.00044758i,-0.00056156-0.00035306i,-0.0007483+0.00077129i,-0.00058615+0.00085771i,-0.00050852+0.00034008i,-0.00058654+0.0003331i,-0.00044544+0.00058956i,-0.00058775+0.00071696i,-8.6887e-05+0.00078893i,0.00032388+0.00069185i,0.00023841-4.0113e-05i,0.00038948+0.00019555i
-0.0003363+0.0043546i,0.00020977+0.0034521i,0.00062105+0.0021247i,0.00058172+0.0010815i,0.00079002-0.00014796i,0.00031648-0.00030293i,-0.0010421-7.5318e-05i,-0.0012611-0.00084714i,-0.00013768+0.00022745i,0.00045022+0.0012997i,0.00031479+7.6376e-05i,1.4151e-05-0.00019999i,-0.00049194+0.00012187i,-0.00060726-0.00054834i,-3.7186e-05-0.00068132i,0.00025352-0.00032795i,0.0002896+0.00037448i,0.00032181+0.0006266i,0.00017076+0.00034214i,-0.00023269+0.00036632i,-0.0005675+9.1839e-05i,-0.00012854+1.9902e-05i,8.2372e-05+0.0002091i
0.0003866+0.0021473i,-0.00047079+0.002894i,0.00038414+0.0017391i,0.00026306-0.00065884i,-0.0011299-0.0021473i,-0.0015791-0.0012245i,-0.0011004+0.00075096i,-0.00023029+0.0016662i,0.00059921+0.0010051i,0.00086937+4.0859e-05i,0.0010609+0.00024492i,0.00073075+0.00049192i,-0.00014159+0.00055196i,-0.00038174+0.00038366i,-0.00089-0.00033035i,-0.00040626-0.00078813i,-0.00012019-0.0007337i,-0.0010095+3.2742e-05i,-0.00065723+0.00031643i,7.4573e-05+9.7295e-05i,0.00019616-0.00039829i,0.00023542-0.00042948i,3.8384e-05+0.00032624i
1.579e-05+0.0013194i,-0.00069065+0.0023355i,-0.0014813+0.0014803i,-0.0020106+0.0016004i,-0.0017477+0.0014095i,-0.0013054+0.0014142i,-0.0007767+0.0018055i,-6.1924e-05+0.0014671i,0.00021286+0.00086482i,0.00018049-0.00019884i,0.00061977+2.4509e-05i,0.0012326+0.00056452i,0.0008185+0.0006189i,5.2747e-05+0.00026324i,0.00054292+0.00017319i,0.00092416+0.00043855i,0.00033174+0.00049251i,-0.0011252-0.00011399i,-0.0014762-0.00085066i,-0.0010654-0.0009102i,-0.00065392-0.001021i,-0.00015759-0.00069952i,5.6539e-05-0.00021107i
-0.00053229-0.00073747i,-0.00075844-0.00041663i,-0.0017514+0.0012424i,-0.0017092+0.00024461i,-0.0013215-0.0010584i,-0.0014059+0.00032832i,-0.001122+0.0017377i,-0.0011361+0.0013271i,-0.0003815+0.00057479i,-5.8666e-06+0.00024645i,0.00013665-0.00077421i,0.00014132-0.00084527i,-0.00027854-0.0010306i,-6.6034e-05-0.00093738i,0.00020404-8.0253e-05i,0.00085878-0.00022735i,0.0017103-0.00084202i,0.001261-0.00066635i,0.00067962-2.85e-05i,3.7505e-05+0.00084146i,-0.0005528+0.00043946i,-5.5186e-05-0.00049493i,0.0005039-0.00052423i
0.0016788+0.0016426i,0.00035503+0.0018382i,1.665e-05+0.0015843i,-0.00036595+0.00041243i,-0.00091623-0.00023729i,-0.0012669+5.131e-05i,-0.00087467+0.00082208i,0.00032602+0.001374i,0.00086438+0.00125i,0.00050911+0.00089204i,-0.00055887+0.00085258i,-0.0014301+0.0012686i,-0.00088572+0.0010225i,0.00025787+0.00019054i,0.00024027-0.00071205i,0.00069976-0.00071683i,0.00072975-0.0004987i,-0.00022385+0.00023008i,-0.00012862+0.00083528i,-0.00038647-8.7644e-05i,-0.00067115-0.00049761i,8.4123e-05+6.5983e-05i,0.00020363+0.00028898i
0.0010399+0.0018325i,0.0011756+0.0012645i,0.0021891-0.00037549i,0.00078135-0.0010702i,-0.0011658-0.00040068i,-0.0017292+0.0004311i,-0.00097293+3.624e-05i,-0.00078718-1.9573e-05i,-0.0005049+0.00012015i,0.00046061-0.00042753i,0.00016533+0.00021794i,-0.00056603+0.00096902i,-0.00055585+0.00060003i,-0.00014398+0.00015185i,0.00022213+9.3571e-05i,0.00069299-0.00019901i,0.0011011-0.00055574i,0.00038765-0.00044168i,3.8424e-06-0.00017484i,0.00075722-0.00049234i,0.00046205-0.0011932i,7.2158e-06-0.0011469i,0.00017295-0.00090257i
7.6668e-05-0.002315i,-0.00093262-0.0014492i,-0.0018429-0.0011556i,-0.0024129-0.001125i,-0.0025917-0.00053481i,-0.0020379+0.00029064i,-0.00066159+0.0014263i,0.00013639+0.0013393i,2.8313e-05+0.00092451i,-2.8924e-05+0.00089641i,-0.00029687+0.00045755i,-0.00026478+0.00089538i,7.8232e-05+0.0011894i,-0.00019319+0.0001496i,-0.000106-0.0003593i,0.00021488-0.00072839i,0.0004536-0.00076358i,0.00038327-0.00094594i,0.00044323-0.0013678i,0.00017935-0.00030552i,0.00025461+0.00024566i,0.00064086-0.00010158i,0.00054003-6.1974e-05i
0.0011616-0.00061017i,0.00048176-0.00068052i,-0.0015847+9.9719e-05i,-0.0031739+0.0012622i,-0.0032494+0.0019082i,-0.0015049+0.002551i,0.00022804+0.0021421i,0.00044828+0.00092458i,-0.0001814+0.00082142i,-0.00042815+0.00085012i,-3.5405e-06+0.00041824i,0.00038461+0.0003422i,-0.00012354+0.00057255i,-4.9986e-05+0.00030452i,0.00062009+0.00029577i,0.00076967+0.00093109i,-0.00020473+0.0010881i,-0.00079683+0.00037479i,-7.1376e-05-0.00081256i,-0.00026735-0.00090573i,-0.00069417-0.00040683i,-6.1092e-05-0.00056843i,0.00039394-0.00034849i
-0.0007106+0.00024349i,0.00031324+0.00045788i,0.00052007-0.00022871i,3.6819e-05-0.0011338i,0.00021045-0.0010616i,0.00028327+1.3186e-05i,-0.00011384+0.00091399i,-0.00067075+0.001468i,-0.00092097+0.001087i,-0.00075247+0.00069344i,-0.00020173+0.00042845i,-0.00021732+3.5504e-07i,-0.00069795-0.0001179i,-9.79e-05-0.00013563i,0.00039206-8.6255e-06i,0.00031944+0.00035788i,9.2809e-05+0.00058446i,-5.3742e-05-0.0001036i,0.00022578-0.00049664i,-0.00015263-0.00039175i,-0.00038184-0.0001986i,-0.00014841-0.00028821i,0.00040055+0.00010143i
-0.00065467-0.00041191i,-0.0004561-0.00056638i,-0.00081199-0.00060946i,-0.00050794-0.0011324i,0.00038791-0.00017656i,0.00037769+0.0011268i,0.00069436+0.00077848i,7.2353e-06+0.00047358i,2.6547e-05+0.00048006i,0.0011147+0.00094047i,0.00032001+0.0017756i,0.00026816+0.001763i,0.0010246+0.00068322i,0.0010293+4.0697e-05i,0.00052989+6.3862e-05i,-0.00045435-9.3821e-05i,-0.0010085+2.0184e-05i,-0.00099849+0.00049331i,-0.00090917-0.00011269i,-0.0004296-0.0007514i,0.00027334-0.0004353i,0.00040684+0.00026301i,5.4338e-05+0.00014767i
-0.00012562-0.0025131i,-0.00091647-0.0014875i,-0.0020654-9.3174e-05i,-0.0034261+0.00043169i,-0.0036173+0.0014269i,-0.0015897+0.0026206i,-0.00030388+0.0025189i,-0.00016487+0.0011946i,0.00067976-4.089e-05i,0.0011303-0.0003734i,0.00066974-0.00057783i,0.000551+5.5751e-05i,0.00066091+0.00063459i,0.00040771+0.00047344i,1.5223e-05-0.00018267i,6.9609e-05-0.00057823i,0.00012265+0.00049514i,-0.00035776+0.0011866i,-0.000233+0.00061658i,-2.5155e-06+0.00056165i,-7.564e-05+0.00067642i,-0.0002897+0.00019419i,2.4941e-05-0.00046085i
-7.75e-05+0.0016502i,0.00030469+0.0024365i,0.00023101+0.0018019i,-0.00073933+0.00062523i,-0.0011175+0.00092595i,-0.00066121+0.00089251i,-0.00089244+0.00062002i,-0.00032288+3.6903e-05i,0.00017654-0.00014475i,-0.00014329+0.00028013i,-0.00033263+0.00037427i,-0.00020733+0.00050791i,0.00043997+0.00055966i,0.00071034+0.00058195i,0.0006716+0.00051596i,0.00104+0.00026742i,0.0011411-3.1903e-05i,0.00012077+6.8017e-05i,0.00010525-8.753e-05i,0.00094482-0.00066228i,0.00072076-0.00057076i,-0.00011952-0.00032665i,-0.00013424-0.00061352i
-0.0024248+0.00015972i,-0.0026135+0.00043393i,-0.0028078+0.0010078i,-0.0026896+0.0013829i,-0.0012993+0.0014909i,-6.4287e-05+0.0017355i,-6.6896e-05+0.0016305i,0.00045161+0.00081861i,0.00056464+0.0010045i,-0.00040151+0.00045708i,-0.0014051-0.00043375i,-0.0010491-0.0002167i,-0.00063691+0.00018729i,-0.00038367+0.00014395i,0.00033347+0.00022026i,0.0013659+0.00074493i,0.00096745+0.00080008i,0.00012635-0.00039515i,-0.00036266-0.00081441i,-0.00056992-0.0002978i,-0.00071472+0.0001281i,-0.0010665-0.00020713i,-0.00047174-0.00095401i
0.0019456-0.00087297i,0.000406-0.00096712i,-0.00061038-0.0010392i,-0.0011432-7.286e-05i,-0.0014474+0.00097077i,-0.00088928+0.001186i,0.00015552+0.0017151i,0.00071928+0.0015509i,0.00083755+0.0015244i,0.00064644+0.0020867i,0.00055744+0.0014649i,5.5899e-06+0.00064688i,-0.0003738+0.00053399i,-0.00041067+0.0012164i,-2.3353e-05+0.0018971i,0.00026447+0.0011219i,0.00090999-4.7834e-05i,0.0011881+0.0002572i,-0.00013695+0.00062865i,-0.00063627+0.00018243i,-0.00041925+0.00017651i,-0.00079921+0.00011496i,-0.00040649+0.00013009i
0.0018405+0.0013459i,-3.3251e-05-0.00056787i,-0.0011382-0.0018808i,-0.0027697-0.0020177i,-0.003397-0.0014189i,-0.0012174+0.0002184i,0.00045929+0.0012729i,-0.00015737+0.0015068i,-0.00075935+0.00080532i,-0.00061783+0.00045828i,-4.2671e-05+0.00069906i,0.0001274+0.00026048i,-4.1171e-05+0.0008846i,-2.6124e-05+0.0016016i,0.0005012+0.0012621i,0.00097877+0.0011775i,0.00055067+0.00062835i,-0.00010303+6.0034e-05i,-0.00055886-0.00039836i,-0.00043352-0.00058281i,-0.00014116-0.00025847i,9.8755e-05-3.6562e-05i,-0.00024633+0.00018962i
-0.0039444-0.00071739i,-0.0032467+0.00089387i,-0.0013363+0.0018273i,-0.00024372+0.0016371i,-0.00034732+0.00083634i,-0.00085649-0.00011665i,-5.2264e-05+0.00017821i,0.00031625+0.00042603i,-0.00033452+0.00020132i,0.00014237+0.00014698i,0.00054593+0.00017409i,0.00050519+0.00016909i,0.00075978+1.8405e-06i,0.00024849-0.00016142i,-0.00022067-0.00033736i,0.00038727-0.00053533i,0.00054272-0.00015643i,0.00028961+0.0001021i,-0.0003772-9.2472e-05i,-0.00083923+3.4481e-05i,-0.0007396-0.00047367i,-0.00026443-0.00066024i,-0.00042715+9.776e-05i
0.0024731-0.0020801i,0.0012112-0.0016642i,0.000432-0.00064918i,0.00039396+0.00036024i,-0.00026256+0.00062292i,-0.0010284+0.00066692i,-0.00061589+0.00067215i,0.00022022+3.2249e-05i,0.00098856-0.00018707i,0.00073906+7.5079e-05i,-0.00035997-0.00030259i,-0.00090356-0.0010263i,-0.00037434-0.00072233i,-0.00038092+0.00066432i,-0.00022929+0.0014244i,0.00028619+0.00029637i,-0.00039482-0.00060868i,-0.000621-0.00027753i,-0.00062949-0.00042306i,-0.00047688-0.0004565i,0.00029305-1.0044e-05i,0.0003636+0.00025151i,0.00050397+0.001239i
0.0050993+0.0030779i,0.0028847+0.0011961i,0.00044248+6.0443e-05i,-0.00080968-0.00082518i,-0.0010099-0.001485i,-0.0017029-3.0565e-05i,-0.0013754+0.001122i,0.000226+0.0011407i,0.0013579+0.0012067i,0.0014697+0.00063779i,0.00053565+0.00070376i,-0.0001949+0.0012559i,-0.00041577+0.00095034i,0.00033645+0.0010833i,0.00033785+0.0014166i,-0.00076834+0.0011749i,-0.00093171+0.00041663i,-0.00045222+0.00015327i,-0.00031383+0.00018699i,-0.00016435-0.00046364i,0.00053997-0.00076124i,0.0006866-0.00086711i,0.00040402-0.00084773i
-0.0020229+0.0010806i,0.00055662+0.0011017i,0.00023674+0.00052946i,-0.0017524-4.1006e-05i,-0.0022983+0.00020865i,-0.0021044+0.0013899i,-0.0012723+0.0020584i,-0.00058107+0.0015546i,5.0302e-05+0.00049273i,0.0011994-0.00036229i,0.0012037-0.00010293i,0.00013661-1.639e-05i,-0.00054097-1.8274e-05i,-0.00054901-0.00038943i,-0.00015584-0.00040461i,-8.8713e-05+0.00011704i,-0.00051218-0.00047784i,-0.00040579-0.00050424i,0.00041547+0.00018196i,0.00059509-0.00029673i,-9.4972e-05-0.00042712i,-0.0011898+0.00032821i,-0.0011393+0.00074743i
0.00031304-0.0026033i,-0.00032312-0.0022658i,-0.00045797-0.0019843i,3.0949e-05-0.001557i,-0.0010393-0.00037499i,-0.0014782+0.00028907i,-0.0011705+0.000495i,-0.0010209+0.00016715i,-0.00058288+5.7985e-05i,4.4346e-05+0.00027177i,0.00045138-0.00062849i,0.00080159-0.00081323i,0.00038596-0.00059497i,-0.00012598-0.00036181i,-0.00032825-0.00012493i,-0.00020807+0.00011826i,0.00030871+0.00063809i,0.00079695+0.00047763i,0.00059092+0.00018595i,-0.00012469+0.00038279i,0.00011497+0.00050201i,0.00051104+0.0008644i,0.00052738+0.00075876i
9.6095e-05+0.00242i,-0.0012142+0.0024988i,-0.0025775+0.0024701i,-0.0019629+0.001564i,-0.00021513+0.00013282i,-1.3183e-05-0.00075618i,-0.00085234-0.00048904i,-0.00084277-0.00043957i,-0.00021955-0.00047551i,0.00015548-0.00016818i,-0.00022287+0.00013158i,-0.00013072+0.00052733i,0.00010536+0.00047283i,-0.00029462+0.00056807i,-0.00018393+0.00076654i,0.00021241+0.00091024i,0.00092582+0.00076063i,0.00082671+0.00022405i,-0.00057523+0.00010489i,-0.00085305+0.00034859i,-0.00036685+8.8893e-05i,0.00052359+0.00051465i,0.0010501+0.00059032i
-0.0023455+0.0012677i,-0.0011768+0.00050876i,-0.00086579+0.00093693i,-0.0010227+0.0013306i,-0.0011348+0.0016314i,-0.00047134+0.0019901i,0.00019647+0.0016849i,0.00020427+0.0014242i,0.00041975+0.0014373i,0.00022776+0.0011238i,-0.00039843+0.00057044i,-0.00081059+0.00050231i,-0.00073994+0.00050421i,-0.00066122-0.00069131i,-0.00027864-0.00072534i,0.00018622-7.7938e-05i,-0.00031293-0.00020441i,0.00012767+6.104e-07i,0.00028688+0.00022341i,-0.00040435-0.00020942i,1.4354e-05-0.00041062i,0.00039416-0.0002082i,-0.00044691+0.00021179i
-0.0015467-0.0029169i,-0.0019807-0.0015817i,-0.0025497-0.00022894i,-0.0022014+0.00073852i,-0.0015657+0.0010805i,-0.002077+0.0015644i,-0.0023683+0.0023696i,-0.0015644+0.0018635i,-0.00036831+0.00070884i,0.00020549+0.00064389i,-0.00022509+0.00057085i,-0.00026754+0.00012838i,0.00019487+0.00028185i,0.00049579+0.00093904i,0.00030372+0.00070218i,0.00054024-0.00015299i,0.0011944-0.00032264i,0.00067382+0.00017785i,-0.00050958+0.00060134i,-0.00056706+7.572e-05i,-0.00040193-0.00010832i,-0.00069362-1.188e-06i,-0.00041299-0.00040796i
0.002192-0.0004839i,2.1018e-05-0.00063821i,-0.00122-0.0014197i,-0.0011442-0.0012934i,-0.0015644-0.00082569i,-0.002443-0.00032962i,-0.0023636+0.00056488i,-0.001061+0.00059805i,-0.00025965+0.00026336i,0.00017469+0.00029395i,0.00099885+0.00051022i,0.00063388+0.0011678i,-0.00036604+0.00084042i,-0.00026702+0.00058086i,-0.00018836+0.00031796i,-0.00036536+0.00021488i,-0.00079044+9.5414e-05i,-0.00146-0.00054211i,-0.00063815-0.00041558i,0.00023631+0.00043828i,0.00062731-0.0001464i,0.00026837-0.00083234i,-0.00062826-0.00040046i
-0.0013708-0.0014107i,-0.0018479-0.001763i,-0.0025525-0.0012667i,-0.002951+0.0008925i,-0.0025655+0.0019959i,-0.0018432+0.0019038i,-0.001087+0.0015876i,-0.0003153+0.0012566i,0.00040436+0.00062284i,1.4434e-06-0.00013911i,-0.0007561-0.00052236i,-0.00072589-0.0010489i,-0.00022308-0.001247i,0.00012845-0.0010495i,0.00040483-0.00021145i,0.00032541+0.00047775i,0.00022148+0.00054233i,-0.0001504+0.00028127i,-0.00038011-0.00015484i,-0.00026048+0.00041951i,6.9982e-06+0.00086368i,0.00048504+0.00088274i,0.00051555+0.00096842i
0.0026719-0.012992i,0.0016866-0.015771i,-0.007177-0.01509i,-0.012248-0.0072283i,-0.011802+0.0014967i,-0.0052671+0.0068754i,-9.074e-05+0.0052464i,-0.00044572+0.0027241i,-0.0020803+0.00098615i,-0.0031132+0.00072106i,-0.0018347+0.00239i,0.00014172+0.0029594i,0.0015856+0.0022646i,0.0028451+0.0021487i,0.0024721+0.0020691i,0.0014194+0.00074221i,-5.4844e-05+9.333e-05i,-0.0011304+8.0782e-05i,-0.00074529-0.00066563i,3.0378e-05-0.0011042i,0.00039272-0.0011025i,0.00063028-0.0015254i,0.00030652-0.00060178i
0.0014265-0.0014151i,0.0016261-0.0007544i,0.00051309+0.00076807i,-0.0010605+0.0016365i,-0.0018495+0.001423i,-0.00095025+0.0010689i,-0.00021532+0.0010979i,-0.00012633+0.0004251i,0.00030796+0.00041285i,0.00090843+0.00067327i,0.0011099+0.00066388i,0.0010269+0.00089071i,0.00084989+0.0014899i,0.00069047+0.0019774i,0.00012864+0.0014165i,6.7623e-05+0.00066465i,0.00038135+0.00061853i,-5.8458e-05+0.00068914i,-0.00038881+2.1135e-05i,-0.00034778-0.00028785i,-0.00077775-0.00035308i,-0.00028645-0.00014423i,1.8376e-05-0.00020543i
-0.0029124-0.00010883i,-0.0041405+0.00028108i,-0.003788+0.00057036i,-0.002187+0.00095549i,-0.0014311+0.0013943i,-0.00089138+0.0013189i,-0.00059883+0.0012616i,-0.0006294+0.0012803i,0.00052534+0.0012268i,0.00070956+0.00076365i,0.0003856-0.00035243i,0.00025446-0.00063628i,0.00021921-0.00028616i,0.00068673-0.00082464i,0.00057452-0.00038674i,-0.00029199+0.00074027i,-0.00017751+0.0011431i,0.0001962+0.0005741i,-0.00058126+0.00021127i,-0.00093432-9.3622e-07i,-0.00048458+6.9501e-06i,-0.00010866+7.0494e-05i,0.00031889-7.7598e-05i
0.0011837-0.0015043i,0.0023184-0.0010352i,0.0022301-0.0012524i,0.00077343-0.0011172i,-0.00047799-0.00025378i,-0.00026561+0.00026575i,0.00022796+0.00025014i,0.00024215+0.00040726i,0.00034425+0.00071589i,7.2664e-05+0.00025326i,0.0001247-0.00030475i,0.00044833-0.00072745i,0.00051317-0.00010524i,0.00062788+0.00048656i,0.00052951+0.00061257i,0.00035997+0.00096208i,0.00063876+0.00038104i,0.00030286-0.00026726i,-0.00038661-0.00036783i,-0.00017502-6.0444e-05i,0.0001065+0.00016373i,-0.00042651+0.00062827i,-0.00075463+0.00056744i
0.0019521+0.00059611i,-7.9351e-05+0.0006869i,-0.0024686+0.00034023i,-0.0032631-0.0004063i,-0.0028332-0.0013897i,-0.00163-2.4675e-05i,-0.00069799+0.0012715i,-0.00040916+0.0013319i,-0.00022247+0.0017517i,0.000133+0.0014491i,-0.00024993+0.00027373i,-0.0010426-0.00016434i,-0.00048907+0.00046044i,0.0002368+0.00056381i,0.00021992+0.00062539i,0.00024656+0.00038111i,0.00033929-0.00051488i,0.0001802-0.00078849i,0.00023227-9.0973e-06i,-0.0002333+8.9905e-05i,-0.00010564-0.00060588i,0.00077384-0.00105i,6.9918e-05-0.00048339i
-0.0024629+0.0018633i,-0.0019609+0.0017738i,-4.2804e-05+0.00045166i,-0.00059611-1.025e-05i,-0.0020209+0.00054033i,-0.0023294+0.0010297i,-0.0007632+0.0010844i,0.00036686+0.00015926i,0.00043348-0.00014031i,0.0011425+5.6003e-05i,0.0015866+0.00029911i,0.00096865+0.00018484i,4.5186e-06-0.00032753i,1.4776e-05-0.00064167i,0.00053093-6.3911e-07i,0.00052561+0.00061425i,0.00060777+0.00094307i,0.0003184+0.0008252i,0.00010909-0.00027572i,-0.00030977-0.00081903i,-0.0008762-0.00088763i,-0.00090931-0.00059847i,-0.0011122-0.00010078i
-0.00027872-0.0022926i,-0.0008702-0.0015639i,-0.00099064+0.00045963i,-0.0017728+0.0010546i,-0.0023075+0.00090144i,-0.0021906+0.00083533i,-0.0012993+6.3299e-05i,-0.00020301-0.00010954i,0.00021614+0.00011723i,0.00064459-0.00046832i,0.00043702-0.00090935i,-0.00029583-0.00051836i,-0.00015421-0.00038347i,-0.00028485-0.00036302i,-0.00044681-6.9431e-05i,0.00041246-6.5776e-05i,0.00070196-0.00014472i,8.2296e-05+0.00031823i,-0.00055973+0.00024524i,-0.00076257-0.00010618i,-0.00076827-3.2623e-05i,-0.00089515+0.00045105i,-0.00050198+0.00059359i
0.0013904+0.0011728i,0.0011046+0.00095836i,-0.00070266+0.00054074i,-0.0021166+0.0007067i,-0.003121+0.0012659i,-0.0023649+0.0017475i,-0.00099656+0.0014076i,-0.00038716+0.0003123i,-0.0004891-0.00024978i,-0.00038578+0.00051216i,-0.00078654+0.00097174i,-0.0010871-0.00016862i,-0.0006184-0.0006788i,-0.00044893-3.0495e-05i,-0.00028752+0.00026418i,-0.00062698+0.00035567i,-0.00089763+0.00056076i,-0.00040359+0.00084829i,-0.00054082+0.00061265i,-0.00037462+0.00065533i,0.00051853+0.00021875i,0.00060197-0.00068314i,0.000236-0.0014774i
-0.0021927-0.00017016i,-0.0034245+0.00094181i,-0.0036187+0.00014569i,-0.001997-0.00036395i,-0.0014851+3.0697e-05i,-0.00074273+0.00081678i,-5.3925e-05+0.0011637i,-0.00056126+0.0010209i,-0.0011136+0.0012796i,-0.00085445+0.0018934i,-0.00071061+0.0012408i,-0.0006501+0.00039314i,-0.00032854+0.00058797i,0.00019266+0.00027559i,0.00065451+0.00021727i,0.000646+3.0319e-05i,0.00028127-0.00019776i,-0.00015146-0.00033156i,2.5498e-05-0.00062438i,0.00016493+3.9169e-05i,-0.00014185+0.00030972i,-0.00021149-0.00025642i,-0.00015601+7.6463e-05i
