-0.0013936+0.0013197i,-0.0010176-0.00011651i,-0.0018944-0.00099902i,-0.0014467-0.00086354i,-0.0010923+0.00032128i,-0.00085319+0.00099354i,0.00059841+0.0012081i,0.0021295+0.0017637i,0.0019228+0.001819i,0.00074296+0.00062296i,-0.00036447-0.0004122i,-0.00084711-0.001481i,-0.00079519-0.0014159i,-0.0012159-0.00068472i,-0.00057843-0.00052379i,0.00035733-0.00024225i,0.00025086+0.0002799i,0.00016894+9.122e-05i,0.0001079-0.00027718i,0.00016736-0.00074547i,0.00057487-0.0012913i,-6.7087e-05-0.00064114i,-0.00071426+9.4812e-06i
0.00031486+0.0017502i,0.00016436+0.0012128i,0.0013347+0.0016355i,0.0021882+0.0012749i,0.002195+9.1566e-05i,0.0015325-0.00040434i,0.00069244-0.00061577i,0.00076807-0.00041509i,0.00047737-0.00030318i,8.6194e-05-0.0014027i,-0.00013267-0.0014741i,-0.00056054-0.00042782i,-0.00070658+0.00036041i,-0.0010958+0.00012804i,-0.0015449-0.00097052i,-0.00098795-0.0012013i,-0.00084979-0.00060983i,-0.00034425-0.00026178i,0.00031917-0.0005464i,0.00022296-0.00036238i,0.00032701+0.00022251i,0.00044212+0.00084934i,-0.00028585+0.00077446i
9.1033e-05+0.00018016i,-0.00027409+1.0207e-05i,-0.0013555+8.4537e-05i,-0.0013771+0.0006297i,-0.00042507+0.00029015i,0.00057028+0.00051657i,0.00096459+0.00053078i,0.00052404-0.00061266i,0.00044755-0.001163i,-8.1613e-05-0.00062371i,-0.00084566+0.00049627i,-0.00097898+0.0011737i,-0.00058465+0.00075212i,-0.00032836-0.00060231i,-0.00018428-0.0012413i,0.00016324-0.0011339i,0.00085077-0.00055241i,0.00076186-0.00014095i,2.1428e-06-0.00017973i,2.9095e-05+7.6124e-05i,-7.5922e-05+0.00028856i,-0.00017141+0.00051183i,0.00036573+0.00030959i
-0.0019008+0.0012762i,-0.00014805+0.0010998i,9.3348e-06+0.0005003i,-0.00014267-7.4878e-05i,9.4146e-05-0.00014633i,0.00089973-0.00041748i,0.0010711-9.0327e-05i,0.00049732-0.00031367i,0.00074015-0.0010319i,0.000862-9.5436e-05i,0.000203+0.00054454i,-5.9487e-05+6.3055e-05i,0.00048938-0.00057738i,0.00056012-0.00066822i,-5.5329e-05-0.00043519i,-2.2481e-05-1.7954e-05i,3.7504e-05+0.00080624i,-0.0002249+0.0011766i,0.00039982+0.00016098i,0.00097807-0.00066072i,0.00061658+5.486e-05i,0.00042945+0.00027511i,-2.22e-06+0.00048954i
-0.0012553-0.0012133i,-0.00095283-0.00052269i,-0.00020455+0.00027852i,5.0452e-05-0.00062051i,0.00029091-0.00092084i,0.00030911+1.4402e-05i,0.00041821-2.2408e-07i,0.00082003-0.00047759i,0.0010456-0.001056i,0.00016603-0.00088714i,-0.00087213-0.00093011i,-0.00070919-0.00057218i,-2.3062e-05+1.9632e-05i,4.9834e-05-7.0467e-05i,-5.4974e-05-0.00061838i,-0.00046691-0.00086031i,-0.00056928-0.00061308i,-0.00060111-1.3631e-05i,-0.0011234+3.1984e-05i,-0.00065293-0.00013225i,-0.00019598-0.00011182i,-0.00020951-0.00044897i,0.00058037-0.00026232i
0.00065849+0.0013246i,0.0016293-6.5894e-05i,0.0009494+0.00039393i,0.0002987+0.0011204i,0.00064198-0.00011189i,-1.3648e-05-0.00014506i,-0.00037588+0.00062664i,0.00052026-0.0002886i,0.0014102-0.0010641i,0.00097361-0.0011844i,-0.00035791-0.00060819i,-0.00034663+0.00019134i,0.00062502-0.00031752i,0.00084498-0.0013204i,0.00045739-0.0014676i,0.00051264-0.0007495i,0.00033578+0.00014319i,0.00039991+0.00076235i,0.00056291+0.00025927i,0.0004108+0.0001942i,-1.6926e-05+0.00036601i,-0.00025907-5.2877e-05i,-9.9656e-05-0.00041072i
0.00071029-0.0010503i,0.00018133-0.00092604i,0.00072851-0.001513i,0.00059912-0.0024748i,-0.00058325-0.0021207i,-0.00058799-0.000491i,0.00046497+0.00033778i,0.0011049-6.2516e-05i,0.001004-0.00078017i,-0.0001633-0.0008445i,-2.4765e-05-0.00036787i,0.00027796+0.00024931i,0.00020263+0.0006828i,0.00092323+0.00073417i,0.00057329+0.00015187i,5.7119e-05-0.00041368i,0.0002125-0.00018881i,0.00036542+0.00016641i,0.00043064+0.00020497i,0.00053988+0.00029095i,-0.00047082+0.0005651i,-0.00038978+3.815e-05i,0.00044424-0.00045594i
0.0026446+0.00055639i,0.0013855+0.0011627i,0.0016972+0.00043792i,0.0011494-0.0017174i,0.00045879-0.0021388i,0.00062235-0.0014858i,0.00084548-0.00065641i,0.00042722-0.00033301i,0.00075961-0.00083281i,0.00064757-0.0015798i,-0.00019965-0.0013656i,-0.00045734-0.0010311i,-0.00022448-0.00094507i,-0.00017963-0.00031591i,-0.00030947-0.0007205i,1.5476e-05-0.00082138i,-0.00011739-0.00035883i,3.839e-05-0.00034321i,0.00034257-9.6484e-05i,0.00081974+0.00031633i,0.00066339-5.8448e-05i,-4.9075e-05-0.00012021i,3.7565e-05+0.00034659i
0.0015026+0.0016766i,0.0020033+0.0020571i,0.0019125+0.00027974i,0.0020772-0.00034389i,0.0018353-0.00070049i,0.00046607-0.00051989i,-0.0005019-0.00023314i,-2.3386e-05-0.00012806i,0.0011922-0.0013252i,0.00083986-0.0019736i,-0.00045338-0.0012813i,-0.00087516-0.00082267i,-0.00028543-0.00014213i,-4.8105e-05+0.00057234i,-0.00045155+0.00033491i,-0.00044762+6.8564e-05i,-0.00021398+0.00037237i,0.00055053-1.3688e-05i,0.00081175-0.0013642i,0.00050424-0.0014697i,0.00023582-0.00086164i,-0.00027965-0.0010784i,-0.00048442-0.00059424i
-0.00034437-0.0011804i,-0.00071913-0.00071746i,-0.0016715-5.5872e-05i,-0.0017947+0.00043195i,-0.0010079+0.0013529i,-0.00086264+0.0016242i,-0.0004418+0.0010208i,-3.3352e-05+0.00024751i,-0.00024923-0.00014383i,-0.00027828+3.4064e-05i,-0.00049171+0.0003929i,-0.00025208+0.0010295i,-0.00014702+0.00088122i,-0.00048658+0.00012475i,0.00018622-0.00083753i,0.00056758-0.0017532i,0.00017672-0.001272i,-3.4205e-05-0.00020417i,-1.5936e-05-0.00053327i,5.893e-05-0.00089959i,0.00045151-0.00077947i,0.0012421-0.0013133i,0.0013451-0.00082147i
-7.7787e-05-0.0019334i,0.0010485-0.0022183i,-0.0003171-0.0015796i,-0.0004475-0.00057062i,-0.00026507-0.00010609i,0.00037498-0.00034587i,0.00040157-0.0001294i,0.00023709-0.00059459i,0.00019452-0.0012627i,-0.00076274-0.00029376i,-0.0012281-0.00021359i,-9.5173e-06-0.0010495i,0.00061187-0.000317i,-0.00024473-0.00030486i,-0.00034025-0.0006091i,0.000264-0.00052225i,0.00056701-0.0005307i,0.00018785+0.00039029i,-0.00043104+0.00043507i,-0.00032075-0.00038854i,-0.00057416-0.00057875i,-0.00053731-0.00024646i,0.00016565+0.00056774i
0.00030381+0.0016179i,0.00065048+0.0019549i,0.00030211+0.0022211i,4.6969e-05+0.00060504i,0.0004139-0.00027749i,0.00059195-0.0016516i,0.0011306-0.002189i,0.0017105-0.0010412i,0.0010721-0.00049497i,0.00084981-0.00022248i,0.00093951-0.00060291i,0.00071757-0.0010031i,-0.0001553-0.00016419i,-0.0013777-0.00013106i,-0.0013259-0.00031866i,-0.0010335+0.00065613i,-0.0011559+0.00061286i,-0.00087385+0.00047499i,-0.00066767+0.00052706i,-0.00014998+0.00043137i,-0.00045653+0.0006894i,-0.0013961+0.00027203i,-0.0010812-0.0005604i
0.0028341-0.0018533i,0.0027722-0.00148i,0.0024717-0.0019894i,0.0018219-0.0028204i,0.0011628-0.0017778i,-6.9924e-05+4.4929e-05i,-0.00089715+0.00031167i,-0.00058833-0.00034249i,0.00020849-0.00061843i,-0.00020166+0.00015887i,-0.00079095+0.00079728i,-9.8226e-05+0.00052451i,0.0005061+0.00034609i,0.00046907-0.00013032i,0.00045726-0.00071847i,2.0702e-05-0.00079627i,-0.00065416-0.00039389i,-0.00047159-0.00019735i,0.00074472-0.00040443i,0.00076737-0.00097583i,0.00034743-0.0012836i,6.6609e-05-0.0012431i,-0.00060684-0.00068128i
-0.00021419-0.0023131i,-0.00010282-0.0015807i,-0.00020203-0.00169i,-0.0002007-0.0017439i,0.0012399-0.0012111i,0.0018534+4.5633e-05i,0.00095412+0.00071986i,0.00057862+0.00012274i,0.00058968-0.00061882i,0.00027828-0.00019657i,-0.00053251+0.00062903i,-0.001009+0.00077401i,-0.00020794+0.00058689i,0.00025063-0.00029817i,0.00047782-0.00039244i,0.00074539+7.0272e-05i,0.00040179+0.00013191i,-7.6864e-05+0.00053482i,-0.00013836-0.00050481i,8.7249e-05-0.00088353i,-2.4979e-05-0.00027131i,0.00010671-0.00040171i,0.0001329-4.6223e-05i
-0.0011315-0.0007012i,-0.000928-0.00077569i,-0.0010877-0.00066995i,-0.00075311-0.00060443i,0.00011828-0.00062648i,0.00079023-0.00048628i,0.0002983+0.00011176i,0.00026993-0.00035971i,0.00088078-0.00093666i,0.0012963-0.00052163i,0.0011873-0.0002905i,0.00074574-0.00084796i,0.00027062-0.0011886i,7.3435e-05-0.0011602i,0.00064615-0.00060494i,0.00058831+0.00031435i,-0.00023907+9.9202e-05i,-0.00086697-0.00030682i,-0.00099085-0.00047915i,-0.00020094-0.00095969i,0.00014327-0.0007975i,-0.00038198+0.00010505i,-0.00048451+0.0001407i
-0.0014288-0.00054369i,-0.0012292+4.6767e-05i,-0.0014477+0.00021241i,-0.0011555+0.0014258i,-0.00114+0.0013399i,-0.00081052+0.0011504i,-0.00082592+0.0015357i,-0.0012556+0.0011065i,-0.00093072+8.0518e-05i,-0.00025071-0.00032242i,-0.00013142+0.00035633i,-0.00045417+0.00090073i,-0.00018693+0.00027854i,0.00021989-0.00064428i,0.00012013-0.0011789i,-5.1449e-05-0.0013074i,-0.00028273-8.7485e-05i,-0.00015799+0.00086651i,9.7233e-05+0.000542i,-1.4461e-05-0.00066594i,-0.00031772-0.0016637i,-0.0005006-0.0008813i,-0.00035557+0.00045277i
-0.0016855-0.00014682i,-0.0022878-0.00039584i,-0.0017836+4.0457e-05i,-0.00053864-0.00012751i,5.3302e-05-0.0010417i,0.00049203-0.00033593i,0.0007729+0.0003366i,0.0014059-0.00032153i,0.0017063-0.00034136i,0.00099503-0.00047943i,0.0004999-0.00057727i,0.00067697+0.00011655i,0.00031238+0.00044786i,0.00041499+8.6074e-05i,0.00016338-0.00078192i,-0.0002734-0.0010115i,-6.9428e-05-0.00033643i,-0.0002497-0.00042709i,-2.5427e-05-0.00060056i,0.00025806-0.00032557i,0.00028488-0.00018399i,-0.00033447-0.00015196i,-0.0002387-0.00015968i
-0.00029374+0.0022055i,0.00035296+0.0020621i,0.001812+0.00058787i,0.0020935-0.00089277i,0.0020156-0.0012073i,0.0019848-0.000584i,0.0012283-6.1891e-05i,0.0013387-0.00031744i,0.0014064-0.00030855i,0.00060359-0.00046174i,-0.00022634-0.000837i,-0.00014702-0.00075186i,0.00028799-0.00034392i,0.0002185-0.00075927i,-7.9601e-05-0.0011369i,-8.7731e-05-0.00039573i,1.9128e-05+0.00020137i,0.00021652+0.00021949i,-0.00035286+0.0010224i,-0.0001849+0.0007186i,0.00014303-0.00012645i,-4.5963e-06-3.7221e-05i,1.6779e-05+0.00080775i
-6.9005e-05+0.00097218i,0.00020894+0.00060972i,0.0013468+0.00054366i,0.0012312+0.00066278i,0.00060443+0.00048123i,1.757e-05+0.00024285i,-0.00071554+0.00034227i,-0.00049997-0.00068569i,0.0001066-0.0011313i,1.6884e-05-0.00090964i,-9.0756e-05-0.00054595i,-9.9012e-05+0.00084812i,-0.00074571+0.0014576i,-0.00060565+0.00058313i,-0.0003888-0.00016519i,-0.00018193+0.00039715i,1.1393e-05+0.00059873i,-0.00014041+0.00056805i,-7.2045e-05+3.6701e-05i,0.00050062-0.0007685i,0.00068986-0.00037196i,-0.00011173+0.00040445i,-0.00013761+0.00024351i
0.00057351+0.00048089i,0.0005623-0.00082372i,0.0015529-0.00045782i,0.002168-0.00023829i,0.0016574-0.00053313i,0.00055716-0.00031118i,-0.00014298+0.0001825i,0.00017644+0.00014174i,0.00058109-0.0004488i,-0.00024222-0.0002562i,-0.00085019+0.00050848i,-0.00068682+0.00073952i,-0.00035108+7.973e-05i,0.00023913-0.00063772i,0.00077154-0.00034277i,-5.3626e-05-0.00011992i,-0.00020407-0.00039595i,0.0002338-0.00040576i,0.00019683-0.00056804i,9.497e-05-0.00090305i,0.00032868-0.00060118i,0.00073521-0.00031007i,-3.3453e-05-0.0005531i
-0.00015923+3.6696e-05i,-0.00024141+0.00033675i,-2.2411e-05+0.00021005i,0.00065928-0.00040264i,0.00063395-0.00115i,0.00037095-0.00046506i,0.00061136-0.00043695i,0.0011878-0.00052489i,0.00087162-0.00023839i,-0.00011805-0.00034186i,-0.00072417-0.00043585i,-0.00085546-0.0002215i,-0.00064036-0.00010303i,-0.00036814-0.00051101i,0.00016514-0.00067549i,0.00047237-3.3114e-05i,-0.00037875+0.00033876i,-0.00076203+0.00023527i,-0.00018291+0.00016586i,0.0006547-0.00016431i,0.00035757-0.0001621i,-0.00063998+0.00073357i,-0.00044901+0.00060439i
-0.0022424-0.00070861i,-0.0033905+0.00018827i,-0.0035023+0.0013886i,-0.0018415+0.0013648i,-0.00027098+0.0010549i,0.00023262+0.0012821i,-0.00013542+0.0014344i,0.00039225+0.00072295i,0.0011472+9.0628e-06i,0.00058173-7.942e-05i,-0.00017878-0.00014383i,-2.3995e-05-0.00011453i,0.00061358-9.0744e-05i,0.00092404-0.00015757i,0.0007054-0.00034553i,-7.0415e-05+0.00013679i,-0.00048776+0.00071386i,-0.00012787+0.00095349i,-0.00056957+0.00053913i,-0.00047672+1.8234e-05i,6.7204e-05-0.00030817i,1.5848e-05-0.00045609i,-0.00070371+0.00018891i
0.0019435-0.00075977i,0.0021575-0.00051782i,0.0023772-0.0012512i,0.0019969-0.00062783i,0.0010637-0.0001314i,0.00030286+0.00025708i,0.00055328+0.00060572i,0.00064823+5.2034e-05i,1.0181e-05-0.00073741i,-0.0014207-0.0011193i,-0.0011159-0.00038093i,-0.00012293+0.00041131i,-0.00049619+0.00012713i,1.9202e-05-0.00012322i,0.00038887-0.00080046i,-3.6201e-05-0.00097486i,0.00023543-0.00040305i,0.00045301+5.4751e-05i,5.1533e-06-0.00055852i,-0.0011942-0.0011038i,-0.0012653-0.00054651i,-0.00070518-0.000784i,-0.00052747-0.00097556i
-0.0019622+0.00019365i,-0.0022868+0.0010886i,-0.0025546+0.00091986i,-0.0020623+0.0013714i,-0.0014419+0.001889i,-0.0012666+0.0019104i,-0.00027607+0.0015202i,0.0007032+0.0012075i,0.00038764+0.00080922i,-0.00053393-0.00021114i,-0.00035446-0.00077711i,0.00039605+0.00010444i,0.00060404+0.00020914i,-7.9556e-05-0.00035935i,-0.00035519-0.00054331i,-0.00028501-0.00013566i,-0.00050683+0.00049406i,4.311e-05+0.00073039i,0.00063613+0.00018647i,0.00029624-0.00093279i,0.00023841-0.0011399i,0.00010832-0.00026357i,0.00019054+0.00020799i
-0.00021581-0.0014818i,1.29e-05-0.0027947i,5.9117e-05-0.0024345i,0.0003291-0.0015287i,0.00019578-0.0015534i,-0.00077573-0.00076313i,-0.0007822+0.00014316i,-2.7472e-05-0.00015299i,0.00053478-0.00069163i,0.00025538-0.00079528i,-0.00047319-0.00017939i,-0.00071165+0.0006349i,-0.00052529+0.0010144i,-0.00044992+4.2053e-05i,-0.00077054-0.0011299i,5.6564e-05-0.00070965i,0.00062314+0.00034852i,0.00059666+0.00083778i,0.00042347+9.4449e-05i,0.00026109-0.00048819i,-1.8272e-05-0.00013317i,-0.00028288+0.00021374i,0.00038457+0.0004737i
9.5575e-05-0.0020363i,-0.00048836-0.00083217i,-0.00053317-0.00044209i,-0.00041216+7.2361e-05i,-0.00022308+0.00027235i,-0.00066282+0.00014852i,-0.00084694+0.00076882i,-0.00036597+0.00087891i,0.00010915-0.00011233i,-0.00042713-0.00057845i,-0.0007841+3.4228e-05i,-0.00090549+0.00043297i,-0.00097127-2.1458e-08i,-0.0005783-0.00061756i,0.00034273-0.0010335i,-0.00033005-0.0011363i,-0.0010375-0.00066627i,-0.00048542-0.0008532i,-0.00049376-0.0012254i,-0.00051288-0.0009396i,-0.000219-0.0010799i,-0.0003065-0.0010184i,-1.1335e-06-0.00011474i
0.0012888-0.0016215i,9.2828e-05-0.0011722i,0.0007381-0.0024222i,0.0013415-0.0023935i,0.00097133-0.0009585i,0.00060594-0.00036543i,0.00033351-0.00034702i,0.00033962-0.00014615i,0.00093527-0.00024844i,0.0005565-0.00088066i,-0.00080364-0.00044362i,-0.0012488+1.9575e-05i,-0.00030466+0.00027974i,0.00064386+0.00042582i,0.00011752-0.00019381i,-0.00071548-0.0004208i,-0.0013367-0.00017611i,-0.0010529+0.00012661i,0.00039968+0.00014736i,0.00070769-9.5149e-06i,-5.8936e-05-0.00013548i,-0.00026441-0.00056914i,1.9466e-05-0.00088942i
-0.00031371+0.0012584i,-0.00033311+0.0014264i,-0.00015165+0.0025612i,0.00058304+0.0019379i,0.001567+0.00050882i,0.0016458-0.0007493i,0.0019191-0.0010777i,0.0015834-0.00083846i,0.0010235-0.00090647i,0.001015-0.0010517i,-0.00016832-0.0011616i,-0.00060543-0.00058487i,-0.00044098-0.00012018i,-0.00089974-0.00043551i,-0.00080266-0.0005111i,-0.00062223+0.00051787i,-0.0012096+0.0013991i,-0.001444+0.00053675i,-0.0011363+0.00038529i,-0.00113+0.0010315i,-0.00088041+0.0006966i,-9.4115e-05+0.00029704i,0.0001273+3.2211e-05i
0.0010778+0.0019272i,0.00070351+0.0011719i,0.0017506+0.00033957i,0.0024255+8.4728e-05i,0.0011638-0.00024206i,-0.00030295-0.00010349i,0.0002234-0.00073532i,0.0012146-0.00087392i,0.0012437-0.00036297i,0.00066573-0.00056524i,0.00014207-0.0010927i,-0.00012188-0.0010155i,-0.00029055+0.00017053i,-0.00010143+0.00037813i,0.00012573-0.00017296i,-0.00010329-9.5957e-05i,-1.7504e-05-0.00061908i,0.0006673-0.00040592i,0.00094592+0.00063607i,0.00095759+0.00066496i,0.00072712-0.00023442i,8.8274e-05-0.00067241i,8.2938e-07-0.00031158i
-0.00043118-0.0011973i,-9.6374e-05-0.00044156i,0.00056074-0.00024546i,0.00094407-0.00040066i,0.0013262-0.00045309i,0.00087945+0.00021278i,0.00094179+0.00067211i,0.001684+0.00016335i,0.0012763-0.00020736i,-2.5366e-05-7.7857e-05i,-0.0011292-4.3262e-05i,-0.0010206-0.00017974i,-0.00017105-0.00013346i,0.00013283-0.00042245i,-2.0107e-05-0.00056008i,-0.00056842+0.00013789i,-0.00093872+0.00070102i,-0.00031876+0.00039873i,0.00055262+0.00026254i,0.00013327+0.00049609i,-0.00020346+0.00056944i,0.00041205+0.00019148i,0.00086241-1.0577e-05i
0.00015237-0.0013138i,-0.00044062-0.00029323i,-0.00039489-0.0010719i,0.0011284-0.0021841i,0.001649-0.0014944i,0.00033224-0.00054169i,0.0007966-0.00038323i,0.0016175-0.00019821i,0.0010149+0.00012393i,0.00037336+0.00034616i,-0.00038984-0.0002194i,-0.00046716+4.2521e-06i,1.4887e-05-0.00051351i,0.00014854-0.00085138i,-0.00017549-0.00040476i,-9.3352e-05-0.00063154i,0.00027712-8.2205e-06i,0.00046012+0.00074096i,0.00097651+0.00023876i,0.00052756-0.00068868i,-0.0001614-0.00072742i,-0.0004359-0.00051217i,-0.0006181+0.00021879i
0.00020375-0.0019293i,-4.3345e-05-0.0021316i,-0.00092965-0.0028587i,-0.0016205-0.0016709i,-0.00135+0.00021916i,-0.0021704+0.00063295i,-0.0029944+0.00012756i,-0.0016817-5.1724e-05i,-0.0012909-0.00018367i,-0.0013336-0.00065444i,-0.00039938-0.00065608i,0.00029783+0.00020017i,0.00083863+0.00062142i,0.00077071-0.00020267i,5.1271e-05-0.0010257i,-0.00067648-0.00083368i,-0.00079463+0.0004209i,0.00027582+0.00088807i,0.00077928+0.00076677i,0.00067596+0.00022828i,8.3442e-05-0.00030495i,-0.00049488-0.00041445i,-0.0001125-3.2332e-05i
0.00066821-0.0001956i,0.00076028+0.00075762i,0.00064426+0.0006979i,0.0011193-0.00072635i,0.0017613-0.0013548i,0.0017822-0.00058543i,0.0016395+9.5928e-05i,0.0012816+0.00015746i,0.00091571-0.00031018i,0.0011468-0.0010104i,0.0011835-0.00078422i,0.00072418-0.0008104i,-3.0723e-05-0.00080569i,-0.00041601-0.00061664i,-0.00068737-0.0011918i,-0.00040047-0.001388i,-0.0002739-0.001436i,-0.00078434-0.0014287i,-0.00085833-0.00087042i,-0.00015647-0.00037069i,0.00042389-3.8094e-05i,0.0003092+0.00014246i,0.00025239-0.00061936i
-0.0010205+0.0010996i,-0.0014413+0.00055342i,-0.00097885+0.0003706i,-0.0010609+0.00018926i,-0.00065058+0.00030254i,0.00045896-0.00020866i,0.0010983-0.0011307i,0.00061828-0.0012904i,-0.00034177-0.0010892i,-0.00026877-0.00076272i,-0.00024639-0.00040046i,-0.00062621-0.00048716i,-6.3675e-05-0.0001264i,0.000367-0.00039396i,0.00025203-0.0013825i,-0.00092701-0.00099568i,-0.00098535-0.0002154i,0.00021254+0.0001119i,0.00074826-3.9856e-05i,0.00037374-0.0003759i,0.00048549-0.00028893i,0.00036724-0.00017888i,7.2348e-05+0.00022194i
0.00091253-0.00054084i,0.00044307-0.00068314i,0.0015111-0.0017757i,0.0019437-0.0024963i,0.00064201-0.0021446i,0.00025714-0.00057181i,0.00081351+0.00015779i,0.00085888+0.00013229i,4.522e-05+0.00024653i,-0.00066834-7.5303e-05i,-0.0012799-0.00028247i,-0.00097681-0.00048123i,0.00017083-0.0004753i,0.0005015-0.00065439i,3.6151e-05-0.0005396i,0.00013303-8.8839e-05i,-0.00017911+0.00027963i,-0.00045252+3.8803e-05i,-9.5741e-05+1.8611e-05i,0.00037913+0.00017013i,0.00052139+0.00019697i,0.00014579+0.0003422i,-0.00014538+9.5297e-05i
-0.0019148+0.0020772i,-0.001101+0.0014652i,-0.00148+0.0012695i,-0.00053372+0.0016716i,0.0014319+0.0021801i,0.0013142+0.0013251i,0.0001726+0.00079375i,0.00092071+0.00072459i,0.0016078+0.00020411i,0.0006188-0.00044178i,7.7855e-06-0.0006554i,0.00073324-0.00061252i,0.00080313-0.00093679i,0.00016885-0.0012719i,0.00012349-0.00086761i,0.00049259-0.00083432i,0.00059668-0.00053248i,0.00072915-0.00024179i,0.00088088-0.00017274i,0.00046387-3.2004e-05i,-0.00034827+0.00062202i,-0.00055309+0.0011669i,0.00013526+0.001091i
0.00068959-0.00039542i,0.0017168-0.00043661i,0.0018841+0.00045304i,0.00082949+0.0011934i,0.00068628+0.00041672i,0.00054656-1.1546e-05i,0.00032624-0.00014888i,0.00058798-0.00053531i,0.00025199-0.0010417i,-0.0004201-0.0010111i,-0.00016086-0.00099427i,-0.00023402-0.00030895i,-0.00047198-0.00046834i,4.8093e-05-0.0011033i,-0.00059834-0.0013645i,-0.0016145-0.00062473i,-0.0012306+0.00015767i,-0.00067552-0.00058665i,-0.00011381-0.0011006i,0.00063583-0.0012157i,0.00098969-0.00083906i,0.00030811-0.00042213i,-0.00023109-4.2392e-05i
0.00085011+0.00025505i,0.00046563+0.00041068i,0.00074644-0.00081048i,0.00076367-8.7945e-05i,-0.00019298+0.00071454i,-0.00065667+0.00074857i,-0.00075831+0.00058895i,0.0001686-6.2269e-05i,0.00091964-0.00026079i,0.00035907-0.00091318i,-0.00017082-0.001182i,-0.00050474+0.00016026i,1.6146e-05+0.00059473i,0.00050581+0.00020524i,0.0003009+0.00011724i,-1.791e-05+0.00049415i,-4.1171e-05+0.00039768i,-2.6029e-05-0.00055058i,0.00031899-0.00062668i,0.00055176+5.2929e-05i,5.7101e-05-0.00018512i,0.0004031-0.00035712i,0.00087759+0.00030749i
-0.0016078-0.0010488i,-0.00079328-0.0004635i,7.0439e-05-0.00052803i,0.00044182+8.4669e-05i,0.00022341+0.00040118i,0.00065134+0.00018684i,0.0010105+0.00033188i,0.00089425-0.00023458i,0.00067027-0.00094363i,0.0004691-0.00089234i,0.00038385-0.00061943i,0.00032555-0.00020522i,0.00022114+0.00040827i,0.00071524-0.00034611i,0.00096106-0.00012463i,0.00037731+0.00086495i,-0.0008168+0.00068671i,-0.00076013+0.0005892i,-0.00012546+0.00057567i,2.4178e-05+0.00011041i,-0.00042648-0.00042923i,-0.00023866-0.0006274i,-0.0003305+0.00011177i
0.00021203+0.00097581i,0.00045583+0.00055865i,0.00019938+0.0007779i,0.00043072+0.00025682i,0.00044057-0.00052643i,-6.6157e-05-0.00054672i,-9.1717e-05-0.00061384i,-0.00021602-0.001331i,9.5886e-05-0.0019438i,0.00012195-0.0012926i,0.00019645-0.0006224i,0.0002496-0.00035352i,-2.6317e-05-0.00035342i,-0.00035174-0.00037034i,-0.000669-0.00042536i,-0.0010219-0.00049743i,-0.0012561-2.7084e-06i,-0.00055611+0.00073129i,0.00013155+0.00063497i,-5.5048e-08+0.00056856i,-0.00055195+0.00045456i,-0.00075612+0.00017673i,4.8254e-05+6.8791e-05i
0.00033348-0.0018453i,0.00026158-0.0012543i,0.00091845-0.00083193i,0.00048224-0.00023074i,-0.00031758+6.8096e-05i,0.00079317+0.00014374i,0.00070147-8.8411e-05i,3.1887e-05-0.00043431i,0.00044018-0.00052316i,0.00077915-0.0011017i,0.00064132-0.0004267i,0.00051022+0.00039161i,0.00024656-0.00013833i,-0.00035043-0.00028497i,-0.00023168+1.5665e-05i,9.8812e-05-0.00012735i,-0.00015953+0.00051249i,-0.00014112+0.0011805i,-0.00012843+0.00092587i,-0.00081734-0.00016797i,-0.00060849-0.00077514i,-3.3921e-06+1.5824e-05i,0.00052765+1.3818e-05i
-0.00048032-0.0013336i,-0.00082706-0.0013493i,-0.0015172-0.0013125i,-0.00092629-0.00099073i,0.0001197-0.0003185i,0.00081775+0.00037631i,0.0012034+0.00056556i,0.0010651+0.00031448i,0.0001492-0.00048842i,-0.000357-0.0008892i,0.00022034-0.00025228i,0.00055669+0.00030743i,0.00017298-0.0001334i,-3.118e-05-0.001434i,0.00021767-0.0013537i,-0.00015292-0.00065495i,-0.00067626-0.00015574i,-0.00068794+0.0011472i,-0.00085819+0.0012028i,-0.00073988+0.00060703i,-0.00056639+0.00011206i,-0.00067317-0.00048199i,-0.00090892-5.5281e-05i
-0.001121+8.6062e-05i,-0.00037512+0.0010443i,0.0011785+0.0017103i,0.0015661+0.0010053i,0.00048991-0.00057609i,0.00051785-0.00082199i,0.0012808+0.00019012i,0.00094269+0.00065155i,0.0013725-4.8405e-05i,0.001179-0.0004154i,-0.00026841-0.0003905i,-0.00020934-0.00096662i,0.00019613-0.0012244i,-0.00035339-0.00070924i,-0.00094896-0.00037006i,-0.00043594-0.0010329i,-0.00034092-0.0010474i,0.00018407+0.00041122i,0.00013819+0.00073572i,-0.00035717-0.00045123i,-0.00035262-0.0005534i,-0.0003043+8.3254e-05i,9.1392e-05+0.00047069i
