-0.0048428+0.00067165i,-0.0053332+0.0010465i,-0.0065103+0.0026415i,-0.0052909+0.0033206i,-0.0030834+0.0030141i,-0.0016844+0.0027009i,-0.0010493+0.0024896i,-0.0007317+0.002511i,-0.00080794+0.0017973i,-0.00032834+0.0013837i,0.00049118+0.00064793i,0.00064149-0.00032247i,0.0005541+0.00020333i,0.00030163+0.0013399i,-0.00044464+0.0016879i,-0.00039288+0.0010243i,0.00016852+0.0010266i,0.0004705+0.00083976i,0.00035789+0.0007437i,-0.00022048+0.00076249i,3.3429e-05+0.00036505i,0.00066091+0.00024086i,0.00031991+0.00034309i
-0.00010234+0.00035288i,0.00011422+0.0011095i,0.00016877+0.0023296i,0.00050368+0.0028078i,0.00070913+0.0026823i,0.00083016+0.0024625i,-0.00014291+0.0013488i,-0.0017747+0.00038141i,-0.0014383-5.3086e-05i,4.2238e-05+0.00027697i,8.0874e-05+0.00079634i,-4.354e-05-2.8478e-05i,0.00043007-0.00032372i,0.0002233+0.00011914i,-9.0159e-05+6.8805e-05i,0.00013508+0.00047447i,-0.00018221+0.0010366i,-0.00078606+0.0016002i,-0.00046463+0.001346i,0.0001545+0.00061805i,0.00023576-0.00024525i,0.00016312-0.00034455i,0.00049568+0.00033066i
-0.00045176+0.0003497i,-0.00058256+0.0014952i,-0.0032769+0.0015648i,-0.0034162+0.0012222i,-0.0011863+0.0011362i,-0.00010749+0.00028588i,-0.00083191-0.00013888i,-0.00059939-9.6795e-05i,-0.00033786+0.00030586i,-0.00039936+0.00083868i,-0.00035539+0.00099048i,-5.9221e-05+0.00071625i,-0.00016265+0.00080176i,-0.00061805+0.00065544i,-1.3811e-05+0.00012039i,0.00064732+0.00029502i,0.00079418+0.0006752i,0.00096069+0.00065728i,0.00081634+0.00043934i,-7.2791e-05+6.7883e-05i,-0.00036181+9.3891e-05i,8.938e-05+0.00080624i,0.00083618+0.00073034i
0.00034318-0.00088863i,0.00063203-0.0011882i,0.00111-0.0015279i,0.0010627-0.0016094i,-0.00031077-0.0013027i,-0.0015356-0.00075988i,-0.0015813+0.00020571i,-0.0018958+2.0421e-05i,-0.0015635-0.00073241i,-0.0012054+5.26e-05i,1.5458e-05+0.00015769i,0.0012172-0.0003658i,0.001165-0.00026034i,0.00024552-0.00073779i,-0.00047532-0.00044355i,-0.00029315+0.00087265i,-0.00050691+0.00060718i,-0.00086844+0.00013226i,-0.00083255-3.2948e-06i,-0.00026587-0.00029725i,0.00061375-2.091e-05i,0.00061891+0.00065585i,-0.00021225+0.00073132i
0.000352+6.903e-05i,0.00050208+0.00066869i,0.00072881+0.0019947i,0.0012078+0.001862i,0.00083091+0.00037856i,-0.00069029-3.1558e-05i,-0.0012202+0.00080671i,-0.0010734+0.0014957i,-0.00082682+0.0015602i,-0.00090596+0.00091426i,-0.00055759+9.4581e-05i,-0.00034785+7.944e-05i,-0.00060938-0.00010461i,-0.001096-0.00026602i,-0.00101-0.00033147i,-0.00036011-0.00028469i,-0.00040139-0.00035292i,-0.00048005-0.0004067i,-0.00040321-0.00058467i,-0.00041014-0.0004676i,-0.00020176+3.7788e-05i,-0.00040149+0.00016635i,-0.00017842+0.00034546i
6.9191e-05-0.00022746i,0.0013142-9.3763e-05i,0.0024649-0.00033649i,0.001628-0.0012399i,0.00029552-0.0014184i,-5.9214e-05-0.00038261i,-0.0011311+9.0083e-05i,-0.0016341+0.00047416i,-0.0012861+6.6244e-05i,-0.0010465-0.00025706i,-0.00021935-0.00030276i,0.00042416-0.00053755i,0.00032797-0.00080819i,0.0001666-0.00045044i,0.00026153-0.00014587i,-5.194e-05-0.00042092i,-0.00059645-0.00028988i,-0.0008591-2.0141e-05i,-0.0009034+1.2295e-05i,-0.00033785+5.1259e-05i,-0.00023184-0.00044293i,-0.00067452-0.00039986i,-0.00055748+0.00013349i
0.00048747+0.0014454i,-0.0008681+0.0028835i,0.00018943+0.0033329i,0.00149+0.0017469i,0.0011417+0.001i,-0.000187+0.0012903i,-0.00081879+0.0013019i,-0.0010862+0.0009559i,-0.00082205+0.00091285i,0.00014079+0.00095821i,0.00083069+0.0011195i,-0.00038983+0.00071i,-0.0013551+0.00014008i,-0.0012939-0.00037851i,-0.00030568-0.00020582i,0.00037145+0.00015544i,-0.00013428-8.2889e-06i,-0.0006391-0.00016791i,-0.00055319-0.00031032i,0.00016362-0.00035316i,0.00066605-0.00023871i,0.00056116+0.00010354i,0.00010349+0.00032475i
-0.0017936-0.0011977i,-0.0013694-0.002316i,-0.00086224-0.0018917i,-0.00069521-0.00086093i,-0.00067259-2.5969e-05i,-0.0013772-0.00013715i,-0.0024193-0.00030473i,-0.0023463-0.00029845i,-0.0011904-0.00040887i,4.2048e-05-1.1506e-05i,0.00014059+0.00031113i,-8.5606e-05-0.00016861i,-0.00029729-0.0007129i,-0.00025551-0.00091637i,-9.9135e-05+0.00010471i,-0.00026678+0.00018726i,-7.2893e-06-0.00039526i,0.0004291+0.00019679i,-0.00061456+0.00054358i,-0.0012088-0.00010778i,-0.00034307-0.00066033i,-0.00012554-0.00051483i,-0.00014051-0.00038799i
0.0017863+0.00095299i,0.0020773+0.00025073i,0.0027504-0.00044244i,0.0030853-0.00036738i,0.0015693-0.00058002i,0.00039355+8.1552e-05i,0.00019853+0.00070571i,-0.00057629+0.00014215i,-0.00014887-0.0001321i,0.00079524-0.00027365i,0.00078463-0.00053679i,0.00066482-0.0002394i,0.00019528+0.00056259i,0.00016124+0.00010727i,0.00014107-0.00077197i,-0.00016682+9.0405e-05i,-0.00057331+0.00084831i,-0.00082905+0.00072314i,-0.00072825+0.00049648i,-0.0006042+0.00019901i,-0.00062767-6.4985e-05i,0.000166-0.00031574i,-0.00031482-0.00016859i
-0.00015473-0.00042939i,-0.0012591-0.00015715i,-0.0012331-0.00046893i,-0.0019908-0.00033271i,-0.0025235+0.00019935i,-0.0016665+0.00059908i,-0.0013638+0.0013136i,-0.0017457+0.0012422i,-0.0015346+0.00019071i,-0.0013323-0.00037746i,-0.00041066-0.0006133i,0.00037485-0.00051419i,0.00013311+0.00028118i,0.0001948+0.00046915i,-0.00028545+0.0002353i,-0.0002464-0.00031614i,-0.00047996-0.00034206i,-0.00071693+0.00034383i,-0.00034498+0.0006694i,-0.00082512+0.00068202i,-0.00075262+0.00053819i,-0.00059086+0.00027455i,-0.00029876+0.00063326i
-8.7383e-06+0.0017392i,-0.00026954+0.0017556i,4.0193e-05+0.0010277i,0.0011116+0.00029271i,0.0009489-0.00037318i,-0.0010339-0.00091257i,-0.0020637-0.00064013i,-0.0013944+2.3239e-05i,-0.00078024+0.00025965i,-0.00053828-0.00024382i,7.0209e-05-0.00055344i,-8.6949e-05-6.0057e-05i,-0.00010239+0.00038354i,0.00021894+1.9266e-06i,0.00012661-0.00025446i,6.2649e-05+0.00018061i,0.00018726+0.00027467i,0.00053178+5.2695e-05i,0.00055289+0.00023112i,0.00080923+0.00030201i,0.0006855+5.5519e-05i,0.00059351-9.6583e-05i,0.00034797-0.00041612i
0.0002277+0.0032923i,0.0022522+0.0020149i,0.004032+0.0026739i,0.003868+0.0020315i,0.0030439+0.00010346i,0.0015823-0.00051411i,-0.00075803+0.00030285i,-0.0017064+0.0009595i,-0.0010507+0.00034808i,0.00029045+0.00015298i,0.00067019-8.1596e-05i,9.091e-05-0.00039975i,-0.00013883+0.00011689i,-0.00034078+0.00076721i,-0.00010607+0.00052986i,0.00014357-2.0507e-05i,-0.00018512+0.00019249i,-0.00015938+0.00016692i,-5.1137e-05-0.0002134i,0.0001593-0.00080178i,0.0001469-0.00024223i,0.0003475+0.00026117i,0.00084896-0.00081912i
-8.8682e-05+0.0019494i,0.00071718+0.0017582i,0.0021529+0.00081327i,0.0018889+0.00078956i,0.00088027+0.00063885i,0.00061946-0.0001949i,1.9693e-05-0.0003873i,-0.0005151-1.7872e-05i,-0.00054487+0.0006724i,-0.00062714+0.00046405i,-0.00024206-0.00012431i,-0.00015012+3.9116e-05i,-0.00056058+0.00059492i,-0.00086664-0.00031982i,-0.00078343-0.0011505i,-6.2709e-06-0.0015616i,8.9921e-05-0.0014711i,-0.00060868-0.00042812i,-0.00049803+0.00011311i,-0.0001986+0.00041704i,2.1515e-05+0.00048339i,9.134e-05-0.00012624i,-0.00044229-0.00019721i
-0.001825-0.00062498i,-0.0011931-0.00030721i,-0.0003042-2.3036e-05i,0.00039676-0.00011655i,0.00050665-0.00035418i,0.000185-0.00037001i,5.2059e-05-0.00022439i,-0.00031173+7.4748e-05i,-0.00044402+0.00012818i,0.00018546+0.00016557i,0.00033901+0.00051207i,-0.00019439-8.9773e-05i,-0.00029365-0.00076945i,0.00017173+7.954e-05i,0.00019216+0.00063112i,-0.0005145+0.00060246i,-0.00095413+0.00011861i,-0.0003815-0.00058746i,0.00012822-0.00043926i,0.00027715-0.00016671i,0.00081613+0.00016691i,0.00077867-0.00034356i,-3.7919e-05-0.00053557i
-0.00050164+0.00048189i,0.00021993+0.00065089i,0.00036573+0.0012338i,0.00029421+0.0019458i,0.00069743+0.0023067i,0.00073272+0.0014866i,-0.00032402+0.00062881i,-0.00057942+0.00033239i,-0.0001368+0.00054887i,-7.2519e-05+0.0012208i,0.00045171+0.00078173i,0.0013595-0.00014073i,0.00089659-0.00012797i,-0.00015252-0.00012735i,0.00031266-0.00058314i,0.00078231-0.00026202i,8.3657e-06+0.00073953i,-0.00066575+0.0003416i,-0.00032563-0.00027467i,0.00014709-3.9964e-05i,-6.6766e-05+0.0003066i,-0.00071027+0.00041716i,-0.0010811+0.00055433i
-0.0023793-0.00042628i,-0.0021033+0.00066193i,-0.0030935+0.0007032i,-0.0027363-8.1327e-05i,-0.0017325+3.8143e-05i,-0.00076078+0.00055555i,-0.00037882+0.00046606i,-0.0003088+0.00018625i,0.000122-0.00025705i,-0.00016603-0.00029053i,-0.00038983+0.00045021i,4.5672e-05+0.00084613i,0.00034353+0.00024949i,0.00058727+0.00011031i,-6.9166e-05+0.00037768i,-0.00077138+3.7311e-05i,-0.00050142+6.2986e-05i,-0.00072792+0.00030667i,-0.00079161+0.00011341i,-0.00020405+7.2373e-05i,-1.7961e-05-0.00023023i,8.9892e-06-0.00025145i,0.00021843+0.00015409i
-0.0017288+0.0025585i,-0.0014631+0.002514i,0.00015973+0.0034425i,0.0011966+0.0031158i,0.0015823+0.0018608i,0.00161+0.0011902i,0.0011587+0.0013822i,-8.6052e-05+0.0012353i,-0.00031147+0.00036331i,0.00031275-0.0002314i,0.00059119-8.9739e-05i,0.0006376-0.00023409i,0.00068147-0.0011752i,0.00018682-0.0015676i,-0.00027697-0.00063057i,-0.00022746+0.00048477i,-0.00044623+0.00089836i,-0.00019381+0.00053002i,-0.00020871+0.00027315i,-0.00036051+0.00053551i,4.6797e-05+0.00062703i,6.1655e-05+0.00044844i,-0.00043069+0.00034227i
-0.00025845-7.2022e-05i,0.00067339+0.00061399i,0.0010292+0.0015115i,0.00047624+0.0005331i,0.00020541-0.00084436i,2.8409e-05-0.00032866i,-0.00036347+0.00049306i,-0.00071145+0.0005301i,-0.00076719+0.00030871i,-0.00011793+0.00045279i,0.00048941+0.00038498i,0.0007992+2.8108e-05i,0.00025303-0.00010406i,-0.00058052-0.00018231i,-0.00024687+6.2653e-05i,8.698e-05+8.2862e-05i,-0.00074799+0.00041809i,-0.0010829+0.0013443i,-0.0009932+0.0010281i,-0.00063389-0.00078201i,0.00011392-0.0016399i,0.00019164-0.00089241i,0.00012941-0.00063496i
9.7962e-05-5.6696e-05i,0.0015335+0.00052183i,0.0016126+0.0015853i,0.00045066+0.0014319i,-0.00068656+0.0006802i,-0.00066874+0.00051957i,-0.00041933+0.0011545i,-0.00072466+0.00090426i,-0.0001514+0.00035846i,0.0006723+4.2788e-05i,0.00039075+3.6593e-05i,0.00014117+1.3691e-05i,-6.4477e-05+3.0915e-05i,-0.0008405-0.00010779i,-0.00081904-3.6894e-05i,-0.00069106+0.00084839i,-0.0013545+0.00095015i,-0.0012197-4.5066e-05i,-0.00072908+0.00078721i,-0.0010815+0.0010524i,-0.00070328-0.00026079i,-0.00023977-0.00012662i,-0.00051603+0.00016317i
-0.0013843+2.2216e-05i,-0.0020086-0.00052849i,-0.0017892-0.0013081i,-0.00114-0.0011393i,-0.0012588-0.00022647i,-0.0012405+0.00039761i,-0.0014578+0.00044152i,-0.0018467-0.00030328i,-0.0018949-0.0009883i,-0.00094548-0.00087644i,-0.0001166-0.0006645i,-8.1767e-05-0.00049717i,-0.00034764+0.0002542i,-0.0010497-3.2053e-05i,-0.00081026-0.00052073i,-0.00039971-8.0689e-05i,-0.00091607-0.00028936i,-0.00066423-3.7209e-05i,0.00017147+0.00057871i,-0.00021685+0.00039842i,-0.00066882-0.00021392i,-0.00018165+6.7097e-05i,9.5072e-05+0.00086356i
0.00084119-0.0016335i,0.0011839-0.0011323i,0.0002359-0.0014589i,0.00018293-0.00052532i,-5.0198e-05+0.00074898i,-0.0001082+0.00071347i,-0.00010879+0.0002796i,-0.00021174+0.00038475i,0.00010718+0.00076i,-0.00039195+0.00066259i,-0.0011203+0.00033323i,-0.0013801+0.00021641i,-0.00062921-0.00017787i,-0.00077819+0.00034269i,-0.0016135+0.00076523i,-0.0012996+0.00017238i,-0.00029059+0.00015878i,-0.00019641+0.00086889i,-0.00054241+0.00056366i,-0.00046535-0.00030428i,-0.00015872-0.00030697i,-2.7463e-05+0.00030784i,-0.00031332+0.00026968i
-8.0908e-05-0.0003633i,0.00058132+0.00072104i,0.00025454+0.00089396i,-4.1282e-05+0.00098005i,3.6404e-05+0.0006788i,0.00020849+0.00033022i,-0.00031294+0.00035552i,-0.00065809+0.00053039i,-0.00016121+0.00014347i,-8.4824e-05-2.3221e-05i,-0.00048489+0.00035803i,-0.0004364+0.00082575i,-0.00023589+0.0008213i,-0.00080787+0.00035624i,-0.00090408-0.00012718i,-0.00037544-0.00024454i,0.00037114-3.281e-05i,0.00074225+0.00067642i,-0.00016999+0.0014063i,-0.0010992+0.0010079i,-0.00090976+0.00013606i,-8.2263e-05-0.00025285i,0.00036716-3.9568e-05i
0.0016753+0.00081488i,0.00088401+0.00075484i,0.0013149-0.00069931i,0.0017044-0.0015951i,0.00078688-0.0011227i,-0.0012095+0.00026939i,-0.0020599+0.0012171i,-0.0012135+0.0012759i,-0.00074963+0.00052746i,0.00021333-0.00027129i,0.00076849-0.00077585i,-9.0921e-05-0.00086054i,-0.00036081-0.00087636i,0.00021671-0.00087374i,0.0002125-8.8367e-05i,0.00013051+0.00030624i,-0.0004138-0.00038356i,-0.00097771-4.6661e-05i,-9.7993e-05+0.00092668i,5.6195e-05+0.00048128i,0.00015373-0.00019088i,8.0465e-05+0.00025523i,-0.00022086+0.0002468i
-0.0008639-0.0013785i,-0.0013651-0.0012391i,-0.0019147-0.00072506i,-0.0024453+0.00028487i,-0.0023373+0.00081988i,-0.0014143+0.0010895i,-0.00059844+0.00078411i,-0.00070054+7.3267e-06i,-0.0012621+0.00020597i,-0.0007028+0.00048622i,-0.00020756+0.00041347i,1.6956e-05+6.6181e-05i,-2.7151e-06-0.00021738i,-0.00030271-0.00031244i,-0.00075672+0.00050831i,-0.00033015+0.0010715i,-5.0213e-05+0.00071619i,-0.00055397+0.00059842i,-0.00069635+0.00045365i,-0.00060441+0.00019989i,-0.00041794+0.00010086i,0.00026881+0.00013826i,0.00041968+0.00051648i
-0.0012304+8.1541e-05i,-0.0014213+0.000601i,-0.0015249+0.00080922i,-0.0012222+0.00092379i,-0.0013596+0.00029725i,-0.0011078+0.00058728i,-0.00021079+0.0015576i,5.4074e-05+0.00087497i,-0.0011866-0.00026773i,-0.0018877-0.00079905i,-0.0016657-0.00083607i,-0.00093907-0.00061564i,-0.00024863-0.00046527i,-0.00020921-0.00041635i,-0.00038548+0.00025802i,-0.00029067+0.00049968i,4.0558e-05-0.00048713i,-0.00027897-0.00069883i,-0.00053601-0.00014893i,9.7586e-05+0.00042722i,7.4355e-05+0.0010106i,-0.00031259+0.0012384i,-6.3068e-05+0.00045287i
0.0012907-9.007e-05i,0.0013913-0.00076537i,0.0016691-0.0013262i,0.0015178-0.0011165i,0.00053824-0.0003171i,-0.00043148+0.00044256i,-0.0015555+9.4373e-05i,-0.0015549-0.000257i,-0.0006805+3.4282e-05i,-0.00034064+5.5341e-05i,-0.00047783+0.00014474i,-0.0004466+0.00038056i,0.00021621+0.00034181i,0.000307+0.00027741i,7.2641e-05+0.00032775i,-0.00038444+0.0010028i,-0.001404+0.00090706i,-0.0011388+0.00041279i,-0.0006172-1.9843e-05i,-0.00066318-0.00022484i,-0.00014717+0.00013829i,0.00052227+0.00049146i,0.00067747+0.0001586i
0.00048613+0.0011494i,0.0010087+0.0011835i,0.0013142+0.0020908i,0.00091013+0.001977i,0.00058667+0.00051099i,0.00048923+0.00013536i,0.00046682+7.9277e-06i,0.00023653+0.00021619i,-0.00035354+0.00053178i,-0.00051019+0.00063912i,-0.00013965+0.00028587i,-6.3032e-05-0.00033126i,0.00025559-0.00078525i,0.00036696-0.0009203i,-0.00025513-0.00043555i,-0.00085161-0.00041238i,-0.0013864+0.00019445i,-0.0015938+0.00074217i,-0.00065148-0.00022233i,0.00070243-1.6648e-05i,0.00061312+0.00087816i,0.00092172+0.00047766i,0.0015305-8.2598e-05i
-0.00181+0.0015029i,-0.00031923+0.00065888i,0.0019366+0.00030823i,0.0025148+0.00055498i,0.0016002+0.00047817i,-5.2417e-05+0.00025152i,-0.0011936+0.00032768i,-0.00079092+0.00053775i,-0.00013396+0.00011212i,0.000252+0.00052618i,0.001008+0.0010608i,0.0013181+0.00036792i,0.00089622-0.00017894i,0.00015713+0.00028364i,-0.00010425+0.00082644i,-8.6585e-05+0.0011912i,0.00025769+0.0013145i,0.00028476+0.00065117i,0.00066838+0.00049843i,0.00069707+0.00081658i,-2.0891e-05+0.00050315i,0.00022081+0.0006045i,0.00031282+0.000996i
-0.00051164-0.00073965i,-0.00011194-0.00043542i,0.0001904-0.00091192i,-0.0012088-0.00065331i,-0.0023648-0.00036961i,-0.0021237-6.7899e-05i,-0.0010696+0.00089937i,-0.00063104+0.00085929i,-0.00086928-0.00017272i,0.00033694-0.00054372i,0.0013802-0.00010566i,0.00027395+0.00096111i,-0.00057288+0.00053477i,-0.00071125-0.00060732i,-0.0015353-0.00049222i,-0.0018256+6.3457e-05i,-0.00064109+0.0003582i,-0.00039676+0.00051136i,-0.00083392+0.00029048i,-0.00053746-7.1794e-05i,-0.00041664-4.5302e-05i,-0.00052905-9.0634e-05i,-0.00026457-0.00053807i
8.0268e-05-0.00079585i,-0.00058181+6.4661e-05i,-0.0012083-0.00039953i,-0.0010211-0.0010502i,-0.00080595-0.00037129i,-0.00056569-0.00025894i,-0.00043192-9.2962e-05i,-0.00091693+0.00031961i,-0.00061545+6.5994e-05i,-0.00025473+0.00039109i,-0.00042369+0.00036342i,0.00024243+7.3777e-05i,-0.00047389-7.0254e-06i,-0.0016827+4.7583e-05i,-0.0012232-0.00012415i,-0.00053589+0.00024495i,-0.0005751+0.00049262i,-0.00032829+0.00017603i,-0.00013307+0.00013288i,-0.00053064+0.00014976i,-0.00068057-4.5833e-05i,-0.00041087-1.4821e-05i,-0.00040087-0.00019086i
0.0012206-0.00088871i,0.0020563-0.0010061i,0.0019005-0.0010735i,0.0016359-0.0012898i,0.00051255-0.001077i,-0.00088437+0.00022838i,-0.00084741+0.00095942i,-0.00071752+0.00075607i,-0.0006147+0.00025741i,9.7588e-05-0.00031115i,0.00053686-0.00035247i,0.00013297-0.00061326i,-0.00077061-0.0010106i,-0.0014659-0.00030374i,-0.0013657-0.00011121i,-0.00081813+0.00047629i,-0.00023318+0.0008781i,0.00064349+0.00073286i,0.00086862+0.00079351i,0.00023313+0.000651i,-0.00024664+0.00065807i,-0.00035767+0.0008047i,-0.00034055+0.00029659i
-0.00083997-0.00054583i,-0.00032892-7.6981e-05i,0.00028289+0.00011123i,0.00071935+0.00090855i,0.00052166+0.0012435i,-5.7869e-05+0.001228i,-0.0011116+0.00096115i,-0.0011752+0.00011169i,-0.0003701-0.00047049i,0.00011389-0.0001262i,-0.00074059+0.00066847i,-0.0010591+0.00051887i,-0.0003726+0.00022548i,-0.00036628+0.00027801i,-0.00067328+0.0009162i,-1.573e-05+0.001589i,0.00069625+0.0014513i,9.8436e-05+0.0010551i,-0.00056149+0.0006151i,6.1161e-05+0.00014235i,0.00029241+0.00050418i,-6.0905e-05+0.001145i,-0.00022103+0.00081055i
0.000234+0.00017897i,-0.00050572+0.00051632i,-0.00050448+0.00021429i,-0.0002705-0.00045122i,-0.00077216-0.00081041i,-0.0012425-0.00071803i,-0.00164+7.3957e-05i,-0.0010831+0.00032189i,-0.00048787-0.00013626i,-4.8734e-05-0.0005811i,0.00053135-0.00023025i,0.00044136+0.00020576i,4.7923e-05+0.00037078i,-0.00054827+0.00048566i,-0.00047498+0.00071203i,-0.00057733+0.00038084i,-0.00082023-0.00040453i,-0.00095908+3.9749e-05i,-0.00064564+3.0513e-05i,-0.00044085-0.00022861i,-8.9467e-05-0.00066954i,0.00012009-0.00023179i,-0.00013391+0.000823i
-0.00024595+7.6989e-05i,-2.9884e-05+0.00056909i,0.00081644+0.00048466i,0.0012516+0.00068254i,0.00040317+0.00072136i,-0.0004969+0.00039119i,-0.0010189+0.0006798i,-0.001068+0.00051548i,-0.00010308+4.0859e-05i,-0.00018163+4.7761e-05i,-0.00029776+8.3338e-05i,0.00047774-0.00064095i,0.0009177-0.00063137i,7.1712e-05+0.00016556i,-0.00061266+0.00017387i,-5.8601e-05-0.00036413i,-0.00020833-0.00045816i,-0.00042001-0.00034219i,-0.00053936-0.0007544i,-2.913e-05-0.00093893i,0.0003539-0.00061932i,-0.00068509-0.00037038i,-0.0014373-0.00026862i
-0.00092008+0.0013737i,0.00090642+0.001025i,0.0010488+0.0019196i,0.00069346+0.0017514i,0.00048025+0.00096557i,0.00018869+0.00014395i,-0.00014303-0.00014169i,-0.00090422+0.0001696i,-0.0010844+0.00054184i,-6.401e-05+0.00088229i,0.00079868+0.0011124i,0.00083373+0.00042029i,0.00034666+5.9957e-05i,0.0003476-0.00027601i,0.00056032-0.0006192i,0.00040133+0.00014409i,0.00071089+0.00038408i,0.00035103-0.00038247i,-0.00077527-0.00041223i,-0.00084375-0.00034755i,-0.00056684-0.00035i,7.6184e-05-0.0001972i,0.00054643-0.00015043i
0.0011509+0.0014405i,0.0015602+0.00011164i,0.0021756-0.00042536i,0.001514-0.00088547i,0.00066879-0.0015526i,-0.00031838-0.0013811i,-0.00065908-0.00065103i,-0.00066796-0.00024042i,-0.00049219+2.9097e-05i,0.0005409+5.9179e-05i,0.0009444-1.7609e-05i,0.00062046-0.00019369i,0.00022681-0.00042401i,0.00012969-0.00077086i,0.00024592-0.001052i,-9.3441e-05-0.00085591i,-0.00015155-0.00014397i,-0.0003361+0.00034357i,-1.751e-05-0.00010031i,0.00038951-0.00044824i,0.00027274-6.5533e-05i,0.00023956-0.00025976i,0.00046335-0.00024357i
-0.00043264-0.0030741i,-0.0010187-0.0019879i,-0.0022007-0.0017154i,-0.0019726-0.00061478i,-0.0016752+0.00076158i,-0.0015272+0.0012931i,-0.0011246+0.0019646i,-0.00022919+0.0019581i,0.00035756+0.00085993i,-0.00028126-0.00022922i,-0.00058864-0.0003755i,-0.00017029-0.00031505i,-0.00053043-0.00041199i,-0.0011832-0.00023064i,-0.0010113-0.00011939i,-0.00030165-0.00020787i,-0.00017972+8.1721e-05i,-0.00030297+0.00087292i,-0.0005861+0.00054792i,-0.0011077+7.8412e-05i,-0.00073874+0.00048046i,4.759e-05+0.00066562i,0.00045791+0.00029344i
0.00016074-3.8313e-05i,-0.00037115-0.00080957i,-0.00065504-0.0012856i,7.7594e-05-0.00063124i,-0.00048826-0.00027933i,-0.0012327-0.00044547i,-0.0010274-0.00018148i,-0.00062994+0.00026231i,-0.00021305-8.2831e-05i,-1.3703e-05-0.0006859i,0.00012034-0.0005543i,3.7896e-05-0.00064828i,-0.00052709-0.00051038i,-0.00016275+0.00069619i,0.00051318+0.00092758i,-3.7705e-05-8.0845e-06i,-0.00041209-0.00041763i,-0.00067828-0.00011868i,-0.00052574-0.00027962i,6.5292e-05+0.00010836i,5.9668e-06+0.00018762i,-0.00014742-0.00041994i,-0.00012852-0.00043773i
-0.00028493+0.0014036i,5.0271e-05+0.0015313i,0.00064698+0.0017442i,0.0015242+0.001954i,0.0015024+0.0018067i,0.00079796+0.001108i,0.00036146+0.00063141i,-0.00068467-0.00028116i,-0.0011845-1.1758e-05i,-0.00055987+0.0013123i,2.033e-05+0.0016477i,-0.0002829+0.00089228i,-0.00079367-0.00012615i,-0.00039684+0.00016101i,0.00053839+0.00083983i,0.00072846+0.00074814i,-0.00047559+0.00065852i,-0.00092911+0.00013531i,-0.00073712-5.0479e-05i,-0.0010221-0.00016522i,-0.00097574-0.00011248i,-0.00055742-5.7028e-05i,-0.00024411-0.00041819i
-0.00036503-0.00034593i,-0.00027389-4.948e-05i,-0.0012563+0.00066571i,-0.0015249+0.0018048i,-0.00079962+0.0016751i,-0.00051795+0.00022907i,-0.0011422-0.00025781i,-0.0012583+0.00036596i,-0.00069696+3.0465e-05i,7.3353e-05+0.00010323i,0.0003665+0.00093901i,0.00065583+0.00047145i,0.00079002-0.00044958i,0.00029991-9.3269e-05i,0.00049076+0.00017975i,0.00043472+0.00014286i,-0.00018761+0.0001963i,-0.00015137+0.00063347i,-0.00028849+0.0010912i,-0.00028882+0.0006792i,-7.521e-06+0.00039837i,0.00047706+0.00027807i,0.00043589+0.00048706i
-6.7652e-05+0.0029864i,0.00054309+0.0034381i,0.0014654+0.0036136i,0.0020418+0.0026537i,0.0018698+0.0016012i,0.0012321+2.5476e-05i,-0.0004279+0.00011789i,-0.0012307+0.0012868i,-0.00073852+0.0016165i,0.00022098+0.00081656i,0.00079421-0.00052369i,0.0012138-0.00014836i,0.0010858+0.00088361i,0.00055322+0.00052441i,-7.2637e-05-0.00011856i,-0.00057248+0.0005626i,-0.00036066+0.0010562i,0.00029684+0.0010781i,0.00059375+0.0010812i,-0.00027093+0.0012775i,-0.00050428+0.00084647i,0.00016025-0.00022329i,0.00014233-0.00038778i
0.00042812-0.00038904i,0.00018714-0.00037128i,-0.00049591-0.00064059i,-0.00061933-0.00030954i,-0.0011283-0.00014496i,-0.0013338+0.00041738i,-0.0015516+0.0014263i,-0.0018192+0.0011723i,-0.0010881+0.00062555i,-0.00049784+0.0001887i,-0.00037476-0.00025628i,-0.00014837-1.7793e-05i,8.8064e-05-0.00034328i,-0.00015982-0.00023672i,-0.00039695+0.00039702i,-0.00069544+0.00070235i,-0.00090763+0.00057402i,-0.00056806+0.00050191i,-0.00036926+0.00048817i,0.00010652-0.00033682i,0.00060593-0.00057922i,-0.00033909+1.8466e-05i,-0.00058669+2.5108e-05i
-0.00043316-0.00041641i,0.00023177-0.0001324i,0.00042586-0.00053893i,0.00025657-0.00092343i,0.00062024-0.0018111i,0.00016108-0.0015749i,-0.00090665-0.0010176i,-0.0015979-0.00045981i,-0.0011464-5.2521e-05i,-0.00081171-0.00097482i,-0.00063528-0.0018299i,-2.7314e-06-0.0011874i,0.0002293-0.00058668i,0.00041244-0.00056409i,0.00029773-0.00061276i,0.00021353-0.00015631i,0.000304+0.00036627i,-0.00031048+0.0004603i,-0.00069748+0.0008608i,-0.00057647+0.00049736i,-7.0394e-05+0.00016406i,0.0001142+0.00010636i,0.00049215+0.00022789i
