-0.00097317+0.00017176i,-0.00072808+0.00016042i,-0.001296-6.2388e-06i,-0.0013482+9.2761e-05i,-0.0022472+0.00091383i,-0.0031057+0.0015734i,-0.0019493+0.0021358i,-9.7123e-05+0.0023241i,0.001241+0.0014402i,0.0010642+0.00068233i,0.0005678+0.00027967i,0.00045389+0.00038666i,0.00062877+0.00059959i,-2.9335e-05+0.00021502i,-0.00041483+0.0002946i,8.6606e-05+0.0005569i,0.00033579+0.00025012i,0.00046846-9.4451e-05i,0.00070701+0.00041597i,0.00082685+0.00051642i,0.00043757+0.00040036i,-4.2964e-05+0.0002272i,5.9359e-05+0.00087081i
0.0028126+0.0023883i,0.0021737+0.00092403i,0.0012636+0.0009891i,0.00097709+0.00099146i,0.00097296-0.00037238i,0.00029859-0.00083027i,-6.0015e-05-0.0004569i,-0.00015395-0.00011144i,-0.00045225+8.6136e-05i,-0.0001748+0.00021395i,0.00046933+0.00034494i,0.0003204-0.00036972i,0.00014396-0.0011359i,3.2476e-05-0.00085422i,-0.00026207-0.00067731i,-1.3495e-05-0.00069831i,0.00090995-0.00028694i,0.0012711+0.0006282i,0.0011102+0.00051628i,0.00080361-8.6571e-05i,5.8727e-05+0.00026633i,-7.2139e-05+0.00059224i,-0.00024019+0.00046765i
0.0010264-0.0011984i,0.00015435-0.00083069i,-0.00061426-0.0024335i,-0.00049582-0.0018241i,-0.00068897+0.00049001i,-0.0011939+0.0015912i,-0.00038526+0.0015127i,0.00052211+0.0010674i,0.00023723+0.00074073i,-0.00050409+0.00013267i,-0.00071304+1.3773e-05i,-0.00026202-0.00021914i,-2.2352e-06-0.00088135i,0.00026109-0.00072323i,3.2883e-06-0.00079133i,0.00014756-0.00054031i,0.0008001+5.197e-05i,0.00039367+0.00030657i,0.00010899+0.00022087i,0.0003+0.00015794i,1.2766e-05+0.0003606i,-0.00042656+0.00067347i,-0.00034162+0.00075577i
-0.00040531-0.0012054i,-0.00022216-0.00051566i,-0.0003706-0.00024766i,-0.0002239-5.9997e-05i,0.00025393-0.00013837i,0.00039007+0.00061998i,0.00067447+0.0016878i,0.00066303+0.0022981i,0.00047267+0.0016172i,0.00019452+0.0010447i,3.0818e-05+0.00045282i,-0.00058684-0.00051921i,-0.00056769-0.00075105i,0.00026646+0.00013659i,0.00023695+0.00088561i,0.00066439+0.00092062i,0.00056237+0.00098258i,-7.6541e-06+0.00066216i,-5.2444e-05+0.00010507i,6.1024e-05-0.00015837i,0.000306+0.00010811i,0.00044679+0.00040009i,0.00044279+0.00056419i
-0.00067824+0.00071903i,-0.0001333+0.00032701i,0.00052577+0.0011155i,0.00063843+0.0018176i,-1.8674e-05+0.0014843i,-0.00045827+0.00077515i,-0.0012833+0.00080803i,-0.0012344+0.00086046i,-0.0013597+0.00093604i,-0.0013785+0.0011519i,-0.00020401+0.00065378i,0.00035067+0.00055979i,0.00062934+0.00082761i,0.00092831-5.81e-06i,0.00084713-0.00051402i,0.0011974-0.00070463i,0.00090138-0.0014002i,3.692e-05-0.0010567i,0.00033715+0.00033578i,0.00070883+0.00041784i,0.00049118-0.0006456i,0.00020733-0.00079878i,0.00056033-0.00017192i
-0.00092576+0.0025188i,-0.00018775+0.0025492i,0.00043332+0.0017262i,9.4988e-05+0.0006027i,-0.00037633+0.00049694i,-0.0001504+0.00097203i,-0.00065768+0.0012958i,-0.00087166+0.00065085i,-0.0008445-0.00027085i,-0.00081218+0.00032356i,2.9294e-05+0.00067847i,0.0005696+0.0008499i,0.00035335+0.0010331i,0.00030316+0.00055643i,0.00052569+9.8507e-06i,8.4032e-05-0.00079953i,0.00012329-0.00061497i,0.00034318-0.00022388i,0.00031422+4.7556e-05i,0.00073422+8.979e-05i,0.00067602-0.00024673i,0.00024043-0.00051556i,0.00024649-8.0628e-05i
-0.00044933+0.00036931i,-0.00081853+0.00049696i,-0.0005248+0.0006532i,-0.00098534+0.00090128i,5.3039e-05+0.00139i,0.00037264+0.001174i,-0.00032822+0.0007102i,3.0832e-05+0.00067746i,3.2736e-05+0.0010175i,0.00020708+0.00074375i,0.00049869+9.2497e-05i,0.00018689+0.00011977i,-0.00031757-0.00021805i,-0.0010764-0.00044175i,-0.0004977-0.00023199i,0.00068343-0.00020059i,0.00091713+0.00029565i,0.00075968+0.00055107i,0.00041558+0.00028297i,0.0010358+0.00039453i,0.0012598+0.00025448i,0.0011851-0.00050648i,0.00084954-0.00095146i
0.00077622-0.0014062i,-0.00016595-0.0010965i,8.1311e-05-0.0019098i,-0.00041693-0.00091162i,-0.001393-5.081e-05i,-0.0010686+0.00031677i,-7.2486e-05+0.0008705i,0.0003323+0.0006173i,0.00051764+0.00033354i,-7.5579e-05+0.00035967i,-0.00042609-0.00035227i,-0.0001184-7.1459e-05i,-2.3592e-05+0.00046388i,-0.00014528-0.0006968i,-0.00033301-0.0005153i,-0.00042639+0.00060243i,-0.00060342+0.00087389i,-0.00064733+0.00060518i,-0.00042828-2.3177e-05i,6.8642e-05+2.9482e-05i,0.00059314+0.00012183i,0.00084163+0.00019344i,0.00093683+0.00033944i
9.4352e-05-0.00025822i,-0.0007217-0.0006134i,-0.00078212-0.0014646i,-0.00056822-0.0014362i,-0.00049691-0.00084568i,-0.00010764-0.00024882i,-0.00023995-8.8499e-06i,-0.00025245+0.0007728i,-0.00025303+0.0010217i,-0.0009703+0.00063165i,-0.00069997-5.033e-05i,-5.1301e-05-0.0006615i,0.0002343-9.3178e-06i,-0.00041296+0.00058081i,-0.00068554+0.00026876i,-0.00081454+0.00069929i,-0.0013142+0.00080931i,-0.00025664+0.00048897i,0.0009201+0.00079177i,0.00048456+0.00097753i,-0.0010024+0.00047996i,-0.0012941+0.00019921i,-0.00055935+0.0001396i
-0.00038236-0.0007635i,-0.00026626-0.00097049i,0.00034705-0.00066972i,-4.0393e-05-0.0011732i,-0.0013677-0.0013388i,-0.001991-0.00051277i,-0.0013094+0.00044367i,-0.0001531+0.0008653i,5.7138e-06+0.0010507i,-0.00049213+0.0013395i,-0.00092563+0.0010867i,-0.0011421+0.00030418i,-0.001138-0.00010387i,-0.00079555-0.00027621i,-0.0001931-0.0005482i,-0.00046467+0.0006872i,-0.00087657+0.001248i,-0.00034095+5.3243e-05i,-9.2176e-05-4.5196e-05i,-0.00073346+0.00036956i,-0.00044234+0.00016615i,0.00034786-0.00015918i,0.0011503-0.00018557i
-0.0011383+0.0011462i,-0.00012457+0.0014645i,-0.00064145+0.0021663i,-0.00079567+0.0017601i,-0.00022593+0.0012744i,3.7141e-05+0.001505i,-0.00010154+0.0017232i,-0.00020484+0.0018393i,-0.00051142+0.0013069i,-0.0006196-4.6737e-06i,-0.00025546-0.00084289i,-0.0003022-0.00033354i,-0.0004245+0.00057383i,0.00032864+0.00034564i,0.0014152+5.8773e-05i,0.001651-0.00038256i,0.00089923-0.00026836i,-0.00029214+0.00024294i,-0.00073856-0.0005045i,-0.00029887-0.00087523i,0.00011592+4.6997e-05i,0.00011177+0.00065126i,0.0003467-7.8171e-05i
-0.00047475+0.0014333i,-0.00042711+0.0015711i,0.0015565+0.0018412i,0.0020023+0.0013494i,0.00040606+0.00030618i,-0.00027351+0.00031054i,0.00036258+0.00064233i,0.00073707+0.00063677i,0.00031136+0.00086982i,-0.00014715+0.00071156i,-0.00027472+0.00010452i,-0.00045469-0.0011827i,-0.00059964-0.0017421i,0.00028509-0.001363i,0.00066253-0.00098359i,0.00039941-0.00023934i,5.543e-05+0.00013767i,-0.00017544-0.00026198i,-5.1929e-05-0.00037985i,0.00083094-3.522e-05i,0.00066065-6.5602e-05i,0.0005149-0.0002882i,0.00058704-1.6404e-05i
-0.00062435+0.0013672i,-0.00056878+0.0013121i,0.00024782+0.0020921i,0.00028808+0.002601i,-0.0010042+0.0013575i,-0.00094053+0.00043998i,-0.00029802+0.00032386i,-0.00035412+0.00069313i,-0.00093983+0.00052153i,-0.00067714+5.2156e-06i,-0.00030961+0.00066978i,-0.00039173+0.0006791i,-0.00055541+0.00040608i,-0.00028641+0.00068397i,0.00042194-5.4133e-05i,0.00072514-0.00078889i,0.00053071+0.00013492i,0.00017712+0.0011707i,-3.1445e-05+0.0008845i,4.5576e-05+0.00025357i,-0.00043587+9.432e-05i,-0.00088978-0.00029091i,-0.0003737-0.00079835i
0.0021909-0.00029945i,0.0018907-0.00091287i,0.00075138-0.00073381i,0.00045257-0.00076269i,0.00049644-2.7775e-05i,-0.00021134+0.0010257i,-0.00059692+0.0011897i,-0.00015268+0.00088434i,3.1796e-05+0.00048139i,-0.00033897+0.00027364i,-0.0010612+4.2236e-05i,-0.0018299+0.00014845i,-0.0014032+0.00033718i,-0.00068112+9.6654e-05i,-4.8956e-05-0.00047546i,0.00041627-0.00022472i,0.00011733+0.00043187i,1.6275e-05+0.00049224i,0.00033241+0.00035036i,0.00074759+0.00010273i,0.00038806-0.00015355i,-0.00014832-0.0006291i,-0.00079409-0.00062415i
-0.00064835-0.0012551i,-0.0012223-0.00093045i,-0.0023699-0.0016171i,-0.0020278-0.0014741i,-0.00085664-0.00026356i,-0.00030559+0.0012424i,-7.6117e-05+0.0017925i,7.9978e-05+0.0010437i,-0.00047634+0.00039176i,-0.00082622+0.00039357i,-0.0013437-0.00025718i,-0.00081015-0.00063324i,0.00071452-0.00048048i,0.0010376-0.0010988i,0.00040235-0.00095947i,0.0001556-6.7913e-05i,0.00069734+0.000673i,0.00078061+0.00076068i,0.001142+0.00062932i,0.00068892+0.00085871i,-0.00020237+0.00052996i,-0.00092835+0.00051626i,-0.0012878+0.00030808i
-0.00063257-0.0016578i,-0.000798-0.0013137i,-0.00021684-0.001284i,-0.00010486+0.00028741i,-0.00037025+0.0023944i,-0.00026137+0.0029938i,-0.00018253+0.0024713i,-0.00032188+0.0022898i,-0.00029759+0.0018603i,8.4934e-05+0.0012702i,-0.00059116+0.00049818i,-0.00054219-0.00064169i,-9.9375e-05-0.00043157i,-9.6189e-05+0.00026767i,-0.00012333+0.00038077i,-0.00016848+0.00043563i,0.00067262+0.0003722i,0.0013851+0.0002681i,0.0009469-0.00019641i,0.00087767-0.00088604i,0.00069562-0.00025357i,-0.00032535-0.00011491i,-0.00070255-0.00037983i
-0.00046615+0.00070739i,0.0001075+0.00059031i,-0.00053256+0.00060101i,-0.00013094-0.00024093i,0.00058255+0.0007084i,0.0010196+0.0019097i,0.0012718+0.0012939i,0.00078953+0.00076168i,-0.00050869+0.0013208i,-0.00077575+0.0013578i,-1.6171e-05+0.00073907i,0.00039548+0.00016565i,0.00030413-0.0004348i,0.00020723-0.0010854i,0.00056034-0.00072181i,5.3329e-06+0.00034985i,-0.00051802+0.0008203i,-7.2828e-05+0.00040483i,0.00039468+0.0001583i,0.00010865+0.00021952i,0.00045142-0.00010024i,0.00082378-0.00047083i,0.00026427-0.00053856i
0.00013261+0.0020169i,0.00028204+0.002478i,0.00048567+0.0036297i,0.001289+0.0027967i,0.0011401+0.00035485i,-0.00015768-0.00019639i,-0.00075173+0.00081741i,-0.00099372+0.0016045i,-0.0011097+0.0015932i,-0.00065446+0.0012356i,-0.000788+0.0013694i,-0.00072388+0.00034246i,-0.00023396-0.0002339i,-0.00021077+0.00083587i,4.3932e-05+0.0005557i,0.00032706-0.00020178i,0.00023756-0.00030361i,9.0582e-05-0.00023147i,0.00052017-3.5191e-05i,0.00073426-0.00029632i,-1.7533e-06-0.00038522i,0.00019441+0.00021594i,0.00089195+0.0004201i
0.00013334-0.0011949i,-0.00032413-0.0012988i,-0.00068768-0.0016356i,-0.0014943-0.00061022i,-0.0029822+1.1538e-05i,-0.002369+0.00095614i,-0.00086127+0.0015186i,-0.00059408+0.0013602i,-0.00022949+0.0014473i,-0.00021654+0.00089219i,-0.00055614+0.0003269i,-0.00080022+0.00049035i,-0.00065438+0.00022232i,1.6742e-05-0.00032179i,0.00099033-0.00026252i,0.00097856+0.00048871i,0.0010675+0.00058028i,0.0014211+0.00043057i,0.00039181+0.00082706i,-0.00052868+0.00092382i,-0.00066606+0.00048892i,-0.00037552+0.00027504i,-0.00057167+0.0007363i
-3.5233e-05+2.7358e-05i,0.00095778-0.00079534i,0.0018788-0.0014471i,0.00092955-0.0012959i,-0.00048415-0.00076444i,-0.00036236-0.00011815i,0.0002884+0.00057753i,0.00036695+0.00092843i,0.00055831+0.00089636i,0.00015507+0.00037139i,-0.00047707-0.00024526i,-0.00078293-0.00012693i,-0.0001405+0.00020869i,0.00027528+0.00026606i,-0.00044796-0.00029534i,-0.0006727-0.00052265i,-0.00037463-0.00053166i,0.00016758-0.00054016i,-6.7835e-05-0.00035863i,-0.0014202-2.8489e-05i,-0.0013189-6.9263e-05i,-0.00038394-0.00079076i,-0.00021424-0.0010252i
0.001914-0.00043298i,0.001936-7.7234e-06i,0.0011574-8.4799e-05i,-4.6679e-05-0.0013952i,-0.0008441-0.0015064i,-0.0015331-0.00029205i,-0.0018212+0.00066985i,-0.0011806+0.00060432i,-0.00074777+0.00072421i,-0.0003046+0.00094221i,0.00022904+0.00015559i,0.00017643-0.00059229i,5.9218e-05-0.00036647i,0.00015871+1.3906e-05i,-0.00012836-0.000215i,-0.00055543-0.00061401i,-0.00011706-0.00060232i,0.00021284+0.00018758i,-0.00023582+0.00091521i,0.00025445+0.00085267i,0.00029417+0.00027107i,-0.00063207+0.00032468i,-0.0011487+0.00056348i
-6.3377e-05+6.1278e-05i,-0.00069081+0.00055179i,-0.0014185+0.00035747i,-0.0013514+0.00014032i,-0.00045541+0.00010064i,0.00088567+0.0006711i,0.0015573+0.00079822i,0.00065999+0.00078278i,-0.00089576+0.00082845i,-0.0012007+0.00018123i,-0.00052498-0.00040854i,-0.00070883-0.0003643i,-0.00085443-0.00019445i,-0.0001659-0.00053328i,0.0009582-0.00087814i,0.0011694-0.0011074i,0.0008276-0.00092986i,0.00034458-0.00012613i,-0.00022944+0.00052731i,0.00013677+0.00030877i,0.00059636-0.00036997i,0.00033146-0.00086815i,-0.00019511-0.00073627i
-0.0011728-0.00066168i,-0.0018394-0.00015551i,-0.0018889-0.00069354i,-0.0014023+0.00078117i,-0.0001051+0.0016775i,-0.00059373+0.0018847i,-0.00086525+0.0019902i,4.7894e-05+0.0012995i,-0.00023917+0.0002824i,-0.00084416+0.00039703i,-0.0012646+0.00055831i,-0.0010638+0.00024756i,-0.00074632-0.00043086i,-0.00063788-0.0010422i,-3.8786e-05-0.00052861i,1.2789e-05+0.00014133i,-0.0001716+0.00013399i,0.00013709+8.414e-05i,8.4297e-05-0.00019836i,0.00030262-0.00044442i,0.0010097-0.00022575i,0.00078988+0.00013192i,-0.00042481+0.00082807i
-0.00027358-0.00057567i,0.00029144-0.00099309i,-0.00014204-0.0011902i,-0.00046252-0.0007242i,1.2032e-05+0.00070052i,-7.0773e-05+0.00096565i,0.00018444+0.001512i,0.00012182+0.0018191i,-0.00044828+0.0013717i,-0.00031508+0.00096896i,-0.00046624+0.00016501i,-0.00040729-1.4834e-05i,0.00021384+0.00016528i,0.0002243+0.00050592i,0.00051888+0.00059492i,0.0010884+6.6451e-05i,0.0008952-7.1255e-05i,0.00019252+0.00049598i,-0.00047217+0.00091203i,0.00011982+0.00095981i,0.00039912+0.00094722i,-8.4663e-05+0.00043718i,0.00015145-4.2776e-05i
0.0012048+4.0124e-05i,0.00032766-0.00014805i,0.00015631+7.6002e-05i,-0.00015744+0.000881i,-0.00015381+0.00079269i,0.00017427+0.00029108i,0.00018678+0.00043609i,0.00037005+0.0001665i,0.00012507+5.7627e-05i,-0.00069729+3.2293e-05i,-0.00033233-0.00013635i,5.4784e-05+0.00038052i,6.4563e-05+0.00046496i,-4.9671e-05+0.00029564i,-0.0011476+0.00056479i,-0.0014199+0.0010415i,-0.00038484+0.00029396i,0.0007812-0.00041084i,0.00060777-0.00015617i,0.00022097+0.00020499i,5.3851e-05-0.00027507i,0.00053867-0.0010375i,0.0010907-0.00031964i
0.00093205-0.00052131i,0.0007154-0.0010197i,-0.00021934-0.0021997i,-0.0009126-0.0023299i,-0.00123-0.00065479i,-0.0017991+0.00093628i,-0.0019011+0.0011017i,-0.0013031+0.001274i,-0.00070018+0.00084178i,-0.00018176+0.00055997i,6.5658e-06+0.0012788i,-4.2977e-05+0.00075677i,8.7622e-05+0.0005564i,0.00013832+0.0004917i,0.00043367-0.00016182i,0.0010535-0.00029719i,0.00092563-0.00047347i,0.00056343-0.00065309i,0.00080769-0.0001164i,0.00039389+9.9966e-05i,-0.00069001+0.00018032i,-0.001299+0.00054096i,-0.00058754+0.00048624i
-0.00098001-0.00085977i,-0.0023738-0.00065033i,-0.0025026-0.00077367i,-0.00096026-0.00058425i,-7.606e-05-0.00040286i,-0.00043387+0.00090447i,-0.00074407+0.0023192i,-0.001215+0.0019524i,-0.0018972+0.0014304i,-0.0018691+0.0010957i,-0.0013586+0.00018558i,-0.0010227-0.00027524i,-0.00089674-0.00010469i,-0.00066044-0.0006699i,-0.00019276-0.0010859i,-4.19e-05-0.00071077i,0.0001372+0.00030141i,0.00055469+0.0009941i,0.00087113+0.00021547i,0.00089743-0.00031967i,0.00070035+0.00018094i,0.00088646+0.00023027i,0.00065696-0.00034355i
-2.8393e-05-0.0019557i,0.00039852-0.0019526i,0.00054815-0.0010056i,0.00079902-0.00025501i,0.00083614+5.5117e-05i,0.0010239+0.00022416i,0.0012481+0.00058193i,0.00065354+0.00068503i,-0.00054159+0.00092297i,-0.0011009+0.001047i,-0.0007752+0.00036554i,-0.00014447-0.00087718i,0.00065112-0.0016306i,0.0013281-0.0013832i,0.0015978-0.0010264i,0.00099413-0.00052979i,0.00045534-0.00080087i,0.00067963-0.00071744i,0.001116-0.00028316i,0.00075288-0.00022947i,0.0001035-0.0001088i,-0.00021708+0.00018162i,-0.00075506+0.00053053i
4.5274e-05+0.001266i,-5.0986e-05+0.0015155i,-0.00051895+0.00094034i,-0.00035679+0.00024608i,0.00076305+0.00049178i,0.00019366+0.0006056i,-0.00040283+0.00039904i,-0.00030181+0.00072166i,-0.00067884+0.0019782i,-0.00065168+0.0021805i,-0.00065067+0.00084299i,-0.0015087+2.6239e-06i,-0.0016133-0.00054578i,-0.00044224-0.00049603i,0.00021714-0.00020325i,0.00026789-0.00065336i,0.00066711-0.00077611i,0.00131-0.00089843i,0.0012378-0.0010877i,0.00086974-0.0010213i,0.00017034-0.00075771i,-0.00078425+6.2841e-05i,-0.0006495-3.2788e-05i
0.00021142-0.0015136i,-0.00012469-0.0019704i,-0.00057661-0.0031073i,-0.0012303-0.0023449i,-0.0013014-0.00061889i,-0.001509+0.00070431i,-0.00081671+0.00149i,-0.0002769+0.00098967i,-0.001273+0.0005743i,-0.0015545+0.00061658i,-0.00097625+0.00027825i,-0.0016991-0.00022866i,-0.0023071-2.7705e-05i,-0.0014202+0.00018014i,-0.00071846-0.00022777i,-0.00078434-0.00023745i,-0.00082725+8.753e-05i,-0.00055143+0.00017929i,-0.00033451+0.00024651i,-2.3433e-05+0.00019599i,0.00030452-0.00027366i,0.00046404-0.00080664i,0.00051071-0.00067019i
0.00093341-0.00056931i,0.00073929+0.00026241i,0.00012218-0.00064704i,-5.5882e-05-0.0020618i,-0.00094538-0.0011112i,-0.0012847+0.00089652i,-7.8807e-05+0.0019238i,0.00021187+0.0020306i,9.7092e-05+0.001404i,-0.00021777+0.00075933i,-0.00051216+0.00010046i,-0.0003082-0.0001662i,-0.00048006+0.0003396i,-0.00015205+0.00029902i,0.00052552+0.0003325i,0.00099132+0.00032766i,0.00093631-5.4712e-05i,0.00040181+0.00029671i,0.00043871+0.00072427i,0.00029948+0.00061549i,3.4423e-05+0.00016822i,0.00033319-1.9376e-06i,0.00054315-0.00021174i
0.00052133-0.0012235i,0.00029057+2.0924e-05i,-0.00027777+0.001015i,-0.00051942+0.0007896i,-0.00053356+0.00082426i,-0.00039043+0.0013581i,-0.00013238+0.0016591i,0.00086955+0.0017781i,0.00036023+0.001266i,-0.00068168+0.00069703i,-0.00012532-2.4612e-05i,0.00037065-0.00035602i,0.00024815+0.00023611i,3.934e-05+0.0009429i,-0.00063979+0.00022782i,-0.00045053-0.00095591i,-0.00022194-0.00068825i,0.00019011-0.00051612i,0.00012899-0.000719i,-0.0004579-0.00028373i,-0.00063537-0.0002147i,-0.00053899-0.00047214i,-0.00040297-0.00043948i
-0.0011255+0.0023415i,0.0001152+0.0020588i,0.0010956+0.0024687i,0.0013606+0.0022295i,0.0020782+0.001698i,0.0012888+0.0011224i,-5.1788e-05+0.0012445i,-1.9063e-05+0.001312i,-0.00020211+0.0011523i,-0.00098936+0.00046791i,-0.0007977-0.00019599i,0.00018186-0.00076097i,0.0010087-0.00036743i,0.00066481+0.0002411i,0.00040481-0.00024568i,0.00054658-0.00042853i,-8.4941e-05+0.00038693i,-0.00025623+0.0010106i,0.00037106+0.0015744i,0.0010063+0.0010525i,0.0010972+0.00038122i,0.00071671-0.00012294i,0.0001937-0.00046523i
-0.00054257+4.8973e-05i,-0.00089186-0.00016317i,0.00025963-1.8168e-05i,0.00076947+0.00031691i,0.00012253+0.0011898i,-0.0004222+0.0018677i,-0.00047153+0.0020154i,-0.00051149+0.001382i,-0.00043083+0.00050809i,-0.00064988-0.00010183i,-0.00099995-0.0011636i,-0.0011584-0.0015502i,-0.0010535-0.00078465i,-0.00041739-0.00034302i,0.00046971-0.00062052i,0.00077841-0.00050522i,0.00062506-5.3541e-05i,0.00035262-2.3911e-05i,-0.00064771+0.00016004i,-0.00053394-9.083e-05i,0.00014588+0.00033735i,0.00021838+0.00013447i,-0.00012133-0.00065509i
0.00059746+0.001071i,0.00077889+0.00094932i,6.7123e-05+0.0011896i,0.00021176+0.00093418i,0.00010299+0.00026178i,-0.00026064+0.00031116i,7.2488e-05+0.00030284i,0.0001488+0.00042254i,-0.00049903+0.00071593i,-0.00068234+0.00065809i,-0.00078858+0.00042096i,-0.0015295+0.00023029i,-0.0022316-8.1852e-05i,-0.0012248-0.00013108i,0.00017763-1.9059e-05i,0.00048405-0.00010746i,0.00043706-0.00025554i,0.0001138-0.00039542i,8.7157e-05-0.00025875i,0.00050995+0.00023631i,0.00036461+2.5044e-05i,-0.00015287+0.0001104i,-0.00033795-9.7718e-05i
0.00068353+0.0001278i,0.0013962-0.00022729i,0.00097867-0.00092867i,0.00045457-0.0013472i,-2.2362e-06-0.00082309i,-0.00030363-3.1692e-05i,0.00094723+0.00039424i,0.0013611+0.00027491i,0.00031811+0.00032034i,-0.00076992+0.0007375i,-0.001307+0.00083886i,-0.0012915+0.00054478i,-0.00079074+0.00020247i,-0.00035397+0.00014174i,-0.00019568+0.00025125i,-0.00025039+0.00044557i,-4.8348e-05+0.0004369i,0.00077814+1.1857e-05i,0.0013711+0.00033491i,0.0005854+0.00058333i,-0.00039865+0.00014384i,-0.00027457-0.00026687i,-0.00059387-5.3474e-05i
0.00066666+0.0019692i,0.0012573+0.0020863i,0.0013627+0.0017088i,0.0014889+0.001002i,0.000827+0.00035033i,-4.9632e-05-5.3971e-05i,-0.00057796+0.00071881i,-0.00096544+0.0017i,-0.0014563+0.0016049i,-0.0012177+0.0012934i,-0.00022222+0.00037825i,0.00042568-1.9921e-06i,0.00032832+0.00045817i,2.7244e-05+0.0003932i,-0.00014753+0.00053261i,0.00023778+0.00067707i,0.0007652+0.0010082i,4.6835e-05+0.00071621i,-4.2305e-07+0.00016572i,0.00052578-0.00015778i,6.9917e-05-0.00032269i,-0.00054015-0.00068421i,-0.0010575-0.0010564i
-0.00084892-0.00095865i,-0.00069324-0.0018052i,-0.0005594-0.002363i,-0.00062749-0.00082776i,-0.0021538+0.00015574i,-0.0021556+0.00031022i,-0.00032853+0.0011353i,0.00037986+0.0013015i,-6.8423e-05+0.00077297i,-0.00022797+0.00065705i,-0.00028924+0.00051949i,-0.00055314+0.00018155i,-0.00083175+0.00024881i,-0.00024053+0.00025423i,0.00050213-3.4221e-05i,0.00061155-0.00037741i,6.7051e-05+0.00040801i,-2.3584e-05+0.00085841i,-0.00016001+0.00052052i,-0.00031647+0.00084645i,0.00014901+0.00072654i,6.9298e-05+0.00039122i,-0.00036933+0.00031473i
0.002218-0.0020612i,0.001487-0.0022285i,0.0012329-0.0027923i,0.0010383-0.0023249i,-0.00062028+0.00011283i,-0.0016089+0.0014938i,-0.00014888+0.0013903i,0.0011868+0.001393i,0.00087085+0.00095773i,-0.00059001+9.6307e-05i,-0.00082703-0.00050837i,-0.00044388-0.00087974i,-0.0010798-0.0004084i,-0.0012627+0.00021456i,-0.00080447-0.00026245i,-0.00051391-0.00052499i,-0.00045488+0.00010064i,-0.00027615+0.00014205i,-0.00041224+0.00015621i,-0.00089441+0.00048644i,-0.00053399-0.00022348i,-0.00039333-0.00073607i,-2.2419e-05-0.00037273i
-0.0017414-0.00023301i,-0.0017373-0.0002609i,-0.0021976-0.00079922i,-0.001432-0.00021219i,5.1565e-05+0.00090451i,0.0001106+0.00076376i,-0.00062192+9.0428e-05i,-0.00055135+0.00029913i,-0.00079417-2.4992e-05i,-0.0015722-0.00016852i,-0.0018876+8.2382e-05i,-0.0016556+0.00023585i,-0.00073456+0.00024836i,-0.00028087+0.0003771i,-0.00072294+0.00040484i,-0.00077141+5.8392e-05i,0.00042296-7.9179e-05i,0.001095+0.00065673i,0.00099779+0.00089713i,0.0011029+0.00077921i,0.00058071+0.0013575i,-0.00068697+0.0013247i,-0.0008384+0.00021717i
-4.3868e-05+0.00085627i,0.0010054+0.00095965i,0.00017073-0.00013604i,-0.00012028-0.00040216i,-6.7027e-05+0.0003106i,-0.00053063+0.00080325i,-0.00049522+0.0006799i,-0.00035099-0.00028616i,-0.00083208-0.00086323i,-0.0012214-0.00013807i,-0.0022719+0.00076651i,-0.0024219+0.00076285i,-0.0021688+0.0013399i,-0.0012998+0.0010333i,0.00039398+5.3645e-06i,0.00086516-0.00023357i,0.00095968-0.00063376i,0.001324-0.00017896i,0.0013727+4.2268e-05i,0.0013039+7.4408e-05i,0.00097247-2.1215e-05i,0.0009522-0.00053545i,0.00057637-0.001031i
-0.0011611-0.00093653i,-0.0015806-7.9777e-05i,-0.0017981-9.5135e-05i,-0.0012017-0.00040788i,-0.00042876-0.00043695i,0.00034107-0.00036349i,0.00031272-0.0008546i,-0.0003459-0.0017796i,-0.0014019-0.0021543i,-0.002582-0.0015201i,-0.0021905-0.00044595i,-0.0018772+0.00053587i,-0.0021338+0.00029203i,-0.00056275+0.00068279i,0.0014551+0.00036317i,0.0025711-0.00068336i,0.0018094-0.00069791i,0.00064548-0.00092503i,0.00041305-0.00075482i,-0.0003166-0.00075243i,-0.00049667-0.00069815i,-0.00077925-0.00044907i,-0.00050329+7.9235e-06i
0.0017656-0.00018637i,0.0015162-0.0012092i,0.0017808-0.00030429i,0.0014219+0.00011855i,0.00055146-5.4886e-05i,-0.00046466+0.001185i,-0.0011161+0.0031495i,0.00015083+0.0043185i,0.0016759+0.0042143i,0.0022276+0.002847i,0.0026812+0.0015124i,0.0016582+0.0001412i,0.00021651-0.0009491i,-0.00053067-0.00086021i,-0.0005426-0.0011578i,0.000101-0.0012209i,0.00050407-6.6485e-05i,0.0003676-2.0056e-05i,3.0295e-05-0.0006568i,-0.00024091-0.00022751i,-8.7067e-05-7.8922e-06i,0.0004995+0.00038656i,0.00012061+0.00075343i
