-0.0011329+0.0014684i,-0.00097556+0.0020008i,-0.00045226+0.0019363i,0.00017113+0.0014354i,0.00083417+0.00048849i,0.0014048-0.00041719i,0.001147-1.7327e-05i,0.00042755+0.00043893i,-5.5348e-05-0.00025573i,-0.00037989-0.00091226i,-0.00046379-0.00088471i,-0.00072919-0.00096429i,-0.00029737-0.00038799i,0.00043022+8.0248e-05i,-0.00014723-0.00031524i,-0.0003148-0.00057489i,0.00041188-9.8502e-05i,-7.1067e-05-0.00025606i,-7.9015e-05-0.00072713i,0.00070019+0.00020607i,0.00072699+0.00077871i,0.00024294+0.00034205i,0.00017249+0.00013027i
-0.0013225+0.0013604i,-0.00054468+0.000227i,0.00052772-0.00034558i,0.00024514-0.0011621i,-0.00012514-0.00083495i,-0.00040634+0.00055444i,-0.00075973+0.001403i,-0.0011323+0.0016042i,-0.00097852+0.0010617i,0.00013001+0.00021359i,0.0009119-0.00045414i,0.00035562+2.2209e-05i,-0.00030775+0.00015417i,-0.00025985-0.00015618i,-0.00030878+6.9113e-05i,-0.00015508+0.00071355i,0.00027341-7.4096e-05i,0.00068539-0.0010836i,0.001354-0.00046785i,0.0013969+0.00010044i,0.0010331+0.0004508i,0.00025662+0.00093044i,-0.00018486+0.00046679i
-0.00093927-0.0017139i,-0.00063507-0.0017312i,-0.00018554-0.0017924i,0.00030605-0.0014073i,0.00013526-0.00015796i,0.00018405+0.0011773i,0.00041804+0.0015741i,0.00038264+0.00093216i,9.9989e-05+0.00056637i,0.0005931+0.00020891i,0.00079908-0.00044686i,4.467e-05-0.0010653i,-0.00027304-0.0009276i,0.00029877+0.00036057i,0.00051521+0.00071868i,0.00014322-0.0001705i,0.00021961-0.00024942i,0.00027282-0.00014738i,0.0004415-9.8e-05i,0.00024808+0.00048181i,-0.00021317+0.00089082i,-0.00021563+0.00065776i,8.0914e-05+0.0007461i
-0.0014126+0.0011962i,-0.00031302+0.0015273i,0.00064239+0.001215i,0.00070388+0.00095828i,0.0010572+0.00082969i,0.0010453+0.00062111i,0.0004852+0.00031171i,-0.00018538+4.5708e-05i,-0.0006587+0.00020708i,-0.00063726+0.00063888i,-0.00031158+0.00010387i,-0.00011617-0.00066837i,-0.00039325-0.00088271i,-0.0009753-0.00082768i,-0.00095342-0.00070267i,-0.00046635-0.00039125i,-0.00010159+0.00092932i,0.00053639+0.00099922i,0.0004375+0.00035614i,-2.3334e-05-0.00015481i,-0.00022151-0.00036311i,-0.00045627-1.0664e-05i,-0.00012765+0.00026502i
-0.00048514+0.0030312i,-0.00013905+0.0028479i,0.0015727+0.00090919i,0.0015955-0.00088061i,0.0012713-0.00088794i,0.00069133+0.00068617i,-0.00058489+0.0011531i,-0.00045335+0.0002662i,0.00018021+6.0909e-05i,-0.00065516-0.00033107i,-0.0012674-0.0011916i,-0.0010894-0.0017775i,-0.00095648-0.0017868i,-0.00064772-0.00089398i,-0.00074682-0.00014894i,-0.00067272+5.1019e-05i,0.00022011+0.00033945i,0.00072835+0.00018791i,0.00056545-0.00026825i,-7.3134e-06-0.00044932i,6.6284e-05-0.00050897i,0.0002051-0.00028519i,-0.0001114+0.00026508i
-0.00092937+0.00091662i,-0.00062537+0.0005593i,0.00067156-0.00013082i,0.0004608-0.00042556i,-0.00048851+0.00014565i,-0.00070656+0.00061555i,-0.00017888+0.00058989i,-0.00068789+0.00083963i,-0.00055119+0.00043583i,0.00041278-5.9956e-05i,0.00018793-0.0002238i,-0.00050725-0.00055653i,-0.00039375-0.00045881i,0.00031658-6.9376e-05i,3.7172e-05+0.00056274i,-6.1971e-05-0.00019196i,0.00022304-0.0012454i,0.00021774-0.001227i,0.00035242-0.00037977i,6.1404e-05-0.00010197i,-0.00017056-0.00018792i,6.3927e-06+0.00010063i,0.00030292+0.00023518i
-3.6682e-05-0.00026187i,0.00011894-0.00028644i,0.0002984-0.00040628i,0.00098994-0.00055622i,0.00040829-0.00019461i,-6.5199e-05+0.00070484i,-0.00031362+0.00063119i,-0.0003964+5.4998e-05i,0.00023516+0.00010501i,-0.00022974-0.0003692i,-3.4618e-05-0.0011876i,0.00067097-0.0010561i,0.00016881-0.00035041i,-2.214e-05+0.00034264i,-0.00035591+0.00032002i,-0.00038994+0.00029554i,0.00087991+0.00017166i,0.0012458-0.00046938i,0.00029837-0.00052662i,-3.5026e-05-0.00067316i,-0.00043256-0.00046286i,-0.00067035-0.00039313i,-0.00014351-0.00087423i
-0.00029066+0.0023914i,0.00068718+0.0016183i,0.0017593+0.0011636i,0.0018251+0.00020279i,0.0007146-0.00056023i,8.8084e-05-0.0002282i,0.00015683+0.00066889i,0.00011099+0.00089131i,0.00022341-0.00064611i,0.00057892-0.0018935i,0.00017462-0.001486i,0.00010227-0.0010182i,0.00034218-0.00031011i,-2.6912e-05+0.00032176i,-0.00085074+0.00021195i,-0.001742-0.00024012i,-0.00096253+0.00010244i,0.00021585+0.00098004i,0.00053404+0.00094877i,0.0010294+0.00053748i,0.0006791+0.00053892i,-9.8945e-05+0.00015528i,3.1115e-06-0.00018667i
-0.00030334+0.0008572i,-0.00013144+0.00039129i,0.00065072-6.2269e-05i,0.00090512-0.00022471i,0.00046275+0.00040267i,0.00041836+0.0012309i,0.00020431+0.001149i,-0.00038311+0.00029758i,-0.0007987-0.00014644i,-0.00082193-0.0001473i,-0.0003824-0.00011492i,-0.00040605-4.1429e-05i,-0.00089303+0.0003418i,-0.00072455+0.00012644i,-0.00073776-0.00055827i,-0.00041882-0.00069992i,3.5082e-05+0.00024884i,0.00031621+0.00082149i,0.00093514+0.00096278i,0.00071599+0.0008725i,-0.00024515+0.00069743i,-0.00034303+0.00033044i,-0.00038696-5.9148e-05i
-0.00091798-0.0010767i,-0.0011614-0.0010714i,-0.0016315-0.00136i,-0.0019307-0.0012441i,-0.0013171-0.00040365i,-0.00063422+0.0010791i,0.00010003+0.001322i,0.00060279+0.00075853i,0.00092314+0.00096303i,0.00050114+0.00043021i,-0.00026088+0.0001213i,-0.00025572-0.00040284i,0.00040984-0.00050454i,0.00070917+0.00032416i,0.00028542+0.00089514i,-0.00020921+0.0013756i,0.00020636+0.001168i,0.00078444+0.00028726i,0.00022846+0.00022769i,-0.0010254+0.0002507i,-0.00077558-0.00071216i,-0.00057592-0.00099742i,-0.00044565-0.00061056i
