-0.003568+7.5957e-05i,-0.0023353+0.00071392i,-0.00078903+0.00019582i,0.00020964+0.00034014i,9.6953e-05+0.0016345i,-0.00014605+0.0022699i,-0.00045455+0.0016934i,-0.00029502+0.00074548i,0.00052488-0.00056809i,0.00041838-0.0007709i,-0.00026047-0.00085831i,-0.00059277-0.00076191i,-0.0008377-5.8016e-05i,-0.00062146+0.00032438i,-0.00022056+0.00020072i,0.00033551-3.2712e-05i,0.000236+0.0001638i,-8.6273e-05+0.00031405i,0.0002424+0.0002418i,0.0010797-4.9027e-05i,0.0008984-0.00038122i,0.00010646+0.0001813i,-1.258e-05+0.00038911i
-0.01635+0.040307i,-0.008262+0.030379i,-0.0053848+0.015768i,-0.001539+0.010304i,0.0029063+0.0086076i,0.0061915+0.0056398i,0.0067392+0.0016851i,0.0036451-0.00099264i,0.00095722-0.0015095i,0.00094128-0.0025556i,0.00085872-0.0030908i,-0.00055513-0.0023935i,-0.0015552-0.0018783i,-0.00089203-0.00099384i,0.00054778-0.00087763i,0.0014269-0.0015374i,0.0015299-0.0016098i,0.0011688-0.0016584i,0.00069086-0.0023943i,-9.301e-05-0.002783i,-0.00039072-0.0024319i,7.5112e-05-0.0022777i,0.00017748-0.001973i
0.043951+0.003629i,0.031643-0.0024853i,0.014919-0.002587i,0.0073564-0.0034601i,0.0062068-0.005045i,0.0036911-0.0060167i,-5.0244e-05-0.0051579i,-0.00173-0.0027044i,-0.0021432-0.00084749i,-0.0028031-0.00026887i,-0.002698-6.2139e-05i,-0.0019697+0.001003i,-0.0016889+0.0019875i,-0.0016011+0.00098332i,-0.001224-0.0013377i,-0.00038471-0.0025695i,-0.00035892-0.001642i,-0.002034-0.00094443i,-0.0027796-0.00057107i,-0.0017618+1.1778e-05i,-0.0019837-0.00041642i,-0.0026902-0.00021477i,-0.0022183-3.0603e-06i
-0.014827-0.043349i,-0.016764-0.031051i,-0.0092854-0.015712i,-0.0073605-0.0074779i,-0.0082424-0.0035926i,-0.0065375-3.8037e-05i,-0.0039951+0.0023278i,-0.0018345+0.0024598i,-0.00043913+0.001336i,3.2405e-05+0.0013779i,0.00097501+0.0024797i,0.0021287+0.0028767i,0.0015755+0.0018892i,0.00013529+0.0011377i,-0.00088605+0.0014683i,-0.0012832+0.0011236i,-0.0015609+0.00075514i,-0.0016992+0.0016553i,-0.00037698+0.00283i,0.00093564+0.0024619i,0.00064302+0.0020825i,0.00032378+0.0024657i,0.0011386+0.0021369i
-0.037436+0.022785i,-0.026224+0.023264i,-0.014733+0.01367i,-0.0075846+0.0088693i,-0.0028019+0.0085923i,0.0010148+0.0069018i,0.0031816+0.002667i,0.002593-0.0010771i,0.0012818-0.0015839i,0.0013562-0.0007406i,0.0025308-0.0013433i,0.0022559-0.0023919i,0.00063542-0.0020219i,0.00073716-0.00045774i,0.0015976+0.00071932i,0.0016643+0.0011008i,0.0016003+0.0007984i,0.0016629+4.1555e-05i,0.0021444-0.0012162i,0.0017762-0.0021075i,0.00060555-0.0021623i,0.00034176-0.0023833i,0.00047186-0.0019826i
0.037693+0.026147i,0.033329+0.014829i,0.017571+0.007729i,0.0096383+0.0036961i,0.0074381-0.00042017i,0.0053128-0.0031317i,0.0021636-0.003794i,-0.00052342-0.0020589i,-0.0011593-0.00016024i,-0.0012259-0.00054533i,-0.0013671-0.00096508i,-0.0016035+1.4854e-05i,-0.0018479+0.00063063i,-0.0010414-0.00024988i,-0.00010367-0.0015909i,-6.7874e-05-0.0019935i,-0.00024182-0.0019263i,-0.00075712-0.002056i,-0.0017349-0.0022885i,-0.0024773-0.00098597i,-0.001722-0.00073317i,-0.0014005-0.00098589i,-0.0017773-0.0001633i
0.012147-0.040927i,0.0028832-0.036025i,0.00036525-0.020995i,-0.0011397-0.013347i,-0.0027643-0.0080762i,-0.0028567-0.0028162i,-0.0017893+0.0005558i,-3.4157e-05+0.0024196i,0.0017269+0.0024496i,0.0015376+0.0022429i,1.0219e-05+0.0026122i,-0.00065533+0.0026491i,-0.00050278+0.001325i,-0.001146-7.766e-05i,-0.0020208-3.2679e-05i,-0.0019215+0.0009313i,-0.0017415+0.0010108i,-0.0018412+0.001706i,-0.002337+0.0027817i,-0.0016589+0.0030886i,0.00039671+0.0025855i,0.0014572+0.0019711i,0.00093989+0.0010079i
-0.043892+0.0022457i,-0.035358+0.0093474i,-0.019598+0.0064677i,-0.010488+0.0039663i,-0.0060957+0.0040783i,-0.002695+0.0034202i,-0.00033434+0.0018783i,0.00070334-0.00040098i,0.00037366-0.0017849i,0.0011699-0.00077194i,0.0021037+0.00022928i,0.0018462-0.0002669i,0.001064-0.0009217i,0.0002713+9.5379e-05i,0.00045963+0.0014982i,0.00093303+0.0016016i,0.0011858+0.0015648i,0.001947+0.00090379i,0.0032012-0.00036957i,0.0037041-0.00052324i,0.0036064-0.00059601i,0.0028828-0.0014354i,0.0016981-0.0018765i
0.017012+0.041415i,0.020856+0.032473i,0.012247+0.018806i,0.0069816+0.011206i,0.0060788+0.0061724i,0.0043702+0.0021689i,0.0018412-9.9862e-05i,-0.00050322-0.0013137i,-0.0015712-0.00030231i,-0.0011156-5.0387e-05i,-0.00095862-0.0016318i,-0.0018438-0.0012853i,-0.0017345-6.6771e-06i,2.7194e-06-0.00032916i,0.001526-0.0016555i,0.0014014-0.0026818i,0.0002066-0.0021922i,-0.00054927-0.002017i,-0.001704-0.0030758i,-0.0024038-0.00298i,-0.0015803-0.0022474i,-0.0013682-0.001627i,-0.0018752-0.0012603i
0.028304-0.028864i,0.020056-0.030781i,0.011257-0.018432i,0.0068139-0.010293i,0.0030378-0.0061319i,0.00086428-0.0025996i,5.9157e-05+9.1819e-05i,0.00030588+0.0021863i,0.001415+0.0025636i,0.0012578+0.0020404i,8.6596e-05+0.0023122i,-0.00020646+0.001914i,-0.00031502+0.00044024i,-0.0016139-0.00084889i,-0.0021618-0.0010174i,-0.0026511-0.00023369i,-0.0029366+0.00012334i,-0.0024233+0.00047937i,-0.0017682+0.0013638i,-0.00093653+0.001527i,-0.00033136+0.0010797i,0.00014853+0.0013597i,0.00046537+0.001357i
-0.036571-0.019994i,-0.035051-0.011106i,-0.01939-0.0057115i,-0.0098932-0.0036434i,-0.006846-0.0019243i,-0.0029784-0.00053808i,0.0012069-0.00019707i,0.0024603-0.0018675i,0.0019243-0.0033747i,0.0017704-0.0030233i,0.0010507-0.0012493i,6.6528e-05+0.00011519i,-0.00012929+0.0012499i,-0.00055608+0.0022599i,-0.000851+0.0021318i,0.00027291+0.0019683i,0.00096987+0.0017793i,0.00075123+0.001224i,0.0017753+0.00040243i,0.0021307-0.00076983i,0.0010197-0.0011698i,0.0010964-0.00094135i,0.0011589-0.001654i
-0.0023533+0.040574i,0.0040487+0.037567i,0.0016063+0.021453i,-0.00045775+0.012122i,0.00053884+0.0079883i,0.00098231+0.0029729i,0.00032579-0.0010439i,-0.0016159-0.0023413i,-0.0033535-0.0013382i,-0.002968-0.00053945i,-0.0011317-0.00090021i,0.00021854-0.00028092i,0.00073298+0.00059869i,0.0015634+0.0005383i,0.0022729+0.00022744i,0.0020128-0.00052132i,0.0011472-0.00098109i,0.00024869-0.0010774i,0.00026851-0.0016234i,0.00043527-0.00194i,0.00036746-0.0020674i,-0.00046082-0.0012944i,-0.0014292-0.00071924i
0.034921-0.0066618i,0.031604-0.01411i,0.017582-0.0083976i,0.0093638-0.001984i,0.0044923+5.6304e-05i,0.00088278+0.0021232i,-0.00046794+0.003278i,-0.00057796+0.0036385i,0.00082962+0.0040035i,0.0016936+0.0032215i,0.00042302+0.0014451i,-0.00044786+0.00070004i,-0.00014592+1.0487e-05i,5.4194e-06-0.0012249i,-0.00072318-0.0021841i,-0.0016292-0.0017204i,-0.0017258-0.00065247i,-0.0018016-3.7929e-06i,-0.0016577+0.00040707i,-0.0008469+0.00040345i,-0.00089781+0.00028547i,-0.001182+0.0011307i,-0.00051216+0.0018091i
-0.026566-0.030795i,-0.03056-0.024596i,-0.017985-0.012748i,-0.0076061-0.0063137i,-0.0036991-0.0016365i,0.00035044+0.0014584i,0.003368+0.0010546i,0.0046742-0.0006484i,0.0051364-0.0025577i,0.0041214-0.0026165i,0.0025482-0.00061083i,0.0011884+0.00078508i,-0.0003328+0.00036826i,-0.0023599+0.00011216i,-0.0027705+0.00012741i,-0.0014971+6.9287e-05i,-0.00045084+0.00092193i,0.00017019+0.00088475i,0.00087666+0.00020058i,0.00085044+0.00016973i,0.00034894+0.00018076i,0.00069968+0.00012877i,0.0012946-0.00017681i
-0.017282+0.030652i,-0.010827+0.034395i,-0.0046594+0.020113i,-0.00379+0.0080259i,-0.0017084+0.002508i,1.9901e-05-0.0015039i,-0.000585-0.0044158i,-0.001983-0.0057486i,-0.003233-0.004964i,-0.0024869-0.0024807i,-0.00061699-0.00049163i,-9.3409e-05+0.00026401i,-0.00012765+0.0011929i,1.3684e-05+0.0015854i,9.2939e-05+0.0010423i,0.00096411+0.00048822i,0.00064335-0.00027538i,0.00081792-0.0010714i,0.001811-0.0014798i,0.001022-0.0013848i,0.00067968-0.00071567i,0.0010057-0.0013561i,-4.3419e-07-0.0021367i
0.041211+0.0085099i,0.041198+0.00020535i,0.024325-0.0023386i,0.010915-0.00034691i,0.0038075-0.0011152i,-0.001929-0.0012689i,-0.0043389+0.00082687i,-0.0043011+0.0025077i,-0.0019933+0.0034576i,0.00054275+0.0031487i,0.00063101+0.001794i,-0.00010599+0.00021551i,0.00026399-0.00041014i,0.00024597-0.0005714i,7.0524e-05-0.00096009i,0.00031826-0.0012508i,-0.00016568-0.00088952i,-0.00069901-0.00086249i,-0.0007308-0.0010263i,-0.00093793-0.00067465i,-0.0011695-0.00076753i,-0.0014879-0.00067577i,-0.0022571+5.1049e-06i
-0.004812-0.037398i,-0.013952-0.036436i,-0.010171-0.020475i,-0.0032406-0.0089631i,-0.0019244-0.0020197i,-6.4939e-05+0.0039847i,0.0029541+0.0055163i,0.0046475+0.0032171i,0.0052395+3.4146e-05i,0.0037943-0.0018i,0.0019548-0.0012529i,0.0013367+0.00017149i,-0.00016525+0.00034701i,-0.001528-0.00044733i,-0.00088756-0.0010383i,-0.00032043-0.00052768i,0.00016891+4.7961e-05i,0.00044878+0.00032738i,0.00069234+0.00067513i,0.000181+0.0003104i,-0.00050367-0.00037977i,-8.1372e-05+0.00033543i,0.00026513+0.00059348i
-0.032468+0.023186i,-0.027216+0.027381i,-0.013886+0.01751i,-0.0055876+0.0075371i,0.00016183+0.0037795i,0.0042976-0.00049969i,0.005375-0.0042161i,0.0031995-0.006025i,-0.0004021-0.0056183i,-0.0026914-0.003432i,-0.0022841-0.0012971i,-0.00039866-8.5349e-05i,0.00019362-0.00015609i,-0.00027076-0.00049382i,-0.00069896-0.00030927i,-0.00034956-0.00017983i,5.3187e-05-0.00091655i,0.00054425-0.0017932i,0.0012132-0.0013809i,0.00082322-0.00056673i,0.00081684+0.0001674i,0.0011052-0.00066416i,0.0010884-0.0014121i
0.03014+0.024868i,0.035164+0.021298i,0.021663+0.010473i,0.0087179+0.0045686i,0.0042244-8.0409e-05i,0.00015502-0.0038496i,-0.0043876-0.0044277i,-0.006131-0.0016678i,-0.0048621+0.0018145i,-0.0017775+0.0020881i,0.00096666+0.00094742i,0.00061386+0.00097088i,0.00014758+0.00044578i,0.00081323+0.00012773i,0.00081064+0.00042348i,0.00062087-0.00021359i,0.00050189-0.00034622i,0.00012038-0.000634i,-0.00050151-0.0011071i,-0.00057886-0.00081941i,-0.00034534-0.00091055i,-0.00060592-0.00038502i,-0.00096386+0.00032522i
0.0097199-0.043006i,0.0032328-0.045234i,-0.0014142-0.026863i,-0.0011697-0.010856i,-0.0037465-0.0034416i,-0.0052897+0.002608i,-0.0026543+0.0069704i,0.00090871+0.0067452i,0.0030015+0.0037497i,0.0031605+0.0003846i,0.0016194-0.0016154i,-3.8002e-06-0.0014735i,-0.00057702-0.0012041i,-0.00090404-0.00078561i,7.9629e-05-0.00019414i,0.0008781+0.00028077i,0.00050518+0.00058381i,6.7099e-05+0.00064865i,0.0001512+0.00057746i,1.5386e-05+4.7784e-05i,-0.00079047-0.0002086i,-0.00076647+0.00062429i,0.00038087+0.0010957i
-0.039177+0.0037059i,-0.040588+0.0095709i,-0.024463+0.0099848i,-0.0098101+0.0053147i,-0.0020334+0.0051326i,0.0051679+0.0049018i,0.0083814+0.0011574i,0.0066069-0.0022511i,0.0030882-0.0037918i,-0.00021438-0.0028568i,-0.0014609-0.0010283i,-0.0016571+0.00051472i,-0.0012435+0.00045848i,-0.0004529-0.00069508i,-0.00061727-0.0014946i,-0.0010447-0.0013362i,-0.00029435-0.00071167i,0.0014493-0.00031221i,0.0023032-0.00026766i,0.0017396-0.00034406i,0.0011939-0.00030179i,0.00066158-0.00013287i,0.00098021-5.7093e-05i
0.020298+0.038566i,0.025998+0.036241i,0.019441+0.020077i,0.0090558+0.0078361i,0.0060304+0.00060956i,0.0033169-0.0061419i,-0.0017364-0.008571i,-0.0044804-0.0066304i,-0.0037117-0.0024864i,-0.0012508+0.00060538i,0.00086032+0.0012141i,0.00080699+0.0012279i,0.00021634+0.0014491i,-0.00013644+0.0015711i,-0.00060375+0.0011804i,-0.00040595+0.00013063i,-0.00037211-0.00080376i,-0.00064026-0.0010872i,-0.00041366-0.00068789i,3.6706e-05+9.7961e-07i,0.00029659-4.638e-05i,0.00063234-0.0011474i,-1.5673e-05-0.0014064i
0.024566-0.031177i,0.021909-0.034317i,0.0098143-0.021958i,0.0020196-0.0077587i,-0.0029049-0.0034041i,-0.0069661+6.0304e-05i,-0.0076841+0.0040709i,-0.0041536+0.0050417i,-0.00035449+0.0036802i,0.0017108+0.0010032i,0.0017931-0.0010451i,0.00097933-0.0010152i,0.00090148-0.00023385i,0.00097173+0.00024183i,0.0012519+0.0011691i,0.0021305+0.0010853i,0.0020712+0.00056374i,0.00051253+0.00029854i,-8.1918e-05+0.00062113i,-0.00044274+0.0011046i,-0.00038222+0.0004097i,-0.00034899+0.00066728i,-0.0007854+0.0015549i
-0.041622-0.016932i,-0.045688-0.012178i,-0.031004-0.0032027i,-0.014332+0.00050293i,-0.0081493+0.0049484i,-0.0026057+0.0086479i,0.0041267+0.0071113i,0.0056816+0.0025196i,0.0031984-0.00088457i,0.0010628-0.0013674i,-0.00028663-0.00016514i,-0.001023+0.00049743i,-0.00093346+7.6182e-05i,0.00015549-0.00061129i,0.0019753-0.0017165i,0.0017693-0.0028772i,0.00011519-0.0024044i,-0.00050561-0.0007489i,-0.00070057-0.00025302i,-0.00032034-0.00018295i,-8.6227e-05+0.00041563i,0.00032823+0.0011461i,0.00179+0.00079338i
5.7414e-05+0.045019i,0.0061645+0.046678i,0.0086867+0.029113i,0.0056132+0.011909i,0.0075209+0.0053706i,0.010013-0.00055728i,0.0069027-0.0067961i,0.0016703-0.0070921i,-0.00016262-0.0032736i,0.00030614+0.00033117i,0.0011371+0.0015256i,0.0011308+0.0015054i,-0.0003256+0.0014138i,-0.00040271+0.00081669i,-0.00059933+0.0004053i,-0.0013087+0.00043363i,-0.0012186+0.00015461i,-0.00075695-1.5538e-05i,-0.00037578-0.00055275i,0.00012987-0.00070176i,6.6285e-05-0.0003499i,-0.00031548-0.00064158i,-0.00032543-0.0014984i
0.04341-0.014834i,0.041144-0.020591i,0.023835-0.017773i,0.009721-0.0096975i,0.0031631-0.0074706i,-0.0040834-0.0075103i,-0.0077627-0.0046425i,-0.0049782-0.00053335i,-0.00077543+0.0010085i,0.0013829-0.00074386i,0.0010038-0.0022333i,0.00042243-0.00097272i,0.00099274+0.00032291i,0.0007311+0.00093117i,-0.00030654+0.0018918i,0.00016432+0.0020137i,0.00044069+0.0012669i,0.00035892+0.00078628i,-0.00010117+0.00013556i,-0.00048988-0.00026801i,-0.00034412+0.00015119i,-0.00085833+0.00015154i,-0.0014761-0.00025168i
-0.027008-0.033768i,-0.0299-0.03136i,-0.022373-0.016361i,-0.010316-0.0051018i,-0.0073431+0.00053583i,-0.0061002+0.006006i,-0.0012914+0.008657i,0.0016896+0.0059964i,0.001241+0.0017679i,-0.0015022-0.00025633i,-0.0033157-0.00013873i,-0.0025836-0.00060406i,-0.00081616-0.0014377i,0.00096413-0.00097211i,0.0019824-0.00079756i,0.0017475-0.0012855i,0.0010978-0.0014597i,0.00073535-0.0012106i,0.00024156-0.0010512i,-0.00059589-0.00057773i,-0.0010617+0.00045231i,-0.00074238+0.00051772i,-0.00018349-0.00033471i
-0.023076+0.043301i,-0.017347+0.046086i,-0.0076652+0.032225i,-0.0030458+0.014628i,0.00091511+0.0090551i,0.0059296+0.0051451i,0.0082005-0.0014427i,0.0054517-0.0038435i,0.0016433-0.0014468i,0.00079263+0.0023024i,0.0015697+0.0038933i,0.0012126+0.003318i,-0.00042076+0.0017464i,-0.001825-0.00038049i,-0.0016003-0.0015262i,-0.0015303-0.0011867i,-0.0018217-0.00036303i,-0.0010328+0.00014152i,-0.00027609-2.8812e-05i,-0.00022413-0.00030026i,-9.833e-05-0.00031977i,0.00017953-0.00064386i,-0.00012283-0.0015475i
0.045068+0.0040116i,0.0427-0.0019393i,0.027022-0.007144i,0.011659-0.0044168i,0.0065103-0.0035686i,0.0021977-0.0070271i,-0.003316-0.007878i,-0.0044768-0.0051079i,-0.0017963-0.0027372i,0.0016661-0.0026284i,0.0027672-0.0035234i,0.002293-0.0026232i,0.0014521-0.00023733i,0.00038758+0.0012543i,-0.00055601+0.0018227i,-0.00048304+0.0017022i,0.0002421+0.0011699i,0.0002548+0.00010259i,0.00014007-0.00017808i,-1.3015e-05+3.0784e-05i,0.00013683-0.00050171i,3.0981e-05+0.00019921i,-0.00070072+0.00047939i
-0.012462-0.045526i,-0.017115-0.038944i,-0.016616-0.020676i,-0.00939-0.0068196i,-0.0077603-0.0031815i,-0.0082161+0.00099583i,-0.0050926+0.0058305i,-0.0018826+0.0059842i,-0.0010275+0.0027554i,-0.0019358-0.00040069i,-0.0030792-0.0012893i,-0.0027479-0.0010475i,-0.001449-0.0018952i,-7.3386e-06-0.0020063i,0.0015095-0.0014449i,0.0012909-0.00069038i,2.869e-05+0.00011756i,-0.00062127+0.00048819i,0.00013888+0.00056829i,0.0008385-0.00051799i,0.00016125-0.00071834i,1.9165e-05+3.1146e-05i,0.00084168+7.7957e-08i
-0.037088+0.028282i,-0.028566+0.027652i,-0.014259+0.0207i,-0.0049495+0.0099102i,-0.0016386+0.0083022i,0.002865+0.0092657i,0.0070916+0.0053939i,0.0069442+0.0016922i,0.0035407+0.0010975i,0.00087495+0.0024083i,0.00071131+0.0038664i,-0.00019882+0.0027712i,-0.0016319+0.00063233i,-0.0016073-0.00045931i,-0.0010751-0.0013095i,-0.0012977-0.0014657i,-0.0014038-0.00090052i,-0.00070628-0.0010232i,-0.00025169-0.00086033i,2.8002e-05+0.00025228i,-0.00012548+0.00060471i,3.2773e-05-7.6582e-05i,0.00044941-0.00093103i
0.040495+0.03358i,0.03754+0.02214i,0.026157+0.0063953i,0.011442+0.00018116i,0.0075977-0.0016089i,0.0066696-0.0051353i,0.0025275-0.0080584i,-0.00027067-0.0066102i,0.00051919-0.0040531i,0.0029845-0.0028379i,0.0038237-0.0027015i,0.0028015-0.00099487i,0.0013311+0.00091929i,0.00023746+0.0013622i,0.00015041+0.0011933i,0.00027451+0.001169i,2.5406e-05+0.00083368i,-0.00044766+0.00068488i,-0.00078334+0.00011641i,-0.00012262+0.00029985i,0.0014722+0.00061244i,0.0011751-0.00048284i,-0.0010802-0.00078811i
0.012053-0.052021i,0.0027793-0.045716i,-0.0042907-0.028938i,-0.0034813-0.011924i,-0.0038097-0.0074986i,-0.007341-0.0049496i,-0.0079416-0.00043828i,-0.0057059+0.0020578i,-0.0037929+0.00076292i,-0.0036449-0.0020462i,-0.0041181-0.0023731i,-0.00218-0.0013416i,0.00072046-0.001521i,0.0019665-0.000937i,0.0012972+7.9309e-05i,0.00085278-0.00029982i,0.00047973-0.0009368i,-0.00029549-0.00080699i,-0.0004452+0.00028107i,-0.0001704+0.00079308i,-0.00068344+0.00019495i,-0.0012149-0.0002778i,-0.00025766-9.2941e-05i
-0.049516+0.0042346i,-0.035838+0.011268i,-0.018014+0.014458i,-0.005021+0.0080679i,-0.0028227+0.0068051i,-0.00095998+0.0089994i,0.0028811+0.0072399i,0.0041553+0.0042055i,0.0027972+0.003343i,0.00032152+0.004589i,-0.00094323+0.0047677i,-0.00083408+0.0025586i,-0.0014201-0.00042963i,-0.0015527-0.0020676i,-0.0010031-0.0018882i,-0.00078266-0.00087707i,-0.00073162+0.00015362i,-0.00052962+0.00035594i,0.00018615-0.00030355i,0.00031415-0.00047304i,0.00016301+6.7914e-05i,0.00048223+0.00010149i,-0.00011578+0.00017757i
0.025857+0.047994i,0.023946+0.028029i,0.020008+0.0090705i,0.0096014-7.9005e-05i,0.0070344+0.0003431i,0.0085473-3.3368e-05i,0.0065955-0.003911i,0.0039651-0.0052123i,0.0036355-0.0036012i,0.0053898-0.0021834i,0.0059101-0.0015866i,0.0029202+0.00037053i,-0.00043838+0.002627i,-0.0017328+0.0025592i,-0.0013798+0.0016043i,-0.00038485+0.0014797i,-1.4798e-05+0.00076768i,-0.00061396-9.0884e-05i,-0.00094885-0.00043276i,-0.0010482-0.00016383i,-0.00078213+2.3773e-05i,-0.00041889-0.00040162i,-0.0011902-0.00031869i
0.039098-0.035752i,0.019374-0.028957i,0.0021321-0.019771i,-0.0024991-0.0088776i,-0.0020523-0.0071464i,-0.0038356-0.0078571i,-0.00589-0.0053787i,-0.0056727-0.0024394i,-0.0037218-0.0016473i,-0.0030708-0.0031559i,-0.0035833-0.0039728i,-0.0016699-0.0030045i,0.0015791-0.0017037i,0.0026666-0.0006851i,0.0025773-0.00015421i,0.0020045-0.00089417i,0.000726-0.0012319i,-0.00034094-0.00046317i,-0.00047497-0.00034583i,-7.5276e-05-0.00088697i,0.00010569-0.00053945i,-0.00062854+0.00074058i,-0.0012651+0.0015265i
-0.049056-0.026959i,-0.033838-0.0081175i,-0.020197+0.0051024i,-0.0081518+0.0068603i,-0.0064362+0.0051108i,-0.0068632+0.006086i,-0.0031505+0.007054i,-0.00014993+0.0058278i,-0.00029656+0.0044539i,-0.0022875+0.0047008i,-0.0028397+0.0045741i,-0.0018474+0.0021658i,-0.0009414-0.00068431i,-0.00086632-0.0020591i,-0.0019334-0.0017332i,-0.0024645-0.00057034i,-0.0021785+0.00015139i,-0.0010225+0.0003048i,-0.00034896+0.00011315i,9.2493e-05+0.00026976i,-0.00051085+0.00091549i,-0.00035838+0.00076748i,0.00068723-0.00036157i
-0.0092221+0.061943i,0.007166+0.037553i,0.015716+0.016982i,0.0099428+0.0050949i,0.0066914+0.0040601i,0.0087297+0.0030612i,0.0088311-0.00080722i,0.0066344-0.0019934i,0.0052295-0.0011128i,0.0057232-0.0004497i,0.0058649-0.00010354i,0.0027073-0.00021921i,-0.00065175+0.00032862i,-0.0021861+0.00080983i,-0.0020814+0.00049849i,-0.0011025+0.001454i,-0.00030451+0.0012959i,0.00025975-0.00030866i,-0.00025039-0.0011339i,0.00041614-0.0014213i,0.0013053-0.001159i,0.00098076-0.00091435i,0.00018988-0.001442i
0.058237-0.013473i,0.023486-0.019037i,0.0017474-0.020266i,-0.0045754-0.012768i,-0.0021567-0.0088814i,-0.0018658-0.0077999i,-0.0029313-0.0060089i,-0.0030694-0.0054088i,-0.0027622-0.0058214i,-0.0023686-0.0062161i,-0.0025968-0.0047895i,-0.0013609-0.00099173i,0.0012095+0.00088086i,0.0026909+0.00034264i,0.0022195-0.00031048i,0.0020358-0.0010434i,0.0021694-0.0018923i,0.0018345-0.0013395i,0.001157-0.00028466i,0.00041328-0.00040739i,-0.00013404-0.00095404i,-0.00086032-0.00054068i,-0.0014256+0.00033598i
-0.029348-0.058729i,-0.021362-0.021442i,-0.015513+0.0026344i,-0.0080778+0.0071503i,-0.0066982+0.0041202i,-0.0060361+0.003549i,-0.0042521+0.0050041i,-0.0036351+0.0041231i,-0.0032521+0.0035222i,-0.0034034+0.0042633i,-0.0026347+0.0037293i,-0.00061124+0.00080837i,0.00053579-0.0027783i,-0.00083596-0.0036461i,-0.0020927-0.0030342i,-0.0021986-0.0023847i,-0.0026431-0.0021972i,-0.0025939-0.0013175i,-0.0013604+0.00041097i,-0.0010905+0.0013534i,-0.0012614+0.00089473i,-2.4833e-05+0.00085741i,0.00098804+0.00042778i
-0.042044+0.049864i,-0.0078026+0.028318i,0.010368+0.014277i,0.0097666+0.0045032i,0.0054577+0.0036295i,0.0049843+0.0043728i,0.0058321+0.002992i,0.0054305+0.0019588i,0.0055116+0.0017377i,0.0063499+0.0010608i,0.0055102-0.00060827i,0.0014385-0.0012527i,-0.0021064-8.6264e-05i,-0.0025611+0.00082901i,-0.0019263+0.0020864i,-0.00086062+0.0029268i,-0.00030212+0.0020962i,-0.00029505+0.0012148i,-0.00013051+0.00071844i,-0.00047991+0.00077334i,-0.00039517+0.0013425i,0.00017605+0.00033868i,-0.00010393-0.0014348i
0.058688+0.029189i,0.024558-0.0020111i,0.0047414-0.017111i,-0.0022949-0.011761i,0.00038616-0.0056887i,0.002015-0.0039782i,0.00079194-0.003347i,0.00068571-0.0038682i,-0.00055794-0.0050893i,-0.0019318-0.0056178i,-0.0013584-0.0046299i,-0.0011398-0.0016994i,-0.00011561+0.00089217i,0.0013892+0.0015276i,0.003087+0.00055219i,0.0039849-0.00027534i,0.0031655-0.00096351i,0.0015688-0.0011082i,0.00062667-0.00053339i,0.00077289-0.00045347i,0.00066511-0.0011342i,-0.00084629-0.0015902i,-0.0023425-0.0011363i
0.0084198-0.071084i,-0.0098705-0.021906i,-0.017817+0.0035767i,-0.012583+0.0075724i,-0.0090613+0.0032324i,-0.0067407+0.0016869i,-0.0046954+0.0022283i,-0.0036859+0.0016104i,-0.0037571+0.0012986i,-0.0045108+0.0024707i,-0.0030611+0.0035552i,0.00072848+0.0017915i,0.0026613-0.0016765i,0.0013232-0.0035508i,-0.00021292-0.0036489i,-0.0015566-0.0035917i,-0.0022751-0.0033718i,-0.0016352-0.0031325i,-0.0011733-0.0025002i,-0.0014522-0.0011617i,-0.0014905+0.00019495i,-0.001279+0.0013508i,-0.00094143+0.0016767i
-0.073268+0.010201i,-0.018196+0.012753i,0.0090627+0.013194i,0.010643+0.0078789i,0.0055948+0.0070392i,0.0036311+0.0059618i,0.00277+0.0037918i,0.0017472+0.0024888i,0.0032045+0.0020611i,0.0051064+0.0022372i,0.0048573+0.00099288i,0.0023015-0.0013904i,-0.00080518-0.0023647i,-0.0025905-0.0013026i,-0.0033609+0.00039973i,-0.003013+0.0019095i,-0.0024084+0.0023858i,-0.0016881+0.0024983i,-0.0008305+0.0024734i,0.0001233+0.0024242i,0.0016533+0.0017285i,0.002862+0.00023214i,0.0024209-0.00052116i
0.036251+0.067681i,0.018115+0.010561i,0.0078597-0.016003i,0.0012676-0.014635i,0.0014856-0.007248i,0.0022785-0.0030509i,0.0019545-0.0021957i,0.0020343-0.0028289i,0.0021475-0.0037927i,0.0010053-0.0051761i,-0.0015428-0.004449i,-0.0031582-0.0011007i,-0.0015723+0.0015982i,0.0014296+0.0025427i,0.0030185+0.0024075i,0.003661+0.001714i,0.0036658+0.0013571i,0.0030662+0.0019609i,0.0025983+0.0016929i,0.0023876+0.0001707i,0.0013477-0.0010625i,0.00020876-0.0018946i,-0.0010588-0.0017769i
