-0.0034572+0.0015701i,-0.0041323+0.0013283i,-0.0043315+0.00080916i,-0.0034506+0.00080976i,-0.0025415+0.0021991i,-0.0018984+0.0037293i,-0.00099316+0.0029562i,-0.00021538+0.0013689i,0.00059347+0.00026205i,0.0011273-0.00020745i,0.0011476+0.00012972i,0.00077649+0.00041676i,0.0003485+0.00035261i,0.00062028+0.00022923i,0.00030178-0.0005523i,-6.7684e-05-0.0011928i,-0.0003163-0.0011441i,-0.00046851-0.00067885i,-2.887e-05-9.3308e-05i,0.0002945+0.0004698i,-0.00038576+0.00068147i,-0.00085783+0.00030938i,0.00010671+0.00053219i
0.0031772-0.0026237i,0.0030761-0.0019248i,0.0011464-0.0026827i,-0.00090383-0.0025902i,-0.0017957-0.0010365i,-0.00067078+0.00061687i,0.00092034+0.00096036i,0.00089762-0.00022556i,0.00016003-0.00050012i,-0.00045545+0.00082982i,-0.00098933+0.0013007i,-0.00079341+0.00070529i,-0.0004556-0.00033368i,-0.00048656-0.00027127i,0.00020915-5.0633e-05i,0.00087646-0.000161i,0.00011385-0.00048039i,-0.00027047-0.00022206i,-0.00038532+0.00045445i,0.00023367+0.00032382i,0.00040842-0.00034513i,-0.00021829-0.00010319i,7.7381e-06+3.503e-05i
-0.0012696+0.00056458i,-0.0025743+0.0002092i,-0.0022446+0.0005501i,-0.00064035+0.0023069i,-8.054e-05+0.0022369i,0.00014899+0.001722i,8.2258e-06+0.00059896i,-0.00034151-0.00069873i,-0.0006715+3.7271e-05i,-0.00056474+0.00084719i,-0.00013007+0.0006925i,0.00030542+0.00051537i,0.00056271-4.8405e-06i,-0.00014327-0.00010688i,-0.00044954+0.00016601i,0.00034513+0.00038655i,0.00034605-9.3903e-05i,-0.00024817-0.00025622i,-0.00056086+0.0002747i,-0.00085083+0.00036331i,-0.0003543+0.00084825i,0.00059765+0.0015892i,0.00091959+0.001376i
0.00018309+0.00014804i,0.00044822-0.0010961i,0.00052209-0.0013941i,0.0004404+0.00026806i,0.0011852+0.0020769i,0.0019802+0.0015287i,0.0011083+0.0011129i,0.00035052+0.00041464i,0.00010988-0.00026472i,-0.00078552-0.00021602i,-0.0012076-0.00032289i,-0.00044512+1.0688e-05i,0.00028846+0.00022729i,4.6833e-05-0.00024475i,-0.00018303-0.00085683i,0.00018041-0.00089008i,0.00026348-0.00069261i,-0.00020376-0.000629i,-0.00014549-0.0005124i,0.00043201-0.00033447i,0.00063693+0.00029484i,0.00051075+0.00050409i,0.00018214-3.9816e-05i
0.0022108+0.0016263i,0.0016274+0.0011062i,0.0018724+0.00056603i,0.0023357+0.00023209i,0.001094-0.00021486i,0.0006466+0.0002228i,0.00095029+0.0011218i,1.5176e-05+0.00064845i,-0.00029942-0.00028736i,0.00025885-0.00049045i,-0.00015215-0.00091272i,-0.00075432-0.001476i,5.126e-05-0.0010908i,0.00035449-0.00039911i,-0.00044082-0.00019418i,-0.00031926-0.00019338i,-0.00026099-0.000795i,-2.2584e-05-0.0011848i,0.00052748-0.00035141i,0.00071846+0.00013007i,0.0006215-0.00017299i,0.00032894-0.00054493i,0.00020822-0.0004235i
-0.0017057-0.0013389i,-0.0030083-0.00039519i,-0.0027475+0.00072524i,-0.0017484+0.0023173i,-0.00037831+0.0022905i,0.00055984+0.0014249i,0.00051494+0.00068604i,0.00031642-0.00035289i,-4.4823e-05-0.00049135i,-0.00049888+0.00056973i,-0.00034964+0.00163i,-5.9947e-06+0.0010892i,-0.00029296-0.00048127i,-0.00054978-0.00078127i,-0.00036784-0.00040653i,-0.00020216-0.00052381i,0.00034841-0.00089525i,0.00056089-0.00085848i,-3.9152e-06-0.00049506i,-0.00039831-0.00020079i,-0.00034-4.6777e-07i,-0.00032543+0.00057215i,-0.00018638+0.00098684i
0.0022365-0.0018977i,0.0014227-0.0023994i,0.0011811-0.0024982i,0.001187-0.0016049i,0.00052721-0.00099127i,0.0001198-0.00034147i,0.00043583-0.00020189i,0.00026904-0.00067484i,-6.1465e-05-0.0007854i,-0.00048341-0.00080211i,-0.00082687-0.00027965i,-0.00064741+2.6138e-05i,-0.00052695+2.3805e-05i,-0.00046715-9.7263e-05i,-0.00028266-0.00047324i,-8.41e-05-0.00017566i,0.00029556-0.00034121i,0.00012656-0.00066752i,-1.24e-05-0.00067476i,0.00012291-0.00031386i,0.00031971-1.5029e-05i,0.00029759-0.00028755i,0.00040031-0.00055989i
-0.00055964+9.874e-05i,-0.00021093+0.0012149i,-2.5555e-05+0.0017107i,0.00014437+0.0018187i,0.0006574+0.0017906i,0.0011105+0.0016522i,0.00026201+0.00036057i,0.00028969-0.00077712i,0.00069411-0.00053545i,0.0001341-0.0001755i,-0.00038311-0.0002403i,-0.00049651-0.00069037i,-0.00011281-0.0012379i,0.00049751-0.00095516i,0.0008527-9.5696e-05i,6.1407e-05-0.00015453i,-0.00015944-0.0011202i,-0.00024754-0.001094i,-0.00029209-0.00066884i,-2.7427e-05-0.00083861i,0.00012063-0.00058255i,0.00037422-1.0201e-05i,1.6083e-06+0.00071534i
0.00045193+0.00062828i,-2.6881e-05+0.0006483i,-0.00078997+0.00032479i,3.29e-05+0.00061436i,0.0014001+0.0009956i,0.0011246+0.00071616i,0.00022236+0.00049748i,-0.00013813+0.00014504i,0.00023325+0.0001188i,0.0003583+0.00035872i,0.00024465+0.00039757i,-0.00013954+0.00019389i,-0.00040178-0.0001555i,-0.0003972-0.00085007i,-0.00059152-0.001066i,-0.00010155-0.0010759i,0.0007096-5.0189e-05i,0.0002262+0.00023264i,-0.00039327-0.00023084i,-0.00064682-0.00019367i,-0.00029178+0.00020714i,0.00012137+0.00053223i,3.4536e-05+0.00026293i
0.0019341-0.0028134i,0.0025436-0.0020909i,0.0013916-0.0022166i,-0.00076045-0.0011093i,-0.00092251+0.0003494i,-0.00018951+0.00054493i,0.00027601-8.3131e-05i,0.00032288-0.00080637i,-0.00019388+4.8343e-05i,-0.0006342+0.00066685i,-0.00054923+0.00036779i,0.00029365+0.00075953i,0.00073402+0.00044278i,-0.00024935+9.4145e-05i,-0.00017426-0.00057323i,0.00045069-0.00068716i,0.00054806-0.00023127i,0.00073565-0.00029715i,0.0010527-0.00053519i,0.0013977-0.00099904i,0.00089083-0.0010031i,-0.00022232-0.00040219i,-0.00012465-0.00025738i
-0.00033918+0.0021923i,0.00053385+0.0032621i,0.00072612+0.0037396i,-3.1959e-05+0.0034163i,0.00019437+0.0014091i,0.0015129+2.6253e-06i,0.0014106-0.00040945i,0.00026292-0.00045941i,-0.00041831+0.00033464i,-0.00012212+0.00033989i,0.00079574-0.00054796i,0.0011169-0.00093452i,0.00078268-0.0013767i,-8.5794e-05-0.0020119i,-0.00032313-0.0011849i,-0.00016929-0.00029971i,-3.7567e-05+0.00029467i,-0.00047471+0.00053655i,-0.00097732+0.00017252i,-0.00030432+0.00036497i,0.00050354+0.00017134i,0.00027719-0.00068929i,-0.00049016-0.00014961i
