0.000133+0.0007019i,-0.00018371-0.00012634i,-0.0015729-0.0012554i,-0.0018185-0.00089795i,-0.0019844+0.0014509i,-0.0017016+0.0025344i,-0.00074468+0.0024191i,-0.00021522+0.0016839i,0.00047287+0.00040145i,0.00094259-0.00030172i,0.00066584-0.00011195i,0.0015227+6.4425e-05i,0.0014905+1.7551e-06i,0.00014126+5.5487e-05i,-0.00010558+0.00022184i,3.6674e-05+0.00054432i,0.0005428+0.00099312i,-4.0929e-05+0.00095136i,-0.00080637+7.0011e-05i,-0.00027941-0.000199i,-0.00028086+0.00030405i,-0.0010969+0.00046929i,-0.0013896+0.00046199i
0.0012177+0.00068958i,0.001231+0.0014154i,-0.00060774+0.0013058i,-0.00075371+0.0013694i,1.364e-05+0.0014031i,0.00011287+0.0011145i,-0.00039826+0.00034858i,9.5162e-05+0.00011392i,0.00031942-0.00023509i,0.00045081-0.00048859i,0.00060715-0.00015634i,-7.7062e-05-0.00028946i,-0.00047275-0.00052569i,-0.00016635+5.1594e-05i,-4.6329e-05+0.00049631i,-0.00066964+0.00059248i,-0.001565+0.0004226i,-0.0012535+0.00053506i,-0.00053558+0.00056877i,-0.00060552+0.00020969i,-0.00027329+0.00046368i,-0.00050309+0.00090239i,-0.00033401+0.00027366i
-0.0010106-0.0015493i,-0.0010561-0.0010313i,-0.0013934-0.0011697i,-0.001619-0.00037276i,-0.0015578+0.00071657i,-0.0011556+0.0019917i,-0.00060337+0.001775i,-0.000196+0.00051592i,-0.00030222-8.3624e-06i,-7.8345e-05-0.00046145i,-0.00010246+0.00025026i,-0.00094011+0.0012639i,-0.00041126+0.0012074i,0.00019084+0.00046911i,-3.3445e-05+2.9772e-05i,-0.00031367+0.00025607i,-0.00042409-6.0212e-05i,-3.8561e-06+0.00030445i,-0.00024866+0.00088082i,-0.001065+0.00079563i,-0.00086506+0.00047579i,-0.00069512-0.00034791i,-0.0012099-0.00042548i
-0.00045013-0.00021301i,-0.0013395-0.00022673i,-0.0017968-0.00036326i,-0.0018614+7.7667e-05i,-0.0020008+0.00031597i,-0.0015244+0.0004157i,-0.0008604+0.00042704i,-0.00061439+0.00018792i,-0.00080712-0.00076927i,-0.00069686-0.00057283i,-0.00062633+0.00033288i,-0.00049719-5.8583e-05i,-0.00020391-0.00019562i,0.00045134+2.2293e-05i,0.00075128+0.00032498i,0.00037544+0.00056855i,-0.00051758+0.00084833i,-0.0007187+0.00051097i,-0.00065046+0.00059284i,-0.00081844+0.0008237i,-0.0011341+0.00019924i,-0.00096293-0.00088807i,-0.0010637-0.0015508i
0.0014161-0.00037399i,0.0016458-0.00026538i,0.0011249-0.00081952i,0.00029265-0.00054132i,-0.0010095+0.00077783i,-0.0015133+0.0017171i,-0.00034798+0.00090559i,0.0010553+0.00044494i,0.00095205+0.0003735i,-0.00013264-0.00073803i,-0.00039711-0.00099597i,-0.00060701+0.00016811i,-0.00076284-0.00020282i,-0.00029698-0.0013188i,-1.8296e-05-0.0011287i,0.00024407-0.00068134i,0.00078239-0.00015502i,0.00058724+0.00057872i,0.00026836+0.0005369i,0.00032964+8.4819e-05i,0.00014469+0.0001204i,0.00029259+8.2686e-05i,0.00032368-9.165e-05i
-4.6156e-05+0.002103i,0.00089689+0.0014589i,0.0015723-0.00042874i,0.00043695-0.0011036i,-0.0011199-0.00052845i,-0.0017223-1.2305e-05i,-0.00063588+0.00042923i,0.0007717-2.6982e-05i,0.0011942-0.00051522i,0.00074611-0.00088848i,-0.00017197-0.0011974i,0.00012222-0.00095428i,0.00038264-0.00068845i,-0.0012995+2.87e-07i,-0.0012817+0.00053124i,-0.0004483+0.00080968i,-0.00042085+0.0010127i,-0.00014738+0.00045758i,-0.00011328-0.00024149i,-0.00012688-0.00036029i,8.6643e-05-0.00012697i,5.8051e-05-0.00015757i,0.000309-0.000336i
-0.00013899-0.00020637i,-0.00056702-0.00021683i,-0.00031635-7.3188e-05i,0.0002591-0.00016866i,-0.00096764+0.00060619i,-0.0011412+0.00096822i,-0.00072815+0.00057169i,-0.0001263-0.00025007i,0.00059132-0.0012379i,0.00067362-0.0014506i,0.0010919-0.0014363i,0.00060702-0.00021929i,-0.00081332+0.0010684i,-0.0011122+0.0013768i,-0.0012909+0.0012543i,-0.00091023+0.00059462i,-0.00025872+0.00044898i,-6.9387e-06+0.001057i,-0.00016893+0.00091939i,-0.00022254+0.0003816i,-0.00034941+0.00066277i,-0.00068894+0.00093913i,-0.00083191+0.00026631i
0.0001767-0.0012552i,0.00045912-0.00067022i,-0.00059216-0.001408i,-0.0018727-0.0017751i,-0.0025052-0.00078254i,-0.0019132+0.0002316i,-0.00069692+0.00095459i,-0.00021717+0.00049944i,-0.00061215-5.3182e-05i,-0.00021881+0.00038999i,0.00028923+0.0007464i,-0.00034203+0.00054504i,-0.00024187+0.00077228i,-0.00046073+0.0012417i,-0.00077211+0.00083531i,-0.00087952+0.00039252i,-0.0012765+0.0003775i,-0.0015221-4.8654e-05i,-0.001033-0.00035478i,-0.00024998+0.00010553i,0.00011775-0.00019476i,5.9304e-05-0.00021101i,7.4536e-05-0.00014205i
-0.00063213+0.0001559i,-0.00048959+0.00038885i,0.00071046+0.0018567i,0.00017573+0.0018305i,-0.001047+0.00066753i,-0.0012616+0.00040366i,-0.0011755+0.0014518i,-0.0010395+0.0013932i,-0.00043935+0.00026354i,-0.00057994+2.2428e-05i,-0.0008173+0.00048385i,-0.00059704+0.00041313i,-0.00074924-0.00025973i,-0.0010575-0.0001558i,-0.00056065+0.00018524i,0.0001676+0.00045391i,0.00026139+0.00040684i,0.0002611+0.00050387i,-9.6213e-05+0.00054733i,-3.539e-05-3.5623e-05i,0.00031418-0.00048832i,0.00046588-0.00057451i,0.00034765-0.00086033i
-0.00094579+0.0013448i,-0.0014972+0.0021158i,-0.0016676+0.0030358i,-0.00067952+0.0021381i,-0.00044967+0.0013248i,-0.00061878+0.00090167i,-0.00048383+3.94e-05i,7.683e-05+0.00025499i,0.00060486+0.00014176i,0.00066778-0.00067266i,0.00098488-0.00098442i,0.0014968-0.00077471i,0.00060574-0.00018926i,-0.00019633-1.4146e-05i,0.00025813-0.00054098i,0.00036817-0.00064177i,0.00017395-0.00080004i,-0.0001311-0.0013013i,-0.0007211-0.00081203i,-0.00056419-0.00011944i,-5.6747e-05-4.7487e-05i,-3.5399e-05+0.00021658i,0.000139-7.0365e-05i
-0.0011495+0.00016781i,-0.00080442+0.0013158i,-0.0014012+0.001268i,-0.0010206+0.0010102i,-0.00073546+0.0015234i,-0.0003966+0.0016549i,-0.00040738+0.001207i,-0.00020711+0.00079326i,0.00051376+3.939e-05i,0.0004515-0.00055982i,0.00056034-8.1305e-05i,0.00065059+9.392e-05i,0.00045924-0.00035445i,-0.00034341+0.00030274i,-0.00071381+0.00069993i,-0.00038432+0.00041248i,-0.00040905+0.00017406i,-9.4413e-05+0.0002902i,-0.00024259+0.00024548i,8.9652e-05-2.1741e-05i,0.00041014+0.00016738i,-0.00025878+8.0211e-05i,-0.00048339-0.00033653i
-0.0012018+0.00050075i,-0.00090832+0.0014817i,-0.001817+0.0018385i,-0.0013115+0.0011119i,-0.00069222+0.0006i,-0.00092866+0.00049706i,-0.00075096+0.00025925i,-0.00018448+7.7171e-05i,0.00027003+0.00022794i,0.00013634+0.00029923i,-0.00026862+0.00048816i,0.00017088-0.00019851i,0.00042301+0.00025616i,2.1684e-05+0.0010915i,0.00016154+0.0011004i,-0.00014803+0.00097967i,-0.00019033+0.00049559i,-5.8921e-05+0.00035022i,0.00048422+0.00071993i,0.00075754+0.001588i,0.00044625+0.0016045i,0.00063776+0.00090253i,0.00026694+0.00079442i
0.00061111-0.0013349i,-0.00018992-0.0018879i,-0.00079347-0.0018655i,-0.0019779-0.0014043i,-0.0029773+0.00011063i,-0.0030902+0.00075982i,-0.0017543+0.00054518i,-0.00054946+0.0001905i,-0.00062805-5.3017e-06i,-0.00071388+0.00074733i,-0.0012809+0.0010853i,-0.0017632+0.00064061i,-0.0012818+0.00038143i,-0.00044784-0.00011231i,-5.2464e-05-0.00030178i,0.00021947-0.00047089i,0.00013677-0.0009247i,-0.00077001-0.00040181i,-0.00096666+0.0006337i,-0.00087592+0.0011254i,-0.00053187+0.0010236i,-0.0001048+0.00085641i,-0.00028994+0.0005791i
-7.6651e-05+0.00048889i,0.00059565+0.00043447i,0.0018093+0.0015826i,0.0020977+0.0017873i,0.00092844+0.0014031i,0.00060045+0.0011238i,0.00078316+0.00060534i,0.00079797+0.00019541i,0.00024059+0.0003703i,-9.3943e-06-0.00026133i,0.00013251-0.0016257i,0.00019896-0.0015828i,0.00055348-0.00080389i,0.00044036-0.00029275i,0.000335-0.00018639i,0.0005047-0.00075294i,0.00020677-0.0012812i,1.5047e-05-0.00046624i,0.0004127+0.0005531i,0.00065967+0.0009568i,0.00019465+0.00026604i,-0.00029127-1.1574e-05i,-5.8007e-05+0.00028798i
0.001299+0.0018918i,0.0013195+0.0011547i,0.0008871+0.00057836i,0.00074493-0.00052104i,0.00059258-0.00073844i,0.00016904+0.00062353i,-0.00020593+0.00158i,-0.00026503+0.00041453i,0.00011303-0.00051896i,0.00043071-0.00043105i,0.00080327-0.00080404i,0.00097319-0.00056126i,0.00088393+0.0002204i,0.00049622-0.00023884i,0.0002943-0.00027305i,0.00092698+0.00054767i,0.00072467+0.00069766i,0.00088079+0.0010552i,0.00074599+0.00069687i,-0.00021311-0.00020314i,-0.00025871-0.0001997i,0.00026634-0.00043807i,0.00073827-0.00024227i
-0.00062057-0.0027583i,-0.00094628-0.0017793i,-0.00051718-0.00095976i,-0.0010896-0.00014362i,-0.0020155+0.00011792i,-0.0019569+0.0008641i,-0.001202+0.0010055i,-0.00087781-0.00017717i,-0.00058148-0.00052213i,-0.00028256-0.00023315i,-0.00048157-0.0003629i,-0.00040631+0.00014099i,-0.0003672+0.00061509i,-0.00065234+0.00108i,-0.00074267+0.0014362i,-0.000725+0.0011202i,-5.6775e-05+0.00070437i,0.00045239+0.00047296i,0.00019835+0.0012082i,-0.00041205+0.0014218i,-0.00018584+0.00052787i,0.00045136+0.00019165i,-3.1136e-05+0.00036463i
0.0013995-0.00033006i,0.00043481-1.7685e-06i,-0.0010627-0.00056813i,-0.0020129-0.00086765i,-0.002284+5.6547e-05i,-0.0017428+0.00086189i,-0.00058498+0.0011428i,0.00052952+0.00066143i,0.00094615-0.0004075i,0.00027286-0.00082489i,0.0002514-0.00054151i,0.00075185-0.00021338i,0.00049597+0.00020296i,-0.00030695+0.00044676i,-0.00036074+0.0008244i,0.00037156+9.0797e-05i,0.00027949-0.00062155i,-0.00013505-0.00024783i,-0.0006122-0.0001436i,-0.00086835+0.00019564i,-0.0011853+0.00061774i,-0.00056423+0.00011329i,-0.00012893-0.00034891i
0.0013451-0.00099313i,0.0012689-0.00083029i,0.00071674-0.00050976i,0.00026869-0.00060561i,-0.00011974-0.0011524i,-0.00060212-0.00075671i,-0.0010167+0.00023029i,-0.00027796+3.8548e-05i,0.00048557+0.00014781i,0.00035373+0.00086448i,0.0002082+9.0518e-05i,0.00042613-0.00090081i,-4.1285e-05-0.00072863i,-0.0006242-0.00076478i,-0.00051279-0.00070091i,-0.00048363-0.00012527i,-0.00066799+0.00045185i,-0.0014982+0.0010495i,-0.0016987+0.00092089i,-0.00094365+0.00039884i,-0.0006925+0.00018103i,-0.00089595+0.00027317i,-0.00078987-0.00027295i
-0.00019135+0.00029939i,-0.00074132-0.00026184i,-0.0017045+8.842e-05i,-0.0015686+0.00083542i,-0.0018151+0.0015415i,-0.0010113+0.0011442i,-0.00010662+0.00061897i,0.00040831+0.00091854i,0.00075126+7.2797e-05i,0.0010129-0.0010498i,0.0011565-0.00078274i,0.00044446-0.00020547i,-7.3536e-05-0.00033808i,-0.00018717-0.00026873i,-1.1713e-06+1.4238e-05i,0.00019607+0.00014742i,-0.00010717+0.00037928i,-0.00031273+0.00080532i,-0.00043818+0.00089495i,-0.00044864+0.00025363i,-0.00071608-0.00014524i,-0.00089133-0.00089945i,-6.7219e-05-0.0013581i
0.00071309+0.00034222i,-0.00021859+0.0006004i,-0.00028907+0.001009i,1.5879e-05+0.00013909i,-0.00043491-0.00044909i,-0.0015764-0.00030971i,-0.0016369+0.00045909i,-0.00044938+0.0014906i,0.00044835+0.0010201i,0.00088882+2.8591e-05i,0.00072503-0.0002193i,-0.00016687-0.00021966i,-0.00047204-0.00043881i,-0.00073006-0.00070561i,-0.00017102-0.0002509i,0.0003473+0.0010573i,-0.00019913+0.00126i,-0.00083307-6.5027e-05i,4.1948e-05-0.0011178i,0.00060674-0.0013311i,-7.6532e-06-0.00040466i,4.5352e-05-2.8922e-05i,-0.00045448-0.00068293i
0.0006507+0.00096985i,0.00034614+0.00040087i,0.00088095+0.00071913i,0.00053317-0.00015083i,-0.00058519-0.001064i,-0.00066321-0.00065984i,-0.00013162-0.00087001i,0.00046157-0.00077089i,0.00088536+7.5126e-05i,0.0014923+0.00034698i,0.001093-4.9914e-05i,-0.00065733-0.00046577i,-0.00094375-0.00010877i,-0.00051149+0.00066651i,-0.00078732+0.0011508i,-0.0013519+0.00076558i,-0.0014455+0.0005124i,-0.0001309+0.00095834i,-0.00018751+0.0012718i,-0.00052518+0.00090625i,0.00015349-1.7685e-06i,0.00094537-0.00050675i,0.00080045-0.0003894i
-0.00063166+0.00087692i,-0.00072115+8.891e-05i,-0.0003021-0.00034001i,-0.00091235+0.00015474i,-0.002456+0.00058189i,-0.0029329+0.00065862i,-0.0021757+0.00075049i,-0.00074336+0.00075343i,0.00045103-0.00030301i,0.00085138-0.0011233i,9.9341e-05-0.00095049i,-0.00064857-0.00046738i,-0.00090905-0.00023808i,-0.0013806-0.00092678i,-0.0014677-0.0011321i,-0.0010402-0.00020896i,-0.00081397+0.00066178i,-0.00091112+0.0010468i,-0.00072521+0.00081832i,-0.0010544+0.00097003i,-0.0012464+0.00051248i,-0.00044925-0.00099628i,-0.00039348-0.0013158i
0.00060943-0.00055692i,0.0013349+0.00070948i,-0.00085316-0.00032403i,-0.0012875-0.0010786i,-0.001046-0.00031078i,-0.0020457+0.00090829i,-0.0016058+0.00078336i,-0.00021362+0.00011264i,0.00053527-0.00019385i,0.00011171-0.00058862i,-0.00036605-0.0010473i,-0.00020309-0.00081771i,-0.00065206-0.00025811i,-0.00096473-0.00026906i,-0.00031958-0.00070816i,0.00037243-9.4577e-05i,0.00023651+0.00088618i,-0.00063308+0.00069268i,-0.00086055-0.00026299i,-0.00047992-0.00060278i,-0.00036988-0.00049227i,-0.00051877-0.00013033i,0.00016726+1.1529e-05i
0.0015242+0.001745i,0.0015053+0.00095893i,0.001286+0.00044894i,0.0010942+0.00044854i,-0.00029095+0.00039118i,-0.0017234+0.00099215i,-0.00089107+0.0012658i,0.00066324+0.00082192i,0.0011433+0.00072843i,0.001017-0.00022464i,0.0012625-0.0011509i,0.0012296-0.00073192i,-8.0808e-05-4.1133e-05i,-0.0010092+0.00015525i,-0.00092159-0.00013484i,-0.000435-0.00027795i,-0.00021422+0.00034415i,-0.0007645+0.0008149i,-0.0012459+0.00017509i,-0.00080648-0.00016859i,-0.0002743-0.00012656i,-0.00064548-0.00046635i,-0.00060805-0.00069993i
0.00047856-0.00015992i,-0.00060297-0.0014127i,-0.001784-0.0019709i,-0.0023555-0.00062731i,-0.0024248+0.00073261i,-0.001214+0.0010697i,4.3275e-05+0.00091422i,1.3708e-05+0.00077857i,-0.0005348+0.00038743i,-0.00033506+0.00019743i,0.00021052+0.0003312i,-0.00022708+8.1151e-05i,-0.0007543-0.000326i,0.0001553-0.00010809i,0.00053221+0.00073073i,0.00021237+0.0017861i,7.9424e-05+0.0018624i,-0.00019237+0.00070434i,-0.00023501+0.0001269i,-0.00043369+0.00028115i,-0.00044881+0.00023846i,-0.00012369-0.00059i,0.00017355-0.0007993i
-0.0025913+0.00057564i,-0.0019767+0.0017651i,-0.0006636+0.0025524i,7.0708e-05+0.0015646i,0.00019416+0.00043979i,0.00019752-4.648e-05i,-0.00016607-9.3523e-05i,0.000567+1.4663e-05i,0.00095349-0.00053193i,0.00041927-0.00044005i,-0.0004387-0.00023322i,-0.00098013-0.00033587i,-0.0012093+0.00038597i,-0.00066096+0.0011188i,-0.00042025+0.00092197i,0.00038811-7.8405e-05i,0.00055465+0.00041189i,-0.0003517+0.00074077i,-9.1064e-05+0.00021678i,8.7833e-05+0.00015775i,-7.5142e-05-0.00013533i,0.00044638-0.00021375i,9.7452e-05-1.0883e-05i
4.4271e-05+0.0019199i,5.3899e-05+0.0014234i,0.0014564+0.00042363i,0.0019444-0.00021517i,0.00051631+0.0002563i,-0.0011241+0.0010273i,-0.001472+0.0012664i,-0.00020224+0.00075187i,0.0010589-1.221e-05i,0.0010316-0.00014912i,0.00014517-0.00048479i,-0.00068102-0.00082032i,-0.00052518-0.00073065i,-0.0010253-0.00072968i,-0.0015443-0.00011607i,-0.0014971+0.0010078i,-0.0017338+0.0010589i,-0.001708+0.00053558i,-0.00089906-1.6134e-05i,-0.00015859+0.0002151i,-9.5709e-05+0.00025198i,-0.00019365-0.00031806i,0.00010391-0.00033305i
0.0008754-0.0020991i,2.0557e-05-0.0019911i,-7.1456e-06-0.0019726i,-0.0012578-0.0010518i,-0.0025474+0.00038456i,-0.0011829+0.0010047i,2.3675e-06+0.0014383i,-0.0002315+0.0015277i,-0.00012864+0.00040836i,0.0001547-0.00018654i,-0.00017022+0.00026358i,-0.00045225+0.00038426i,-0.00043366-0.0006054i,-0.00058156-0.0010287i,-0.00083765-0.00071514i,-0.00088834-0.00023303i,-0.00033238+0.00033926i,-0.00014348+0.00041469i,-0.00052307-0.00036462i,-0.00093313-0.00020767i,-0.00064002+5.901e-05i,-0.00035854+0.0002715i,-9.4445e-05+0.0006169i
0.0024143-0.00088699i,0.00078238-0.00048918i,-0.00059598-0.001095i,-0.0012527-0.0013619i,-0.0018538-0.0013975i,-0.0012995-0.00080189i,-6.8995e-05+0.00091536i,0.00092831+0.0013139i,0.0013237-0.00023433i,0.00066462-0.0012049i,-0.00013428-0.00073856i,6.6266e-05-1.3249e-05i,0.00068933-8.5691e-05i,-8.77e-06+9.0041e-05i,-0.00046163-0.00020227i,-0.00023002-0.00037469i,4.6352e-05+0.00027327i,-5.0824e-05+0.00058268i,-0.00073385-0.00038865i,-0.0004144-0.0013481i,0.00011933-0.00074813i,-0.00022411-0.00023218i,-0.0007106+0.00011767i
-0.0037499-0.00059814i,-0.0035143-0.00073684i,-0.0031727+2.1349e-05i,-0.0026066+0.001323i,-0.0022053+0.0022959i,-0.0016411+0.0016352i,-0.00089242+0.00069549i,-0.00038747+1.1801e-05i,-0.00053639+0.00022723i,-0.0010095+0.00065764i,-0.00088643+0.0006847i,-0.00023619+0.0004279i,0.00012016+9.3946e-05i,-9.4377e-05-0.00018846i,0.00051577-0.00010271i,0.00036319+0.00081352i,-0.0007715+0.0010116i,-0.00034501+0.00040661i,0.00027287+0.00058902i,5.6574e-05+0.00096349i,0.00035322+0.0004228i,0.00076173-0.00034493i,0.00049723-0.00056141i
-0.0013029+0.0025563i,-0.00052549+0.0021879i,-0.0001334+0.0019996i,-8.094e-05+0.0008888i,-0.00030919+0.00088535i,-0.00011393+0.0011142i,0.00017636+0.00036798i,0.00036659-0.00072514i,0.00080044-0.0014856i,0.00065902-0.0014452i,0.00012574-0.0012495i,-0.00018851-0.0008062i,-1.7303e-06-0.00020113i,-9.1167e-05-0.00049546i,0.00049872-0.00061047i,0.00079434+1.0456e-05i,0.00036878+0.00021274i,0.00014323+0.00013463i,2.7363e-05+0.00027335i,0.00025837+0.0010804i,0.00050693+0.001155i,0.00013434-3.0451e-05i,-0.00028456-0.0009401i
-0.0016032+0.00091821i,-0.00056565+0.0007933i,-0.000103-0.00082176i,0.00010528-0.00092085i,0.00025038+0.00056609i,-7.7801e-05+0.0013127i,5.0428e-05+0.0012693i,0.00020718+0.0016533i,5.1939e-05+0.0014097i,0.00011584+0.00025581i,0.00050185-0.0005715i,0.00091953-0.00055857i,0.00046347-0.00029011i,1.0138e-05-0.00018039i,-0.00052329+0.00066263i,-0.00052357+0.00088218i,6.1669e-05+0.0006164i,-3.3457e-05+0.0003556i,-0.00026558+0.00038415i,-0.00040506+0.00030333i,-7.3243e-05+0.00018619i,0.00030341+0.00014213i,0.0009431+5.1368e-05i
-0.0011862-0.0022647i,-0.0031458-0.0015132i,-0.0044415+0.00024346i,-0.0034105+0.00096154i,-0.0025166+0.0016155i,-0.0021735+0.0019238i,-0.0011571+0.00088358i,1.8436e-06+0.00036472i,0.0001446+0.00095038i,0.00088055+0.00064483i,0.0017661+0.00063649i,0.001026+0.0018564i,0.00038619+0.0016044i,0.00012219+0.00059722i,-0.0003876-0.00043249i,-0.00017283-0.0015768i,0.00018561-0.0014309i,-5.3681e-05-0.00048459i,-0.00037165-0.00019513i,-0.00085599-0.00044888i,-0.00088793-6.4577e-05i,0.00010559+0.0001424i,0.0004382-0.00037002i
0.0015287+0.0010343i,0.00097566+0.0006251i,0.00048431+0.00097308i,2.0216e-06-0.00024515i,-0.00068048-0.00086235i,-0.00079042+0.00017514i,-0.00057736+0.00021061i,-0.00017913+0.00045901i,0.00060697+0.00023941i,0.00086204-0.00042213i,0.00012447-0.00092776i,-0.00082355-0.00042429i,-0.001418-8.0602e-05i,-0.00078392-0.00071719i,-0.00028632-0.00069551i,0.00029573-0.00049687i,0.00069615-0.00079778i,0.00079032-0.00065431i,0.00041302-0.00048676i,0.00061442-0.0002581i,0.00048441+0.00037308i,-0.00066203+0.00030981i,-0.00078472-0.00024059i
0.00026696+0.0010331i,0.00093191+0.0011715i,0.0022895+0.0014193i,0.0012278-0.00049179i,-0.0001131-0.0013287i,-2.7003e-05-0.00095413i,3.3598e-05-0.00076622i,-0.00031976-0.00047897i,-0.0004394-0.0001174i,-0.00021305-0.00016624i,5.3771e-05-0.00086643i,-0.00025987-0.0011475i,-0.00034613-0.00070984i,-6.0941e-05+0.00018716i,-0.00016018+0.00076655i,-3.5557e-05+0.0007127i,0.0002761+0.00068563i,0.00065868+0.0011328i,0.00093075+0.00026156i,0.001013-0.00044935i,0.0010225+0.00014055i,0.001213-1.3624e-06i,0.00077573+3.1661e-05i
0.00091954-0.00096156i,0.0011721-0.00037143i,0.00029363+0.00032024i,-0.0009893+0.00011291i,-0.0017216-0.00058594i,-0.00093887-0.00079912i,0.00026298-0.00042348i,0.00052126+0.00021239i,0.00064491-0.00023915i,0.00016903-0.00087083i,-0.00052179-0.00092885i,-0.00012142-0.0004634i,0.00012537+0.00011038i,-0.00088075+0.00024318i,-0.00073025+0.00071557i,-4.9003e-05+0.0019222i,-0.0006689+0.0023513i,-0.00051846+0.0012745i,-0.00046694+0.00038819i,-0.00035534+0.00029817i,0.00028069-1.8644e-05i,-0.0003274-0.00026734i,-0.00069191-0.00050745i
-0.00063632+0.00076755i,-0.0006329+0.00046221i,-0.0015722+0.00095953i,-0.0021159+0.0014781i,-0.00082288+0.0020795i,0.00011881+0.001883i,0.00039763+0.0010498i,-4.2329e-05+6.7033e-05i,-0.00025073-0.00054275i,0.00030853-0.00043438i,0.0010842-0.00021837i,0.0013472-0.00013027i,0.001064+0.00032886i,-0.00035807+0.00041902i,-0.00095984+0.00048176i,-0.00038495+0.0011039i,-0.0005216+0.0010333i,-0.0002937-8.5319e-05i,-0.00011356-9.9669e-05i,-0.00056548+0.00048799i,-0.0007498-0.00012188i,-0.00063989-0.00025133i,0.00034676+0.00038697i
-0.001343+0.0009363i,-0.0012705+0.0010248i,-0.00050626+0.00039139i,0.00052128-0.00024869i,0.00047148+0.00047908i,-0.00029393+0.00086818i,-0.00057223-0.00012219i,-0.00012326-0.00057844i,0.00029103-0.00018757i,0.00093904+0.00010968i,0.0010614+0.00054565i,0.00029387+0.00073462i,-0.00019061+0.00027462i,-0.00029875+0.00055546i,3.4593e-05+0.00083785i,-8.9052e-05+0.00035866i,-0.00028349-0.00015277i,0.00016198-0.00061518i,0.00013233-0.00087356i,-0.00037742-2.3551e-05i,-0.00095459+0.00060413i,-0.0013288+0.00066772i,-0.00083952+0.00061447i
-0.0010171+0.001035i,-0.0019611-0.00019566i,-0.0012987-6.8109e-06i,-0.0019435+0.00057063i,-0.0023303+9.4256e-05i,-0.0014947-0.00044381i,-0.00057757-0.00027576i,0.00010133+0.00014346i,0.00055806+0.00012157i,-3.1046e-06-0.00026161i,-0.00065246+3.2705e-05i,9.712e-08+0.00037899i,0.00027717+0.00035085i,-0.00027935-0.00083395i,-0.00063692-0.0016567i,-4.0689e-05-0.00074586i,0.00065608+0.0002257i,0.00051018+0.00083895i,4.2037e-05+0.0013467i,-3.8752e-05+0.00080939i,0.00049772+0.00043873i,-4.9162e-05+0.00048026i,6.8306e-05-0.00016795i
0.00082861+0.0024296i,0.0020047+0.0011214i,0.00183+0.00079302i,0.00013675+0.0001889i,-0.00035153+0.00012874i,-0.00077903-7.6775e-05i,-0.00081853+0.00012446i,0.0004336+0.00055728i,0.0014196-0.00019769i,0.00099897-0.00038644i,0.00055579-0.00023337i,0.00048632-0.00067814i,0.00046395-0.0011048i,0.00035006-0.000914i,0.00033418-0.00025112i,0.00017299-6.4771e-05i,-1.3047e-05-9.991e-05i,0.00064858+0.00035938i,-5.8003e-05+0.00051599i,-0.0010079+0.00023287i,-0.00037262+0.0002725i,5.731e-05+0.00018128i,-0.00047914-2.2674e-05i
0.00015812+0.00034403i,-0.00069473+0.00097487i,-0.00092231+0.0013397i,-0.00059626+0.00082247i,-0.00088644+0.00044149i,-0.00093733+7.1908e-05i,-0.00022275-0.00040597i,0.00044161-5.3637e-06i,0.00015306-0.00014183i,-0.00012313-0.0012098i,0.00036326-0.0012608i,0.001594-0.00091123i,0.0016281-0.0001413i,0.0011049+0.00049789i,0.00085323+0.00092492i,0.00046307+0.00094299i,0.00053042+0.00090981i,9.2598e-05+0.00080578i,-0.00061943+0.00016145i,-0.0010446-0.00045977i,-0.00074581-2.7592e-05i,-0.0011294+0.0009481i,-0.0012264+0.00025708i
-0.00099074-0.0003954i,-0.00049281-0.00065397i,-0.00023818-0.0014754i,-0.00058952-0.0018359i,-0.0014116+8.0116e-05i,-0.0015629+0.0010944i,-0.0011549+0.00048928i,-0.00017975-0.00034346i,0.00024932-0.00070722i,0.00014618-0.0001482i,0.00049398+0.00072949i,0.00085162+0.00040091i,0.0006775+7.6803e-05i,-0.00030247+0.00036645i,-0.00071464+0.00060008i,-0.0005878+0.00062131i,-0.00054118+0.00036645i,-0.00037978+9.8601e-05i,0.00018442-0.0005708i,0.00042346-0.00018191i,0.00065079+0.00041764i,-4.9613e-05+0.00034538i,-0.00089756+0.00030898i
0.00070009+0.0011739i,0.00086476+0.0010215i,0.0015557+1.6771e-05i,0.0016219-0.00072067i,-0.00010624-0.00081899i,-0.0015494-0.00038867i,-0.0014381+0.00018529i,-0.00030947+0.00025143i,0.00076535+8.7293e-05i,0.00055358+2.5099e-05i,-0.00068845+0.00015563i,-0.0013281+0.00057615i,-0.0011282+0.0010544i,-0.001501+0.0010113i,-0.0018455+0.00053988i,-0.0014177-0.00037005i,-0.0011572-0.00045011i,-0.000959-4.2367e-06i,0.00015396+0.00040035i,0.00047144+0.00053009i,0.00032373+0.00022245i,0.00040054-0.00042713i,-0.00017544-0.0010122i
