-0.00011216+0.0015063i,0.00019899-0.00048154i,-0.00024865-0.0016438i,-0.0011956-0.0012875i,-0.0033035-0.00064291i,-0.0037602+0.00028396i,-0.0023401+0.0013608i,-0.0014043+0.0018786i,-0.00069253+0.001174i,0.00027682+0.00034036i,0.00018478+0.00015238i,-3.9108e-05+0.00014089i,0.0004949+0.00021357i,0.00044229+0.00016394i,0.00032616+0.00024486i,0.00020455-3.9574e-05i,0.00027139-0.00019098i,0.00083638-0.00050839i,0.00037553-0.00090533i,0.00018176-0.00077281i,0.00048993-0.00028585i,0.00030746+0.00084994i,0.00013917+0.0016361i
0.0011362-0.00024649i,0.0011306+0.0013009i,0.00096405+0.0013016i,0.00011167+3.72e-05i,-0.0008092-0.00064803i,-6.3338e-05+0.00045637i,0.00088922+0.0013909i,0.00022319+0.00063424i,-0.0001129+0.00067785i,0.00043019+0.0012136i,0.00080914+0.00036453i,0.00049552+4.8106e-05i,-0.00064922-0.00012952i,-0.00089432-0.0004766i,-0.00028496-2.5552e-05i,0.00058904+0.00019306i,0.00093036-0.00034258i,0.00018696-0.00090389i,-0.00019692-0.00035946i,-0.00054054+0.00022116i,-0.00033723-3.8751e-05i,0.00037699+0.00022231i,0.00045802+0.00027599i
0.00012915+0.0010051i,-0.00071325+0.00066267i,-0.00098705-0.00058394i,-0.00092718-0.0013876i,-0.00090804-0.00070614i,-0.0011017+0.00024972i,-0.0010777+0.00069637i,-0.0010006+0.00095893i,-0.00083165+0.0009049i,-0.00020344+0.00066982i,-5.5753e-05+0.00063367i,-0.00017759+0.00021758i,-0.00030121-5.0774e-05i,0.00021629-0.00065684i,0.0013697-0.00045089i,0.001039+1.5605e-05i,8.7573e-05-0.00017653i,-0.00038984+7.7556e-05i,-0.00049147+0.00045255i,-0.00015797+0.00097039i,-0.0001482+0.00088444i,8.6852e-05-7.374e-05i,0.00016398+9.8991e-06i
-0.00063425-2.1867e-05i,-5.7275e-05-0.00076381i,-0.00058809-0.00044576i,0.00082563-0.00054734i,0.0019453-0.0012046i,0.0012509-0.0011877i,0.0012991-0.00062163i,0.00087208-0.00012933i,-0.0005967+0.0006647i,-0.0010075+0.0013752i,-0.00068573+0.0010717i,9.874e-06+0.00057423i,-2.8973e-05+0.00067313i,-8.2444e-05-0.00011307i,0.00038393+0.00017283i,0.00013556+0.00086716i,-0.00012033+0.0002488i,-0.00026111-0.00028967i,-0.0011024+0.00017008i,-0.0014372+0.0017867i,-0.00065121+0.0019539i,0.00061662+0.00019837i,0.00095912-0.0010467i
0.0014196+0.00066052i,0.0017161+0.0005608i,0.0010182-0.00024716i,-0.00035399-0.00055456i,-0.0011767+0.00018528i,-0.00088379+0.00027847i,-0.00027289-7.4064e-05i,-0.00061079+5.8402e-05i,-0.00077445+0.00022172i,-0.00013335+0.00050027i,-0.00039431+0.00083501i,-0.00074494+0.00025294i,-0.001073-0.00041206i,-0.001127+1.2837e-06i,-0.00050533+0.00054583i,0.00018769+0.00026096i,6.3554e-05-0.00024579i,-0.00057838-0.00071204i,-0.00044102-0.00057632i,-0.00034044+3.9163e-05i,-0.0003744+0.00041366i,-0.0001102+0.0006993i,-0.00051753+0.00035833i
1.0984e-05+0.0034333i,0.00036421+0.0024139i,0.0011509+0.0014587i,0.0013494+0.00035148i,0.0011795-0.00042011i,0.0010116-3.2623e-05i,0.00085365+0.00046468i,7.9636e-05+0.00027483i,-0.00046154-7.3466e-05i,-9.377e-05-0.00012693i,0.00022696-0.00012805i,0.00035787+0.00026294i,-6.6658e-05+0.00079125i,-0.00069297+0.0010532i,-0.00025217+0.0010443i,0.00073259+0.00021957i,0.00026194-0.00034617i,-0.00061105-0.00098302i,-0.00037149-0.0007272i,-0.00035594+1.6083e-05i,-1.3415e-05+0.00064215i,0.00059818+0.0011584i,-8.0001e-05+0.00084406i
-0.00068251-0.00023144i,-0.0014181+0.00034235i,-0.0015507+0.0013741i,-0.00081284+0.0007436i,-0.00027826+0.00015618i,0.00044504-5.6796e-06i,0.00082535-0.00054227i,0.00083982-0.00061879i,0.00068715-0.0001116i,-6.1562e-05+0.00038996i,-0.00058624+0.00077636i,1.6449e-05+0.00088812i,8.015e-05+0.00015872i,-0.00024267-9.7611e-05i,0.00027211-0.00056098i,0.0011913-0.0013478i,0.0012358-0.00084845i,0.00043835+0.00035634i,-0.00029481+0.00047821i,-0.00031686+0.00037532i,-4.5515e-05+0.00015325i,-0.00016892-0.00050701i,-0.00039959-0.0004242i
0.0017492-0.00075508i,0.00072397-0.00081175i,0.00065018-0.00088707i,-0.00062534-0.00030844i,-0.0018711+0.00035016i,-0.00095001+0.00039776i,0.00050047-0.00056883i,0.0010257-0.00075561i,0.00047334-0.00026343i,0.00017432-0.00017116i,-7.1937e-06-0.00042722i,-0.00014506-0.00026964i,-0.00031535-0.0002751i,-0.00026152+0.00031787i,-0.00050044+0.00034068i,-0.00060949+0.00026462i,-0.00024564+4.9221e-05i,4.5043e-05-0.00059352i,0.00026925+0.00016718i,0.00028065+0.00071396i,0.00010313+8.4904e-05i,5.0145e-06+0.00019313i,0.00054864+0.00031952i
0.00042961+4.3439e-05i,0.00059753-0.00075203i,-5.2153e-05-0.0010367i,-0.00060922-0.00054845i,-0.00019433-0.00036415i,0.00047132-0.0007523i,0.001405-0.00082041i,0.0012768-0.00090961i,0.00034258-0.0010498i,0.00015009-0.0011508i,0.00017317-0.00077491i,-0.00050069-0.00085383i,-0.00082902-0.0011401i,-0.0013092-0.00034927i,-0.0013042+0.00024419i,-0.0010374-3.4046e-05i,-0.0010326-7.8734e-05i,-0.00015294+0.00039113i,0.00068149+0.00092899i,0.00074507+0.00096266i,0.0001501+0.00058438i,-0.00084994+0.00067028i,-0.00028853+0.00043008i
-0.002701+0.00051518i,-0.0026036+0.0013406i,-0.0032932+0.0013659i,-0.0023329+0.0019063i,-0.00079676+0.0020853i,-0.00075714+0.001594i,-0.0020493+0.00092717i,-0.004398+0.0024708i,-0.0050614+0.0047957i,-0.0028807+0.005771i,0.00012821+0.0048964i,0.0015211+0.0025944i,0.0016877+0.00051063i,0.0018403-0.000664i,0.0011084-0.0012922i,-0.00055645-0.0017831i,-0.00093191-0.001327i,-0.00074095-0.00048575i,-0.0013131+6.3365e-05i,-0.00043494+0.0012194i,0.00061611+0.0011104i,7.9599e-05-6.1632e-05i,-0.00037482-0.00056974i
-8.6967e-06-0.00030126i,-0.00036137-0.0014422i,-0.00056695-0.0021313i,-0.0014841-0.002055i,-0.00265-0.0011385i,-0.001674+0.00012581i,-0.00055741+0.0011636i,-0.00069848+0.0012894i,-0.0002881+0.00064286i,0.00033014+0.0013739i,0.00066844+0.0020937i,0.00042068+0.0012604i,0.0001603+0.0002727i,0.00039327+9.6924e-05i,0.00077952+0.00018512i,0.00088554+6.5285e-05i,0.00096653-4.5746e-05i,-0.00011051+0.00014537i,-0.00033943+0.00058303i,0.00018749+0.0012091i,0.00052869+0.00059629i,0.00057947+0.0001595i,0.0010706+0.00030449i
0.00061822-0.0009741i,0.00067979-0.0022197i,0.00037893-0.0017792i,-0.001231-0.00064528i,-0.0019203-0.00051213i,-0.0014236-0.00032318i,-0.0018033-8.6028e-05i,-0.0015407+0.00045647i,-0.0014207+0.0019248i,-0.0011881+0.0022317i,0.00047272+0.0018256i,0.00096039+0.0012015i,0.00040623+0.00098361i,0.00079631+0.00087801i,0.0010421+0.00041046i,-0.00041192-0.0006264i,-0.0013552-0.0010185i,-0.00087419-0.00015201i,-0.00045727-2.0128e-05i,-0.0002905+0.00019392i,0.0001759+0.00032943i,0.00048006-0.00011784i,-0.0001289+6.8724e-05i
0.0012973-0.00064942i,0.002014-0.0015714i,0.0018645-0.0016094i,-0.00030344-0.0019945i,-0.0020827-0.0021024i,-0.0012738-0.00091952i,-0.00037205+4.5658e-05i,-0.00092837+0.00058111i,-0.0013792+0.0018732i,-0.00037011+0.0025199i,0.00092958+0.0017219i,0.0010666+0.00073442i,0.00047424+0.00049248i,-0.00020353+0.00085903i,-0.0010783+0.0004086i,-0.0011359-0.00028643i,-0.00047744-0.00020108i,-0.00059723-5.9566e-05i,-0.00088226+0.00040675i,-0.00074636+0.00085829i,-0.00078288+0.001404i,-0.00051069+0.0012083i,-7.9803e-05-0.00036085i
0.00031281+0.0012063i,0.00056386+0.00045493i,-1.8316e-05-0.0001066i,-0.00040544+5.1059e-05i,-0.00042559-2.9923e-05i,-0.00047893-0.00038473i,-0.00081579+2.3465e-05i,-0.0020683+0.00062566i,-0.0019572+0.001362i,-0.00076453+0.0010883i,7.8737e-05-0.00019805i,0.0002015-0.00033149i,0.00016922-0.00025878i,0.00026592-0.00051704i,-0.00015736-0.00050564i,0.00016915-0.00074046i,0.00024122-0.00073376i,-0.000156-0.00046126i,7.1651e-05+7.831e-05i,-0.00022129+0.00048917i,-0.0005307+0.00024859i,-0.00020042+0.00058745i,1.1671e-05+0.00087209i
-0.00095104-0.00032824i,-0.00075101-6.4601e-05i,0.00026386+0.00042019i,0.00074905-4.2935e-05i,-0.00040412+4.6617e-05i,-0.00077073+0.0005233i,-0.00014415+0.00046971i,0.00021182+0.00027371i,-0.00036535+0.00021567i,-0.0006613+0.00048454i,-0.00012869+0.001151i,-4.0996e-05+0.0013093i,-0.00039443+0.00089033i,0.00022825+7.4771e-05i,0.0011744-0.00078319i,0.0010856-0.00039493i,0.00062769-0.00020919i,-0.00027874-0.00096122i,-0.00079613-0.00078911i,-0.00050714+0.00026165i,-0.00035308+0.00054168i,0.00014782+1.2042e-05i,0.00054749+0.00012662i
0.00013132+0.00085385i,0.00027553+0.00032441i,-4.9228e-05-0.00038721i,-0.00032691-0.0018771i,9.2982e-06-0.0026122i,-0.00011682-0.0012713i,-0.00016786+0.00010684i,-5.8414e-05+0.00049076i,-0.00050777+0.0006977i,-0.00024295+0.00048719i,0.00017264+0.00011828i,-7.1115e-05+0.00044012i,-0.00030895+0.0014288i,-8.358e-05+0.0011392i,0.00020408+0.00014015i,0.00037419+0.00011893i,0.00062208+9.7251e-05i,-2.8189e-05-0.00078931i,-0.00059677-0.00094919i,1.2055e-05-0.00015745i,0.00044256+0.00013378i,0.00015627+0.00032421i,0.00021615+0.00094837i
-7.5236e-05+0.00065331i,-0.00018974+0.000681i,-0.0003984-0.00042243i,-0.001785-0.0013766i,-0.0015454-0.00094911i,-0.00025462-1.9745e-05i,0.00020911+0.00069981i,-0.00029754+0.00075857i,-0.00032399+0.0010423i,0.00052759+0.0015849i,0.0010233+0.0013905i,0.00062711+0.00069173i,0.00051165+9.1075e-05i,0.00015638-6.8114e-05i,-0.00012352+0.00021852i,-6.6979e-05+0.00034585i,-0.00053755+0.00045851i,-0.000874+0.00070405i,-0.00091089+0.00038609i,-0.00084232+0.0003958i,-0.00033758+0.00042476i,-0.00016475+0.00024378i,-0.00037484+0.00058199i
-0.0016195+0.00093847i,-0.0023991+0.0009785i,-0.0021756+0.0012212i,-0.001759+0.00099353i,-0.00086205+0.0011275i,5.5548e-05+0.0013986i,0.00027777+0.00058295i,-3.9786e-05+0.00038819i,-0.00048749+0.00072453i,0.00012056+0.00058025i,0.0012613+0.00037488i,0.0011408+0.00021075i,-4.5797e-05+0.00019824i,-0.00096481+0.00075232i,-0.0010007+0.00071297i,1.4013e-05+0.00028832i,0.00068881-0.00028722i,0.00038155-0.00039366i,-0.00019919-0.00041575i,-0.00070099-0.00053517i,-0.00073657-0.00010048i,2.5223e-05+8.1707e-05i,0.00090294+4.2663e-06i
0.00042472-0.00064986i,9.9594e-05-0.0017625i,-0.0010805-0.0017012i,-0.0012564-0.0006548i,-0.00045817-0.00032612i,-0.00037143+0.00035628i,-0.00042177+0.00059069i,-0.00089304+0.00040151i,-0.0012974+0.0010337i,-0.00053798+0.0013432i,-3.6984e-05+0.0011971i,0.0004292+0.00069361i,0.00027468-0.00027921i,-0.00072311-0.00076364i,-0.00081503-0.001212i,-0.00036972-0.00074669i,-8.4525e-05+0.00048205i,-0.00015517+0.00070691i,-0.00095908+0.00018585i,-0.0010482+0.00036762i,-0.00020368+0.00026272i,0.00027184-0.00031802i,0.00063244-0.00012003i
-0.0013538+2.1834e-05i,-0.0012204-6.0574e-05i,-0.0010087-0.0017715i,-0.0020182-0.002244i,-0.0020111-0.001049i,-0.00075179+0.00014905i,0.0007839+0.0003247i,0.0011357+0.00025966i,-0.00031267+0.00069233i,-0.001024+0.00070112i,7.2732e-05+0.00082939i,0.000583+0.0010107i,0.00065606+0.00059551i,0.0009817+0.00041132i,0.00033955+0.00047971i,-0.00010654+1.5406e-05i,0.00041099-0.00042611i,6.9767e-05+7.3384e-05i,-0.00059779+0.00062835i,-0.00038212+0.00060574i,0.00016477+0.00044634i,0.00031997-3.7902e-05i,0.00041057-0.00014976i
-0.0023317-3.9404e-05i,-0.00074252+0.0011675i,0.0003733+0.0028437i,0.0011013+0.0030251i,0.001886+0.0017362i,0.0021676+0.0008936i,0.0017022+0.00045516i,0.00071667+0.00013168i,0.00019211+0.00079883i,0.00053762+0.0016219i,0.00050233+0.0011452i,0.00029278-0.00020938i,0.00017104-0.00023093i,0.00020939+0.00044354i,0.00018008-1.8378e-05i,-7.7752e-05-0.00071761i,-0.00026932-0.0010243i,-0.00056034-0.0010699i,-0.00057222-0.00065908i,0.00022109+0.00048377i,-5.8914e-05+0.00096562i,-0.00070608+0.00024194i,-5.7852e-05-0.0001918i
-0.00149+0.00092955i,-0.0011079+0.0019i,-0.0011092+0.00093854i,-0.00046398-5.5066e-05i,-0.00064227+2.5042e-05i,0.00015441+8.4403e-06i,0.00023746+0.00033913i,-0.00017467+0.00065643i,0.00013367+0.0014398i,0.00094331+0.0016655i,0.0010341+0.0011099i,1.0848e-05+0.00092986i,-0.00069087+0.00037386i,-0.0010887-7.8063e-05i,-0.00063133-0.00047755i,-7.2322e-05-8.979e-05i,-0.00032157-1.0093e-05i,-0.00062957-0.00019498i,-0.00046339-0.00068236i,-8.1911e-05-0.00044755i,3.3396e-05+0.0001193i,-0.00017609-0.00080956i,0.00048761-0.001385i
-0.0017504-0.0031605i,-0.0028662-0.0022778i,-0.0037553-0.0023351i,-0.0039545-0.0011837i,-0.0033639+0.00073721i,-0.0015501+0.0011022i,-0.00036557+0.00020426i,-0.0003163-0.00056494i,-0.00028078+0.00012807i,-0.00029827+0.0010937i,-0.00029957+0.0006585i,0.00041946-0.000392i,0.0010573-6.3052e-06i,0.00068616+0.00022444i,0.00020428-8.7884e-05i,-0.00061201-0.00059073i,-0.0012496-0.00056411i,-0.00035419-7.9845e-05i,-0.00010695+4.1083e-05i,-0.00024021-4.3716e-05i,0.00014538+0.00013932i,0.00069176+0.0005917i,0.0009358+0.00059261i
4.3624e-05-0.00057722i,-0.00020246+0.0003857i,-0.0010178+0.00014089i,-0.0012082-0.001353i,-0.00065079-0.0011305i,0.00018141-1.3997e-05i,0.00047346+0.00042172i,-0.00027693+0.000155i,-0.00087708-0.00011965i,-0.00038619-0.00024934i,-0.00070509+0.00021587i,-0.00096599+0.00071024i,-0.00065147+0.00035901i,0.00014726+0.00070539i,-8.1213e-05+0.00077597i,-0.00076444-0.00021962i,-0.00073853-0.00041516i,-0.00085359-0.00047968i,-0.00085568-0.00043322i,-7.6193e-05-0.00046519i,0.0005749-0.00063536i,0.00051075-0.00076524i,0.00050674-0.00084061i
-0.0012874-0.00095756i,-0.0012889-0.0010621i,-0.0008866-0.00041364i,-0.00089558-0.00030064i,-0.0014712-0.00047958i,-0.00055259+0.00050507i,-9.2663e-05+0.0010847i,-0.00097722+5.8127e-05i,-0.0016214+5.2962e-06i,-0.0018765+0.00072523i,-0.0014125+0.00055592i,-4.3481e-05+0.00048625i,0.00056383+0.00086926i,0.00014799+0.0012689i,0.00019661+0.00037867i,-1.625e-05-0.00069913i,-0.00022641-0.00080643i,-0.00078897-0.00059903i,-0.00084565-0.00012373i,-0.00036356+0.00037077i,-0.00014675+0.00056275i,8.8558e-05+0.0010847i,0.00010268+0.0011129i
0.00090019-0.00042424i,0.0011169-0.0011248i,0.00041874-0.0017035i,-0.00046991-0.0020825i,-0.0008774-0.0014894i,-0.00063984-9.9372e-05i,-0.00031797+0.0010367i,-0.000297+0.00061855i,0.00020632+0.00057927i,0.00076349+0.0012342i,0.00010363+0.0011851i,-0.00039162+0.00049528i,-0.00016878+0.00046947i,0.00020587+0.00089795i,0.00042492+0.00079898i,0.00033047+0.00016229i,-0.00041346-0.00034897i,-0.001037-0.00037486i,-0.00040805-0.00014759i,0.00055502-0.00025545i,0.00069673-0.00058303i,0.00011566+0.00012243i,0.00011982+0.00059259i
-0.00073675+0.00057926i,-0.00056042+0.00055658i,-1.747e-05+0.00011443i,0.00058488-0.00012823i,0.00082927-0.00039289i,0.00064716-0.00028945i,0.00072338+0.00037383i,-0.00020574+0.0013422i,-0.00060451+0.0014416i,0.0008949+0.0012656i,0.0011506+0.001196i,0.00060488+0.00030157i,0.00015608-0.00059083i,-0.0003163-0.00071117i,-0.00018709-0.00030932i,0.00013088+0.00011113i,0.00031019-3.5673e-05i,-0.00020384-3.7739e-05i,-0.00046686-0.00022093i,0.00033228-0.00034003i,0.00013029+0.0004633i,-0.00069589+0.00017746i,-7.4892e-05+4.9603e-05i
0.0022703-0.00018113i,0.0021617-0.00073237i,0.0024386-0.0026531i,0.0014301-0.0037228i,-0.00051463-0.0024403i,-0.0010153-0.00080144i,-0.00026684-9.3165e-05i,-0.00043668+0.00088513i,-0.00074126+0.0011998i,0.00021188+0.0014114i,0.00066117+0.0012597i,0.0005277+0.00023416i,0.00058872+0.00040777i,0.0011266+0.0012976i,0.0013135+0.0008354i,0.00072829+0.00024885i,-0.00044537-0.00032642i,-0.0013946-0.00077758i,-0.0012538-0.00030453i,-0.0010307+0.00034299i,-0.00069551-6.8283e-05i,0.00011207-0.00064517i,0.00059423-0.00046079i
0.00016036+0.00068974i,-0.0006099+0.0004407i,-0.0016161+0.00044959i,-0.0030832+0.00070042i,-0.0026409+0.00043385i,-0.00077182+0.00076321i,-0.00063916+0.0003235i,-0.0012792-0.00030492i,-0.00080519-0.00017563i,-0.00046949+0.00014582i,-0.00035083+0.00058756i,-0.00034808+0.00050431i,-1.9516e-06+3.635e-05i,0.00042709-0.00012529i,0.00052956+8.2822e-05i,0.00036691+0.00087842i,-2.4853e-05+0.00079216i,0.00044757+0.00047764i,0.00078303+0.0010249i,0.00069908+0.0012123i,0.00087813+0.0010506i,0.0008799+0.0011495i,0.00087324+0.00061509i
0.00010542-0.00093602i,0.0015604-0.00084736i,0.0005951-0.00095395i,-0.00060714-0.001246i,-0.00084669-0.00051877i,-4.0385e-05+0.0012153i,0.0010598+0.0013155i,-0.00020112+0.00059976i,-0.00083178+0.00033417i,-2.3144e-05-0.00026712i,0.00016726-0.00032413i,-0.00039047+0.00064388i,-0.00055698+0.00044321i,-0.00075342-0.00019861i,-0.00059451-8.9108e-06i,-0.00034908+0.00029065i,-0.00051734-0.00020948i,-0.00049419-0.00034261i,-0.00061721+0.00024044i,-0.0007871+0.00038163i,-0.00030448+0.00070677i,0.00046409+0.00099202i,0.00034361+0.00047219i
0.00080329-0.0008942i,0.00098858-0.0011551i,0.00036145-0.0020106i,-0.00071909-0.0016728i,-0.0017593-0.0002998i,-0.00087166+0.00073603i,-8.6356e-05+0.00079213i,-0.00021981+0.00037388i,-0.00024888+0.00089842i,-0.00011099+0.0021129i,0.00077161+0.0016223i,0.0010644-8.8529e-05i,-0.0001757-0.00067744i,-0.00098259-0.00068962i,-0.00098149-0.00071307i,6.9147e-05-0.00099778i,0.00090403-0.001196i,0.00026742-0.00072664i,-0.00097148-0.00035277i,-0.0013863-0.00044616i,-0.00085401-1.4965e-05i,-0.00018977+0.00014568i,0.00018443-0.00048321i
-0.0017344+0.000107i,-0.0019098+0.00039952i,-0.0010542-0.00024576i,-0.00016702+0.00010593i,-0.00076366+0.0014095i,-0.00051834+0.0017482i,0.00010144+0.001082i,-0.00035257+0.00016106i,-0.0011377+0.0010141i,-0.00094341+0.0015031i,-0.0003777+0.00088871i,-5.0717e-05+0.0013355i,-5.4147e-05+0.001665i,0.00014182+0.0008476i,0.00032528+0.0004356i,0.00040618+0.00014181i,-0.000193-0.00039453i,-0.0012063-0.00037846i,-0.0014274-0.00054227i,-0.0006478-2.2446e-05i,-0.00018229+0.0011104i,-0.00069917+0.00087909i,-0.00042529+9.0265e-06i
1.2392e-05+0.00093698i,0.00028357-0.00054117i,0.00066464-0.0012906i,0.00057122-0.0018135i,0.00011341-0.0017033i,-0.00032449-0.00079727i,0.00044275+0.00017557i,0.00037587+0.0010167i,-0.00028424+0.0015521i,0.00010973+0.0017625i,0.00064772+0.0012402i,0.00073161+0.00016187i,1.573e-05+7.686e-05i,-0.00080614+0.00026226i,-0.00077219+0.0004952i,-0.00075673+0.00043343i,-0.00075436+0.00030555i,-0.001044+0.00077563i,-0.00089239+0.00099933i,-0.0007233+0.00068276i,-0.00065198+0.00034841i,2.7757e-05+0.00054939i,0.0004692+0.00036892i
0.001221-0.0010919i,4.4188e-05-0.0010559i,-0.00087302-0.0015567i,-0.0016785-0.0021459i,-0.0013791-0.001835i,-0.00018251-0.00057834i,0.00040909-0.00025046i,1.648e-05+0.00032897i,0.00023481+0.0010587i,0.0013997+0.0019126i,0.001334+0.0015977i,0.00064558-0.00051389i,5.5284e-05-0.00011559i,-0.0006634+0.00071144i,-0.00066021-2.8208e-07i,-1.6902e-05-0.00042938i,-0.00019807-0.0004346i,-0.00071819-0.00028453i,-0.00034157-0.00017491i,0.00019648+0.00028105i,3.8138e-05+0.00064517i,8.9131e-05+0.00084172i,0.00095203+0.00092417i
-0.00092597+0.00017693i,-0.00037121-0.00073632i,0.00059154-0.0027677i,0.0003732-0.0035487i,-0.0010796-0.0022745i,-0.00072796-0.00071291i,0.00080748+0.00018744i,0.00013601+0.00044298i,-0.00070205+9.9258e-05i,-0.00013586+0.00017772i,0.00046102+0.00079715i,0.0006755+0.00096846i,0.00023519+0.00036479i,-0.00022837+0.0010466i,0.00032339+0.0014399i,0.00080349+0.00095829i,0.00079228+0.00028505i,-0.00010664-0.00024702i,-0.0012447+0.00020302i,-0.00071928+0.00062841i,-0.00052013+0.00026314i,-0.00087898+0.00036207i,-0.00058607+0.00069354i
-0.00061489-0.00048955i,0.0010899+0.001183i,0.0012841+0.0020615i,-0.00024123+0.0010506i,-0.0013787+0.0001918i,-0.0012222+0.00066406i,-0.00060753+0.00082188i,-0.00014304+0.00027078i,3.0035e-05-0.0002012i,-3.8347e-05-0.00031991i,0.00021499-0.0003169i,0.00048442+2.992e-05i,-0.0003381+0.00094i,-0.0011907+0.00089664i,-0.00082247+0.0005236i,-0.00055836+0.00053809i,-0.00076619+0.0003109i,-0.00043092+0.00065202i,-0.00048773+0.0012934i,-0.00054139+0.00053945i,-4.3704e-05+0.00043655i,0.00028193+0.0008139i,0.0004129+0.00014697i
0.00084376-0.00018295i,0.000202-0.0013387i,0.00040311-0.0026891i,-0.00080883-0.002541i,-0.0015367-0.0018876i,-0.0011342-0.00078121i,-0.0011361-0.00037126i,-0.0010922+0.00033588i,-0.00080385+0.0013313i,-0.0016844+0.001572i,-0.0020517+0.0015889i,-0.0011248+0.0010642i,-0.00030527+0.00082233i,-0.00019176+0.00042544i,-0.00058794+0.00033109i,-0.00077821-0.00014496i,-4.9963e-05-0.0010118i,0.00013379-0.00019356i,-0.00067882+0.0006415i,-0.00011452+0.00064299i,0.00011292+0.00030312i,-0.00028696+0.00043337i,0.00027372+0.00036358i
0.00078886-0.00025576i,0.00040842-0.00028755i,0.00043025-0.00050959i,0.00032747-0.001092i,-0.00055939-0.0012059i,-0.00070961-0.00054861i,-0.00022831+4.2416e-05i,-0.00057961+0.00041574i,-0.0012278+0.00082958i,-0.0012999+0.00094296i,-0.0011897+0.0012214i,-0.00099098+0.0003121i,-0.00022461-6.3788e-05i,-0.00011122+0.00095909i,9.3523e-05+0.00052637i,0.00054715-0.00081382i,0.0005027-0.0013124i,0.00030994-0.00065218i,0.00035183+0.00043203i,8.3709e-05+0.00048946i,-0.00048181+0.0005907i,-0.00036694+0.00081885i,0.00039021+0.00030136i
-8.8242e-05+0.0030034i,0.00056119+0.0042512i,0.00030742+0.0039321i,0.0014327+0.0020227i,0.0026898+0.0016783i,0.0021132+0.0011206i,0.00051316+0.00042674i,-0.00055721+0.00030298i,-0.0011063+0.00054764i,0.00031314+0.00035425i,0.0017031+0.00018641i,0.0012491-0.00033913i,0.00015144-0.00095171i,-0.0003123-0.00011801i,-0.00060674+0.0003755i,-0.00060185+0.00023581i,0.00024714+0.00010533i,-0.00029927-0.00072519i,-0.0005422-0.0011851i,0.00014671-0.00073428i,0.00054382-3.7065e-05i,0.00065503+0.00059713i,0.00062132+0.00064847i
0.0022408+0.0013273i,0.0012399+0.00043729i,0.0010953-0.00086932i,0.00047304-0.0021769i,-0.00020562-0.0025212i,-0.00022342-0.0012868i,-0.00023586-0.00011122i,-0.00027351+0.00082563i,-0.00014728+0.0015485i,0.00027132+0.0016232i,0.00089163+0.0016508i,0.0014377+0.00084208i,0.0010841+6.5878e-05i,0.0005194+0.00073611i,0.00075895+0.00048664i,0.00032213-0.00059064i,-0.00090405-0.00064839i,-0.0012913+7.3604e-05i,-0.0011467+0.00023487i,-0.0014254+0.00060561i,-0.0013489+0.00070409i,-0.00049266-0.0001378i,0.00018741-0.00024451i
-0.00098481-0.0032144i,-0.0021204-0.0030174i,-0.0031894-0.0017241i,-0.003186+0.00022565i,-0.0025338+0.0014992i,-0.00091105+0.001776i,0.00055298+0.00079408i,-0.00030108+9.4542e-06i,-0.0013348+0.00037593i,-0.00076909+0.00078612i,-9.37e-05+0.00072383i,0.00029637+0.00017282i,-0.0003511+8.5749e-05i,-0.00026012+0.00029301i,-0.00020083+0.00062772i,-0.00057068+0.00097205i,-0.00097741+0.00034944i,-0.0015356-7.7094e-05i,-0.0011708+0.00039138i,-0.00088745+0.0005122i,-0.00081161-0.00016527i,-0.00063376-7.7236e-05i,-0.00047808-3.5601e-06i
-0.0016064-0.00047657i,-0.0018045-4.2138e-05i,-0.002687+0.00045456i,-0.0025153+0.00095212i,-0.00021578+0.0013109i,0.0014977+0.0017362i,0.00086347+0.00087586i,-0.00063343+0.00076867i,-0.0015117+0.0013907i,-0.00070174+0.0012164i,-9.3331e-05+0.00067349i,-0.00052101+0.00042519i,-0.0006731-9.451e-05i,-0.00035395+8.5372e-05i,0.00021694+0.00022481i,0.00054903-0.00022068i,0.00047628+5.3953e-05i,-0.00022932+4.1271e-05i,-0.00043084+0.00027141i,0.00010993+0.000538i,0.00016873+0.00064576i,-2.5613e-05+0.00059639i,0.00011423+0.00042604i
0.0003973+0.0029932i,0.0013795+0.0028401i,0.0026711+0.0026035i,0.0036166+0.0013305i,0.0027686-0.00097291i,0.0017228-0.0018199i,0.000662-0.0012171i,-0.000579-0.00058873i,-0.0017166-0.00028574i,-0.0020082+0.00027603i,-0.0017346+0.00097937i,-0.0014211+0.00095375i,-0.0004494+0.00059438i,0.00020863+0.00036518i,-0.00047302-0.00097086i,-0.00064546-0.0011465i,-0.00021269-0.00036087i,-0.00056631-0.00026072i,-0.00073927-1.7186e-05i,-0.000399-7.3729e-06i,-1.881e-05-0.00025546i,0.00056583-0.00082911i,0.00020456-0.0011318i
