-0.0013938+3.5377e-05i,0.00075167-0.0012292i,0.00063161-0.00205i,8.4609e-05-0.0012178i,-0.00062328+0.00029115i,-0.00089722+0.0007375i,5.6221e-05+0.0014925i,0.00083324+0.0016788i,0.0013801+0.0017166i,0.0013483+0.00077927i,0.00069101+0.0001619i,0.000647+9.497e-05i,0.00074883-0.00048609i,0.00058885-0.0012551i,0.00030607-0.0010519i,-0.00027331-0.00044154i,-0.00048437-5.2112e-05i,0.00017541+1.976e-05i,-5.1979e-05+0.00028304i,-0.00016587+0.00026288i,0.0003397-0.00065337i,-0.00038291-0.00093624i,-0.00059067-0.00029391i
-0.00057298+0.002108i,0.00023054+0.0027168i,0.0016606+0.0032035i,0.0020039+0.0019204i,0.002422+0.00080912i,0.001401-3.154e-05i,-0.00044166-0.00011363i,-0.00080115+0.0004827i,-0.00034724+0.001095i,1.5993e-05+0.00087443i,0.00011025+0.00032263i,-0.00022333+0.00060174i,-0.0004136+0.00065942i,-4.6379e-06+0.00063081i,0.00026725+0.0004528i,-0.00013042-0.00036168i,-0.00095406-0.00046499i,-0.0012773-9.7488e-05i,-0.00064521+0.00067659i,-0.0003552+0.0010061i,-0.00051686+0.00038988i,-0.00066086+0.00011034i,-0.00035357+6.0064e-06i
0.00088235-0.0017857i,0.00078603-0.0011006i,0.00014965-0.0011677i,-0.0012908-0.00051342i,-0.0012445-0.0002841i,-2.7508e-05-0.00024838i,0.00041473+0.00047604i,-0.00061732+0.00059666i,-0.00034042+0.00016943i,0.00020574-0.00022677i,-0.00015624-0.00027154i,-0.00043489+0.00026931i,-0.00032536+0.00052569i,0.00059589+0.00054975i,0.00056954+0.000578i,-0.00010461+0.00039219i,-0.00043196+0.00010853i,7.4778e-05-0.0003145i,-0.0001167+3.3487e-06i,-0.00085582+0.00034247i,-0.00056811+0.00039069i,-8.1292e-05+0.00012491i,-0.00037199-8.3263e-05i
0.00037863+0.00030605i,0.00044961+0.00071471i,0.0006672+0.00027662i,0.0012524-0.00074197i,0.0016377-6.1164e-05i,0.001787+0.0010081i,0.00091645+0.00071751i,-0.00010179+0.00045352i,-5.8277e-06+0.00026779i,0.00042772+8.4678e-05i,-8.6763e-05+0.00045502i,-6.743e-05+0.00059434i,-0.00041635+0.00045682i,-0.00093579+0.00067539i,-0.00031708+0.00078065i,0.00025003+0.00098572i,0.0001884+0.00030497i,0.00052349-0.0006364i,0.00093453-0.00034835i,0.00031268+1.8129e-05i,0.00018167+0.00032323i,0.00013938+0.00075733i,-0.00053948-0.00029346i
-0.0006347-0.00029656i,-0.00035076-0.00023803i,-9.3545e-05+0.00021594i,0.00019672+0.00071821i,0.00059104+0.00066007i,0.00060926+0.0002097i,0.0003038+0.00083701i,0.00078874+0.00096701i,0.00085653+0.00036185i,0.00018536-0.00010277i,-0.00067864+0.00021708i,-0.00073742+0.00063289i,0.00019876+0.00045347i,0.00090248+2.1901e-05i,0.00073137-0.00028224i,4.2287e-05-0.00011061i,-0.00010432+5.1418e-05i,0.00083163-2.0794e-05i,0.001062+0.00060485i,0.00023131+0.00092645i,-0.00023753+0.00021819i,-7.4261e-05-8.5828e-05i,3.2735e-07+0.0004023i
-0.00067186-0.0014511i,-0.00014725-0.00024055i,0.00029507+0.00098383i,0.00040952+0.00037132i,0.00092555-0.0010459i,0.00091247-0.00076492i,0.00043842+8.5308e-05i,0.0002177+0.00011548i,0.00030583+0.00026036i,0.00032985+0.00058625i,0.00076779+0.00042803i,0.00099264+0.00031161i,0.00040728+0.00081802i,0.00090579+0.00097197i,0.00065997+0.00064351i,0.00012204-0.00028107i,-0.00026283-0.00013827i,-0.00042854-0.00021798i,-0.00035049-0.0013365i,-0.00028446-0.0014937i,0.00046027-0.0012271i,0.0003481-0.00054128i,0.00029016+6.9982e-05i
0.0017312+0.00011802i,0.0010264+0.00034918i,0.00057411+0.00016826i,0.00068409-0.00051221i,0.00076523-0.00098945i,-0.00060371-0.00038688i,-0.0014707+0.00045841i,-7.6705e-05+0.00077956i,0.0015163+0.00051928i,0.0016517+6.8352e-06i,0.00080779-0.00032415i,1.9397e-05-0.00022837i,-0.00023757-6.5169e-05i,1.2892e-05+0.00033426i,-0.00034009+0.00074933i,-0.00057125+0.00060147i,3.4213e-06+0.00028775i,0.00029026+0.00035396i,0.0002362+0.00027141i,0.00026574-9.4559e-05i,-0.00010074+0.00015299i,4.179e-05+9.2726e-05i,0.00018228-0.0010727i
0.0023571+0.0023654i,0.0028407+0.00095327i,0.0040902+0.00032387i,0.003941-0.00054149i,0.0022259-0.0013453i,0.00088776-0.0014464i,0.00013055-0.0006854i,-0.00042387+0.00026985i,-0.00031242-0.00033369i,0.00027877-0.00087919i,0.00057702-0.00028997i,0.00031615+0.00033049i,0.00031297+0.00075594i,0.00040088+0.00095918i,2.0598e-05+0.00080639i,-0.00027366+0.00032381i,9.0776e-05+0.00025253i,0.00052821+0.0007639i,0.00011082+0.00098386i,-0.00019049+0.00055282i,-0.00015822-6.3333e-05i,-0.00057395+0.00026727i,-0.00068074+0.00013319i
-0.00018857+0.00074484i,-0.00076471+0.0010565i,-0.0020775+0.0010109i,-0.001311+0.00063591i,0.0008094+7.6184e-05i,0.0012169-7.9563e-05i,0.00034045+0.00042741i,0.00030709+0.0010395i,0.00064864+0.00092688i,0.0002472-0.00063195i,2.0178e-05-0.0012304i,-0.00034508-0.00080416i,-0.0003723-0.00035424i,0.00017381+0.00033553i,7.8778e-05+0.00060666i,-0.00033743-0.00012863i,-0.00019263-0.00075874i,0.00016237-0.00035224i,0.00016222-0.00020744i,0.00049659-0.00033189i,0.00092842-8.1358e-05i,0.00082678+0.00018264i,3.5473e-05+0.00028834i
0.0012643-0.0008651i,0.00052611+0.00026623i,0.00026009+0.0018215i,0.0011333+0.0022066i,0.0015572+0.00097889i,0.001165+0.00030292i,0.00047453+0.00040724i,0.00023992+0.00029296i,0.00045771+0.0005806i,0.00074153+0.00062314i,0.0012375+0.00066429i,0.00053892-8.9208e-06i,-0.00022668-0.00045966i,-0.00024994-0.00069242i,0.00057617-0.00061848i,0.0011904+0.00035708i,0.00018215+0.00036634i,-0.00013273+0.00038341i,0.00071412+0.00029946i,0.00069763+0.00056963i,-1.1815e-05+0.0011728i,-0.00034165+0.0010279i,0.00012095+0.00046272i
-0.002096+0.0004014i,-0.0012731+0.0017218i,-0.00046475+0.0017435i,0.00053926+0.0018215i,0.00079504+0.0016385i,0.00074274+0.0012115i,0.00046026+0.0011191i,-0.00034349+0.00093321i,-4.5212e-05+0.00084709i,0.00019559+0.0009736i,-0.00027999+0.00087982i,-0.00065509+0.00025586i,-0.00085983-0.00034702i,-0.0007949-7.939e-05i,-0.00088472+0.00032899i,-0.00060763+0.00012479i,-0.00015834-0.00035296i,-0.00058321-0.0006247i,-0.00064965-0.00011109i,-0.00029304+0.00079367i,-0.00054572+0.00098164i,-5.765e-05+8.7059e-05i,0.0012163-0.00015153i
0.0014146-0.00069152i,0.0023386-0.0012532i,0.0030504-0.00042824i,0.0019523-0.00039377i,8.606e-05-0.0013376i,-0.00024738-0.0011139i,-8.1634e-05+9.3839e-05i,-0.00012916+0.00084263i,0.00010698+0.00084693i,-0.00032692+0.00070782i,-0.00067555+0.00074223i,-0.00017876+0.0005931i,-6.185e-05+0.00077918i,-0.00034063+0.00047951i,-0.00045918-0.00040303i,0.00019511-0.00037706i,-0.00022694-0.00010285i,-0.00062177-1.5921e-05i,-0.00016415-0.0004359i,-0.00031123-0.0004796i,0.00024532+6.9074e-05i,0.00081995+0.00045742i,0.0012586+0.00021809i
0.0004943+0.0013562i,0.00048327+0.0014083i,0.00022915+0.0013616i,0.00089705+0.0011326i,0.0015256+0.00018133i,0.00047566-0.00040461i,-0.00049455+0.00017193i,-0.00071426+0.00062025i,0.00026653-0.00031219i,0.0014642-0.0011217i,0.0010975-0.00038109i,-8.5575e-05-0.0001798i,-0.00028708-0.000696i,0.00071685-3.5771e-05i,0.00032572+0.00025226i,-0.00065988-0.0004271i,-0.00043332+0.00042846i,-9.0067e-06+0.0013568i,0.00019268+0.00068879i,0.00055608-0.00030418i,0.00027488-0.00026596i,0.00044003-0.00012041i,0.00068531+9.6406e-05i
0.0011605-0.00048577i,0.00054008-0.00049955i,-0.00022432-4.9048e-05i,2.0054e-05+0.00010599i,0.00054873-0.0010482i,-0.00048281-0.0012047i,-0.0016329-0.00059794i,-0.0012827-5.5964e-05i,0.00015493+0.00049662i,0.00047171+0.00016978i,-0.00029831-0.0011345i,-0.00035517-0.0013407i,-0.00046598-0.00029807i,-0.0003516+0.00032232i,0.00015844+0.00025288i,-5.5626e-05-0.00075328i,-0.00022335-0.000964i,0.00025525-0.00067576i,-0.00014412+0.00018276i,-0.00095762+0.00027459i,-0.00053378-0.00030049i,-0.00038724-1.0913e-06i,-7.8295e-05+5.367e-05i
-0.0005707-0.0017813i,-0.00052889-0.00036896i,-0.0010626+0.0015527i,-0.00063802+0.0017145i,-1.8306e-05+0.0007258i,0.00041706+0.00025471i,0.00038126+0.00017441i,0.00035862+0.00016157i,0.00070583-0.00022278i,0.0011394-0.00088507i,0.0015261-3.6075e-05i,0.00097161+0.00029842i,0.00017256+0.00013276i,0.00034512+0.00020796i,0.00022032+0.00035683i,5.5044e-06+0.00094166i,0.00035898+0.0012922i,0.00048451+0.0010391i,0.00055415-0.00010627i,0.00097991-0.00095645i,0.00082156-0.00045351i,0.00096572+0.00029673i,0.00098055-6.9759e-05i
0.0033343+0.0013515i,0.0025881+0.00061336i,0.0025784-0.00087433i,0.0024154-0.0012683i,0.00098399-0.0007578i,0.00031079-0.00032882i,-4.504e-05+0.00050516i,-0.00039494+0.0012433i,1.0668e-05+0.0009589i,0.00025659+0.00018971i,0.00034495-9.6541e-07i,-0.00018926+0.00059503i,-0.00079083+0.00089019i,-0.00090829+0.0011144i,-0.0010201+0.0013052i,-0.00031887+0.00076108i,-1.315e-05-1.031e-05i,0.00020327+1.3388e-05i,4.9513e-05+6.9946e-05i,-9.7812e-05-0.0004798i,0.00029148-0.00025482i,-0.00025502+4.0663e-06i,-0.00077842-0.00011045i
-0.00047451+0.00052371i,-0.0009827+0.0017752i,-0.0023299+0.0020397i,-0.0010167+0.0022156i,0.00067933+0.0017162i,0.00082208+0.00040544i,0.00017201+0.00019708i,-0.00053691+0.00022655i,-4.8346e-05+0.00021515i,0.00036226+0.00050701i,0.00067165+0.00060016i,0.000537+0.00076608i,-0.00017493+0.000604i,-0.00012949+0.00013656i,0.00012423+0.00034147i,-0.00071+0.00085324i,-0.0012713+0.00049028i,0.00044018-0.0001082i,0.0014372-0.00013835i,0.00088519+0.00028662i,0.00030956+0.00027831i,-3.303e-05-0.00012983i,0.00012913-0.00051378i
0.001519+0.0017147i,0.0023765+0.0015404i,0.0035155+0.0013663i,0.0028984+0.00050653i,0.0015877-0.00076858i,0.0005507-0.00061802i,-0.00011153+0.0004504i,-0.00023191+0.00085707i,0.00090192+0.00047849i,0.0013062+0.00011205i,0.00035018+2.5481e-05i,-0.00054173-0.00035671i,-0.0010018-0.00033306i,-0.0014012-0.00042338i,-0.00079325-0.00038258i,0.00020524+0.00080827i,0.00014776+0.00060286i,-0.00029704-8.3073e-05i,-0.00024159+0.00014218i,-6.9318e-05-1.7635e-05i,0.0002247-0.00017489i,0.00070775+0.00013832i,0.00057903+0.0004711i
-0.00089471-0.00022104i,-0.00073651+0.00053694i,-0.0011276+0.0016978i,-0.00073806+0.0020469i,0.00075879+0.0011467i,0.0011221+0.00013446i,0.0009909-0.0003138i,0.00022936-0.00014504i,-0.00044586+0.00030793i,-0.00025747+0.000215i,0.0007357-0.00026224i,0.00097592+0.00023128i,0.00053756+0.00072894i,9.124e-05+0.00080712i,-0.00012451+0.00039422i,0.0001825-0.00030792i,6.2391e-05-0.00025835i,-1.8923e-05+0.00081226i,0.00010701+0.0008292i,9.2042e-05+1.2619e-05i,-0.0001863-0.00014261i,-0.00047672-0.00021776i,-0.00028321-0.00041252i
-0.0010793+0.0017889i,-0.00091389+0.0017211i,-0.00020588+0.0022129i,0.0016624+0.0015853i,0.0026749+0.00042206i,0.0010767-0.00022888i,-0.00050677-0.00072821i,-0.00021963-0.00030257i,0.0004115+0.00052722i,0.00030095+0.00049988i,2.9096e-05-0.00037493i,-0.00033179-0.0005439i,-0.0006485-0.00010875i,-0.000813+0.00040554i,-0.0007358+0.00056545i,-0.00028119+0.00045202i,9.7404e-05+0.00080926i,-0.00062788+0.0010388i,-0.00042157+0.0010466i,-0.00022614+0.00076784i,-0.00034649+0.00075957i,-0.0003436+0.00082691i,-4.9571e-05+0.00054132i
0.00097928+0.0010558i,0.0010203-0.00031844i,0.0017381-0.00049327i,0.0029658-5.4114e-05i,0.0029391-0.00064039i,0.0015986-0.0010485i,0.00039368+0.00028796i,7.3503e-05+0.0015178i,7.7584e-05+0.001563i,-0.00058124+0.001196i,-0.00064009+0.0002415i,-0.00069633-0.00022211i,-0.00061871+8.8947e-05i,-0.0006809+0.00093476i,-0.00064561+0.0011215i,-0.00020245+0.00017004i,0.00012806+1.4004e-05i,0.00028346+0.00059951i,1.9398e-06+0.00031304i,-0.00038679-0.00037883i,-0.00068021-1.8572e-05i,-0.0010678+0.0003046i,-0.0012971+0.0012116i
0.00081023-0.00034572i,0.0023202-0.00049939i,0.0020539-0.0012377i,0.0010848-0.0017208i,-3.8016e-05-0.0011541i,-0.00069989-0.00050626i,-0.0010447+0.00016219i,-0.00042231+0.00088291i,0.0007479+0.00069376i,0.00052235+0.00066412i,-7.9568e-05+0.00051151i,9.8193e-05+0.00024673i,0.00016407+0.00082144i,0.00083165+0.0010441i,0.0012157+0.00062844i,0.00046188-2.6664e-05i,0.00012422+0.00015576i,-0.00024761+0.00040268i,-0.00012109-6.7939e-06i,0.00011114-0.0002041i,0.00061585-0.00040591i,0.00029768-0.00061237i,-0.00027777-0.0003856i
-0.0024104-0.00035394i,-0.0023812+0.00045063i,-0.0024308+0.0029939i,-0.0013185+0.0033379i,0.00030319+0.0013734i,0.0011173-6.7994e-05i,0.0011192-0.00022837i,0.00025442+1.1456e-06i,-3.917e-05+0.0005691i,0.00011148+0.0012097i,0.00045666+0.00089424i,0.00077075-0.00021094i,0.00074988-0.00015828i,0.0009178-3.2146e-05i,0.00056861-0.00029652i,0.00035003+0.00018657i,0.00012755+0.00021577i,-9.3463e-05-0.0001134i,-1.8928e-06-0.00041077i,0.00038487-0.00053967i,5.3158e-05-0.00039042i,-0.0007185-0.00060404i,-0.00015486-0.0011072i
0.00084168-0.00023039i,0.001909-7.0694e-05i,0.002413-0.00076082i,0.0021848-0.00082576i,0.0015922-0.00032388i,0.0011574+0.00036876i,-0.00022413+0.0013744i,-0.00143+0.0014273i,-0.00061441+0.0013204i,-9.5601e-05+0.00092066i,-7.4066e-05+0.00043793i,0.00011356+3.8423e-05i,0.00014487-0.00042879i,0.00061892+0.00035624i,0.00035618+0.0014383i,-0.00034798+0.00094496i,-0.0010533+4.2146e-05i,-0.0017107-0.00016615i,-0.0011222+7.1178e-06i,-0.00092816-0.00010348i,-0.0016068-0.00027568i,-0.0013999+2.8739e-07i,-0.00051869-8.0319e-06i
-0.0016781-0.00051881i,-0.00064887+0.00083791i,-0.00090525+0.0013725i,-0.00090961+0.001681i,-9.6126e-05+0.0027465i,0.00050996+0.0030187i,-0.00010617+0.001768i,0.00021819+0.00071426i,0.00057128-6.0582e-05i,-4.7778e-05+0.000332i,-3.1847e-05+0.0015117i,0.00097869+0.0013506i,0.0014305+0.00052771i,0.00032378+0.00034073i,-0.0001187+0.00045066i,0.00015905+4.2561e-05i,-0.00027124-0.00022031i,-0.00056237-0.00034599i,-0.00038151-0.00041281i,-0.00039465-6.1589e-05i,-0.00053245+0.00050851i,-0.0005177+0.00066951i,0.00023142+0.00017417i
-0.0003804-0.0015393i,-0.0003671-0.001706i,-0.0011238-0.0011022i,-0.0019038+0.0003744i,-0.0018946-0.00013886i,-0.00073465-0.00070034i,-6.9717e-05+0.00052631i,-0.00036796+0.0015475i,9.8889e-05+0.00061532i,0.00048356-0.00070937i,0.0004081-0.00094378i,-2.4424e-05-0.00069333i,0.00018301-0.00010105i,0.00015144+0.00022629i,-0.00018709-0.00034126i,-0.00041331-0.00016724i,-0.00038562+0.000116i,-0.00045819+4.911e-05i,-0.00076525+0.00014506i,-0.00054072-0.00021479i,0.00036555-0.00024502i,0.0010991-0.00012002i,0.0011743-0.00041619i
-0.0012492-0.00067172i,-0.00039487-0.00021163i,0.00094675+0.0004521i,0.00097814+0.00076213i,0.00035648+0.00036143i,0.00044672+0.00019128i,0.00019196-0.00015303i,-0.00030772-0.00013834i,-0.00051954+0.00018811i,-0.00079026+0.00033403i,-0.00065471+0.00085946i,-0.00013668+0.00034008i,0.0002144-0.00048602i,-8.2875e-06+0.00013073i,-0.00047699+0.00088091i,-0.00019104+0.00075314i,0.00010913+0.00067571i,-0.00031094+0.00035455i,-0.00022046+6.2118e-05i,-0.0001141+0.00052328i,-0.00012617+0.00050149i,0.0010896+0.00028187i,0.0016502+0.00019343i
0.00011123-0.00047228i,-0.00063412-0.00019595i,-0.00082231+0.00062442i,-0.00022502+0.00066049i,0.00016796+0.00023668i,5.1503e-05+0.0005578i,0.00070479+0.00015712i,0.00041618+0.00025286i,-0.00038984+0.00077267i,-6.9756e-05+0.00083907i,-4.4455e-05+0.00053491i,-0.00019742+1.0376e-05i,-0.00024815-7.504e-05i,-0.000566+0.0002503i,-0.0003116+0.00071885i,-8.0238e-05+3.5263e-05i,-0.0012145-0.00053087i,-0.0014603+0.00031551i,2.5052e-05+0.0010175i,0.00039979+0.0010546i,-0.00044167+0.00055493i,-0.0016342+0.00036406i,-0.0013782+0.00019069i
0.00038096+0.00045352i,0.00064746+0.00043164i,0.00046381+0.00032212i,0.000453+3.4625e-05i,0.00055269+0.00044343i,0.00012567+0.00046231i,-0.00024237+0.00052624i,5.3899e-05+0.00055187i,0.00013013+0.00031993i,0.00051077+0.00025999i,0.00075867+0.00096789i,6.2496e-05+0.00149i,-0.00035012+0.0013316i,-0.00083154+0.0012204i,-0.00038219+0.00083985i,0.00057976+1.0994e-05i,0.00051385-0.00090754i,-0.00052543-0.0013231i,-0.0017538-0.00093394i,-0.001748+0.00010765i,-0.0011869+0.00035374i,-0.00026453-0.00011669i,0.00080721-2.3658e-05i
-0.00073687-0.00072891i,-0.0003611+0.00048208i,0.00019285+0.0010609i,0.00066756+0.0013703i,-3.4508e-05+0.0016798i,-0.00035573+0.0010289i,0.00052861+0.00066361i,0.0010072+0.0013334i,0.00031335+0.0011396i,-0.00019861+0.00011234i,-6.9509e-05-0.00042945i,0.00047097-7.6481e-05i,0.00062112-0.0005996i,4.0841e-05-0.0017529i,-8.8051e-05-0.001543i,-5.2324e-05-0.00084535i,-0.00023663-0.0003487i,-0.00036264+0.00013207i,-0.00042032+0.00034527i,-0.00025874+0.00063049i,0.00059224+0.0014507i,0.00016985+0.0013405i,-0.00016559+0.00059118i
-0.00055205-0.00073187i,-0.00093626+0.00035673i,-0.00032408+0.00047972i,0.00010141+0.00075385i,0.00018239+0.0009888i,0.0010219+0.0013446i,0.00078537+0.0012705i,-0.00047219+0.00049579i,-0.00013108+0.00046592i,0.00019831+0.00039823i,3.5242e-06-0.00017656i,-0.00013551-0.00045041i,0.0001778-0.00049286i,0.00060973-0.0001871i,0.00019293-6.6587e-05i,5.7648e-05-0.00063395i,-0.00015657-0.00083408i,-0.0001759+0.00027727i,0.0006426+0.00090847i,0.00085932+0.00080693i,0.00013383+0.00045502i,-0.00058801-3.4748e-05i,0.00014226+5.7125e-05i
-0.00045359-0.00032957i,0.00035005+0.00072577i,0.00076855+0.0019177i,0.0013865+0.0013148i,0.0016484-0.00033534i,0.00014675-0.0003593i,-0.00026644-0.00013804i,0.0002205-0.00012077i,0.00069935+0.0005652i,0.00047849+0.0004305i,-0.00019045-0.00012531i,0.00011218-0.00027469i,0.00039609+4.7633e-05i,-0.00018219+0.00023497i,-0.00056107+0.00014516i,-0.00074112-5.386e-05i,-0.00020922-0.00020165i,0.00054061+0.00037833i,-1.4647e-05+0.0014953i,-0.000274+0.0013669i,-7.3537e-05+0.0006536i,3.4187e-05+0.00033619i,0.00030531+0.00089284i
-0.00015968+0.00020265i,-0.001041+0.00068371i,-0.0011566+0.0012031i,0.00064125+0.00074654i,0.0020533+0.00069793i,0.0017219+0.00089538i,0.0003092+0.0011902i,-0.00051675+0.00079079i,-0.00023099+0.00043234i,0.00067359+0.00034482i,0.00077325-1.304e-05i,0.00038565-0.00057289i,-3.5446e-06-0.00086491i,-0.00052911-0.00058382i,-0.00067096-0.00050619i,-8.5466e-05-0.00059125i,0.00036508+0.00015751i,0.00017937+0.0012229i,0.00059376+0.0010883i,0.00073545+0.00061739i,0.00054722+3.3885e-05i,0.00028295-0.00059261i,-1.9892e-05-0.00064766i
0.0006749+0.001828i,0.0014393+0.0015489i,0.002239+0.0012408i,0.0031883+0.0015443i,0.0035243+0.00051575i,0.002245-0.00070751i,0.00082623-0.00036014i,-0.0004962+0.00071739i,-0.0010345+0.001487i,-0.00070991+0.0013004i,-0.00065746+0.00011105i,0.0001786-0.0010188i,0.00010559-0.00080276i,-0.00081797+0.00027492i,-0.00049304+0.00069254i,-0.00024212+0.00014016i,-0.0004698-3.4045e-05i,-0.00055909+0.00051696i,-0.00064283+0.00071359i,-0.00015687+0.00077401i,-0.00021637+0.00054216i,-0.00078957-9.297e-06i,-0.00029639+0.00012656i
-0.00056134-0.0026194i,-0.0007118-0.0013686i,-0.00163+2.9298e-05i,-0.0010113+0.00072639i,0.0001947+0.00028742i,0.0010575-6.5885e-05i,0.00095763+0.00025841i,0.000169+0.00042631i,0.00027179+0.0002818i,-6.8163e-05+0.00016685i,-0.00026268+9.477e-05i,0.00082771-0.00021683i,0.0015427-0.00064043i,0.0014942-0.00052744i,0.0011416+0.00036765i,0.00036434+0.00087973i,-0.00049362+0.0010026i,-0.0010826+0.00064816i,-0.00087439+0.00044778i,-0.00017909+0.00073965i,2.0349e-05+0.00092265i,-1.2099e-05+0.00092306i,0.00033054+0.00076722i
0.00054644-0.00066102i,0.0017264+0.00073722i,0.00076569+0.001039i,3.4204e-05-5.2516e-05i,3.1882e-06-0.00095305i,0.0003967-0.00099976i,0.00030328-0.00041097i,0.00031112-0.0003708i,0.00066776-0.00069128i,0.00078337-0.00089495i,0.00049431-0.00053283i,0.00043223+3.4729e-05i,9.9329e-05+6.2208e-05i,-0.00018664-7.7018e-05i,-0.00023835+0.00031246i,-0.00049122+0.00078991i,-0.00057302+0.00013493i,-0.0005101-0.00096968i,-0.00031949-0.00011007i,-0.00089542+0.00076903i,-0.0015239+0.00071814i,-0.00090487+0.001113i,0.00043905+0.00039897i
-0.00034069+0.00031566i,-0.00015658+0.0001624i,-9.3143e-05+0.0005135i,6.6172e-05+0.00036307i,0.0010309-0.00052068i,0.0010542-0.00059919i,-6.5608e-05+0.00014391i,0.00058297+0.00079682i,0.0017093+0.00097306i,0.0013404+0.00023848i,0.00016811+0.00026526i,-0.00046547+0.00061244i,-0.00032377+0.00021778i,-0.00015596+0.00022972i,0.00013159+0.00072953i,-0.00022187+0.00086361i,-0.00064706+0.00060171i,-1.6418e-06+0.00010615i,-0.00030152+0.00026182i,-0.00038727+0.00062897i,-0.00067758-6.1784e-06i,-0.0008748-0.00067518i,5.9754e-05-0.00053377i
0.0024427+0.00089937i,0.0040314+0.00022421i,0.0044015-0.00059821i,0.0028816-0.0014536i,0.0015574-0.0026141i,0.00027066-0.0021733i,-0.00045658+0.00011859i,-2.5279e-05+0.0013696i,0.00070095+0.0012007i,0.00092478+0.00051267i,0.00091834+8.9991e-05i,0.00039108+0.0004393i,6.5859e-05+0.00098623i,0.00021049+0.00020929i,0.00050004-0.00059843i,0.0002302-0.00050923i,6.0048e-05-0.00028042i,0.00026282+8.5803e-05i,0.00028584+0.00063865i,-0.00010981+0.00031372i,-0.00046161+0.00011156i,-0.00014819+0.00056736i,0.00025274+0.00024555i
-0.0012285-0.00071172i,-0.00090401-0.0006684i,-0.0011596-0.00018664i,-0.0013127+2.2217e-05i,-0.00030277+0.00070483i,0.0004007+0.00079214i,2.7204e-05+0.00025497i,-0.00012694+0.0004103i,0.00038194+0.00041483i,0.00074306+0.00052402i,0.00084928+0.0003397i,0.0005157+0.00028401i,-0.00029748-0.00064348i,-0.00011624-0.0012238i,-0.00013409-0.00041708i,-0.00079172-0.00050549i,-0.00070983-0.00031205i,-0.00053461+0.00069274i,0.00013017+0.00048382i,0.00044886-0.00037269i,0.00053618-0.00042487i,0.00052909+0.00034897i,-0.00027777+0.00064741i
-0.00068429-0.00030341i,0.00083392-0.00015236i,0.00056258+0.0013222i,0.0003089+0.0024625i,0.00030846+0.0015326i,0.00024727+6.7327e-05i,-0.00017908-0.00029841i,-0.00019491+0.00010155i,-8.98e-05+0.00055218i,-0.00031227+0.00083649i,-3.0284e-05+0.00094373i,0.00014131-0.00021411i,6.8633e-05-0.0010307i,0.00038187-0.00034334i,0.00044716-2.3568e-05i,0.00011567-0.0004578i,0.00026548-0.00020809i,0.00074489-0.00014889i,0.00089575-0.00033539i,-1.9758e-05-0.00034477i,-0.00051721-7.966e-05i,0.0001086+0.0002355i,0.00039041+0.00038635i
0.00045249-0.0011758i,0.00059958-0.000283i,-0.00016076+0.00055877i,0.00037877+0.0011377i,0.00063385+0.001317i,0.00024419+0.0015442i,0.00021721+0.0014825i,0.00050296+0.00073929i,0.00085001-0.0005985i,0.00094674-0.00052948i,0.00018811-9.9752e-05i,-5.9696e-05-0.00032703i,0.00011272-0.00031928i,-0.00040166-0.00053761i,-0.00043324-0.00053925i,-0.00021565+0.00042257i,-0.00015221+0.00066464i,0.00027207-3.0616e-05i,0.00018572-0.00023064i,0.00030481-0.00034604i,0.00067747-0.00068228i,0.00038722-0.00028946i,0.00031409-0.00039143i
-0.0020245+0.0010006i,-0.0011734+0.0017471i,-0.00011141+0.0017034i,0.0012568+0.0022259i,0.0018912+0.0020581i,0.0019239+0.00034503i,0.0013693-0.00084116i,0.00070768-0.00033989i,9.802e-05+0.00077598i,0.00046732+0.00065225i,0.00090037-2.1721e-05i,0.00055363-8.6435e-05i,0.00090684-0.00024904i,0.00050391-0.00036527i,-0.00033339+2.067e-05i,0.00016366+0.00012328i,0.0007577-0.00080714i,0.0010632-0.00082026i,0.0010834-0.00038663i,0.0005518-0.00056294i,0.00079731-0.00014325i,0.00059148-3.4708e-05i,-0.0001187+0.00010263i
-0.00093867-0.00025981i,-0.0012564+1.6173e-05i,0.00060532+0.00032242i,0.0013159-0.00018013i,0.00050255-0.0010682i,-0.00044398-0.00062321i,-0.00061779+4.8662e-06i,0.00031939+0.00011062i,0.0014417+0.00037594i,0.0010576+0.00024252i,-0.00010656-0.0002543i,0.00043834-0.00019909i,0.00077703+0.00012481i,-0.00083312+0.00035488i,-0.0014746+0.00040043i,-0.00098076+0.00013186i,-0.00017528-0.0004387i,0.00061106-5.3942e-05i,5.3795e-05+0.00074206i,-0.0012856+0.00069424i,-0.0013124+0.00074176i,-0.00078546+0.00077514i,-0.00079424+0.00031247i
