0.0012383+0.0019382i,0.0022672+0.0015783i,0.00087395-0.00012582i,-0.00072324-0.000952i,-0.0013232-0.00057195i,-0.0017232+0.0012558i,-0.0015823+0.0022311i,0.00017643+0.0011248i,0.0014547+0.00022565i,0.0012285-0.00049311i,0.00085558-0.00079035i,0.00033826-0.00075245i,0.00043368-0.00092881i,0.00021171-0.001199i,0.0001078-0.0015289i,0.00025253-0.00071619i,0.00026421-0.00050824i,0.00051587-0.0013158i,0.00016156-0.001195i,-6.7776e-05-0.00079443i,0.00018233-6.2006e-05i,0.00027419+0.00064805i,-0.00054364+0.00076215i
7.8044e-05+0.0013144i,0.00030877+0.0018043i,0.0009877+0.0013511i,-0.00029146+0.0005889i,-0.0016607+0.000338i,-0.0013721+0.0005249i,-0.00068634+0.0006697i,-0.00026519+0.00012263i,2.9924e-05-0.00090484i,-0.00027088-0.0011739i,-0.00029371-0.00048198i,-0.00025284-6.5475e-05i,-8.4424e-05+0.00047453i,6.8868e-05+0.001135i,-0.00025036+0.00045276i,-1.308e-05+0.00014858i,0.00044336+0.00035402i,0.00028504-0.00039384i,-0.00032719-0.0010832i,-0.00031171-0.00090313i,0.00023721-0.00016547i,-0.00014473-0.00013772i,0.00041011-0.00019996i
-0.00067452-0.0013918i,-0.00075497-0.0017374i,-0.0005001-0.0017264i,-0.00097888-0.001056i,-0.0013466+0.00030389i,-0.00066042+0.0015137i,-0.00068096+0.0010172i,-0.00043458-0.00036526i,-0.00014885-0.00066543i,-0.00013666-0.00076123i,-0.00044435-0.0007839i,-0.00084426-0.00041587i,-0.00060957-3.9202e-05i,0.00043917-0.00020067i,0.0012149+0.00011307i,0.0007042+0.00027244i,0.00031552+3.2616e-05i,-0.0001974+0.00037931i,1.9006e-05+1.7585e-05i,-7.8464e-05-0.0005563i,-0.00068803-0.00052781i,-0.00034585-6.9199e-05i,6.7098e-05+4.1936e-05i
-0.0011335-0.0017274i,-0.0010723-0.00084532i,-0.00095808-9.5903e-06i,-0.0012137+0.0010614i,-0.00096245+0.0013523i,-0.00038592+0.0017293i,-0.00060295+0.0019701i,-9.4433e-05+0.0010255i,0.00062174-7.871e-05i,0.00034612-0.00028918i,0.00066244+6.2098e-05i,0.00077135+0.00077472i,0.00010412+0.0006782i,0.00057573+0.00034433i,0.00067632+0.00091827i,-3.6876e-05+0.00060822i,0.00038338+0.00054495i,0.00013814+0.00040224i,-0.00081314-0.00021324i,-0.00078342+7.8085e-05i,-0.00030212+0.00029047i,-0.00027899+0.00068487i,-0.00051926+0.0010479i
0.0022361-0.0014875i,0.0020443-0.0024388i,0.00080832-0.0024712i,-0.0010274-0.0015321i,-0.00099357-0.00068462i,-0.00088078+0.00053867i,-0.0010927+0.001447i,0.00047863+0.0013011i,0.0018187-0.00033982i,0.0010751-0.0012208i,-0.00035653-0.00029826i,-0.00020429+0.00078555i,0.0006914+0.00124i,0.00036911+0.00138i,-0.00049764+0.0017803i,-0.00079237+0.0014511i,-0.00043218+0.00034933i,0.00050906+0.00012301i,0.00096111+0.00051539i,0.00042572+0.00054215i,0.00022903+0.00053548i,-0.0001339+0.00073225i,-0.00047325+0.00028091i
0.0024135-0.00062839i,0.0024467-0.0023993i,0.0010543-0.0024836i,-0.0003382-0.0012456i,-0.00032322-6.1307e-05i,0.00028992+0.00035798i,-8.3177e-05+0.0011278i,-0.00050362+0.0016897i,4.7886e-06+0.00073299i,-6.9506e-05+0.00050301i,-0.00046941+0.00079562i,-0.00037764+0.00058295i,-1.0147e-05+0.00057554i,0.00038775+2.7897e-05i,0.00074191-0.00024257i,0.00025982+0.00036351i,-0.00031771+0.00081427i,-0.00070848+0.0007378i,-0.00039673+0.0002396i,0.00021152-0.00022332i,2.3229e-05+0.00058447i,-0.00015438+0.0012307i,-0.00021814+0.00052516i
-0.00015966+0.0021696i,-0.00019404+0.0020854i,-1.8636e-06+0.0025256i,0.00037307+0.0026657i,0.00028583+0.0015028i,-0.00012996+0.00063818i,-0.00086557+0.0007219i,-0.00089081+0.00035285i,-0.0005563+0.00077802i,-0.00081064+0.0011244i,-0.00050972+0.00068861i,0.00025724+0.00022446i,0.00016688+6.3571e-05i,0.00021079+0.00053574i,0.00075823+0.0003614i,0.00037402-0.00020994i,-0.00023376+0.0001561i,3.9206e-05+0.00089874i,0.00027562+0.0014624i,0.00027403+0.00038286i,-9.834e-05-0.00057406i,-0.00022219-5.7114e-05i,-0.00013927+0.00043951i
-8.2174e-05+0.0011907i,0.00027565+0.001494i,-0.0006612+0.0011437i,-0.001002+0.0011712i,-0.00090383+0.001348i,-0.00029847+0.00060198i,0.00031949+0.0005577i,0.00030443+0.00026787i,0.00050648-0.00050007i,0.00015859-7.7264e-05i,0.00024244-0.00032239i,0.001125-0.00098439i,0.0015286-0.00048971i,0.00057987+0.00012917i,-8.3633e-05+0.00023768i,-0.00014953+0.0003596i,-0.00036169+2.7306e-05i,9.9766e-05-0.00033554i,-8.0777e-05+5.1299e-06i,0.00011723+0.00040221i,-2.1757e-05+0.000727i,-0.00096115+0.00098491i,-0.0010587+0.0009673i
0.00058567+0.0010685i,0.00070608-0.00044596i,0.00038112-0.0016723i,-0.00027049-0.0010584i,-0.00092238-0.00027629i,-0.001278+4.4857e-05i,-0.0011967+0.00021712i,2.2232e-05+0.00035452i,0.00049479+0.00021988i,0.00037477-7.0436e-05i,-0.00037689-0.0002886i,0.0002479+0.00014317i,0.0011308+0.00053453i,0.00046884+0.0004626i,0.00049909+0.00052367i,0.00061252+0.0006056i,0.00020835+0.00057143i,-0.00016804+0.00049522i,-0.00073243+0.00064019i,-0.0010614+0.00029341i,-0.00062926+0.00011954i,-0.00011097+0.00020034i,0.00020961+0.00034232i
-0.00064671+0.0022713i,0.0015925+0.0018469i,0.0020478+0.00054579i,0.00070217+0.00047885i,-1.1918e-05+0.0010687i,0.00044788+0.00071274i,0.00062934+0.00082341i,-0.00033875+0.00063092i,-0.00063961-0.00044486i,-0.00010238-0.0011292i,0.00039285-0.00094327i,0.0007969-0.00055312i,0.0005825-0.00026199i,-0.0001329+4.3692e-05i,-0.00037689+0.00025512i,0.00014649+0.00061518i,0.00025964+0.00063656i,1.0684e-05+0.0004094i,-0.00045854-0.00031365i,-0.00071672-0.00065736i,-0.00057364-0.00014095i,2.8844e-05-9.6341e-05i,0.00014627-0.0005382i
-0.0009675+0.0023185i,-0.00072539+0.0026376i,0.00011794+0.0024192i,0.0004626+0.0011578i,0.00030495+0.00060771i,-2.6461e-05+0.00083995i,-0.00026827+0.00079081i,0.00076047+5.7779e-06i,0.00093175-0.00037232i,-0.00011397+9.328e-05i,-0.00053005+0.00040253i,-6.588e-05-0.00024014i,0.00030537+0.00028347i,0.0001135+0.00054279i,-0.00013286+0.0001457i,-0.00024614+0.00065397i,-0.00011477+0.00064529i,-0.00023265-3.1683e-05i,4.9497e-05-0.00021324i,0.00033368+0.00038333i,0.00066039+0.00043272i,0.0011112+4.074e-05i,0.00052056-5.2053e-05i
0.00069438+0.00023221i,0.00019281-0.00046127i,-0.00039567-0.0011688i,-0.00064183-0.0016561i,-0.00031174-0.00066333i,-0.0004213+0.0005768i,-0.00059711+0.0012445i,-0.00055141+0.00081821i,0.00029263-0.00054165i,0.00096137-0.0010003i,0.00033797-0.00059177i,-0.00033776-0.00043168i,-0.00051594-0.00039279i,-0.0004893-0.00012241i,-0.00039719+0.0008591i,-0.00019391+0.00078618i,-0.00020796-0.00011207i,-0.00024024-0.00042748i,-0.00034252+0.00012563i,-0.00046611-0.00018675i,-0.00025791-0.001426i,-0.00015209-0.0010574i,0.00022523+4.1653e-05i
0.00073625+0.00035392i,0.00063646-0.00011534i,0.00088997-0.0013134i,0.00015087-0.0016885i,-0.00079716-0.0012196i,-0.00072116-0.00041917i,-0.00040965+0.00028309i,0.00043936+0.00024029i,0.0010436-0.00050612i,0.0005121-0.00089838i,3.4503e-05-0.001033i,0.00013481-0.00040729i,-0.00058284+0.00052564i,-0.0010582+0.0004258i,-0.0013745+0.00042184i,-0.0012664+0.00066593i,-0.00023699+0.00087079i,0.0004497+0.00053388i,0.00011024-0.00018695i,-0.00014206-0.00047097i,7.1831e-05-0.00063296i,0.00017641-0.00097488i,0.00013043-0.00035882i
-0.00078724-0.00036975i,5.8704e-05-0.00065932i,0.0013199-0.00073006i,0.0011936+0.00042615i,9.8444e-06+0.00076115i,-0.00053088+6.8287e-05i,-0.0001408+7.8297e-05i,0.00016602-0.00087274i,2.4492e-05-0.0018553i,0.00010846-0.00095602i,2.9148e-05+0.00060168i,-5.753e-05+0.001533i,0.0003553+0.0012971i,0.00059742+0.0009082i,0.00061803+0.00026095i,0.00056314-0.00027619i,-6.3629e-05-0.00040729i,-0.00019362-0.00035676i,-0.00056667+0.00024241i,-0.00079564+0.00063179i,-0.00018983+8.4721e-05i,0.00012091-0.00063439i,0.00015127-0.00042257i
7.0706e-05+0.00072874i,0.00091437+0.00047102i,0.0017939+0.00014323i,0.0020746+0.0008332i,0.0012947+0.0011827i,0.00043371+0.00056528i,-0.00042557+0.00052121i,-0.00055851+0.0003322i,-0.00041706+0.00028392i,-0.00053315+0.00032502i,-0.00057538-0.00046559i,-0.00013759-0.00068386i,0.00048605-0.00069204i,0.00073168-0.00018462i,0.00046023+0.00016568i,8.1828e-05-4.7858e-05i,0.00026258+4.6796e-05i,0.00038454-0.00012865i,0.00048111-0.00016027i,0.0005239-0.00022817i,0.00038662-0.0002167i,0.00041425+0.00019295i,0.00072755-0.00020926i
-0.00037641+0.0024487i,0.00026851+0.0028531i,0.00029528+0.0016033i,0.00018008+0.00046222i,-5.5624e-05+0.00042097i,-0.00028632+7.7283e-05i,-0.00014062-9.6932e-05i,0.00036983-0.00083916i,0.00061009-0.0014217i,0.00039678-0.00085521i,9.8783e-05-0.00017983i,-0.00029498+0.00016962i,-0.00053033+0.00042217i,-0.00049649+0.00011483i,-0.00019626-0.00028934i,-7.3224e-05-0.00050446i,-0.00011419-0.00022271i,-0.00027896+0.00018481i,0.00018228-3.3559e-06i,0.00028201-0.00034594i,-0.00049022-0.00037599i,-0.00082677+0.0004626i,-0.00043622+0.00079877i
-0.00052563+0.0014553i,-0.00076962+0.00079532i,-0.00042484+0.00049428i,0.00037662+0.00011615i,-0.00011692+0.0002929i,-0.0010209+0.00052376i,-0.00035938+0.00061664i,0.00048542+0.00072147i,0.00018866+0.00030961i,5.9996e-05-0.00010121i,0.0003796+0.00013069i,0.00060258+0.00030789i,0.0002127-0.00046268i,0.00046814-0.00089671i,0.00074382-0.00037283i,0.00065544-1.1965e-05i,0.00087557-0.00013372i,0.0004353+0.00031472i,-6.7034e-06+0.00053203i,-0.00027767-9.9161e-05i,0.00020177-0.00080736i,0.00059871-0.00057325i,-0.0002836+0.0011471i
2.5391e-05+0.001126i,0.00091402+0.00024426i,0.00096913-0.00049543i,-0.00039684-0.0006588i,-0.0016249+0.00026707i,-0.0012582+0.00095993i,2.6305e-05+0.00054313i,0.00083304+0.00023866i,0.00074418+0.00015001i,0.00030919-0.00029492i,0.00021164-0.00056672i,0.00037185-0.00054574i,0.00075155-4.3068e-06i,0.00092262+0.0012162i,0.00066059+0.0016043i,3.2365e-05+0.00068446i,-0.00018505-0.0001731i,-0.00051578-0.00061948i,-8.5669e-05+3.2055e-06i,0.00035267+0.00041911i,-6.4453e-05-0.00011856i,0.00015756-0.0003257i,0.00050497-0.00057474i
-0.0011185+0.00039647i,-0.0017906+0.00027369i,-0.0010005-0.00098885i,-0.00066399-0.0013612i,-0.00092444-0.0004971i,-0.00059468+0.00040812i,-0.00012897+0.00083564i,0.000201-4.5563e-05i,-8.6184e-05-0.0011292i,0.00042355-0.0003826i,0.001215+0.00091699i,0.00085598+0.00047177i,0.00028109-0.00014053i,0.00069319-6.0982e-08i,0.00085298+0.00050014i,0.00035523+0.00063475i,-0.00036469-2.4576e-05i,0.00029592-0.00031005i,0.00091509-1.991e-05i,0.00037534+7.9964e-05i,-9.8556e-05-0.00016323i,7.1771e-05+0.00019369i,0.00051039+0.00093107i
-0.0010641+0.0010108i,-0.00013702+0.0010352i,0.00029815+0.0018339i,0.00039686+0.0017999i,0.00015991+0.0011445i,0.00032287+0.00073615i,-6.5495e-06+0.00088643i,-0.00017164+0.0011364i,0.00032557+0.0004385i,-0.0002459-0.00011143i,-0.0010643+0.00018038i,-0.0012433+0.00057611i,-0.0011046+0.00048842i,-0.0011498+0.00038842i,-0.0014803+0.00033896i,-0.001073-6.3354e-05i,0.00015656+0.00054185i,0.00032504+0.001451i,7.8343e-05+0.0011127i,-0.00012276+0.00039318i,-0.00074338-0.00016739i,-0.00080925-0.00010816i,-2.0677e-05-0.00029354i
0.00082028-0.0010565i,0.00046119-0.00074391i,-0.00076305-0.00021296i,-0.0013387-0.00034929i,-0.0012423+0.00046775i,-0.00078948+0.0011414i,-0.00055273+0.0010629i,-0.00022412+0.00059411i,-0.00024945-0.00036925i,-0.00049985-0.00082636i,-0.00016917-0.00040074i,-0.00029181-0.00026185i,-0.00028544+0.00039025i,0.00044401+0.00099575i,0.00035221+0.00076669i,-0.00022249+0.00078667i,-0.00014272+0.0013189i,-0.00012685+0.0015972i,-0.0001306+0.00090918i,0.00051349-0.0001431i,0.000819-0.00035992i,0.00082706+5.4604e-05i,0.00023745+0.00034484i
0.0018252-0.0017455i,0.00047293-0.0026483i,-0.00022441-0.0028942i,9.8077e-05-0.001455i,-0.0006284+0.00049308i,-0.0010294+0.00085686i,-0.00037439+0.00025166i,0.00035759+0.00049459i,9.9634e-05+0.00033118i,-0.00018161+0.00032111i,-0.00028776-0.00033355i,0.00011002-0.00082001i,0.00049269-0.00021802i,0.00093733+0.00015722i,0.00074665+0.0007166i,0.00021538+0.0007577i,0.00035558+0.0005217i,0.00090815+0.00067883i,0.00067188+0.00058435i,-0.00028233+0.00035855i,-0.0004575+0.00050668i,-0.00053759+0.00056714i,-0.00037763+7.3321e-05i
0.0011377+0.0014362i,0.0022369+0.0013108i,0.0023665+0.0013998i,0.002082+0.0010743i,0.0020823+0.000823i,0.0013497+0.0019332i,0.00025715+0.0020358i,0.00014481+0.00047571i,0.00037557-0.00036379i,0.00021038-0.0005099i,0.00039609-0.00031067i,0.00068011+0.00037713i,0.00049636+0.00066094i,0.0002489+0.00055836i,-0.00035638+0.00023429i,-0.00055565-6.3432e-05i,-0.00093046-0.00010139i,-0.0011146-8.3808e-05i,-0.00040082-0.00068027i,3.7041e-06-0.00075292i,0.00028234-0.0005766i,0.00050897-0.00084806i,0.000151-0.00049562i
0.00089883-7.359e-05i,0.0015928+0.00078683i,0.00017664+0.00052023i,-0.001596+0.00015101i,-0.001519+0.00090107i,-0.00094494+0.0015759i,-0.00065059+0.0011388i,-0.00027832+0.00018413i,-0.00020078-0.00051047i,-0.00015372-0.00036953i,-0.00031246+0.00026161i,8.413e-05+9.8807e-05i,3.3781e-05-9.297e-05i,-0.00090111-1.8397e-05i,-0.00045114+0.00047392i,0.00077543+0.001016i,0.00074953+0.00069144i,0.00033539-0.00044364i,0.0004483-0.0014626i,0.00039423-0.0015631i,0.00014793-0.00095809i,0.00077721-0.00029103i,0.00076969-0.00011097i
-0.00021672+0.0020094i,-0.00039267+0.0013117i,0.00084764+0.00076751i,0.00090249+0.0011003i,-8.6439e-05+0.0018532i,-0.00036804+0.0019422i,-0.00019801+0.0018084i,0.00062471+0.0010531i,0.00046322-7.573e-05i,-0.00026679+1.1516e-05i,-2.1657e-05+0.00063221i,0.00025415+0.0002028i,0.00016822-0.0006905i,0.00030172-0.00096443i,0.00074183-2.108e-05i,0.00056834+0.000713i,4.1439e-05+0.00036729i,-0.00063323+0.00011822i,-0.00061864-0.00012382i,-0.00029461-0.00045357i,0.00013918+0.00013267i,0.0003899-8.1419e-06i,0.00074148-0.00081819i
0.00020314+0.00071027i,-0.001816-0.00037386i,-0.0029764+0.00014969i,-0.0021432+0.00087087i,-0.0016215+0.00058662i,-0.0015956+0.0011583i,-0.00064062+0.0021049i,0.00029683+0.00085525i,-0.00011474-0.001127i,-0.00039106-0.00066062i,0.00033861+6.8976e-05i,0.0010465-0.00036917i,0.00079755-0.00046759i,-6.8337e-06+0.00032615i,0.00027295+0.00087104i,0.00051253+0.00056402i,-2.047e-05+0.00073061i,2.5347e-05+0.00071852i,6.0912e-05+0.00011009i,-0.00028509+0.00043363i,-0.00025357+0.00037178i,0.00035141-0.00060794i,0.00062053-0.00064944i
-0.0031226+0.00062524i,-0.0039589-0.00035513i,-0.0036532-0.0022763i,-0.002586-0.0013094i,-0.0010583-1.0972e-05i,0.00010202+4.0683e-06i,-0.00024992+7.5834e-05i,-0.0010145+0.00039834i,-0.0011288+0.00039889i,-0.0010447-0.00015406i,-0.00083812-0.00060796i,-0.00026799-6.3822e-05i,0.00051653+0.0011017i,0.00048225+0.0012128i,0.00030597+0.00069443i,-0.00050975+0.00045216i,-0.00089449+0.00029075i,-0.0004096+0.0002356i,-0.0007079+0.00027995i,-0.00028719-8.9858e-05i,0.00024281-0.00032935i,0.00035937-0.00029336i,0.00046873-0.00047477i
-0.0010008-0.00055093i,0.00036259-0.0020402i,0.0019333-0.0028632i,0.0018868-0.0026389i,0.00058932-0.0015414i,-0.00091773+0.00085287i,-0.0012875+0.0021568i,-0.0002027+0.00098378i,0.00077401-0.00039272i,0.00092287-0.00047774i,0.00086527-0.00031105i,0.00071738-1.9641e-06i,5.2482e-05+0.0006783i,-6.1645e-05+0.00055019i,0.00024473+0.00050876i,-0.00066994+0.00046594i,-0.00057365+0.00038238i,0.00034606-4.1514e-05i,0.00074485-0.0004172i,0.00057751-0.00039246i,0.00035942-6.0322e-06i,0.00023289+0.00012603i,0.00018468-0.00032307i
-0.0013671-4.1499e-05i,0.00035014+0.0011274i,0.0016398+0.0020215i,0.0017836+0.0015708i,0.0021045+0.0012842i,0.0013574+0.00095571i,0.00012731+0.00015508i,0.00069266-0.00039147i,0.00059235-0.00024959i,0.00035207+0.00044071i,0.00041927+0.00032061i,9.915e-06-0.00026431i,0.00039348+0.00016999i,0.00025912+0.00061635i,-8.8214e-05+0.00074652i,6.6736e-06+0.00066388i,-0.00031761+0.0004996i,-0.0001404+0.00031623i,0.00026911-0.00024294i,0.00026915-0.00062362i,0.00033772-0.00030759i,-0.00013158+1.2999e-05i,-0.00061163-0.00054945i
0.0016768-0.0025063i,0.00094573-0.0019246i,-0.00046552-0.0019692i,-0.0017748-0.0019069i,-0.0019766-0.00074819i,-0.0014002+0.00027457i,-0.00034903+0.001111i,0.00066339+0.0010287i,0.0011084+0.0005086i,0.00024693+0.00023547i,-0.001075+0.0003934i,-0.0012272+0.00026131i,-0.00065902+3.5315e-05i,-0.00057729+0.00061947i,-0.0003651+0.0011106i,0.00014751+0.00066189i,0.00085908-0.00014761i,0.00057397-0.00023063i,0.00090154-2.9195e-05i,0.0012925-0.00022419i,0.001077+8.7088e-05i,0.00021258+1.4662e-06i,-0.00020389-0.000664i
0.0032497-0.00062161i,0.0031823-0.0019982i,0.0017793-0.0022031i,1.2278e-05-0.00071537i,-0.00059658+0.00047287i,0.00021762+0.0017462i,0.00064366+0.0020159i,0.00052301+0.00078829i,0.00015553-0.00073534i,-0.00064292-0.0008543i,-0.000808-0.00085922i,-0.00029278-0.0010628i,0.00051364-0.00030533i,0.00042667+4.9739e-05i,0.00040536+0.00060464i,0.00036568+0.0010736i,-0.00029954+0.00055591i,-0.00047406-0.00019196i,4.0866e-05+1.7252e-05i,-0.00015146+0.00017213i,-0.00036911+0.00029441i,-0.00021891+0.00021676i,-0.0001858+0.00056493i
0.004305+0.0028585i,0.0039679+0.0020035i,0.0030357-0.00045846i,0.0019809-0.00097002i,0.00084894-0.00070427i,0.00012291+7.9358e-05i,-7.2086e-05+0.00013185i,-0.00015107-0.00048823i,0.00020955-0.00089799i,0.00040534-0.0011117i,-0.00014207-0.00079905i,-0.00049764-0.00044972i,-0.00077991-0.00014884i,-0.0013158+0.00050587i,-0.0018848+0.00097077i,-0.0014254+0.00031849i,-0.00039083-0.00035639i,0.00025367+8.0377e-05i,0.00055333+0.00054674i,0.00066129+0.00015569i,0.00077014-0.0002167i,0.00032748+0.00012629i,-0.00014545-0.00026764i
0.0012388+0.002467i,0.0015045+0.0017963i,0.0024689+1.355e-05i,0.0014441-0.0004689i,-0.00084435-0.00033322i,-0.0017237-0.00014368i,-0.00092376-8.7321e-05i,-0.00051275+6.1345e-05i,-0.0002143+7.0675e-05i,0.00071166-0.00042535i,0.00034425-0.00057536i,7.7435e-05-0.00024646i,-0.00020176+8.4749e-05i,-0.0015406-6.3366e-05i,-0.0018717-0.00016914i,-0.00057665+3.9264e-05i,0.00076317-0.00041598i,0.00059364-0.00058547i,0.00023712-0.00015202i,-0.00010529+0.00028939i,-0.00010027+0.00042643i,0.00058591-0.00019871i,0.00016703-8.1085e-05i
0.0007331+0.00053685i,-0.00045848+0.00037928i,-0.0012799-0.00010305i,-0.0016323-0.00094429i,-0.0022513-0.0010286i,-0.0023073+0.0002513i,-0.0019456+0.0009579i,-0.00091556+0.00077847i,-0.00048921+0.00060393i,-0.00080282-0.00010635i,-0.00072955-0.00033305i,-0.00013692+0.00029483i,0.0006705+0.00032478i,0.00064611+0.00043033i,-0.00070283+0.0010158i,-0.001186+0.0012085i,-0.00045854+0.0005908i,-0.00033083+0.00038281i,-0.00060895+0.00061798i,-0.0010526+0.00098758i,-0.0011818+0.00070661i,-0.00016475-0.00030331i,0.00017239-1.5764e-05i
-0.0013227+0.0017269i,-0.0012786-8.9174e-05i,-0.00088985-0.0015703i,-0.0005834-0.0013879i,-0.0013057-0.00034257i,-0.0016888+0.00062368i,-0.0015569+0.00084186i,-0.0011091+0.00011067i,-0.00072517-0.00033415i,-0.00061516-0.00013091i,-0.00053994+0.00035251i,-0.00010149+0.00014118i,6.4571e-05+7.1326e-05i,-9.8829e-05+0.00076512i,0.00034264+0.0010989i,0.00021446+0.00024455i,-0.00034488-0.00022338i,-0.0004302-0.00022648i,-0.00012449-0.00025901i,0.00089893-0.00021229i,0.0011451+0.00021927i,0.00053376+0.00040183i,0.00040376+0.00036548i
-0.0012379-0.0016177i,0.00050037-0.0035026i,0.0012332-0.0043748i,0.00082195-0.0026701i,-0.000212-0.00040981i,-0.00075134+0.00049514i,-0.0009725+0.00075987i,-0.0014136+0.00018242i,-0.00062668-0.00013611i,-0.00013372-0.00022174i,-0.00012733+8.1516e-05i,-0.00038983+0.00061649i,-0.0002042+0.00080197i,0.00034515+0.00053185i,0.00048328+0.00031505i,6.0435e-05+0.00015927i,-6.1049e-05+0.00024596i,0.00073463+0.00095934i,0.001101+0.0011075i,0.00050521+0.00085012i,-9.9553e-05+0.0001601i,-5.5354e-05+0.00036872i,-0.00027842+0.00079369i
0.0019744-0.0020737i,0.0021879-0.0019815i,0.0010822-0.0013757i,-0.00083131+6.2286e-06i,-0.0022013+0.00071623i,-0.0019025+0.00071644i,-0.0013935+0.00096854i,-0.00056434+0.00091952i,-0.0004098-0.00026397i,-0.00073477-0.0013921i,-0.0005043-0.00058257i,-0.00033157+0.0010703i,-5.8961e-05+0.0017761i,0.00023303+0.0020705i,0.00053074+0.0020564i,0.00027447+0.00093618i,6.0025e-05-0.00038593i,0.00034493+6.2936e-05i,0.00038259+0.00018719i,-0.000427-0.00087565i,-0.00105-0.0010832i,-0.00056999-0.00065085i,6.2625e-05-6.1708e-05i
-0.00040595+0.00035194i,0.0014716+0.0006893i,0.0017764-0.00033218i,0.00061811-0.00037114i,-0.00017331-0.00016124i,-0.0006277-0.00040234i,-0.00074533+1.7002e-05i,1.8508e-05+0.00025029i,0.00062598-0.00099313i,0.001232-0.0010184i,0.0011804+0.00011668i,0.00025121+0.0003588i,0.00028943+0.00065182i,-2.4846e-05+0.00080318i,-0.0008989+0.00037065i,-0.00069603+0.00036858i,-4.4083e-06+0.00093466i,0.00049031+0.00081241i,0.0001224+0.00013611i,-0.00012755-7.2961e-05i,0.00047187-0.00051881i,0.00033517-0.0006157i,-0.00013235-0.00026323i
0.00086071-0.0021694i,0.00032345-0.0021766i,4.0876e-05-0.0015849i,-0.00042087+3.2989e-06i,-0.00082686+0.00037062i,-1.2818e-05+0.00030006i,0.0010059+0.00034673i,0.0015473+0.00019109i,0.0016318+0.0001781i,0.00054363-0.00040452i,-0.00021632-0.00097657i,-3.5878e-05-0.00028562i,-0.00036944+0.00070403i,-0.00014247+0.00093807i,-0.0001491+0.0016131i,-0.0010121+0.0010719i,-0.00094601-0.00011421i,-0.00057516+1.1925e-05i,-0.00058078+0.00025967i,-0.00010437+3.8097e-05i,0.0012829-0.00042263i,0.0012043+0.00013626i,0.0002401-0.00010021i
0.0044404-0.0010558i,0.0046954-0.0033629i,0.0029969-0.0072812i,-0.00080546-0.006901i,-0.0044201-0.0036265i,-0.0054041+0.0011043i,-0.0027769+0.0030886i,-0.00051042+0.0023653i,0.00012062+0.0007506i,-0.00029166-0.0011493i,-0.00079158-0.0011149i,-0.00057064+0.000307i,-0.00043024+0.0018888i,-0.0005415+0.0032198i,-0.00064351+0.0036585i,0.00010344+0.0024098i,5.5116e-05+0.00042287i,-0.00024782-0.00018453i,9.0463e-05+7.4654e-06i,0.00048168-0.00051339i,0.00040616-0.0010781i,7.0312e-05-0.00067102i,-0.00024388+0.00019265i
-0.0043435+0.0043857i,-0.0037253+0.0071447i,-0.00039691+0.0097701i,0.0034425+0.0070917i,0.0050984+0.002954i,0.0044929-0.00028108i,0.0012549-0.0013979i,-0.0012283-0.0020132i,-0.00058044-0.00095387i,0.0015297+0.00085362i,0.00208-6.5787e-05i,0.0010629-0.0016443i,0.00033403-0.0019561i,6.3668e-05-0.0024195i,-0.00039581-0.0024687i,-0.0010378-0.0013025i,-0.00097364+0.00080048i,-0.00055695+0.0014742i,-0.00063699+0.00086475i,-0.00066351+0.00044203i,-0.00041176+0.00057645i,-4.1552e-05+3.007e-05i,0.0009157-0.0012187i
-0.0010161+0.0016211i,-0.0020501+0.0021494i,-0.0017762+0.0036781i,-0.00026861+0.0035019i,-0.00015387+0.002295i,-0.0013124+0.0011615i,-0.0014767+0.0005351i,-0.00051886+3.5501e-06i,-0.00044989-0.0005905i,-0.00084046-0.00030797i,-0.00038294+0.00038616i,9.2001e-05-5.878e-05i,0.0003013-0.00082897i,0.000585-0.0012683i,0.00041876-0.0010404i,0.00010169-0.00035345i,0.000114+0.00034262i,-6.779e-05+0.0004808i,-0.00054646-0.00018366i,-0.0012843-0.0006511i,-0.0010086-0.0003392i,-0.00076985-5.6082e-05i,-0.00019035+0.00032438i
-3.3504e-05+0.00033256i,0.00061549+0.00084172i,0.00031343-0.00018022i,0.00040357-0.00051583i,0.0008464+0.0011425i,0.00034777+0.0018329i,-0.00069526+0.0006177i,-0.00047098+0.00024754i,0.00039866+0.0005056i,-0.00034758+0.00044472i,-0.00066966+0.00018847i,-0.00024342+0.00033355i,-0.000211+0.00039569i,0.00032591-0.00031065i,0.00055975-0.0010506i,0.00028278-0.0015001i,1.2346e-05-0.0014187i,-0.0002467-0.00081841i,-0.00031365-0.00047529i,-0.00083979-9.0289e-05i,-0.00057348+0.00023418i,-0.0002085-0.00025819i,7.5928e-05-0.00053562i
