-0.0024395+0.00087668i,-0.0014717+0.00031765i,-0.0026499+0.00070052i,-0.0025561+0.0010787i,-0.001327+0.0022685i,-0.0009828+0.0026055i,-0.00072899+0.0020181i,0.00015264+0.0018185i,0.00095658+0.0015101i,0.0010061+0.00080015i,0.00059454-0.0004414i,0.00057207-0.0004666i,0.00077362-0.00021256i,0.00081255-0.0003804i,0.00026872+0.00013941i,-0.00014514+2.4002e-05i,-0.00025921-0.0010816i,0.00071984-0.0011045i,0.0007741-0.00050329i,0.00015905-0.00019559i,8.9679e-05-5.3854e-05i,0.00017881+0.00022566i,0.00012796+0.00030069i
0.0018299-0.00075002i,0.0016857-0.00037013i,0.00025661-0.00025942i,-0.0001771+0.00074323i,-0.00035404+0.00091979i,-0.00021068+0.00041761i,-7.5541e-05-0.00028271i,-0.00028358-0.00025883i,-0.0003367+2.4711e-06i,-4.0459e-05-1.2725e-05i,-0.00050628-0.00013499i,-0.00067979-0.00031887i,-0.00019731+5.8608e-05i,0.00027798+0.00031384i,6.6382e-05-0.00079831i,-0.0010382-0.0015254i,-0.00085042-0.0010992i,0.00012695+0.00012613i,0.0003949+0.00028603i,0.00040878+4.8169e-05i,-0.00023334+0.00036891i,-0.0004187+0.00027414i,-0.00038482-0.00042267i
0.00083315+0.00031392i,4.9589e-05+0.00055475i,-0.001059+0.0015478i,-0.00034291+0.0012885i,0.00014712+0.00039425i,-0.00024007-3.4569e-05i,-0.00052196+8.669e-05i,-0.0011199+0.00023389i,-0.00091474+0.00038379i,-0.00015246+0.00021511i,0.00040902+0.00045114i,0.00041325-2.59e-05i,0.00023932+0.00010644i,3.4282e-05+0.00083404i,-0.00010032+0.00051274i,0.00032878-0.00018717i,0.00049153-0.0011496i,0.00045829-0.0015324i,9.6245e-05-0.0011989i,-0.00021595-0.00048528i,-0.00028313-0.00012173i,-0.00013643+0.00016306i,-0.00012647+0.00029997i
0.0018977+0.0019958i,0.0021171+0.0020149i,0.001277+0.0017071i,0.0012288+0.00095476i,0.0010227-0.00033956i,-0.00052465-0.00053311i,-0.0012753-0.0003812i,-0.00029223-0.00029353i,0.0006368-0.00028993i,0.0011262-0.00071041i,0.00073647-0.00079706i,-0.00016464-0.00089718i,-0.00060429-0.0004723i,-0.00037784-0.00044035i,3.658e-05-0.00048289i,-9.8225e-05+0.00029592i,3.0065e-05+0.0010414i,-6.8402e-05+0.0018854i,-0.00090627+0.0014073i,-0.00027241+0.00042336i,0.00065044+0.00048916i,-0.0001343+0.0002211i,-0.0013028-6.7052e-05i
-0.0016075-0.00081499i,-0.0015595-0.00096467i,-0.0018722+0.0011157i,-0.0019299+0.0025072i,-0.00024364+0.0012614i,0.0011264+0.00023376i,0.00082894-0.00027299i,0.00041102-0.00043345i,-0.0003284-0.00037555i,-0.00073537+4.4079e-06i,-0.00020698-4.7541e-05i,-5.9813e-05-0.00020868i,4.386e-05+7.7122e-05i,0.00036612+5.1772e-05i,0.00047702-0.00033878i,4.8689e-05-0.00080898i,6.937e-05-0.00069034i,-2.1487e-05+0.00017191i,-0.00049324-3.365e-05i,-0.00026752-0.00097451i,0.00032619-0.00074384i,0.00023059-5.143e-05i,-0.00034727+0.00031537i
-0.0031088-0.0017578i,-0.0023619-0.0017509i,-0.0033075+0.00038506i,-0.0027956+0.002106i,-0.00052334+0.0020347i,8.396e-05+0.0013779i,-0.00035859+0.00034695i,-0.0010418-0.00020748i,-0.0016502-0.00012212i,-0.0013066+0.0007354i,-0.0010276+0.0012481i,-7.7358e-05+0.0011257i,0.001481+0.00071975i,0.0019595+0.00064822i,0.0011726+0.00027175i,0.00093293-7.3763e-05i,0.00076274+0.00029058i,0.00047873+0.00048707i,0.00043689+0.00039364i,6.5878e-06+6.4701e-05i,-0.00030507+0.00013927i,-0.00034208-0.0003349i,-0.00047314-0.00045241i
0.0012767+0.0017843i,0.00066339+0.0016258i,0.0007743+0.0021737i,0.00083343+0.0013887i,4.7921e-05+0.00049075i,-0.00062861-0.0004765i,-0.0005539-0.00020322i,-0.00046918+0.00044338i,-0.00011427-0.00024295i,0.00048753-0.00063375i,0.00039009-0.00048072i,-0.00032378-0.0003657i,-0.00016207+4.7245e-05i,-3.5902e-05+0.00074658i,7.2118e-06+0.0010712i,0.00042952+0.00066192i,0.00016593+0.00050746i,-5.2952e-05+0.00073983i,0.00041912-0.00019211i,0.00056838-0.0012636i,0.00047914-0.00093101i,-0.0003644-0.00031683i,-0.0012378-0.00053342i
0.0027922+0.0024766i,0.0028478+0.00071231i,0.0032846+0.00013495i,0.0023496-0.00073361i,0.0010642-0.0016431i,-0.0005934-0.0018584i,-0.0012034-0.0020451i,-0.00028734-0.00089686i,0.00039238+0.00014605i,0.00015961+0.00039438i,-0.00036506-0.00058696i,-0.00083896-0.0016072i,-0.00069411-0.0011965i,-6.2832e-05-0.00042378i,0.00024648-0.00037218i,-0.00017964-0.00019652i,-0.0011019+0.00013278i,-0.0011081+2.6253e-05i,-0.0002935+0.00015816i,0.00065769+0.00046955i,0.0007336+0.000705i,-0.00026961+0.00012078i,-0.0001301-0.00010669i
1.0265e-05+0.00077104i,3.8748e-05+0.00052028i,-0.00046194+0.0011913i,-0.0006631+0.00038118i,6.4668e-05-0.00071614i,0.0005807-0.00084327i,0.0010086-0.0013966i,0.0010343-0.0012051i,0.00062366-0.00019887i,0.00019062+0.0001687i,-0.00031873+5.9211e-05i,-0.00038825-9.8097e-05i,-0.00043272-1.7859e-05i,-0.00096795-0.00011507i,-0.00051421-0.00091351i,0.00019564-0.0015451i,-1.2696e-06-0.0013458i,0.00010083-0.0010887i,0.00060685-0.00070591i,-3.9932e-05-0.00038103i,-0.00057809-8.6398e-05i,0.00017886+0.00011831i,-0.00017371+0.00060107i
0.0022137-0.0016144i,0.0016906-0.0022943i,0.0014651-0.0026721i,0.00051881-0.0014029i,0.00013669-0.00053497i,0.00042858-0.00043338i,0.0005502-0.00011386i,-3.828e-05-0.00046427i,-1.059e-05-0.00091329i,-0.00028604-0.0006753i,-0.00086892-0.00054009i,-0.00090552+7.2424e-05i,-0.00062598+0.00086878i,-0.00059434+0.00058823i,0.00010392-0.00017621i,0.00034758-0.00050995i,-0.00055022-0.00087855i,-0.0010335-0.0010161i,-0.0013971-4.3886e-06i,-0.00072926+0.00059312i,0.00036542-7.613e-05i,0.00050644-0.00083348i,-4.1942e-05-0.00082616i
-0.00034085-3.528e-05i,-0.00021841-0.00014433i,-0.0012407+0.00049717i,-0.0016423+0.00072775i,-0.0012588-0.00023164i,-0.001092-0.00052496i,-0.00041752-1.5791e-05i,-0.00053245+0.00016884i,-0.00093739+0.0002797i,-0.0011467-0.00038029i,-0.0010363-3.959e-05i,-0.00062064+0.00064995i,-0.00020308+0.00066334i,0.00040981+0.00042711i,0.00051202+4.1427e-05i,-0.0001033-0.00058869i,-0.00012003-0.00066153i,-0.00016049-0.00010862i,-0.00046323-0.00034737i,-0.00059657-0.00075142i,-0.00074526-0.00063681i,-0.00068234-0.00029197i,-0.0011233-0.00038426i
0.00039583+0.00095546i,0.00015761-2.5903e-05i,0.00059403-0.001197i,0.00080401-0.0011824i,-3.1526e-05-0.0013136i,-0.00073479-0.0019248i,-0.00051041-0.0019786i,8.5582e-05-0.0020076i,0.00029626-0.0010753i,0.00027639-0.00017253i,-7.8604e-05-4.6984e-05i,0.00035573-0.00011672i,0.0010018-0.00012759i,0.0010753-0.00010184i,0.00080508+0.00011603i,0.00035938-0.00033321i,0.000105-0.00093957i,0.00080314-0.0005938i,0.00092522-0.00056121i,0.00065668-0.00051506i,0.0002859-0.0001427i,-0.00046499-0.00052672i,-0.00069186-0.0011933i
0.0020097+0.0034022i,0.003711+0.0033581i,0.0045974+0.0023947i,0.0044485+0.0016064i,0.003443+0.0010578i,0.0022586-7.5529e-05i,0.0011673-0.00040037i,0.00051887-0.00039224i,0.00065942-0.00083903i,0.00035531-0.0013663i,-0.00038745-0.0013247i,-0.00062866-0.0013193i,-1.9255e-05-0.00091199i,-0.00026484-0.00033553i,-0.00076605+0.00014964i,-0.0010965+0.00069056i,-0.00088285+0.00024486i,0.00010869-0.00043275i,0.00045536-0.00064906i,0.00016219-0.00051284i,0.0007636+0.00020096i,0.00059228+0.000851i,-5.6246e-06+0.00064069i
-6.8001e-05-0.00020986i,-0.00024666+0.0001194i,0.00031274+0.00023714i,-0.00021272+0.001278i,-0.001713+0.0012891i,-0.0010969+0.00069763i,-0.00069596+0.00047439i,-0.0012441-0.00018559i,-0.0013933+0.00015716i,-0.00061906+0.00040681i,-0.00022685-7.2855e-05i,5.1363e-05-0.0003001i,0.00068681-0.00022639i,0.0014981-0.00018878i,0.0018339+0.0002455i,0.0013631+0.00043564i,0.00087373-0.00020826i,0.00021963-0.0002575i,-0.0006778-0.00078624i,-0.00054708-0.0010751i,-0.00053096-0.00078588i,-0.0012181-0.00062524i,-0.0010864-0.00082664i
0.0021053+6.959e-06i,0.0018829-0.00049391i,0.0013973-0.00024686i,0.00058837-0.00017871i,-0.00066332-0.0010076i,-0.00085142-0.0008953i,-0.00062427-0.00059476i,-0.00013131-0.00014507i,6.7881e-05-0.00032063i,0.0001466-0.0010875i,0.00020155-0.00011993i,-0.0010319+0.00034042i,-0.0011764+0.000356i,-0.00052338+0.00073975i,-0.00038852-0.0003503i,0.00016712-0.001187i,0.00069675-0.00099311i,0.00081517-0.00064605i,0.00038915-0.00031375i,-4.6378e-06-0.00046947i,-0.0001433-0.00022719i,-0.00012111-0.00056507i,0.00047824-0.00071654i
0.00093966+0.0007908i,0.00074546-0.00059174i,-0.00032954-0.0002006i,-0.001569-0.00019639i,-0.001729-0.00092734i,-0.0014953-0.00081715i,-0.00063358-0.0012435i,0.0001212-0.0014623i,-0.00020325-0.00019137i,-0.00018019+0.00047044i,-0.00013572+0.00022677i,-0.0001617-0.00015156i,8.5603e-05+0.00047983i,-0.00029593+0.0011489i,-0.00028369+0.00090321i,0.00014335+0.0010417i,7.4601e-05+0.00047898i,0.00063874-0.0002124i,0.00075034+8.1365e-05i,0.00027173+0.00038945i,0.00023582+0.00061111i,-0.00012431+0.00083786i,0.00029305+0.00038465i
0.00096958+0.00080098i,0.0019062+0.00082724i,0.0023723+0.0013634i,0.0020264+7.5989e-05i,0.00064212-0.0013687i,-0.00011343-0.0011918i,0.00026641-0.0012321i,-4.8433e-05-0.0009608i,-0.00046078-0.00031689i,-0.00019956+0.00026414i,1.1667e-05+0.0001147i,-0.0001209-0.00062697i,0.00022296-0.00073234i,0.00086437+0.00014595i,0.00048191+0.00052513i,0.00035895-0.00069586i,0.00058268-0.0011919i,-7.4827e-05-0.0010725i,-0.00033577-0.00090317i,0.00019514-0.00043568i,0.00027612-0.00084014i,-0.00037121-0.00041028i,-0.00064796+0.00030355i
-0.00085037+0.0013627i,-0.0010374-0.00013048i,-0.0010336+0.00083761i,-0.00053657+0.0025214i,0.00047584+0.0021359i,0.0007727+0.0014045i,-4.0815e-05+0.00090365i,-0.00057219+0.00057698i,4.1032e-06+7.2196e-05i,8.869e-05-0.00031185i,-0.00023448-0.00046838i,-0.00079135-0.00041354i,-0.00091355-0.00033202i,-0.00029341+0.00021663i,-0.00010841+0.00059174i,-0.00010966+0.00029143i,0.00048647+0.0002426i,0.0008371+8.5306e-05i,0.00056285-3.2966e-05i,0.0005262-0.00070699i,0.00072218-0.0013927i,0.00083781-0.00098826i,0.0009845-0.00082283i
0.00077329-0.0016778i,0.00081564-0.00012792i,-1.0659e-05-0.0004814i,-0.00095018-0.00084757i,-0.00097474+0.00018141i,-0.00098759+0.00076128i,-0.001028+0.0001293i,-0.00070205-0.00033205i,-0.00014171-0.00052243i,0.0001361-0.0012427i,0.0004758-0.00050569i,0.00046504+0.0010717i,-0.00022811+0.0015318i,-0.00018969+0.0012998i,6.6152e-05+0.00054429i,-1.3022e-05-0.00010598i,-0.00028481-4.821e-05i,-0.00037424-5.2581e-05i,7.5574e-05-0.00030372i,0.00053433-0.00043967i,0.00035727-0.00032601i,0.00021133-5.3484e-07i,0.00057389-0.00029583i
-0.001758-0.00068903i,-0.00068636-0.0011661i,-0.00066308-0.00060597i,-0.0017504-0.0015212i,-0.0019365-0.0026151i,-0.0017996-0.0022977i,-0.00082105-0.0019095i,0.00028725-0.0020753i,0.00092646-0.0019219i,9.264e-05-0.0014622i,-0.0013335-0.0011929i,-0.00087231-0.00053195i,0.00010128+0.00036956i,0.00021697+0.0001698i,0.00018648-5.9996e-05i,0.00051338+0.00035962i,0.0002683-0.00028192i,0.00016264-0.00088616i,-3.2048e-05-0.00089621i,-0.00033624-0.0010148i,-0.00012998-0.00063095i,-3.4801e-05+0.00035618i,-0.00034407+0.00077944i
-0.0014835-0.0013435i,-0.0012189-0.0019121i,-0.0018785-0.0011126i,-0.0015999+0.0004876i,-0.00099562+0.00085865i,-0.00020715+0.00010788i,0.0006232-0.00049946i,0.00035288-0.00056999i,7.1424e-05-0.00040847i,0.00039644-0.00050161i,0.00087731-0.00033254i,0.00024129+7.5019e-06i,-0.00042831-4.6107e-05i,0.00060308+0.00042556i,0.0010761+0.00046479i,0.00038751-0.00012947i,0.00066909-0.00090069i,0.00090723-0.0016637i,0.00041871-0.0018171i,0.00046778-0.0006829i,-4.9124e-05+0.00017018i,-0.00056268-0.00016214i,0.00019741-0.0001425i
0.0010657-0.00025881i,0.00028085-0.00042425i,-0.00067466-0.00057439i,-0.0010768+0.00030376i,-0.00084961+0.0014135i,-0.00061835+0.00077012i,-0.00073-0.00052627i,-0.0010589-0.0011726i,-0.00057884-0.00089938i,-0.00067609+0.00015073i,-0.0014823+0.0002543i,-0.00084165-0.00033727i,0.00022058-0.00088869i,0.0012118-0.00073995i,0.0013169+0.00024501i,0.00048966+0.00052265i,0.0006525+0.00069234i,0.00076437+0.00072263i,0.00037439+7.5764e-05i,0.0002783+2.002e-05i,0.00015199+0.00044986i,-0.00035841+7.7945e-05i,-0.00039549-0.00082906i
-0.001839+0.0016862i,-0.0020367+0.00075384i,-0.0019008+0.00044263i,-0.0012193+0.00090088i,-0.0006702+0.00085576i,-0.00015867+0.00066919i,0.00037023+3.1738e-05i,-1.4628e-05-0.00043249i,-0.00021314-0.0005727i,-0.0001163-0.00066078i,-0.00043735-0.00032856i,-0.00049457+3.3971e-05i,9.9653e-05+0.00020326i,0.00037559+0.00052172i,0.0002444+0.00087353i,0.00037742+0.00058309i,-0.00053336+0.00027208i,-0.0012226-0.0001043i,-0.00088569-0.00017745i,-4.7132e-05-0.00049263i,0.00073708-0.00063481i,0.00099361-0.00021199i,0.00073935+0.00021782i
0.0024484+0.00017143i,0.0018935-0.00053453i,0.0016754-0.0016516i,0.0014938-0.0015034i,0.0004257-0.0010404i,-0.00029186-0.00068305i,4.1782e-05-0.0014346i,-0.00051809-0.0012918i,-0.0011616-0.00029598i,-0.0013073-8.9173e-05i,-0.0010495-0.00031316i,-0.00031647-0.00055753i,-0.00018145-0.00045283i,-0.00052983-0.00028726i,-0.00011266+5.5909e-05i,0.00083508-3.5533e-05i,0.00030349-0.00095645i,-4.5759e-05-0.0012251i,0.00053558-0.00090694i,0.00052195-2.7092e-05i,0.00031267-0.00014537i,1.2242e-06-0.00018285i,-0.00048203+0.00026212i
0.00024906-0.00064855i,0.00067568+0.00017045i,0.00088472+0.00026607i,0.0013244-0.00033066i,0.0005523-0.0001855i,1.5999e-05-0.00067312i,-0.0001883-0.0013869i,-0.00031455-0.0011337i,-0.00021239-0.00091812i,-0.00020074-0.00029321i,0.00029927+0.00049184i,0.00095425+0.00040989i,0.0010349-0.00049801i,0.00099174-0.0011466i,0.00058263-0.00096209i,-0.00017077-0.00042449i,0.00011961+0.00013431i,0.000434+0.00025125i,0.00017444+8.895e-05i,-0.00026934+0.00025619i,-0.00071556-7.8553e-05i,-0.00069963-0.00069793i,-8.7024e-05-0.0004449i
0.00036124+6.7548e-05i,0.00058855+0.00095145i,0.00018876+0.0017619i,-0.00011266+0.001915i,0.00025747+0.0013827i,-0.00026131+0.00090694i,-0.00049072+0.00056093i,-0.00020104-0.00020998i,-0.00024061-0.00068037i,-1.1395e-05-0.00011027i,0.00050903+3.6844e-05i,0.00091983-0.00057127i,0.0012152-0.0007603i,0.00061931-0.00031445i,1.6116e-05-0.00046956i,8.5808e-05-0.00045368i,0.00023382+0.00044709i,-0.0001421+0.00047035i,-0.00034392-0.00046427i,-0.00080958-0.00038206i,-0.00049173-0.00031749i,-0.00012752-0.00018791i,-0.00060544-2.8218e-06i
-0.00025224-0.00010348i,-0.00032251+0.00042177i,7.3324e-05+0.00038611i,-0.00048332-0.00021801i,-0.00085447-1.6883e-05i,-0.00064534-0.0010185i,-0.00017684-0.0018879i,-1.611e-05-0.00060336i,-0.00043007+0.00017997i,-5.8994e-05+0.00010848i,0.0002426+0.00058856i,0.00024017+0.00063074i,-6.4944e-05+0.00025916i,-0.00077336+0.00047832i,-0.00054032+5.0728e-05i,-7.8275e-05-0.0013756i,-0.00015695-0.0018826i,-0.00026396-0.00088533i,2.7844e-06+2.0345e-05i,0.00033256+0.00014937i,-0.00015945-0.0004479i,-0.00082925-0.0014433i,-0.00067593-0.0016662i
-0.0010416-0.0011005i,-0.0010952-0.00074675i,-0.0021156+0.00063244i,-0.0018242+0.0017365i,-0.0013658+0.00081292i,-0.0005156-0.00079119i,6.4434e-05-0.00098453i,-0.00021329-8.683e-05i,-0.00056997+0.00021368i,-0.00097728-6.6414e-06i,-0.0004954+0.00036062i,0.00020868+0.00075189i,0.00021384+0.00035237i,0.00049125-3.1646e-06i,0.00081061-0.00031271i,0.0010134-0.00055653i,0.00071264-0.00060831i,0.00086087-0.00073696i,0.0012733-0.00097891i,0.0014609-0.00034978i,0.0015951+0.00011641i,0.0013945-0.00064543i,0.00078819-0.00032687i
0.0015516-0.00051463i,0.001243-1.198e-05i,0.00109-2.7244e-05i,0.00053086+0.00025903i,0.00043968-0.00022845i,-0.00041846-0.00077323i,-0.00032906-1.4069e-05i,-0.00067948+0.00039345i,-0.0010467-5.2022e-05i,-0.00025342-0.00043092i,0.00015809-0.00040287i,-2.1626e-05+0.00016642i,4.781e-05+0.00084548i,-0.00021368+0.00013176i,-0.00049693-0.00079145i,-0.00047585-0.0009701i,-7.2555e-05-0.00071379i,-1.1893e-06-0.00094821i,7.1703e-05-0.00081271i,0.00064115-0.00047333i,0.00045693-0.00038913i,-0.00036106-4.6515e-05i,-0.00061977-0.00014759i
-0.0016179-0.0015446i,-0.00081225-0.0012128i,-0.00080827-0.00012543i,-0.0023018+0.00025139i,-0.0020996+0.00057829i,-0.00043023+0.0005895i,-0.00024605+0.00016599i,-0.0010723-0.00036414i,-0.00061424-0.00019346i,-0.00054927+0.00044995i,-0.00088934+0.00030744i,-0.00035876+0.00017887i,-0.00021468-0.00011209i,-0.00041784-0.00077568i,0.00036713-0.00040136i,0.0010226-0.0004287i,0.00099233+0.00016421i,0.00068136+0.00034497i,0.00048077-0.00060843i,0.00085993-0.00071108i,0.00064512-0.00013219i,-0.00017512+8.0191e-05i,-1.4048e-05+0.00013737i
0.0020578-0.00020859i,0.002641-0.00086377i,0.002418-0.001366i,0.00098546-0.00055056i,-0.0012246+0.00029998i,-0.0016965-2.9628e-05i,-0.00093396-0.00023427i,0.00022196-0.00010959i,0.00093565-0.00024594i,8.8818e-05-0.00023804i,-0.00048314-0.00035828i,-0.00030415+1.3565e-05i,-0.00016302+0.0012301i,-0.00015399+0.00079809i,0.00010275-0.0010549i,4.254e-05-0.0011986i,0.00025555-0.0005533i,0.00058218+9.174e-05i,-7.2028e-05+0.00095637i,-0.00097703+0.00066522i,-0.00055386-0.00017601i,-0.0005376-0.00019497i,-0.00083156+6.1573e-05i
0.0021338-0.0021823i,8.539e-05-0.0015956i,-0.00091167-0.003557i,-0.0013623-0.0037372i,-0.0023731-0.0021243i,-0.0013648-0.00096742i,-0.00015279-0.00048277i,-5.9918e-05+0.00041969i,0.00042742+0.00077418i,0.00078419+0.00048827i,0.00010126+0.0011689i,-0.00016534+0.001515i,-0.0004787+0.0010673i,-0.00044318+0.00023376i,0.00030109+8.255e-05i,0.00091548+0.00044825i,0.0007188+6.792e-05i,0.0005251-0.00062552i,0.00039464-0.00035034i,-5.7951e-05+4.0388e-05i,0.00024933+0.00050318i,0.00065687+0.00044685i,-5.4418e-05-0.00065258i
-0.0010268-0.00084339i,-0.001063+2.3898e-05i,0.00015819+6.79e-05i,0.00045445-0.00024398i,-0.00013155-0.00075435i,-0.00028516-0.00063496i,3.6867e-05-0.00099572i,0.00042058-0.00078454i,-5.5289e-05-0.00016221i,-0.00070571-0.00053053i,-0.00025415+5.0959e-05i,0.0002707+0.00056768i,0.00038064-0.00058068i,0.00065275-0.00067661i,0.0008455+0.000563i,7.3162e-06+0.00063662i,-0.00016658+0.00011528i,0.00016677-0.00062015i,-1.762e-05-0.0014568i,6.667e-06-0.0013358i,-5.3156e-06-0.00069447i,0.00012698-0.00029141i,0.00023658-0.00041749i
0.0002495+7.6233e-05i,-0.00035063-0.00054246i,-0.0018805-0.00013279i,-0.0020345+0.00045728i,-0.00064145-0.00018531i,0.00038897-0.00070957i,0.00018668-1.4958e-05i,-0.00057989+1.315e-05i,-0.00014772-9.8755e-05i,0.00036214-0.00016937i,0.00012419-0.00075021i,-0.00022129-0.0011107i,-0.00044437-0.00079522i,-0.00011233-0.00014819i,-0.00032824-0.00013705i,-0.00064622-0.00037917i,6.6448e-05-0.0004077i,0.00040447+0.00013165i,0.00053981+0.00036581i,0.00035154-0.00016618i,0.00022462-0.0005806i,0.00036583-0.00046066i,0.00041179+0.00032003i
0.00012388+0.00097813i,-0.00013838+0.00055882i,8.6641e-05+0.00089951i,-0.00015001+0.0012953i,-0.00014387+0.00072815i,-0.00040881-0.00043699i,0.00019321-0.0012412i,0.00065111-0.00091657i,0.0004015+0.00012304i,0.00082886+0.00019744i,0.00082562-0.00028406i,-5.7554e-06-0.00033389i,-0.00043138-0.00024181i,-4.5309e-06+3.7613e-05i,4.4956e-05+0.00064575i,-0.00019318-0.00011643i,-0.00065377-0.0013625i,-0.0012068-0.0011564i,-0.0003246-4.2001e-05i,0.00038149+0.0005062i,-4.6232e-05+0.00015672i,0.00043166-0.00013733i,0.00078547-0.00065549i
0.00082113+0.00028647i,0.00058297-0.00012228i,0.00025881-0.00094031i,-0.00075053-0.00045415i,-0.00072612-0.00022179i,-5.2598e-05-0.00033324i,0.0002203-0.00076027i,0.00069708-0.00088809i,0.00062716+3.2578e-05i,0.0001025+0.0001886i,8.0866e-05-0.00029373i,0.00039876-0.00028895i,0.00021729+0.00011907i,-0.00069413+0.00038957i,-0.00080187+0.000701i,-0.00027631+0.00029532i,-0.00043916-0.00020679i,-0.00062718-0.00014301i,-0.00065785-0.00049359i,-0.00064909-0.0009572i,-0.00076987-0.0012212i,-0.00060842-0.00062273i,0.00025664-0.00013846i
-0.0013697-0.0014361i,-0.0004735-0.0020824i,-0.00078471-0.00076578i,-0.0010946+0.0007304i,-0.0016189+0.00072647i,-0.0015732-0.00057886i,-0.00012636-0.00017149i,-0.00013025+0.00043199i,-0.0011456+0.00018322i,-0.0013253-3.7575e-05i,-0.0011756+0.00030975i,-0.00079313+0.00060201i,0.00011153+0.00030376i,0.00053935-1.5307e-05i,0.00057851+0.00024063i,0.00037511+0.00089306i,9.5067e-05+0.00096593i,0.00014941+0.00012278i,0.00031221-8.5489e-05i,0.00044107-6.171e-05i,0.00076367+2.404e-05i,0.00072479+0.00035849i,0.00059273+3.747e-05i
-0.0015498+8.6025e-05i,-0.0016134-8.294e-05i,-0.001407+0.00039178i,-0.00084346+0.00072786i,-0.00083621+0.0010153i,-0.0012087+0.0004531i,-0.0012714-0.00037389i,-0.00083548-0.00022321i,-0.00059744+0.00022352i,-0.0006635+0.00087i,-0.00012695+0.00057412i,0.00070199+9.2832e-05i,0.00079574-0.00019294i,0.00091721+8.3309e-05i,0.00081607+0.0002497i,0.0005479-0.00037648i,0.00039769-0.00010551i,0.0001217-0.00023869i,0.00020053-0.00060897i,0.00022033-0.00019795i,0.00015352-0.00045045i,1.3916e-05-0.00046126i,-0.00036259+0.00010225i
-0.00044842-0.0019407i,-0.0014632-0.0017896i,-0.0023382-0.00030531i,-0.0020508+0.0010327i,-0.0014288+0.0018651i,-0.00062699+0.001981i,0.00020958+0.00062277i,0.00041174+7.149e-05i,0.00018349+3.1056e-05i,-0.00042074-0.00017i,0.00012864+0.00024223i,0.0014273+0.00071266i,0.0008471-3.0817e-05i,-0.00035149-0.00018558i,-0.00021177+0.00084788i,8.7541e-05+0.00090814i,-0.00014444+0.00017774i,-0.00024331-0.00080302i,-0.00010248-0.0010101i,-0.00058515+0.00027237i,-0.00082085+0.00088702i,-0.00044469+0.00028728i,0.00031716-0.00026395i
-0.0011837+0.00062055i,-0.0017737+0.00034268i,-0.0019537+0.00075455i,-0.0014022+0.0012469i,-0.00043662+0.0011126i,-0.00059885+0.00023315i,-0.0013943-0.00019825i,-0.0010591-0.00099867i,-0.00015621-0.0011839i,0.00070118-0.00015728i,0.0010987+0.00022282i,0.00040829+0.00015935i,-0.00014308+0.00045476i,0.00036339+5.8874e-06i,0.00057536-0.00052194i,0.00030839-0.00013182i,0.00080146+0.0008198i,0.0011282+0.00083804i,0.00082025-0.00026935i,0.00041033-0.00072777i,0.0001383-0.00024005i,0.00012305+6.494e-05i,0.00011587+0.00033065i
-0.0001943-0.0014854i,0.00063766-0.000613i,0.00094715-0.0011312i,1.741e-05-0.0012653i,-0.00087609-0.00047282i,-0.0011408-0.00025526i,-0.00065942-0.0010781i,0.00038258-0.001529i,-5.5262e-05-0.00087781i,-0.0007269-0.00093627i,-0.00036267-0.0002732i,0.00050948+0.0013659i,0.00052034+0.00090333i,0.00076448-0.00011898i,0.0012297-0.000284i,0.0010346-0.00056752i,0.00046628-0.00020586i,0.00056002-4.6488e-05i,0.00076725-0.00048554i,0.00026956-0.00011652i,-9.0172e-05+0.00057328i,-0.00021869+0.00062039i,-0.00033666+0.00041395i
0.00084007-0.00051692i,0.00030982-0.0010085i,-0.00064694-0.0016575i,-0.0012521-0.001302i,-0.00076052-0.00043185i,-0.00094356-0.00050457i,-0.00023459-0.0013383i,0.00066896-0.0014832i,0.00053282-0.00058483i,0.00023453+0.00035091i,0.00067884+0.00049658i,0.00024469+0.00046768i,-0.000809+0.00036674i,-0.00071724-0.00037861i,-0.00074755-0.0011922i,-0.0005096-0.00080067i,0.00038377+0.00032111i,0.0010967+0.00021649i,0.0007617-0.00058727i,0.00079403-0.00038036i,0.0012051-0.0003686i,0.0012137-0.00030669i,4.153e-05-0.00049255i
-0.00083939+0.00021529i,-0.0010913+0.00061221i,-0.0011524+0.00076073i,-0.002119+0.0010607i,-0.0020835+0.00058274i,-0.00021567+0.00040328i,0.000898-0.0002447i,-9.4912e-05-0.00099525i,-0.00059746-6.1122e-05i,-6.7612e-05+0.00023462i,0.00040769-0.0006226i,0.000272-0.00065699i,-0.00014617-0.00020864i,-9.4452e-05-0.00033884i,2.0863e-05-0.00018252i,2.196e-06+0.00047538i,0.00029467+0.00029858i,0.00068775-8.9111e-05i,0.00022803+0.00048098i,-0.00013647+0.00015749i,-0.00070359-0.00011218i,-0.0018847-0.00050728i,-0.0014442-0.0012503i
