-0.00013308-8.1843e-05i,-0.00062106-0.00045949i,-0.0010149-0.00090099i,-0.00089785-0.0004792i,-0.00078036+0.00030709i,-0.0010627+0.0012832i,-0.00030976+0.0011735i,0.00073575+0.001484i,0.00086537+0.0016774i,-0.00014055+0.00057454i,-0.00061572-0.00053111i,0.00014617-0.00073035i,0.00052106-0.00041695i,0.00030809-0.00045242i,0.00032871-0.00051182i,0.0011681-0.00036121i,0.0015422-0.00018515i,0.00041848-0.00022801i,0.00047556+0.00034559i,0.00056453+0.0010816i,-6.1062e-05+0.00010859i,-0.00029745-0.00069881i,-7.1953e-05-0.00023938i
0.0016956+0.002255i,0.0012351+0.0016964i,0.00054944+0.00096013i,0.00035217+0.00040084i,0.00030706+0.0008628i,-0.00024974+0.00089235i,-0.00026603+0.0005902i,-0.00023099+0.00063686i,-0.00055726+0.00059436i,-0.00087176+0.00051155i,-0.00044023+0.0003757i,0.00028067-0.0002837i,0.00017956-0.0001595i,0.00023843+3.2105e-05i,0.00063046-0.00027971i,0.0012498+0.00037023i,0.0015707+0.0007938i,0.00067865+0.00037562i,7.3749e-05+7.972e-05i,0.00010496-0.0003146i,-0.00040884-0.00040272i,-0.00048332-1.1947e-06i,0.00055459+0.00030949i
0.0012603+0.0010291i,1.903e-05+0.00068631i,-0.00062913+0.0008225i,-0.00085291+0.00023687i,-0.00023467-0.0008267i,0.00021531-0.00087327i,0.00035129-0.00045005i,0.00016406+2.6261e-05i,-0.00067336+9.7386e-05i,-0.0012688+1.6018e-05i,-0.00087056+0.00031423i,-8.4338e-06-8.0965e-05i,-6.6435e-05+4.2195e-06i,-0.00068828+0.00053338i,-0.0004527+0.00037999i,0.00036612+0.00012246i,0.00053005+0.00061091i,8.3348e-05+0.00099768i,-0.0005614+0.0007402i,-0.00063376+0.00062362i,-0.00041519+0.00033324i,0.00040067-0.00052024i,0.00054475-0.00062761i
0.0024541+0.00083675i,0.0020194+0.00093818i,0.00059636+0.00087001i,0.00063097+0.0002245i,0.0011029-0.00052105i,0.0009051-0.00065306i,-0.00021331-0.00010824i,-0.00070832+0.00019282i,0.00019557+0.00038577i,0.00045659+0.00022687i,5.0964e-05-0.00020731i,6.5151e-05-5.4367e-05i,0.00024937-0.00012508i,0.00041739+8.2946e-05i,0.00060218+0.00106i,0.0015086+0.0013552i,0.0010349+0.00021312i,-0.00074479-4.5423e-05i,-0.0010523-0.00024085i,-3.1917e-06-0.00066099i,0.00060475-0.00041012i,0.00039509+0.00025598i,9.6506e-05+0.00053629i
0.00089696-0.00017804i,0.00014708+6.7231e-05i,0.00056914+5.0039e-05i,0.0011856+5.3285e-05i,0.0018405-0.00011563i,0.0013524+0.00011759i,0.00040656+0.00066219i,0.00046885+0.00090537i,0.00050253+0.00083081i,0.00010117+0.0001957i,-0.0002868-0.00039753i,-0.00011539-0.0014801i,0.00032944-0.0021449i,0.0006019-0.0011628i,-0.00043266-7.9676e-05i,-0.00069841+0.00058563i,0.00017662+0.00036337i,0.00038007-0.0003552i,0.00049577+0.0001443i,0.00073875+0.00085993i,0.00069154+9.0497e-05i,0.00011654+0.00014635i,-0.00067005+0.00069506i
0.00080954-0.00023474i,0.0012199+0.00065196i,0.0010563+0.00097727i,0.0015349+0.00042054i,0.0018282-0.00028525i,0.0011196-0.0010298i,0.00037097-0.00081489i,-0.00018492-6.0674e-05i,-0.00052161-2.7646e-05i,0.00033378-0.00050723i,0.0010396-0.00049774i,0.00091837-0.00079231i,0.00044523-0.0014447i,-7.8545e-06-0.00095914i,-6.8467e-05+0.00024927i,3.7603e-08+0.00039179i,-8.3164e-05+0.00025419i,-0.00052316-5.1773e-05i,-0.00039096-0.00014158i,3.9453e-05+0.00023583i,-0.00026985+0.00012156i,-0.00030643+0.00041452i,0.00029663+0.00055186i
0.0014769+0.0018448i,-1.0197e-05+0.0018331i,-0.001038+0.0017998i,-0.00015892+0.001564i,0.0011109+0.0012038i,0.0012693-3.0682e-05i,0.00090993-0.00054623i,0.00058512-6.8344e-05i,0.0004684-8.3976e-05i,0.0012184-0.00015256i,0.0013273+0.00024642i,0.00071461+0.00052386i,0.00017525+0.00026712i,0.00030093-0.00018609i,0.00055177-0.00064981i,0.00060427-0.00096199i,0.00040772-0.00094872i,0.00056686-0.00097038i,0.00016337-0.00093164i,0.00010861-0.00017776i,0.00016228+0.00097154i,-5.3323e-05+0.0012855i,-0.00012589+8.7405e-05i
0.0016961+0.00081934i,0.00071484+0.00069355i,-0.00047542+0.00049946i,8.9148e-05-0.000829i,0.00064486-0.00032636i,0.00016595+0.00028777i,0.00022864-0.00016901i,0.0007734-0.00013702i,0.00064166+0.00017835i,0.0003889+0.00092281i,0.00050681+0.00094661i,0.00052158-0.0002223i,-0.00015306-0.00078088i,-0.00059686-0.00038156i,-0.00065384+0.00059766i,-0.00067131+0.00065516i,-7.3572e-05-0.00024942i,0.00023405-0.0010456i,0.00055081-0.00076569i,0.00037486-0.00018526i,0.00014588+0.00018578i,0.00073758+0.00032788i,0.00049391-8.1e-05i
0.00096418-0.0013333i,0.00046055+0.00013889i,-0.00030865+0.00096715i,-0.0007785+0.00077237i,-0.0010637+0.00057075i,-0.00070713+0.00017057i,-0.00056426-0.00067894i,-8.8657e-05-0.00071499i,0.00011237+0.00047197i,-0.00059933+0.0006317i,-0.00021687-0.00013785i,0.00020566-0.00045861i,0.00014784+0.00021044i,-0.00025733+0.00072298i,0.00033242+0.00090575i,0.00093108+0.0009899i,6.5791e-05+0.00042431i,-0.00019355-6.5333e-05i,-0.00089282-0.00018041i,-0.0011598+0.00023298i,-0.00035966+0.0003128i,-0.00057868+0.00061404i,-0.001141+0.00083543i
0.00092194+0.0010532i,0.00018998+0.0018556i,-0.00035437+0.002665i,0.00096349+0.0012214i,0.0014168-0.0010693i,0.00040772-0.0023484i,-0.00068124-0.0020658i,-0.00060475-0.00072498i,-9.4176e-05+0.00045645i,-8.7534e-05+0.00053101i,0.00091689+0.00059212i,0.0012886-0.00025652i,0.00085284-0.00086117i,0.00060735-0.00059499i,0.00076521+0.00014849i,0.00050733+0.0001609i,-0.00044861-0.00032625i,-0.00025269-0.00026973i,0.00092153+0.00022346i,0.00062694+0.00072581i,9.5836e-05+0.00097148i,0.00034041+0.00054962i,0.00013188-0.00030254i
0.0015041+0.00038908i,0.0005537-6.3993e-05i,-0.00060123-0.00046594i,-0.00088444-0.00013527i,0.00023991-0.00040925i,0.0011887-0.00074704i,0.00064015-0.00049688i,-0.00023818+5.3324e-05i,-0.00085668+0.00043784i,-0.0010817+0.00078219i,-0.00073897+0.00029773i,-0.00076607-0.00057617i,-0.00038363-0.00058991i,0.00078439+0.00018681i,0.0013483+0.00041767i,0.000814-0.00029286i,-1.1018e-05-0.0012364i,0.00027507-0.0012055i,0.00029288-0.00087875i,-0.00026356-0.0011511i,-0.00023989-0.000752i,0.00037129+3.9657e-05i,0.00014461+0.00041961i
0.0013556+0.0006768i,-0.00076245-0.00034288i,-0.0015954-0.00072633i,-0.00077927+8.2378e-05i,8.7369e-05+3.1018e-05i,1.8792e-05-0.0010151i,0.00014322-0.00082261i,0.00049495-3.9389e-05i,0.00014306-1.5154e-05i,-0.00013079-0.00053644i,-0.00031322-0.00058213i,-0.00023638+0.00053001i,-0.0001475+0.0014875i,-4.48e-05+0.00072491i,0.00013686+0.0001044i,0.00056386+0.00039256i,0.00080726+0.00029489i,0.00014585-0.00025725i,-0.00023071+4.6849e-05i,-0.00017236-0.00059209i,-0.00033329-0.0011916i,-0.00066522-4.4994e-05i,-0.00058802+0.00064511i
0.00063544+0.00073999i,-3.0313e-05+0.001192i,6.9336e-05+0.0012471i,5.805e-05+0.00061663i,-0.00098119+0.00047459i,-0.0012883+0.00011661i,-0.00085293-0.00055951i,-0.00062883-0.00036038i,-0.00075961-0.00028069i,-0.0011652-7.0823e-05i,-0.001424+7.3808e-05i,-0.00084885-7.8509e-05i,8.5818e-05-2.4699e-06i,0.00055902+0.00026019i,3.1948e-05-0.00018405i,2.6002e-05-0.00056914i,0.00032734+0.00045618i,0.00013346+0.00091814i,0.00093555+0.00048345i,0.0014331-2.7858e-05i,0.00086242+2.1263e-05i,0.00058415+0.00023634i,0.00055103+0.00070053i
0.0010557+6.6849e-05i,3.0245e-05+0.00010597i,-0.00023397+0.0017893i,0.00027201+0.0021382i,0.00090189+0.0011519i,0.0008181+0.00028695i,0.0012853-1.0843e-05i,0.0012281+0.00024038i,0.00030501+0.00012834i,-0.00027683-0.00036372i,-0.0003418-0.00020655i,-0.0003101+9.7383e-05i,0.00015038-0.00011035i,0.00073308-0.00053373i,0.0011552-0.00093214i,0.00030962-0.00049335i,-0.00055981-0.00016631i,0.00020222-0.00037029i,0.00031875-0.00068173i,0.00029737-0.0010054i,0.00071005-0.00089681i,0.00035067-0.00079811i,-0.00042014-0.00016565i
-0.0017637+0.00019391i,-0.0023565+0.00055027i,-0.0022895+0.0010479i,-0.00077427+0.0011604i,0.00056038+0.00023473i,0.00048282-0.0004958i,1.5246e-05-0.00025869i,0.00037316+7.9325e-06i,0.0007865-4.9136e-05i,0.00054182-4.1105e-05i,0.00030987+3.8012e-05i,0.00065839-0.00078167i,0.00073655-0.00092143i,0.00040293-0.00040336i,0.00090025-0.00027132i,0.0011706-0.00032362i,0.00031096-0.00074604i,-0.00038197-0.0011215i,-0.00044112-0.0013008i,0.00021399-0.0010241i,0.00056817-0.0003724i,0.00053763-0.00035929i,0.0009474-3.6098e-05i
0.0024696-0.0011884i,0.00092988-0.0015062i,0.0005392-0.0019509i,0.00073626-0.001054i,0.00042567-0.00059431i,-2.195e-05-0.00049299i,-0.00040254-3.8754e-05i,-0.00045941+1.752e-05i,-0.00043037-0.00026474i,-0.00067442+0.00032901i,-0.00018385+0.00037083i,0.00065949+0.00017991i,0.0010378+0.00052207i,0.00080373+0.00064687i,0.00034535+0.00052289i,0.000412-0.0002383i,0.00016125-0.0002706i,-0.00028031+0.00010782i,-0.00016297+9.4283e-05i,-0.00031908-0.00068406i,-0.00010061-0.0011623i,0.00076754-0.00076764i,0.00061143-0.00043099i
0.0029118-9.7628e-05i,0.0013884+0.00050698i,-0.00020468+0.0016612i,0.00010844+0.00076693i,0.00074425-0.00074184i,0.00035605-0.0012942i,0.00049439-0.0008472i,0.00064448+0.00078857i,0.00072443+0.0015752i,0.00088665+0.00057376i,0.0011885-0.00028358i,0.0011361-0.0012886i,0.00024218-0.0013255i,0.00027664-0.00072112i,0.00032561-0.00034044i,0.00065133-0.00026196i,0.0010076-6.0849e-05i,0.00013407+9.6472e-05i,-0.00080117+1.0895e-05i,-0.0007739+0.00030773i,-0.00081607+0.00094082i,-0.00045586+0.0009957i,-0.00034062+0.0005313i
0.001536+0.0011422i,0.00015124+0.0019495i,-0.00068075+0.0010864i,8.0204e-05+0.00053841i,0.00072486+1.9024e-05i,0.0014058-0.00034169i,0.00090947-0.00046946i,2.1467e-05-0.00062969i,-0.00075834-1.7167e-06i,-0.00098154-9.9337e-05i,-0.00055825-0.00023051i,8.1887e-05+0.00044982i,0.0011641+0.0011327i,0.0013481+0.00068779i,0.001521+0.00048964i,0.0011522+0.00057484i,0.00047843+0.00036638i,0.00057593-6.8993e-05i,0.00023971-0.00066994i,2.2441e-05+0.00022992i,0.00017947+4.2131e-05i,0.00031324-0.00049687i,0.00041951+0.00037931i
0.0011666-0.0011402i,0.00045215-0.00076414i,-0.00024623-0.0012269i,-0.00025949-0.0017204i,-7.9985e-05-0.0013593i,0.00025659-0.001335i,0.00035-0.0010289i,7.8545e-05+5.301e-05i,0.00040393+0.00038081i,0.00063939+0.00048612i,0.00054969+0.00010837i,0.00075879-9.8911e-05i,0.00093149+0.00036809i,0.00080009+7.8612e-05i,0.0010212-0.00021801i,0.0014415-1.3222e-05i,0.001221-0.00046289i,0.00073193-0.00096088i,0.00018385-0.00070132i,0.00024404-0.0002793i,0.00045219-0.00012779i,0.00061354+4.2937e-05i,0.00072594+0.00057255i
0.0037084+0.0027775i,0.0023109+0.0027403i,0.00046812+0.0020928i,0.00056145+0.0011734i,0.00057787+0.00046992i,0.00019232-0.00076109i,-4.9687e-05-0.00091729i,-0.00012544+4.6092e-05i,0.00065834+0.00017473i,0.00034003+9.2968e-05i,-0.00022042-0.00038494i,1.4698e-05-0.0013649i,-0.00017165-0.00094845i,7.1497e-05-0.00035571i,0.00076888-0.00080157i,0.0002151-0.00011162i,-0.00012961+0.00080551i,1.0951e-05+0.00037746i,4.9982e-05-3.9503e-05i,1.2954e-05+0.00053503i,-0.00033366+0.00062456i,-2.5694e-05+0.00056951i,-0.00011236+8.2465e-05i
0.000425+0.0028643i,0.00056544+0.0023868i,-7.8315e-05+0.0017702i,-0.00064069+0.0016573i,0.00034775+0.0004631i,0.0011513-3.9506e-05i,0.00060497+5.9778e-05i,2.3024e-05-0.00033092i,-0.00028956-0.00070207i,-0.00018463-0.00051938i,0.00071041+2.6063e-05i,0.0013022-0.00060473i,0.0005845-0.0011653i,1.998e-06-0.00074231i,0.0012031-0.00018076i,0.0017855+0.00014586i,0.00078867+0.00012371i,0.00025027+0.00040221i,-0.0001368+0.00028585i,-0.0011374-0.00032209i,-0.00063648+6.7402e-05i,0.00055189+0.00059813i,0.00021112-0.00083892i
0.0015463-8.0228e-05i,2.2338e-05+0.00011961i,-0.001263+0.0014222i,-0.00044889+0.0021861i,0.0013941+0.00099115i,0.0014564-8.2595e-05i,5.1063e-05-0.0009909i,-0.00028988-0.0010659i,-0.00062879-0.00024861i,-0.00095021+0.00072581i,-0.00094658+0.00011381i,-0.00037479-0.00062255i,0.00037542-0.00030873i,-0.00020034-0.00057334i,-0.00044737-0.00077373i,0.00015983-0.00031208i,0.00050754+0.00031945i,-0.00029832+0.00089808i,-0.00036052+0.00041427i,-0.00021692-0.00034252i,0.00013191-0.00040314i,0.0011636-0.00011779i,0.0011938+0.00024468i
0.00061745-0.00027603i,-0.00049187+0.0010655i,0.00023935+0.00063442i,0.001592+0.00055656i,0.0011191-0.0005181i,-0.00014541-0.0014226i,-0.00096537-0.00092885i,-0.0010961-0.00068636i,-0.0013425-0.00035656i,-0.00098605-0.00035513i,-8.4376e-05-0.00059945i,0.0012649-0.00074724i,0.0011131-0.00075183i,0.0010622-0.0008191i,0.0014266+0.00030471i,0.00062781+0.0010988i,8.6143e-05+0.00025981i,-0.00035543-0.00027688i,-0.00028857-0.00066031i,0.00094948-0.00071021i,0.00086739-0.00068334i,3.9352e-06-0.00014973i,-0.00042235+0.00010305i
0.0022086-0.0014833i,0.0002291-2.9828e-05i,-0.00136+0.00084134i,-0.00126+0.00077927i,-0.00054266+0.00048545i,-0.00035448-0.00036748i,-0.0007669-0.00055425i,-0.0010295-0.00047724i,-0.00026604-0.0003103i,0.00039953+2.7943e-05i,0.0001435-0.00042137i,-9.0656e-05-0.00070222i,8.6763e-05-0.00047041i,0.00040764+7.7382e-06i,0.00051726+0.00085168i,-0.00035227+0.00069306i,-0.00056452+0.00065764i,5.6349e-05+0.00077242i,0.0004282-0.00063794i,0.00012227-0.0014913i,-0.00057957-0.0011223i,-0.00047531-0.00011699i,-1.681e-05+0.0010474i
0.0028532+0.00095282i,0.001673+0.00076631i,0.0014375+0.00014632i,0.0016433+0.0001754i,0.00095749-0.00031125i,0.0007225-0.00019045i,2.4142e-05-0.00050809i,-0.00029037-0.00090276i,0.00039627-0.00073672i,0.00021537-0.00049721i,-0.00033953-0.00046511i,0.00022586-0.00074414i,0.0012659-0.0011319i,0.0011125-0.0010792i,0.00053599-0.00065268i,0.00080999+0.00016827i,0.00065115+0.0011447i,-5.7566e-05+0.0012249i,-0.0001313+0.00034819i,-5.1247e-05+6.985e-05i,0.00020242+0.00016552i,-5.7018e-05-9.1053e-05i,-0.00043108-0.00041537i
0.0033529+0.0010691i,0.0012814+0.00084032i,0.00014295+0.00055202i,0.00065545+0.0009492i,0.0008377+0.00084612i,0.00035529-3.9048e-05i,0.0005322-0.00060002i,0.00024021+0.0001084i,-0.00054734+0.0011119i,-0.00044117+0.0014125i,-2.5116e-06+0.00092453i,-0.00010549+0.00022559i,0.00058402-0.00024141i,0.001053+0.0001573i,0.0010671+0.0006838i,0.00038711+0.00010565i,-0.00022443-0.0002248i,0.00027135-0.00032532i,0.00089199-0.00050605i,0.00085815+0.00029665i,-5.735e-05+0.0006669i,-0.00089629+0.00024389i,-0.00012952+2.2647e-05i
0.0028121+0.0023748i,0.0015542+0.0020275i,0.0010533+0.00087861i,0.00070913+0.00078076i,-2.3855e-05+2.0975e-05i,-0.00053002-0.00086521i,-0.00040564-0.00030861i,0.00080244-1.9196e-05i,0.0011862+8.7347e-05i,0.00039138-1.7945e-05i,-0.00059691+8.7665e-05i,-0.00094565-8.7692e-05i,0.00015147-4.1443e-05i,0.00057731+0.00068228i,-1.4594e-05+0.00059067i,1.6097e-05+0.00032799i,0.00019602+0.00087788i,0.00014665+0.00072584i,0.00054692+0.00021628i,0.00079653+0.00011006i,0.00062655-0.00050444i,0.00035721-0.00044055i,-0.00019424-6.6111e-05i
0.00093159-0.00041174i,-1.8104e-05-0.00046822i,-0.0008579-9.0065e-05i,-0.0008617-0.00014644i,-0.00041652-0.00025225i,-0.00020329-0.00029794i,0.00011812-0.00029109i,-0.00022074+0.00061563i,-0.0003586+0.00082242i,-0.00034544+0.00047044i,-0.00034252-8.466e-05i,-0.00012984-0.00063761i,0.00039373-0.0002807i,0.00044404+0.00021958i,0.0001992+0.000546i,-0.00023715+0.00039368i,0.00013046+0.00017815i,0.00068751-6.2142e-05i,-0.00022004-0.00068138i,-0.0010843-0.00046483i,-0.00027901-0.00028965i,1.1448e-05-0.00043542i,-0.00019623-0.00057421i
0.0018841+0.0014006i,0.00059765+0.0005693i,0.00032841-0.00021034i,0.00028984-0.00096917i,0.00030049-0.0010842i,0.00058717-0.0006167i,0.00015819+0.00014076i,-0.00040994+0.00037934i,-0.00011474+0.00018172i,0.00047589-0.00038753i,0.0011502-0.00011246i,0.0010603+0.00019539i,0.00056671-0.00014489i,-6.3907e-05-0.00052424i,-0.00053945-0.00080467i,2.471e-05-0.00066895i,0.00026743-0.00014779i,-0.00015091-0.00025377i,-0.0004259-0.0010553i,-0.00047672-0.00036418i,-0.00058506+0.00052992i,-0.00029669+9.5732e-06i,-3.8043e-05-5.7422e-05i
0.00044926+0.0019385i,-0.0012747+0.0027494i,-0.0018534+0.0020563i,-0.00014699+0.00078286i,0.0006984-0.00032641i,0.00059269-0.00072649i,0.00047151-0.0001912i,0.00078733+0.00038272i,0.0011405+0.00057501i,0.00031908+0.00018012i,-0.0001308-0.00052421i,0.00070445-0.0012274i,0.0013953-0.0011568i,0.00054229-0.00067837i,0.00042529-0.00053239i,0.00057229-0.00049807i,-0.00051893-0.00038575i,-0.00098566-3.4302e-06i,-0.00034942+9.2382e-05i,-0.00049115-0.0003709i,-0.00058196-0.00082717i,0.00014688-0.00081884i,0.00024438+0.00018358i
-0.00080744+9.3885e-06i,-0.00195+0.00075529i,-0.0020066+0.00053435i,-0.00014831+0.00015839i,0.0010456-2.7425e-05i,0.00027938-0.00054137i,-0.00047413-0.00060964i,-0.0004907-0.00021532i,-0.00043275+0.00047159i,-0.00015916+0.00054925i,-0.00037754+0.0008392i,-0.00040366+0.00068866i,-4.193e-05+5.3882e-05i,0.0008478-0.00024304i,0.0018457-0.00040433i,0.001152-8.1068e-05i,0.00094801+0.00011088i,0.0011333-0.00017501i,0.00038272+3.6542e-05i,-5.8534e-05-0.00014788i,-0.00034758-0.00030382i,0.00024705-0.00056567i,0.00084013-0.0006016i
0.0037806-0.0014045i,0.0021633-0.0015351i,0.00034707-0.00041776i,0.00029269-0.00036275i,0.00093589+8.4541e-05i,0.00021289+0.00031435i,-0.00039542-0.00031466i,0.00011918-8.6931e-05i,4.0475e-06+0.00021203i,0.0001643-3.8335e-05i,0.00051063-0.00025141i,0.00021492-0.00047561i,1.7091e-05-0.0002946i,0.00076156-0.00025659i,0.0015869-5.3103e-05i,0.0006565+0.00061701i,7.8784e-05-0.00016121i,0.00060311+0.0001396i,0.00049539+0.00057246i,4.1509e-05+0.00076503i,-0.00011024+0.00079876i,0.00063105+0.00031535i,0.0011181+2.2344e-05i
0.0012555+0.00038289i,-0.00015018+0.00072678i,-0.0017649+0.0014168i,-0.0013922+0.0018695i,0.00048063+0.0015345i,0.0019744+0.00081013i,0.0019643-7.5687e-05i,0.00062257-2.581e-05i,-0.00072696+0.00048243i,-0.0011137+0.00058585i,-0.0010294+0.00060375i,4.0643e-05+0.00071121i,0.00096704+0.00058174i,0.00080159+0.00050923i,0.00093902+0.00032351i,0.0015415+0.00029609i,0.0005461+8.8511e-05i,-0.00049429-0.00080297i,0.00025251-0.0011286i,0.00086535-0.00045149i,-0.00016597+0.00057006i,-0.00032986+0.0013198i,-7.8162e-05+0.00072609i
-0.00092968+0.00087783i,-0.0016158+0.0018252i,-0.0024408+0.0018583i,-0.0018907+0.00098057i,6.1776e-05+0.0004175i,0.0017429+0.0003993i,0.001496-0.00049808i,-0.00012888-0.0012067i,-0.00075994-0.00043135i,2.4852e-05+0.00050504i,0.00073912+0.00042306i,0.001013-0.00017911i,0.00065011+0.00013903i,0.00058206+0.0003265i,0.0010993-0.00021307i,0.0010985-0.00010821i,0.00027299+0.00044883i,-0.0007375+0.00025207i,-0.00053529+5.441e-05i,-0.00013646+7.126e-05i,-2.2073e-05-0.00029305i,1.7658e-05+0.00010881i,-0.00011454+0.00053825i
0.0027973-0.00033372i,0.0017649-0.00022837i,0.00093268-0.00067551i,-0.00013198-0.0012248i,-3.7596e-05-0.0010964i,0.00073573-6.3922e-05i,0.00081442+0.00068404i,0.00074928+0.00090744i,0.0011633+9.7867e-05i,0.00038773-0.00065414i,-0.00053596-0.00078047i,-8.2923e-05-0.0012827i,0.00068065-0.00069959i,0.00035446+0.00047756i,-0.00012179+0.0015819i,-0.00012937+0.0014893i,-4.1323e-05+0.00048643i,-7.222e-05+0.00012302i,-0.0001662-0.00019508i,-1.7648e-05-0.00030515i,-0.00019315-0.0004735i,-9.5506e-05-0.00012304i,0.00029225-4.852e-05i
0.00043152+0.0045874i,0.00064675+0.0035045i,0.0015944+0.0030513i,0.0021204+0.0016384i,0.0012264-0.00076816i,0.00011912-0.0017319i,-0.00028345-0.0013263i,-0.00036446-0.00060066i,-0.00026581+0.00054721i,-0.0004023+0.0013712i,-6.014e-05+0.00049372i,0.00043922-0.00075031i,0.00046533-0.0011006i,5.698e-05-0.0010526i,0.00035027-0.00090791i,0.00093011-0.00020495i,0.00071618-0.00015201i,-6.0585e-06-0.00043676i,-0.00060623-3.2672e-05i,-0.0011167+0.00022486i,-0.00076746+0.00054261i,-0.00013134+0.0011549i,-0.00030187+0.0012146i
0.0014306+0.0014729i,0.00062786+0.0011802i,-0.00025262+0.00093359i,-0.00014448+3.0101e-05i,0.0015903-0.0010915i,0.0022547-0.0012956i,0.00073178-0.00044911i,0.00025691+0.0005355i,0.00082259+0.0006072i,0.00038959+0.00034836i,0.00041892+0.00025378i,0.0012023-0.00030597i,0.00057797-0.00039525i,-0.00046595-8.9713e-05i,-0.00032828-0.00035275i,0.00052036-0.0006928i,0.0011273-0.00039877i,0.0012793+2.6105e-05i,0.0013433+0.00023852i,0.00051074+0.00064995i,-0.0005275+0.00095642i,-0.00046493+0.00096412i,-1.9504e-05+0.0003069i
0.0015352+0.0010961i,0.00043253+0.0016436i,0.0002595+0.0012847i,0.00077865+0.00079728i,0.00071538+0.00039233i,0.00045112-2.8912e-05i,0.00027592-0.00050285i,-0.00042247-0.00044384i,-0.00076795-1.0914e-05i,-0.00044776+0.00049878i,-0.00070518+0.00010641i,-0.00026912-0.00053446i,0.00041975-0.0004097i,0.00099305-0.00039452i,0.0011663+0.00036677i,0.00053196+0.00074501i,5.285e-05+0.00034982i,-0.00039479-5.3593e-05i,-0.00066376-0.00016733i,-0.0005694-7.3468e-05i,-0.00067374-0.00036351i,-0.0008588-0.0002045i,-0.00063142+0.0006722i
0.003862+0.0024817i,0.0028665+0.0014219i,0.0023579+0.001037i,0.0021539+0.00037756i,0.0016407-0.00070649i,0.0004703-0.0011523i,-0.00022592-0.00032438i,-2.7923e-05+0.00020141i,0.00029904+0.00014459i,-8.521e-05-0.00018254i,-0.00010848+0.00013203i,-1.9911e-05+0.00073084i,-0.00018661+0.00037708i,-0.00045373-0.0003319i,-0.00030829-1.3846e-05i,0.00051533+0.00046988i,0.00018655+0.00018027i,-0.00019876-0.00013503i,9.6602e-05-0.00025486i,-0.00024409-0.00067043i,-0.00030259-0.00087685i,0.00027929-0.00032057i,0.000583-4.2543e-05i
0.0020805+0.0011301i,0.0011199+0.0015494i,-0.00054702+0.0025506i,-0.00019278+0.0022966i,0.0014669+0.00079877i,0.0016532-7.6131e-05i,0.00078038-0.00016702i,0.00048785+0.00015932i,-0.00049181+7.3319e-05i,-0.00070084+1.7235e-05i,-0.00022886+0.0001585i,0.00026014-0.00041838i,0.00049537-0.0011577i,0.00084769-0.0011971i,0.0013927-0.00010374i,0.0010561+0.00065822i,0.00044821+0.00093694i,-7.3358e-05+0.00060961i,-0.00011602+0.00025576i,0.00022941+3.6815e-05i,-2.3348e-05-1.0641e-05i,-0.00020882+0.00013803i,0.00016231-0.00042676i
0.002184+0.0026053i,0.00047839+0.0025377i,0.00025694+0.00041872i,0.00027847-0.0007765i,0.00024971-0.00060295i,0.0012233-0.00011683i,0.0010013+1.2156e-05i,0.00039034+0.00041227i,0.00022404+0.0002831i,0.00020041-0.00048203i,0.00042675-0.0006761i,0.00049136-0.00028474i,0.00012125-0.00039235i,-3.4161e-05-0.0013673i,0.00053175-0.001463i,0.00038191-0.00014516i,-0.00035803+0.0002327i,-8.2463e-05-0.00023192i,0.00010542-0.00032898i,-0.00029442-5.2143e-05i,-0.00018258-0.00028462i,0.00038212+0.00016656i,0.00022096+0.0012858i
0.0011977+0.00043267i,0.0010498+0.00054753i,0.0016258+0.00064849i,0.0017998+0.00031037i,0.001943-0.00062023i,0.0016627-0.0011439i,0.00085435-0.00028553i,0.00034305+0.00065518i,-0.00030009-4.092e-05i,-0.00085856-0.0010728i,0.00010509-0.00090761i,0.0010139-0.0004652i,0.00041111-0.00036445i,0.00021131+0.00047129i,0.00035484+0.0010101i,0.00038476+0.00033787i,0.0006425-0.00015402i,0.00063177+0.00012545i,0.00049088-1.6549e-05i,0.0006224-5.4846e-05i,0.00031285+0.00010664i,0.00049604+0.00069962i,0.00049362+0.00055423i
0.0032175-0.0016481i,0.00048662-0.00176i,-0.0021823-0.0014989i,-0.002684-0.00069368i,-0.0019065-1.4573e-06i,-0.0012724+0.00052129i,0.00043755+0.00015668i,0.0014239-0.00016997i,0.0011587-0.00043415i,0.00079729-0.00082918i,0.00080359-0.00080381i,0.00097227-0.00056598i,0.0011214-0.00050231i,0.00062007-0.00025825i,-0.0004348-0.00017033i,4.8887e-06-0.00018721i,0.00047082+0.00028737i,2.2694e-05+0.00061772i,9.6889e-05+0.00079287i,-0.00046798+0.00036478i,-0.0011148-0.0001177i,-0.00078449+0.00017163i,-5.0791e-05+0.00050825i
0.0020894+0.0003438i,0.0017973-0.00052974i,0.00090727-0.0014683i,0.00079557-0.0018174i,0.0008234-0.0016056i,0.00045738-0.0019141i,0.0005313-0.0011098i,0.00023815+0.00020491i,-0.00014875+0.00096781i,-0.00052906+0.00039066i,-0.00014617-0.00082979i,0.00079511-0.0015312i,0.00080129-0.00065596i,0.0003009-0.00021888i,0.00061658-0.00033842i,0.00067322+0.00083898i,0.00010512+0.00071992i,-9.7864e-05-0.00042757i,0.00044681-0.00054333i,0.00055344+6.9247e-05i,-9.1104e-05+0.00017832i,-7.0146e-05-2.8819e-05i,-3.3536e-05-3.0103e-05i
