0.00016128+0.0031118i,0.0014531+0.003778i,0.00074263+0.0013923i,-0.00031272-0.00037474i,-0.001198+0.00018679i,-0.0017999+0.0023243i,-0.00096255+0.003444i,0.00011904+0.0027944i,0.001524+0.001412i,0.0014349+9.0396e-05i,-0.00015074+0.00020687i,-0.00021517+0.00025873i,0.00032516+7.9811e-05i,0.00059222+0.00011728i,0.00076977-0.00025939i,0.00042355-0.0005156i,-2.1728e-05-0.00022332i,-0.00030496-0.00018755i,9.3308e-05-0.00035154i,7.9479e-05+1.3497e-05i,-0.00030729+0.00064004i,-3.3576e-05+0.00037527i,0.00033681-0.00037999i
-0.0016289+0.00064056i,-0.0011271+0.00087884i,-0.00028132+0.0013234i,-0.00035363+0.0007301i,-0.00062699+0.00037625i,0.00079568+0.00042601i,0.00064523+1.1324e-05i,-0.00094126-0.00014784i,-0.0014095-0.00038396i,-0.0011184-0.00032893i,-0.00055828+6.0395e-05i,-7.3879e-05+0.00014927i,-0.00041577-2.4852e-05i,-0.00019794-0.00088685i,0.00038911-0.0018163i,0.00071924-0.0014771i,0.00036841-0.00020385i,0.00028517+3.6537e-05i,0.00052309-0.00096434i,0.0004059-0.00070457i,0.00041171+0.00022655i,0.00032665+2.2238e-05i,0.00021361-0.00043652i
-0.0015101+9.2613e-05i,-0.0010305+0.0019884i,-0.00056294+0.0019609i,-0.00046537+0.0015254i,-0.00011919+0.0014262i,0.0009917+0.0022086i,0.00030608+0.0023583i,-0.0011321+0.0011665i,-0.00094111+6.8451e-05i,-0.00044689-0.00012452i,4.0789e-05-0.00028591i,0.00035676-0.00075088i,0.00030956-0.00091971i,0.00020339-0.00097282i,-9.9432e-07-0.0012828i,0.00026494-0.0014426i,0.00090743-0.0015743i,0.0011309-0.00078522i,0.00048624+6.7286e-05i,-0.00036018+3.7011e-05i,-0.00076571-0.00018948i,-0.00070381+0.00013333i,-5.4682e-05-0.00014954i
-0.00098293+0.0017327i,-0.0011692+0.0020392i,-0.00086862+0.0014044i,-0.00033999+0.00046145i,-0.00045429+0.00023386i,-0.00062552+0.00065289i,0.00019101+0.00051755i,-0.00038699+0.000228i,-0.0011979+0.0004065i,-0.0012667-0.00029625i,-0.0010878-0.0011115i,-0.0007945-0.00096888i,-0.00028423-0.00090301i,0.00077976-0.00047311i,0.0013917+0.00033021i,0.0007066+0.00012199i,-0.00013408-0.001095i,0.00029676-0.00092179i,1.9049e-05-3.9634e-05i,-0.00054141-0.00024168i,-0.00031182-0.00033773i,-0.00043573+0.00012071i,-0.0004004+0.00020958i
-0.0016046+0.0011472i,-0.0018306+0.0010867i,-0.00051599+0.00055398i,-0.00037331-0.00029975i,-0.0011375+0.00030361i,-0.00092358+0.001774i,9.6297e-05+0.0010757i,0.00076634+0.00092643i,0.00098519+0.00079416i,0.00070612+0.00017427i,-0.00032829+0.00080441i,-3.7171e-05+0.00079745i,0.00069933+0.00027139i,0.00060582+0.0004406i,0.00046482+0.00027751i,0.0006018+6.062e-05i,0.00066007+0.00024916i,0.0012303+0.0003023i,0.0013197+0.00018808i,0.00088544+0.00036822i,0.00094027+0.00020039i,0.00039532-0.00025783i,0.00014481-0.00044777i
-0.00060557+0.0020614i,-0.00078878+0.0028933i,-0.00014538+0.0028491i,-0.0002121+0.0021165i,-0.00032371+0.0017105i,0.00052804+0.0013815i,0.00022728+0.00039884i,-0.00054569+6.0007e-05i,-0.00068591+8.6955e-05i,-0.00025117-0.00049959i,-0.00042066-0.00057845i,-0.00056354-7.0506e-05i,-0.0004182+1.5683e-08i,-0.0004594-0.00011716i,0.00022218+0.0002928i,0.00079933+0.00068622i,0.00032287+0.00041098i,-0.00053296-0.00027516i,-0.00075908-0.00071297i,-0.00054581-0.00083979i,-8.7083e-05-0.0007428i,0.00012111-0.00068667i,-0.00031893-0.00089083i
-0.002298-0.00014871i,-0.0011479+0.00090757i,-0.00048937+0.0017519i,-0.0011442+0.0022356i,-0.0020474+0.0025398i,-0.0019179+0.0019558i,-0.001082+0.00051043i,-0.00022045-0.00016927i,0.00086875+2.5693e-05i,0.0008747-0.00031755i,0.00023698-0.00059167i,0.00039481-0.00061812i,0.00063715-0.000324i,0.00059962+8.1164e-05i,0.0010961+0.00056274i,0.0014324+0.00031453i,0.00091792-0.00056511i,-7.1456e-05-0.00066273i,-0.00062024-0.0011503i,-0.00032145-0.0014395i,0.00021982-0.00037973i,-0.00015957-0.00037237i,-0.0010505-0.00046861i
-0.0018243+0.0014545i,-0.0011203+0.00043943i,-0.00034173+0.00058186i,-0.0005854+0.00038845i,-9.0632e-05+0.0001375i,0.00053451+0.000531i,0.00045918+0.00052375i,-0.00018236+2.8358e-05i,-0.00093395-0.00028052i,-0.00054439-0.0011361i,0.00060738-0.0014918i,0.00084099-0.0012254i,0.00059164-0.00065036i,0.00046379+1.6004e-05i,0.00057376+0.00010848i,0.000636-0.00037748i,0.00060914-0.001208i,0.00051244-0.0015453i,0.00039017-0.00052238i,0.0002421+0.00029367i,-0.00020749+0.00026912i,-0.00076151-0.00027072i,-0.0009039-9.5746e-05i
-0.00082466+0.00055822i,-0.00045537+0.0018054i,-0.00017371+0.0010826i,-0.00031996+0.00035561i,-0.00094492+0.00042269i,-0.00025548+0.00060517i,0.00040893-0.00013604i,0.00028035-0.00075813i,0.00042666-0.00023616i,-0.00014741+0.00022572i,-0.00068645-0.00037212i,-0.00029011-0.0001597i,0.00022417+0.00017557i,0.00026308+0.00010055i,0.00062338+0.00029683i,0.0016265+3.8394e-05i,0.0016647+8.8729e-05i,0.0006804+0.00041165i,4.0678e-05+0.00035097i,-0.00014961+0.00071869i,-0.0004387+0.00037262i,-0.00050735-0.0002397i,-0.00049417+9.33e-05i
-0.0010061+0.0021571i,-0.00071805+0.0023802i,-0.00046364+0.0020542i,-0.00011001+0.0023305i,-0.00059095+0.0029809i,-0.00080263+0.0026063i,-0.0004741+0.0016399i,-0.00048366+0.00075592i,-0.00025617-0.00036329i,-0.00010039-0.0010141i,-0.0001765-0.00055326i,-0.00014741+0.00013491i,-0.0004555-0.00046092i,-0.00043992-0.00097653i,-0.00015762-7.2813e-05i,0.0006737+0.00021546i,0.0014316-0.00060549i,0.0007948-0.00098549i,0.00057592-8.4874e-05i,0.00025984+0.00061394i,-0.00032489+0.000366i,-0.00064194+0.00023169i,-0.00088885+0.00058563i
-0.0024295+0.0013655i,-0.0026359+0.002346i,-0.0011818+0.0023039i,-0.00011597+0.0019448i,-0.00024175+0.001922i,0.00040451+0.0017012i,0.00094516+0.0010933i,0.00043675+0.00026635i,-7.4186e-06-3.1662e-05i,-8.7644e-05-0.00011759i,-0.00057312+3.1601e-05i,-0.0011475+0.00034614i,-0.00075292+0.0009094i,0.00059438+0.0014047i,0.0010614+0.0014122i,0.00054549+0.0006405i,0.00084902-0.00049558i,0.0012117-2.6301e-06i,0.00081313+0.00072412i,0.00068859-0.00012721i,-6.596e-05-0.00020023i,-0.0011259+0.00058522i,-0.00081108+0.00071653i
-0.0027617+0.0011052i,-0.0025684+0.0019532i,-0.0023377+0.0018991i,-0.0019044+0.0010566i,-0.0014746+0.00063667i,-0.00068942+0.00061782i,-0.00046156+0.00050254i,-0.00090493+0.00042666i,-0.0015249+0.00043759i,-0.0014249-0.00010845i,-0.00081293-0.000631i,-9.5882e-07-0.00066127i,0.00079215-0.00046246i,0.00040208+0.00014548i,-6.4963e-05+0.00046673i,0.00034645-0.00038691i,0.0006999-0.00035515i,0.00024623+0.00016768i,0.00034256-0.00022181i,-3.5834e-05-0.00044112i,-0.00065839-0.00059098i,-0.00058729-0.00034831i,-0.00033084+0.00014724i
-0.0007205+0.00091702i,-0.0010623+0.0017183i,-0.0011025+0.002005i,-0.0012115+0.0016814i,-0.0010869+0.00092399i,-0.00088288+0.00053273i,-0.00042057+9.2666e-05i,0.00015571+0.00058083i,0.00096315+0.00060646i,0.00059965-0.00043678i,3.236e-05-0.00075082i,0.0001429-0.00067054i,0.00017464-0.00055266i,0.00075869-0.00046663i,0.00096852-0.00089606i,0.00075032-0.00041731i,1.2022e-05-2.182e-05i,-0.00036886-0.00041414i,9.4868e-05+3.2796e-05i,0.00039572-0.00018597i,0.00025103-0.00072568i,5.603e-05-0.00057842i,-4.0768e-05-0.00047905i
-0.00018776+0.0026374i,-0.00071389+0.0031241i,-0.00018617+0.0021685i,0.00073171+0.0012204i,-4.1014e-05+0.00055694i,-0.0014367+0.00032329i,-0.001895+0.00020317i,-0.0020861+0.00039808i,-0.00069985+0.0009172i,0.00019032+0.00077677i,-0.00049302+0.00064257i,-0.00061259+7.9864e-05i,0.00036518-0.00019684i,0.00098883-0.00035425i,0.00087491-0.00045415i,0.00030522-0.00024746i,-5.2736e-05-0.00031263i,0.00017743-0.00029417i,0.00015108-0.00011402i,-4.8294e-05-0.00026812i,-0.00021424-0.00037028i,-0.0010535+0.00018564i,-0.0011571+0.00083788i
-0.0011381+0.0012946i,-0.00066914+0.0021462i,-0.00023023+0.0014496i,-0.00015839+0.00066372i,-0.00042466+0.0011677i,-0.00072621+0.0012579i,-0.0006432+0.0010568i,-2.1717e-05+0.0013817i,0.00039393+0.0013448i,0.00026444+0.00042841i,0.00072519+0.00019167i,0.00097951+0.00062907i,-7.5744e-05+0.00058209i,-0.00064267+0.00041681i,0.0005655+0.00039996i,0.0011433+0.00043072i,0.00067426+8.5315e-05i,0.00050921-0.0004881i,0.0002787-0.00058069i,0.00036141-0.00021633i,-0.00019687+0.0005727i,-0.0015211+0.00094116i,-0.0011766+0.00067572i
-0.0019433+0.0025817i,-0.0007222+0.003223i,0.00034504+0.0031762i,-0.00054686+0.0022773i,-0.0014081+0.0011373i,-0.00054085+0.0010956i,-0.00041411+0.0010129i,0.00054525+0.00017387i,0.00079222+0.00030177i,9.9475e-06+0.00054744i,-0.00051827-0.00020253i,-0.00024542-0.00044181i,0.00071286-0.00022622i,0.0013646+3.7505e-05i,0.0016048-0.00010246i,0.0012156-0.00025853i,0.00056195-0.00044866i,0.00070476-0.00025776i,0.00011499+0.00037696i,-0.00090265+2.6141e-05i,-0.00058866-0.00019259i,-3.3216e-05-0.00024065i,5.0671e-05-0.000113i
-0.0011311+0.0018017i,-0.0019716+0.0025085i,-0.0012365+0.00097786i,-0.0015819-6.89e-05i,-0.0017362+0.00070415i,-0.0012269+0.0013074i,-0.00096354+0.0015062i,3.68e-05+0.0017528i,0.00032049+0.0013159i,-0.00059626+0.00057413i,-0.0013193+0.00022779i,-0.00082044-0.00050347i,0.00051516-0.00058735i,0.0014218+0.00028104i,0.001532+0.00095948i,0.0012843+0.00068192i,0.0012052-0.00078975i,0.00056973-0.0013704i,0.00039981-0.00061908i,0.00013203-3.1386e-05i,-0.00073117+0.0001232i,-0.001013+0.00012751i,-0.00048482+0.00031794i
-0.0021786-2.9091e-05i,-0.0019195+0.0020096i,-0.00034356+0.0029151i,0.00025157+0.0016836i,0.00035124+0.0014842i,0.00071526+0.0017881i,0.00079491+0.0013684i,0.00014883+0.00042741i,-0.00032275+0.00043205i,-0.00015905+0.0013057i,0.00012723+0.00076376i,0.00041741-0.00074103i,0.00054444-0.00081207i,0.0014172+0.00060233i,0.0016651+0.00037757i,0.00091815-0.00073348i,0.00052256-0.00058398i,6.5447e-05+0.00014059i,-0.00038028+0.00035088i,-0.00093185+0.00029468i,-0.00013292+0.00036733i,0.0001362+0.00031645i,-0.00091052+0.00011004i
-0.0019045+0.0015458i,-0.0021717+0.0019635i,-0.00082818+0.002392i,-5.4716e-05+0.0023075i,3.3575e-05+0.00142i,-0.00016194+0.00097677i,-0.0005723+0.00043051i,-0.000486-0.00024248i,0.00028712+0.00017979i,0.0011711+0.00016426i,0.0010309-0.00019053i,0.00032761-0.0007653i,-0.00043136-0.0011161i,-0.00082701+0.00026854i,4.4696e-05+0.00072889i,0.00098982-0.00038715i,0.00074427-0.00069546i,0.0006652-0.00080054i,0.00076312+7.8178e-05i,0.00025003+0.00035635i,-8.6618e-05-0.00010475i,0.00031662+0.00017038i,0.00040839+0.00019188i
-0.0010983+5.4001e-05i,-0.0010091+0.0014195i,-0.0011797+0.00090153i,-0.0015208+2.5839e-05i,-0.0020915+0.00038343i,-0.0022736+0.0015043i,-0.0019924+0.0014851i,-0.0013429+0.00057065i,-0.00052505-0.00042458i,3.5451e-05-0.00053056i,-0.00037085+0.00099i,-0.00086391+0.001493i,-0.00051903+0.00059934i,-0.00018535+0.00026299i,0.00016363+0.00061377i,0.00041577+2.1417e-05i,0.00044222-0.00013692i,0.00073231+0.00055918i,0.00034058+0.00077697i,0.00017317+0.00076166i,0.00023095+0.00022388i,-0.00020726-0.00034091i,-0.00047361+0.00039148i
-0.00066604+0.0013509i,-0.00095349+0.0018597i,0.00062348+0.0016316i,0.0017459+0.00076877i,0.0016011+0.00040538i,0.00081968+0.00017694i,0.00045808-0.00038977i,-0.00044045-0.0012337i,-0.0016277-0.0012103i,-0.0017041+0.00025487i,-0.0006654+0.0012602i,1.0178e-05+0.00074822i,-0.00017649+0.0001744i,0.00059236+0.0009657i,0.001252+0.0010787i,0.00063232+7.5425e-05i,0.00068995-0.00096031i,0.00084584-0.0012923i,0.00053969-0.00056739i,0.00047895+0.00058912i,0.00050288+0.0010529i,-0.00038253+0.00088007i,-0.00079342+0.00024919i
-0.00014841+0.0021138i,-0.0013596+0.002006i,-8.8335e-05+0.0018684i,0.002162+0.0010094i,0.0018314+0.00088563i,-0.00033528+0.0010799i,-0.00053281+0.00083772i,4.0647e-05+0.0017027i,0.00039548+0.001988i,0.0013116+0.00059202i,0.00096464+7.7126e-05i,0.00042246+0.00041617i,0.00038295+0.00047945i,0.00012839+0.0003383i,0.00031013-9.9421e-05i,0.0003952-0.00028968i,0.00065288-0.00032034i,0.00045651-0.00069056i,-0.00037088-0.0011175i,-0.00037992-0.001017i,5.4954e-05-0.00022943i,-0.00050395+0.00086702i,-0.0006671+0.00090101i
-0.0025777+0.0022246i,-0.0034008+0.002055i,-0.0023762+0.0017687i,-0.0012099+0.0017461i,-0.00079316+0.0011541i,-0.00082422+0.00043953i,4.2779e-06+0.00052109i,0.00084326+0.00096525i,0.00078477+0.00096262i,1.0709e-06+0.00032211i,-0.00078376+0.00016959i,-0.0007441-0.00034945i,-0.00012941+4.1036e-05i,-0.00022489+0.0011787i,-0.00051849+0.0011231i,-0.00016546+0.0005514i,-0.00011719+0.00012444i,0.00029261-8.1662e-06i,0.00038569+0.00020977i,0.00011158+0.00030213i,2.8847e-05-0.00016814i,-0.00010812-0.00019343i,-0.00017589+4.5973e-05i
-0.0012455+0.0007147i,-0.0011251+0.0027156i,-0.00017712+0.0021817i,0.00031226+0.0014242i,0.0004511+0.0010105i,0.00044625+0.00060552i,0.0002532-0.00045467i,0.00063459-0.0011909i,0.0013547-0.001118i,0.00094783-0.00081299i,-0.00010483-0.00041501i,-0.00037854-0.00049384i,-0.00013091-0.00029922i,0.00017131+0.00032851i,0.00046391+0.00086317i,0.00030214+0.00057238i,0.0003234-0.00039075i,0.00030419-0.00089552i,-0.00017656-0.00093981i,-0.00047455-0.00048448i,-0.0011448+0.00026922i,-0.00099474+0.00093248i,-0.00082187+0.00024707i
-0.001099+0.00051604i,-0.001035+0.0014729i,-0.00021169+0.0011458i,-0.00052898+0.0011061i,-0.00026092+0.001897i,0.00032887+0.0024883i,-0.00029111+0.00092699i,-0.00029251-0.00044593i,-0.00044417-0.00075306i,-0.00083638-0.00094259i,-0.0016564-0.00058311i,-0.00097923+0.00047086i,0.00017029+0.00053969i,0.00028939+0.00013496i,0.00050871+0.0007877i,0.00077452+0.00018385i,0.0011343-0.00079818i,0.00053496-0.00093638i,2.5157e-06-0.00038229i,-0.0001599+3.5565e-05i,-0.00028447+0.00026605i,-0.00031171-1.0713e-05i,-0.00047093-0.00018405i
0.00036054+0.00082927i,0.00092006+0.0013637i,0.0011541+0.0014185i,0.001203+0.0005362i,0.00048265+0.00098677i,-0.00027068+0.0017298i,-0.00013666+0.0015493i,0.00037182+0.00089754i,0.00094177-3.4959e-05i,0.0011653-0.00015577i,0.00078045+0.00029986i,9.2866e-05+0.00040972i,-3.6638e-05+0.00074568i,0.00055826+0.00074799i,0.00075418+0.0001894i,0.00025748-0.00026551i,0.00016879-0.00060807i,0.00064922-0.00016115i,0.00074172+9.3914e-05i,-9.6398e-05+0.00014406i,0.00017713+0.00039843i,0.0010321+0.00081209i,0.00043639+0.00081357i
-0.0016489+0.00067557i,-0.0029947+0.001103i,-0.0027533+0.00039784i,-0.00099929+0.00079405i,-7.4454e-05+0.0019899i,0.00046315+0.0020724i,0.00040667+0.0012648i,0.00027983+0.00032625i,0.0010452-7.184e-05i,0.0005864+4.4906e-05i,-0.00051301-3.4682e-05i,-0.00049395+2.8957e-05i,-0.00037663-0.00021545i,-0.00043614-0.00034174i,0.00025043-0.00068207i,0.0012074-0.00081052i,0.0014235-0.00078978i,0.00048524-0.0010641i,1.0602e-05-0.00057399i,4.7591e-05+0.00038831i,-0.000127+0.00015155i,-0.00051402-0.00047144i,-0.00067384-0.00028028i
-0.0023254+0.0019323i,-0.0015912+0.0029148i,-0.00087162+0.0028352i,-0.00040305+0.0021299i,-8.4597e-05+0.0014691i,0.00015549+0.0015713i,-0.00048579+0.0010282i,-0.001026-0.00016076i,-0.001031-0.00037842i,-0.001008-0.00027773i,-0.00039434-4.9517e-06i,-0.00024123+0.00065405i,-0.00042994-0.00014316i,-0.00051672-0.00081343i,-7.1237e-05-0.00013774i,0.00052627-8.0935e-05i,0.0008251-0.00018783i,0.00086165+0.00015835i,0.00060458+0.00024885i,0.00041338+6.4769e-05i,7.4639e-05+0.00072586i,-0.000203+0.00068588i,2.862e-05+0.00035821i
-0.0018008+0.0029388i,-0.0015289+0.0033979i,-0.00055662+0.0018637i,-2.1059e-05+0.0002375i,-0.00020575+2.5356e-05i,-0.00021998+0.00020564i,-0.0002705+5.0402e-05i,-0.00036981-0.00066169i,8.5713e-05-0.0010171i,0.0010607-0.00046297i,0.0013203+0.00053496i,0.00015975+0.00080446i,-0.00053873+0.0011561i,-0.00022104+0.0012647i,0.00032966+0.00086958i,0.00052965+0.00068678i,0.00023523-9.651e-05i,0.00057777-0.0012151i,0.0007852-0.00090879i,0.00023541+5.1529e-05i,-0.00037864+3.0776e-05i,-0.00038815-0.00059335i,-0.00047727-0.00039312i
0.00015751+0.0004267i,-0.0011394+0.00096378i,-0.0011208+0.0006461i,6.2639e-05+0.00012338i,0.00035227+0.00022272i,0.00018499+0.0010482i,0.00019977+0.0015327i,0.00047066+0.00089819i,0.00061451+0.00069956i,0.00085021+0.001147i,0.00053662+0.00068041i,-0.00053699-0.00027908i,-0.00016601-0.00054485i,0.00028301-0.00033717i,-0.00025826-0.00057003i,0.00015538-0.00060427i,0.00042898-0.00037642i,3.1569e-05-0.00076833i,-0.00049074-0.0004521i,-0.0011322+0.0002063i,-0.00037077-0.00027065i,-7.5694e-05-0.0007264i,-0.00071224-0.00026633i
-0.00049006+0.00064108i,-0.00052515+0.0026084i,-0.00023072+0.0028911i,7.3045e-05+0.0017286i,-0.00024724+0.0016134i,-0.00051008+0.0015535i,-0.00031571+0.00019098i,-0.00014163-0.00036369i,-0.00073821-0.00024496i,-0.00097032+0.00016184i,-0.0011499-0.00015393i,-0.00050945-0.00033925i,-4.8115e-05+0.00065107i,-0.00011531+0.00082571i,0.00045941-1.6395e-05i,0.00076659-0.00041575i,0.00027824-0.00055857i,-6.0152e-05-0.0012299i,-0.00028184-0.00093233i,-0.00052979-0.00031804i,-0.00044982-0.00042479i,-3.0531e-06+0.00019049i,0.00015054+0.0012415i
-0.0018018+0.0020176i,-0.0014904+0.0027213i,-0.00024258+0.0029785i,-0.00031514+0.0023313i,-0.00077632+0.0014175i,-6.0672e-05+0.00097567i,0.00031891+0.00064809i,0.00020896+0.00034323i,-7.7342e-05+0.00035581i,-0.00073097+0.0003247i,-0.00094255+0.00071977i,-0.00058468+0.0010952i,-0.00060421+0.0010838i,-0.00078536+0.00057409i,-0.00063701-0.00034262i,9.9706e-06-9.1991e-06i,-0.00023127+0.00022013i,-0.00057072-0.00072703i,-8.9584e-05-0.00059442i,5.1113e-05+0.00029706i,0.0002272+0.00015041i,-0.00021958-0.00037063i,-0.0010846+0.00013379i
-0.001521+0.0013015i,-0.0016346+0.0015826i,-0.0011013+0.0014397i,-0.00090693+0.001343i,-0.00079433+0.00089275i,-0.00027749+0.00069084i,-0.00035056+0.0003042i,-0.00038594+0.00012363i,3.9705e-05+0.00018933i,-0.00042124+0.00023628i,-0.0015745-0.00012806i,-0.001433-0.00059619i,-0.00016065-0.00047336i,0.00082859-8.5421e-05i,0.0011173-0.00015187i,0.0013217+0.00012178i,0.0011214+0.00040252i,0.00065806+0.00013497i,0.0008398-0.00050203i,0.00075573-0.00055204i,0.0012938-0.00011088i,0.0015796-2.8804e-05i,2.2774e-05-0.00020745i
-0.00054388+0.00051299i,-0.00090434+0.0015231i,-0.00015891+0.0019923i,2.566e-05+0.00093919i,-0.00049563+0.00060856i,-0.00079588+0.00064499i,-0.00035437+0.0002175i,0.00027487-5.463e-05i,0.00024142-5.5774e-05i,-0.00014826-0.00018142i,-1.7777e-05-0.00040625i,0.00056118-0.00036578i,0.00043583-0.00030031i,0.00061303-0.00034408i,0.00023218-0.00014789i,0.00017817+0.00069613i,0.00068923+0.0010281i,0.00015892+0.0011978i,-0.00057904+0.00083272i,-3.7866e-05+0.00017821i,0.00018035+0.00013951i,0.00034202-9.8616e-05i,-0.00026815-0.00017758i
-0.0027191+0.00085488i,-0.0029839+0.00094614i,-0.0026231+0.0014892i,-0.0011252+0.0023296i,-0.00038272+0.0023286i,-0.00039678+0.00065371i,2.9948e-05-0.00015622i,-4.9789e-05+0.00056952i,-0.00055362+0.00086349i,-0.00042455-1.2135e-06i,-2.8021e-05-0.00059491i,3.8052e-05-0.00035353i,-0.00059361+5.9705e-05i,-0.00058573+6.6203e-05i,0.00062744+0.00047163i,0.00091961+0.00019712i,0.00077475-6.4262e-05i,0.0001997+0.00017817i,6.3092e-05-0.00026809i,1.3808e-05-0.00097035i,-4.714e-05-0.00032593i,2.2289e-05+0.00044711i,0.00016205-0.0002919i
-0.0014378+0.0022357i,-0.0010415+0.0020427i,-0.00092402+0.0020258i,-0.00067835+0.0013236i,-0.00057624+0.00096825i,-0.0011079+0.0010207i,-0.0011097+6.7963e-05i,-0.0012256-0.00036206i,-0.0008929+0.00062516i,0.0002094+0.0009317i,0.00092927+0.00074925i,0.0009154+0.00053294i,0.00038509-5.486e-05i,0.00022294-0.0010265i,0.00077676-0.0014531i,0.001214-0.00042172i,0.0012106-0.0002595i,0.0014128-0.00061291i,0.0017473-0.00057649i,0.0014108-0.00019154i,0.00082938+0.00036692i,0.00011902+0.00093284i,4.1773e-06+0.0006146i
0.0007862+0.0034924i,-0.00015603+0.0037014i,0.0014962+0.00087857i,0.0012342-0.00087565i,-0.00046169-0.0014372i,-0.0022433-0.00041819i,-0.0019525+0.001299i,-0.0011243+0.00085649i,-0.00033847+0.00030862i,0.0003434+0.00065252i,0.00025492+0.00095021i,-0.00021545+0.0012539i,0.00060192+0.00094427i,0.001101+0.00039349i,0.0010248+9.4455e-05i,0.00062015+8.0523e-05i,0.00021355-0.0002417i,0.0003371-0.0005237i,0.00026569-0.00068367i,0.00038417-0.0008496i,0.00042448-0.00063472i,0.00060244-0.00073902i,0.00055426-0.00059754i
-0.0011094+0.00070019i,-0.001652+0.0019638i,-9.5629e-05+0.0024469i,0.00016306+0.0018534i,-0.00046621+0.002254i,-0.00039962+0.0030126i,-0.00053028+0.001724i,-0.00041747+0.00037541i,-0.00046934-0.0001714i,-0.00040951-0.00031387i,5.8389e-05-0.00015082i,0.00026747-0.00026025i,0.0001261-0.00057465i,0.00057826-0.00027221i,0.0017169-0.00052668i,0.0015973-0.00043099i,0.00071336+0.00010883i,0.00089367+8.6597e-05i,0.0017213+0.00028743i,0.0015419+0.00087529i,0.00084774+0.0011195i,0.0011477+0.00070283i,0.0015789+0.00065823i
-0.003164+0.0016556i,-0.0025381+0.003298i,-0.00081762+0.0035576i,0.00070328+0.0021246i,0.0012876+0.00094714i,0.00134+0.0011573i,-3.1565e-05+0.00085864i,-0.0011053-0.00035838i,-0.00092909-0.00039429i,-0.00078426-0.00021016i,-0.0010717-0.00051278i,-0.00079138-8.8031e-05i,-0.00011915+0.00058458i,-0.00020019+0.0003119i,0.00019824+0.00048958i,0.00023803-0.00029968i,0.00061345-0.00082387i,0.00064603-0.00047613i,0.00057221-0.00076351i,0.00067857-0.00096499i,0.00048277-0.00048571i,0.00017901-0.00016953i,7.9506e-05-0.00081441i
-0.0034797+0.0014473i,-0.0029773+0.00082119i,-0.00078462+0.00085033i,0.0005361+0.00086106i,-0.0001476+0.00061239i,-0.00083163+0.00065851i,-0.0013737+0.0003541i,-0.00063661+0.00010367i,0.00056748+0.00083641i,0.00052336+0.00092801i,0.00043589+0.0001899i,0.00057004+1.1013e-05i,0.0004538-0.00028447i,0.00066763-0.00074213i,0.00071687-0.00069682i,0.00050669-0.00032361i,0.00076953-0.00016654i,0.00063903-0.00067603i,9.4431e-07-0.00057323i,-0.00057635-0.00048472i,-0.00037556-0.00049637i,-0.00031494-0.00017803i,-0.00093099+0.00044311i
-0.0015846+0.00029654i,-0.0010973+0.00086945i,-0.0012929+0.0011932i,-0.0012885+0.0015708i,-0.0010421+0.0013363i,-8.3869e-05+0.00028015i,0.00055428-0.00032179i,-0.00011973-0.00063486i,-0.00098912-0.00092136i,-0.00060449-0.0012742i,0.000345-0.00082096i,0.00083446-4.8216e-05i,0.00036023-0.00024669i,0.00017-0.00052386i,0.00053105+3.3966e-05i,0.00087312-0.00022197i,0.00090343-0.00079884i,0.00036867-0.00078684i,0.00012571-0.00061363i,2.2347e-05-0.00057704i,-0.00028639+5.6843e-05i,-0.0005856+0.00013924i,-0.00010422-2.0783e-05i
-0.00033843+2.8837e-05i,-0.00081609+0.001382i,-0.0009744+0.0020023i,-0.0010203+0.0015887i,-0.0014916+0.0018368i,-0.00092371+0.0028989i,0.00045241+0.0016148i,0.0013202-0.0001876i,0.00063964-0.00050782i,0.00010802-0.00050703i,9.213e-05-0.000741i,0.00047139-0.00070291i,0.00097767-0.00019978i,0.00075603+3.1172e-05i,0.00061738+0.0002185i,0.0012991+0.00062354i,0.0015224+0.00034265i,0.00081415-0.00041011i,5.0651e-05-0.00036157i,0.0002176+9.8187e-05i,-0.00013852+0.00046139i,-0.0010756-5.4723e-05i,-0.00067283-0.00032655i
-0.0019278+0.0010062i,-0.0017499+0.00177i,-0.0010897+0.0012341i,-0.001191+0.0012034i,-0.0016324+0.0021152i,-0.00096503+0.0019364i,-0.0002095+0.00083638i,-0.00052968+5.7188e-05i,-0.00076642+0.0001875i,-0.00077015+0.00015704i,-0.00057406-5.569e-05i,-0.00015439-1.9929e-05i,0.00074857+0.00031909i,0.00091292+0.000549i,0.00035551+0.00065279i,0.00048059+0.00047842i,0.00021988-0.00035151i,-4.3065e-05-0.00084295i,-0.00040654-0.00096255i,-0.00063927-0.00020207i,-0.00059722+0.00095803i,-0.00077114+0.00096989i,-0.00041146+0.00086658i
