-0.00067017-0.0014738i,-0.00078135-0.0018843i,-0.0022015-0.0011127i,-0.0027803+9.5756e-05i,-0.0011681+0.00030119i,-0.0001203+0.00050501i,-0.00026607+0.00031161i,0.00039529+6.8936e-05i,0.0014348-0.00022459i,0.00096563-0.00019513i,8.6087e-05+6.4466e-05i,0.0004705+0.00057592i,0.00031264+0.0009446i,0.00027824+0.00046185i,0.00079419+0.00024837i,0.00052752+0.00033838i,-0.00051776+2.4587e-05i,-0.00091299-4.3256e-05i,-4.2353e-05-0.00033536i,0.00024114-0.00028825i,-0.00029406+0.00026455i,0.00016425+0.00071495i,0.00044818+0.00078943i
0.0039284+0.00093612i,0.0015067-0.00093849i,-0.00045082-0.0021261i,-0.00032087-0.0014727i,0.00039832-0.00064339i,0.0005263-0.00015475i,-0.00025363-0.0008555i,-0.00072204-0.00084554i,-0.00019448-0.00057933i,-0.00020991-0.0011346i,-0.00023829-0.0010944i,-0.00012219+0.00041545i,-2.7213e-05+0.00097086i,-0.00015457+0.00064186i,0.00014011+0.00074918i,0.00081993+0.00042977i,0.00029972-6.7494e-05i,0.00029401-0.00044769i,0.00047665-0.00066691i,0.00012055-4.8733e-05i,2.9898e-05+1.0756e-05i,-6.4977e-05+3.702e-05i,-3.3369e-05+3.5123e-07i
0.00013577+0.0019626i,-0.00017587+0.0015265i,0.00076039+0.00028619i,0.0014626-0.00012906i,0.00095667-0.00073506i,-5.5395e-05-0.001864i,-0.00066834-0.0014713i,-0.00034545-0.00036569i,-2.3306e-05+0.00033386i,-0.00058522+0.00099179i,-0.00057353+0.0013663i,-0.00031707+0.0019811i,-0.00040103+0.0012838i,-0.00016205+0.00029139i,-0.00023471+0.00030841i,0.0010257+0.00035575i,0.0016157-0.00035638i,0.00070195-0.00026466i,0.00070302+0.00050358i,0.00088421+0.00076516i,0.00070795+0.00084667i,0.00040484+0.00062052i,-0.00039502-0.00030948i
-0.0038155+0.0014943i,-0.0029649+0.0026186i,-0.00277+0.0018357i,-0.0014967+0.001663i,-0.0001858+0.0019255i,0.00022593+0.00074373i,-0.00060915-0.0010069i,-0.0012316-0.00087199i,-0.00038762+0.00032385i,0.00014652+0.00047147i,-0.00014864+0.00042465i,-0.0003569+0.00015233i,0.00016486+0.00041632i,0.00062966+0.00058291i,0.001259+0.00062371i,0.001084+0.0007506i,0.00027346+0.00086672i,-0.00079819+0.00085355i,-0.00045653-0.00031166i,0.00025558-0.0013506i,0.00015167-0.0007003i,0.00033328+5.813e-05i,0.0001847-0.00010837i
-0.0025614-0.0041756i,-0.0025824-0.0037855i,-0.0025506-0.0026104i,-0.0019708-0.00092789i,-0.00074314+0.00044547i,0.00057772+0.0009734i,0.00070383+8.983e-05i,0.0006077-0.00085089i,0.00063466-0.00015075i,0.00041609+0.00069425i,0.00010697+0.00092795i,-0.00028092+0.0013105i,-0.00048516+0.0012515i,-0.00013119+0.0013177i,0.00015203+0.0012035i,0.00010299-9.321e-05i,-0.00017137-0.0012288i,-0.00015913-0.00052012i,6.1875e-05+0.00016411i,0.00022243-0.0003209i,0.0011685-0.00055385i,0.0013089-0.00022516i,0.00091998+0.00018614i
-0.0014919-0.0012273i,-0.0031826-0.00067247i,-0.0029781-0.00035617i,-0.0015534-0.00028534i,-0.0009213-0.000246i,-0.00054064-0.00033618i,0.00018528-0.0010887i,-0.00043919-0.0012376i,-0.0005877-0.00087336i,-0.0003684-9.3329e-05i,-0.00069661+0.001059i,-0.0015125+0.0010752i,-0.00095157+0.00080226i,0.00093669+0.00045402i,0.0010677-0.00018832i,0.000503-0.00022302i,0.0002015+0.00015162i,-0.00050769+0.00038737i,-0.00059321+9.1804e-05i,0.00025001+0.00029294i,0.00061951+0.00058083i,0.00097197+0.00020623i,0.00075614-3.7322e-05i
0.0017585-0.00018763i,0.0022431-0.001934i,0.0015072-0.00063344i,0.00081139-0.00032006i,0.00086002-0.00067525i,0.00064506-0.0002464i,0.00036867-0.00016407i,0.00028594+3.0811e-06i,0.00094565+0.00072625i,0.0009097+0.00089932i,0.00028524+0.00035043i,0.00023098+6.1377e-05i,0.00028026+0.00016044i,-0.00018955+0.00012227i,-0.00079773-0.00039362i,0.00010088-0.00092327i,0.00087022-0.0011656i,0.00023211-0.00076514i,0.00017956-0.00017389i,-9.6629e-05+0.00086384i,-0.00018561+0.0013488i,-2.207e-05+0.00064065i,3.6134e-06-2.3642e-05i
-0.00068323-0.00020739i,-0.001554-7.5141e-05i,-0.0023892+0.00011483i,-0.00078854+0.001678i,0.00084423+0.0020709i,0.00037217+0.00015186i,0.00038353-0.00070234i,0.00027333+9.8457e-05i,-0.00068644+0.00026659i,-0.00056045+0.00021451i,0.00029768+0.00020987i,0.0006192+0.00021557i,0.00022778+0.00022273i,0.00025871+0.00012389i,0.00081225+0.00017611i,0.00056862+0.00024993i,-0.00022815+0.0001528i,-0.0005631+0.00047821i,-0.0009271+0.00042872i,-0.0013037-3.0354e-05i,-0.0012318+0.00010814i,-0.00096951+0.00034007i,0.00018425+0.00032337i
-0.0039739+0.002618i,-0.0027349+0.0032219i,-0.0011091+0.0033796i,-1.0014e-06+0.0024217i,-0.00010487+0.0021839i,-0.0015812+0.0012098i,-0.00253-8.1665e-05i,-0.001805+0.00026975i,-0.000768+0.0012132i,0.00011393+0.0019956i,0.00087955+0.0015464i,0.00062096+0.00060546i,0.0003014-3.0916e-05i,0.00037626-0.00032165i,0.00026689-0.00015156i,-0.00018732-9.6731e-06i,-0.00040102+0.00037974i,-6.7651e-05+0.00014656i,0.00039031-0.00023532i,-0.00021262+0.00010404i,-0.00011158-2.1902e-05i,0.00031068-0.00019893i,0.00011301+0.00017548i
0.00039872-0.005202i,-0.00078591-0.0042449i,-0.0011162-0.0031364i,-0.00044973-0.001402i,1.9071e-05-0.00019215i,0.0007294-0.0003242i,0.0011196-0.00079947i,0.0012381-0.0011938i,0.0011218-0.00071129i,0.00063196+4.0076e-05i,0.00019197+0.00030127i,-3.5185e-05+0.00037903i,0.00052341-0.00025139i,0.0013107-0.00015484i,0.0011748+0.00076476i,0.0010171+0.00077411i,0.00017802+0.00043381i,-0.00084111+0.0003883i,-0.00028509+0.00020662i,0.00047996-0.00056256i,0.0010141-0.0010056i,0.00078767-0.00012467i,0.00021461+0.00058339i
0.0015385+0.00047006i,0.00076016+0.00017089i,-0.000113-0.00013153i,-0.00029983-0.00062466i,0.00027412-0.00058525i,-0.00024033-0.00023079i,-0.00086483+0.00018703i,-0.00067494+0.00024728i,-0.00038986-0.00015398i,0.00027852-0.00040359i,0.00010723-0.00027862i,-0.00017863+0.00055364i,-0.00065101+0.00058826i,-0.00087141-0.00033621i,-0.00081867-0.00082871i,-0.0011382-0.00063209i,-0.00060348-0.00057894i,0.00011484-0.00055543i,-6.0722e-05-0.00050904i,6.5964e-05-0.00051088i,0.00047654-0.00026285i,0.00031601+6.3409e-05i,3.5579e-05+0.00029313i
0.00042861+0.0021514i,0.001934+0.001616i,0.0023953+0.0021385i,0.0017113+0.0015609i,0.0013068+0.0011016i,0.00036452+0.00080574i,-0.0001664+0.00028072i,-0.00016431+0.00065551i,-0.00025875+0.0011106i,-0.00023872+5.4625e-05i,0.00026111-0.001283i,0.00085997-0.00056595i,6.9234e-05+0.00083045i,-0.0012603+0.00055942i,-0.00025541-0.00030986i,0.00063164-8.8079e-05i,-0.00011838+9.304e-05i,-0.0004472+5.7468e-05i,-0.00058065-0.00023694i,-0.00015839-0.00031941i,0.00068454+0.00010544i,0.0014757+0.00023611i,0.0013855-0.0001252i
-0.0028423-0.00036852i,-0.0013921-0.0014795i,-0.0015886-0.0017873i,-0.00095383-0.0011049i,0.00019564-0.00029562i,-0.00011396-0.00057816i,-0.00082427-0.00098131i,-0.00056112-0.00031381i,-2.5632e-05+0.00034843i,-0.00011805+0.00040725i,-4.7948e-05+0.00031531i,-0.00011161+0.00056106i,0.00063766+0.00071852i,0.0015525+0.00057411i,0.00077545-2.0413e-05i,0.0001554-0.00065489i,-8.6341e-05-0.0006867i,-5.1801e-06-0.00026405i,0.00024836-9.4793e-05i,-0.00018973-0.00020882i,-0.00023967-7.3967e-05i,-0.0002878-0.00034353i,-0.00058533-0.00076742i
0.00039609-0.0022947i,0.00077098-0.0015846i,-0.00048026-0.00070818i,-0.0012368-0.00014516i,-0.00077154+0.00060554i,0.00028948+0.00045849i,2.7279e-05-0.00015513i,-0.00071573+0.00027705i,-3.4769e-05+0.00031605i,0.00037426+0.00032591i,-0.00017388+0.00098419i,-0.00045479+0.00089647i,-0.00052928+0.0006856i,-0.00064425+0.00064822i,2.102e-05-2.1939e-05i,0.00052489-0.00017059i,6.078e-05+0.00027879i,-0.00020696+0.00067492i,1.3958e-05+0.00044003i,0.00058403-0.00042244i,0.00054125-0.00022483i,-0.00010987+5.5108e-05i,-0.00021733-1.2236e-05i
-0.00145-0.00092552i,-0.0015497+0.00036257i,-0.0012662+0.001557i,-0.0011816+0.00082469i,-0.00027367+3.013e-05i,-4.4875e-05-0.00086376i,-0.00018004-0.0017833i,0.0001783-0.0014282i,0.00018363-0.00069007i,5.435e-05-0.00020404i,-0.00011219-0.0002044i,-0.00030323-0.00043005i,8.1394e-05-0.00091194i,0.00059484-0.00056446i,0.00023901-7.1269e-05i,6.8407e-05-0.00070596i,0.00015567-0.0012517i,-0.00023328-0.00075074i,-0.00017014-3.6311e-05i,-9.9514e-05-0.00073264i,-0.00025923-0.00077527i,0.00010855-0.00077612i,0.00090219-0.00014812i
-0.00018411-0.0010214i,-0.00046722-0.0014789i,-0.00066734-0.0012133i,0.00010486-0.00059857i,0.0007214-0.00032335i,0.00055343-0.00060906i,-0.00035602-0.0010051i,-0.0014832-0.0013877i,-0.0010306-0.0013388i,-0.0005297-0.00097818i,-0.00067705-0.00058836i,2.6088e-05+0.00055266i,0.00024911+0.0007058i,0.00038256-8.2752e-06i,0.00070355-0.00025888i,0.00039298+0.00017744i,0.00011907+0.00044084i,-0.00054883-0.00018027i,-0.00096721-0.001177i,-0.00089177-0.00071996i,-0.00023408+0.0011614i,-1.3805e-05+0.0010672i,0.0002457-0.00046467i
0.0014538-0.00084228i,0.0010269-0.0035836i,-0.00057928-0.0031131i,-0.0012303-0.0002063i,-0.0010743+0.0010973i,-0.0012189+0.00076268i,-0.0015868+0.0014294i,-0.0011068+0.0014307i,-0.00032903+0.00031777i,-0.00029246+0.00029539i,-0.0005913+0.00069353i,-0.00078955+0.00071978i,0.00023888+0.0012231i,0.0010328+0.0014589i,0.0012071+0.0011669i,0.00092479+0.00077456i,0.00074007+0.00025138i,0.00050076-0.00024249i,-0.00051502-0.00084601i,-0.00080218-0.0010868i,-2.4941e-05-0.00067394i,0.0006019+0.00014285i,0.00029189+0.00033841i
-0.00030271+0.0018312i,0.001157+0.0017105i,0.0018237+0.00073679i,0.00096934+0.00010938i,0.00062854-0.00052131i,0.00093561-0.0020961i,0.00047812-0.0025213i,-0.00087752-0.0012775i,-0.0005225-0.00013134i,-9.5081e-05-4.4093e-05i,-0.00091397-0.000426i,-0.00097827-0.00021162i,-0.00039732+0.00021649i,-0.0005094-0.00017259i,-0.00063174-0.00080613i,0.0002999-0.00036376i,0.00055917+0.00030917i,0.00025113+0.00061506i,0.00032712+0.00096649i,1.8467e-05+0.00079211i,-5.8124e-05+0.00032352i,0.00019715+0.00063342i,-0.00024965+0.00053062i
-0.0018288-0.0018594i,-0.00091662-0.0010456i,-0.00064959-0.00106i,-0.00075959-0.0007219i,-0.0012448+0.00044029i,-0.0012511+0.0003961i,-0.00035989+4.8406e-05i,-0.00028682-6.8083e-05i,-0.00046023+0.00037354i,-0.00025619+0.00047704i,0.00036279+0.00048963i,0.00044169+0.0010769i,0.0003575+0.00074082i,0.00049758+0.00018149i,0.00073773+0.00018753i,0.00019775+0.00046841i,-0.0003681-0.00013097i,-0.00064004-0.00077366i,-0.00089077+6.1568e-05i,-0.00012565+0.00090658i,0.00075143+0.00084655i,0.00079334+0.00065748i,0.00042853+0.00092252i
-0.00013807-0.0032314i,-0.0013213-0.0028558i,-0.0004726-0.00066118i,0.00046478+0.00016259i,0.00033282-0.00020271i,-0.00015021-0.00093553i,-0.00028221-0.0017182i,-0.00017588-0.001813i,0.00013343-0.0014603i,0.00039563-0.00068062i,-2.2804e-05+0.0001124i,-0.00076882+0.00023544i,0.00013413-0.0001302i,0.00078129+0.00030663i,0.00096665+0.00040232i,0.00090703+0.0003899i,0.00070128-0.00034643i,0.0008718-0.00057328i,0.00029613+0.00029712i,-0.00031507+0.00078034i,0.00016124+0.00054573i,0.00063908+0.00023236i,0.0006616+0.00037538i
-0.00098701+0.0019081i,-0.0013502+0.0013451i,-0.0015038+0.0013986i,-0.00087478+0.0017894i,-9.2615e-05+0.0014972i,-6.7939e-05+0.0013877i,-0.00066363+0.0014141i,-0.00090667+0.0011549i,-0.00051366+0.0006552i,-0.00048984+0.00066939i,0.00042007+0.0010021i,0.0012603+0.0013906i,0.00041974+0.00062127i,0.0004892-0.00058394i,0.00092647-0.0013098i,0.00071281-0.00099465i,0.0005193-0.00041444i,0.00046351+0.00020797i,-0.00021162+0.00073701i,-0.00048463+0.00032707i,0.00027594-0.00039698i,0.00082113-0.00083048i,0.00090378-0.00064765i
-0.0027467+0.0020483i,-0.0011088+0.0014815i,0.0011674-0.00017474i,0.00086608-0.0011645i,-0.00025748-0.00012742i,-0.00047389+4.6507e-05i,-0.00064597-0.00045656i,-0.00041811-0.00026302i,-0.00012736-0.000132i,-4.3559e-05-0.00024029i,7.9558e-05+0.00038688i,-0.00049539+0.0011156i,-0.00048591+0.00039118i,-0.00026012-0.00031305i,-0.00067724-6.6398e-05i,-0.00040711-0.00012494i,0.00024085-0.00015115i,0.00017955+0.00014181i,0.00034941-0.0001535i,0.00044022-0.00037527i,-1.0965e-05-0.00060884i,-0.00058927-0.00033791i,-0.00071603+2.1747e-05i
-0.00062816-0.0027406i,-3.7993e-05-0.0027998i,-9.6164e-05-0.0011107i,-5.0895e-05-1.5925e-05i,-0.00058294-0.00059938i,-0.00096835-0.00088498i,-0.00067878-0.00025033i,-6.3428e-05-2.4938e-05i,0.00038753-3.3293e-05i,0.00059412+0.0003957i,0.00032294+0.00048021i,-0.00022465+6.3011e-05i,-0.00050778-0.00038352i,-0.00064889-0.00059919i,-0.00039004-0.00033819i,-5.4884e-07-0.00023005i,0.0004211-5.4604e-05i,-5.4437e-05+0.00015573i,-0.00031136+0.00033405i,0.00025522+0.00037824i,0.00062882+0.00012408i,0.0009552-0.00050264i,0.00042934-0.0013163i
0.0021644+0.00012521i,0.00085159-0.00021741i,0.00047233-0.00043245i,0.0016421-0.0002326i,0.0015127-0.00040023i,0.0010463-0.00077833i,0.0007746-0.00079801i,0.00041588-0.00035047i,0.0010206+2.2442e-05i,0.001242+0.00043928i,0.00071385+0.00090817i,0.00081919+0.0005545i,0.00029792-0.00014677i,-0.0010698-0.000772i,-0.00064591-0.0003373i,-0.00014227-0.00025807i,0.00011819-0.00014533i,0.00031439+0.00012352i,0.00030143-0.00013495i,0.00012107-0.00032397i,-2.2494e-05-0.00059687i,-0.00068253-0.00092856i,-0.00088513-0.00040373i
-0.00062913+0.0013943i,-0.0015163+0.00013965i,-0.00060777-0.0014292i,-0.00041598-0.00053094i,-0.00093146+0.00037348i,-0.0001917-1.9967e-05i,-0.00028929-0.00058038i,-0.00059931-0.00036671i,-0.00012662+0.00013257i,-0.00062574+0.00052209i,-0.00095261+0.00055111i,-0.00054071+0.00069718i,-2.3987e-05+0.00082675i,0.0010372+0.00066118i,0.0010659+0.00015766i,-9.9907e-06+0.00081795i,-0.00035778+0.001087i,0.00034935+0.00037534i,0.00079841+0.00016315i,0.00098792+3.2938e-05i,0.00078422-0.0006215i,0.00062704-0.00069006i,0.00072923-6.9699e-05i
-0.0049423-0.00052538i,-0.004011-0.00051142i,-0.002374-0.00032993i,-0.00077738+0.0007093i,3.1745e-05+0.00063304i,0.00014789-0.00093249i,-0.00023774-0.0011543i,-9.9094e-05-4.3062e-05i,0.00026717+0.00023027i,0.00057759+0.00031684i,0.00036439+5.4213e-05i,0.00086919+4.4133e-05i,0.00055583+0.00061368i,3.9726e-05+0.00053643i,0.00053807+4.8775e-05i,0.00036065+0.00046503i,0.00029015+0.0003787i,0.00063499-0.00025921i,-0.00019194-0.00063285i,-0.00056934-0.0006317i,-0.00031353+7.291e-05i,-0.00041255-6.5558e-05i,0.00016283-0.00066285i
0.00059179-0.0037971i,-0.00041787-0.0033642i,-0.0014329-0.0017946i,-0.00076118-0.0004548i,-0.00018651+0.00031099i,0.00026078-0.00013229i,0.00023086-0.00096766i,-0.00027945-0.00031219i,-0.00018943+8.7729e-05i,0.0003274+0.0002222i,0.00013218+0.00068328i,-0.00052486+0.00063398i,-0.00050707+0.00041953i,-0.00025344-3.4176e-05i,0.00034781-0.00056353i,0.00089568-0.00071878i,0.00054682-0.0007383i,2.9946e-05-0.00029873i,9.5336e-05+0.00022028i,0.00048961-0.00011238i,0.00046601-0.00039589i,0.00037358-0.00043405i,0.0003238-2.4634e-05i
0.00088099+0.00099156i,0.0009509+0.00079053i,0.0012282-0.00051312i,0.00021884-0.0015823i,-0.0011762-0.0015449i,-0.0014925-0.00097828i,-0.00046537-0.00084893i,-0.00040263+9.6468e-05i,-0.00050277+0.00043991i,-0.00062404+0.00011121i,-0.0010239+0.00040048i,-0.00062953+0.00041852i,-7.7827e-05-2.1443e-05i,-0.00010998+7.9556e-05i,-0.00040993+0.00029822i,-0.00070997+0.00035369i,-0.00061848+0.00033328i,-0.0001008-0.0001265i,-0.0004459-0.00015781i,-0.0001682+0.00016749i,0.00066655+0.00024841i,0.00040719+0.0002756i,-0.00065993-7.0298e-05i
0.00052789+0.00050097i,0.00094502-0.00041533i,0.00059064-0.00042365i,7.5765e-05+0.00061759i,0.00012916+0.00061054i,0.00011391+0.00033611i,-0.00039282-0.0003534i,-0.00091312-0.0007828i,-0.00026504-0.00038068i,-0.0003998+0.00031567i,-0.00080269+0.0010012i,-5.8393e-05+0.00066951i,0.00039545-0.00045356i,0.0003632-0.00068406i,0.00044605-0.00064666i,0.00057287-0.00080472i,6.661e-05+0.00026058i,-0.00065091+0.00043761i,-0.00069259-7.7755e-05i,-0.000536-0.00032177i,-0.00058088-0.00017257i,-0.0011155+0.00017318i,-0.0010733-0.00051014i
-0.0020441-0.002011i,-0.0011444-0.0022716i,-0.0014364-0.0011637i,-0.0013357+0.00034694i,-0.00052327+0.0010277i,-0.00075865+0.0010469i,-0.0013689+0.00078415i,-0.00087825+0.0007101i,-0.00051427-3.1304e-06i,-0.000153+3.4443e-06i,-0.00034646+0.0010275i,-9.937e-05+0.0010384i,0.00073647+0.0010737i,0.00044503+0.00087414i,0.00023193+0.00032125i,0.00039768-9.8878e-05i,0.00033859-0.00059637i,-0.00048612-0.00014977i,-0.00065789+0.00047612i,-2.902e-05+0.00047143i,-0.00025439+0.00098324i,-0.0007007+0.0011577i,-0.00088979-0.00020198i
0.0021389-0.0019068i,0.0011998-0.001122i,0.00089925-0.00089894i,-0.00024666-0.00064807i,-0.0011112-0.00040969i,-0.00018666-0.00010234i,0.00043247-4.6629e-05i,-0.00030515-0.00047182i,-8.7714e-05-0.00047082i,0.00052526+0.00041622i,-7.7672e-05+0.0012237i,-0.00047224+0.00076878i,0.00046192+0.00058079i,0.0006705+0.00093586i,0.00062532+0.00038991i,0.00060688-0.000241i,0.00026389-6.3207e-05i,-0.00040876+0.00012043i,5.7177e-05+7.4828e-05i,0.00089153-0.00023634i,0.00036561-0.00055151i,-0.00079189-3.9345e-05i,-0.00068723-7.1149e-06i
0.0010416+0.0006973i,0.0007977+0.00018116i,-0.00015603-0.00038063i,0.0003806-0.00055404i,0.00079746-0.0004083i,-3.4269e-05-8.5608e-05i,-0.00090958-0.00032732i,-0.0003921-0.0006444i,0.00016807-0.00032024i,-0.00014972-1.0069e-05i,-5.1201e-05+0.00073876i,0.00059921+0.0014921i,0.00070015+0.0005749i,5.7439e-05-0.00022672i,0.00019383-0.00079325i,0.00053304-0.0015651i,0.0003541-0.0012228i,0.00014326-0.00060854i,0.00010984-0.00020632i,0.00012505-6.0297e-05i,0.00028735+0.00036064i,0.00028997+8.3134e-05i,0.00028339-0.00092708i
0.0012823+0.00092169i,0.0014507-0.00018643i,0.00096988-0.00068245i,0.00029846+0.00029507i,0.00055129+1.5331e-05i,0.00051717-0.0010009i,0.00012639-0.00083634i,-0.00018918-0.0001959i,-0.00012424+0.00066189i,4.1523e-05+0.00065917i,3.7947e-05+0.00039806i,-0.00023231+0.00055529i,-0.00074684+0.00081279i,-0.00067862+0.0014291i,-0.0002759+0.0007291i,0.00041428-0.0011913i,0.0011152-0.0015757i,0.00043093-0.00059903i,-0.00012903-0.00016959i,0.00018211+9.4702e-05i,-0.00013798+0.00068049i,-0.00015709+0.00078299i,0.00011315+0.00090868i
-0.0024502+0.0015592i,-0.0016342+0.00060039i,-0.0010238+0.00020439i,-0.0003166-0.00018444i,0.00035801-0.00060808i,4.9738e-05-0.00071984i,-0.00077733-0.00029211i,-0.00094808-0.00032645i,-0.0007625-0.00078798i,-0.0004882-0.00080793i,0.00026812-0.0007226i,0.00028316-0.00010702i,-0.00035642-5.2702e-06i,8.7322e-05-0.00046564i,-0.00013546-0.00027629i,-0.00074894+0.00054366i,-0.00080784+0.00052344i,-0.0006678+5.3341e-05i,-3.79e-05-0.0002932i,0.0010743-0.0010625i,0.0014614-0.0016648i,0.00045654-0.0012482i,-0.000519-0.00092753i
-0.003858-0.0014518i,-0.0042224-0.00073802i,-0.0031307+0.00040267i,-0.0016755+0.00074559i,-0.0010274+0.0006397i,-0.00064481-7.7323e-05i,-0.00068898-0.001365i,-0.0008546-0.00076068i,-0.00043357-0.00011933i,0.00073506-0.00031321i,0.0010017+0.00026054i,0.000468+0.0007627i,0.0003145-9.383e-05i,0.00047527-0.00037901i,0.00059191-0.00018365i,0.00019132-0.00082064i,-0.00062068-0.0010433i,-0.00090249-0.00093033i,-0.0009098-0.00059276i,-0.00016181-0.00034034i,0.00041969-1.9176e-05i,0.00044155+0.00036185i,-8.9965e-06+0.00053756i
0.00090917-0.0025919i,-0.00097771-0.0034913i,-0.0010148-0.0038533i,-0.0014541-0.0026694i,-0.0021367-0.0013182i,-0.0016899-0.00050483i,-0.00072167-0.0001666i,-4.7284e-06+0.00021057i,0.00015107+0.00072527i,-9.5175e-07+0.00021044i,0.00023337+0.00025366i,0.00050546+0.00096858i,0.00024417+0.00059149i,-0.00010741+0.00018804i,-7.9283e-05+0.00097029i,5.3299e-05+0.0012977i,-0.00023664+0.00056924i,-0.00064493+0.00047391i,-0.00020801+0.00065716i,0.00066769+0.0002681i,0.00041925-0.00034171i,-0.00040275-0.00017206i,-0.00027044+0.00023125i
0.0022802-0.0031866i,0.0022146-0.0038268i,0.00053851-0.0037142i,-0.0007165-0.0025054i,-0.0014142-0.00042659i,-0.0014927+0.00077395i,-0.00039149+0.0003948i,0.00090874-0.00013162i,0.00080795+1.1924e-05i,-0.00054272+0.00039818i,-0.00069739+0.0011786i,0.00029697+0.001273i,6.7881e-05+0.00107i,3.4442e-05+0.0013391i,0.00043964+0.0012611i,0.00043433+0.00089562i,-1.6206e-05+0.00072587i,0.00016656+0.00029438i,0.0010867+0.00025236i,0.0016982+0.00084222i,0.0009681+0.00054534i,0.00024697-0.00011979i,0.0003232-0.00048168i
0.00075217+0.00050132i,0.0011685-0.00039458i,0.0015988-6.9663e-06i,0.0018405+0.000885i,0.0018858+0.00082774i,0.0015386+9.3846e-05i,0.0013577-0.0011617i,0.00067338-0.0013828i,0.0001257-0.00061296i,0.00015874+0.00032139i,-0.00023965+0.00096404i,-0.00060785+0.00072975i,-4.2494e-05-0.00032931i,-2.4711e-05-0.0011526i,-0.00031765-0.00039551i,-0.00062018+0.00025048i,-0.0010579-0.0001792i,-0.00059325+1.7108e-05i,-1.5378e-05+0.00081128i,1.2898e-05+0.00062551i,0.00018482-0.00023903i,0.0001905-0.00073581i,0.00022818-0.0004928i
-0.00066193-0.00059425i,-0.00040128-0.0012571i,-0.00030935-0.0011122i,-0.0012115-0.00045581i,-0.0018626+0.0006527i,-0.0018003+0.0016993i,-0.00096091+0.00095908i,-0.00040152-0.00018075i,-0.0005435-0.00013421i,-0.00060977+0.00049031i,-0.00037994+0.0010091i,-0.00013346+0.00094011i,-9.6574e-05+0.00083655i,-0.00015086+0.0011369i,-0.00052918+0.00072116i,-0.00034106+0.00086272i,-0.00018267+0.00086186i,-0.00040214+0.0002902i,-0.00032438-0.00013803i,-1.0645e-05-0.00050978i,0.00051842-0.00020782i,0.00041115+0.00021408i,-0.00037198+5.6273e-06i
0.0035204-0.0025239i,0.0033318-0.0027841i,0.0028341-0.002874i,0.0010477-0.0027247i,-0.00035534-0.0022633i,-0.00060098-0.0012163i,-0.0014468-0.0005705i,-0.0011242-0.000533i,-0.00063651-0.00010765i,-0.0009682+0.00020058i,-0.00069275+0.00020497i,-0.00092358-0.00060361i,-0.0013784-0.00058763i,-0.001595+0.00051443i,-0.0016182+0.00050015i,-0.0009814-0.00045784i,1.0848e-05-0.00020666i,0.00047786+0.00068627i,0.0010597+0.00082836i,0.0010705+0.00041095i,0.00058507-0.00055714i,0.00041897-0.0012715i,0.00051844-0.00036622i
0.0030482+0.0013214i,0.0033902+0.00065948i,0.0021392+5.6002e-05i,0.0005797-9.22e-05i,-0.00077503+0.00050635i,-0.00086472+0.00013763i,-0.00072347-0.00066316i,-0.0007322+0.0003559i,1.4623e-05+0.0013918i,5.1671e-05+0.0014451i,-0.00051573+0.00096533i,-0.00061612+0.00092517i,-0.00074146+0.0010309i,-0.0012234+0.00011355i,-0.00094814-0.00042592i,0.00018899-0.00059434i,0.00065623-0.0001097i,0.00011587+0.00052951i,-7.4943e-05+0.0003151i,0.00033966+0.00010822i,0.00017446-0.00025103i,-0.00010933-0.00040397i,0.00022596+0.00017109i
-0.0040479+0.0018466i,-0.004578+0.001085i,-0.0029603+0.00040715i,-0.00095018+0.00036666i,0.00047108+0.00060377i,0.00056336+0.0006823i,-0.00015863+0.00037954i,-0.00080447-0.00035989i,0.00034603-0.00090541i,0.0010457-0.00041492i,0.00063379+0.00033133i,0.00037039+0.00059617i,-0.00030257+0.00024991i,-0.00060254+4.7041e-05i,-0.0001799-0.00032606i,0.00031944-0.00069176i,9.8716e-05-0.00043066i,0.0002159+0.00011011i,0.00072588+0.00066007i,0.00029065+0.00021187i,-0.00043829-0.00054705i,-0.00035319-0.00014616i,-0.00021069-0.00049805i
-0.0020712-0.0020236i,-0.00082606-0.0021956i,0.00096244-0.00079189i,0.00063722-0.00078778i,-5.5726e-05-0.0011987i,-0.00034284-0.0012305i,-0.00040562-0.00082939i,-0.00096822-0.00052311i,-0.00074479-0.00010719i,8.4688e-05+0.00051134i,0.0005762+0.00019898i,0.00065396+0.00025932i,0.00035883+0.00079174i,-0.00059737+0.00076255i,-0.0013623+0.00030061i,-0.00075104-3.7455e-05i,-0.0001571-0.00014723i,0.00015487-0.00052688i,-0.00026496-8.8561e-05i,-0.00082057-0.00065823i,0.00025788-0.0015814i,0.0012131-0.0005332i,0.00087666+0.00014961i
