-0.0017477+0.0015312i,-0.00015554+0.00056214i,-0.00020457-0.00058604i,0.00016326-0.0010037i,-0.00054933+0.00018084i,-0.0020438+0.0011172i,-0.0022711+0.0020364i,-0.00098473+0.0025008i,0.00026145+0.0015291i,0.00073742+0.00065518i,0.0018207-7.7922e-05i,0.002093-0.00023158i,0.00087746-8.3879e-05i,0.00015581+6.6835e-05i,-0.00056737+4.8695e-05i,-0.00050968-0.00027492i,0.00014817-0.00035347i,9.2829e-05-0.00041878i,0.00034597+0.00013752i,0.00088472+0.00059053i,0.0007514+0.0006914i,9.8853e-05+0.00040664i,0.00017704+0.0002477i
0.0010792-0.00204i,0.0019349-0.0021224i,0.0027123-0.0018801i,0.0026757-0.0018679i,0.0017031-0.0020532i,0.001246-0.0017056i,0.00088484-0.001862i,0.00031563-0.001733i,-0.00022788-0.00041046i,-0.0010471+0.00033201i,-0.00060666+0.00054426i,0.00010586+0.0013331i,-0.00031953+0.00097766i,-0.00070144+0.0001328i,-0.00010552+0.00012093i,-2.6722e-05+0.00074752i,-0.0009165+0.00068613i,-0.0011882+0.00025563i,-0.00012901+0.000228i,0.00087551+0.00082979i,0.00067928+0.0004407i,5.4999e-05+2.694e-05i,-0.00015814+0.00026092i
-0.0026043+8.6167e-05i,-0.0014192+0.00059277i,-0.00048256+0.0014243i,0.00063585+0.0012533i,0.00018666+0.00080917i,-0.0011661+0.00099003i,-0.0019487+0.00024896i,-0.002155-0.00017222i,-0.001894+0.00062197i,-0.0010565+0.0010238i,-9.1965e-05+0.00056806i,0.00062357-0.00015773i,0.00061816-0.00060931i,0.00072824-0.00024874i,0.00059341+0.00062046i,0.0002687+0.00074105i,-1.218e-05+0.00096103i,0.0002585+0.00041667i,0.00060109-0.00017798i,6.749e-05+0.00035204i,-0.00041593+0.0007972i,-0.00017234+7.9112e-05i,0.00029601-0.0010422i
0.0014779-0.00018395i,0.0036238-0.00065917i,0.0032377+8.1249e-05i,0.001637+0.00041016i,0.00050385-0.00036641i,-0.00066509-0.0002505i,-0.001652-0.00061663i,-0.0010331-0.0007991i,-0.00048803+0.00010968i,-0.00068932+0.0006798i,-0.00039406+0.00018282i,0.00063848-0.00032052i,0.0011183-0.00087953i,0.00091518-0.0012555i,0.000614-0.00098649i,0.00095889-0.00029614i,0.00099507+0.00054893i,0.00046958+0.00058441i,0.00051081-0.00067206i,0.00045854-0.0012571i,-0.00071248+7.7636e-05i,-0.0009676+0.00024115i,-0.00010995-0.00022828i
0.00084803+0.0017016i,0.0014104+0.0011934i,0.0030801+0.0003664i,0.0034676-0.00023469i,0.0015543-0.0014453i,-0.00026444-0.0020635i,-0.00067767-0.001427i,-0.0002825-0.00074294i,4.5418e-05-0.00022881i,0.00018101+9.2325e-05i,0.00035972-0.00066281i,0.00011609-0.0015531i,0.00027932-0.0013277i,0.00075409-0.00073259i,0.00075399-0.00011454i,0.00085973-0.00019453i,0.00062246-0.00064725i,-0.00017086-0.0006741i,-0.00037131-2.01e-05i,4.6929e-05+0.0005178i,-0.00021945+0.00055213i,-0.00050577+0.0003872i,7.149e-06+0.001077i
9.0524e-05+0.00098455i,0.00026748+0.00092708i,0.0019323+0.0009502i,0.0020739-0.00011905i,0.00060997-0.0009748i,-0.00056891-0.0020374i,-0.0013697-0.0022076i,-0.00070381-0.0014893i,0.00078333-0.0012483i,0.0010241-0.0010259i,0.00032656-0.00098751i,6.0281e-05-0.00045843i,-0.00011066-7.0743e-05i,-2.5686e-05-5.144e-05i,0.00037523+0.00045272i,-7.8516e-05-0.00026751i,-0.00026521-0.00070876i,-3.5232e-05+0.00015565i,-0.00016084+0.00024442i,-0.00029091+0.0004982i,-0.00039617+0.00072905i,-0.00049953+0.00019302i,-0.00088386-0.00033227i
0.00076463+0.00060671i,0.0012575+0.00091636i,0.0011057+0.0002988i,0.00084265+6.9671e-05i,0.00069989-5.4317e-05i,-1.4918e-05-7.5084e-05i,-0.0006901-0.00087596i,-0.00011789-0.00067093i,0.00019156-0.00039333i,0.00036789-0.0010847i,0.00028976-0.00063722i,-0.00021294-0.0001684i,-9.0637e-05-0.0003598i,0.00011446+0.00065303i,4.7912e-05+0.001046i,0.00034584+0.00097986i,0.00077827+0.0010542i,0.00074256+0.00026997i,0.0001203-2.4257e-05i,-2.6434e-05-0.00017308i,-0.00036201+0.00013247i,-0.00073647+0.00019107i,-0.00057366+0.00026237i
-0.00097345-0.0001932i,-0.0001222+0.00010243i,9.8746e-05-9.6212e-05i,0.00022395-0.0011561i,0.00067471-0.002382i,0.00072402-0.0023985i,-0.00038881-0.0017816i,-0.00075866-0.0014553i,-0.00012726-0.00077276i,-9.7614e-05-0.0001463i,0.00037252+0.00058806i,0.00047023+0.00063656i,0.00029174+0.00019171i,0.00065557-0.00016979i,0.00074214-0.00019935i,0.00066791+0.00032548i,0.00016397+0.00078152i,0.00026689+0.0010026i,0.00058221+0.00051313i,0.00015584-0.00018164i,-8.5087e-05-0.00058492i,-0.00013553-0.00063714i,0.00018176-0.00025512i
-0.0005681+0.00020814i,-0.00036812-0.00025358i,-0.00048525-0.00038032i,3.4333e-06-0.00017667i,0.00094693-0.00098371i,0.00077058-0.0024804i,-0.00068462-0.0021597i,-0.0020018-0.00089134i,-0.0020978+0.00082167i,-0.0012056+0.0016292i,-4.3703e-05+0.00013308i,4.6843e-05-0.0013501i,7.191e-06-0.0015174i,-0.00014038-0.0010767i,-0.00035194-0.00031376i,-0.00015794+0.00022234i,-0.00073574+0.00062692i,-0.00048451+0.00054272i,-6.8647e-05+0.00020963i,-0.00039805-0.00049414i,-0.0007973-0.00012444i,-0.0006794+0.0010176i,0.00044634+0.00068788i
0.0018191-0.0036322i,0.0018057-0.0039387i,-0.00017072-0.0034386i,-0.0024635-0.0021217i,-0.0019073-0.00031032i,-0.00064412-0.0003165i,-0.00024039-0.00028403i,0.00029445+2.136e-05i,0.00037988-0.00026806i,-4.5598e-05-0.00029568i,-0.00041807+0.00056799i,-0.00084249+0.0011902i,-0.00058836+0.0004574i,-0.00035961-0.0006361i,-0.00024024-0.00080065i,2.9396e-05+9.319e-05i,-0.00034099+0.00021538i,-0.00017851-0.00057967i,6.941e-05-0.00098825i,-0.00035363-0.0010322i,-0.00035176-0.00087571i,0.00023654-0.00036381i,0.00059378-0.00018792i
2.167e-05+0.0027851i,0.00063433+0.0014098i,0.0018577-0.00045688i,0.0025936-0.0017762i,0.0021143-0.0021711i,0.0010005-0.0026614i,0.001101-0.0011493i,0.0010934+0.0006814i,0.00074621+0.0011782i,0.00042319+0.00099403i,-0.00020534+0.00059078i,-0.00050539+0.00038562i,-0.00073597-4.3382e-05i,-0.0014505-0.00046594i,-0.0010607-0.00070834i,-0.00055598-0.00021342i,-0.00052473+0.00046298i,-0.00039033-0.00034934i,5.4635e-05-0.00048929i,0.00058834-0.00012723i,0.0010014-0.00019882i,-0.00012739-0.00034374i,-0.0010538+0.00017888i
-0.0028014+5.8726e-05i,-0.0010396-0.00021806i,0.00012-0.00032923i,0.0010037-0.0011024i,0.00057873-0.001147i,-0.00015263-0.00093307i,-0.0010129-0.0014325i,-0.00089116-0.0015411i,0.00024202-0.00061856i,0.00037579+0.00018598i,0.00042271+0.00034008i,0.0013584+0.00046405i,0.00096272+0.00013618i,0.00032081-6.7396e-05i,0.00074737-0.00025434i,0.00039741-0.00069361i,3.5783e-05-0.00058966i,-6.3381e-06+0.00014372i,0.00039405+0.00044758i,0.00084095-0.00030242i,0.00041097-0.00034962i,-0.00019911-0.00024368i,-8.3329e-05-0.00041808i
0.0015109-0.00038071i,0.0019499-0.00057419i,0.0025754-0.0020672i,0.002253-0.0034803i,0.001206-0.0031889i,-0.00020406-0.0025684i,-0.0010472-0.0018363i,-0.00081785-0.00094249i,-0.00039529-4.4735e-05i,0.00087418+0.0005895i,0.0020104+0.00035299i,0.0021618-0.00059341i,0.0016862-0.00094727i,0.0013095-0.00018493i,0.00098778-2.9961e-05i,0.00029589-0.00061717i,-0.00030968-0.00039089i,-0.00024014-0.0008754i,0.00058019-0.0012694i,0.00020949+0.00028595i,-0.00046288+0.0013131i,-0.00029446+0.00071192i,-5.9157e-05-0.00014534i
-9.0138e-06-0.0014782i,0.00063837-0.00036469i,0.0010572-0.00037845i,0.00090758-0.0011428i,0.00093079-0.0016807i,0.00064143-0.0016139i,-0.00060292-0.001722i,-0.0016377-0.0017477i,-0.0017388-0.0011297i,-0.00089333-0.0011516i,0.00016113-0.001085i,0.00058849-4.6568e-05i,0.00028539+0.00056544i,0.00033677+0.00046165i,0.00094622+0.00089843i,0.002085+9.8782e-05i,0.0021686-0.00062825i,0.001429+7.8987e-05i,0.0012921+0.00021965i,0.00091753+0.0001949i,0.00041427-5.5957e-05i,0.00026855-0.00050276i,-0.00036614-0.00085476i
-0.0020844-0.0016981i,-0.0013649-0.0014716i,-0.00080402-0.0004427i,0.00058074-0.00024953i,-0.00026154-0.00094584i,-0.0021336-0.0015112i,-0.0019906-0.0014398i,-0.0018713-0.00025861i,-0.0022641+0.00075498i,-0.0020445+0.00094342i,-0.0017204+0.0011428i,-0.0013595+0.00046759i,-0.00081464-0.00014208i,-0.00019839-0.0003918i,0.00022119-0.00048782i,-0.00053855-0.00091773i,-0.00031196-0.0011939i,0.0013583-0.00087246i,0.0022976+0.00013879i,0.001069+0.00026964i,-0.00041032+0.00013328i,0.00035125+0.0004823i,0.00061393-0.00039725i
-0.00082794-0.0020613i,-0.00058942-0.00034547i,0.00012351+0.00091233i,-0.00019832+0.00041108i,-0.00092555-0.00021162i,-0.00067003-0.00048091i,2.9302e-05-0.00051554i,0.0002142+0.00014244i,0.00044899+0.00040796i,0.00036532+0.00097637i,0.00029425+0.0016845i,0.00045391+0.00097258i,-0.00013524+0.00013721i,-0.0004459+0.00058056i,0.0002605+0.001195i,0.00076078+0.00079308i,0.00058938+0.00019588i,0.00028329+1.3303e-05i,0.00047668+8.5318e-05i,0.00056981+4.9615e-05i,0.00019552+0.00029039i,-0.00043246+0.00013626i,1.656e-05+0.00015576i
0.00090388-0.00033016i,0.00081462-0.00071063i,0.001301-0.0013511i,0.00068414-0.0028434i,-0.00014235-0.0033485i,-0.00034658-0.0020557i,-0.0005693-0.0016702i,7.3963e-05-0.0015447i,0.00092001-0.00061123i,0.00065204-0.00017673i,0.00082681-0.00014483i,0.0013792+0.00027475i,0.00083926+0.00015971i,0.00015091-0.00013759i,0.0001182+0.00010087i,0.00096639+0.00046062i,0.0012798+0.00073053i,0.00060099+0.00052338i,0.00014203+0.00024627i,7.4488e-05+0.00010758i,-0.00011987+0.00015828i,-0.00048741-0.00069296i,-0.00087875-0.00089307i
0.0024938+0.00026495i,0.0026318+0.00068236i,0.0029637+0.00078075i,0.0024469-7.9366e-05i,0.00099787-0.0010057i,-0.0013212-0.0016485i,-0.002152-0.0024188i,-0.0012142-0.0021537i,-0.0009126-0.001085i,-0.00030576-0.0008053i,0.0003248-0.0015744i,0.00037419-0.0023706i,0.00018497-0.0022169i,0.00012303-0.0013055i,0.00087961-0.00057285i,0.00092662-9.3912e-06i,2.5474e-05+0.00091276i,-0.00064277+0.0013684i,-0.00046089+0.00083322i,3.2672e-05+0.00039405i,-0.00036383+0.00021541i,-0.00097698-0.00031954i,-0.00062982-0.00069839i
-0.0008172+0.0012826i,-0.00069465-5.9409e-06i,-0.00080974-0.00075836i,-0.0016235-0.001109i,-0.0015573-0.00093259i,-0.0016267-0.00069901i,-0.002546-0.00060995i,-0.0029312+9.117e-05i,-0.0026549+8.7252e-05i,-0.001516-0.00030194i,-0.00069093-0.00070539i,-0.00063936-0.0010753i,0.0002947-0.00036016i,0.00091535+0.00091649i,0.00012157+0.0013061i,-0.00079817+0.0014314i,-5.6805e-05+0.0010898i,0.00035261+0.00049025i,0.00026745-4.9673e-05i,2.5974e-05+0.00020425i,-0.00084869+0.00064663i,-0.00089941-0.00029855i,0.0001216-0.0014572i
-0.00058971-0.001276i,0.00055764-0.0023133i,0.0009352-0.0025851i,0.0010215-0.0019878i,0.00067451-0.0012116i,0.00010303-0.00060632i,-0.00065023-0.00035893i,-0.0011153+0.00019439i,-0.0013947+0.00014159i,-0.00163+5.2124e-07i,-0.0010117+0.00022891i,-0.00068496+0.00058416i,-0.00043306+0.00059179i,-3.0196e-05+0.00014449i,-0.00039235+0.00020046i,-0.00040701+0.00057789i,-0.00079807-0.00010985i,-0.00061401-0.00071938i,-0.00023993-0.00084509i,-0.00054882-0.00083603i,0.00018574-0.0005579i,0.0012651-0.00023886i,0.0011515-0.00020934i
-0.0031883+0.00020078i,-0.0015467-0.00055705i,-0.00096975+0.00044144i,0.00095237+0.0011614i,0.0017378+0.00043871i,0.0018955-0.0011587i,0.0018945-0.0026155i,0.00089977-0.0013214i,-3.1649e-05+0.00046978i,-0.00062303+0.0010146i,-5.9475e-05+0.0014474i,0.00073884+0.0010732i,0.001099-0.00023049i,0.0010217-0.00023956i,0.00055415+0.0006046i,0.00014259+0.00084733i,-0.00034261+1.2717e-05i,-0.00035051-0.00065556i,-0.00061364-1.9483e-05i,-0.00041618-0.00042267i,0.00059629-0.001185i,0.00084055-0.00061557i,0.0011614-0.00020514i
0.0006841-2.6495e-05i,0.00074545+7.4918e-05i,0.0012217-0.00069134i,0.00080232-0.0016834i,0.00056155-0.0022193i,-0.00022633-0.0021603i,-0.00067824-0.0015538i,-0.00029992-0.00050641i,0.00028641-0.00061644i,0.00081641-0.00082521i,0.0011535-0.00055114i,0.00071833-0.00075273i,0.00038779-0.0011277i,0.00044053-0.00052733i,0.00054802+0.00012861i,-0.00025121-0.00046013i,-0.0011823-0.00073115i,-0.00024636-0.00045663i,0.00051684-0.00016394i,0.0004014+0.00065648i,5.3532e-05+0.0009179i,0.00018191+0.00060133i,0.00046563+0.00026683i
0.00071092+0.00043279i,0.0011291+0.00010284i,0.0015945-0.00061568i,0.0012258-0.0013627i,0.00045997-0.0011817i,-0.00031243-0.0014745i,-0.00027133-0.0017546i,5.6578e-05-0.001935i,0.00026424-0.0016368i,0.00033436-0.00085052i,0.00076833-0.0011384i,0.00093279-0.0019167i,0.00047307-0.0017095i,0.00021437-0.00089025i,0.00035483-0.00080892i,0.0003535-0.0013078i,-0.00039206-0.00080643i,-0.00068811+0.0005808i,-0.00073389+0.00096292i,-0.00039316+0.0011072i,0.00045571+0.0010693i,0.00082661+0.00067578i,0.00036456+0.00045644i
-0.00034671-0.0008389i,-0.00018544-0.0018791i,-0.00034099-0.0017939i,0.00018328-0.00097461i,0.00066001-0.0006344i,6.6206e-05-0.00092826i,-0.00064046-0.0015816i,-0.0011018-0.0010029i,-0.00091762-0.00047621i,0.00019637-0.00076298i,0.0010467-0.0009294i,0.0005511-0.0004383i,-0.00047135+0.00029221i,-8.4337e-05+0.00026349i,0.00019291-0.00014071i,-0.00024312+0.00041306i,-0.0002301+0.0001445i,0.00084892-0.00032596i,0.00088403+0.00043782i,-0.00019251+0.00062327i,-0.00041624+0.00037164i,0.00025403+0.00021937i,0.00038603-4.4668e-05i
0.0013041+0.00043599i,0.00081666+0.00045838i,0.0016691+0.00061999i,0.0016133+0.00013147i,0.00055331-0.0013251i,-0.00040942-0.0022558i,-0.0017025-0.0012678i,-0.0019981+0.00014126i,-0.0013062+0.00018663i,-0.00038653-0.00017433i,0.00049115-0.00021328i,0.0011392-0.00010007i,0.0011348+0.00019048i,0.00038411+0.00031197i,0.00041518+0.00018498i,0.00036494-0.00022544i,-8.9268e-06-0.00091617i,-0.00028054-0.00073442i,-0.00047891-0.00084895i,-0.0011798-0.00093285i,-0.0012291-0.00024646i,-0.0005526+0.00053603i,-1.9662e-05+0.00073418i
0.0019226+0.00049977i,0.0018441+4.0419e-06i,0.0015718-0.0012551i,0.00066944-0.0017597i,-1.0858e-05-0.0018074i,-0.00065642-0.0013258i,-0.0010808-0.00043665i,-0.00064805-0.00016604i,-9.1077e-05+0.00061056i,0.00060491+0.0009883i,0.00052181+0.00064093i,-0.00013483+0.00079205i,-0.00042521+0.0012934i,-0.00073366+0.0008719i,-0.00020129-6.2871e-05i,0.00037672-0.00015961i,4.611e-06+0.00072026i,-0.00029495+0.0007311i,-0.0005237-0.00017027i,-0.00084527-0.00034718i,-0.00039787-0.00020812i,0.00032995-4.0247e-05i,0.00078613+0.00076639i
0.00016964+0.0010423i,0.0013556+0.00067253i,0.0018048+0.00022548i,0.0020237-0.0012939i,0.0019591-0.0023222i,0.0012495-0.002415i,0.00048456-0.0017913i,-4.7056e-05-0.0010148i,0.00079222-0.00021636i,0.0015477+0.00059544i,0.00096712+0.00034234i,-0.00036285-0.00036298i,-0.0009754-0.00056119i,-0.00028488-7.0017e-05i,0.00058976-8.6785e-05i,0.00078272+0.00024773i,0.00051919+0.00053897i,-1.9488e-05+0.00035157i,-0.00045725+0.00052146i,-0.00022082-0.00022975i,-0.00033739-0.001142i,-0.00054499-0.00068112i,-0.00055899-8.4326e-05i
-8.9992e-05+0.00026033i,0.00035705-0.00034173i,0.00069969-0.0012403i,-0.00013035-0.0015206i,-0.00035859-0.0015352i,-0.00013681-0.0014094i,-0.00015931-0.0015523i,0.00020969-0.0016387i,0.00015063-0.0011971i,-9.7193e-06-0.001065i,0.00024454-0.00083784i,0.00056454-9.2566e-05i,0.00030232+0.00030192i,-0.00073223+0.0003405i,-0.001686+0.00023481i,-0.001512-0.0005741i,-0.00086724-0.00056626i,0.00067658+3.0182e-05i,0.0017109+0.00042689i,0.00045068+0.00036365i,-0.0010992-0.00064715i,-0.0013392-0.0010395i,-0.0010073-0.00048415i
0.0047333-0.00096292i,0.0039975-0.00079948i,0.0032466-0.0010623i,0.0014449-0.0023945i,-0.0001598-0.0032907i,-0.00091245-0.0026045i,-0.0015903-0.0013681i,-0.0015198-0.00090731i,-0.00026257-0.0014233i,0.00023387-0.00176i,-0.0003924-0.0014416i,-0.00028827-0.00087046i,-2.2293e-05-7.3323e-05i,-0.00040098+0.00016229i,-0.00071018-0.00014991i,-0.00053142-0.00049247i,0.0005587-0.00076077i,0.0011496-0.00065788i,0.0011954-0.00060372i,0.0013315-0.0012755i,0.0015648-0.001667i,0.0012409-0.00094536i,0.00026877-0.00039207i
-0.0018074+0.0015782i,-0.0013029+0.0023688i,-0.00063553+0.0014753i,0.00083671+0.00037719i,0.002316-0.00042187i,0.001833-0.0013101i,-0.00072402-0.0019468i,-0.0019987-0.0012835i,-0.0011782-0.00014437i,9.5667e-05-1.7277e-05i,-0.00079249-0.00028106i,-0.0012482-0.0011002i,-0.0004184-0.0010597i,6.2435e-05-0.0006206i,0.00061727-0.00075254i,0.00090065-0.00083658i,0.00035693-0.00032605i,-0.00075726+0.00037702i,-0.0011332+0.00045009i,-0.00018138+0.00031908i,0.00054984-4.2046e-05i,0.00087527-0.0010813i,0.0010545-0.0017159i
-0.0013902+0.00013793i,-0.00082266+0.00029779i,-2.8079e-05-0.00031282i,0.00074741-0.0023177i,4.1209e-05-0.0030501i,-0.00070708-0.0027033i,-0.00044536-0.0014907i,-0.00041874+0.00057574i,-0.0007547+0.001281i,-0.00019919+0.00071803i,0.00052286-0.00024744i,0.00076025-0.00037964i,0.00074882-0.00015645i,0.0011151-0.00070359i,0.0012501-0.0011633i,0.00078344-0.0010532i,0.00043545-0.00098418i,-0.00057731+8.281e-05i,-0.0010651+0.00042682i,-0.00031712-5.4197e-05i,6.9144e-06+0.0001999i,0.0008525+0.00034685i,0.0016305-0.00019487i
0.0012021-8.7711e-06i,0.0016293+1.9128e-05i,0.0024394+0.00078746i,0.0032593+0.00051616i,0.0020141-0.0013244i,0.00028143-0.0018381i,0.00019316-8.3825e-05i,0.00043345+0.00091596i,0.00056726+0.00088118i,0.00063974+0.00097711i,0.0010922+0.00058588i,0.0012662-0.00024155i,0.00033437+5.0336e-05i,0.00079394+0.00050512i,0.0015031+0.00078032i,0.00082885+0.0010535i,0.00023327+0.00035296i,-0.00028859-9.1199e-05i,-0.00021031+0.00073784i,0.00011496+0.0012434i,-8.7538e-06+0.00048147i,-6.9167e-05+0.00051281i,-0.00032785+0.00049476i
-0.001561-0.0016815i,-0.0010744-0.0022809i,-0.0003777-0.002438i,0.00041392-0.0013721i,0.00076265-0.00055307i,0.0010261-0.0014713i,0.00056761-0.0023197i,0.00081443-0.0014723i,0.0017384-0.00078273i,0.0020941-0.00069007i,0.0018617+0.0001739i,0.0012133+0.00031947i,0.0012468+0.00024039i,0.0018283+0.00068191i,0.0015762+0.00088767i,0.0010776+0.001087i,0.0013747+0.0013652i,0.0010267+0.001067i,2.8454e-05+0.0006435i,-5.2521e-05+0.0012199i,0.00038332+0.00045924i,0.00034334-0.0005328i,-0.00023823-0.00060561i
0.00073573-0.0016131i,0.00014904-0.0019407i,9.26e-05-0.0013795i,0.0018119-0.0010298i,0.002807-0.0015621i,0.0013736-0.0020523i,-0.0011457-0.0028857i,-0.0018743-0.0037306i,-0.00063226-0.00319i,0.00036348-0.0017046i,0.00036692-0.00097394i,0.00051344-3.5992e-05i,0.00064188+0.00041126i,0.00037726+0.00053215i,0.00041359+0.0010889i,0.00034859+0.00086103i,0.00010331+6.6078e-05i,-0.00044292-0.00026674i,-0.00092791+0.00084065i,-0.0014077+0.0013479i,-0.00073528+0.0006062i,-0.00018347-0.0001761i,-0.00021605+7.323e-05i
0.0020205-0.0025587i,0.0022971-0.0020996i,0.0014718-0.0034274i,0.00058487-0.00351i,-0.00035923-0.0016959i,-0.00098282-0.00098853i,-0.0013645-0.0010787i,-0.0017604-0.00021159i,-0.0011117+0.00076041i,-0.00094329+0.00071953i,-0.0015856+0.00016643i,-0.0013428-2.4389e-05i,-0.00089462+0.00021271i,0.00014021+0.00088974i,0.00089021+0.0015419i,0.00025547+0.0013864i,-0.00059436-0.0003302i,-0.00051283-0.00081176i,-0.00010631+2.4573e-05i,0.00087353-0.00014344i,0.0010978+2.2855e-05i,-6.6045e-05+0.00055723i,-0.00038029+0.00034328i
-0.00059557+0.00094578i,0.00077487+0.00089325i,0.0024108+0.0016642i,0.0026339+0.001783i,0.0012943+0.0010595i,-0.00014754+0.00016516i,-0.0010855-0.00026395i,-0.001162+0.00083114i,-0.00072905+0.0019454i,-0.00038402+0.0016905i,-0.00033807+0.0010277i,-0.00065099+0.0010539i,-0.00074798+0.00099418i,-0.00034069+2.1976e-05i,-0.0007825-0.00062693i,-0.0016078-0.00051724i,-0.0013449-6.3703e-05i,-0.00088139+0.00094949i,-0.00058878+0.0012278i,-0.00015612+0.00021965i,-0.00020434-0.00023588i,-0.0006237-0.00023617i,-0.00044698+0.00016721i
-0.0021678+0.00026818i,-0.0009802+0.00053937i,0.0012738+0.00041345i,0.0021798-0.00050744i,0.001624-0.0011946i,0.0012884-0.00064741i,0.00064315+0.00010035i,0.00051749+0.0013085i,0.001482+0.0023436i,0.0016636+0.0024i,0.0011638+0.0013191i,0.00081059+4.2659e-05i,-0.00012965-0.00043049i,-0.00090782-0.0007686i,-0.0010869+0.00046127i,-0.00061369+0.0017007i,-0.00073464+0.00094326i,-0.00049756-6.3597e-05i,-0.00028508-0.00040444i,-0.00072149-0.00062056i,-0.00053419-0.00077019i,0.00027838-0.00061105i,0.0010849-0.00025489i
0.00039435+0.0012281i,0.0014168+0.0020389i,0.0025272+0.0016706i,0.0028724-0.00062127i,0.0015891-0.002715i,-0.00012796-0.0026933i,-0.000849-0.0019033i,0.00036488-0.00055057i,0.0016474+7.1777e-05i,0.0014683-0.00098313i,0.0011097-0.00093609i,0.0014996-0.00042423i,0.0012546-0.00057705i,0.00089842-0.00057626i,7.3249e-05-0.00060028i,-0.00037691-0.00079053i,0.00038376-0.00090532i,0.001031-0.0003732i,0.00052421-0.00021134i,-4.7883e-05-0.00046136i,-0.00045509+0.00027395i,-0.00018287+0.00059569i,0.0004064+0.00030744i
-0.0015854+0.001094i,-0.00014938+0.00066237i,0.00071644-0.00096813i,0.0015695-0.0024818i,0.0019511-0.0026657i,0.00032777-0.003053i,-0.0011821-0.0030817i,-0.00098496-0.0028793i,-0.0014195-0.0030373i,-0.0014083-0.002905i,-0.00028947-0.0020471i,0.00031134-0.0009498i,0.00030175-0.00029786i,0.0010963-0.0009075i,0.0022672-0.0017035i,0.0023857-0.0017757i,0.0017008-0.0014816i,0.0013718-0.00086736i,0.00099983-0.00015813i,0.00091879-0.00024174i,0.00058303-0.00036749i,0.00030959+0.00021404i,0.0011449+0.00054717i
-0.0030959-0.0024193i,-0.0022538-0.0019656i,-0.00047455-0.0013152i,0.0012225-0.00063688i,0.0012941-0.00072513i,0.00051426-0.002009i,-0.0010999-0.0024558i,-0.0029603-0.0012926i,-0.0044379-0.00022043i,-0.0045147+4.1749e-05i,-0.00285-0.00020504i,-0.00036136-0.00019434i,0.00091038-0.00072499i,0.0017303-0.00056758i,0.0016072+8.7535e-05i,0.0013379-0.00025377i,0.0016323-0.00055748i,0.0012946-0.0010025i,0.00056107-0.00069936i,0.0001848-0.00013207i,-1.2134e-05-0.00046266i,-0.00010504-0.00053823i,0.0002684-0.00058258i
0.00088329-0.0017378i,0.0016526-0.0013756i,0.00080162+6.2028e-05i,0.0011174+0.0011804i,0.0010337+0.0013053i,-0.00035511+0.00031239i,-0.0013922+0.00103i,-0.0013207+0.0026246i,-0.00044785+0.0031868i,0.00062251+0.002895i,0.0012452+0.0021332i,0.00091713+0.001308i,0.00052685+0.00083488i,0.00035442+0.001043i,0.00077512+0.0010058i,0.0015393+0.00084652i,0.0010014+0.00078616i,-0.00040973+0.00028526i,-0.00034489-0.0006214i,-2.6723e-05-0.0010534i,-0.00075331-0.00093479i,-0.00037093-0.00017463i,0.00060923+0.00092856i
-0.0013689-0.0021493i,-0.0010629-0.002382i,-0.00032489-0.0021407i,0.00036293-0.0017519i,8.896e-05-0.0017059i,0.00011352-0.0022091i,0.00067407-0.002306i,0.002105-0.00089099i,0.0037245+0.00033507i,0.0039477+0.00014555i,0.0028193-0.00087947i,0.0018522-0.001492i,0.00074649-6.2329e-05i,-0.00069662+0.0016618i,-0.00071498+0.0019205i,0.0005989+0.0023253i,0.0014315+0.0021942i,0.0011284+0.00070101i,0.00034496-0.00093334i,-0.00072566-0.0016332i,-0.00083708-0.0005994i,-0.00042561+0.00030348i,-0.00035592+0.000641i
0.00044313-0.00073294i,0.0010646-0.0008176i,0.0017223-0.00036587i,0.0020514-0.00018146i,0.0019492-0.00043215i,0.0011983-0.00054586i,0.00022621-0.0013583i,0.00040028-0.002631i,0.00108-0.0036987i,0.0014564-0.0033344i,0.0018016-0.0017325i,0.0019739-0.0011511i,0.0010328-0.00046599i,-0.00029862+0.00044464i,-0.00078025+0.0011615i,-0.00036974+0.0013939i,-0.00014844+0.0017246i,-0.00013795+0.0022536i,-0.00012795+0.0011424i,-0.00018156+0.00010547i,0.00027552+0.00017882i,0.0003454+0.00030764i,1.3681e-05+0.0008848i
0.00038811-0.00035589i,2.1943e-05-0.00035467i,-0.00094253-0.00077979i,-0.00077752-0.0009101i,0.0001165-0.00067803i,-0.0002317-0.00086292i,-0.0022285-0.0013848i,-0.0030436-0.0016651i,-0.0021627-0.0013179i,-0.0016321-0.00036559i,-0.0011735-0.00032332i,-0.00047551-0.00090242i,-0.00076387-0.00059582i,-0.0010158-0.00029981i,-0.0010753-0.00011424i,-0.0013666+0.00030365i,-0.0011722+0.00052915i,-0.00027218+0.00047176i,0.00039175+3.8451e-05i,0.0003522-0.00012006i,7.2507e-05-8.7604e-05i,-0.0002276-0.00015997i,-0.00028346-0.00040141i
