-0.002105-0.00029395i,-0.0016117+0.00066491i,-0.0016353+0.0011186i,-0.0014189+0.0014209i,-0.0011408+0.0026294i,-0.00027196+0.0034339i,8.3932e-05+0.0030054i,0.00050714+0.0024034i,0.0011622+0.0017567i,0.0019301+0.00092097i,0.0016047-0.00076956i,0.00060144-0.0015688i,2.8842e-05-0.00079864i,0.0001475-0.00041051i,0.00016549-0.00038029i,-9.3667e-05-0.00017788i,0.00014319+0.00030814i,0.00070249+0.00064261i,0.00095668+0.00056541i,0.00067687-0.00027002i,-0.00030442-0.00051809i,-0.00069744-0.00034015i,-0.0004426-0.00027241i
-0.0005163+0.0046143i,-0.0015949+0.0028871i,-0.001828-6.3223e-05i,-0.0013676+0.00013923i,-0.0011609+0.0014314i,-0.0011068+0.0011213i,-0.00012883+0.0012936i,0.00069185+0.0013527i,0.0012607+0.00082475i,0.0012959+0.00065566i,0.0011725-0.00029917i,0.00091766-0.0013176i,0.00055458-0.0014603i,-0.00019373-0.0012975i,-0.00058663-0.0014362i,-0.00075654-0.0018534i,-0.0011088-0.0017138i,-0.00094979-0.00086987i,-0.00042762+0.00010707i,-0.00039501+0.00021652i,-0.0001101-0.00071i,-0.00013459-0.0012667i,-0.00057012-0.00076553i
0.003055-0.0034313i,0.0036335-0.0028292i,0.0015294-0.00070027i,-0.0008528+0.00055002i,-0.0024496+0.0013985i,-0.0023284+0.001532i,8.5316e-05-0.0004247i,0.0014889-0.0024227i,0.0016213-0.0028685i,0.0012072-0.0017417i,-0.00045374-0.00073082i,-0.001305-0.00050842i,-0.0004343-0.00089354i,-0.00039816-0.00081211i,-0.0012961-6.5801e-05i,-0.0017637+0.00089796i,-0.0016082+0.0017634i,-0.0013249+0.0012351i,-0.0009402+0.00050782i,-0.00017465-0.0001745i,0.00049663+0.00043135i,0.00034808+0.0012863i,-6.4055e-05+0.0001657i
-0.0032705-0.0029311i,-0.0024066-0.0024725i,-0.0018061+0.00011728i,-0.0029084+0.0021585i,-0.0036319+0.0031596i,-0.0037202+0.0033814i,-0.0023965+0.0021754i,-0.0010981+0.00084401i,-0.00087831+0.00065446i,-0.00049245+0.00069256i,0.00010709+0.00048104i,-0.00021992+0.001128i,-0.00071169+0.0014116i,-0.00066885+0.00040386i,-0.00029962+0.00025758i,0.00061755+0.00055973i,0.0012067+0.00041102i,0.0015334+4.27e-05i,0.001182+0.00047727i,0.00032797+0.00075331i,0.0006218+0.00028807i,0.00080637-0.00037004i,0.00027215-0.00097267i
0.0034538+0.0086663i,0.0024497+0.0041402i,0.002188-0.00030711i,0.0013373-0.00072514i,0.0010193+0.00027848i,0.00057632+0.00087338i,0.00064271+0.0021396i,0.0015593+0.0024085i,0.0018268+0.0014714i,0.0011579+0.00052289i,0.00061099-0.0005986i,0.00033018-0.0011061i,7.4888e-05-0.00060193i,0.00051392-0.00062997i,0.00035208-0.0011709i,-0.00011494-0.0010772i,-0.00040923-0.00062074i,-0.00050559-0.00063039i,-0.00012473-0.00055338i,-0.00018967-0.00043404i,-0.00052042-0.00033091i,-0.0013441-0.00077679i,-0.0017146-0.001762i
0.0050022+0.0018351i,0.0049274+0.0023384i,0.0017438+0.00049549i,-0.00071919-0.0013722i,-0.0023237-0.0015934i,-0.0030695-0.0020479i,-8.4586e-05-0.0015373i,0.0022949-0.00079247i,0.0016962-0.00045956i,0.00095157-0.00043473i,0.0003108-0.0011405i,-0.00050301-0.0015241i,-0.0011013-0.00099639i,-0.001169-0.00016263i,-0.00064881+1.5531e-05i,-0.00026548+7.6708e-05i,-0.0004962+0.00035717i,-0.00088575+0.00074471i,-0.00069744+0.0011962i,-0.00030201+0.00068254i,-0.00031665+0.0005787i,-0.00062516+0.00091319i,-0.00073877+0.00045887i
-0.0041713-0.0075023i,-0.0027647-0.0070468i,-0.0022068-0.0037188i,-0.0033889-0.000625i,-0.0049553+0.0017754i,-0.0047366+0.0024979i,-0.003485+0.0014369i,-0.0028004-0.00039842i,-0.0021631-0.00098318i,-0.00084814-0.00081076i,0.0001373-0.0004464i,-6.1956e-05+0.00056861i,3.6138e-05+0.00082116i,0.00010925+9.886e-05i,0.00012382-0.00024405i,0.00063043-3.395e-05i,0.00092196+0.00025423i,0.00018992+0.00024828i,-0.00019201+0.0007159i,0.00019679+0.0015011i,0.0002307+0.00082603i,0.00054579-0.00030365i,0.00046981-3.9602e-05i
-0.0034197+0.0066235i,-0.0028608+0.0062115i,-0.002702+0.0044414i,-0.0018562+0.0035476i,-0.00097057+0.004335i,-2.5657e-05+0.0047267i,4.5503e-05+0.0046183i,-0.00017708+0.0039266i,0.000283+0.0024628i,0.00026733+0.0011988i,-0.00035853+0.00066i,-0.0005583+0.00074876i,-0.00011646+0.00040888i,0.0001642-0.00039913i,-7.7935e-05-0.00093923i,-9.0022e-05-0.0011613i,0.00026013-0.0015063i,-7.3322e-05-0.001337i,-0.00023101-0.00071452i,-0.00014279-0.00042849i,0.00032754-0.00055986i,0.00056949-0.00022301i,0.00096186-0.00066498i
0.0082314+0.0010643i,0.0055169+0.0018849i,0.0018176-0.00019301i,-0.00057364-0.00073767i,-0.0013447+0.00019293i,-0.00074141+0.00061593i,0.0016379+0.00035209i,0.0036227-0.0011312i,0.0032218-0.0020926i,0.0019541-0.0010818i,0.00028075+0.00051263i,-0.00058558+0.00078926i,-0.00066622+0.00013643i,-0.00080014-0.00078913i,-0.00042328-0.00046595i,-0.00040236+0.00047271i,-0.00048782+0.00047789i,-0.0008359+0.00074542i,-0.00086757+0.0010448i,-0.00067687+0.00061305i,-0.0006263+6.9293e-05i,-0.0013279-2.5897e-05i,-0.0010789-0.00046255i
-0.0065624-0.012414i,-0.0047042-0.010843i,-0.0052477-0.0064782i,-0.0070147-0.0032648i,-0.0074487-0.00092075i,-0.0059302+0.0005337i,-0.0036276+0.0001488i,-0.0023277-0.0013421i,-0.0020511-0.0018807i,-0.0015693-0.00084692i,-0.0010721-0.00017969i,-0.00064383-0.00030948i,-0.00010032-0.0001467i,0.00029541-0.0001198i,0.00014282-0.00033423i,-0.00024878-0.00065452i,-0.00013283+0.00027848i,0.00056355+0.00069925i,0.0010481+0.00043781i,0.00098138+0.00046844i,0.0005527+0.000465i,-5.1129e-05+0.00089389i,-0.00029623+0.00093407i
-0.0022664+0.0051779i,-0.0025187+0.0021003i,-0.0008882-5.2083e-05i,-0.001575+0.001097i,-0.0028428+0.002727i,-0.0033645+0.0042487i,-0.0028182+0.0044537i,-0.0020267+0.0033629i,-0.00058883+0.00187i,0.00091719+0.00017404i,0.0010052-0.00043928i,-0.00026865-0.00063143i,-0.00076706-0.00071972i,3.4393e-05-6.8304e-06i,-8.503e-05+0.00027189i,-0.00017663-0.00023159i,1.6861e-05-0.00061638i,0.00063673-0.00031936i,0.0012891+0.00048107i,0.00053814+0.0011124i,-0.00029295+0.00086156i,-0.00018626+4.6984e-05i,0.00034633-0.00041575i
0.0050635+0.0055677i,0.0048611+0.0048137i,0.0026351+0.0018482i,0.00073371-6.7505e-05i,0.00055566+0.00022151i,0.0019142+0.0013331i,0.003517+0.00096208i,0.0039117-0.00053768i,0.0032115-0.00084581i,0.0016515-0.00015172i,0.00039263-0.00051407i,0.00069794-0.00084016i,0.00079051-0.00067865i,-8.8765e-05-0.0002037i,-0.00051488+0.00029454i,-0.00044572+0.00089881i,-0.00053931+0.0016181i,-0.00087825+0.0016516i,-0.0008262+0.00077066i,-0.00011958-0.00058931i,-6.5061e-05-0.00097617i,-0.00056281-0.00076723i,-0.00060227-0.00041961i
-0.00028364-0.010572i,0.00099357-0.0084024i,0.00010034-0.0046075i,-0.0024899-0.0020173i,-0.0044063-0.0015972i,-0.0046974-0.0014274i,-0.0025812-0.0014876i,-0.00052793-0.002066i,0.00010645-0.0023523i,6.1539e-05-0.0018754i,-0.0001679-0.00095427i,0.00024768+0.00021656i,0.00082129+0.00052486i,-0.00013444-0.00036656i,-0.00052222-0.00027152i,0.0001503+0.0007488i,0.0005536+0.00050253i,0.00030272+0.00037242i,-9.694e-05+0.0011806i,-0.00024699+0.0013327i,-0.00076487+0.0007626i,-0.0009086+0.00055968i,-0.00045755+0.0005851i
-0.0098667+0.0032332i,-0.0091026+0.0016194i,-0.0054222-0.0003792i,-0.0040257+5.1098e-05i,-0.0051697+0.0017864i,-0.0060228+0.0036943i,-0.0048662+0.0036166i,-0.0032177+0.0020467i,-0.00175+0.0010752i,-0.00042087+0.00065543i,0.00031249+0.00057374i,0.00035886+0.00033397i,0.00098198-0.00028575i,0.00065268-0.00068797i,-0.0004833-0.00093158i,-0.0011545-0.00096425i,-0.0015699-0.0010027i,-0.0017221-0.00051776i,-0.0010005-7.3128e-05i,-6.3364e-06+9.7856e-05i,0.0013159-0.00014895i,0.0022765-0.00026726i,0.0015979-0.00013315i
0.0064881+0.0077867i,0.0055143+0.0056076i,0.0020005+0.0030769i,0.00056566+0.0031686i,0.00023395+0.0039143i,0.00068039+0.0037496i,0.0013083+0.003229i,0.0025773+0.0023702i,0.0031201+0.00065421i,0.0020811-0.00031241i,0.00067347-0.00073829i,-0.0003166-0.00074987i,-0.00072433-0.00042535i,-0.00063177-0.00018961i,-0.00064289+0.00035107i,-0.00092134+0.0012225i,-0.00062681+0.0017231i,-0.0010052+0.00084797i,-0.00065751-0.00028418i,0.0010133-0.00010198i,0.00042856+0.00046145i,-0.0011459-0.00014505i,-0.00075363-0.00045157i
0.0021573-0.01508i,0.0025138-0.011144i,0.00023385-0.0061307i,-0.0013509-0.0036245i,-0.0019924-0.0028247i,-0.0023249-0.0025592i,-0.0014514-0.0027712i,-0.00027044-0.0025086i,-0.00039792-0.0011309i,-6.9167e-05+0.00039884i,0.00046415+0.0004654i,-4.1364e-05+0.00042088i,0.00063005-1.0816e-05i,0.0015394-0.00045989i,0.0010353+0.00024299i,0.00031576+0.00059581i,3.1946e-05+0.00036778i,-0.00011823+0.00033208i,-0.00026744-7.2878e-05i,-0.00042697-0.00010576i,-0.00030611+0.0001381i,-0.00076833+0.00046139i,-0.00089083+0.00069444i
-0.01102+0.0049999i,-0.0094139+0.0027317i,-0.0052256+0.0010364i,-0.0048593+0.00082021i,-0.0058831+0.0014309i,-0.0062332+0.0017705i,-0.0054544+0.0019097i,-0.0042038+0.0018627i,-0.0025126+0.00052286i,-0.00028277-0.0007285i,0.00046015-0.0013552i,0.00013369-0.0011465i,0.00018875+0.00042577i,0.00022871+0.00075727i,0.00010798-0.00042419i,-0.00052818-0.00029699i,-0.00044182-8.9746e-05i,0.00067732-0.00049835i,0.0010412+0.00012308i,0.00098716+0.0006926i,0.00036424+0.00089799i,-3.0553e-05+0.00092029i,4.4071e-05+0.00016412i
0.0076572+0.01083i,0.0053175+0.0089652i,0.00015896+0.0043096i,-0.0039774+0.0030036i,-0.0045143+0.0044001i,-0.0023068+0.0060887i,0.00032131+0.0053585i,0.0020064+0.0030933i,0.0019496+0.0014495i,0.0018055+0.00077696i,0.0013838+0.00040796i,0.00034668-0.0006705i,-0.00050741-0.0014575i,-0.00093912-0.0010235i,-0.00092905-0.00030232i,-0.00038564-0.00035838i,-0.00064911-0.0002001i,-0.0010744-2.9915e-05i,-0.00061531-0.00015993i,4.5638e-06-0.00015177i,-4.4287e-05-0.00043496i,1.9595e-05-0.00096079i,0.00028782-0.00095949i
0.0045252-0.012716i,0.005516-0.010648i,0.0035981-0.0050762i,0.001731-0.0026175i,0.0016403-0.0017242i,0.00048143-0.00080081i,0.000265-0.00089508i,0.0015565-0.0025945i,0.0018696-0.00251i,0.0016976-0.0005346i,0.00089115+0.00025417i,-0.00031513+1.6162e-05i,-0.00048923-0.00019412i,0.00029601-0.00037322i,0.00013793-0.00015195i,-0.00032576+0.00014864i,-0.00057128+0.00020391i,-0.00083046+0.00018781i,-0.00045331-7.1693e-05i,0.00011812-0.00012649i,-4.3013e-05+5.0116e-05i,-0.0013155+0.00012401i,-0.0015668+0.00030881i
-0.012748-0.0023406i,-0.010939-0.003436i,-0.005933-0.0033i,-0.004191-0.002737i,-0.0049794-0.0023969i,-0.0063551-0.0015021i,-0.0061103-0.00071416i,-0.0040739-0.00059147i,-0.0018777-0.00075463i,-0.00051779-0.000411i,7.7499e-05-3.0798e-05i,-0.00021404-0.00027461i,-0.0002872-0.00059669i,0.00014473-0.00063272i,0.0010417-0.0010342i,0.00064525-0.00062231i,0.00037785+0.00019748i,0.001447-0.00048773i,0.001201-0.00059233i,0.00044115+0.00045763i,0.00025752+0.0012399i,-0.00025583+0.0010027i,0.00010665+0.0001016i
0.0078456+0.012377i,0.0053823+0.011237i,0.0010378+0.0061231i,-0.0030001+0.0037406i,-0.0059556+0.0036198i,-0.0062179+0.0036754i,-0.0029717+0.0047289i,0.00052765+0.0044456i,0.00097991+0.0021904i,0.00041205+0.00096159i,0.00056049+0.00020276i,-0.00034959-0.00054842i,-0.0010833-0.00087734i,-0.00099592-0.00059739i,-0.0013504-0.00049024i,-0.00087032-0.00020812i,-0.00092867+8.064e-05i,-0.00063384-0.00015965i,-0.00032305-0.00048521i,-0.00052487+0.00012732i,0.0001793+0.00019693i,0.00072626-0.0011564i,0.00063046-0.0018269i
0.0056531-0.012688i,0.0058647-0.0098863i,0.0021763-0.0035593i,-0.00022815+0.0010925i,0.00014482+0.0037783i,0.0018143+0.0044688i,0.0031084+0.0018461i,0.0037838-0.0011095i,0.0028715-0.0019478i,0.00093115-0.0011897i,-0.0004236+7.9862e-05i,-0.00058396+5.8527e-05i,0.00020695-0.00022415i,0.00052384+0.00012573i,0.00060824+0.00045092i,0.00029184+0.0003158i,-0.00055557+0.00029943i,-0.00094107+0.00076502i,-0.00056792+0.0014067i,-9.4957e-05+0.00081239i,0.00025614-0.00050833i,-0.00010294-0.00076903i,-0.0009353-0.00068877i
-0.016547-0.0024851i,-0.011576-0.0036611i,-0.0051076-0.0022876i,-0.0026371-0.0025547i,-0.0016093-0.0036554i,-0.0018145-0.0036709i,-0.0030708-0.0029765i,-0.00321-0.0024793i,-0.0018937-0.0018495i,-0.00052052-0.0010305i,0.00041396-0.00093925i,0.000342-0.0011501i,-0.00040231-6.2357e-05i,-0.00012758+0.00010558i,0.000544-0.0011669i,0.00090532-0.0017924i,0.0010137-0.0010046i,0.0003235+0.00020808i,-0.00072695+0.00026828i,-0.00094167-0.0002295i,-0.00042045-0.00023828i,-0.00020819-0.00018407i,-0.00010556-0.00031484i
0.0036362+0.013726i,0.0011923+0.010293i,-0.0010689+0.0027519i,-0.0030344+0.00078422i,-0.0055827+0.0016935i,-0.0071128+0.0021813i,-0.0053082+0.0033235i,-0.002296+0.0033677i,-0.00025369+0.0020096i,0.00065261+0.00016915i,0.00067653-0.0014006i,-0.00020313-0.00081397i,-0.00087633+0.00037472i,-0.00067003-0.00039709i,-0.00067177-0.0013227i,-0.00049153-0.00089845i,0.00023661-0.00038229i,0.00038828-0.00033419i,-2.4698e-05+0.00066269i,-0.00056634+0.00087518i,0.00043742+0.00012324i,0.0013358+9.5141e-05i,0.00083144-0.0010156i
0.011376-0.0082931i,0.010896-0.0050184i,0.0049002-0.00080616i,0.0010951+0.0027598i,-0.0005707+0.0060398i,-0.00010781+0.0061595i,0.0015488+0.0034938i,0.0023532+0.0010285i,0.0019056-0.0004723i,0.0017634-6.3234e-05i,0.0016515+0.0012336i,0.00084747+0.0012164i,0.00094208+0.00037267i,0.00024881-8.2202e-05i,-0.000497+9.3274e-05i,0.00041257-0.00022674i,2.5402e-05-0.00050091i,-0.0011412-0.00024257i,-0.00063796+0.00019504i,0.00036433+0.00040266i,-0.00026107-0.0010141i,-0.00046749-0.0025758i,-0.00052921-0.0017435i
-0.017466-0.0069177i,-0.013866-0.0063669i,-0.0076318-0.0030378i,-0.0040003-0.00073324i,-0.0018628+0.0002725i,0.00058708+4.9065e-05i,0.00099875-0.0014085i,-9.3992e-05-0.0023913i,-0.00089204-0.0017014i,-0.0012095-0.0010212i,-0.00072705-0.0013499i,-3.7211e-05-0.0012311i,0.00032339-0.00050204i,0.00099246-0.00017019i,0.0011405-0.00038052i,0.00088987-0.0010991i,0.00048469-0.001287i,0.00035119-0.00010804i,0.0003998+0.00067366i,-0.00030573+0.00068449i,-0.0012086+0.00076353i,-0.0011761+0.00058091i,-0.00027134+0.00043988i
-0.0041108+0.016851i,-0.0048262+0.012407i,-0.0035599+0.0051457i,-0.0031305+0.0015142i,-0.0036892+0.00067417i,-0.004638+0.00070992i,-0.0049657+0.0010566i,-0.0035987+0.0015155i,-0.0015387+0.0013892i,0.00012224+0.0015974i,0.00049039+0.0010239i,-0.00083759-0.00035781i,-0.0014225-0.00037629i,-0.00036381-0.00046235i,0.00022471-0.00089318i,0.00030964-0.00072264i,0.00028281-0.00040317i,0.00030478-0.00061006i,0.00087701-0.00065247i,0.001334-0.00033716i,0.0012735+9.4673e-05i,0.0013593+0.00054382i,0.0013077+5.6438e-05i
0.020806-0.0055848i,0.017335-0.0046595i,0.0087446-0.0029755i,8.7013e-05-0.00093611i,-0.0042339+0.0020892i,-0.0035045+0.0035728i,-0.0011207+0.0034646i,0.0013907+0.0026623i,0.0022477+0.00065734i,0.0015083-0.00043941i,-3.111e-05-0.0008096i,-0.00042934-0.00019779i,-0.00076122+0.0011489i,-0.0015181+0.00064921i,-0.0015776-1.7235e-05i,-0.0014134+0.00042143i,-0.00034276+7.6019e-05i,0.00022472+0.00035117i,-0.00022538+0.00083927i,0.00010773+0.00068703i,0.00067301+0.00029098i,0.00013501-0.00062276i,9.9309e-05-0.00095577i
-0.011757-0.016243i,-0.0084337-0.014968i,-0.0045703-0.0073875i,-0.0027998-0.001492i,-0.0019282+0.0014207i,0.00038491+0.0020242i,0.0023259-0.00025455i,0.0018209-0.0024085i,0.00031745-0.0023548i,5.2978e-05-0.001311i,0.00089891-0.0011854i,0.0020456-0.0010396i,0.0018291-0.00057489i,0.0012327-0.00025962i,0.00083826-0.00024197i,0.00029606-0.00029902i,-0.00038512+0.00066922i,-0.0012072+0.0018338i,-0.0010953+0.0011652i,-0.00015023-0.00036472i,-7.3185e-05-0.00061965i,-0.0001049+4.81e-05i,-0.00027185+0.00016631i
-0.012578+0.01643i,-0.013069+0.012979i,-0.0081624+0.0067807i,-0.0040786+0.0031077i,-0.0029151+0.00098614i,-0.0025833+0.00055348i,-0.0022253+0.00035786i,-0.0022073+5.1974e-05i,-0.0020081+0.0002701i,-0.0011537+0.00016051i,-0.00067096-0.00079134i,-0.00025668-0.0010113i,-1.6233e-05-0.00070741i,-5.4528e-05-0.00051699i,0.00016182-0.00078272i,4.9076e-05-0.00075963i,-0.00062244-0.00036587i,-0.00019529-0.00051438i,0.00046889-0.00075957i,0.00021581-0.00094303i,0.00073343-0.00011456i,0.0016087+0.00078777i,0.001187+0.00071869i
0.021282+0.0036315i,0.019013+0.0018872i,0.0088708-0.00078325i,-0.00017816-0.00066484i,-0.0053321+0.00061191i,-0.0067671+0.0016441i,-0.0037724+0.0022532i,-0.00067258+0.0022917i,0.00084424+0.0010924i,0.0010842+0.00032627i,0.00083078+0.00063377i,2.1651e-05+0.00040501i,-0.00083132-7.2836e-05i,-0.001494-0.00048284i,-0.0014002+9.6417e-05i,-0.00093844+0.00059765i,-0.00071077+0.00027544i,-0.0017038+0.00016006i,-0.0017212+4.5364e-05i,-0.00054825-0.00024964i,0.00016567-0.00072142i,0.00037037-0.0004586i,0.00044856-0.00038747i
-0.0084781-0.025199i,-0.0064904-0.020883i,-0.0037885-0.010107i,-0.0028208-0.00082497i,-0.0025404+0.0030914i,-0.0016976+0.0042896i,0.00058607+0.0029865i,0.0023283-3.1914e-05i,0.0019948-0.001673i,0.0014995-0.0013329i,0.0011121-0.0010586i,0.00048088-0.00069559i,0.00056487-0.00037456i,0.00047088+0.00014826i,-0.00013054+0.00070287i,-0.00056717+0.00057891i,-0.0005217+0.00046546i,-0.00039097+0.00072358i,-0.00037404+0.0011i,-0.00072834+0.00094698i,-0.0014078+0.00027797i,-0.0014562-0.0005721i,-0.00091465-0.00062774i
-0.02107+0.012892i,-0.019118+0.012234i,-0.011233+0.0061971i,-0.0056875+0.0014137i,-0.0034984+0.0010903i,-0.0011132+0.00094866i,2.4307e-05-0.00049847i,-0.0012104-0.001266i,-0.0025914-0.00069517i,-0.001836-0.00027722i,-0.0002005-0.00069442i,0.00014344-0.0010256i,0.00023502-0.0001901i,0.00086357+0.00015219i,0.00033923-0.00035512i,-0.00057521-0.00011173i,-0.00021708-0.00036642i,0.0005981-0.00053667i,0.0010161-0.0011656i,0.0013731-0.0012416i,0.0012086-0.00032234i,0.00058354-0.0002672i,2.0147e-05+0.00023122i
0.022132+0.012602i,0.019829+0.010666i,0.0096947+0.006521i,0.0021379+0.0032153i,-0.0014578+0.0014198i,-0.0032473+0.0018602i,-0.0038821+0.0024165i,-0.0032676+0.00256i,-0.0015492+0.0021156i,7.6366e-05+0.00091189i,-0.00061456-0.00053572i,-0.0017301-0.00075637i,-0.001987-0.00012475i,-0.0021092-0.00064934i,-0.0015455-0.0014928i,-0.0010667-0.0012197i,-0.00077309-0.00052686i,-0.00082737-0.00064231i,-0.0013149-0.00074232i,-0.00086399-0.00088956i,0.00054881-0.0012667i,0.0010865-0.00082747i,0.00064194-0.00077048i
0.00087762-0.022983i,-0.00051875-0.019444i,-0.0026608-0.0094616i,-0.0039932-0.0012248i,-0.0052847+0.0023594i,-0.0057961+0.004125i,-0.0026559+0.00435i,0.0013478+0.0022329i,0.0015999-5.3185e-05i,0.00032564-0.00019755i,0.00010365+0.00056592i,0.0005926+0.00032784i,0.00063106-0.0001512i,-0.00040189+0.00046674i,-0.001597+0.00091373i,-0.0016426+0.0010608i,-0.00097109+0.0010287i,-0.00084473+0.00082644i,-0.0006258+0.00076731i,-0.00025298+0.00070547i,-0.00083971+0.00026435i,-0.0010423-0.00021108i,-1.1683e-05-0.00023322i
-0.02644+0.0068898i,-0.022854+0.0055056i,-0.011805+0.0026212i,-0.0051337+0.0006162i,-0.0029995+0.0010702i,-0.00075219+0.0017754i,0.0014228+0.00075575i,0.0022085-0.0012687i,0.0017834-0.0026353i,0.0016879-0.0030963i,0.0020007-0.0027835i,0.0013228-0.0015227i,0.000328-0.00065022i,0.00067176-0.00062133i,0.00085572-0.00012278i,-5.3372e-06+0.00028907i,0.00028149+0.00021386i,0.0013479+4.566e-05i,0.0015129-0.00024833i,0.0011842+0.00014757i,0.00079499+0.0004713i,0.00056041+0.00037431i,0.00019989+0.00031725i
0.018663+0.019122i,0.017919+0.014407i,0.0095846+0.0055668i,0.0025996+7.1479e-05i,-0.00058778-0.0015464i,-0.0025539-0.0020303i,-0.0024592-0.0015925i,-0.0020553-0.00064817i,-0.0017936+0.00017613i,-0.0011768-0.00012557i,-0.0011612-0.0012353i,-0.0015537-0.0009921i,-0.001781-0.000431i,-0.0015346-7.599e-05i,-0.00081242+6.4211e-05i,3.2032e-05-0.00053465i,0.00059835-0.0011395i,0.00065015-0.0015634i,-0.00017538-0.001425i,-0.00031759-0.00054797i,1.6152e-05+0.00080592i,-0.00032099+0.00099323i,-0.00072507+0.00064089i
0.0086469-0.019219i,0.0073702-0.017747i,0.0029236-0.0083521i,-0.0016502-0.0003202i,-0.0043344+0.0018683i,-0.0049147+0.0027637i,-0.0040384+0.0036468i,-0.0018259+0.0028147i,0.00060728+0.0016989i,0.0012654+0.0012116i,0.00066274+0.00067369i,-8.9997e-05+0.00090646i,0.00048393+0.00029776i,0.0011826-0.0012819i,0.00086002-0.0011174i,0.000571-0.00069947i,-0.00021339-0.00010258i,-0.0010742+0.00076472i,-0.0010419+0.00076377i,-0.00054951+0.00046763i,-0.00044902-0.00018337i,-0.00018808-0.00026982i,0.00057302+0.00040172i
-0.028527-0.0026615i,-0.026006+0.00026219i,-0.014436+0.00071828i,-0.0067179+0.00094356i,-0.0049921+0.0035406i,-0.0025817+0.005134i,0.00042193+0.0025974i,0.0011833-0.00069543i,0.0010968-0.0019255i,0.0011826-0.0020101i,0.0008294-0.0012926i,9.3647e-05-0.00032631i,-0.00033208-0.00059391i,-2.275e-05-0.0010262i,0.00042881+1.2845e-05i,6.3106e-05+0.00087i,-0.00065187+0.00054253i,-0.00037436+0.0004126i,0.00034726+0.00080328i,0.00054257+0.00099781i,0.00028286+0.00052214i,0.00018206+0.00022389i,2.2532e-05-0.00037595i
0.0089325+0.02811i,0.012084+0.02361i,0.0094662+0.01186i,0.0047563+0.0029034i,0.0018867-0.00060444i,0.00036671-0.0029076i,-0.00045707-0.0039712i,-0.0013134-0.0025432i,-0.0013244-0.0011742i,0.00011598-0.0013539i,0.0010602-0.0016237i,0.00021354-0.00048525i,-0.00054194+0.00057954i,-0.00091001+0.00053669i,-0.0012366+0.00042815i,-0.0002095+0.00060697i,0.0011851+0.00031434i,0.00073846-0.00040744i,0.00013154-0.00054494i,0.00049805-0.00031134i,0.00040696-0.00061016i,0.00072487-0.00064919i,0.00085459-9.1779e-05i
0.01951-0.025007i,0.015519-0.02478i,0.0053686-0.015224i,-0.002433-0.0060216i,-0.0061227-0.0026013i,-0.0067213-0.0010111i,-0.0044493+0.00024854i,-0.0018182+3.4284e-05i,-0.0003635-2.5747e-06i,-0.00041582+0.00018878i,-0.00083894-0.00059318i,-0.00025204-0.00010884i,0.00043123+0.00084824i,0.00031225+0.00075266i,-0.00014899+0.0001099i,-6.0966e-05-0.00063518i,-0.00042-0.0011803i,-0.0011674-0.0010953i,-0.0014653-0.00020943i,-0.0014641+0.00050251i,-0.00098989+0.00035266i,-0.00042449+0.00031085i,-0.00027811+0.00076237i
-0.024027-0.010413i,-0.024966-0.0068991i,-0.016496-0.0024412i,-0.0085197+0.0011997i,-0.0061935+0.0044092i,-0.0035507+0.006314i,0.00074963+0.0056025i,0.0024817+0.0026906i,0.001586-9.8147e-05i,0.0015202-0.0010401i,0.0016914-0.00011035i,0.00055673+0.0012941i,-0.00096127+0.00058209i,-0.0016532-0.00039319i,-0.0014919-0.00041298i,-0.00057742-0.0001298i,0.00030647+0.00044256i,0.00030266+0.00050248i,0.0001848+0.00052077i,-0.00015346+0.00098863i,-0.00036139+0.00055402i,-0.00033435-0.00020177i,-0.00037982+9.5566e-05i
0.0034617+0.031639i,0.0059112+0.028646i,0.0043362+0.015253i,0.0010909+0.0057301i,-0.00015315+0.0031874i,-0.00016721+0.0018857i,0.00031014-5.4117e-05i,0.00072344-0.0015543i,1.0241e-05-0.0019503i,-0.00032143-0.0018071i,0.00046775-0.0017724i,0.00039565-0.00087425i,-0.0008749+1.8222e-05i,-0.00064047+0.00047603i,0.00032919+0.0011039i,0.0011664+0.00068058i,0.0010101+0.00044158i,3.6351e-05+0.00038207i,0.00026635+0.00025153i,0.00046357+0.00023693i,-0.0003582-0.00049703i,-0.00066673-0.00082493i,6.9137e-05-0.00046589i
0.020107-0.014247i,0.017228-0.018088i,0.0073565-0.013979i,-0.00078755-0.0074017i,-0.0048284-0.0040525i,-0.0063791-0.002675i,-0.0051403-0.00088546i,-0.0021492+0.0010225i,5.8173e-05+0.0018405i,0.00043821+0.00077853i,-0.00037327-0.00048036i,-0.00055255-0.00084665i,0.00013015-0.00054826i,0.00032126-0.00081129i,-0.00020161-0.0011814i,-0.0010573-0.0010861i,-0.0010328-0.00061913i,-0.00026646-0.00070088i,-0.00047567-0.00070698i,-0.00063874-0.00022521i,-0.00053659-0.00019614i,-0.00035092-0.00035456i,0.00018968-0.00060748i
