-0.0034366-5.6425e-05i,-0.001829-0.001173i,-0.0030507-0.0026536i,-0.0029323-0.0017448i,-0.0023405+0.0020599i,-0.00052571+0.0035886i,0.0015814+0.0031623i,0.0011989+0.0017625i,0.00061402+3.8644e-05i,0.0009226-0.00077561i,0.00012251-0.00074418i,0.00028928-0.00055175i,0.00055215-0.00082375i,0.00011528-0.0012455i,7.9293e-05-0.00070821i,0.00015534-1.3708e-05i,0.00011017+0.0001884i,0.00043586+3.9986e-05i,0.0014283+0.00010302i,0.0006452+0.0003204i,-0.0010341+0.00048105i,-0.00094518-2.7472e-05i,-0.00038253-0.00018711i
0.00096818+1.3989e-05i,-0.00049368+0.00078549i,-0.0009358+0.00080217i,-0.0016972+0.00087598i,-0.0026848+0.0012383i,-0.0021244+0.001947i,-0.0012236+0.0029648i,-0.0013642+0.0018747i,-0.0012816-8.6741e-05i,-0.0012247-0.0013247i,-0.0010734-0.0013836i,-7.6611e-05-0.001091i,0.0006077-0.00093785i,0.0008236-0.00037679i,0.0011607-3.8837e-05i,0.0014973-0.00017006i,0.0018431-0.00021161i,0.00095598+0.00014263i,-0.00040056+0.00078519i,-0.00057485+0.0009546i,-1.1706e-05+0.00057734i,0.00068292+0.00017312i,0.00063069+0.00017473i
-0.00074032+0.0007299i,-0.00015416-0.00041897i,0.00031822-0.00067874i,-0.00039559-9.578e-06i,-0.0013086+0.0010026i,-0.00095348+0.0033389i,0.00058929+0.004399i,0.0019468+0.0041797i,0.0016221+0.0034705i,-0.00017051+0.0015905i,-0.0012879-0.00084034i,-0.0018265-0.0024474i,-0.0022053-0.0020604i,-0.0018642-0.0015298i,-0.000957-0.0015273i,-0.00031769-0.0011886i,-0.00034061-0.00066088i,-0.00022599+0.00040506i,0.00039727+0.0010137i,0.00051805+0.00086728i,0.00027781-0.00030906i,0.00073495-0.0011412i,0.0011569-5.7468e-05i
-3.3497e-05+0.00085468i,0.0014178-6.1133e-05i,0.0019995-0.00012158i,0.001634+0.000576i,0.00145+0.0019081i,0.0023311+0.0012824i,0.0034721-0.00031342i,0.0040388-0.00053584i,0.0040851+0.00053828i,0.0028458+0.001091i,0.0007885+0.00033028i,-0.0014962-0.00011322i,-0.0024125+0.00073905i,-0.0015472+0.0015377i,-0.00064607+0.0017372i,-0.00032385+0.0014915i,-0.00032032+0.00037024i,7.8066e-05-5.7605e-05i,0.00088332-0.00061444i,0.00097612-0.0011312i,0.00052405-0.00064052i,-9.1436e-05+4.1468e-05i,-0.00051695-3.9477e-05i
0.0028204+0.0026153i,0.002127+0.00014939i,0.0022944-0.0015425i,0.001989-0.0018477i,0.0012628-0.0017903i,-0.0010814-0.0020643i,-0.0020388-0.0026959i,-5.6917e-06-0.0032657i,0.0018987-0.0030058i,0.0027226-0.0020513i,0.0024962-0.001332i,0.0011003+0.00024554i,-0.0002486+0.0022278i,-0.00042084+0.0034682i,-0.00083246+0.0035238i,-0.0010901+0.002207i,-0.00046465+0.0013933i,0.00025647+0.00068961i,-7.1205e-06-2.1529e-05i,-0.00092441-0.00021063i,-0.0010134-0.00064798i,-0.0003925-0.0011302i,-0.00016641-0.00011689i
-0.00057788+0.0011676i,9.3874e-06+0.0011567i,0.00042713+0.00074486i,-0.00027696+0.00054245i,-0.0016095+0.0010689i,-0.0036689+0.0014551i,-0.0053096+0.0014236i,-0.0044994+0.00023507i,-0.0025383-0.0013058i,-0.00098024-0.0019933i,0.00048925-0.0024356i,0.0017476-0.0016783i,0.0022505-0.00068912i,0.0012466+0.00026809i,0.00057318+0.00084146i,0.0012727+0.00060676i,0.0014906+0.00047108i,0.0007457+0.00019747i,4.4893e-05+4.1237e-05i,4.1782e-05+0.00029401i,0.00025868+0.00062949i,-0.00038944+0.00099891i,-0.0011501+0.0012112i
-0.003859-0.00073141i,-0.0040882+0.00041787i,-0.0040692+0.00059547i,-0.0027956+0.002011i,-0.00099242+0.004267i,0.00063139+0.0065266i,0.00066569+0.0064862i,-0.00070933+0.0044657i,-0.0013392+0.0024744i,-0.0016859+0.00082769i,-0.0010209-0.00015828i,-7.1817e-05-0.00073554i,0.00059538-0.0014083i,0.00092552-0.0020225i,0.00078067-0.0016294i,0.0011541-0.00058266i,0.0010897+0.00051789i,0.001033+0.00081178i,0.0012236+0.00044813i,0.00068712+6.0878e-05i,0.00057483+0.00012534i,0.00061334+0.00021208i,-0.00048231-9.7221e-05i
-0.0026224+0.0013921i,-0.00036952+0.00099713i,0.0011979+0.0012261i,0.00077892+0.0013139i,0.0015721+0.0011124i,0.0029262+0.0013223i,0.0038453+0.0024196i,0.0034076+0.0040371i,0.0017379+0.0046433i,0.00016674+0.0037985i,-0.00078094+0.001574i,-0.001619-0.00039903i,-0.0022705-0.0011753i,-0.0030124-0.0016066i,-0.001994-0.0018532i,-8.6911e-05-0.0010049i,0.0014791-0.00039204i,0.0008798-0.00093033i,0.00025483-0.00060374i,0.0011119-0.00017149i,0.00062993-0.00048664i,-0.00051399-0.0007652i,-0.00089547-0.00031841i
0.0028584-0.00071842i,0.0020013-0.0019475i,0.0010017-0.002404i,-0.000622-0.0018346i,-0.0020705-0.00091117i,-0.002046-0.00049973i,0.0016328-0.00063429i,0.0051708-0.00082506i,0.0053747-0.00052219i,0.0036066+0.00024i,0.0019073+0.00074525i,-0.00029002+0.0016793i,-0.0022111+0.0020056i,-0.0022925+0.001098i,-0.0015985+0.00048762i,-0.00095666+0.00066694i,-0.00071209+4.8393e-05i,-0.00054412-0.00070138i,-0.0001832-0.00072231i,0.00032324-0.00092893i,0.00051278-0.0015206i,0.00074144-0.0012476i,0.00060696-0.00052674i
0.00044768+0.00090369i,-0.00024878-0.00040112i,-0.00098768-0.00088467i,-0.0018141-6.6809e-05i,-0.0033603+0.0016897i,-0.0026288+0.0016639i,-0.0012641-0.0014437i,-8.9269e-05-0.0045911i,0.0014304-0.0047684i,0.0025676-0.0030315i,0.0022581-0.001085i,0.0010983+0.00013188i,0.00019674+0.0017569i,0.00027237+0.003227i,0.00043599+0.0020857i,-2.5203e-05+0.00076424i,3.7254e-05+0.00048609i,0.00030172+0.00025044i,0.00024771+0.00076025i,3.3051e-05+0.00012373i,0.00038194-0.0005017i,-8.3044e-05+0.00015793i,-0.00081436+0.00030628i
-0.00064741-0.00026731i,-0.0011484-0.00032828i,-0.00092708-0.0012579i,0.00026569+0.00042586i,-0.00031569+0.0026432i,-0.0026327+0.0031991i,-0.0043132+0.0021438i,-0.0054372-0.00049813i,-0.0050105-0.0028674i,-0.0030526-0.0039183i,-0.0011489-0.0034076i,0.00077598-0.0016523i,0.0024501-0.00031212i,0.0029985+0.00011157i,0.0024916-2.5868e-05i,0.0014632+3.9426e-05i,0.0001217+0.0002093i,-0.00012677+0.00032554i,0.00018716-0.00011179i,0.00032283-0.00052247i,-0.00022456-0.00030318i,-0.0014858+0.00021921i,-0.0011403+0.00013991i
9.7502e-05+0.00056106i,0.0002883-0.00053762i,0.00013257+0.00017608i,-0.00084729-7.2775e-05i,-0.0017131+0.00036663i,-0.0026486+0.0031257i,-0.0033799+0.006091i,-0.0046219+0.0067524i,-0.0052997+0.0047938i,-0.0039948+0.0022512i,-0.0020958+0.00037489i,-0.00069026-0.00045732i,0.00036424-0.00084023i,0.00071847-0.001698i,0.00045806-0.0017271i,0.00043932-0.00075706i,0.00075077-0.00017081i,0.00058617-0.00029719i,0.00017848-0.00018421i,-0.0002178-0.00034954i,0.00022498-0.0005255i,0.0013223+0.00010814i,0.0015649+0.00034079i
0.0012988-0.00070221i,0.0010066-0.0012316i,0.00097739-0.0013516i,-0.00034767-0.00011695i,-0.0018444+0.0016721i,0.00097715+0.0034498i,0.0045483+0.0055616i,0.0047235+0.0074619i,0.0027569+0.0070946i,0.00067016+0.004499i,-0.00017605+0.00247i,-0.0005697+0.00091539i,-0.0017211-0.0015889i,-0.0025454-0.0026803i,-0.0017182-0.0015943i,-0.00012652-0.00046771i,0.00049968-0.00054983i,0.00053345-0.0010277i,0.0009145-0.00083622i,0.00016061-0.00024698i,-0.00012564-9.2753e-05i,0.00061359+0.00068341i,0.00019216+0.0010917i
0.00025885-0.00078497i,0.00085282-0.001535i,0.00057747-0.0026793i,-0.0011255-0.0017286i,-0.0023163+0.00035452i,0.00011204+0.0014882i,0.0047736+0.00024641i,0.0077124-0.0014259i,0.0082164-0.0010596i,0.0059653+0.00037946i,0.0032266+0.00065682i,0.0011859+0.00050042i,-0.00051992+0.00087552i,-0.0016021+0.0014977i,-0.0019706+0.0016865i,-0.0015629+0.00089715i,-0.00095671-0.0005923i,-0.00026654-0.0013182i,0.00027242-0.00099911i,0.00056826-0.00043891i,9.8825e-05-0.00019522i,-9.0836e-05-0.00029834i,-0.00030064-0.00019384i
-0.0016247+0.0014941i,-0.0022259+0.0013057i,-0.0021276+0.00056277i,-0.0018705-0.00037694i,-0.001688-0.0005081i,-0.0016496-0.00062881i,-0.0012769-0.0032212i,0.00011582-0.0071473i,0.0028648-0.0090417i,0.004333-0.0072083i,0.0037889-0.004076i,0.0025545-0.001451i,0.0011605+0.0010285i,0.00055307+0.0026065i,0.00031196+0.0028731i,-2.4925e-05+0.002111i,0.00046336+0.0012506i,0.00042291+0.00088115i,-0.00028374+0.00049167i,-0.00036112-0.0002834i,-6.7912e-05-0.0010269i,-3.599e-06-0.00067898i,-0.00050044-0.0005012i
-0.0014326-0.0022898i,-0.00035416-0.0015879i,0.00075611-0.001677i,0.00019766-0.0020215i,-0.0025306-0.0013302i,-0.0052677+0.00058277i,-0.0065179+0.0013952i,-0.006928-0.0020616i,-0.0059444-0.0061664i,-0.0036331-0.0062671i,-0.0024334-0.0040964i,-0.0014174-0.0016322i,0.00076655+0.00044038i,0.0026662+0.00097293i,0.0027252+0.0010849i,0.001884+0.001128i,0.0012778+0.00069234i,0.00070106+0.00025239i,0.00020985+0.00013598i,-0.00024387+0.00048833i,-0.0013453+0.00074488i,-0.0023009+0.00037317i,-0.0018642-5.4457e-05i
0.0019691-0.0034491i,0.0029146-0.0037938i,0.0014562-0.0036656i,-0.0016844-0.0011582i,-0.0042366+0.0027587i,-0.0053716+0.0060961i,-0.0052078+0.0082746i,-0.0059022+0.0076926i,-0.0059603+0.0055691i,-0.0042542+0.0032984i,-0.0026723+0.0013505i,-0.0016058+0.000489i,0.00020379-0.0006387i,0.001026-0.0015919i,0.00077945-0.0020387i,0.00068933-0.0015834i,0.00076172-0.00054934i,0.00099014+0.00013913i,0.00058389+0.00049932i,-0.00033474+0.00015778i,-0.00055676-9.4751e-05i,-0.0010838-0.00081066i,-0.0014106-0.00071749i
0.0010411+0.0013203i,0.0014239+0.0013345i,0.0023851+0.00061078i,0.0017525+0.00050909i,0.0016307+0.0030584i,0.0028733+0.0062648i,0.0039032+0.0080715i,0.0040148+0.010181i,0.0029834+0.010181i,0.0014606+0.0068373i,0.00082254+0.0032094i,0.0011077+0.0012043i,0.00044841-0.00045146i,-0.0018808-0.0018021i,-0.0028283-0.0021778i,-0.0015554-0.0015378i,-0.00023857-0.001228i,0.00015943-0.00072349i,0.00024756+0.00041717i,-6.9491e-06+0.00074544i,-0.00058486+0.00046277i,-0.00056379+4.6634e-05i,0.00047325+0.00064301i
9.5172e-05+0.0029727i,0.0002257+0.0036491i,0.0017534+0.0026773i,0.0024895+0.0018477i,0.0020014+0.0015214i,0.0027439+0.00054614i,0.0065084+0.00024635i,0.011009+0.0012792i,0.011743+0.0020319i,0.0085653+0.0016959i,0.0045692+0.0011283i,0.00070427+0.00051276i,-0.0016856+0.00043785i,-0.0025886+0.0013215i,-0.0022328+0.0015942i,-0.0017867+0.00093611i,-0.0012143+0.00027846i,-2.9888e-05+6.4416e-06i,0.00038986+0.00057547i,0.00048098+0.00068909i,0.00089776-0.00051318i,9.9621e-05-0.0014858i,-0.0007272-0.0013472i
-0.0028906-0.0020598i,-0.0032476-0.0021348i,-0.0024315-0.0020111i,-0.00091983-0.0017784i,-0.000921-0.0010087i,-0.0015774-0.0016295i,0.0002441-0.0057287i,0.003132-0.0094796i,0.0040952-0.0098069i,0.003423-0.0079601i,0.0016988-0.0051473i,0.00075347-0.0021658i,0.0006054+0.00021152i,0.00051138+0.0015666i,0.0017099+0.0020436i,0.0021742+0.0023198i,0.0015555+0.002412i,0.0010925+0.00080706i,0.00092501-0.00095356i,0.0010384-0.0011007i,0.0011742-0.0011264i,0.00053369-0.0014114i,-5.5374e-05-0.00059279i
-0.00014045-0.00055635i,-0.00050242-0.0016338i,-9.4983e-05-0.0012908i,-0.00054294-0.00018794i,-0.0029281+0.00018021i,-0.006372-0.00045551i,-0.008864-0.0013567i,-0.0095565-0.0037999i,-0.0081142-0.0062353i,-0.0054968-0.0060327i,-0.0027053-0.0044508i,-0.0010927-0.0022222i,-1.8699e-05-0.00023778i,0.0015277+0.0002772i,0.002367-2.0311e-05i,0.0023708+0.00010134i,0.0011125+0.00020831i,0.00011143-6.4235e-05i,-0.00022146-0.00037631i,-0.00039513-0.00087383i,-0.00025227-0.00066801i,-0.00014974-0.00074556i,8.3628e-06-0.00069255i
-0.00021393-0.0010182i,0.00010754-0.0010525i,-0.0018904-0.0014743i,-0.0024292+0.00023801i,-0.0028494+0.0043219i,-0.0050238+0.0073841i,-0.0071572+0.0091678i,-0.0089832+0.0092704i,-0.008597+0.0066006i,-0.0061055+0.0037772i,-0.0037923+0.0018013i,-0.0023079+0.00019699i,-0.00071861-0.0011739i,0.0009767-0.0021675i,0.0012792-0.0019695i,0.00027346-0.001129i,-1.5437e-05-0.00090085i,0.00019329-0.00059117i,-0.00017316-0.00060563i,-0.00077224-0.0010514i,-0.00062612-0.00067452i,-0.00033605-0.00022861i,1.4956e-05-0.00016455i
0.00022586+0.0020336i,0.00031337+0.0025713i,0.0001632+0.0018828i,0.0013166+0.0023385i,0.0023366+0.0042161i,0.0035992+0.0064433i,0.0053691+0.009751i,0.004959+0.011271i,0.0036356+0.0095182i,0.0027731+0.0068406i,0.002341+0.0038988i,0.001443+0.0015692i,4.5236e-05-0.0003679i,-0.00086883-0.000912i,-0.0012773+0.00014446i,-0.00045146+0.000469i,3.425e-05+0.00040138i,-0.00069934+0.00018188i,-0.00072561-0.00011874i,-0.0012975-0.0001676i,-0.0018075+0.00067536i,-0.00082353+0.0011026i,0.00013755+0.00016071i
-0.0036512+0.00075174i,-0.0032924+0.0019152i,-0.0019114+0.0020472i,-0.00052833+0.0018045i,0.001211+0.0023564i,0.0038557+0.0019416i,0.0081598+0.00023583i,0.011824-0.00035749i,0.011059+8.6897e-05i,0.0078382-0.00035847i,0.0046066-0.00075192i,0.0011189-0.00040013i,-0.000337-0.00058842i,-0.0015145+0.00026385i,-0.0029521+0.0012605i,-0.0023646+0.0010679i,-0.0012453+0.00064748i,-0.00038428+0.0002794i,0.00027077+0.00018262i,0.00012883+0.00073047i,-0.00030354+0.0010826i,-0.00022425+0.0011208i,0.0001289+0.0013699i
-0.0017899-0.00010098i,-0.0016234-0.0022655i,-0.0013373-0.0030506i,-0.00056473-0.0031293i,-0.0012294-0.0022862i,-0.0024612-0.0026904i,-0.0012252-0.0059406i,0.001015-0.0087046i,0.0025858-0.0087087i,0.002543-0.0067112i,0.0017516-0.0044679i,0.00053296-0.002615i,0.00051862-0.00061854i,0.0005247+0.0019246i,-0.00022988+0.0025923i,-0.00037246+0.0023427i,4.1521e-05+0.0018281i,0.0010448+0.00030293i,0.0015424-0.00040752i,0.0012111-0.00070954i,0.00083467-0.00083171i,0.0011378-0.00043522i,0.0012802-0.00070948i
0.0034154-0.0026695i,0.0011907-0.0036989i,-0.0015118-0.002707i,-0.0042835-0.0010715i,-0.0057842+0.00087817i,-0.0059623+0.002467i,-0.0062748+0.00083794i,-0.006256-0.0021959i,-0.0054002-0.0039302i,-0.0039871-0.0042463i,-0.0030517-0.0036396i,-0.002112-0.0018415i,-0.00042784+0.00075666i,0.0013354+0.0023377i,0.002884+0.0013299i,0.0030535+0.00049408i,0.0025618+0.00046535i,0.0016239+0.00060256i,0.00036232+0.00068709i,-0.0002685+0.00024819i,-9.6988e-05-0.00091256i,-0.00010893-0.0016547i,-0.00028762-0.00064239i
0.002761-0.0003886i,0.0034854-0.00080077i,0.0029095-0.0012555i,0.00059829-0.0010406i,-0.0030281+0.0012903i,-0.0052536+0.0051875i,-0.0059444+0.0080197i,-0.005814+0.0083431i,-0.0045985+0.0071627i,-0.0029236+0.0045935i,-0.0010024+0.0019012i,0.0004392+0.0012437i,0.0016337+0.00024859i,0.0024649-0.0017641i,0.0024409-0.0019319i,0.0019946-0.0016425i,0.0014133-0.0017969i,4.6231e-05-0.0017741i,-0.00082758-0.0010015i,-0.0010444-0.00096498i,-0.0010272-0.00090763i,-0.0010466-0.00056446i,-0.00061835-0.00093688i
-0.0027068-0.0016143i,-0.0028256+2.1367e-05i,-0.0030074+0.0014539i,-0.0022984+0.0029857i,-0.00037443+0.0046535i,0.0022064+0.0071058i,0.0041651+0.0092394i,0.0051209+0.0086321i,0.0051554+0.0065341i,0.0037993+0.0048046i,0.0028637+0.0032854i,0.0028986+0.0018952i,0.0018944+5.4943e-05i,0.0003513-0.0017156i,-0.00033357-0.0020973i,-0.00070466-0.0014553i,-0.0014014-0.00097288i,-0.0014261-0.00046965i,-0.0010755-0.00014876i,-0.0017527+0.00012446i,-0.0026949+0.00067928i,-0.0025478+0.00033776i,-0.0017754+0.00012457i
0.0025555+0.0011158i,0.0034899-0.0006787i,0.0058299-0.0027889i,0.0062164-0.0041296i,0.0046135-0.0036012i,0.0028619-0.0012888i,0.0047009-0.00019902i,0.0075343-0.00075305i,0.0075571-0.0017918i,0.0052093-0.0022619i,0.0033147-0.0019558i,0.0012204-0.00086851i,-0.0011485-0.00014955i,-0.0026541+0.00032749i,-0.003022+0.00076785i,-0.0023726+0.00074978i,-0.0010336+0.00090757i,0.00044297+0.0011462i,0.00074108+0.0012783i,0.00024377+0.0013861i,-0.00038207+0.0013413i,-1.9131e-05+0.0015521i,0.00012158+0.0017714i
0.0015008-0.00090042i,-0.00024389-0.0011774i,-0.0026225-0.0015921i,-0.0039266-0.00083845i,-0.003629+0.00015127i,-0.0018618-9.5235e-05i,-0.00038402-0.0032253i,-1.3163e-05-0.0066461i,-0.00057189-0.0074584i,-0.001252-0.0061975i,-0.0016245-0.0033838i,-0.0021791-0.001203i,-0.002986+0.0017798i,-0.0021535+0.004858i,-0.0005681+0.0051796i,0.00062867+0.0036628i,0.0018511+0.0017878i,0.0019334+0.00063298i,0.0013496-0.00031725i,0.0014263-0.00059473i,0.0013617-0.00038365i,0.00049189-5.9131e-05i,-0.00035799+0.0006236i
-0.002027+0.00058362i,-0.0019884+0.00042756i,-0.0031474-0.00010462i,-0.005719+8.18e-05i,-0.0073447+0.0013866i,-0.0058901+0.0019197i,-0.0062119+0.00044444i,-0.007806+0.00029087i,-0.0068707+0.00051014i,-0.0053107-0.00026546i,-0.0042426-5.8152e-05i,-0.0036049+0.0012674i,-0.0019151+0.0029459i,0.0005732+0.00322i,0.0018389+0.00226i,0.0019614+0.0018684i,0.0019962+0.00062826i,0.0016023-0.0010142i,0.0013618-0.0014631i,0.0013608-0.0012899i,0.0010504-0.0014041i,0.00067562-0.00088614i,-0.00048432-0.00016261i
0.00093176+0.0018997i,0.0010542+0.0022281i,0.0030055+0.0032692i,0.0037892+0.0044698i,0.00072169+0.0042082i,-0.0036586+0.004875i,-0.0055144+0.0075443i,-0.0043426+0.0077905i,-0.0019238+0.0062578i,-0.0015706+0.0037982i,-0.0023339+0.0018121i,-0.0015171+0.0011784i,0.0011372+0.00067791i,0.0029449-0.0004683i,0.0031863-0.0016058i,0.002265-0.0014464i,0.00052005-0.0014098i,-0.00079033-0.0023223i,-0.00054053-0.0018274i,0.00042968-0.0011423i,0.00037228-0.0015206i,-0.00012204-0.00058599i,-0.00051161+0.00041584i
0.0040832-0.0015691i,0.0045038-0.0044812i,0.0058635-0.0068751i,0.0057499-0.0061119i,0.0035116-0.0011926i,0.00052989+0.0048437i,0.0010888+0.0064077i,0.0038353+0.0050467i,0.0057385+0.0031277i,0.0044701+0.00049987i,0.0018384-0.00037242i,0.0010041-0.00028872i,0.0010845-0.0020343i,0.00055571-0.0036514i,-0.00050453-0.0029415i,-0.0013916-0.001497i,-0.0011597-0.00044347i,-0.00032016-0.00022463i,-1.1642e-05-0.00049323i,-0.00060509-0.0007456i,-0.0010973-0.00058952i,-0.00062585-0.00028149i,-0.00049758-0.00026658i
0.0015089+0.0011286i,0.00072715+0.0020323i,0.00053776+0.00056898i,0.0002256-0.0024254i,0.0015402-0.0029678i,0.0029032-0.0013781i,0.0050077-0.001173i,0.006169-0.00352i,0.004763-0.0063611i,0.0026645-0.0066613i,0.00094072-0.0045385i,-0.00059129-0.0038833i,-0.0022042-0.004331i,-0.0036128-0.0023128i,-0.0033807+0.0001965i,-0.0031247+0.00085331i,-0.0023185+0.0010032i,-0.00081682+0.00097179i,-0.00017684+0.00013165i,-0.00044564-0.00033293i,-3.0458e-05-0.00016664i,0.00024624+7.3617e-05i,-0.00042809+6.1522e-05i
-0.0019811+0.0022705i,-0.0027781+0.00021947i,-0.0048017-0.0014195i,-0.008009-0.001401i,-0.0086059-0.0013951i,-0.0046637-0.0023021i,-0.0012524-0.0034909i,-0.0016122-0.0048391i,-0.0029726-0.0050508i,-0.0022561-0.0037651i,-0.00090755-0.0034333i,-0.00084533-0.0029062i,-0.0022017-0.0008034i,-0.0025306+0.0021209i,-0.0012084+0.0045827i,-0.00033347+0.0034281i,-0.00034685+0.0016712i,-8.2598e-05+0.0014169i,-0.00011491+0.0011101i,0.00030306+0.00075195i,0.0012567+0.00041988i,0.00084678+3.0184e-05i,0.00016655-0.00033904i
-0.00017212+0.0035091i,0.0019569+0.0056927i,0.0052153+0.0061355i,0.0043282+0.0050377i,-0.00019872+0.0035857i,-0.0030628+0.0024794i,-0.0027074+0.0016707i,-0.0024389+0.001683i,-0.002544+0.0031477i,-0.0014117+0.0031495i,-6.8191e-05+0.00094606i,3.67e-07+0.000147i,0.00116+0.002302i,0.0028916+0.0049126i,0.0033686+0.0047028i,0.0034917+0.0029053i,0.0031287+0.0015512i,0.0017547+0.00013853i,0.00029776-0.00089854i,0.00030077-0.00077191i,0.00024525-0.00047309i,0.00034814-0.0006507i,0.00097094-5.1992e-05i
-0.00052872-0.004027i,-0.00077603-0.0054538i,-0.00083179-0.0046916i,-0.00082109-0.0002225i,-4.4428e-05+0.0041106i,0.00036659+0.0056004i,8.2583e-05+0.0063271i,0.0012422+0.0069026i,0.0039705+0.0060836i,0.0049093+0.0039438i,0.0040529+0.0019236i,0.0039803+0.0014681i,0.0054102+0.0013247i,0.0061281-0.00031504i,0.0050607-0.00082171i,0.0033188-0.00117i,0.0020496-0.0024934i,0.00077013-0.0022742i,0.00034533-0.0014582i,0.00079157-0.00058421i,-9.6698e-05+0.00013182i,-0.00062077+0.00042521i,-0.00057905+0.00011845i
0.0037224-0.0014112i,0.0041653-0.0012847i,0.0040103-0.0019417i,0.0037817-0.0040548i,0.0031674-0.0031116i,0.0021467+0.00082678i,0.0030049+0.002427i,0.0057068+0.00052505i,0.0068701-0.0016593i,0.0052223-0.0018426i,0.0020002-0.00029021i,0.0013348+0.00025378i,0.0018778-0.0013703i,0.00088703-0.0033713i,-0.00093284-0.0042409i,-0.0021618-0.0037247i,-0.0010714-0.0026012i,0.00040144-0.0017714i,0.00039281-0.001581i,-0.00025305-0.00090814i,-0.00019693-0.00021684i,8.3187e-05-0.00043792i,0.00020599-0.0008336i
0.00077976+0.0034183i,8.6602e-05+0.0027863i,-0.0026782+0.0019774i,-0.0047641-0.00068839i,-0.0026533-0.0019124i,0.00030098+0.00066324i,0.00025793+0.0010585i,0.00070115-0.0024797i,0.00094503-0.0052312i,1.3117e-05-0.004422i,-0.0011382-0.0014325i,-0.002741+0.00045821i,-0.004781-8.1733e-06i,-0.0054699-0.00015659i,-0.0054406-0.00029957i,-0.0040388-0.00098443i,-0.0014067-0.00063783i,-0.00049337-0.00027671i,-0.00066908-0.00010973i,-0.001136+0.00053701i,-0.0013631+0.00023676i,-0.00082783-0.00039002i,-0.00054287-0.00084421i
-0.0018733+0.0030341i,7.5554e-05+0.0034325i,-0.00023212+0.0011914i,-0.0038392-0.00050359i,-0.0075127+0.0010089i,-0.0070495+0.0026395i,-0.005419+0.0031099i,-0.0059415+0.0030969i,-0.0066875+0.0034741i,-0.0052354+0.0033316i,-0.0031536+0.0024273i,-0.0024253+0.001651i,-0.0030096+0.0022615i,-0.0024259+0.0035893i,-0.00097209+0.0035907i,0.00022628+0.0026775i,0.0015166+0.0014783i,0.0020355+0.00033894i,0.001345+0.00059911i,0.00053683+0.00047028i,-6.4184e-05-0.00078139i,-0.00037322-0.0011327i,-0.00082982-4.9501e-05i
-0.0030376+0.00034103i,-0.003681-0.00040032i,-0.0017826+0.0030947i,-0.0011119+0.0082518i,-0.0013217+0.0095592i,-0.0010333+0.0080143i,-0.00096968+0.0069257i,-0.00030325+0.0073327i,0.00077051+0.0076333i,0.00079793+0.0049302i,-0.00092183+0.0012528i,-0.0028218+0.00036228i,-0.0010162+0.0021957i,0.0018783+0.0027288i,0.0034192+0.0013284i,0.0035191+0.00085425i,0.0023984+0.00076358i,0.0020728+0.00031665i,0.0026158+0.00039447i,0.0017555+0.00024254i,0.00047647-0.001201i,0.00019331-0.0015399i,0.00036065-0.0008399i
0.0026629+0.0015592i,0.0031218-0.0012894i,0.0081171-0.0021527i,0.010331+8.7973e-05i,0.0075755+0.0022796i,0.0013079+0.0032284i,-0.0011071+0.0038278i,0.0026136+0.0037256i,0.0066248+0.0031487i,0.0070482-0.00010219i,0.0029201-0.0036881i,-0.00022364-0.003782i,0.00069463-0.0032202i,0.0018723-0.0031944i,0.0019455-0.0025522i,0.0016792-0.0014181i,0.0017603+0.00019324i,0.0015599+0.00094376i,0.00067836+0.0001676i,-0.00025669-0.00058753i,-0.00029137-0.00058208i,0.00060597-5.2497e-05i,0.00078829+8.891e-05i
-0.0089736-0.01696i,-0.012221-0.013197i,-0.021615-0.010362i,-0.02042-0.004853i,-0.013578+0.0051917i,-0.0030981+0.011282i,0.0022965+0.0045161i,0.0022249-0.0047727i,0.0020998-0.0089587i,0.0001857-0.007606i,0.0011634-0.0038892i,0.0043385-0.0030657i,0.0050244-0.0049846i,0.0041363-0.0062328i,0.0020534-0.0049989i,-0.00036746-0.0023254i,-0.0014543-0.00075219i,-0.00081837-4.5169e-05i,-0.00059303+0.0006568i,-0.0014459+0.00075205i,-0.0012788+0.0010227i,-0.00078811+0.0014948i,1.3725e-05+0.0013019i
-0.0052713-0.0018206i,-0.0062816+0.00039647i,-0.011027+0.00058825i,-0.014937-0.00074531i,-0.013613-0.00047951i,-0.0092512+0.00056134i,-0.0065343-0.00039312i,-0.006352-0.0035665i,-0.0065284-0.0065336i,-0.0047125-0.0053475i,-0.0012756-0.002255i,0.0018845-0.0015491i,0.001001-0.0024967i,-0.0018772-0.00090883i,-0.0024645+0.001905i,-0.0017099+0.0023036i,-0.00092009+0.0015725i,0.00018999+0.00092i,0.00058955+0.00063094i,0.00059995+0.00076164i,0.0010691+0.00010693i,0.0015698-0.00035904i,0.00053755+0.00042597i
