-0.0027085+0.0002391i,-0.0014819+0.001299i,-0.0030749+0.001855i,-0.0029043+0.0012789i,-0.0012796+0.0020745i,-0.00066046+0.0027222i,-0.00063155+0.0027941i,-8.6899e-05+0.0021653i,0.00084267+0.00076649i,0.00096539+1.5877e-05i,0.00030046-6.7804e-05i,0.00052537-0.00087091i,0.0010265-0.0011381i,0.0014378-0.00074543i,0.0018049-0.0011868i,0.0010848-0.0015976i,0.00034139-0.00051101i,-3.6687e-05+0.00033696i,0.00033326-0.00086786i,0.00052282-0.0013341i,0.00024806-0.00012543i,9.5542e-05+0.00055944i,9.0329e-05+2.3789e-05i
-0.0013618-6.6885e-05i,-0.003078+0.0012269i,-0.0039441+0.0019232i,-0.0027596+0.001917i,-0.001245+0.0018701i,-0.0013242+0.0029929i,-0.0021733+0.0031514i,-0.0016578+0.0014871i,-0.00076334-0.00018505i,-0.00096081-0.00045594i,-0.0019938+0.00077387i,-0.0039786+0.0016665i,-0.0036644+0.0025102i,-0.0010398+0.0028131i,5.6697e-05+0.00091395i,-0.00053075-0.0010074i,-0.00098559-0.0021021i,-0.0004865-0.0025233i,2.1613e-05-0.0022404i,9.7686e-05-0.0012817i,-0.00020522-0.00054829i,-0.00060961-0.00022342i,-0.00075675+0.00069178i
0.0023173+0.0040729i,0.0021687+0.0045068i,0.0019299+0.0031031i,0.00096172+0.0010879i,-6.8522e-05-0.00052806i,-0.00049197-0.00016179i,-0.0013988+0.0017174i,-0.0013708+0.0029568i,-0.00087493+0.0019565i,-0.001325-0.00015862i,-0.0027425-0.0022847i,-0.005058-0.0031362i,-0.004953-0.0021311i,-0.0021904-0.00069933i,0.00060046+1.184e-06i,0.0018754+3.7087e-05i,0.0020608+2.5746e-05i,0.0024439-9.8388e-05i,0.0018076-0.00015025i,0.00042032+0.00018938i,-0.00065491+0.00081839i,-0.00074175+0.0010548i,-0.00072759+0.00048845i
-0.0012988+0.0012805i,-0.0014429+0.0022613i,-0.0012566+0.0022871i,-5.604e-05+0.0011863i,0.0012648+0.0014741i,0.0010698+0.002425i,-0.00010595+0.0029127i,-0.00059619+0.0030499i,-8.3229e-05+0.002425i,0.0010949-9.956e-05i,0.0019626-0.0034023i,0.0017184-0.0051729i,0.00059814-0.0041783i,0.00023495-0.0015525i,0.00058213+0.00013238i,0.0012331+0.00077001i,0.0024645+0.001126i,0.0028659+0.00084107i,0.002078+0.00057846i,8.7962e-05+0.00085243i,-0.00069956+0.0010374i,-0.00033602+0.00057241i,-0.00024108-7.0349e-05i
-0.0013864-0.00014941i,-0.0023617-0.00098324i,-0.0023292-0.0017334i,-0.0021364-0.0022213i,-0.0029217-0.00087948i,-0.0029866+0.0014485i,-0.0025148+0.0025484i,-0.0013182+0.0027008i,0.00060544+0.0015805i,0.0019272-0.00021502i,0.0040905-0.0012287i,0.0056081-0.0022963i,0.0048084-0.0029113i,0.0025807-0.0011705i,0.0011299+0.0011533i,0.001155+0.0033781i,0.00073791+0.0039775i,0.00024338+0.0030843i,0.00017108+0.001769i,0.00014422+0.00033964i,-0.00011466-0.00044921i,-0.00048725-0.00045495i,-0.00031585-0.0004623i
-0.0026186-8.8509e-05i,-0.0024055+0.00037315i,-0.0017079+0.0012373i,-0.00012459+0.0018464i,-0.00055604+0.002554i,-0.001528+0.0022252i,-0.001723+0.0022377i,-0.00087784+0.0018045i,7.9136e-05+0.00099037i,0.0010614+0.00026584i,0.0027286+0.0017528i,0.0046131+0.0026764i,0.0046352+0.0010381i,0.0028184+0.0004716i,0.00075701+0.0020386i,-0.0010195+0.0023933i,-0.0017194+0.0015731i,-0.0019679+0.00056481i,-0.0016548+0.00022167i,-0.00049066+0.00050685i,0.00012449+0.00011819i,-0.00026708-0.00043619i,0.000347-0.00022779i
0.0053029+0.002205i,0.0054914+0.0019601i,0.0032212+0.0012967i,0.0015662+0.0010076i,0.0011587+0.00017953i,-0.00064799+0.00049786i,-0.0023056+0.0019728i,-0.0012297+0.0017174i,-8.1e-05+0.00043246i,3.0043e-05+0.00048249i,-0.00057952+0.0028259i,-0.0013013+0.0051183i,-0.00064721+0.0049123i,2.5262e-05+0.0035198i,-0.0010643+0.0019024i,-0.001777+0.00034015i,-0.0017973-0.00061852i,-0.0015255-0.00032296i,-0.0009944-0.00043851i,-0.0002041-0.0011827i,0.00048189-0.00058804i,-0.00022857+0.00027372i,-0.0010705-2.0662e-05i
0.0018644+0.0028676i,0.0030274+4.3132e-05i,0.0031335-0.00086964i,0.00096973-0.00028217i,-0.00063351-0.00049215i,-0.0014953+0.0002991i,-0.0018696+0.0010545i,-0.0013501+0.0012788i,-0.0006933+0.00047572i,-0.0012665-0.0003861i,-0.0036646+0.00041883i,-0.0058475+0.0015746i,-0.0047938+0.0020081i,-0.0025086+0.0023363i,-0.0017005+0.00064696i,-0.00085822-0.0013327i,-0.00047566-0.0020353i,-0.0007214-0.0023547i,-0.00092483-0.0018724i,-0.0011191-0.00078934i,-0.00045022+0.00016863i,-0.00051249+0.00040334i,-0.00064065-2.4931e-05i
-0.0015217+4.2302e-05i,-0.00072363+0.00058468i,-0.00065831-0.00025675i,-0.0012299-0.0016372i,-0.0015278-0.0012863i,-0.0023781-4.0035e-05i,-0.0022871+0.0012832i,-0.0014017+0.0021314i,-2.3092e-05+0.001276i,-0.00067112-0.00062548i,-0.0032185-0.0025991i,-0.0041757-0.0035933i,-0.0043207-0.0029208i,-0.003423-0.00075462i,-0.0010625+0.0005528i,0.0011655-0.00053676i,0.0023265-0.0016672i,0.0023236-0.0016441i,0.0015423-0.001371i,0.0012573-0.0013469i,0.00077502-0.0011055i,-0.00084435-0.00065495i,-0.0012975-0.00075256i
-0.0029484-0.00048267i,-0.0027822-0.00039993i,-0.0007896-0.00026786i,0.00054629+0.00032407i,-4.4833e-05+0.00088567i,-0.0010502+0.0021109i,-0.0010886+0.0023231i,-0.00063466+0.0017965i,0.00067665+0.00070672i,0.0020026-0.0014914i,0.0020944-0.0046921i,0.0020209-0.0067958i,0.00075349-0.0060435i,-0.00062671-0.0031651i,0.00073099-0.00064351i,0.0023988+0.00034676i,0.0026854+0.00067851i,0.002289+0.00082803i,0.0013018+0.0001454i,0.00065575-0.00051073i,0.0005064-0.0011885i,0.00060682-0.0011222i,0.00074235-0.00010796i
0.00078528+0.0016598i,0.0010137+0.00084455i,0.00063567+0.0019136i,2.1357e-05+0.0015785i,-0.00040323+0.0010628i,-0.0011012+0.0011884i,-0.0023045+0.0018327i,-0.0018236+0.0027438i,-0.00094228+0.0020358i,0.0010684+0.00022586i,0.0055768-0.0014808i,0.0082495-0.0020729i,0.0070129-0.002243i,0.0039589-0.0011569i,0.0015407+0.0011329i,0.00057978+0.0023023i,0.00044888+0.0020876i,0.0005747+0.0012419i,-0.00023835+0.00054057i,-0.001041+0.00011659i,-0.00036445-0.0007641i,0.00039858-0.0011729i,0.00071099-0.00063978i
0.0018349+4.8491e-05i,0.0036606-0.00063121i,0.0016354-0.00021863i,-0.00080934+0.00051071i,-0.00074897+0.0005454i,-0.0011847+0.00058583i,-0.0019608+0.00087499i,-0.0015609+0.00076763i,-9.6953e-05+0.00052716i,0.0011459+0.0012846i,0.0033689+0.003202i,0.0054848+0.0051103i,0.0058286+0.0051134i,0.0036113+0.0037586i,0.00029072+0.0024008i,-0.000896+0.0014929i,-0.00057067+0.0015397i,-0.00079079+0.0016051i,-0.00084969+0.00073953i,0.00020167+0.00023813i,0.00072125-0.0001701i,0.00044545-0.00057756i,0.00092605-5.5727e-05i
-0.0017327-0.00073784i,-0.0027829-0.00059911i,-0.0029283-0.00057702i,-0.001964-0.00059849i,-0.0013568-0.00025329i,-0.0021382-0.00010216i,-0.0024458+0.00048251i,-0.0016956+0.0012246i,-0.00046089+0.0014864i,-9.8945e-05+0.002227i,-0.0015349+0.0046152i,-0.00272+0.0064782i,-0.0022909+0.0058934i,-0.0009362+0.0037942i,-0.00028476+0.0022659i,-0.0016002+0.001162i,-0.0017696+0.00029643i,-0.0012945+0.0005138i,-0.00048735+0.00042944i,0.00096382+0.00032116i,0.0014129+0.00077193i,0.00039872+0.0012383i,-0.0015149+0.00044922i
-0.0034236+0.0049474i,-0.0021651+0.0069503i,5.7506e-05+0.0058725i,0.00038435+0.0028451i,3.9681e-05+0.0019887i,-0.00056356+0.0014217i,-0.0017306+0.00097684i,-0.0018587+0.0016721i,-0.0013957+0.0012418i,-0.0019578+0.0016481i,-0.0044033+0.00098132i,-0.0072672-0.00075349i,-0.0064632-7.2437e-05i,-0.0027488+0.00052692i,-0.00021378-0.00095232i,0.00055367-0.0015303i,-6.6792e-05-0.0018358i,-0.00070316-0.0021823i,-0.00032049-0.00091391i,-0.00027391+0.00039248i,-0.00016267+0.00047651i,-0.00043178+0.00036803i,-0.00044516-5.059e-05i
-0.00066765+0.00027998i,2.7719e-05-0.0002736i,0.00080948-1.8785e-05i,-6.318e-05+0.0013068i,-0.0020188+0.0015629i,-0.0025151+0.0014286i,-0.0019938+0.0020224i,-0.0010015+0.0027084i,0.00018347+0.0019148i,-0.00052507-0.00078372i,-0.0028622-0.0045446i,-0.0049428-0.0067473i,-0.0047624-0.0055752i,-0.0027249-0.0028384i,-0.00073692-0.00092859i,0.00033273-7.9157e-05i,-3.1291e-05+7.7387e-05i,-0.00037174-0.00040881i,-0.00044936-0.00060112i,-0.0004519-0.00084874i,0.0001121-0.00053183i,-0.00014475+4.9378e-05i,-0.00013325-0.00083133i
-0.0017886-0.0026888i,-0.0019617-0.0017089i,-0.0027863-7.624e-05i,-0.0037047+0.0014413i,-0.0028895+0.0018037i,-0.0017328+0.0019075i,-0.0022082+0.0022951i,-0.0022368+0.0021174i,-0.0014363+0.00093592i,0.00020287-0.0016966i,0.0033085-0.0048384i,0.0043095-0.00733i,0.002741-0.0065903i,0.001628-0.002998i,0.0022475-0.00035186i,0.0025811+0.00041847i,0.0018247+0.00049044i,0.0019181+0.00019916i,0.0015394-0.00032367i,0.00071644-0.00071662i,-0.00013035-0.00029997i,-0.00049541+0.00029135i,0.00061309+0.00057109i
0.001888-0.0027573i,0.00047149-0.001822i,-0.0017713-0.00087698i,-0.00075628-0.00080121i,-0.00024348-0.0004872i,-0.0017605+0.00076514i,-0.0018754+0.0017993i,-0.00071355+0.0012468i,0.00064642+0.00020857i,0.0030939+0.00019277i,0.0065576+0.0011388i,0.0083315+0.0009051i,0.0064391-0.00042268i,0.0032513-0.00041546i,0.0015208+0.00069755i,0.00034855+0.0024533i,1.6499e-05+0.0023078i,0.0012329+0.00043749i,0.0017546-0.00074184i,0.00060026-0.00087017i,-0.00058672-0.00052925i,-0.00095991-3.6386e-05i,-0.00026527+0.001064i
-0.00038357+0.0059413i,0.00092049+0.0062908i,0.0018366+0.0044185i,0.0016987+0.0014167i,0.00048771+0.00032734i,-0.0011966+0.00032537i,-0.0025376+0.00073616i,-0.0022149+0.0017026i,0.00078239+0.0023879i,0.0025733+0.004412i,0.0027579+0.0081336i,0.0036085+0.0091708i,0.0042282+0.005572i,0.002422+0.0015847i,0.00037007+3.958e-06i,-0.00050936-0.00018088i,-0.0010439+0.00072706i,-0.00018606+0.0015161i,0.00058087+0.00049278i,0.00041642-0.00032123i,7.8041e-05-0.00025455i,1.337e-05-0.00032718i,-0.00027425-0.00043093i
-0.0024444+0.0016982i,-0.0015907+0.0019216i,-0.0012979+0.0017664i,-0.0012423+0.0021238i,-0.0011404+0.0015117i,-0.002305+0.00041311i,-0.0031533+0.0010503i,-0.002177+0.0026775i,-0.00056547+0.0032256i,-0.0012045+0.0034059i,-0.0037397+0.0045308i,-0.0045539+0.0062199i,-0.0031136+0.0057249i,-0.00096463+0.0034605i,0.00038666+0.001691i,0.0003725+0.001028i,-0.00054701+0.0003986i,-0.0015367+0.00075725i,-0.0012302+0.001225i,-0.00062849+0.00087273i,-0.00032065+0.00052866i,0.00010216-0.00028652i,0.00025938-0.00058948i
-0.0020667-4.3501e-05i,-0.0015886-0.0006284i,-0.0023418+0.00063099i,-0.0019195+0.001601i,-0.0006962+0.0025694i,-0.00065503+0.002504i,-0.00099775+0.0021858i,-0.00099399+0.0022477i,-0.0014668+0.0012397i,-0.0030249-0.0010368i,-0.0056519-0.0031i,-0.0077389-0.003062i,-0.0063929-0.00069183i,-0.0029677+0.0015887i,-0.0001228+0.0019071i,0.0011648+0.0014641i,-0.00014432+0.00028323i,-0.001785-0.00079812i,-0.0014097-0.00072611i,-0.00012683+0.00022321i,0.00081888+0.00088634i,0.00058963+0.001129i,0.0003498+0.00075669i
0.0012574+0.00045234i,-1.7587e-05+0.0016801i,-0.00025417+0.0017688i,-0.0006674-7.7772e-05i,-0.0016394-0.0015117i,-0.0024759+0.00046045i,-0.0026097+0.003031i,-0.0015708+0.0023978i,-0.00078714-0.00053915i,-0.00081233-0.0052321i,-0.001055-0.0092966i,-0.0021303-0.0095393i,-0.0034433-0.0060794i,-0.0026797-0.0019449i,-0.0013265+0.00024514i,-0.00053853+0.00056814i,0.00074758-0.00095064i,0.00067634-0.0024591i,-0.0009426-0.0019738i,-0.0016768-0.00060376i,-0.000803+0.00054256i,0.00072339+0.00054223i,0.00083173-6.8845e-05i
-0.00098012+0.0053279i,0.0013411+0.0058506i,0.0022823+0.0044808i,0.00217+0.002249i,0.0013311+0.00090009i,-0.00056221-0.00013815i,-0.002163+0.00022145i,-0.0016704+0.0015527i,0.0001461+0.0011707i,0.0029146-0.00045069i,0.0059186-0.0023649i,0.006902-0.0038916i,0.0042407-0.0047269i,0.00049311-0.0043054i,-0.0012061-0.0022356i,-0.00026563+0.00020315i,0.0012062+0.0010148i,0.0016719-0.00025948i,0.0014206-0.0012316i,0.00084527-0.00056447i,-0.0002451+0.00022711i,-0.0010997+0.00071153i,-0.00098271+0.00086102i
-0.0026159+0.00038376i,-0.0027617+0.00017383i,-0.00084437+0.00020996i,0.0013695+0.00062137i,0.0012009+0.00061839i,-0.0013729+0.00088139i,-0.00286+0.0016644i,-0.0018011+0.0019318i,0.00084781+0.0012568i,0.0044678+0.0022362i,0.0072014+0.0044343i,0.0078005+0.0040591i,0.0058485+0.0015404i,0.0014761-0.00031585i,-0.001951-0.001215i,-0.001905-0.0014797i,-0.00059388-0.00072024i,0.001105+0.00033823i,0.0019786+0.00080785i,0.00098337+0.00066155i,-0.00010333-0.0001879i,-0.00068745-0.0012956i,-0.0008229-0.0012519i
0.00097884+0.0027248i,0.0014549+0.0030312i,0.00059443+0.003124i,-1.7586e-05+0.0018622i,-0.00041193+0.00060348i,-0.0022206+3.2067e-05i,-0.0031897+0.0015688i,-0.0024125+0.0035499i,-0.00015226+0.0042442i,0.001054+0.0052255i,0.00045596+0.0063137i,0.00095734+0.0059583i,0.0015916+0.0034688i,0.00083979+0.00010017i,-0.00034009-0.001738i,-0.00029511-0.0010823i,-8.3348e-05+0.00095187i,0.00034382+0.0022628i,0.00074498+0.0025542i,0.00054701+0.0017409i,0.00050641+5.1222e-05i,0.00059801-0.0010211i,0.00021641-0.0012475i
0.001909-0.00032399i,0.0022825+0.00099641i,0.0014647+0.00013361i,-0.00084474-0.0010298i,-0.0031354-0.00080411i,-0.0035819+0.0010812i,-0.0027312+0.0021591i,-0.0020493+0.0020835i,-0.0022348+0.0015409i,-0.004674+0.00092117i,-0.007443+0.0014431i,-0.0075816+0.0024255i,-0.0039266+0.0030073i,0.00075133+0.0027322i,0.0030585+0.0023316i,0.0023764+0.0013921i,-0.00022088+0.00088522i,-0.0017066+0.00088017i,-0.0016764+0.0011399i,-0.0010246+0.001122i,-0.00085903+6.3108e-05i,-0.00053852-0.00038104i,0.00034041-8.238e-05i
0.0028582+0.0025728i,0.0023545+0.00075628i,0.0010021-0.00058494i,0.00038681-0.0011413i,-3.6882e-05-0.00075026i,-0.0017082+0.00088339i,-0.002813+0.0022321i,-0.0027116+0.0018691i,-0.0030237-0.000966i,-0.0045668-0.0051944i,-0.0061768-0.0077061i,-0.0070741-0.0060493i,-0.0065968-0.0017624i,-0.0033954+0.0016826i,-0.00070226+0.0031709i,0.00064552+0.0030262i,0.00057229+0.00051777i,-0.0011905-0.0015658i,-0.0012646-0.0011614i,-0.00078514+7.1672e-05i,-0.00051018+0.000721i,0.00019056+0.0014227i,0.00026714+0.00084545i
-0.0016873+0.0053018i,-0.0016009+0.0046149i,-0.00034623+0.002489i,5.49e-05+0.0012855i,0.00013182+0.00079837i,-0.00031449+0.00068557i,-0.00090543+0.0015483i,-0.00066397+0.0011053i,-0.00021004-0.00083968i,0.0014671-0.0030498i,0.0033001-0.0056202i,0.0023708-0.0069798i,-0.00062895-0.0051843i,-0.0031803-0.0012955i,-0.00353+0.001731i,-0.001799+0.001492i,0.0005344-0.00074765i,0.0011484-0.0018032i,-5.0286e-05-0.00096544i,0.00032064+0.00017788i,0.00077564+0.00063266i,-0.00066136-0.00023954i,-0.0015204-0.00053723i
-0.0022011-0.00067578i,-0.0015094-0.00033308i,-0.00037167-0.0015418i,-0.0010931-0.0013198i,-0.0024121+0.00044979i,-0.0026749+0.0012402i,-0.0027788+0.001115i,-0.0008201+0.00089156i,0.0030287+0.00070562i,0.0063037+0.00073762i,0.009492+0.0005987i,0.0101-0.00071024i,0.0049476-0.0018475i,-0.0004871-0.00078935i,-0.0030284+1.3336e-05i,-0.0028633-2.6006e-05i,-0.00031003+7.4794e-05i,0.0015768-0.00023248i,0.0019628-0.00061662i,0.0013246-0.0013196i,0.00082185-0.0013716i,0.00032054-0.0007296i,0.00010791-0.0008522i
-0.0017785-0.0030747i,-0.0014472-0.0016663i,-0.0009819+0.00049375i,-0.00060742+0.0013863i,-0.0008717+0.0015929i,-0.0015583+0.0015607i,-0.0017846+0.001592i,-0.0016294+0.0015759i,7.3506e-05+0.0030929i,0.0021735+0.0056645i,0.0040272+0.0072014i,0.0053131+0.0050296i,0.0048306+0.0012659i,0.0023437-0.00082883i,0.00029937-0.001808i,0.00019693-0.0013398i,0.00086022+0.001247i,0.0018685+0.0022592i,0.0025641+0.00068587i,0.0022099-0.00069443i,0.0010555-0.00056159i,-0.00029362-0.00091535i,-0.00062673-0.0017813i
0.0048288-0.00066029i,0.002697-0.0011064i,-0.00052575-0.0015542i,-0.0025695-0.0013152i,-0.0035239-0.00018578i,-0.0044695+0.001274i,-0.0042325+0.0024242i,-0.0034735+0.0035958i,-0.0036902+0.0036736i,-0.0056179+0.0035981i,-0.0071459+0.004816i,-0.0052402+0.0055625i,-0.0012723+0.0050151i,0.0011832+0.0023832i,0.002789+0.0001826i,0.0027938-1.6512e-05i,0.00039744+0.00073597i,-0.00050891+0.0022119i,-0.00028136+0.0027381i,-0.00087094+0.0016661i,-0.00093189-0.00021737i,-0.00015397-0.00030817i,-8.9359e-05+0.00023208i
1.6915e-05+0.0044663i,-0.0021645+0.0050667i,-0.0032733+0.0044018i,-0.0009649+0.0036551i,-0.00052467+0.0036582i,-0.0018502+0.0025446i,-0.0023464+0.0017226i,-0.0017316+0.0018962i,-0.0029522+0.0008963i,-0.0060754-0.0016938i,-0.0086883-0.0027238i,-0.008191-0.00066582i,-0.0038075+0.0020462i,0.00044403+0.0024417i,0.0028841+0.0016869i,0.0024356+0.0015125i,-7.1447e-05+0.001212i,-0.0022918+0.00054196i,-0.0027602+0.00033478i,-0.002358+0.00037638i,-0.0013053+0.00019041i,0.00051634+5.395e-05i,0.0016838+0.00015238i
-0.0024004+0.0021113i,-0.0014938+0.001003i,-3.4081e-05-0.0011688i,0.00030452-0.0015283i,-0.00039566-0.00026831i,-0.00202+0.0014452i,-0.0034353+0.002013i,-0.0021844+0.00041655i,0.00049993-0.0027769i,0.001618-0.006563i,0.0011678-0.0085401i,-0.00062181-0.0069391i,-0.0021721-0.0029094i,-0.0016743+0.00085488i,-0.00094748+0.0027014i,-0.0010739+0.0019723i,-0.0010663-0.00040752i,-0.0015403-0.0012186i,-0.0019907-0.00042176i,-0.0012712-6.1248e-05i,-9.2049e-06+0.00030227i,0.00055279+0.00087914i,0.00032553+0.00088913i
-0.0029231-0.0013422i,-0.0013601-0.0015018i,-0.0003889-0.0003669i,-0.00061565+0.0014347i,-0.00070471+0.0021032i,-0.0017259+0.0016951i,-0.0028568+0.0016733i,-0.0015807+0.00093907i,0.0027243-0.00047929i,0.0074982-0.0013005i,0.0096475-0.0034894i,0.0075734-0.005348i,0.0028074-0.0040571i,-0.0010287-0.00092284i,-0.0026144+0.00044683i,-0.001915+0.00090426i,-0.00025797+0.00019922i,0.0010884-0.0017039i,0.00088806-0.0022154i,0.00049119-0.0012114i,-8.1054e-05-0.00022086i,-0.0014434+0.00053849i,-0.0013689+0.00074489i
0.0025867-0.0025352i,0.0019054-0.0033106i,5.5708e-05-0.0028802i,-0.00073492-0.0025057i,-0.00078936-0.00171i,-0.0025303+0.00051842i,-0.0038324+0.0027914i,-0.002353+0.0044001i,0.00097142+0.0048532i,0.0040886+0.005104i,0.0058835+0.0050146i,0.0056621+0.0016932i,0.0030521-0.0009086i,-5.4466e-05-0.00034096i,-0.00096229+0.00030245i,-0.00019165-0.0003914i,0.00090432-0.00021337i,0.0018645-0.00029708i,0.0013608-0.00074008i,0.00062206-0.00074738i,-9.449e-05-9.2653e-05i,-0.0012502+0.00014337i,-0.0014415-4.8882e-05i
0.0047356+0.003636i,0.0044081+0.0035331i,0.0035059+0.0028524i,0.0013421+0.0012747i,-0.001482-0.00062662i,-0.0030794-0.00048996i,-0.003128+0.0018668i,-0.0023595+0.0045028i,-0.0023031+0.0061317i,-0.0031218+0.0071143i,-0.0028967+0.0078959i,-0.00013796+0.0069335i,0.0017603+0.003441i,0.0017332+0.00051066i,0.00084389-0.00014145i,0.00023596-0.00071778i,0.0010927-0.00024657i,0.00093421+0.00089482i,-0.0003169+0.0015574i,-0.00056263+0.00093776i,0.0001374-0.00099852i,0.00093688-0.0020826i,0.00085274-0.0014091i
0.00087235+0.0042107i,4.058e-05+0.0035009i,-0.0018801+0.0021682i,-0.0018508+0.0018522i,-0.0018538+0.0022155i,-0.0023154+0.0019215i,-0.0019386+0.0028486i,-0.0015792+0.0035934i,-0.0031728+0.0024859i,-0.0067375+0.0015774i,-0.0086039+0.0024014i,-0.005772+0.0035577i,-0.0017397+0.0032886i,0.00040803+0.0017963i,0.0017673+0.001335i,0.0017625+0.00087152i,0.00053344+0.00046668i,-0.00038005+0.00095267i,-0.00041243+0.00046657i,0.00011597+0.000404i,0.0012668+0.00040227i,0.0012371-0.00030513i,-0.0001345-0.00058597i
-0.0066943+0.00032214i,-0.0059427+0.0014242i,-0.003845+0.0023289i,-0.0016767+0.0021698i,-0.00083653+0.0015268i,-0.0014682+0.00049479i,-0.0027526+0.0002313i,-0.0021694-0.00030779i,-0.00018169-0.0023833i,-0.00068363-0.0059147i,-0.0032172-0.0078644i,-0.0042918-0.0049606i,-0.0024381-0.00024969i,-0.00053431+0.0025425i,0.00018988+0.0032545i,0.00061165+0.0033294i,0.00085819+0.001779i,0.0013358-0.00023459i,0.0017854-0.00024843i,0.0011641+0.00074889i,0.00058215+0.0010879i,0.00029504+0.00083146i,-0.00072931-0.00037647i
-0.00056442-0.0012387i,-0.00066955+0.00014016i,-0.0017919-0.00011547i,-0.0021631-3.5235e-05i,-0.0021203+0.0018042i,-0.0022063+0.0028504i,-0.0018135+0.0018922i,-0.00033558+7.7764e-05i,0.0031438-0.0022691i,0.0065329-0.0047688i,0.0061848-0.0068489i,0.0026184-0.0069005i,-0.00067704-0.0039583i,-0.0017562-0.0010457i,-0.002219+0.0005083i,-0.0014518+0.0011882i,-0.00025016+0.00041364i,-2.1553e-06-0.00060875i,0.00033016-1.9251e-05i,-0.00014114+0.00075249i,-0.00028891+0.00026078i,0.00057404-0.00055131i,0.0004826-0.00093958i
0.0018211-0.00029759i,0.0020034-0.0013541i,0.0031513-0.0032967i,0.0024456-0.003584i,5.4391e-05-0.0021094i,-0.0026291+3.5899e-05i,-0.0041061+0.0014891i,-0.0029209+0.0021066i,0.00096315+0.0028353i,0.0054559+0.0030741i,0.0074339+0.00065633i,0.0051733-0.0024712i,0.00059655-0.0032036i,-0.0013169-0.0023708i,-0.0012664-0.0015591i,-0.0010759-0.00054487i,-0.00063903+0.00011655i,0.00049585+0.00070361i,0.00030123+0.0013614i,-0.00055331+0.0014477i,-0.00024169+0.0011697i,0.00063361-0.00017205i,0.0012965-0.00089365i
0.0032669-0.000132i,0.0012337+0.0011274i,-0.0024291+0.0018176i,-0.0026715+0.0017784i,-0.0010641+0.0021276i,-0.001452+0.0020894i,-0.0022649+0.0026871i,-0.0021116+0.0052299i,-0.0019818+0.0072566i,-0.0011539+0.0079631i,0.0013593+0.0075313i,0.0036767+0.004458i,0.0038529+0.00023771i,0.0027248-0.0016018i,0.0018229-0.0012668i,0.00086174-0.001351i,8.4957e-05-0.00064681i,-0.00093729+0.0011263i,-0.0018972+0.0014006i,-0.0013768+0.0011345i,-0.00011737+0.00046301i,0.0011196+0.00049037i,0.001912+0.00037959i
0.0032196+0.0034755i,0.0026893+0.002366i,0.0026053-0.00072383i,0.00044035-0.0031344i,-0.0027139-0.0030602i,-0.0043037-0.00096764i,-0.0046545+0.0019614i,-0.0049437+0.0032509i,-0.0055467+0.0028394i,-0.0073251+0.0034896i,-0.0064091+0.0054194i,-0.0017526+0.0054503i,0.0015305+0.0041378i,0.0025114+0.0039619i,0.0018666+0.0035144i,0.001498+0.0018188i,0.0011574+0.00079638i,-0.0011078+0.0006276i,-0.0027889-0.00029268i,-0.0018901-0.0014871i,-0.00071192-0.00091731i,-0.00032801+0.0004517i,-0.00048581+0.0013868i
0.00037105+0.00088247i,-0.0015755-0.00047921i,-0.0030014+0.00099791i,-0.0021847+0.0024432i,-0.0016901+0.0018919i,-0.0015076+0.001596i,-0.0013583+0.0021638i,-0.0011919+0.001611i,-0.0015039-0.0012643i,-0.0043291-0.0043476i,-0.0069761-0.0029177i,-0.0049586+0.00069243i,-0.0014848+0.0027249i,-0.00039912+0.0041563i,-0.00034618+0.0047779i,0.00025112+0.0025756i,0.00081015-0.00043344i,0.00023858-0.0019107i,-0.00020509-0.0025236i,0.00025304-0.0025167i,-9.319e-05-0.0013721i,-0.0013335-0.00026499i,-0.0027272+0.00027256i
-0.0020679+0.0055052i,-0.00090014+0.0044954i,-0.00085808+0.0010992i,-0.00087078+0.00058368i,-0.00071358+0.0015234i,-0.0016626+0.0020809i,-0.0023182+0.0025988i,-0.00041888+0.0012431i,0.0032346-0.0028904i,0.0048426-0.0071862i,0.0015296-0.0082649i,-0.0022504-0.0055494i,-0.0029422-0.0016831i,-0.0027464+0.0010546i,-0.0022594+0.0022133i,-0.0007142+0.0024085i,0.0010033+0.0013052i,0.0020316-0.00079137i,0.0019193-0.0013317i,0.001185-0.0016396i,0.00020767-0.0018913i,-0.00064502-0.0011137i,-0.00098713-0.00077877i
-0.0052044-0.0049539i,-0.0058391-0.00095104i,-0.0039813+0.0019217i,-0.0026234+0.0021596i,-0.0016858+0.002493i,-0.00091685+0.0033818i,-0.0018265+0.0031453i,-0.0011991+0.0026051i,0.0026093+0.0013999i,0.0072334-0.00097095i,0.0080048-0.0040017i,0.0044161-0.0049885i,-0.00039024-0.0035417i,-0.0019186-0.0013671i,-0.00050674+0.00055896i,0.00036382+0.0019221i,0.00049693+0.0025134i,0.0015959+0.0016561i,0.0026909-9.6159e-05i,0.0023212-0.00076553i,0.0017367-0.0010662i,0.0016516-0.0021303i,0.0011026-0.0022204i
