-0.000273+0.0013213i,0.00044457-0.00073349i,-0.00081564-0.00053804i,-0.0015346+0.00030896i,-0.0010842+0.0010495i,-0.00076275+0.00095297i,-0.0011173+0.00014247i,-0.0010683+0.00035436i,-0.00038668+0.00058914i,0.0002443+0.00043536i,-0.00042578+0.00031607i,-0.00060372+0.00091549i,-0.001233+0.0010269i,-0.0017349+0.00019171i,-0.0013691+3.835e-05i,-0.0008586-0.00032146i,0.00020602-0.000533i,-3.6728e-05+8.1008e-05i,-0.00070764+0.00036645i,3.2247e-05+0.00039914i,7.3934e-05+0.00063805i,0.00033064+0.00036661i,0.00080488+0.00016922i
0.00084747+0.0010268i,0.00057236-0.0005974i,4.1745e-05-0.0016139i,-0.00026984-0.0015369i,3.7259e-05-0.00065643i,-0.0006322-5.4908e-05i,-0.0014887-0.00048589i,-0.00048407-0.00088304i,0.00047279-0.00043984i,0.00056813+0.00035098i,0.00055816+0.00050319i,0.00025528+0.00028005i,-0.00019513+0.00043642i,-0.00071308+0.00083678i,-0.00088088+0.00031216i,-0.0011033-0.0003456i,-0.00089091-0.00065357i,-0.00089499-0.001084i,-0.00070531-0.0013762i,-0.0009026-0.00097352i,-0.0011657-0.00077906i,-0.00095541-0.00025348i,-0.00085421+0.00047837i
0.00028756-0.00043724i,0.0015519-0.001416i,0.00099375-0.0012135i,-0.00068996-0.00043247i,-0.00096578+0.00013371i,1.8332e-05-0.00047806i,0.00037155-0.0013835i,6.8698e-05-0.00094786i,-0.00022813-0.00038106i,4.9767e-05+0.00021068i,-0.0003588+0.00044335i,-0.0014727+0.00022387i,-0.0015899+0.00015594i,-0.0014422-0.00055739i,-0.00099926-0.0006717i,-0.00059781-0.00010722i,-0.00067062-0.00041714i,5.0748e-05-0.00069534i,0.00028913-0.00074356i,0.00010957-0.00027704i,-0.00022246+0.00093009i,-0.0002683+0.0018238i,0.00055688+0.0013532i
0.00023001+0.0020118i,-0.00037267+0.0004693i,-0.00035349-0.00080645i,0.00040864-0.0010543i,0.00068311-0.0002344i,0.0001432-0.00079408i,-0.00056215-0.0016207i,-0.00082435-0.0012334i,1.0501e-05-0.00025315i,0.0011166+0.0003914i,0.00083244+0.00030958i,0.00021064+1.8766e-05i,0.00049509+0.00013133i,-0.00029592-2.6864e-05i,-0.0015053-0.00033686i,-0.0011321-6.8975e-05i,-0.00083723-0.00020942i,-0.0014277-0.0011699i,-0.0021524-0.00054577i,-0.0017977+0.00080304i,-0.00062805+0.00066114i,0.00045395+0.00013483i,0.00077649+2.331e-05i
0.00045489-0.00082565i,0.0019237-0.00081112i,0.0014025+0.00016691i,0.00047406+0.0011585i,-0.00036634+0.00012834i,-0.00057218-0.00074986i,0.00013263-0.00094379i,1.7429e-05-0.0014097i,0.00057525-0.0013373i,0.001028-0.001399i,0.00045451-0.00072321i,-0.00034592+0.00058121i,-0.00034022+0.00074014i,1.3359e-05-0.00055143i,-0.0005627-0.001056i,-0.00079973-0.00043269i,-0.00017807-0.00054413i,0.00084065-0.00086664i,0.00054023-0.0010564i,-0.00014782-0.00096663i,-0.00043379-0.00032221i,-0.001274-2.6124e-05i,-0.00105-0.0003267i
0.00042827+0.0013736i,0.00057804-4.9603e-05i,-0.0001268-0.001439i,-0.00045227-0.0015376i,-0.00041377-0.00017334i,-0.00039684-0.00036384i,-0.0011158-0.0011333i,-0.0010702-0.00083067i,-0.00083253-0.00046946i,-0.0011459-0.00010603i,-0.00094425-0.00024421i,-0.00040135-6.5039e-05i,0.00034064-6.2541e-05i,-3.6658e-05+0.00017076i,-0.00081259+0.00055827i,-0.00042179+0.00012099i,-0.0010788-0.00027171i,-0.0017713-0.00053622i,-0.00099098-0.00040404i,-0.0004346+0.00047793i,-5.9548e-05+0.00086694i,0.00039994+0.00055539i,0.00051724-0.00029437i
0.0022934+0.0012032i,0.0023696+0.0010055i,0.0016008+0.00047559i,0.00037532-0.00042341i,-0.00066944-0.0010057i,-0.001655-0.00145i,-0.001704-0.0012424i,-0.0014106-0.00037457i,-0.0011404+0.00030117i,-0.00034729+0.00018082i,-0.00064303-0.00031182i,-0.00077673-0.00044426i,-0.00075704-0.00062349i,-0.00083315-0.00018142i,-0.00043589+0.00088281i,0.00016774+0.00067517i,-0.00025764+0.00048185i,-0.0012646+0.00036176i,-0.0013663-0.0001415i,-0.00072032-4.453e-05i,0.00027813+0.00027028i,0.00076204+0.0010058i,0.0003482+0.0012822i
0.0019474-0.00021633i,0.0026667+0.00011756i,0.0012885-0.00050293i,-5.7641e-05-0.0005452i,-0.00054644-0.00028379i,-0.00032458-0.00094538i,0.00014583-0.00066808i,-7.7614e-05-0.00041819i,-0.00032294-0.0012906i,-0.00072049-0.00092737i,-0.0010684-0.00046661i,-0.00096973-3.7205e-05i,-0.00065912+0.00013114i,-0.00020601-0.00042149i,-0.00023814-0.00059282i,-0.00010286-0.00050995i,0.0008204-0.00094275i,0.0010499-0.0012273i,0.00016669-0.00067086i,-0.00017874+7.1097e-06i,0.00020449+0.00028025i,0.00035378+0.00026508i,-0.00047739+0.00016726i
0.00084667-0.0014393i,0.0010551-0.0018082i,-0.00037193-0.0015742i,-0.0013451-0.00031401i,-0.0016491+0.00091992i,-0.00011196+0.00055182i,0.0011226-0.00022044i,0.00081071-0.00018113i,-5.865e-05-0.00029669i,-0.000684-0.00067188i,-0.00022247-0.00050764i,0.00010076+1.3056e-06i,0.00058191+0.00036699i,0.00052517+5.8564e-05i,0.0001117-0.00067477i,6.4237e-05-0.0013155i,-0.00025194-0.0013897i,-0.00020593-0.0012206i,2.0935e-05-0.00050297i,-0.0005335+0.00047295i,-0.00052405+0.0010447i,0.00025748+0.00073329i,0.0002402+0.00022686i
0.0020509+0.0017506i,0.0028287+0.00013363i,0.003137-0.00044078i,0.0018687-0.00036088i,1.7162e-05-0.0012744i,-0.0011073-0.0032111i,-0.00082519-0.0035933i,-1.7836e-05-0.0020375i,0.00032979+5.4741e-05i,0.000273+0.00087756i,-0.00022607+0.00065321i,-0.00065654+0.00032992i,-0.0010917-0.00041985i,-0.0013692-0.00056127i,-0.0010065+0.00059507i,-0.00067714+0.0010931i,-0.0010216+0.00069632i,-0.0011909+0.00012027i,-0.00058952+0.00032776i,-0.00077746+0.00088928i,-0.0014668+0.00082929i,-0.0011702+0.00054099i,-0.00025494+0.00012601i
0.0013136+0.00012082i,0.0012034+0.00088236i,-0.00034098-4.7172e-05i,-0.0014996-0.0011715i,-0.0010967-0.0010411i,-0.0005867-0.00041785i,-2.1045e-05-0.00033545i,-0.0002757-0.00086934i,-0.00075625-0.00092958i,-0.0003+5.9072e-05i,-0.00061534+0.00052334i,-0.00091035+0.00033076i,-0.00064087+0.00026628i,-0.00052689+0.00025115i,-0.00014501-0.00029051i,2.7523e-06+0.000209i,-0.00049766+0.00048991i,0.00011501+7.8275e-06i,3.3418e-05-0.00014266i,-0.00064175+0.00036992i,0.0001221+0.0015382i,0.00040585+0.00092998i,0.00055359-0.00020356i
0.0012593+5.564e-05i,0.00027591-0.00014296i,0.00012555-0.0011786i,-0.00037489-0.0012185i,-0.00092753-0.00069223i,-0.0015633-0.0012059i,-0.00043147-0.0004216i,0.0009296+0.0010247i,0.00069989+0.00075754i,0.00049305+0.00049118i,0.00088839+0.00069432i,0.00033914+0.00018077i,-0.00031431-0.00038731i,0.00045666-2.5546e-05i,0.00072214-0.00038181i,-0.00041643-0.00036545i,-0.0008849-0.00017671i,-0.00077775+0.00010866i,-0.00065397+8.0506e-05i,-0.00010976+0.00010226i,-0.00030797+0.00052497i,-0.00073701+0.00041357i,-0.00016668-0.0001976i
0.0014028-0.00022265i,0.002801-0.0016565i,0.0025542-0.0020132i,0.00054733-0.00084488i,-0.00093815-0.00039493i,-0.001019-0.00087078i,-0.00024563-0.0011449i,-0.00020072-0.00079776i,-0.00024601-0.00044873i,0.00023179-0.00021303i,0.00035761+6.8862e-05i,0.00018815+0.00015248i,-0.00029217+0.0002443i,-0.0008764-0.00018296i,-0.001101-0.00044158i,-0.0010079+0.00015033i,-0.00084095+0.00056163i,3.1868e-05+0.00094406i,0.00050976+0.001144i,-0.00034061+0.00075828i,-0.00050368+0.00083988i,-0.00035322+0.00094279i,-0.00049404+0.00030128i
-0.00090136+0.00066019i,0.00012263+0.00038217i,-0.00015217+0.00080933i,-0.00050063+0.00099289i,-0.00013176+0.00069007i,-0.00045836-0.00012562i,-0.00075284-0.0011394i,-0.00028858-0.0013048i,7.2291e-05-0.00087139i,0.00036846+3.2212e-05i,0.00031841+8.8067e-05i,-0.00010164-0.00028822i,-0.00026905+0.00050196i,-7.2086e-05-0.00014513i,-0.00013288-0.00087998i,-0.00059191+0.00022241i,-0.00064374+0.00049371i,-0.00079801+0.00011537i,-0.00085989+0.00095383i,-0.00054643+0.0014105i,-0.00044721+0.001224i,-0.00041926+0.0012163i,-0.00042269+0.00053931i
0.00016917+0.00064655i,-0.00024579-0.00085035i,-0.00020587-0.0010134i,-0.00012842-2.6437e-05i,-2.6457e-05+0.00052974i,9.9628e-06-0.00083983i,-0.00027018-0.0019523i,-0.00069879-0.0016073i,-0.00065894-0.0010836i,-0.00013472-0.0012185i,-0.00036235-0.00068206i,-0.0013311-0.00011547i,-0.0011946-8.3517e-05i,-0.0010949+0.00018324i,-0.001154+0.00026055i,-0.00038938-0.00068051i,0.00013162-0.0010954i,-0.00022249-0.00045953i,-0.00014532-0.00028012i,0.00023308+0.00056873i,0.00021645+0.00098584i,0.00018347+0.00046147i,0.00023333+0.0003974i
0.00073925+0.001938i,0.0010412+0.00016077i,0.0020535-0.0005534i,0.00204-0.00065799i,0.0012476-0.0012093i,-0.0007116-0.0010027i,-0.0022679-9.6246e-05i,-0.0019316+6.4624e-05i,-0.0010181+0.0001401i,-0.00015298-0.00018586i,-0.00038401-0.00097562i,-0.00068202-0.00089263i,-0.00024952-0.00048797i,-0.00027632-0.00022299i,-0.00030193-0.00026602i,0.00029454+0.00022141i,0.00047207+0.0001681i,-0.00053169-0.00031501i,-0.0013149-0.00072572i,-0.0012676-0.00072243i,-0.0012416-0.00012453i,-0.00017639+4.3481e-05i,0.00065644-0.00044928i
0.0011318-0.00010867i,0.0021018+0.00029312i,0.0010614+0.0014221i,7.639e-05+0.0015854i,0.00054693+0.00036249i,0.00051386-0.001461i,-0.00057342-0.001903i,-0.00045446-0.00078586i,0.00039183+0.00077166i,0.00047275+0.0011481i,0.00039213+6.3683e-05i,4.324e-05-0.00064005i,0.00025394-0.00042703i,0.00045269-9.6743e-05i,0.00087878-0.00021781i,0.00082751-0.00021903i,-0.00035184-0.00034759i,-0.00056841-0.00052745i,-0.00057896-0.00016941i,-0.001+0.00028719i,-6.7804e-05+0.00050521i,0.00052837+0.00093206i,9.2434e-05+0.0010325i
0.00039057+0.00014i,4.853e-05-0.00050822i,-0.00051342-0.0011338i,-0.00015199-0.001388i,0.00011107-0.0013937i,-0.00073428-0.0015931i,-0.00089964-0.0011844i,0.00021037-0.00057807i,0.00083128-0.00082384i,0.00069079-0.00097266i,0.0003213-0.00064105i,-9.8657e-05-0.00023005i,-6.1955e-05-5.8831e-05i,-0.00023968+0.00025623i,-0.00033137-0.00026724i,-3.0886e-05-0.00068i,-0.00040466-0.00087625i,-0.00045736-0.0012271i,-0.00025487-0.00078876i,-0.00058422+0.0001416i,-0.00013952+0.0005338i,4.3644e-06+0.00069213i,-0.00068861+0.00064108i
0.00064131-0.00045212i,0.00090249-0.0011003i,0.00086078-0.0006174i,0.0008602+8.8727e-05i,0.00036112-0.00080126i,0.00018644-0.0013033i,-0.00070249-0.0011842i,-0.0012196-0.0010767i,-0.00049391-0.0007463i,5.2743e-05-1.1183e-05i,-6.308e-05+1.4767e-05i,-0.00054889-0.00077479i,-0.00076871-0.00054898i,-0.00033659-1.3998e-05i,-0.00031021-0.00061046i,-0.00083811-0.00032975i,-0.00071424+0.00072268i,-0.00073942+0.00059322i,-0.00057973+0.00021194i,0.00017512-0.00035692i,1.9574e-05-0.00080069i,-0.00029185-0.00049625i,6.687e-05+0.00010507i
0.0022025+0.0005734i,0.0015635+7.4877e-05i,0.0012656+0.00039919i,0.0010838+0.00067634i,-7.9543e-05+0.00048857i,-0.0014007+0.00045615i,-0.0012164+0.00083205i,-0.00055856+0.0006563i,-0.0001795+0.00059842i,-7.4109e-05+3.1466e-05i,0.00052677-0.00035763i,0.00017229-0.0004995i,-0.00032676-0.00062692i,-0.00082766-0.00083976i,-0.00053865-0.00036543i,-0.00013933+9.3254e-05i,-0.00077358-0.00058676i,-0.00099907-0.00069626i,0.00013968-0.00016965i,7.7587e-05+0.00023368i,-0.00096413+0.00067927i,-0.00046183+0.00033139i,0.00069776-0.00024461i
0.00075846-0.0016913i,0.0011563-0.0027238i,0.00023789-0.0025571i,-0.00092889-0.0011582i,-0.00086904-0.00035274i,-0.00055208-0.00035693i,-0.00074095-0.00068382i,-0.00048179-0.00092745i,-0.00023755-0.00073043i,-0.00017115-0.00068581i,-0.00035871-0.00060152i,-0.00067911-2.2497e-05i,-0.000789+0.00028755i,-0.0005535+9.0706e-05i,-0.00027788-0.00028529i,-0.00063916-0.00046767i,-0.00027571-0.00022877i,0.00044042+0.00079824i,0.00091643+0.0012884i,0.0011987+0.0010532i,0.00041705+0.0010095i,-0.00018823+0.0010858i,0.00024485+0.0010961i
0.00038509+5.6505e-05i,0.000407+0.00048978i,-0.0001481-0.00018784i,-0.00069884-0.00012275i,-0.0012862-0.00047061i,-0.00035352-0.00098751i,7.1863e-05-0.0013159i,-0.00012528-0.00097717i,-0.0002063-4.5109e-05i,-0.00026634+0.00063795i,8.2001e-05+0.00099686i,0.00039105+0.00069551i,1.4055e-05-0.00064471i,-0.00021716-0.00081056i,6.7425e-05-0.00013479i,0.00015962+0.00013364i,-0.00055306+0.00078568i,-0.00089128+0.00085991i,-0.00052571+2.5595e-06i,-0.00047257-0.00058725i,-4.1116e-05+0.0002065i,-0.00043717+0.0010355i,-0.00046683+0.00051842i
-1.0455e-05+0.00011817i,0.00048226-0.00079378i,0.00082989-0.00023335i,0.0010436+0.00098927i,0.00038753+0.00085386i,-0.00020996+5.7562e-05i,3.9666e-06+0.00013316i,0.00031578+0.00044561i,0.00045852+0.00030065i,0.00083676-0.00035545i,0.00020644-0.00019185i,-0.00051967-7.3669e-05i,-0.00044409-0.00022909i,0.0003147-9.1646e-05i,0.00064388-1.4077e-05i,-0.00038949+0.00031283i,-0.0011857+0.00047283i,-0.00045646+0.00029003i,-0.00017035+0.00058281i,-0.00083882+0.00047373i,-0.00060169+0.00064844i,-0.00058745+0.0011669i,-0.00044842+0.0012124i
0.0039306+0.001758i,0.0021932-0.0009266i,0.00055433-0.0029205i,-0.00029704-0.0023593i,-0.00047665-0.0021654i,-0.00087382-0.0022888i,-0.0012732-0.00073166i,-0.0014565+0.00063563i,-0.00042036-0.0002464i,0.00054269-0.0013579i,0.00021955-0.00096094i,-0.00040658-3.7304e-05i,-0.00039034+0.0001181i,7.963e-05+0.00045844i,0.00022597+0.00045952i,4.4586e-05+0.00042416i,0.00034145+0.00035138i,0.00062603-0.00026561i,2.6289e-06-0.00057569i,-0.00043951-0.00032986i,-0.00052947+0.00057037i,-0.00032594+0.0015522i,0.00019053+0.0011851i
0.0015327-0.00040001i,0.0021288-0.00076018i,0.00094252-0.0008316i,-0.00038613-0.00025612i,0.0001334-0.0005757i,0.00053901-0.00088191i,0.00079549-0.00051142i,0.0013551-0.00020182i,0.00095763-7.5623e-05i,0.0002685-0.00039859i,-0.00013552-0.0010396i,-0.00015259-0.00030685i,0.00010151+0.00089621i,0.00026429+0.00012605i,-0.0003402-0.00093838i,0.00027722-0.00053429i,0.00070793+0.00045141i,0.00028095+0.00085165i,1.5329e-05+0.00056696i,-0.00019921-2.6869e-05i,5.4071e-05-0.00026582i,3.7803e-05+0.00039971i,3.3156e-05+0.00085715i
0.0015771+0.00022072i,0.0015204-0.00051789i,0.00050411-0.00079957i,-0.00055027-0.00032098i,-0.001434-0.00018308i,-0.0017855-0.00090307i,-0.0014525-0.0014945i,-0.00051389-0.0012001i,-0.00028985-0.0013011i,-0.00013687-0.0014895i,-0.00017582-0.00079672i,3.8837e-05+0.00043739i,0.00043077+0.00040797i,0.0004778-0.00023971i,0.00056002-1.6226e-05i,-0.00010432+0.00018057i,-0.00026978+0.0003307i,-0.00049054+5.6507e-05i,-0.00058994+0.0001842i,-0.00044451+0.0007199i,-0.00039175+0.00084645i,0.00024169+0.00097909i,0.00067151+0.00067335i
-0.00077592+7.4105e-06i,-0.00018833-0.0010213i,0.00046862-0.001458i,0.0003193-0.00065649i,2.9205e-05-0.00022989i,0.0004671-0.0014184i,0.00031718-0.0022398i,1.0588e-06-0.0021781i,0.00014193-0.0016993i,-0.00017561-0.00054552i,-0.00063022-6.8425e-05i,-0.00060711-0.00075157i,-0.00075389-0.0010006i,-0.0012235-0.00050098i,-0.0012123-0.00038144i,-0.00086027-0.00044491i,-0.0012311+0.00035657i,-0.001407+0.00030013i,-0.00072786+0.00050379i,-0.00022533+0.0010674i,-0.00024379+0.0011111i,-0.00020153+0.00073422i,0.00017783+7.7448e-05i
0.00037143+0.00021988i,0.00017264+0.00015046i,-0.00026673-0.00090113i,0.0002435-0.00046941i,0.00074334+0.00021491i,0.00040288-0.00059053i,0.00026287-0.0016303i,-0.00025632-0.00061439i,-0.00087192+0.00079029i,-0.0012456+0.00048399i,-0.0011614+3.3689e-05i,-0.00065948+5.0006e-05i,-0.00027603+3.3296e-05i,-0.00098059-0.00033331i,-0.0016182-0.0002092i,-0.00065895+0.00022346i,8.4226e-05+0.00042989i,-0.00022417+0.00058546i,-0.00064068+0.00050151i,-0.00061542+0.00046262i,-1.1937e-05+0.00085508i,-0.0001076+0.0008851i,-0.00037776+0.00048071i
0.002216+0.00028574i,0.0030222-9.9005e-06i,0.0025276-0.0011733i,0.00097497-0.00082877i,-0.00043104+0.00078142i,-0.00031411+0.0001035i,0.00028829-0.0013728i,0.0002559-0.00055007i,0.00036718+0.0011073i,0.00055682+0.0015255i,-0.0002102+0.0014906i,-0.00096651+0.0010046i,-0.001035+0.00029572i,-0.00089701-0.00026658i,-0.0005037+0.00010811i,-0.00031736+0.00077775i,-0.00077564+0.00061065i,-0.0010746-3.5561e-05i,7.2334e-05-0.00065359i,0.00062536-0.00025599i,0.00046393+0.00040145i,0.00034013+0.00033928i,0.00014715+0.00012139i
-0.00091243+0.00033051i,-5.4161e-05+0.00010252i,-0.00071006+0.00054408i,-0.0014243+0.0010336i,-0.0011518+0.0011787i,-0.00012202+0.00018411i,-0.00021059-0.00098979i,6.3034e-05-0.00084144i,0.00050221+5.1906e-05i,0.00035631-9.7418e-05i,0.00075609-0.00017414i,0.00079474+0.00021386i,0.00012892-0.00023937i,-0.00041911-0.001032i,-0.0010806-0.0010655i,-0.0013878-0.00076276i,-0.00049975-0.0001525i,-7.2646e-05-0.00020979i,-0.00024423-0.0011787i,-0.00057363-0.00079022i,-0.00089626+0.000573i,-0.00093357+0.0011598i,-0.00022912+0.00047967i
-0.00095364-0.0012809i,-0.00013582-0.0014413i,0.00085532-0.0014576i,0.00036328-0.00092474i,-0.00017877+0.00026834i,-0.0003471-0.00024421i,-6.0206e-05-0.0015034i,-0.00032342-0.0015204i,-0.00048946-0.0010161i,-0.00015515-0.0008393i,-0.00030102-0.00076876i,-0.00030247-0.00057612i,-0.00033567-0.00018228i,-0.00066435+0.00074682i,-0.0010925+0.00129i,-0.0012068+0.0007065i,-0.00064428-0.00020598i,0.00014729-0.00051949i,0.00021814-0.00056177i,0.000415-0.0009291i,0.00036583-0.00055505i,-0.00088954-4.7634e-05i,-0.0011736-0.00037142i
0.0022213-0.00053918i,0.0015316-0.00068494i,0.00084499-0.00089992i,0.00023207-0.00084428i,-0.00095074-0.00089692i,-0.001761-0.00074713i,-0.0015705-0.00041921i,-0.0010037+0.00013737i,-0.000471+0.00054856i,-0.0011941+2.5936e-05i,-0.0017009-0.00025708i,-0.0011229+0.00017973i,-0.00043865+0.00034423i,-0.00033331+5.1585e-06i,-0.00031326+0.00013197i,-0.00038374+0.0003746i,-0.00053842+0.00027065i,-0.00025299-0.00036627i,0.00028673-4.2414e-05i,0.00011165+0.00060987i,1.743e-06+0.00031553i,5.6334e-05+0.00022562i,-0.0003659+2.0552e-05i
0.0018533+0.00067367i,0.001539-0.0011194i,0.0010409-0.0018771i,-0.00016484-0.00080169i,-0.00074663-0.00067211i,-0.00041003-0.0012738i,-0.00016774-0.0015507i,-0.001067-0.0010702i,-0.0016771-2.9057e-05i,-0.0012432+0.0007434i,-0.00076889+0.0005359i,-0.000585+0.00014947i,-0.00031168-4.1191e-05i,-3.382e-05+0.00014163i,-0.00025242+0.00024472i,-0.00033631+0.00036756i,3.6573e-05-0.00017731i,0.00021871-0.00041233i,-0.00011155-0.00022603i,-0.00013606+0.00057517i,-0.00057219+0.0012678i,-0.00059681+0.00069269i,-0.00036845-0.00050026i
0.00020548+0.0015099i,0.00039979+0.00048747i,-0.00036618-0.00095009i,-0.0012627-0.00095437i,-0.0011044-0.001633i,-0.0011739-0.0027133i,-0.00099049-0.0014927i,-9.6954e-05+5.7621e-05i,0.0013225+0.00089848i,0.002467+0.0017666i,0.0018718+0.0016942i,0.0010831+0.00033888i,0.00031651-0.00062396i,-0.00079459-0.00057992i,-0.00088928-0.00037117i,-0.00066154-8.9042e-05i,-0.00082203+0.00030227i,-0.00087741+0.00047213i,-0.00078778-0.00024973i,-0.00031801-0.00030719i,1.8809e-05+0.00059842i,9.6806e-05+0.00067834i,-4.3457e-05-0.00026591i
0.0011513-0.00065115i,0.0011473-0.0012018i,0.00068061-0.0015946i,-0.00025421-0.0002882i,-0.00039256+0.00039458i,0.00040198-0.00083867i,0.00047729-0.002259i,0.0007453-0.0019514i,0.00093431-0.0011343i,0.0010789-0.0013979i,0.00023571-0.0016374i,-0.0005417-0.0011659i,-0.00057142-2.9e-05i,-0.0005617+0.00022108i,-3.6367e-05-0.0005334i,0.00022623-0.00016668i,-0.00023276+0.00034434i,-0.0008947+0.00027288i,-0.0012868+0.00020035i,-0.00050721+7.1785e-05i,-8.4491e-05+9.1296e-05i,-0.00046596+0.00051914i,-0.00068481+0.00036327i
0.0025037+8.0134e-05i,0.0022087+9.2912e-05i,0.0011415-0.00064713i,-0.00065947-0.00063718i,-0.0012399-3.6272e-05i,-0.0015444+0.00020588i,-0.00087185+0.0001135i,-9.511e-05-0.00059722i,0.00033511-0.0021787i,0.00027486-0.0028003i,-8.0292e-05-0.0024289i,-0.00015867-0.0020282i,-0.00051182-0.0013713i,-0.00070068-0.00094851i,-0.00047991-0.00017833i,-0.00037243+0.00054062i,-0.00039251-4.2465e-05i,-0.00080701-0.00011596i,-0.001206+0.00058546i,-0.0011881+0.00076923i,-0.00097114+0.00047911i,-0.0012108+0.00030437i,-0.0012247+0.00030046i
-0.0019427-0.0014833i,-0.0015333-0.0011783i,-0.0016627-0.00046267i,-0.0012806+0.0008332i,-0.00013906+0.00072267i,0.0011077-0.001039i,0.00036839-0.0016083i,-0.0017711-0.0015902i,-0.0022835-0.000646i,-0.0025339+0.00060728i,-0.0023271+0.00056493i,-0.00050992+0.00019963i,0.0010784+0.00013722i,0.0010865-0.00084732i,8.0941e-05-0.0011105i,-0.00068329-0.00067068i,-0.00031376-0.0001633i,-9.3878e-05+0.00015686i,-0.00040221-0.00024845i,-0.00034118-5.1959e-05i,0.00048429+6.3175e-05i,0.0011027+0.00022139i,0.00089921+0.00047064i
0.00026185+0.00077586i,-0.00026031-0.0010904i,-0.00076748-0.0021249i,-0.00099878-0.0011938i,-0.00056332+0.00019823i,-0.0002303+1.651e-05i,-0.00020549-0.00056993i,-0.00046956+0.0003111i,-0.0006804+0.0016082i,-0.00030704+0.0026858i,-0.00048657+0.0015989i,-0.00056097+9.0841e-05i,-0.0003762-0.00023333i,-0.000707-0.00017536i,-0.0013501-0.00033596i,-0.00057545-0.00015526i,0.00025725+0.00018186i,0.00054171-0.00030514i,0.00041755-0.0005734i,-0.00016424-0.00016261i,-0.00041403+0.00040413i,-0.00028431+0.00030278i,0.0002458+0.00047248i
-8.377e-05+0.00059807i,0.0008366-0.00032701i,0.0010872-0.0004076i,2.2344e-06+0.0011008i,-0.0010982+0.0021743i,-0.00076758+0.00091876i,0.00039987-0.00079972i,0.00095053-0.00056606i,0.0017496+0.0002658i,0.0026824+0.00036109i,0.0017519-0.0001964i,-0.00010218+7.9151e-05i,-0.00133+0.00025709i,-0.001546-0.00013275i,-0.0010485+0.00059045i,0.0001329+0.00077296i,0.0006628+0.00012091i,0.00025087-2.1451e-05i,0.00023707-7.3123e-05i,0.0005463+0.00012323i,4.162e-05-0.00050903i,-0.00054048-0.00021906i,-0.00076724+0.0002422i
0.00071763-0.00087659i,0.0010033+0.00029675i,-0.00021255-0.00062723i,-0.0015756-0.00067574i,-0.001563+0.00022081i,-0.00072419+0.00050525i,0.00068081-0.00056419i,0.001511-0.0011242i,0.001622-0.0013629i,0.0010671-0.0021033i,0.00042896-0.0017484i,0.00049545-0.0004348i,2.4405e-05+0.00038519i,0.00013694-0.00057259i,0.0002872-0.0006903i,0.00012469+0.00026505i,-0.00051947+0.00053568i,-0.0011458+0.00052642i,-0.0017024+0.00068751i,-0.0013354+0.00024219i,8.2085e-06+0.00024735i,0.00025013+0.00084114i,-0.00084877+0.00070134i
0.00090889-0.0014858i,0.00081515-0.0020503i,4.6267e-06-0.0020939i,-0.0018435-0.0013053i,-0.0015992-0.0013244i,-0.00050029-0.001776i,-0.00045776-0.0022538i,-0.00096027-0.0024039i,-0.0019996-0.0030041i,-0.0025323-0.0027013i,-0.0014507-0.0019244i,-0.00049496-0.0013225i,3.5761e-05-0.0005165i,0.00029614-0.00016106i,1.9395e-05-0.0008073i,-6.1242e-05-0.00058498i,-0.00024784-0.00013594i,-0.00032332-0.00021151i,-0.00060822+0.00015227i,-0.0002823+0.00010724i,4.7637e-05+0.00031484i,0.00029838+0.00087837i,0.00041557+0.00096326i
0.00091011-0.00016346i,0.001049-0.00075674i,0.0005685-0.00020008i,-0.00018114-2.7517e-05i,-0.00061438-0.00081295i,-0.00047431-0.0015699i,-0.00047978-0.0012108i,-0.0014667+8.089e-05i,-0.0020883+0.0011323i,-0.0017841+0.0015372i,-0.0017393+0.001306i,-0.0016003+0.00094118i,-0.00083282-6.7877e-06i,0.00019678-0.00070685i,-8.0831e-05-0.00010003i,-0.00047549+0.00019277i,-0.00061425+0.00014457i,-0.00090903+0.00027207i,-0.00090651-7.8424e-05i,-0.00045932-0.00045161i,0.00031217-0.00043799i,0.00073943+0.00038163i,0.00027862+0.00039616i
0.0017969+0.0019872i,0.001761+0.00089215i,0.0014341-9.833e-06i,0.00087604+5.6758e-05i,0.00070192-0.00080879i,5.8604e-05-0.0022925i,-0.00043948-0.0013774i,0.00033066+0.00073792i,0.0012396+0.0022114i,0.00087736+0.0022477i,0.00061855+0.0013344i,0.0010832+0.00069941i,0.00035781-0.00021538i,-0.00042807-0.00046545i,-0.000346+0.00046443i,-0.0001523+0.00076106i,-0.00022036+0.0007804i,-0.0011154+0.00022567i,-0.0016847-0.00012728i,-0.0015357-0.00050688i,-0.0014767+7.6798e-05i,-0.0012288+0.00055758i,-0.00091037+0.00025227i
