8.4558e-05-0.0011211i,-0.0016192-0.0016584i,-0.0026462-0.00084101i,-0.0017019+0.00054375i,-0.0018568+0.00063984i,-0.0021009+0.00036485i,-0.0012789+0.00098648i,2.839e-05+0.0011623i,0.0010897+0.00083553i,0.00083072+0.00024449i,0.00082673-4.0039e-05i,0.0012605-0.0001244i,0.0012122+0.00013813i,0.0011732+0.00028877i,0.0008442+0.00023586i,0.00058994+0.00016111i,0.00076411+0.00016254i,0.00077001+0.00017961i,0.00044036-0.000534i,-0.00016233-0.00060352i,-0.00058216+0.00018003i,-0.00053315+0.00029507i,-0.00076725+2.1103e-05i
0.0008405-0.0028341i,-0.00039402-0.0045237i,-0.0025821-0.0037541i,-0.0025831-0.0024131i,-0.0013715-0.0021934i,-0.00090364-0.0018876i,-0.00013395-0.0011214i,0.0012583-0.00060904i,0.00099024-0.0012187i,0.00019875-0.0012239i,-4.6589e-06-0.00023705i,0.00075229+0.0014228i,0.0016201+0.0018251i,0.00086121+0.00034131i,0.00052116-0.00082298i,0.00023706-0.00041677i,-0.00016149-0.00029298i,-4.1531e-05-0.00076493i,-0.00058046-0.00031784i,-0.00067483+0.00047168i,-0.00099848+0.00082801i,-0.0012348+0.00028937i,-0.00072036-0.00015953i
0.0015159-0.0015462i,0.0010164-0.0032134i,-0.00090085-0.0019868i,-0.0005759+0.00017563i,-0.00034105-0.00085739i,-0.00172-0.0028111i,-0.0015552-0.0023932i,-0.00071602-0.0014915i,0.00018724-0.0013392i,0.000662-0.00082805i,-2.0618e-05-0.00024459i,-0.00032825-0.00053048i,7.6598e-06-0.00082076i,-5.2597e-05-0.00097376i,-0.00027279-0.00094654i,-0.00051106-0.0006853i,-0.00026616-0.00094131i,0.00014885-0.0010631i,0.00030302-0.00013285i,0.00064777+0.00032086i,0.00043294+0.0010344i,-0.00015861+0.0015343i,-4.3298e-05+0.0010504i
0.00084835-0.0031209i,-0.00068373-0.0037828i,-0.0022116-0.003866i,-0.0029802-0.0024611i,-0.0025544-0.0020451i,-0.0020264-0.0028533i,-0.0012523-0.0019949i,-0.00095445-0.00066458i,-0.00082282+6.1466e-05i,-0.00043858+0.00021616i,-0.00075688-0.00022993i,-0.00066857-0.00026944i,-0.00036702+0.00018441i,-0.0004896+0.00030745i,-0.0012706+8.4358e-05i,-0.0015585+0.00019962i,-0.00091077+0.00047084i,-0.00041669+0.00031858i,-0.00043044-0.00030262i,-0.00027683-0.00023015i,0.00026518+0.0003556i,0.00047193+0.00074461i,5.5177e-05+0.00027897i
-0.00042164-0.0036053i,-0.0025461-0.0045203i,-0.0044458-0.0023661i,-0.0029765-0.00027411i,-0.00051249-0.00060116i,-3.687e-05-0.0020937i,-4.0081e-05-0.0017845i,3.6756e-05-0.00032282i,-0.00014306+0.00083285i,-3.4742e-05+0.001209i,-1.6206e-05+0.0011008i,0.00061363+0.0013318i,0.00090416+0.0007527i,-6.2793e-05-0.00063664i,-0.00080206-0.00095165i,-0.0010736-0.00048596i,-0.00085529+0.00012188i,-0.00067265+0.00062675i,-0.00071728-0.00018332i,-0.00090957-0.0011948i,-0.00081231-0.00018959i,-0.00030757+0.00095502i,0.0002548+0.0013567i
0.00047851-0.0049818i,-0.0012353-0.0061986i,-0.0028499-0.0035252i,-0.0021384-0.00044617i,-0.00080745+0.00059422i,6.244e-05-0.00054846i,0.00087428-0.0010005i,0.0014159-2.1524e-05i,0.0015607+6.3362e-05i,0.0016081-4.1833e-05i,0.0010415+0.0004648i,0.00053151+0.0007957i,0.00044049+0.00065647i,0.00017075+0.00017696i,0.00089694+1.8179e-05i,0.00098459+0.00044643i,0.00030794+0.00080726i,-0.00022989+0.00058607i,-0.00098885+5.1222e-05i,-0.001523-0.00019647i,-0.0015371-0.0005803i,-0.00046806+0.00019458i,8.17e-05+0.00056187i
0.0014323-0.00492i,0.00021909-0.0062884i,-0.001263-0.0037694i,-0.0015861-0.0014047i,-0.00085086-0.001773i,-0.00047228-0.0028923i,-0.00070281-0.0030971i,-0.00028543-0.002157i,0.00071069-0.00075082i,0.00033767-7.5559e-05i,0.00050123-0.00035787i,0.0011567-0.00039859i,0.00051673-0.00037096i,-0.00012924-0.00076295i,-0.00043675-0.00080037i,-0.00018134-0.00096663i,-0.00034441-0.00038294i,-0.00050599-0.00013473i,-1.7101e-05-0.00062012i,-0.00019686-0.00022911i,-0.00047944+0.00091593i,-0.00076558+0.00088355i,-0.00051189+0.00044245i
0.0042567-0.0040107i,0.0017186-0.0047741i,-0.001129-0.0024525i,-0.0020454-0.00066991i,-0.0016245-0.00038108i,-0.0016646-0.00036298i,-0.0013808-7.3631e-05i,-0.00075474-0.00048803i,-0.00047605-0.00019708i,-0.00038849+0.0009331i,-0.00013414+0.0014059i,0.00020595+0.0010386i,0.00070092+0.00073615i,-0.00042527+0.0010548i,-0.0019658+0.0016969i,-0.0019866+0.0014182i,-0.0013153+0.0010443i,-0.00056255+0.001059i,0.00046293+0.0007617i,0.00074386-1.7557e-05i,4.121e-05+7.907e-05i,-0.00069529+0.00043232i,-0.00060127+0.00032924i
0.0047942-0.0018875i,0.0022805-0.0030537i,-0.00099043-0.002943i,-0.0010851-0.00094294i,-0.00017368-0.00055667i,-0.00056003-0.0015411i,-0.00030915-0.0015619i,8.5141e-05-0.0007477i,0.0002696-5.3472e-05i,0.0010525+0.00058158i,0.0012089+0.00057755i,0.00099764-0.00076631i,0.0012283-0.001041i,0.00082247-0.00080542i,-0.00039959-0.00060568i,-0.00067821-0.00013219i,-0.00029406+0.00040715i,-8.8237e-06+0.00048523i,0.00013357-0.00044795i,-0.00013517-0.00030122i,-0.00036855+0.00068793i,-0.00020753+0.00096982i,-0.00061335+0.00096283i
0.0032358-0.0033125i,0.0010135-0.0053893i,-0.0016151-0.0032939i,-0.002077-0.00024325i,-0.0011575-0.00049926i,-0.00064716-0.0017552i,-0.00014055-0.00078372i,0.00048947-0.00021222i,0.00026591-0.000159i,-0.00037123+0.0003025i,-0.00048173-4.7189e-05i,-0.00037614-0.00096546i,0.00049437-0.00073362i,0.0002676+0.00085387i,-0.00093318+0.0019048i,-0.0010157+0.0011948i,-0.00062934+0.00022582i,-0.00069002+0.00062187i,-0.00045907+0.00043503i,0.00029117-0.00022443i,0.00065032-0.00026593i,0.00049286+0.00041668i,-0.00041363+0.000466i
0.00082713-0.00019368i,-0.00050841-0.0018888i,-0.002074-0.00092868i,-0.0013508+0.00026689i,-8.6047e-05-0.00053914i,-0.00036659-0.002336i,-0.0011408-0.0026778i,-0.0012265-0.00098945i,-0.00075428-0.0003845i,-0.00025109+0.00016974i,0.00056608+0.0010627i,0.0016526+0.0010569i,0.0013931+0.00055906i,0.0003496+0.00045391i,-8.8581e-05+0.00015231i,-0.00031628+1.2152e-05i,-0.00098446+0.00095642i,-0.00066558+0.0009469i,-0.00015659+0.00015326i,-0.00069715-0.0002155i,-0.0010589-0.00025214i,-0.00026533+0.00028553i,0.0005604+0.00092455i
0.0018553-0.002435i,-0.00014299-0.0038779i,-0.0027832-0.002301i,-0.002439+0.00043463i,-0.00015592+0.00040432i,-7.6829e-05-0.0013691i,-0.00072797-0.0020861i,-2.267e-05-0.0016085i,0.0011239-0.0011739i,0.00097261-0.00070599i,0.00047643+8.5754e-05i,0.000905+0.00054461i,0.0013377+0.00080227i,0.00048498+0.0010259i,-0.00034811+0.001209i,-0.0007296+0.0018508i,-0.0010234+0.0022561i,-0.00089685+0.0014579i,-0.0002279+0.00069823i,0.00020668+0.00051362i,1.5021e-05+0.00017669i,-0.00081664+0.00023505i,-0.0011798+0.001057i
0.0020452-0.0044433i,0.00094093-0.005657i,-0.0015162-0.0042681i,-0.0026615-0.0021483i,-0.0024668-0.00096604i,-0.0028932-0.0012401i,-0.002056-0.00058724i,-0.001411+0.0011535i,-0.00061097+0.0011549i,0.00065197-2.0755e-05i,0.00077917+8.2574e-05i,0.0009774+0.00061317i,0.00057981+0.00063739i,-0.00016517+0.00099451i,-0.00034177+0.0018995i,-1.8868e-05+0.0023956i,0.00056628+0.0017752i,0.00032391+0.000164i,-0.00029761-0.0013088i,-0.00026517-0.0014739i,0.00017021-0.00050804i,-0.00018751-0.00030373i,0.00032139-2.5185e-05i
0.0020254-0.002527i,-0.00060428-0.0046256i,-0.0028588-0.0039472i,-0.0022562-0.0015302i,-0.0016193-0.0008835i,-0.0015105-0.0014632i,-0.00071027-0.0011261i,0.00020238-0.00073034i,0.00026255-0.00030053i,-0.0010625-0.00048225i,-0.0011955-0.00042255i,0.00011522+0.00024353i,7.7768e-05+0.00031606i,-0.00084365+0.00035625i,-0.0007165+0.00018786i,0.00014093+0.00060087i,-0.00035329+0.00058927i,-0.0004935-1.3222e-06i,0.00015631+0.00070524i,0.00052373+0.0011566i,0.0005072+0.00074877i,0.00059834-9.5957e-05i,0.0002589-0.00022252i
0.003475-0.0010687i,0.0014995-0.0017051i,-0.0012718-0.0010812i,-0.0012259-8.2921e-05i,-0.00044094-0.00083763i,-0.00070845-0.002439i,-0.00043121-0.0021109i,0.00038301-0.001113i,0.00065618+2.9988e-05i,0.00058388+0.00072099i,6.9378e-05+0.00086142i,-0.00058498+0.0012387i,-0.00024138+0.0011938i,0.00021121+0.00085392i,-0.00010614+0.0013889i,4.725e-06+0.0016362i,-0.00023946+0.0015344i,-0.00082156+0.0011946i,-0.00025572+0.0008863i,0.00073981+0.00043967i,0.0010782+2.5113e-06i,0.0004782-2.7399e-05i,0.00062083-0.00016504i
0.00029114-0.0055052i,-0.00072187-0.0068601i,-0.0026629-0.0040331i,-0.0018726-0.0010323i,-0.00045342-0.00068643i,-0.00082294-0.0019846i,-0.0014606-0.0023713i,-0.00094238-0.0020874i,-0.00028697-0.00091877i,0.00044011-0.00023697i,0.0014457+0.00050964i,0.0013951+0.0011688i,0.0012126+0.00090229i,0.00060911+0.00047757i,0.00066157+0.00070527i,0.0010283+0.001414i,0.00054658+0.0016201i,0.00023076+0.0011063i,0.00012337+0.00015745i,1.8768e-05-0.00076338i,-0.00028861-0.00024516i,-0.00081161+0.0002602i,-5.837e-05-0.00036348i
0.0016127-0.0063881i,-0.00021023-0.0072434i,-0.0028465-0.0042061i,-0.003329-0.00081974i,-0.0018348+0.00017412i,-0.0013101+9.1778e-05i,-0.00065834+0.00044563i,-0.00064409+0.00069286i,-0.00040289+0.00085979i,-0.00034941+0.00024297i,-0.0010475+0.00013058i,-0.0014042+0.00057315i,-0.00078366-0.00011024i,8.1194e-05-0.00022302i,0.00045577+0.0012463i,0.0016139+0.0021497i,0.0017614+0.0010944i,0.0009404-0.00032436i,8.0918e-05-0.000245i,-0.00066294+0.00022661i,-0.00081161+0.00055585i,-0.00072222+0.0007303i,-0.00028032+0.00026145i
0.0038174-0.0053757i,0.00035105-0.0062448i,-0.0034476-0.0046098i,-0.0030651-0.0027106i,-0.00048946-0.0019437i,0.00030666-0.0016185i,0.00024168-0.0015503i,0.00064835-0.00087756i,0.00020056+0.00017133i,-0.00018793+0.0010199i,-0.00048977+0.0018511i,-0.00072417+0.0020652i,0.0002761+0.0018156i,0.0015138+0.0020965i,0.0014659+0.0020413i,0.00053256+0.0013632i,5.3687e-06+0.000764i,0.00057164+0.00052101i,3.9131e-05+0.00012303i,-0.0012143-0.00024694i,-0.0011742-7.9267e-05i,-0.0003722+0.00050549i,-0.00035032+0.00096033i
0.0037434-0.0044885i,0.0011836-0.0057895i,-0.0019526-0.0039074i,-0.0025174-0.001166i,-0.0010098-0.00050534i,-0.00056879-0.0018611i,-0.0010696-0.0018203i,-0.00078351-0.0011162i,2.1724e-05-0.00072256i,0.00057677+9.6323e-05i,0.00076354+0.00050543i,0.0010915+0.00037812i,0.0013689-0.00044132i,0.0010023-0.0005774i,0.00014328+0.00044128i,0.00014692+0.0011898i,0.00039284+0.0014874i,-0.00039343+0.0012048i,-0.00053768+0.00015508i,0.00047657-0.00094424i,0.0011621-0.00095511i,0.00084318-0.00029886i,-6.4154e-05+0.00093043i
0.0031164-0.0041127i,0.00028995-0.0053899i,-0.0030784-0.0030543i,-0.0035672+0.00054755i,-0.0029823+0.00054212i,-0.0023733-0.0014816i,-0.0016904-0.0019364i,-0.00091813-0.0012303i,-0.00035818-0.0011998i,-2.4966e-05-0.001544i,0.00033805-0.00074221i,0.00045765-6.7866e-05i,0.0011313-0.00059175i,0.0015435-3.2592e-05i,0.0017586+0.0017064i,0.0021679+0.0028061i,0.0017861+0.0022476i,0.0011736+0.0016124i,0.00065505+0.0011636i,-3.3086e-05-0.00065902i,-0.00023049-0.0018514i,-0.00038087-0.00087359i,-2.2229e-05+0.00061344i
0.0047278-0.00013131i,0.0029932-0.0034074i,-7.8706e-05-0.0038151i,-0.0014348-0.0025467i,-0.00054974-0.002941i,-0.00038793-0.0025036i,-0.00055992-0.00068306i,0.0001503+0.00088074i,0.00046491+0.00067883i,-0.00018865-8.5325e-05i,-0.0010228+7.8741e-05i,-0.0018533+0.00023839i,-0.0012613+0.00029975i,-0.00050562-6.0007e-05i,0.00023221-0.00051417i,0.0009008-0.00032143i,0.00092688+3.2567e-05i,0.00049261-0.00014071i,-0.0010552-0.00028758i,-0.0015937-0.00012007i,-0.0007157+0.00012823i,-0.00032975+0.00034177i,-0.00039266+2.7755e-05i
0.0027707-0.00019025i,0.0013539-0.0033905i,-0.0013297-0.0044898i,-0.0013666-0.0025684i,1.7006e-05-0.0017618i,-3.9913e-05-0.0026107i,0.00014329-0.0017978i,0.0012289-0.00059432i,0.0016839+5.462e-05i,0.00096055+0.00090621i,-0.00012788+0.0013514i,-0.00074526+0.001823i,-0.00024797+0.0017727i,0.00035036+0.00091848i,0.00011324+0.00040729i,5.7323e-05+0.00064088i,1.9495e-05+0.0015346i,-0.00046469+0.0018698i,-0.0011242+0.0011076i,-0.0012053+0.00067429i,-0.00059248+0.00092175i,1.3757e-06+0.0013536i,0.00027241+0.0012796i
0.0015267-0.0026278i,-0.00088476-0.0032531i,-0.0024727-0.0014437i,-0.0022301+0.00037831i,-0.0014144-0.00044137i,-0.00087976-0.0021523i,-0.0010893-0.0022418i,-0.0004191-0.0016131i,0.0012169-0.0012367i,0.0015482-0.00028312i,0.0011226+0.00013229i,0.00045033-8.4651e-05i,0.0004522+0.00010796i,0.0011579-0.00046936i,0.0015262-0.00071867i,0.0019156+0.00092259i,0.0016442+0.0018409i,0.00091902+0.0013457i,0.00016447+0.00079711i,-0.00050634+0.00031286i,-0.00015477-0.00011764i,0.0003923-0.00060415i,8.5891e-05-0.00060943i
-0.00048664-0.0033329i,-0.0033478-0.0034659i,-0.0049375-0.0016393i,-0.003189-0.00011289i,-0.0010822-0.0010528i,-0.0012948-0.00099589i,-0.0018195-9.2517e-05i,-0.0016424-0.00084641i,-0.0012386-0.0014383i,-0.00060734-0.0013127i,-0.00055516-0.00089875i,-0.0003072-0.00039364i,0.00053923-0.00044354i,0.00159-0.00088272i,0.0024988-0.0012046i,0.0025861-0.00095484i,0.0022409-0.00063753i,0.0011955-0.00034707i,-0.00040949-0.00078624i,-0.00079411-0.001065i,-0.00019192-0.00038185i,0.00027582+0.00036137i,0.00051911+0.00032359i
0.0035408-0.0046347i,0.0017097-0.0070074i,-0.00057728-0.0052253i,-0.0010468-0.0014603i,-0.00029247-0.00078475i,-0.00051208-0.0010672i,-0.00078096-0.00033584i,-0.00037925+0.00067869i,-0.00052631+0.0011084i,-0.0011741+0.00081798i,-0.0014611+0.00032518i,-0.00099947+0.00021903i,-0.00034757-0.00011963i,-0.00022314-0.0010122i,0.00084842-0.0013154i,0.0014729-0.0010835i,0.00085389-0.0014769i,-0.00019518-0.0009012i,-0.0013342-0.00061396i,-0.0016926-0.0005812i,-0.0015529+3.5795e-05i,-0.00089368+0.00031125i,-1.1334e-05+0.00029748i
0.004283-0.0019502i,0.00083196-0.0030188i,-0.0027489-0.0011079i,-0.0040116+0.00061587i,-0.002496+0.00024381i,-0.00054962-0.00073512i,0.00060062-0.00090445i,0.0011942-0.00065547i,0.0015297-0.00016417i,0.0016302+0.0011704i,0.00076181+0.0022116i,-2.4634e-05+0.0024296i,0.00028455+0.0017259i,0.00075132+0.00053596i,0.0013023+0.00015725i,0.001532-0.00025546i,0.00030198-0.00069106i,-0.0008108+0.00027966i,-0.00035564+0.0018808i,-0.00018198+0.0013703i,-0.00040812+0.00032885i,-0.00036427+9.4339e-05i,-0.00035697-0.00032181i
0.0022429-0.0038207i,-0.00053721-0.0047491i,-0.0038081-0.003124i,-0.0049323-0.00056052i,-0.0040468-0.0001079i,-0.0017423-0.0016028i,-0.00011634-0.0031324i,-6.1771e-06-0.0039903i,-0.00012185-0.0033535i,0.0003998-0.0012706i,0.0016896+0.00016058i,0.0020003+0.00091148i,0.00118+0.00057784i,0.0011597-0.00015331i,0.002248-0.00060038i,0.0026148-0.00090835i,0.001674-7.2404e-05i,4.3674e-05+0.0015766i,-7.1286e-06+0.001506i,0.00018392+0.00017664i,-0.00098741-0.00047176i,-0.0014207-0.00076553i,-0.0010864+0.00033216i
0.0045052+0.00042467i,0.0018498-0.0022088i,-0.0015435-0.0015288i,-0.0013788-6.5399e-05i,-6.9899e-05-0.00089893i,-0.00052954-0.0014099i,-0.00087027-9.0177e-05i,-0.0013096+0.00085287i,-0.0021109-0.00030847i,-0.0023452-0.0015737i,-0.0017523-0.0011974i,-0.0010469-0.00017949i,-0.00072453-0.00032877i,-0.0008359-0.0012021i,-0.00084184-0.0017058i,0.00019888-0.0025584i,0.00093353-0.0031175i,0.00043535-0.0027124i,-0.00071584-0.0017067i,-0.0012931-0.00082588i,-0.0010464-0.00051223i,-0.00078663-0.00012222i,-0.00075251-0.00021929i
0.00077927-0.001421i,-0.00094944-0.0033089i,-0.0036861-0.0014993i,-0.0029421+0.00038815i,-0.0010703+0.00057032i,-0.00064905-0.00045478i,-0.00035728-2.228e-05i,0.0005887+0.00081184i,0.0003293+0.0013136i,-0.00064252+0.0018086i,-0.00070579+0.0023515i,-0.00039233+0.0020498i,-0.00085948+0.00052388i,-0.00076793-0.00098851i,0.00011232-0.0018129i,-8.5034e-05-0.0011443i,-0.0010528-0.00018905i,-0.0016737-0.00023916i,-0.0010388+0.00054547i,-0.00051384+0.001392i,-9.9349e-05+0.001105i,-0.00020684+0.0011708i,-0.0006516+0.00050078i
0.0026824+0.0001019i,0.0010807-0.0028343i,-0.0024654-0.0034058i,-0.0034535-0.0019985i,-0.0021964-0.0018726i,-0.00060202-0.0019829i,0.0011218-0.0011609i,0.0022039-0.00019389i,0.0030512+0.00048603i,0.0027897+0.0015605i,0.0016269+0.0023454i,0.00099942+0.001887i,0.00031572+0.0013375i,-5.3142e-05+0.0010782i,-4.7663e-05+0.00016785i,0.0006521-0.000163i,0.0014389+0.00098249i,0.0010324+0.0013926i,0.00076081+0.00042436i,0.00015814-0.00024681i,-0.00056012-0.00082948i,-0.0011407-0.00074241i,-0.0017059+0.00016131i
0.0030392-0.00039997i,0.0024424-0.0018821i,0.0010484-0.0014849i,-0.00014845-4.8289e-05i,5.2518e-05-0.00075462i,-0.00042023-0.0025034i,-0.00059969-0.002835i,-0.00055256-0.0017576i,-0.00052399-0.0013088i,0.00010914-0.0018045i,-0.00011949-0.0017624i,3.7612e-05-0.0016842i,0.0011678-0.0011309i,0.001838-0.00095866i,0.0017346-0.0019185i,0.0013695-0.0021369i,0.00096467-0.0016813i,0.0005327-0.00077326i,8.3007e-05+0.00049935i,-0.00023971+0.00098919i,-0.00062199+0.00085567i,-0.00066298+0.00066568i,-0.00043981-8.454e-06i
0.0020874+0.00072635i,0.00011741-0.0011378i,-0.0022842-0.001166i,-0.0019392-0.00028681i,-0.00092331-0.00063778i,-0.0011928-0.0019237i,-0.0019686-0.001108i,-0.0014511+0.00069812i,-0.00061822+0.00067109i,-0.0013817+0.00013051i,-0.002058+0.00039088i,-0.0017862+0.00082471i,-0.0018945+0.00077198i,-0.0020868-0.0006172i,-0.0012335-0.0030023i,-0.00050458-0.0031325i,-0.0011405-0.0018847i,-0.0013992-0.0010187i,-0.001197+0.00016552i,-0.0010574+0.00057317i,-0.00045709+0.00037041i,0.00024097+0.00042516i,0.00056438+0.00024259i
0.0021922-0.0012017i,-0.00053678-0.0026147i,-0.0030871-0.0016494i,-0.0033119+0.00055771i,-0.0017267+0.00013384i,-0.00028342-0.00063221i,0.00087681+0.00041273i,0.001308+0.0016108i,0.0010217+0.0023195i,0.00010447+0.0028594i,-0.00066114+0.0027974i,-0.00088659+0.0026033i,-0.0011845+0.0021585i,-0.0011917+0.0012528i,-0.0007472-6.7134e-05i,-0.00056634-0.00064803i,-0.0006937+0.00089002i,-0.0012791+0.0017423i,-0.00099945+0.00076005i,-0.00071536-0.00017437i,-0.00024525+0.00040715i,0.00071106+0.0006467i,0.00083051-0.000141i
0.0029063-0.00066661i,0.0014139-0.0031302i,-0.00037661-0.0033302i,-0.0009436-0.0014415i,-0.00091897-0.0015321i,-0.00018278-0.0032246i,0.0006233-0.0033737i,0.0011769-0.0021814i,0.0017945-0.00086917i,0.0019634-0.00038889i,0.0012675-0.00029299i,0.00096361+0.00047647i,0.00089793+0.00099752i,0.00065717+0.00015366i,0.00036691-0.0011697i,0.0001166-0.0013912i,0.00058326-0.00041415i,0.00043281+0.00087633i,-1.1798e-05+0.0016512i,0.00025115+0.0010533i,0.0001704+3.582e-05i,6.0994e-05-0.00045054i,0.00013516-0.00072404i
0.0023626-0.0018896i,0.0013859-0.0043172i,-0.00080962-0.0030172i,-0.0020689-0.0014891i,-0.0016888-0.0013573i,-0.0011015-0.0017516i,-0.00058687-0.0015162i,-0.00014426-0.0011716i,-0.00042565-0.0020845i,-0.00089932-0.0031039i,-0.0006527-0.0018585i,-0.00024781-0.0006624i,-0.00067122-0.00062384i,-0.00084897-0.00097135i,-0.00094504-0.0012944i,-0.0010217-0.0022467i,-0.00099118-0.0011951i,-0.0013685+0.00050932i,-0.00082927+0.0003066i,-0.00043395+0.00026161i,-9.8242e-06+0.00068507i,0.00062019+0.00056137i,0.00027114+0.00062677i
0.000879-0.0051897i,-0.00053414-0.0050247i,-0.0023218-0.0025506i,-0.0022077-0.00091834i,-0.00077356-0.001785i,-0.0012786-0.0024638i,-0.001331-0.0019572i,-0.00059965+2.5269e-05i,-0.0010695+0.001873i,-0.0013068+0.0020554i,-0.001108+0.0022374i,-0.00058323+0.0027174i,0.00022789+0.0017421i,0.00016487+0.0002279i,-0.00061032-0.00093278i,-0.0017473-0.0012961i,-0.0024652-0.00053017i,-0.0020588+5.8087e-05i,-0.00057319+0.00023105i,-0.00026199+0.00039246i,-0.00037357+0.00047445i,5.1348e-05+0.00048252i,0.00034935-6.5345e-06i
0.0058953-0.0017429i,0.0051183-0.0042355i,0.0022784-0.0035016i,-0.0011665-0.0021657i,-0.0026633-0.0012809i,-0.0021174-0.0012871i,-0.00055293-0.00099771i,0.00099709-1.3067e-06i,0.0019812+0.0011281i,0.0018644+0.001762i,0.0013925+0.0015056i,0.001108+0.0014439i,0.0011522+0.0014379i,0.00010166+0.00089307i,-0.0012592-3.3051e-05i,-0.0013991-0.00010435i,-0.0015843+0.00073809i,-0.0019972+0.0019888i,-0.0011422+0.0022574i,-0.00019838+0.0012928i,-0.00013404+0.00050643i,0.00031623-2.7026e-06i,0.00082219-0.00012056i
0.0040039-0.0039512i,0.0019149-0.0059251i,-0.0022063-0.003327i,-0.002154+6.8372e-05i,0.00047208-0.0004283i,0.0014456-0.0025553i,0.0013663-0.0038189i,0.0013103-0.0033038i,0.0010252-0.0020831i,0.0012218-0.0010073i,0.0014675-0.00015489i,0.0010706+0.00030867i,0.0016761+0.00066589i,0.0019512+0.00047508i,0.0010247-0.00073282i,0.00019425-0.00069729i,-0.00054714+0.00016453i,-0.00070424-5.9005e-05i,-0.00083794-0.00078091i,-0.00075982-0.00072252i,-0.00048808-3.1541e-05i,-0.00029971-0.00017183i,0.00028898-0.00045584i
0.0061936-0.0010269i,0.0036561-0.0016994i,-0.00023584-0.00022515i,-0.0014524+0.0010045i,-0.00035311-0.00060928i,-4.9991e-05-0.0025262i,0.00021611-0.0027968i,9.9408e-05-0.0016409i,-0.0013182-0.0014175i,-0.0015342-0.0017824i,-0.0010382-0.0011621i,-0.00042526+0.00040001i,-5.2204e-05+0.0015165i,-0.00056416+0.00067337i,-0.0017148-0.00054301i,-0.0018561-0.0011019i,-0.0012493-0.00048894i,-0.0010928+0.00035i,-0.00096669+0.00037918i,-8.4943e-06+0.00021323i,0.00079684+0.00075146i,0.00015031+0.00091877i,-0.00018716+0.00051838i
0.003961+0.00080094i,0.0018601-0.0019934i,-0.002276-0.0024742i,-0.0033711-0.001438i,-0.0016108-0.00065124i,-0.0004986-0.00084004i,-0.00077541-0.001278i,-0.0010273-0.00054931i,-0.00084381+0.00075936i,-0.00075705+0.0014423i,-0.00024005+0.0017191i,-0.00014075+0.0018894i,-0.00025363+0.0021013i,0.00053795+0.0017017i,-6.7277e-05+0.0012299i,-0.0019622+0.0012499i,-0.0024792+0.0017531i,-0.0024848+0.0021115i,-0.0020607+0.00094531i,-0.00084919+0.00028918i,0.00013936+0.00021585i,0.00056436-0.00057173i,0.00071349-0.00075983i
0.0051032+0.00036147i,0.0026366-0.0032607i,-0.0013554-0.005134i,-0.0026839-0.0028321i,-0.0014793-0.001189i,-0.0011348-0.0011803i,-0.00043144+0.00041328i,0.00096508+0.0015596i,0.0016495+0.0014893i,0.00090668+0.00084531i,4.5863e-05+0.00043929i,0.00023505+0.00062251i,0.00065104+0.0013208i,-6.4937e-05+0.001606i,-0.0010456+0.0016004i,-0.0010445+0.0022258i,-0.00079258+0.0025795i,-0.0002355+0.0025377i,-0.00032757+0.001816i,-0.00079612+0.00085356i,0.00020623+0.00074179i,0.0010442+0.00034964i,0.0005689-8.5458e-05i
0.0026011+0.0016967i,0.00030225-0.0012058i,-0.0020524-0.0016199i,-0.0019853-0.00027734i,-0.0010623-0.0012537i,-0.00041721-0.0021311i,0.00079228-0.0015345i,0.0016672-0.0013255i,0.00067219-0.0020376i,-0.00023738-0.002782i,-6.9005e-06-0.001838i,2.7877e-05-0.00045707i,0.00050387+0.00089744i,0.00029795+0.0018849i,-0.00049049+0.0020874i,-0.0010994+0.0012409i,-0.0012763+0.00094376i,-0.00058391+0.0010233i,-0.00015742+0.00088168i,-3.7587e-05+0.00058344i,0.00023294+0.00018847i,-4.519e-05-0.00025683i,-0.00021266-2.712e-05i
-0.0015548-0.0014731i,-0.0028556-0.0038632i,-0.0043544-0.0028753i,-0.0037093-0.00012039i,-0.002033-0.00065271i,-0.00062234-0.003273i,-0.00037516-0.0038593i,-0.001109-0.0027388i,-0.0017778-0.0016994i,-0.0018893-0.00035381i,-0.0007021+0.00046589i,0.00010294+0.0010336i,0.00024035+0.0019503i,0.00024966+0.0018238i,-0.00014347+0.0016678i,-0.00093192+0.0016476i,-0.0011354+0.0016917i,-0.0011927+0.0010407i,-0.00081589-7.6838e-05i,0.00014759-1.8712e-05i,0.00016544-6.222e-05i,0.00034866-0.00087349i,0.00075064-0.00075276i
0.00098507-0.0041527i,-0.00047331-0.0048931i,-0.0027816-0.0019786i,-0.003281+0.00041161i,-0.0011968-0.00049001i,-0.00087944-0.0021754i,-0.0026348-0.0017654i,-0.0029817-0.00028186i,-0.0014502+0.0016388i,0.00015591+0.0032874i,0.0011958+0.0026447i,0.0017113+0.0016046i,0.0015247+0.0021297i,0.00079974+0.0023677i,-0.00030526+0.0026042i,-0.00072671+0.0030796i,-0.00068709+0.0025251i,-0.00097357+0.0012333i,-0.00047561-8.7536e-05i,0.00028443-0.00027147i,3.842e-05-6.5159e-05i,-0.00021796-0.00036503i,-0.0004811-0.00063325i
