-0.00071665+0.0012323i,1.5474e-05+0.0017801i,-8.0538e-05+0.0017366i,-0.00078623+0.00088294i,-0.001168+0.00079974i,-0.0011041+0.0013047i,-5.0491e-05+0.0016351i,2.0345e-05+0.0018587i,-0.00025068+0.0016554i,-4.0572e-05+0.00092589i,0.00024286+0.00063877i,-6.1009e-05+0.00048408i,-0.00022369-0.00085348i,-0.00078224-0.0016334i,-0.00073025-0.0010951i,5.5318e-05-0.00026929i,-0.00042705-0.00038958i,-0.0012694-0.00011984i,-0.0007834+9.6845e-05i,0.00019897-0.00033462i,0.00026417-0.0010269i,-0.00014184-0.001017i,0.00027567-0.00043604i
-0.00054623-0.00045046i,-0.0014374+0.0015672i,-0.00094183+0.0012795i,-0.00057205+0.00016911i,-0.00073973+0.00033184i,-0.00083086+0.00041189i,-0.00048074-0.00052163i,2.846e-05-0.00083316i,-0.00010752-0.00036506i,-0.00065681+0.00037953i,-0.00019124+0.00063229i,0.00018686-0.00010934i,0.00023437-0.00089081i,0.0006-0.00024091i,0.00087658+0.00013458i,0.0011372-0.00054113i,0.0013156-0.00096325i,0.00019434-0.00011276i,-0.00067385+0.00044083i,-0.0004424-0.00018111i,-1.3341e-05-3.2963e-05i,0.00062404+0.0002169i,0.00058803+0.00034253i
-0.00039402-0.0020026i,-0.00081027-0.0015905i,-0.0013622-0.00094536i,-0.00077256-0.0011298i,-0.00056844-0.001513i,-0.00071287-0.00079464i,-0.00054655-0.00028811i,-0.00028598+3.5342e-05i,-0.00034062+0.00044862i,-0.00032136+0.00022248i,0.00013421-0.00033062i,0.00053574-0.00012073i,0.00038933+0.00039547i,0.00036584+0.00012857i,0.0012259-0.00027772i,0.0009865-0.00071461i,-5.8672e-05-0.0010968i,-0.00027745-0.001156i,-0.00055564-0.00015308i,-0.0012059+0.00087082i,-0.0011951+0.00078873i,-0.00075526-0.00020302i,-0.00039291-0.00077779i
0.00061843-0.00023399i,0.00049015-0.00049554i,0.00014164-0.001691i,0.00034463-0.0010225i,2.0168e-05+8.7787e-05i,-0.00033707+9.4643e-05i,0.00018616+0.00046958i,0.00023621+0.00087865i,-0.00063425+0.00037336i,-0.0010617-0.00048066i,-0.00037603-0.00013994i,-0.00024349+0.00070565i,0.00019445+0.00014427i,0.0011243-0.0010156i,0.0015306-0.0013795i,0.00099345-0.00076688i,0.00017132-0.0002083i,-0.00029853-0.00031147i,0.00029307+1.0403e-05i,0.00029594+4.3673e-05i,0.00035948+8.1964e-05i,0.0005312-0.00015322i,0.00017358-0.00047606i
-0.0011046+0.00089071i,-0.00018809+0.00025057i,0.0010957+0.00076918i,0.0019555+0.0011383i,0.0018504+0.00059658i,0.0012285-0.0010265i,-3.8038e-05-0.0018141i,-0.00079168-0.0013703i,-0.00078364-0.00022337i,-0.00054308+0.00050661i,-0.00023069+0.00039205i,-0.00054179+0.00021668i,-0.00047252-0.00045301i,-0.00011682-0.00036638i,-0.00016684+0.00016632i,-0.00019776-0.00015517i,-0.00017325-0.00078188i,-6.6174e-05-0.00091873i,-0.00019112+0.00011442i,-0.00076018+0.001012i,-0.00064075+0.00048564i,4.2605e-05+2.3308e-06i,-0.00043728+0.00046556i
0.00013687-3.4995e-05i,0.00017407-1.7571e-05i,-0.00072203-0.00076854i,-0.0010981-0.0017468i,-0.00085223-0.0020437i,-0.0012274-0.0013865i,-0.0014116-0.00089768i,-0.00071842-0.00020648i,0.00023346+0.000612i,-0.00028888+0.00084697i,-0.0011378+0.00034565i,-0.00077817-0.00016798i,0.00054436-0.000596i,0.00096291+0.00027947i,0.00047313+0.00072363i,0.0002046+0.00057123i,0.00059195+0.00045824i,0.001109-0.00013704i,0.0010459-3.6509e-05i,0.0010692+0.0004881i,0.00079688+0.00058145i,0.00095111+0.00050377i,0.00029629+0.00023037i
-0.0014657-0.00067148i,-0.00078658+0.00078423i,-0.0015255+0.0016899i,-0.001651+0.0020382i,-0.0004901+0.001754i,0.00098902+0.0013935i,0.00047128+0.00031404i,-0.00076509-0.00012795i,-0.00080739+1.3898e-05i,-0.00049965+0.00020399i,0.00016734+0.00016689i,0.00036108-0.00057793i,0.00024633-0.0011156i,0.0010227-0.00081629i,0.00061645-0.00060137i,0.00027059-0.00059654i,0.00036933-0.00041536i,0.00060131-8.6927e-05i,0.00027979+0.00020388i,-0.00079738+0.00034007i,-0.00069715+0.00016762i,-0.0001601+0.00018551i,-0.00030979+0.00030063i
0.00065954+0.0012024i,0.00023004+0.0009664i,-1.62e-06+0.00076514i,0.00044232+0.00060316i,0.00064664-0.00042908i,-8.5944e-05-0.001316i,-0.00020418-0.00098412i,0.00068983+0.00038433i,-0.00020432+0.001147i,-0.00063473+0.00050685i,0.00054719+0.00013928i,0.00059086+0.00039957i,-1.9881e-05+0.00072647i,0.00059887+0.0005699i,0.0011954-0.00011564i,0.0010378-0.00031102i,5.1038e-05+0.00023486i,-0.00085411+0.0010981i,-0.00079228+0.0010506i,0.00011264+0.00059088i,0.00078773-0.00016985i,0.00052844-0.00064122i,-0.00016709-0.00027053i
0.00076344+0.00026803i,0.0014076+0.00019127i,0.0017576-0.00066493i,0.0018164-0.001186i,0.0018848-0.00053733i,0.00094196-0.00048069i,-0.00033932+5.2564e-05i,-0.00061196+0.00089109i,-0.00018559+0.0012097i,0.00046786+0.0014091i,0.00046474+0.00085637i,-0.00020923+0.00018779i,-0.00065925-0.0002385i,-0.00066682-0.00060355i,-0.00060799-0.0005502i,4.5775e-05-0.0005117i,-0.00019205-0.00043008i,-0.00091056-0.0005913i,-0.00088146+2.1132e-06i,-0.00010544+0.00074904i,0.00053821+0.0001789i,0.00088121+5.1838e-05i,0.00085807+0.00067949i
-0.0012394+0.00035973i,-0.002481+0.00088177i,-0.0019392+0.00075217i,-0.00047504-0.00015924i,-0.00084483+0.00012365i,-0.0012808+0.0013414i,-0.00046978+0.0007879i,0.00018135-0.00033276i,-0.0001496-0.00035796i,-0.00022295-0.00017322i,-0.00021493-0.00018931i,0.00083251+0.00017416i,0.001174+0.00081112i,0.00036253-5.6284e-05i,0.00048969-0.00064594i,0.00040602-0.00020243i,0.00011573+7.7132e-05i,0.00050275+0.00096102i,0.00019148+0.0010839i,0.00019337+0.00049362i,0.00037352-1.7703e-05i,0.00060411-0.00063093i,0.00068212-0.00056903i
-0.00010934-0.00059255i,0.0004145-0.00083241i,0.00093018-0.00071815i,0.00083094-0.00028089i,0.00023593-8.1602e-05i,-0.00095327-0.00063631i,-0.0010938-0.0012189i,-0.00057017-0.0010271i,-0.00033215-0.00046011i,-0.00010324+0.00026185i,0.00033028+0.00081957i,0.00094801-1.3349e-06i,0.00086239-0.00031356i,0.00055257+0.00020002i,0.0011709-0.00050609i,0.001191-0.00051412i,0.00058994+0.00014493i,0.00046468+0.00040517i,0.00043296+0.00070753i,0.00050323+0.00060002i,0.00079782+0.00083676i,0.00012833+0.0011079i,-0.00021756+0.00072859i
-0.00070508+0.00015708i,-0.00096154+0.0005187i,-0.0014087+0.00096644i,-0.00094122+0.0012054i,0.0003718+0.00089653i,0.0012613+0.0011001i,0.00064481+0.0013909i,0.00059121+0.0010277i,0.0012952+0.00025138i,0.0014465+0.00040691i,0.0012756+0.00091157i,0.0010532+0.00050379i,0.001351-0.00022587i,0.0015807-6.4804e-05i,0.00098053-1.1075e-05i,0.00035662-0.00033769i,-5.086e-05-0.00023381i,-0.00042854+1.8191e-05i,-0.0007749-4.119e-05i,-0.00042185-0.00026282i,0.00021356-0.00065925i,-5.9748e-05-0.00052564i,-0.00021723+0.00017834i
-5.1667e-05-0.00067451i,0.00010537+0.00016002i,0.00083625+0.00042125i,0.0016427-0.00048436i,0.001687-0.00021795i,0.00078869+0.00015048i,-0.00011001-0.00016458i,0.00038978-0.00047067i,0.00030232-0.00060013i,-0.0005324+0.00018644i,-8.1269e-05+0.00051229i,0.00010177+0.00043748i,1.367e-05+0.00017171i,-0.0002215-0.00057979i,-0.00067283-0.0012175i,-0.0005424-0.0013097i,-0.00021658-0.0004468i,-0.00010699+0.00034052i,-0.00034277+0.00012805i,-0.00017486+0.00046877i,-0.00033628+0.000622i,-0.00052975+0.00046696i,-0.00042417-0.00030261i
0.00057047+0.00069046i,0.00098634-0.00054854i,0.0025521-0.0011279i,0.0033902-0.0025741i,0.0025778-0.0034574i,0.00014254-0.0022011i,-0.0010419-0.00032346i,-0.00028984+0.00041345i,0.00046253+0.0006954i,0.00061148+0.0009937i,0.00025814+0.00053537i,0.00020794-0.00046611i,0.00053132-0.0002098i,0.00098525+0.00025433i,0.00074515-0.00010255i,0.00020042+0.00016443i,-0.00021591+0.00091245i,2.385e-05+0.00079156i,0.00045654+0.00047666i,0.00037366+0.0003422i,0.00019322-0.00012168i,-3.0064e-05-0.00056935i,-9.9313e-07-0.00089162i
-0.00055106+0.0010368i,-0.00070867+0.0011028i,-0.0010447+0.0015219i,-0.00083441+0.0015176i,0.00014564+0.00099937i,-6.8165e-05+0.00050467i,-0.00050037+0.00046832i,-0.00018507+0.0012227i,-4.6028e-05+0.0014632i,0.00011362+0.00087763i,0.00030256+0.00026549i,0.00033475+0.00073039i,2.2394e-05+0.0012166i,0.00045757+0.001195i,0.0012704+0.00071703i,0.0016578+0.0002394i,0.00068434-3.67e-05i,0.00028749+0.00058265i,0.00072346+0.00087817i,0.00022991+0.00046668i,-0.00020383+0.00034202i,-0.00028286+0.00014949i,-0.00049362-2.6872e-05i
-0.0021201+0.0011632i,-0.0019091+0.0024076i,-0.0017553+0.0029551i,-0.0010036+0.0021685i,-0.00022497+0.00067441i,0.00023363-0.00047187i,7.9286e-05-0.00049723i,-0.00072008-0.00011516i,-0.0011345+0.00027895i,-0.00028312+0.0004853i,0.00040765-9.1136e-06i,2.079e-05-0.0007713i,-0.00036295-0.0014549i,-0.00021232-0.0010337i,0.00052295-0.00040092i,0.00043053-0.00024799i,-0.00026535+0.00038985i,-0.00046181+0.00071916i,-0.00022514-0.00012003i,-0.00047586-2.4835e-05i,-0.00029333-0.00023339i,0.00071764-0.00089171i,0.00030535-0.00021864i
3.314e-05-0.00162i,0.00043436-0.0022978i,0.0013044-0.0019696i,0.0015278-0.0015365i,0.0011483-0.0015372i,0.00070818-0.00053145i,-6.5188e-05+0.00050618i,-0.00046252+0.00030439i,0.00017042-0.00060473i,0.00089916-0.00055511i,0.00045435-0.00051247i,0.00030235-0.00067687i,-2.7577e-05+0.00029372i,-2.5448e-06+0.0009086i,0.00093326+0.00055225i,0.00029774+4.2592e-05i,-0.00023151-8.5545e-05i,9.5459e-05+0.00030374i,0.00037252+0.001225i,0.00070069+0.0015363i,0.00066138+0.00084748i,0.00072116+0.00063792i,0.00065947+0.00021884i
-0.00089903+0.00047518i,-0.00074028+0.00081322i,-2.8108e-05+0.0011018i,0.0012307+0.0013195i,0.00083505+0.00092167i,-0.00027637-0.00043473i,-0.00066999-0.001053i,-0.00049387-0.00030437i,-0.00065662+0.00047144i,-0.00065496+0.0002054i,-0.00078286+0.00014471i,-0.00049066-3.9802e-05i,2.4641e-05-0.00040751i,0.00066893-0.00088085i,0.0012758-0.0011715i,0.0010315-0.00077498i,0.00044583-0.00016558i,0.00022649+0.00029748i,-0.00026709+5.403e-05i,0.00014526-0.00015586i,0.00076377+0.00013071i,0.0009847+0.00043296i,0.0015162+0.00036528i
0.00096289+0.00010964i,0.00079319-0.0012673i,0.0011395-0.0017182i,0.00044075-0.00085911i,-0.00010417-4.2338e-05i,-6.3353e-05+0.00017815i,-0.00073907+0.00031122i,-0.00086012-1.5607e-05i,-0.00017649-8.1137e-05i,0.00039094+0.00011373i,0.00043168+0.00026463i,-0.00024689+0.00050731i,-0.0007022+3.6049e-05i,-0.00092594-0.00028611i,-0.00070604-4.6047e-05i,0.0001768-4.9133e-05i,0.00042256+0.00068785i,-0.00055696+0.00097106i,-0.0015866+0.00021085i,-0.0010902-0.00031673i,-0.00051977-0.00029682i,-0.00052968+0.00017956i,0.00013062+0.00072898i
-0.00073327+0.00013693i,-0.00074649-0.0009661i,-0.00025352-0.00223i,-0.00025658-0.0014234i,-0.00073835-0.00030909i,-0.0013946-0.00029209i,-0.0009903-0.00064215i,-0.00036056-0.00035458i,-0.00027513-4.2398e-05i,-0.0007968+0.00031531i,-0.0010125+0.00058662i,-0.00047612+0.00016221i,-0.00053607+0.00028375i,-0.00046564+0.00048393i,-0.00012069+5.0606e-05i,0.0004305-0.00044005i,0.00044856-0.00056674i,0.0006928-0.00028974i,-1.0926e-05+0.00023179i,-0.00056287-8.5928e-05i,-0.0004918-0.00025829i,-0.00036348+0.00010543i,0.0004662-0.00025182i
0.0012536-0.0020514i,0.0013324-0.0011861i,0.00055192-0.00022934i,-0.00046564+0.00057766i,-0.0011464+0.00017022i,-0.00085169+0.00013416i,-0.00025685+0.00027776i,0.00022178-0.00015898i,0.00058871-0.00013218i,0.00024741+0.00012598i,-0.0006911-2.6215e-05i,-0.00059177-0.00020536i,8.1773e-05-0.00045968i,3.0027e-05+5.8383e-05i,4.7059e-05-9.2073e-06i,0.00037562-1.3411e-05i,-5.5109e-05+0.00023868i,-7.7304e-05+0.00032574i,0.00018605+0.0010102i,-0.00045588+0.00087839i,-0.00032519-1.1615e-05i,-0.00062441-0.00018539i,-0.0010985-0.00058728i
0.0017227+6.277e-05i,0.0017448-0.00082508i,0.00091367-0.00097771i,0.0002721-0.00089518i,0.0014005-0.00070554i,0.0013846-0.0010202i,-5.1421e-05-0.00082221i,-0.0008341+0.00030883i,-0.0011029+0.00096482i,-0.00091465+0.00017195i,-0.00061635+0.00014438i,-0.00074165+0.00074473i,-0.00025397+0.0007285i,0.00031583+0.00059746i,-0.00016603+0.0004262i,-0.0011144+6.834e-05i,-0.0012192+0.0006152i,-0.00081146+0.00076911i,-0.00085468+0.00028103i,-0.00032688+0.00018163i,1.2075e-05-0.0001292i,0.00012827-0.00036184i,9.4946e-05-0.00026057i
9.0795e-05-2.7544e-05i,-0.0010498+0.00087079i,-0.00076838+0.00022356i,-0.00050595-0.00026899i,-0.0017035-0.0004494i,-0.001582+1.9809e-05i,-2.5225e-05-0.00027292i,0.00038848-0.00016943i,-0.00077253-2.3896e-05i,-0.00069132+0.00036648i,-0.00025542+0.00062059i,-0.00045942-0.00034794i,0.00014076-0.00049963i,0.00069928-0.00027304i,0.0010868-0.00047363i,0.001287-9.9538e-05i,0.00055527+0.00046009i,-0.00059366+0.0003073i,-0.00031011-2.8331e-06i,0.0005296+0.00040123i,-5.9653e-05+0.0005325i,-0.00082379-0.00016702i,-0.00023858-0.00038444i
-0.00089347-0.00068612i,-0.001688+0.00021437i,-0.0012305+0.0010118i,-0.0011536+0.0001504i,-0.00080018-0.0011244i,-0.00028355-0.0017848i,0.00015439-0.0014618i,-0.00019255-0.00020694i,-0.00067649+0.00028752i,-0.0006444-0.0001622i,8.3574e-05-0.00072226i,0.00083222+0.00017692i,0.00075777+0.0012961i,0.00071451+0.00095686i,0.0006303-0.00042337i,0.00044116-0.00075786i,1.6885e-05-0.00040762i,6.5075e-06-0.00048472i,0.00093505-0.00034764i,0.00039974+0.00017046i,-0.00010522+0.00030599i,-7.1177e-05+5.8348e-05i,-0.00033364-0.00036988i
0.0025664+0.0019185i,0.0035649+0.0011604i,0.0032797+0.00027346i,0.0025948-0.00038173i,0.0016559-0.0014869i,0.00073137-0.0018805i,-0.00053858-0.0010256i,-0.0010781-0.0004103i,-0.00079011+0.00040829i,-0.00034874+0.00035978i,-0.00025425+0.00026792i,-0.00051702+0.0006385i,-0.00055606+0.00036813i,-0.00016573+0.00034885i,0.00022147+0.00038443i,0.00038565-0.00014157i,0.00023605-0.00048953i,0.00058184-0.00049838i,0.00071889+2.4506e-06i,-0.00020625+0.00068345i,-0.00070474+0.00046052i,-0.00029625+0.00012169i,0.00018335-8.2387e-05i
-0.0015664-0.00044258i,-0.001703+0.0010917i,-0.0023196+0.0015054i,-0.0024178+0.002154i,-0.0010967+0.0033i,-0.00044866+0.0026986i,-0.00065325+0.00048105i,-0.00021996-0.00073446i,-0.00035508-0.00040587i,-0.00053788+0.00095581i,-0.00012756+0.0012959i,0.00013949+0.00017774i,0.00061263-0.00036866i,0.00075717-0.00070536i,0.00041793-0.00050704i,0.00028565-0.00018769i,-0.00038158-2.6095e-06i,-0.00013101+0.00084167i,0.00068734+0.0013511i,0.00057027+0.00070192i,0.00020548-0.00012031i,-0.00018536-0.00044371i,-0.00048418-0.00019123i
-0.0028549+0.0018947i,-0.0023403+0.0032321i,-0.0012568+0.0050731i,0.001055+0.0044846i,0.0029338+0.0023223i,0.0027869+0.00084148i,0.00098828-0.00013505i,-0.0006296-0.0008048i,-0.0010247-0.00086085i,-0.00023644-0.00028319i,0.00035555+0.00055674i,0.00064493+1.9519e-05i,0.001018-0.0013524i,0.00045807-0.0011683i,-0.00055133-5.3418e-05i,-0.00092669+0.0007403i,-0.0005279+0.00037901i,0.00038343+8.5555e-05i,0.00055379+0.00023064i,0.00043606+0.00044671i,2.021e-05+0.00045386i,-0.00031489+0.00011506i,0.00061823-0.00013734i
0.0013576+0.00084627i,0.0015995+0.0007727i,0.0011325+0.00067686i,0.0019971-0.00062138i,0.0020781-0.0019035i,0.00021419-0.0019138i,-0.0011629-0.00055508i,-0.0007658+0.00051686i,-0.00026455+0.00021883i,0.00060194-0.00016931i,0.0013451-0.00044964i,0.00080797-0.00059757i,-0.00011667+0.0001289i,-0.00034063+0.00077178i,-3.1887e-05-0.00022658i,5.0732e-05-0.00066241i,2.3903e-06+0.00012791i,-0.00027368+0.00064491i,0.00010048+0.00094176i,0.00045958+0.00085459i,4.5258e-05+0.00041899i,-0.00057679-0.0003072i,-0.00025619-0.0012619i
-0.00045575+0.00088103i,-7.6735e-05+0.0016139i,0.00076707+0.0013676i,0.00097041+0.00096913i,0.00017988+0.00042064i,0.00035757-0.00044698i,-2.355e-05-0.00074482i,-0.00039899-0.00034498i,-8.2656e-06-0.00021545i,0.00039554+9.1091e-05i,0.00063101+5.3891e-05i,0.00066089-0.00056308i,3.9023e-05-0.00081285i,0.00032834-0.00097489i,0.0010141-0.00046307i,0.00047627+0.00021346i,0.00021876+0.00066009i,0.00022575+9.4779e-05i,0.00014907-0.00053381i,0.00033069-0.00026009i,0.0003361-0.00038268i,-2.3008e-05-0.0006308i,0.00014625-0.00088526i
1.553e-05-0.00083256i,-0.00052819-0.00039742i,-0.0011158-0.00026614i,-0.0016144-0.00055135i,-0.0017739-0.0005142i,-0.0018936-0.00062169i,-0.0010963-0.00076931i,-0.00049132-0.0008865i,-0.00044502-0.00048412i,-0.00069638-5.8342e-05i,-0.00070375+0.0005837i,-0.00034839+0.0010149i,-0.0003375+0.00044869i,-0.00045938+0.00054028i,0.00013762+0.00083472i,-0.00013479+0.00044192i,-0.00049396-0.00010986i,0.0001779+2.7995e-05i,0.0010458+0.000376i,0.0010928+0.00050416i,0.00014671+0.00028435i,-0.00047538+0.00010087i,-0.00017281-0.00014387i
0.0018185-0.00047814i,0.0018502-0.00096422i,0.0018471-0.00080102i,0.001842-0.0010914i,0.0012473-0.001355i,0.00054666-0.0011332i,5.0112e-05-4.9552e-05i,-0.0002974+0.00059629i,-0.00027703+0.00063721i,-8.4613e-05+0.00025987i,-2.6662e-05+0.00044254i,-0.00028127+0.00058756i,5.0216e-05+0.00048242i,-0.00014958+0.00093843i,-0.00098973+0.00080255i,-0.00038844-0.00011722i,0.00063553+0.00029788i,0.00058495+0.00066999i,-0.00026788+0.0003915i,-0.00027591+0.0005175i,-5.8931e-05+0.00081814i,-0.00037066+0.00090617i,-0.00026747+0.00042835i
0.00056142+0.00088152i,0.0013728+0.00080866i,0.0018914+0.00081185i,0.0016641+0.00028925i,0.0010806-0.00036657i,0.00065479-0.0010006i,-0.00077843-0.001456i,-0.0011299-0.0014372i,-0.00021996-3.4862e-05i,0.00060476+0.0010681i,0.00078992+0.00073814i,-0.00026576-0.00019545i,-0.00059023+6.1451e-05i,-7.1954e-05+0.00077257i,0.00020731+0.00035331i,-9.816e-05-0.00044918i,-7.0662e-05-0.00022407i,0.0002613+9.0353e-06i,0.00041529-6.233e-05i,-0.0002439+0.00018615i,-0.00067595+0.0001431i,-8.5189e-06-0.00025238i,0.0005399-0.00018656i
0.001099-0.00056769i,0.00066768+0.00019917i,0.0012653+0.00019403i,0.0010987-0.0011615i,0.00026361-0.0019285i,-0.00032454-0.0016047i,-0.00069545-0.0011183i,-0.00047064-0.00062036i,0.00012454-0.00024942i,-0.0001127-0.00029326i,-0.00043538-0.00012611i,5.4307e-05-0.000439i,0.00019726-0.00031981i,0.00022494-0.00022708i,0.00078926-0.00047487i,0.00072228-0.00019799i,0.00042391+0.00025863i,0.00012628-0.00012315i,0.00024231-0.00044079i,0.00018753+0.00015999i,-0.0003487+0.00078422i,7.9678e-05+0.00056608i,0.00036707+0.00023922i
0.00083524+0.0016801i,0.0012759+0.00037042i,0.0016959-0.00021053i,0.0017809-0.0008779i,0.0018114-0.00075203i,0.00070673-0.00073987i,-0.00072304-0.0011398i,-0.00095215-0.0005998i,-0.00059648+0.00054731i,-0.00052487+0.00014651i,0.00023391-0.00065922i,0.00031298-0.00080126i,-8.3477e-05-0.00081639i,-0.00039823-0.0007669i,-0.00028751-0.00079696i,0.00034242-9.0367e-05i,0.00029227+0.00077387i,-0.00010544+0.00063713i,-7.3877e-05+0.00046125i,3.1667e-05+0.00091771i,-0.00043179+0.0015895i,-0.00043496+0.00088134i,-0.00010878-0.00018676i
0.0016224+0.00062944i,0.001283+0.00058414i,0.0015464-0.00038664i,0.0022274-0.00065713i,0.0014012-0.00084558i,0.00019117-0.001488i,0.00018148-0.0011082i,0.00025657-0.00023344i,-0.0010088-0.00018013i,-0.0019019-0.00060707i,-0.0012871-0.00029862i,-0.00037165+6.6079e-05i,0.00020026-4.566e-05i,-0.0003399+0.00018879i,-0.00018782+0.00040554i,0.00075538+0.00050854i,0.0008586+0.00029164i,7.4002e-05+0.00019739i,-0.00013734+0.00069705i,-9.3336e-05+0.0010406i,0.00010715+0.00050976i,-0.00043525-0.0002758i,-0.00057783-0.0007626i
-0.0010296+0.00080494i,7.8159e-05+0.00052804i,0.00045086+0.00030434i,0.00093696+0.00075491i,0.0017683+0.00075888i,0.0013078-0.00019422i,0.000765-0.00067613i,0.00038879-0.00068421i,-0.00019334-0.00017111i,-0.00041291+0.00044938i,-0.0010227+0.00048228i,-0.0013396-0.00030133i,-0.00096874-0.00068424i,-0.00016677+2.6838e-05i,0.00040746+0.00043402i,7.8582e-05-4.4617e-05i,-0.00042695+6.2764e-05i,0.00013661+0.00038402i,-4.6164e-05+0.00051474i,-0.00068756+0.00069953i,-0.00016535+0.00086673i,0.00044952+0.00066655i,0.00053742+0.00052187i
-0.0010061-0.00019095i,-0.001635-0.00042562i,-0.0021674-0.0011262i,-0.00088138-0.00079863i,0.00048437-0.00040647i,0.00016887-0.0010119i,-0.00067628-0.00097439i,-0.00064624-0.0011138i,-0.00049363-0.00072851i,-0.00047272+7.3639e-06i,-0.00058194+0.00027446i,-0.00067982+0.00053437i,-0.00024572+0.00060017i,0.00016835+0.00072143i,8.0839e-05+0.00077045i,0.0002676+0.00023253i,0.00061244-0.00045686i,0.00026845-3.7344e-06i,-0.0003127+0.00011666i,-0.00020471-0.0005873i,-0.00052366-7.4812e-05i,-0.00061841+0.00050969i,-0.0003208+0.00081669i
0.0013705-0.00037186i,0.0021773+0.0001715i,0.0021655+0.00052057i,0.0016122+0.00055876i,0.0014669+1.9722e-05i,0.00024592-0.00019286i,-0.00029599-0.00036658i,0.00030962-0.0003593i,-0.00089873+0.00017579i,-0.0018815-0.00021141i,-0.0012613+6.4731e-05i,8.5231e-06+0.00092066i,0.0014066+0.00071627i,0.00141+0.00043212i,0.00059721+0.000434i,0.00051142+0.00012106i,0.00063767-0.00013713i,0.00037876-0.0001747i,0.00038317+0.00012115i,0.00039453+0.00033928i,-0.00011908-0.0001473i,-0.0001712-0.00067286i,-4.9204e-05-0.0010623i
-0.0012621+0.0013592i,0.00016294+0.001175i,-0.00057763+0.0016091i,-0.0011542+0.0016509i,-0.0010726+0.00065954i,-7.9189e-05+0.00012606i,0.00070718-0.00040035i,0.0010216-0.0011552i,0.0011407-0.0003942i,0.00044615-0.0004548i,0.00054063-0.00055512i,0.00031449-0.00018222i,0.00028476-0.00044647i,0.00033035-0.00092169i,-7.0468e-06-0.00085663i,-0.00031011-0.0006064i,-0.0013066-0.00032273i,-0.0014804+0.00020496i,-0.00035193+0.00025873i,-0.00012194+0.00054242i,-0.00060527+0.00083872i,-0.00027162+0.0006579i,0.0006061+0.00071747i
0.00020097-0.0011544i,0.00014204-0.0013062i,-0.00042199-0.001304i,-0.00032167-0.00076635i,0.00013928-0.00077915i,0.00053649-0.00064499i,0.00052474-0.0003089i,0.00028057-0.00060814i,-0.00029018-0.0011073i,-0.00020097-0.00053367i,0.00038324-0.0001081i,-0.00035861-0.00010209i,-0.00026517+0.00085728i,0.00043346+0.0008429i,0.00034515-8.9574e-05i,0.00058782+7.8523e-05i,0.00050337+0.00016502i,-0.000214+0.00016009i,-0.00038046-0.0001969i,-0.00015808-0.00058195i,0.00023767-0.00013566i,0.00027648-0.00042404i,0.00083555-0.00050352i
0.0012887+6.0522e-05i,0.0010399-0.0012796i,0.00063905-0.0021478i,-6.5877e-06-0.0012066i,-0.00027953-0.00094326i,-1.9602e-05-0.00081183i,0.00051555-0.00075007i,0.00045023-0.0010616i,-2.8958e-06-0.001278i,-9.443e-05-0.0009393i,-0.00027511-0.00018682i,-0.00076165-0.000114i,-0.00081069-0.00016161i,-0.00043028+0.00017694i,0.00019555+0.00024162i,0.00043128+4.2255e-05i,0.00010672+0.00046267i,0.00039581+0.00098576i,0.00097659+0.00032048i,0.0005172-0.00023226i,0.0010039-0.00064123i,0.0013825-0.00093848i,0.00073089-0.00018241i
-0.0001354-0.00026138i,-0.00047154-0.00082489i,-0.00010812-0.0019072i,0.00014754-0.0017644i,-0.00036835-0.001728i,-0.00059137-0.0019626i,0.00035459-0.0015122i,0.00020909-0.0023604i,-0.00099181-0.0032182i,-0.0018081-0.0025682i,-0.0020612-0.0016846i,-0.0019508-0.0011465i,-0.00090501-0.00074765i,0.00010081-0.00016334i,0.0004028-8.2449e-05i,0.00082308-0.00066265i,0.00013996-0.00018165i,-0.00059173+0.00047001i,-0.00077531+0.0008195i,-0.00026304+0.0007378i,0.000339+0.00068793i,-0.00077363+0.0014881i,-0.0012618+0.0010662i
-0.001231-0.0014599i,-0.00092508-0.0006638i,-0.0020536+0.00045992i,-0.0023972+0.0014901i,-0.0015582+0.0021993i,-0.0016954+0.0021686i,-0.0023061+0.0022331i,-0.0019082+0.0025901i,-0.00066948+0.0032076i,0.00015226+0.0038826i,0.0004428+0.0024344i,0.0012861+0.0007117i,0.0016429-8.19e-05i,0.0010111-0.00028592i,0.0006161+0.00031779i,0.00020949+0.00031533i,3.4156e-05+4.5893e-05i,0.00058839-0.00019306i,0.00064305-0.00061644i,0.00071747-0.00073573i,0.00043503-0.00028575i,9.4051e-05+0.00021142i,3.9961e-05+6.4652e-05i
-0.0013488-0.00024239i,-0.00063701-0.00024845i,-0.0008379+0.0015817i,-0.00048385+0.0022728i,4.9004e-05+0.0007324i,0.00043602+3.2461e-05i,-0.00075893-0.00057527i,-0.0019686-0.00060106i,-0.0016037+0.0012476i,-0.0010291+0.0019462i,-0.00010982+0.0019251i,0.0010273+0.0018641i,0.0014177+0.00084766i,0.0011833-0.00047526i,0.00089284-0.00035676i,0.0013818+0.00033562i,0.00082543+0.00055059i,-0.00025207+0.00029893i,-0.00010009+0.00083862i,0.00040467+0.0011602i,0.00074707+0.0004328i,0.00033084-0.00030797i,-0.00032161-0.00062682i
