-0.00029669+0.00043043i,0.0001576-0.00077983i,-0.00058841-0.0017729i,-0.0018302-0.0019173i,-0.0026892-0.0016227i,-0.0025272-0.0012384i,-0.0013504+0.00084632i,8.2043e-06+0.0026296i,0.00115+0.0018663i,0.0021404+0.00087655i,0.0018976+9.8082e-05i,0.00076075-0.0011313i,-0.00034932-0.0010235i,-0.00079999-5.0198e-05i,-0.00040504+0.00059642i,-0.00052839+0.00093825i,-0.00059167+9.6819e-05i,-0.00051477-0.00068575i,-1.1834e-05+0.00031103i,7.6406e-05+0.00052663i,-0.00056104+0.00011702i,-0.001032-0.00041235i,-0.0012678-0.00098985i
0.00021185+0.0002587i,0.0010671-0.00016262i,0.000535+0.00064812i,0.00054147+0.00041468i,0.00078859-0.00028818i,-0.00032717-0.00099693i,-0.0016051-0.0010089i,-0.0012913-0.00044977i,-0.00077096+0.00046764i,-0.00032523+0.00078342i,-0.0002602+0.0006926i,-0.00054511+0.00067537i,-0.00027977+0.00075198i,0.00012888+0.00049599i,0.00022449+0.00045485i,-2.6086e-05+0.00040699i,0.0005083-0.00044317i,0.00056437-0.00088728i,-0.00025397-0.0007531i,-0.00025918+1.2576e-05i,0.00019869+0.00019402i,0.00057223-0.0001901i,0.0012998-1.585e-05i
-0.00051784+0.0005522i,-0.00036426+9.6903e-05i,0.00050809-0.00021105i,0.0011637-0.0010013i,0.00099165-0.0016752i,0.00015263-0.0019993i,-7.7005e-05-0.0013198i,-0.00058758-0.00023132i,-0.00087164+0.00041076i,-0.00037324+0.00061584i,0.00018156+0.00032961i,0.00020228-0.00014952i,0.00021823-0.0002033i,-4.3949e-05+0.00047566i,-0.00044366+0.00096179i,-0.0001626+0.00017439i,-7.4595e-06-0.0005869i,-0.00047371-0.00042092i,-0.00046609-2.8289e-05i,-0.00013446+5.4371e-05i,0.00013945+0.00019354i,0.00064515-1.1884e-05i,0.0013416+3.3472e-05i
-0.00039979-0.0014909i,0.00092015-0.0013949i,0.00054466-0.00080761i,0.00018298-0.00091517i,0.00044222-0.001669i,0.00022827-0.0010103i,8.5122e-05+0.00018372i,-0.00049213+0.0010906i,-0.00076385+0.00096383i,-0.00024659+0.0005427i,0.00017687+0.00083044i,0.00039255+0.00058074i,0.00087025-0.00065868i,0.00086903-0.0010796i,0.00024164-0.00097028i,-0.00026667-0.00094072i,0.0001021-0.0013148i,0.00056198-0.0010368i,-0.00049678-0.00027398i,-0.00056075-0.00028282i,0.00043119-0.00049536i,0.00052075-0.00011382i,0.00031877+0.00030498i
0.00096917-0.00048107i,0.00052259-0.00012793i,0.00069005-5.156e-05i,0.0015746-0.00057719i,0.0017624-0.00099689i,0.00084232-0.0013603i,-0.00091747-0.0012017i,-0.0012395-0.00083856i,8.1721e-05+6.3044e-05i,0.00089494+0.00026836i,0.0007571+0.0004331i,0.0001557+0.00026226i,0.00024353-0.0003375i,0.00046479-0.00031933i,0.00065573-0.00065579i,0.00082204-0.00065323i,0.00050866-4.9578e-05i,0.00012081-0.00047933i,-0.00050564-0.00047643i,-0.00035935-8.0152e-05i,0.00038091+0.00052975i,0.00071338+0.00060104i,0.00074558+0.00030863i
0.0016305+0.0025872i,0.002338+0.0019722i,0.0024209-0.00024838i,0.0017038-0.0018398i,0.00086776-0.0023939i,-0.00015457-0.0021936i,-0.0010297-0.001506i,-0.00075568-0.00067025i,-0.00072347+0.0003577i,7.9917e-05+0.0010404i,0.0013615+0.00058705i,0.0010935+0.00057034i,7.3849e-05+0.00089275i,-0.00041415+0.0009708i,0.00017795+0.00075552i,0.00036973+0.00034343i,4.7965e-05+0.00043464i,0.00019505+0.00036502i,0.00010872-0.00036285i,-0.00087085-0.00049725i,-0.0010771+0.00050216i,-0.0006558+0.0010769i,-0.00026282+0.00010853i
-0.0026775+0.0019765i,-0.0012106+0.0021667i,4.7084e-05+0.0024228i,0.00078017+0.0012081i,0.0010922-0.0010097i,0.00099478-0.0020388i,0.00077317-0.0016261i,0.00036146-0.00053736i,0.00054469+0.00061027i,0.00041943+0.00073524i,-9.611e-05+0.00040642i,-0.00052542+0.00047492i,-0.00077736+0.00022598i,-0.00089551-6.2423e-05i,-0.00095364-2.6611e-05i,-0.0014217-0.00014238i,-0.0012665-0.00083148i,-0.00042001-0.00087139i,-0.00051837-0.0003896i,-0.00064634-0.00039535i,2.1941e-05+0.0003071i,0.00034265+0.00022379i,-6.4243e-05-0.00063763i
8.3899e-05-0.001743i,-5.9181e-05-0.0022858i,-4.6561e-05-0.0024611i,0.00027044-0.0029021i,0.00019131-0.0037049i,-0.00081894-0.0029289i,-0.00071929-0.001153i,-6.0663e-05+0.00014276i,-0.000316+0.0010159i,-0.00038663+0.0011904i,-6.4427e-05+0.00062695i,0.00042855-0.0001811i,0.00023184+0.00050865i,0.00010017+0.0007915i,4.5633e-05-5.0993e-05i,1.7525e-05-0.00010187i,0.00053166+5.3428e-05i,0.00026612+0.00030579i,0.00041312-2.1934e-05i,0.00080224-4.1984e-05i,-2.4526e-05+0.0004705i,-0.00033767+0.00054587i,-0.00010737+0.00080092i
0.0013088+0.00040071i,0.0011515+0.00039522i,-0.00014246-4.5773e-05i,-0.00090381-0.00068189i,-0.0013531-0.0013673i,-0.001829-0.00086815i,-0.0012415-0.00024814i,-0.00030246-7.6052e-05i,-0.00020641-0.00021582i,-0.0003894+8.1072e-05i,-0.00031862-0.00019223i,0.00028807-0.00038833i,0.00084282+7.1774e-05i,0.0010192+0.00069624i,0.00039344+0.0011922i,-8.0656e-05+0.00089731i,-0.00023647-0.00024032i,-0.0010183-0.00098591i,-0.0013093-0.00061764i,-0.00069081-0.00061338i,1.941e-05-0.000281i,9.3397e-05+0.0011371i,-0.00034534+0.00053959i
-0.0019318-0.00054036i,-0.001968+0.00069926i,-0.00065779-0.00041992i,-4.5563e-05-0.0021417i,0.00043739-0.0020106i,0.00015926-0.0014329i,-0.00051878-0.00074737i,-0.00063399+0.00028755i,-4.4404e-05+0.00062479i,0.0005946+0.00067885i,0.00096489+0.00082889i,0.0011546+0.00045711i,0.00035525+0.0002313i,-6.4714e-05+0.00029804i,0.0003793+0.00035344i,0.00069395+0.00060356i,0.00056185+0.00064751i,-5.2964e-05+8.0794e-05i,-2.1427e-05-0.00012424i,0.00022599+0.0010818i,0.00078576+0.0016128i,0.00086253+0.0012182i,0.00013061+0.0009535i
0.00082164-0.0018624i,0.00050772-0.0020121i,0.00040142-0.00082521i,-0.00015291-0.00058149i,-0.00042994-0.00094515i,0.00016068-0.0012502i,0.0003518-0.0011025i,0.00026614-0.0004279i,0.00021215+0.0008259i,0.00031222+0.00077922i,0.00071237-1.275e-06i,0.00027136-0.00023777i,0.00025116-0.00037153i,4.0999e-05-0.00052599i,-0.00043335-0.0010458i,-0.00013033-0.0016995i,-0.000345-0.0014865i,-0.00049387-0.00054291i,-0.00070688+0.00018583i,-0.00085407-0.00021188i,-0.00041536-0.00042737i,-0.00085902+0.00025887i,-0.0014377+0.0003085i
-0.00088571+0.00077491i,-0.00071807-9.087e-05i,-0.0010159-0.00059595i,-0.0008569-0.0016009i,-0.00034406-0.0023201i,-0.00052498-0.0020325i,-0.00045538-0.0019308i,-0.00025134-0.0011365i,0.00017657+0.00028121i,0.00021435+0.00091918i,2.394e-05+0.00069514i,0.00074126+0.00047795i,0.00057474+0.00033588i,-0.00045637+0.00020313i,-0.00012219+0.00024516i,0.0005014+0.00062671i,0.00046647+0.00049224i,0.0002292+0.00016405i,-0.00043913+0.00029977i,-0.0008281+0.00016189i,-0.00059243+0.00043083i,-0.00020433+0.00071943i,0.00041341+0.00088749i
-0.0020198+0.00071547i,-0.0018924+0.00063102i,-0.0010313+0.000571i,-0.00037195+0.00023266i,1.5573e-05-0.00049004i,-0.00015325-0.00075601i,-0.00021781-0.00059726i,-0.0005307+0.00064526i,-0.00085225+0.0012402i,-0.0006868+0.0012262i,0.00028534+0.0011491i,0.0013788-4.0236e-05i,0.0012222-0.00021849i,0.00054208+0.00037714i,0.00047085-5.3892e-05i,-0.00027623-0.00045457i,-0.00054856-0.00023489i,0.00026566-0.0001204i,0.00046399-0.00030997i,-0.00016702-0.0002817i,-0.00046294-0.00018883i,-0.00047392-0.00061284i,-0.0011864-0.00056939i
-0.00012415+0.00051021i,0.00080222-0.00090006i,0.0013055-0.0017121i,0.0023002-0.002909i,0.0022198-0.0032531i,0.00051669-0.0029174i,-0.00043341-0.0020698i,-0.00071412-0.0006755i,-0.00037586+0.00013311i,0.00040637-0.00011506i,0.00056035-0.00018998i,0.00066876+7.6518e-05i,0.00062216+0.00010343i,1.2998e-05+0.00038706i,-0.0001954+0.00032535i,-0.00015827+0.00011001i,2.1282e-05-0.00058674i,0.00025243-0.00096766i,-0.00040878-0.00041438i,-0.00060371-4.1354e-05i,-0.000344+0.0003823i,-0.00045336-1.6345e-05i,-0.00056902-0.00019619i
0.001052+0.0019921i,0.0027852+0.00099526i,0.0028994-0.00031516i,0.0026124-0.002091i,0.0017243-0.0028003i,0.00018729-0.0020218i,-0.00042659-0.002011i,-0.00045589-0.00095591i,-8.337e-05+0.00080178i,0.00055879+0.00080417i,0.00064586+0.00013641i,0.00062262+9.0497e-05i,-1.6274e-07+0.0001957i,-0.00072839+0.00089446i,-0.00045547+0.0013207i,-5.381e-05+0.00045522i,8.6022e-05-0.00028245i,-0.00047046-0.0013753i,-0.00081862-0.0017887i,-0.00073774-0.00098821i,-0.0004142+0.00025057i,-0.00039732+0.0009548i,-0.0004159-5.1555e-05i
-0.00097592+0.0011335i,-0.001258+0.00061107i,0.00066643-0.00077164i,0.0013295-0.002515i,0.00086445-0.0028034i,0.00038598-0.0017793i,-0.00024055-0.0010327i,-0.00020665-0.00044326i,0.00034686+0.00041785i,-2.8475e-05+0.00049165i,-0.00071868-0.00037694i,-0.00032804-0.00064964i,-0.00020562-0.00080519i,0.00028938-0.00054588i,0.00052642-8.7293e-05i,0.0007018-0.0006291i,0.00019063-0.0013726i,-0.0011902-0.00067155i,-0.001106+0.00069076i,6.9233e-06+0.0012467i,0.0011322+0.0011962i,0.00073491+0.00046216i,-0.00022098-7.4652e-05i
0.001994-0.0017375i,0.00046519-0.0010721i,4.683e-05-0.0016116i,0.00012802-0.0030592i,-0.00052408-0.002912i,-0.001296-0.0018249i,-0.0010431-0.00077827i,-0.00023521-0.00010714i,-0.00015578+3.4274e-05i,-0.00027501+0.00070732i,0.00047122+0.0011313i,0.0013461+0.00028069i,0.0011634+0.00041301i,0.0002894+0.0012342i,0.00027751+0.00075924i,0.00074494-0.00023231i,0.00084779-0.00011834i,3.7452e-05+0.00028366i,-0.00029938-0.00063214i,0.00032566-0.0012738i,0.00029368-0.000601i,3.3306e-05+8.9486e-05i,0.00015538+0.00017694i
-9.653e-05-0.0014194i,-8.3239e-06-0.00079825i,-0.0010401-0.001623i,-0.0021056-0.0027011i,-0.0015065-0.0027806i,-0.0010585-0.0017525i,-0.0013129-0.0012718i,-0.0010255-0.0012451i,0.00017563-0.00048385i,0.0010208+0.00051801i,0.00043325+0.00070651i,-0.000615+0.00040781i,-0.00073414+0.00064433i,0.00029178+0.00029631i,0.00053377+0.00032978i,0.00010886+0.00038548i,1.2729e-05-0.00057401i,5.7005e-05-0.0002868i,0.00028255+0.00095847i,-0.00057801+0.00079113i,-0.001224-4.7268e-05i,-0.00026049-0.00018838i,0.00057234+0.00070502i
-0.0015877+0.00089742i,-0.0008886+0.0014567i,0.00075627+0.0028365i,0.001858+0.0026908i,0.0020455+0.00052907i,0.00090675-0.00097358i,-0.00057491-0.0012634i,-0.00031722-0.00044105i,0.00010653+0.0010183i,-0.00070001+0.0012747i,-0.00061431+1.2086e-05i,-0.00027808-0.0004808i,-0.00082434-0.000529i,-0.00079367-0.00080364i,-0.00042203-0.00029543i,-0.000706+0.00041812i,-0.00096758+0.00084382i,-0.00031579+0.00084199i,-0.00046809+0.00094319i,-0.00072645+0.00070916i,-0.00072839+0.00049602i,-0.00019337+0.00038625i,0.00035941+0.00022382i
0.0011529-0.0034102i,-0.00040449-0.0039176i,-0.0018891-0.0053336i,-0.0025255-0.0042328i,-0.0038917-0.0027258i,-0.0044717-0.001981i,-0.0047584-0.0024507i,-0.0058717-0.0022405i,-0.0065896+6.9509e-05i,-0.0053622+0.0029804i,-0.0029758+0.0039566i,-0.00086416+0.0031326i,0.00048151+0.0027291i,0.0010216+0.001437i,0.0011063-0.0011677i,0.00091399-0.0019296i,0.00018258-0.001803i,-0.00097619-0.0014888i,-0.0014603-0.0010558i,-0.00113-0.00096984i,-0.00049234+0.00038031i,-5.4679e-05+0.0015521i,0.00065879+0.0012739i
4.5872e-06-0.0014664i,-0.00092814-0.0018107i,-0.00096245-0.0018925i,-0.001093-0.0018357i,-0.0011495-0.0027641i,-0.0012604-0.002744i,-0.0010648-0.0019981i,-0.0011806-0.00097438i,-0.0018234-0.00062046i,-0.0011531-0.0010109i,-8.051e-06-0.00071533i,-0.0004567-0.00057229i,-0.00094675-0.00078196i,-0.00020556-0.0012326i,4.645e-05-0.00094661i,-0.00010362-0.00051242i,0.00049624-0.0013389i,0.00018973-0.0017454i,-0.001013-0.0011865i,-0.001148+0.00011922i,-0.00026672+0.000568i,-0.0004883-0.00019602i,-0.00083779-0.00021659i
-0.00037977+0.00094948i,0.0013615+0.00079698i,0.001551+0.0012174i,0.00070757-0.00069332i,0.00024751-0.00282i,-0.00064611-0.0031286i,-0.00089097-0.0023139i,-0.00023376-0.000641i,-5.1982e-05+0.00080991i,-0.00021796+0.00060389i,-0.00046529-0.000102i,-0.0001807+1.665e-05i,-0.00041649+0.00047274i,-0.0013041+0.00036035i,-0.00080517+0.0004794i,-0.00022707+0.00068951i,-0.0007191+9.8356e-06i,-0.0005405-0.00074586i,-0.00088808-0.00045792i,-0.0015204+0.00040961i,-0.0010609+0.00020142i,-0.00056046-0.00052593i,0.0002295-0.0001998i
-0.0011582+0.00045049i,-0.0018414+0.00028205i,-0.0011461+0.00034557i,0.00056428+4.2682e-05i,0.0014239-0.0010393i,0.00095458-0.002066i,-0.00041228-0.0017617i,-0.00049372-0.001112i,-8.097e-05+3.7663e-05i,-0.0003198+0.0012019i,-0.00038126+0.001234i,-1.884e-05+0.00059643i,-0.00046244+0.00070205i,-0.00098292+0.00043889i,-0.00044012-0.00013767i,4.5548e-05-0.00039853i,-1.093e-05-0.00039617i,-0.00022651-0.00044312i,-0.00024917-0.00022498i,0.00027924+0.00054483i,0.00070656+0.00028228i,-1.118e-05+0.00063759i,-0.00062677+0.00084863i
3.2104e-05+0.00021102i,0.00073382+0.00013513i,0.0016577-0.0016018i,0.00091037-0.0031284i,0.00086106-0.0038181i,8.1556e-05-0.0038488i,-0.00067611-0.0024958i,-0.00042554-0.00061957i,-0.00072362+0.000782i,-0.00062307+0.00037867i,-0.00070681-0.0004636i,-0.00089852-0.00034156i,-0.000633+0.00019501i,-0.00078945+0.00031358i,-0.0011219-5.2204e-05i,-0.00098138+0.00031676i,-0.0007435-0.00026575i,-0.00047401-0.00072961i,-0.00021444-0.00046363i,-0.00032203+0.00026973i,6.0954e-05+0.00047418i,0.00038214-0.00011761i,-0.00035679-0.00018893i
-0.00098284+0.0013064i,-0.0013068+0.0023268i,-0.00074632+0.0021788i,-8.0184e-05+0.00073806i,0.00047248-0.0013864i,0.00017282-0.00219i,-9.5911e-05-0.0014338i,-0.00042929+0.00019047i,-0.00086188+0.0011935i,-0.00012073+0.0014588i,0.00019383+0.00090635i,0.00025318-0.00034096i,1.7961e-05-0.00070219i,-0.00069491-0.00015167i,-0.00061871+0.0006887i,-0.00014019+0.00084212i,0.00013806-5.3044e-05i,-2.1055e-05-0.00018773i,9.8896e-05+0.00032141i,0.00010593+0.00012081i,0.00021585-0.00064129i,0.00049482-0.00068916i,0.00014227-0.00059585i
0.0016297-0.001555i,0.001748-0.0020939i,0.0024255-0.0034121i,0.0015113-0.0045499i,-0.00026884-0.0048964i,-0.0012428-0.0032317i,-0.0013874-0.0017221i,-0.00076913-0.00069215i,1.8114e-05+0.00031679i,-0.0004933+0.00091558i,-0.00038098+0.0013838i,0.0004791+0.0014326i,0.00091429+0.0012931i,0.00078982+0.00085467i,0.0007769-9.6564e-05i,0.0011167-0.0004352i,0.00081237-0.0002376i,0.00012656-7.4348e-05i,-0.00010026+3.8063e-05i,-5.7202e-05-0.00045281i,-1.4255e-06-0.00068808i,0.00015285-0.00068983i,0.0003405-0.00054741i
-0.0001089-0.0012074i,-0.00022387-0.00099839i,-0.00053065-0.0014688i,-0.00061465-0.0018352i,-0.00095538-0.0017448i,-0.00012677-0.002095i,-0.00046785-0.0018158i,-0.0016589-0.00087262i,-0.0012802+0.00072122i,-0.00014975+0.001544i,0.00040713+0.0013819i,8.2142e-05+0.001058i,-0.00011729+0.0011516i,-0.00025366+0.001534i,-0.00033793+0.0010966i,-0.00020385+0.00021109i,7.3915e-05-0.0002513i,0.00021012-0.00026569i,0.00011512+0.00012691i,0.00023338+0.0011259i,0.00098866+0.0021279i,0.0011547+0.0018476i,0.00067603+0.00038935i
5.6474e-05+0.0018654i,0.00063861+0.00061447i,0.0015206+0.001349i,0.0012102+0.0017751i,0.00066679-0.00047817i,-0.00029473-0.0022374i,-0.00056468-0.0016717i,1.5087e-05-9.6846e-05i,7.5186e-06+0.0013933i,0.00044527+0.0010443i,0.00054199-5.1742e-05i,0.00035345-0.00060299i,0.00013776-0.00066901i,-0.00035512-0.00043268i,6.3218e-05+0.00012059i,0.00038194+0.00036396i,-0.00014565+5.3499e-05i,-0.00044432-0.00042644i,0.00016452+0.00040967i,5.6848e-05+0.0008149i,-0.00045678-5.9988e-05i,-0.00042114+0.00014578i,-7.8338e-06+0.0010672i
6.9159e-05+0.00082248i,0.0003296+0.00044326i,0.00011103+0.00033057i,0.00048617-0.00045794i,0.00047284-0.0017384i,0.00016429-0.0020022i,-0.00015484-0.00078731i,-0.00037527+0.0001611i,-5.0879e-05+0.00078149i,0.00033837+0.0011846i,0.0007566+0.00058061i,0.00076575-0.00024019i,-0.00026465-5.1229e-05i,-0.0010422-3.6581e-05i,-0.00057519-1.6797e-05i,0.00018785+0.0001059i,0.00062237-0.00016581i,0.00013158+0.00024536i,-0.00023572+0.00071161i,-0.00051113+0.0010746i,-0.00083213+0.0011398i,-0.00028166+0.00040288i,0.00013178+0.00056735i
-0.00023614+0.00054136i,-0.00017391+0.00054039i,0.0014382-0.00036054i,0.0021713-0.0012039i,0.0012888-0.0020663i,-5.5155e-05-0.0029949i,-0.00028216-0.0021353i,-0.00015439-0.00040474i,-0.00047838+5.6369e-05i,-0.00050102-0.00022521i,-0.00032901-0.0002956i,0.00015034-0.00052282i,0.00016714-0.000164i,-5.8332e-05+0.00029498i,2.2406e-05+7.9339e-05i,0.00061333-0.00037997i,0.00054951-0.00087478i,-0.00047758-0.00061132i,-0.00063705-0.0008724i,-1.8396e-05-0.000994i,0.00022115+0.00019241i,0.00011816+0.0010851i,0.00050576+0.00092408i
0.00054461-0.00027914i,0.00094423+0.00043104i,0.0017041+0.00062253i,0.001397-0.00035373i,3.5978e-05-0.0020578i,-0.00090585-0.002095i,-0.00061976-0.00157i,-0.00010722-0.0012235i,-0.00018793+0.00044114i,-0.00017059+0.001451i,-7.5176e-05+0.0016352i,-0.00051924+0.0014056i,-0.0006583+0.00092214i,-0.00047016+0.00050867i,-8.3971e-05-7.4883e-05i,-0.00024011-0.0005616i,-0.0004604-0.00056846i,-0.00041871-0.00022635i,-0.00031454+0.00051174i,-0.00032411+0.00050398i,0.00016068+0.00010469i,0.00028857+0.00051508i,7.4092e-05-0.0002301i
0.0024175+0.0015857i,0.0014046-0.00034466i,0.0016577-0.0015727i,0.0024691-0.0023041i,0.0021793-0.003524i,0.00049109-0.0033941i,-0.00022922-0.002126i,0.00011693-0.00072175i,0.0001893+0.00064809i,0.00027159+0.0010667i,0.00026712+8.7184e-05i,-0.00014124+0.00011507i,-0.00043666+0.0011856i,-0.00041489+0.0015028i,-0.00045933+0.00087359i,-0.00095698-0.000213i,-0.001239-0.00022562i,-0.00078212-8.9568e-05i,-0.00018979-8.5119e-05i,0.00030649+0.00048099i,0.00068145+0.00073922i,0.00088456+0.00036684i,0.00080835-0.00013336i
-0.00080003+0.00090672i,-0.00020174+0.0010099i,0.00016782+0.00060225i,0.0013756-0.00071719i,0.0017912-0.0019825i,0.00082469-0.0033915i,0.00030682-0.0025273i,-0.00037189-8.908e-05i,-0.00061569+0.0010595i,-0.00019362+0.0012085i,0.00015027+0.00011995i,-9.9103e-05-0.0010731i,-0.00090848-0.00085529i,-0.0010682-0.00051105i,-0.00040763-0.00028743i,0.00027754-0.00013419i,0.00033334-1.6644e-05i,-0.00019902+5.3103e-05i,-0.00083497-0.00026461i,-0.00063035-0.00070304i,0.00018636-0.00064774i,0.00069136-0.0003049i,-0.00022278-0.00020296i
-0.0016287+0.00039947i,0.00011241+0.00012658i,0.00097169-0.00035264i,0.00090095-0.00082876i,0.00048191-0.0022443i,-9.7514e-05-0.0019352i,-0.00073814-0.00078333i,-0.00072767-0.00052626i,-0.00047698+0.0002363i,9.7164e-05+0.00054112i,0.00074161+0.00047291i,0.00086575+0.0006161i,0.00053037+0.00037647i,0.00064237-0.00010993i,0.00080875+2.4154e-05i,0.00018221+0.00027098i,-0.00032404+0.00024896i,-0.00068601-0.00025648i,-0.00067609-0.00026479i,-0.0010689+0.00057502i,-0.0013383+0.0012638i,-0.0008583+0.00082116i,-0.00032393-0.00049056i
-0.00034844+0.0002604i,0.0011081-0.00010912i,0.0023203-0.00030165i,0.0014939-0.0015441i,0.00059923-0.0027231i,0.0004284-0.002333i,0.00050294-0.00094758i,8.2397e-05+0.00040841i,-0.00082094+0.00069303i,-0.0011809+0.00024022i,0.00029743-3.3426e-06i,0.0013693-0.00046416i,0.00062529-0.0002838i,-0.00023806-4.8841e-05i,-0.0003771+8.956e-05i,-5.6386e-05+0.0003044i,0.00012919+0.00013021i,-5.9314e-05-0.0001048i,-0.00054353-5.7236e-05i,-0.00034231-0.00025379i,0.0003388-0.0005894i,7.7524e-05-0.0004176i,-0.00016602+0.00069866i
0.0020083-0.00028049i,0.00058357-0.0021914i,0.00011733-0.0034344i,-0.00022338-0.0037331i,-0.0012501-0.0039246i,-0.0013086-0.0036437i,-0.0010157-0.0025619i,-0.00099946-0.00072278i,-0.0010899-1.3744e-05i,-0.0007653-0.0001391i,-0.00046326+0.00024184i,-0.00039259+0.00035916i,-0.00014298+0.00028364i,-0.00031677+0.00096085i,-0.00039647+0.001016i,-2.0268e-05+0.00044362i,0.00029454+4.0913e-05i,9.1383e-05-0.00022241i,0.00019089-6.6118e-05i,0.00038829+0.00012074i,7.1299e-05+3.3678e-05i,-0.00012441+0.0004196i,-9.7754e-05+0.00093467i
-8.0095e-05+0.00040591i,-0.00015683+0.0014785i,-0.00010493+0.0011748i,0.0012552-0.00078992i,0.0021898-0.0021227i,0.00099598-0.0027109i,-0.00096247-0.0017613i,-0.0010822-0.00041136i,-0.00029186+0.00072393i,0.00042857+0.0012844i,0.00045504+0.0013266i,0.00013861+0.0008057i,1.5535e-05+0.00020797i,-1.4125e-05-0.00019304i,-9.6884e-05-0.00047669i,-2.3654e-05-0.00024916i,0.00035074+9.2571e-05i,0.00015356+5.0063e-05i,0.00034317-1.311e-05i,0.00036125-0.00029421i,-0.00015876-0.00022771i,-0.00023158+0.00045487i,-0.00019232+0.00028223i
-0.0017276+0.00043782i,-0.00042814+0.00033401i,0.0004554+0.00060616i,0.00072174+0.00039593i,0.00095338-0.00068567i,0.0011292-0.0013576i,-3.0917e-05-0.0006098i,-0.0010669+0.00014897i,-0.00062674+0.00075435i,0.00089208+0.0013446i,0.00063018+0.0012211i,-0.00036958+0.00033847i,-0.00024514-6.3443e-06i,-7.5424e-05+0.00022563i,7.4634e-05+9.121e-05i,0.00032202-0.00027678i,0.00045231-0.00063105i,-0.00036799-0.00046531i,-0.00097281-0.00027601i,0.00014585-0.00024198i,0.00074716-0.00033554i,0.00067931-0.00010329i,0.00093821+0.00013888i
-0.0013347+0.00010584i,-0.00053911+0.0012087i,-0.00079593+0.0014357i,-5.922e-06+0.0010536i,0.0013632-0.00021228i,0.0019854-0.0018817i,0.0021307-0.001102i,0.00059017-3.0282e-05i,-0.0012542+0.00026585i,-0.0014799+0.00039578i,-8.392e-05+0.00046102i,0.0011756+0.00018203i,0.00086495-0.00037859i,-6.9142e-05-0.00072829i,-0.00043249+0.00010932i,-0.00019568-2.6784e-05i,-1.9107e-05-0.0009502i,-0.00023812-0.00055559i,-0.00043589-0.00060895i,-0.00035234-0.0010654i,-0.00055153-0.00054035i,-0.0011453-0.00059614i,-0.0011192-0.00076948i
-0.00069672+0.00043052i,-0.00053139+0.00014301i,-0.00063904-0.00096025i,-0.00059028-0.001958i,-0.0008362-0.002875i,-0.0013746-0.0026673i,-0.00112-0.0016668i,-0.00040941-0.0015613i,-0.0002777-0.00083132i,-0.00031711+0.0010283i,-8.8962e-05+0.0017415i,-9.8497e-05+0.0016768i,-0.00037028+0.0012288i,-0.00029094+0.00076649i,0.00018033+0.0011677i,0.00061809+0.0013895i,0.00093024+0.0012179i,0.00070073-2.7838e-05i,-0.00054466-0.00091918i,-0.0013789-0.00029473i,-0.00068841+0.00023133i,-0.00017355+0.00028605i,-9.3887e-05+0.00081716i
0.00072195+0.0014489i,0.00052508-0.00027508i,0.0016247-0.0003854i,0.0025755-0.00096255i,0.0025159-0.0025621i,0.0012322-0.0026211i,-2.7737e-05-0.0014128i,-0.00015116-0.00031251i,-0.00023431+0.00016936i,-0.00045684+0.00049706i,0.00011367+0.00054803i,0.00017845-0.0001955i,-0.0010539-0.00050154i,-0.0012022-4.033e-05i,-0.00035694+0.00094509i,-0.00030196+0.00056866i,-0.00028467-0.00043622i,7.0715e-06-0.00043418i,-0.00011574+0.00039598i,-0.00024151+0.0014798i,0.00022936+0.00074061i,4.2875e-05+3.4258e-05i,-0.00082643+0.00064623i
0.0012996+0.001664i,0.0028043+0.0011347i,0.0036981+0.00019031i,0.0038822-0.0014126i,0.0026113-0.0029247i,0.00040227-0.003503i,-0.00053186-0.0018728i,-0.0001713-0.00060263i,0.00034205+0.00010404i,0.00057403+0.0011462i,0.00018314+0.0010809i,-0.00028572+0.00025904i,-0.00065723-0.00044848i,-0.00072797-0.00032178i,-0.00033303-0.00047133i,0.00024929-0.0004897i,0.00050097-0.0003323i,0.00022417-0.00054713i,-0.00019167+4.9112e-05i,-0.00056074+0.00028826i,-0.00070315+0.00020443i,-0.00037691-1.114e-05i,0.00019559+9.6146e-05i
0.00075957-0.00015092i,0.0014172-0.0013486i,0.0010855-0.0027514i,7.5324e-05-0.0028086i,-0.00041865-0.0024444i,-0.00059247-0.0023786i,-0.0010814-0.0019422i,-0.00041269-0.0004773i,0.00035764+0.00096376i,0.00085312+0.00089536i,0.0011916+8.7191e-05i,0.0007166-0.00021937i,0.00057549-1.9672e-05i,0.00098851-0.00018112i,0.0011331-0.00029931i,0.00096145+0.00014361i,0.00018262+0.00017227i,-0.00010513+0.00011975i,-0.00032129+5.7741e-06i,-0.00048515+0.00053203i,-0.00051529+0.00039762i,-0.00023633-0.00012782i,-5.2437e-05+0.00035311i
